-0.025718-0.0053689i,-0.021448-0.0080079i,-0.012446-0.013689i,-0.035207-0.0080608i,-0.02721+0.0014053i,-0.035986-0.0030786i,-0.068725-0.03663i,-0.033559-0.015316i,-0.02302+0.0029381i,0.005826+0.0065209i,-0.0056127+0.0077193i,-0.0085959+0.018158i,0.0059185+0.0080773i,-0.001447+0.0032216i,0.0041249+0.0035897i,0.0055452+0.025099i,0.023327+0.020226i,0.0013459-0.0004397i,0.001309-0.0044138i,0.0092792+7.3197e-05i,0.0055771-0.00062573i,0.002151+0.0012058i,0.0014608-0.00090261i,-0.024284+0.00035939i,-0.0045117-0.0040357i,-0.00024447+0.0032729i,0.0048676-0.0042555i,-0.0016559-0.0004934i,-0.00012626+0.0010692i,-0.0018165-0.0015247i,-0.0034312-0.00046161i,-0.0067752-0.0088585i,-0.0052317-0.0076715i,-0.00046555+0.00034951i,-2.5982e-05-0.0023336i,0.0009813+0.022319i,0.0028315-0.0038204i,0.00066305-0.0042049i,0.0032118-0.0019525i,-0.0032453-0.0026218i,0.00067477+0.00015808i,0.0079257-0.0022122i,0.0028903-0.0019737i,-0.00031894+0.0028966i,-0.014163+0.015403i,-0.027139+0.054087i,-0.0056123-0.037743i,-0.014953-0.018897i,-0.04029-0.016617i,-0.027097-0.012794i,0.036953-0.012186i,0.0064749-0.030293i,0.013326-0.037993i,-0.0080806-0.029575i,0.024631-0.023186i,0.013299+0.0072991i,0.028633-0.036139i,-0.0016412-0.0040074i,0.0055677-0.0093067i,-0.00064393-0.0060137i,0.00037282-0.034918i,-0.013443+0.028724i,0.0086431-0.011965i,-0.0088431-0.0045418i,-0.002484-0.0017689i,0.00032634-0.015837i,-0.0079971+0.0057341i,0.0044487+0.0070009i,-0.0013153+0.028964i,0.0028429+0.0013568i,-0.00717-0.0045225i,-0.0038202-0.0063158i,-0.013846-0.010012i,-0.0020535-0.0057025i,-0.03441+0.0062471i,-0.0049159-0.0085171i,-0.01292-0.0010562i,-0.010255-0.0056334i,0.0016282-0.0011848i,-0.013807+0.001839i,-0.0020303-0.00062779i,0.0057753+0.0059406i,0.0036991-0.0049182i,-0.013621-0.014053i,0.007441+0.0082397i,-0.016792+0.0053042i,0.0048466+0.00018257i,-0.019469-0.0034054i,-0.016574-0.0048142i,-0.014172-0.036644i,0.020175-0.010336i,-0.039233-0.024466i,-0.009063+0.0057757i,0.017817+0.014849i,-0.022962+0.016961i,-0.0040959-0.0040062i
-0.027351-0.0021366i,-0.019994+0.00093709i,-0.013463-0.014321i,-0.036395-0.0032413i,-0.026193+0.0021911i,-0.03765+0.0043171i,-0.07217-0.024445i,-0.034424-0.010577i,-0.020348+0.0075476i,0.004739+0.0042298i,-0.0051265+0.0065766i,-5.2566e-05+0.020637i,0.0086519+0.0047195i,-0.0037617+0.0051817i,0.0042058+0.0019674i,0.0096448+0.01937i,0.023723+0.01066i,0.0020922-7.1908e-05i,-9.5796e-05-0.0029094i,0.0073184-0.0034804i,0.0041379-0.0019994i,0.0019005+0.00072725i,0.0012335-0.0013064i,-0.012072+0.0096302i,-0.0054771-0.0016847i,0.0029397+0.0014278i,0.0017791-0.0026865i,-0.00062717+0.0007895i,0.0012632+0.00018826i,-0.0021798-0.00072873i,-0.0024805+0.00068253i,-0.0081815-0.0061988i,-0.0068971-0.0047647i,-9.5566e-05+0.00017412i,0.00033332-0.001751i,0.0074844+0.019214i,0.0020469-0.0049744i,-0.0011537-0.0037398i,0.0032664-0.0035405i,-0.0018174-0.002499i,0.0011857+0.00048813i,0.0066314-0.003175i,0.0018319-0.0017475i,-0.0018312+0.0030918i,-0.0099343+0.016512i,-0.007559+0.059896i,-0.0139-0.036345i,-0.025456-0.020108i,-0.030351-0.0046505i,-0.020336-0.0020412i,0.033269-0.034289i,0.0074998-0.045744i,0.015797-0.037086i,-0.0127-0.031109i,0.013135-0.018092i,0.011877-0.0031612i,0.013445-0.038802i,0.00034907-0.0011269i,-0.001399-0.017098i,-0.0020619-0.006653i,-0.023402-0.032074i,-0.0014263+0.024487i,0.0029954-0.015123i,-0.010972+0.00055229i,-0.00080155-0.00099595i,-0.0069653-0.014903i,-0.0073555+0.0099508i,0.0096379+0.0060101i,0.016073+0.022058i,0.0017889-0.0013432i,-0.0070568-0.00082588i,-0.0080475-0.0053245i,-0.018919+0.0001537i,-0.0019968-0.0043535i,-0.036872+0.014866i,-0.0083226-0.003552i,-0.011992+0.0034075i,-0.013262-0.00023942i,-0.00070526-0.0056755i,-0.010984+0.0064695i,-0.0010605-0.0019967i,0.0036175+0.0004073i,-0.00029316-0.0055365i,-0.020392-0.0032105i,0.0085376+0.0028396i,-0.011886+0.011562i,0.0051834-0.0026194i,-0.018089+0.0045814i,-0.018524-0.00022455i,-0.019971-0.033181i,0.016438-0.018002i,-0.045129-0.010165i,-0.0004755-0.0025329i,0.018205+0.0092161i,-0.015126+0.022675i,-0.011553-0.0092261i
-0.027232+0.0029026i,-0.014787+0.0011419i,-0.015862-0.014992i,-0.036761+0.003145i,-0.025996+0.0033428i,-0.037727+0.012329i,-0.078104-0.0083748i,-0.036726-0.0053969i,-0.017921+0.010272i,0.003789+0.0034878i,-0.0049808+0.0087302i,0.0071541+0.016647i,0.0088445+0.00056561i,-0.0033606+0.0081095i,0.0041538+0.0010057i,0.0112+0.01387i,0.024338+0.0037792i,0.0030577-0.0010144i,-9.8276e-05-0.0024918i,0.0050018-0.0046401i,0.00207-0.0025452i,0.002493+0.00070405i,0.00067416-0.0018994i,-0.0037107+0.011423i,-0.004979+0.00084085i,0.0033946-0.0015203i,0.00087945-0.0021157i,0.00062107+0.00091833i,0.0010098-0.00051991i,-0.0019773-6.6822e-05i,-0.0018812+0.0012629i,-0.0093378-0.0027378i,-0.007444-0.0021684i,8.2921e-05-0.00024843i,0.00040644-0.0030608i,0.012172+0.014035i,0.00053918-0.0052798i,-0.0022255-0.0026654i,0.0016315-0.0053778i,-0.0026059-0.002422i,0.0017612+3.7571e-05i,0.0049052-0.0050504i,0.0015727-0.001541i,-0.0014723+0.0040379i,-0.0063335+0.015598i,0.011244+0.057673i,-0.021619-0.032658i,-0.033841-0.010279i,-0.016441-0.0034907i,-0.013444-0.0044834i,0.022586-0.051244i,-0.0072795-0.058984i,0.02089-0.043211i,-0.018874-0.026483i,0.0096355-0.016869i,0.0081191-0.0068715i,0.0014783-0.040275i,0.0075774-0.0052176i,-0.011495-0.015289i,-0.0032892-0.0091919i,-0.039828-0.017898i,0.0051549+0.021302i,-0.0040806-0.01501i,-0.0080092+0.0034756i,-0.0023817-0.0013779i,-0.013564-0.011869i,-0.00020057+0.01356i,0.013895-0.00081247i,0.024078+0.0073486i,0.0011243-0.0019253i,-0.0068471-0.00022544i,-0.010451-0.0023565i,-0.01553+0.010825i,-0.006822-0.0032617i,-0.031213+0.027362i,-0.0075662+0.00045618i,-0.0097654+0.0090342i,-0.013537+0.0079515i,-0.0069768-0.0042995i,-0.0087477+0.0087921i,-0.0026485-0.0026735i,-0.00067724-6.5923e-06i,-0.0027298-0.0052486i,-0.013077+0.0070047i,0.0068872-0.001905i,-0.0069541+0.012772i,0.0016728-0.0070498i,-0.014296+0.0087175i,-0.016767+0.004857i,-0.023018-0.028496i,0.0091087-0.020448i,-0.043277+0.0030806i,-0.0067275-0.01203i,0.018464+0.0024884i,-0.0040002+0.021365i,-0.014198-0.0055956i
-0.026077+0.0078981i,-0.014552-0.0020532i,-0.019608-0.015756i,-0.034209+0.0094693i,-0.026486+0.0045631i,-0.033769+0.020942i,-0.075423+0.015793i,-0.037838+0.0034577i,-0.015521+0.014093i,0.00368+0.0035053i,-0.0020324+0.011061i,0.0095223+0.011594i,0.0073191-0.0026045i,-0.00031258+0.011271i,0.0035026+4.5614e-05i,0.01019+0.0077997i,0.023595-0.0062183i,0.0026959-0.0027503i,-0.0010568-0.00095697i,0.0029454-0.0051038i,0.001531-0.0017961i,0.0031286+9.8389e-06i,-0.00024371-0.0019179i,0.0046169+0.013543i,-0.0036247+0.0022229i,0.0015128-0.0031559i,0.0014443-0.0021137i,0.00097777+0.00018836i,0.0011107-0.00075461i,-0.0022142+0.00045602i,-0.00089734+0.0018623i,-0.0089278+0.00099873i,-0.0075407+0.00058396i,9.0112e-05-0.00054548i,-0.0016755-0.0032268i,0.013252+0.0088095i,-0.0011627-0.0054725i,-0.0025861-0.0016035i,-0.00076255-0.0054671i,-0.0023779-0.0011994i,0.0017602-0.00075358i,0.0021031-0.0053203i,0.00098185-0.0016633i,-0.00071182+0.0037377i,-0.0033512+0.014704i,0.028161+0.049992i,-0.027857-0.024877i,-0.033157+0.0034299i,-0.010537-0.0070082i,-0.011541-0.0049837i,0.0033699-0.065976i,-0.026677-0.058062i,0.01618-0.059928i,-0.021032-0.022082i,0.0060015-0.01514i,0.0033546-0.010574i,-0.012065-0.036717i,0.0036208-0.014358i,-0.015383-0.0091771i,-0.0093727-0.011722i,-0.04421+0.0041497i,0.013749+0.01519i,-0.0099813-0.012854i,-0.0053786+0.0040002i,-0.0028413-0.00026872i,-0.018323-0.00526i,0.0067934+0.0093047i,0.013726-0.008195i,0.02221-0.0056583i,0.00027652-0.0022721i,-0.0078917+0.0010881i,-0.011539+0.0024678i,-0.0096568+0.018343i,-0.0081636+0.0016599i,-0.021774+0.035971i,-0.0066236+0.0023803i,-0.0039727+0.011544i,-0.0068579+0.014455i,-0.0099668+0.0014119i,-0.0040625+0.0098793i,-0.0036271-0.0014595i,-0.0027036+0.0021171i,-0.0057122-0.0040621i,-0.0070338+0.006482i,0.0010596-0.0055329i,-0.0040543+0.014956i,-0.0036286-0.0058236i,-0.0098462+0.011496i,-0.014175+0.0057257i,-0.025083-0.025121i,0.0087117-0.019163i,-0.037677+0.016974i,-0.015837-0.011889i,0.017754-0.0041708i,0.0043182+0.016351i,-0.012654-0.0023939i
-0.023361+0.013356i,-0.017948-0.0013126i,-0.02623-0.013563i,-0.030913+0.014161i,-0.02826+0.0067798i,-0.027652+0.027646i,-0.058521+0.030599i,-0.033189+0.011509i,-0.0097385+0.016371i,0.0039944+0.0035489i,0.00202+0.010007i,0.010894+0.0084759i,0.0047928-0.0043953i,0.0051249+0.011365i,0.0029719-0.00050939i,0.0071888+0.0070614i,0.013938-0.014216i,0.0013386-0.0037509i,0.00069732+0.0018195i,0.001133-0.0052613i,0.0016413-0.00095867i,0.0025515-0.0012949i,-0.0012283-0.0013052i,0.014995+0.0060443i,-0.002132+0.0034478i,0.00014647-0.0028968i,-0.0001421-0.0025421i,0.0015285+0.00016768i,0.0010697-0.001352i,-0.0017638+0.0015859i,0.00046418+0.0018057i,-0.0069878+0.0047581i,-0.005871+0.0032781i,-0.00039194-0.00084199i,-0.0020188-0.0018984i,0.014641+0.0056284i,-0.0029835-0.004411i,-0.0030229-0.00056568i,-0.0022469-0.0040019i,-0.0019996-0.0022559i,0.00086334-0.0015211i,0.00038221-0.0039669i,0.00099708-0.0012442i,-0.0011443+0.0039733i,-0.0018247+0.012415i,0.042186+0.035475i,-0.026844-0.013955i,-0.025944+0.014598i,-0.0067565-0.011896i,-0.0091359-0.0041259i,-0.02456-0.069088i,-0.041472-0.048633i,-0.0037257-0.069049i,-0.026308-0.014476i,0.0050818-0.011644i,-0.0017911-0.010909i,-0.023521-0.027744i,-0.0043358-0.016374i,-0.017379-0.0048329i,-0.018749-0.007123i,-0.037214+0.020477i,0.015108+0.0051132i,-0.015912-0.0073969i,-0.0042756+0.0046455i,-0.0031641+0.001626i,-0.018871+0.0039384i,0.0058484+0.0037526i,0.010627-0.013572i,0.018423-0.015185i,-0.00045122-0.0027096i,-0.0096229+0.0052653i,-0.0091306+0.0069166i,-0.0015251+0.020696i,-0.0071553+0.0061928i,-0.013217+0.042097i,-0.0063202+0.0044071i,7.4739e-05+0.0095411i,0.0009008+0.015317i,-0.0099091+0.0066393i,-0.0020669+0.0069159i,-0.0047272-0.00048188i,-0.0021785+0.0055115i,-0.0097048-0.0012914i,-0.0061526+0.004937i,-0.0041606-0.0028828i,0.002372+0.016551i,-0.0066023-0.0034964i,-0.0037375+0.012608i,-0.015103+0.0080396i,-0.029504-0.019305i,0.012821-0.024875i,-0.026534+0.031462i,-0.0209-0.0040675i,0.01328-0.010354i,0.0069135+0.0076445i,-0.0112-0.0038372i
-0.01845+0.01702i,-0.017724+0.00086842i,-0.031418-0.006546i,-0.027808+0.018218i,-0.030142+0.011682i,-0.018961+0.031424i,-0.043194+0.035548i,-0.027512+0.015785i,-0.0050536+0.015908i,0.0040248+0.0037892i,0.0034516+0.0086093i,0.012131+0.0032623i,0.002275-0.0049833i,0.009703+0.0081768i,0.0024075-0.0008045i,0.0073786+0.0077343i,0.0043766-0.013534i,0.00028457-0.0037875i,0.0031152+0.0010099i,-0.00097842-0.0045192i,0.0023799-0.0023875i,0.00139-0.0017912i,-0.001244-0.00037057i,0.015362-0.0046269i,0.00014135+0.0038151i,-0.00081654-0.0026545i,-0.0010722+0.001288i,0.0017802-0.0010505i,0.00032937-0.0022382i,-0.00019486+0.0021789i,0.0016668+0.0007075i,-0.0040699+0.0059216i,-0.0038061+0.005696i,-0.00061111-0.00049478i,-0.0016025-0.0013499i,0.016113+0.0010732i,-0.0042893-0.0028641i,-0.0034886+0.0002616i,-0.0033338-0.003176i,-0.0038827-0.0030758i,0.00045729-0.0012618i,-0.00036873-0.0028068i,0.00077995-0.001248i,-0.00013095+0.00463i,-0.0016271+0.011604i,0.040068+0.015416i,-0.017473-0.0079776i,-0.017319+0.021735i,-0.0051074-0.014593i,-0.0061566-0.0071674i,-0.049353-0.053412i,-0.05291-0.033867i,-0.021849-0.064572i,-0.021236+0.00075097i,0.010975-0.00801i,-0.005387-0.0088786i,-0.026666-0.012636i,-0.011025-0.016386i,-0.020679+0.001252i,-0.018017+0.0021429i,-0.026746+0.034246i,0.012691-0.0016169i,-0.014295+0.002304i,-0.0050031+0.0048539i,-0.00033165+0.0034482i,-0.013767+0.011426i,0.0056093+0.004562i,0.0048322-0.023086i,0.0042965-0.025749i,-0.0042285-0.0042831i,-0.0083947+0.010674i,-0.0072485+0.0097708i,0.0067743+0.019709i,-0.0031301+0.0088691i,0.0046977+0.052393i,-0.0056364+0.0055324i,0.0010105+0.0090637i,0.0066079+0.012258i,-0.0058769+0.014163i,-0.0015441+0.0082128i,-0.0068233+0.0016719i,0.0017217+0.0073648i,-0.0094327+0.0076504i,-0.0068867+0.0057472i,-0.0032861+0.0032975i,0.0070434+0.012968i,-0.0085369-0.0018187i,-0.00020396+0.0082618i,-0.011723+0.013266i,-0.028039-0.0066306i,0.0051873-0.040838i,-0.0022964+0.033634i,-0.01893+0.0022561i,0.012603-0.01816i,0.0065297-0.00019292i,-0.011631-0.00020701i
-0.012821+0.019283i,-0.02089+0.00021731i,-0.034176+0.0019169i,-0.023627+0.022427i,-0.02915+0.018647i,-0.011133+0.031768i,-0.031236+0.035694i,-0.022455+0.017965i,-0.0024253+0.014924i,0.0059521+0.0031507i,0.0066874+0.0080365i,0.0083267-0.0013809i,-0.00032317-0.0040849i,0.012023+0.0022072i,0.0021404-0.00097846i,0.0086351+0.0078523i,-0.00085511-0.0093522i,-0.0013023-0.0040272i,0.0030964-0.0015658i,-0.0018103-0.003078i,0.0016484-0.0038739i,0.0013761-0.0015483i,-0.0009972+0.00016095i,0.0098137-0.010877i,0.0026712+0.002241i,-0.001368-0.0017887i,0.0018964-0.00075424i,0.0010348-0.0020133i,-0.00064275-0.0016599i,0.00087493+0.0013024i,0.001644-0.00078766i,-0.0010267+0.006574i,0.00014849+0.0056978i,-0.00056334-0.00029416i,-0.0022359-0.0012006i,0.014698-0.004551i,-0.0038692-0.00045315i,-0.0030093+0.0017208i,-0.0039428-0.0011786i,-0.0065576-0.0011064i,-0.00019243-0.0013217i,-0.000215-0.0032994i,0.00083536-0.0013071i,0.00081868+0.0035378i,-0.00084362+0.011917i,0.033321+0.011699i,-0.013578-0.011633i,-0.00093047+0.025059i,-0.0040963-0.016716i,-0.010997-0.012036i,-0.059098-0.033288i,-0.051055-0.014407i,-0.03955-0.05615i,-0.0086669+0.0051898i,0.015233-0.020597i,-0.0067337-0.0059238i,-0.022507-0.006453i,-0.021353-0.011606i,-0.015305+0.010861i,-0.015252+0.0066163i,-0.0061184+0.038322i,0.010402-0.005248i,-0.012255+0.0046003i,-0.0019442+0.0037967i,-0.0011289+0.00095274i,-0.0066239+0.015439i,0.0087898+0.0016498i,-0.011557-0.024075i,-0.014351-0.02077i,-0.0050567+0.002172i,-0.003555+0.013627i,-0.0018514+0.01121i,0.014024+0.012504i,0.00069398+0.0087977i,0.029369+0.045826i,-0.0026762+0.0068204i,0.0031928+0.0091365i,0.010208+0.0074645i,0.0031423+0.016595i,-0.0026299+0.0081763i,-0.0059504+0.0078849i,0.0061933+0.0072461i,-0.0035127+0.011948i,-0.0069345+0.0087643i,-0.0006043+0.0049368i,0.0091005+0.0082524i,-0.0092998+0.002104i,0.0014016+0.0036122i,-0.0063911+0.013408i,-0.021456-0.0014264i,-0.017418-0.043641i,0.013961+0.018598i,-0.016774+0.006594i,0.0042234-0.027312i,0.0016031-0.0058708i,-0.0048073-0.00072737i
-0.0077755+0.019348i,-0.023992+0.0068924i,-0.033432+0.011258i,-0.017593+0.025106i,-0.024516+0.024797i,-0.0050693+0.030643i,-0.022455+0.033752i,-0.017957+0.019088i,0.00079538+0.014979i,0.0071069+0.0012966i,0.0094209+0.0035107i,0.0043283-0.00076743i,-0.0012905-0.0020602i,0.0096342-0.0019249i,0.0017147-0.001473i,0.01135+0.0061769i,-0.0024635-0.0051768i,-0.0030045-0.0030152i,0.0011058-0.0018076i,-0.0022444-0.0022893i,-0.00066779-0.0041812i,0.00082861-0.0018996i,-0.00086663+0.00067265i,0.0033641-0.013408i,0.0024119-0.00030179i,-0.0013018-0.0013411i,0.0013007-0.0030753i,-7.7595e-05-0.0021081i,-0.00036147-0.0013879i,0.00069009+0.00055385i,0.00080561-0.0018068i,0.0017556+0.0055162i,0.0024289+0.0042083i,-0.00047914-0.00025582i,-0.0022067+0.00012345i,0.011288-0.0085784i,-0.0026822+0.00031829i,-0.0014816+0.0025055i,-0.0030572-0.00023182i,-0.0066241+0.0019349i,-0.00082547-0.00068413i,-0.00095108-0.0032722i,0.00055595-0.0015091i,6.4757e-05+0.0026942i,0.0005918+0.01323i,0.037897+0.015214i,-0.014839-0.014894i,0.013038+0.01847i,-0.0044425-0.021655i,-0.014326-0.0077614i,-0.064487-0.015298i,-0.040888-0.0027204i,-0.055881-0.036465i,-6.334e-05+0.00055883i,0.0091272-0.030404i,-0.0068232-0.0046856i,-0.019351-0.0019292i,-0.027498+0.0012187i,-0.0088588+0.012507i,-0.010179+0.010771i,0.01149+0.029221i,0.0070335-0.0096352i,-0.011532+0.008138i,-0.0028951+0.0018241i,-0.0010992+0.0022038i,0.0015455+0.013374i,0.006749-0.0044012i,-0.023006-0.012595i,-0.021931-0.0061381i,-0.000245+0.005547i,0.0029519+0.01372i,0.0026954+0.010472i,0.017517+0.0053149i,0.0061533+0.007487i,0.04562+0.027276i,-0.00055078+0.0063122i,0.0056049+0.0085271i,0.0099985+0.0015232i,0.010977+0.010446i,-0.0024476+0.013975i,-0.00029093+0.012659i,0.010458+0.0027801i,0.0045224+0.011502i,-0.0052183+0.012255i,0.0012948+0.0045517i,0.0092588+0.0055896i,-0.008162+0.0060439i,-0.00029549+0.0010487i,-0.0044756+0.012169i,-0.012668+0.00053584i,-0.031048-0.026365i,0.016134+0.00037074i,-0.0050783+0.010005i,-0.0080447-0.030539i,-0.0075668-0.0067543i,-0.006869-0.0079837i
-0.0034801+0.018241i,-0.020309+0.014901i,-0.028369+0.020269i,-0.012417+0.02585i,-0.018561+0.028309i,2.8852e-05+0.029027i,-0.01611+0.030212i,-0.014692+0.019234i,0.0049113+0.013994i,0.0070074-0.001172i,0.0071509-0.0011855i,0.0042533+0.0010032i,-0.00070956-0.00065126i,0.0069349-0.0043344i,0.0011961-0.0013837i,0.013203+0.0026703i,-0.0010574-0.0024828i,-0.0036521-0.001258i,0.00021071-0.0013227i,-0.0029147-0.001215i,-0.0017385-0.0025732i,-0.00011114-0.0019479i,-0.00025042+0.0011721i,-0.0018783-0.011866i,0.0012166-0.0012776i,-0.0013222-0.0015281i,-0.00068616-0.0037971i,-0.00099806-0.0019102i,-0.00084322-0.0016492i,0.00082042+0.00034508i,-0.00041092-0.0024733i,0.0037944+0.0037207i,0.003303+0.0017432i,-0.00023624-0.00016449i,-0.0015305+5.1942e-05i,0.0065818-0.010904i,-0.0018721+0.00033257i,-0.00016489+0.0025084i,-0.0034947+0.00024448i,-0.0054273+0.0041999i,-0.0007672+1.0812e-05i,-0.0023855-0.0027077i,0.00039079-0.0016207i,-0.0010395+0.0035015i,0.0035301+0.014443i,0.051907+0.010552i,-0.019575-0.015407i,0.021993+0.0073874i,-0.0086524-0.022019i,-0.014318-0.0047726i,-0.062734+0.0050094i,-0.033551+0.0012974i,-0.052165-0.0096841i,0.004453-0.0044754i,-0.0015281-0.03667i,-0.0081438-0.0043615i,-0.018079-0.0025041i,-0.020794+0.014125i,-0.0039757+0.012339i,-0.0017282+0.0095115i,0.015597+0.014224i,0.0025296-0.010789i,-0.0082511+0.011855i,-0.0045703+0.0027917i,-0.00045829+0.0014641i,0.003638+0.0081389i,0.00066376-0.0039102i,-0.025053+0.0018493i,-0.019988+0.0055376i,0.0040159+0.0037748i,0.0065437+0.011701i,0.0043824+0.008155i,0.015204-0.0054241i,0.0075097+0.0014143i,0.049549+0.0051704i,6.3083e-05+0.0075395i,0.0089446+0.0051982i,0.007014-0.0017688i,0.011718+0.0046404i,0.0049307+0.017539i,0.0082104+0.0092821i,0.0090814-0.0017004i,0.0090576+0.0060888i,0.00043451+0.016815i,0.0016027+0.0060208i,0.0091442+0.0036703i,-0.0072729+0.0089363i,-0.0044471+0.0016367i,-0.0031176+0.01285i,-0.005025-0.003601i,-0.028955-0.012672i,0.0082976-0.011029i,0.0016371+0.0025874i,-0.021868-0.027212i,-0.011335+0.0017826i,-0.013369-0.0056467i
-0.00055279+0.016803i,-0.013621+0.017587i,-0.020353+0.025754i,-0.0081658+0.026006i,-0.012236+0.030329i,0.0044833+0.026908i,-0.013401+0.026777i,-0.012379+0.01983i,0.0081421+0.011077i,0.0060419-0.0032088i,0.0034101-0.0017054i,0.0053386+0.00074074i,0.00046373-0.00054508i,0.0041674-0.0052892i,0.0011588-0.0013395i,0.01221-0.0020758i,0.0002855-0.0031631i,-0.0032801+0.00058597i,-0.00034823-0.00099685i,-0.002671+0.00061685i,-0.001714-0.0018344i,-0.00078917-0.0009196i,0.00055829+0.0012575i,-0.0052099-0.0094508i,0.00031432-0.0015451i,-0.0020683-0.0012107i,-0.0023658-0.003119i,-0.0017026-0.001263i,-0.001605-0.0012925i,0.00081509-0.00022062i,-0.001957-0.0020808i,0.0046789+0.0009074i,0.0033549-3.3228e-05i,-0.00015898-0.00034335i,-0.0018397+0.00026915i,0.0014852-0.0099837i,-0.0020043-0.00035659i,0.00083781+0.0019268i,-0.0030504+0.00192i,-0.0036517+0.0061459i,-0.0004263+0.0003299i,-0.0026126-0.0012446i,2.6463e-05-0.001901i,4.0361e-05+0.0057763i,0.0081007+0.014136i,0.065136-0.0089279i,-0.025345-0.011233i,0.024211-0.0045416i,-0.0082106-0.022814i,-0.014396-0.0026493i,-0.05254+0.019435i,-0.02691+0.005024i,-0.037702+0.0021785i,0.0058515-0.011995i,-0.014711-0.037496i,-0.0092793-0.002298i,-0.020607-0.0021466i,-0.011385+0.017733i,-0.00010745+0.0099281i,0.0014863+0.0026812i,0.010878+0.003963i,-0.0026881-0.010875i,-0.0032494+0.013882i,-0.0048275+0.0048204i,-0.0014477+0.00042867i,0.003015+0.005674i,-0.00043539+0.00056263i,-0.01918+0.013143i,-0.013301+0.013546i,0.0041917+0.00083442i,0.011183+0.0085748i,0.0059094+0.0065792i,0.0076632-0.010594i,0.0048409-0.0019196i,0.043874-0.01264i,0.0032472+0.0078095i,0.0084127+0.0015857i,0.0045938-0.0026982i,0.011946+0.0012515i,0.013276+0.015755i,0.0098266+0.0032024i,0.0075537-0.0042104i,0.0087913+0.0016725i,0.0091535+0.015436i,0.0042001+0.0054091i,0.0099736+0.00011938i,-0.0022427+0.013769i,-0.0040783+0.0047736i,2.885e-05+0.0138i,-0.0045638-0.011705i,-0.024773-0.006877i,0.0019874-0.013897i,0.0006229-0.0049468i,-0.033141-0.018406i,-0.0074296+0.0040076i,-0.01327-0.0023386i
0.0020772+0.015531i,-0.0073959+0.01737i,-0.011371+0.027908i,-0.0033857+0.026231i,-0.0056851+0.030301i,0.008009+0.024508i,-0.011735+0.025578i,-0.0095081+0.021177i,0.0098999+0.0078669i,0.0045466-0.0049133i,0.0020895-0.00080957i,0.0063435-0.00067394i,0.00061994-0.00109i,0.0016513-0.0047524i,0.00078045-0.0017076i,0.0092639-0.0048257i,-0.00077149-0.0046703i,-0.0023732+0.001565i,-0.00056765-0.00033285i,-0.0014736+0.0017436i,-0.0020792-0.0011787i,-0.00029483+5.9544e-05i,0.0011791+0.00088995i,-0.0078822-0.0068966i,-0.00058503-0.0012158i,-0.0025141-0.00027315i,-0.0037994-0.0016264i,-0.0019447-0.00033597i,-0.0020328-0.0003243i,0.00011136-0.00061906i,-0.002887-0.00085205i,0.0031835-0.001392i,0.0025991-0.0018629i,-0.00023499-0.00050367i,-0.0020674+0.00060421i,-0.0010567-0.0069846i,-0.0024705+0.00020174i,0.0015+0.00093933i,-0.0018272+0.0025641i,-0.00059811+0.0071677i,-0.00020908+0.00055062i,-0.0020679-0.00038514i,-0.00055254-0.0021701i,0.0023281+0.0052072i,0.01234+0.011246i,0.061075-0.035937i,-0.027935-0.0038016i,0.024288-0.015639i,-0.010047-0.028884i,-0.01356-0.00028178i,-0.042484+0.027405i,-0.020873+0.0048158i,-0.026855+0.0064919i,0.0024132-0.016719i,-0.028951-0.033432i,-0.0099143-0.00060197i,-0.026347+0.0013452i,-0.00389+0.017065i,0.0013856+0.0064198i,-0.00045637-0.0024305i,0.0045028+0.0009231i,-0.0085965-0.0097855i,0.00091056+0.01325i,-0.0031995+0.0067137i,-0.002742+0.0018178i,0.0011313+0.0044877i,0.0014759+0.002509i,-0.010592+0.017749i,-0.0046049+0.017012i,0.0048601-0.00083085i,0.013941+0.0021817i,0.0075497+0.0049114i,0.00088087-0.010005i,0.0024302-0.0026306i,0.032931-0.025134i,0.0062621+0.0066013i,0.0078888+1.732e-05i,0.0022005-0.0025875i,0.011449-0.0051936i,0.019582+0.0090558i,0.0084658-0.0011273i,0.0049417-0.0066133i,0.0073917-0.0017087i,0.014822+0.010304i,0.0055161+0.0047884i,0.006891-0.0033877i,0.0050113+0.013508i,-0.0017648+0.005168i,0.0050333+0.013041i,-0.0097735-0.014794i,-0.021384-0.0015729i,-0.0023537-0.015718i,-0.0045014-0.007341i,-0.039196-0.0058019i,-0.0064887+0.0035477i,-0.012268-0.00038871i
