-0.024353-0.0046806i,-0.021269-0.0073689i,-0.012188-0.013211i,-0.034998-0.0075043i,-0.027067+0.0018536i,-0.035477-0.0026512i,-0.066472-0.038703i,-0.032346-0.014739i,-0.021477+0.0025157i,0.0059509+0.006323i,-0.0049744+0.0074215i,-0.0086292+0.017713i,0.0058094+0.0080751i,-0.0011627+0.0030492i,0.0041736+0.0037076i,0.0043838+0.025796i,0.022031+0.019881i,0.0012148-0.00064502i,0.0012752-0.0044543i,0.0087498+9.1906e-05i,0.0050822-0.00048617i,0.002096+0.0014113i,0.0012932-0.00064803i,-0.024218-0.002198i,-0.0048055-0.0040626i,-0.0003019+0.0032115i,0.004445-0.0044585i,-0.0019785-0.00056116i,-0.00030689+0.0010789i,-0.0019053-0.0013672i,-0.0036692-0.00031041i,-0.0069089-0.008591i,-0.0048415-0.0073847i,-0.00062294+0.0001638i,-0.00023616-0.002169i,0.00054885+0.021864i,0.0027501-0.0039749i,0.00078643-0.004408i,0.0029012-0.0019749i,-0.0030986-0.0032039i,0.0010068-0.00013204i,0.0080578-0.0020218i,0.0030437-0.002304i,7.754e-05+0.0025948i,-0.013198+0.015491i,-0.026781+0.054333i,-0.0050793-0.037262i,-0.014825-0.018625i,-0.039889-0.016493i,-0.026972-0.012573i,0.037337-0.011572i,0.0065447-0.030039i,0.012977-0.038065i,-0.0078416-0.029584i,0.02538-0.022887i,0.013268+0.0073248i,0.028131-0.036011i,-0.0018034-0.0044789i,0.0062223-0.0090861i,-0.0011661-0.0058703i,-4.3093e-05-0.035871i,-0.014221+0.029721i,0.0086733-0.011395i,-0.0088611-0.0048716i,-0.0025446-0.0022197i,3.7058e-05-0.015734i,-0.007487+0.0060381i,0.0041182+0.0063191i,-0.0018064+0.029125i,0.0022968+0.0010563i,-0.0072283-0.0043875i,-0.0038583-0.0064844i,-0.014546-0.010017i,-0.0023005-0.0057167i,-0.03459+0.0061713i,-0.0048115-0.0085505i,-0.012934-0.0012122i,-0.010291-0.0057642i,0.0019623-0.0017454i,-0.013985+0.0024512i,-0.001793-0.00072952i,0.0056379+0.0062991i,0.0039288-0.0052187i,-0.013999-0.013956i,0.0076873+0.0083277i,-0.016435+0.0051291i,0.004869+3.9952e-05i,-0.01889-0.0032713i,-0.016744-0.0046892i,-0.014349-0.035533i,0.019844-0.0097291i,-0.039612-0.024758i,-0.01051+0.0047189i,0.017582+0.015589i,-0.022633+0.016997i,-0.004214-0.003873i
-0.025921-0.0016695i,-0.019356+0.0012389i,-0.013015-0.013701i,-0.036047-0.002762i,-0.025978+0.0027268i,-0.037132+0.004647i,-0.072568-0.026853i,-0.033441-0.01046i,-0.01953+0.0065698i,0.0049689+0.0040252i,-0.0050345+0.005926i,-7.0797e-05+0.020212i,0.0084532+0.0046735i,-0.0036266+0.0051018i,0.0043638+0.0020979i,0.0094905+0.02037i,0.023243+0.01143i,0.0019454-0.00014217i,-2.7601e-05-0.0029172i,0.0069069-0.0032743i,0.0037208-0.0017559i,0.0018477+0.00082971i,0.0012377-0.0010454i,-0.013999+0.0077695i,-0.00566-0.0016405i,0.0029182+0.0014723i,0.001526-0.0021961i,-0.00099914+0.00094126i,0.001068+0.00027831i,-0.0022704-0.00055175i,-0.0025783+0.00090044i,-0.0083181-0.0059036i,-0.0065914-0.0050364i,-0.00034111+9.7908e-05i,3.3152e-05-0.001439i,0.0071748+0.018951i,0.0019575-0.0049897i,-0.0013082-0.0038317i,0.0031083-0.0034876i,-0.0022723-0.0030365i,0.0013591-2.9924e-05i,0.0065279-0.0032717i,0.0017637-0.0022496i,-0.0011086+0.0028912i,-0.0090234+0.016364i,-0.0066546+0.059675i,-0.013394-0.036292i,-0.0255-0.020426i,-0.03029-0.004719i,-0.020184-0.0021082i,0.033418-0.034149i,0.007977-0.045351i,0.016283-0.037165i,-0.012979-0.030771i,0.014439-0.018129i,0.011643-0.0030854i,0.013196-0.038367i,3.7812e-07-0.0014612i,-0.0014839-0.017316i,-0.0021927-0.0061857i,-0.024053-0.032337i,-0.0014812+0.025211i,0.0031892-0.015105i,-0.010738+4.4406e-05i,-0.00086843-0.0010881i,-0.0070989-0.015189i,-0.0074615+0.010086i,0.0086824+0.0055573i,0.016069+0.022116i,0.0012138-0.0012442i,-0.0070302-0.00067692i,-0.0083207-0.0054343i,-0.019167+0.00034703i,-0.0018738-0.0041929i,-0.036717+0.014936i,-0.0080785-0.0035678i,-0.012023+0.0036622i,-0.012899-4.4088e-05i,-0.0010318-0.0055828i,-0.010913+0.0066454i,-0.00089821-0.0022141i,0.0033736+0.00042487i,-0.00020345-0.005894i,-0.020106-0.002929i,0.0085873+0.0032245i,-0.011659+0.011055i,0.0049321-0.002968i,-0.01752+0.0039526i,-0.018379+8.3132e-07i,-0.019743-0.032301i,0.016059-0.017342i,-0.045253-0.01039i,-0.0018678-0.0022845i,0.018961+0.0095112i,-0.015066+0.022794i,-0.011138-0.009094i
-0.025762+0.0028611i,-0.014204+0.00077556i,-0.015314-0.014773i,-0.036468+0.0035328i,-0.025667+0.0037799i,-0.037082+0.012346i,-0.079665-0.0092284i,-0.036105-0.0052629i,-0.017626+0.0095184i,0.0039894+0.0031437i,-0.0052755+0.0084245i,0.0069525+0.016419i,0.0086754+0.00072149i,-0.003199+0.0080978i,0.0043199+0.0010884i,0.011866+0.014133i,0.024923+0.0040482i,0.0030584-0.0010575i,-0.00019369-0.0024367i,0.0047895-0.0045417i,0.0021277-0.0022306i,0.0025408+0.00087396i,0.00077167-0.0016764i,-0.0061304+0.011097i,-0.005058+0.00078021i,0.0033003-0.0015404i,0.0011354-0.0014462i,0.00060434+0.00098788i,0.00083856-0.00034343i,-0.0018922+0.00014962i,-0.0018702+0.0014651i,-0.0096232-0.0024531i,-0.0075445-0.0024258i,-0.00014512-0.00017872i,0.00023888-0.0028388i,0.011981+0.01384i,0.00056611-0.0054326i,-0.0023899-0.0025969i,0.0014966-0.005534i,-0.0032628-0.0024272i,0.0015641-0.0005048i,0.0046443-0.0050441i,0.0013277-0.0020865i,-0.00081613+0.0034693i,-0.0055564+0.015156i,0.011943+0.05755i,-0.021245-0.032612i,-0.034-0.0099034i,-0.015828-0.0031759i,-0.013666-0.0044686i,0.0229-0.051084i,-0.0064968-0.058596i,0.0215-0.043507i,-0.018707-0.025612i,0.010548-0.017227i,0.0081304-0.0070103i,0.0011485-0.039745i,0.0074924-0.005223i,-0.011358-0.015509i,-0.0030464-0.0091237i,-0.040452-0.01825i,0.0054218+0.020892i,-0.0037086-0.015445i,-0.0080241+0.0030243i,-0.0024525-0.0013255i,-0.014115-0.012137i,-0.00055165+0.013656i,0.013175-0.00059316i,0.024268+0.0073132i,0.00059957-0.0020826i,-0.0071098+4.0916e-06i,-0.010311-0.0021748i,-0.015771+0.011018i,-0.006422-0.0029296i,-0.030725+0.027523i,-0.0076406+0.00064708i,-0.0099928+0.0089182i,-0.013057+0.0080767i,-0.0070395-0.004361i,-0.0090598+0.0088722i,-0.0026026-0.0025513i,-0.00085369-0.00026897i,-0.0026824-0.0051779i,-0.013216+0.0068963i,0.0065281-0.0016875i,-0.0067393+0.012513i,0.0011383-0.0068073i,-0.013981+0.0081554i,-0.016713+0.00451i,-0.022745-0.027877i,0.0087603-0.019606i,-0.043343+0.0028518i,-0.0075681-0.011333i,0.018558+0.0025633i,-0.0036978+0.021438i,-0.014112-0.0057975i
-0.02452+0.0073513i,-0.014344-0.002455i,-0.019343-0.015247i,-0.033907+0.0098203i,-0.026132+0.0050007i,-0.03329+0.020696i,-0.075891+0.016505i,-0.036916+0.0038886i,-0.01508+0.013649i,0.0037795+0.003147i,-0.0020693+0.010697i,0.0094761+0.011508i,0.007247-0.002473i,-2.3205e-05+0.01114i,0.0036811+0.00011166i,0.010228+0.0075608i,0.023874-0.0071311i,0.0025165-0.0029139i,-0.0012158-0.00081155i,0.0027463-0.0049621i,0.0016457-0.0017586i,0.0032851+0.00010952i,2.4807e-05-0.0018209i,0.0034337+0.014566i,-0.0037092+0.0022314i,0.0013772-0.0030733i,0.0018636-0.0019133i,0.00089428+0.00020035i,0.0010112-0.00052056i,-0.0020262+0.000526i,-0.00079342+0.0019948i,-0.0089988+0.001011i,-0.0078474+0.00066462i,-5.8694e-06-0.00044405i,-0.0018043-0.0028281i,0.012625+0.0088755i,-0.0014831-0.0056833i,-0.0027778-0.00159i,-0.0011475-0.0054994i,-0.0026692-0.00087332i,0.0014948-0.0011433i,0.0018511-0.0053676i,0.00062945-0.002116i,-0.00026661+0.0029129i,-0.0022914+0.013818i,0.029009+0.049426i,-0.027446-0.024909i,-0.033131+0.0038033i,-0.010012-0.0069835i,-0.011571-0.0048755i,0.0033742-0.066134i,-0.025806-0.05761i,0.016356-0.060321i,-0.020533-0.022102i,0.006801-0.015179i,0.003256-0.010921i,-0.012344-0.036467i,0.0035621-0.014314i,-0.015328-0.0095883i,-0.0091649-0.01199i,-0.044332+0.004147i,0.013861+0.014208i,-0.010023-0.013094i,-0.0053341+0.0035647i,-0.0029156-0.0001702i,-0.018754-0.0053948i,0.0066222+0.0092857i,0.013129-0.0079456i,0.022638-0.0058084i,-0.00022484-0.0027981i,-0.0081979+0.0016448i,-0.011707+0.0024441i,-0.0097572+0.018383i,-0.0077694+0.0018523i,-0.021238+0.035872i,-0.0066772+0.0028874i,-0.0041069+0.011735i,-0.0067782+0.014519i,-0.010247+0.0017174i,-0.0043427+0.01006i,-0.0033994-0.0013554i,-0.0028472+0.0018198i,-0.0056233-0.0041725i,-0.0070517+0.007111i,0.00086936-0.005086i,-0.0038569+0.014607i,-0.0039301-0.0057785i,-0.0093233+0.010973i,-0.014803+0.0058824i,-0.024504-0.024693i,0.0086802-0.018351i,-0.037528+0.016818i,-0.016022-0.010992i,0.017566-0.0040589i,0.0047327+0.015743i,-0.012674-0.002782i
-0.022178+0.012373i,-0.017921-0.0015023i,-0.025764-0.013038i,-0.030504+0.014517i,-0.027733+0.0071368i,-0.027157+0.027285i,-0.058604+0.031063i,-0.032287+0.011466i,-0.0095056+0.015703i,0.003953+0.0030859i,0.0016645+0.0095712i,0.01082+0.0082807i,0.0047684-0.00417i,0.0051076+0.011183i,0.0030288-0.00056166i,0.0071672+0.0068806i,0.013538-0.014707i,0.00098966-0.0037876i,0.00043138+0.0022526i,0.0010118-0.0050187i,0.001653-0.00094803i,0.0027391-0.0014087i,-0.00095256-0.0013584i,0.014095+0.0070337i,-0.0021908+0.0034801i,0.00011745-0.0028704i,0.00028464-0.0024578i,0.0013319+0.00026424i,0.001018-0.0010711i,-0.0016611+0.0015926i,0.00052936+0.0018544i,-0.0071749+0.0044971i,-0.0057756+0.0033884i,-0.00043691-0.00065017i,-0.0021711-0.0015938i,0.014148+0.006231i,-0.003462-0.0044383i,-0.0033001-0.00048113i,-0.0026358-0.003887i,-0.0022526-0.0020114i,0.00062376-0.0016834i,-1.5436e-05-0.0042546i,0.000387-0.0015927i,-0.0010089+0.0033261i,-0.0010823+0.01122i,0.04236+0.034458i,-0.026478-0.014147i,-0.025624+0.014788i,-0.0063929-0.012324i,-0.009415-0.0044044i,-0.024867-0.069183i,-0.040464-0.048376i,-0.0036579-0.069422i,-0.026195-0.01495i,0.0061571-0.011856i,-0.0021641-0.010752i,-0.023836-0.027694i,-0.0044418-0.016463i,-0.017549-0.0051654i,-0.018647-0.0075349i,-0.037461+0.020275i,0.015471+0.0043138i,-0.015683-0.0069609i,-0.0043041+0.004199i,-0.0031828+0.0017555i,-0.019252+0.0039616i,0.0056266+0.0037144i,0.010437-0.012941i,0.018192-0.015351i,-0.0010569-0.0030812i,-0.0095569+0.0054972i,-0.00918+0.0071905i,-0.0015076+0.020826i,-0.0066372+0.006141i,-0.012398+0.042324i,-0.0063369+0.0044076i,-0.00027811+0.0097293i,0.00060459+0.015323i,-0.010281+0.0068694i,-0.0020958+0.0069913i,-0.0047048-0.00072979i,-0.0026437+0.0052263i,-0.0096816-0.0013265i,-0.006122+0.0053085i,-0.0041424-0.0026521i,0.0024552+0.016011i,-0.0069574-0.0033171i,-0.0031897+0.01175i,-0.01512+0.0084426i,-0.029297-0.019097i,0.013043-0.02529i,-0.026166+0.031116i,-0.020735-0.0035092i,0.013259-0.010186i,0.0067923+0.0071503i,-0.011655-0.0033422i
-0.017682+0.015763i,-0.017365+0.00076535i,-0.030807-0.0060427i,-0.027228+0.018482i,-0.029544+0.012011i,-0.018551+0.031127i,-0.043055+0.036053i,-0.026765+0.015627i,-0.0049934+0.015397i,0.0038422+0.0032995i,0.0028259+0.0084148i,0.011932+0.0033827i,0.0023996-0.0048231i,0.0096957+0.0081745i,0.0024428-0.00092022i,0.0072677+0.0077269i,0.0039826-0.013674i,-6.4962e-05-0.00372i,0.0029752+0.0014152i,-0.00089066-0.0043106i,0.0024837-0.0023043i,0.0015354-0.0018824i,-0.0010429-0.00044742i,0.014822-0.003225i,0.00017933+0.0038112i,-0.00087263-0.0026371i,-0.00092221+0.0014495i,0.0018231-0.00071179i,0.00042066-0.0019059i,-7.6893e-05+0.0022526i,0.0017924+0.00078113i,-0.0042639+0.005793i,-0.0038451+0.0056188i,-0.00058788-0.0001572i,-0.0017162-0.00090699i,0.015916+0.0018557i,-0.004721-0.0025502i,-0.0037378+0.00043788i,-0.0035643-0.0028717i,-0.004063-0.00269i,0.00019745-0.0013376i,-0.00098978-0.0029354i,0.00011272-0.0012779i,-0.00029183+0.0042075i,-0.0013452+0.010152i,0.040022+0.014777i,-0.017354-0.0079834i,-0.016925+0.02186i,-0.0052944-0.014891i,-0.0063053-0.0072475i,-0.049753-0.05382i,-0.052291-0.034005i,-0.021556-0.064841i,-0.021078+0.0011245i,0.011475-0.0085249i,-0.005452-0.0087195i,-0.026769-0.012284i,-0.011068-0.016125i,-0.02128+0.0010963i,-0.018038+0.0016636i,-0.026699+0.034368i,0.012746-0.0026916i,-0.01398+0.0022458i,-0.005095+0.0046574i,-0.00023837+0.0035843i,-0.013739+0.011186i,0.0053593+0.0046947i,0.0050532-0.022623i,0.0039883-0.026112i,-0.0046988-0.0040618i,-0.008648+0.010771i,-0.0071769+0.0097758i,0.0070716+0.019641i,-0.0027627+0.0089345i,0.0051404+0.052189i,-0.0058251+0.005308i,0.00098319+0.0094407i,0.0063836+0.012334i,-0.0062199+0.014457i,-0.0014576+0.0075876i,-0.0066402+0.0016708i,0.0011678+0.007327i,-0.0095052+0.0076872i,-0.0067195+0.0063563i,-0.0035131+0.003316i,0.0071386+0.012633i,-0.0089331-0.0018198i,0.00012819+0.0074546i,-0.011172+0.013121i,-0.027289-0.0070604i,0.0049776-0.040693i,-0.0017687+0.033603i,-0.017875+0.0027139i,0.01268-0.018238i,0.0065671-0.00059698i,-0.010689-0.00014818i
-0.012509+0.017811i,-0.020777+6.0401e-05i,-0.033539+0.0021379i,-0.022941+0.022536i,-0.028471+0.018713i,-0.010769+0.031425i,-0.030796+0.036367i,-0.021787+0.01779i,-0.0024057+0.014531i,0.0054635+0.0028226i,0.0062467+0.0081796i,0.0082019-0.001193i,-0.00014123-0.0040683i,0.012082+0.0021237i,0.0020227-0.0011439i,0.0084651+0.0078141i,-0.0011633-0.0092754i,-0.0016149-0.003859i,0.0028381-0.0010254i,-0.0016225-0.0028643i,0.0016553-0.0037659i,0.0016248-0.001517i,-0.00084886+6.434e-05i,0.0099652-0.0095543i,0.0026138+0.0022495i,-0.0013808-0.0017714i,0.0018365-0.00082961i,0.0013653-0.0018324i,-0.00037832-0.0014478i,0.0010021+0.001313i,0.0017897-0.00074878i,-0.0012294+0.0065855i,4.1118e-05+0.0058721i,-0.00038704-2.2575e-05i,-0.0022196-0.00085615i,0.014743-0.0039863i,-0.0041039-0.00021448i,-0.0030468+0.0019831i,-0.0041562-0.00086238i,-0.0064443-0.00064083i,-0.00057541-0.0012727i,-0.00085751-0.0031912i,0.00017653-0.0011693i,0.00026744+0.0030412i,-0.0010392+0.010546i,0.033077+0.011651i,-0.013498-0.011417i,-0.00051861+0.025539i,-0.0038688-0.016778i,-0.011164-0.011835i,-0.059512-0.033293i,-0.050773-0.014592i,-0.039882-0.056094i,-0.0080664+0.0048701i,0.014984-0.021193i,-0.0067305-0.00586i,-0.02269-0.0064826i,-0.021425-0.011314i,-0.015096+0.011486i,-0.015434+0.0059272i,-0.0058917+0.03802i,0.010035-0.0063649i,-0.012295+0.0048252i,-0.002096+0.0037519i,-0.0012052+0.000947i,-0.0064434+0.015087i,0.0086066+0.0018408i,-0.011222-0.023618i,-0.014712-0.020961i,-0.0052756+0.0018104i,-0.0036313+0.014095i,-0.001298+0.011277i,0.014199+0.012352i,0.00095961+0.0091096i,0.029246+0.045485i,-0.002981+0.0068755i,0.0030181+0.0090029i,0.010009+0.0073255i,0.0030064+0.016727i,-0.0033331+0.007898i,-0.0061378+0.0080812i,0.0059231+0.0071728i,-0.0038403+0.012335i,-0.0069711+0.0088378i,-0.0010621+0.0046871i,0.0086681+0.0083032i,-0.0097433+0.0023302i,0.0015151+0.0032434i,-0.0063723+0.012787i,-0.021026-0.0021549i,-0.017437-0.043665i,0.014324+0.018474i,-0.015749+0.0064535i,0.0037192-0.027092i,0.0012814-0.0060339i,-0.0050003-0.0015454i
-0.0077772+0.018143i,-0.023814+0.0071051i,-0.032809+0.01148i,-0.016786+0.025064i,-0.023845+0.024697i,-0.004801+0.030338i,-0.021709+0.034265i,-0.017338+0.018882i,0.00085921+0.014664i,0.0064793+0.001157i,0.0091727+0.0034359i,0.0043083-0.00068939i,-0.0011431-0.002131i,0.009555-0.0019977i,0.001605-0.001548i,0.011118+0.00624i,-0.0025715-0.0048723i,-0.0032934-0.0026138i,0.00099837-0.0013805i,-0.0021027-0.0021966i,-0.00059465-0.0039821i,0.0010923-0.0021503i,-0.00070642+0.00051197i,0.0038349-0.012363i,0.0023853-0.00011671i,-0.001273-0.0011911i,0.0013942-0.0032662i,0.00021206-0.0019938i,-6.6755e-05-0.0012734i,0.00084265+0.00050929i,0.00090859-0.0018743i,0.0016979+0.005742i,0.0024277+0.0043788i,-0.00019303-6.3822e-05i,-0.0020951+0.0005686i,0.011458-0.0082249i,-0.0029582+0.00061804i,-0.0014006+0.0027995i,-0.0030871+0.00025784i,-0.0063605+0.002187i,-0.0010855-0.00048592i,-0.0016237-0.0029907i,-8.5271e-05-0.0012045i,-0.00037708+0.002505i,0.00015174+0.012077i,0.037956+0.015029i,-0.014791-0.014836i,0.01388+0.018705i,-0.0043941-0.022117i,-0.013974-0.0076011i,-0.064985-0.015232i,-0.041022-0.0028824i,-0.055708-0.036276i,0.0001497-0.00010637i,0.0088068-0.030689i,-0.0070617-0.0045482i,-0.019569-0.0018637i,-0.027464+0.0011447i,-0.0087889+0.012666i,-0.010815+0.010594i,0.011518+0.029328i,0.0061268-0.010047i,-0.011995+0.008413i,-0.0027571+0.001699i,-0.001037+0.0024434i,0.0014457+0.012961i,0.0068755-0.0042313i,-0.022694-0.012538i,-0.022726-0.006431i,-0.00071612+0.0054748i,0.0029999+0.013928i,0.0029362+0.010291i,0.017589+0.004908i,0.0068971+0.0078847i,0.045213+0.027255i,-0.00081755+0.0062929i,0.0053801+0.0088574i,0.0097223+0.0015511i,0.011163+0.010741i,-0.0027595+0.013813i,-0.00036646+0.012918i,0.0099507+0.0026512i,0.0041259+0.01186i,-0.0054758+0.012654i,0.00074415+0.0045932i,0.009063+0.0055608i,-0.0083338+0.0057513i,-0.00016985+0.00053874i,-0.0043022+0.012173i,-0.012602+8.5e-05i,-0.030756-0.027218i,0.016592+0.00053728i,-0.0044694+0.0095558i,-0.0085469-0.030376i,-0.0076558-0.0064741i,-0.0070424-0.0084198i
-0.0037725+0.01726i,-0.019927+0.015032i,-0.027566+0.020266i,-0.011532+0.02568i,-0.018086+0.028152i,0.00035881+0.028703i,-0.015223+0.030525i,-0.014001+0.019074i,0.0049651+0.013679i,0.0062184-0.0010463i,0.0067226-0.0010476i,0.0042831+0.0010229i,-0.00066632-0.00074702i,0.0069251-0.0042088i,0.0010544-0.0015101i,0.013092+0.0029383i,-0.00102-0.0020296i,-0.0037192-0.00079763i,0.00023716-0.000684i,-0.0028349-0.0011136i,-0.0015943-0.0024443i,1.9691e-05-0.0021503i,-0.00021798+0.00098504i,-0.0011983-0.01109i,0.001316-0.0011546i,-0.0011392-0.0014473i,-0.00056016-0.0038042i,-0.00076107-0.0017991i,-0.00057687-0.0016257i,0.00089793+0.00029302i,-0.00037782-0.0025697i,0.0038159+0.0040226i,0.0034204+0.0018899i,1.9179e-05-6.7543e-07i,-0.0012328+0.0002414i,0.0067337-0.010648i,-0.0019597+0.00075151i,-3.2058e-05+0.002802i,-0.0033046+0.00064155i,-0.0051508+0.0042756i,-0.0010059+0.00021325i,-0.0028357-0.0022159i,-0.00013326-0.0010762i,-0.001474+0.0033885i,0.0027653+0.013537i,0.051924+0.010336i,-0.019643-0.01542i,0.022999+0.0072672i,-0.0088772-0.022182i,-0.013961-0.0048012i,-0.062837+0.0052595i,-0.033527+0.00093265i,-0.05189-0.0096445i,0.0041288-0.0048126i,-0.0019757-0.037222i,-0.0083299-0.003797i,-0.018123-0.0019961i,-0.020615+0.014208i,-0.0034875+0.012598i,-0.0022191+0.0099118i,0.015738+0.01482i,0.0015937-0.010903i,-0.0086194+0.012294i,-0.0041914+0.0026652i,-8.4766e-05+0.0016095i,0.0036817+0.0083259i,0.00043062-0.0038333i,-0.024676+0.0018676i,-0.020862+0.00598i,0.0039418+0.0035444i,0.0067202+0.011767i,0.0048539+0.0081686i,0.015252-0.0056505i,0.007867+0.0015979i,0.049278+0.0055958i,-0.00019383+0.007398i,0.0087468+0.0055204i,0.0072432-0.0015639i,0.012212+0.0045223i,0.0043834+0.017362i,0.007921+0.0095133i,0.0088083-0.0016973i,0.0088388+0.0065078i,-0.00011307+0.01704i,0.0014667+0.0058376i,0.0089398+0.0036238i,-0.0080345+0.008708i,-0.0046689+0.0011725i,-0.0026726+0.012564i,-0.0051982-0.0039305i,-0.029125-0.012951i,0.0087294-0.011379i,0.0016139+0.0020455i,-0.021896-0.026661i,-0.011325+0.0023205i,-0.013802-0.0060185i
-0.0010261+0.01602i,-0.013235+0.017728i,-0.019465+0.025675i,-0.0071869+0.025556i,-0.011838+0.030147i,0.004695+0.026603i,-0.012235+0.026759i,-0.011559+0.019511i,0.008206+0.010834i,0.0054694-0.0027108i,0.0033986-0.001276i,0.0054383+0.00080056i,0.00045619-0.00069031i,0.0042828-0.0052864i,0.0010112-0.0014063i,0.012351-0.0016436i,0.0005083-0.0026066i,-0.0031928+0.00096638i,6.4793e-05-0.00069405i,-0.0025012+0.00064861i,-0.0015096-0.0017604i,-0.00059218-0.0010738i,0.00051842+0.0011336i,-0.0041244-0.0090136i,0.00049566-0.0013962i,-0.0019127-0.0011806i,-0.0022665-0.0032162i,-0.0014607-0.0012385i,-0.0013808-0.0013902i,0.00085025-0.00034183i,-0.0019379-0.0021282i,0.0049387+0.0011429i,0.0034409-9.7776e-05i,8.2691e-05-0.00031302i,-0.0015561+0.00030383i,0.0016721-0.0097749i,-0.0019856+9.3203e-06i,0.0011263+0.0022064i,-0.0027655+0.0021412i,-0.0034782+0.0061613i,-0.00067175+0.0006196i,-0.0027751-0.00070755i,-0.00026103-0.0012589i,-0.00038506+0.005979i,0.0070799+0.013554i,0.065037-0.0093145i,-0.025654-0.011174i,0.024443-0.0052125i,-0.0082882-0.022649i,-0.014086-0.0027668i,-0.052451+0.019593i,-0.027284+0.0047363i,-0.037242+0.0022148i,0.005523-0.012185i,-0.015555-0.037822i,-0.0092168-0.0021462i,-0.020288-0.0013631i,-0.010821+0.017749i,0.00034731+0.0099683i,0.0013863+0.0029883i,0.011536+0.0045953i,-0.0028811-0.010354i,-0.0039633+0.013881i,-0.0045244+0.004725i,-0.0011813+0.00018918i,0.0033305+0.0056554i,-0.00042519+0.00058023i,-0.019048+0.01313i,-0.01342+0.013723i,0.0040708+0.0011453i,0.011247+0.008714i,0.0064977+0.0064563i,0.0077478-0.010627i,0.0050969-0.0016265i,0.04371-0.012382i,0.0029966+0.0079378i,0.0084013+0.0017927i,0.0048904-0.0024737i,0.012112+0.0013767i,0.012932+0.015788i,0.0093808+0.0039531i,0.0076519-0.0041685i,0.0087513+0.0016295i,0.008855+0.015917i,0.0035859+0.0050867i,0.0099212+3.4678e-05i,-0.0026899+0.013892i,-0.0045797+0.004534i,-0.00030343+0.013485i,-0.0042528-0.011705i,-0.024971-0.0069277i,0.0018505-0.01406i,-0.00011235-0.0050154i,-0.032831-0.018002i,-0.0070803+0.0047834i,-0.013857-0.0027085i
0.0014679+0.01507i,-0.0068939+0.017308i,-0.01064+0.027607i,-0.0026496+0.025569i,-0.0053414+0.030017i,0.0082112+0.024178i,-0.010606+0.025214i,-0.0087013+0.020489i,0.010051+0.0075959i,0.0041073-0.0043163i,0.0022608-0.00042362i,0.006562-0.00082986i,0.00057835-0.0011976i,0.0016989-0.0046691i,0.00064672-0.0017188i,0.0096387-0.0046236i,-0.00025866-0.0042182i,-0.0022183+0.0019039i,-0.00022829-0.00028367i,-0.0012859+0.0016907i,-0.0018766-0.0011948i,-0.00014036-0.0001662i,0.0011381+0.00079913i,-0.0066852-0.0070796i,-0.00026887-0.0010694i,-0.0023729-0.00028691i,-0.0036217-0.0018083i,-0.0017172-0.00049056i,-0.0018976-0.00054231i,0.00011259-0.00070703i,-0.0028912-0.00090866i,0.0036412-0.0011554i,0.0026534-0.0018737i,6.8002e-05-0.00064342i,-0.0017818+0.00046914i,-0.00083322-0.0068615i,-0.0022672+0.00045798i,0.0018883+0.0011014i,-0.0014588+0.0026182i,-0.0005017+0.0071551i,-0.00027361+0.00094438i,-0.0019671+0.00023433i,-0.00066765-0.0014981i,0.0021436+0.0055191i,0.011267+0.011085i,0.060849-0.036033i,-0.028299-0.0035805i,0.024246-0.016179i,-0.0097637-0.028978i,-0.013258-0.00045083i,-0.042408+0.027674i,-0.021117+0.0047828i,-0.026817+0.0062816i,0.0019567-0.017018i,-0.029108-0.033325i,-0.010169-0.00031117i,-0.025772+0.0016842i,-0.0035455+0.016667i,0.0019728+0.0063974i,-0.00060416-0.0021394i,0.0053149+0.0012844i,-0.0083127-0.0097608i,0.00035604+0.013557i,-0.0026071+0.0065816i,-0.0026973+0.0014759i,0.0013917+0.0042198i,0.0014737+0.0024811i,-0.010347+0.017905i,-0.0046437+0.016944i,0.0048879-0.00067626i,0.014281+0.0023172i,0.007843+0.0046054i,0.0011269-0.01005i,0.0027194-0.0023103i,0.032746-0.024917i,0.0063836+0.0069209i,0.0078714+4.4859e-06i,0.002362-0.0026007i,0.011654-0.0046365i,0.019191+0.0095451i,0.0080461-0.00060534i,0.0051268-0.0067837i,0.0072667-0.0019409i,0.01471+0.010305i,0.004979+0.0050302i,0.0068092-0.0036721i,0.0047534+0.013713i,-0.0022035+0.004921i,0.0045627+0.013142i,-0.0094793-0.015334i,-0.021687-0.0012954i,-0.0028595-0.015512i,-0.0050097-0.007i,-0.038925-0.0055427i,-0.0056788+0.0042713i,-0.013209-0.00048039i
