-0.025221-0.0043408i,-0.023936+0.0022735i,-0.017419-0.0073189i,-0.030044-0.012515i,-0.029076+0.0032326i,-0.039528-0.005169i,-0.061807-0.029125i,-0.032672-0.014667i,-0.029671-0.0032353i,0.0064145+0.0039539i,-0.0034939+0.007499i,-0.0056608+0.014196i,0.0062966+0.011117i,-0.0013912+0.0037774i,0.005103+0.0039979i,0.0052162+0.024998i,0.024912+0.023008i,0.0013827-0.00058577i,0.00088661-0.0052142i,0.0070011-0.0011472i,0.0055232+0.00084938i,0.0027346+0.001239i,0.0014766-0.000611i,-0.030632-0.0015093i,-0.0044142-0.0056509i,-0.00044274+0.003129i,0.0030077-0.0024279i,-0.00076712+0.00050255i,-0.00065699+0.0011339i,-0.0014608-0.0029661i,-0.0037124-0.0018312i,-0.0066695-0.0061336i,-0.0045563-0.0023238i,-0.00027336+0.00016256i,0.002151-0.0031121i,0.0024326+0.022471i,0.0014524-0.0027263i,0.00028343-0.0023833i,0.004773-0.0023864i,-0.0025102-0.0012842i,0.00084536+0.00079432i,0.0071724-0.0018207i,0.0032941-0.001965i,-0.00089271+0.0031521i,-0.013504+0.017275i,-0.0282+0.055716i,-0.0041096-0.038078i,-0.014461-0.017802i,-0.037093-0.015645i,-0.027048-0.012221i,0.032787-0.010555i,0.0067279-0.030949i,0.012785-0.040816i,-0.011334-0.029415i,0.024625-0.023248i,0.013229+0.006727i,0.027863-0.033795i,-0.0019165-0.0039765i,0.0069053-0.0086001i,0.00035676-0.0049752i,0.0019897-0.036311i,-0.011802+0.030577i,0.0074871-0.012099i,-0.0098477-0.0047457i,-0.0023391-0.0021588i,0.00068023-0.014607i,-0.0077666+0.0050034i,0.0036008+0.0052796i,-0.00042711+0.029293i,0.0020437-9.0635e-05i,-0.0070951-0.0044519i,-0.0030297-0.0058905i,-0.014114-0.0093455i,-0.0028095-0.0058957i,-0.032401+0.0074358i,-0.0052328-0.0081291i,-0.013113-0.0015169i,-0.010467-0.0059616i,0.0011797-0.0022231i,-0.013285+0.0017768i,-0.0017294-0.00021806i,0.0065826+0.00656i,0.0035957-0.0054307i,-0.013726-0.012199i,0.0079248+0.0086694i,-0.016778+0.0057981i,0.005507+1.7905e-05i,-0.018884-0.0015847i,-0.017821-0.0037565i,-0.017949-0.033222i,0.020718-0.010483i,-0.038623-0.023009i,-0.0093822+0.0052829i,0.017878+0.014873i,-0.021764+0.017833i,-0.0032973-0.0037547i
-0.026614-0.0012285i,-0.021776+0.0089828i,-0.018316-0.0060804i,-0.032072-0.0093061i,-0.026679+0.0032366i,-0.041652+0.0033018i,-0.064806-0.018698i,-0.03327-0.01008i,-0.028071+0.0031553i,0.0054062+0.0017879i,-0.0035531+0.0062551i,0.00087052+0.015409i,0.010145+0.0066553i,-0.0038686+0.0058909i,0.005251+0.001847i,0.0096662+0.019147i,0.02574+0.012031i,0.0025558-0.00015426i,-0.00075424-0.003428i,0.0054166-0.0037264i,0.0047085-0.00085622i,0.0021801+0.00047169i,0.0014717-0.00096126i,-0.016155+0.011801i,-0.0058994-0.0029486i,0.0028014+0.0013318i,0.0014444-0.0015549i,0.00064102+0.0011969i,0.0011437+0.00064017i,-0.0025118-0.002408i,-0.002988-0.00049736i,-0.0069455-0.0039321i,-0.0042453-0.00033669i,0.00016064-0.00015459i,0.0022319-0.0028165i,0.0088927+0.018957i,0.0010459-0.0031859i,-0.00069348-0.0022133i,0.0053844-0.004827i,-0.00081509-0.001617i,0.0016359+0.00084334i,0.0058916-0.0028508i,0.0020068-0.0019266i,-0.0024801+0.0035743i,-0.007664+0.017771i,-0.0067909+0.061025i,-0.012661-0.037651i,-0.024468-0.018867i,-0.027558-0.0055995i,-0.020812-0.0015126i,0.029349-0.031741i,0.008837-0.046706i,0.014809-0.040246i,-0.016979-0.029625i,0.014048-0.018592i,0.011581-0.0034894i,0.013331-0.036496i,-1.2038e-05-0.0011822i,0.00054504-0.017244i,-0.00088335-0.0058743i,-0.022706-0.033598i,0.00062887+0.025655i,0.0018048-0.014305i,-0.011754+0.00058625i,-0.0011328-0.0012412i,-0.0064201-0.01427i,-0.0072642+0.0095295i,0.0080826+0.0046916i,0.017335+0.021891i,0.00088581-0.0016029i,-0.0071907-0.0006166i,-0.0076587-0.0056996i,-0.018713+0.0013377i,-0.0026067-0.0042268i,-0.03424+0.015681i,-0.0082851-0.0030534i,-0.012767+0.0031682i,-0.013367-0.00052163i,-0.0011537-0.0056525i,-0.010684+0.0055123i,-0.00050987-0.0021554i,0.0041727+0.00035344i,-0.00011813-0.0063975i,-0.018863-0.0012006i,0.0091758+0.0034561i,-0.011028+0.011563i,0.0048732-0.0030998i,-0.016641+0.0053066i,-0.019302+0.0011511i,-0.0231-0.029021i,0.015993-0.017383i,-0.044697-0.0095202i,-0.0017986-0.0021836i,0.018824+0.0095869i,-0.013845+0.022754i,-0.010725-0.0087928i
-0.026378+0.0033222i,-0.017715+0.010908i,-0.019991-0.0045846i,-0.034043-0.0037064i,-0.026015+0.0030935i,-0.041993+0.012209i,-0.069455-0.0049214i,-0.035277-0.0052448i,-0.026214+0.0074731i,0.004242+0.00088736i,-0.0030193+0.0085256i,0.0060909+0.012249i,0.010348+0.0014301i,-0.0035379+0.0089511i,0.0048644+0.00057168i,0.011262+0.013493i,0.02629+0.0042806i,0.003666-0.0014594i,-0.00076417-0.0023673i,0.0035546-0.0047807i,0.0028863-0.0016419i,0.0024161+0.00056274i,0.0011316-0.0017416i,-0.0055812+0.014751i,-0.0057444-0.00014193i,0.0030566-0.0017069i,0.00091625-0.0013262i,0.0020407+0.00042181i,0.00099646-0.00012409i,-0.0028691-0.001367i,-0.0027034+0.00039236i,-0.0075451-0.0013715i,-0.0035711+0.00098995i,0.00018495-0.00081294i,0.0021987-0.0055742i,0.013441+0.013296i,0.00035232-0.0033284i,-0.0013921-0.0015757i,0.0029323-0.0080027i,-0.001391-0.0017373i,0.0022299+0.00014747i,0.0043651-0.0047152i,0.0016955-0.0016566i,-0.0019824+0.0047636i,-0.0033955+0.014901i,0.01231+0.058293i,-0.020765-0.033859i,-0.032238-0.0090899i,-0.014816-0.0043587i,-0.014437-0.0033529i,0.019198-0.047052i,-0.0060778-0.060776i,0.019423-0.046143i,-0.022136-0.023687i,0.0098714-0.017971i,0.0076284-0.0072782i,0.0023697-0.037837i,0.0064156-0.0051755i,-0.0095521-0.016213i,-0.001778-0.008995i,-0.03988-0.019626i,0.0071309+0.021547i,-0.0047252-0.014243i,-0.0088681+0.0037673i,-0.0024109-0.0016399i,-0.012944-0.0111i,-0.0008192+0.012941i,0.012006-0.0016521i,0.025113+0.0067076i,0.00035505-0.0016593i,-0.0069039+0.00034118i,-0.010377-0.0024565i,-0.014885+0.010492i,-0.0070686-0.0029446i,-0.02762+0.02734i,-0.0073301+0.001059i,-0.010792+0.0090861i,-0.013506+0.0081545i,-0.0071366-0.0042807i,-0.0090002+0.0079842i,-0.0024145-0.0026439i,-0.00023219-0.00029679i,-0.0029368-0.0057651i,-0.012086+0.0070676i,0.0073716-0.0019128i,-0.0065472+0.012695i,0.0016579-0.0063285i,-0.012952+0.0089179i,-0.016963+0.0055169i,-0.025226-0.024325i,0.008735-0.019033i,-0.042809+0.0038507i,-0.0086219-0.010654i,0.018563+0.0022521i,-0.0030682+0.021212i,-0.013528-0.0058985i
-0.025058+0.0081368i,-0.016011+0.011138i,-0.021794-0.0027452i,-0.032535+0.0022478i,-0.02692+0.0028865i,-0.03801+0.022294i,-0.06743+0.015347i,-0.036177+0.0025844i,-0.024481+0.013167i,0.0037135+0.00044463i,0.00055188+0.010077i,0.0079603+0.0083327i,0.0083378-0.0025421i,-0.00044443+0.012167i,0.0039831-0.00070063i,0.01041+0.007495i,0.025833-0.006381i,0.0030159-0.0036865i,-0.0016831-0.00063574i,0.0013949-0.0052985i,0.0027245-0.0011991i,0.0030724-7.0855e-05i,0.00014651-0.0018912i,0.0043105+0.018208i,-0.0045873+0.00166i,0.0011488-0.0032217i,0.0012268-0.0016404i,0.0018761-0.001i,0.0013467-0.00015271i,-0.0036322-0.00081266i,-0.0018462+0.0014319i,-0.00687+0.001456i,-0.0028205+0.001916i,-0.00013089-0.0011836i,-0.001593-0.0061123i,0.013886+0.0074899i,-0.00065089-0.0037825i,-0.0016049-0.00088464i,-0.0010458-0.007984i,-0.0010948-0.00082733i,0.0021567-0.00083613i,0.0014735-0.0052387i,0.0011222-0.0018445i,-0.00071915+0.0042496i,-0.00021767+0.012304i,0.029698+0.049636i,-0.027643-0.026397i,-0.031131+0.003488i,-0.0094907-0.00788i,-0.012384-0.0032555i,0.0015648-0.060727i,-0.026126-0.06064i,0.014243-0.062095i,-0.023593-0.019667i,0.0057083-0.016031i,0.0026388-0.010755i,-0.010619-0.035255i,0.0026885-0.013177i,-0.013959-0.010595i,-0.007987-0.011889i,-0.044703+0.0023694i,0.015877+0.014668i,-0.010812-0.011873i,-0.0057549+0.004618i,-0.0032658-0.0005555i,-0.017529-0.0050571i,0.0062387+0.0091945i,0.011542-0.0081677i,0.022605-0.0064829i,-0.00045951-0.0018694i,-0.0082288+0.0015987i,-0.01164+0.0024223i,-0.0096468+0.017551i,-0.0081774+0.0019567i,-0.018387+0.034559i,-0.0062831+0.003005i,-0.0045953+0.012127i,-0.0071365+0.014263i,-0.010125+0.0018531i,-0.0046037+0.0090923i,-0.0032576-0.0016081i,-0.0023245+0.0017618i,-0.0060442-0.0043985i,-0.0066411+0.0064801i,0.0016276-0.0052374i,-0.0035717+0.014781i,-0.0030682-0.0058342i,-0.0082925+0.011119i,-0.014884+0.0061074i,-0.026742-0.021025i,0.0083513-0.017899i,-0.03692+0.016817i,-0.017264-0.0094697i,0.017465-0.0037873i,0.0052011+0.01546i,-0.012336-0.0025625i
-0.022126+0.013042i,-0.015113+0.01342i,-0.024505+0.00079491i,-0.030203+0.0063915i,-0.030164+0.0039428i,-0.031089+0.030087i,-0.053377+0.028373i,-0.032313+0.0098605i,-0.018004+0.017728i,0.0031422+0.00023151i,0.0039264+0.0079148i,0.0089466+0.0055245i,0.005073-0.0044487i,0.0049663+0.012569i,0.0029046-0.0013793i,0.0074088+0.0062388i,0.015323-0.015428i,0.0012181-0.0047024i,-0.0001617+0.0026897i,-0.00061469-0.0050284i,0.0030495-0.00072087i,0.0024737-0.0014718i,-0.0008092-0.0014164i,0.018616+0.0092787i,-0.003223+0.0033393i,-0.00025502-0.0028965i,-6.641e-05-0.0020736i,0.0017263-0.0013623i,0.0016366-0.00086722i,-0.003628+0.0014672i,-0.00055412+0.0017502i,-0.0050236+0.0039727i,-0.0013614+0.0025353i,-0.00085541-0.0012193i,-0.003257-0.0044035i,0.014775+0.0043892i,-0.0020643-0.0031424i,-0.0018971-0.00032934i,-0.0033505-0.0061689i,-0.00075167-0.002361i,0.001458-0.001586i,-0.0003243-0.0038912i,0.00091173-0.001468i,-0.0015287+0.004032i,0.00042909+0.0079065i,0.043458+0.034191i,-0.027192-0.014829i,-0.02434+0.013776i,-0.0062796-0.01267i,-0.0095434-0.0021611i,-0.024815-0.063513i,-0.042108-0.051749i,-0.0061565-0.070983i,-0.028811-0.011926i,0.0043944-0.012643i,-0.0029306-0.010676i,-0.022025-0.02747i,-0.0043164-0.014673i,-0.016483-0.0068895i,-0.017345-0.0074545i,-0.038956+0.019344i,0.016423+0.0038638i,-0.015892-0.0058529i,-0.0042628+0.0049562i,-0.0037434+0.0012127i,-0.018172+0.0036496i,0.0054057+0.0035047i,0.009096-0.012937i,0.018451-0.015932i,-0.0017162-0.0018232i,-0.0098739+0.0056025i,-0.0092433+0.0069577i,-0.001317+0.019842i,-0.0070776+0.0063728i,-0.0097652+0.039843i,-0.0060101+0.0044683i,-0.00080412+0.0099995i,0.00017058+0.015287i,-0.0099207+0.0068585i,-0.0020166+0.0067883i,-0.0046574-0.00088324i,-0.0019882+0.0052248i,-0.0099325-0.0013371i,-0.0058049+0.005305i,-0.0034881-0.0028758i,0.0028145+0.016267i,-0.0067199-0.0038606i,-0.0021499+0.011267i,-0.016038+0.008551i,-0.031211-0.015467i,0.012398-0.023874i,-0.02595+0.03097i,-0.021816-0.0012976i,0.013304-0.0099619i,0.0069311+0.007005i,-0.011305-0.0029913i
-0.017579+0.016359i,-0.011771+0.015237i,-0.025434+0.0072541i,-0.02859+0.0095715i,-0.03452+0.009249i,-0.02126+0.034508i,-0.040545+0.03318i,-0.027517+0.013938i,-0.012405+0.018564i,0.0024268+0.00045543i,0.0043738+0.0062466i,0.0093993+0.001625i,0.0020831-0.0049762i,0.0099052+0.0096902i,0.0020075-0.0014241i,0.0070381+0.0069251i,0.0046574-0.014859i,2.1959e-05-0.0046282i,0.0030038+0.0020739i,-0.0023462-0.0038042i,0.0036709-0.002728i,0.0012781-0.0017778i,-0.00093751-0.00052299i,0.019773-0.0047697i,-0.00056015+0.0041157i,-0.0012163-0.0024633i,-0.0005906+0.00054875i,0.001396-0.002565i,0.0011458-0.0019906i,-0.0014299+0.0033582i,0.00094827+0.0009886i,-0.0031001+0.0048019i,-0.00016448+0.0029043i,-0.0010824-0.00053437i,-0.003427-0.0028312i,0.015955+5.0175e-08i,-0.0029999-0.001926i,-0.0022371+0.00018386i,-0.0052178-0.0046791i,-0.0029021-0.003374i,0.00089535-0.0016887i,-0.0011241-0.0025587i,0.00062748-0.00121i,-0.00083649+0.0051808i,-0.0015991+0.0063142i,0.040497+0.013697i,-0.017826-0.0082301i,-0.0167+0.020556i,-0.0055286-0.015066i,-0.0057435-0.0051467i,-0.048339-0.048112i,-0.05469-0.036547i,-0.024105-0.066023i,-0.022447+0.0035858i,0.0094904-0.0088258i,-0.0063616-0.0084988i,-0.025641-0.012047i,-0.0098623-0.014663i,-0.020828-0.00091215i,-0.016926+0.001518i,-0.028275+0.034525i,0.012985-0.0027954i,-0.013874+0.0032608i,-0.0051667+0.0051035i,-0.0011989+0.0033157i,-0.013778+0.010786i,0.0050814+0.0045463i,0.003537-0.022131i,0.0039653-0.02687i,-0.0049019-0.0022229i,-0.0085574+0.011194i,-0.0077222+0.0094941i,0.0066903+0.018568i,-0.0031041+0.0092168i,0.0070558+0.048414i,-0.0052944+0.0057567i,0.00022071+0.0094756i,0.0060006+0.012177i,-0.0059759+0.014005i,-0.0018172+0.0077059i,-0.0067355+0.0010599i,0.0017498+0.0074015i,-0.0097585+0.0074471i,-0.0065956+0.0057081i,-0.0029415+0.0028701i,0.0073214+0.012596i,-0.009295-0.0021768i,0.00072811+0.0064206i,-0.012017+0.014076i,-0.027675-0.0032912i,0.0041908-0.039024i,-0.0017227+0.033173i,-0.018537+0.0047403i,0.012558-0.017686i,0.0063665-0.00085249i,-0.010774+0.00045903i
-0.012434+0.018241i,-0.010386+0.014988i,-0.024068+0.013429i,-0.026239+0.013793i,-0.035154+0.018247i,-0.012104+0.034962i,-0.030071+0.034332i,-0.023183+0.016356i,-0.009091+0.018714i,0.003024+0.0005082i,0.0070376+0.0054362i,0.0065854-0.001277i,-0.00085004-0.003546i,0.012691+0.0033854i,0.00166-0.001433i,0.0079461+0.0072581i,-0.0011562-0.010237i,-0.0018911-0.0047621i,0.0035202-0.00061443i,-0.0030607-0.0020259i,0.0023-0.004393i,0.0016091-0.0013144i,-0.00078886+2.774e-05i,0.012982-0.013093i,0.0024446+0.0026223i,-0.0015518-0.0013488i,0.00098298-0.001041i,0.00010135-0.0032544i,0.00012494-0.0018947i,0.00054603+0.0027578i,0.0011979-0.00043963i,-0.00084597+0.0052775i,0.0015053+0.0019658i,-0.00099297-0.00013033i,-0.0042814-0.0020286i,0.014141-0.0055435i,-0.0026124-0.00058724i,-0.0019912+0.0011102i,-0.0064447-0.0012994i,-0.0054987-0.0015201i,-8.2347e-05-0.0018261i,-0.00083542-0.0025711i,0.00076375-0.00114i,0.00030218+0.0038407i,-0.0026035+0.007268i,0.032857+0.011475i,-0.013742-0.011188i,-0.0014076+0.023493i,-0.0045491-0.016691i,-0.0099104-0.0098959i,-0.057019-0.027969i,-0.053928-0.016351i,-0.042125-0.056317i,-0.00939+0.0065052i,0.012798-0.020324i,-0.007646-0.005322i,-0.021062-0.0062694i,-0.019028-0.010428i,-0.016187+0.0097007i,-0.014571+0.0053562i,-0.0070812+0.038964i,0.010025-0.0066017i,-0.011852+0.0051559i,-0.0021835+0.0047088i,-0.0017368+0.0012908i,-0.0071347+0.01511i,0.0080518+0.0019627i,-0.012251-0.022133i,-0.015045-0.0219i,-0.005317+0.0035567i,-0.0032279+0.01417i,-0.0021073+0.011763i,0.013096+0.0117i,0.00068881+0.0091324i,0.029153+0.040966i,-0.0021513+0.0070542i,0.002364+0.0093606i,0.0098355+0.0074615i,0.0026817+0.016026i,-0.002933+0.0085552i,-0.0067309+0.0073533i,0.0065054+0.0076438i,-0.004696+0.012558i,-0.0070753+0.0082253i,-0.00082775+0.0039939i,0.0088038+0.0085039i,-0.010013+0.0021667i,0.0014789+0.0022733i,-0.0065798+0.014022i,-0.020405+0.00060252i,-0.017012-0.041529i,0.01437+0.018212i,-0.015769+0.0082075i,0.0040906-0.026957i,0.00086228-0.0058904i,-0.0042304-0.0011742i
-0.0075889+0.018486i,-0.0088818+0.017631i,-0.020427+0.019124i,-0.021383+0.016848i,-0.030098+0.026916i,-0.0051736+0.033687i,-0.022004+0.033368i,-0.019027+0.017851i,-0.0046891+0.020115i,0.003484-0.00020648i,0.0088281+0.00079455i,0.0038532-0.00095343i,-0.001593-0.00079403i,0.010535-0.0011502i,0.0011295-0.0018013i,0.010599+0.005875i,-0.0027052-0.0054379i,-0.0039374-0.0032838i,0.0015118-0.0017857i,-0.0030063-0.00070819i,-0.00027669-0.0044701i,0.0012813-0.0018671i,-0.00085417+0.00056384i,0.0050262-0.016653i,0.0024604-1.4759e-05i,-0.0011506-0.00083951i,0.00045254-0.0023941i,-0.0013534-0.0027007i,0.00030986-0.0017685i,0.00093601+0.0017379i,0.0003753-0.0015742i,0.0013352+0.0045152i,0.0019212+0.00057939i,-0.00081874+5.8008e-05i,-0.0042255+0.0010862i,0.010242-0.0093815i,-0.0020031-0.00019674i,-0.001095+0.0016938i,-0.0046816+0.00065732i,-0.0056251+0.0011001i,-0.00092198-0.0010892i,-0.0012297-0.0023217i,0.00049336-0.0013402i,-0.0006702+0.0026233i,-0.0020117+0.010031i,0.038637+0.01542i,-0.014663-0.014608i,0.011663+0.017462i,-0.0051284-0.021829i,-0.012539-0.0060211i,-0.061119-0.011091i,-0.043825-0.0035711i,-0.057695-0.035805i,-0.0011411+0.0016421i,0.0076063-0.028901i,-0.0072364-0.0037114i,-0.018366-0.0025911i,-0.024034+0.00083335i,-0.010013+0.011787i,-0.010393+0.0093942i,0.010892+0.030427i,0.0059207-0.010264i,-0.011133+0.0086351i,-0.0022269+0.0021695i,-0.0016179+0.0028129i,0.00067938+0.013072i,0.0065727-0.0041583i,-0.022604-0.010763i,-0.022796-0.0069617i,0.00019346+0.006987i,0.0032592+0.014064i,0.0025649+0.011001i,0.016222+0.005207i,0.0063151+0.0080412i,0.042448+0.023077i,-3.6108e-05+0.0061366i,0.0049999+0.0094349i,0.0098505+0.0013279i,0.010534+0.010363i,-0.0019746+0.013925i,-0.0013494+0.01253i,0.01043+0.0025607i,0.0036617+0.012236i,-0.0050762+0.012255i,0.00024493+0.003843i,0.0093291+0.0057743i,-0.0091044+0.0057493i,-0.00064167+4.8384e-05i,-0.004674+0.01319i,-0.012177+0.0018836i,-0.029699-0.026053i,0.016412-0.00011075i,-0.0039901+0.010294i,-0.0084002-0.030406i,-0.0077151-0.0061114i,-0.0063788-0.0080612i
-0.0034327+0.017326i,-0.0047389+0.020314i,-0.014771+0.023793i,-0.017671+0.018197i,-0.022823+0.032184i,0.0011576+0.031733i,-0.015839+0.031141i,-0.016008+0.018369i,0.0012706+0.020028i,0.0034139-0.0013221i,0.0057059-0.003088i,0.0036941+0.00020103i,-0.00020552+0.00099141i,0.0078168-0.0036407i,0.00039596-0.0015921i,0.012452+0.0025437i,-0.0010981-0.0023902i,-0.0045452-0.0011014i,0.00041206-0.0013665i,-0.0028154+0.00049464i,-0.0011602-0.0028726i,0.00037821-0.0019838i,-0.0002033+0.0013366i,-0.0015112-0.015259i,0.0013705-0.0011919i,-0.0010389-0.0013015i,-0.00095527-0.0025627i,-0.0021724-0.0019212i,-0.00035176-0.0024809i,0.0013665+0.0015675i,-0.0007998-0.0023122i,0.0028863+0.0030378i,0.0014599-0.00076891i,-0.00036646+0.00044896i,-0.0021599+0.0010108i,0.0053991-0.011265i,-0.0015878-5.7647e-05i,-0.00024604+0.001825i,-0.0045616+0.0011853i,-0.0048137+0.0030579i,-0.00094691-0.00015932i,-0.0020122-0.0019264i,0.00039432-0.0013863i,-0.0026498+0.0036511i,0.00089887+0.012736i,0.053953+0.010112i,-0.019375-0.014818i,0.02027+0.0073685i,-0.0090904-0.022502i,-0.012398-0.0036045i,-0.059114+0.0079266i,-0.036007+0.00082453i,-0.052912-0.0093219i,0.0027772-0.0029134i,-0.0023771-0.035281i,-0.0079531-0.0032268i,-0.017253-0.0030985i,-0.018235+0.012014i,-0.0050533+0.012265i,-0.0024947+0.0084375i,0.015723+0.015727i,0.001478-0.01102i,-0.0075229+0.012521i,-0.0042273+0.0025835i,-0.00037031+0.0022346i,0.0031358+0.0086277i,-0.000196-0.003719i,-0.023854+0.0028559i,-0.021162+0.005517i,0.0051137+0.0042384i,0.00725+0.012263i,0.004578+0.0088122i,0.014208-0.0046822i,0.0076922+0.0022449i,0.044914+0.0031245i,0.00073138+0.007231i,0.0088501+0.006217i,0.0070926-0.0018368i,0.01133+0.0044382i,0.0054906+0.017199i,0.0070837+0.0095938i,0.0088396-0.0020574i,0.0084124+0.0065719i,0.00063737+0.016319i,0.00058673+0.00585i,0.0094256+0.0039715i,-0.0084661+0.0092228i,-0.0052289+0.0011383i,-0.0029454+0.014292i,-0.0051051-0.0021788i,-0.027892-0.012788i,0.0087099-0.01108i,0.0018792+0.0022847i,-0.022032-0.026875i,-0.011446+0.0019511i,-0.01268-0.006396i
-0.00077055+0.015794i,0.00051013+0.020346i,-0.0078116+0.025923i,-0.014856+0.019247i,-0.01461+0.035207i,0.0064333+0.028916i,-0.012342+0.028797i,-0.013746+0.019252i,0.0063661+0.017136i,0.0029346-0.0023614i,0.0022999-0.0029742i,0.0043907-1.8091e-05i,0.0017775+0.00066279i,0.0054863-0.0049241i,0.00034734-0.0013512i,0.011463-0.0017828i,0.00057597-0.0029572i,-0.0039134+0.00090763i,-0.00015081-0.001397i,-0.0020132+0.0017327i,-0.0011751-0.0025347i,-0.00035977-0.0012231i,0.00076812+0.0014902i,-0.006056-0.012582i,0.0003501-0.0015936i,-0.0018612-0.00094066i,-0.0019821-0.0019666i,-0.0025442-0.0010459i,-0.0014577-0.0022887i,0.0018871+0.00040088i,-0.0023598-0.0018541i,0.0036178+0.00065933i,0.00069266-0.0013806i,1.5755e-05+7.8201e-05i,-0.0021589+0.0013422i,0.00044239-0.0098562i,-0.0019365-0.00039868i,0.00048829+0.0015995i,-0.003251+0.00344i,-0.0033702+0.004961i,-0.00060229+0.0003413i,-0.0021765-0.00085962i,9.8553e-05-0.001619i,-0.0016251+0.0071882i,0.0062726+0.013599i,0.067376-0.011455i,-0.024659-0.010339i,0.022156-0.0042588i,-0.0089892-0.022918i,-0.012509-0.0014823i,-0.048985+0.021632i,-0.029319+0.0049796i,-0.038092+0.001824i,0.00419-0.010087i,-0.015585-0.035898i,-0.0085382-0.0018844i,-0.019905-0.0025234i,-0.010002+0.014973i,-0.00086084+0.010128i,0.00061066+0.0020563i,0.011523+0.0050674i,-0.0030878-0.010947i,-0.0023684+0.013999i,-0.0049102+0.0051917i,-0.0010844+0.0010765i,0.0030869+0.0060062i,-0.0013246+0.0010829i,-0.018266+0.013561i,-0.014155+0.013493i,0.0052286+0.0010751i,0.012067+0.0090639i,0.0065511+0.0071436i,0.0072056-0.0094403i,0.0055502-0.0010832i,0.039332-0.012639i,0.004009+0.0074214i,0.0088765+0.0024879i,0.004745-0.002439i,0.011557+0.0016399i,0.013666+0.015303i,0.0087174+0.0039467i,0.0070946-0.0042717i,0.008171+0.0021856i,0.0091113+0.014795i,0.0032963+0.0054619i,0.010439+0.00025964i,-0.0026496+0.014544i,-0.0044939+0.0047668i,0.00048638+0.015533i,-0.0047703-0.0093764i,-0.023972-0.0075567i,0.0021692-0.014117i,-0.00010393-0.0052874i,-0.032836-0.018149i,-0.0076935+0.004526i,-0.012923-0.0033426i
0.001562+0.014596i,0.0053906+0.018477i,-0.00087614+0.025721i,-0.011189+0.021135i,-0.0058616+0.035019i,0.010553+0.025495i,-0.0097592+0.027738i,-0.010982+0.020709i,0.009713+0.013361i,0.0021259-0.0033037i,0.00095827-0.0018795i,0.0049662-0.0013124i,0.0022465-0.00033196i,0.0030004-0.0049388i,-9.9914e-05-0.0015772i,0.0089148-0.0043152i,-0.00015433-0.004817i,-0.0029043+0.0019931i,-0.00081132-0.00069199i,-0.00068594+0.0023578i,-0.0017434-0.0020525i,-2.1502e-05-0.0004641i,0.001619+0.0011286i,-0.0095454-0.0096647i,-0.00075641-0.0011797i,-0.0021452-6.1846e-05i,-0.002837-0.0009344i,-0.002621+6.6048e-05i,-0.0023209-0.0015429i,0.0010686-0.00069869i,-0.0033391-0.00047992i,0.0023779-0.0010612i,-0.00023978-0.0016237i,0.0001205-0.00027074i,-0.0018442+0.0014266i,-0.0019218-0.0066291i,-0.0022813+0.00017908i,0.0010561+0.0010423i,-0.0011321+0.0035452i,-0.00074172+0.0059439i,-0.00026893+0.00060941i,-0.0017375-9.0092e-05i,-0.00042249-0.0019655i,0.0013064+0.0070234i,0.011869+0.010756i,0.062209-0.039577i,-0.026642-0.003039i,0.022513-0.014597i,-0.010589-0.028708i,-0.011498+0.00073126i,-0.038802+0.028868i,-0.023029+0.0051161i,-0.027906+0.0057046i,0.0008968-0.014591i,-0.028706-0.031564i,-0.0097157-0.00024095i,-0.025449+0.00076595i,-0.0039626+0.014355i,0.0013591+0.0066593i,-0.0014418-0.0027325i,0.0052843+0.0016889i,-0.0083632-0.010009i,0.0022754+0.012926i,-0.0026585+0.0073621i,-0.0020118+0.0020013i,0.0014931+0.0045656i,0.00066124+0.0032473i,-0.0095646+0.017971i,-0.0057745+0.017093i,0.0059334-0.0011841i,0.014926+0.0022707i,0.0082758+0.0052052i,0.0014387-0.0091391i,0.0034678-0.0020527i,0.029209-0.023665i,0.0068979+0.0060405i,0.0083713+0.00078924i,0.0024129-0.0024787i,0.011533-0.0043741i,0.020167+0.0090074i,0.0076774-0.00027329i,0.0048204-0.0064672i,0.0070465-0.0008561i,0.014169+0.009962i,0.0046547+0.005058i,0.0073783-0.0035005i,0.0051577+0.014143i,-0.002216+0.0048394i,0.0060432+0.014595i,-0.0093953-0.012579i,-0.020846-0.0024219i,-0.0025986-0.015517i,-0.0053828-0.0067818i,-0.038624-0.0056987i,-0.0064096+0.0040272i,-0.012332-0.0014439i
