-0.026325-0.0041392i,-0.022631+0.002227i,-0.017229-0.0083568i,-0.029546-0.013599i,-0.028856+0.0031378i,-0.03929-0.0042163i,-0.061159-0.02786i,-0.034614-0.015244i,-0.032051-0.0044506i,0.007468+0.003586i,-0.0029868+0.0069495i,-0.0049176+0.013663i,0.0035133+0.0092836i,-0.00096056+0.003881i,0.005018+0.0044116i,0.004151+0.026439i,0.019155+0.018001i,0.0010424-0.00091338i,0.00057509-0.0074479i,0.0065709-0.0012064i,0.0053483-0.0020336i,0.0070847+0.0020382i,0.00076301-0.00010742i,-0.024826+0.0030591i,-0.0061566-0.0037031i,-0.0019994+0.0033911i,6.3449e-05-0.00045918i,-5.2398e-05+0.00062594i,-0.0010983+0.00065145i,-0.002443-0.0034453i,-0.0040238-0.001682i,-0.0054468-0.006247i,0.00247-0.00031694i,-0.00051537-0.00027939i,0.0015444-0.0025132i,-0.0037425+0.018338i,0.0018274-0.0025036i,0.00037561-0.0025646i,0.0042157-0.0022015i,-0.0014003-0.004029i,0.00079541+0.00041254i,0.0061182+0.0018757i,0.0064643-0.0019126i,-0.00098272+0.0021624i,-0.014912+0.016738i,-0.032645+0.054418i,-0.0026704-0.036352i,-0.01455-0.018548i,-0.03745-0.018575i,-0.028505-0.015169i,0.038308-0.007632i,0.0085067-0.031623i,0.015796-0.040397i,-0.010396-0.031031i,0.025546-0.021519i,0.013925+0.0081352i,0.03347-0.036914i,-0.0021593-0.0048347i,0.0074401-0.008444i,0.0005684-0.0050012i,0.005134-0.036279i,-0.014959+0.030709i,0.0080061-0.01213i,-0.0076789-0.0053205i,-0.0025421-0.0019762i,0.00055166-0.015443i,-0.0088718+0.0057602i,0.0036212+0.0062424i,-0.0033504+0.027881i,0.002039+4.9022e-05i,-0.0064777-0.0050808i,-0.0028236-0.0062745i,-0.012875-0.011379i,-0.002714-0.0061674i,-0.041652+0.029069i,-0.005215-0.0085963i,-0.013234-0.0020076i,-0.0064785-0.0088477i,0.0011744-0.0018707i,-0.012696+0.0017978i,-0.0015231-0.00016766i,0.0054852+0.0065011i,0.0035823-0.0051862i,-0.0040908-0.015182i,0.0082346+0.0093486i,-0.015923+0.0036782i,0.0051942-0.00053731i,-0.020255-0.0025267i,-0.018092-0.0037868i,-0.018668-0.034372i,0.02078-0.0077562i,-0.038664-0.024434i,-0.010858+0.0038684i,0.017998+0.017039i,-0.021807+0.017097i,-0.0041126-0.0040236i
-0.027891-0.0003263i,-0.021305+0.0075961i,-0.018478-0.007029i,-0.031924-0.010559i,-0.026466+0.0035066i,-0.041185+0.0039469i,-0.063656-0.017898i,-0.034997-0.010033i,-0.030651+0.0029826i,0.0059349+0.00076691i,-0.0034817+0.0057331i,0.0013706+0.014647i,0.0083992+0.0074466i,-0.0025718+0.0060256i,0.0054401+0.0023286i,0.00904+0.020823i,0.017824+0.0088999i,0.0016347+3.8089e-05i,-0.0020702-0.0053328i,0.0047902-0.0037553i,0.0028459-0.0031611i,0.0043009-0.00015327i,0.0010138-0.00026575i,-0.011028+0.0060276i,-0.0097007-0.0011346i,0.0029115+0.003238i,-0.00038739-0.00082439i,0.0020175+0.0011164i,0.00028004+0.00089876i,-0.0037606-0.0021167i,-0.0033489-0.00031447i,-0.0059307-0.0041166i,0.0019404-0.011531i,-0.00022686-0.00030596i,0.0014651-0.0017936i,0.001882+0.018589i,0.0013117-0.0027861i,-0.00091361-0.0023937i,0.0048135-0.0040442i,-0.00085959-0.0028889i,0.0012325+0.0006901i,0.0076357-0.0026268i,0.0028323-0.0039672i,-0.0030909+0.0019718i,-0.0091921+0.017599i,-0.010792+0.061307i,-0.010291-0.036284i,-0.024819-0.019774i,-0.028327-0.0065102i,-0.021997-0.0034817i,0.036779-0.031165i,0.010897-0.047328i,0.017653-0.040118i,-0.015667-0.031225i,0.014679-0.017162i,0.012306-0.0029252i,0.014867-0.056006i,-0.00014808-0.0012861i,-1.7695e-05-0.018307i,-0.00065656-0.0061245i,-0.020059-0.035741i,-0.0015045+0.026357i,0.0021309-0.014999i,-0.0093893-0.0051782i,-0.00095048-0.00071017i,-0.0061321-0.015191i,-0.0081601+0.009958i,0.0082221+0.0058979i,0.013836+0.022107i,0.00081649-0.0021091i,-0.0070384-0.0011796i,-0.0071637-0.0060031i,-0.018275-0.0014848i,-0.0024818-0.004479i,-0.013851+0.011067i,-0.0084142-0.0033472i,-0.012733+0.0031365i,-0.011931-0.0023807i,-0.0019583-0.0055507i,-0.0098903+0.0057249i,8.3348e-05-0.0019095i,0.0036924+0.00073748i,-0.00029478-0.0058189i,-0.011164-0.0038087i,0.0091733+0.0041241i,-0.011193+0.01049i,0.00476-0.0028301i,-0.017787+0.0049279i,-0.019273+0.0014343i,-0.024209-0.030615i,0.016614-0.015255i,-0.038589-0.013671i,-0.0029247-0.0028884i,0.019215+0.01065i,-0.014472+0.021808i,-0.011289-0.0088605i
-0.027273+0.0049676i,-0.018365+0.0096277i,-0.020184-0.0054648i,-0.034577-0.0048259i,-0.025359+0.0036017i,-0.041355+0.012739i,-0.067994-0.0048059i,-0.036669-0.0046669i,-0.028477+0.0079795i,0.0042509-3.4537e-05i,-0.0030401+0.0082933i,0.0060923+0.011434i,0.0096621+0.0024898i,-0.0017488+0.0078887i,0.0052411+0.00092119i,0.011124+0.01499i,0.017302+0.0059686i,0.0028657-0.00023687i,-0.0027883-0.0033022i,0.0031046-0.0046586i,0.001133-0.0017496i,0.0048322+0.00027722i,0.00089756-0.00098037i,-0.0058627+0.009457i,-0.0094864+0.00063069i,0.0058356-0.0039599i,-3.4148e-05-0.00062495i,0.003075-0.0019748i,0.00039997+0.00054062i,-0.0038316-0.00059327i,-0.0029501+0.00069924i,-0.0065629-0.0019223i,-0.008149-0.0015152i,-2.8637e-05-0.00081109i,0.0021859-0.0033305i,0.0074813+0.016602i,0.00060206-0.0026576i,-0.0016909-0.0015744i,0.0029745-0.0068664i,-0.0018054-0.0030548i,0.0017151+0.00025662i,0.004723-0.0048534i,0.0014531-0.0030825i,-0.0038509+0.0032301i,-0.0048187+0.015265i,0.0088232+0.059448i,-0.018184-0.03346i,-0.032932-0.010321i,-0.014941-0.0052238i,-0.014658-0.0053217i,0.027596-0.049617i,-0.0030673-0.061883i,0.022464-0.046163i,-0.020896-0.025781i,0.010855-0.016653i,0.008623-0.0070289i,-0.00035058-0.037988i,0.0077619-0.0051176i,-0.01053-0.016367i,-0.0017154-0.0098158i,-0.038717-0.023152i,0.0059516+0.022598i,-0.005267-0.014881i,-0.009732+0.0016349i,-0.0022393-0.0012311i,-0.012857-0.012543i,-0.00092677+0.013333i,0.013428-0.00018817i,0.02156+0.0081922i,-6.5111e-05-0.0024968i,-0.0067878-0.00025923i,-0.0098323-0.0030185i,-0.016028+0.0091383i,-0.0070243-0.003131i,-0.016133+0.023058i,-0.0076239+0.00095494i,-0.010876+0.0087548i,-0.013468+0.0065219i,-0.0077635-0.0035009i,-0.0081641+0.0081485i,-0.0068713-0.00032851i,-0.00023759-1.3254e-05i,-0.0028211-0.0050863i,-0.0094227+0.0025017i,0.0078241-0.0012015i,-0.0067534+0.012271i,0.00157-0.0061859i,-0.014008+0.0086374i,-0.016686+0.0060186i,-0.027139-0.025658i,0.0097001-0.017776i,-0.043372+0.0010879i,-0.0092067-0.012425i,0.019282+0.0032744i,-0.0041536+0.020427i,-0.014021-0.0059258i
-0.024807+0.0099198i,-0.017168+0.010262i,-0.022123-0.0036776i,-0.033297+0.0020143i,-0.02582+0.0032271i,-0.037245+0.022566i,-0.065637+0.014576i,-0.037099+0.0035631i,-0.026555+0.014359i,0.0035726-0.0002001i,0.00069154+0.009677i,0.0077833+0.0076564i,0.0082978-0.0014456i,0.0011938+0.0093775i,0.0044482-0.00047999i,0.010361+0.0087024i,0.01691-0.0012522i,0.0021612-0.0017606i,-0.0034349-8.6972e-06i,0.00067523-0.0049218i,0.0016417-0.0011428i,0.0060528-0.0012941i,0.00025582-0.0012248i,5.8371e-06+0.0095436i,-0.0081965+0.0022127i,-0.00091811-0.0042092i,0.00042809-0.0012178i,0.0010907-0.0019801i,0.00082772+0.00078559i,-0.0044683+0.00056473i,-0.0019954+0.0016914i,-0.0060968+0.000646i,-0.0063654+0.0024485i,-0.00014326-0.00099276i,-0.00011203-0.0041361i,0.010621+0.011863i,-4.6757e-05-0.0029091i,-0.0019117-0.00090647i,-0.00085349-0.0070512i,-0.0020498-0.0014793i,0.0016302-0.00040856i,0.0017663-0.0053542i,0.00040583-0.0029942i,-0.0031603+0.0034714i,-0.0015062+0.013068i,0.026689+0.051821i,-0.025277-0.02665i,-0.032293+0.0034212i,-0.0096217-0.0089751i,-0.012428-0.0055485i,0.0088281-0.0668i,-0.023584-0.062784i,0.01752-0.06323i,-0.022469-0.021932i,0.0067625-0.015314i,0.0034163-0.011267i,-0.012084-0.035277i,0.0038627-0.014624i,-0.014727-0.011044i,-0.0079305-0.013146i,-0.045525-0.0010828i,0.015098+0.01608i,-0.011444-0.011258i,-0.0065246+0.0033059i,-0.002925-0.00024978i,-0.017634-0.006235i,0.0064756+0.0093797i,0.01389-0.007682i,0.01845-0.0063735i,-0.00070106-0.0026596i,-0.007927+0.0008147i,-0.011674+0.0019069i,-0.010679+0.016777i,-0.0082041+0.0017952i,-0.0073772+0.024832i,-0.0064225+0.0030697i,-0.0047713+0.012266i,-0.0081094+0.013191i,-0.010353+0.0028091i,-0.0038425+0.0092957i,-0.0039421-0.0012406i,-0.0022558+0.001946i,-0.0052593-0.0036569i,-0.0066729+0.0033652i,0.0018967-0.0052102i,-0.0032251+0.014802i,-0.0032013-0.0050929i,-0.0093473+0.011368i,-0.013728+0.0066085i,-0.028739-0.02178i,0.0091875-0.016494i,-0.03817+0.01497i,-0.018988-0.011298i,0.018923-0.0035231i,0.0037641+0.015127i,-0.012576-0.002303i
-0.021433+0.014467i,-0.016635+0.012907i,-0.025061-0.00023604i,-0.030275+0.0067021i,-0.028957+0.0038651i,-0.030365+0.030055i,-0.05223+0.026517i,-0.032684+0.010963i,-0.019293+0.019269i,0.0030169-0.00040809i,0.0037932+0.0073295i,0.0085945+0.0046505i,0.0055545-0.003541i,0.0042798+0.0081183i,0.0032518-0.0012929i,0.0074088+0.0076078i,0.013226-0.0041952i,-0.00043664-0.0035254i,-0.00056505+0.0040835i,-0.0011968-0.0040984i,0.002082-0.00097399i,0.0053955-0.003413i,-0.00052349-0.00095551i,0.010362+0.016165i,-0.0065927+0.0050126i,-0.001479-0.0034947i,-0.00056665-0.00099552i,0.0013624-0.0020072i,0.001515+0.00029012i,-0.0036774+0.0027324i,-0.00063427+0.002119i,-0.0042558+0.0024858i,-0.0029141+0.0038509i,-0.00072761-0.0013704i,-0.0012779-0.0027835i,0.012741+0.010101i,-0.0012053-0.0025545i,-0.0022283-0.00029826i,-0.0032181-0.0048726i,-0.00084744-0.0025881i,0.0012609-0.0010498i,-0.00040956-0.0038116i,6.8302e-05-0.0018419i,-0.0048651+0.0039371i,-0.00058637+0.0089648i,0.040978+0.036729i,-0.025396-0.01561i,-0.024953+0.013784i,-0.0063121-0.013625i,-0.0097091-0.0048232i,-0.020155-0.072354i,-0.039917-0.054427i,-0.00255-0.073065i,-0.028403-0.014694i,0.0055088-0.012457i,-0.0023657-0.011595i,-0.022906-0.02755i,-0.0042598-0.016548i,-0.017288-0.0071838i,-0.01803-0.0090641i,-0.040314+0.01604i,0.016821+0.0056976i,-0.015879-0.004458i,-0.0051384+0.0038352i,-0.0033022+0.0016288i,-0.018351+0.0023422i,0.0057789+0.0036434i,0.011791-0.013023i,0.01237-0.019742i,-0.0014901-0.0027557i,-0.0099714+0.004331i,-0.0092313+0.0068288i,-0.0030427+0.020283i,-0.0072232+0.0062159i,-0.0070638+0.028234i,-0.0058726+0.004413i,-0.00059343+0.010345i,-0.001077+0.015094i,-0.0091152+0.0075534i,-0.0016283+0.006293i,-0.0053053-0.00030434i,-0.0022034+0.0052872i,-0.0085097-0.0011937i,-0.0060521+0.0028199i,-0.0034603-0.0029608i,0.0033791+0.016357i,-0.0060979-0.0025765i,-0.0026987+0.012194i,-0.013625+0.0079367i,-0.032857-0.015421i,0.013731-0.022357i,-0.028023+0.029861i,-0.023349-0.0023694i,0.014638-0.011167i,0.0058066+0.0073952i,-0.011447-0.002589i
-0.016544+0.017421i,-0.013374+0.015471i,-0.026583+0.0062681i,-0.027865+0.0096633i,-0.033524+0.0088625i,-0.020707+0.03439i,-0.040113+0.030968i,-0.027426+0.015118i,-0.013598+0.02032i,0.0019995-4.2019e-05i,0.0042203+0.0057996i,0.0085463+0.00072756i,0.0028994-0.0043876i,0.0058201+0.0064209i,0.0023989-0.0014682i,0.0071494+0.0086326i,0.010342-0.0043084i,-0.0016728-0.0040549i,0.0035373+0.0032092i,-0.0022619-0.0029552i,0.0018174-0.0024806i,0.0052564-0.0060725i,-0.00049665-0.0002344i,0.019342+0.0018066i,-0.0021262+0.0071187i,0.00059386-0.0012253i,0.00028861+0.0013465i,0.00096868-0.0033637i,0.0014432-0.00081812i,-0.00093805+0.0042198i,0.0010196+0.001582i,-0.0027359+0.0032159i,-0.0013861+0.0045046i,-0.0012448-0.00070604i,-0.0013448-0.00082084i,0.015721+0.00633i,-0.0021244-0.0018541i,-0.0025442+0.00032143i,-0.004515-0.0033806i,-0.0024628-0.0044199i,0.00093531-0.0010363i,-0.0011843-0.0022927i,-6.0135e-05-0.0013171i,-0.0053384+0.0079042i,-0.0019832+0.0073668i,0.038208+0.01617i,-0.01655-0.009092i,-0.016993+0.020313i,-0.0044575-0.016457i,-0.0060077-0.0077985i,-0.047127-0.058048i,-0.053632-0.039885i,-0.0204-0.069224i,-0.023102+0.0013121i,0.01005-0.008957i,-0.0062758-0.0092861i,-0.026215-0.012865i,-0.010824-0.016426i,-0.022084-0.0010764i,-0.018192+0.00048817i,-0.031269+0.030883i,0.014923-0.00061865i,-0.012783+0.0030905i,-0.006021+0.0041876i,-0.00061212+0.0037314i,-0.014061+0.01007i,0.0054293+0.0045847i,0.0070079-0.023545i,-0.0012793-0.032684i,-0.0049028-0.003225i,-0.0099145+0.0098102i,-0.0075284+0.0092872i,0.0053265+0.019986i,-0.0031113+0.0092639i,0.0050244+0.040817i,-0.0053253+0.0051808i,0.00071137+0.0099583i,0.0050296+0.012635i,-0.0048011+0.014283i,-0.0012927+0.0065716i,-0.0072577+0.0019767i,0.0014038+0.0074796i,-0.0088605+0.0068961i,-0.006604+0.0040494i,-0.0034878+0.0028588i,0.0083505+0.01274i,-0.0078883-0.00086013i,0.001113+0.0072861i,-0.011618+0.011416i,-0.029302-0.0031104i,0.0063485-0.038864i,-0.0041956+0.03341i,-0.020657+0.0043975i,0.016202-0.019001i,0.0060902-0.00073494i,-0.010005+0.00082676i
-0.011139+0.018323i,-0.011519+0.015749i,-0.025668+0.013003i,-0.025178+0.013568i,-0.034212+0.017878i,-0.011633+0.034912i,-0.03063+0.031969i,-0.022542+0.017282i,-0.01001+0.020596i,0.0025801+0.0001546i,0.0067252+0.0046591i,0.0056838-0.0022153i,-8.6334e-05-0.00342i,0.00827+0.0040714i,0.0019054-0.0016366i,0.0085198+0.0092301i,0.0075356-0.0089081i,-0.0041121-0.0040762i,0.0043529-0.00020276i,-0.0024706-0.0014719i,0.0014736-0.0024917i,0.0093474-0.0072819i,-0.00033026+6.609e-05i,0.014499-0.0091199i,0.0031442+0.0060883i,-0.00088907+0.00032175i,0.0014444-0.0011484i,-0.0011363-0.0040124i,0.0006934-0.00094823i,0.001262+0.0031581i,0.001558+0.00014343i,-0.00067253+0.0034787i,0.0012279+0.0043146i,-0.0012008-3.4084e-05i,-0.0019232+0.00068279i,0.017344+0.0016725i,-0.0018924-0.00063998i,-0.0021094+0.0012802i,-0.0055803-0.00018623i,-0.0053671-0.0032823i,0.00020122-0.0017472i,-0.00063549-0.0021244i,0.00014762-0.0012195i,-0.0016428+0.0068321i,-0.0026303+0.008245i,0.030417+0.014464i,-0.013136-0.012146i,-0.0019706+0.023532i,-0.0034367-0.018817i,-0.010561-0.013138i,-0.058856-0.038055i,-0.053769-0.019127i,-0.03807-0.061445i,-0.010226+0.00551i,0.012919-0.020401i,-0.0076155-0.0061838i,-0.021977-0.0070232i,-0.021693-0.012088i,-0.017086+0.010474i,-0.015926+0.0046717i,-0.011172+0.036834i,0.013701-0.003171i,-0.009995+0.0048028i,-0.0034406+0.0048774i,-0.0011719+0.0009864i,-0.0072896+0.01446i,0.0083858+0.0020305i,-0.0098058-0.025368i,-0.023507-0.024961i,-0.0053403+0.0027951i,-0.0050021+0.013805i,-0.0019871+0.011266i,0.01296+0.012958i,0.00084593+0.0093176i,0.027338+0.03802i,-0.0026431+0.0067448i,0.0030402+0.0092298i,0.0091457+0.0080529i,0.0037292+0.015242i,-0.002496+0.0069577i,-0.0070576+0.0083289i,0.0062425+0.0078328i,-0.0039461+0.011529i,-0.0052765+0.0064768i,-0.0014452+0.0042032i,0.0099046+0.0075427i,-0.0083447+0.0021802i,0.0021867+0.0026372i,-0.0068413+0.012866i,-0.021605+0.001805i,-0.015259-0.042497i,0.012593+0.01971i,-0.016576+0.010139i,0.0080694-0.027222i,0.00117-0.0061345i,-0.0038778-0.0011305i
-0.006672+0.018165i,-0.0098414+0.018431i,-0.022155+0.019119i,-0.020221+0.016098i,-0.029019+0.026497i,-0.004834+0.033639i,-0.023422+0.031324i,-0.018292+0.018456i,-0.0049513+0.022526i,0.003098-0.00042661i,0.0074016-1.783e-05i,0.0033624-0.0030278i,-0.00111-0.00099746i,0.0078668+0.00063368i,0.0012927-0.0020637i,0.011618+0.0082595i,0.0022834-0.006478i,-0.0068576-0.0011119i,0.0020674-0.0015186i,-0.0024672-0.00059812i,0.00018929-0.0028492i,0.0053512-0.0061081i,-0.00038433+0.00045529i,0.0072815-0.014262i,0.0058192+0.0020753i,-0.0005449+5.8148e-05i,0.00045289-0.0027976i,-0.0019809-0.0018143i,0.0010759-0.00075886i,0.0015625+0.0018826i,0.00096571-0.001121i,0.00099455+0.0026634i,0.0026231+0.0032412i,-0.00085216+0.00032403i,-0.0016404+0.0031441i,0.018988-0.0056708i,-0.0012114-0.0003844i,-0.0011904+0.0018032i,-0.0039735+0.0019994i,-0.0054546-0.00080594i,-0.00095005-0.0012312i,-0.00086039-0.0020397i,-0.00025803-0.0011313i,-0.0019107+0.0049052i,-0.0020215+0.011013i,0.036594+0.01943i,-0.014187-0.015395i,0.011661+0.018314i,-0.0041592-0.024146i,-0.013938-0.009139i,-0.066416-0.020027i,-0.044336-0.0058995i,-0.052505-0.048864i,-0.001404+0.0013953i,0.007364-0.028291i,-0.0076502-0.0049273i,-0.019181-0.0026694i,-0.028042+0.0012462i,-0.010519+0.012443i,-0.01165+0.0095755i,0.0075674+0.03058i,0.0033585+0.020623i,-0.010546+0.0042703i,-0.00224+0.0019915i,-0.0013954+0.0024702i,0.00056864+0.012508i,0.0069603-0.0040861i,-0.022362-0.014456i,-0.030703-0.0031586i,0.00020185+0.0065967i,0.0016423+0.014445i,0.0026439+0.010562i,0.016682+0.0062417i,0.0067104+0.0082589i,0.042047+0.022084i,-0.00069548+0.0059762i,0.0056843+0.0088036i,0.0096916+0.0018952i,0.011034+0.010025i,-0.0018118+0.011381i,-0.0011463+0.013615i,0.010447+0.0026592i,0.003679+0.011507i,-0.0027817+0.010172i,-0.00010257+0.004146i,0.0099871+0.0048982i,-0.0077368+0.0051729i,0.00057209-0.00021747i,-0.0044513+0.012243i,-0.012092+0.0029599i,-0.028369-0.02716i,0.015818+0.0017227i,-0.0041323+0.010308i,-0.0047654-0.030603i,-0.0075936-0.0071384i,-0.0063592-0.0083632i
-0.0029206+0.017028i,-0.0056913+0.021348i,-0.016341+0.024449i,-0.016728+0.016882i,-0.02179+0.031425i,0.0014617+0.031807i,-0.017815+0.029637i,-0.015101+0.018926i,0.0016945+0.022403i,0.0031269-0.0015136i,0.0044449-0.0020784i,0.0091344-0.00076477i,-0.00018238+0.00062865i,0.0063031-0.0013163i,0.00048734-0.0019382i,0.017711+0.0061375i,0.00098045-0.0032423i,-0.0077291+0.003715i,0.0007273-0.0011i,-0.0022652+0.0005214i,-0.00041244-0.00197i,0.0022806-0.0042558i,0.0001637+0.0010954i,0.00093044-0.014091i,0.0017052-0.0021995i,-0.00053001-0.00083138i,-0.0011706-0.0026942i,-0.0022854-0.0011679i,0.0010736-0.0018098i,0.0021211+0.0014839i,1.2653e-05-0.0020169i,0.0021836+0.00093488i,0.0027284+0.0020524i,-0.00038702+0.00068325i,-0.00089695+0.0021416i,0.012999-0.015336i,-0.00087885-0.00040994i,-0.00041733+0.0020715i,-0.0035711+0.0036603i,-0.0040164+0.0011211i,-0.0010633-0.00034844i,-0.0016664-0.0018137i,-0.0001144-0.00095514i,-0.0042722+0.0059641i,0.001115+0.013951i,0.052915+0.014872i,-0.018821-0.016127i,0.021079+0.007887i,-0.0078063-0.024737i,-0.014326-0.0062046i,-0.066475+0.0022748i,-0.036705-0.0011622i,-0.055547-0.010609i,0.0039976-0.0040459i,-0.0012465-0.034006i,-0.0087644-0.0042i,-0.018233-0.0030712i,-0.021496+0.014325i,-0.0058708+0.013193i,-0.003162+0.0091791i,0.014364+0.016554i,-0.0012932-0.013685i,-0.010214+0.011199i,-0.0046903+0.0016435i,-0.00011426+0.0019705i,0.0028151+0.007987i,0.00018066-0.0042785i,-0.025262+0.00051558i,-0.023284+0.0093391i,0.0052952+0.0037898i,0.0055473+0.013208i,0.0045121+0.0081951i,0.014792-0.0045096i,0.0079115+0.0021427i,0.046158+0.0017484i,-0.0003377+0.007498i,0.0088629+0.004885i,0.0072563-0.0012579i,0.012063+0.0038965i,0.0036746+0.014893i,0.008202+0.01009i,0.0091108-0.0022476i,0.0085453+0.0064806i,0.0025677+0.014407i,0.00021594+0.0060835i,0.0097687+0.0027211i,-0.0073556+0.0083914i,-0.0048912-0.00035861i,-0.0029491+0.013227i,-0.0046222-0.0015124i,-0.02697-0.014153i,0.0074061-0.0083902i,0.0021977+0.0018809i,-0.018562-0.027789i,-0.011889+0.0014424i,-0.0133-0.0064472i
-0.00049097+0.015467i,-0.00024709+0.021772i,-0.0089492+0.02716i,-0.014469+0.017729i,-0.013755+0.034179i,0.0068252+0.028995i,-0.014575+0.028013i,-0.012526+0.019706i,0.0073385+0.019234i,0.002709-0.0029323i,0.0021654-0.001886i,0.0063042+0.0010366i,0.0014872+0.00066546i,0.0053976-0.0026082i,0.00025452-0.0016387i,0.01536-0.0038829i,0.0030891-0.0025249i,-0.0059663+0.007036i,0.00014288-0.0011091i,-0.0014107+0.0014363i,-0.00045709-0.0012996i,5.1846e-05-0.0026152i,0.00099001+0.001226i,-0.0037562-0.012139i,0.00071853-0.0017345i,-0.0013986-0.00063223i,-0.0022776-0.0018811i,-0.0024354-0.00038202i,-1.3502e-05-0.0023028i,0.0024448+0.00016055i,-0.0015734-0.0018149i,0.0021292-0.00078749i,0.0021469+0.0021436i,0.00028889+0.00050939i,-0.0010403+0.0020296i,0.00090454-0.013196i,-0.0010052-0.00087684i,0.00045306+0.0017898i,-0.00081026+0.0058763i,-0.001285+0.0023788i,-0.0010179+0.00015502i,-0.0018185-0.00081045i,-0.00025329-0.0012695i,-0.002784+0.010792i,0.0071611+0.014517i,0.067459-0.0061831i,-0.024859-0.012335i,0.023144-0.0043896i,-0.0077087-0.025742i,-0.014821-0.0035577i,-0.056168+0.018795i,-0.030512+0.0033599i,-0.040167+7.5769e-05i,0.0035518-0.011812i,-0.013672-0.035657i,-0.0098074-0.0023859i,-0.021051-0.0022841i,-0.012081+0.018489i,-0.0022221+0.012925i,0.00070706+0.0023969i,0.010989+0.0053584i,-0.0054506-0.012911i,-0.0049445+0.014546i,-0.0056749+0.0076508i,-0.0010485+0.00030376i,0.0033118+0.0045022i,-0.001679+0.00047884i,-0.020016+0.012403i,-0.015388+0.017176i,0.0052936+0.0005407i,0.011069+0.010841i,0.0061011+0.0066267i,0.0072535-0.0097952i,0.0055083-0.0011967i,0.040965-0.015319i,0.0031218+0.0081117i,0.0080582+0.0016741i,0.0052236-0.0024483i,0.011398+0.0010504i,0.011478+0.014144i,0.0095327+0.003818i,0.0076141-0.0047647i,0.0080791+0.0016646i,0.010899+0.013374i,0.0029099+0.0056649i,0.010652-0.0011489i,-0.0018895+0.012918i,-0.004974+0.0037199i,-0.00013498+0.014615i,-0.0040429-0.009688i,-0.02321-0.0087228i,0.0014904-0.014946i,-0.00025295-0.0059783i,-0.028568-0.021258i,-0.0077015+0.0046295i,-0.013158-0.0031308i
0.001746+0.014396i,0.0049969+0.020233i,-0.0011564+0.027123i,-0.011317+0.019504i,-0.0052199+0.033821i,0.010948+0.025615i,-0.012089+0.027728i,-0.0093734+0.02069i,0.011215+0.01528i,0.0010289-0.0045176i,0.0012644-0.0011658i,0.0066082-0.00072721i,0.0020632-0.00010629i,0.0032607-0.0035566i,-0.0002125-0.0016679i,0.010927-0.0062456i,0.003143-0.0050975i,-0.0064629+0.0099021i,-0.00045731-0.00054191i,-0.00037483+0.0017546i,0.00096983-0.00070265i,-9.099e-06-0.0010294i,0.0017095+0.00088048i,-0.0074327-0.0096802i,-0.00020572-0.0011349i,-0.001667+0.00015503i,-0.0030643-0.0005909i,-0.0022786+0.00052967i,-0.0010055-0.0017284i,0.00145-0.0010679i,-0.0025118-0.00055899i,0.0011383-0.0015365i,1.8628e-05+0.00073302i,0.00082265-0.00014543i,-0.0010052+0.001781i,-0.0018309-0.0080984i,-0.0014037-0.0005434i,0.0010208+0.0012187i,0.0026626+0.0061427i,0.0011488+0.0025586i,-0.00096177+0.0005432i,-0.0015805-7.5498e-05i,-0.00081992-0.0015167i,0.0017153+0.010384i,0.012604+0.010898i,0.063981-0.034128i,-0.027873-0.0047222i,0.022883-0.015113i,-0.0097806-0.032108i,-0.014013-0.00079893i,-0.045245+0.028412i,-0.024434+0.0039133i,-0.029317+0.0042458i,0.00020172-0.016082i,-0.027238-0.033133i,-0.010852-0.00045696i,-0.027511+0.0016016i,-0.0045234+0.018447i,0.00049514+0.0055856i,-0.0011057-0.0032855i,0.0047071+0.0014957i,-0.011925-0.011999i,0.00044294+0.014471i,-0.0021292+0.007401i,-0.0029999+0.0015302i,0.0017969+0.0042179i,2.4138e-05+0.0030877i,-0.011152+0.017878i,-0.004866+0.019861i,0.0057451-0.0010281i,0.015271+0.0043086i,0.00756+0.0049466i,0.00070829-0.0093189i,0.0031412-0.0018176i,0.029416-0.028233i,0.0063406+0.0070472i,0.007389+0.00019323i,0.0023828-0.0029625i,0.011168-0.0044324i,0.017636+0.0089222i,0.0083051-0.00058593i,0.0052083-0.0074272i,0.0065897-0.0015407i,0.015446+0.0074629i,0.0039+0.0057795i,0.007007-0.0049988i,0.0046053+0.011568i,-0.0026427+0.0041925i,0.0052306+0.014342i,-0.0087567-0.013129i,-0.020247-0.0036939i,-0.0030184-0.015811i,-0.0059554-0.0072432i,-0.03759-0.013358i,-0.0060053+0.0041417i,-0.012655-0.0013006i
