-0.029629-0.041131i,-0.022542-0.01926i,-0.013496-0.03587i,-0.03008-0.019998i,-0.022687-0.00029642i,-0.014135-0.0057353i,-0.056016-0.059185i,-0.047724-0.017302i,-0.038664-0.014228i,0.010533+0.011859i,-0.0074504+0.0053296i,-0.019387+0.018853i,0.0025759+0.011539i,-0.0060248-0.0031535i,0.0002914+0.0012872i,-0.00090603+0.030173i,0.028019+0.027765i,0.0024231-0.0023271i,-0.0020906-0.0067093i,0.007782+0.0025067i,0.0029087+0.00081885i,0.00016347+0.0037488i,-0.00038779+0.00026021i,-0.037336-0.011738i,-0.00017513-0.0078138i,0.0014634+0.0022223i,0.0060334+0.0016381i,0.0018822+0.00065985i,0.0011911-0.00056799i,-0.00055007-0.0026044i,0.0015652-0.0027218i,-0.0026904-0.0058801i,-0.00041309-0.0048228i,0.0029477-0.00087015i,0.0045248-0.0029332i,0.0025469+0.030223i,0.0039313-0.0034963i,0.0030612-0.001743i,0.0079921-0.0013315i,-0.0054103-0.0023525i,-0.00032648+0.0011235i,0.0094309-0.00017211i,0.0042118-0.0026778i,-0.0012887+0.0091182i,-0.017783-0.0074362i,-0.018393+0.014466i,-0.0035859-0.061459i,-0.0054506-0.027172i,-0.026699-0.032319i,-0.011237-0.027106i,0.054454-0.021225i,0.016121-0.043114i,0.022208-0.049195i,0.0055214-0.056031i,0.026143-0.021076i,0.0083949+0.0061009i,0.024798-0.034262i,-0.0080601-0.0062929i,0.003796-0.0047226i,-0.0044223-0.0073881i,-0.002361-0.032777i,-0.018267+0.029869i,0.0080712-0.011739i,-0.0090078-0.0039243i,-0.004325-0.001329i,0.0008568-0.012805i,-0.011181+0.0044157i,0.0024933+0.0098706i,-0.0046465+0.026713i,0.0053638+0.0025491i,-0.0053876-0.0020208i,-0.0020852-0.0020069i,-0.012214-0.0073182i,-0.00070805-0.0040859i,-0.03608+0.0018819i,0.0012234-0.010789i,-0.0084388+1.1951e-05i,-0.0066289-0.0022569i,0.005211+0.0011089i,-0.0083322-0.0003522i,0.0018134-0.00039401i,0.0037848+0.0068459i,0.0039527+0.00050554i,-0.0086523-0.013205i,0.0024267+0.0089622i,-0.015557+0.0047649i,0.0065635-0.00021547i,-0.022369+0.0002969i,-0.017162+0.0054278i,-0.0090454-0.065047i,0.0078108-0.012781i,-0.050164-0.02281i,-0.021798+0.0012374i,0.01744+0.011749i,-0.022744+0.014472i,-0.019666-0.0048363i
-0.037095-0.037713i,-0.023095-0.0104i,-0.01856-0.037102i,-0.03195-0.017326i,-0.020494+3.0137e-05i,-0.015844-0.0030077i,-0.06566-0.04796i,-0.048756-0.0099227i,-0.038888-0.005889i,0.010623+0.0079228i,-0.0092484+0.0047027i,-0.0091367+0.025997i,0.0067609+0.0084306i,-0.010565+0.00029684i,0.00037304+0.00090199i,0.0059908+0.025614i,0.029963+0.016274i,0.0030394-0.00085545i,-0.0046632-0.0030173i,0.0069737-0.00073869i,0.0013856+0.00063031i,0.00023088+0.0041045i,-0.00033347+0.00059956i,-0.025463+0.0091069i,-0.0025008-0.0066547i,0.003294+0.00045101i,0.0047911+0.00177i,0.002541+0.0012813i,0.0016475-0.0013695i,-0.0016123-0.0021369i,0.0010882-0.0037002i,-0.0031109-0.0048132i,-0.0015576-0.0046994i,0.0024102-0.0019534i,0.0043095-0.0028671i,0.011969+0.025482i,0.0032403-0.0050521i,0.0018831-0.0023421i,0.0089374-0.004625i,-0.0039431-0.0015234i,0.00047969+0.0021772i,0.0080683-0.0012483i,0.0027641-0.0026028i,-0.0012559+0.0097248i,-0.016097-0.0079406i,-0.0062924+0.017989i,-0.014559-0.06046i,-0.016366-0.029601i,-0.020897-0.021913i,-0.0080526-0.016498i,0.051306-0.046528i,0.015789-0.061675i,0.02415-0.049661i,-0.0050254-0.059777i,0.013695-0.016976i,0.0073224-0.0018747i,0.01042-0.036857i,-0.0076301-2.1112e-05i,-0.00071842-0.013473i,-0.0061293-0.0065329i,-0.024313-0.028412i,-0.0052476+0.026487i,0.0020942-0.014446i,-0.010556+6.1613e-05i,-0.0033392+0.00030083i,-0.0056411-0.012614i,-0.011555+0.0097559i,0.0079595+0.010197i,0.012164+0.02269i,0.0052198-0.0014336i,-0.0053048+0.00090422i,-0.0045731-0.0020805i,-0.015784+0.0019406i,-0.00074881-0.0029478i,-0.040257+0.00989i,-0.0049031-0.008391i,-0.0074054+0.0033389i,-0.0080905+0.0015938i,0.003461-0.0040253i,-0.0071071+0.0015833i,0.0025336-0.0031671i,0.0027066+0.0027853i,0.0031407-0.0006277i,-0.014729-0.0045295i,0.0042615+0.0055055i,-0.01101+0.010377i,0.0051862-0.0029127i,-0.020066+0.0080535i,-0.016033+0.010328i,-0.019893-0.060333i,0.0030618-0.01782i,-0.055369-0.0077184i,-0.015733-0.0030728i,0.017576+0.005673i,-0.016438+0.019914i,-0.027114-0.0068336i
-0.042795-0.032045i,-0.020374-0.0091815i,-0.025157-0.038545i,-0.033947-0.011981i,-0.019763-0.00049206i,-0.016983-0.0001476i,-0.076706-0.031735i,-0.050693-0.0014539i,-0.038551+0.0010645i,0.010168+0.0053644i,-0.01002+0.0097971i,0.0017786+0.024082i,0.0076676+0.0038745i,-0.011234+0.0055126i,0.00029788+0.00085411i,0.010187+0.019475i,0.032843+0.0065163i,0.0046216-0.0015192i,-0.0039172-0.00032225i,0.0056237-0.0023901i,-0.00034093+0.0016157i,0.0017631+0.0050108i,-0.00025165+0.00075468i,-0.013412+0.01733i,-0.0037007-0.005257i,0.0031276-0.0019976i,0.0052333+0.00033157i,0.0039664+0.00017973i,0.00054106-0.0018819i,-0.0019068-0.0011655i,-0.00034377-0.0042136i,-0.00439-0.0036324i,-0.0030881-0.0042177i,0.001459-0.0033425i,0.0044988-0.006449i,0.018223+0.017684i,0.0013228-0.0058565i,0.0010194-0.0027013i,0.0071473-0.0095308i,-0.0040706-0.00042748i,0.0016699+0.0022512i,0.0068494-0.0037688i,0.0024453-0.0024904i,0.0013691+0.010924i,-0.017014-0.010407i,0.0040474+0.015395i,-0.024948-0.056966i,-0.02507-0.021577i,-0.0095632-0.020749i,-0.0016065-0.019628i,0.041669-0.067499i,-0.0021719-0.077421i,0.028242-0.056944i,-0.01636-0.056315i,0.0095303-0.015156i,0.0046232-0.0049197i,-0.00085585-0.037154i,0.0023112-0.0004842i,-0.0095619-0.012831i,-0.0057625-0.0083912i,-0.039162-0.015187i,0.0022378+0.023658i,-0.004494-0.01439i,-0.0084502+0.0028119i,-0.0046496+0.00073725i,-0.011827-0.010536i,-0.0051932+0.015421i,0.014714+0.0036389i,0.021107+0.010121i,0.0037256-0.0033837i,-0.0043612+0.0013057i,-0.0062433-0.00052606i,-0.011802+0.01083i,-0.0044379-0.0022671i,-0.036066+0.023919i,-0.0065414-0.0037696i,-0.0055034+0.0065803i,-0.0077297+0.007618i,-0.0017456-0.0046975i,-0.006921+0.0028388i,0.0007336-0.0046137i,0.00065009+0.0023833i,0.002563-0.0021262i,-0.0097928+0.0034099i,0.0043067+0.0020139i,-0.0065777+0.011687i,0.0021603-0.0055776i,-0.015344+0.013142i,-0.011318+0.014123i,-0.025608-0.054913i,-0.0037533-0.017486i,-0.053375+0.006354i,-0.021752-0.0087067i,0.016334-0.0015543i,-0.0063368+0.019241i,-0.029404-0.0011166i
-0.04718-0.025762i,-0.02115-0.010433i,-0.034694-0.038582i,-0.031666-0.0069606i,-0.020538-0.0010455i,-0.016598+0.003664i,-0.078553-0.0053744i,-0.049922+0.010528i,-0.036945+0.010038i,0.0097676+0.0037123i,-0.0052663+0.013772i,0.0070839+0.018631i,0.0065251+0.00037961i,-0.0089568+0.011487i,-6.6062e-05+0.0008006i,0.010434+0.012318i,0.032212-0.0087086i,0.0041347-0.003686i,-0.0038502+0.002166i,0.0039515-0.0033406i,0.00079152+0.0037666i,0.0042725+0.00458i,-0.000157+0.0011158i,-2.1285e-05+0.025953i,-0.0047422-0.0040507i,0.0014924-0.0031761i,0.0056346-0.0012412i,0.0033031-0.0018241i,0.0001766-0.001366i,-0.0024168-0.00020049i,-0.0018823-0.0038992i,-0.0045859-0.002022i,-0.00456-0.0028742i,0.00016523-0.0038444i,8.8424e-05-0.0078361i,0.019107+0.010223i,-0.00074459-0.0061295i,0.00010259-0.0029966i,0.0021379-0.01147i,-0.0022421+0.00096928i,0.0027584+0.0014345i,0.0036933-0.0050297i,0.0017414-0.0027257i,0.0045238+0.0095156i,-0.017449-0.012015i,0.013082+0.0091823i,-0.033729-0.050189i,-0.025473-0.010465i,-0.0060073-0.02465i,-0.0003897-0.021515i,0.021676-0.089044i,-0.025344-0.078065i,0.02296-0.074743i,-0.023566-0.052135i,0.0061057-0.013073i,0.0008791-0.007563i,-0.013633-0.03321i,0.0015251-0.0094131i,-0.012749-0.0081072i,-0.011652-0.011589i,-0.043103+0.0055711i,0.012131+0.017639i,-0.010052-0.012236i,-0.0062681+0.0038046i,-0.0044094+0.0031814i,-0.016999-0.0046378i,0.0032056+0.013108i,0.016504-0.0044756i,0.021339-0.0016075i,0.0023206-0.0050153i,-0.0050451+0.0015926i,-0.0068065+0.0028782i,-0.0068351+0.016838i,-0.0055906+0.0015806i,-0.028766+0.034863i,-0.006688-0.001594i,-0.0010327+0.0077536i,-0.001617+0.012068i,-0.0054962-0.001561i,-0.0046166+0.0040468i,-0.00086285-0.0046499i,7.4444e-05+0.0032181i,0.00049183-0.0038171i,-0.0050009+0.0026776i,0.00091548-0.00098941i,-0.0035411+0.01366i,-0.0023081-0.0050379i,-0.0088411+0.016154i,-0.0064488+0.013399i,-0.029932-0.051543i,-0.0029113-0.014368i,-0.047265+0.021069i,-0.029197-0.0047413i,0.014162-0.0071452i,0.0011991+0.01418i,-0.027405+0.0043994i
-0.050716-0.018398i,-0.024738-0.0085364i,-0.046978-0.034285i,-0.029535-0.0048826i,-0.02311-0.00062337i,-0.015069+0.0074166i,-0.063706+0.011991i,-0.042763+0.020262i,-0.029743+0.016599i,0.010221+0.0019865i,-0.00020086+0.012562i,0.010552+0.014982i,0.004118-0.001342i,-0.0025316+0.014266i,-0.00026168+0.00070602i,0.0077749+0.010324i,0.01869-0.020931i,0.0024572-0.0044453i,-0.0012443+0.0061741i,0.0026526-0.0036357i,0.0026838+0.0054612i,0.0055542+0.0024188i,0.00014346+0.0016423i,0.020436+0.018394i,-0.0055242-0.0017261i,0.0001853-0.0031555i,0.0038227-0.0034353i,0.0026507-0.0019877i,8.0804e-05-0.0010931i,-0.0020007+0.0012483i,-0.0032097-0.0029504i,-0.004585-0.00010743i,-0.0045083-0.0013196i,-0.0017732-0.0034271i,-0.0022653-0.0063536i,0.019989+0.0053726i,-0.0026408-0.0054845i,-0.0013607-0.0027998i,-0.0018601-0.010211i,-0.0015671-0.00096768i,0.0030014+0.00032994i,0.0014823-0.0038049i,0.0015446-0.002674i,0.0056369+0.0072481i,-0.022378-0.015908i,0.019078-0.0021322i,-0.037539-0.041382i,-0.02095-0.0020249i,-0.0041162-0.029837i,0.0013548-0.022549i,-0.011022-0.098908i,-0.04389-0.069221i,0.0024105-0.085564i,-0.033768-0.044252i,0.0052464-0.010039i,-0.0030842-0.0077963i,-0.023859-0.023765i,-0.0052485-0.01217i,-0.014977-0.0056535i,-0.021628-0.0068105i,-0.036138+0.021654i,0.014681+0.0070107i,-0.015311-0.0068536i,-0.0050127+0.0048011i,-0.0033958+0.005478i,-0.017458+0.0044216i,0.004116+0.008406i,0.014946-0.011322i,0.019084-0.011526i,0.0001775-0.0066525i,-0.0067122+0.0045773i,-0.0041908+0.0060354i,0.0011299+0.018577i,-0.004805+0.0050436i,-0.019772+0.044211i,-0.0080247-0.00020128i,0.0012042+0.0051106i,0.0049081+0.010722i,-0.0068727+0.0019763i,-0.0037856+0.0015974i,-0.0035415-0.0050199i,0.0004289+0.0051129i,-0.0035262-0.0034458i,-0.0053589+0.00057727i,-0.0019753+0.00064107i,0.0023898+0.01474i,-0.0048914-0.0032098i,-0.0012727+0.016304i,-0.0046269+0.013063i,-0.037065-0.046695i,0.0010737-0.019572i,-0.035055+0.036525i,-0.031232+0.0052728i,0.0094421-0.012422i,0.0022108+0.0065125i,-0.025029+0.0065236i
-0.052382-0.011468i,-0.024815-0.0060359i,-0.057526-0.022871i,-0.029223-0.0037149i,-0.026982+0.0026224i,-0.011134+0.0098794i,-0.049557+0.018023i,-0.03439+0.0253i,-0.023708+0.018734i,0.0096656-0.00020595i,0.0016925+0.011564i,0.013648+0.0087131i,0.0016127-0.0018538i,0.0042994+0.012564i,-0.00061554+0.00082088i,0.0077604+0.010444i,0.0045868-0.020694i,0.0021103-0.0045368i,0.0031879+0.0060669i,0.0012177-0.0035101i,0.0060106+0.0031593i,0.0052415+0.00056212i,0.0012605+0.0019528i,0.026793+0.0011651i,-0.0040466+0.00069394i,-0.00093512-0.0028498i,0.00081783-0.0019198i,0.0024117-0.0032446i,-0.00013823-0.0013553i,-0.00029968+0.0022466i,-0.0037227-0.0016083i,-0.0041093+0.00091523i,-0.0051984+0.00062323i,-0.002344-0.0016935i,-0.0032023-0.0049938i,0.02064-0.00090947i,-0.0043274-0.0042621i,-0.0030551-0.0024285i,-0.0054382-0.009163i,-0.0035902-0.0017084i,0.0033169-0.00067389i,0.0005385-0.0025598i,0.00055447-0.0029605i,0.0064894+0.0055567i,-0.031112-0.013941i,0.010606-0.017196i,-0.035587-0.034446i,-0.015998+0.0032229i,-0.0055805-0.033084i,0.0042543-0.028012i,-0.043039-0.087885i,-0.060203-0.053819i,-0.016847-0.084269i,-0.034096-0.02803i,0.01067-0.0051216i,-0.0054959-0.0059012i,-0.025947-0.0091858i,-0.010716-0.012072i,-0.020063-0.00091718i,-0.020794+0.003156i,-0.024932+0.034615i,0.012049-0.00026208i,-0.013748+0.0024234i,-0.0051017+0.005179i,0.00081742+0.0079626i,-0.012009+0.011403i,0.0058289+0.0097512i,0.010293-0.023061i,0.0069817-0.023214i,-0.0054266-0.0088912i,-0.0059344+0.0088171i,-0.0024891+0.0063606i,0.0086005+0.016582i,-0.0012259+0.007613i,-0.0025334+0.057562i,-0.0095531+0.0015874i,0.00091518+0.0046665i,0.0087266+0.0059857i,-0.005197+0.0079905i,-0.0055769+0.0030841i,-0.0077853-0.0030602i,0.0037953+0.0055001i,-0.0045207+0.0026158i,-0.0078503+0.0012248i,-0.00021602+0.0052903i,0.0067707+0.011323i,-0.0066215-0.002163i,0.0031114+0.011423i,-0.00031634+0.014133i,-0.039282-0.035476i,-0.007693-0.031744i,-0.010585+0.039513i,-0.026379+0.011981i,0.0065729-0.019691i,0.00089588+0.00037828i,-0.022305+0.010779i
-0.053378-0.0043067i,-0.029322-0.0056087i,-0.06404-0.0080713i,-0.028976-0.00067193i,-0.028677+0.0093837i,-0.0076561+0.010035i,-0.039441+0.01876i,-0.027165+0.027578i,-0.020516+0.020614i,0.0096138-0.0029277i,0.0061334+0.011013i,0.010278+0.0016898i,-0.00091415-0.00032627i,0.0083794+0.0063408i,-0.00073216+0.0011573i,0.0087872+0.010316i,-0.0040207-0.01453i,0.00061555-0.0059396i,0.0051539+0.003052i,0.00036616-0.002631i,0.0065508-7.724e-05i,0.0057331-0.00026919i,0.0022821+0.001476i,0.021018-0.012337i,-0.0017416+0.00076638i,-0.0015186-0.0018699i,0.0021923-0.0033024i,0.0012862-0.0043897i,-0.0003492-0.00054984i,0.00092162+0.0014193i,-0.0037624-0.00051493i,-0.0033884+0.0023229i,-0.0036374+0.0025941i,-0.0022176-0.0011251i,-0.0050048-0.0046009i,0.018039-0.0073154i,-0.004745-0.0018796i,-0.0035228-0.00057802i,-0.0081798-0.0052018i,-0.0057531+0.00071892i,0.0025693-0.0018907i,0.0012846-0.0033351i,9.7942e-05-0.0028686i,0.0070154+0.0022921i,-0.037616-0.0069381i,-0.0023684-0.015835i,-0.037507-0.03376i,-0.0047167+0.0067122i,-0.0073043-0.034962i,-0.0028192-0.037501i,-0.06106-0.06971i,-0.062859-0.031432i,-0.038833-0.078098i,-0.026912-0.022244i,0.01693-0.017584i,-0.0062418-0.0034991i,-0.020571-0.0029461i,-0.02004-0.008737i,-0.016904+0.0091409i,-0.017667+0.0071965i,-0.0051104+0.037788i,0.0098314-0.0040377i,-0.011515+0.0046018i,-0.0018295+0.0049746i,0.0029112+0.0048152i,-0.0050053+0.015046i,0.011111+0.0068298i,-0.0062433-0.027002i,-0.010996-0.020761i,-0.0088537-0.0019574i,-0.0014649+0.011455i,0.00099822+0.0063831i,0.015287+0.0090711i,0.0018963+0.0069225i,0.025134+0.054812i,-0.0066597+0.0055747i,0.0011753+0.0043061i,0.0094286+0.00053243i,0.00079097+0.010253i,-0.0082885+0.0048621i,-0.0094997+0.0033342i,0.0069627+0.00466i,-0.0021223+0.0057003i,-0.009811+0.0044262i,0.002679+0.0053977i,0.0084729+0.0074478i,-0.0067371+0.00045526i,0.0061255+0.0070063i,0.0036672+0.011048i,-0.039026-0.031232i,-0.027031-0.030208i,0.0055655+0.027979i,-0.022611+0.01565i,-0.0030409-0.025901i,-0.003565-0.0033123i,-0.014548+0.011032i
-0.053806+0.002926i,-0.033183+0.0023145i,-0.064998+0.0087923i,-0.026659+0.0012133i,-0.025372+0.016475i,-0.0057685+0.0093431i,-0.032825+0.017726i,-0.020914+0.028397i,-0.01528+0.02422i,0.0082928-0.0057506i,0.0097446+0.005054i,0.0051175+0.0013368i,-0.00097512+0.0024906i,0.0059724+0.0022238i,-0.00062704+0.0012995i,0.011768+0.0086183i,-0.0074343-0.0073529i,-0.0021045-0.005294i,0.0041025+0.0014679i,-3.8232e-05-0.0021494i,0.0046014-0.0016755i,0.0052417-0.0021117i,0.0027703+0.00053058i,0.011387-0.019123i,-0.0017361-0.00014423i,-0.0013414-0.0012568i,0.0013392-0.0047839i,-0.00050368-0.0039556i,0.00081212-0.00026644i,0.00092751+0.00049077i,-0.0038099+0.00044498i,-0.001852+0.0033336i,-0.0020986+0.0036357i,-0.0025108-0.00065068i,-0.006122-0.0010159i,0.013583-0.011988i,-0.0037975-0.00047333i,-0.002496+0.0010445i,-0.0076808-0.0020372i,-0.0045419+0.00356i,0.001504-0.0021932i,0.0010951-0.0034595i,-0.0010567-0.002925i,0.0050534-0.00028261i,-0.039678+0.0031656i,-0.0035122-0.0060189i,-0.042077-0.031666i,0.0053718+0.0018512i,-0.010139-0.038793i,-0.011479-0.035701i,-0.075827-0.05119i,-0.054379-0.016389i,-0.059495-0.059367i,-0.022997-0.023229i,0.0118-0.028756i,-0.0062205-0.002382i,-0.016219+0.0005459i,-0.027027+0.0025935i,-0.011807+0.012283i,-0.012845+0.012386i,0.012082+0.029787i,0.0065632-0.0087177i,-0.010691+0.0076864i,-0.0014966+0.0026907i,0.0047218+0.0038515i,0.0025522+0.012861i,0.011779-0.00088665i,-0.020171-0.016929i,-0.019521-0.0076642i,-0.0052139+0.0037428i,0.0042681+0.011104i,0.003283+0.0050908i,0.017353+0.0013774i,0.0065425+0.0058108i,0.045771+0.037555i,-0.0044128+0.0050503i,0.0018069+0.0052712i,0.0067953-0.0041715i,0.0065514+0.0068192i,-0.0086581+0.012683i,-0.0062747+0.0098644i,0.0095276+0.00061569i,0.0031422+0.0057147i,-0.0096797+0.0094305i,0.0041121+0.0033435i,0.0091547+0.0046914i,-0.0070304+0.0020245i,0.0059823+0.0017652i,0.0047137+0.0080958i,-0.038812-0.025412i,-0.036296-0.012759i,0.011234+0.012834i,-0.010621+0.019763i,-0.014672-0.026438i,-0.011386-0.0028493i,-0.014186+0.006037i
-0.05318+0.01064i,-0.030602+0.011309i,-0.058078+0.025013i,-0.027032+0.0017038i,-0.020285+0.020186i,-0.0041848+0.008925i,-0.02878+0.015322i,-0.016289+0.02804i,-0.0079048+0.025829i,0.0054149-0.0082714i,0.0062946+0.00013604i,0.0049608+0.0037434i,0.001033+0.0041673i,0.0038119+0.00016064i,-0.00058392+0.0016985i,0.013829+0.0047844i,-0.005518-0.0021787i,-0.0032094-0.0034583i,0.0038895+0.0011286i,-0.00042434-0.0017084i,0.0045698-0.00097054i,0.0036271-0.003121i,0.0029035-0.00039835i,0.0028186-0.018671i,-0.0021579+5.5412e-05i,-0.0013629-0.0013779i,-0.00057543-0.0052026i,-0.0016277-0.0034175i,0.00077954-0.0011297i,0.00099256+1.5331e-05i,-0.0034744+0.0013249i,-0.00015747+0.0033038i,-0.0005543+0.0031261i,-0.002493+0.00055964i,-0.0049465+1.2329e-05i,0.0076481-0.014619i,-0.0028152+0.00011822i,-0.0011311+0.0015517i,-0.0084028+0.00032237i,-0.0026972+0.0047116i,0.00076222-0.0020681i,-0.00021758-0.0036787i,-0.0018913-0.0022737i,0.0023538-0.00039195i,-0.038082+0.013377i,0.0057588-0.0014104i,-0.048004-0.027081i,0.010917-0.0064471i,-0.015595-0.038446i,-0.016746-0.033803i,-0.082648-0.026324i,-0.048148-0.010691i,-0.06006-0.032471i,-0.023155-0.023737i,0.0010055-0.03613i,-0.0067933-0.0016333i,-0.013659-0.0016489i,-0.021828+0.016529i,-0.0067383+0.014338i,-0.0026762+0.012099i,0.016711+0.015205i,0.0019142-0.0094231i,-0.0076152+0.011396i,-0.0030257+0.0030586i,0.005368+0.00013986i,0.0059359+0.0080702i,0.0059213-0.0037674i,-0.024722-0.0025858i,-0.01838+0.0035353i,-0.0010872+0.0037819i,0.0072931+0.0088083i,0.0031511+0.0033527i,0.014295-0.0095838i,0.0066434-2.9894e-05i,0.054701+0.013638i,-0.0051481+0.0072485i,0.0040146+0.0039873i,0.001939-0.0058728i,0.0075132+0.0031145i,-0.0017864+0.018791i,0.0015704+0.0094947i,0.0075227-0.0031782i,0.0053093+0.0017303i,-0.0051958+0.015506i,0.0032543+0.0035391i,0.0090434+0.0021938i,-0.00817+0.0045015i,0.00087523-0.00068353i,0.0048699+0.0068372i,-0.036319-0.021366i,-0.031697+0.00091065i,0.0075636+0.002166i,-0.0022386+0.012721i,-0.026876-0.021406i,-0.013207+0.0064635i,-0.016569+0.0086423i
-0.051273+0.018367i,-0.02519+0.015884i,-0.046769+0.036021i,-0.029089+0.0041702i,-0.014888+0.022574i,-0.0028125+0.0087115i,-0.028353+0.013194i,-0.012925+0.02856i,-0.0013531+0.024251i,0.0017477-0.009243i,0.0027865+0.00071267i,0.0062888+0.0036477i,0.0036186+0.0033791i,0.001881-9.7295e-05i,-6.4156e-05+0.0020847i,0.012821-0.00026896i,-0.0034246-0.0012186i,-0.0029128-0.0019046i,0.0042384-1.4934e-05i,-0.00043153-0.0012166i,0.0053026-0.0025241i,0.0020427-0.0027848i,0.0027-0.0012382i,-0.0028218-0.016412i,-0.0019106+0.00089526i,-0.0017548-0.00084685i,-0.0022753-0.0044289i,-0.0024842-0.0027804i,0.00038426-0.0014684i,0.00086667-0.00064806i,-0.0029536+0.0023033i,0.0012829+0.0022618i,0.00058359+0.0026445i,-0.0017347+0.0011094i,-0.004869+0.0012462i,0.0018763-0.012886i,-0.0026265-0.00025774i,-0.00010156+0.0013679i,-0.0065614+0.0042707i,-0.00061302+0.0052564i,0.00029586-0.0020061i,-0.00036768-0.0028608i,-0.0023807-0.0016606i,0.0021753+0.0016993i,-0.031736+0.021726i,0.017308-0.009623i,-0.053973-0.018527i,0.01106-0.014876i,-0.016747-0.037917i,-0.023045-0.031383i,-0.077443-0.0052084i,-0.043778-0.0046906i,-0.050453-0.018759i,-0.023703-0.02503i,-0.012482-0.037645i,-0.0068827+0.00026983i,-0.016615-0.0034073i,-0.011259+0.021844i,-0.0013023+0.013003i,0.0022379+0.0042403i,0.012363+0.0047314i,-0.002229-0.0087508i,-0.0022924+0.013371i,-0.0030428+0.0046003i,0.0028819-0.0028997i,0.0059541+0.0037825i,0.0039798-0.0017537i,-0.020809+0.010119i,-0.012281+0.011203i,-0.00045465+0.0033481i,0.01067+0.0056788i,0.0028732+0.0027128i,0.0048265-0.01412i,0.0039541-0.0027192i,0.051232-0.0078561i,-0.0020183+0.010265i,0.0038421+0.0025121i,-0.001517-0.0043431i,0.0073474+0.0010424i,0.0075548+0.020117i,0.0040457+0.0058695i,0.0056908-0.004807i,0.0042164-0.00052647i,0.0032189+0.016729i,0.0042218+0.002743i,0.0091627-0.0010049i,-0.0053401+0.0098731i,-0.00014097+0.00088585i,0.005329+0.0061999i,-0.03523-0.021324i,-0.024649+0.0062917i,0.0038918-0.0016802i,-0.0028598+0.0051985i,-0.035623-0.011128i,-0.0081868+0.0089848i,-0.015106+0.011173i
-0.048093+0.025766i,-0.019681+0.018168i,-0.033651+0.042021i,-0.029233+0.0092622i,-0.0089792+0.022861i,-0.0014913+0.0082837i,-0.029379+0.013996i,-0.0087626+0.029726i,0.0037293+0.021716i,-0.0019941-0.0086753i,0.0019823+0.0019579i,0.0079492+0.0021483i,0.0046412+0.0018256i,-0.00032826+0.0010504i,0.00031821+0.0021306i,0.0099027-0.003356i,-0.0039177-0.0020796i,-0.002687-0.0013214i,0.0038857-0.001013i,-0.00027693-0.00085526i,0.0045018-0.0042738i,0.0020068-0.0022823i,0.0022026-0.0020232i,-0.0074715-0.013967i,-0.0014346+0.0015292i,-0.0017783-0.00033738i,-0.0037544-0.0028953i,-0.0030459-0.0014255i,-4.6017e-05-0.0016437i,0.00011039-0.0010184i,-0.0019853+0.0031579i,0.001325+0.0011402i,0.0014588+0.0018886i,-0.00091425+0.0010036i,-0.0039835+0.0022243i,-0.00060327-0.0096205i,-0.0028201+0.00024342i,0.0006038+0.00075067i,-0.0031255+0.0049218i,0.0019846+0.0048162i,-0.00019221-0.0017846i,-0.00012669-0.0025949i,-0.0028552-0.0010188i,0.0034011+0.00094805i,-0.024194+0.02524i,0.017129-0.025387i,-0.056245-0.0070907i,0.010572-0.022002i,-0.018917-0.042951i,-0.027498-0.026225i,-0.070251+0.0089306i,-0.039064-0.0016546i,-0.043104-0.011196i,-0.027082-0.024692i,-0.026652-0.034254i,-0.0067129+0.0015136i,-0.023758-0.00096652i,-0.0018915+0.02143i,0.001894+0.0096544i,0.00058044-0.0017344i,0.0063747+0.0012825i,-0.0063285-0.0079979i,0.0025136+0.012154i,-0.0013504+0.0056688i,-0.0001093-0.0030427i,0.0031543+0.00088134i,0.0042811-0.0012771i,-0.012266+0.016381i,-0.0046884+0.014702i,0.0021069+0.0031582i,0.012323+6.2123e-05i,0.0030835+0.0030166i,-0.0029701-0.012311i,0.0017644-0.003497i,0.041051-0.024179i,0.0030924+0.011331i,0.0038387+0.002432i,-0.0042171-0.0017058i,0.0071116-0.0026259i,0.01634+0.015854i,0.0040905+0.0031458i,0.0033171-0.0062911i,0.0028168-0.0021452i,0.009868+0.013342i,0.0046982+0.0025535i,0.0063017-0.0043112i,0.00050243+0.010872i,0.00015413+0.00015647i,0.0073605+0.0054633i,-0.038618-0.01983i,-0.019092+0.010575i,0.0014234-0.0041037i,-0.0060949+0.0037761i,-0.03835+0.0011345i,-0.0058068+0.0079339i,-0.012223+0.013579i
