-0.02919-0.040688i,-0.02226-0.019188i,-0.01288-0.035669i,-0.029821-0.020258i,-0.022163-0.00019016i,-0.013882-0.0058633i,-0.055552-0.059213i,-0.046893-0.017679i,-0.037991-0.014238i,0.010001+0.011492i,-0.0081113+0.0054422i,-0.019597+0.018962i,0.0025589+0.011452i,-0.0060708-0.0031665i,0.00025785+0.0012225i,-0.0016776+0.030706i,0.027693+0.02818i,0.0023768-0.0022155i,-0.0024068-0.0065852i,0.0080163+0.0026386i,0.0025421+0.00081193i,0.00016204+0.0036725i,-0.00030479+0.00030732i,-0.037558-0.011666i,-0.00019259-0.0078722i,0.0011868+0.0022406i,0.006328+0.0014368i,0.0020093+0.00054803i,0.0011515-0.00053326i,-0.00055505-0.0025542i,0.0014604-0.0027116i,-0.0025505-0.0057022i,-0.00032209-0.004894i,0.0029163-0.00091794i,0.0044588-0.0028027i,0.0017998+0.030611i,0.0038391-0.003352i,0.0031331-0.0015833i,0.0082808-0.0014263i,-0.0054297-0.0023608i,-0.00022366+0.0012148i,0.0092526+0.00035156i,0.0038929-0.0026194i,-0.0017862+0.0084563i,-0.017283-0.0073325i,-0.018655+0.014938i,-0.0026273-0.06116i,-0.0050228-0.02685i,-0.026213-0.032627i,-0.010818-0.027008i,0.055551-0.019963i,0.017319-0.042837i,0.022765-0.04867i,0.0058785-0.055286i,0.02592-0.021076i,0.0083247+0.006185i,0.025306-0.034293i,-0.0081202-0.0067722i,0.0040911-0.0047574i,-0.0041608-0.0072982i,-0.0018613-0.033396i,-0.019299+0.03026i,0.0081682-0.011857i,-0.0092384-0.0038928i,-0.0040475-0.0015811i,0.0009332-0.013092i,-0.011163+0.004762i,0.0027116+0.010268i,-0.0053899+0.026838i,0.004402+0.0026227i,-0.0054224-0.0018342i,-0.0021097-0.0023517i,-0.012763-0.0075498i,-0.00025718-0.0043561i,-0.036013+0.0015945i,0.00082141-0.010737i,-0.0084493-0.00015163i,-0.0066769-0.0025054i,0.0055618+0.0012032i,-0.0080267-0.00030887i,0.0018667-0.00036044i,0.0037851+0.0070466i,0.0042689+0.00068274i,-0.0083599-0.012831i,0.0023476+0.009162i,-0.015521+0.0049913i,0.006752+0.00056768i,-0.022426-0.00015433i,-0.017804+0.0047796i,-0.0077155-0.064612i,0.0077462-0.012874i,-0.049348-0.023166i,-0.021657+0.00091189i,0.018029+0.011105i,-0.023234+0.014292i,-0.019028-0.0052496i
-0.036744-0.037341i,-0.023064-0.010185i,-0.01805-0.037221i,-0.031863-0.017604i,-0.020019-4.3441e-05i,-0.015762-0.0031861i,-0.065177-0.047993i,-0.048026-0.010303i,-0.038261-0.0060988i,0.0099328+0.0078922i,-0.0095596+0.0050479i,-0.0093084+0.026317i,0.0067028+0.0082937i,-0.010748+0.00037295i,0.00025695+0.00085831i,0.0055455+0.026306i,0.029954+0.016702i,0.002965-0.00084279i,-0.0048389-0.0026942i,0.0072455-0.00066828i,0.00092152+0.00068242i,0.00025396+0.0040488i,-0.00029444+0.00063838i,-0.025626+0.0091158i,-0.0025635-0.0066845i,0.0031246+0.00060232i,0.0051279+0.0021481i,0.0026312+0.0011733i,0.00165-0.0013301i,-0.001535-0.002243i,0.00094842-0.0035945i,-0.0029243-0.0044025i,-0.0015857-0.0048207i,0.0024273-0.0019753i,0.0045507-0.0028403i,0.01144+0.026001i,0.0031566-0.0049169i,0.0019836-0.002327i,0.0093275-0.0046918i,-0.0039891-0.0013601i,0.00051077+0.002165i,0.0080902-0.0010592i,0.0025771-0.0024856i,-0.001953+0.0092555i,-0.01572-0.0077437i,-0.0063335+0.01847i,-0.013693-0.06037i,-0.015972-0.029501i,-0.020705-0.022051i,-0.0077548-0.016183i,0.052769-0.045541i,0.017274-0.06139i,0.024527-0.048877i,-0.0046215-0.059251i,0.013394-0.016722i,0.0074159-0.0018424i,0.01065-0.037076i,-0.0078646-0.00026727i,-0.00027527-0.013478i,-0.0061688-0.0063544i,-0.0241-0.029623i,-0.0056841+0.02715i,0.002181-0.014532i,-0.010626+0.00012935i,-0.0032344+3.8113e-05i,-0.0055764-0.013211i,-0.011759+0.0097414i,0.0082306+0.010572i,0.011774+0.023043i,0.0045572-0.0015886i,-0.0052972+0.0010359i,-0.0045355-0.0023845i,-0.016205+0.0015944i,-0.00044637-0.0030928i,-0.040755+0.0092884i,-0.0051606-0.0085449i,-0.0075644+0.0031943i,-0.0082269+0.0012271i,0.0038386-0.0040958i,-0.0069414+0.0016028i,0.0027924-0.0030389i,0.0027297+0.0029239i,0.003521-0.00063656i,-0.014301-0.0045343i,0.0045756+0.0058591i,-0.010799+0.01069i,0.0058548-0.0026037i,-0.020456+0.0079017i,-0.016399+0.0097014i,-0.017824-0.059913i,0.0029747-0.017978i,-0.054532-0.008103i,-0.015486-0.0033937i,0.017807+0.0055416i,-0.016916+0.020058i,-0.026494-0.007893i
-0.042273-0.03193i,-0.020041-0.0085856i,-0.024997-0.038647i,-0.033639-0.012151i,-0.019313-0.00070903i,-0.01698-0.00035438i,-0.076258-0.031964i,-0.049994-0.0019178i,-0.037964+0.00067267i,0.0094273+0.0055483i,-0.0099274+0.010058i,0.0016327+0.024354i,0.0075577+0.003897i,-0.011462+0.0055047i,0.00022+0.00084129i,0.0097858+0.019969i,0.032933+0.0072595i,0.0046627-0.0015118i,-0.0039+8.338e-05i,0.00583-0.0024416i,-0.00075843+0.0015887i,0.0017844+0.0050401i,-0.00021505+0.00077422i,-0.01332+0.017566i,-0.0036714-0.005221i,0.0030838-0.0016638i,0.0053734+0.00039355i,0.0039316+0.00016983i,0.00048729-0.001818i,-0.0019616-0.0012404i,-0.00044381-0.0041131i,-0.0041945-0.0033552i,-0.0031469-0.0043237i,0.0015838-0.0033223i,0.0046708-0.0066484i,0.018216+0.018267i,0.0014845-0.0056824i,0.00094486-0.0027852i,0.0077197-0.0098114i,-0.0039403-0.00016672i,0.0018145+0.0023195i,0.006797-0.0036759i,0.0023133-0.0023674i,0.00061258+0.010543i,-0.016631-0.0099204i,0.0041289+0.016041i,-0.024164-0.056948i,-0.025009-0.021649i,-0.0092877-0.020858i,-0.0011874-0.019213i,0.043224-0.066691i,-0.00064516-0.077513i,0.028939-0.05597i,-0.015888-0.055699i,0.0094055-0.015057i,0.0046734-0.0048836i,-0.00076083-0.03763i,0.0021145-0.00049993i,-0.0091614-0.013092i,-0.0060027-0.0082645i,-0.039367-0.016544i,0.0020073+0.023924i,-0.0044974-0.014238i,-0.0083225+0.0029364i,-0.0046842+0.00069468i,-0.011959-0.011018i,-0.0054182+0.015524i,0.014878+0.0039014i,0.021267+0.010277i,0.0035926-0.0034255i,-0.0044715+0.0013844i,-0.0063583-0.00081279i,-0.012502+0.010959i,-0.0041869-0.0026555i,-0.037012+0.023373i,-0.0067092-0.0041966i,-0.0057451+0.0063833i,-0.0078648+0.0075614i,-0.0014594-0.0049128i,-0.0067499+0.0026856i,0.00070962-0.0049179i,0.00082898+0.0023974i,0.0027537-0.0023628i,-0.0094155+0.0033652i,0.0045448+0.0022496i,-0.0063679+0.012029i,0.0029634-0.0057477i,-0.01584+0.013132i,-0.012022+0.013406i,-0.023533-0.055235i,-0.0035788-0.017575i,-0.052504+0.0056365i,-0.021609-0.0093336i,0.016925-0.0011741i,-0.0068829+0.019193i,-0.028858-0.0023053i
-0.046644-0.025789i,-0.020263-0.009969i,-0.033884-0.038779i,-0.031322-0.0072285i,-0.020109-0.0013707i,-0.016696+0.0034325i,-0.078247-0.0056497i,-0.049325+0.010031i,-0.036581+0.0095788i,0.0092247+0.0040626i,-0.0052789+0.014047i,0.0069386+0.019106i,0.006419+0.00033632i,-0.0093817+0.011694i,-0.0001356+0.00073301i,0.010231+0.012638i,0.032482-0.008198i,0.0041471-0.0037132i,-0.0037811+0.0024997i,0.0039961-0.0033533i,0.00043891+0.003806i,0.0042105+0.0046804i,-0.00014692+0.001153i,0.00023385+0.026188i,-0.0046183-0.0039205i,0.0016771-0.0028812i,0.0056315-0.001049i,0.0033482-0.0017358i,0.00014672-0.0012851i,-0.0024646-0.00029599i,-0.0019684-0.0039123i,-0.0047277-0.0018477i,-0.0044862-0.0028956i,0.00017023-0.0040106i,0.00033082-0.0079835i,0.019256+0.010611i,-0.0004134-0.0061796i,8.4319e-05-0.0030352i,0.0024106-0.011781i,-0.0020508+0.0012319i,0.0029457+0.0014049i,0.0039324-0.0048177i,0.0016281-0.0025922i,0.0039274+0.0091521i,-0.016852-0.011206i,0.013065+0.0097636i,-0.032873-0.050207i,-0.025512-0.010509i,-0.0057977-0.02452i,-6.7053e-05-0.020761i,0.023343-0.088697i,-0.023943-0.078333i,0.023763-0.074265i,-0.022991-0.051486i,0.0058676-0.012854i,0.0010078-0.0075453i,-0.013635-0.033604i,0.0011089-0.0094759i,-0.012349-0.0084228i,-0.011882-0.011753i,-0.04398+0.0047338i,0.011748+0.018288i,-0.010279-0.011918i,-0.0061384+0.0039157i,-0.0045307+0.0031441i,-0.01678-0.0050161i,0.0027693+0.013468i,0.016745-0.0040644i,0.021903-0.0012561i,0.0022095-0.0051927i,-0.0051167+0.0017202i,-0.0068205+0.0026519i,-0.0075246+0.017394i,-0.0055857+0.0011219i,-0.029512+0.034596i,-0.0070798-0.0020015i,-0.0012875+0.0074615i,-0.0016744+0.01207i,-0.0056113-0.001899i,-0.0043447+0.0041629i,-0.001032-0.004841i,0.00012161+0.0032192i,0.00039586-0.0040074i,-0.0048156+0.0026108i,0.00104-0.00082834i,-0.0032282+0.013981i,-0.0018048-0.005608i,-0.0093523+0.016523i,-0.0071742+0.013378i,-0.028265-0.052201i,-0.0025919-0.014685i,-0.046979+0.020376i,-0.028918-0.0053195i,0.014644-0.006933i,0.00074863+0.014323i,-0.027029+0.0034532i
-0.050159-0.018644i,-0.023798-0.0084745i,-0.046146-0.035331i,-0.029012-0.0051677i,-0.022746-0.0011722i,-0.01507+0.0072238i,-0.063382+0.011731i,-0.042255+0.01984i,-0.029318+0.016213i,0.009972+0.002737i,3.1508e-05+0.012922i,0.010469+0.015573i,0.003874-0.0013541i,-0.0028387+0.014632i,-0.00033435+0.00068771i,0.0077012+0.01057i,0.019113-0.020678i,0.0025083-0.0045641i,-0.00092769+0.0064256i,0.0026885-0.0036244i,0.0025564+0.0057083i,0.0053402+0.0024725i,0.00013986+0.0016909i,0.020796+0.018576i,-0.0052711-0.0014606i,0.00038377-0.0029853i,0.0039624-0.0032155i,0.0027818-0.0018073i,0.00012327-0.0010572i,-0.0021127+0.0011417i,-0.0031373-0.0028621i,-0.0047421-9.9645e-05i,-0.0045953-0.0014311i,-0.0018774-0.0036518i,-0.0017157-0.0066233i,0.020217+0.005881i,-0.0024228-0.0056285i,-0.001299-0.0028209i,-0.0020662-0.010539i,-0.0012781-0.00088376i,0.0030176+0.00012591i,0.0018794-0.003688i,0.0014326-0.0025735i,0.0049735+0.0071704i,-0.021716-0.015142i,0.019396-0.0013015i,-0.036589-0.041344i,-0.021138-0.0018085i,-0.003537-0.029774i,0.001719-0.021712i,-0.0094332-0.09935i,-0.043017-0.069737i,0.0033584-0.085685i,-0.033017-0.043856i,0.0049836-0.0095267i,-0.0029801-0.0077825i,-0.024102-0.024153i,-0.0054242-0.012233i,-0.014734-0.0061671i,-0.022106-0.0071383i,-0.03746+0.021267i,0.014901+0.0075574i,-0.015552-0.0062587i,-0.0049184+0.0048905i,-0.0034368+0.0056013i,-0.017739+0.0040654i,0.0040523+0.0087805i,0.015297-0.011043i,0.020204-0.011245i,0.00028877-0.0065807i,-0.0067106+0.0046666i,-0.0043464+0.005952i,0.00074005+0.019263i,-0.0050387+0.0046537i,-0.02084+0.044156i,-0.0082842-0.00044733i,0.00084992+0.0048515i,0.00477+0.011073i,-0.0071747+0.0015104i,-0.0035816+0.0017152i,-0.0034805-0.0049715i,0.00050101+0.0051879i,-0.0036975-0.0037777i,-0.0051058+0.00064551i,-0.0019586+0.00096429i,0.0025515+0.014974i,-0.0046996-0.0037574i,-0.0018192+0.016625i,-0.0054316+0.013271i,-0.036145-0.047275i,0.0011281-0.020366i,-0.03469+0.036067i,-0.031301+0.0047069i,0.0098759-0.012043i,0.0018926+0.006577i,-0.024326+0.0054217i
-0.052052-0.01175i,-0.023939-0.0062437i,-0.057356-0.023829i,-0.029126-0.0041341i,-0.02683+0.0019273i,-0.011191+0.0097099i,-0.049197+0.017659i,-0.03395+0.02488i,-0.023237+0.018281i,0.0096301+0.00070951i,0.0020346+0.011701i,0.014059+0.0092569i,0.0013926-0.0017142i,0.0039175+0.012857i,-0.00062805+0.00088196i,0.0076887+0.01062i,0.0048131-0.020673i,0.0021668-0.0046076i,0.0035428+0.0062972i,0.0011923-0.0035842i,0.0063873+0.0033894i,0.0050733+0.0006991i,0.0012219+0.002016i,0.026859+0.0011358i,-0.0038376+0.00090073i,-0.00065259-0.0027813i,0.0010649-0.0014709i,0.0026235-0.0030737i,-0.00014242-0.001377i,-0.00042699+0.0021462i,-0.0035111-0.0015613i,-0.0041137+0.0008099i,-0.0053422+0.0006736i,-0.002386-0.0019105i,-0.0028267-0.0054611i,0.021059-0.00043818i,-0.004203-0.0043567i,-0.0029408-0.0023694i,-0.0055594-0.0093589i,-0.0033185-0.001637i,0.0031654-0.00074675i,0.00098359-0.0023322i,0.0006663-0.0027987i,0.0056534+0.0058063i,-0.029847-0.013476i,0.011611-0.016697i,-0.034495-0.034448i,-0.015989+0.0036088i,-0.0047878-0.033257i,0.0049981-0.027343i,-0.041906-0.088688i,-0.05941-0.054249i,-0.016343-0.084491i,-0.033248-0.027422i,0.010602-0.0042727i,-0.0052437-0.0058628i,-0.02607-0.0094198i,-0.01075-0.012331i,-0.020027-0.0013907i,-0.020983+0.0028992i,-0.026339+0.034842i,0.012504-1.9399e-06i,-0.013486+0.0030059i,-0.0048751+0.005288i,0.00078945+0.0080997i,-0.012355+0.01123i,0.0057004+0.0097416i,0.01045-0.02291i,0.008034-0.023254i,-0.0046836-0.0089281i,-0.0059069+0.0087577i,-0.0026961+0.0063857i,0.0084105+0.017437i,-0.0016235+0.0073582i,-0.0036206+0.057963i,-0.0092392+0.0012867i,0.00050439+0.0045865i,0.0087246+0.0063091i,-0.005787+0.0080324i,-0.0052688+0.0032322i,-0.0076378-0.0031116i,0.0039266+0.0055626i,-0.0047441+0.0022172i,-0.0076981+0.00099095i,0.00017409+0.0056015i,0.0069103+0.011589i,-0.0065195-0.002743i,0.002341+0.011961i,-0.00083907+0.014452i,-0.038329-0.036372i,-0.0073718-0.032403i,-0.010663+0.039451i,-0.026557+0.01145i,0.0067175-0.019564i,0.00068066+0.00056117i,-0.022402+0.0098986i
-0.053039-0.0044795i,-0.028587-0.0060371i,-0.064048-0.0089113i,-0.02893-0.0010645i,-0.028646+0.0087126i,-0.007711+0.0098825i,-0.039208+0.018407i,-0.026802+0.026991i,-0.020164+0.020078i,0.0098316-0.001966i,0.0063167+0.011176i,0.010692+0.0020173i,-0.0010372-9.1101e-05i,0.0080918+0.0067818i,-0.00063311+0.0011767i,0.0087111+0.010552i,-0.0039231-0.014628i,0.00069374-0.0060429i,0.0054945+0.002933i,0.00023727-0.0026328i,0.0067698-7.3468e-05i,0.0056533-0.00019943i,0.0022861+0.0015276i,0.020865-0.012198i,-0.0013613+0.00099701i,-0.0012301-0.0018909i,0.0023486-0.0031527i,0.0013595-0.0042017i,-0.00041432-0.00059845i,0.00085838+0.0014137i,-0.003508-0.00051585i,-0.0032669+0.0022058i,-0.0036584+0.0024944i,-0.0023531-0.0013437i,-0.0049433-0.004997i,0.018669-0.0071834i,-0.0044615-0.0019883i,-0.0034366-0.0005587i,-0.008312-0.0055019i,-0.0055807+0.00071291i,0.0025247-0.0017999i,0.0017781-0.0031497i,0.0002162-0.0027441i,0.0063531+0.002869i,-0.035917-0.0068938i,-0.0011289-0.015467i,-0.03626-0.033918i,-0.004413+0.0071664i,-0.0061524-0.035506i,-0.0020498-0.03732i,-0.060222-0.070686i,-0.062245-0.032103i,-0.038225-0.078643i,-0.025792-0.021475i,0.017346-0.016851i,-0.0061432-0.0035561i,-0.020506-0.0031132i,-0.020222-0.0091329i,-0.017214+0.0087217i,-0.01759+0.0069607i,-0.0063167+0.038454i,0.010053-0.0038615i,-0.011313+0.0048996i,-0.0017665+0.004975i,0.0030295+0.0049139i,-0.0054584+0.015138i,0.011094+0.0069386i,-0.0061775-0.027052i,-0.0099345-0.021285i,-0.008194-0.0016701i,-0.0017249+0.011429i,0.00068873+0.006208i,0.015206+0.009772i,0.0016399+0.0066705i,0.024552+0.055478i,-0.0063194+0.0053566i,0.00087425+0.004265i,0.0094698+0.00095538i,0.00056329+0.010579i,-0.0077413+0.0048927i,-0.0094394+0.0032235i,0.0071216+0.0046468i,-0.0026195+0.0055973i,-0.0099963+0.0040439i,0.0028883+0.0056197i,0.008573+0.0075516i,-0.0071496+0.00015179i,0.0055059+0.007442i,0.0030544+0.011665i,-0.038625-0.03254i,-0.026946-0.03106i,0.0056657+0.028057i,-0.022748+0.01537i,-0.0028734-0.025888i,-0.0035443-0.0032967i,-0.014864+0.010647i
-0.053558+0.002879i,-0.0327+0.0015049i,-0.064948+0.007883i,-0.026784+0.00082189i,-0.025416+0.015898i,-0.0057464+0.0091515i,-0.032691+0.017486i,-0.020743+0.027756i,-0.01509+0.023577i,0.0086834-0.0049175i,0.0097037+0.0053519i,0.0055981+0.0016971i,-0.0010004+0.00263i,0.0058516+0.0026878i,-0.00055307+0.0013104i,0.011871+0.0089273i,-0.0072123-0.0075379i,-0.002019-0.0052795i,0.004283+0.001094i,-4.2522e-05-0.0021086i,0.0047472-0.001631i,0.0052746-0.0021068i,0.0027549+0.00055599i,0.011423-0.019077i,-0.0015232-3.3907e-05i,-0.0011596-0.001434i,0.0015823-0.00461i,-0.00037427-0.0037661i,0.00074982-0.00036181i,0.00086384+0.00045495i,-0.0035529+0.00035928i,-0.0016897+0.003125i,-0.0019605+0.0035792i,-0.0027663-0.00084129i,-0.0061022-0.0013378i,0.014055-0.012019i,-0.0036745-0.00068054i,-0.0024381+0.00099227i,-0.0079755-0.0025447i,-0.0045106+0.0035137i,0.0014469-0.0021474i,0.0015665-0.0034012i,-0.00084677-0.0028415i,0.0046782+0.00041601i,-0.038339+0.0028439i,-0.0024132-0.0059873i,-0.040786-0.032003i,0.0056382+0.0023889i,-0.0090013-0.039498i,-0.010974-0.035629i,-0.075082-0.052417i,-0.053933-0.016831i,-0.059129-0.059985i,-0.021594-0.022669i,0.012551-0.028168i,-0.0061582-0.0024234i,-0.016141+0.00035608i,-0.027563+0.002127i,-0.012151+0.012245i,-0.012757+0.012292i,0.011231+0.030507i,0.0068364-0.0084178i,-0.010472+0.0079214i,-0.0016278+0.0024511i,0.004814+0.0037856i,0.0024922+0.013219i,0.011884-0.00084096i,-0.020181-0.016931i,-0.019177-0.008212i,-0.0047194+0.0031526i,0.0041517+0.010976i,0.0031274+0.0050774i,0.017566+0.0018165i,0.0061908+0.0058832i,0.04607+0.038245i,-0.004183+0.0047366i,0.0014709+0.0053964i,0.0069243-0.0040546i,0.0063879+0.0069864i,-0.0083138+0.012722i,-0.0060624+0.0098544i,0.0095001+0.00071202i,0.0027458+0.0059087i,-0.010133+0.00916i,0.0044962+0.0036582i,0.009063+0.0048215i,-0.0073205+0.0021293i,0.0053088+0.0024408i,0.0043542+0.0090383i,-0.038683-0.026419i,-0.036804-0.01391i,0.010999+0.012985i,-0.010658+0.019563i,-0.014733-0.026714i,-0.011322-0.0028635i,-0.014708+0.0058239i
-0.052864+0.010584i,-0.030803+0.010598i,-0.0586+0.023985i,-0.027169+0.0014723i,-0.020421+0.019607i,-0.0041558+0.0087282i,-0.028545+0.015062i,-0.016248+0.027365i,-0.0078489+0.025227i,0.006043-0.0075537i,0.0066287+0.00032424i,0.0052593+0.0039473i,0.0010067+0.0043584i,0.0038222+0.00032323i,-0.00052575+0.0017153i,0.01396+0.005094i,-0.0053631-0.002206i,-0.0030353-0.0034755i,0.0039321+0.00073175i,-0.0003564-0.0017657i,0.0047079-0.00088903i,0.0036366-0.0032504i,0.0028938-0.0003627i,0.0027934-0.018913i,-0.0020184-9.72e-05i,-0.0014009-0.0015906i,-0.00025104-0.0052046i,-0.0015334-0.0032408i,0.00064391-0.0011513i,0.00092225+0.00010201i,-0.0032767+0.0012394i,-4.9628e-05+0.003114i,-0.00052976+0.0030053i,-0.0026604+0.00056109i,-0.0049655-0.00035043i,0.0079316-0.014727i,-0.0028564+2.0289e-06i,-0.0011617+0.0015555i,-0.0087081-1.8939e-05i,-0.0027057+0.0047266i,0.00078434-0.0018656i,4.9266e-05-0.0039525i,-0.0016413-0.0022734i,0.0019873+0.00043608i,-0.037147+0.012696i,0.0069736-0.0013314i,-0.046868-0.027727i,0.01155-0.0058876i,-0.014686-0.039333i,-0.016171-0.033916i,-0.08221-0.02773i,-0.047887-0.011181i,-0.05974-0.032796i,-0.021406-0.023457i,0.0020702-0.036052i,-0.0069137-0.0017974i,-0.013707-0.001973i,-0.022188+0.016405i,-0.0068328+0.014479i,-0.0027091+0.012184i,0.016367+0.015644i,0.0021541-0.0095197i,-0.0074922+0.011234i,-0.0031955+0.0028879i,0.0055651+6.8213e-05i,0.0059881+0.0084241i,0.0062456-0.003765i,-0.02495-0.0026353i,-0.018225+0.0031719i,-0.00094655+0.0032745i,0.0070987+0.008702i,0.00303+0.003365i,0.014492-0.009119i,0.0066049+0.00024199i,0.055402+0.014017i,-0.0049798+0.0070314i,0.0037633+0.0042977i,0.001774-0.0056372i,0.0075065+0.0031887i,-0.0017951+0.018608i,0.0020052+0.009495i,0.0076448-0.0030541i,0.004952+0.0019343i,-0.0053567+0.015606i,0.0036239+0.0037407i,0.0089595+0.0023426i,-0.0081412+0.0048044i,0.00046386+5.1212e-05i,0.004597+0.007441i,-0.036524-0.022486i,-0.03204+0.00042462i,0.0076247+0.0023438i,-0.0021699+0.012423i,-0.02727-0.021627i,-0.013175+0.0062926i,-0.017345+0.0083383i
-0.050908+0.018332i,-0.025522+0.015503i,-0.047437+0.035541i,-0.029457+0.004025i,-0.015188+0.022078i,-0.0028705+0.0084809i,-0.028233+0.012815i,-0.012926+0.0279i,-0.0014869+0.023683i,0.0023757-0.0087732i,0.0029775+0.00055724i,0.0065982+0.0035431i,0.0036914+0.0036198i,0.0017863-0.00010136i,7.8085e-06+0.00211i,0.012942-2.0565e-06i,-0.0032883-0.0012187i,-0.0026383-0.0019391i,0.0039731-0.00032689i,-0.00043121-0.0012726i,0.0054901-0.0026099i,0.0022333-0.0028602i,0.0027135-0.0011598i,-0.0026536-0.016489i,-0.0020016+0.00057472i,-0.0018259-0.00094937i,-0.0022668-0.0044649i,-0.0024377-0.0026361i,0.00025002-0.0014389i,0.00085798-0.00048555i,-0.0028524+0.002147i,0.0012703+0.0021657i,0.00058908+0.0025817i,-0.0018109+0.0012328i,-0.005266+0.0010981i,0.0020407-0.01315i,-0.0026618-0.00028957i,-0.00021298+0.0013586i,-0.0065585+0.0039977i,-0.00067424+0.0053654i,0.00050156-0.0018099i,-0.00035556-0.0032178i,-0.0022512-0.0016273i,0.0019677+0.0027632i,-0.03087+0.020939i,0.018452-0.0097343i,-0.053015-0.01933i,0.012054-0.014499i,-0.016341-0.03889i,-0.022274-0.031595i,-0.077438-0.0062685i,-0.043333-0.0053786i,-0.050202-0.018898i,-0.021906-0.02522i,-0.011671-0.038193i,-0.006986-7.2317e-05i,-0.016838-0.0037287i,-0.01191+0.022109i,-0.0012874+0.013124i,0.002189+0.0044132i,0.012478+0.0050149i,-0.0024295-0.0090139i,-0.0025478+0.012821i,-0.003171+0.0046076i,0.0030146-0.0029227i,0.0060989+0.0040782i,0.004275-0.0018248i,-0.021072+0.010152i,-0.012339+0.010821i,-0.00023984+0.0032358i,0.01048+0.0055939i,0.0029855+0.0026803i,0.0052379-0.013949i,0.0042104-0.0026507i,0.051975-0.0080994i,-0.0018946+0.0098427i,0.0036429+0.0027862i,-0.0015947-0.003895i,0.0076026+0.0013926i,0.0075553+0.019941i,0.004261+0.0055717i,0.0058486-0.0048006i,0.0040124-0.00010514i,0.0034495+0.016744i,0.0045927+0.0029401i,0.0091285-0.00093907i,-0.0051669+0.010195i,-0.00045777+0.0017396i,0.0050767+0.0068212i,-0.035798-0.02248i,-0.024685+0.0061352i,0.0038138-0.0017209i,-0.0025747+0.0047073i,-0.035967-0.011283i,-0.0082419+0.0089112i,-0.016016+0.011069i
-0.047644+0.025791i,-0.01983+0.017978i,-0.034241+0.041596i,-0.029125+0.0092178i,-0.0092599+0.022464i,-0.0015806+0.0080396i,-0.029344+0.013607i,-0.008938+0.029056i,0.003434+0.021228i,-0.0012831-0.008428i,0.0020099+0.0019783i,0.0080142+0.0020836i,0.0047189+0.0019978i,-0.00024035+0.0010439i,0.00038621+0.0020945i,0.010019-0.0030902i,-0.0037457-0.0019427i,-0.0025784-0.0015005i,0.0036643-0.0012711i,-0.00031435-0.00083067i,0.0044686-0.0042482i,0.0022122-0.002378i,0.0022379-0.0019513i,-0.0070892-0.014283i,-0.0017237+0.0012625i,-0.0018438-0.00037768i,-0.0036953-0.0030923i,-0.0029716-0.0014267i,-7.9441e-05-0.0015648i,0.00014417-0.00094107i,-0.0019899+0.0030234i,0.0012647+0.0012833i,0.0015716+0.0017083i,-0.0010133+0.0011838i,-0.004237+0.0023147i,-0.00057712-0.0099614i,-0.0027818+0.00022976i,0.00052068+0.00063654i,-0.0033146+0.0045551i,0.0020434+0.0049249i,0.00013091-0.0017009i,-0.0001943-0.0029202i,-0.0026939-0.00098664i,0.0035612+0.0019374i,-0.023446+0.024565i,0.018106-0.025943i,-0.055591-0.0080431i,0.012015-0.022173i,-0.018682-0.043576i,-0.026983-0.02651i,-0.070232+0.0079363i,-0.038752-0.0025507i,-0.042846-0.011287i,-0.025416-0.025015i,-0.026075-0.035064i,-0.0070549+0.0011547i,-0.024072-0.0012757i,-0.0023906+0.022106i,0.0020046+0.0097418i,0.00048527-0.0018089i,0.0064742+0.0012813i,-0.0065981-0.0081561i,0.0018643+0.011846i,-0.0014513+0.0056523i,3.4467e-05-0.003033i,0.0034031+0.00087864i,0.0046785-0.0013009i,-0.012532+0.016468i,-0.0049753+0.014581i,0.0024243+0.0029717i,0.01218+3.3687e-05i,0.0031919+0.0029868i,-0.0027902-0.012325i,0.0019257-0.0033393i,0.04163-0.024596i,0.0027683+0.011114i,0.0037146+0.0026722i,-0.0041904-0.0013094i,0.0074808-0.0026287i,0.015885+0.015855i,0.0040172+0.0027907i,0.0033929-0.006321i,0.0028821-0.0019048i,0.010118+0.013382i,0.0047827+0.0029201i,0.0062137-0.0042406i,0.00089732+0.011381i,1.0425e-05+0.0013035i,0.0071621+0.0059574i,-0.039133-0.02068i,-0.019331+0.010117i,0.0015071-0.0043074i,-0.0059827+0.0033422i,-0.038875+0.0011125i,-0.0058959+0.007777i,-0.013044+0.013442i
