-0.03269-0.039241i,-0.021529-0.019169i,-0.013085-0.035857i,-0.029586-0.019491i,-0.022358-8.6447e-05i,-0.013863-0.0055153i,-0.055757-0.057764i,-0.047182-0.016458i,-0.036703-0.014436i,0.012256+0.011863i,-0.0076394+0.0045557i,-0.01939+0.019277i,0.0024467+0.011526i,-0.0057996-0.0028615i,0.00016349+0.001359i,-0.0014099+0.030576i,0.028561+0.027187i,0.0024039-0.0024838i,-0.0023233-0.0071535i,0.0080664+0.0013991i,0.0025236+0.0010493i,0.00016097+0.0034137i,-0.00037261+0.00032257i,-0.037688-0.010849i,0.00057666-0.0078419i,0.0014675+0.002116i,0.0071606+0.00059541i,0.0016948+0.00083622i,0.0010619-0.00046112i,-0.00052815-0.0026087i,0.0014096-0.0023928i,-0.0022618-0.0061551i,-0.00063362-0.0047331i,0.0028061-0.00073829i,0.0042862-0.0031456i,0.0012459+0.029204i,0.0039635-0.0035384i,0.0028353-0.0015401i,0.008467-0.0017463i,-0.0058403-0.0039484i,-4.7089e-05+0.00092191i,0.0083611-0.00058437i,0.004384-0.0027123i,-0.0014659+0.0083547i,-0.017908-0.0073897i,-0.018834+0.014925i,-0.0041384-0.061062i,-0.0053332-0.026812i,-0.0268-0.032951i,-0.011115-0.026758i,0.054686-0.021497i,0.016221-0.04343i,0.022828-0.049414i,0.0047578-0.053635i,0.02564-0.021602i,0.0083087+0.0061214i,0.024412-0.036247i,-0.0076435-0.0068244i,0.0037236-0.0048871i,-0.0039582-0.0071227i,-0.002251-0.032452i,-0.017686+0.030106i,0.0084516-0.011657i,-0.0092182-0.0035764i,-0.0042342-0.0016335i,0.00048537-0.012703i,-0.011242+0.0048263i,0.0023133+0.010062i,-0.0034345+0.02756i,0.0051627+0.0028131i,-0.0054239-0.0018654i,-0.002212-0.0021527i,-0.012976-0.007717i,-0.00048875-0.0040177i,-0.039197+0.0067321i,0.00067107-0.010538i,-0.008259+5.6402e-05i,-0.007057-0.0026549i,0.0051509+0.0012661i,-0.0086305-0.00016547i,0.0021579-3.4043e-05i,0.003395+0.0073272i,0.0040178+0.00021796i,-0.0080699-0.012382i,0.0027099+0.0092149i,-0.015606+0.0044802i,0.0070842-0.00035251i,-0.021553-0.00018271i,-0.017014+0.0062842i,-0.0076277-0.065426i,0.0081517-0.012054i,-0.049134-0.021604i,-0.021272+0.0013011i,0.017257+0.011367i,-0.023012+0.014792i,-0.020243-0.0040345i
-0.039685-0.035007i,-0.022774-0.01041i,-0.018417-0.037137i,-0.031184-0.017267i,-0.020177+0.0002084i,-0.015506-0.0028357i,-0.064774-0.046494i,-0.048052-0.0090213i,-0.036709-0.0069949i,0.011845+0.0070249i,-0.0096368+0.0041857i,-0.0090237+0.025988i,0.0065565+0.0087072i,-0.0091193+7.4918e-05i,0.00030853+0.00099248i,0.0056825+0.026129i,0.03052+0.014826i,0.0028318-0.001352i,-0.0050143-0.0030699i,0.005254-0.0019462i,0.00092063+0.0007983i,0.00022712+0.0037978i,-0.00032683+0.00066223i,-0.025274+0.0094417i,-0.0018757-0.0068499i,0.0033424+0.00025109i,0.0052443+0.0013405i,0.0025754+0.0013853i,0.0016686-0.0011582i,-0.0016635-0.0022439i,0.0010478-0.0034189i,-0.0026782-0.0049692i,-0.0019913-0.0046108i,0.0023508-0.0018684i,0.0043312-0.0029744i,0.011615+0.025182i,0.0031617-0.005056i,0.0017696-0.0021847i,0.0090796-0.00515i,-0.0042138-0.0021023i,0.00048199+0.0018698i,0.0073058-0.0014409i,0.0031264-0.0028382i,-0.0015979+0.0088702i,-0.016476-0.0076703i,-0.0066222+0.018106i,-0.015218-0.059474i,-0.016402-0.029246i,-0.021308-0.022477i,-0.0078479-0.016216i,0.051261-0.046389i,0.015215-0.061925i,0.024721-0.049739i,-0.0051178-0.057187i,0.013127-0.017666i,0.007253-0.0016964i,0.0099626-0.037235i,-0.0075739-0.00029164i,-0.0012902-0.013534i,-0.0058065-0.0062187i,-0.023647-0.029016i,-0.004828+0.026333i,0.0025237-0.014381i,-0.01126+0.0005717i,-0.002997+1.8784e-05i,-0.0057822-0.012765i,-0.011578+0.0097936i,0.0078018+0.010342i,0.012601+0.022313i,0.0052499-0.0014992i,-0.0054882+0.0009605i,-0.0042973-0.0021407i,-0.016801+0.0021373i,-0.0005818-0.0028998i,-0.039389+0.010665i,-0.005087-0.0081866i,-0.0073226+0.0034988i,-0.0083034+0.00088054i,0.0035595-0.0039231i,-0.0074445+0.001907i,0.0036466-0.002884i,0.002749+0.0029461i,0.003262-0.00064626i,-0.013587-0.0034482i,0.0046885+0.0057995i,-0.010474+0.010543i,0.0058714-0.0030622i,-0.019909+0.0074002i,-0.015346+0.010934i,-0.018207-0.059203i,0.0030377-0.017295i,-0.053378-0.0073821i,-0.015189-0.0031737i,0.017421+0.0058331i,-0.016171+0.020515i,-0.027342-0.0063192i
-0.044624-0.028155i,-0.020119-0.0090847i,-0.025257-0.038511i,-0.033277-0.012124i,-0.019278-0.00036424i,-0.016596-0.00012637i,-0.075399-0.030762i,-0.049566-0.00058436i,-0.037062-0.00093098i,0.010891+0.0044971i,-0.010227+0.0094005i,0.0015709+0.02396i,0.0076444+0.0042215i,-0.0098167+0.004436i,0.00033238+0.00094525i,0.0098116+0.019836i,0.031172+0.0056618i,0.0039533-0.0021785i,-0.0041846-0.00019334i,0.0049051-0.0018585i,-0.00067255+0.0017342i,0.0017514+0.0046491i,-0.00018637+0.00080251i,-0.012972+0.017511i,-0.0031113-0.0054541i,0.0029337-0.0023315i,0.0052778+0.00019772i,0.0040636+0.00029692i,0.0006992-0.001606i,-0.0020566-0.0011615i,-0.00032-0.0038347i,-0.00431-0.0042743i,-0.0033644-0.004001i,0.0016148-0.0031983i,0.0043457-0.0065965i,0.017553+0.017679i,0.0012278-0.0058346i,0.0008109-0.002603i,0.0071095-0.0099687i,-0.0044936-0.00055569i,0.0015035+0.0020632i,0.0059211-0.0038226i,0.0027507-0.002952i,0.00076185+0.010014i,-0.017338-0.0096847i,0.0037491+0.015612i,-0.025603-0.056503i,-0.025363-0.021068i,-0.0095917-0.021365i,-0.0015412-0.019312i,0.041523-0.067072i,-0.0030271-0.077109i,0.02882-0.056822i,-0.016119-0.053416i,0.009299-0.015166i,0.0045113-0.004795i,-0.0048071-0.034698i,0.0022984-0.00044556i,-0.0095224-0.01205i,-0.0057675-0.0083554i,-0.039024-0.016127i,0.0028614+0.023188i,-0.0041761-0.014234i,-0.0091471+0.0032933i,-0.004284+0.00060847i,-0.011981-0.010702i,-0.0051122+0.015334i,0.014608+0.0038047i,0.021437+0.0093809i,0.0039822-0.003859i,-0.004508+0.001297i,-0.0061171-0.00055773i,-0.012856+0.010553i,-0.0042756-0.0022577i,-0.033959+0.024427i,-0.0065387-0.0035995i,-0.0057779+0.0067362i,-0.0074561+0.0067936i,-0.0018077-0.0048758i,-0.0069812+0.0027518i,0.0015875-0.0051317i,0.00064451+0.0025356i,0.0025235-0.002508i,-0.0083698+0.0029453i,0.0045773+0.0022475i,-0.0064823+0.012401i,0.0027553-0.0058426i,-0.015398+0.012655i,-0.010417+0.014391i,-0.023673-0.05249i,-0.003685-0.016636i,-0.051981+0.0060873i,-0.021114-0.0087207i,0.015931-0.0011424i,-0.0068821+0.019656i,-0.029257-0.0012704i
-0.047425-0.02159i,-0.020994-0.010421i,-0.034396-0.038525i,-0.030952-0.0071277i,-0.019944-0.0012019i,-0.016343+0.0037583i,-0.077025-0.0050323i,-0.048563+0.011012i,-0.036549+0.0080046i,0.01035+0.002707i,-0.0058762+0.01352i,0.0067894+0.018544i,0.0066638+0.00055838i,-0.0092518+0.0089857i,7.4852e-05+0.00083154i,0.010219+0.01256i,0.029776-0.0076593i,0.003458-0.0041532i,-0.003961+0.0024136i,0.0034623-0.0029856i,0.00058697+0.0038065i,0.0042025+0.0044188i,-9.036e-05+0.0011913i,0.001117+0.025405i,-0.004071-0.0043274i,0.0013207-0.0031981i,0.0056854-0.0011306i,0.0033681-0.0017223i,0.0002469-0.0011709i,-0.0026417-0.00026352i,-0.0016696-0.0038374i,-0.0051539-0.0023775i,-0.0046189-0.0027434i,0.00027379-0.003932i,5.631e-05-0.0077675i,0.018983+0.010608i,-0.00080547-0.0060759i,1.4222e-06-0.0028398i,0.001821-0.011866i,-0.0023954+0.0010315i,0.0024682+0.0013725i,0.0033444-0.0048539i,0.0017596-0.0032479i,0.0037332+0.0089531i,-0.017291-0.010827i,0.012492+0.0093592i,-0.034386-0.049806i,-0.025341-0.0099928i,-0.0060642-0.025173i,-0.00040139-0.02099i,0.021554-0.088572i,-0.026155-0.077283i,0.023496-0.074874i,-0.022766-0.04924i,0.0061737-0.012847i,0.00088386-0.0074243i,-0.014187-0.032323i,0.0011836-0.0094721i,-0.012459-0.0081249i,-0.011663-0.011466i,-0.043103+0.0047244i,0.012364+0.016773i,-0.0098609-0.011892i,-0.0066996+0.0039392i,-0.0042033+0.0031024i,-0.016739-0.0048454i,0.0029131+0.012986i,0.016388-0.0041873i,0.020936+0.00027364i,0.0027439-0.0057947i,-0.0050618+0.0013937i,-0.0066984+0.0030673i,-0.0076614+0.017003i,-0.0054603+0.0015217i,-0.024942+0.033749i,-0.0064366-0.0013445i,-0.0012589+0.0078037i,-0.00096735+0.011472i,-0.005668-0.0019513i,-0.0045375+0.0039866i,-0.00037686-0.0055002i,-5.7067e-05+0.0033626i,-0.00015842-0.0042812i,-0.0042773+0.0020354i,0.0012095-0.00080614i,-0.0038943+0.014353i,-0.0020087-0.0053267i,-0.0094752+0.015704i,-0.0053088+0.01367i,-0.029628-0.048137i,-0.0024099-0.013628i,-0.046357+0.020806i,-0.028173-0.0049009i,0.013823-0.0062102i,0.0010598+0.014792i,-0.027501+0.0047235i
-0.049936-0.014292i,-0.024627-0.0087506i,-0.04651-0.034722i,-0.028679-0.0051772i,-0.022588-0.0010588i,-0.014618+0.0073761i,-0.062516+0.011917i,-0.04148+0.020594i,-0.030019+0.014928i,0.01069+0.00072758i,-0.00091602+0.012786i,0.010067+0.014575i,0.0042241-0.0012996i,-0.0041092+0.01534i,-0.00014212+0.00065127i,0.0079136+0.010699i,0.017923-0.017698i,0.0017566-0.0049279i,-0.0012188+0.0063769i,0.0025079-0.0034239i,0.0023505+0.0055138i,0.0054415+0.0023549i,0.00021042+0.0017412i,0.017812+0.017533i,-0.0049285-0.0022774i,-5.6403e-07-0.0032355i,0.0039369-0.0033818i,0.0029357-0.0017809i,0.00012587-0.00087402i,-0.0023093+0.0012717i,-0.0029483-0.003056i,-0.0052161-0.00026361i,-0.0046633-0.0012621i,-0.001786-0.0036646i,-0.0019531-0.0061574i,0.019388+0.0061644i,-0.0027225-0.0053107i,-0.0012884-0.0026809i,-0.0030989-0.010306i,-0.0017669-0.0010168i,0.0026099+0.00034328i,0.0013057-0.0036768i,0.0013944-0.0032541i,0.0046377+0.0073508i,-0.021943-0.014589i,0.018317-0.0019774i,-0.038201-0.04097i,-0.020946-0.0018068i,-0.0039311-0.030031i,0.0010627-0.022233i,-0.011232-0.098283i,-0.045056-0.06823i,0.0031371-0.085789i,-0.032477-0.041606i,0.0052077-0.01006i,-0.002909-0.0075709i,-0.024076-0.024054i,-0.0055224-0.012228i,-0.014926-0.0056575i,-0.021725-0.0070169i,-0.036534+0.020206i,0.014609+0.0058575i,-0.01524-0.0064064i,-0.0055059+0.0049042i,-0.0032298+0.0055006i,-0.017536+0.0041947i,0.0040185+0.0083639i,0.015101-0.011062i,0.022712-0.011418i,0.00046069-0.0075391i,-0.0066318+0.0040868i,-0.0040496+0.0063127i,0.00038368+0.019185i,-0.0047541+0.0049469i,-0.017648+0.041395i,-0.0074179-0.0001119i,0.00092644+0.0052114i,0.0053333+0.010563i,-0.0077974+0.0023113i,-0.003721+0.0013899i,-0.0032561-0.0056252i,0.00013445+0.0054521i,-0.0041746-0.0030451i,-0.0047386+1.7784e-05i,-0.0015043+0.00084446i,0.0022332+0.015797i,-0.004633-0.0034434i,-0.002444+0.016503i,-0.0036479+0.012592i,-0.039763-0.04471i,0.0010586-0.01901i,-0.034098+0.035899i,-0.030581+0.0045685i,0.0086205-0.011481i,0.0019218+0.0065539i,-0.024973+0.0069137i
-0.050756-0.0073302i,-0.024774-0.006105i,-0.058139-0.023425i,-0.028596-0.0043252i,-0.026618+0.0020936i,-0.010809+0.0096882i,-0.048708+0.017701i,-0.033116+0.025488i,-0.02423+0.017456i,0.0095672-0.0013595i,0.0013125+0.012059i,0.012566+0.0080006i,0.0016882-0.001831i,0.0055236+0.013989i,-0.00049481+0.00069802i,0.0078893+0.010826i,0.0044827-0.018185i,0.001176-0.0049331i,0.0032361+0.0062587i,0.0011367-0.003457i,0.0058545+0.0036004i,0.0052832+0.00033176i,0.0013405+0.0020324i,0.024879+0.0024837i,-0.004022+6.4767e-06i,-0.00085425-0.0031205i,0.00082933-0.0016577i,0.00285-0.0035424i,-0.00013198-0.0011573i,-0.00054872+0.0022881i,-0.0034708-0.0019514i,-0.0045851+0.00081462i,-0.0052163+0.00084882i,-0.0023054-0.0020074i,-0.0028859-0.0048163i,0.020592+0.00022198i,-0.0042698-0.0039479i,-0.0029094-0.0022677i,-0.0067973-0.0083534i,-0.0040089-0.0017143i,0.0029386-0.0003985i,0.00048176-0.0022399i,0.00035876-0.0034152i,0.0054952+0.0060993i,-0.029811-0.012918i,0.010022-0.016778i,-0.036195-0.033684i,-0.015998+0.0034488i,-0.0051859-0.03349i,0.0042391-0.027783i,-0.043326-0.087155i,-0.061051-0.052575i,-0.015948-0.084562i,-0.032564-0.025751i,0.010611-0.0052632i,-0.0051408-0.0055513i,-0.026016-0.0093474i,-0.01101-0.012302i,-0.0198-0.00069985i,-0.020544+0.0029333i,-0.025456+0.031964i,0.01178-0.0012059i,-0.013461+0.0027123i,-0.0051892+0.0053066i,0.0010142+0.0080652i,-0.011673+0.011118i,0.0057407+0.0095821i,0.010488-0.022524i,0.0085708-0.024174i,-0.0052466-0.0098631i,-0.0058708+0.0082815i,-0.0023782+0.0065651i,0.0084449+0.017205i,-0.0013168+0.0074707i,0.0015343+0.05538i,-0.0085547+0.0013968i,0.00062277+0.0048101i,0.0092001+0.00592i,-0.005193+0.0088539i,-0.0051776+0.0029651i,-0.0075783-0.0037512i,0.003449+0.0059453i,-0.004776+0.0027693i,-0.007416+0.00082654i,0.00023577+0.0051171i,0.0071936+0.012151i,-0.0065321-0.0022197i,0.0021547+0.011857i,-0.000261+0.014208i,-0.044553-0.035546i,-0.0076717-0.031494i,-0.010756+0.038802i,-0.026823+0.011322i,-0.00023376-0.014919i,0.00095437+0.0002976i,-0.021672+0.010902i
-0.051179-0.00068704i,-0.029048-0.0057096i,-0.064582-0.0080176i,-0.028528-0.0011841i,-0.028527+0.0088348i,-0.0074323+0.0098012i,-0.039011+0.018514i,-0.025838+0.027398i,-0.021305+0.019474i,0.009268-0.0038317i,0.0057284+0.011386i,0.011526-0.00084542i,-0.00087431-0.00037774i,0.0094751+0.0059953i,-0.00065805+0.00099639i,0.008853+0.010771i,-0.0027172-0.013032i,-0.00057428-0.0060787i,0.0049269+0.0030792i,0.000291-0.002571i,0.0065957+0.00046712i,0.0056994-0.00059681i,0.0023913+0.0014927i,0.020555-0.010615i,-0.0018973+0.0003393i,-0.0016291-0.0017202i,0.0021614-0.0031057i,0.0011848-0.0052158i,-0.00031296-0.00047412i,0.00076737+0.0015556i,-0.0036778-0.00077075i,-0.0039891+0.0024092i,-0.0032266+0.0024969i,-0.0022721-0.0014261i,-0.0048232-0.0043418i,0.017797-0.0066555i,-0.004383-0.0018507i,-0.0033495-0.00043361i,-0.0086683-0.00309i,-0.0065079+0.0010227i,0.0022415-0.0017261i,0.001387-0.0028237i,-0.00035341-0.0031947i,0.0062851+0.0032476i,-0.035643-0.0063716i,-0.0026222-0.015045i,-0.036718-0.034618i,-0.004475+0.0070405i,-0.0067448-0.035445i,-0.0030814-0.037274i,-0.061367-0.069265i,-0.063191-0.030221i,-0.037982-0.07934i,-0.025017-0.020098i,0.016205-0.01792i,-0.0058515-0.0034625i,-0.020625-0.0028224i,-0.020628-0.0093317i,-0.01636+0.0090724i,-0.017471+0.0070157i,-0.0064905+0.03588i,0.0091331-0.0047104i,-0.011603+0.0046007i,-0.0019222+0.004936i,0.003071+0.0047685i,-0.0048924+0.014934i,0.011011+0.0064434i,-0.0060065-0.026435i,-0.011221-0.022808i,-0.0089906-0.0025578i,-0.0017384+0.011158i,0.00092622+0.006269i,0.01537+0.009253i,0.0019581+0.0068896i,0.027849+0.052638i,-0.0060274+0.0051379i,0.00090441+0.0044937i,0.0097935+0.0007354i,0.0012935+0.010573i,-0.0078619+0.0046768i,-0.0099019+0.0025693i,0.0070624+0.0051973i,-0.0023668+0.0060639i,-0.0087749+0.0045054i,0.0027393+0.0049581i,0.0088544+0.0072874i,-0.0066506+0.00017079i,0.0055+0.0075046i,0.0037525+0.011179i,-0.046764-0.0325i,-0.027036-0.029497i,0.0052648+0.027861i,-0.023742+0.01542i,-0.0034519-0.026611i,-0.0035963-0.0037766i,-0.014252+0.010847i
-0.050733+0.0059692i,-0.033004+0.0019476i,-0.065241+0.008875i,-0.026262+0.0006759i,-0.025223+0.016115i,-0.0055453+0.0090748i,-0.032555+0.017769i,-0.01981+0.027953i,-0.016293+0.023408i,0.0079146-0.0068732i,0.0091382+0.0059304i,0.006026+0.0015482i,-0.0011102+0.0023461i,0.0064016+0.0018497i,-0.00062278+0.0011595i,0.011931+0.0091829i,-0.0061676-0.0068984i,-0.003286-0.0047657i,0.0039045+0.0016212i,-0.00010457-0.002098i,0.0049667-0.0011637i,0.0050769-0.0022669i,0.0028337+0.00049678i,0.011562-0.017594i,-0.0022183-0.00076743i,-0.0013453-0.0010044i,0.001431-0.0047129i,-0.00034729-0.0035232i,0.00081471-0.0004804i,0.00075294+0.00063655i,-0.0037439+0.00015214i,-0.0022305+0.0037545i,-0.0018044+0.0033463i,-0.0026247-0.00098045i,-0.0058083-0.00093817i,0.013908-0.010778i,-0.003516-0.00050986i,-0.0023737+0.0010918i,-0.0063742-0.001354i,-0.0048245+0.0042166i,0.0012907-0.001961i,0.0011969-0.0029826i,-0.0017193-0.0030467i,0.0047972+0.00085175i,-0.038033+0.0031872i,-0.0037952-0.0055046i,-0.036995-0.031928i,0.0056125+0.0020575i,-0.0098978-0.039391i,-0.011529-0.035478i,-0.076245-0.05058i,-0.054595-0.015411i,-0.059856-0.060984i,-0.020776-0.021126i,0.010857-0.02851i,-0.0059334-0.0025283i,-0.016055+0.00059579i,-0.027649+0.0027817i,-0.011792+0.012151i,-0.012374+0.012327i,0.010521+0.029262i,0.0053085-0.0088065i,-0.011384+0.0080347i,-0.0016449+0.0023529i,0.0047632+0.0037073i,0.0027065+0.012922i,0.011539-0.0011592i,-0.01984-0.016442i,-0.020238-0.0091754i,-0.0055291+0.0027777i,0.003813+0.01087i,0.0033235+0.0048143i,0.017477+0.0016498i,0.0067548+0.0057611i,0.04828+0.034568i,-0.0041642+0.0043695i,0.0017404+0.0055107i,0.0069375-0.0040924i,0.0067857+0.0068535i,-0.0079515+0.013442i,-0.0068121+0.0092974i,0.0094048+0.0010483i,0.0032207+0.0059395i,-0.0084758+0.0095279i,0.0040819+0.0030234i,0.0094183+0.0045448i,-0.0069781+0.0017504i,0.0056123+0.0026306i,0.0045759+0.0082861i,-0.051143-0.026414i,-0.035634-0.012501i,0.01079+0.012925i,-0.011529+0.020288i,-0.015025-0.026241i,-0.011495-0.0030317i,-0.014419+0.0060786i
-0.049618+0.01316i,-0.030839+0.010909i,-0.057911+0.025393i,-0.026782+0.0010958i,-0.020222+0.02003i,-0.0040352+0.008573i,-0.028335+0.015446i,-0.015418+0.027557i,-0.0089244+0.025188i,0.0046317-0.0094242i,0.0063107+0.00095814i,0.0056796+0.003752i,0.00050053+0.0039952i,0.0041654-0.0001396i,-0.00063667+0.0015394i,0.014369+0.0052271i,-0.0047171-0.002181i,-0.0042518-0.0027052i,0.0035572+0.0013127i,-0.00031268-0.0017588i,0.0047344-0.00069625i,0.00354-0.003247i,0.0029283-0.00045402i,0.0031697-0.017805i,-0.0031879-0.00027626i,-0.0014162-0.0011277i,-0.00034757-0.0051677i,-0.0017968-0.0030432i,0.00046425-0.0012563i,0.00097157+0.00036266i,-0.0037702+0.0011591i,-0.00013749+0.0035974i,-0.00054428+0.0029112i,-0.0025659+0.00029281i,-0.0047333+0.00016899i,0.0075832-0.01373i,-0.0026133-3.7692e-05i,-0.00097562+0.0015449i,-0.0073622-1.1289e-05i,-0.0027402+0.0050797i,0.00076774-0.0017416i,-0.00023506-0.0033868i,-0.0021625-0.0018043i,0.0024751+0.00042396i,-0.03725+0.013018i,0.0053989-0.0010129i,-0.045017-0.02688i,0.011161-0.0063705i,-0.015711-0.038657i,-0.016783-0.03369i,-0.082509-0.025565i,-0.048442-0.0098052i,-0.060758-0.033663i,-0.020114-0.021877i,-1.0637e-05-0.035292i,-0.0067928-0.001964i,-0.013679-0.0017907i,-0.021598+0.016743i,-0.0067937+0.014684i,-0.0024291+0.011977i,0.016311+0.015275i,-3.4892e-05-0.0064904i,-0.0084405+0.012469i,-0.003151+0.0026306i,0.0055044-0.00012232i,0.0056355+0.0082331i,0.005971-0.0039799i,-0.024084-0.0023791i,-0.02036+0.0041008i,-0.0018255+0.0030291i,0.007119+0.0087191i,0.0030362+0.0030258i,0.014537-0.0093364i,0.0070002+0.00014196i,0.057095+0.0095611i,-0.0053795+0.0069004i,0.0039519+0.003957i,0.0019223-0.0057756i,0.007716+0.0028231i,-0.00072611+0.01837i,0.00085438+0.0092384i,0.0073544-0.0025972i,0.0052436+0.0017388i,-0.0026255+0.016237i,0.0029533+0.0034844i,0.0090009+0.0021417i,-0.0080038+0.0045459i,0.0010298-2.7077e-05i,0.004655+0.0068741i,-0.036915-0.015956i,-0.030312+2.0517e-05i,0.0076079+0.0023607i,-0.0022641+0.013044i,-0.026763-0.021242i,-0.013219+0.0066451i,-0.016963+0.0085706i
-0.047044+0.020245i,-0.02567+0.015912i,-0.046609+0.036108i,-0.029091+0.0036245i,-0.014829+0.022453i,-0.0028225+0.0084052i,-0.027827+0.013276i,-0.012087+0.027966i,-0.0026236+0.023853i,-0.000423-0.0097204i,0.0028678+0.0011917i,0.0069463+0.0033985i,0.0026966+0.0038153i,0.0019064-0.00049588i,-0.00013092+0.0020391i,0.013021+4.4889e-05i,-0.0028943-0.0011515i,-0.003489-0.00085177i,0.003967+0.00037898i,-0.00038606-0.0013379i,0.0055384-0.002128i,0.0021028-0.0029485i,0.0027066-0.0013033i,-0.0022277-0.015724i,-0.0029934+0.0011255i,-0.0016809-0.00053389i,-0.0022125-0.0046077i,-0.0024781-0.0023601i,-0.00010166-0.0015574i,0.00095255-0.00027185i,-0.0032249+0.0023791i,0.0012306+0.0024188i,0.00060252+0.002531i,-0.0017804+0.0010127i,-0.0047668+0.0015322i,0.001873-0.011981i,-0.0025084-0.00047215i,-7.8784e-05+0.0013165i,-0.0055814+0.0031322i,-0.00073306+0.0056445i,0.00043729-0.001779i,-0.00024475-0.0025299i,-0.0024407-0.0016189i,0.0021888+0.0022888i,-0.03097+0.021602i,0.016517-0.0090945i,-0.052069-0.019024i,0.011234-0.014907i,-0.017029-0.038194i,-0.022784-0.030906i,-0.077095-0.004511i,-0.043645-0.004153i,-0.051585-0.019048i,-0.019936-0.024042i,-0.012043-0.036437i,-0.0070709-0.00014946i,-0.016781-0.0035236i,-0.010936+0.022105i,-0.00092499+0.013437i,0.0022913+0.0044333i,0.011818+0.0045633i,-0.0012428-0.0081073i,-0.0027748+0.013993i,-0.0030755+0.0044202i,0.0030014-0.0031845i,0.0059531+0.0039457i,0.003968-0.0019998i,-0.020236+0.0099145i,-0.013545+0.012186i,-0.001522+0.0033896i,0.010307+0.0057662i,0.0028033+0.0023765i,0.0056384-0.014444i,0.0043506-0.0027436i,0.051124-0.013796i,-0.0023518+0.010284i,0.0036225+0.0024294i,-0.0015857-0.0041762i,0.0075703+0.00092901i,0.0083372+0.018852i,0.0031171+0.0060746i,0.0057106-0.0039745i,0.0041614-0.00052223i,0.0073232+0.01433i,0.0037819+0.0027965i,0.0090515-0.0011126i,-0.0047559+0.0097662i,-8.482e-05+0.0015113i,0.0049843+0.0061953i,-0.039552-0.017835i,-0.022537+0.0043936i,0.0043474-0.0020879i,-0.0026101+0.0052014i,-0.035475-0.010981i,-0.0080922+0.0090669i,-0.015186+0.011207i
-0.042893+0.026677i,-0.020061+0.018443i,-0.032857+0.041713i,-0.029048+0.0088688i,-0.0088613+0.022545i,-0.0015417+0.0079993i,-0.028841+0.013959i,-0.0080026+0.028954i,0.0023555+0.021751i,-0.003124-0.008059i,0.0020991+0.0023725i,0.0082639+0.0015499i,0.0052927+0.0018738i,-0.00038296+0.00084645i,0.00026906+0.0021087i,0.010204-0.003176i,-0.0032057-0.001753i,-0.0028387-0.00017542i,0.0039069-0.00043113i,-0.0002692-0.00095732i,0.004791-0.0041489i,0.0020015-0.0023586i,0.0021534-0.0020636i,-0.0066845-0.013569i,-0.0023337+0.0022986i,-0.0016287+8.7655e-06i,-0.0035914-0.0030308i,-0.002828-0.0012668i,-0.00061404-0.0020006i,0.00027168-0.00072229i,-0.0021607+0.0033883i,0.0013173+0.0014583i,0.001471+0.0016199i,-0.00099433+0.00098151i,-0.0037259+0.0024684i,-0.00069027-0.0088785i,-0.0027107+8.7957e-06i,0.00061093+0.00060746i,-0.0030142+0.0034669i,0.0021543+0.005459i,-6.7746e-06-0.0015238i,5.4006e-05-0.0024755i,-0.0029205-0.00092225i,0.0036153+0.0013995i,-0.023373+0.025281i,0.015901-0.024323i,-0.055496-0.0077196i,0.010703-0.022064i,-0.019274-0.043222i,-0.027358-0.025756i,-0.069711+0.0096089i,-0.039007-0.0011708i,-0.044032-0.011184i,-0.023173-0.024737i,-0.026429-0.034328i,-0.0070458+0.0011186i,-0.024059-0.00093459i,-0.0014077+0.021631i,0.0012449+0.010537i,0.00043844-0.0017986i,0.0061673+0.0012452i,-0.0043868-0.0083784i,0.0020796+0.012559i,-0.0014317+0.0053198i,-0.00028219-0.0034163i,0.003123+0.00098834i,0.0042349-0.0014495i,-0.01177+0.016305i,-0.0051901+0.016398i,0.0011766+0.0037824i,0.012204+0.00025917i,0.0029379+0.0026961i,-0.002825-0.013384i,0.0018944-0.0033637i,0.037407-0.031854i,0.0025717+0.011662i,0.0036946+0.0022616i,-0.004296-0.0017084i,0.0073352-0.0029339i,0.015734+0.014735i,0.0028713+0.0036929i,0.0036602-0.0057459i,0.0028016-0.0024239i,0.013381+0.0099793i,0.0039316+0.003002i,0.0061597-0.0043891i,0.0009244+0.010569i,0.00033999+0.0010939i,0.0068117+0.0054963i,-0.043162-0.015441i,-0.017857+0.008697i,0.0009597-0.0047193i,-0.0059763+0.0037484i,-0.038048+0.0010819i,-0.0058189+0.0080703i,-0.01278+0.01298i
