-0.028842-0.042866i,-0.022137-0.022157i,-0.013593-0.037534i,-0.029514-0.021824i,-0.023367-0.0017163i,-0.01464-0.0062098i,-0.054397-0.06055i,-0.048191-0.018782i,-0.036743-0.012688i,0.012086+0.01257i,-0.0084636+0.0052324i,-0.019677+0.019083i,0.0023279+0.012598i,-0.0055819-0.0028503i,0.00039826+0.001368i,-0.0023044+0.031778i,0.028594+0.026095i,0.0026294-0.0025476i,-0.0025204-0.0072398i,0.0078886+0.0027104i,0.0025958+0.00099501i,-0.0008646+0.0042115i,-0.00034122+0.00015507i,-0.037267-0.014133i,-0.00022284-0.0083968i,0.00142+0.0023361i,0.0067335+0.00084704i,0.0020858+0.00037841i,0.0012243-0.00052107i,-0.00047697-0.0028609i,0.0015929-0.0025129i,-0.0025586-0.0063403i,-0.001082-0.0047477i,0.003194-0.00065775i,0.0046219-0.0035536i,0.0021482+0.031865i,0.0042541-0.0037658i,0.0030434-0.0015696i,0.0087897-0.0012778i,-0.0055564-0.0024487i,-0.00033862+0.00082882i,0.0098306+0.00022625i,0.0048663-0.0021152i,-0.0023523+0.0087764i,-0.017422-0.0095394i,-0.018123+0.014164i,-0.0023525-0.062914i,-0.0046958-0.026861i,-0.025517-0.0333i,-0.010336-0.027621i,0.054339-0.020952i,0.017361-0.042941i,0.024054-0.047818i,0.0046605-0.054548i,0.02691-0.021029i,0.0082102+0.0062769i,0.025525-0.033001i,-0.008333-0.0063998i,0.0032792-0.0042271i,-0.0048864-0.0073466i,-0.0017692-0.033123i,-0.019081+0.029102i,0.0090206-0.012102i,-0.0092259-0.0038988i,-0.0041109-0.0018405i,0.00096548-0.012714i,-0.010962+0.0042452i,0.0023968+0.010197i,-0.0048415+0.026249i,0.0048981+0.0025676i,-0.005597-0.0018524i,-0.0020636-0.0022324i,-0.012379-0.0073537i,-0.00057899-0.0044406i,-0.034273+0.0051036i,0.00098426-0.010866i,-0.0084444+5.4126e-05i,-0.0068895-0.0023163i,0.0050658+0.0015925i,-0.0079605-0.00044037i,0.0020648+0.0001877i,0.0046866+0.0074283i,0.0042022+0.0005916i,-0.0080801-0.011735i,0.0033044+0.0099204i,-0.013806+0.0038933i,0.0071328-0.00052705i,-0.022505-0.00086093i,-0.017771+0.0069397i,-0.012016-0.06889i,0.0072544-0.012164i,-0.049603-0.023464i,-0.020777-0.00046464i,0.017218+0.01213i,-0.02332+0.015025i,-0.020861-0.006501i
-0.036329-0.039325i,-0.023647-0.013499i,-0.018948-0.038578i,-0.031674-0.019102i,-0.021246-0.0013529i,-0.0165-0.0033986i,-0.064092-0.049559i,-0.049561-0.010633i,-0.035223-0.0049017i,0.012163+0.0088315i,-0.010294+0.0049923i,-0.0092275+0.02623i,0.0067692+0.0094235i,-0.0091261+0.00010123i,0.00052832+0.0010051i,0.0053995+0.027578i,0.029873+0.012547i,0.0029597-0.0010463i,-0.0052063-0.0031905i,0.0071106-0.00034678i,0.00091802+0.00075727i,-6.9178e-05+0.0043274i,-0.00045299+0.00059275i,-0.02737+0.0068886i,-0.002378-0.0070285i,0.0033334+0.00051304i,0.0049319+0.0018703i,0.0027888+0.0009398i,0.0017386-0.0011879i,-0.0016807-0.0025142i,0.0011898-0.0034803i,-0.0032318-0.005268i,-0.0019242-0.004402i,0.002636-0.0019173i,0.0043931-0.0034104i,0.012194+0.026796i,0.0036139-0.0053829i,0.0018814-0.0022615i,0.0097607-0.0047351i,-0.0040123-0.0018224i,0.00021733+0.0018187i,0.0091469-0.0017263i,0.0036404-0.0024148i,-0.0022344+0.0095859i,-0.016427-0.0099246i,-0.0059573+0.016864i,-0.01396-0.062193i,-0.015235-0.029501i,-0.020427-0.023089i,-0.0073134-0.016915i,0.051834-0.045695i,0.017197-0.061553i,0.025869-0.048063i,-0.0062272-0.057533i,0.014403-0.017113i,0.0073075-0.0014955i,0.011794-0.037518i,-0.0073489-2.2506e-05i,-0.0003719-0.012759i,-0.0064381-0.0063195i,-0.02283-0.029682i,-0.0062953+0.026482i,0.0025627-0.014898i,-0.010722+0.00038776i,-0.0030627-5.0871e-05i,-0.005244-0.012609i,-0.011831+0.0096409i,0.0077084+0.01095i,0.011772+0.021986i,0.0048083-0.0014774i,-0.0053312+0.0013707i,-0.0046846-0.0022803i,-0.016815+0.0017709i,-0.00082072-0.002895i,-0.036515+0.011835i,-0.0050533-0.0085697i,-0.0075979+0.0033299i,-0.0080755+0.0017932i,0.0038303-0.0037621i,-0.0070583+0.0016712i,0.0030352-0.0029678i,0.0028592+0.0032176i,0.0032256-0.00059063i,-0.013969-0.0043322i,0.0049916+0.0060971i,-0.0099674+0.0090534i,0.0061581-0.0033917i,-0.020587+0.0072821i,-0.015642+0.011971i,-0.024403-0.065978i,0.0026885-0.017136i,-0.055099-0.0084779i,-0.01517-0.0045012i,0.017197+0.006531i,-0.016911+0.020972i,-0.028731-0.0087111i
-0.042092-0.034549i,-0.021528-0.011909i,-0.025876-0.03982i,-0.03404-0.013844i,-0.020579-0.0017996i,-0.017673-0.00038173i,-0.075736-0.034079i,-0.051459-0.0017223i,-0.034746+4.3635e-05i,0.012161+0.0055919i,-0.010848+0.010354i,0.0017494+0.024042i,0.0080774+0.0046878i,-0.010175+0.0038847i,0.00050888+0.00089481i,0.010062+0.021355i,0.029852+0.0039944i,0.0045713-0.0014586i,-0.0042921-0.00019056i,0.0057647-0.0020972i,-0.00051735+0.0017213i,0.001518+0.0049329i,-0.0003483+0.00092969i,-0.016362+0.016688i,-0.0035078-0.0056032i,0.0033424-0.001983i,0.0048818+0.00045897i,0.0041514-0.00039026i,0.00074745-0.0016441i,-0.0022717-0.0014375i,-9.3051e-06-0.0042224i,-0.0050962-0.0040803i,-0.0029592-0.0038454i,0.0018726-0.0034657i,0.0043641-0.0069444i,0.018882+0.018673i,0.0018995-0.006251i,0.00079583-0.0025645i,0.0078699-0.010183i,-0.0042139-0.00066409i,0.0011791+0.0021917i,0.0067642-0.0046429i,0.0034363-0.0029341i,0.00027848+0.010927i,-0.017775-0.011841i,0.0040577+0.014308i,-0.024823-0.058719i,-0.023869-0.021871i,-0.0091048-0.021632i,-0.0007958-0.020104i,0.042909-0.066394i,-0.0010091-0.077137i,0.030412-0.05463i,-0.017182-0.053528i,0.01022-0.015806i,0.0047168-0.0046184i,-0.0013524-0.035123i,0.0023909-0.00031769i,-0.0091395-0.012725i,-0.0060609-0.0080623i,-0.038286-0.018376i,0.0017329+0.023461i,-0.00403-0.014815i,-0.0081503+0.0030629i,-0.0045364+0.00051113i,-0.011454-0.010525i,-0.0054356+0.015895i,0.014796+0.0045534i,0.020334+0.010315i,0.0038652-0.003497i,-0.0043571+0.0017567i,-0.006451-0.00042496i,-0.013053+0.011123i,-0.0043274-0.0023156i,-0.031785+0.024651i,-0.0069257-0.0038528i,-0.0056992+0.0069703i,-0.0081693+0.0079748i,-0.0015407-0.0050282i,-0.0069681+0.0029332i,0.00097563-0.0046623i,0.00077252+0.0027805i,0.0025019-0.0023569i,-0.0090044+0.0033273i,0.0048228+0.0024734i,-0.0059155+0.010754i,0.0028713-0.0068232i,-0.015899+0.012713i,-0.010551+0.015121i,-0.030784-0.062395i,-0.0040456-0.01659i,-0.053353+0.0055103i,-0.021298-0.010341i,0.016242-0.0004726i,-0.0062829+0.019782i,-0.031672-0.0028462i
-0.047291-0.028558i,-0.022514-0.012871i,-0.035665-0.040088i,-0.03206-0.0088455i,-0.021506-0.0024953i,-0.017498+0.003599i,-0.078067-0.007771i,-0.050528+0.010703i,-0.033728+0.0068928i,0.011697+0.0034595i,-0.0058326+0.014487i,0.0067293+0.019027i,0.0071779+0.00069382i,-0.0116+0.0089547i,0.00019066+0.00074165i,0.010967+0.0138i,0.029046-0.0083672i,0.0038187-0.0042083i,-0.0042716+0.0024215i,0.0040061-0.0029675i,0.00059071+0.0036026i,0.0040518+0.0047576i,-0.00018668+0.0013418i,-0.0017368+0.026888i,-0.0043198-0.0042518i,0.0016745-0.0033956i,0.0053722-0.0012309i,0.0032371-0.0017592i,0.00051863-0.0013065i,-0.0028741-0.00030554i,-0.0015735-0.0041294i,-0.0054411-0.0023739i,-0.0042156-0.0026527i,0.00053594-0.004197i,-0.00026978-0.0080919i,0.019627+0.010901i,-0.00059927-0.0066531i,0.00010436-0.0027176i,0.002152-0.012712i,-0.0022821+0.000507i,0.0024387+0.0016375i,0.0033143-0.005199i,0.0023652-0.0036353i,0.0036052+0.0099076i,-0.018157-0.012671i,0.01302+0.0080526i,-0.033673-0.051621i,-0.025016-0.01132i,-0.0054636-0.025418i,0.0003764-0.021818i,0.023778-0.088255i,-0.024088-0.077482i,0.026118-0.07286i,-0.023817-0.048391i,0.0069298-0.013526i,0.0011061-0.0070988i,-0.014131-0.033875i,0.0015173-0.0094611i,-0.012122-0.0080356i,-0.011708-0.011591i,-0.043838+0.0022452i,0.011581+0.017883i,-0.0099905-0.012462i,-0.0063037+0.0038092i,-0.0043978+0.003209i,-0.016169-0.0045805i,0.0029616+0.013481i,0.016961-0.0035006i,0.016493+1.2156e-05i,0.0024485-0.0056115i,-0.0049909+0.0019565i,-0.0067895+0.0029264i,-0.0075606+0.017715i,-0.0056614+0.0016007i,-0.02422+0.034223i,-0.0071798-0.0014336i,-0.0012411+0.0079357i,-0.001868+0.012272i,-0.0056665-0.001827i,-0.00488+0.0041821i,-0.00078756-0.0052798i,-1.7508e-05+0.0034839i,-1.7941e-06-0.0036933i,-0.0049528+0.0024354i,0.0012219-0.00084047i,-0.0025471+0.012589i,-0.0018717-0.006411i,-0.0093832+0.016013i,-0.0057336+0.014354i,-0.034419-0.06108i,-0.0031824-0.013323i,-0.048266+0.020192i,-0.029366-0.0064112i,0.014275-0.0061669i,0.0015472+0.014284i,-0.030411+0.0043772i
-0.051601-0.02108i,-0.026447-0.010749i,-0.048278-0.035576i,-0.030205-0.0067288i,-0.02441-0.0021859i,-0.015852+0.0076149i,-0.063797+0.0092084i,-0.043039+0.020617i,-0.029041+0.013086i,0.012162+0.0015449i,-0.00046482+0.013295i,0.0102+0.016018i,0.0044479-0.0013682i,-0.0072416+0.016793i,-7.7207e-05+0.00057463i,0.0085568+0.011177i,0.016545-0.017901i,0.0019686-0.0050497i,-0.0014553+0.0065298i,0.0027968-0.0033253i,0.002683+0.005584i,0.0054301+0.0026172i,0.00012366+0.0019885i,0.019486+0.020078i,-0.0052234-0.0021917i,0.00027697-0.0034535i,0.0033048-0.003238i,0.003074-0.0019374i,0.00022825-0.0010753i,-0.0024152+0.0013128i,-0.0029971-0.003338i,-0.005361-0.00051752i,-0.0040829-0.0013419i,-0.0017412-0.0039947i,-0.0024363-0.0065202i,0.020602+0.0061342i,-0.0027329-0.0057675i,-0.001148-0.0025946i,-0.0031083-0.011064i,-0.0019734-0.0015438i,0.002654+0.00048524i,0.0010833-0.0039137i,0.0017227-0.0037189i,0.0046621+0.0080562i,-0.022888-0.016193i,0.019003-0.0035616i,-0.037499-0.042816i,-0.020812-0.0025023i,-0.0036-0.030862i,0.0023525-0.023092i,-0.0082075-0.099366i,-0.04274-0.069052i,0.0054734-0.084469i,-0.032587-0.040542i,0.0059976-0.010235i,-0.0026939-0.0073287i,-0.024548-0.024452i,-0.0051569-0.012111i,-0.014342-0.0062499i,-0.021451-0.006733i,-0.037582+0.019199i,0.014793+0.007304i,-0.01579-0.0072404i,-0.005101+0.0047784i,-0.0033695+0.0056477i,-0.016959+0.0041862i,0.0041506+0.0086009i,0.015404-0.010497i,0.02221-0.014288i,0.00031779-0.0072534i,-0.0066324+0.0048659i,-0.0042512+0.0059023i,0.0010542+0.019476i,-0.0047045+0.0051905i,-0.014446+0.042882i,-0.0084919-7.0807e-05i,0.00089462+0.0053072i,0.0048446+0.011258i,-0.0075082+0.0017141i,-0.0038724+0.0018584i,-0.0032125-0.0057591i,0.0004093+0.0050831i,-0.003914-0.0031711i,-0.005475+0.00036171i,-0.0015792+0.00096461i,0.0028913+0.013467i,-0.0053374-0.0042807i,-0.0020667+0.016359i,-0.0037855+0.014141i,-0.040535-0.055256i,0.00086029-0.018925i,-0.036359+0.036383i,-0.032463+0.0038536i,0.0099425-0.0116i,0.0024341+0.0067065i,-0.026619+0.0071279i
-0.053868-0.014076i,-0.02706-0.0080372i,-0.059052-0.023517i,-0.030282-0.0056708i,-0.028692+0.0010108i,-0.011854+0.010201i,-0.050581+0.0151i,-0.034299+0.025554i,-0.024048+0.016293i,0.01129-0.0011497i,0.0017915+0.012142i,0.013695+0.0091188i,0.0018412-0.0019024i,0.0056797+0.016391i,-0.00044591+0.00061996i,0.0084736+0.011155i,0.0044215-0.017416i,0.0018061-0.0049864i,0.0031578+0.0064713i,0.0014583-0.0033676i,0.0062892+0.0033297i,0.0054255+0.00059946i,0.0013291+0.0023016i,0.026907+0.0033841i,-0.0040536+0.00010668i,-0.0011827-0.0034731i,0.00069409-0.0013605i,0.0028715-0.0033029i,-5.6481e-05-0.0013195i,-0.00054405+0.0024029i,-0.003635-0.0021491i,-0.0048261+0.0005249i,-0.004821+0.00061199i,-0.0024022-0.0022167i,-0.0032192-0.004964i,0.02138-0.00011286i,-0.0042798-0.0043204i,-0.0029984-0.0021838i,-0.0074905-0.0094525i,-0.0044795-0.0023266i,0.0030406-0.00016426i,0.00015299-0.0023243i,0.00061142-0.00394i,0.0055438+0.006943i,-0.030779-0.014751i,0.010535-0.018811i,-0.035784-0.0357i,-0.01588+0.0026124i,-0.0050961-0.033997i,0.0056096-0.028953i,-0.040532-0.089641i,-0.0589-0.054184i,-0.013789-0.083232i,-0.032165-0.024753i,0.011805-0.0052462i,-0.0051024-0.0055805i,-0.025998-0.0094632i,-0.010662-0.012409i,-0.01958-0.0019193i,-0.020123+0.0030043i,-0.027132+0.032416i,0.012363-0.00010805i,-0.014209+0.0026418i,-0.0052101+0.0051656i,0.00066004+0.008013i,-0.011548+0.011195i,0.0055224+0.0097749i,0.011104-0.022179i,0.0082154-0.026421i,-0.0053203-0.0098728i,-0.0059775+0.0092341i,-0.0028608+0.0062191i,0.0086379+0.017004i,-0.0010774+0.0079515i,0.0018933+0.055813i,-0.0092074+0.0016862i,0.0006743+0.005103i,0.0090841+0.0063616i,-0.0057088+0.0089436i,-0.0055846+0.0030035i,-0.0077748-0.0041076i,0.0037692+0.0054217i,-0.0047361+0.0025788i,-0.0078193+0.001197i,-4.1155e-05+0.0048536i,0.0062401+0.010613i,-0.0069783-0.002789i,0.002573+0.011795i,0.0010848+0.015081i,-0.041295-0.043428i,-0.0077406-0.031371i,-0.012259+0.039614i,-0.027799+0.011268i,0.0068528-0.019504i,0.001222+0.00037137i,-0.023342+0.011935i
-0.055074-0.0062488i,-0.032242-0.0073569i,-0.065395-0.0082301i,-0.030376-0.0026765i,-0.03102+0.0080724i,-0.0082144+0.010328i,-0.041192+0.01616i,-0.026883+0.027375i,-0.021431+0.018538i,0.010863-0.0045672i,0.0062974+0.011077i,0.012127-0.00090491i,-0.00079301-0.00041566i,0.010493+0.006893i,-0.00061699+0.00088103i,0.0093377+0.011178i,-0.0024722-0.012552i,0.00048005-0.0066111i,0.0051471+0.0031119i,0.00048375-0.0026244i,0.0067879+0.0002515i,0.00597-0.000312i,0.0025159+0.0017395i,0.021763-0.010793i,-0.0018729+0.0001968i,-0.0017006-0.002156i,0.0021033-0.0029558i,0.001268-0.0047323i,-0.00038382-0.00052406i,0.00083498+0.0016339i,-0.0040252-0.0011549i,-0.0040228+0.0023714i,-0.0034956+0.0025067i,-0.0022516-0.0014875i,-0.0051772-0.0041591i,0.018919-0.0069772i,-0.004655-0.0019366i,-0.0034531-0.00029187i,-0.01125-0.0032389i,-0.0070183+0.00081538i,0.0024964-0.0015723i,0.0010052-0.0029674i,-0.00034514-0.0038265i,0.0066433+0.0040386i,-0.037076-0.0082814i,-0.0027207-0.017252i,-0.039903-0.035058i,-0.0050311+0.0062856i,-0.0063965-0.035856i,-0.0019448-0.039018i,-0.0592-0.072418i,-0.061566-0.032169i,-0.034731-0.077009i,-0.024477-0.019471i,0.017889-0.018425i,-0.0060611-0.0033867i,-0.020188-0.0034328i,-0.020312-0.0091735i,-0.017034+0.008109i,-0.017011+0.0069066i,-0.0078798+0.0377i,0.010385-0.0041973i,-0.012218+0.0047665i,-0.0021399+0.0048573i,0.0027397+0.004874i,-0.0050845+0.014852i,0.010939+0.0068258i,-0.0052564-0.026717i,-0.010919-0.02288i,-0.00915-0.0026971i,-0.0016042+0.011785i,0.00071801+0.0063964i,0.015471+0.0094917i,0.002218+0.0071064i,0.028051+0.051131i,-0.0062847+0.0053907i,0.0011092+0.0048251i,0.0095247+0.00087146i,0.0012657+0.011313i,-0.0084746+0.0044732i,-0.010163+0.0024513i,0.0067559+0.0046507i,-0.0024556+0.0055902i,-0.009708+0.0047946i,0.0024859+0.0047961i,0.0077686+0.0070807i,-0.0075201+7.1852e-05i,0.0058738+0.0074638i,0.0047432+0.011817i,-0.04068-0.037595i,-0.026776-0.029748i,0.003812+0.02897i,-0.024499+0.015189i,-0.0034785-0.026712i,-0.0029963-0.0036849i,-0.015356+0.012193i
-0.055196+0.0016604i,-0.036691+0.0011286i,-0.065634+0.0084228i,-0.028275-0.00048134i,-0.028052+0.015796i,-0.0062037+0.009625i,-0.035042+0.01574i,-0.020873+0.027882i,-0.016844+0.022529i,0.0087724-0.0079758i,0.0090778+0.0051646i,0.0069885+0.0016729i,-0.00099386+0.0023709i,0.0072653+0.0019777i,-0.00063399+0.0010031i,0.012699+0.009362i,-0.0058153-0.0068364i,-0.0030554-0.0063199i,0.0038456+0.0013186i,0.00014872-0.002195i,0.0050038-0.0013558i,0.0054141-0.0021957i,0.0031012+0.00062246i,0.012389-0.018072i,-0.0020171-0.00079105i,-0.0015917-0.001441i,0.0014359-0.0046336i,0.0002319-0.0038446i,0.00093331-0.00043819i,0.00094822+0.00064293i,-0.0045318+2.0412e-05i,-0.0020799+0.0034268i,-0.0019671+0.003412i,-0.00266-0.00095518i,-0.0061596-0.00088528i,0.014483-0.012306i,-0.0037978-0.00070403i,-0.0021731+0.0011373i,-0.0073188+0.00014769i,-0.0055352+0.0042147i,0.0014674-0.0020716i,0.00099117-0.0031906i,-0.001777-0.0034839i,0.005379+0.0012251i,-0.039815+0.0013769i,-0.0045778-0.0077261i,-0.046655-0.037809i,0.0045422+0.0017552i,-0.0092718-0.040188i,-0.011179-0.037115i,-0.074544-0.054971i,-0.053344-0.01781i,-0.054395-0.060639i,-0.019807-0.020028i,0.012106-0.029604i,-0.0060889-0.002042i,-0.016131-2.4941e-05i,-0.027769+0.0018694i,-0.012514+0.011802i,-0.012257+0.011961i,0.010533+0.030346i,0.0067077-0.0088815i,-0.0098707+0.0089684i,-0.0020612+0.0022398i,0.0046823+0.0039668i,0.0023769+0.013006i,0.011524-0.0010305i,-0.019561-0.01714i,-0.021311-0.0099123i,-0.0058449+0.0027395i,0.004092+0.01121i,0.0032402+0.0050172i,0.017548+0.0015042i,0.0067424+0.0064055i,0.047704+0.033855i,-0.0041936+0.0046135i,0.0019276+0.0055415i,0.0071252-0.0040433i,0.0068357+0.0073985i,-0.0092074+0.013341i,-0.007194+0.0093619i,0.0094168+0.00059072i,0.0028981+0.0057754i,-0.008874+0.011036i,0.0038618+0.0027521i,0.0082469+0.004715i,-0.0076658+0.0020356i,0.0059577+0.0027864i,0.0058329+0.0088438i,-0.036316-0.031733i,-0.035619-0.012518i,0.0098793+0.014153i,-0.012508+0.021298i,-0.014799-0.027335i,-0.011082-0.0033215i,-0.01485+0.0069203i
-0.053909+0.0093135i,-0.034652+0.010986i,-0.059023+0.024007i,-0.028603+0.0003767i,-0.022765+0.020173i,-0.0046915+0.009154i,-0.03134+0.013826i,-0.01664+0.027419i,-0.0097264+0.024783i,0.0050491-0.010869i,0.0062837+0.0009805i,0.0061996+0.0038412i,0.00076831+0.0041869i,0.0041979-0.00019451i,-0.00069307+0.001397i,0.01464+0.0049298i,-0.0048091-0.0020462i,-0.0046125-0.0033737i,0.0035475+0.001079i,-0.00018904-0.0019332i,0.0049932-0.0007236i,0.0038062-0.0033515i,0.0032276-0.00043558i,0.0040643-0.018043i,-0.0030794-0.0010337i,-0.0017018-0.0013605i,-0.00066062-0.0051174i,-0.0011973-0.003596i,0.00072942-0.0014901i,0.00097667+0.00028075i,-0.0043052+0.0012495i,-0.0002006+0.0034649i,-0.00074206+0.0031393i,-0.0024339+0.00029841i,-0.0049595+0.00020848i,0.0072078-0.015441i,-0.0029528-0.00028227i,-0.0010117+0.0015175i,-0.007131+0.0011843i,-0.003087+0.0059957i,0.00080626-0.0018557i,-0.0003642-0.0035608i,-0.0025265-0.0024294i,0.0028067+0.00073729i,-0.039001+0.011278i,0.0041277-0.002748i,-0.051295-0.031194i,0.010226-0.0058497i,-0.015408-0.039494i,-0.016663-0.035201i,-0.082883-0.030712i,-0.047661-0.012656i,-0.056072-0.036001i,-0.018952-0.021262i,0.00080832-0.036669i,-0.0065955-0.0018107i,-0.013819-0.0021537i,-0.022541+0.016143i,-0.007161+0.014543i,-0.0025658+0.011277i,0.0155+0.016537i,0.00061196-0.0090779i,-0.0071042+0.010858i,-0.0035807+0.0028283i,0.0054469+8.4042e-05i,0.0054013+0.0082744i,0.0059379-0.0039328i,-0.024639-0.003255i,-0.021534+0.0036873i,-0.0019313+0.0029867i,0.006907+0.0089702i,0.003083+0.0033506i,0.014062-0.0090381i,0.007334+0.00073897i,0.056943+0.009569i,-0.0055174+0.006654i,0.0040747+0.0042418i,0.0020083-0.0055243i,0.0077914+0.0035474i,-0.0015297+0.01839i,0.00072998+0.009387i,0.0075838-0.0031901i,0.0051099+0.0018246i,-9.8538e-05+0.017985i,0.002877+0.0030325i,0.0085911+0.0028323i,-0.008562+0.0049581i,0.001433+0.00033537i,0.0059689+0.0069384i,-0.055724-0.036723i,-0.029661+0.0017773i,0.006903+0.0035557i,-0.0018726+0.013912i,-0.027083-0.022048i,-0.013255+0.0058848i,-0.017715+0.008982i
-0.051779+0.016645i,-0.029235+0.016423i,-0.048612+0.035222i,-0.030605+0.0032059i,-0.017202+0.023074i,-0.0034371+0.0089658i,-0.031399+0.012511i,-0.013421+0.028198i,-0.0031509+0.023366i,-0.00077233-0.012283i,0.0027653+0.0011182i,0.0072173+0.0033709i,0.0033628+0.003733i,0.0018532-0.00047329i,-0.00028744+0.0018401i,0.013329+0.00026519i,-0.0031247-0.0010904i,-0.0038279-0.001115i,0.0039283+0.00034891i,-0.00029054-0.0014658i,0.0058082-0.0023289i,0.0022671-0.003088i,0.0029915-0.0014319i,-0.0012798-0.016462i,-0.0034567+0.00039591i,-0.001987-0.00065322i,-0.0023487-0.004296i,-0.0024381-0.0029791i,0.00017905-0.0019879i,0.00084696-0.00037946i,-0.0037371+0.0029269i,0.0011464+0.0025518i,0.00037142+0.002836i,-0.0016833+0.00093035i,-0.0049361+0.0015187i,0.0010541-0.012855i,-0.0029011-0.00078715i,-4.501e-05+0.0012874i,-0.0047701+0.0034744i,-0.00029673+0.0064535i,0.00047285-0.0018494i,-0.00038792-0.0025603i,-0.0027569-0.001707i,0.002634+0.002802i,-0.033494+0.019945i,0.015168-0.010776i,-0.056478-0.020469i,0.011254-0.0142i,-0.016809-0.038705i,-0.022976-0.032584i,-0.079024-0.0085104i,-0.043811-0.0066899i,-0.048198-0.023063i,-0.01905-0.023213i,-0.012912-0.038071i,-0.0068632-0.00017987i,-0.017003-0.0036839i,-0.012572+0.022017i,-0.0019031+0.012998i,0.0017282+0.0035924i,0.012172+0.0058913i,-0.0018022-0.0087826i,-0.0030671+0.012431i,-0.0037837+0.0045906i,0.0030254-0.002951i,0.0052694+0.0043533i,0.0039493-0.0018851i,-0.021121+0.009659i,-0.01455+0.012641i,-0.0012252+0.0033115i,0.010323+0.0059557i,0.0029386+0.002776i,0.0049792-0.013566i,0.004554-0.0022853i,0.051199-0.014089i,-0.0026545+0.0098896i,0.0040609+0.0026443i,-0.0014632-0.0040208i,0.0078937+0.0013322i,0.0077041+0.019168i,0.0028801+0.0060642i,0.0056006-0.0048142i,0.0043826-0.0005592i,0.0092899+0.014751i,0.0036744+0.002637i,0.0089817-0.00053671i,-0.0049785+0.010389i,0.0001362+0.0013053i,0.0060629+0.0059733i,-0.04707-0.023723i,-0.022612+0.0083805i,0.0035945-0.00044834i,-0.0022695+0.0055134i,-0.036085-0.011369i,-0.0085138+0.0087155i,-0.016425+0.011725i
-0.048169+0.023619i,-0.023218+0.019712i,-0.03557+0.041693i,-0.030769+0.0086355i,-0.011089+0.023742i,-0.0021172+0.0087175i,-0.032267+0.014188i,-0.0092231+0.029465i,0.0016356+0.02097i,-0.0054708-0.0087128i,0.0018768+0.0025886i,0.0084854+0.001686i,0.005722+0.0017168i,-0.0003461+0.00093789i,5.0444e-05+0.0019662i,0.010723-0.0030213i,-0.0033495-0.0016089i,-0.0032171-0.00032129i,0.0039953-0.00034654i,-0.00028563-0.001135i,0.0048856-0.0041944i,0.0021019-0.0025992i,0.0023811-0.0022294i,-0.005875-0.015272i,-0.0031268+0.0019089i,-0.0017797-1.1046e-05i,-0.0037229-0.0029836i,-0.0029607-0.001542i,-0.00021094-0.0024015i,0.00019879-0.00076601i,-0.0021684+0.0041498i,0.001131+0.0015833i,0.0013159+0.0020775i,-0.00090419+0.00099719i,-0.0039976+0.0024782i,-0.0012039-0.0094288i,-0.0027927-0.00037218i,0.00077427+0.00045285i,-0.0024187+0.003619i,0.0025248+0.0057693i,-1.1291e-05-0.0017578i,-0.00021677-0.00237i,-0.0032789-0.0010245i,0.0040306+0.0020433i,-0.026263+0.024189i,0.014109-0.026178i,-0.058354-0.0087148i,0.011382-0.021773i,-0.018859-0.043365i,-0.027736-0.027238i,-0.072094+0.0061865i,-0.039623-0.0031987i,-0.04212-0.015387i,-0.021909-0.02367i,-0.026643-0.034058i,-0.0068622+0.0010946i,-0.02421-0.001302i,-0.002718+0.022215i,0.0017641+0.0094824i,-0.00029963-0.0023261i,0.0066477+0.0019088i,-0.0061932-0.0067693i,0.0011098+0.011662i,-0.0021477+0.0060317i,0.00028262-0.003125i,0.0027475+0.001545i,0.0040861-0.0012252i,-0.012711+0.015938i,-0.0055023+0.016481i,0.0014122+0.0036929i,0.012451+0.0003429i,0.0031436+0.0030636i,-0.0024202-0.011976i,0.0020817-0.0032757i,0.035318-0.031318i,0.0019954+0.011557i,0.0041968+0.0023744i,-0.0039974-0.0017174i,0.0073297-0.0032661i,0.015959+0.015005i,0.0029441+0.0038533i,0.0032528-0.0062251i,0.0031071-0.0022291i,0.015344+0.010781i,0.0041534+0.002953i,0.0065187-0.003957i,0.0012328+0.010949i,0.00034999+0.0010362i,0.0078185+0.0050418i,-0.048476-0.020052i,-0.016973+0.012042i,0.0016291-0.0032368i,-0.0059233+0.0036008i,-0.038266+0.0015893i,-0.0061644+0.007855i,-0.013644+0.014293i
