-0.030374-0.04139i,-0.021689-0.020239i,-0.012791-0.036862i,-0.030094-0.021079i,-0.022457-0.001078i,-0.014469-0.0067728i,-0.056096-0.061946i,-0.047898-0.018952i,-0.038231-0.014759i,0.011218+0.013034i,-0.0077408+0.0053913i,-0.020413+0.019344i,0.0024875+0.011971i,-0.0060763-0.0034817i,0.00021692+0.0013518i,-0.0018351+0.031332i,0.028459+0.028828i,0.0027134-0.0020953i,-0.0019536-0.006836i,0.0082685+0.0027163i,0.0028249+0.0011525i,8.4773e-05+0.0039866i,-0.00029037+0.00020049i,-0.037762-0.012205i,0.00029576-0.0079479i,0.0015145+0.0023433i,0.0066466+0.001682i,0.0020561+0.00054674i,0.0013493-0.00057716i,-0.00031563-0.00271i,0.001638-0.0026088i,-0.0026447-0.0060066i,-0.00063274-0.005045i,0.0030474-0.0007782i,0.00482-0.0027433i,0.0021347+0.031815i,0.0044778-0.0036657i,0.0032917-0.0017321i,0.0085286-0.0011395i,-0.0051746-0.0022833i,-0.00010504+0.0010148i,0.009766+0.00021348i,0.0043624-0.0022302i,-0.0018917+0.0096204i,-0.018026-0.0070747i,-0.018236+0.015869i,-0.0014465-0.062479i,-0.0045095-0.0272i,-0.025827-0.033128i,-0.010865-0.027036i,0.056589-0.018844i,0.018341-0.042882i,0.023271-0.048801i,0.0063411-0.055025i,0.026899-0.020756i,0.0084087+0.0062803i,0.025724-0.033623i,-0.0081015-0.0069334i,0.0035452-0.0047203i,-0.0044235-0.0073446i,-0.0016129-0.03396i,-0.018465+0.029829i,0.0086797-0.011758i,-0.0095111-0.0041496i,-0.0041652-0.0019259i,0.0010522-0.013352i,-0.011162+0.0040895i,0.0026594+0.010158i,-0.0051973+0.027554i,0.0044712+0.0025826i,-0.0054605-0.0017259i,-0.0018716-0.0024598i,-0.012337-0.0078327i,-0.00037942-0.0045619i,-0.036352+0.00048825i,0.0012886-0.010511i,-0.0084969-8.3009e-05i,-0.006952-0.0023819i,0.0053461+0.0013548i,-0.0083109-0.00061443i,0.002491+5.877e-05i,0.0035772+0.0074641i,0.0043639+0.00059041i,-0.0076013-0.013454i,0.0023478+0.0094842i,-0.015553+0.0046151i,0.0071727-0.00036354i,-0.02236-2.2547e-05i,-0.017988+0.0059356i,-0.0073874-0.066618i,0.0083353-0.012575i,-0.048572-0.023835i,-0.021489+0.00032791i,0.017621+0.01188i,-0.023529+0.014616i,-0.019232-0.0055462i
-0.037892-0.037872i,-0.022664-0.011295i,-0.017908-0.038047i,-0.032059-0.018236i,-0.020301-0.00096917i,-0.016482-0.0040498i,-0.06611-0.050551i,-0.049201-0.011385i,-0.038638-0.0064264i,0.011594+0.0089072i,-0.0094462+0.0048058i,-0.0099089+0.026833i,0.0068013+0.0086942i,-0.011119+0.00010045i,0.00030817+0.00096841i,0.0052827+0.026785i,0.030972+0.016975i,0.0032685-0.00081415i,-0.0044037-0.0030489i,0.0074586-0.0006552i,0.0009232+0.00058032i,0.00020353+0.0042534i,-0.00031922+0.00055644i,-0.026185+0.0091433i,-0.0020981-0.0068885i,0.003451+0.00056231i,0.005538+0.0023061i,0.0027386+0.0011289i,0.0018672-0.0012731i,-0.0013553-0.0023878i,0.0013239-0.0036626i,-0.0030866-0.004671i,-0.0017507-0.0048845i,0.0024409-0.0018687i,0.0048184-0.0029342i,0.012186+0.027122i,0.0036706-0.0052953i,0.0020431-0.0023979i,0.0098142-0.0046187i,-0.0036191-0.0016995i,0.00057148+0.0019286i,0.0084586-0.0012218i,0.0032529-0.002181i,-0.0015633+0.010637i,-0.016308-0.0074575i,-0.0056668+0.019157i,-0.012996-0.061777i,-0.015415-0.030255i,-0.02065-0.022449i,-0.0076934-0.016477i,0.054625-0.044856i,0.018428-0.061504i,0.024972-0.049157i,-0.0038297-0.059206i,0.014242-0.016722i,0.0074538-0.0017415i,0.011304-0.036563i,-0.0076834-0.00054044i,-0.00052327-0.013754i,-0.006155-0.0065141i,-0.024088-0.030122i,-0.00541+0.026378i,0.0026249-0.014465i,-0.011031+0.00020197i,-0.0032376-0.0001934i,-0.0052349-0.013405i,-0.011953+0.0092597i,0.0081405+0.010656i,0.012126+0.023252i,0.0043021-0.0015497i,-0.0053592+0.0015058i,-0.004591-0.0023353i,-0.016293+0.0016272i,-0.00054861-0.0032225i,-0.040875+0.0085343i,-0.0047376-0.0083035i,-0.0076369+0.0035366i,-0.0083311+0.0016827i,0.0035964-0.0041916i,-0.0072984+0.0015686i,0.0034887-0.0026911i,0.0025001+0.0032564i,0.0033919-0.00072283i,-0.014151-0.0054768i,0.0043325+0.0059489i,-0.011063+0.010343i,0.0057842-0.0035128i,-0.020098+0.0076189i,-0.016556+0.010665i,-0.018622-0.062521i,0.0033013-0.017667i,-0.054139-0.0088691i,-0.015441-0.0041721i,0.017732+0.0063278i,-0.017002+0.019905i,-0.026844-0.0077944i
-0.043694-0.032165i,-0.019721-0.010087i,-0.024643-0.039714i,-0.034056-0.012882i,-0.01967-0.0017511i,-0.017843-0.00099007i,-0.077553-0.034317i,-0.05146-0.0027449i,-0.038536+0.00051255i,0.011226+0.0056897i,-0.01027+0.009837i,0.0013027+0.025155i,0.0078204+0.0040631i,-0.011907+0.0055082i,0.00023099+0.00090638i,0.0095414+0.020684i,0.033906+0.0072328i,0.0049112-0.0014203i,-0.0035657-0.0003557i,0.0059061-0.0024246i,-0.00061625+0.0016328i,0.0017314+0.0051915i,-0.00019845+0.00074559i,-0.014029+0.017875i,-0.0032968-0.0055874i,0.0033655-0.002018i,0.0057967+0.00046762i,0.0040745-2.7561e-05i,0.00084388-0.0018449i,-0.0018308-0.001543i,-4.5583e-05-0.0044294i,-0.0043359-0.0034431i,-0.0031221-0.0042915i,0.001722-0.0032994i,0.0050249-0.0065597i,0.019222+0.018917i,0.0016924-0.0061383i,0.0011196-0.0026613i,0.0078096-0.0098011i,-0.0036941-0.00059544i,0.0017995+0.0021295i,0.0071698-0.0039195i,0.0031478-0.0024992i,0.0013974+0.011651i,-0.017121-0.0095508i,0.0051377+0.016365i,-0.023585-0.058448i,-0.024603-0.022418i,-0.0092105-0.021035i,-0.0011521-0.019591i,0.0452-0.06653i,0.00059728-0.077762i,0.029431-0.056203i,-0.015138-0.055961i,0.010047-0.014929i,0.0047216-0.0048237i,-0.00023662-0.037179i,0.0022205-0.00058417i,-0.0090378-0.013185i,-0.0056224-0.0087902i,-0.039584-0.017196i,0.0025831+0.02336i,-0.0039393-0.014623i,-0.0086875+0.0028279i,-0.0044936+0.00048821i,-0.011707-0.011414i,-0.0057705+0.015217i,0.014975+0.0043334i,0.021277+0.010643i,0.0032976-0.0036346i,-0.0043772+0.0019605i,-0.0063794-0.00063409i,-0.012605+0.011096i,-0.0041075-0.002675i,-0.037296+0.022416i,-0.0066649-0.0039329i,-0.0057639+0.0069795i,-0.007938+0.0079156i,-0.0017847-0.0049614i,-0.0069022+0.0028154i,0.0014783-0.0043474i,0.00059949+0.0026871i,0.0027938-0.0023723i,-0.0096379+0.0029048i,0.0042632+0.002314i,-0.0067397+0.011804i,0.0027327-0.0066351i,-0.015399+0.012823i,-0.011572+0.014616i,-0.024704-0.057452i,-0.0033202-0.017282i,-0.052712+0.0052379i,-0.021328-0.0097859i,0.016722-0.00042213i,-0.0068734+0.01922i,-0.029524-0.0018753i
-0.047987-0.025694i,-0.020441-0.011687i,-0.033973-0.040208i,-0.031815-0.0078634i,-0.02074-0.0025571i,-0.017638+0.0030725i,-0.080196-0.007576i,-0.050967+0.0096472i,-0.037237+0.0095522i,0.010981+0.0037086i,-0.005476+0.01403i,0.0069014+0.019704i,0.006599+0.00033103i,-0.0097115+0.011604i,-0.00012544+0.00087207i,0.010408+0.013476i,0.0338-0.0085456i,0.0042634-0.003772i,-0.0036528+0.0020195i,0.0041342-0.0032906i,0.00065048+0.0035488i,0.0044052+0.0050122i,-9.6891e-05+0.0010419i,-0.00036263+0.026749i,-0.0042338-0.0044774i,0.0016957-0.0034113i,0.0061966-0.00092198i,0.0033525-0.0019325i,0.00054342-0.0014325i,-0.0024574-0.00066186i,-0.0016925-0.004311i,-0.0047142-0.0019882i,-0.0045527-0.0031247i,0.00037303-0.0040971i,0.00061644-0.008401i,0.020128+0.010665i,-0.00040676-0.0064639i,0.00031978-0.0028951i,0.0027085-0.011787i,-0.0018375+0.00063431i,0.0028978+0.0012492i,0.0041585-0.0051177i,0.0022981-0.0030188i,0.0048265+0.009917i,-0.017211-0.010818i,0.014186+0.0097544i,-0.032661-0.051843i,-0.025328-0.011229i,-0.0055089-0.024759i,0.00014716-0.021242i,0.025653-0.0891i,-0.022675-0.078705i,0.024625-0.074411i,-0.022343-0.052073i,0.0066151-0.012872i,0.0010975-0.0076402i,-0.013231-0.033719i,0.0014724-0.0097073i,-0.012286-0.008742i,-0.011679-0.012496i,-0.04436+0.0039576i,0.012078+0.01718i,-0.0097066-0.012613i,-0.0064751+0.0037781i,-0.0043828+0.0031982i,-0.016736-0.0056136i,0.0027226+0.013303i,0.017136-0.003656i,0.022154-0.00083781i,0.0020517-0.0055089i,-0.0050798+0.0021436i,-0.0069044+0.0026459i,-0.007278+0.017398i,-0.0055246+0.0010246i,-0.030396+0.033585i,-0.006984-0.001618i,-0.0013313+0.0080702i,-0.001866+0.01237i,-0.00564-0.0019183i,-0.0046567+0.0039225i,-0.00020081-0.0049081i,-9.8036e-05+0.0034104i,0.00051807-0.0040936i,-0.0051752+0.0024552i,0.00066543-0.00084964i,-0.0037226+0.013854i,-0.0020733-0.0062802i,-0.0089613+0.016026i,-0.0063585+0.014047i,-0.029635-0.054466i,-0.0023726-0.014165i,-0.047433+0.020089i,-0.028987-0.0058467i,0.014626-0.0061673i,0.00092923+0.01408i,-0.027425+0.0037903i
-0.051417-0.01812i,-0.024467-0.010268i,-0.04666-0.036526i,-0.029753-0.0058782i,-0.023751-0.0022702i,-0.016193+0.0071084i,-0.065168+0.010746i,-0.043728+0.019698i,-0.029969+0.016182i,0.011595+0.0018756i,-0.00016451+0.012901i,0.010726+0.016214i,0.0039303-0.0014243i,-0.003341+0.014989i,-0.00033851+0.00079859i,0.0081784+0.011i,0.01987-0.021175i,0.0023951-0.0045684i,-0.0011698+0.0059916i,0.0028194-0.0036745i,0.0025827+0.0056602i,0.005665+0.0025855i,0.00014123+0.0016146i,0.020916+0.019146i,-0.0052002-0.0021545i,0.00016772-0.0034449i,0.0044324-0.0034412i,0.002771-0.0021484i,0.0003378-0.0012391i,-0.0022055+0.00093264i,-0.0030505-0.0033994i,-0.0049614-0.00026454i,-0.0044383-0.001444i,-0.0018475-0.0036025i,-0.0017802-0.0071025i,0.021018+0.0056711i,-0.0025574-0.0057663i,-0.001173-0.0027985i,-0.0016683-0.010576i,-0.0013998-0.0013466i,0.0029667+9.6731e-05i,0.0018079-0.0039316i,0.0018005-0.0030311i,0.0059382+0.0078173i,-0.021834-0.014653i,0.020721-0.0020243i,-0.036663-0.043069i,-0.021041-0.0023012i,-0.0032811-0.030113i,0.0021352-0.022432i,-0.0070702-0.10092i,-0.042085-0.070406i,0.0037354-0.085972i,-0.032375-0.044957i,0.0057362-0.0098354i,-0.0028749-0.0078163i,-0.023689-0.02456i,-0.0050944-0.012785i,-0.014738-0.0066278i,-0.021612-0.0075343i,-0.038166+0.020866i,0.014898+0.0067635i,-0.015246-0.0071327i,-0.0051656+0.0048256i,-0.0032687+0.0055938i,-0.017719+0.0038406i,0.0041343+0.0085951i,0.015603-0.010997i,0.020497-0.010963i,5.1538e-05-0.0072979i,-0.0067915+0.0050957i,-0.0044596+0.005839i,0.0008145+0.019163i,-0.004978+0.0048279i,-0.021947+0.043738i,-0.0082205-0.00011764i,0.0006542+0.0055083i,0.0049857+0.011336i,-0.0072748+0.0015168i,-0.0036692+0.0017872i,-0.0030969-0.0054408i,0.00021319+0.0053325i,-0.0037193-0.0040811i,-0.0057416+0.0004797i,-0.0019312+0.00082096i,0.0021407+0.01511i,-0.0051915-0.004213i,-0.0014436+0.01618i,-0.0043843+0.013676i,-0.037468-0.049394i,0.0013805-0.019549i,-0.0358+0.035907i,-0.031499+0.0044161i,0.0099458-0.011864i,0.0022248+0.0064867i,-0.025505+0.0061563i
-0.053072-0.011099i,-0.025058-0.0078765i,-0.057948-0.024814i,-0.029785-0.0049812i,-0.028134+0.0010373i,-0.012255+0.0098616i,-0.050859+0.016929i,-0.035389+0.025004i,-0.024013+0.018519i,0.010878-0.00058663i,0.0018022+0.011788i,0.014417+0.0094977i,0.0014018-0.0018263i,0.003806+0.013347i,-0.00063869+0.00094307i,0.0080152+0.010946i,0.0050899-0.021033i,0.0021217-0.0045653i,0.0031508+0.0060831i,0.0013246-0.0036303i,0.0062023+0.0032474i,0.0054169+0.00067842i,0.0012775+0.001968i,0.027277+0.0014586i,-0.0039938+0.0001012i,-0.0010295-0.003077i,0.00098122-0.0016845i,0.002454-0.0034162i,9.7252e-06-0.0015016i,-0.00048411+0.0020672i,-0.0036901-0.0021389i,-0.0042425+0.00072352i,-0.0052056+0.00051823i,-0.0024556-0.0018727i,-0.0028662-0.005993i,0.021837-0.00095586i,-0.00444-0.0043608i,-0.0030103-0.0023336i,-0.0053106-0.0093692i,-0.0037033-0.0020269i,0.0032029-0.0007321i,0.00072959-0.0024407i,0.00099301-0.0032463i,0.0069437+0.0061387i,-0.029859-0.013025i,0.012541-0.017909i,-0.034721-0.036133i,-0.015983+0.0032508i,-0.004603-0.03363i,0.0054875-0.02822i,-0.040189-0.090839i,-0.05892-0.055409i,-0.015614-0.084792i,-0.033196-0.028721i,0.011057-0.0050177i,-0.0053036-0.005905i,-0.026021-0.0099905i,-0.010821-0.012898i,-0.019873-0.0019708i,-0.020591+0.0023571i,-0.026886+0.034817i,0.012504-0.00040387i,-0.013735+0.002199i,-0.0050519+0.0051893i,0.00082312+0.0081432i,-0.012232+0.011018i,0.0054675+0.0097855i,0.011054-0.022852i,0.0079984-0.023943i,-0.0053975-0.0097964i,-0.0061606+0.0092292i,-0.0031706+0.0062569i,0.0086521+0.017255i,-0.0014948+0.0077745i,-0.0041632+0.057914i,-0.0093859+0.0012042i,0.00046439+0.0050664i,0.0089398+0.0064529i,-0.0058607+0.0082091i,-0.0051311+0.0029137i,-0.0076636-0.0038735i,0.0036669+0.0058825i,-0.005171+0.0020546i,-0.008374+0.0010822i,-0.00014629+0.004999i,0.0065341+0.011939i,-0.0069421-0.0029326i,0.0027703+0.011432i,0.00015167+0.014876i,-0.039962-0.038445i,-0.0072975-0.031962i,-0.011721+0.039512i,-0.026669+0.011519i,0.0072063-0.019448i,0.0010661+0.0002019i,-0.02285+0.010655i
-0.053868-0.003652i,-0.030204-0.0075685i,-0.064911-0.010127i,-0.029881-0.0019213i,-0.030335+0.0081899i,-0.0086077+0.010125i,-0.040666+0.0176i,-0.028097+0.027216i,-0.020879+0.020405i,0.010701-0.0035909i,0.0062715+0.011302i,0.01111+0.0021258i,-0.0011269-0.00021822i,0.0084647+0.0071836i,-0.00070385+0.0012641i,0.0090889+0.01083i,-0.0039516-0.01494i,0.00066319-0.0059795i,0.0048461+0.0029234i,0.00034147-0.0027323i,0.0067935+6.9203e-05i,0.0059474-0.00012041i,0.0023369+0.0014436i,0.021449-0.012318i,-0.0017711+0.00018208i,-0.0016833-0.0020876i,0.0022535-0.0034287i,0.0012879-0.0045188i,-0.00032124-0.00081535i,0.00083097+0.0012911i,-0.0039621-0.00093281i,-0.003438+0.0021001i,-0.0036414+0.0024056i,-0.002261-0.0013411i,-0.005016-0.005524i,0.018898-0.0080111i,-0.0048444-0.0019187i,-0.003411-0.00048584i,-0.0081896-0.0055507i,-0.0060431+0.00070725i,0.0024391-0.0018171i,0.0015879-0.0031431i,0.00026464-0.0033864i,0.0074682+0.0027347i,-0.035989-0.0064057i,-0.00074274-0.01703i,-0.036504-0.035721i,-0.0045913+0.0071164i,-0.0061751-0.035698i,-0.0017376-0.038101i,-0.059371-0.073111i,-0.062116-0.03304i,-0.037449-0.079144i,-0.026126-0.022636i,0.017706-0.017713i,-0.0061365-0.0035434i,-0.020713-0.0036366i,-0.020597-0.0095456i,-0.017192+0.0085078i,-0.017519+0.006516i,-0.00689+0.038394i,0.010289-0.0043787i,-0.011858+0.004318i,-0.0019508+0.0048524i,0.0031023+0.004987i,-0.005485+0.015032i,0.01091+0.006975i,-0.0054747-0.027166i,-0.010655-0.021519i,-0.0089425-0.0027397i,-0.0018883+0.011858i,0.00058425+0.0062189i,0.015469+0.009495i,0.0017321+0.0071599i,0.023902+0.055665i,-0.0068612+0.0052302i,0.00080762+0.0046964i,0.009653+0.00080182i,0.00050212+0.010842i,-0.0077582+0.004325i,-0.010168+0.0023516i,0.0068781+0.0051118i,-0.0026992+0.0054768i,-0.010346+0.0041659i,0.0024794+0.0050306i,0.0084418+0.0080814i,-0.0072939-3.8084e-05i,0.0059057+0.0072795i,0.0042655+0.011744i,-0.040632-0.03414i,-0.026613-0.03076i,0.004785+0.028364i,-0.023023+0.015411i,-0.0022527-0.025882i,-0.0031103-0.0037021i,-0.015173+0.010928i
-0.053876+0.0036243i,-0.034932+0.00063569i,-0.066278+0.0071019i,-0.027731+0.00022195i,-0.027142+0.015768i,-0.006582+0.0094919i,-0.034225+0.016637i,-0.021921+0.028147i,-0.015783+0.024025i,0.0091404-0.0066753i,0.010028+0.0053893i,0.0057767+0.0014705i,-0.0012519+0.0026981i,0.0062849+0.0030945i,-0.00061151+0.0013678i,0.012228+0.0088865i,-0.0072333-0.0076983i,-0.0021246-0.0055409i,0.0036849+0.0013457i,3.366e-05-0.0022597i,0.0048795-0.0016337i,0.0054973-0.0021459i,0.0028109+0.00051252i,0.011667-0.019424i,-0.0020679-0.0006113i,-0.0016042-0.0013366i,0.0013555-0.0050948i,-0.00040096-0.0039579i,0.00071683-0.00052931i,0.00082073+0.00040334i,-0.0042021+0.0001532i,-0.0018945+0.00299i,-0.0020967+0.0034065i,-0.0027127-0.00097217i,-0.0064421-0.0019454i,0.014017-0.012795i,-0.0039045-0.00042022i,-0.0023716+0.0010313i,-0.0078675-0.0026617i,-0.0048051+0.0038156i,0.0014084-0.0020768i,0.0014217-0.0034826i,-0.0011059-0.0034224i,0.0056541+0.00011375i,-0.038248+0.0031798i,-0.0026312-0.0073691i,-0.041435-0.033988i,0.005637+0.0024561i,-0.0090756-0.039779i,-0.010526-0.036141i,-0.074837-0.05526i,-0.05385-0.017874i,-0.058984-0.06086i,-0.022126-0.023445i,0.012601-0.029337i,-0.0061891-0.0023944i,-0.016451-0.0001866i,-0.027963+0.0017324i,-0.012604+0.011961i,-0.01304+0.011949i,0.010812+0.030813i,0.006516-0.008939i,-0.011572+0.0078281i,-0.0018967+0.0026002i,0.0048135+0.0038435i,0.0024703+0.013249i,0.011536-0.00088088i,-0.019783-0.017577i,-0.019844-0.0085211i,-0.0060233+0.0027621i,0.0040349+0.011482i,0.0031283+0.00494i,0.017743+0.00158i,0.0063966+0.0063387i,0.045539+0.038878i,-0.0046705+0.0049039i,0.0013127+0.0056796i,0.0069125-0.0041181i,0.0063425+0.0072793i,-0.0091077+0.0121i,-0.0074582+0.0091343i,0.0095453+0.0010195i,0.0027187+0.0056766i,-0.010433+0.0094235i,0.0038945+0.003055i,0.0093714+0.0050932i,-0.007537+0.0016288i,0.0059002+0.0022912i,0.0050681+0.0085401i,-0.041664-0.027542i,-0.036144-0.013747i,0.010524+0.013366i,-0.01118+0.019749i,-0.014017-0.027323i,-0.011345-0.0033092i,-0.014744+0.0056036i
-0.053011+0.011298i,-0.032915+0.010456i,-0.059867+0.023949i,-0.028035+0.00089316i,-0.022092+0.019914i,-0.0049573+0.0090859i,-0.030194+0.014088i,-0.017353+0.02778i,-0.0084809+0.025808i,0.0059124-0.0094388i,0.0066541+0.00017132i,0.0054124+0.0038418i,0.0008696+0.0045708i,0.0041854+0.00085685i,-0.00056425+0.0017377i,0.014418+0.0049999i,-0.0055323-0.0022481i,-0.0031992-0.0036252i,0.0035839+0.001259i,-0.00037587-0.0018966i,0.004835-0.00096993i,0.0038074-0.0034027i,0.0029273-0.00040402i,0.0029339-0.019132i,-0.0029092-0.00043228i,-0.001628-0.0012861i,-0.00067162-0.0055781i,-0.0014479-0.0033968i,0.00058365-0.0012385i,0.00093794+0.00015518i,-0.0039441+0.0012204i,-0.0002925+0.0031291i,-0.00061214+0.0030931i,-0.0027704+0.00044241i,-0.0053282-0.00053157i,0.0075505-0.015239i,-0.0029967+0.00018175i,-0.0011849+0.0015703i,-0.0088013-0.00020377i,-0.0027172+0.0051428i,0.00080439-0.0019459i,-0.00021313-0.0039122i,-0.0019264-0.0026937i,0.0030596+0.00017661i,-0.03683+0.013137i,0.0067441-0.0024609i,-0.047941-0.029442i,0.011608-0.0058384i,-0.014882-0.039293i,-0.015815-0.034507i,-0.08292-0.030397i,-0.047942-0.012423i,-0.060171-0.033871i,-0.022189-0.024106i,0.0013632-0.037114i,-0.0070661-0.0017315i,-0.014022-0.0020818i,-0.022811+0.016269i,-0.0073663+0.014697i,-0.0027753+0.012036i,0.015988+0.016346i,0.0016698-0.0096233i,-0.0087044+0.011911i,-0.0032409+0.003003i,0.0055022+4.3606e-05i,0.0058633+0.0086845i,0.0060219-0.0039984i,-0.024964-0.0035142i,-0.01957+0.0027776i,-0.0021254+0.0033277i,0.007118+0.0092044i,0.0029876+0.0033813i,0.01465-0.0093859i,0.0069519+0.00068907i,0.055223+0.014934i,-0.0056867+0.007094i,0.0038091+0.0044593i,0.0019936-0.0055981i,0.0073184+0.0034421i,-0.0026313+0.018456i,0.00053869+0.0094934i,0.0077487-0.0028512i,0.0051795+0.0017539i,-0.0058029+0.015698i,0.0029293+0.003359i,0.0091322+0.0026012i,-0.0086491+0.0043044i,0.0008372-0.00012202i,0.005187+0.0071209i,-0.039766-0.022419i,-0.031382+0.00010699i,0.0071716+0.0026518i,-0.0021328+0.01268i,-0.026758-0.022096i,-0.013554+0.0061136i,-0.017339+0.0081421i
-0.050756+0.018901i,-0.02739+0.015681i,-0.048515+0.03562i,-0.030212+0.0036047i,-0.016642+0.022695i,-0.0035561+0.0089061i,-0.030184+0.011884i,-0.014069+0.028482i,-0.0019105+0.024346i,0.0016821-0.010526i,0.0029069+0.00046348i,0.0066895+0.0035114i,0.0037005+0.0037911i,0.0019822+0.00033296i,-2.49e-05+0.002138i,0.013321-0.00019482i,-0.0032859-0.0013426i,-0.0029164-0.0020883i,0.0040762+0.00027118i,-0.00045539-0.0013615i,0.0057672-0.0025645i,0.0022905-0.0029938i,0.0027682-0.001261i,-0.0028441-0.016833i,-0.002751+0.00071152i,-0.0018212-0.00068917i,-0.0027365-0.0049215i,-0.002415-0.0027819i,0.00020521-0.0014963i,0.00088455-0.00054001i,-0.0034591+0.0024393i,0.0012304+0.0023214i,0.0004899+0.0026238i,-0.0018602+0.0010464i,-0.0055948+0.0010463i,0.001656-0.013405i,-0.0027173-0.0002092i,-0.00013977+0.0014215i,-0.0068889+0.0037445i,-0.00044704+0.005702i,0.00039837-0.0019138i,-0.00054992-0.0031613i,-0.0025273-0.0019827i,0.0031901+0.0023305i,-0.030668+0.021278i,0.018138-0.010872i,-0.054417-0.020796i,0.012244-0.014705i,-0.016314-0.03873i,-0.022185-0.03208i,-0.078696-0.0082157i,-0.043729-0.0063636i,-0.050653-0.019762i,-0.022826-0.02552i,-0.01285-0.038532i,-0.0072568+4.8442e-05i,-0.017054-0.0035693i,-0.012419+0.022178i,-0.0016115+0.013617i,0.0020502+0.0040179i,0.012293+0.0054495i,-0.0028253-0.008604i,-0.0034148+0.014021i,-0.0032402+0.0047516i,0.0030607-0.0029103i,0.0061183+0.0042147i,0.0038627-0.0019957i,-0.0214+0.0097964i,-0.013836+0.011232i,-0.0012585+0.0036778i,0.010643+0.0061028i,0.0029032+0.0028386i,0.0053372-0.014313i,0.0043441-0.0023665i,0.051975-0.0072027i,-0.0025012+0.010555i,0.0037128+0.002824i,-0.001536-0.0039821i,0.0073916+0.0015517i,0.0065261+0.020047i,0.0030342+0.0062398i,0.0059827-0.0046973i,0.0044561-0.00064455i,0.0029201+0.01719i,0.0039242+0.003036i,0.0094022-0.00082649i,-0.0056389+0.0099506i,-0.00029608+0.0016542i,0.0055985+0.0064212i,-0.039113-0.021618i,-0.024502+0.0053714i,0.0038413-0.0014882i,-0.0026935+0.004965i,-0.035816-0.011734i,-0.0088744+0.0089687i,-0.015606+0.01075i
-0.047155+0.02602i,-0.021583+0.018357i,-0.035339+0.041777i,-0.030153+0.0089422i,-0.010508+0.023267i,-0.0021719+0.0085161i,-0.031474+0.012873i,-0.0098613+0.029774i,0.0031555+0.021714i,-0.0023841-0.009828i,0.0020072+0.0018645i,0.0081778+0.0020089i,0.0047787+0.0021775i,-0.00020288+0.0015138i,0.00034214+0.0021568i,0.010218-0.0033554i,-0.0036649-0.0022529i,-0.0028782-0.001539i,0.0040757-0.0007503i,-0.00035505-0.00094696i,0.0049139-0.004358i,0.0022588-0.0024197i,0.0022826-0.0020421i,-0.0072281-0.014741i,-0.0021729+0.0018639i,-0.001709-0.00019247i,-0.0041364-0.0034777i,-0.002983-0.0014703i,-0.00012071-0.0016236i,0.00018555-0.00095824i,-0.0024226+0.0034987i,0.0011935+0.0013092i,0.0014729+0.0017719i,-0.000976+0.0010197i,-0.004584+0.0023183i,-0.00097758-0.010006i,-0.0028938+0.00019722i,0.00069809+0.00057766i,-0.0036552+0.004287i,0.0023215+0.0050216i,-1.8669e-05-0.0018348i,-0.00047429-0.0027732i,-0.0030999-0.0013794i,0.0047385+0.0013275i,-0.023034+0.024533i,0.017686-0.027056i,-0.0572-0.0090294i,0.01208-0.022528i,-0.018102-0.043618i,-0.026881-0.027113i,-0.071508+0.0064301i,-0.039221-0.0030294i,-0.043412-0.012001i,-0.026239-0.025443i,-0.027145-0.035186i,-0.007284+0.0014777i,-0.024234-0.0013002i,-0.0026051+0.02231i,0.0017476+0.010201i,0.00026078-0.0022237i,0.0064328+0.0017446i,-0.0069039-0.0078655i,0.0016598+0.013005i,-0.0013544+0.0057375i,0.00017259-0.0030539i,0.0033829+0.0010623i,0.0041787-0.0014187i,-0.012915+0.016362i,-0.0062171+0.015458i,0.0015066+0.0040064i,0.012638+0.0003503i,0.0031705+0.0033144i,-0.0027921-0.012692i,0.0020265-0.0030663i,0.0418-0.023595i,0.0025094+0.012106i,0.0038969+0.0027333i,-0.0041004-0.0016028i,0.0073582-0.002642i,0.01493+0.016588i,0.0033216+0.0038662i,0.0034928-0.0063253i,0.0032414-0.0023728i,0.0099388+0.013846i,0.0044565+0.0032822i,0.0065451-0.0044578i,0.00033538+0.011039i,0.00030406+0.0014944i,0.007416+0.0055278i,-0.042246-0.018899i,-0.019423+0.009447i,0.0012119-0.0043069i,-0.0061512+0.0034987i,-0.03883+0.00081817i,-0.0061694+0.0080176i,-0.012975+0.012856i
