-0.0085676-0.039433i,-0.010764-0.044138i,0.0030944-0.04617i,-0.026911-0.027292i,-0.020551+0.014109i,-0.032566-0.033282i,-0.060986-0.062474i,-0.022022-0.072308i,-0.042215-0.065692i,0.00056218+0.016417i,-0.0066893+0.010326i,-0.015035+0.013978i,0.00052103+0.016509i,-0.0040764-0.0031871i,0.00019981+0.007003i,0.00067055+0.039602i,0.017536+0.057297i,0.0009184-0.00052357i,-0.0050867-0.0085669i,0.009386+0.0076759i,0.0015277+0.00044223i,-0.0016039+0.0039853i,-5.6155e-05-0.0013853i,-0.034999-0.0088082i,-0.0019168-0.0071618i,-6.6075e-05+0.0049777i,0.0042094-0.00069022i,2.0695e-05+0.0011214i,-2.8868e-05-0.00090111i,-0.00017329-0.002912i,-0.001201-0.0058645i,-0.0024403-0.0043798i,-0.000762-0.0079365i,0.0032098-0.0010092i,0.0031524-0.0026223i,-0.0031311+0.034464i,0.0065053-0.0041699i,0.0039014-0.002461i,0.0052392+0.0002722i,-0.034801-0.0207i,-2.5528e-05+0.00015489i,0.01353-0.00073659i,0.0062104-0.00059962i,-0.0034104+0.0038214i,0.0027868+0.0018295i,-0.0038816+0.0093715i,0.016371-0.087661i,-0.005507-0.048453i,-0.024145-0.039032i,-0.018767-0.041473i,0.064625-0.014566i,0.028225-0.060738i,0.039217-0.044434i,0.029902-0.05514i,0.019528-0.015169i,0.0082662+0.010022i,0.026688-0.034615i,-0.0074068-0.0054062i,0.0020455-0.0027196i,-0.0044327-0.006251i,0.0014787-0.031984i,-0.024454+0.030775i,0.0078449-0.010391i,-0.010974-0.0021113i,-0.0053496-0.0013519i,-0.00072924-0.014053i,-0.0098883+0.0041504i,0.0034136+0.007846i,-0.012154+0.031183i,0.0059992+0.0077327i,-0.0055401-0.0018533i,-0.0017629-0.0020767i,-0.01115-0.0086437i,0.00052475-0.0034239i,-0.037215+0.0034897i,0.0024363-0.012344i,-0.0096164-0.0024397i,-0.0064518-0.0032197i,0.0062707+0.0017907i,-0.0093602+0.0015311i,0.001127+0.00081938i,0.0052418+0.0093475i,0.0046147+0.00075653i,-0.0087035-0.010419i,0.0027062+0.0082762i,-0.019954+0.0070915i,0.0067909+0.0034022i,-0.028308-0.0086021i,-0.034523+0.0025405i,0.024564-0.075773i,0.012346-0.0094601i,-0.043342-0.028192i,-0.022987-0.0040904i,0.01794+0.012514i,-0.026717+0.011741i,-0.012371-0.008885i
-0.016639-0.03777i,-0.017312-0.03785i,-0.0039063-0.05033i,-0.028774-0.024761i,-0.010244+0.011973i,-0.040567-0.025987i,-0.068604-0.047742i,-0.031105-0.069516i,-0.043367-0.044882i,0.0034587+0.014943i,-0.0063581+0.0082849i,-0.0069793+0.020109i,0.0096168+0.013087i,-0.0082514+2.1132e-05i,0.0012973+0.0064492i,0.0098652+0.032783i,0.032433+0.044439i,0.0022102+0.0019329i,-0.0083976-0.0032586i,0.0089941+0.00053002i,0.00030526+0.0015771i,-0.0022451+0.0041128i,-0.00064444-4.539e-05i,-0.023924+0.010067i,-0.004479-0.0048717i,0.0034056+0.0026618i,0.0034185-0.00024248i,0.00065631+0.002865i,0.0013659-0.00097912i,-0.0015828-0.0027324i,-0.0017499-0.0045114i,-0.0028381-0.0036631i,-0.0029237-0.0075576i,0.0024745-0.0030826i,0.0021765-0.0020376i,0.0092692+0.032581i,0.005576-0.0067191i,0.0020481-0.0036163i,0.006947-0.0010416i,-0.010862-0.00064591i,0.00014428+0.0014779i,0.0074335-0.0030971i,0.004496-0.00042837i,-0.0043921+0.0049172i,0.0099087+0.00030504i,0.007984+0.012215i,0.00053846-0.090613i,-0.019298-0.050873i,-0.01839-0.032132i,-0.01896-0.028286i,0.068887-0.043144i,0.026642-0.08105i,0.041985-0.045474i,0.020544-0.064232i,0.0089641-0.0095105i,0.0081187+0.00029078i,0.012588-0.035864i,-0.0066726+0.00034762i,0.00060274-0.011131i,-0.0056635-0.0068452i,-0.021051-0.03344i,-0.0096104+0.030004i,0.0023938-0.012333i,-0.01181+0.0009089i,-0.0045029+0.00059382i,-0.0073886-0.013465i,-0.010468+0.0085185i,0.0074387+0.0087821i,0.0093313+0.031226i,0.0082196+0.0022778i,-0.0047627+0.0012494i,-0.0041103-0.0018154i,-0.015786+0.0013809i,0.00043565-0.0027399i,-0.039474+0.0084867i,-0.0045587-0.010636i,-0.009968+0.0021875i,-0.0081658-4.5429e-05i,0.0042744-0.0039418i,-0.0083111+0.0041735i,0.0021078-0.00088522i,0.0048429+0.0036483i,0.0032204-0.00061211i,-0.012413-0.0023979i,0.0039958+0.0050909i,-0.012674+0.014144i,0.006988-0.0010027i,-0.028958+0.0018731i,-0.032877+0.012935i,0.010334-0.08226i,0.0089214-0.015909i,-0.050242-0.015133i,-0.01675-0.0062925i,0.018822+0.0056955i,-0.021231+0.018331i,-0.018003-0.014384i
-0.021681-0.033308i,-0.019662-0.03644i,-0.012924-0.054169i,-0.030691-0.022866i,-0.0034427+0.005294i,-0.045992-0.017224i,-0.078237-0.032295i,-0.045174-0.065856i,-0.046453-0.036598i,0.0056667+0.012875i,-0.0062721+0.01187i,0.0025021+0.018936i,0.012872+0.0051286i,-0.008646+0.0044963i,0.0027853+0.0061204i,0.015776+0.025067i,0.042176+0.028934i,0.0054023+0.001703i,-0.0073705+0.0016191i,0.0086563-0.0023205i,9.3111e-05+0.0024915i,0.00038427+0.0055421i,-0.0001077+0.00061282i,-0.012637+0.017432i,-0.0045477-0.0023568i,0.0043634+7.96e-05i,0.0030156-0.0014213i,0.0033898+0.0032243i,0.00016065-0.0022311i,-0.0019588-0.0021388i,-0.0022908-0.0041619i,-0.0038579-0.002768i,-0.0053391-0.0060666i,0.00091355-0.0043897i,0.0039204-0.0046925i,0.019102+0.024091i,0.0023133-0.0078342i,0.00093423-0.0037503i,0.0070525-0.0057075i,-0.0098956+0.0012791i,0.00090842+0.0020395i,0.0060649-0.004689i,0.0057737+9.4861e-05i,-0.0030055+0.0069868i,0.014559-0.0076514i,0.019789+0.0074694i,-0.014699-0.090124i,-0.031949-0.042561i,-0.010637-0.03599i,-0.011597-0.027189i,0.062671-0.07061i,0.0079057-0.10071i,0.047646-0.052301i,0.0082978-0.066195i,0.0076016-0.0071938i,0.0052254-0.0036511i,-0.0036055-0.036394i,0.0027384+5.1743e-05i,-0.0097081-0.013398i,-0.005932-0.0092044i,-0.040303-0.022266i,-0.00091931+0.027853i,-0.0035447-0.011858i,-0.00964+0.0050216i,-0.0055528+0.0012855i,-0.014796-0.010876i,-0.0057338+0.01471i,0.013938+0.0039403i,0.022102+0.016562i,0.0073584-0.00053776i,-0.0040896+0.0009072i,-0.005324-0.00036408i,-0.012955+0.010723i,-0.002533-0.0029381i,-0.034657+0.019229i,-0.0071903-0.0058857i,-0.0081149+0.0067484i,-0.0086486+0.0066665i,-0.00082706-0.0052216i,-0.0066045+0.0060572i,0.0010697-0.0023272i,0.0028168+0.0023349i,0.0029127-0.0017173i,-0.0088186+0.0045877i,0.0039903+0.0024648i,-0.007629+0.016088i,0.0036788-0.0043754i,-0.024803+0.010393i,-0.026322+0.02092i,0.00087254-0.081132i,0.0021765-0.017641i,-0.049714-0.0022567i,-0.021784-0.013009i,0.017966-0.0024294i,-0.010962+0.019822i,-0.021722-0.011638i
-0.024857-0.029037i,-0.024527-0.037587i,-0.02315-0.056501i,-0.034269-0.0094325i,-0.0019898-0.0044896i,-0.048074-0.0064368i,-0.082219-0.0053752i,-0.059998-0.052289i,-0.052551-0.024935i,0.0078762+0.01168i,-0.0017981+0.014645i,0.0071701+0.01366i,0.012127-0.0031929i,-0.006672+0.0097766i,0.0033255+0.0043928i,0.017736+0.015111i,0.047322+0.010044i,0.0066003-0.0015757i,-0.0060501+0.0056364i,0.0061086-0.0043903i,0.0016273+0.0040921i,0.0037947+0.0059822i,-0.00017477+0.0010775i,-0.0010589+0.022896i,-0.0038034-0.0011204i,0.0036863-0.0024545i,0.0025409-0.0017893i,0.005154+0.0004773i,-0.00065957-0.00080077i,-0.0034051-0.001724i,-0.0028257-0.0033831i,-0.0042052-0.0015642i,-0.0072472-0.0032477i,-0.0008363-0.0048373i,-0.00046037-0.0072598i,0.021503+0.014666i,-0.0005802-0.008006i,-0.00017162-0.0040966i,0.0033867-0.0088878i,-0.0068331+0.0057014i,0.0019843+0.0016052i,0.002873-0.0063256i,0.0059785-0.002043i,-0.00039436+0.0069681i,0.016738-0.014222i,0.028916-0.0020668i,-0.028923-0.084815i,-0.036287-0.031292i,-0.01161-0.040481i,-0.010216-0.029758i,0.045782-0.1005i,-0.020764-0.10564i,0.047103-0.071677i,-0.0013826-0.066078i,0.0067549-0.005841i,0.0006073-0.0065448i,-0.013409-0.034276i,0.0028767-0.0094171i,-0.013692-0.0077622i,-0.012041-0.012396i,-0.048163-0.00068473i,0.010058+0.022788i,-0.0080742-0.009544i,-0.0062767+0.0058845i,-0.0049506+0.0042132i,-0.02001-0.0036658i,0.002862+0.014066i,0.01673-0.0030009i,0.023446+0.005652i,0.0075275-0.0028375i,-0.0047229+0.0008944i,-0.0060598+0.0028311i,-0.0075453+0.017106i,-0.0042812+4.5631e-05i,-0.029952+0.025658i,-0.0076157-0.0031189i,-0.0029901+0.0094796i,-0.0032446+0.012022i,-0.005287-0.0027372i,-0.0025159+0.0055132i,0.00059867-0.0024969i,0.0018571+0.0023091i,0.00094744-0.0039604i,-0.0026086+0.0042569i,0.00085298-0.00077882i,-0.0035585+0.019699i,-0.00062006-0.0039321i,-0.018378+0.01674i,-0.017989+0.023708i,-0.0075036-0.08067i,0.0028622-0.015053i,-0.045976+0.011663i,-0.029557-0.009929i,0.014551-0.008484i,-0.0019347+0.016276i,-0.022876-0.0063975i
-0.02714-0.024694i,-0.032502-0.035562i,-0.03752-0.057297i,-0.029754-0.0085002i,-0.0079777-0.013336i,-0.047424+0.0040294i,-0.066068+0.015356i,-0.062667-0.035669i,-0.047901-0.013984i,0.010025+0.0097639i,0.0036638+0.012625i,0.0092561+0.010204i,0.0066856-0.0087528i,-8.2131e-05+0.012078i,0.002983+0.0028777i,0.014949+0.010363i,0.041812-0.013777i,0.0055411-0.004503i,-0.0014738+0.010484i,0.0036304-0.0051683i,0.0031458+0.0044337i,0.0060337+0.0039795i,8.0077e-05+0.0023751i,0.012727+0.017706i,-0.0040612+0.00039159i,0.0024207-0.0040291i,0.0014407-0.0022632i,0.0022066+0.0014906i,9.6048e-05-3.945e-06i,-0.0044986+0.00060023i,-0.0035462-0.0023505i,-0.0043477+1.3291e-05i,-0.0063362-0.00028082i,-0.0036174-0.0045344i,-0.0033654-0.0051141i,0.023228+0.0095208i,-0.0032245-0.0072888i,-0.0022603-0.0039253i,-0.00066105-0.0083922i,-0.0024415+0.0022641i,0.0019964+0.00079979i,-0.00062182-0.0049972i,0.0054961-0.0027526i,0.00051051+0.0058643i,0.016075-0.026537i,0.034698-0.016719i,-0.037526-0.076513i,-0.035347-0.02133i,-0.014555-0.04385i,-0.01077-0.030766i,0.010995-0.12128i,-0.046168-0.098155i,0.030416-0.088927i,-0.013726-0.060971i,0.0075648-0.0040148i,-0.0039153-0.0065882i,-0.023371-0.024816i,-0.0044487-0.013328i,-0.015944-0.0050643i,-0.02176-0.0079771i,-0.044488+0.018372i,0.014497+0.011377i,-0.012029-0.0047363i,-0.0043304+0.006243i,-0.0033026+0.0069741i,-0.020373+0.007516i,0.0042579+0.008962i,0.016017-0.010278i,0.024513-0.0075216i,0.0058105-0.0069228i,-0.0066821+0.003333i,-0.0037299+0.0064675i,0.0007943+0.018867i,-0.0043763+0.0037309i,-0.020937+0.039443i,-0.0091116-0.0019403i,0.00088622+0.0072511i,0.0035081+0.011624i,-0.0071578+0.001965i,-0.0030995+0.0023127i,-0.0012168-0.0036507i,0.0011989+0.0039101i,-0.0040999-0.0050381i,-0.0017767+0.001505i,-0.0026392+0.0014278i,0.0037929+0.021288i,-0.0027929-0.0027466i,-0.0098882+0.019442i,-0.013203+0.024523i,-0.01897-0.078665i,0.007115-0.020983i,-0.037246+0.025729i,-0.033451-0.00067614i,0.009776-0.012871i,0.00060648+0.0085498i,-0.021319-0.0049846i
-0.027578-0.021563i,-0.03726-0.032165i,-0.054002-0.050621i,-0.029395-0.0079884i,-0.02039-0.015247i,-0.042557+0.012926i,-0.048816+0.021497i,-0.061264-0.025063i,-0.044963-0.010327i,0.010979+0.0072877i,0.0053832+0.010518i,0.010894+0.0046503i,-7.8728e-05-0.011033i,0.0049065+0.0098067i,0.002362+0.0020783i,0.01369+0.0082455i,0.023884-0.02549i,0.0045989-0.0060338i,0.0052991+0.0099505i,0.0012917-0.0044722i,0.0054588+0.0025348i,0.0065671+0.0012434i,0.0023807+0.0030667i,0.026264+0.0069957i,-0.0020419+0.0025346i,0.00025147-0.0053703i,-2.9083e-05-0.0007642i,0.0048374-0.0019264i,0.00041024-0.00092174i,-0.0027487+0.0035722i,-0.0032393-0.0016895i,-0.0043361+0.0010487i,-0.0067219+0.0020113i,-0.0055989-0.0011018i,-0.0036142-0.0030849i,0.025784+0.0013935i,-0.0055891-0.0056247i,-0.0047503-0.0033498i,-0.0033235-0.0079084i,-0.0051243-0.0011999i,0.0023909+0.00046508i,-0.0021568-0.0024287i,0.0043897-0.0043282i,0.0012529+0.0054329i,0.0066567-0.035527i,0.024961-0.036166i,-0.040338-0.069453i,-0.033868-0.014277i,-0.018989-0.04443i,-0.010512-0.034805i,-0.029163-0.1185i,-0.068181-0.082502i,0.011052-0.094371i,-0.016432-0.047302i,0.013759+0.00055878i,-0.0069774-0.0040174i,-0.025191-0.010591i,-0.010152-0.013022i,-0.020519-0.00053801i,-0.02125+0.0012818i,-0.036225+0.03452i,0.012763+0.0036874i,-0.0094291+0.002488i,-0.0048121+0.0062414i,0.0016839+0.0093696i,-0.013844+0.014682i,0.0059942+0.0097425i,0.012197-0.022116i,0.014807-0.021888i,-0.0014747-0.011108i,-0.0071735+0.0079483i,-0.0016709+0.0073523i,0.0087049+0.016963i,-0.0014145+0.0064242i,-0.0027991+0.053472i,-0.011627+0.001457i,0.0014372+0.0062523i,0.0079839+0.0066634i,-0.0044626+0.0074489i,-0.0042258+0.004033i,-0.0047912-0.0028153i,0.0043864+0.004941i,-0.0055036+0.003274i,-0.0044974+0.0010893i,-0.0007223+0.0070738i,0.01061+0.016774i,-0.0045404-0.0016699i,-0.0036868+0.017013i,-0.0045513+0.027875i,-0.0251-0.071276i,-0.00098519-0.034689i,-0.016795+0.03122i,-0.030504+0.0078544i,0.0083027-0.019896i,0.00039331+0.0023085i,-0.021296-0.00089544i
-0.028319-0.019312i,-0.04603-0.029941i,-0.068164-0.038154i,-0.02828-0.0036073i,-0.030347-0.0065665i,-0.036573+0.018518i,-0.037188+0.020012i,-0.06-0.01816i,-0.047698-0.0062155i,0.012893+0.0036636i,0.0090987+0.009749i,0.0081103-0.0011697i,-0.008246-0.0083266i,0.009072+0.0043908i,0.002078+0.00148i,0.013431+0.0073387i,0.0072669-0.024959i,0.0021482-0.0082813i,0.00837+0.004595i,-0.00015705-0.0029945i,0.0062011-0.00064831i,0.0074577+0.00057542i,0.0043719+0.0015319i,0.023561-0.0088071i,0.0016712+0.0018543i,-0.00062679-0.0030188i,0.0011661-0.0018195i,0.0058341-0.0054189i,-7.8331e-05-0.00061049i,-4.1211e-05+0.0037867i,-0.0035233-0.0014792i,-0.0033971+0.0025324i,-0.0046847+0.0045173i,-0.0041093+0.0016207i,-0.0043527-0.0029196i,0.02305-0.0084657i,-0.0063991-0.0023906i,-0.0055858-0.0010113i,-0.0071621-0.0049305i,-0.010246+0.0025752i,0.0025071+9.9505e-05i,-0.0007832-0.0018131i,0.00258-0.005335i,0.0020383+0.0035339i,-0.0054497-0.038368i,0.0082032-0.039261i,-0.047166-0.069574i,-0.026372-0.0083739i,-0.022534-0.043514i,-0.018633-0.041708i,-0.057445-0.10425i,-0.077057-0.057258i,-0.012333-0.09684i,-0.010643-0.043283i,0.021301-0.013845i,-0.0079044-0.00025962i,-0.021748-0.0060964i,-0.019265-0.010097i,-0.019366+0.0096717i,-0.018841+0.0057512i,-0.01652+0.044737i,0.011195-0.00070115i,-0.0077127+0.0025527i,-0.0013683+0.0058356i,0.0045065+0.0058306i,-0.0068811+0.019509i,0.010497+0.0072065i,-0.0034274-0.028128i,-0.0038568-0.022964i,-0.0058042-0.004492i,-0.00323+0.012024i,0.0021682+0.0062771i,0.015069+0.008655i,0.0024424+0.005335i,0.023582+0.0515i,-0.0078829+0.0075538i,0.0025514+0.0048227i,0.0085489+0.0016089i,0.00051102+0.0093691i,-0.0055975+0.0061784i,-0.0061658+0.0017637i,0.0077701+0.0045166i,-0.0023246+0.006455i,-0.0060522+0.0034332i,0.0032813+0.0072157i,0.013107+0.010333i,-0.0050584+0.0013281i,0.0018619+0.01452i,0.0039905+0.025064i,-0.030658-0.070768i,-0.020079-0.036467i,-0.0022172+0.022939i,-0.026881+0.013135i,-0.0039914-0.02581i,-0.0032084-0.0017222i,-0.014829+0.0012586i
-0.030324-0.017322i,-0.054698-0.020573i,-0.077865-0.020455i,-0.025865-0.0022327i,-0.030677+0.0049784i,-0.031839+0.022728i,-0.031277+0.017105i,-0.059558-0.012242i,-0.048148+0.004219i,0.013094-0.00034868i,0.012568+0.0032585i,0.0026553-0.0014483i,-0.011306-0.0016464i,0.0062889-0.00039963i,0.0013287+0.00084736i,0.016362+0.0044901i,-0.0025152-0.017279i,-0.002325-0.0082523i,0.0071043+0.0010382i,-0.00050983-0.0019146i,0.0035186-0.0027534i,0.0073787-0.0024673i,0.0040447-0.00039334i,0.01459-0.017526i,0.0015769-0.00084428i,-0.00055245-0.0028315i,0.00060517-0.0030274i,0.0010176-0.0049032i,0.0015023+2.4891e-05i,0.00082965+0.0028314i,-0.0040297-0.0013092i,-0.0017534+0.0031625i,-0.0022302+0.0060584i,-0.0026844+0.0012935i,-0.0054741+0.00022864i,0.016686-0.014843i,-0.0050256-0.00011813i,-0.0046728+0.0017176i,-0.0064049-0.0011829i,-0.0076887+0.0087496i,0.0024211-0.00023146i,-0.00077174-0.0016759i,0.0002355-0.0051024i,0.00095903+0.0017407i,-0.016101-0.034028i,0.0018257-0.030155i,-0.057862-0.066749i,-0.019346-0.010563i,-0.02687-0.042296i,-0.030116-0.039114i,-0.081515-0.086952i,-0.072956-0.037284i,-0.039553-0.086908i,-0.0080416-0.046837i,0.016736-0.025183i,-0.0060573+0.0022321i,-0.02072+7.9716e-05i,-0.026246+0.00054626i,-0.011757+0.016559i,-0.014953+0.011989i,0.0042343+0.040735i,0.0086787-0.0058691i,-0.0083267+0.0039598i,-0.0012191+0.003647i,0.0069203+0.0043327i,0.0023939+0.017111i,0.012682-0.00027944i,-0.019424-0.019316i,-0.014904-0.013778i,-0.004494-0.00038579i,0.0037264+0.012072i,0.0036251+0.0042409i,0.016974+0.0015467i,0.0052065+0.004888i,0.044519+0.037928i,-0.0038284+0.0067846i,0.0022808+0.0045632i,0.0068875-0.0033681i,0.0056562+0.0065983i,-0.0035906+0.01195i,-0.0036356+0.0071192i,0.01044+0.00034665i,0.0031189+0.0062544i,-0.0056626+0.0072219i,0.0056742+0.0041528i,0.013665+0.0051462i,-0.0044707+0.0019735i,0.0046681+0.009885i,0.0092222+0.019833i,-0.038916-0.068477i,-0.031807-0.023607i,0.0045386+0.011305i,-0.014722+0.018803i,-0.013506-0.026047i,-0.01065-0.0021344i,-0.014683-0.0042274i
-0.032976-0.01376i,-0.057337-0.0079058i,-0.079604+0.0015493i,-0.025604-0.0020274i,-0.025638+0.012538i,-0.026165+0.026343i,-0.028439+0.013945i,-0.06093-0.0074573i,-0.041305+0.014065i,0.011683-0.0044621i,0.0095291-0.002061i,0.0015309+0.0015941i,-0.010078+0.0045675i,0.0032713-0.0026031i,0.00035078+0.0013016i,0.017211-0.0011058i,-0.0044408-0.009229i,-0.0051538-0.0056715i,0.0060077-0.00022726i,-0.00048118-0.0010432i,0.0024564-0.0015745i,0.0051941-0.0039196i,0.003843-0.001092i,0.0058195-0.018985i,-0.00026666-0.0022793i,-0.0014124-0.0037199i,-0.00018775-0.0032459i,-0.00086509-0.0052724i,0.0014555-0.0016051i,0.0019725+0.002471i,-0.004269-0.000861i,-0.00048241+0.0031794i,0.00038209+0.0046267i,-0.0029317+0.0024591i,-0.0034578+0.0012581i,0.0076083-0.019035i,-0.0035038+0.00026782i,-0.00257+0.0030678i,-0.0072719+0.00015947i,-0.0042406+0.010942i,0.0023027-0.00027653i,-0.0014868-0.0011182i,-0.00045163-0.0049416i,-0.0017756+0.0018767i,-0.022494-0.0269i,0.0079522-0.025342i,-0.070828-0.060295i,-0.017224-0.01459i,-0.030635-0.039798i,-0.036646-0.031606i,-0.10014-0.059027i,-0.069606-0.028394i,-0.050436-0.060899i,-0.010299-0.049631i,0.0069136-0.034484i,-0.004592+0.0023906i,-0.017155+0.0011115i,-0.021709+0.014453i,-0.0042385+0.016093i,-0.0037653+0.0139i,0.01428+0.026313i,0.0048135-0.0084541i,-0.0077922+0.0071609i,-0.0018566+0.0036061i,0.0069495-0.00066993i,0.0070253+0.013433i,0.0069324-0.0036796i,-0.025645-0.0050037i,-0.017976-0.003403i,-0.0018904+0.0005661i,0.006129+0.010097i,0.0028253+0.0026719i,0.014655-0.0095237i,0.006496+0.00023711i,0.054175+0.013327i,-0.0038005+0.0087767i,0.0042837+0.003393i,0.0026089-0.0056334i,0.0066357+0.002998i,0.0019714+0.014956i,0.0033571+0.0060988i,0.0077506-0.0042722i,0.0059597+0.0024231i,-0.00078281+0.010332i,0.0046912+0.0034199i,0.012085+0.0014201i,-0.0057885+0.0033433i,0.0029372+0.0065567i,0.011788+0.015835i,-0.046313-0.0633i,-0.034291-0.01026i,0.0026971+0.0015515i,-0.0045059+0.013138i,-0.024853-0.022064i,-0.014165+0.006942i,-0.019846-0.002632i
-0.034856-0.0088265i,-0.055781+0.0017747i,-0.073931+0.020638i,-0.027136-0.00090469i,-0.019183+0.017232i,-0.0206+0.029158i,-0.02893+0.011752i,-0.063575+0.00064782i,-0.033646+0.018083i,0.0089783-0.0078079i,0.0054556-0.0033821i,0.0025965+0.0021476i,-0.005421+0.0080458i,0.00046649-0.0032931i,0.00085394+0.0023971i,0.012824-0.0073531i,-0.0022803-0.007539i,-0.0055476-0.0017116i,0.0034012-0.0023906i,0.00036328-0.00029929i,0.003523-0.0017847i,0.0032352-0.0038463i,0.0038326-0.00188i,-0.0011726-0.017825i,-0.0013512-0.0017682i,-0.0033058-0.0027074i,-0.0012956-0.003444i,-0.0025366-0.004705i,0.00080748-0.0022638i,0.0029853+0.0010071i,-0.0048627+5.2483e-05i,0.00067824+0.0027524i,0.0012294+0.0034649i,-0.0012867+0.0035623i,-0.0034484+0.0018059i,-0.00011075-0.015947i,-0.0033275-0.0002951i,-0.00038394+0.0030345i,-0.0064185+0.0044179i,-4.3111e-06+0.013473i,0.0018242+0.0003271i,-0.00084671+0.00015516i,-0.0014867-0.0053366i,-0.0013737+0.0051595i,-0.022992-0.019135i,0.017126-0.03347i,-0.081897-0.046416i,-0.019134-0.017273i,-0.032116-0.037817i,-0.041283-0.024721i,-0.10257-0.029499i,-0.067808-0.016812i,-0.046189-0.044746i,-0.013011-0.053653i,-0.0046228-0.037998i,-0.0032502+0.0031108i,-0.01797+0.00010316i,-0.011745+0.020331i,0.0007807+0.012886i,0.0031236+0.0060191i,0.014892+0.01396i,-0.00050075-0.0090257i,-0.005013+0.01014i,-0.0024539+0.004447i,0.0038103-0.0036707i,0.0092335+0.0081562i,0.0047306-0.002161i,-0.023252+0.0091455i,-0.015051+0.0054016i,-0.00097342+0.00092063i,0.010621+0.0077854i,0.0025958+0.0021684i,0.0057503-0.013732i,0.0038687-0.0029113i,0.050756-0.0115i,-0.00028531+0.011217i,0.0037108+0.0016813i,-0.0008703-0.0041878i,0.0060644+0.0014737i,0.0094039+0.015153i,0.0045341+0.0020154i,0.0054491-0.0050703i,0.0051471-0.00052646i,0.001279+0.0085619i,0.0053772+0.002187i,0.011805-0.0021579i,-0.0040993+0.007756i,0.0034199+0.0060849i,0.014086+0.012122i,-0.05205-0.058475i,-0.029081-0.00045856i,-0.00010447-0.0022025i,-0.0038922+0.0056133i,-0.033103-0.012927i,-0.0086785+0.010105i,-0.019226+0.0011806i
-0.034693-0.0035495i,-0.052645+0.010232i,-0.062368+0.034969i,-0.027463+0.0030008i,-0.011219+0.018046i,-0.014874+0.030416i,-0.030308+0.013146i,-0.063475+0.01113i,-0.028028+0.020111i,0.0050982-0.0098693i,0.0026367-0.0027543i,0.0043931+0.001788i,-0.0010523+0.0092184i,-0.0025653-0.0019385i,0.0013908+0.0024539i,0.0073917-0.0090232i,-0.0043009-0.0095137i,-0.004507-2.7979e-05i,0.004067-0.0019672i,0.0011597-0.000612i,0.0037503-0.0031713i,0.002804-0.0032865i,0.0034089-0.0029084i,-0.0068532-0.015163i,-0.0020147-0.0013001i,-0.003773-0.0010257i,-0.0029268-0.0027296i,-0.0039873-0.0032917i,0.00011578-0.0026961i,0.0026036-0.00108i,-0.0048873+0.0020064i,0.0011033+0.00233i,0.001906+0.0026528i,0.0011802+0.0027939i,-0.0026411+0.0030935i,-0.0029544-0.011765i,-0.0033996+9.4398e-05i,0.0011658+0.0015101i,-0.0026492+0.0056411i,0.006952+0.012859i,-0.0011768+0.00057153i,4.645e-05+0.00041032i,-0.0032608-0.0052539i,0.0011667+0.0048651i,-0.020327-0.016492i,0.015261-0.050623i,-0.087798-0.030067i,-0.019763-0.018492i,-0.034933-0.040193i,-0.043356-0.016298i,-0.098675-0.0082995i,-0.063341-0.0079352i,-0.042287-0.035291i,-0.019778-0.056979i,-0.019942-0.039636i,-0.0023582+0.0025024i,-0.023678+0.001999i,-0.0028284+0.019463i,0.0035217+0.0086653i,0.0026433-0.0010143i,0.011614+0.0073926i,-0.0048519-0.0089422i,-0.001469+0.010896i,-0.0015656+0.0055983i,0.00064759-0.0039088i,0.0080756+0.0033742i,0.0043094-0.0013449i,-0.014562+0.01717i,-0.0086163+0.011671i,0.0012607-5.6753e-05i,0.014346+0.00084814i,0.0022722+0.0024392i,-0.0014089-0.012891i,0.0010835-0.0032875i,0.040659-0.028819i,0.0047159+0.01103i,0.0028732+0.0018406i,-0.0035566-0.0017238i,0.0060755-0.0015301i,0.016416+0.01037i,0.0033541-0.0011611i,0.0028351-0.0070927i,0.0032293-0.0025458i,0.013199+0.0067192i,0.0056335+0.0022151i,0.0079236-0.0060814i,0.00029344+0.0088318i,0.004496+0.0042174i,0.017066+0.0078287i,-0.06029-0.051737i,-0.022676+0.005507i,-0.0025695-0.0047283i,-0.0063841+0.0032576i,-0.036523-0.002717i,-0.0060584+0.0089209i,-0.017032+0.0037839i
