-0.007167-0.039464i,-0.012279-0.043561i,0.0028786-0.045963i,-0.02699-0.028082i,-0.020513+0.014016i,-0.03232-0.033285i,-0.061247-0.061898i,-0.02192-0.073021i,-0.033781-0.051839i,0.0009229+0.015152i,-0.0074406+0.010871i,-0.015245+0.013994i,0.0017224+0.016605i,-0.0038659-0.0035581i,0.00036823+0.0066345i,0.00076432+0.039279i,0.01948+0.060236i,0.0012416-0.00064361i,-0.0049123-0.0083508i,0.0089544+0.0049338i,0.0017969+0.0009122i,-0.0010165+0.0035794i,7.1906e-05-0.0015191i,-0.036415-0.0092248i,-0.0020521-0.0075292i,-0.00031756+0.0045461i,0.0053792+8.9726e-05i,0.00015419+0.00080137i,-0.00012344-0.0010967i,3.7144e-05-0.0028492i,-0.0012376-0.0061581i,-0.0025305-0.0042236i,-0.00028596-0.0078971i,0.0031975-0.0013194i,0.003131-0.0023281i,-0.0013153+0.034225i,0.006411-0.0039675i,0.003672-0.0024231i,0.005379+0.00033729i,-0.013654-0.0045451i,-0.00014521+0.00039073i,0.010333-0.0006291i,0.0057721-0.00055379i,-0.0037296+0.0039268i,0.0035227+0.0022942i,-0.0037523+0.0090688i,0.016068-0.086709i,-0.0057883-0.048526i,-0.024174-0.039576i,-0.018821-0.041874i,0.064381-0.014968i,0.028163-0.060654i,0.038875-0.044439i,0.030176-0.055815i,0.019321-0.0155i,0.0082536+0.010126i,0.025214-0.032823i,-0.0072952-0.0053681i,0.0022882-0.0029726i,-0.0043251-0.0059502i,0.001341-0.032212i,-0.024394+0.030726i,0.007856-0.010365i,-0.011386-0.0015053i,-0.0051391-0.0014426i,-0.00082955-0.014244i,-0.0098981+0.0041281i,0.0033948+0.0079457i,-0.011429+0.031394i,0.0054507+0.0083398i,-0.0055109-0.0015898i,-0.0017287-0.0021794i,-0.011056-0.0076821i,0.00071244-0.0035765i,-0.03493+0.0044891i,0.0025541-0.012097i,-0.0091675-0.0021234i,-0.0065352-0.0031208i,0.0064288+0.001848i,-0.0097837+0.0013689i,0.0011629+0.00094767i,0.0053926+0.0090804i,0.0045536+0.00066667i,-0.0090711-0.0099554i,0.0025126+0.0084867i,-0.019145+0.0062463i,0.0069324+0.0034416i,-0.028565-0.0087587i,-0.034142+0.0021419i,0.02596-0.076938i,0.012634-0.010035i,-0.043078-0.027974i,-0.023462-0.0040213i,0.017916+0.012523i,-0.026723+0.01178i,-0.011567-0.008743i
-0.015344-0.038519i,-0.018136-0.03668i,-0.0041252-0.050015i,-0.029752-0.024474i,-0.01056+0.011606i,-0.040542-0.025987i,-0.069008-0.047359i,-0.031175-0.070181i,-0.039754-0.040975i,0.0024831+0.013797i,-0.0063291+0.0092764i,-0.0075379+0.020331i,0.010041+0.012345i,-0.0086528-0.00042651i,0.0013686+0.0060022i,0.0099711+0.032626i,0.034344+0.043531i,0.0022631+0.0017013i,-0.0082917-0.0033153i,0.0093548+0.00062076i,0.00042059+0.0016891i,-0.0010934+0.0038381i,-0.00063967-0.00021686i,-0.025162+0.012025i,-0.0045982-0.0052341i,0.0032146+0.0027747i,0.003598-0.00033377i,0.00031792+0.0028819i,0.0011355-0.0012391i,-0.0012386-0.0028009i,-0.0016939-0.0050255i,-0.0031413-0.0033787i,-0.0025049-0.0073048i,0.002249-0.0031178i,0.0022736-0.0018837i,0.0099022+0.030632i,0.0053923-0.0065686i,0.002105-0.0034951i,0.0072555-0.00149i,-0.0088539-0.00074319i,0.00017305+0.0016527i,0.0081586-0.00246i,0.0042899-0.00019047i,-0.0047712+0.005343i,0.010819+0.00029453i,0.0083094+0.012359i,0.00012287-0.089632i,-0.019848-0.050923i,-0.01824-0.032808i,-0.019058-0.028174i,0.068559-0.043343i,0.026993-0.081164i,0.041662-0.045519i,0.020532-0.064932i,0.0087805-0.0098364i,0.0081111+0.00030458i,0.011673-0.03555i,-0.0066551+0.00040951i,0.00047434-0.011419i,-0.005255-0.006977i,-0.021965-0.033616i,-0.0098461+0.029352i,0.0022307-0.013003i,-0.011883+0.0018205i,-0.0043714+0.00022004i,-0.0074729-0.013323i,-0.010573+0.0087734i,0.0073131+0.0088628i,0.0078963+0.029942i,0.0073011+0.0027287i,-0.0047919+0.0014879i,-0.0041614-0.0019161i,-0.015517+0.001394i,0.0004242-0.002822i,-0.038168+0.011268i,-0.0039003-0.01045i,-0.0097351+0.0022703i,-0.0083247+0.00030321i,0.0044277-0.0038354i,-0.008454+0.004516i,0.0022864-0.00061502i,0.0049256+0.0032817i,0.0032361-0.00067738i,-0.012949-0.0020652i,0.0044041+0.0053417i,-0.013498+0.013225i,0.0065978-0.0012957i,-0.029313+0.0019514i,-0.032916+0.011931i,0.012122-0.079231i,0.0091566-0.01626i,-0.049807-0.0149i,-0.016896-0.0060381i,0.018839+0.0060117i,-0.020833+0.018547i,-0.01748-0.014436i
-0.020977-0.03439i,-0.019659-0.035545i,-0.012813-0.053674i,-0.032517-0.019269i,-0.0040366+0.0049855i,-0.046221-0.017065i,-0.078471-0.032031i,-0.045595-0.066604i,-0.043648-0.033923i,0.0047366+0.012713i,-0.0057857+0.012389i,0.0023675+0.019227i,0.013118+0.0045181i,-0.009221+0.0042298i,0.0026984+0.0057268i,0.015748+0.024709i,0.043465+0.029333i,0.0052096+0.0017453i,-0.0073174+0.0017457i,0.0083706-0.0022724i,0.00014609+0.0026931i,0.00035601+0.0061021i,-9.8519e-05+0.00052983i,-0.011238+0.019253i,-0.0046464-0.0026022i,0.0044499-0.00011856i,0.0031347-0.0010822i,0.0032024+0.003173i,-0.00016526-0.0022037i,-0.0017975-0.0024379i,-0.0024846-0.0047255i,-0.0039932-0.0023073i,-0.0048275-0.0060789i,0.00096666-0.0043319i,0.003851-0.0044649i,0.019191+0.022711i,0.0023899-0.0076515i,0.00087935-0.0037756i,0.0068002-0.0060201i,-0.008581+0.00010168i,0.0011589+0.0021728i,0.0066711-0.0046137i,0.0052911+0.0001106i,-0.0033251+0.0076859i,0.015492-0.0082052i,0.0202+0.0075604i,-0.015023-0.088617i,-0.032446-0.042551i,-0.010338-0.036287i,-0.011677-0.027405i,0.062218-0.070812i,0.0078012-0.1013i,0.047662-0.052762i,0.0083518-0.066178i,0.0074935-0.0073425i,0.0051861-0.003487i,0.00067145-0.03786i,0.0026065-0.00035091i,-0.0092294-0.013912i,-0.0059485-0.0090244i,-0.04043-0.022486i,-0.00088695+0.027594i,-0.0038005-0.01221i,-0.0094276+0.0050559i,-0.0055579+0.0012441i,-0.014355-0.010593i,-0.0055793+0.015434i,0.013801+0.0043097i,0.020381+0.018682i,0.0071161+0.00037225i,-0.004073+0.0011377i,-0.0052603-0.00024776i,-0.012512+0.01046i,-0.0026249-0.0031064i,-0.033093+0.02327i,-0.0068283-0.0064205i,-0.0079701+0.0070468i,-0.0084569+0.0068333i,-0.00078493-0.0052011i,-0.0064148+0.0061645i,0.0015694-0.0022085i,0.0028085+0.0019778i,0.0027459-0.001802i,-0.00912+0.0048475i,0.0042185+0.0021315i,-0.0078766+0.015455i,0.0035235-0.004453i,-0.025279+0.010639i,-0.026748+0.021072i,0.0021274-0.078611i,0.0025576-0.018006i,-0.049443-0.0021038i,-0.021319-0.012476i,0.01786-0.0020048i,-0.010596+0.02024i,-0.022003-0.011609i
-0.024682-0.030031i,-0.024052-0.036801i,-0.023317-0.056572i,-0.031273-0.012764i,-0.0026446-0.0044135i,-0.048159-0.0061351i,-0.082277-0.0055643i,-0.060885-0.053017i,-0.049111-0.024123i,0.0069314+0.011701i,-0.0013325+0.014993i,0.0071645+0.013582i,0.012187-0.0035183i,-0.0072158+0.0099288i,0.0031999+0.0041514i,0.017602+0.014672i,0.050642+0.0091116i,0.0066845-0.0013213i,-0.0060719+0.0055098i,0.0059057-0.0046305i,0.0016539+0.0041309i,0.0040286+0.006499i,-0.00015786+0.00098171i,0.00026345+0.023914i,-0.0039652-0.0012783i,0.003482-0.0024387i,0.0032688-0.0017147i,0.0039782+0.00015461i,-0.00083785-0.00087339i,-0.0033954-0.0020554i,-0.0033975-0.0036825i,-0.0041338-0.0011239i,-0.0067444-0.0038925i,-0.0010291-0.0048176i,0.00010222-0.006809i,0.021481+0.01267i,-0.00027993-0.0080372i,-0.00029647-0.0040422i,0.0031644-0.0086248i,-0.0062753+0.0042802i,0.0023803+0.0016177i,0.0030628-0.0063153i,0.0053395-0.0017062i,-0.00044201+0.0076746i,0.017273-0.015359i,0.029248-0.0020507i,-0.028959-0.08336i,-0.036401-0.031165i,-0.011438-0.041174i,-0.010388-0.029892i,0.045195-0.099935i,-0.021074-0.10609i,0.04685-0.072773i,-0.00095261-0.065667i,0.006725-0.0057685i,0.00068939-0.0064184i,-0.013317-0.034029i,0.0026599-0.0094525i,-0.013741-0.0084914i,-0.011949-0.011783i,-0.048762-0.0011858i,0.010136+0.022454i,-0.0084451-0.0095592i,-0.006196+0.0058196i,-0.0048412+0.0041446i,-0.020065-0.0033444i,0.0028945+0.014265i,0.016798-0.0027583i,0.024436+0.0072158i,0.0075229-0.0022085i,-0.0046997+0.001102i,-0.0058107+0.0027865i,-0.0073698+0.016957i,-0.0043685+3.6646e-05i,-0.027261+0.032413i,-0.007735-0.0032411i,-0.0028433+0.0096582i,-0.0027509+0.011696i,-0.005294-0.0027272i,-0.0027742+0.0054087i,0.0010559-0.0024698i,0.0017413+0.0021348i,0.00050604-0.003567i,-0.0033353+0.0046048i,0.00079122-0.00077564i,-0.0041057+0.017645i,-0.00084021-0.0042439i,-0.018548+0.017082i,-0.018196+0.02444i,-0.0064955-0.079405i,0.0029742-0.01568i,-0.04572+0.011713i,-0.029303-0.0097161i,0.014749-0.0083116i,-0.0016853+0.016218i,-0.022252-0.0063879i
-0.027176-0.025524i,-0.031725-0.035378i,-0.037791-0.056796i,-0.029087-0.0096338i,-0.0086265-0.013076i,-0.047324+0.0041063i,-0.066327+0.015588i,-0.063395-0.036179i,-0.045512-0.013915i,0.0092034+0.010036i,0.0041311+0.013114i,0.0090513+0.0099026i,0.006491-0.0090837i,-0.00082913+0.012527i,0.0029482+0.0026267i,0.014451+0.010071i,0.041831-0.016023i,0.0056079-0.0042257i,-0.0016302+0.010492i,0.0033735-0.0052677i,0.0031222+0.0046546i,0.0064625+0.0036553i,-5.0498e-05+0.0022324i,0.018549+0.018844i,-0.0041151+0.00043962i,0.0022142-0.003664i,0.002089-0.0028579i,0.0033511-0.00010121i,-7.4334e-05+1.9814e-05i,-0.004613+0.00021098i,-0.004106-0.0023508i,-0.0039388+0.00022993i,-0.0066937-0.00060628i,-0.0035374-0.0040532i,-0.0027581-0.005508i,0.022494+0.0072863i,-0.0028542-0.0075768i,-0.0023479-0.0037868i,-0.00044572-0.0082463i,-0.0021246+0.0012234i,0.002553+0.00065393i,-0.00042042-0.0047191i,0.0054287-0.0024499i,0.00061905+0.0061659i,0.015975-0.027921i,0.035089-0.016902i,-0.037337-0.07481i,-0.03559-0.021376i,-0.01443-0.044961i,-0.01086-0.030548i,0.010676-0.12073i,-0.046361-0.098258i,0.029499-0.089908i,-0.012974-0.061058i,0.0075246-0.0034879i,-0.0038761-0.0065527i,-0.023146-0.024138i,-0.0043745-0.013659i,-0.016009-0.0052691i,-0.021508-0.0075205i,-0.045158+0.017808i,0.014615+0.011077i,-0.012282-0.0049152i,-0.0040634+0.0061407i,-0.0033731+0.0069158i,-0.020187+0.007461i,0.0044229+0.009106i,0.015904-0.010368i,0.025769-0.0058168i,0.0057236-0.0067211i,-0.0067845+0.0035793i,-0.0036249+0.0060973i,0.0010759+0.019076i,-0.004371+0.0036521i,-0.019915+0.042409i,-0.0091251-0.0014177i,0.00095167+0.0072371i,0.00373+0.011293i,-0.0070985+0.00076074i,-0.0031311+0.0027012i,-0.00092843-0.003499i,0.0011765+0.0040475i,-0.0037414-0.0036296i,-0.002453+0.0017052i,-0.002505+0.0015825i,0.0027923+0.019016i,-0.0031492-0.0029902i,-0.0099381+0.01972i,-0.012309+0.025926i,-0.018066-0.077511i,0.0069106-0.021103i,-0.037187+0.02593i,-0.033047+0.00025041i,0.0094665-0.012866i,0.00048068+0.0086607i,-0.021271-0.005939i
-0.02783-0.022068i,-0.036525-0.032331i,-0.054355-0.050423i,-0.029024-0.0086682i,-0.02069-0.014726i,-0.04235+0.013187i,-0.049007+0.021415i,-0.062207-0.02522i,-0.042978-0.01025i,0.010528+0.0078951i,0.0060744+0.010265i,0.01079+0.0049961i,-0.00060216-0.010953i,0.0053268+0.010331i,0.0021393+0.0020355i,0.013121+0.0080901i,0.023059-0.026067i,0.0047157-0.0056269i,0.004943+0.010109i,0.00089823-0.0047144i,0.0056695+0.0026803i,0.0062591+0.0011212i,0.0021943+0.0030833i,0.026154+0.003517i,-0.0021193+0.0025905i,0.00055971-0.003911i,-8.5484e-05-0.0011513i,0.0047428-0.0016843i,0.00025506-0.00093598i,-0.002977+0.0033119i,-0.0036205-0.0013425i,-0.0041718+0.0010698i,-0.006905+0.0019028i,-0.0051427-0.00098849i,-0.003376-0.0036438i,0.024305-1.5939e-05i,-0.00563-0.0059928i,-0.0045559-0.0032197i,-0.0034996-0.0079403i,-0.0045079-0.002023i,0.0031922+0.00010916i,-0.0017363-0.0022364i,0.0043596-0.0044079i,0.0011501+0.0056488i,0.0062546-0.03673i,0.025303-0.036707i,-0.039609-0.067851i,-0.034224-0.014239i,-0.019436-0.04523i,-0.010291-0.034743i,-0.029172-0.11804i,-0.06846-0.082391i,0.010298-0.095287i,-0.016063-0.047435i,0.014023+0.0005852i,-0.0067685-0.0040077i,-0.024727-0.01033i,-0.010383-0.013464i,-0.0205-0.00054697i,-0.021062+0.0013607i,-0.036016+0.03445i,0.012847+0.0035844i,-0.0098558+0.0026553i,-0.0043999+0.0060463i,0.0016242+0.0093004i,-0.013736+0.015061i,0.0058666+0.0099244i,0.011792-0.022043i,0.015263-0.021463i,-0.0015477-0.011147i,-0.0069047+0.0081494i,-0.0018366+0.007102i,0.0086908+0.016596i,-0.0014736+0.0065751i,-0.0024715+0.055921i,-0.011135+0.001385i,0.0013606+0.0063685i,0.0080446+0.0060916i,-0.0058211+0.0070327i,-0.0037548+0.0045502i,-0.0045111-0.002841i,0.0042116+0.0048572i,-0.0050289+0.0028163i,-0.0051585+0.0015167i,-0.00055682+0.0072244i,0.0091349+0.015327i,-0.0049828-0.0019153i,-0.003902+0.017143i,-0.0042005+0.027749i,-0.023928-0.069915i,-0.00085651-0.034516i,-0.016772+0.031324i,-0.029572+0.0081654i,0.0073695-0.019575i,0.00032156+0.0023933i,-0.021909-0.0012654i
-0.028699-0.01971i,-0.045209-0.030452i,-0.068831-0.037154i,-0.02807-0.0042725i,-0.030285-0.0063951i,-0.036188+0.018859i,-0.037456+0.019978i,-0.060838-0.018096i,-0.045986-0.0062959i,0.013275+0.0043992i,0.0089839+0.0087781i,0.0083464-0.00099507i,-0.0083716-0.0078252i,0.0090954+0.0041822i,0.0020672+0.0016031i,0.012703+0.0071406i,0.007063-0.024506i,0.0024298-0.0077272i,0.0082967+0.0052565i,-0.00051405-0.0030249i,0.0060759-0.00081953i,0.0074884+0.00088746i,0.0041527+0.0015993i,0.02237-0.010124i,0.0017038+0.0016216i,-4.5152e-05-0.0031955i,0.0010635-0.0020243i,0.0044767-0.0048519i,-0.0001178-0.00076879i,-0.0002466+0.0035623i,-0.0037593-0.00099765i,-0.0032669+0.0024365i,-0.0048528+0.0045752i,-0.0038489+0.001461i,-0.0042736-0.0036277i,0.021666-0.0084816i,-0.0066083-0.0024698i,-0.0055156-0.00099713i,-0.007299-0.0053029i,-0.0097807+0.00085586i,0.0028182-0.00092041i,-0.00035476-0.0019058i,0.0026921-0.0057955i,0.0020087+0.0034989i,-0.0062211-0.039045i,0.0083327-0.04027i,-0.046032-0.067674i,-0.026617-0.0083161i,-0.022985-0.0443i,-0.018429-0.041847i,-0.057798-0.10377i,-0.077216-0.057098i,-0.013084-0.097382i,-0.010536-0.043526i,0.021477-0.01315i,-0.0078915-0.00014943i,-0.021281-0.0060443i,-0.019618-0.010142i,-0.019232+0.0093659i,-0.019204+0.0061578i,-0.016133+0.043685i,0.011467-0.00075687i,-0.0079224+0.0026697i,-0.00088565+0.0057289i,0.0041594+0.0059608i,-0.0065977+0.019346i,0.01072+0.0076563i,-0.004009-0.027864i,-0.0033666-0.023399i,-0.0053869-0.0043087i,-0.0029112+0.011986i,0.0020799+0.0061785i,0.015171+0.0088094i,0.0024677+0.0052524i,0.02433+0.053457i,-0.007979+0.0070424i,0.002761+0.0048686i,0.0084336+0.0012592i,0.00020166+0.0098718i,-0.0053726+0.0060381i,-0.0061473+0.00181i,0.0071988+0.0044066i,-0.0023646+0.0061326i,-0.0069664+0.0042782i,0.0033875+0.0071109i,0.011626+0.010116i,-0.0054363+0.0014695i,0.0017503+0.014433i,0.0042987+0.025303i,-0.028659-0.06874i,-0.020317-0.036282i,-0.0024247+0.023018i,-0.026296+0.01292i,-0.0022372-0.026527i,-0.003257-0.0014678i,-0.015098+0.0012661i
-0.030811-0.017632i,-0.054386-0.021029i,-0.077486-0.019273i,-0.025952-0.0029706i,-0.030581+0.0051068i,-0.031471+0.022764i,-0.031414+0.017369i,-0.060428-0.012163i,-0.046363+0.0038695i,0.013697-2.3167e-05i,0.011868+0.0029926i,0.0026912-0.0014775i,-0.011406-0.00099027i,0.0060853-0.00043469i,0.0013251+0.00095806i,0.015415+0.0043792i,-0.00236-0.017634i,-0.0016941-0.0080974i,0.0072105+0.0012852i,-0.00070276-0.0019209i,0.003403-0.0027145i,0.0072856-0.0024302i,0.0039598-0.00028362i,0.013884-0.01803i,0.0012665-0.0009228i,-0.00028098-0.0034045i,0.00070949-0.0028022i,0.0011646-0.0058243i,0.0013766-0.00010234i,0.00078347+0.0025435i,-0.0040296-0.0005531i,-0.001997+0.0030241i,-0.002394+0.0056862i,-0.0025708+0.0014676i,-0.00598-0.00048783i,0.015904-0.014581i,-0.005184-0.00011604i,-0.004496+0.0016933i,-0.0067736-0.0020457i,-0.0089829+0.0067163i,0.0021634-0.0011892i,-0.00043474-0.0019333i,0.00016775-0.0057344i,0.00089946+0.001587i,-0.016651-0.034381i,0.0015483-0.031215i,-0.056093-0.065647i,-0.019524-0.010374i,-0.027401-0.043497i,-0.030118-0.038963i,-0.081303-0.086168i,-0.073196-0.037167i,-0.040063-0.086699i,-0.0083842-0.047144i,0.017285-0.025371i,-0.0059499+0.0022808i,-0.020138-0.00014643i,-0.026507+0.00052317i,-0.011924+0.016663i,-0.014925+0.0123i,0.0048153+0.039989i,0.0091348-0.0061791i,-0.0082211+0.0042758i,-0.0012668+0.0036374i,0.0064797+0.0043789i,0.0023606+0.017601i,0.012685-0.00043365i,-0.019748-0.019306i,-0.015258-0.013218i,-0.0043938-0.00032863i,0.0037981+0.012101i,0.0035573+0.0041473i,0.017228+0.0014949i,0.0050887+0.004782i,0.044189+0.037255i,-0.0038076+0.0070744i,0.0022964+0.004335i,0.0065634-0.0034733i,0.0057646+0.0068386i,-0.0044277+0.011823i,-0.0038445+0.007419i,0.0099647+4.144e-05i,0.0026044+0.0063007i,-0.006011+0.0080118i,0.0056936+0.0044085i,0.012293+0.0054814i,-0.0046484+0.0023407i,0.0042796+0.0097082i,0.009382+0.019602i,-0.035311-0.066829i,-0.032515-0.023054i,0.0044413+0.011357i,-0.014952+0.019164i,-0.013686-0.026806i,-0.010394-0.0020145i,-0.01426-0.0043278i
-0.03332-0.013946i,-0.057153-0.0082527i,-0.078898+0.0010086i,-0.025805-0.002071i,-0.025643+0.012546i,-0.026285+0.026366i,-0.028168+0.014151i,-0.062103-0.0067133i,-0.039785+0.012912i,0.012064-0.004421i,0.0091214-0.0023887i,0.0014446+0.0016505i,-0.010388+0.0053792i,0.0033202-0.0024294i,0.00034138+0.0012816i,0.016098-0.0011796i,-0.0036932-0.009944i,-0.0047139-0.0058718i,0.0058319+3.6005e-05i,-0.00067007-0.0010535i,0.0024614-0.0014002i,0.0051988-0.004022i,0.0037191-0.00099873i,0.0052451-0.019462i,-0.00026838-0.00195i,-0.0014606-0.0043172i,-0.00016915-0.0031746i,-0.00058301-0.0055429i,0.0013989-0.0017774i,0.0018122+0.0021361i,-0.0041607-0.00013434i,-0.0006813+0.0031154i,-0.00011999+0.0046295i,-0.0023063+0.0027137i,-0.0041044+0.00078195i,0.0083361-0.01784i,-0.0036023+0.00061011i,-0.0025252+0.0030186i,-0.0079895-0.00027136i,-0.005283+0.0099115i,0.0021673-0.0012336i,-0.0010794-0.0014532i,-0.0008023-0.0047586i,-0.0018346+0.0019993i,-0.023126-0.027251i,0.0074929-0.026176i,-0.068666-0.059553i,-0.017352-0.014338i,-0.031424-0.041154i,-0.036537-0.031216i,-0.10006-0.059378i,-0.06989-0.027849i,-0.050571-0.060939i,-0.010862-0.049462i,0.0074644-0.034893i,-0.0045359+0.0024923i,-0.016492+0.0010519i,-0.022681+0.014093i,-0.0036916+0.016576i,-0.0039494+0.013662i,0.014649+0.026747i,0.0040934-0.0087441i,-0.007115+0.0070023i,-0.0021421+0.0038721i,0.0066335-0.00051347i,0.0074834+0.013506i,0.0069651-0.0036529i,-0.026312-0.0049788i,-0.017388-0.0026907i,-0.0015552+0.00079069i,0.0065039+0.010035i,0.002659+0.0026817i,0.014632-0.009358i,0.0064582+0.00019868i,0.053968+0.015003i,-0.003662+0.0082577i,0.004519+0.0035061i,0.0022207-0.0056351i,0.0065024+0.0031583i,0.001559+0.01566i,0.0036701+0.0062081i,0.0074561-0.0041326i,0.0057416+0.0025212i,-0.0028221+0.012019i,0.0048174+0.0036543i,0.011458+0.0019551i,-0.005801+0.0035645i,0.0023943+0.0068124i,0.011552+0.015462i,-0.042246-0.063797i,-0.033212-0.0087927i,0.0028357+0.0016568i,-0.0047346+0.013194i,-0.02528-0.021914i,-0.014151+0.00673i,-0.019387-0.0027919i
-0.034883-0.0090857i,-0.055664+0.0019784i,-0.074091+0.019174i,-0.02725-0.0006008i,-0.019225+0.01718i,-0.020554+0.029283i,-0.02884+0.011815i,-0.06459+0.0020598i,-0.032813+0.016383i,0.0087626-0.0074676i,0.0051065-0.0036033i,0.0025784+0.0023883i,-0.005667+0.0091783i,0.00043504-0.003069i,0.00075957+0.0023643i,0.012378-0.0068i,-0.0021828-0.0083386i,-0.0053343-0.0022504i,0.0056406-0.0013657i,0.00012745-0.00031883i,0.003681-0.001574i,0.0030946-0.0038604i,0.0037397-0.0017491i,-0.0018559-0.018224i,-0.0012862-0.0015841i,-0.003489-0.0032356i,-0.0014295-0.0031877i,-0.0021841-0.0051297i,0.00065885-0.0024793i,0.0027105+0.00086729i,-0.0047093+0.00075389i,0.00046933+0.0026992i,0.00095113+0.0036178i,-0.00071044+0.0032781i,-0.0042696+0.0015829i,0.00070203-0.015704i,-0.0033581+3.8448e-05i,-0.00041991+0.0030266i,-0.0069652+0.0040864i,-0.0010714+0.011997i,0.00211-0.0015288i,-0.00057555-0.00036309i,-0.0014987-0.0047117i,-0.0013815+0.0055906i,-0.023822-0.019212i,0.016538-0.033541i,-0.081246-0.047021i,-0.018794-0.016829i,-0.033482-0.038832i,-0.040897-0.024455i,-0.10275-0.029775i,-0.067939-0.016229i,-0.046084-0.045013i,-0.013628-0.053297i,-0.0064773-0.038272i,-0.0033209+0.0029287i,-0.017505+8.5691e-05i,-0.012626+0.020481i,0.0014801+0.013005i,0.0029085+0.0060436i,0.01525+0.014328i,-0.001118-0.0088501i,-0.004873+0.009285i,-0.0026256+0.0049519i,0.0036644-0.0034789i,0.0095943+0.007994i,0.0047841-0.0020571i,-0.023483+0.0094369i,-0.014388+0.0062418i,-0.00069525+0.00056419i,0.010791+0.0074648i,0.0024591+0.0022146i,0.0056883-0.014195i,0.0038608-0.0028005i,0.051888-0.0067432i,-0.00083423+0.010339i,0.0038389+0.0014939i,-0.0012209-0.0041079i,0.0061352+0.0019252i,0.0094622+0.015876i,0.0047472+0.001455i,0.0054738-0.0054172i,0.0047828-0.00016501i,0.0034765+0.013215i,0.0053219+0.0025434i,0.011366-0.0016062i,-0.0039861+0.0082488i,0.00307+0.0063063i,0.013734+0.012051i,-0.050411-0.060514i,-0.028511-0.0007548i,-0.00018134-0.002281i,-0.0040857+0.0055064i,-0.033593-0.012703i,-0.0086934+0.0099063i,-0.018807+0.0013798i
-0.035039-0.0042378i,-0.051899+0.010294i,-0.06343+0.034197i,-0.027551+0.0035399i,-0.011364+0.017875i,-0.014802+0.030587i,-0.030096+0.01319i,-0.06401+0.012896i,-0.027705+0.018324i,0.0053044-0.0089209i,0.0025697-0.0029795i,0.0043898+0.0017951i,-0.0013781+0.010098i,-0.0025695-0.00175i,0.0012625+0.0023701i,0.0071827-0.0087268i,-0.0044082-0.01038i,-0.0046046-0.00046825i,0.0045452-0.0026133i,0.00093433-0.00056376i,0.003865-0.0029725i,0.0029078-0.0033678i,0.003363-0.0027754i,-0.0078445-0.01545i,-0.0019574-0.0011451i,-0.0041167-0.0014713i,-0.0028441-0.0023076i,-0.0037814-0.0036629i,0.00013725-0.002893i,0.0023359-0.0012569i,-0.0048491+0.002684i,0.00096168+0.0021856i,0.0018515+0.0027657i,0.0013842+0.0024465i,-0.0034064+0.0028307i,-0.0027861-0.011451i,-0.0034703+0.00049927i,0.0010522+0.001647i,-0.0029574+0.0053355i,0.0048363+0.0117i,0.0018556-0.0020129i,3.5771e-05-0.0001991i,-0.0029101-0.0047091i,0.0014676+0.0052789i,-0.021145-0.016227i,0.014911-0.05043i,-0.088107-0.029471i,-0.019167-0.018313i,-0.036122-0.040863i,-0.043117-0.016351i,-0.098777-0.0082714i,-0.063405-0.007659i,-0.042498-0.035693i,-0.02039-0.05606i,-0.021502-0.036289i,-0.002665+0.0024502i,-0.023089+0.0023647i,-0.0035516+0.019876i,0.0036932+0.0087507i,0.0025724-0.0010213i,0.011595+0.0078556i,-0.006011-0.0084925i,-0.0015643+0.010184i,-0.0018467+0.0060273i,0.00058034-0.0036859i,0.0079706+0.0033002i,0.0045031-0.0013717i,-0.014591+0.017271i,-0.0080164+0.011743i,0.0012753-0.00062197i,0.013751+0.0011149i,0.0023832+0.0024931i,-0.0020461-0.01242i,0.001312-0.0033599i,0.041618-0.02327i,0.0039134+0.010803i,0.0029174+0.0017091i,-0.0036051-0.0015202i,0.0062874-0.0014813i,0.016728+0.011043i,0.0032651-0.0016418i,0.0027552-0.0073532i,0.0031943-0.0021647i,0.0090693+0.010372i,0.0056365+0.0023575i,0.0077703-0.0056145i,0.00078496+0.0093858i,0.004083+0.0045355i,0.016533+0.0078429i,-0.059469-0.053568i,-0.023509+0.0060767i,-0.0024587-0.0046778i,-0.0064765+0.0032249i,-0.036929-0.0017409i,-0.0062391+0.0086706i,-0.016481+0.0038156i
