-0.0089164-0.039617i,-0.013685-0.042741i,0.00081794-0.045836i,-0.026322-0.027853i,-0.020397+0.014217i,-0.032881-0.030549i,-0.05977-0.058804i,-0.022821-0.070188i,-0.034175-0.057567i,0.0025078+0.015199i,-0.0072587+0.010104i,-0.014334+0.01359i,0.0014347+0.016666i,-0.0035772-0.0032523i,0.00080442+0.0064677i,-0.00012275+0.036813i,0.021707+0.057612i,0.0008578-0.0002905i,-0.0053499-0.0082379i,0.0081176+0.0053184i,0.0016683+0.00097946i,-0.0016912+0.0040326i,-6.1543e-06-0.0011542i,-0.033446-0.0095847i,-0.0029165-0.007802i,-0.00022913+0.0044673i,0.0031741-0.0023392i,-0.00013244+0.00081533i,-0.00016729-0.00079439i,2.0289e-06-0.0030288i,-0.0012306-0.0052526i,-0.0023473-0.0038842i,-0.0013287-0.0077117i,0.0033053-0.00093885i,0.0029127-0.0026536i,-0.0027882+0.033132i,0.0063976-0.0047081i,0.0034456-0.0018i,0.0046077-0.0005726i,-0.017929+0.010652i,-0.00020194+0.00010979i,0.0079092+0.00012355i,0.0061001-4.1787e-05i,-0.0033521+0.0035332i,0.0022932+0.0014583i,-0.00324+0.0072277i,0.012821-0.087993i,-0.0074541-0.048744i,-0.025004-0.040631i,-0.020203-0.041554i,0.06188-0.017959i,0.02626-0.061193i,0.038275-0.045682i,0.0286-0.058298i,0.019372-0.015888i,0.0084126+0.0099343i,0.023825-0.031455i,-0.0077214-0.0050686i,0.0022056-0.0027146i,-0.0049679-0.0066424i,0.00069162-0.031852i,-0.024031+0.031025i,0.0079036-0.010716i,-0.010671-0.00097667i,-0.0050826-0.0011582i,-0.00086921-0.014006i,-0.010048+0.0042353i,0.0037668+0.0080991i,-0.01047+0.029099i,0.0053172+0.0068889i,-0.005444-0.001503i,-0.0020014-0.002396i,-0.011608-0.007212i,0.000662-0.0035761i,-0.038105+0.0070055i,0.0022008-0.012727i,-0.0095085-0.0014919i,-0.0062432-0.0029572i,0.0066967+0.001466i,-0.0088952+0.0015567i,0.0011304+0.00079298i,0.0060978+0.0085711i,0.0046845+0.00049208i,-0.0093676-0.0098299i,0.0026577+0.008874i,-0.019+0.0077574i,0.0059335+0.0026525i,-0.029386-0.0080283i,-0.033577+0.003596i,0.023535-0.079671i,0.012277-0.010681i,-0.042661-0.026257i,-0.023343-0.0032715i,0.018722+0.01244i,-0.025568+0.01186i,-0.012017-0.008228i
-0.017483-0.037773i,-0.019153-0.036394i,-0.0063715-0.048816i,-0.029503-0.024859i,-0.010949+0.012102i,-0.040232-0.023296i,-0.067707-0.045477i,-0.032489-0.068082i,-0.039484-0.043555i,0.0040299+0.012901i,-0.0065601+0.0086426i,-0.0071951+0.019464i,0.0095917+0.012174i,-0.0074686-9.9403e-05i,0.0017625+0.0057863i,0.0091004+0.03078i,0.031972+0.042076i,0.0018399+0.0018346i,-0.0088282-0.0029975i,0.0084816+0.00041781i,0.00058889+0.0017993i,-0.0017631+0.0033579i,-0.00058519-3.3746e-05i,-0.023748+0.0089483i,-0.0055926-0.0058432i,0.0030248+0.0027877i,0.0030567-0.00034745i,0.00051164+0.0027203i,0.00095215-0.00099321i,-0.0015418-0.0029684i,-0.0013386-0.0042353i,-0.0027436-0.0035763i,-0.003209-0.0063461i,0.0025771-0.0030968i,0.0017615-0.0021076i,0.0081805+0.030462i,0.0053086-0.0067025i,0.0017547-0.0029178i,0.0061685-0.0020238i,-0.010855+0.0018358i,-0.000216+0.0013921i,0.0080575-0.0025626i,0.0046535-0.00024157i,-0.0047305+0.0046172i,0.009123-5.1366e-05i,0.008636+0.0097307i,-0.0031362-0.089821i,-0.021835-0.05056i,-0.018805-0.033276i,-0.021104-0.028426i,0.06414-0.045292i,0.024831-0.080896i,0.040711-0.047142i,0.018612-0.066218i,0.0091151-0.0092753i,0.0080624+0.0003854i,0.011775-0.034958i,-0.006791+0.0011836i,0.00022233-0.011283i,-0.0060986-0.0065856i,-0.022361-0.032331i,-0.010209+0.029406i,0.001713-0.013091i,-0.011701+0.0022747i,-0.0042267+0.00039696i,-0.0076499-0.012717i,-0.010857+0.0085932i,0.00739+0.0084253i,0.0081207+0.028239i,0.0069369+0.001508i,-0.0044927+0.0016118i,-0.0044736-0.0019541i,-0.015945+0.0013664i,0.00041537-0.0029683i,-0.034854+0.011508i,-0.004595-0.010533i,-0.0091318+0.0026322i,-0.0081313+0.00080566i,0.0041419-0.004063i,-0.0081937+0.0045365i,0.0022651-0.00076362i,0.0046819+0.0025586i,0.00344-0.00049693i,-0.013139-0.0020097i,0.0041153+0.005624i,-0.010586+0.013648i,0.005889-0.00072413i,-0.029333+0.0031193i,-0.032922+0.014173i,0.014504-0.07798i,0.0083388-0.016836i,-0.04923-0.014099i,-0.016675-0.0050547i,0.019283+0.0051688i,-0.020465+0.018703i,-0.01802-0.013152i
-0.022729-0.033062i,-0.021056-0.035259i,-0.014075-0.052308i,-0.033288-0.019073i,-0.0043813+0.005654i,-0.045232-0.014435i,-0.077769-0.030074i,-0.047257-0.063849i,-0.043842-0.035241i,0.004865+0.011984i,-0.0060041+0.012229i,0.0024439+0.018692i,0.012479+0.0044168i,-0.008416+0.0035557i,0.0030445+0.0053842i,0.014754+0.023465i,0.043554+0.030317i,0.0048081+0.002025i,-0.0076391+0.002606i,0.0074401-0.0017838i,0.00037395+0.0025211i,0.0012938+0.0048734i,-0.00019883+0.00066154i,-0.012048+0.017607i,-0.0055564-0.0027901i,0.0042525-7.5616e-06i,0.0029776-0.0010937i,0.0029623+0.0028955i,-0.00016358-0.0019458i,-0.0021217-0.0023104i,-0.0018593-0.0041632i,-0.0038891-0.002565i,-0.0052485-0.0052662i,0.00082102-0.0044775i,0.0035151-0.0044313i,0.018106+0.023333i,0.0026313-0.0079458i,0.00072621-0.0032358i,0.0059631-0.0055556i,-0.0099266+0.0017095i,0.00061726+0.0020675i,0.0059126-0.0049953i,0.0057925-0.0004716i,-0.0033822+0.0068142i,0.013583-0.0078752i,0.019439+0.0045355i,-0.018479-0.087899i,-0.033924-0.042279i,-0.010529-0.036617i,-0.013779-0.027136i,0.057605-0.070863i,0.0051763-0.10064i,0.046417-0.054291i,0.0063103-0.067513i,0.0083419-0.0073821i,0.0050608-0.0033154i,0.0032523-0.03414i,0.0027426+3.9096e-05i,-0.0097029-0.013493i,-0.0061831-0.0086475i,-0.040794-0.020496i,-0.0013849+0.027558i,-0.0042231-0.012157i,-0.0098787+0.0055723i,-0.0054239+0.001404i,-0.014699-0.0094212i,-0.006037+0.01508i,0.013396+0.0036942i,0.020253+0.017522i,0.0061993-0.00061255i,-0.0036894+0.0011843i,-0.0055275-0.00013117i,-0.011816+0.010514i,-0.0026484-0.0028756i,-0.032521+0.01898i,-0.0066655-0.0054549i,-0.0078543+0.0067169i,-0.0079199+0.0073866i,-0.00084498-0.0050671i,-0.0060558+0.0066778i,0.0011723-0.0022274i,0.0029686+0.0021321i,0.0028846-0.0018018i,-0.0091804+0.0060661i,0.003814+0.0027252i,-0.0051171+0.013769i,0.0034763-0.0040401i,-0.024958+0.011779i,-0.026149+0.022257i,0.0051339-0.079326i,0.0012789-0.018118i,-0.048989-0.0011671i,-0.021261-0.011601i,0.017515-0.0028691i,-0.0097607+0.020361i,-0.02154-0.010039i
-0.026052-0.02864i,-0.025811-0.036305i,-0.02474-0.055189i,-0.030699-0.011786i,-0.0029934-0.0031771i,-0.04683-0.0040098i,-0.081156-0.0027732i,-0.061209-0.049674i,-0.050739-0.025238i,0.0071228+0.011158i,-0.0012552+0.014932i,0.0069419+0.013013i,0.01163-0.0029974i,-0.0067229+0.0088487i,0.0035096+0.0038866i,0.016492+0.013866i,0.050741+0.0074328i,0.0065874-0.00088516i,-0.0061326+0.0061999i,0.0050097-0.0042216i,0.0015764+0.0040757i,0.0046974+0.0051734i,-0.00017183+0.001017i,-0.00093131+0.022683i,-0.0042676-0.0011718i,0.0032924-0.0024793i,0.0028273-0.0018632i,0.0034284+0.00067439i,-0.00099395-0.00060677i,-0.0035757-0.0017582i,-0.0025299-0.0037892i,-0.0042347-0.0012251i,-0.0067669-0.0029445i,-0.00095011-0.0047358i,-0.00020092-0.0066591i,0.020124+0.013405i,-0.0003343-0.0086613i,-0.00028185-0.0034887i,0.0029604-0.0078904i,-0.0069868+0.0064915i,0.0015857+0.0015804i,0.0025988-0.0065551i,0.0055051-0.0023255i,-0.00054878+0.0066257i,0.015492-0.014621i,0.027409-0.0049166i,-0.032032-0.081733i,-0.037813-0.030886i,-0.012449-0.041733i,-0.012138-0.029244i,0.040725-0.098856i,-0.023992-0.10416i,0.045169-0.074297i,-0.0030869-0.066423i,0.0071647-0.0060135i,0.00073241-0.0062375i,-0.012314-0.034061i,0.0023979-0.0092687i,-0.01399-0.0079219i,-0.012393-0.011596i,-0.04767+0.0007442i,0.009484+0.02232i,-0.0090402-0.0095835i,-0.0062443+0.0062167i,-0.0047148+0.0041389i,-0.019617-0.0020643i,0.0030108+0.014092i,0.016131-0.0032848i,0.021524-0.00057681i,0.0064801-0.0026883i,-0.0046588+0.0010464i,-0.005738+0.0030064i,-0.0070749+0.016784i,-0.0047933+0.00034063i,-0.02852+0.028025i,-0.0073344-0.0027756i,-0.002781+0.009542i,-0.0015347+0.011835i,-0.0052865-0.0026031i,-0.0017415+0.005755i,0.00035434-0.0025517i,0.0021608+0.002623i,0.0004634-0.004182i,-0.0025747+0.005129i,0.00083391-0.00027911i,-0.0019606+0.015954i,-0.000693-0.0039698i,-0.017693+0.0179i,-0.017542+0.026338i,-0.005252-0.081351i,0.0015952-0.015088i,-0.044787+0.012442i,-0.029307-0.0086883i,0.01497-0.0084906i,-0.00024576+0.015201i,-0.021475-0.0054823i
-0.028038-0.023995i,-0.033558-0.034139i,-0.039588-0.055062i,-0.02862-0.0092568i,-0.0084676-0.011355i,-0.045611+0.0060339i,-0.06486+0.01682i,-0.063077-0.033801i,-0.046079-0.013114i,0.0094006+0.0092041i,0.0043834+0.01294i,0.0089113+0.0093252i,0.0062162-0.0085183i,-0.00054198+0.01141i,0.0030679+0.0022607i,0.013918+0.0096989i,0.040366-0.014049i,0.0057559-0.0041689i,-0.0014716+0.010997i,0.0026968-0.0045245i,0.0032338+0.0047381i,0.0056826+0.0035949i,7.9991e-05+0.0021443i,0.012421+0.017006i,-0.0043889+0.00054841i,0.0018609-0.003356i,0.0013155-0.0028643i,0.00067559+0.0019415i,-0.00026194+0.00023229i,-0.0044413+0.00048026i,-0.0035529-0.0026546i,-0.0041327+0.00030017i,-0.0063934-0.00012416i,-0.0034732-0.0042284i,-0.0028863-0.005134i,0.021535+0.0084048i,-0.003056-0.007755i,-0.0021101-0.0033611i,-0.00044892-0.007529i,-0.0020704+0.0026652i,0.0017198+0.00078979i,-0.00079978-0.0050138i,0.0055924-0.0029601i,0.00040025+0.0055442i,0.014659-0.026656i,0.032249-0.019445i,-0.039807-0.073369i,-0.03675-0.021087i,-0.015595-0.045323i,-0.012422-0.030125i,0.005826-0.11802i,-0.048828-0.096258i,0.027019-0.091254i,-0.015065-0.06027i,0.00748-0.0038931i,-0.0037282-0.0063957i,-0.023039-0.024003i,-0.0047132-0.013447i,-0.015942-0.0049185i,-0.021809-0.0067012i,-0.04493+0.01874i,0.013978+0.010796i,-0.013103-0.0042888i,-0.0047916+0.0059333i,-0.0031731+0.0067287i,-0.020261+0.0080662i,0.0044405+0.0088348i,0.015316-0.011127i,0.027487-0.0054522i,0.0049918-0.006821i,-0.0064844+0.0036984i,-0.0037153+0.0061991i,0.0019809+0.018899i,-0.0047616+0.0043236i,-0.016749+0.046404i,-0.009341-0.00077969i,0.0010629+0.007156i,0.0046059+0.011059i,-0.0064964+0.0020853i,-0.0024614+0.0025973i,-0.0012954-0.003077i,0.0013473+0.0045794i,-0.0047263-0.0025438i,-0.0022831+0.0016011i,-0.0026859+0.0017498i,0.0041054+0.017526i,-0.0034089-0.0025765i,-0.0092809+0.020534i,-0.01113+0.027104i,-0.018936-0.07976i,0.0062749-0.020677i,-0.036048+0.025928i,-0.033584+0.0016167i,0.0097779-0.013893i,0.0010402+0.0075596i,-0.021047-0.0043174i
-0.028594-0.020372i,-0.038123-0.030542i,-0.056379-0.047062i,-0.028544-0.0084364i,-0.019814-0.012906i,-0.040444+0.014784i,-0.048376+0.022324i,-0.061418-0.022588i,-0.043414-0.0095008i,0.010347+0.007197i,0.0063455+0.0098179i,0.010511+0.0045333i,-0.00056571-0.010522i,0.0038272+0.0089553i,0.0024458+0.0015539i,0.012888+0.0074721i,0.023905-0.023526i,0.0047135-0.005557i,0.0050468+0.01026i,0.00076851-0.0038623i,0.0059936+0.0027029i,0.0059772+0.0013041i,0.0021796+0.0028498i,0.026195+0.0068946i,-0.0021212+0.0028185i,0.00067064-0.0046034i,-0.00023725-0.00069715i,0.0065142-0.0034623i,0.00022259-0.00062247i,-0.0029066+0.0034547i,-0.0031623-0.0016968i,-0.0040092+0.0012689i,-0.0062912+0.0021619i,-0.0053179-0.0014011i,-0.0034046-0.0033864i,0.024148+0.0011396i,-0.0056589-0.0057842i,-0.0042128-0.0029922i,-0.0028326-0.00687i,-0.0046939-0.0013191i,0.0020584+0.00045426i,-0.0021801-0.002406i,0.0042723-0.0048543i,0.00084503+0.0050318i,0.0058835-0.035847i,0.022099-0.038088i,-0.042765-0.065914i,-0.035203-0.014083i,-0.020695-0.045928i,-0.011954-0.034044i,-0.032881-0.11424i,-0.070184-0.079846i,0.0063978-0.095789i,-0.016192-0.046984i,0.013729+0.00055768i,-0.0066606-0.0040208i,-0.02433-0.010379i,-0.010654-0.013125i,-0.020644-0.00014437i,-0.020575+0.00234i,-0.035763+0.034922i,0.012135+0.0034616i,-0.010317+0.0028562i,-0.0051921+0.006224i,0.0016396+0.0088331i,-0.013878+0.015558i,0.0060333+0.0095736i,0.010476-0.022762i,0.015564-0.021159i,-0.0013637-0.011079i,-0.0064174+0.0080563i,-0.0017403+0.0070817i,0.0092688+0.016274i,-0.001671+0.0067971i,0.0021209+0.05462i,-0.010984+0.0024869i,0.0013688+0.0060144i,0.0083308+0.006301i,-0.0047188+0.0070106i,-0.0039429+0.0044622i,-0.0047396-0.0028691i,0.0044669+0.0053584i,-0.0046654+0.0030059i,-0.0048163+0.0015394i,-0.0003353+0.0070601i,0.010407+0.014572i,-0.0046556-0.0014258i,-0.0027771+0.017587i,-0.0024278+0.027602i,-0.02573-0.070644i,-0.0026642-0.034109i,-0.015938+0.031442i,-0.029521+0.0096768i,0.0061441-0.022083i,0.00034086+0.0017793i,-0.02135-0.00027438i
-0.028999-0.018194i,-0.046614-0.027855i,-0.069524-0.034019i,-0.028062-0.0039344i,-0.028678-0.0049389i,-0.034176+0.020277i,-0.037029+0.021376i,-0.059548-0.015123i,-0.046414-0.005507i,0.012668+0.0037863i,0.0094524+0.008469i,0.0082974-0.0011315i,-0.0081784-0.007461i,0.0082345+0.0044097i,0.0020337+0.00095246i,0.012546+0.0062215i,0.0089572-0.024084i,0.0025533-0.0074704i,0.0080244+0.004956i,-0.00031422-0.0025952i,0.0059472-0.00074045i,0.0074553+0.00054632i,0.0040862+0.0015237i,0.022205-0.0086286i,0.0018137+0.0017299i,-0.0004309-0.0030415i,0.0012827-0.0016496i,0.0051481-0.0093676i,1.6026e-07-0.00042421i,-0.00026033+0.0036216i,-0.0034002-0.0012843i,-0.003351+0.0026206i,-0.0039688+0.003781i,-0.0039997+0.0018328i,-0.0042683-0.00336i,0.021833-0.0079955i,-0.0062829-0.0025196i,-0.0050053-0.00092091i,-0.0057313-0.0033201i,-0.0099414+0.0015381i,0.0021317+0.00044003i,-0.0011209-0.001615i,0.0026153-0.0055953i,0.0018444+0.0033313i,-0.0065504-0.038715i,0.0048761-0.04044i,-0.048921-0.064475i,-0.027689-0.0085027i,-0.024937-0.044533i,-0.019908-0.04054i,-0.060029-0.09996i,-0.078689-0.0546i,-0.017253-0.09559i,-0.010133-0.043978i,0.020792-0.012377i,-0.0078298-0.00016903i,-0.020808-0.0059693i,-0.019835-0.0093485i,-0.018796+0.009331i,-0.018318+0.0065156i,-0.01461+0.044334i,0.011005-0.00067522i,-0.0085648+0.0029092i,-0.0015589+0.0062704i,0.004331+0.0055616i,-0.0058561+0.019838i,0.010676+0.0073666i,-0.0047166-0.027799i,-0.0039666-0.022672i,-0.0057496-0.0042064i,-0.0023184+0.011627i,0.0019851+0.0059131i,0.016057+0.0092632i,0.0021826+0.0053336i,0.027836+0.052332i,-0.0077573+0.0078673i,0.0023803+0.0044187i,0.0087303+0.0016767i,0.00049787+0.0094428i,-0.0053812+0.0059369i,-0.0062542+0.0019379i,0.0074395+0.0040522i,-0.0020214+0.0060337i,-0.0068714+0.0037834i,0.0036115+0.0069272i,0.011789+0.0081545i,-0.0050532+0.00078641i,0.0025471+0.014254i,0.0052387+0.024075i,-0.030431-0.069573i,-0.021359-0.034774i,-0.0018926+0.023112i,-0.025984+0.014382i,-0.0033015-0.026602i,-0.0035918-0.0018511i,-0.014983+0.0017075i
-0.030882-0.016043i,-0.055016-0.018061i,-0.077748-0.014644i,-0.025592-0.0030836i,-0.028609+0.0060656i,-0.029076+0.023685i,-0.030781+0.019113i,-0.058249-0.0094012i,-0.04637+0.0044463i,0.013708-0.00053599i,0.012317+0.0016058i,0.0028327-0.0017875i,-0.01071-0.00089948i,0.0056755-0.0013102i,0.0012338+0.00040238i,0.014775+0.0035782i,-0.00082738-0.018085i,-0.0016561-0.0079824i,0.0070494+0.0012944i,-0.00063264-0.0016342i,0.0034967-0.0023989i,0.0069841-0.002443i,0.0039881-0.00042735i,0.014118-0.016258i,0.0012575-0.0013034i,-0.00035481-0.0031389i,0.00089218-0.0027768i,0.00079693-0.0051433i,0.0016069+0.00023239i,0.00064808+0.0026719i,-0.0037335-0.00082113i,-0.0019978+0.0033393i,-0.0029957+0.0043597i,-0.0020621+0.0015904i,-0.0056547-9.9174e-05i,0.016098-0.015438i,-0.0049635-0.00056933i,-0.0039722+0.0015651i,-0.0048626+0.00045097i,-0.0095716+0.0074818i,0.0021763+0.00011235i,-0.00087631-0.0014182i,0.0010313-0.0055468i,0.0010833+0.0014331i,-0.017244-0.034103i,-0.0012942-0.031276i,-0.057903-0.061588i,-0.02076-0.010167i,-0.02929-0.043087i,-0.031172-0.037471i,-0.083008-0.082522i,-0.074088-0.034762i,-0.042489-0.083869i,-0.0089491-0.048019i,0.018309-0.024805i,-0.0059423+0.0024324i,-0.019759-0.00021334i,-0.026178+0.0012419i,-0.011802+0.016352i,-0.014601+0.012479i,0.0071171+0.038925i,0.0087616-0.0057031i,-0.0088443+0.0059551i,-0.0013031+0.0042106i,0.0065435+0.004124i,0.0029924+0.017227i,0.012726-0.00035563i,-0.019615-0.019445i,-0.015263-0.01256i,-0.0038191-0.00021217i,0.0040359+0.01155i,0.0033806+0.0039182i,0.017999+0.00090861i,0.0049573+0.0047547i,0.042171+0.036789i,-0.003862+0.0069442i,0.0023716+0.0042622i,0.0068882-0.00301i,0.0059758+0.0066764i,-0.0038929+0.011492i,-0.0033201+0.0076327i,0.009799+0.00029911i,0.0031107+0.0060456i,-0.0064535+0.0086651i,0.0059413+0.0041451i,0.011331+0.0045541i,-0.0050805+0.0017526i,0.0050971+0.0095381i,0.010027+0.01872i,-0.03795-0.066723i,-0.033316-0.021643i,0.0043903+0.011226i,-0.014049+0.020822i,-0.013952-0.026799i,-0.010748-0.0015191i,-0.014404-0.003698i
-0.033012-0.01235i,-0.056886-0.0052684i,-0.075714+0.0050254i,-0.026318-0.0023652i,-0.023501+0.012856i,-0.024003+0.027128i,-0.027149+0.015945i,-0.059275-0.0043387i,-0.040183+0.013218i,0.012163-0.0049817i,0.0074786-0.0023795i,0.0015017+0.0013584i,-0.0099376+0.0044171i,0.0027594-0.0033428i,6.7561e-05+0.00091171i,0.015358-0.0015825i,-0.002955-0.010861i,-0.0046198-0.0056589i,0.0061193-0.00023591i,-0.00031571-0.00077779i,0.0025952-0.0014696i,0.005161-0.0038647i,0.0036577-0.0011722i,0.0061387-0.018045i,-0.00051996-0.0021948i,-0.0016097-0.0040806i,-0.00020674-0.0031912i,-0.00062187-0.0052925i,0.0015856-0.0012591i,0.0018386+0.0022652i,-0.0038922-0.00031263i,-0.00061984+0.0032634i,-0.00069739+0.0043347i,-0.0022764+0.0025077i,-0.0037319+0.0011804i,0.007725-0.017896i,-0.0034657+0.00034491i,-0.0022708+0.0026785i,-0.0068019+0.0016234i,-0.0050756+0.011229i,0.0023197+5.9445e-06i,-0.0014756-0.00088165i,-0.0017254-0.0052729i,-0.001499+0.0017495i,-0.023571-0.026638i,0.0045979-0.026404i,-0.068207-0.056428i,-0.018908-0.013941i,-0.032491-0.040251i,-0.037337-0.029927i,-0.10072-0.055218i,-0.070426-0.026058i,-0.050905-0.059024i,-0.012331-0.050322i,0.0073877-0.036111i,-0.0045999+0.0026716i,-0.016318+0.0010541i,-0.02165+0.014271i,-0.0041123+0.01633i,-0.0035281+0.013815i,0.016853+0.024654i,0.0048063-0.0079591i,-0.0064535+0.0082179i,-0.0023404+0.003895i,0.0068114-0.00083491i,0.0072854+0.013307i,0.0069244-0.0039638i,-0.025722-0.0049906i,-0.018002-0.0020953i,-0.0016345+0.00058685i,0.0069908+0.0092102i,0.0026768+0.0025952i,0.014968-0.0094027i,0.0062829+6.1805e-05i,0.051294+0.013578i,-0.0034483+0.0084122i,0.004217+0.0031561i,0.0021817-0.0052453i,0.0067813+0.0026116i,0.00086594+0.014773i,0.0036403+0.0061643i,0.007525-0.0041619i,0.0057829+0.0021792i,-0.00067007+0.010937i,0.0047994+0.0031012i,0.010788+0.0018759i,-0.0061156+0.0031812i,0.0030655+0.0066122i,0.012223+0.014553i,-0.044579-0.062229i,-0.035699-0.0040082i,0.0024018+0.0016685i,-0.0037278+0.01494i,-0.025588-0.021545i,-0.013922+0.00735i,-0.01947-0.0020308i
-0.034587-0.0076699i,-0.05473+0.0047317i,-0.071247+0.020393i,-0.027873-7.2338e-05i,-0.017316+0.016873i,-0.017989+0.029505i,-0.027163+0.013776i,-0.061054+0.0039632i,-0.033747+0.016885i,0.0088277-0.00832i,0.0043805-0.0031809i,0.00236+0.0020905i,-0.0053885+0.007896i,0.00022669-0.0033348i,0.00058867+0.0021953i,0.011494-0.0066613i,-0.0025822-0.0095288i,-0.0054092-0.0019111i,0.0042345-0.0019736i,0.00044286-0.00032458i,0.0034393-0.0017984i,0.0035175-0.0040025i,0.0035882-0.0018257i,-0.00058643-0.01717i,-0.001423-0.001828i,-0.003437-0.0029468i,-0.0013342-0.0031247i,-0.0025617-0.0050549i,0.00092055-0.0019794i,0.0027995+0.00093145i,-0.0042979+0.00066015i,0.00071523+0.0026159i,0.00075084+0.0034779i,-0.00065359+0.0030178i,-0.0036184+0.0018676i,0.00074211-0.015363i,-0.0031939-0.00031933i,-0.00030045+0.0025776i,-0.0048937+0.0046947i,0.00058753+0.012772i,0.001816+0.00065677i,-0.00075364+0.00034956i,-0.0020021-0.0043866i,-0.0014027+0.0049011i,-0.023869-0.01923i,0.013204-0.03397i,-0.081885-0.045152i,-0.020077-0.016035i,-0.034726-0.038012i,-0.04163-0.022844i,-0.10287-0.026151i,-0.068223-0.013988i,-0.046744-0.044348i,-0.015238-0.053041i,-0.0062705-0.039164i,-0.0029683+0.0030949i,-0.017195+3.4506e-05i,-0.011846+0.020496i,0.00087759+0.012413i,0.0031341+0.005923i,0.016532+0.012806i,-0.00045303-0.0092536i,-0.0039856+0.0094629i,-0.0028307+0.0047774i,0.0036344-0.0036995i,0.0095096+0.0081043i,0.0046686-0.0024327i,-0.022927+0.0093579i,-0.014846+0.0071918i,-0.0007813+0.0010807i,0.010669+0.0063133i,0.0025304+0.0021266i,0.0057254-0.013862i,0.0037572-0.002904i,0.049499-0.0069826i,-0.00028318+0.0095518i,0.0035977+0.0012254i,-0.001452-0.0035884i,0.0060337+0.0014308i,0.0087086+0.01611i,0.0046315+0.001569i,0.0050997-0.0057881i,0.0045287-0.00043316i,0.00023059+0.011094i,0.0051972+0.0019365i,0.010709-0.0014763i,-0.0040777+0.0080633i,0.0036338+0.0059939i,0.014184+0.01104i,-0.051746-0.058347i,-0.036419-0.0035457i,-0.00061904-0.0020329i,-0.0025329+0.0064669i,-0.034047-0.011934i,-0.0081985+0.010247i,-0.019032+0.0014955i
-0.034347-0.0025807i,-0.050732+0.012678i,-0.061367+0.034214i,-0.027905+0.0040063i,-0.0097291+0.017282i,-0.012412+0.030308i,-0.028063+0.014775i,-0.059922+0.01386i,-0.028783+0.01976i,0.0044543-0.010528i,0.0022242-0.0024467i,0.0039014+0.0015173i,-0.00093512+0.0090425i,-0.0027964-0.0018209i,0.0010586+0.0021158i,0.006781-0.0083606i,-0.0057513-0.011149i,-0.0046283-3.0412e-05i,0.0037351-0.0020365i,0.0012156-0.00066469i,0.003296-0.0029447i,0.0031099-0.0035637i,0.0032537-0.0028068i,-0.0063369-0.014891i,-0.0022483-0.001516i,-0.0037385-0.0010696i,-0.0026777-0.0024907i,-0.0039661-0.0034477i,0.00018939-0.0023791i,0.0024482-0.0010754i,-0.0044617+0.0024128i,0.001051+0.0020822i,0.0017198+0.0026554i,0.0012876+0.0022323i,-0.0027678+0.0030468i,-0.0029057-0.01131i,-0.0033569-0.00021296i,0.00099508+0.0013107i,-0.0017003+0.0051496i,0.0072553+0.011248i,-0.00041847-0.00051291i,0.00023617+0.0004951i,-0.0033457-0.0045313i,0.00098945+0.0047161i,-0.021861-0.016333i,0.010685-0.050252i,-0.088888-0.027231i,-0.020357-0.017475i,-0.037108-0.039505i,-0.043557-0.014489i,-0.09834-0.0047201i,-0.063384-0.0056347i,-0.043146-0.034887i,-0.021974-0.055555i,-0.023301-0.037955i,-0.0021208+0.0024138i,-0.022981+0.0025145i,-0.0024595+0.019565i,0.0035094+0.0081747i,0.00251-0.0013739i,0.012744+0.0068597i,-0.0056581-0.0085079i,-0.00062788+0.010226i,-0.0018155+0.0055959i,0.00071941-0.0036786i,0.0078599+0.003239i,0.0041415-0.0016037i,-0.013634+0.016934i,-0.0078227+0.013213i,0.0016276-0.00019633i,0.013591+0.00020997i,0.0023292+0.002372i,-0.0017793-0.012128i,0.0010743-0.0031531i,0.042594-0.026459i,0.0037129+0.010418i,0.00273+0.0013808i,-0.0036355-0.0010639i,0.0062783-0.0017569i,0.01678+0.011825i,0.0031568-0.0013833i,0.0020226-0.0068022i,0.0031023-0.0023237i,0.0064459+0.005516i,0.0050865+0.0019498i,0.0078873-0.0055145i,0.00068741+0.0089436i,0.004416+0.0040965i,0.016631+0.0067548i,-0.060542-0.051414i,-0.025171+0.0087064i,-0.0026753-0.0047054i,-0.0050798+0.0036385i,-0.037821+1.6602e-05i,-0.0057098+0.0086797i,-0.016851+0.0042437i
