-0.0090972-0.038357i,-0.013783-0.043759i,0.00089924-0.046408i,-0.026436-0.02726i,-0.020391+0.014427i,-0.032806-0.030642i,-0.060234-0.059653i,-0.023001-0.071302i,-0.021223-0.083534i,0.0026725+0.015145i,-0.0074747+0.0096788i,-0.014562+0.01283i,0.0012339+0.015907i,-0.0037079-0.0033039i,0.000751+0.0063259i,0.00065155+0.037154i,0.032575+0.054142i,0.001017-0.00065526i,-0.0051396-0.008167i,0.0081961+0.0045153i,0.0017415+0.00059003i,-0.0014792+0.0037294i,5.8024e-05-0.0012281i,-0.031538-0.0077446i,-0.0027048-0.0074106i,0.00018781+0.0039242i,0.0042343+0.0008942i,-0.00016077+0.00065684i,-9.7452e-05-0.00073018i,-0.00012104-0.0026784i,-0.0015545-0.0052761i,-0.0023087-0.0041196i,-0.00035092-0.0077687i,0.0033095-0.00094202i,0.0035102-0.002514i,-0.001339+0.033363i,0.0071063-0.0044998i,0.0033603-0.0022977i,0.0049137-0.00031492i,-0.0063181-0.0036141i,-0.00027822+0.00022537i,0.0052363-5.664e-05i,0.0046231+0.0010196i,-0.0030511+0.004609i,0.0029875+0.0012962i,-0.002792+0.0068795i,0.012692-0.08808i,-0.0073401-0.049676i,-0.025555-0.039612i,-0.020191-0.041868i,0.062328-0.018372i,0.026475-0.060571i,0.037788-0.045756i,0.03024-0.05879i,0.018128-0.015506i,0.0084296+0.010042i,0.022288-0.033413i,-0.0068157-0.0063402i,0.0020854-0.0030204i,-0.0045984-0.0060368i,0.00089833-0.031565i,-0.023985+0.031672i,0.0078985-0.011426i,-0.0092149-0.00086382i,-0.0052438-0.0011102i,-0.0017214-0.013881i,-0.0098975+0.0035201i,0.0039905+0.0079393i,-0.010092+0.030091i,0.0061097+0.0078995i,-0.005684-0.001968i,-0.0019804-0.0019764i,-0.013233-0.0065949i,0.00058215-0.003468i,-0.034299+0.017962i,0.0021267-0.011874i,-0.0099424-0.0012176i,-0.006142-0.0026886i,0.0067004+0.0013548i,-0.010318+0.00042935i,0.0010794+0.00083029i,0.0075923+0.010568i,0.0042067+0.00073934i,-0.010553-0.0088007i,0.0027094+0.0083813i,-0.018089+0.0088292i,0.0060575+0.0027903i,-0.028918-0.0079357i,-0.034319+0.0032856i,0.020777-0.091716i,0.01161-0.010339i,-0.04316-0.027703i,-0.023826-0.0035791i,0.01784+0.012177i,-0.026491+0.013555i,-0.012872-0.0081049i
-0.016433-0.037052i,-0.020004-0.036608i,-0.0064168-0.049651i,-0.029246-0.024172i,-0.010626+0.011981i,-0.040619-0.023275i,-0.068055-0.046284i,-0.032155-0.068655i,-0.033102-0.050694i,0.0042366+0.012795i,-0.0067377+0.0081571i,-0.0072455+0.01923i,0.0093871+0.011758i,-0.0081078-0.00028473i,0.0017235+0.0056313i,0.0096103+0.030894i,0.036722+0.027114i,0.001901+0.0017659i,-0.0083057-0.0030948i,0.0085786+0.0010717i,0.00057127+0.0015462i,-0.0012748+0.0042278i,-0.00049105+6.7822e-05i,-0.022248+0.0096963i,-0.0052597-0.0051963i,0.0025733+0.0018202i,0.003788+0.00037272i,0.00054032+0.003807i,0.00091671-0.00077046i,-0.0014899-0.0028074i,-0.0013654-0.0041138i,-0.0024476-0.003766i,-0.0025425-0.0071719i,0.0026691-0.0030375i,0.0020817-0.002317i,0.0078624+0.029878i,0.00554-0.0075151i,0.0014122-0.0031764i,0.0068919-0.0013025i,-0.009973-0.0025337i,2.3671e-05+0.0014668i,0.0099753-0.0016141i,0.0041316+0.00099611i,-0.0045054+0.0053376i,0.0099026-0.00067225i,0.0083475+0.0088383i,-0.0031997-0.089419i,-0.02272-0.050898i,-0.018699-0.033211i,-0.020477-0.028509i,0.064575-0.046194i,0.025007-0.081404i,0.040621-0.046588i,0.019481-0.067766i,0.0084347-0.0095187i,0.0079024+0.00029683i,0.0073506-0.037551i,-0.0065911+0.00034696i,-4.8062e-05-0.012184i,-0.0060309-0.0064309i,-0.023438-0.032083i,-0.0096917+0.029564i,0.0015396-0.013094i,-0.0090837+0.00092881i,-0.0044623+0.00048346i,-0.0072653-0.01297i,-0.010912+0.0083963i,0.0077305+0.0084035i,0.008102+0.02804i,0.0082796+0.0018136i,-0.0042079+0.0018943i,-0.0043979-0.0016264i,-0.015908+0.0023982i,0.00010583-0.0030918i,-0.036461+0.011933i,-0.0043909-0.010045i,-0.0092332+0.0026662i,-0.0078129+0.00090442i,0.0038401-0.0043375i,-0.0095764+0.0040536i,0.0021385-0.00092329i,0.0065306+0.0024675i,0.0032829-2.586e-05i,-0.014307-0.0007305i,0.0041795+0.0055827i,-0.0092503+0.015114i,0.0058165-0.0008157i,-0.029016+0.0026685i,-0.032271+0.013463i,0.010919-0.088716i,0.0077165-0.016676i,-0.051367-0.015039i,-0.017541-0.0054695i,0.018666+0.0056354i,-0.01923+0.02052i,-0.018095-0.013196i
-0.021143-0.033448i,-0.022106-0.03465i,-0.014406-0.052329i,-0.03206-0.018937i,-0.0042905+0.0055217i,-0.045526-0.014378i,-0.078001-0.030415i,-0.046395-0.064942i,-0.037896-0.042009i,0.0053959+0.011587i,-0.0063144+0.011746i,0.0022169+0.018305i,0.01199+0.0040285i,-0.0087153+0.0042465i,0.0030585+0.0055024i,0.015242+0.023111i,0.038524+0.022124i,0.0045837+0.0017978i,-0.007579+0.0019787i,0.0077647-0.0026799i,0.00019828+0.0024596i,0.00059895+0.0051505i,-7.0285e-05+0.00078498i,-0.011632+0.016241i,-0.0054854-0.001784i,0.003627+0.00034106i,0.0030749-0.0010817i,0.0033878+0.0046857i,-0.00016933-0.0016478i,-0.0021729-0.0023797i,-0.0017719-0.0040761i,-0.0036082-0.0028957i,-0.0056047-0.0068902i,0.00088699-0.0039373i,0.0035163-0.0051462i,0.017419+0.024011i,0.0021393-0.008798i,0.00054335-0.0032897i,0.0076117-0.0055018i,-0.0104-0.0011012i,0.00077372+0.0018823i,0.0067947-0.0056552i,0.0053919+0.00083279i,-0.0031444+0.0074209i,0.014137-0.0087255i,0.018868+0.0040659i,-0.0178-0.087748i,-0.03339-0.042196i,-0.011498-0.037168i,-0.013154-0.027406i,0.057703-0.071855i,0.0045965-0.10111i,0.04674-0.054092i,0.0067615-0.069093i,0.0073456-0.0072915i,0.0048441-0.0032156i,0.011141-0.040032i,0.0025616-0.0004114i,-0.0098831-0.012986i,-0.0062426-0.0083678i,-0.039945-0.020377i,-0.0008326+0.027963i,-0.0042905-0.012906i,-0.0084153+0.004491i,-0.0055624+0.0014384i,-0.014609-0.010288i,-0.00614+0.015473i,0.013339+0.0035436i,0.021036+0.020868i,0.0066301-0.0013891i,-0.0036141+0.0011726i,-0.005487-0.00017737i,-0.01421+0.011652i,-0.0029166-0.0028218i,-0.036454+0.015349i,-0.0071104-0.005794i,-0.0073633+0.0067195i,-0.0080887+0.0074106i,-0.00085207-0.0051893i,-0.0066526+0.0062075i,0.0012978-0.0023823i,0.0036505+0.0019562i,0.0026744-0.0013547i,-0.0085685+0.006632i,0.0040679+0.002365i,-0.002462+0.016297i,0.0032585-0.0040279i,-0.024949+0.01149i,-0.02632+0.021291i,0.00054848-0.084982i,0.00086494-0.017987i,-0.050612+4.1102e-05i,-0.021687-0.011284i,0.01686-0.0021304i,-0.0081994+0.021457i,-0.022448-0.010735i
-0.024893-0.029705i,-0.026221-0.035187i,-0.024249-0.05595i,-0.030978-0.011952i,-0.0027837-0.0035007i,-0.046926-0.0039001i,-0.081287-0.0034996i,-0.060939-0.050867i,-0.048276-0.033645i,0.0075508+0.010683i,-0.0014604+0.014455i,0.0067601+0.013075i,0.011384-0.0030625i,-0.0068559+0.0093507i,0.0037487+0.0038212i,0.016396+0.01366i,0.046626+0.0042015i,0.0061981-0.00097489i,-0.0060666+0.005808i,0.0051502-0.0045702i,0.0016377+0.0039669i,0.0028943+0.0068194i,4.5945e-05+0.0011887i,-0.001426+0.021617i,-0.0040669-0.00064708i,0.0032051-0.0016339i,0.0027579-0.0020632i,0.0045347+0.0015361i,-0.00078802-0.00052195i,-0.0034885-0.0018141i,-0.002693-0.0035513i,-0.0040786-0.0017729i,-0.0080409-0.0038427i,-0.00050552-0.0042881i,-0.0010836-0.0069492i,0.020861+0.014646i,-0.0012355-0.0090055i,-0.0005022-0.0032818i,0.0038923-0.0098635i,-0.0082345+0.0043803i,0.0015523+0.0014701i,0.0029426-0.0071712i,0.0057055-0.00091416i,-0.00021402+0.0069789i,0.015825-0.015216i,0.026971-0.0053201i,-0.031714-0.081908i,-0.037237-0.031708i,-0.013005-0.041906i,-0.011787-0.02959i,0.040906-0.099748i,-0.024194-0.10437i,0.045724-0.074042i,-0.0035797-0.068219i,0.0070408-0.0058154i,0.0007471-0.0060687i,-0.013694-0.033108i,0.0024587-0.0090478i,-0.014068-0.0080906i,-0.012128-0.011372i,-0.047025+0.00047185i,0.010336+0.02259i,-0.0096516-0.0099465i,-0.0057491+0.0055838i,-0.0046325+0.0042665i,-0.019803-0.0029105i,0.0030834+0.014251i,0.016025-0.0027672i,0.023436+0.02038i,0.0064754-0.0029596i,-0.0046872+0.00082791i,-0.0058539+0.0029521i,-0.0073445+0.017668i,-0.0046812+0.00034749i,-0.041846+0.028673i,-0.0076955-0.0032445i,-0.0023874+0.0093163i,-0.0011818+0.012633i,-0.0056044-0.0030689i,-0.0021676+0.0049026i,0.00037323-0.0025738i,0.0023616+0.0025843i,0.00038146-0.0033555i,-0.0026818+0.0052753i,0.0006899-0.00082925i,0.0035025+0.018596i,-0.00075483-0.0039164i,-0.018126+0.017515i,-0.01775+0.026249i,-0.0082243-0.083845i,0.0014889-0.014749i,-0.045918+0.013897i,-0.029192-0.0088529i,0.014178-0.0074406i,0.00085729+0.016801i,-0.022823-0.0039689i
-0.027643-0.024998i,-0.033505-0.033112i,-0.040385-0.055621i,-0.028808-0.009264i,-0.0085005-0.01176i,-0.045802+0.005959i,-0.065041+0.016393i,-0.063388-0.034648i,-0.047494-0.019785i,0.0094411+0.009208i,0.0042574+0.012465i,0.0086114+0.0097562i,0.0061737-0.0087371i,-0.0011241+0.011311i,0.0034364+0.0021914i,0.014021+0.0095668i,0.03752-0.014824i,0.0057429-0.0042005i,-0.0019184+0.010691i,0.0027768-0.0045602i,0.0031563+0.0040765i,0.006683+0.0038097i,0.00019526+0.0022847i,0.0060602+0.0209i,-0.0046088+0.0010926i,0.0025559-0.002665i,0.0013479-0.0028014i,-0.001943+0.0066357i,-0.00021331+5.4832e-05i,-0.0044923+0.00057283i,-0.0034754-0.0023641i,-0.0041902-0.00015921i,-0.0075029-0.00031875i,-0.0032094-0.0039514i,-0.0037098-0.0053086i,0.022505+0.0090105i,-0.0036665-0.0077003i,-0.0021113-0.003121i,-0.00037917-0.0085493i,-0.0030159+0.0019477i,0.0014753+0.00072376i,-0.00085666-0.0053513i,0.005662-0.0015402i,0.001009+0.0055195i,0.014949-0.027158i,0.03172-0.019606i,-0.039839-0.072992i,-0.036878-0.021833i,-0.015717-0.045736i,-0.012215-0.030136i,0.0060216-0.11921i,-0.049323-0.096467i,0.028699-0.090332i,-0.016062-0.061703i,0.0072692-0.0036438i,-0.0037228-0.0065268i,-0.02391-0.021826i,-0.0039263-0.013298i,-0.015982-0.0049313i,-0.021712-0.006566i,-0.043013+0.017712i,0.015332+0.011432i,-0.013228-0.0040082i,-0.0043307+0.0060299i,-0.0031679+0.0068128i,-0.019248+0.0080308i,0.0044998+0.0092106i,0.015974-0.010679i,0.021068-0.0074864i,0.0051273-0.007019i,-0.0071141+0.0032089i,-0.003574+0.0062755i,0.002136+0.020063i,-0.004603+0.0038768i,-0.030422+0.045948i,-0.0095407-0.0019598i,0.0016407+0.0070463i,0.0050709+0.010871i,-0.007544+0.0024914i,-0.0027671+0.0021982i,-0.0011022-0.0030067i,0.0013234+0.0049016i,-0.0048394-0.0031169i,-0.0020328+0.0018664i,-0.0030207+0.0011321i,0.0096844+0.018549i,-0.0031566-0.002427i,-0.0093795+0.020036i,-0.009407+0.028044i,-0.021604-0.081667i,0.0064007-0.020595i,-0.036617+0.0271i,-0.033898+0.0012388i,0.0097258-0.012716i,0.0022045+0.008278i,-0.020045-0.0036093i
-0.028523-0.021474i,-0.037612-0.029089i,-0.055478-0.047158i,-0.028886-0.0080393i,-0.019985-0.013286i,-0.040703+0.014657i,-0.048235+0.022026i,-0.061899-0.023726i,-0.044941-0.014947i,0.01061+0.0072i,0.006256+0.009892i,0.010463+0.0052609i,-0.00059766-0.010301i,0.0038766+0.0098293i,0.0026289+0.0014977i,0.013001+0.0075826i,0.020273-0.023472i,0.0047842-0.0057782i,0.0048682+0.010429i,0.00088116-0.0038808i,0.0049085+0.0021056i,0.0066171+0.00069332i,0.002377+0.0029886i,0.032662+0.0084239i,-0.0026302+0.0034955i,0.0032626-0.0043032i,-2.7774e-05-0.00077366i,0.0072832-0.0028456i,0.00015706-0.00070051i,-0.0030463+0.0037483i,-0.0031726-0.001298i,-0.0042398+0.00091802i,-0.0075756+0.0015579i,-0.00505-0.00080381i,-0.0042203-0.0031872i,0.024333+0.00145i,-0.0061259-0.0054579i,-0.0040534-0.0029382i,-0.0029293-0.0072967i,-0.0048467-0.0022575i,0.0015792+0.00041177i,-0.002561-0.0025706i,0.005577-0.0039671i,0.0014587+0.0046193i,0.0052319-0.03657i,0.021356-0.038067i,-0.042115-0.066233i,-0.035464-0.014204i,-0.021023-0.046199i,-0.012132-0.034029i,-0.032736-0.115i,-0.071193-0.080183i,0.010554-0.096965i,-0.017713-0.046857i,0.013414+0.00049598i,-0.0068532-0.003755i,-0.024488-0.0092012i,-0.010275-0.013547i,-0.020266-3.7503e-05i,-0.020557+0.0025355i,-0.034429+0.034318i,0.013062+0.0030217i,-0.0096422+0.0036204i,-0.0050759+0.0060453i,0.0017956+0.0091002i,-0.013557+0.015221i,0.0061239+0.0098266i,0.0113-0.022719i,0.013833-0.020796i,-0.0019317-0.010745i,-0.0070928+0.0080284i,-0.0015292+0.0070894i,0.010733+0.016624i,-0.0014213+0.0065902i,-0.0058434+0.055388i,-0.012535+0.0012704i,0.002105+0.0059038i,0.0086142+0.0059298i,-0.004825+0.008097i,-0.0037677+0.00462i,-0.0043228-0.0029964i,0.0042578+0.0060268i,-0.003887+0.004445i,-0.00528+0.0016571i,-0.00071747+0.0068752i,0.012847+0.013136i,-0.0043065-0.0015372i,-0.0032227+0.017501i,-0.0019825+0.026115i,-0.028251-0.07279i,-0.0029663-0.034408i,-0.016498+0.031677i,-0.029938+0.0096904i,0.0084588-0.023399i,0.00062111+0.001768i,-0.020627-4.2306e-05i
-0.029393-0.018931i,-0.044973-0.026775i,-0.06831-0.035199i,-0.028076-0.0032932i,-0.028688-0.0047847i,-0.034365+0.019958i,-0.037152+0.021139i,-0.060363-0.016634i,-0.048491-0.010627i,0.013061+0.0039629i,0.010081+0.0088149i,0.0082577-0.00071921i,-0.0080493-0.0072388i,0.0084193+0.0043331i,0.0021173+0.0010287i,0.012718+0.0064654i,0.0064572-0.02234i,0.0025385-0.0081085i,0.0079997+0.0053087i,-0.00015567-0.0025392i,0.0057268-0.00051818i,0.0074624-4.0435e-05i,0.0041993+0.0015028i,0.024403-0.0097854i,0.0019575+0.0020428i,-0.00018042-0.0032812i,0.0013032-0.0020012i,0.0049179-0.0097533i,-3.9823e-05-0.00056462i,-9.7662e-05+0.003884i,-0.0032473-0.0011399i,-0.0035756+0.0026851i,-0.0056962+0.0038001i,-0.0034743+0.001932i,-0.0049145-0.0027407i,0.023221-0.006713i,-0.0061375-0.0018112i,-0.0046841-0.00081779i,-0.0056226-0.0053564i,-0.012092+6.4498e-05i,0.0017224+0.0010018i,-0.0012906-0.001685i,0.004357-0.0055066i,0.0022485+0.0027152i,-0.007115-0.039111i,0.0045639-0.040135i,-0.048679-0.065316i,-0.027392-0.0084524i,-0.025242-0.044406i,-0.020257-0.040635i,-0.060117-0.10076i,-0.079338-0.054447i,-0.014762-0.10029i,-0.011423-0.043177i,0.021415-0.012301i,-0.0076108+3.7818e-05i,-0.021031-0.0052896i,-0.019698-0.0096906i,-0.01844+0.009357i,-0.018327+0.0066264i,-0.012993+0.042596i,0.011518-0.00094213i,-0.0073899+0.003284i,-0.0020503+0.0062357i,0.0046738+0.0056936i,-0.0057625+0.019714i,0.01079+0.0074222i,-0.004669-0.02776i,-0.0016808-0.023455i,-0.0054411-0.0042067i,-0.002901+0.011077i,0.0020715+0.0058386i,0.01698+0.0083809i,0.0024199+0.0052496i,0.020555+0.050996i,-0.0084237+0.0077133i,0.0030528+0.0043491i,0.0087062+0.0014797i,0.00075738+0.0095533i,-0.0051256+0.0067301i,-0.0062126+0.0016101i,0.0080597+0.0049568i,-0.0012388+0.0060991i,-0.0072679+0.0043943i,0.0032293+0.0067309i,0.013252+0.0063463i,-0.0044796+0.00046574i,0.002233+0.014957i,0.0050613+0.023647i,-0.033814-0.070917i,-0.022479-0.035028i,-0.001813+0.022981i,-0.025144+0.015151i,-0.00075369-0.023994i,-0.003668-0.0019596i,-0.014622+0.0013551i
-0.031657-0.016426i,-0.052712-0.018341i,-0.078596-0.017509i,-0.025479-0.0024235i,-0.02848+0.0059476i,-0.029288+0.02365i,-0.030885+0.01884i,-0.059746-0.010061i,-0.050579+0.00046357i,0.01386-0.00018075i,0.014245+0.0013445i,0.0026439-0.0014246i,-0.010602-0.00051698i,0.006427-0.00028716i,0.0011628+0.00048453i,0.015009+0.0035726i,-0.0025952-0.015663i,-0.0013358-0.0084602i,0.0078475+0.0018268i,-0.00045196-0.0015631i,0.003593-0.0025667i,0.0066512-0.0023622i,0.0041138-0.0004658i,0.014993-0.017025i,0.00099127-0.0014669i,-0.00045867-0.0036i,0.00069025-0.002884i,0.0010395-0.0041899i,0.0014742+0.00015756i,0.00087225+0.0026532i,-0.0038634-0.0010277i,-0.0018145+0.0034719i,-0.0031006+0.0069867i,-0.0020323+0.00094337i,-0.0058478+0.00073806i,0.018686-0.015227i,-0.0042071-0.00016163i,-0.0034713+0.0013033i,-0.0031562-0.0021659i,-0.012255+0.0097642i,0.002006+0.00096592i,-0.001029-0.0011764i,0.0051271-0.0076562i,0.0010508+0.00081707i,-0.017124-0.034321i,-0.0011624-0.030846i,-0.058085-0.062797i,-0.020865-0.010216i,-0.029098-0.042385i,-0.03169-0.037347i,-0.083125-0.082729i,-0.074325-0.034459i,-0.045049-0.087247i,-0.0089089-0.046816i,0.017387-0.024608i,-0.0058257+0.0023277i,-0.020215+0.00010768i,-0.026286+0.00057288i,-0.011202+0.015599i,-0.01451+0.012494i,0.0091135+0.039053i,0.0090172-0.006075i,-0.0078651+0.005211i,-0.0015182+0.0042342i,0.0067461+0.0040591i,0.003202+0.017185i,0.012989-0.00045769i,-0.02007-0.01842i,-0.014396-0.014138i,-0.0042483-0.00025677i,0.0035205+0.011199i,0.0034524+0.0041254i,0.019069+0.0011579i,0.005116+0.0044358i,0.039679+0.035024i,-0.0039165+0.0069432i,0.0026581+0.0042841i,0.0069519-0.002957i,0.0061082+0.0064574i,-0.0023961+0.0121i,-0.0033796+0.0075208i,0.011025+0.00018318i,0.0035288+0.0056383i,-0.0064297+0.0092292i,0.0057732+0.0040076i,0.011518+0.0022911i,-0.0047969+0.0011128i,0.005287+0.010117i,0.009752+0.018597i,-0.042777-0.066443i,-0.034601-0.020379i,0.0044348+0.010865i,-0.014189+0.020218i,-0.013728-0.02594i,-0.01074-0.0012663i,-0.014962-0.0036766i
-0.03379-0.012396i,-0.055942-0.0066661i,-0.077295+0.0043518i,-0.025992-0.001917i,-0.023528+0.012841i,-0.023881+0.026758i,-0.027419+0.015923i,-0.060794-0.0045642i,-0.0448+0.012072i,0.012292-0.004821i,0.0076846-0.0030598i,0.0014581+0.0014839i,-0.0087897+0.0048461i,0.0031205-0.0035306i,1.8072e-05+0.0010119i,0.015362-0.001602i,-0.004392-0.0088587i,-0.0044025-0.0064364i,0.007408-0.0011249i,-0.00022132-0.0007892i,0.0026974-0.0013339i,0.0051958-0.0039819i,0.0036521-0.001334i,0.0067967-0.018553i,-0.00067678-0.002101i,-0.0018877-0.0044704i,-0.00053112-0.0030496i,-0.00090732-0.0047653i,0.0016614-0.0013096i,0.0018985+0.0020721i,-0.0042129-0.00040867i,-0.0001994+0.0036505i,0.00059426+0.0047434i,-0.0026842+0.0019676i,-0.0035901+0.0014732i,0.0091042-0.021719i,-0.0029145+0.00016402i,-0.0021346+0.0021473i,-0.004755+0.00027942i,-0.0046977+0.014702i,0.0020366+0.000873i,-0.0015331-0.00060186i,-0.0043842-0.006471i,-0.0013956+0.0010958i,-0.023369-0.027393i,0.0045587-0.025916i,-0.069612-0.05622i,-0.01922-0.014001i,-0.032356-0.039705i,-0.037709-0.029619i,-0.10079-0.056234i,-0.070939-0.025235i,-0.054618-0.058657i,-0.010921-0.049608i,0.008514-0.034883i,-0.0045984+0.0026616i,-0.016271+0.0014313i,-0.023145+0.014241i,-0.0035957+0.015895i,-0.0035845+0.013927i,0.017829+0.022425i,0.0039604-0.0080329i,-0.0067772+0.0080453i,-0.0023808+0.0037781i,0.0065351-0.0010577i,0.0082468+0.012143i,0.0072283-0.0039793i,-0.025737-0.0038004i,-0.018546-0.0042831i,-0.0016845+0.00095361i,0.0061209+0.0095205i,0.0028065+0.0026606i,0.014947-0.011038i,0.0063066-0.00015236i,0.051535+0.016968i,-0.0034764+0.008833i,0.0043243+0.0030712i,0.0022087-0.006108i,0.0062947+0.0024382i,0.0025787+0.014303i,0.0034178+0.0059665i,0.0082029-0.0043693i,0.0060911+0.0012408i,0.00065727+0.016336i,0.0049668+0.0031234i,0.0096746+0.00038936i,-0.0065571+0.0026493i,0.0035622+0.0071887i,0.011918+0.0146i,-0.048065-0.060236i,-0.036707-0.0034086i,0.0022573+0.001615i,-0.0040386+0.014597i,-0.025294-0.018925i,-0.014092+0.006763i,-0.019658-0.0011557i
-0.034982-0.0075527i,-0.054906+0.0032731i,-0.070546+0.01932i,-0.027549+0.00011625i,-0.017211+0.016966i,-0.018178+0.028996i,-0.027452+0.013728i,-0.062327+0.0039685i,-0.037255+0.017349i,0.0089837-0.0084718i,0.0050276-0.0038904i,0.0024214+0.0020819i,-0.0048469+0.0085309i,2.2119e-05-0.0032095i,0.00033714+0.0022489i,0.011832-0.0071521i,-0.0032592-0.0074258i,-0.0056491-0.0022897i,0.0029519-0.0020052i,0.00055719-0.0003706i,0.0035517-0.0013226i,0.0033154-0.0043178i,0.0035009-0.0019645i,-0.00073241-0.018058i,-0.0012207-0.0018765i,-0.0039052-0.0028466i,-0.0015849-0.0030492i,-0.0022839-0.0043844i,0.0011241-0.0020284i,0.0027457+0.00057015i,-0.0047375+0.00046133i,0.0013047+0.002758i,0.0014324+0.0033809i,-0.0011438+0.0031685i,-0.0034977+0.0020032i,-0.00047075-0.016902i,-0.0030099-0.0004195i,-0.00045087+0.0023898i,-0.0033343+0.0037069i,0.0023548+0.016298i,0.00086719+0.0022326i,-0.00069216+0.00060998i,-0.0031737-0.0049325i,-0.001493+0.0039596i,-0.023806-0.019791i,0.013297-0.033403i,-0.081974-0.045049i,-0.020714-0.015706i,-0.034824-0.037567i,-0.041843-0.022757i,-0.10306-0.026688i,-0.068574-0.013364i,-0.048154-0.042068i,-0.013708-0.054728i,-0.0047292-0.040699i,-0.0028847+0.0033203i,-0.017037+0.00018857i,-0.013165+0.02169i,0.0012939+0.013018i,0.0031239+0.0058073i,0.015065+0.010552i,-0.001104-0.0079748i,-0.0040764+0.010158i,-0.0029513+0.0046964i,0.0035045-0.0035881i,0.0086026+0.0066191i,0.0047259-0.0024133i,-0.023017+0.010376i,-0.015174+0.007123i,-0.00059756+0.0012759i,0.010783+0.0070258i,0.0025129+0.0020272i,0.0042206-0.014729i,0.0036067-0.0028814i,0.052963-0.0017028i,-0.00039206+0.010317i,0.0032982+0.0012873i,-0.001738-0.0041549i,0.0054952+0.0011256i,0.0094782+0.014603i,0.0048819+0.0019093i,0.0068828-0.0055404i,0.0040419-0.0015045i,0.012308+0.011356i,0.0057343+0.0019719i,0.0094101-0.0022131i,-0.0046936+0.0081819i,0.0042912+0.0063944i,0.014052+0.01098i,-0.05381-0.056068i,-0.032949-0.0063446i,-0.00052171-0.0020902i,-0.0025892+0.0065182i,-0.031829-0.010062i,-0.0088044+0.010076i,-0.018753+0.0019977i
-0.034514-0.0025072i,-0.051261+0.011698i,-0.062745+0.033065i,-0.027129+0.0039935i,-0.0096177+0.017404i,-0.012751+0.030179i,-0.028366+0.014679i,-0.061284+0.014361i,-0.031173+0.021149i,0.0044325-0.0099379i,0.0023885-0.0029519i,0.0040729+0.0014084i,-0.0010937+0.0090131i,-0.0027188-0.0014976i,0.00090894+0.0023009i,0.006665-0.0091577i,-0.0051063-0.0089414i,-0.0047291-0.00049524i,0.0038682-0.0015605i,0.0011732-0.00083507i,0.0041518-0.0026971i,0.0027878-0.0034846i,0.0030495-0.0029406i,-0.0066975-0.015555i,-0.0018874-0.0016936i,-0.0041955-0.00072686i,-0.0029511-0.0022479i,-0.0035711-0.0032002i,0.00033899-0.0023479i,0.0023353-0.0012985i,-0.0048228+0.0020819i,0.0015223+0.0019521i,0.0020171+0.0027968i,0.0012434+0.0022996i,-0.0026486+0.0029926i,-0.0034853-0.011949i,-0.0026592-8.0288e-05i,0.00088033+0.0014779i,-1.8114e-05+0.0039324i,0.010171+0.01289i,-0.0024526-0.00014905i,0.0003811+0.0006901i,-0.004586-0.0047542i,0.00058993+0.0040218i,-0.021201-0.017175i,0.010786-0.04974i,-0.089046-0.02711i,-0.020605-0.016816i,-0.037414-0.039287i,-0.043777-0.014275i,-0.098912-0.0052445i,-0.063422-0.005267i,-0.042945-0.033266i,-0.021895-0.058208i,-0.024619-0.045081i,-0.0019288+0.0023983i,-0.022775+0.0025228i,-0.0029285+0.020481i,0.0023124+0.0092003i,0.002485-0.001302i,0.010692+0.0057415i,-0.0055313-0.0075998i,-0.0011041+0.010607i,-0.0017111+0.0062065i,0.00069912-0.0036166i,0.0075783+0.0028589i,0.0043832-0.0015115i,-0.014194+0.017626i,-0.0069727+0.012755i,0.0018614-5.4297e-05i,0.013682+0.00028024i,0.0022547+0.0023168i,-0.002662-0.01196i,0.00095757-0.0034429i,0.041753-0.015992i,0.0039338+0.010118i,0.0023263+0.0017077i,-0.0041658-0.0010157i,0.0055737-0.0016111i,0.016376+0.010074i,0.0039352-0.0014059i,0.0043908-0.0077637i,0.00204-0.0026317i,0.01386+0.011382i,0.0058972+0.0015679i,0.0064681-0.0046707i,0.00057745+0.0095898i,0.0050703+0.0041165i,0.016495+0.0069071i,-0.061184-0.049717i,-0.027861+0.0073458i,-0.0029362-0.0047871i,-0.0049258+0.0034459i,-0.035853-0.0011506i,-0.0054846+0.0087907i,-0.016619+0.0048493i
