-0.0014305-0.042039i,0.0002574-0.047042i,-0.0074584-0.047992i,-0.029763-0.023329i,-0.02286+0.010622i,-0.03647-0.033608i,-0.062954-0.058977i,-0.019024-0.070679i,-0.027417-0.054987i,-0.0007527+0.017223i,-0.010095+0.011988i,-0.014405+0.013538i,0.0023201+0.014522i,-0.0027889-0.0018038i,0.0017965+0.0061605i,0.00013393+0.034041i,0.021842+0.047874i,0.0011177-0.00061696i,-0.0037642-0.0095645i,0.0085269+0.004388i,0.001484+0.0011673i,-0.0010179+0.0036951i,-2.33e-05-0.00056361i,-0.036431-0.010399i,-0.0028298-0.0076525i,-0.0011087+0.0046071i,0.0023487-0.0008692i,-0.00015311+0.00036286i,0.0008288-0.00064313i,-1.2832e-05-0.0020857i,-0.0017874-0.0054018i,-0.002889-0.006653i,-0.0015622-0.0068576i,0.0034402-9.0826e-05i,0.0032792-0.0016641i,-0.0050908+0.039135i,0.0070635-0.0045882i,0.0032397-0.00078916i,0.0049331-0.00015989i,-0.016411-0.001731i,-0.00095511-0.00016753i,0.010813-0.001454i,0.0041688+0.0024404i,-0.0041125+0.0018197i,0.00014111+0.008352i,-0.005713+0.018204i,0.026766-0.081614i,0.00014112-0.054691i,-0.022789-0.04379i,-0.019318-0.037587i,0.06297-0.016079i,0.03073-0.057633i,0.039197-0.043839i,0.033829-0.051656i,0.01983-0.016577i,0.0073044+0.012362i,0.023913-0.033994i,-0.0086733-0.0053149i,0.003197-0.001316i,-0.0028859-0.0056032i,0.0056024-0.031811i,-0.025335+0.030094i,0.0089018-0.01018i,-0.012734-0.0023503i,-0.0047061-0.0018007i,0.00065466-0.014547i,-0.010952+0.0051765i,0.0031669+0.0068133i,-0.0148+0.031779i,0.0054205+0.0069984i,-0.0062185-0.0018971i,-0.0010782-0.002658i,-0.011762-0.0072475i,0.00037191-0.0035825i,-0.035331+0.0044588i,0.0014799-0.012934i,-0.0094793-0.0028457i,-0.0066693-0.0035772i,0.0064261+0.0021581i,-0.0090868+0.0022163i,1.6487e-07+0.0017737i,0.0061033+0.010611i,0.0046709+0.00078675i,-0.0093472-0.009928i,0.0016491+0.0080664i,-0.019708+0.0046399i,0.0067152+0.0032052i,-0.027771-0.0089944i,-0.035958-0.0020745i,0.026687-0.078894i,0.014482-0.0087853i,-0.042013-0.028464i,-0.023867-0.0064548i,0.017193+0.012365i,-0.026726+0.010867i,-0.012461-0.0096881i
-0.010088-0.042659i,-0.007036-0.042483i,-0.015893-0.049953i,-0.032474-0.018169i,-0.014095+0.0095795i,-0.045123-0.025573i,-0.069856-0.044564i,-0.029094-0.068242i,-0.030985-0.042447i,0.0020156+0.015713i,-0.008686+0.010932i,-0.006035+0.019519i,0.010188+0.010041i,-0.0068513+0.0010908i,0.0031333+0.0050804i,0.0084201+0.028322i,0.02898+0.038905i,0.002077+0.0016273i,-0.0080433-0.0041103i,0.0078482-4.8453e-05i,0.00055999+0.0021017i,-0.00091688+0.0034524i,-0.0002804+0.00053067i,-0.025406+0.010398i,-0.0053519-0.0048175i,0.0034492+0.0031733i,0.0031459-0.00082835i,0.00034933+0.0024312i,0.0017875-0.0011392i,-0.0010503-0.0025062i,-0.0019317-0.0040381i,-0.0039862-0.0054399i,-0.0035095-0.0056892i,0.0032804-0.002193i,0.0026348-0.0012908i,0.0080535+0.037007i,0.0062076-0.0071073i,0.002197-0.0020142i,0.0064066-0.0016842i,-0.010539-0.0016966i,-0.00093058+0.0014447i,0.0075697-0.0037645i,0.0031867+0.0025057i,-0.0060433+0.0030635i,0.0083234+0.0080504i,0.0086101+0.02264i,0.011865-0.086621i,-0.01619-0.059103i,-0.01795-0.036459i,-0.017062-0.025574i,0.066168-0.044775i,0.030244-0.078192i,0.041781-0.044392i,0.025073-0.062022i,0.0091644-0.010525i,0.0085724+0.0018764i,0.0095707-0.036707i,-0.0072985+0.00039475i,0.0013471-0.01144i,-0.0036481-0.0066273i,-0.017207-0.036067i,-0.010162+0.029227i,0.0029265-0.013403i,-0.013292+0.0021803i,-0.0041779+0.00022905i,-0.0070596-0.014435i,-0.010607+0.0098046i,0.0069416+0.007756i,0.0062721+0.032082i,0.0073381+0.0016151i,-0.0054794+0.0012459i,-0.0041507-0.0031325i,-0.015824+0.001979i,0.00067349-0.0026864i,-0.038563+0.016231i,-0.005516-0.009982i,-0.010513+0.0014927i,-0.0087113+0.0004159i,0.0049081-0.003728i,-0.0073928+0.0045026i,0.0017551+0.00048622i,0.0065162+0.0040593i,0.0030281-0.00051135i,-0.014176-0.0020358i,0.0034341+0.0053028i,-0.015305+0.013246i,0.0064715-0.0011718i,-0.029105+0.0013447i,-0.035905+0.0091794i,0.012737-0.081047i,0.010923-0.016198i,-0.048769-0.015469i,-0.018818-0.0066993i,0.018332+0.0062771i,-0.021482+0.017534i,-0.018479-0.015191i
-0.016468-0.03969i,-0.0095252-0.042922i,-0.02492-0.050163i,-0.034479-0.01228i,-0.0084723+0.0050898i,-0.051265-0.015787i,-0.0788-0.028086i,-0.042222-0.064342i,-0.035324-0.035652i,0.004396+0.013937i,-0.0079465+0.014806i,0.0033493+0.017807i,0.012423+0.0022837i,-0.006924+0.004984i,0.0041864+0.0043911i,0.013396+0.021393i,0.041065+0.028382i,0.0049918+0.0012144i,-0.0068374+0.0010606i,0.0070078-0.0021643i,0.00052365+0.0027355i,0.00070232+0.0048065i,0.00027502+0.0010161i,-0.012972+0.018266i,-0.0051301-0.001778i,0.0049288-0.00015462i,0.0024604-0.0016731i,0.0031069+0.0027169i,0.00054284-0.0021486i,-0.0015373-0.0021415i,-0.0022998-0.0036649i,-0.0058643-0.003968i,-0.0048574-0.004279i,0.0018497-0.0038468i,0.0043446-0.0039405i,0.020011+0.029157i,0.0031404-0.008338i,0.0013479-0.0024777i,0.0061767-0.0060032i,-0.0092645+4.3549e-05i,-0.00015991+0.0024541i,0.0057627-0.0055921i,0.0046861+0.0026898i,-0.0055194+0.0062217i,0.014543+0.00024389i,0.023363+0.01868i,-0.0032843-0.087729i,-0.031747-0.051589i,-0.0095161-0.038461i,-0.01107-0.027608i,0.059934-0.071458i,0.012148-0.098509i,0.048179-0.051222i,0.012936-0.064817i,0.0078282-0.0070609i,0.0058314-0.0029293i,0.0022998-0.039083i,0.0023046-0.00042798i,-0.008347-0.013141i,-0.0041713-0.0099934i,-0.037112-0.027485i,-0.00089939+0.027317i,-0.0037447-0.013002i,-0.010341+0.0056852i,-0.0049208+0.0016819i,-0.014387-0.011565i,-0.0046561+0.015352i,0.012959+0.0027535i,0.020268+0.022037i,0.0060714-0.00097179i,-0.0046408+0.0010857i,-0.0055059-0.0014487i,-0.013184+0.011475i,-0.0023747-0.0030277i,-0.034625+0.030288i,-0.0076272-0.0051753i,-0.0092513+0.0066581i,-0.0099734+0.0077434i,-0.00062292-0.0051329i,-0.0063299+0.0057874i,0.0012358-0.00080216i,0.0037665+0.0027514i,0.0024177-0.0015738i,-0.0092607+0.0062694i,0.0032156+0.002334i,-0.0088357+0.017444i,0.0034237-0.0043368i,-0.025327+0.0099631i,-0.029733+0.019266i,0.0021775-0.080773i,0.0041593-0.018002i,-0.048979-0.0025561i,-0.022521-0.011629i,0.017509-0.0013703i,-0.011373+0.019084i,-0.022533-0.01208i
-0.020897-0.036634i,-0.014345-0.046176i,-0.034836-0.049177i,-0.032919-0.0048926i,-0.0061297-0.0021171i,-0.053534-0.0034861i,-0.08048-0.00075253i,-0.055379-0.053335i,-0.041765-0.025436i,0.0070171+0.012588i,-0.0025526+0.018054i,0.007864+0.012449i,0.010601-0.0047963i,-0.0054613+0.0091697i,0.0044321+0.0024042i,0.01476+0.013008i,0.047856+0.010015i,0.0059484-0.0017327i,-0.0059745+0.0050281i,0.0050265-0.0042757i,0.0024524+0.0040068i,0.0036334+0.0048938i,0.00050695+0.001221i,-0.00062975+0.024204i,-0.0040999-0.00048055i,0.003552-0.0029581i,0.0022523-0.0022739i,0.003682+4.366e-05i,6.2616e-05-0.0012255i,-0.0028474-0.0017641i,-0.0026253-0.0032429i,-0.006308-0.0021173i,-0.0062435-0.002392i,9.4982e-05-0.0046382i,0.00062382-0.0067347i,0.024435+0.018059i,-4.8962e-05-0.0086428i,0.00052254-0.00303i,0.0023568-0.0081445i,-0.0066399+0.0042924i,0.00098397+0.0022639i,0.0024111-0.0069753i,0.0058688+0.00081056i,-0.0024188+0.0069251i,0.018245-0.0061665i,0.035738+0.0090014i,-0.017661-0.083936i,-0.037487-0.0389i,-0.010883-0.043897i,-0.011281-0.029241i,0.042687-0.10009i,-0.015739-0.10414i,0.048121-0.07097i,0.0030056-0.065126i,0.0069467-0.0057183i,0.0016794-0.0068712i,-0.014187-0.032895i,0.0015542-0.0099147i,-0.012594-0.0087231i,-0.011116-0.013707i,-0.048291-0.0075758i,0.010973+0.021978i,-0.0085301-0.010545i,-0.0065069+0.0063932i,-0.0042553+0.0039634i,-0.019798-0.004702i,0.0033677+0.013616i,0.015373-0.0037427i,0.015866+0.014393i,0.0058096-0.0030181i,-0.0051719+0.00097975i,-0.0068096+0.0016692i,-0.0075364+0.018593i,-0.0046232+2.0716e-05i,-0.028321+0.034037i,-0.0081198-0.0023498i,-0.0041154+0.0099974i,-0.0036082+0.013649i,-0.0046985-0.0024551i,-0.0028544+0.0063681i,0.0012236-0.0012746i,0.0025404+0.0027028i,0.00052107-0.0036157i,-0.0028907+0.0054249i,8.9812e-05-0.00047098i,-0.0052105+0.019302i,-0.00093535-0.0041382i,-0.018829+0.016023i,-0.021495+0.0231i,-0.0070311-0.081495i,0.0035784-0.015965i,-0.045709+0.011318i,-0.029846-0.008111i,0.014483-0.0081647i,-0.0028287+0.015491i,-0.022384-0.007195i
-0.024583-0.032605i,-0.023997-0.047128i,-0.046952-0.046479i,-0.028129-0.00091488i,-0.010466-0.0095711i,-0.052083+0.0085883i,-0.062865+0.018247i,-0.059829-0.039643i,-0.03946-0.015081i,0.0095808+0.010784i,0.0044119+0.016342i,0.0097489+0.0086093i,0.0050722-0.0093501i,-0.00066688+0.011213i,0.0037549+0.00053765i,0.012594+0.008879i,0.040064-0.012769i,0.004713-0.0042044i,-0.0016983+0.010904i,0.0028375-0.0050396i,0.0043264+0.0040364i,0.0052969+0.0029832i,0.00075636+0.001736i,0.014573+0.021036i,-0.0040598+0.0011784i,0.0020109-0.0038883i,0.00070001-0.0027474i,0.004431+0.00090401i,-0.00014292-0.00065075i,-0.0041985+2.4768e-06i,-0.0031816-0.0024627i,-0.0064405+0.00016782i,-0.0058906+0.00044195i,-0.0023426-0.0043244i,-0.0019947-0.0052231i,0.026833+0.011178i,-0.0028193-0.0075806i,-0.0012476-0.0034622i,-0.0010491-0.0070946i,-0.0028849+0.0015764i,0.0012973+0.0015232i,-0.0012461-0.0049319i,0.0064634-0.0010978i,-0.001614+0.0059621i,0.019688-0.018754i,0.044438-0.0070468i,-0.026141-0.076354i,-0.038205-0.02842i,-0.013759-0.048129i,-0.011021-0.029474i,0.0073422-0.12036i,-0.041134-0.097347i,0.031011-0.08904i,-0.0088585-0.060595i,0.0075435-0.0037489i,-0.0035085-0.0076595i,-0.024655-0.023345i,-0.0054069-0.013547i,-0.015501-0.0068714i,-0.02118-0.0086796i,-0.046763+0.011497i,0.015575+0.011183i,-0.012963-0.0057595i,-0.0049137+0.0065984i,-0.003125+0.0062542i,-0.021033+0.0062751i,0.0044933+0.0086261i,0.015095-0.010339i,0.026863-0.0077561i,0.0043583-0.0070333i,-0.0074549+0.0037407i,-0.0049507+0.0053946i,0.0011221+0.020378i,-0.0044119+0.0034785i,-0.022435+0.038199i,-0.0096963-0.00066798i,0.00029382+0.0076975i,0.0039998+0.012348i,-0.0065478+0.00065469i,-0.0024522+0.003696i,0.00021135-0.0029523i,0.001378+0.0042282i,-0.0040517-0.0036489i,-0.0023361+0.0020166i,-0.0028377+0.0015055i,0.0018139+0.021554i,-0.003484-0.0026603i,-0.010332+0.019163i,-0.016047+0.02507i,-0.019049-0.080024i,0.0074518-0.021319i,-0.03726+0.025723i,-0.03319+0.0012738i,0.0086864-0.012662i,-0.00077035+0.0085764i,-0.021642-0.0058224i
-0.02609-0.030072i,-0.030733-0.045039i,-0.060481-0.037868i,-0.025553-0.00047985i,-0.02057-0.011515i,-0.046122+0.019088i,-0.045699+0.022571i,-0.061122-0.029848i,-0.037448-0.011327i,0.011091+0.0084816i,0.0071525+0.01308i,0.01116+0.0034741i,-0.0015309-0.010642i,0.0045497+0.0094673i,0.0023996-0.00032549i,0.011298+0.0071021i,0.024709-0.023186i,0.0040936-0.0054252i,0.0053776+0.010705i,0.00083046-0.0047244i,0.0064605+0.0016213i,0.005637+0.00049689i,0.0021895+0.002155i,0.028229+0.0059829i,-0.0015434+0.0030573i,0.0010109-0.0048089i,-0.00073249-0.00054903i,0.0053265-0.0020822i,0.00011287-0.0008927i,-0.0029702+0.0030763i,-0.0025423-0.0016586i,-0.0060792+0.0020873i,-0.00564+0.0023163i,-0.0042406-0.0019573i,-0.0025581-0.0038231i,0.029647+0.0024856i,-0.0055652-0.005795i,-0.0032913-0.0030528i,-0.0037194-0.0061754i,-0.0062331-0.0010888i,0.0018658+0.0015205i,-0.0025441-0.0021735i,0.0053714-0.0029275i,-0.00093566+0.0061105i,0.011444-0.02906i,0.037968-0.028835i,-0.028106-0.069933i,-0.037847-0.020451i,-0.019069-0.049275i,-0.0097481-0.034001i,-0.032838-0.11576i,-0.063219-0.082794i,0.011378-0.094841i,-0.011797-0.047145i,0.013533+0.00068508i,-0.007265-0.0052994i,-0.026632-0.0087931i,-0.01148-0.013571i,-0.021231-0.0022304i,-0.02128+0.00096804i,-0.039841+0.029511i,0.014357+0.0036483i,-0.01139+0.0021796i,-0.0057387+0.0064677i,0.001598+0.0085636i,-0.015195+0.014684i,0.0060417+0.0097797i,0.011288-0.02203i,0.016618-0.021177i,-0.0025064-0.010723i,-0.0076547+0.0092692i,-0.0031971+0.0064385i,0.0091405+0.017743i,-0.0019735+0.0059851i,-0.0019071+0.051501i,-0.011357+0.0027053i,0.00069809+0.0068056i,0.008318+0.0068961i,-0.005762+0.0072247i,-0.0031952+0.0050534i,-0.0032103-0.0029611i,0.004076+0.0054768i,-0.0055279+0.0031093i,-0.0051454+0.00144i,-0.00094762+0.0070866i,0.0088112+0.017936i,-0.0051143-0.0018447i,-0.0038601+0.016898i,-0.0075585+0.029218i,-0.026077-0.071189i,-0.00015321-0.035618i,-0.016874+0.031604i,-0.028601+0.0095683i,0.0069871-0.017708i,6.1279e-05+0.0027323i,-0.021435-0.0013302i
-0.02796-0.028353i,-0.041572-0.045028i,-0.070815-0.02248i,-0.025205+0.0012279i,-0.029613-0.0042282i,-0.038626+0.025489i,-0.034792+0.020682i,-0.06264-0.022156i,-0.039337-0.0074666i,0.013442+0.0051538i,0.010901+0.011246i,0.007841-0.0022438i,-0.0084443-0.0073056i,0.0083903+0.0042711i,0.0014369-0.00066812i,0.011008+0.0063077i,0.009387-0.022738i,0.0018575-0.0073197i,0.0092351+0.0053859i,-0.00092489-0.0034128i,0.0066349-0.0016067i,0.00583+0.00013808i,0.0036567+0.00099784i,0.024115-0.0097575i,0.0026925+0.0022383i,-0.00074736-0.0024062i,0.00066023-0.0015965i,0.00248-0.0070358i,0.00011485-0.00040099i,-0.00055572+0.0034928i,-0.0028956-0.00148i,-0.0048037+0.004094i,-0.0034692+0.0038643i,-0.0038095+0.0002907i,-0.0036836-0.0039967i,0.028455-0.0081222i,-0.006169-0.0023166i,-0.0039799-0.0012555i,-0.0076069-0.0033019i,-0.011281+0.0028148i,0.0018596+0.001109i,-0.0013386-0.0010178i,0.0041072-0.0047514i,0.00048533+0.0042843i,0.00072502-0.033181i,0.022494-0.034767i,-0.033604-0.072442i,-0.030716-0.012796i,-0.023856-0.048491i,-0.018723-0.041251i,-0.060474-0.10042i,-0.072082-0.058502i,-0.012277-0.097678i,-0.0061191-0.042948i,0.020946-0.01229i,-0.008863-0.0010036i,-0.02151-0.0034301i,-0.021987-0.009914i,-0.019611+0.0092206i,-0.019193+0.0058886i,-0.020551+0.04101i,0.012927-0.0013242i,-0.0090819+0.0030625i,-0.0024842+0.0066973i,0.0041849+0.0051116i,-0.0073962+0.020387i,0.010588+0.0071686i,-0.0048309-0.027373i,-0.0019542-0.024375i,-0.006644-0.0035363i,-0.0028136+0.013331i,0.00094916+0.0063848i,0.015619+0.010095i,0.0011477+0.005531i,0.024983+0.050117i,-0.0075509+0.0072901i,0.0020222+0.0054305i,0.0089811+0.0017802i,-0.00011412+0.010071i,-0.0046092+0.0057602i,-0.0053011+0.0014152i,0.0075951+0.0051686i,-0.0026854+0.006701i,-0.0072624+0.0041201i,0.0029127+0.0072662i,0.012857+0.012576i,-0.0055488+0.0015564i,0.0022873+0.01404i,0.0012523+0.027183i,-0.030965-0.07042i,-0.018875-0.038203i,-0.0014693+0.02354i,-0.025029+0.012908i,-0.0015003-0.025915i,-0.0031598-0.0017472i,-0.015179+0.0011648i
-0.031191-0.026775i,-0.053705-0.036632i,-0.076207-0.0064763i,-0.021608+0.0041082i,-0.029903+0.0067153i,-0.032335+0.02966i,-0.029226+0.017711i,-0.063917-0.014266i,-0.039807+0.0013768i,0.01416+0.0010506i,0.014261+0.0044361i,0.0022998-0.0023197i,-0.010891-0.00078596i,0.0057148-0.00060728i,0.00028031-0.00091756i,0.013401+0.0039588i,0.00065425-0.01735i,-0.0021369-0.0070687i,0.0075031+0.0011352i,-0.0014746-0.0021212i,0.0038284-0.0033905i,0.0061019-0.0020666i,0.0035066-0.00057792i,0.015-0.018529i,0.0026213-0.0016397i,-0.00045525-0.002697i,0.00049777-0.0023564i,0.00062574-0.0046984i,0.0012908-5.2965e-05i,0.00023751+0.0026779i,-0.0035061-0.0011696i,-0.0024399+0.0049358i,-0.0021725+0.0044495i,-0.0028361+0.00074312i,-0.0052671-0.00075458i,0.022556-0.017761i,-0.0046857-0.0004044i,-0.0034498+0.00067944i,-0.0074114-0.0006942i,-0.010138+0.0082416i,0.0017506+0.0012165i,-0.00075733-0.00044759i,0.0019383-0.0053777i,-3.728e-05+0.002187i,-0.0091143-0.029275i,0.017338-0.028065i,-0.044875-0.072809i,-0.023548-0.013366i,-0.029959-0.048092i,-0.029136-0.036788i,-0.084355-0.082153i,-0.068956-0.039768i,-0.039867-0.087816i,-0.0033667-0.04712i,0.01716-0.024002i,-0.0077257+0.0020212i,-0.017535+0.0010611i,-0.028396+0.0028732i,-0.013476+0.014661i,-0.014645+0.011934i,0.0010965+0.040758i,0.0097153-0.0069215i,-0.0093413+0.0048836i,-0.0010919+0.004929i,0.0059701+0.0035076i,0.0025922+0.01807i,0.011676+1.5481e-05i,-0.020018-0.017934i,-0.014622-0.014436i,-0.0035166+0.0010101i,0.0044697+0.013217i,0.0027649+0.004857i,0.018887+0.0029435i,0.0046399+0.0053059i,0.043405+0.036047i,-0.0043006+0.0072849i,0.0016408+0.0050339i,0.0075202-0.0032388i,0.005807+0.007323i,-0.0047048+0.012191i,-0.0032243+0.0064842i,0.010684+0.00071602i,0.0028928+0.0072625i,-0.0074253+0.0074881i,0.0054333+0.0049039i,0.01441+0.00662i,-0.0047507+0.0025184i,0.0045043+0.0090349i,0.0069532+0.022794i,-0.039248-0.06735i,-0.032062-0.024995i,0.0045834+0.010651i,-0.014185+0.018866i,-0.012444-0.027709i,-0.010776-0.0022302i,-0.014355-0.0041146i
-0.035687-0.023454i,-0.059898-0.023637i,-0.074517+0.012218i,-0.01962+0.0040038i,-0.02584+0.014028i,-0.025775+0.033406i,-0.026118+0.014569i,-0.065496-0.0066209i,-0.034489+0.0089505i,0.013257-0.0036806i,0.011996-0.0022449i,0.0012775+0.00058811i,-0.0096037+0.0049719i,0.0024808-0.0026804i,-0.00099399-9.5924e-05i,0.013838-0.0010795i,-0.0013794-0.011154i,-0.0045288-0.004704i,0.0066107-0.00021168i,-0.0014938-0.00098783i,0.0025931-0.0024391i,0.0048595-0.0036644i,0.0030927-0.0012848i,0.0061558-0.019812i,0.00065145-0.0036162i,-0.0016688-0.0035235i,-0.0003514-0.0026522i,-0.00098291-0.0043066i,0.0014654-0.0012045i,0.001453+0.0025246i,-0.0037897-0.00063776i,-0.00012197+0.0049792i,-0.00052452+0.0038432i,-0.0027489+0.0018468i,-0.0036792+0.00016823i,0.010641-0.024332i,-0.0033807-1.6422e-05i,-0.002138+0.0017895i,-0.0082474+0.0009353i,-0.0065031+0.012409i,0.0015471+0.00095442i,-0.0011355-0.00019608i,0.00043421-0.0054021i,-0.0030483+0.0024176i,-0.014983-0.02346i,0.024857-0.026216i,-0.058498-0.069446i,-0.021145-0.0166i,-0.035302-0.043545i,-0.034377-0.031023i,-0.10163-0.05442i,-0.066466-0.031455i,-0.05158-0.062089i,-0.0060413-0.050664i,0.0080236-0.033404i,-0.0064874+0.0032589i,-0.014452-0.00049993i,-0.022963+0.017271i,-0.0065019+0.016736i,-0.0042506+0.012767i,0.012762+0.028502i,0.0050072-0.0090733i,-0.0081634+0.0081071i,-0.0014031+0.004477i,0.0058327-0.00054068i,0.0071195+0.013391i,0.0065987-0.0031155i,-0.026265-0.0031503i,-0.018984-0.0042943i,-0.00012312+0.0011314i,0.0074008+0.011101i,0.0027216+0.0034888i,0.016173-0.008616i,0.0063088+0.00030515i,0.052306+0.013859i,-0.0039485+0.0089013i,0.0038756+0.0039708i,0.0025539-0.0058681i,0.0068257+0.0036984i,0.0021014+0.015753i,0.0032821+0.0059213i,0.0085374-0.004616i,0.0061848+0.0032223i,-0.0043023+0.011792i,0.004421+0.0037077i,0.012912+0.0027348i,-0.0058263+0.0037159i,0.0021447+0.0066141i,0.010245+0.019028i,-0.04596-0.062252i,-0.03392-0.010081i,0.0017508+0.00087789i,-0.0043216+0.01239i,-0.024425-0.022788i,-0.014358+0.0071687i,-0.019942-0.0026806i
-0.039612-0.018485i,-0.060607-0.012877i,-0.067467+0.029435i,-0.020754+0.0037591i,-0.019562+0.019249i,-0.018637+0.035922i,-0.026428+0.012474i,-0.066764+0.0028639i,-0.029758+0.011898i,0.010598-0.0073827i,0.0063701-0.003535i,0.0018146+0.0015029i,-0.004834+0.0082833i,0.00029929-0.0034888i,-0.00069075+0.0012834i,0.010727-0.005389i,-0.0015466-0.0099132i,-0.0046661-0.0014578i,0.0065885-0.0023461i,-0.000833+0.00020945i,0.0032237-0.0024847i,0.0031559-0.0038189i,0.0028911-0.0017412i,-0.0011729-0.018595i,-0.00097713-0.0035458i,-0.00334-0.0025387i,-0.001397-0.0028283i,-0.0024056-0.0037888i,0.0010524-0.0020006i,0.0026939+0.0012953i,-0.0043095+0.00023038i,0.0016391+0.0037994i,0.00077634+0.0032985i,-0.0014072+0.0027094i,-0.0045396+0.0012372i,-0.00066407-0.01859i,-0.0034247-0.00076301i,-0.00058307+0.0019644i,-0.0059401+0.0048495i,0.00011839+0.014845i,0.00040386-0.0003254i,-9.5357e-05+0.00073659i,-0.0012156-0.0051127i,-0.0029993+0.0064334i,-0.014955-0.016845i,0.035467-0.037905i,-0.073103-0.058976i,-0.022365-0.018552i,-0.037207-0.040273i,-0.039549-0.025245i,-0.10304-0.024865i,-0.065833-0.020474i,-0.047322-0.04507i,-0.0096055-0.055065i,-0.0054913-0.036254i,-0.0045929+0.0046404i,-0.01686-0.0020464i,-0.01196+0.02345i,-0.00026541+0.0149i,0.0015313+0.0051628i,0.014785+0.016336i,-0.00035171-0.0096835i,-0.0051947+0.010556i,-0.0016981+0.0052995i,0.0030629-0.0032014i,0.0096343+0.008366i,0.0044275-0.0014912i,-0.023155+0.010819i,-0.016495+0.0060373i,0.00059123+0.00020732i,0.012827+0.0084645i,0.0027129+0.002893i,0.0064394-0.013755i,0.0036656-0.0024783i,0.048021-0.010889i,-0.00073268+0.010925i,0.0032215+0.0018889i,-0.0011375-0.0044257i,0.0063534+0.0023018i,0.0098751+0.014757i,0.0044415+0.0020474i,0.0064464-0.0061619i,0.0054567-0.00022312i,0.0074056+0.018603i,0.0048424+0.0026192i,0.012889-0.0015408i,-0.0039906+0.0085004i,0.002796+0.0064334i,0.013452+0.015652i,-0.053259-0.058271i,-0.028542-0.0015523i,-0.0018728-0.0022531i,-0.0042004+0.0047689i,-0.033298-0.014243i,-0.0083912+0.01047i,-0.019642+0.0010986i
-0.041896-0.01221i,-0.059485-0.003866i,-0.054488+0.041712i,-0.021274+0.0070131i,-0.011719+0.020863i,-0.011632+0.036955i,-0.027202+0.01336i,-0.065667+0.013589i,-0.026561+0.01477i,0.0068447-0.0097911i,0.0040196-0.0024567i,0.0033461+0.0012406i,-0.0012634+0.0087895i,-0.0025455-0.0018628i,-0.00029486+0.0014029i,0.0066446-0.0072732i,-0.0047238-0.010943i,-0.0038757-1.1437e-05i,0.0052747-0.0033609i,6.912e-06+0.00050299i,0.0029599-0.0038392i,0.0028896-0.003282i,0.0024911-0.0024524i,-0.0071195-0.016208i,-0.0023257-0.0027338i,-0.0038087-0.00079393i,-0.0026528-0.0022688i,-0.0035268-0.0026534i,0.00021767-0.0024455i,0.002471-0.00072961i,-0.0045717+0.0019183i,0.0021159+0.0026904i,0.001491+0.0024604i,0.00029942+0.0024882i,-0.0035705+0.0026265i,-0.0035671-0.013174i,-0.0034893-0.00033282i,0.0004806+0.0010499i,-0.0025007+0.0055613i,0.0075101+0.012901i,0.00083102-0.0012868i,0.0006654+0.0006187i,-0.0028365-0.00466i,0.00011417+0.0064057i,-0.011449-0.015113i,0.033222-0.060171i,-0.08281-0.042999i,-0.022385-0.019251i,-0.039783-0.041658i,-0.042659-0.017434i,-0.097903-0.0033962i,-0.062523-0.011648i,-0.04367-0.035028i,-0.016854-0.057772i,-0.01994-0.034257i,-0.00315+0.0042412i,-0.023345+9.2727e-05i,-0.0017227+0.022548i,0.0035413+0.010422i,0.00084051-0.001297i,0.011648+0.0091578i,-0.0049249-0.0098339i,-0.0014455+0.011554i,-0.00045559+0.0066439i,0.00012066-0.0029681i,0.0086677+0.0034792i,0.0045213-0.00073159i,-0.014219+0.018284i,-0.010374+0.012472i,0.0019073-0.00088566i,0.015902+0.00020079i,0.0026729+0.0032034i,-0.0015394-0.012272i,0.0011656-0.0026898i,0.036362-0.025245i,0.0042157+0.011434i,0.0025605+0.0021075i,-0.0037091-0.0018217i,0.0067263-0.0010065i,0.016281+0.010099i,0.0034641-0.0010295i,0.0037608-0.008397i,0.0038841-0.0024927i,0.011138+0.011908i,0.0052069+0.0022286i,0.0089678-0.0064556i,0.00095237+0.0096937i,0.0038951+0.0046268i,0.017179+0.011242i,-0.06192-0.05077i,-0.023622+0.0047158i,-0.0040028-0.0042373i,-0.0074447+0.0027537i,-0.037332-0.0035893i,-0.005492+0.0090749i,-0.01778+0.0035671i
