-0.005871-0.039489i,-0.0092604-0.043976i,0.0040394-0.045479i,-0.027404-0.028586i,-0.02192+0.012559i,-0.03142-0.035621i,-0.059422-0.066238i,-0.02056-0.073044i,-0.039846-0.054093i,0.00037883+0.015905i,-0.0078519+0.0112i,-0.016638+0.014489i,0.0012369+0.015803i,-0.0042062-0.0034775i,1.6255e-05+0.0072898i,-0.0019548+0.041528i,0.026765+0.038125i,0.00069097-0.00056765i,-0.0047913-0.0092787i,0.0088579+0.0073369i,0.0013905+0.00079451i,-0.0021465+0.0035088i,0.00010376-0.001432i,-0.038131-0.011743i,-0.0031233-0.0074696i,-0.00036507+0.0049627i,0.0053908-0.0028568i,2.4411e-05+0.0010894i,-0.00026162-0.00065375i,-5.5324e-05-0.0028379i,-0.00085838-0.0060323i,-0.0020044-0.0044254i,-0.00093266-0.0093732i,0.003228-0.00059404i,0.0027254-0.0030479i,-0.005176+0.034013i,0.0069843-0.0036508i,0.0041459-0.0017737i,0.005185-0.0001648i,-0.012112-0.029745i,0.00027175+0.00034174i,0.007015+0.0016985i,0.010514+0.0021048i,-0.0034214+0.0030925i,0.0027352+0.0024544i,-0.003705+0.010534i,0.018799-0.086367i,-0.0043588-0.0494i,-0.023636-0.040958i,-0.017775-0.042839i,0.066198-0.014824i,0.029947-0.060315i,0.039358-0.044475i,0.030948-0.055528i,0.019016-0.015858i,0.0083185+0.010395i,0.027327-0.030176i,-0.00732-0.0044565i,0.0028426-0.0020703i,-0.0047669-0.0061533i,0.0022293-0.032566i,-0.026447+0.030716i,0.0080521-0.010496i,-0.011039-0.0013859i,-0.0054465-0.0015927i,-0.00078962-0.014735i,-0.0099887+0.0039425i,0.0033133+0.0085488i,-0.012392+0.029897i,0.004977+0.0085449i,-0.0053582-0.0021936i,-0.0021236-0.0021484i,-0.011097-0.0074262i,0.00076934-0.0040429i,-0.036955-0.00171i,0.0028886-0.0128i,-0.0088732-0.0022332i,-0.0068321-0.0030232i,0.00649+0.0017318i,-0.0091635+0.0014046i,0.0011899+0.0008555i,0.0061873+0.0090114i,0.0049285+0.00075518i,-0.0086224-0.0093537i,0.0026217+0.0088873i,-0.01992+0.0051871i,0.0068592+0.0037105i,-0.02865-0.0090243i,-0.036245+0.0010237i,0.028614-0.080391i,0.013601-0.010326i,-0.041043-0.027958i,-0.023032-0.0043654i,0.018271+0.012743i,-0.02731+0.01068i,-0.010552-0.0087179i
-0.014186-0.038955i,-0.015081-0.038273i,-0.0022955-0.049556i,-0.030558-0.024151i,-0.011792+0.010705i,-0.040162-0.028649i,-0.067842-0.051751i,-0.029913-0.069349i,-0.043936-0.045393i,0.0017647+0.014451i,-0.0065271+0.0093757i,-0.0083366+0.021634i,0.010167+0.013115i,-0.0084732-0.00016998i,0.0010559+0.0066564i,0.0079878+0.035269i,0.025426+0.020931i,0.0017873+0.0023084i,-0.0088284-0.0038284i,0.011163+0.00010298i,0.00033809+0.0018555i,-0.0014688+0.0018698i,-0.00064868-9.5559e-05i,-0.027834+0.01183i,-0.0060359-0.0054631i,0.0029214+0.0026744i,0.003802-0.00053515i,0.00052061+0.0030961i,0.00095592-0.00077358i,-0.0013245-0.003015i,-0.0012617-0.0044072i,-0.0024857-0.0038608i,-0.0041874-0.0088009i,0.0033223-0.0024006i,0.0014887-0.0020709i,0.0052882+0.032519i,0.0067176-0.0063729i,0.0023732-0.0029905i,0.0069465-0.0017181i,-0.016071-0.0037818i,0.00015626+0.0013134i,0.0092618-0.0037632i,0.0080382+0.00020655i,-0.0052888+0.0042675i,0.010032+0.0011326i,0.0087928+0.013963i,0.0029524-0.090003i,-0.018751-0.051428i,-0.017809-0.034338i,-0.018546-0.029014i,0.070346-0.04424i,0.029421-0.080494i,0.041987-0.045936i,0.021634-0.065353i,0.0086969-0.0099489i,0.0081488+0.00032806i,0.015088-0.033792i,-0.0068227+0.001347i,0.0019985-0.010674i,-0.0057001-0.006509i,-0.021639-0.034537i,-0.011485+0.030037i,0.0025722-0.013315i,-0.012625+0.0020629i,-0.0043736+0.00055876i,-0.0075888-0.013942i,-0.010901+0.0084646i,0.0073182+0.0090953i,0.0029835+0.029845i,0.0070458+0.0028947i,-0.0042518+0.00080029i,-0.0046977-0.0021391i,-0.016619+0.0022896i,0.00059367-0.0029782i,-0.040312+0.0053112i,-0.0042146-0.010959i,-0.0095869+0.0020096i,-0.0085901+2.4859e-05i,0.004373-0.0039318i,-0.0077942+0.004517i,0.0024523-0.0007218i,0.0054728+0.0039451i,0.003178-0.00069145i,-0.013925-0.0010618i,0.0044429+0.0055319i,-0.016351+0.012765i,0.0063963-0.00085187i,-0.029361+0.001796i,-0.035369+0.010945i,0.016175-0.079004i,0.0089026-0.016608i,-0.048983-0.015301i,-0.016079-0.0065907i,0.018973+0.0064869i,-0.021174+0.018771i,-0.016978-0.015139i
-0.020333-0.034909i,-0.017243-0.038211i,-0.010228-0.053711i,-0.032189-0.016523i,-0.0048948+0.0042719i,-0.046481-0.019947i,-0.078579-0.036294i,-0.043373-0.066046i,-0.048675-0.039142i,0.0044667+0.013857i,-0.0063017+0.012348i,0.0023861+0.020623i,0.014126+0.0047075i,-0.0093972+0.0041163i,0.0027572+0.006356i,0.01473+0.027616i,0.028748+0.017776i,0.0053956+0.0022342i,-0.0078125+0.0016227i,0.0093696-0.0023965i,0.00021548+0.0023668i,0.00056574+0.0030903i,-0.00021939+0.00072751i,-0.012951+0.02145i,-0.0057283-0.0024483i,0.0040133+4.3662e-05i,0.0035022-0.001863i,0.0025727+0.0035964i,3.7694e-06-0.0018445i,-0.0020816-0.0025921i,-0.0020785-0.0042278i,-0.003478-0.0030718i,-0.0074165-0.0065447i,0.001696-0.0042203i,0.0034179-0.004704i,0.016001+0.02664i,0.0034153-0.008668i,0.0012346-0.0036873i,0.0069837-0.0060376i,-0.013826-0.0015505i,0.00078561+0.0016484i,0.0066859-0.0056388i,0.0083164-0.00014436i,-0.0044476+0.0070093i,0.014863-0.0069531i,0.021205+0.0095413i,-0.012338-0.089328i,-0.031501-0.043969i,-0.009328-0.036913i,-0.011053-0.027906i,0.064087-0.071169i,0.010476-0.10106i,0.048062-0.052956i,0.0086645-0.067735i,0.0077167-0.0080122i,0.0052346-0.0034487i,-0.0015163-0.032277i,0.0031424+8.6918e-05i,-0.0088956-0.014411i,-0.0050758-0.0086884i,-0.039769-0.023666i,-0.002118+0.028335i,-0.004035-0.012937i,-0.010176+0.0050926i,-0.005418+0.001203i,-0.014446-0.010552i,-0.0064587+0.015245i,0.013813+0.0042227i,0.01662+0.021045i,0.0069998+0.00094787i,-0.0034872+0.00067692i,-0.0058452-5.7673e-05i,-0.013105+0.011179i,-0.0023965-0.0032195i,-0.034187+0.01536i,-0.0067089-0.0063414i,-0.0080534+0.007083i,-0.0091698+0.0066821i,-0.0008409-0.005333i,-0.0056375+0.0064531i,0.0017762-0.0023336i,0.0031383+0.0025371i,0.0024917-0.0020598i,-0.0089157+0.0063879i,0.0040773+0.0026857i,-0.010481+0.014257i,0.0033506-0.0041869i,-0.025547+0.010873i,-0.028653+0.020495i,0.0050479-0.079034i,0.0027085-0.017536i,-0.049282-0.0030687i,-0.020262-0.013332i,0.017769-0.0018803i,-0.010371+0.019872i,-0.021884-0.011206i
-0.024097-0.030442i,-0.022422-0.039857i,-0.020636-0.057263i,-0.029805-0.017514i,-0.0030592-0.0051158i,-0.049356-0.0088035i,-0.0847-0.0086014i,-0.058781-0.052895i,-0.057156-0.026261i,0.0072449+0.012923i,-0.0017973+0.01533i,0.0073468+0.014691i,0.012912-0.0035706i,-0.0085614+0.0097467i,0.0035215+0.0044718i,0.017735+0.016847i,0.032041+0.005604i,0.0070548-0.0012136i,-0.0066395+0.0057081i,0.0063902-0.0048444i,0.0014231+0.0039464i,0.0011974+0.0071063i,-3.9278e-05+0.0011995i,-0.00024704+0.026456i,-0.0042889-0.0011761i,0.0034972-0.0020635i,0.0029143-0.0025713i,0.0038832+0.0012086i,-0.00080689-0.0008197i,-0.0034982-0.002041i,-0.0026411-0.0037443i,-0.0041079-0.0016081i,-0.008728-0.0031452i,0.00011882-0.0047634i,-0.0010505-0.0067943i,0.020395+0.016699i,-0.00058637-0.0088943i,0.00014431-0.0040421i,0.0027205-0.0098677i,-0.010657+0.0046232i,0.001523+0.0013251i,0.0029585-0.0070485i,0.0085728-0.0027824i,-0.0012837+0.0072316i,0.01722-0.013369i,0.03091-0.0001815i,-0.026646-0.084518i,-0.035963-0.032533i,-0.0093915-0.042262i,-0.0096679-0.030318i,0.04738-0.10035i,-0.018479-0.10688i,0.047148-0.072833i,-0.0012548-0.066537i,0.0071775-0.0064956i,0.00084671-0.0065305i,-0.015148-0.03453i,0.0031092-0.0097183i,-0.013587-0.0078379i,-0.011092-0.012649i,-0.050092-0.0023318i,0.0094896+0.023257i,-0.0087748-0.010194i,-0.0070539+0.0065815i,-0.0051485+0.0040116i,-0.020126-0.0033552i,0.0025638+0.01429i,0.016819-0.0029669i,0.0074744+0.0021503i,0.0075751-0.002499i,-0.0043999+0.00085826i,-0.0060799+0.0028968i,-0.0079072+0.017327i,-0.0045095+0.00014619i,-0.03039+0.021602i,-0.0073997-0.0033563i,-0.0030419+0.0099331i,-0.0028805+0.01152i,-0.0056318-0.0027432i,-0.0019235+0.0055434i,0.00088337-0.0027384i,0.0017258+0.0027744i,-0.00011825-0.0036486i,-0.0032923+0.0055017i,0.0012592-0.00033435i,-0.0056983+0.014849i,-0.00072175-0.0040109i,-0.018302+0.017252i,-0.020425+0.024421i,-0.0039746-0.080403i,0.0028814-0.01555i,-0.04637+0.011332i,-0.029166-0.010733i,0.014539-0.0080224i,-0.0020382+0.015763i,-0.021296-0.0063515i
-0.026555-0.025928i,-0.030794-0.038658i,-0.0355-0.059207i,-0.02946-0.011889i,-0.0090549-0.014155i,-0.049101+0.002129i,-0.06878+0.013764i,-0.060377-0.035801i,-0.051804-0.013601i,0.0098289+0.010957i,0.0041583+0.013384i,0.0095708+0.010766i,0.0074783-0.0090338i,-0.0019928+0.013103i,0.0031161+0.0028707i,0.01522+0.011483i,0.028862-0.0075585i,0.0059943-0.0041614i,-0.0015121+0.011744i,0.0033285-0.0052829i,0.0033966+0.0047913i,0.0056042+0.0048798i,4.1522e-05+0.0023739i,0.023864+0.021453i,-0.0043616+0.00035085i,0.002731-0.0034975i,0.0013724-0.0030651i,0.0036254-0.0047372i,-3.483e-05+6.9182e-06i,-0.0047786+0.00010565i,-0.0033464-0.0026732i,-0.0042559+1.8138e-05i,-0.007798-0.00011645i,-0.0022487-0.0043674i,-0.0034099-0.0049849i,0.022911+0.01033i,-0.003235-0.0081342i,-0.0021572-0.0040951i,-0.0015736-0.0090381i,-0.0040905+0.0019183i,0.0015614+0.00072049i,-0.00084547-0.0050975i,0.0087365-0.0044722i,-0.00036229+0.0058904i,0.017415-0.025945i,0.037612-0.015757i,-0.035634-0.076546i,-0.034904-0.022422i,-0.012444-0.047382i,-0.010127-0.03121i,0.012425-0.12135i,-0.044806-0.099369i,0.030161-0.090136i,-0.012994-0.061759i,0.0081654-0.0038184i,-0.003931-0.0066846i,-0.024586-0.025409i,-0.0044793-0.014345i,-0.015189-0.005424i,-0.021478-0.0083474i,-0.046872+0.017784i,0.013999+0.01188i,-0.012372-0.0062289i,-0.0047089+0.0068709i,-0.0035411+0.0069479i,-0.02134+0.007477i,0.0039695+0.0091255i,0.016105-0.010108i,0.033545-0.0064605i,0.0058991-0.0070394i,-0.0064408+0.0038594i,-0.0041528+0.0061259i,0.0010285+0.020031i,-0.0045214+0.0038943i,-0.023941+0.032057i,-0.0090506-0.0012723i,0.00080324+0.007384i,0.0038017+0.010908i,-0.0075004+0.00049665i,-0.0026654+0.0027983i,-0.0010441-0.0035899i,0.0010528+0.0043211i,-0.0034576-0.0035272i,-0.0024739+0.0019333i,-0.0023667+0.0017521i,0.002137+0.016488i,-0.0032858-0.003037i,-0.009629+0.019742i,-0.013819+0.02632i,-0.016593-0.077489i,0.0063868-0.021356i,-0.037773+0.024583i,-0.033078+6.7176e-05i,0.009467-0.012344i,0.00034594+0.0082981i,-0.020597-0.0066689i
-0.027395-0.022456i,-0.035859-0.035529i,-0.053519-0.052405i,-0.029497-0.010305i,-0.021349-0.016227i,-0.044453+0.011777i,-0.050645+0.020322i,-0.057722-0.025873i,-0.04766-0.0092487i,0.011167+0.0088766i,0.0063351+0.010176i,0.011772+0.0059722i,0.00045408-0.011537i,0.004387+0.011467i,0.0024436+0.0020738i,0.014356+0.0093498i,0.015611-0.016065i,0.0053976-0.0059925i,0.0055813+0.011192i,0.0010227-0.0046264i,0.006306+0.0027769i,0.00579+0.0016898i,0.0023856+0.0031804i,0.026103+0.001458i,-0.0020199+0.0025892i,0.0022491-0.007213i,-0.00022797-0.00056713i,0.0053379-0.0023794i,0.00023909-0.00089452i,-0.0032416+0.0034193i,-0.0027947-0.0020243i,-0.0044384+0.0015018i,-0.0080106+0.0026496i,-0.003859-0.0020956i,-0.0036616-0.0026484i,0.025354+0.0023408i,-0.0057601-0.0062239i,-0.0046391-0.0038647i,-0.0054599-0.010236i,-0.0066468-0.0025923i,0.0017999+0.00083335i,-0.0021914-0.0023996i,0.0064864-0.0071484i,0.00012408+0.0056971i,0.0084947-0.036454i,0.027873-0.036164i,-0.03773-0.069563i,-0.033535-0.015555i,-0.018532-0.047873i,-0.0093213-0.035328i,-0.028532-0.11846i,-0.067308-0.084244i,0.010716-0.095185i,-0.016632-0.048314i,0.015128+0.00027912i,-0.0069325-0.0043956i,-0.026386-0.011305i,-0.010649-0.013555i,-0.020426-0.0017403i,-0.021159+0.00145i,-0.03835+0.034833i,0.013001+0.0041198i,-0.010868+0.0013531i,-0.0045747+0.0063541i,0.0015144+0.0094403i,-0.014633+0.015231i,0.005627+0.010226i,0.012759-0.022773i,0.018389-0.022121i,-0.0015426-0.011598i,-0.0066847+0.0082932i,-0.0023104+0.0068836i,0.0087402+0.017352i,-0.0016905+0.0066779i,-0.0021579+0.049515i,-0.011373+0.0016271i,0.0010342+0.0065902i,0.007939+0.0060922i,-0.0068427+0.0079603i,-0.0035272+0.0043745i,-0.0044684-0.0030588i,0.0044437+0.0049483i,-0.0054421+0.0021085i,-0.0053946+0.001306i,-0.00022031+0.0068915i,0.0082617+0.013834i,-0.0053409-0.0019289i,-0.0037215+0.017474i,-0.005946+0.027422i,-0.022261-0.069677i,-0.0011781-0.034739i,-0.018278+0.030744i,-0.029141+0.008606i,0.0083528-0.017238i,0.00060496+0.0021138i,-0.022304-0.0013362i
-0.028056-0.020107i,-0.04563-0.033856i,-0.068732-0.038791i,-0.028949-0.0055438i,-0.031555-0.0076657i,-0.038579+0.017989i,-0.038386+0.019252i,-0.056431-0.020403i,-0.050186-0.0050089i,0.014487+0.0055047i,0.0091293+0.0085739i,0.009602-0.00085466i,-0.0078605-0.0088388i,0.0084674+0.0061363i,0.0023461+0.0014427i,0.014427+0.0081162i,0.0051867-0.015001i,0.0029685-0.0088722i,0.01024+0.0057045i,-0.00033464-0.0029241i,0.0066867-0.0011363i,0.0071233+0.00099211i,0.0044619+0.001745i,0.022511-0.010481i,0.0019822+0.0016419i,-0.00079894-0.0032356i,0.0016622-0.0015444i,0.0037765-0.0052163i,-0.00014227-0.00074274i,-0.00046817+0.0040394i,-0.0032467-0.0019892i,-0.0033209+0.0029493i,-0.0046876+0.0057088i,-0.0037758-7.526e-05i,-0.0038883-0.0029139i,0.023541-0.0067561i,-0.0067887-0.0026956i,-0.0057995-0.0016908i,-0.0079349-0.0085789i,-0.014166+0.002015i,0.0023514+0.00064475i,-0.00071995-0.0017874i,0.0050799-0.0080119i,0.0020374+0.0038713i,-0.0046804-0.040112i,0.010757-0.040145i,-0.044557-0.068852i,-0.026043-0.0096187i,-0.02217-0.046422i,-0.017356-0.043004i,-0.056882-0.10362i,-0.077414-0.05838i,-0.012423-0.096758i,-0.010828-0.043653i,0.022066-0.013685i,-0.0083514-0.0003667i,-0.022161-0.0064616i,-0.019891-0.010634i,-0.020392+0.0087622i,-0.018484+0.0055484i,-0.017118+0.046183i,0.011666-0.00027444i,-0.0092176+0.0020105i,-0.0011818+0.0056856i,0.0040686+0.0057979i,-0.0071564+0.019273i,0.01065+0.008106i,-0.0034394-0.028564i,-0.0043916-0.024432i,-0.0055006-0.0046729i,-0.003106+0.012292i,0.0016792+0.0063097i,0.016102+0.0095189i,0.0020726+0.0052578i,0.022745+0.049477i,-0.0082081+0.0070754i,0.0023378+0.0051259i,0.0082701+0.0015587i,0.00031421+0.010463i,-0.0054+0.0058843i,-0.0064676+0.0018148i,0.0073528+0.0046109i,-0.0028751+0.0057805i,-0.0076623+0.0043438i,0.0032271+0.0070757i,0.011421+0.010625i,-0.0052398+0.0013901i,0.0018619+0.014665i,0.0032948+0.025763i,-0.026781-0.069213i,-0.019995-0.036394i,-0.0032538+0.023042i,-0.02529+0.013413i,-0.0035308-0.024633i,-0.0031834-0.0019753i,-0.015477+0.0016338i
-0.029905-0.018295i,-0.055451-0.023935i,-0.076826-0.020212i,-0.026681-0.0040318i,-0.032159+0.0042503i,-0.033663+0.022216i,-0.03196+0.016049i,-0.0568-0.015872i,-0.049671+0.006031i,0.014907-8.2643e-05i,0.011056+0.0023844i,0.0034704-0.0017046i,-0.011275-0.0016335i,0.0073623+0.00072321i,0.0013597+0.00071884i,0.017658+0.004963i,-0.001019-0.0099126i,-0.0023673-0.0091016i,0.0083798+0.00087141i,-0.00060262-0.0019289i,0.0038216-0.0030508i,0.0070094-0.0017033i,0.0044228-0.00044363i,0.014454-0.018192i,0.0013449-0.0012544i,-0.00096143-0.003336i,0.0014874-0.0028357i,0.0013386-0.0063108i,0.0011986+0.00017719i,0.00077738+0.003017i,-0.0037865-0.0017953i,-0.0016739+0.0037637i,-0.0015508+0.0058683i,-0.003085+0.00054311i,-0.0052441-9.2156e-05i,0.018182-0.014596i,-0.0051281-0.00054372i,-0.0050463+0.0014391i,-0.0043113-0.005198i,-0.01024+0.013251i,0.0023867+0.00079633i,-0.00065325-0.0016841i,0.0041492-0.010537i,0.0013329+0.001595i,-0.015988-0.035535i,0.0039738-0.031899i,-0.053939-0.066654i,-0.018927-0.011583i,-0.026815-0.046359i,-0.029246-0.040502i,-0.080561-0.086773i,-0.072983-0.03778i,-0.038829-0.087146i,-0.0084731-0.046994i,0.016289-0.025971i,-0.0064386+0.0021985i,-0.02049-0.00059323i,-0.027856+3.1394e-05i,-0.01241+0.016495i,-0.015359+0.011518i,0.0032572+0.04139i,0.0096657-0.0065939i,-0.0082461+0.0043709i,-0.0018422+0.00394i,0.0062272+0.0046883i,0.0021068+0.017823i,0.012706+0.00024257i,-0.019781-0.020176i,-0.015907-0.012899i,-0.0044372-0.00031179i,0.004401+0.012894i,0.003392+0.0041344i,0.017713+0.002252i,0.0048533+0.005007i,0.039654+0.036227i,-0.0044322+0.0068502i,0.002101+0.0047676i,0.0066884-0.0032233i,0.0058076+0.0070892i,-0.0045577+0.012162i,-0.0041524+0.0076176i,0.0099762-2.2481e-05i,0.0022343+0.0068485i,-0.0071805+0.0074679i,0.0058088+0.0045392i,0.012077+0.0056159i,-0.0045829+0.0023245i,0.0044553+0.0098561i,0.0090153+0.020874i,-0.033194-0.066623i,-0.030463-0.023944i,0.0041+0.011635i,-0.014378+0.019692i,-0.013891-0.026938i,-0.010324-0.0018994i,-0.014594-0.0041066i
-0.032439-0.01487i,-0.058672-0.010848i,-0.078911-0.0010196i,-0.026429-0.0032094i,-0.027271+0.012055i,-0.028197+0.026056i,-0.02886+0.012217i,-0.058676-0.011241i,-0.041606+0.015449i,0.012913-0.0052132i,0.0080575-5.448e-05i,0.0020367+0.0016106i,-0.010288+0.0044323i,0.0035436-0.0036892i,0.00021624+0.0012754i,0.018469-0.001427i,-0.0012336-0.0055391i,-0.0055405-0.0056726i,0.0069914-0.00054201i,-0.00051296-0.0010032i,0.0028839-0.0017991i,0.0058459-0.0037553i,0.0040834-0.0012451i,0.0061914-0.019668i,-0.00039168-0.0026419i,-0.0019536-0.0038697i,0.00015371-0.0034751i,-0.0009537-0.0057748i,0.0014178-0.0013314i,0.0018683+0.0023862i,-0.0043251-0.0011773i,-0.00017546+0.0034105i,-0.00013901+0.0042207i,-0.0030416+0.0026429i,-0.0034944+0.00072944i,0.0098705-0.019899i,-0.0034311-5.8964e-05i,-0.003063+0.0034471i,-0.0051673-0.0024997i,-0.0031651+0.014228i,0.0029702+0.00077618i,-0.0012712-0.0014675i,-0.0047132-0.0081237i,-0.0017971+0.0016903i,-0.023035-0.028217i,0.0095497-0.027231i,-0.065926-0.062386i,-0.017034-0.016035i,-0.031603-0.043912i,-0.035768-0.033096i,-0.099488-0.060365i,-0.069715-0.02857i,-0.050352-0.063028i,-0.010405-0.049401i,0.0065172-0.033624i,-0.0051581+0.0027531i,-0.016833+0.00072249i,-0.02451+0.014563i,-0.0041018+0.016022i,-0.0042787+0.01371i,0.013918+0.02825i,0.0038668-0.0093878i,-0.0073916+0.0066765i,-0.0020644+0.0040739i,0.0068735-0.00016447i,0.0075253+0.013706i,0.0068175-0.0032465i,-0.026928-0.0053602i,-0.017087-0.0029451i,-0.0013464+0.00094914i,0.0077615+0.010349i,0.0025478+0.0027206i,0.015224-0.0086982i,0.0065822+0.00029785i,0.04948+0.015859i,-0.0045391+0.0081272i,0.0046857+0.0037342i,0.0021156-0.0055466i,0.0063645+0.0034859i,0.0017213+0.015313i,0.0036758+0.0064555i,0.0075572-0.0044618i,0.005513+0.003234i,-0.0074289+0.0095143i,0.0048431+0.003552i,0.011225+0.0027322i,-0.0057534+0.0033695i,0.0025126+0.0070711i,0.012113+0.016525i,-0.040068-0.064641i,-0.026207-0.0099568i,0.0027075+0.0016851i,-0.0039294+0.013617i,-0.025301-0.02175i,-0.013854+0.0064478i,-0.019785-0.0024009i
-0.034487-0.010361i,-0.057571+5.7439e-05i,-0.073993+0.017693i,-0.028412-0.0022922i,-0.020738+0.017084i,-0.022515+0.028859i,-0.029863+0.0097003i,-0.061907-0.0032441i,-0.03357+0.018813i,0.0090795-0.008276i,0.0054033-0.0023932i,0.0031162+0.002344i,-0.0059783+0.0082889i,0.0006145-0.0036752i,0.00076479+0.0025997i,0.013707-0.0073988i,-0.00066877-0.0051834i,-0.0058089-0.0018184i,0.0012287-0.00084629i,0.00029665-0.00031152i,0.0036094-0.0021912i,0.0036858-0.0041417i,0.0040059-0.0020003i,-0.00072625-0.0187i,-0.0018003-0.0021547i,-0.0038013-0.0025944i,-0.0013028-0.0036209i,-0.002629-0.005045i,0.00075229-0.0019581i,0.0030303+0.0011617i,-0.0051802-0.00032476i,0.00093731+0.0024995i,0.00087269+0.0034728i,-0.0014388+0.0036596i,-0.0034713+0.0015188i,0.0010049-0.016801i,-0.0030001-0.00057166i,-0.00052535+0.0035794i,-0.0053696+0.00015814i,0.0013784+0.01389i,0.002536+0.0020585i,-0.0010162-6.6529e-05i,-0.0043733-0.006987i,-0.0018293+0.0052505i,-0.023574-0.020756i,0.018795-0.03511i,-0.080427-0.050655i,-0.018914-0.018696i,-0.03378-0.040883i,-0.040485-0.026571i,-0.102-0.031266i,-0.067334-0.017075i,-0.046858-0.045908i,-0.012525-0.054043i,-0.0068668-0.036156i,-0.0036383+0.0034107i,-0.017553-0.00028361i,-0.014552+0.020924i,0.000962+0.012471i,0.0031072+0.0058413i,0.014978+0.015457i,-0.0012437-0.0087527i,-0.0050021+0.0092742i,-0.0025704+0.0050424i,0.0038842-0.0033551i,0.009868+0.0076384i,0.0045792-0.0017274i,-0.02404+0.008989i,-0.014941+0.0067952i,-0.00061968+0.00061955i,0.011472+0.0074382i,0.002542+0.0024433i,0.0057134-0.014282i,0.0042279-0.002731i,0.049369-0.0045269i,-0.0013325+0.010311i,0.0037702+0.001683i,-0.0013739-0.0039772i,0.0061653+0.0018539i,0.0094266+0.01573i,0.0046836+0.0017728i,0.0054169-0.0062318i,0.0045942+0.00016319i,0.00021969+0.022384i,0.0052441+0.0022894i,0.011314-0.0012347i,-0.0039679+0.0078918i,0.0030518+0.0066654i,0.014651+0.012796i,-0.049508-0.06124i,-0.032945+0.0031842i,-4.4474e-05-0.0021267i,-0.0031431+0.0054485i,-0.034131-0.012655i,-0.0087219+0.0096981i,-0.018985+0.0015517i
-0.034742-0.0052639i,-0.053959+0.0089167i,-0.064344+0.032964i,-0.029341+0.0020583i,-0.012628+0.018072i,-0.016749+0.030575i,-0.031904+0.011042i,-0.062171+0.0068561i,-0.028404+0.020559i,0.0052944-0.010092i,0.0028378-0.002215i,0.0049835+0.0013438i,-0.0019316+0.0096855i,-0.0027433-0.002178i,0.0013837+0.0025412i,0.0081833-0.0097072i,-0.0019833-0.0065267i,-0.0047958+0.00015421i,0.0043063-0.0010564i,0.0011053-0.00056196i,0.0037891-0.0035201i,0.0031373-0.0034465i,0.0035444-0.0030165i,-0.0069999-0.016375i,-0.0026921-0.0013949i,-0.0041027-0.00085697i,-0.0030625-0.0029356i,-0.0036884-0.0035027i,0.00017269-0.0024765i,0.0026747-0.0011565i,-0.0059859+0.0019243i,0.0012448+0.0017769i,0.001838+0.0022504i,0.00080011+0.0032351i,-0.0027518+0.0025739i,-0.0020824-0.011683i,-0.0028597-0.00024926i,0.001276+0.0021708i,-0.0042145+0.0021377i,0.0078473+0.01315i,-0.0069119+0.00036663i,-0.0001281+9.8741e-05i,-0.0064487-0.0065817i,0.0012402+0.0052659i,-0.021353-0.017648i,0.016988-0.052658i,-0.087952-0.032075i,-0.019592-0.020303i,-0.036043-0.042988i,-0.043355-0.018295i,-0.097956-0.010662i,-0.062665-0.0083954i,-0.043047-0.035935i,-0.019968-0.057159i,-0.017651-0.032751i,-0.0026215+0.0031154i,-0.023151+0.0014421i,-0.0049705+0.020536i,0.0027293+0.0083553i,0.0025519-0.0019826i,0.011977+0.0089772i,-0.0057941-0.0084127i,-0.0017642+0.010206i,-0.0022344+0.0059915i,0.00056183-0.0036268i,0.0076305+0.0034802i,0.0042888-0.0011521i,-0.015389+0.017703i,-0.0078291+0.012248i,0.0010567-0.00057076i,0.014434+0.0013017i,0.0025113+0.0026311i,-0.0022975-0.012148i,0.0013099-0.0034703i,0.036657-0.028278i,0.0036265+0.011006i,0.002844+0.002136i,-0.0037625-0.001396i,0.0060836-0.0017475i,0.016538+0.011128i,0.00348-0.0010682i,0.0026785-0.0080227i,0.0030789-0.0019925i,0.0040713+0.010127i,0.0052081+0.0021157i,0.0077909-0.0056692i,0.00077398+0.0089447i,0.004152+0.0050081i,0.017688+0.0079668i,-0.058666-0.053985i,-0.023599+0.0080114i,-0.0025673-0.0054977i,-0.0062306+0.0025438i,-0.036128-0.0021313i,-0.0063241+0.009271i,-0.016782+0.003895i
