-0.023487-0.039134i,-0.0097747-0.050591i,-0.017954-0.046442i,-0.031414-0.035688i,-0.029972-0.017417i,-0.051482-0.029i,-0.061528-0.025407i,-0.046026-0.038973i,-0.030231-0.037852i,0.0077353+0.012704i,-0.0056736+0.015666i,-0.0049604+0.015269i,0.01035+0.022016i,-0.00012575+0.0053989i,0.0036447+0.0034422i,0.0075456+0.018581i,0.028347+0.040144i,-0.003222-0.0013096i,-0.004714-0.0063346i,0.00774+0.0015821i,-0.00030118-0.00098093i,-0.00089788+0.0016228i,0.00016142-0.00026869i,-0.031662-0.0015065i,-0.0019908-0.0058961i,0.0016298+0.0045639i,0.003958-0.00025528i,-0.00045148+0.00060541i,0.00062984-0.00062297i,-0.00083703-0.0028878i,-0.0019386-0.006294i,-0.004775-0.0047037i,-0.0023635-0.0054253i,0.002298-0.00066895i,0.0021963-0.0031772i,0.0026953+0.027168i,0.0015443-0.0033394i,0.0024972+0.00068312i,0.0061254+0.00088392i,-0.0116-0.0032689i,-0.0034153+0.00040057i,0.0063923+0.00067232i,0.0051265+2.1284e-05i,-0.0037973+0.0048683i,0.0027093-0.0093217i,-0.011366+0.016892i,0.034806-0.092209i,0.01208-0.071807i,-0.015942-0.060831i,-0.017568-0.056364i,0.03595-0.049653i,0.016047-0.064776i,0.034586-0.056813i,0.031439-0.060733i,0.01455-0.0135i,0.0042313+0.016972i,0.015329-0.026955i,-0.011048+0.006638i,-0.00049807+0.0058996i,-0.004899-0.00021501i,-0.0031637-0.027707i,-0.023902+0.031703i,0.010252-0.011305i,-0.012876-0.002719i,3.5551e-05-0.005199i,-0.0013717-0.01557i,-0.0075105+0.0047115i,0.0052517+0.0059439i,-0.0078874+0.030966i,0.0053461+0.0056129i,-0.0051014-0.00045023i,-0.0029645-0.00021848i,-0.012295-0.0072446i,-0.00033345-0.0043699i,-0.028529+0.0069476i,0.0002615-0.0097115i,-0.0092263-0.0015934i,-0.0069247-0.0024108i,0.0069133+0.0026363i,-0.0076399+0.001208i,-7.552e-05+5.4379e-05i,0.0063175+0.010562i,0.0040048+0.0017087i,-0.0098191-0.010183i,0.0033359+0.0080497i,-0.021751+0.0063223i,0.0085041+0.00028646i,-0.029744-0.0028354i,-0.042482+0.0036774i,0.019388-0.097575i,-0.0021501-0.012078i,-0.054623-0.021705i,-0.024586+0.0015856i,0.01839+0.010565i,-0.024797+0.013373i,-0.019321-0.01288i
-0.031352-0.035602i,-0.016604-0.043705i,-0.025052-0.044769i,-0.038413-0.032151i,-0.028404-0.017689i,-0.058387-0.017319i,-0.06249-0.012912i,-0.051402-0.030363i,-0.035111-0.029262i,0.0081594+0.0092777i,-0.0040661+0.013113i,0.0019849+0.017278i,0.018633+0.014755i,-0.00050249+0.0069244i,0.0042944+0.0018448i,0.011121+0.012684i,0.035109+0.023554i,-0.0016122+0.0022i,-0.0061843-0.0017716i,0.0075291-0.0023721i,-0.00097791+0.00059581i,-0.0008329+0.0021411i,-0.00010909+5.4339e-05i,-0.01822+0.014287i,-0.0038673-0.0038785i,0.0052488+0.0013353i,0.0031537-0.00052888i,0.00030101+0.002158i,0.00083411-0.0010009i,-0.0018511-0.002821i,-0.0022232-0.0050759i,-0.0057013-0.0027766i,-0.0035315-0.004515i,0.0016861-0.0017329i,0.0012719-0.0021009i,0.010736+0.022567i,0.00094423-0.0037863i,0.002161-0.00034421i,0.0082161-0.0019892i,-0.0078511-0.00052694i,-0.0029049+0.0027851i,0.0052936+0.00042269i,0.0043982-0.00067779i,-0.0051498+0.0071021i,0.0070061-0.012293i,0.0037736+0.022012i,0.017508-0.098246i,-0.0061974-0.078301i,-0.012729-0.056696i,-0.021737-0.04619i,0.029589-0.06762i,0.011014-0.0828i,0.035432-0.057036i,0.019447-0.069571i,0.0058864-0.0058856i,0.0069749+0.0064621i,0.0039425-0.027121i,-0.0075633+0.012142i,-0.00046023-0.0019658i,-0.0048729-0.00070891i,-0.024184-0.025933i,-0.010253+0.029655i,0.0043333-0.014931i,-0.013355+0.00099303i,-0.0014339-0.0047242i,-0.0090102-0.013787i,-0.0078365+0.0087837i,0.0084084+0.0051653i,0.010751+0.027473i,0.0062104+0.00096222i,-0.0040534+0.0016453i,-0.0041171-0.0002193i,-0.016311+0.0027107i,-0.00040743-0.0030329i,-0.030735+0.014489i,-0.0051502-0.0067382i,-0.0092862+0.0028931i,-0.0077243+0.0014023i,0.0052201-0.0032196i,-0.0070742+0.0029459i,0.00092896-0.00099362i,0.0054678+0.0042407i,0.0037669+0.00077364i,-0.014445-0.0016985i,0.0040845+0.0050869i,-0.015201+0.014681i,0.0063449-0.0038708i,-0.027982+0.0085877i,-0.041753+0.016135i,0.0014855-0.098167i,-0.0062953-0.015365i,-0.060087-0.006011i,-0.017444-0.0014545i,0.018011+0.0050311i,-0.01894+0.019518i,-0.027088-0.015919i
-0.036413-0.029015i,-0.019685-0.043587i,-0.031498-0.043415i,-0.044278-0.025223i,-0.029295-0.019417i,-0.061839-0.0045489i,-0.063987-8.7844e-05i,-0.056623-0.021394i,-0.038101-0.022817i,0.0082022+0.0062746i,-0.001354+0.015934i,0.0090189+0.013839i,0.021+0.0047829i,0.0013895+0.0082209i,0.0047477+0.00054888i,0.011781+0.0069807i,0.03816+0.011427i,0.0015702+0.0024516i,-0.0048367+0.0016971i,0.0054876-0.0046024i,-0.0011859+0.0017095i,5.3269e-05+0.0034316i,-6.6899e-05+0.0002607i,-0.0056435+0.01788i,-0.0031193-0.0022751i,0.0054936-0.0028667i,0.0027313-0.001574i,0.0020049+0.002053i,-6.3324e-05-0.0012819i,-0.0023437-0.0022799i,-0.0030307-0.0048969i,-0.0060679-0.00050052i,-0.0049049-0.0028863i,0.00095579-0.0027337i,0.0020616-0.0045029i,0.016387+0.015314i,-0.00010651-0.0035083i,0.0019443-0.0012064i,0.0067901-0.0070135i,-0.0071602+0.00044175i,-0.0011927+0.0041348i,0.0049685-0.0011389i,0.0046591-0.0013659i,-0.0030623+0.0097227i,0.0073414-0.020089i,0.019838+0.017471i,0.00035235-0.10023i,-0.023929-0.073463i,-0.009046-0.062527i,-0.020561-0.044473i,0.017963-0.081751i,-0.010044-0.096941i,0.03986-0.064101i,0.0059441-0.069874i,0.0053794-0.0025866i,0.0059036+0.0014426i,-0.0042171-0.027477i,0.0026494+0.010665i,-0.0073562-0.0037199i,-0.0040893-0.0026693i,-0.039148-0.013864i,-0.0009008+0.028659i,-0.0029503-0.014811i,-0.011036+0.0051573i,-0.0043894-0.0039806i,-0.016126-0.0091895i,-0.0027191+0.014275i,0.01165-0.00047095i,0.021234+0.015327i,0.0056185-0.0012224i,-0.003444+0.0010866i,-0.0044629+0.001474i,-0.012089+0.011419i,-0.0030134-0.0023237i,-0.024059+0.024165i,-0.0062624-0.0027251i,-0.0070344+0.0075388i,-0.0077416+0.0073638i,0.00022188-0.0048105i,-0.0054673+0.004984i,0.00020664-0.0015962i,0.0029975+0.0030869i,0.0034998-0.00072431i,-0.0096099+0.0066906i,0.0036773+0.0021856i,-0.0089168+0.016787i,0.0023537-0.0064992i,-0.021793+0.01611i,-0.033857+0.027257i,-0.011104-0.09647i,-0.01284-0.01377i,-0.058155+0.0085482i,-0.021486-0.0079305i,0.01609-0.0027968i,-0.0085654+0.019658i,-0.03155-0.011072i
-0.03904-0.022425i,-0.026053-0.045503i,-0.039246-0.04209i,-0.045733-0.017373i,-0.033355-0.021853i,-0.061202+0.0093207i,-0.061146+0.017872i,-0.060981-0.0088798i,-0.041911-0.014684i,0.0076439+0.0042881i,0.0051179+0.016394i,0.011717+0.0081389i,0.019131-0.003916i,0.0045036+0.0096026i,0.0040222-0.0015698i,0.010793+0.0012815i,0.039645-0.0036679i,0.0030436+0.00075776i,-0.0037049+0.0043629i,0.0025548-0.0054874i,0.00049798+0.0034248i,0.0022341+0.0037858i,-0.00036269+0.00077783i,0.0036757+0.019733i,-0.0032417-0.0021693i,0.0028639-0.0052487i,0.002211-0.0019397i,0.0024311+1.2876e-05i,-0.00031693-0.00063514i,-0.0040582-0.0018355i,-0.0036356-0.0039301i,-0.0055103+0.001487i,-0.0054165-0.00067837i,-0.00031963-0.0031362i,-0.0010326-0.0054274i,0.016541+0.0077749i,-0.0012132-0.0034969i,0.0012964-0.0021562i,0.002831-0.0087798i,-0.0053295+0.0030876i,0.00058809+0.0041355i,0.0034841-0.0025012i,0.0043566-0.0033538i,0.00030439+0.0095333i,0.0058856-0.026287i,0.032877+0.0063326i,-0.016304-0.096954i,-0.03327-0.063688i,-0.014644-0.068436i,-0.023343-0.044169i,-1.0669e-05-0.096059i,-0.037701-0.096252i,0.036604-0.082877i,-0.0035047-0.067768i,0.0061096+0.00013008i,0.0020818-0.0035541i,-0.015115-0.022809i,0.0039375+0.0029899i,-0.0094295-6.8447e-05i,-0.0081876-0.0051884i,-0.043576+0.0060625i,0.010741+0.022827i,-0.0089639-0.012664i,-0.0071418+0.0059393i,-0.0057332-0.0014952i,-0.020087-0.00096007i,0.0047692+0.011597i,0.011542-0.0062467i,0.023508+0.0034009i,0.0058695-0.0032934i,-0.0042702+0.0010259i,-0.0041095+0.0038222i,-0.0064095+0.016935i,-0.0047387+0.0015524i,-0.017091+0.030282i,-0.0060919-0.00016097i,-0.0017245+0.0098298i,-0.001891+0.011976i,-0.0041092-0.0025834i,-0.0023003+0.0035617i,6.6537e-05-0.0016174i,0.0019799+0.0029331i,0.0017292-0.0030673i,-0.0031061+0.0054897i,0.0004212-0.00028315i,-0.0048253+0.019247i,-0.001808-0.0056879i,-0.01382+0.020729i,-0.023361+0.031674i,-0.023345-0.094976i,-0.011112-0.0079217i,-0.0522+0.024882i,-0.02865-0.0047004i,0.012876-0.0081504i,3.632e-05+0.014916i,-0.032296-0.0040043i
-0.040228-0.016005i,-0.036277-0.043298i,-0.050273-0.038678i,-0.046424-0.011424i,-0.041707-0.022341i,-0.057129+0.022042i,-0.046652+0.029398i,-0.058452+0.0044913i,-0.039154-0.0059612i,0.0076109+0.0027113i,0.010911+0.011807i,0.012775+0.0040254i,0.013701-0.010093i,0.0095586+0.0080408i,0.0023822-0.0029814i,0.0070453-0.001595i,0.028279-0.021152i,0.0028999-0.00069747i,-0.00010325+0.0080737i,0.00027214-0.0049094i,0.0021929+0.0040045i,0.0033327+0.0023177i,-0.00034727+0.0016257i,0.017703+0.012897i,-0.0042135-0.00035256i,0.00054807-0.0058213i,0.00084117-0.0027397i,0.0023227+1.6814e-05i,-0.00020482-0.00041488i,-0.0050734+0.0010578i,-0.0043833-0.0027017i,-0.0040967+0.0032377i,-0.0046238+0.0014318i,-0.0020897-0.0028531i,-0.0025563-0.0034314i,0.016128+0.0047679i,-0.0017268-0.003216i,-6.8724e-05-0.0026189i,-0.00035934-0.0082554i,-0.0028219+0.001418i,0.0016163+0.0035204i,0.00141-0.0019002i,0.003134-0.0046634i,0.0018489+0.0081067i,0.001298-0.036455i,0.041373-0.011795i,-0.02682-0.089169i,-0.038233-0.054753i,-0.021975-0.072728i,-0.026126-0.042372i,-0.027984-0.10339i,-0.060239-0.084989i,0.017153-0.097472i,-0.01489-0.062271i,0.0091629+0.0027093i,-0.0029578-0.0047422i,-0.021404-0.013469i,0.0006523+0.00030698i,-0.010602+0.001305i,-0.014859-0.0016963i,-0.037775+0.022111i,0.013991+0.011395i,-0.014245-0.007466i,-0.0054524+0.00574i,-0.0062557+0.001579i,-0.018815+0.0091817i,0.0051184+0.0067138i,0.009117-0.011338i,0.022829-0.0077061i,0.0033535-0.0068326i,-0.0062075+0.0033522i,-0.0016464+0.0063485i,0.0021961+0.018863i,-0.0033201+0.0059305i,-0.0096044+0.036564i,-0.0067823+0.00081047i,0.0020564+0.0068134i,0.0047666+0.011115i,-0.0060195+0.00078959i,-0.0038294+0.0012816i,-0.0015553-0.0016997i,0.00088717+0.0049665i,-0.002229-0.0036616i,-0.0026882+0.0026396i,-0.0027196+0.0017615i,0.0027535+0.021349i,-0.0044716-0.0039981i,-0.0047163+0.021518i,-0.016164+0.033849i,-0.037376-0.090094i,-0.0049921-0.011411i,-0.040519+0.040944i,-0.03045+0.004799i,0.0083137-0.01268i,0.0014094+0.0072094i,-0.031264+9.5373e-05i
-0.040138-0.011075i,-0.042819-0.039145i,-0.061669-0.028397i,-0.047519-0.0051i,-0.052915-0.016803i,-0.048824+0.032585i,-0.033973+0.032009i,-0.052804+0.014479i,-0.036812-0.0023018i,0.006903+0.0017877i,0.011682+0.0070159i,0.012845-0.0017298i,0.0070773-0.013558i,0.012969+0.0027677i,0.00047286-0.0034178i,0.0038942-0.0018672i,0.01252-0.025307i,0.0038878-0.0017257i,0.0051011+0.0066852i,-0.0014203-0.003587i,0.0043424+0.0019332i,0.0031818+0.0011327i,0.0010668+0.0022729i,0.021285-0.00082886i,-0.0026749+0.0021339i,-0.0019975-0.0052697i,-0.00081404-0.00074069i,0.0028975-0.0017494i,-0.0002314-0.00051596i,-0.0027603+0.0039467i,-0.0044382-0.0018357i,-0.0029336+0.0041581i,-0.0042929+0.0030299i,-0.0029549-0.0010485i,-0.0022424-0.0023645i,0.017451+0.00032617i,-0.0030483-0.0026949i,-0.0019463-0.002546i,-0.0039698-0.0082678i,-0.0046758-0.00024255i,0.0031307+0.0027188i,0.00073683-2.6004e-05i,0.00058071-0.0055494i,0.0032826+0.0070595i,-0.010645-0.041641i,0.03193-0.0357i,-0.030532-0.082437i,-0.042522-0.047565i,-0.032307-0.072224i,-0.028398-0.043335i,-0.056707-0.093553i,-0.079275-0.067552i,-0.0026506-0.10108i,-0.017296-0.048028i,0.018027+0.0055359i,-0.0063606-0.0022465i,-0.020114-0.0014553i,-0.00050843-3.1093e-05i,-0.014454+0.0051935i,-0.013232+0.0046845i,-0.028058+0.036391i,0.011323+0.0047494i,-0.013365+0.00061903i,-0.0069516+0.0059132i,-0.0034767+0.0049221i,-0.011995+0.015415i,0.0063773+0.0076531i,0.003814-0.018559i,0.012955-0.021206i,-0.0030143-0.0089219i,-0.0059703+0.0077547i,0.00039951+0.0057756i,0.0099269+0.015761i,0.0010033+0.0077233i,0.005603+0.044273i,-0.0076873+0.003687i,0.0021445+0.0054077i,0.009055+0.0061137i,-0.0045824+0.0068855i,-0.0055719+0.0042172i,-0.0035868-0.00068557i,0.0046284+0.006385i,-0.0034768+0.0018687i,-0.0045822+0.0026755i,-0.00034076+0.0071006i,0.010186+0.017436i,-0.0065435-0.0024436i,0.0013659+0.01775i,-0.0058632+0.03619i,-0.043817-0.080027i,-0.011827-0.02294i,-0.015886+0.046308i,-0.025931+0.011536i,0.0059803-0.01925i,0.00062807+0.00056792i,-0.029354+0.0066448i
-0.039605-0.0060667i,-0.053877-0.035583i,-0.069084-0.014034i,-0.045569+0.0030361i,-0.060454-0.0034881i,-0.039489+0.039128i,-0.024688+0.031804i,-0.046322+0.021384i,-0.037908+0.0020131i,0.0079413-0.00053305i,0.014312+0.0042541i,0.0090602-0.0068203i,-0.00067418-0.012325i,0.013022-0.0041965i,-0.0012861-0.0031027i,0.0021318-0.00067736i,0.0005293-0.02139i,0.0025972-0.004264i,0.0063721+0.0022842i,-0.002403-0.001111i,0.0039822-0.00044576i,0.0040663+0.0011978i,0.0026378+0.0016375i,0.015982-0.010991i,0.00069888+0.00097157i,-0.0027581-0.0031168i,-9.3236e-05-0.0011995i,0.0020091-0.0035436i,-5.8014e-06-0.00029084i,-0.00022474+0.0041247i,-0.0050875-0.00091815i,-0.00066853+0.0045126i,-0.0024737+0.0046062i,-0.0025057+0.00010971i,-0.0033335-0.0030021i,0.015715-0.0054717i,-0.003443-0.00093931i,-0.0027069-0.0012218i,-0.0078402-0.0045816i,-0.00767+0.0024443i,0.0036522+0.0013043i,0.0022568-0.00044477i,-0.0016895-0.0049049i,0.0042993+0.0034517i,-0.023276-0.039852i,0.012994-0.041839i,-0.038049-0.084017i,-0.041395-0.039818i,-0.04044-0.069059i,-0.03741-0.044887i,-0.075622-0.077583i,-0.085453-0.041497i,-0.027734-0.10139i,-0.010738-0.044694i,0.024724-0.0093448i,-0.0073758+0.0016895i,-0.014444+0.00068671i,-0.0040747+0.00047787i,-0.011866+0.013505i,-0.010606+0.0071935i,-0.0074457+0.042412i,0.01106+0.0013409i,-0.011967+0.00265i,-0.0037227+0.0073901i,-0.0017049+0.0045122i,-0.0046778+0.018419i,0.010629+0.0045484i,-0.0085771-0.019021i,-0.0049047-0.021634i,-0.0057634-0.0019883i,-0.0022952+0.010992i,0.0032117+0.0048563i,0.01599+0.0073106i,0.0042984+0.0050662i,0.025497+0.037453i,-0.0035023+0.0062001i,0.0024451+0.0036187i,0.0091435+0.0008389i,0.0008647+0.0086004i,-0.0066872+0.0073183i,-0.0043719+0.0032842i,0.0086998+0.0060857i,-0.0015701+0.0046754i,-0.0057741+0.0051192i,0.0035858+0.0069292i,0.012658+0.01145i,-0.0059097+0.00060969i,0.0067081+0.012879i,0.0053614+0.032981i,-0.050374-0.076496i,-0.027374-0.02102i,0.0012678+0.036956i,-0.022936+0.015899i,-0.0038835-0.02622i,-0.0035966-0.003189i,-0.021509+0.0088026i
-0.039193-0.0020171i,-0.063739-0.022923i,-0.072061+0.0022686i,-0.042123+0.0077722i,-0.060151+0.011462i,-0.031312+0.043593i,-0.01792+0.030578i,-0.040086+0.026215i,-0.036465+0.0098128i,0.0074292-0.003199i,0.014596-0.0041123i,0.0032481-0.0071561i,-0.0045083-0.0078771i,0.0083908-0.008867i,-0.0029301-0.0023192i,0.002881-0.00045214i,-0.0058193-0.014799i,-0.00048507-0.0044961i,0.0047362-0.00012365i,-0.0017682+0.00040106i,0.0022956-0.0011002i,0.0045289-0.0004816i,0.0030226+0.00037964i,0.0084304-0.015504i,-0.00018999-0.00099642i,-0.0024903-0.002237i,-0.00031817-0.0015452i,0.00023033-0.0034471i,0.0010545-0.0001901i,0.00099692+0.0030383i,-0.0057756+0.0004783i,0.0010711+0.0038156i,-0.00037805+0.0050492i,-0.0023999+0.00041612i,-0.0044939+4.2382e-05i,0.011947-0.0098259i,-0.0028285-4.5405e-05i,-0.0021815+0.00020002i,-0.0066679-0.0010912i,-0.0066828+0.0067877i,0.003718+0.00029187i,0.0028367-0.0011903i,-0.0033254-0.0036126i,0.0024272+0.00042444i,-0.032322-0.032847i,0.0040633-0.032124i,-0.049963-0.083583i,-0.039106-0.038043i,-0.048746-0.06501i,-0.047549-0.039397i,-0.091001-0.060251i,-0.079079-0.021813i,-0.055138-0.087399i,-0.0083597-0.049519i,0.021717-0.021414i,-0.0057373+0.0042794i,-0.012604+0.0040672i,-0.0065956+0.0050248i,-0.0036152+0.018686i,-0.0068993+0.0106i,0.012191+0.035067i,0.0091581-0.00473i,-0.012334+0.0056149i,-0.0027551+0.005902i,0.00084888+0.0049144i,0.0035127+0.015673i,0.011239-0.0031723i,-0.017481-0.0096645i,-0.014932-0.01083i,-0.0033714+0.0024595i,0.0036409+0.011082i,0.0041067+0.002364i,0.017755+9.6703e-05i,0.006548+0.0035883i,0.037218+0.022627i,-0.00087542+0.0049282i,0.0010353+0.0034081i,0.0070325-0.0040461i,0.0050732+0.0053336i,-0.0045869+0.013567i,-0.0013871+0.0071936i,0.012672+0.00065051i,0.0028565+0.0046966i,-0.0048405+0.0082284i,0.0057682+0.0038806i,0.0138+0.0067916i,-0.0060362+0.0015876i,0.0082607+0.0072278i,0.012245+0.027178i,-0.05907-0.06992i,-0.034662-0.0077288i,0.010812+0.024475i,-0.011308+0.022141i,-0.015645-0.025619i,-0.011027-0.0025387i,-0.020044+0.0042526i
-0.039227+0.0026181i,-0.065654-0.0073377i,-0.068529+0.019653i,-0.040447+0.012016i,-0.054551+0.023458i,-0.022327+0.047386i,-0.01261+0.02844i,-0.034902+0.02968i,-0.03077+0.015835i,0.0054813-0.005865i,0.007877-0.0097036i,0.00085984-0.0048754i,-0.0051088-0.0043664i,0.0033914-0.010613i,-0.0042358-0.00053607i,0.0024742-0.0018015i,-0.0061454-0.0087325i,-0.0020384-0.0028548i,0.0034032-0.00042667i,-0.0005607+0.0012141i,0.0022509-0.00010504i,0.0042035-0.0016862i,0.0031676-0.00060478i,0.0015973-0.01563i,-0.0012577-0.0010316i,-0.002852-0.0026585i,-0.00070274-0.0016469i,-0.00079213-0.003245i,0.00096665-0.0012565i,0.0022458+0.0026149i,-0.0058457+0.0019251i,0.0022305+0.0026165i,0.0012782+0.0036595i,-0.0023643+0.0016022i,-0.0033391+0.00079264i,0.00656-0.012434i,-0.0018288+0.00035934i,-0.0014048+0.00092379i,-0.0073261+0.00081189i,-0.003551+0.009027i,0.003617-0.00076239i,0.0019973-0.0021098i,-0.0040706-0.0017042i,-0.0012472+0.00066268i,-0.038071-0.0237i,0.011867-0.025995i,-0.065495-0.079157i,-0.040685-0.039211i,-0.055649-0.059014i,-0.053396-0.030448i,-0.10142-0.037198i,-0.073642-0.011795i,-0.063235-0.061504i,-0.011913-0.054049i,0.013237-0.031209i,-0.0041637+0.005459i,-0.0089881+0.0036571i,-0.0027739+0.010561i,0.0047015+0.017015i,0.00090037+0.0096178i,0.018992+0.02048i,0.0047609-0.0071756i,-0.010243+0.0095987i,-0.0031154+0.0059353i,0.0017579+0.0030453i,0.0072564+0.011563i,0.0049229-0.0051335i,-0.019059+0.00093304i,-0.015963-0.00065235i,0.00031077+0.0027123i,0.00648+0.0094181i,0.0028949+0.0011347i,0.014595-0.010901i,0.00682-0.0013436i,0.040882+0.0054809i,-0.0007633+0.0055341i,0.0028524+0.0030134i,0.002251-0.006585i,0.0054338+0.0021525i,0.002347+0.017302i,0.0048331+0.005425i,0.010055-0.0052469i,0.0048199+0.0012713i,-0.0012215+0.012996i,0.0047458+0.002882i,0.012739+0.0028212i,-0.0076589+0.004051i,0.0053323+0.0044438i,0.016245+0.021666i,-0.065805-0.061579i,-0.032099+0.0055952i,0.011935+0.013308i,-0.00061609+0.015705i,-0.027001-0.019925i,-0.01303+0.0055748i,-0.023473+0.0062711i
-0.038545+0.0082199i,-0.062445+0.004045i,-0.059299+0.034385i,-0.038906+0.01671i,-0.046947+0.032538i,-0.01294+0.049368i,-0.0092565+0.026639i,-0.030132+0.033792i,-0.025595+0.018719i,0.0019888-0.0069937i,0.001118-0.0093605i,-2.2542e-05-0.0041036i,-0.0042282-0.0028139i,-0.00088428-0.01031i,-0.0039047+0.0016874i,0.00056756-0.0027614i,-0.0056928-0.0070344i,-0.001843-0.00095276i,0.0034952-0.0011081i,0.00099124+0.001192i,0.0036473-0.0008745i,0.0034509-0.0023116i,0.0029631-0.0015356i,-0.003498-0.013565i,-0.0011746-0.00054778i,-0.0041735-0.001478i,-0.0011169-0.0016075i,-0.0018174-0.0030755i,0.00035145-0.0017065i,0.0032457+0.00097176i,-0.0053693+0.0037249i,0.0025867+0.0011941i,0.0021476+0.0025919i,-0.0012735+0.0025265i,-0.003704+0.0017787i,0.0013718-0.010935i,-0.0019357+2.0905e-05i,-0.00048274+0.0010111i,-0.005567+0.004692i,0.00041641+0.0099246i,0.0032202-0.0016884i,0.0021548-0.0019979i,-0.0038568-0.00026948i,-0.0011514+0.0038507i,-0.03836-0.014196i,0.02478-0.035904i,-0.081719-0.066751i,-0.046224-0.038312i,-0.06018-0.053186i,-0.057426-0.021811i,-0.10146-0.014081i,-0.068948-0.00082203i,-0.059536-0.044854i,-0.017311-0.05815i,0.0013436-0.03588i,-0.0013974+0.0065187i,-0.0093999+0.0015937i,0.0036241+0.010597i,0.0094947+0.011813i,0.004561+0.0030022i,0.017534+0.0086025i,9.4953e-05-0.0074196i,-0.0065973+0.012862i,-0.0035173+0.0068392i,0.0013741+0.0019216i,0.0087668+0.006952i,0.002943-0.0028024i,-0.015266+0.0099399i,-0.011875+0.0068986i,0.0017851+0.0016791i,0.010712+0.0064853i,0.0021574+0.00064651i,0.0045847-0.014847i,0.0039063-0.0041415i,0.036292-0.0094759i,0.0013309+0.0063323i,0.0018695+0.0017425i,-0.001878-0.0050258i,0.0052281+0.00070133i,0.010395+0.016306i,0.0056585+0.0011227i,0.0070713-0.007241i,0.0036586-0.00086385i,0.0060795+0.012995i,0.0049614+0.0014203i,0.013062-0.001047i,-0.0050845+0.0091251i,0.0058546+0.0032371i,0.019388+0.016853i,-0.071468-0.054129i,-0.025436+0.012221i,0.011865+0.0063802i,0.00059567+0.0078165i,-0.034682-0.0093342i,-0.0086471+0.0077628i,-0.022453+0.0098599i
-0.036116+0.013748i,-0.057482+0.012596i,-0.04595+0.043776i,-0.035506+0.022124i,-0.037385+0.038242i,-0.0036934+0.049563i,-0.0063302+0.025669i,-0.024211+0.037714i,-0.020849+0.021176i,-0.0014213-0.0069054i,-0.0028443-0.006553i,-0.00018911-0.0037778i,-0.0044004-0.0017538i,-0.0044773-0.0081779i,-0.0032011+0.0031443i,-0.0014115-0.0023732i,-0.0077123-0.0068542i,-0.0011872-0.0003786i,0.0029606-0.0018837i,0.0019269+0.00028855i,0.0035985-0.0024731i,0.0033755-0.0028666i,0.0023411-0.0023566i,-0.0075173-0.011033i,-0.0014895-0.00060921i,-0.0042266+0.00025579i,-0.0018822-0.0011403i,-0.0025037-0.0020964i,-0.00029271-0.0018928i,0.002426-0.0011866i,-0.0039712+0.0057464i,0.0021625+0.00029287i,0.002697+0.0016319i,0.00031238+0.0024186i,-0.002893+0.0034892i,-0.00075639-0.0081848i,-0.0018996+0.00045727i,0.00033262+0.00039575i,-0.0016091+0.0051409i,0.0050815+0.0087224i,0.0025332-0.0022132i,0.0021624-0.0025675i,-0.0037228+0.00053281i,0.00051665+0.0034796i,-0.035667-0.0090518i,0.023618-0.058751i,-0.091929-0.048366i,-0.049919-0.035618i,-0.065408-0.051759i,-0.058953-0.012299i,-0.098551+0.0034504i,-0.062882+0.0069283i,-0.056007-0.033866i,-0.025509-0.059533i,-0.011908-0.036113i,0.00050541+0.005679i,-0.014149+0.0016258i,0.0074922+0.0064194i,0.011399+0.0063226i,0.0035798-0.0025732i,0.012931+0.0024893i,-0.0040636-0.00732i,-0.0014516+0.013773i,-0.0022965+0.00822i,0.00091315+0.0017359i,0.0067913+0.0034606i,0.0025508-0.0019644i,-0.008071+0.01418i,-0.0062414+0.011067i,0.003584-0.00013605i,0.012804+0.00025203i,0.0013997+0.001132i,-0.0029058-0.012532i,0.00099415-0.0045571i,0.027641-0.01953i,0.0040445+0.0057853i,0.0011099+0.0028251i,-0.0047128-0.0021783i,0.0047003-0.0023733i,0.017164+0.011356i,0.0042081-0.0018341i,0.0035341-0.0095093i,0.0020019-0.0023737i,0.010973+0.009035i,0.0047884+0.0012289i,0.009577-0.0060983i,-0.00024148+0.010133i,0.0058486+0.00076179i,0.023165+0.011601i,-0.078215-0.044606i,-0.018539+0.017348i,0.01055+0.00057058i,-0.0010319+0.0047505i,-0.036805+0.0020223i,-0.0068878+0.0069941i,-0.019567+0.012756i
