-0.023931-0.039335i,-0.012272-0.048794i,-0.018238-0.044789i,-0.031293-0.03492i,-0.030182-0.016233i,-0.050609-0.027394i,-0.057884-0.025629i,-0.044578-0.037527i,-0.029449-0.036216i,0.0070943+0.012632i,-0.0048644+0.015544i,-0.0047204+0.014023i,0.009822+0.021508i,0.00042196+0.0044451i,0.0034525+0.0032169i,0.006437+0.017296i,0.026808+0.038352i,-0.0026271-0.00071028i,-0.0042104-0.0059793i,0.0077414+0.0015328i,-1.0424e-05-0.00091868i,-0.001039+0.001499i,0.000128-0.00039712i,-0.030388-0.0029485i,-0.0013748-0.0057693i,0.0015747+0.0046133i,0.0036119-3.9271e-05i,-0.00039823+0.00066027i,0.00040783-0.00057129i,-0.00010598-0.0026271i,-0.0019381-0.0062134i,-0.0044238-0.004105i,-0.0019016-0.0048371i,0.0022972-0.00080697i,0.0021406-0.0029245i,0.0027301+0.02557i,0.0018536-0.0026668i,0.0027684+0.00065836i,0.0059406+0.0011034i,-0.010396-0.0035133i,-0.0032565+0.0008447i,0.0066826+0.0013645i,0.0049951+0.00033064i,-0.0035588+0.0055247i,0.0012842-0.0093429i,-0.011657+0.017595i,0.035733-0.090254i,0.012249-0.070393i,-0.016154-0.059483i,-0.0164-0.055663i,0.039432-0.046252i,0.016923-0.062425i,0.03403-0.05586i,0.031265-0.059938i,0.015375-0.013441i,0.0047764+0.016529i,0.016449-0.026418i,-0.011312+0.0059251i,-0.00052554+0.005117i,-0.005246-0.0012859i,-0.0022389-0.028817i,-0.023738+0.031932i,0.010276-0.011195i,-0.012918-0.0024999i,-0.00019813-0.0049472i,-0.0011192-0.016112i,-0.0076747+0.0045829i,0.0050681+0.0062584i,-0.0083846+0.03062i,0.005534+0.0058017i,-0.0050445-0.00061634i,-0.0031032-0.00042044i,-0.012292-0.0075357i,-0.00082003-0.004286i,-0.029961+0.0065057i,0.0001898-0.009981i,-0.0096466-0.0018736i,-0.0064565-0.0024928i,0.0067284+0.0027575i,-0.0080116+0.0016577i,-0.00021016+0.00076031i,0.0060758+0.010708i,0.0041036+0.0013905i,-0.0097651-0.01021i,0.0031782+0.0078645i,-0.021586+0.0061968i,0.0079951+0.0004749i,-0.028642-0.0041973i,-0.042179+0.0016507i,0.019445-0.096191i,-0.001962-0.012462i,-0.053224-0.021764i,-0.023382+0.00044448i,0.017985+0.011037i,-0.024957+0.012889i,-0.018387-0.013337i
-0.031959-0.035909i,-0.018673-0.041815i,-0.025-0.042846i,-0.038135-0.031438i,-0.028366-0.016202i,-0.05717-0.01607i,-0.05996-0.01427i,-0.049982-0.029403i,-0.034055-0.028646i,0.0077881+0.0090152i,-0.0029479+0.012954i,0.0019687+0.015983i,0.0181+0.014651i,-0.00049358+0.0058999i,0.0039601+0.0018531i,0.0097561+0.011947i,0.033285+0.023883i,-0.00076068+0.0027282i,-0.0058283-0.0019712i,0.0074197-0.0024248i,-0.00095073+0.00066048i,-0.0011795+0.002237i,-0.00019991-7.1376e-05i,-0.01847+0.011804i,-0.0031776-0.0039008i,0.0051939+0.0013568i,0.0028096-0.00047871i,0.00049876+0.0021531i,0.00067863-0.00093608i,-0.0013441-0.0030037i,-0.0024035-0.0049528i,-0.0051332-0.002344i,-0.0031805-0.0042951i,0.0015262-0.0018953i,0.0014019-0.0019514i,0.010493+0.021252i,0.0014775-0.0034086i,0.0024674-0.00055242i,0.0081642-0.0017039i,-0.0076616-0.0010968i,-0.0023063+0.0029887i,0.0057968+0.00089946i,0.0045642-0.0005464i,-0.0049822+0.007658i,0.0051402-0.012124i,0.0032845+0.022644i,0.018747-0.096483i,-0.0056767-0.076994i,-0.01228-0.055184i,-0.020336-0.045226i,0.033674-0.065193i,0.01291-0.080846i,0.035053-0.055228i,0.019365-0.069109i,0.0055835-0.0061879i,0.0072782+0.0056461i,0.0052497-0.027291i,-0.0077818+0.011732i,-0.00062658-0.0032174i,-0.0054497-0.0014516i,-0.023549-0.027288i,-0.0095158+0.030045i,0.0042275-0.014771i,-0.013458+0.0006713i,-0.0016159-0.0044552i,-0.0087829-0.014253i,-0.0081663+0.0088199i,0.0083718+0.0056892i,0.0099824+0.027387i,0.0065226+0.0013382i,-0.0041207+0.0019038i,-0.0043926+6.0923e-06i,-0.01649+0.0024903i,-0.00091804-0.0027012i,-0.031886+0.014191i,-0.0049838-0.0070154i,-0.0095995+0.0030304i,-0.0078256+0.0010644i,0.0053201-0.0032566i,-0.0073707+0.0033234i,0.00085352-0.00068571i,0.0057045+0.0041053i,0.0037631+0.00037642i,-0.014306-0.0012924i,0.0038117+0.0040566i,-0.015706+0.014568i,0.0062021-0.0032697i,-0.027543+0.0071978i,-0.041916+0.014113i,0.0019337-0.096989i,-0.0062599-0.015618i,-0.059337-0.0064296i,-0.016997-0.0023867i,0.018003+0.0046682i,-0.019172+0.019272i,-0.026845-0.017526i
-0.037105-0.029237i,-0.021305-0.041173i,-0.030887-0.041269i,-0.043894-0.024458i,-0.028924-0.01794i,-0.060373-0.0035629i,-0.062575-0.001011i,-0.055451-0.020409i,-0.037471-0.022435i,0.0081201+0.0062926i,-0.00059671+0.015144i,0.0086266+0.012785i,0.020379+0.0046027i,0.00097378+0.0071567i,0.0042491+0.00079781i,0.010638+0.006666i,0.037465+0.012214i,0.0023928+0.0027i,-0.0048063+0.0014848i,0.0053831-0.0045988i,-0.0012171+0.0019824i,-1.5565e-05+0.0035041i,-0.00018745+0.0002115i,-0.0073005+0.016275i,-0.0030175-0.0023801i,0.0054525-0.0027471i,0.0024048-0.0015848i,0.0023934+0.0018878i,-0.00012262-0.0012152i,-0.0022683-0.0025277i,-0.0031969-0.0045722i,-0.0052231-0.00035643i,-0.0046125-0.0030451i,0.0007395-0.0026379i,0.0024312-0.0042547i,0.01551+0.014025i,0.00040727-0.0035936i,0.0020275-0.0014964i,0.0072725-0.006869i,-0.0073024+0.00041294i,-0.00049815+0.0041261i,0.0055863-0.00076341i,0.004764-0.0014116i,-0.0026201+0.010186i,0.0053187-0.019388i,0.019189+0.018483i,0.0016786-0.098601i,-0.023116-0.072047i,-0.0080161-0.061244i,-0.019089-0.043823i,0.022482-0.080465i,-0.0078724-0.096188i,0.040425-0.062028i,0.0055439-0.069373i,0.0050531-0.0023822i,0.0057525+0.00071529i,-0.0029606-0.02821i,0.0026682+0.010241i,-0.007726-0.0050996i,-0.0045164-0.003347i,-0.038345-0.015393i,-0.00079885+0.028188i,-0.0026193-0.014682i,-0.011382+0.0046917i,-0.004097-0.0038083i,-0.016088-0.0098481i,-0.0025223+0.014176i,0.011937+0.00010587i,0.0208+0.015968i,0.0058282-0.00043148i,-0.0033818+0.0014554i,-0.0043472+0.0016948i,-0.01218+0.011798i,-0.003905-0.0022904i,-0.025569+0.023914i,-0.0063903-0.002904i,-0.0073212+0.0074978i,-0.0079647+0.0073584i,-9.3613e-05-0.0053687i,-0.0056409+0.0049647i,-1.3851e-05-0.0015127i,0.0028934+0.0027556i,0.0036132-0.0012163i,-0.0092421+0.0064582i,0.002969+0.0013543i,-0.0087764+0.017273i,0.00227-0.006012i,-0.021904+0.01504i,-0.034652+0.025883i,-0.010692-0.094771i,-0.012505-0.013578i,-0.057774+0.0083217i,-0.021623-0.0088541i,0.016836-0.0031408i,-0.0088359+0.019683i,-0.032224-0.011968i
-0.040021-0.022593i,-0.027216-0.042734i,-0.038342-0.040058i,-0.045147-0.016618i,-0.032548-0.020456i,-0.059479+0.010057i,-0.059122+0.018002i,-0.059373-0.0077254i,-0.041173-0.013848i,0.0078123+0.0043954i,0.0053864+0.015339i,0.011308+0.0073265i,0.018434-0.0039775i,0.0036148+0.0084964i,0.0035356-0.0011613i,0.0094308+0.0012902i,0.039109-0.0046859i,0.0035094+0.00037057i,-0.0037941+0.0040063i,0.0025781-0.0054418i,0.000327+0.0035138i,0.0020315+0.0036798i,-0.00043941+0.00063888i,0.0030278+0.020043i,-0.0031892-0.0021071i,0.0030313-0.0052445i,0.0018892-0.0020875i,0.002578-0.00013075i,-0.00036971-0.00052186i,-0.0038237-0.0019634i,-0.0038054-0.0036229i,-0.004648+0.0012694i,-0.0054473-0.0011983i,-0.00040226-0.0031547i,-0.00071165-0.0056612i,0.01496+0.0078116i,-0.00083363-0.0038543i,0.0012192-0.0024181i,0.0031724-0.009169i,-0.0048707+0.0032078i,0.0013302+0.0039399i,0.0040902-0.0020983i,0.0039135-0.0031223i,0.00096649+0.010186i,0.0051092-0.025291i,0.032539+0.007687i,-0.014979-0.095721i,-0.032252-0.062318i,-0.01365-0.067379i,-0.021321-0.043642i,0.0049418-0.095981i,-0.035158-0.096367i,0.037664-0.08163i,-0.0040044-0.06703i,0.0058781+0.00035799i,0.0020757-0.0040355i,-0.013995-0.024014i,0.0037112+0.002471i,-0.0099798-0.0014594i,-0.0090042-0.005832i,-0.043821+0.004052i,0.01037+0.022653i,-0.0082909-0.012635i,-0.0075081+0.0055398i,-0.0055332-0.001624i,-0.020051-0.0017186i,0.005424+0.012101i,0.012307-0.00595i,0.023409+0.004268i,0.0055676-0.0026981i,-0.0041089+0.0013921i,-0.0039734+0.0039274i,-0.0061021+0.017568i,-0.0054546+0.0017998i,-0.018805+0.030976i,-0.0061378-0.00013236i,-0.0022729+0.009809i,-0.0021469+0.01191i,-0.004973-0.0028117i,-0.0024016+0.0041509i,-0.00043231-0.0013331i,0.002108+0.0029683i,0.001463-0.0033352i,-0.0034781+0.0058111i,-0.00037128-0.00071534i,-0.0047514+0.019194i,-0.0019581-0.0049134i,-0.013866+0.019468i,-0.023927+0.030565i,-0.021992-0.093029i,-0.010299-0.0083176i,-0.051908+0.024155i,-0.029044-0.005609i,0.013346-0.0091878i,-0.0002324+0.015102i,-0.032691-0.0050408i
-0.041646-0.015734i,-0.036786-0.040346i,-0.048829-0.036396i,-0.045709-0.010834i,-0.040654-0.020971i,-0.055303+0.022404i,-0.044621+0.029274i,-0.056627+0.0051101i,-0.038377-0.0055593i,0.0077515+0.0026966i,0.010454+0.010524i,0.012228+0.0034157i,0.013165-0.010097i,0.0082993+0.0073095i,0.0020521-0.0024229i,0.0060044-0.0011764i,0.02689-0.021154i,0.0031495-0.00091329i,-0.0003777+0.0075498i,0.00041252-0.0049364i,0.0020396+0.0039571i,0.0029671+0.0022018i,-0.00035323+0.0014811i,0.017148+0.012907i,-0.00413-0.00027473i,0.00075548-0.0058669i,0.00078678-0.0027843i,0.0027109-0.00026648i,-0.00014659-0.00024495i,-0.0047984+0.00047643i,-0.0047205-0.002417i,-0.0035443+0.0028841i,-0.0047078+0.00091633i,-0.002108-0.0028086i,-0.0027821-0.0039055i,0.015091+0.0049278i,-0.0017486-0.0037475i,-0.00029494-0.0028729i,7.9861e-05-0.0086526i,-0.0027452+0.0009291i,0.0023391+0.0031979i,0.0019639-0.0017016i,0.0028599-0.0041168i,0.0027478+0.0082294i,0.000324-0.035644i,0.041607-0.0099146i,-0.025642-0.087828i,-0.03699-0.05323i,-0.020856-0.071512i,-0.024062-0.042274i,-0.023499-0.10459i,-0.058013-0.085802i,0.018115-0.096816i,-0.015409-0.061292i,0.0088746+0.0027057i,-0.0030987-0.0056706i,-0.021082-0.014815i,0.00015661-0.00036533i,-0.011103+0.00022982i,-0.016011-0.0022745i,-0.039117+0.020793i,0.013704+0.011919i,-0.013575-0.0081736i,-0.0054263+0.0054282i,-0.0062751+0.0014131i,-0.019005+0.00844i,0.0058117+0.0069821i,0.01001-0.011387i,0.023019-0.0071524i,0.0035248-0.0061434i,-0.0063229+0.0037028i,-0.0016923+0.0062825i,0.0023503+0.018859i,-0.0041094+0.0063079i,-0.010843+0.037861i,-0.0069488+0.0011277i,0.0015423+0.0071732i,0.0045666+0.010898i,-0.0064897+0.0010026i,-0.0036326+0.001522i,-0.0016834-0.0014708i,0.0011198+0.0046081i,-0.0022645-0.0035229i,-0.0026346+0.0028019i,-0.0031285+0.0016772i,0.0028366+0.021302i,-0.0047174-0.0031283i,-0.0050264+0.020238i,-0.016269+0.032824i,-0.035384-0.087998i,-0.0048818-0.011985i,-0.040353+0.039611i,-0.031202+0.0047446i,0.0080906-0.013745i,0.00088429+0.0072617i,-0.031727-0.001341i
-0.041361-0.010015i,-0.042916-0.036104i,-0.059617-0.026275i,-0.046773-0.0046515i,-0.051367-0.015526i,-0.047006+0.032694i,-0.032064+0.031939i,-0.051074+0.015003i,-0.036184-0.0015494i,0.0070378+0.0015815i,0.010617+0.0059653i,0.012213-0.002005i,0.0065011-0.013505i,0.011751+0.0027144i,0.00017022-0.0028519i,0.0031233-0.0010346i,0.01145-0.025196i,0.0041982-0.0020248i,0.0044172+0.0066059i,-0.0014471-0.003507i,0.0038777+0.0020316i,0.0029877+0.0011913i,0.00096868+0.0022361i,0.020601-0.00045806i,-0.0024551+0.0019431i,-0.001734-0.0054176i,-0.00092585-0.0010811i,0.0030475-0.0019843i,-8.8165e-06-0.0005545i,-0.0029891+0.0034208i,-0.004585-0.0014316i,-0.0026021+0.0034744i,-0.004465+0.0028245i,-0.003001-0.0007847i,-0.0024746-0.0026364i,0.016427+0.00065495i,-0.0031638-0.0031092i,-0.0021837-0.0027983i,-0.0035507-0.0084357i,-0.0044457-0.00066608i,0.0036+0.002211i,0.0013073-0.00023153i,0.00059655-0.0050203i,0.0038852+0.0070339i,-0.011163-0.04072i,0.032738-0.034128i,-0.028796-0.081203i,-0.040886-0.046086i,-0.030668-0.071449i,-0.026242-0.043585i,-0.052993-0.095509i,-0.077148-0.068321i,-0.0013671-0.10058i,-0.017168-0.046928i,0.01742+0.0055293i,-0.0068938-0.0028958i,-0.020374-0.0024164i,-0.001387-0.00054332i,-0.015144+0.0043594i,-0.014564+0.0049144i,-0.029498+0.035379i,0.011621+0.005111i,-0.012513+3.1175e-05i,-0.0071227+0.0052287i,-0.0033189+0.0051256i,-0.012312+0.015448i,0.0070189+0.0080524i,0.0046157-0.018975i,0.012771-0.020752i,-0.0029131-0.0086448i,-0.0065351+0.0079255i,0.00025589+0.0061022i,0.0098369+0.015845i,0.00066274+0.0080908i,0.0052265+0.045581i,-0.0079882+0.0037251i,0.0018014+0.0055025i,0.008419+0.0058624i,-0.0045104+0.0069004i,-0.005484+0.0042838i,-0.0038329-0.0010592i,0.0046876+0.005991i,-0.003438+0.0020174i,-0.0049765+0.0028568i,-0.00076153+0.0066678i,0.0095921+0.017196i,-0.0064328-0.0017655i,0.00044502+0.017219i,-0.006434+0.035483i,-0.041441-0.07871i,-0.011502-0.023318i,-0.016033+0.045327i,-0.025978+0.01203i,0.0054164-0.019988i,0.00038465+0.0014095i,-0.030217+0.0053119i
-0.040576-0.004618i,-0.053444-0.03241i,-0.066645-0.012636i,-0.044839+0.0034404i,-0.059002-0.0027479i,-0.037509+0.038893i,-0.022718+0.031557i,-0.044397+0.021651i,-0.03685+0.0028137i,0.0077615-0.00057021i,0.012675+0.0034773i,0.0083579-0.0069518i,-0.0010996-0.012351i,0.012125-0.003999i,-0.0013945-0.0024412i,0.0017932+0.00025794i,-0.00018686-0.021095i,0.0025977-0.0045895i,0.0057595+0.0027142i,-0.0022148-0.0011719i,0.0038471-0.00027614i,0.0040433+0.001172i,0.0024776+0.0015716i,0.015601-0.010171i,0.00050424+0.00092984i,-0.0026995-0.0033731i,-0.00014457-0.0013939i,0.0020644-0.0035476i,6.936e-05-0.00029709i,-0.00043927+0.0037091i,-0.004973-0.00064807i,-0.00089911+0.003816i,-0.0025831+0.0045094i,-0.0024593+0.00019304i,-0.0035515-0.0031773i,0.014945-0.0047369i,-0.00355-0.0014432i,-0.003089-0.0013299i,-0.0074074-0.0047366i,-0.0073828+0.0016341i,0.0036478+0.00081801i,0.0026913-0.00095474i,-0.0015858-0.0043686i,0.0049811+0.0033974i,-0.024089-0.038901i,0.013896-0.040245i,-0.036205-0.083169i,-0.039403-0.038903i,-0.038817-0.068751i,-0.03557-0.046026i,-0.072434-0.079688i,-0.083189-0.042213i,-0.026548-0.10185i,-0.010271-0.043255i,0.025243-0.0090907i,-0.0081858+0.0013298i,-0.014951+0.00013606i,-0.0052446+0.00029839i,-0.012412+0.013362i,-0.011697+0.007936i,-0.0090351+0.042172i,0.011153+0.0012187i,-0.011564+0.0015779i,-0.0039806+0.0072871i,-0.0014823+0.0044539i,-0.004849+0.01904i,0.01147+0.0048265i,-0.0082847-0.019869i,-0.0045776-0.021284i,-0.006069-0.0018303i,-0.0026311+0.011584i,0.0032107+0.0050435i,0.015807+0.0079075i,0.0038638+0.0049546i,0.025554+0.039259i,-0.0042453+0.0070005i,0.0022069+0.0034249i,0.0088184+0.00095168i,0.00081659+0.0081638i,-0.0065953+0.0070674i,-0.0045931+0.0031042i,0.0085147+0.0053955i,-0.0016073+0.004583i,-0.006529+0.0053108i,0.0031887+0.0066444i,0.012585+0.011579i,-0.0061302+0.0010813i,0.005983+0.012855i,0.0045823+0.032678i,-0.048249-0.075441i,-0.02722-0.021858i,0.0013248+0.036215i,-0.022024+0.015288i,-0.0042689-0.026589i,-0.003178-0.0027511i,-0.022074+0.0083632i
-0.039966-0.0003074i,-0.062739-0.020149i,-0.069593+0.0029096i,-0.041204+0.0080108i,-0.058604+0.012102i,-0.029323+0.042867i,-0.015823+0.030057i,-0.03813+0.026152i,-0.035275+0.01037i,0.0072806-0.0027803i,0.013357-0.0042672i,0.0026913-0.0073988i,-0.0048433-0.007707i,0.007683-0.0083347i,-0.0027322-0.0017698i,0.0029345+0.0002698i,-0.0065511-0.014297i,-0.00031597-0.0047297i,0.0044907+0.00036549i,-0.0016045+0.00033494i,0.0022716-0.0009596i,0.004386-0.00034266i,0.0028224+0.0004383i,0.0082915-0.014665i,-4.6861e-05-0.00085934i,-0.0024753-0.0024196i,-0.00043422-0.0016618i,0.00041462-0.003427i,0.001068-0.00029788i,0.00093103+0.0028587i,-0.0054549+0.00058259i,0.00049834+0.0033653i,-0.00029545+0.0050122i,-0.0023344+0.00039774i,-0.0048109-0.00029963i,0.011636-0.0090274i,-0.0030475-0.0003524i,-0.0025694+0.00022332i,-0.0067333-0.0014104i,-0.0065979+0.0057228i,0.0034984-9.2396e-05i,0.0031633-0.0018272i,-0.0029972-0.0032289i,0.0029776+0.00052562i,-0.032898-0.030973i,0.0056917-0.030828i,-0.047901-0.08307i,-0.036936-0.037471i,-0.047222-0.064832i,-0.045806-0.040631i,-0.088477-0.062807i,-0.076421-0.022762i,-0.055067-0.087661i,-0.0076772-0.048576i,0.022407-0.021671i,-0.0063414+0.0041564i,-0.013428+0.0040018i,-0.0080718+0.005343i,-0.0044588+0.018545i,-0.0076484+0.011611i,0.010226+0.035684i,0.0091051-0.0043917i,-0.012416+0.0047857i,-0.0026466+0.0055988i,0.00078763+0.004881i,0.0033679+0.015947i,0.011677-0.0028612i,-0.017685-0.010267i,-0.014876-0.011193i,-0.00341+0.0024396i,0.0037304+0.011353i,0.0039388+0.0026433i,0.018132+0.00047578i,0.0065268+0.0041117i,0.038384+0.024215i,-0.0011201+0.0056933i,0.00074823+0.0037757i,0.0070963-0.0040609i,0.0052714+0.0053632i,-0.0048285+0.013701i,-0.0014561+0.0074152i,0.012726+0.00047343i,0.0026506+0.0047637i,-0.0056482+0.0090743i,0.005584+0.0041999i,0.013436+0.0067862i,-0.0057049+0.0022637i,0.0078781+0.0072352i,0.011439+0.026653i,-0.05647-0.069322i,-0.03527-0.0087191i,0.01096+0.023407i,-0.01043+0.020737i,-0.016577-0.02578i,-0.010675-0.0028387i,-0.019917+0.0035274i
-0.039444+0.0046459i,-0.06406-0.0051246i,-0.066224+0.02004i,-0.039352+0.012143i,-0.052881+0.023892i,-0.020471+0.046238i,-0.010486+0.027677i,-0.033053+0.029553i,-0.029477+0.016126i,0.0057657-0.0050795i,0.0069958-0.0096735i,0.00016883-0.0050768i,-0.0052606-0.0040266i,0.0030979-0.0098157i,-0.0039018-0.00019904i,0.0026464-0.0011196i,-0.0068072-0.0082737i,-0.0017104-0.0032595i,0.0033097-1.6157e-05i,-0.0005281+0.0010614i,0.0023854-0.00010383i,0.0041171-0.0015374i,0.0030231-0.00041567i,0.0019828-0.014754i,-0.0011003-0.0010231i,-0.002816-0.0027188i,-0.00068479-0.0015571i,-0.00064365-0.0033305i,0.00090532-0.0014915i,0.0021437+0.002276i,-0.0053712+0.0018161i,0.0015863+0.002518i,0.0015825+0.0037864i,-0.0023317+0.0018i,-0.0036081+0.00058415i,0.0066549-0.011982i,-0.0022551+0.00038141i,-0.0018065+0.0011472i,-0.007588+0.00085705i,-0.0039252+0.0080519i,0.0032352-0.0011175i,0.0020594-0.002823i,-0.003335-0.0017683i,-0.00054496+0.000373i,-0.038054-0.021441i,0.01376-0.024795i,-0.063405-0.07892i,-0.038159-0.038825i,-0.053616-0.058759i,-0.05228-0.032434i,-0.099857-0.040027i,-0.071089-0.01304i,-0.063911-0.060387i,-0.011362-0.052754i,0.013795-0.032077i,-0.0049576+0.005228i,-0.0094086+0.0039559i,-0.0037374+0.011326i,0.0038185+0.01736i,0.00119+0.010365i,0.018087+0.022208i,0.004672-0.0066948i,-0.01079+0.0094497i,-0.0026789+0.0052369i,0.0019335+0.0029158i,0.0069437+0.011982i,0.0051642-0.0053627i,-0.019818+0.00089359i,-0.016276-0.00092478i,0.00057861+0.0024686i,0.0067525+0.0095348i,0.0027634+0.0015206i,0.014331-0.010754i,0.0071181-0.00089111i,0.042659+0.0062008i,-0.00078113+0.0060591i,0.0030355+0.0033919i,0.0020456-0.0067601i,0.0060484+0.0022282i,0.0019067+0.017434i,0.004821+0.0054141i,0.01016-0.0052955i,0.0051252+0.0014289i,-0.0012148+0.01294i,0.0049601+0.0033457i,0.012792+0.0031845i,-0.0069012+0.0036555i,0.0045487+0.0043179i,0.015217+0.021632i,-0.062921-0.06192i,-0.032841+0.0046249i,0.011936+0.012003i,-0.0006545+0.01436i,-0.028039-0.01949i,-0.013501+0.0054508i,-0.023487+0.0052625i
-0.03832+0.010221i,-0.060971+0.0059552i,-0.057355+0.0339i,-0.037684+0.016732i,-0.045165+0.032452i,-0.011286+0.04778i,-0.0072651+0.025166i,-0.028011+0.033401i,-0.024286+0.018804i,0.0027994-0.0062942i,0.00039237-0.0088887i,-0.00061808-0.0038788i,-0.0043048-0.0023397i,-0.0010404-0.0095074i,-0.0036558+0.0018786i,0.001085-0.0021886i,-0.0060685-0.0063559i,-0.0016171-0.0015579i,0.0033682-0.000464i,0.00087306+0.0011628i,0.0036972-0.00077748i,0.0034177-0.002075i,0.0028788-0.0012996i,-0.0026184-0.013064i,-0.0013049-0.00056115i,-0.0040972-0.0016749i,-0.0010508-0.0016005i,-0.0017703-0.0031176i,0.00027239-0.0019049i,0.003035+0.00080645i,-0.0047045+0.003359i,0.0021326+0.0013772i,0.0024678+0.0026152i,-0.0011298+0.002603i,-0.00375+0.001594i,0.0016142-0.0107i,-0.0020667+0.00019236i,-0.00062754+0.001355i,-0.0058633+0.0048013i,-0.00015973+0.0093982i,0.0027434-0.001779i,0.0020537-0.0024811i,-0.0032615-0.00074245i,-0.00087535+0.0035226i,-0.037602-0.0121i,0.027295-0.034786i,-0.079558-0.066887i,-0.043162-0.038609i,-0.057855-0.05393i,-0.056907-0.023823i,-0.10049-0.016929i,-0.066569-0.0026401i,-0.058968-0.043479i,-0.016549-0.056587i,0.0013038-0.036787i,-0.0023737+0.0065615i,-0.0096599+0.0014286i,0.0029111+0.011534i,0.0087788+0.012339i,0.004886+0.003187i,0.017244+0.0099065i,0.00024857-0.0068505i,-0.0069152+0.012734i,-0.003297+0.0060036i,0.0015119+0.001505i,0.0085406+0.0071657i,0.0026537-0.0031139i,-0.015699+0.010508i,-0.012281+0.0070246i,0.0016815+0.0012466i,0.010888+0.0066113i,0.0020519+0.0010265i,0.0044347-0.014593i,0.0039631-0.0039333i,0.038255-0.0093991i,0.0015861+0.0066268i,0.0021881+0.001791i,-0.0020113-0.0049485i,0.0057829+0.00039445i,0.010409+0.016807i,0.0052515+0.0010547i,0.0072115-0.0072578i,0.0038389-0.0010813i,0.0053108+0.012966i,0.0054658+0.0018754i,0.012957-0.0010996i,-0.0051324+0.0084657i,0.0046439+0.0038936i,0.018583+0.017024i,-0.068718-0.055268i,-0.026175+0.011252i,0.011134+0.0054938i,0.00012319+0.0060547i,-0.035383-0.0092731i,-0.0091867+0.0080306i,-0.022476+0.0086323i
-0.035703+0.015629i,-0.055944+0.014401i,-0.044355+0.043013i,-0.034207+0.021835i,-0.035669+0.03774i,-0.0023816+0.047508i,-0.0045914+0.023665i,-0.021906+0.036686i,-0.01955+0.02092i,-0.00013912-0.0065617i,-0.0030609-0.0059773i,-0.00053744-0.003427i,-0.0042858-0.0011881i,-0.0046034-0.0074462i,-0.0029258+0.0032195i,-0.0007161-0.0021574i,-0.0075026-0.0060474i,-0.001573-0.0011743i,0.0031024-0.0013348i,0.0018105+0.00033383i,0.0038937-0.0023648i,0.0034656-0.0026571i,0.0023776-0.002163i,-0.0062921-0.010925i,-0.0015401-0.00029994i,-0.004366+5.9669e-05i,-0.0017975-0.0010668i,-0.0026612-0.0021844i,-0.00042386-0.0020218i,0.0023859-0.0011574i,-0.0034017+0.005079i,0.001856+0.00058554i,0.0029513+0.0014014i,0.00043022+0.0022496i,-0.0030076+0.0031721i,-0.00043872-0.0080043i,-0.001941+0.00047833i,0.00018521+0.00077463i,-0.0019835+0.0053676i,0.0043445+0.0086012i,0.0020506-0.0022787i,0.0018418-0.0029458i,-0.0033173+6.3106e-05i,0.00084015+0.0031402i,-0.034634-0.0071465i,0.027107-0.058348i,-0.089819-0.048788i,-0.047236-0.036384i,-0.062994-0.052928i,-0.05877-0.014285i,-0.097902+0.00070489i,-0.060948+0.0045969i,-0.054796-0.0331i,-0.024619-0.058334i,-0.012537-0.037046i,-4.4961e-05+0.0055875i,-0.01498+0.0017833i,0.0075665+0.0075338i,0.010795+0.0068743i,0.0036679-0.0027004i,0.012886+0.0036027i,-0.0038987-0.0067912i,-0.0023005+0.013833i,-0.0023164+0.0075987i,0.00080747+0.0012043i,0.0066601+0.0035075i,0.0022187-0.0017788i,-0.0081777+0.014855i,-0.0061866+0.010797i,0.0037161-0.00062572i,0.013406+0.00053109i,0.0016101+0.0014923i,-0.0031622-0.011928i,0.00087734-0.0043236i,0.029504-0.020204i,0.0043023+0.0059984i,0.0013978+0.0028631i,-0.004519-0.0020696i,0.005056-0.0023947i,0.017775+0.011373i,0.0040171-0.0019081i,0.0036559-0.009243i,0.0023747-0.0022125i,0.010414+0.0088777i,0.0051861+0.001571i,0.0094181-0.0058702i,-0.00011384+0.010083i,0.0050634+0.001639i,0.022509+0.012314i,-0.075257-0.046729i,-0.019438+0.016486i,0.00998-0.00020682i,-0.0023971+0.0030097i,-0.037566+0.0020128i,-0.006968+0.0070573i,-0.020251+0.011795i
