-0.023931-0.037817i,-0.011469-0.050017i,-0.018054-0.044956i,-0.03091-0.035748i,-0.030036-0.016375i,-0.050598-0.027481i,-0.056127-0.026818i,-0.04375-0.036424i,-0.03093-0.035209i,0.0087217+0.01139i,-0.005719+0.015066i,-0.0044938+0.014289i,0.010062+0.020578i,0.00077009+0.0042457i,0.0033396+0.0034041i,0.0069332+0.018985i,0.023002+0.035349i,-0.0026895-0.0016577i,-0.0052063-0.0056238i,0.0059396+0.0010542i,-0.00035911-0.00070554i,-0.00051888+0.0011968i,0.00025662-0.00019869i,-0.027624-0.0028138i,-0.0023838-0.0060549i,0.00092154+0.0047401i,0.0027808+0.00034894i,-0.00036716+0.000715i,0.00066748-0.00030289i,-0.00099427-0.0029372i,-0.0017548-0.0057559i,-0.0044064-0.004557i,-0.0024408-0.0043575i,0.0025132-0.00021802i,0.0021339-0.0031154i,-0.0020606+0.027333i,0.0011654-0.0032121i,0.0026631+0.0010448i,0.0053245+0.00077302i,-0.010553-0.003596i,-0.0037484+0.00021369i,0.0053148-0.00046092i,0.0057731-0.00037854i,-0.003961+0.0049396i,0.0015306-0.0087804i,-0.012154+0.017389i,0.035623-0.091195i,0.012086-0.069854i,-0.016037-0.059898i,-0.015795-0.055367i,0.039762-0.046461i,0.017126-0.06233i,0.033365-0.055511i,0.030275-0.059307i,0.015985-0.013701i,0.0046673+0.016303i,0.016025-0.025988i,-0.011579+0.0052904i,-6.4724e-05+0.0052514i,-0.0054565-0.0014459i,-0.002785-0.029297i,-0.024021+0.030909i,0.0095308-0.010902i,-0.013754-0.0030518i,-6.0651e-05-0.0047864i,-0.00097312-0.016044i,-0.0071721+0.0043082i,0.004865+0.0062124i,-0.0078991+0.031189i,0.0049034+0.0063063i,-0.0049866-0.00064043i,-0.0032401-0.00054226i,-0.012867-0.0075378i,-0.00090641-0.0043119i,-0.02657-0.018668i,-0.00024288-0.0098655i,-0.0092211-0.0010104i,-0.0068013-0.0026286i,0.0080047+0.0029591i,-0.0079309+0.0012061i,0.00026654+0.00060121i,0.0062175+0.0097341i,0.0047216+0.0019271i,-0.0090602-0.0085204i,0.0028393+0.0082692i,-0.02027+0.0056965i,0.0090817+0.00079738i,-0.029304-0.0037119i,-0.041852+0.0031553i,0.01896-0.095576i,-0.0024825-0.012461i,-0.053375-0.022761i,-0.024887+4.5509e-06i,0.01803+0.011184i,-0.024846+0.012646i,-0.017781-0.013613i
-0.03148-0.034467i,-0.018586-0.043188i,-0.025286-0.043335i,-0.038246-0.032145i,-0.028493-0.016192i,-0.057134-0.016067i,-0.059891-0.015581i,-0.048608-0.029029i,-0.034333-0.027839i,0.0085009+0.0076074i,-0.0035441+0.013211i,0.0018768+0.016056i,0.017187+0.013954i,-0.00011788+0.0057247i,0.0039368+0.0018314i,0.011013+0.012905i,0.028006+0.023437i,-0.0015096+0.0013442i,-0.0065694-0.00072378i,0.0068152-0.0029178i,-0.0010737+0.00059119i,-0.00077776+0.0020452i,-0.00021397+0.00019431i,-0.017458+0.010398i,-0.0044493-0.0041404i,0.0054824+0.0019997i,0.002654-8.0308e-05i,0.00061646+0.0019398i,0.0011178-0.0008485i,-0.0021818-0.0028658i,-0.0021917-0.0046206i,-0.005469-0.0027317i,-0.0035225-0.0036016i,0.0021478-0.001447i,0.0015092-0.0021394i,0.0072828+0.023318i,0.00068645-0.0038765i,0.0025192-8.1819e-05i,0.0071341-0.0017396i,-0.0088944-0.0010172i,-0.0034511+0.002693i,0.0058353-0.0021568i,0.0049762-0.0013127i,-0.0057569+0.0069085i,0.0054413-0.011801i,0.0028924+0.02233i,0.018093-0.097172i,-0.0059787-0.076524i,-0.012266-0.055245i,-0.020051-0.045247i,0.034298-0.065201i,0.012852-0.080337i,0.035137-0.055235i,0.019322-0.0683i,0.005923-0.006865i,0.0067824+0.0055434i,0.0054694-0.02701i,-0.0062841+0.011319i,0.00050696-0.0031207i,-0.0054987-0.0013315i,-0.023677-0.027185i,-0.010186+0.029917i,0.0039676-0.014299i,-0.012845+0.0013072i,-0.0015492-0.0046495i,-0.0091112-0.014793i,-0.0083312+0.0085629i,0.0078098+0.0058994i,0.010922+0.026771i,0.0059343+0.0012097i,-0.0042697+0.0020368i,-0.0046162+0.00018163i,-0.018361+0.00078788i,-0.00090795-0.0024995i,-0.023938+0.0072989i,-0.0052928-0.0069799i,-0.0090318+0.0030701i,-0.0078573+0.0017448i,0.0059564-0.0032889i,-0.0070281+0.0031763i,0.0012757-0.00075835i,0.005646+0.0041989i,0.004044+0.00027797i,-0.013179-0.0017105i,0.0037334+0.0046963i,-0.014999+0.01223i,0.0068083-0.0038377i,-0.027627+0.0074798i,-0.041655+0.015404i,0.00074845-0.09863i,-0.0058-0.015622i,-0.059411-0.0068838i,-0.01828-0.0022294i,0.018629+0.0048223i,-0.018724+0.018571i,-0.028112-0.016947i
-0.03666-0.028022i,-0.021541-0.042288i,-0.031511-0.041201i,-0.04403-0.024938i,-0.029038-0.017734i,-0.060435-0.0036667i,-0.063061-0.0014406i,-0.054177-0.02066i,-0.038123-0.022013i,0.0083574+0.0050468i,-0.00034644+0.015352i,0.0088451+0.013014i,0.019931+0.0050034i,0.0012459+0.006867i,0.0042107+0.00069515i,0.011998+0.0065293i,0.033139+0.014795i,0.00090669+0.002108i,-0.0042674+0.0024241i,0.0059519-0.0037607i,-0.0013292+0.0019978i,-0.00044031+0.0032277i,-5.211e-05+0.00044135i,-0.0081567+0.015798i,-0.0037897-0.0022062i,0.0058718-0.0024691i,0.002443-0.0012579i,0.0023348+0.0018022i,0.00020052-0.0014379i,-0.0027141-0.0021721i,-0.003067-0.0042086i,-0.0060567-0.0003494i,-0.0045211-0.0025847i,0.0010755-0.0026731i,0.0027521-0.0042232i,0.012414+0.017462i,-0.00027096-0.0037669i,0.0022875-0.0010801i,0.0073513-0.006264i,-0.0087371+0.0015936i,-0.0019836+0.0044671i,0.0060731-0.0029759i,0.0047214-0.0022642i,-0.0036395+0.0098546i,0.0058282-0.018919i,0.018768+0.018493i,0.0012333-0.098936i,-0.023356-0.071355i,-0.0076975-0.0612i,-0.019061-0.043663i,0.023585-0.08083i,-0.0073165-0.095346i,0.040118-0.061938i,0.0061119-0.068803i,0.0056133-0.0027101i,0.0055292+0.0013582i,-0.0032343-0.02847i,0.0022625+0.010074i,-0.0067975-0.0057151i,-0.0044524-0.003445i,-0.03796-0.015749i,-0.00048689+0.028295i,-0.0027072-0.014981i,-0.010672+0.0038866i,-0.0042541-0.0038501i,-0.016015-0.0093645i,-0.0028932+0.014551i,0.011408+0.00075798i,0.01878+0.013581i,0.0056792-0.00050407i,-0.0031612+0.0013053i,-0.0043669+0.0019652i,-0.014152+0.01325i,-0.0034547-0.0020795i,-0.019261+0.018956i,-0.0064656-0.0031121i,-0.0071166+0.0075385i,-0.0077562+0.0079903i,0.00031299-0.0051731i,-0.0048035+0.0050994i,0.00016494-0.0017319i,0.0032905+0.0028205i,0.0035181-0.00097231i,-0.0093411+0.00475i,0.0029779+0.0020443i,-0.0079926+0.014559i,0.0024965-0.0067419i,-0.02239+0.01557i,-0.032031+0.028309i,-0.012298-0.096884i,-0.012416-0.014391i,-0.058494+0.0078682i,-0.022389-0.0080062i,0.016888-0.0030136i,-0.0090397+0.019128i,-0.031599-0.0099026i
-0.039212-0.021484i,-0.027799-0.043866i,-0.038326-0.039757i,-0.045348-0.016768i,-0.032684-0.020168i,-0.059656+0.0098734i,-0.05933+0.017861i,-0.058114-0.0080232i,-0.040461-0.013363i,0.0077279+0.0029115i,0.0055845+0.015427i,0.011677+0.0072813i,0.018097-0.0038346i,0.0038672+0.008074i,0.0036034-0.0012033i,0.010097+0.00067361i,0.036155+0.00019758i,0.0023916+0.00072927i,-0.0034123+0.0044811i,0.0024154-0.0051246i,0.00034506+0.0035113i,0.0024842+0.003982i,-0.00034828+0.00066503i,0.0031712+0.019281i,-0.0035352-0.0020632i,0.0034087-0.0048874i,0.0018153-0.0021808i,0.0027517-0.00015426i,-0.00029961-0.00058326i,-0.0040963-0.0018595i,-0.0035403-0.0035036i,-0.0053382+0.0015113i,-0.0052501-0.00094829i,-3.4501e-05-0.0033172i,-0.00065425-0.0055858i,0.014028+0.011669i,-0.0014922-0.0037788i,0.0015062-0.0021718i,0.0029848-0.009264i,-0.0052376+0.0047259i,-1.515e-05+0.0051134i,0.0038642-0.0035332i,0.0036409-0.0037004i,0.00029418+0.010359i,0.0057657-0.025505i,0.032436+0.0078264i,-0.014972-0.095582i,-0.032838-0.061863i,-0.013522-0.067352i,-0.021703-0.043583i,0.0057385-0.096877i,-0.034642-0.095763i,0.037609-0.082378i,-0.0033277-0.066101i,0.0071886-0.00036787i,0.0026548-0.0033755i,-0.01551-0.023801i,0.003735+0.0027138i,-0.0095748-0.0017238i,-0.0089342-0.0061254i,-0.044135+0.0041348i,0.010508+0.02177i,-0.0084704-0.0129i,-0.0078307+0.0051046i,-0.0054545-0.0014836i,-0.01955-0.0018513i,0.005158+0.012289i,0.012193-0.0051412i,0.0031744-0.026496i,0.0054646-0.0030828i,-0.0040596+0.0010057i,-0.0039773+0.0039709i,-0.0066522+0.018187i,-0.0052036+0.0016665i,-0.010941+0.02363i,-0.0064923-0.0003735i,-0.0021958+0.0095347i,-0.0021123+0.012352i,-0.0050929-0.0027688i,-0.0016721+0.0038776i,0.0001957-0.0015572i,0.0023852+0.002798i,0.0012732-0.003251i,-0.0042015+0.0049496i,0.00017744-0.00053319i,-0.0038624+0.016762i,-0.0018202-0.0059638i,-0.014451+0.020463i,-0.021582+0.030369i,-0.023843-0.094835i,-0.011028-0.0088832i,-0.052157+0.024076i,-0.029233-0.0046102i,0.012912-0.0087591i,-9.169e-05+0.014781i,-0.030112-0.0045677i
-0.04015-0.015074i,-0.037797-0.041149i,-0.0491-0.036843i,-0.045359-0.010604i,-0.040683-0.020716i,-0.055394+0.022215i,-0.045098+0.029037i,-0.055492+0.0044905i,-0.037703-0.0054304i,0.0072085+0.0017549i,0.010873+0.010893i,0.012262+0.0034413i,0.012764-0.009769i,0.0082686+0.0060978i,0.002316-0.0024721i,0.0063166-0.0019665i,0.027898-0.016389i,0.0026557-0.00054997i,0.00012536+0.0080806i,0.00047756-0.0045897i,0.0021551+0.0036198i,0.0032605+0.0023175i,-0.00034164+0.001423i,0.014214+0.013622i,-0.004465-0.00010727i,0.001094-0.0057261i,0.00052517-0.0021807i,0.0030083-0.00073539i,-2.0554e-05-0.0002955i,-0.005053+0.00075199i,-0.004251-0.0024917i,-0.0038533+0.0030657i,-0.0046355+0.0013493i,-0.0018809-0.0031773i,-0.0026349-0.003718i,0.016065+0.007331i,-0.0020808-0.0034903i,8.2714e-05-0.0026461i,-0.0003424-0.0087262i,-0.0025453+0.0022924i,0.0015582+0.0049237i,0.0013526-0.0018134i,0.0025128-0.0046285i,0.0029548+0.0085495i,0.00066751-0.036439i,0.042051-0.0098857i,-0.025202-0.087948i,-0.037701-0.052822i,-0.020155-0.07179i,-0.024815-0.04187i,-0.022911-0.1053i,-0.057607-0.085707i,0.017154-0.097425i,-0.013807-0.060332i,0.009886+0.0022104i,-0.0026802-0.0054722i,-0.024199-0.0068126i,0.00049127-0.00029105i,-0.010947-5.9158e-05i,-0.01601-0.002337i,-0.038226+0.020842i,0.013593+0.011591i,-0.013697-0.0078665i,-0.0057343+0.005629i,-0.006082+0.0013809i,-0.01858+0.0078265i,0.0056759+0.0071372i,0.010064-0.010879i,0.024691-0.013129i,0.0037813-0.0061472i,-0.0063306+0.0036259i,-0.0017846+0.00612i,0.0016477+0.018912i,-0.0039066+0.00606i,-0.0013739+0.026314i,-0.0074771+0.0011545i,0.0016298+0.0064698i,0.004216+0.011757i,-0.0051578+0.0011794i,-0.0036485+0.0016457i,-0.001264-0.0023915i,0.0011312+0.0044617i,-0.0019942-0.003275i,-0.0030993+0.0028008i,-0.0028948+0.0012175i,0.0033534+0.018452i,-0.0049056-0.0044646i,-0.0051676+0.021583i,-0.015278+0.03187i,-0.036488-0.088222i,-0.0050378-0.011847i,-0.040644+0.039025i,-0.0305+0.0062616i,0.0082776-0.013095i,0.00098654+0.0069181i,-0.031825-0.0021588i
-0.03981-0.010174i,-0.044141-0.036129i,-0.060038-0.026267i,-0.046396-0.004389i,-0.05125-0.015518i,-0.047234+0.032631i,-0.032591+0.031662i,-0.050424+0.014032i,-0.035695-0.0018618i,0.0062008+0.00096802i,0.011491+0.0061506i,0.012158-0.002081i,0.0066912-0.012947i,0.010669+0.0016618i,0.00061799-0.0029324i,0.002956-0.0020485i,0.01289-0.02158i,0.003689-0.001303i,0.0053866+0.0066188i,-0.0011909-0.0033557i,0.0036395+0.0018372i,0.0033647+0.0010052i,0.0009823+0.0022047i,0.021473+0.0025849i,-0.0027267+0.0024216i,-0.00143-0.005951i,-0.00070633-0.00091948i,0.0031587-0.001146i,-4.7384e-05-0.0005676i,-0.0030869+0.0037509i,-0.004051-0.001741i,-0.0029392+0.003698i,-0.00384+0.0033119i,-0.0031665-0.0013433i,-0.0024596-0.0023327i,0.017402+0.0018493i,-0.0033281-0.0027774i,-0.0017479-0.0028536i,-0.0035082-0.0084232i,-0.0039052+0.00055205i,0.0049826+0.0031957i,0.0010726+0.00019352i,0.00023348-0.0056495i,0.0042853+0.0067851i,-0.011134-0.041481i,0.033826-0.034304i,-0.028282-0.081303i,-0.041552-0.045409i,-0.030379-0.071989i,-0.026543-0.043273i,-0.05286-0.096268i,-0.076888-0.068126i,-0.0020764-0.10077i,-0.015425-0.047215i,0.018157+0.0052511i,-0.0068996-0.0023637i,-0.021325+2.1205e-05i,-0.0011452-0.00074396i,-0.015063+0.0040068i,-0.014484+0.0047557i,-0.028647+0.035117i,0.011865+0.0049699i,-0.013234-0.00053158i,-0.0071017+0.0058424i,-0.0035241+0.0049221i,-0.012662+0.014475i,0.0066405+0.0078265i,0.004837-0.018796i,0.013963-0.022566i,-0.0026025-0.0090941i,-0.0062647+0.0081726i,4.448e-06+0.0062857i,0.0091701+0.015823i,0.00079497+0.0080123i,0.004994+0.036924i,-0.0076436+0.0043513i,0.0014436+0.0052629i,0.0088377+0.0067227i,-0.0043758+0.0058275i,-0.0052034+0.0050134i,-0.0042448-0.0012009i,0.0042701+0.005686i,-0.0036935+0.0017659i,-0.0049725+0.0029635i,-0.00072174+0.0065358i,0.0090137+0.014881i,-0.0073205-0.002618i,0.00107+0.017574i,-0.0064985+0.036142i,-0.043098-0.077779i,-0.011331-0.023608i,-0.016741+0.045581i,-0.024745+0.012375i,0.0012474-0.016404i,0.00018323+0.0015116i,-0.030073+0.0055804i
-0.038883-0.0051417i,-0.054434-0.03218i,-0.066356-0.012762i,-0.044555+0.0037075i,-0.058914-0.0028136i,-0.037769+0.038873i,-0.023368+0.031529i,-0.044611+0.020822i,-0.036374+0.0024262i,0.0068644-0.00067627i,0.013832+0.003057i,0.0085173-0.006941i,-0.0008275-0.012013i,0.010847-0.0042845i,-0.00099837-0.0028749i,0.0011439-0.00033194i,0.0015006-0.017757i,0.0026884-0.0035983i,0.0066966+0.0021145i,-0.0020141-0.0012077i,0.0039336+6.8673e-05i,0.0040131+0.00085016i,0.0026363+0.0014413i,0.017104-0.0092834i,0.00071787+0.0012765i,-0.0032471-0.0031315i,1.2917e-05-0.0014815i,0.003721-0.0073715i,6.3495e-05-0.00016403i,-0.00035387+0.0042022i,-0.0045533-0.0011078i,-0.00081647+0.0042672i,-0.0017536+0.0042529i,-0.0028743+0.00017285i,-0.0032398-0.0026098i,0.01653-0.0036149i,-0.003443-0.0010174i,-0.0028182-0.001618i,-0.0065882-0.0052615i,-0.0067309+0.00242i,0.0041927+0.0012945i,0.0026142-0.00051221i,-0.0020927-0.0054021i,0.0049222+0.0025909i,-0.024666-0.040212i,0.015077-0.041279i,-0.035888-0.083103i,-0.039387-0.037953i,-0.038791-0.068878i,-0.035725-0.046051i,-0.072838-0.080583i,-0.082923-0.042653i,-0.026662-0.10088i,-0.0094233-0.043905i,0.026282-0.0085676i,-0.0077674+0.0020035i,-0.015148+0.00057637i,-0.005384+2.1338e-05i,-0.012999+0.013305i,-0.011413+0.0077026i,-0.008319+0.041366i,0.011564+0.0010841i,-0.012768+0.0022321i,-0.0040064+0.0065314i,-0.0013799+0.0046739i,-0.0048658+0.019107i,0.011124+0.0048979i,-0.0079844-0.019781i,-0.0048185-0.022081i,-0.0056264-0.0020975i,-0.0019039+0.01129i,0.0033666+0.0051496i,0.015149+0.0082389i,0.0039619+0.0051981i,0.02491+0.035505i,-0.003166+0.0070109i,0.001848+0.0035665i,0.0092605+0.00096526i,0.0003734+0.0083335i,-0.0067005+0.007587i,-0.0049573+0.0031131i,0.0082565+0.0053473i,-0.0017363+0.0045559i,-0.0064454+0.0059785i,0.0032565+0.0068712i,0.010822+0.010653i,-0.0068386+0.00072062i,0.0064664+0.012989i,0.0052907+0.033138i,-0.049503-0.073403i,-0.027286-0.021871i,0.0015956+0.036815i,-0.020505+0.014625i,-0.0061363-0.02905i,-0.00287-0.0028684i,-0.022123+0.0084742i
-0.038096-0.0014568i,-0.063324-0.019631i,-0.069228+0.0019656i,-0.041008+0.0084449i,-0.058459+0.01197i,-0.029475+0.0428i,-0.016593+0.03045i,-0.038418+0.025841i,-0.034985+0.0096995i,0.0065711-0.0029992i,0.013537-0.0049352i,0.0024869-0.0075367i,-0.0045769-0.0076651i,0.0070243-0.008219i,-0.0024371-0.0021029i,0.0021711+0.00019757i,-0.0036817-0.012021i,-1.4686e-05-0.0040226i,0.0044417+0.00054319i,-0.0014595+0.00035086i,0.0024005-0.0010334i,0.0042901-0.00045841i,0.0029015+0.00014734i,0.0095915-0.0146i,-0.0001249-0.00089157i,-0.0026784-0.0022517i,-0.00042484-0.0018748i,-0.00028011-0.0032278i,0.0011116+4.5593e-06i,0.0010186+0.0031108i,-0.0050671-0.00020521i,0.0011136+0.0037626i,-0.00049697+0.0047081i,-0.0024815+0.00054218i,-0.0041722+5.8673e-05i,0.014832-0.0093701i,-0.002963-0.00024313i,-0.0023624-4.4465e-05i,-0.0041693-0.0017665i,-0.0058375+0.0060432i,0.0039885+6.2721e-05i,0.0032489-0.0014621i,-0.0036679-0.0050573i,0.0022018-0.00018392i,-0.034658-0.031681i,0.0060162-0.032575i,-0.046871-0.082635i,-0.036749-0.036723i,-0.047375-0.064992i,-0.046118-0.040792i,-0.089359-0.063289i,-0.076802-0.023288i,-0.055377-0.088063i,-0.007298-0.048722i,0.024066-0.020834i,-0.0057349+0.0044816i,-0.013302+0.0040936i,-0.0081433+0.0055423i,-0.0046984+0.01943i,-0.0076113+0.011208i,0.0090739+0.034762i,0.0093167-0.0046634i,-0.011318+0.0069425i,-0.0038499+0.0055104i,0.0011701+0.0048191i,0.0037626+0.015325i,0.012155-0.0025199i,-0.017258-0.010288i,-0.01472-0.011734i,-0.0035089+0.0018822i,0.003714+0.011181i,0.0040445+0.0024269i,0.018278+0.00023134i,0.0063908+0.0042515i,0.039857+0.022062i,-0.00070329+0.005492i,0.00038762+0.0037155i,0.0073294-0.0040537i,0.0055761+0.0052514i,-0.0053081+0.014257i,-0.0017254+0.0073088i,0.012564+0.00070231i,0.0025195+0.004886i,-0.0038535+0.0094888i,0.0057637+0.0042439i,0.011514+0.0069691i,-0.0065287+0.0021867i,0.0083581+0.0067603i,0.011711+0.027256i,-0.056159-0.066021i,-0.034672-0.0084943i,0.011866+0.023415i,-0.0098776+0.019065i,-0.016615-0.024272i,-0.011173-0.0031376i,-0.02053+0.0034183i
-0.038113+0.0027412i,-0.064331-0.0045003i,-0.066942+0.019325i,-0.039014+0.012514i,-0.052775+0.023585i,-0.020636+0.046209i,-0.010792+0.028387i,-0.033209+0.029344i,-0.029597+0.015799i,0.004634-0.0053448i,0.0077352-0.010538i,-0.00014183-0.0047571i,-0.0051321-0.0041138i,0.0028944-0.0096578i,-0.0036878-0.00072264i,0.0020958-0.00086772i,-0.0042383-0.0072443i,-0.00087282-0.0025567i,0.0034189+0.00046366i,-0.00032066+0.00077158i,0.0023658-0.00017969i,0.004249-0.0016717i,0.0029992-0.00064772i,0.002971-0.015147i,-0.0012207-0.00098264i,-0.0032861-0.0026453i,-0.00076131-0.0015238i,-0.0010162-0.003346i,0.001024-0.0013055i,0.0021337+0.0025298i,-0.0052217+0.0010147i,0.0022368+0.0025721i,0.0014897+0.0038251i,-0.0025444+0.0017715i,-0.003012+0.00063599i,0.0074641-0.01619i,-0.0021828+9.8247e-05i,-0.0016261+0.00083679i,-0.0062559+0.00032728i,-0.0032204+0.0079636i,0.003687-0.0012196i,0.0021325-0.0024277i,-0.0029098-0.0011248i,-0.001511+0.00053832i,-0.039272-0.020818i,0.01331-0.026652i,-0.062114-0.07984i,-0.038038-0.038101i,-0.053446-0.059045i,-0.052297-0.032225i,-0.10027-0.040035i,-0.071667-0.013195i,-0.06404-0.059911i,-0.010382-0.05275i,0.016277-0.034202i,-0.0046928+0.0050998i,-0.0093302+0.0038609i,-0.0037281+0.011488i,0.0040641+0.018309i,0.00059914+0.010326i,0.016704+0.021701i,0.005207-0.0064657i,-0.0094397+0.0094659i,-0.0037381+0.0066115i,0.0019273+0.0026587i,0.0072141+0.011072i,0.0056713-0.0055806i,-0.019454+0.00091372i,-0.017135-0.0019179i,0.00019372+0.0023626i,0.0068437+0.0094281i,0.0028348+0.0013657i,0.014112-0.010683i,0.0074522-0.00058469i,0.046204+0.0040764i,-0.00062607+0.0060677i,0.0022623+0.0037269i,0.0017759-0.007087i,0.0056004+0.0022463i,0.0025235+0.018114i,0.0043516+0.0056429i,0.0097921-0.0051444i,0.0049886+0.0018523i,0.0015526+0.013094i,0.0047878+0.0031421i,0.011952+0.0036867i,-0.0076679+0.0041725i,0.0050198+0.0039842i,0.016206+0.022468i,-0.060027-0.060898i,-0.031578+0.0046109i,0.011911+0.011801i,-0.001256+0.013002i,-0.027024-0.019246i,-0.013559+0.006239i,-0.02433+0.0049955i
-0.037943+0.0083157i,-0.061152+0.0062846i,-0.057362+0.033875i,-0.037593+0.016985i,-0.04518+0.03231i,-0.011476+0.047746i,-0.0070974+0.025905i,-0.028119+0.03314i,-0.024197+0.018912i,0.0015491-0.0065391i,-0.00022193-0.010389i,-0.00050937-0.0036822i,-0.0041902-0.0024156i,-0.0011893-0.00917i,-0.0035555+0.0014329i,0.00072177-0.0016972i,-0.0038157-0.0055992i,-0.0011177-0.0012906i,0.0032161-0.00066883i,0.00080733+0.0010556i,0.0034662-0.00064225i,0.0036839-0.0024977i,0.0027893-0.0014991i,-0.0021165-0.013647i,-0.0013673-0.00053566i,-0.0043992-0.0012578i,-0.00089024-0.0016136i,-0.0020727-0.0030484i,0.00011868-0.0016995i,0.0032815+0.0011749i,-0.0050443+0.002704i,0.0024625+0.0011948i,0.0024203+0.0024734i,-0.0014157+0.0026019i,-0.0032323+0.0017063i,6.5833e-06-0.010848i,-0.0026537-0.00026959i,-0.00055118+0.00096191i,-0.0057746+0.0033385i,0.00046703+0.008833i,0.0031565-0.0019319i,0.0027673-0.0018157i,-0.0046287-0.00042829i,-0.0015023+0.0034292i,-0.037686-0.011571i,0.026135-0.036575i,-0.079956-0.068586i,-0.042675-0.038002i,-0.058464-0.054029i,-0.05641-0.023972i,-0.10103-0.016927i,-0.067246-0.002537i,-0.059102-0.043591i,-0.015374-0.056916i,-0.00022013-0.039779i,-0.0023564+0.0061091i,-0.010021+0.0013518i,0.0028355+0.011619i,0.0090414+0.013321i,0.0043734+0.0035336i,0.016476+0.011037i,0.00043472-0.0074472i,-0.0070466+0.012864i,-0.0029865+0.0078442i,0.0013156+0.0014487i,0.0086445+0.0069791i,0.003006-0.0031508i,-0.014927+0.010338i,-0.013261+0.0075081i,0.0016738+0.0015677i,0.011045+0.0056106i,0.0021736+0.0010299i,0.0045478-0.013944i,0.0044337-0.0040367i,0.041079-0.013168i,0.0012123+0.0066553i,0.001866+0.0021468i,-0.0021402-0.0049652i,0.005611+0.0009233i,0.011718+0.015828i,0.0050582+0.001592i,0.0067139-0.0073475i,0.0039372-0.00085911i,0.0076259+0.015091i,0.0049944+0.0016887i,0.012762-0.00061657i,-0.0052023+0.0093364i,0.0050777+0.0034029i,0.019847+0.017098i,-0.068015-0.056958i,-0.024862+0.011586i,0.011084+0.0058237i,-0.0012412+0.0057339i,-0.034877-0.0088178i,-0.0085424+0.0082903i,-0.023387+0.0091735i
-0.035655+0.013879i,-0.05601+0.014661i,-0.044921+0.042819i,-0.033784+0.022047i,-0.035703+0.03786i,-0.0025327+0.047336i,-0.0040549+0.024319i,-0.022065+0.036383i,-0.01917+0.021059i,-0.0016352-0.0061838i,-0.0041731-0.0062689i,-0.00044065-0.003179i,-0.0044076-0.0013943i,-0.0045492-0.0071105i,-0.0027606+0.003042i,-0.00069203-0.0014373i,-0.0050407-0.0056101i,-0.0010736-0.00084081i,0.0028373-0.0010211i,0.0017053+0.00031872i,0.0039073-0.0021426i,0.003231-0.0029466i,0.0022833-0.0022873i,-0.0063656-0.011322i,-0.0015876-0.00061944i,-0.0042301+0.00055647i,-0.0016573-0.001266i,-0.0028656-0.0021244i,-0.00052309-0.0017461i,0.0027234-0.001068i,-0.0040221+0.0047994i,0.0021162+0.00036059i,0.0026955+0.0015156i,0.00026503+0.0025404i,-0.0022811+0.0029546i,-0.00027774-0.0076639i,-0.0033139-0.00035227i,0.00012776+0.00037747i,-0.0018424+0.0051607i,0.0043415+0.0078402i,0.0023791-0.0026977i,0.0031474-0.0033329i,-0.0044507+0.0014524i,-8.7154e-05+0.0032897i,-0.03455-0.0071059i,0.02488-0.059391i,-0.091089-0.049436i,-0.046414-0.036266i,-0.062997-0.05255i,-0.058545-0.014548i,-0.097921+0.00094859i,-0.061294+0.0052981i,-0.055809-0.032397i,-0.022929-0.059064i,-0.017143-0.037141i,-0.00035016+0.0052896i,-0.015722+0.0021513i,0.007611+0.0077812i,0.01048+0.0075638i,0.0035746-0.0018592i,0.012906+0.0040442i,-0.0042234-0.0071847i,-0.0019515+0.014835i,-0.00085146+0.0073979i,0.00068703+0.0014172i,0.0074249+0.0034606i,0.0028454-0.0017126i,-0.0075124+0.014595i,-0.0059188+0.01122i,0.0034767-0.00037432i,0.013019+0.001181i,0.0017657+0.001193i,-0.002539-0.011237i,0.001167-0.0044656i,0.032352-0.022307i,0.0040565+0.0067062i,0.0011334+0.0026602i,-0.0048948-0.0023712i,0.0049288-0.002372i,0.018225+0.0098285i,0.0038547-0.0017592i,0.0037926-0.0086554i,0.0023675-0.0025863i,0.012298+0.01087i,0.0047409+0.0017145i,0.0091462-0.0061193i,3.4714e-06+0.010416i,0.0052143+0.0013575i,0.023331+0.011884i,-0.076654-0.048096i,-0.017854+0.016553i,0.010059+0.00043171i,-0.0031981+0.0039746i,-0.037279+0.0022341i,-0.0067459+0.0069642i,-0.02011+0.012253i
