-0.024338-0.039203i,-0.012181-0.048391i,-0.017735-0.044771i,-0.030907-0.035322i,-0.029888-0.016414i,-0.050342-0.02777i,-0.05671-0.026917i,-0.043888-0.037514i,-0.029487-0.036325i,0.0070247+0.012593i,-0.0052843+0.015955i,-0.0047026+0.014144i,0.0098653+0.021667i,0.0004626+0.0042838i,0.0033792+0.0033342i,0.0063003+0.018048i,0.025579+0.038442i,-0.0025106-0.00087505i,-0.0044339-0.005859i,0.0080002+0.0015629i,-9.7706e-05-0.00084177i,-0.0010959+0.0013671i,0.00015435-0.000438i,-0.030171-0.0036939i,-0.0013042-0.0057525i,0.0012864+0.0047374i,0.003582-0.00019995i,-0.00060535+0.00052907i,0.00054943-0.00063657i,-0.00037104-0.002552i,-0.0017887-0.0061273i,-0.0045726-0.0042651i,-0.0017553-0.0047347i,0.002167-0.0007825i,0.0022807-0.0028701i,0.0024318+0.025705i,0.0019713-0.0026317i,0.0028223+0.000454i,0.0060414+0.00091333i,-0.01036-0.0041735i,-0.0029234+0.00089322i,0.0067601+0.0015144i,0.0050648+0.00042337i,-0.0039759+0.0057471i,0.0011003-0.0088025i,-0.012233+0.017691i,0.036003-0.09052i,0.012456-0.070015i,-0.015845-0.05972i,-0.016213-0.055523i,0.040268-0.045779i,0.017179-0.062519i,0.034309-0.054848i,0.029869-0.060316i,0.015502-0.013431i,0.0045659+0.016372i,0.016485-0.02639i,-0.011475+0.0057863i,-0.00037738+0.00546i,-0.005068-0.0018742i,-0.002255-0.029188i,-0.023831+0.031928i,0.010064-0.011221i,-0.013085-0.0024406i,-0.00011192-0.0049438i,-0.0010666-0.015943i,-0.0073208+0.0040327i,0.005066+0.0067015i,-0.0084937+0.031017i,0.004901+0.0060619i,-0.0050445-0.00070829i,-0.0031757-0.00052754i,-0.012064-0.0075648i,-0.0008918-0.0042357i,-0.029973+0.0063621i,-5.1265e-05-0.010061i,-0.0095531-0.0018449i,-0.0068284-0.002755i,0.0069626+0.0026617i,-0.0078284+0.0012076i,-0.00019808+0.00053432i,0.005912+0.01075i,0.0042927+0.0014101i,-0.0092492-0.0099281i,0.0028877+0.0079619i,-0.021425+0.0063686i,0.0084562+0.00060042i,-0.02889-0.0040683i,-0.042166+0.0019772i,0.020158-0.09623i,-0.0020152-0.012572i,-0.053092-0.021818i,-0.023386+0.00027383i,0.01799+0.010682i,-0.024944+0.013433i,-0.018377-0.012701i
-0.032204-0.035604i,-0.018449-0.041424i,-0.024646-0.043027i,-0.038036-0.0318i,-0.028338-0.016533i,-0.057007-0.016453i,-0.059915-0.015657i,-0.049299-0.029921i,-0.034193-0.028681i,0.0078487+0.0091294i,-0.0031036+0.013411i,0.0018918+0.016042i,0.018061+0.01465i,-0.00049671+0.0057455i,0.0038901+0.0018818i,0.010295+0.012499i,0.032539+0.025054i,-0.00071864+0.0023828i,-0.0058124-0.0017935i,0.007611-0.0024624i,-0.001122+0.00069393i,-0.0011598+0.0022313i,-0.00018945-0.00014184i,-0.019141+0.011463i,-0.0032219-0.0039916i,0.0051077+0.0017066i,0.0028084-0.00040218i,0.00042272+0.0022559i,0.00075722-0.001076i,-0.0014644-0.0030086i,-0.0022455-0.0049104i,-0.005188-0.0025657i,-0.0031223-0.0043145i,0.0014881-0.0018684i,0.0015319-0.0019501i,0.010427+0.021313i,0.0015291-0.0035162i,0.0023965-0.00065103i,0.0082905-0.0017959i,-0.0081812-0.001598i,-0.0020732+0.0028445i,0.0059438+0.00092516i,0.0047703-0.00040094i,-0.0052417+0.0078768i,0.004951-0.011739i,0.0029534+0.023101i,0.018321-0.096687i,-0.0053204-0.076634i,-0.012436-0.055291i,-0.020146-0.045298i,0.034688-0.064861i,0.013398-0.081095i,0.035563-0.054591i,0.01855-0.068543i,0.0055712-0.0060388i,0.0069039+0.0054077i,0.0056972-0.026971i,-0.0078607+0.011714i,-1.0404e-05-0.0032926i,-0.0055364-0.0018286i,-0.023924-0.027462i,-0.0094146+0.030044i,0.0037783-0.014889i,-0.013487+0.00092981i,-0.001638-0.0044978i,-0.0088822-0.014263i,-0.0080603+0.0082699i,0.0083379+0.0058849i,0.010237+0.027945i,0.006022+0.00152i,-0.0043353+0.0019392i,-0.0046093+1.1766e-05i,-0.016498+0.0020127i,-0.00078208-0.0029801i,-0.03191+0.014177i,-0.0051683-0.0070718i,-0.0095804+0.0030767i,-0.0080191+0.0013982i,0.0058003-0.0035171i,-0.0073907+0.0030961i,0.00084475-0.00072047i,0.0054967+0.0042286i,0.0036474+9.0437e-05i,-0.0137-0.0016391i,0.0037278+0.0043641i,-0.015438+0.014733i,0.0064289-0.003593i,-0.02766+0.0072725i,-0.041773+0.014295i,0.0026961-0.097029i,-0.0060188-0.015748i,-0.059025-0.006372i,-0.01725-0.0027457i,0.018035+0.0046917i,-0.019097+0.019508i,-0.026589-0.017082i
-0.037345-0.028963i,-0.020954-0.040739i,-0.030789-0.041282i,-0.043808-0.024556i,-0.028891-0.018093i,-0.060421-0.003975i,-0.063258-0.0018365i,-0.055209-0.021063i,-0.037687-0.022118i,0.008032+0.0063648i,-0.00042966+0.015448i,0.0086806+0.0129i,0.020344+0.0047317i,0.00099887+0.007016i,0.0041872+0.00095154i,0.011377+0.0065799i,0.037715+0.013549i,0.0022579+0.002499i,-0.0047184+0.0016006i,0.0055662-0.004675i,-0.0012737+0.0019678i,0.00013964+0.0035444i,-0.00024369+0.00010369i,-0.0082718+0.016563i,-0.0030349-0.0023415i,0.0055593-0.0024893i,0.0024934-0.0013626i,0.0024093+0.0018924i,-0.00014248-0.001345i,-0.0022467-0.0025694i,-0.0031051-0.004627i,-0.0053885-0.0003821i,-0.0046426-0.0030356i,0.00059887-0.0026412i,0.0024954-0.0041998i,0.015334+0.014109i,0.00038443-0.00374i,0.0019666-0.0015031i,0.0074385-0.0068554i,-0.0079883+0.00055309i,-0.0003752+0.0039151i,0.0055742-0.00082739i,0.0048112-0.0014258i,-0.0026786+0.010346i,0.0051797-0.019083i,0.019085+0.019037i,0.0014482-0.098317i,-0.023086-0.071924i,-0.0075162-0.060981i,-0.018897-0.043733i,0.023783-0.080469i,-0.0071984-0.096441i,0.041031-0.06186i,0.0052326-0.068631i,0.0052921-0.0020685i,0.0052506+0.00092054i,-0.0025081-0.028195i,0.0024389+0.01023i,-0.0072203-0.005583i,-0.0046779-0.0036189i,-0.038713-0.015215i,-0.00039876+0.028259i,-0.0031351-0.014491i,-0.011063+0.0046759i,-0.0042506-0.0038602i,-0.016078-0.0096499i,-0.0028674+0.013944i,0.011992+0.00039827i,0.021048+0.016361i,0.0053972-0.00041872i,-0.0034563+0.0015988i,-0.0044869+0.0017739i,-0.012561+0.011667i,-0.0040326-0.0023592i,-0.02577+0.023791i,-0.006449-0.0029597i,-0.0073507+0.0074881i,-0.0077289+0.0074504i,8.8954e-06-0.0056858i,-0.0057479+0.0050835i,8.7816e-05-0.0015298i,0.0027284+0.0028954i,0.0033769-0.0012389i,-0.0090765+0.0057041i,0.0028702+0.0015083i,-0.0087875+0.017254i,0.0026008-0.0063524i,-0.022074+0.015217i,-0.034482+0.025764i,-0.0099156-0.095165i,-0.012338-0.0139i,-0.057405+0.0082105i,-0.02196-0.0083158i,0.016732-0.0030921i,-0.0086348+0.019782i,-0.032056-0.011991i
-0.04022-0.022309i,-0.026434-0.042441i,-0.038053-0.039854i,-0.045135-0.016753i,-0.032388-0.020519i,-0.059512+0.0097686i,-0.059554+0.01779i,-0.0593-0.0081223i,-0.040818-0.013179i,0.007725+0.0044523i,0.0055564+0.015229i,0.011349+0.0073655i,0.018455-0.0039023i,0.0036336+0.0084682i,0.003572-0.00093187i,0.0096684+0.00080417i,0.039883-0.0041947i,0.0036042+0.00045168i,-0.0035544+0.004105i,0.0026371-0.0055481i,0.00039086+0.0034844i,0.0021968+0.0036112i,-0.00051726+0.00053368i,0.0029491+0.021012i,-0.0030654-0.0020366i,0.003215-0.0051254i,0.0020036-0.0020143i,0.0025506-0.00019914i,-0.00044882-0.00056861i,-0.0039115-0.0021465i,-0.00385-0.0036888i,-0.0047144+0.0012098i,-0.0054522-0.0011474i,-0.00050621-0.0031146i,-0.00072-0.0055054i,0.014811+0.0081899i,-0.00098944-0.0040618i,0.0011301-0.002432i,0.00328-0.0092834i,-0.0050213+0.0036657i,0.0013674+0.0036476i,0.0040319-0.0020007i,0.0038814-0.0029748i,0.00098201+0.010123i,0.0052646-0.024947i,0.032505+0.0083734i,-0.015136-0.095398i,-0.032409-0.061881i,-0.01314-0.067505i,-0.021326-0.043682i,0.0062477-0.096451i,-0.034614-0.096838i,0.038123-0.081824i,-0.0039733-0.066589i,0.0061319+0.00056223i,0.0019306-0.0038108i,-0.013862-0.024125i,0.0036996+0.0028132i,-0.010003-0.0019151i,-0.0092264-0.0062473i,-0.043869+0.0044435i,0.010653+0.02255i,-0.0086923-0.012247i,-0.0076013+0.0053604i,-0.0055137-0.0015978i,-0.019967-0.0015468i,0.0050119+0.012064i,0.01251-0.0057186i,0.023808+0.0045846i,0.0052405-0.0026388i,-0.0041758+0.0014035i,-0.0040357+0.003925i,-0.0062747+0.017869i,-0.0056129+0.0016545i,-0.01915+0.030859i,-0.0063349-0.00035449i,-0.0021662+0.0099266i,-0.0021279+0.011893i,-0.004923-0.0028277i,-0.0023732+0.0043867i,-0.00014423-0.0013313i,0.0020745+0.0029855i,0.0014486-0.0033923i,-0.003544+0.0055654i,-0.00035167-0.000529i,-0.0047636+0.019272i,-0.0017034-0.0056027i,-0.014047+0.019732i,-0.023909+0.030338i,-0.021393-0.093762i,-0.010474-0.0086909i,-0.051607+0.023745i,-0.028968-0.0050544i,0.013381-0.009078i,-0.00018884+0.014824i,-0.03248-0.0049732i
-0.041857-0.015491i,-0.036103-0.040406i,-0.04835-0.036475i,-0.045655-0.010706i,-0.040516-0.021114i,-0.055432+0.022183i,-0.045182+0.029086i,-0.056599+0.0045805i,-0.037615-0.0053343i,0.0078064+0.002973i,0.010569+0.010215i,0.012118+0.0035018i,0.013193-0.0099742i,0.0082826+0.0073595i,0.0022203-0.0022872i,0.0060253-0.0015212i,0.027909-0.020893i,0.0033309-0.00096813i,1.6756e-05+0.0076305i,0.00036037-0.005057i,0.0020631+0.00391i,0.0030606+0.0022109i,-0.00041234+0.0014418i,0.017586+0.01379i,-0.0039618-0.00025345i,0.0010823-0.005914i,0.00080594-0.0026426i,0.002571-0.00023043i,-0.00021313-0.00021427i,-0.0048758+0.00039531i,-0.0047304-0.0024474i,-0.0036772+0.0027933i,-0.0047401+0.00095321i,-0.0021333-0.0026691i,-0.0028391-0.0039413i,0.015181+0.0053607i,-0.0020065-0.0038786i,-0.00036487-0.0027656i,2.8629e-05-0.0085997i,-0.0024959+0.0013966i,0.0022048+0.0028544i,0.0019234-0.0016519i,0.0029405-0.0039724i,0.0027669+0.0081569i,0.00040277-0.035293i,0.041599-0.0089817i,-0.025706-0.087607i,-0.036892-0.052948i,-0.020348-0.071816i,-0.024163-0.04209i,-0.022446-0.10557i,-0.05749-0.086238i,0.018659-0.097242i,-0.015301-0.060849i,0.0090618+0.0029285i,-0.0031605-0.0055897i,-0.021038-0.014802i,0.0004929-0.00020949i,-0.011191-7.1877e-05i,-0.016518-0.0023812i,-0.038985+0.020948i,0.013844+0.011749i,-0.013535-0.0076227i,-0.0056591+0.0055788i,-0.0060468+0.0014402i,-0.019055+0.0084347i,0.005609+0.007106i,0.010402-0.011299i,0.023515-0.0070505i,0.003388-0.0058909i,-0.0062828+0.003721i,-0.0018146+0.0061517i,0.0025351+0.01926i,-0.0043748+0.0060901i,-0.011158+0.037871i,-0.0070093+0.001068i,0.0016497+0.0069826i,0.0044727+0.011274i,-0.0065329+0.00089988i,-0.0036635+0.0017085i,-0.0012077-0.0014843i,0.0011559+0.0046696i,-0.0024163-0.003767i,-0.0026992+0.0027459i,-0.0032071+0.0017717i,0.0025765+0.021308i,-0.0048521-0.0038509i,-0.0053636+0.020584i,-0.016543+0.032928i,-0.034978-0.0889i,-0.0049638-0.012226i,-0.040016+0.039336i,-0.03104+0.0052257i,0.0082753-0.01363i,0.00088478+0.0069109i,-0.031351-0.0015909i
-0.041502-0.0096611i,-0.042268-0.036425i,-0.059466-0.026511i,-0.046441-0.0048625i,-0.051421-0.01566i,-0.047135+0.032494i,-0.032532+0.031815i,-0.051352+0.014358i,-0.035499-0.0017595i,0.0072781+0.0018885i,0.01053+0.0056076i,0.012193-0.0017706i,0.0066289-0.013289i,0.011799+0.0029029i,0.0003241-0.0027788i,0.0030521-0.0013635i,0.01228-0.025526i,0.0043271-0.0020393i,0.0048931+0.0063728i,-0.0015301-0.003605i,0.0039436+0.0019557i,0.0030927+0.0012205i,0.00090244+0.0022048i,0.021406+3.9189e-05i,-0.0022816+0.0019839i,-0.0014367-0.005656i,-0.00083548-0.0010507i,0.0030288-0.0019563i,-0.0001112-0.00049524i,-0.0030526+0.0034273i,-0.0046355-0.0014901i,-0.0026965+0.003438i,-0.0044146+0.0028833i,-0.0029559-0.00080467i,-0.002646-0.0024863i,0.016666+0.00098191i,-0.0033711-0.003112i,-0.0021638-0.002684i,-0.0033112-0.0082877i,-0.0039477-0.00040601i,0.0033505+0.0019737i,0.0012077-0.00028097i,0.00087554-0.0048808i,0.004016+0.007004i,-0.010957-0.040363i,0.033294-0.033184i,-0.028891-0.080629i,-0.040831-0.045907i,-0.030468-0.071722i,-0.025983-0.0436i,-0.052417-0.096631i,-0.076675-0.068726i,-0.0010745-0.10116i,-0.016815-0.046441i,0.017631+0.0058393i,-0.007086-0.0027294i,-0.020278-0.0024853i,-0.0011718-0.00058499i,-0.015287+0.0039319i,-0.015051+0.0050315i,-0.02927+0.035306i,0.011857+0.0048593i,-0.012485+0.00043424i,-0.0070651+0.0051493i,-0.0032848+0.0050076i,-0.01258+0.015331i,0.0067375+0.007979i,0.0048232-0.019209i,0.01311-0.020989i,-0.0027313-0.0089418i,-0.0066007+0.0080105i,5.1023e-05+0.0062268i,0.010082+0.015971i,0.00024421+0.0081489i,0.0050482+0.04605i,-0.007866+0.0036075i,0.0017222+0.0054272i,0.0087117+0.006241i,-0.0048933+0.0069763i,-0.0054666+0.0044146i,-0.003529-0.0010488i,0.004742+0.0060157i,-0.0038248+0.0019232i,-0.0052897+0.0028974i,-0.0006921+0.0069035i,0.0095466+0.017356i,-0.0068491-0.002063i,0.00045045+0.017544i,-0.0065581+0.035905i,-0.04138-0.079397i,-0.011478-0.023473i,-0.016108+0.045021i,-0.025718+0.012562i,0.0055679-0.019864i,-7.0762e-06+0.001168i,-0.030252+0.0049648i
-0.040657-0.0043938i,-0.052931-0.032982i,-0.066523-0.012795i,-0.044974+0.0029371i,-0.058971-0.0028644i,-0.037671+0.038731i,-0.023208+0.031571i,-0.045004+0.021376i,-0.03625+0.0024588i,0.0079965-0.00032676i,0.012436+0.0031916i,0.008522-0.0066889i,-0.00096884-0.012156i,0.012151-0.0038439i,-0.0012632-0.0024045i,0.0014968-8.8157e-06i,0.00018465-0.021576i,0.002756-0.0045407i,0.006039+0.002366i,-0.0023193-0.0012351i,0.0039077-0.00030787i,0.0041272+0.0011365i,0.0024247+0.0016216i,0.016462-0.010193i,0.00067296+0.0010114i,-0.0024558-0.0037454i,-0.0001559-0.0014863i,0.0019786-0.0036441i,0.00011277-0.00023233i,-0.00044071+0.0038147i,-0.0049543-0.00070719i,-0.00091519+0.0038545i,-0.0024125+0.0045389i,-0.0025781+0.00027285i,-0.0034648-0.0029777i,0.015253-0.0047269i,-0.0036443-0.0013283i,-0.0030249-0.0013124i,-0.0072748-0.0047125i,-0.00688+0.0014661i,0.003532+0.00071957i,0.0025909-0.00094506i,-0.0011787-0.0046474i,0.005117+0.0032332i,-0.023794-0.038671i,0.014673-0.039507i,-0.035611-0.082589i,-0.039407-0.038518i,-0.038253-0.069062i,-0.035335-0.046279i,-0.072305-0.080799i,-0.082937-0.042797i,-0.025834-0.10235i,-0.010145-0.043239i,0.025665-0.0089488i,-0.0080228+0.0016017i,-0.01515-0.00025037i,-0.0053694+0.00015583i,-0.012848+0.013278i,-0.012011+0.008068i,-0.0091033+0.041555i,0.011267+0.00099366i,-0.011084+0.0019109i,-0.0041902+0.0071893i,-0.001335+0.0044687i,-0.0051466+0.019111i,0.011076+0.0050269i,-0.0083777-0.019938i,-0.0046204-0.021591i,-0.0057571-0.0019427i,-0.0025245+0.011545i,0.0033018+0.0051721i,0.016011+0.0078283i,0.0035961+0.0056713i,0.025591+0.03946i,-0.0040734+0.006731i,0.0021244+0.0034134i,0.0091202+0.00092991i,0.0006158+0.0088393i,-0.0065825+0.0073902i,-0.0043656+0.0029346i,0.0086397+0.0053695i,-0.0017417+0.0048409i,-0.0067568+0.0055654i,0.003193+0.0069132i,0.012481+0.011465i,-0.0063147+0.0010755i,0.0060276+0.013234i,0.0045789+0.033255i,-0.048214-0.076361i,-0.027239-0.021923i,0.0013816+0.035935i,-0.021223+0.015873i,-0.0040414-0.026651i,-0.003469-0.0027337i,-0.02227+0.0079149i
-0.039875-1.6804e-06i,-0.062432-0.020889i,-0.069551+0.0025897i,-0.04164+0.0075241i,-0.058731+0.011839i,-0.029477+0.042741i,-0.016227+0.030398i,-0.038573+0.026211i,-0.034906+0.0097671i,0.0075585-0.0027798i,0.012879-0.0042032i,0.0027394-0.0072949i,-0.0046596-0.0075433i,0.0077233-0.0081823i,-0.0026439-0.0018251i,0.0023872+0.00030896i,-0.0062848-0.014707i,-0.00010373-0.0046222i,0.0046703-1.7314e-05i,-0.0016958+0.00032069i,0.0022408-0.00098002i,0.0043642-0.0004903i,0.0027994+0.00041546i,0.0090017-0.015044i,-3.8645e-05-0.00092266i,-0.0024459-0.0028759i,-0.00042858-0.0017226i,0.00021436-0.0034545i,0.0011385-0.00025789i,0.00086746+0.0028849i,-0.005463+0.00041096i,0.00060593+0.0033761i,-0.00018206+0.004913i,-0.0022365+0.00054902i,-0.0047467-0.00022217i,0.01176-0.0090595i,-0.0031143-0.00025791i,-0.0025604+0.00025891i,-0.0065707-0.0013376i,-0.0063493+0.0052611i,0.0033339-0.00013887i,0.0031025-0.0019429i,-0.0028698-0.0037851i,0.002886+0.00023532i,-0.032734-0.03069i,0.0062753-0.030657i,-0.047346-0.083156i,-0.036635-0.036882i,-0.047124-0.06557i,-0.045864-0.041155i,-0.088673-0.063797i,-0.076617-0.023277i,-0.054815-0.089262i,-0.0078342-0.048341i,0.022755-0.021848i,-0.0059644+0.0040307i,-0.013554+0.0037341i,-0.00816+0.0056445i,-0.0048983+0.018921i,-0.0079444+0.011637i,0.0096392+0.035222i,0.0090283-0.004713i,-0.011762+0.0044313i,-0.0030143+0.0056612i,0.0012217+0.0049006i,0.0032294+0.01591i,0.011767-0.0026445i,-0.017665-0.01034i,-0.014925-0.011388i,-0.0033252+0.0021295i,0.0037283+0.011386i,0.0039693+0.0025921i,0.018094+0.0003893i,0.0066687+0.0044596i,0.038482+0.024501i,-0.0010967+0.0053663i,0.00064646+0.003693i,0.007006-0.0040666i,0.0059616+0.006005i,-0.004645+0.013579i,-0.001553+0.0072804i,0.012562+0.00024291i,0.0026258+0.0049496i,-0.0056311+0.0093816i,0.0057248+0.0044531i,0.013358+0.006967i,-0.0057189+0.002355i,0.0080603+0.0075941i,0.011815+0.027297i,-0.056858-0.070316i,-0.035199-0.0085763i,0.011124+0.023412i,-0.0096082+0.020028i,-0.016395-0.026289i,-0.010717-0.002804i,-0.020159+0.0033081i
-0.039191+0.0048861i,-0.064282-0.0058094i,-0.066447+0.019779i,-0.039965+0.012023i,-0.053183+0.023566i,-0.020676+0.046068i,-0.01053+0.028142i,-0.033212+0.029697i,-0.029487+0.015666i,0.0059753-0.0051921i,0.0068924-0.0093163i,0.00021111-0.0048388i,-0.0051019-0.0039991i,0.0031863-0.0097123i,-0.003882-0.00030424i,0.0023584-0.00071961i,-0.0067893-0.0085094i,-0.0014928-0.003326i,0.0033152-0.00051326i,-0.00053446+0.0010682i,0.0023075-0.00010963i,0.0040681-0.0016023i,0.0029665-0.0004021i,0.0021897-0.015453i,-0.0012633-0.0010787i,-0.0030797-0.0030689i,-0.00067034-0.0015978i,-0.00076094-0.0031763i,0.00099526-0.0014669i,0.0021241+0.0024468i,-0.0054068+0.0016674i,0.0016278+0.0024559i,0.0016203+0.0037724i,-0.0023407+0.0018007i,-0.0035524+0.00054723i,0.0068135-0.01202i,-0.0022184+0.00048054i,-0.001782+0.0011637i,-0.0074236+0.00079136i,-0.0039227+0.0075203i,0.0030697-0.00098974i,0.0019244-0.0029648i,-0.0035952-0.0022205i,-0.00076502+0.00025126i,-0.037781-0.02103i,0.014148-0.024698i,-0.063028-0.079199i,-0.037537-0.038444i,-0.053784-0.059519i,-0.052072-0.032581i,-0.10022-0.040743i,-0.071422-0.013296i,-0.065029-0.06128i,-0.011483-0.051976i,0.014013-0.032548i,-0.0046626+0.0048369i,-0.0096791+0.0035115i,-0.0039743+0.011506i,0.003792+0.017733i,0.0007995+0.010639i,0.017197+0.022224i,0.004584-0.0069324i,-0.01052+0.0088381i,-0.0029907+0.0057314i,0.0021358+0.002766i,0.0068869+0.011848i,0.0053168-0.0053357i,-0.019708+0.00088688i,-0.016375-0.0011486i,0.0006258+0.0024131i,0.0067378+0.0096704i,0.0027651+0.0014265i,0.014212-0.010753i,0.007514-0.00062922i,0.042996+0.0063763i,-0.0007648+0.0058923i,0.0028379+0.0033057i,0.0020459-0.0065341i,0.0063812+0.0021995i,0.0019432+0.017282i,0.0046422+0.0053891i,0.0098172-0.0052385i,0.0052491+0.0016984i,-0.0011435+0.01308i,0.0049929+0.0033467i,0.012378+0.0031477i,-0.0068693+0.0037514i,0.0049261+0.0043229i,0.015701+0.022022i,-0.063625-0.062598i,-0.032478+0.004791i,0.011975+0.011709i,-0.0010624+0.013482i,-0.028224-0.019942i,-0.013829+0.0055827i,-0.024394+0.0049988i
-0.037964+0.010465i,-0.061156+0.0053503i,-0.057634+0.033815i,-0.038073+0.016578i,-0.045604+0.032231i,-0.011512+0.047635i,-0.0069599+0.025489i,-0.028088+0.033449i,-0.024362+0.018599i,0.0029634-0.0066377i,0.00031577-0.0087866i,-0.00036494-0.0038046i,-0.0041455-0.0023186i,-0.00095424-0.0094798i,-0.0037153+0.0018158i,0.0010296-0.0018219i,-0.0061-0.0062655i,-0.0014853-0.0016551i,0.0029702-0.00092061i,0.00086393+0.0011764i,0.0036529-0.0007251i,0.0034265-0.0021839i,0.0028763-0.0012832i,-0.0029813-0.013546i,-0.0015886-0.00064444i,-0.004491-0.0016591i,-0.00096238-0.0016161i,-0.0017417-0.0030543i,0.00032916-0.0019283i,0.0031216+0.00093819i,-0.0048288+0.0032307i,0.0020819+0.0013947i,0.002476+0.0025576i,-0.0012415+0.0026313i,-0.0037824+0.0016691i,0.0015179-0.010832i,-0.002015+0.00031846i,-0.00054768+0.0013075i,-0.0058334+0.0048115i,-0.00047736+0.0090364i,0.0026481-0.0015392i,0.0018839-0.0026311i,-0.0036592-0.0011052i,-0.00094823+0.0034412i,-0.037283-0.011724i,0.027729-0.034798i,-0.079389-0.067082i,-0.042583-0.038666i,-0.058326-0.054051i,-0.05659-0.024312i,-0.10078-0.01727i,-0.066965-0.0028886i,-0.059884-0.043582i,-0.015742-0.055755i,0.0011417-0.037274i,-0.0024449+0.0061869i,-0.010037+0.0012862i,0.0026477+0.011908i,0.0088954+0.012638i,0.0047501+0.0036202i,0.016763+0.010306i,5.0642e-05-0.0069589i,-0.007093+0.0123i,-0.0032116+0.0064616i,0.0014972+0.0014336i,0.0086231+0.0072021i,0.0028128-0.0030319i,-0.01552+0.01052i,-0.012375+0.0068248i,0.0019243+0.0010541i,0.010884+0.006826i,0.0022122+0.0010543i,0.0044604-0.014677i,0.0044617-0.0040249i,0.038568-0.0095324i,0.0014643+0.0063981i,0.0021342+0.0018694i,-0.0019552-0.0049765i,0.0060404+0.00083402i,0.010346+0.016718i,0.0051588+0.0010413i,0.0071503-0.0071578i,0.0040971-0.00092753i,0.0056224+0.013089i,0.0054974+0.0018344i,0.012854-0.0007407i,-0.0049713+0.0086816i,0.0049599+0.0037825i,0.019038+0.016935i,-0.069718-0.055795i,-0.025535+0.011319i,0.011213+0.0054061i,-0.00056238+0.0060187i,-0.035752-0.0096737i,-0.0089849+0.0080849i,-0.023042+0.0091908i
-0.03521+0.015765i,-0.056233+0.013915i,-0.044514+0.042995i,-0.034499+0.021862i,-0.036066+0.037609i,-0.0026182+0.047434i,-0.0041167+0.023773i,-0.021958+0.036736i,-0.01959+0.020809i,-6.2726e-05-0.0068972i,-0.003179-0.0059156i,-0.0004179-0.0034535i,-0.0042518-0.001303i,-0.0045398-0.0075235i,-0.0030121+0.0031877i,-0.00066517-0.0018119i,-0.0074505-0.0057726i,-0.001479-0.0012076i,0.0025396-0.0013317i,0.0017666+0.00034631i,0.0040266-0.0022965i,0.0034189-0.0027371i,0.002434-0.0021556i,-0.0067731-0.011139i,-0.0019031-0.0003272i,-0.0046006+0.00022164i,-0.0017992-0.0010555i,-0.0026032-0.0022059i,-0.00033188-0.0020151i,0.0024509-0.0011498i,-0.0035122+0.0050575i,0.0018733+0.00064968i,0.0029941+0.0013753i,0.00037523+0.0023711i,-0.0029496+0.0032417i,-0.0006165-0.0080167i,-0.0018525+0.00056433i,0.00025529+0.00068761i,-0.0020546+0.0052204i,0.0038573+0.0086215i,0.0020808-0.0020238i,0.0016454-0.0030309i,-0.0039111-0.00011508i,0.00069717+0.0031412i,-0.034196-0.0069187i,0.027633-0.058644i,-0.089593-0.049031i,-0.046714-0.036575i,-0.062909-0.052777i,-0.058533-0.014842i,-0.097893+0.0003863i,-0.061337+0.0046215i,-0.055878-0.032679i,-0.023439-0.058267i,-0.012843-0.037413i,-0.00028218+0.00538i,-0.015293+0.0017542i,0.0074193+0.0079343i,0.011083+0.0070766i,0.0037283-0.0021721i,0.012565+0.0041773i,-0.0040371-0.0066594i,-0.002521+0.013487i,-0.0020762+0.0079509i,0.00084207+0.0012411i,0.0071468+0.0034442i,0.0026012-0.0018908i,-0.007945+0.014688i,-0.0062296+0.010864i,0.0035037-0.00097524i,0.01347+0.0006015i,0.001767+0.0013239i,-0.0029367-0.012088i,0.0011278-0.0046182i,0.029614-0.020548i,0.0041973+0.0058338i,0.0013928+0.0028429i,-0.0044885-0.0019922i,0.0055881-0.0021545i,0.017741+0.011447i,0.0037864-0.0018284i,0.0036455-0.0093243i,0.0024782-0.0022918i,0.010821+0.0088581i,0.0051677+0.0016741i,0.0094554-0.0057891i,0.00012809+0.010189i,0.0052092+0.0015152i,0.022911+0.011772i,-0.076438-0.046917i,-0.018862+0.016291i,0.010308-0.00037323i,-0.0026977+0.0034654i,-0.037963+0.0017982i,-0.0068642+0.0070221i,-0.020204+0.012267i
