-0.023716-0.037936i,-0.0127-0.049032i,-0.017883-0.04398i,-0.030801-0.034884i,-0.03-0.015834i,-0.049949-0.027308i,-0.057397-0.025369i,-0.044355-0.035864i,-0.029611-0.036585i,0.0074572+0.012822i,-0.0049976+0.015426i,-0.0046778+0.014239i,0.0098405+0.021547i,0.00058032+0.004176i,0.0032658+0.0034287i,0.0066444+0.018427i,0.026519+0.038206i,-0.0021976-0.00069196i,-0.0042597-0.0060142i,0.008307+0.001459i,-0.00014022-0.00071348i,-0.00095376+0.0013963i,0.00013604-0.00026564i,-0.031189-0.0034726i,-0.0015115-0.0057238i,0.0014784+0.0042424i,0.0035568-0.00054634i,-0.00058058+0.00055213i,0.00051371-0.00059504i,-0.00063272-0.0027091i,-0.0017961-0.0062314i,-0.0046411-0.0042283i,-0.0018336-0.0046756i,0.0020659-0.00057956i,0.0022112-0.0029095i,0.0022603+0.025249i,0.0019206-0.0024583i,0.0027356+0.00065956i,0.0060959+0.0010094i,-0.010146-0.0042711i,-0.0030994+0.00071186i,0.0065339+0.0013645i,0.0049724-0.00059607i,-0.0034424+0.0051339i,0.00058437-0.0077315i,-0.012826+0.018166i,0.036398-0.089808i,0.01225-0.069638i,-0.016076-0.059578i,-0.016006-0.055253i,0.040298-0.044468i,0.017704-0.061767i,0.034225-0.054613i,0.029154-0.059359i,0.016265-0.014032i,0.0045235+0.016256i,0.016906-0.026631i,-0.011422+0.0052878i,-0.00018113+0.0055593i,-0.0045047-0.0016685i,-0.0023903-0.02949i,-0.024377+0.032494i,0.0097007-0.011081i,-0.013519-0.0025018i,4.3103e-05-0.0050194i,-0.00077369-0.01614i,-0.0074957+0.0045036i,0.0045973+0.0066643i,-0.0089851+0.030631i,0.0045222+0.0061339i,-0.0051157-0.0011397i,-0.0032669-0.00067053i,-0.012135-0.0077395i,-0.00071177-0.0042881i,-0.030245+0.0064335i,-0.00031799-0.0096402i,-0.0093975-0.0021602i,-0.0067691-0.0029619i,0.0072294+0.0027833i,-0.0081394+0.0012944i,6.0044e-06+0.00025675i,0.0058222+0.010804i,0.0042643+0.0014963i,-0.0093736-0.0096513i,0.0033901+0.0078961i,-0.021643+0.0059959i,0.0084209+0.00051761i,-0.028317-0.0038787i,-0.041669+0.0020323i,0.01928-0.095547i,-0.00081295-0.012421i,-0.052437-0.022404i,-0.02383-0.0016342i,0.017737+0.010977i,-0.024747+0.013527i,-0.017771-0.012547i
-0.031595-0.034337i,-0.019355-0.041734i,-0.024356-0.042351i,-0.037727-0.031521i,-0.028236-0.016055i,-0.056603-0.015939i,-0.059331-0.013906i,-0.048987-0.028001i,-0.034508-0.028571i,0.0082873+0.0092575i,-0.0033706+0.012775i,0.001951+0.016178i,0.018082+0.014519i,-0.00039422+0.00559i,0.0037094+0.001912i,0.010688+0.012499i,0.033265+0.023903i,-0.00037067+0.002352i,-0.0058265-0.0017258i,0.007901-0.0026704i,-0.0009814+0.0007127i,-0.0011929+0.002172i,-9.8148e-05+7.8916e-05i,-0.019392+0.012234i,-0.0032858-0.0038771i,0.0051082+0.0014188i,0.0025234-0.00039804i,0.00023324+0.0021115i,0.00076943-0.0010886i,-0.0013891-0.0029914i,-0.0020627-0.0048864i,-0.0053342-0.0024555i,-0.0031882-0.00422i,0.0015349-0.0015965i,0.0016837-0.0020908i,0.0095589+0.020845i,0.0014552-0.0034802i,0.0023446-0.00050602i,0.0083521-0.0016084i,-0.0078259-0.0018647i,-0.0024953+0.0027955i,0.0055964+0.00093327i,0.0040609-0.0012417i,-0.0051858+0.0069109i,0.0054295-0.010554i,0.0019189+0.024079i,0.018878-0.096307i,-0.0051603-0.076262i,-0.012481-0.054787i,-0.019946-0.045056i,0.035465-0.064005i,0.014013-0.080199i,0.035487-0.054616i,0.018337-0.067324i,0.0062437-0.0070657i,0.0071806+0.0050946i,0.0056813-0.02708i,-0.0080428+0.011733i,0.00061662-0.0031645i,-0.0052144-0.002098i,-0.024139-0.027742i,-0.0093754+0.030579i,0.0036716-0.01443i,-0.013911+0.0011669i,-0.0014943-0.0043289i,-0.0085992-0.014487i,-0.008494+0.0082465i,0.0079358+0.0060127i,0.010095+0.027778i,0.0056803+0.0017534i,-0.0048023+0.0015272i,-0.0049299-0.00030951i,-0.016503+0.0023995i,-0.00065026-0.002475i,-0.032226+0.014321i,-0.0052485-0.0067919i,-0.0093993+0.0028681i,-0.0079138+0.00093221i,0.0059534-0.0033385i,-0.0075484+0.0036552i,0.0011234-0.00058536i,0.0054564+0.0044851i,0.003452-0.00012168i,-0.014204-0.0010441i,0.0035792+0.0043693i,-0.015768+0.014319i,0.0066669-0.0035825i,-0.027136+0.0069489i,-0.040995+0.014114i,0.0023853-0.096194i,-0.0051664-0.016135i,-0.058627-0.0070359i,-0.018826-0.0036499i,0.018008+0.0048979i,-0.018677+0.019951i,-0.026248-0.016903i
-0.036584-0.027778i,-0.021919-0.040422i,-0.030378-0.040789i,-0.043285-0.02447i,-0.028802-0.017614i,-0.0598-0.0034882i,-0.061871-0.00065864i,-0.053824-0.019421i,-0.037944-0.021996i,0.00845+0.0060159i,-0.001081+0.015052i,0.0086149+0.012984i,0.020201+0.004703i,0.00095773+0.006944i,0.0040168+0.00078016i,0.01172+0.006395i,0.037272+0.01196i,0.002576+0.0021375i,-0.0045021+0.0015388i,0.0055819-0.0049487i,-0.0011706+0.0019815i,-3.919e-05+0.0035924i,3.9334e-05+0.00025775i,-0.0078583+0.016968i,-0.0030862-0.002371i,0.0053854-0.0025955i,0.0024412-0.00087224i,0.0020039+0.0021296i,-0.00015641-0.0013317i,-0.0022475-0.0025809i,-0.0028927-0.00479i,-0.005497-0.00024331i,-0.0048525-0.0031742i,0.0007914-0.00243i,0.0026502-0.0044325i,0.014361+0.014418i,0.00031213-0.0034998i,0.0019287-0.0012937i,0.0074878-0.0068287i,-0.007873+4.2551e-05i,-0.00072811+0.0040559i,0.0054647-0.00092621i,0.0039918-0.0016423i,-0.0028063+0.0095754i,0.0065542-0.018533i,0.018348+0.020841i,0.0017946-0.097913i,-0.023037-0.071731i,-0.0076507-0.060552i,-0.018667-0.043688i,0.024429-0.080069i,-0.0064958-0.095944i,0.040403-0.062094i,0.0057342-0.067726i,0.0057816-0.0031513i,0.0054201+0.000679i,-0.0024055-0.028148i,0.0024409+0.010236i,-0.0067274-0.0056562i,-0.0047875-0.0038551i,-0.039525-0.015401i,-0.00024157+0.028106i,-0.0031222-0.014085i,-0.011481+0.0049844i,-0.0040539-0.0036098i,-0.015977-0.010151i,-0.0035331+0.013525i,0.011547+0.00057119i,0.021201+0.016245i,0.0052615+5.3503e-06i,-0.0040708+0.001452i,-0.0048277+0.0015708i,-0.012255+0.011601i,-0.0034261-0.001951i,-0.025859+0.024089i,-0.0064731-0.0030132i,-0.0072016+0.0071764i,-0.0077031+0.0071115i,2.6922e-05-0.0053211i,-0.0052274+0.0053795i,0.00048377-0.0016623i,0.0028529+0.0028208i,0.0030069-0.0012873i,-0.0093313+0.0061775i,0.0031879+0.0022884i,-0.0090575+0.016738i,0.0027071-0.0064376i,-0.021637+0.01436i,-0.034084+0.025383i,-0.010804-0.094427i,-0.012461-0.014107i,-0.056925+0.0079795i,-0.023261-0.0078935i,0.016343-0.0023952i,-0.0080627+0.019891i,-0.031498-0.011418i
-0.039242-0.02136i,-0.027402-0.04185i,-0.037646-0.039486i,-0.044881-0.016591i,-0.032254-0.020102i,-0.058962+0.01012i,-0.058376+0.017793i,-0.057453-0.0073074i,-0.040906-0.013064i,0.0079282+0.0039626i,0.0047376+0.015306i,0.011458+0.0074883i,0.018494-0.003857i,0.003486+0.0083361i,0.0034878-0.0010989i,0.0099283+0.00051083i,0.038449-0.0043989i,0.0035313-8.3891e-05i,-0.003513+0.0037027i,0.0024017-0.0057856i,0.00063279+0.0034507i,0.0020916+0.0036187i,-0.00024593+0.0006484i,0.0029367+0.02087i,-0.0031656-0.0017356i,0.0031026-0.0049866i,0.0023998-0.0013294i,0.0025661+8.1194e-05i,-0.00045616-0.00058325i,-0.003693-0.0021026i,-0.0037362-0.0038813i,-0.0048136+0.001417i,-0.0056751-0.0011062i,-0.00029712-0.0031369i,-0.00038018-0.0055994i,0.014568+0.0082686i,-0.0007115-0.0036263i,0.0012614-0.0021629i,0.0031002-0.0092454i,-0.0054582+0.0035966i,0.001101+0.0038459i,0.0037956-0.0023532i,0.0035182-0.0029234i,0.0010123+0.0093751i,0.0059073-0.02486i,0.032389+0.010402i,-0.014577-0.095129i,-0.032166-0.061663i,-0.013028-0.066973i,-0.02111-0.043931i,0.0071872-0.096119i,-0.034163-0.096354i,0.037558-0.081813i,-0.0029405-0.066416i,0.0062969-0.00056278i,0.0021011-0.0037855i,-0.013635-0.024434i,0.0037032+0.0024112i,-0.0097686-0.002104i,-0.0091893-0.006308i,-0.044382+0.0050203i,0.010051+0.022536i,-0.0084612-0.011639i,-0.0073077+0.0059019i,-0.0054042-0.0013279i,-0.02015-0.0020599i,0.0041586+0.011995i,0.01187-0.0053667i,0.024748+0.0045339i,0.0055632-0.002409i,-0.0043452+0.001224i,-0.0043577+0.0036309i,-0.0062961+0.017723i,-0.0051408+0.0018105i,-0.019112+0.031336i,-0.0064605-0.00051219i,-0.0024193+0.0096853i,-0.0020641+0.011677i,-0.004661-0.0025656i,-0.0021833+0.0042734i,-7.7012e-05-0.0014879i,0.0021475+0.0028519i,0.0011997-0.0031917i,-0.0033921+0.0055026i,0.00037325-0.00023576i,-0.0053558+0.019115i,-0.0016274-0.0055548i,-0.014362+0.019027i,-0.023776+0.029993i,-0.022495-0.092505i,-0.0097452-0.0081172i,-0.051065+0.023853i,-0.02979-0.0039961i,0.013984-0.0088507i,0.0004855+0.014781i,-0.031387-0.00445i
-0.040447-0.014769i,-0.036804-0.039411i,-0.048035-0.036504i,-0.045526-0.010359i,-0.040217-0.020726i,-0.054693+0.022398i,-0.044195+0.028838i,-0.054667+0.0045717i,-0.037643-0.0052416i,0.0076136+0.0024495i,0.0099195+0.010714i,0.012116+0.0032809i,0.013202-0.010132i,0.0080478+0.0072884i,0.0020763-0.0023719i,0.0059393-0.002i,0.027371-0.020172i,0.0030043-0.0013995i,-0.0001833+0.0072958i,0.00014786-0.0050201i,0.0023836+0.0038227i,0.0027922+0.0023488i,-0.00023552+0.0014636i,0.017603+0.013872i,-0.0038942-8.9534e-05i,0.00080856-0.005714i,0.0015482-0.0023373i,0.0025121-8.7484e-05i,-0.00028404-0.00025873i,-0.0051541+0.0003155i,-0.0046807-0.0025355i,-0.0036017+0.0030395i,-0.0048087+0.001077i,-0.0019244-0.0028834i,-0.0024404-0.0040923i,0.015047+0.0055139i,-0.0016092-0.0036298i,8.7099e-07-0.0026239i,-0.00040946-0.008457i,-0.002671+0.001682i,0.0020734+0.0031596i,0.0016255-0.0017454i,0.0028473-0.0036867i,0.0024065+0.0075286i,0.00077856-0.035346i,0.041805-0.0072565i,-0.024948-0.087249i,-0.036397-0.052831i,-0.020106-0.071613i,-0.024222-0.042559i,-0.02155-0.10573i,-0.057074-0.085903i,0.018566-0.09669i,-0.01466-0.061091i,0.0091836+0.0019239i,-0.0031788-0.0056281i,-0.020987-0.015331i,-1.0984e-05-0.00041527i,-0.011519-0.000361i,-0.016639-0.0027915i,-0.038402+0.021336i,0.014118+0.012224i,-0.013248-0.007684i,-0.0052653+0.0055834i,-0.0060805+0.0017247i,-0.019187+0.0082112i,0.0052859+0.0069463i,0.0099433-0.010582i,0.024551-0.0075835i,0.0034431-0.0061283i,-0.0063483+0.0033339i,-0.001948+0.0057268i,0.0025804+0.019168i,-0.0039419+0.0055376i,-0.010956+0.038258i,-0.0070159+0.00079473i,0.0015199+0.0067974i,0.0044974+0.010863i,-0.0061106+0.0006462i,-0.0034462+0.0017975i,-0.0016907-0.0018044i,0.0013086+0.0046786i,-0.0025674-0.0037885i,-0.0026065+0.0025062i,-0.002703+0.0017446i,0.0023153+0.021219i,-0.0046727-0.0040745i,-0.0058207+0.020179i,-0.016528+0.032514i,-0.035411-0.087177i,-0.0040403-0.012464i,-0.03978+0.039473i,-0.031136+0.0065264i,0.0084214-0.01404i,0.0010831+0.0066797i,-0.03003-0.0014907i
-0.039921-0.0096234i,-0.042385-0.034914i,-0.059233-0.026743i,-0.046218-0.0043709i,-0.051138-0.015445i,-0.046405+0.032515i,-0.031606+0.031091i,-0.049897+0.013689i,-0.035424-0.0016476i,0.0066931+0.0012636i,0.010345+0.0061906i,0.011802-0.0020248i,0.0063314-0.013357i,0.011604+0.0028453i,0.00020741-0.0027566i,0.0027166-0.0019908i,0.012009-0.02461i,0.0038478-0.0021612i,0.0045856+0.0061303i,-0.0015537-0.0034416i,0.0041419+0.0016399i,0.0029465+0.0014394i,0.0010706+0.0021568i,0.021634-8.6479e-05i,-0.0021458+0.0021664i,-0.0017754-0.0052566i,-0.00037049-0.0010471i,0.0030262-0.0019352i,-0.00015515-0.00041955i,-0.0032166+0.0034821i,-0.0045534-0.001482i,-0.0025463+0.0035326i,-0.0044797+0.0028232i,-0.0028595-0.0012362i,-0.0023398-0.0026217i,0.016642+0.001087i,-0.0032689-0.0030584i,-0.0018741-0.0027223i,-0.0035168-0.0084675i,-0.0041863-5.0755e-05i,0.0032571+0.0023701i,0.0011627-9.8862e-05i,0.00088972-0.0045927i,0.0034928+0.0063654i,-0.010723-0.040059i,0.033784-0.031725i,-0.028282-0.080267i,-0.040358-0.04612i,-0.03016-0.071423i,-0.026076-0.043666i,-0.051842-0.097431i,-0.076373-0.068727i,-0.0010103-0.10093i,-0.016386-0.047016i,0.017539+0.0051558i,-0.0072917-0.0027893i,-0.020439-0.0028278i,-0.0014001-0.00065922i,-0.015742+0.0038456i,-0.015458+0.0046836i,-0.028504+0.035276i,0.012392+0.004688i,-0.012984+2.4556e-05i,-0.0068726+0.0052433i,-0.0034672+0.0053548i,-0.012653+0.014934i,0.0066095+0.0080382i,0.0050215-0.018979i,0.013723-0.021389i,-0.0028149-0.0091289i,-0.006798+0.0077934i,-0.0003288+0.0057471i,0.010278+0.016037i,6.4454e-05+0.0078027i,0.0048289+0.046059i,-0.0078269+0.0028419i,0.0016946+0.0053328i,0.0087418+0.00595i,-0.0047787+0.0065495i,-0.005177+0.0041355i,-0.0040166-0.00092127i,0.0047616+0.0059298i,-0.0042079+0.0016935i,-0.0050805+0.0028043i,-0.00061296+0.0066396i,0.0094464+0.017455i,-0.0065756-0.0021992i,4.5232e-06+0.017141i,-0.0065425+0.035131i,-0.041916-0.077775i,-0.011211-0.023902i,-0.015862+0.045233i,-0.024927+0.013967i,0.0054016-0.01991i,0.00036198+0.00093866i,-0.029623+0.0044408i
-0.039097-0.0049904i,-0.052261-0.031422i,-0.066358-0.013056i,-0.044194+0.0032344i,-0.058343-0.0026391i,-0.036923+0.038539i,-0.022827+0.030648i,-0.044108+0.020447i,-0.036295+0.0025646i,0.0071441-0.0005612i,0.012854+0.0035347i,0.0081644-0.0065866i,-0.0011494-0.011975i,0.011841-0.0038764i,-0.0012779-0.0024025i,0.00096095-0.00039989i,7.944e-05-0.020733i,0.0024548-0.0045006i,0.005789+0.0020619i,-0.0023612-0.0012234i,0.0039702-0.00036296i,0.0041158+0.0012624i,0.0024544+0.0014278i,0.016493-0.010483i,0.00078935+0.0011766i,-0.0025614-0.0032031i,-7.1924e-05-0.0014365i,0.001944-0.0034852i,2.8439e-05-0.00012716i,-0.00063556+0.0038584i,-0.0049641-0.00056565i,-0.00074288+0.0039352i,-0.0025547+0.004356i,-0.0026313+7.3801e-05i,-0.0034535-0.0029847i,0.015501-0.0047382i,-0.0034625-0.00098222i,-0.0027661-0.001433i,-0.0075482-0.0048728i,-0.0069409+0.0021602i,0.0037073+0.0010835i,0.0027711-0.00080463i,-0.0011424-0.0043087i,0.0045565+0.0028617i,-0.023395-0.038273i,0.016099-0.038283i,-0.034678-0.08223i,-0.039117-0.038611i,-0.037995-0.068925i,-0.035019-0.046327i,-0.072271-0.081607i,-0.082392-0.043178i,-0.025451-0.10197i,-0.010116-0.044207i,0.025448-0.0094641i,-0.0083317+0.0016806i,-0.015192-0.00073137i,-0.0058304-0.00014754i,-0.013316+0.013202i,-0.012085+0.0079954i,-0.0086919+0.040858i,0.01132+0.00046492i,-0.012071+0.0019309i,-0.0039039+0.0072832i,-0.0016064+0.0046541i,-0.0052125+0.018868i,0.011227+0.0048445i,-0.0082741-0.020216i,-0.0042314-0.022021i,-0.005987-0.0022502i,-0.0024434+0.011476i,0.0031172+0.0050352i,0.016131+0.0077036i,0.0035654+0.0055192i,0.025567+0.039492i,-0.0042429+0.0060925i,0.0022279+0.003249i,0.0089942+0.00075845i,0.00020102+0.0088082i,-0.0062776+0.0069885i,-0.004735+0.0029787i,0.0084503+0.005393i,-0.0020636+0.0049925i,-0.0063259+0.0053489i,0.0034482+0.0068787i,0.012592+0.011653i,-0.0064836+0.0008323i,0.0057729+0.012982i,0.0042534+0.032883i,-0.048355-0.074429i,-0.026976-0.022426i,0.001798+0.035904i,-0.019321+0.016459i,-0.0038478-0.026563i,-0.003557-0.0029972i,-0.021777+0.007361i
-0.038566-0.0010051i,-0.061308-0.019886i,-0.069217+0.0024761i,-0.04106+0.0075289i,-0.058081+0.011892i,-0.028882+0.042403i,-0.016423+0.029491i,-0.038301+0.025304i,-0.034814+0.010196i,0.0066028-0.0027531i,0.013309-0.0042184i,0.0025772-0.0071734i,-0.0046761-0.0075217i,0.007452-0.0081159i,-0.0026835-0.0017478i,0.0015991+0.00013652i,-0.0058555-0.01372i,-0.00035227-0.0044781i,0.0041815-0.00013309i,-0.0016421+0.00038992i,0.0023941-0.0010653i,0.0044316-0.00043599i,0.0026994+0.00031573i,0.0090715-0.015299i,3.3031e-05-0.00065454i,-0.0023451-0.0024718i,-0.00044463-0.0015164i,0.00035048-0.0035164i,0.0011259-0.00010613i,0.0007867+0.0029303i,-0.0054426+0.00055237i,0.0007388+0.0032428i,-0.00031619+0.0047406i,-0.0023736+0.00040098i,-0.0047701-1.9921e-05i,0.011848-0.0092903i,-0.0026711-0.00014534i,-0.0023877-1.4977e-05i,-0.0067282-0.0014228i,-0.0060721+0.0056572i,0.0036026+4.6398e-05i,0.0031308-0.0017165i,-0.0027385-0.0035361i,0.0023524-0.00013514i,-0.032554-0.030301i,0.0081145-0.029785i,-0.04642-0.082979i,-0.036174-0.037168i,-0.046882-0.065205i,-0.045653-0.041114i,-0.088827-0.064168i,-0.07641-0.023781i,-0.053592-0.089143i,-0.0087667-0.048997i,0.022017-0.0221i,-0.006451+0.0039874i,-0.013782+0.0031541i,-0.0086844+0.0056239i,-0.0052051+0.018939i,-0.007971+0.01107i,0.0097314+0.034086i,0.0091996-0.0052203i,-0.012633+0.0049104i,-0.0026638+0.005961i,0.00094313+0.0050345i,0.0033348+0.015937i,0.01171-0.0026618i,-0.017633-0.01082i,-0.014767-0.011961i,-0.0035913+0.0017942i,0.003885+0.011288i,0.0038977+0.002608i,0.018119+0.0004708i,0.0066202+0.004407i,0.038045+0.024444i,-0.0015757+0.0052337i,0.00058997+0.0036937i,0.007057-0.0039992i,0.0057006+0.006149i,-0.0046354+0.013701i,-0.0018914+0.0074767i,0.012372+0.00036369i,0.002562+0.0051903i,-0.0051011+0.0092562i,0.0055265+0.0040365i,0.013538+0.0069999i,-0.0060392+0.002268i,0.0076627+0.0075066i,0.01167+0.027124i,-0.055993-0.067636i,-0.034329-0.0096543i,0.01174+0.023023i,-0.0077985+0.0191i,-0.015609-0.026513i,-0.011215-0.0028537i,-0.020102+0.0019384i
-0.038264+0.0034753i,-0.06287-0.0051995i,-0.066054+0.019456i,-0.039395+0.011706i,-0.052496+0.023664i,-0.020119+0.045649i,-0.01118+0.02759i,-0.033159+0.028952i,-0.029182+0.016094i,0.0049191-0.0050018i,0.0072457-0.0093285i,4.0772e-05-0.0047685i,-0.0053221-0.0040147i,0.0028904-0.0096877i,-0.0038777-0.00021235i,0.0016576-0.00054829i,-0.0057341-0.0079155i,-0.0018079-0.0030225i,0.0029379-0.00019612i,-0.00026226+0.0010138i,0.0022815-0.00018505i,0.0041088-0.001423i,0.0028752-0.00047249i,0.0023947-0.01587i,-0.0010295-0.0010616i,-0.0029864-0.0028022i,-0.00083811-0.001382i,-0.00095131-0.0034559i,0.00098146-0.0012639i,0.0019761+0.0024561i,-0.0054153+0.0018787i,0.0016064+0.002267i,0.0015127+0.0034162i,-0.0023763+0.0017414i,-0.0034427+0.00064939i,0.0068522-0.011954i,-0.0019469+0.00036824i,-0.0016848+0.00084177i,-0.0076159+0.0008302i,-0.0035075+0.0075012i,0.0034105-0.00095122i,0.0021599-0.00271i,-0.003495-0.002132i,-0.001431+0.00019227i,-0.037429-0.02062i,0.016064-0.024405i,-0.062208-0.079092i,-0.037436-0.038628i,-0.0531-0.058999i,-0.051585-0.032184i,-0.10043-0.040931i,-0.07124-0.01386i,-0.064651-0.061624i,-0.012663-0.05122i,0.013237-0.032563i,-0.0049892+0.0050715i,-0.0098898+0.0032932i,-0.0041424+0.011774i,0.0035261+0.017765i,-4.4289e-05+0.010252i,0.016425+0.021077i,0.0048051-0.0073446i,-0.010624+0.0094675i,-0.0027284+0.0056579i,0.0021179+0.0029258i,0.0070294+0.011813i,0.0050937-0.0051545i,-0.019823+0.0004099i,-0.016653-0.0013207i,4.0524e-05+0.0025067i,0.0065+0.0096606i,0.0027718+0.0014115i,0.01433-0.010851i,0.0076524-0.00096824i,0.04253+0.0064663i,-0.0010862+0.006241i,0.0031803+0.0035384i,0.0023185-0.0065684i,0.0061253+0.0021471i,0.0021773+0.017416i,0.0047681+0.0055527i,0.0093749-0.005056i,0.005258+0.0020754i,-0.0007749+0.013338i,0.0044126+0.0029172i,0.012738+0.0030353i,-0.0070316+0.0037571i,0.0048962+0.0039676i,0.015432+0.021461i,-0.061892-0.060209i,-0.032674+0.0029464i,0.012101+0.011222i,-0.00015665+0.011298i,-0.027711-0.020097i,-0.014189+0.0058667i,-0.02517+0.0040294i
-0.037367+0.008962i,-0.059817+0.0055487i,-0.057185+0.033582i,-0.03763+0.016393i,-0.044748+0.032219i,-0.011095+0.047107i,-0.0075186+0.025604i,-0.028088+0.03299i,-0.023805+0.018912i,0.0021471-0.0060491i,0.00088313-0.0088982i,-0.00050267-0.00335i,-0.0043391-0.0021625i,-0.0011969-0.0093813i,-0.0036705+0.0018819i,0.00051025-0.0013272i,-0.0052649-0.006295i,-0.0014719-0.001215i,0.0030775-0.00072608i,0.0009481+0.0008565i,0.003485-0.00060953i,0.0036496-0.0020799i,0.0027442-0.0013371i,-0.0031644-0.013957i,-0.0014155-0.00055135i,-0.0041728-0.0015496i,-0.0012023-0.0012465i,-0.0020288-0.0030566i,0.00044124-0.0017181i,0.0031092+0.0010342i,-0.004927+0.0034145i,0.0019591+0.001227i,0.0020933+0.0023399i,-0.0013768+0.0027322i,-0.0038422+0.001751i,0.0016059-0.010822i,-0.0018431+0.00011326i,-0.00068389+0.0011058i,-0.0058945+0.0046599i,-0.00045277+0.0087865i,0.0029376-0.001723i,0.0020329-0.0026048i,-0.0037665-0.0009284i,-0.0014479+0.0037i,-0.036457-0.011435i,0.029403-0.034632i,-0.078699-0.067071i,-0.042326-0.038689i,-0.057482-0.053938i,-0.055937-0.024035i,-0.10096-0.01711i,-0.066875-0.0033029i,-0.06025-0.043869i,-0.015642-0.054542i,0.00051578-0.03715i,-0.0023607+0.0064533i,-0.010295+0.0011705i,0.0029223+0.012129i,0.009072+0.012793i,0.0039298+0.0038315i,0.015657+0.01023i,3.4536e-05-0.0078509i,-0.0063516+0.01254i,-0.003154+0.006633i,0.0016874+0.0013208i,0.0085546+0.0074071i,0.0027729-0.0025563i,-0.015762+0.010226i,-0.012444+0.0069245i,0.001422+0.0020285i,0.010841+0.0071482i,0.0021679+0.00097905i,0.0044459-0.014645i,0.0044314-0.0041566i,0.038236-0.0091736i,0.0014408+0.0068194i,0.0024525+0.0022354i,-0.0017988-0.004987i,0.0052572+0.0010661i,0.01049+0.017169i,0.0057401+0.0012493i,0.0069245-0.0069003i,0.0042025-0.00072729i,0.0060283+0.013464i,0.004867+0.0017272i,0.013273-0.00078258i,-0.0050508+0.0087915i,0.0047145+0.0030949i,0.018042+0.016935i,-0.067691-0.054018i,-0.026615+0.010044i,0.010813+0.0052766i,-0.0011153+0.0042975i,-0.034891-0.0094972i,-0.0088188+0.0088667i,-0.023455+0.0087069i
-0.034843+0.014188i,-0.055+0.013853i,-0.044209+0.042728i,-0.03416+0.02149i,-0.03531+0.037484i,-0.0022478+0.046935i,-0.0044943+0.024312i,-0.021919+0.036539i,-0.018826+0.020929i,-0.00054911-0.0060917i,-0.0028546-0.006207i,-0.00025542-0.0031114i,-0.0041971-0.0011493i,-0.004706-0.0072392i,-0.0028949+0.0031754i,-0.00078449-0.0010552i,-0.0068999-0.0063357i,-0.001133-0.0010537i,0.0026597-0.0013221i,0.0015714+1.2427e-05i,0.0037975-0.0019662i,0.0033349-0.0027157i,0.002301-0.0020904i,-0.0071815-0.011167i,-0.0017526-0.00031633i,-0.0042453+0.00012908i,-0.0018217-0.00063167i,-0.0027311-0.0019724i,-0.00026949-0.0018356i,0.0024589-0.0011637i,-0.0036229+0.0052135i,0.0017495+0.00056286i,0.0026431+0.0014323i,0.00027384+0.0026451i,-0.0028512+0.0033516i,-0.00068622-0.0079731i,-0.0018517+0.00036245i,8.0574e-05+0.00058226i,-0.0023554+0.0052796i,0.0037948+0.0083872i,0.00232-0.0023569i,0.0017628-0.0031717i,-0.0039688+5.7376e-05i,0.00051814+0.0034268i,-0.033241-0.0070144i,0.028933-0.058258i,-0.088931-0.049149i,-0.046299-0.036693i,-0.062549-0.05296i,-0.057918-0.014595i,-0.097889+0.0010541i,-0.06125+0.0044671i,-0.05677-0.032146i,-0.022882-0.057481i,-0.013231-0.036951i,-0.00036218+0.0055218i,-0.015376+0.0017438i,0.0076933+0.0080696i,0.011246+0.0069255i,0.0029759-0.0015269i,0.011729+0.0044597i,-0.0046292-0.0072316i,-0.0016135+0.013652i,-0.0021281+0.0079416i,0.00082025+0.00098779i,0.0072576+0.0036773i,0.0028344-0.0014498i,-0.0082184+0.014704i,-0.0064031+0.011191i,0.0037994+0.00018166i,0.013612+0.00072191i,0.0016998+0.0013246i,-0.0032146-0.011823i,0.001143-0.0044515i,0.029566-0.019991i,0.0044236+0.0062319i,0.0019031+0.0030442i,-0.0044371-0.0021197i,0.0050757-0.0017157i,0.018051+0.01197i,0.0044616-0.0018645i,0.0038719-0.0093621i,0.0024396-0.0022741i,0.011139+0.0091255i,0.0045482+0.0018541i,0.0097713-0.0059133i,-3.1599e-05+0.010268i,0.0050695+0.00087861i,0.02185+0.012589i,-0.074462-0.045205i,-0.020229+0.015849i,0.0098997-0.00037025i,-0.0039747+0.0026874i,-0.037017+0.0016419i,-0.0062998+0.0073795i,-0.020275+0.012096i
