-0.022629-0.03742i,-0.012252-0.050029i,-0.01839-0.044107i,-0.030751-0.035414i,-0.030316-0.015564i,-0.049931-0.026931i,-0.057241-0.02593i,-0.044856-0.036526i,-0.028431-0.032425i,0.0073953+0.012085i,-0.0052629+0.015682i,-0.0046408+0.01401i,0.012325+0.021722i,0.00059044+0.0039413i,0.0031657+0.0035306i,0.0066433+0.018191i,0.023338+0.043194i,-0.0020163-0.0015686i,-0.004766-0.006029i,0.0065102+0.0011051i,-3.4112e-05-0.00094305i,-0.0008426+0.00094275i,-5.8077e-05-0.00045199i,-0.028558-0.0031316i,-0.0028014-0.0059031i,0.0016149+0.0044231i,0.0028095-0.000209i,-0.00050538+0.00053671i,0.00061731-0.00039145i,-0.00078284-0.0026342i,-0.0013554-0.0060966i,-0.0048074-0.0043637i,-0.0021724-0.0038199i,0.0023766-0.00057503i,0.0017703-0.0028929i,0.001213+0.024999i,0.0015995-0.0034243i,0.0027051+0.00084475i,0.0051978+0.0014498i,-0.010723-0.0039016i,-0.0034154+0.00013884i,0.0055334-0.0014651i,0.0066177-0.0002429i,-0.002819+0.0049856i,0.00092766-0.0094584i,-0.011257+0.017558i,0.035442-0.091291i,0.011858-0.070211i,-0.016193-0.059453i,-0.016852-0.055194i,0.038729-0.045474i,0.01658-0.061501i,0.033911-0.05489i,0.03042-0.059928i,0.016988-0.01373i,0.0047758+0.016498i,0.016038-0.025729i,-0.011331+0.0051212i,-0.00048338+0.0059836i,-0.005146-0.0013775i,-0.001409-0.029199i,-0.023809+0.031438i,0.010127-0.012712i,-0.011978-0.0027509i,-0.00015495-0.0050591i,-0.0015834-0.015999i,-0.0072489+0.0044466i,0.005523+0.006525i,-0.0081652+0.031043i,0.0053038+0.0061787i,-0.0050594-0.00063636i,-0.0033104-0.000812i,-0.012965-0.007353i,-0.0010571-0.0045773i,-0.043642-0.024418i,-0.00031524-0.0099812i,-0.0092756-0.0023801i,-0.0066744-0.0024098i,0.0069485+0.0027903i,-0.0079427+0.00075023i,6.7527e-05+0.00022691i,0.006793+0.010459i,0.004115+0.0020707i,-0.0093929-0.009241i,0.0027522+0.0079332i,-0.020838+0.0056589i,0.0080102+0.0008814i,-0.028008-0.0038239i,-0.04422+0.0036874i,0.019177-0.099243i,-0.00073802-0.012898i,-0.052524-0.021571i,-0.021816-0.0017825i,0.017869+0.010247i,-0.026119+0.012924i,-0.018023-0.013413i
-0.030197-0.034673i,-0.018976-0.043073i,-0.025097-0.042056i,-0.038099-0.031747i,-0.028267-0.015816i,-0.056602-0.015557i,-0.059543-0.014101i,-0.049294-0.028i,-0.03152-0.025626i,0.0075121+0.0087563i,-0.0030995+0.013522i,0.0019649+0.015868i,0.018328+0.013344i,-0.00010706+0.0054087i,0.0038127+0.0019712i,0.010598+0.012534i,0.031156+0.027266i,-0.00087561+0.0014396i,-0.0061591-0.0014672i,0.0071425-0.002476i,-0.0010004+0.00047926i,-0.00073663+0.0017484i,-0.00028484-1.5255e-05i,-0.018271+0.010046i,-0.0040737-0.0035056i,0.0050399+0.0010908i,0.0031145-0.00075537i,9.4089e-05+0.0019486i,0.0012619-0.00094873i,-0.0018718-0.0026736i,-0.0019189-0.0045164i,-0.0052647-0.0025796i,-0.0030862-0.0033096i,0.002156-0.0014806i,0.0007937-0.0019843i,0.0074871+0.022502i,0.00098158-0.0039801i,0.0024542-0.00046233i,0.0077313-0.00030072i,-0.008348-0.00093788i,-0.0031456+0.0024327i,0.007088-0.00090429i,0.0051057-0.001823i,-0.0046011+0.0067113i,0.0049949-0.012085i,0.0036319+0.022699i,0.016926-0.097234i,-0.0054951-0.076175i,-0.012392-0.055087i,-0.020759-0.044789i,0.03341-0.063901i,0.013821-0.079678i,0.034797-0.054725i,0.019282-0.068537i,0.0075485-0.0072267i,0.0074253+0.0052768i,0.0054438-0.026764i,-0.0049613+0.012216i,0.00078202-0.003235i,-0.0050697-0.0018911i,-0.023402-0.028202i,-0.0094738+0.029143i,0.0038258-0.015904i,-0.012857+0.00021998i,-0.0016943-0.0045129i,-0.0088921-0.014404i,-0.0081704+0.0087475i,0.0083326+0.0057411i,0.0078378+0.029468i,0.005961+0.0013112i,-0.0044513+0.0018977i,-0.0049155-0.00032206i,-0.016916+0.0023288i,-0.00082673-0.0028186i,-0.042604+0.012463i,-0.0047585-0.0072298i,-0.009295+0.0028993i,-0.0082299+0.0019252i,0.0054406-0.0028728i,-0.0076547+0.0034858i,0.00071211-0.00082389i,0.0057846+0.0037542i,0.0037517+0.00057958i,-0.0135-0.0014038i,0.0036792+0.0040882i,-0.016139+0.013037i,0.0064501-0.0035119i,-0.026862+0.0065989i,-0.040017+0.017163i,0.002622-0.098631i,-0.0051702-0.016753i,-0.057998-0.0067401i,-0.017511-0.0045874i,0.018349+0.0037785i,-0.019979+0.019313i,-0.026285-0.015804i
-0.035472-0.029027i,-0.021924-0.042189i,-0.031167-0.040569i,-0.044035-0.024453i,-0.028846-0.017552i,-0.059577-0.0029279i,-0.062332-0.00078818i,-0.054381-0.019339i,-0.035656-0.02163i,0.0082581+0.0058627i,-0.00060255+0.015801i,0.0088056+0.012658i,0.020301+0.0043671i,0.0013391+0.0065295i,0.0041764+0.00096999i,0.011497+0.0066856i,0.034983+0.015622i,0.0017435+0.0019074i,-0.0047062+0.0018041i,0.0054186-0.0043322i,-0.0011+0.0017351i,-0.00059971+0.003145i,-0.00012772+0.00036014i,-0.008393+0.015256i,-0.0031756-0.0017221i,0.0053266-0.002854i,0.0023766-0.0015824i,0.0021384+0.0018435i,0.00040067-0.0015273i,-0.0028046-0.0019611i,-0.0023111-0.0045354i,-0.0056605-0.00047642i,-0.0044314-0.0024895i,0.00098129-0.0026715i,0.0020029-0.0041433i,0.012446+0.016295i,2.2258e-06-0.0039572i,0.0019201-0.0012967i,0.0097305-0.0051824i,-0.0080505+0.0012381i,-0.0013714+0.0041668i,0.0065193-0.0011714i,0.0047487-0.0025041i,-0.0026256+0.0091931i,0.0056519-0.019873i,0.019899+0.018197i,0.0006142-0.098044i,-0.02312-0.071695i,-0.0074792-0.061053i,-0.019228-0.043149i,0.023022-0.079234i,-0.0075511-0.095504i,0.040953-0.061748i,0.0053028-0.06901i,0.0066865-0.003785i,0.0055959+0.00066534i,-0.0024681-0.028282i,0.0032475+0.010153i,-0.0070204-0.0058227i,-0.0046661-0.0035839i,-0.038921-0.014988i,-0.0015017+0.027679i,-0.0032722-0.01608i,-0.010654+0.0048717i,-0.0040522-0.0038758i,-0.016409-0.0097311i,-0.002841+0.013889i,0.011958+0.00028113i,0.018816+0.020368i,0.0050159-0.00046987i,-0.0034453+0.0016811i,-0.0046356+0.0017341i,-0.013194+0.011557i,-0.0040269-0.0020692i,-0.029691+0.0213i,-0.0063017-0.0033927i,-0.0067661+0.0068452i,-0.0082966+0.0080185i,-4.4824e-05-0.0047071i,-0.0058627+0.006012i,0.00010524-0.0016072i,0.0034225+0.0027581i,0.0030184-0.00093792i,-0.0097638+0.0063507i,0.0027052+0.001678i,-0.0096133+0.016174i,0.0026255-0.0064015i,-0.021437+0.01346i,-0.031962+0.028215i,-0.0070319-0.097408i,-0.012303-0.015173i,-0.057352+0.0077276i,-0.023367-0.0089845i,0.016155-0.0036609i,-0.0087945+0.019671i,-0.030215-0.010133i
-0.038494-0.023003i,-0.028613-0.043261i,-0.038931-0.039317i,-0.045407-0.016417i,-0.032376-0.019899i,-0.058596+0.010316i,-0.05871+0.018251i,-0.05783-0.0066245i,-0.03982-0.013919i,0.0081815+0.0034079i,0.0057733+0.015817i,0.011269+0.0072586i,0.018372-0.0034299i,0.0038827+0.0075324i,0.0037228-0.0011811i,0.009979+0.00097903i,0.035588-0.0012699i,0.0030003-0.00014748i,-0.0037978+0.0043456i,0.002633-0.0048834i,0.0005151+0.003346i,0.0010974+0.0035797i,-0.00027731+0.00077602i,0.0022558+0.018571i,-0.0029699-0.0013555i,0.0026925-0.0050333i,0.0022635-0.002183i,0.0020672-0.00015203i,-0.00010649-0.00067044i,-0.0041896-0.001323i,-0.0032049-0.0041253i,-0.0048608+0.0014377i,-0.005484-0.00080486i,-4.2372e-05-0.0032017i,-0.00085566-0.0050664i,0.012443+0.01063i,-0.0015447-0.0034683i,0.0013434-0.0020586i,0.0052129-0.0099294i,-0.0049939+0.004341i,0.00065415+0.0040527i,0.0045813-0.0023898i,0.0038824-0.0043584i,0.00016561+0.0084725i,0.0046962-0.026262i,0.03213+0.0070961i,-0.015775-0.094866i,-0.032582-0.061907i,-0.0131-0.067482i,-0.021276-0.043477i,0.0057668-0.094699i,-0.034817-0.096011i,0.038083-0.081753i,-0.0044261-0.066197i,0.0064409-0.0017504i,0.0023867-0.0036941i,-0.013244-0.024818i,0.0039068+0.0026533i,-0.0096517-0.0014265i,-0.0087743-0.0061183i,-0.045828+0.0050065i,0.008946+0.022311i,-0.0087556-0.013271i,-0.0075161+0.005956i,-0.0051184-0.0014773i,-0.020249-0.0015431i,0.0048832+0.012073i,0.012012-0.0057726i,-0.057199-0.071467i,0.0049443-0.0022239i,-0.0041332+0.0012448i,-0.0043318+0.0037008i,-0.0077845+0.018031i,-0.0052828+0.0022643i,-0.027588+0.032357i,-0.0064721-0.00078354i,-0.002095+0.0093699i,-0.0026132+0.011997i,-0.0044245-0.0021467i,-0.0020444+0.005292i,-0.00025493-0.0011923i,0.0024135+0.0032053i,0.0010957-0.0025498i,-0.0039589+0.0065382i,-3.5289e-05-3.0261e-05i,-0.0057454+0.018619i,-0.0016709-0.0057976i,-0.014456+0.01883i,-0.022065+0.029712i,-0.020211-0.098937i,-0.011182-0.0094451i,-0.05086+0.023531i,-0.030396-0.0047722i,0.01275-0.0089173i,0.00039126+0.014638i,-0.030186-0.0036708i
-0.040406-0.016288i,-0.038419-0.039855i,-0.049142-0.035841i,-0.045707-0.0098179i,-0.040147-0.020596i,-0.054409+0.022477i,-0.044344+0.029658i,-0.054949+0.0053703i,-0.03773-0.0057074i,0.0077993+0.0013644i,0.010976+0.010853i,0.012062+0.003273i,0.013121-0.0094029i,0.0080266+0.0061647i,0.0020506-0.0026152i,0.0062351-0.0015088i,0.026956-0.016482i,0.002388-0.0011531i,-0.0003216+0.0083568i,0.00047341-0.0047428i,0.0022031+0.0036533i,0.0027236+0.0023993i,-0.00018164+0.0016618i,0.013273+0.012115i,-0.0035855-2.9565e-05i,0.00061881-0.0059165i,0.000635-0.0027854i,0.0021446-0.00012467i,3.9982e-05-0.0003179i,-0.0050345+0.00078993i,-0.0040374-0.0027467i,-0.0035824+0.0033026i,-0.0048237+0.0013018i,-0.0018189-0.002981i,-0.0025649-0.0041029i,0.014123+0.0079216i,-0.0022026-0.0031879i,6.117e-05-0.0025544i,0.00074023-0.0094465i,-0.0029347+0.0025382i,0.00099417+0.0039831i,0.001704-0.0021828i,0.0023834-0.0052028i,0.0010599+0.007476i,-0.0010001-0.03594i,0.040358-0.0101i,-0.025916-0.087096i,-0.03695-0.053206i,-0.020644-0.071845i,-0.024009-0.042264i,-0.022559-0.10338i,-0.057622-0.085298i,0.018104-0.097009i,-0.015132-0.060157i,0.0088416+0.0011655i,-0.0029707-0.0058702i,-0.0051503-0.007004i,0.00045608-0.00035006i,-0.010998-4.6094e-05i,-0.016124-0.0024355i,-0.038915+0.024252i,0.01269+0.01258i,-0.013139-0.008526i,-0.0058193+0.0063459i,-0.0056213+0.0013949i,-0.018891+0.0080247i,0.0055939+0.0070951i,0.0096114-0.011097i,0.024507-0.0073869i,0.0033506-0.0056261i,-0.0059765+0.0037799i,-0.0021527+0.0057605i,0.0018177+0.01953i,-0.003685+0.0059042i,-0.012945+0.033186i,-0.0069456+0.00070652i,0.0016184+0.0066019i,0.004538+0.010823i,-0.0058825+0.00080864i,-0.0028161+0.0022651i,-0.001534-0.0015324i,0.0013647+0.0048529i,-0.0019776-0.0029103i,-0.0030837+0.0032379i,-0.0027752+0.0021046i,0.0039415+0.019765i,-0.0045423-0.0045011i,-0.0057915+0.019752i,-0.014977+0.035649i,-0.034347-0.092985i,-0.0058025-0.012269i,-0.040213+0.039228i,-0.03197+0.0063494i,0.0083059-0.012819i,0.0013971+0.0069467i,-0.029149-0.0019731i
-0.040402-0.01102i,-0.043981-0.035047i,-0.060226-0.025448i,-0.046003-0.0041844i,-0.051146-0.015461i,-0.046282+0.032607i,-0.031069+0.032002i,-0.049612+0.014249i,-0.035787-0.0012991i,0.0068222+0.00041258i,0.011079+0.0058748i,0.011945-0.0020754i,0.0066076-0.013104i,0.01079+0.001573i,0.00018823-0.0028491i,0.0033275-0.0017122i,0.013555-0.021963i,0.0031711-0.0015377i,0.0047711+0.0076472i,-0.0014417-0.003303i,0.0040494+0.0020892i,0.0028794+0.0013904i,0.0012355+0.0022047i,0.019666+0.0020357i,-0.0019492+0.0019827i,-0.00059846-0.0057287i,-0.00078923-0.00058926i,0.0029358-0.0019428i,-8.9987e-05-0.00058371i,-0.0032204+0.003923i,-0.003987-0.0018289i,-0.0025455+0.0039861i,-0.0040965+0.0029921i,-0.0028942-0.0013046i,-0.0026632-0.0024221i,0.016882+0.0033269i,-0.0033603-0.0023222i,-0.00179-0.0029045i,-0.002749-0.0093824i,-0.0044176+0.00129i,0.0052845+0.0032014i,0.0006131-4.2695e-05i,-0.00038783-0.0054095i,0.0024676+0.0066623i,-0.01304-0.040367i,0.032429-0.033842i,-0.02923-0.080174i,-0.041016-0.046097i,-0.030383-0.07171i,-0.02622-0.043591i,-0.05184-0.095047i,-0.076648-0.067972i,-0.0019336-0.1005i,-0.016327-0.045932i,0.016968+0.0052874i,-0.0072096-0.002984i,-0.016275+0.0053579i,-0.0010241-0.00092314i,-0.015277+0.003606i,-0.014545+0.0050061i,-0.026785+0.037082i,0.011852+0.0056485i,-0.012363-0.00061229i,-0.0073313+0.0058308i,-0.0032419+0.0049695i,-0.013083+0.015402i,0.0066714+0.0079637i,0.0041347-0.019038i,0.016037-0.019912i,-0.0026183-0.0088836i,-0.0059289+0.0076709i,-0.00048058+0.005922i,0.010177+0.015578i,0.00050842+0.007824i,0.0043486+0.042004i,-0.0074219+0.0029305i,0.0019015+0.0052456i,0.0089196+0.0058719i,-0.0050347+0.0063089i,-0.0047307+0.0048654i,-0.0037361-0.001115i,0.0053163+0.0062405i,-0.0034367+0.0018724i,-0.005463+0.0033091i,9.445e-05+0.0067846i,0.0087265+0.014258i,-0.0070602-0.0032471i,-0.00016747+0.017486i,-0.0030124+0.036308i,-0.041741-0.082263i,-0.012198-0.022849i,-0.01691+0.045427i,-0.026128+0.014265i,0.0078489-0.017795i,0.00089335+0.0010929i,-0.029781+0.0048256i
-0.039893-0.0059566i,-0.054277-0.030778i,-0.066373-0.011303i,-0.044957+0.0030472i,-0.058697-0.0026204i,-0.036783+0.038749i,-0.021817+0.031172i,-0.043824+0.020554i,-0.036584+0.0031655i,0.0071032-0.001551i,0.012907+0.003142i,0.0084052-0.006981i,-0.0010348-0.011888i,0.010705-0.0043754i,-0.0011971-0.0022719i,0.0016852-0.00038973i,0.0026613-0.01871i,0.0022226-0.0033972i,0.0064784+0.0033399i,-0.0021033-0.0011651i,0.004156-0.00035506i,0.0039084+0.0014078i,0.0025369+0.0015002i,0.016653-0.0089912i,0.00076662+0.00059678i,-0.0040526-0.0036694i,0.00015368-0.00093909i,0.0017194-0.0033583i,-0.00012798-6.0261e-05i,-0.0004412+0.0042477i,-0.0043591-0.0011666i,-0.00072262+0.0042599i,-0.0020072+0.0041559i,-0.0027479-9.0348e-05i,-0.003293-0.0028963i,0.017066-0.003394i,-0.0032802-0.00084838i,-0.0030338-0.0015104i,-0.0071375-0.0068705i,-0.0062201+0.0035111i,0.0044096+0.0012871i,0.0026367-0.00067727i,-0.0025794-0.0046265i,0.004004+0.0034652i,-0.02549-0.037935i,0.013987-0.039875i,-0.035151-0.082123i,-0.039871-0.038609i,-0.038859-0.068998i,-0.035404-0.046139i,-0.071312-0.079739i,-0.083195-0.042326i,-0.02567-0.10051i,-0.0096815-0.043088i,0.025757-0.0080574i,-0.0082138+0.0016691i,-0.014649+0.00048316i,-0.0052816-0.00025171i,-0.012991+0.013388i,-0.011752+0.008081i,-0.0073494+0.040072i,0.012109+0.0011327i,-0.012092+0.00055346i,-0.0041583+0.0077246i,-0.0013536+0.0044042i,-0.0049052+0.019722i,0.010747+0.0047025i,-0.008989-0.019673i,-0.0032231-0.02214i,-0.0061195-0.0023129i,-0.0024596+0.010911i,0.0031507+0.0050856i,0.015521+0.0073253i,0.0038649+0.005788i,0.028663+0.038277i,-0.0045632+0.0061507i,0.0022598+0.0026611i,0.0096885+0.00028031i,0.00025055+0.0085578i,-0.0053807+0.0075016i,-0.004487+0.0027308i,0.0088295+0.0052509i,-0.0013441+0.0045675i,-0.0069442+0.0057253i,0.0035305+0.0067556i,0.010776+0.010066i,-0.0074371+0.000583i,0.0054175+0.013647i,0.008241+0.031883i,-0.049505-0.078975i,-0.027855-0.020819i,0.00075887+0.036154i,-0.020141+0.018041i,-0.0042475-0.026433i,-0.0030015-0.0032765i,-0.021686+0.0070485i
-0.039263-0.0015209i,-0.062754-0.018417i,-0.068232+0.0041158i,-0.041478+0.0079256i,-0.058226+0.012203i,-0.028741+0.04241i,-0.015223+0.029662i,-0.037954+0.025174i,-0.034962+0.010744i,0.0060525-0.0038075i,0.013269-0.0043891i,0.0023615-0.0076105i,-0.004815-0.0073236i,0.0066228-0.0078532i,-0.0026271-0.0019491i,0.0022193-0.0001575i,-0.0037164-0.013496i,-9.1621e-05-0.0036116i,0.0051544+0.0013816i,-0.0014228+0.00034786i,0.0024358-0.0010501i,0.004572-3.3349e-05i,0.0028711+0.00032283i,0.0095485-0.014327i,-0.00048963-0.0011133i,-0.0030764-0.0021463i,7.4853e-05-0.0012573i,0.00044232-0.003551i,0.0011471+2.288e-05i,0.0011216+0.0030322i,-0.0052468-0.00010826i,0.00078419+0.0037108i,-0.00067547+0.0045593i,-0.0024629+0.00048687i,-0.0045317-0.00011911i,0.013783-0.0094612i,-0.0028758-0.00027358i,-0.0024817+0.00013114i,-0.0045546-0.0012505i,-0.0047885+0.0065652i,0.0045214-1.6909e-05i,0.0033465-0.0015614i,-0.00417-0.0036706i,0.0024918+0.00036216i,-0.034501-0.029755i,0.0064693-0.030525i,-0.04752-0.083396i,-0.036683-0.037004i,-0.04734-0.064819i,-0.04563-0.040858i,-0.088368-0.062749i,-0.076492-0.023162i,-0.054494-0.087572i,-0.0072659-0.047702i,0.024137-0.022084i,-0.005932+0.0042053i,-0.013428+0.0042687i,-0.0080857+0.0052832i,-0.0049839+0.018621i,-0.0071504+0.011445i,0.010415+0.032317i,0.0098268-0.0052763i,-0.012699+0.0053588i,-0.0031947+0.0057398i,0.00098682+0.0048316i,0.003473+0.016183i,0.011536-0.0025896i,-0.017486-0.0092741i,-0.01397-0.012927i,-0.0037262+0.0018794i,0.0036252+0.01148i,0.0037435+0.0023591i,0.017341+0.00015229i,0.0071602+0.0044412i,0.040373+0.022923i,-0.0018467+0.0054648i,0.00054182+0.0034356i,0.0072-0.0043708i,0.0063522+0.0059425i,-0.0029904+0.012734i,-0.0014797+0.0072459i,0.012028+0.0016208i,0.0030113+0.0045033i,-0.0049888+0.0093976i,0.0057438+0.0042466i,0.011853+0.0068525i,-0.0068037+0.0024705i,0.0078648+0.0086474i,0.012949+0.024377i,-0.061381-0.071087i,-0.035031-0.0067958i,0.011225+0.023317i,-0.0085536+0.021297i,-0.015105-0.025496i,-0.011372-0.0034068i,-0.020124+0.0021564i
-0.03895+0.0031187i,-0.063501-0.0035711i,-0.064297+0.020025i,-0.039752+0.012191i,-0.052344+0.023896i,-0.019833+0.045806i,-0.0099219+0.027268i,-0.033153+0.02872i,-0.028835+0.01674i,0.003853-0.0057728i,0.0066271-0.0094243i,-5.891e-05-0.0049494i,-0.005172-0.0038624i,0.0024651-0.0092054i,-0.0039237-0.00040159i,0.0019077-0.0011885i,-0.0049648-0.0082813i,-0.0014252-0.0022163i,0.0039893+0.0010649i,-0.00038793+0.0009054i,0.0024805-0.00034541i,0.0042845-0.0012132i,0.0029835-0.00056671i,0.002926-0.015083i,-0.0015966-0.00080585i,-0.0032331-0.0025979i,-0.00030428-0.0012704i,-0.00079033-0.0035105i,0.0010385-0.0012505i,0.002247+0.0022628i,-0.0054551+0.0013684i,0.0020036+0.0025636i,0.0010785+0.00367i,-0.0023267+0.001799i,-0.0033252+0.00065788i,0.007617-0.014114i,-0.002082+0.00026039i,-0.0017222+0.00089527i,-0.0058848-0.00080262i,-0.0021889+0.0073836i,0.0045794-0.0012884i,0.0022732-0.0027189i,-0.0036662-0.0010044i,-0.0012097+5.7071e-05i,-0.039107-0.019419i,0.014741-0.025884i,-0.06315-0.079597i,-0.037748-0.038493i,-0.053711-0.058944i,-0.051953-0.032122i,-0.099542-0.040116i,-0.071267-0.013126i,-0.064558-0.060304i,-0.010566-0.050935i,0.013158-0.032775i,-0.004614+0.0051366i,-0.0095385+0.0039324i,-0.0042574+0.010782i,0.0032637+0.017669i,0.0010925+0.0097198i,0.018343+0.019806i,0.005345-0.0078096i,-0.0097708+0.0097939i,-0.0036202+0.0061243i,0.0017435+0.0028966i,0.0072278+0.011565i,0.0051277-0.0056495i,-0.018461+0.0011559i,-0.016305-0.0019247i,0.00014701+0.0026384i,0.0069697+0.0097718i,0.0026184+0.0012576i,0.013623-0.010492i,0.0078875-0.0011002i,0.045117+0.0061799i,-0.0011787+0.0061528i,0.0030422+0.0030945i,0.0023636-0.0064527i,0.0064077+0.0011581i,0.0022869+0.01622i,0.0046746+0.0052704i,0.0093195-0.003967i,0.0053436+0.0011637i,-0.00046098+0.012517i,0.0053754+0.0034726i,0.011542+0.003167i,-0.0075127+0.0042003i,0.0053393+0.0046424i,0.0151+0.019759i,-0.063882-0.059789i,-0.031317+0.0063843i,0.011812+0.011342i,0.0011829+0.013636i,-0.026097-0.019759i,-0.015183+0.0056322i,-0.024273+0.004151i
-0.038361+0.008728i,-0.059609+0.0066742i,-0.056129+0.033161i,-0.037967+0.016852i,-0.044687+0.032511i,-0.01052+0.047213i,-0.006784+0.024654i,-0.028271+0.032749i,-0.023124+0.019389i,0.00073553-0.006279i,-5.147e-05-0.0090433i,-0.00061712-0.0035738i,-0.0042069-0.0023453i,-0.0013792-0.0087806i,-0.0037999+0.0017716i,0.00036845-0.0019705i,-0.0048393-0.0062216i,-0.0010693-0.00085557i,0.0037305-1.1744e-05i,0.00091594+0.0010346i,0.0036966-0.0010171i,0.003575-0.0018938i,0.0027655-0.0014045i,-0.0022444-0.0135i,-0.0017309+8.7226e-05i,-0.0039942-0.0011693i,-0.00074653-0.001419i,-0.0019002-0.0030241i,0.00042578-0.0016993i,0.0031682+0.00091871i,-0.0052242+0.0034036i,0.0020776+0.00098078i,0.0022671+0.0026388i,-0.001406+0.0026145i,-0.0032534+0.0016257i,0.0012893-0.011085i,-0.0021496+0.00033393i,-0.00069418+0.0010407i,-0.0062005+0.0017518i,0.00081641+0.0081741i,0.0032746-0.002767i,0.0027238-0.0022409i,-0.0040394+0.0001122i,-0.0021298+0.0034487i,-0.037629-0.010044i,0.026781-0.036005i,-0.080329-0.067729i,-0.042489-0.038041i,-0.057782-0.053729i,-0.056368-0.023565i,-0.10046-0.016986i,-0.066537-0.0029879i,-0.058835-0.042901i,-0.014574-0.055124i,0.00087093-0.03727i,-0.0020159+0.0063492i,-0.010492+0.001386i,0.0021428+0.011458i,0.0084448+0.012622i,0.0046029+0.0026198i,0.016546+0.0079516i,0.0011566-0.0083846i,-0.006393+0.013028i,-0.0038281+0.007803i,0.0013343+0.0015969i,0.007671+0.0068626i,0.0024723-0.0035757i,-0.014649+0.010087i,-0.01292+0.0053232i,0.001507+0.0010373i,0.010862+0.0066136i,0.0021131+0.00096721i,0.0040898-0.014001i,0.0047888-0.00423i,0.04062-0.0095144i,0.001395+0.0069964i,0.0022214+0.0019277i,-0.0014403-0.0049497i,0.0051155-8.4057e-05i,0.010177+0.016231i,0.0054643+0.0010388i,0.0068798-0.0056914i,0.0039383-0.0014384i,0.004348+0.016807i,0.0060247+0.0015932i,0.012037-0.00076716i,-0.0050683+0.0088694i,0.0055524+0.0036434i,0.017763+0.015658i,-0.070331-0.055907i,-0.024891+0.010225i,0.010827+0.0045909i,0.00081635+0.0045252i,-0.033961-0.010097i,-0.0097424+0.0091513i,-0.022927+0.0091301i
-0.035658+0.014327i,-0.055018+0.014944i,-0.044232+0.04226i,-0.034285+0.022217i,-0.034988+0.037771i,-0.001713+0.046858i,-0.0045058+0.0233i,-0.022167+0.036254i,-0.018006+0.020827i,-0.0020274-0.00594i,-0.0033704-0.0055367i,-0.00042997-0.0033394i,-0.0043399-0.0012222i,-0.0046679-0.0067701i,-0.0029081+0.0033453i,-0.0012857-0.001699i,-0.0062287-0.0063297i,-0.00075847-0.00056433i,0.0032614-0.0012661i,0.0016951+0.00024875i,0.0037599-0.0026774i,0.0034158-0.0025329i,0.002285-0.0020974i,-0.0063652-0.011355i,-0.0016866+0.00017169i,-0.0038648+0.00045261i,-0.0016534-0.0012081i,-0.0026629-0.0019667i,-0.00019276-0.0016846i,0.0026368-0.0012085i,-0.0041637+0.0053474i,0.0017865+0.00042237i,0.0028755+0.0011983i,0.00019117+0.0026426i,-0.0024416+0.0028856i,-0.0011254-0.0078441i,-0.0022835+0.00070428i,9.0624e-05+0.00060011i,-0.0031544+0.0045039i,0.0043376+0.0073106i,0.0021869-0.0030756i,0.0035441-0.0040075i,-0.0041163+0.001273i,-0.00042037+0.0032422i,-0.034225-0.0053994i,0.026045-0.058779i,-0.090445-0.049073i,-0.046437-0.036607i,-0.062748-0.052894i,-0.058098-0.014011i,-0.098034+0.0008523i,-0.060844+0.0039045i,-0.054814-0.032796i,-0.022258-0.057762i,-0.015295-0.037657i,-0.0002183+0.0055471i,-0.015891+0.0020791i,0.007122+0.0080035i,0.010782+0.0081869i,0.0025675-0.0029377i,0.01171+0.0035252i,-0.0034931-0.0087069i,-0.0015758+0.014509i,-0.0023339+0.0085409i,0.00095946+0.0012426i,0.0059439+0.0042479i,0.001951-0.0020635i,-0.0075955+0.014181i,-0.0076401+0.011288i,0.0026488-0.00068541i,0.014163+0.00090725i,0.0015886+0.0013244i,-0.0032928-0.010814i,0.0014946-0.0051011i,0.029938-0.022379i,0.0040215+0.0062096i,0.001992+0.003098i,-0.0042116-0.0020001i,0.0047348-0.0021118i,0.018023+0.011545i,0.004154-0.0016389i,0.0034224-0.0090094i,0.0023733-0.0023656i,0.010111+0.013781i,0.0050894+0.0010366i,0.009022-0.0053694i,-3.0014e-05+0.010401i,0.0061742+0.0010139i,0.020754+0.010839i,-0.078023-0.045753i,-0.019172+0.015458i,0.0095893-0.00036629i,-0.0027863+0.00165i,-0.036351+0.00037612i,-0.0069169+0.0078797i,-0.019419+0.012587i
