-0.023258-0.038983i,-0.010121-0.049265i,-0.016908-0.046129i,-0.03106-0.035815i,-0.029656-0.017248i,-0.050729-0.028766i,-0.05929-0.0264i,-0.044988-0.039257i,-0.029557-0.036912i,0.0070259+0.013286i,-0.0053423+0.015707i,-0.005031+0.01487i,0.0098107+0.021859i,6.9813e-05+0.0050415i,0.0036126+0.0032252i,0.0066603+0.018243i,0.027857+0.039172i,-0.0021762-0.00050154i,-0.0043018-0.0062242i,0.008307+0.0016978i,-0.00015204-0.00094378i,-0.00081578+0.0014834i,0.00018986-0.00044007i,-0.030827-0.0021994i,-0.0012439-0.0058671i,0.0017445+0.0046864i,0.0039898-0.00052969i,-0.00020524+0.00072814i,0.00054166-0.0006028i,2.641e-05-0.0024827i,-0.0015461-0.0062144i,-0.0045634-0.0042203i,-0.0018324-0.0051806i,0.0021862-0.00092902i,0.0024919-0.0027478i,0.0027052+0.02655i,0.001968-0.0029811i,0.002823+0.00054882i,0.0064274+0.0011102i,-0.010094-0.0032684i,-0.0029701+0.00087282i,0.0069118+0.0018126i,0.0050132+0.0004069i,-0.0039248+0.0056586i,0.0015581-0.0077518i,-0.011764+0.018732i,0.036662-0.090718i,0.012556-0.070588i,-0.015896-0.059848i,-0.016898-0.055992i,0.038934-0.047143i,0.01725-0.063024i,0.034538-0.056093i,0.03166-0.05966i,0.015397-0.013722i,0.0046562+0.016654i,0.016477-0.026627i,-0.011373+0.0060732i,-0.0008059+0.0054369i,-0.0054217-0.00067705i,-0.0025727-0.028745i,-0.023829+0.031587i,0.010547-0.011174i,-0.013096-0.0026087i,-0.00011205-0.0049671i,-0.0011628-0.016197i,-0.0073211+0.0051255i,0.0052189+0.0061158i,-0.008166+0.030955i,0.0050614+0.0060524i,-0.0051847-0.0007323i,-0.0032619-0.00038537i,-0.012151-0.0074538i,-0.00024704-0.0044053i,-0.029471+0.0064371i,0.00013399-0.0099583i,-0.0094516-0.0019718i,-0.0065237-0.0027543i,0.007087+0.003021i,-0.0075959+0.0010713i,0.00015506+0.0003136i,0.0058248+0.010782i,0.0038051+0.0014081i,-0.0093491-0.010395i,0.0032332+0.0080428i,-0.021602+0.0060436i,0.0081275+0.00014965i,-0.029117-0.004065i,-0.042194+0.0022687i,0.019776-0.09613i,-0.0019161-0.011748i,-0.053144-0.021848i,-0.023464+0.0011064i,0.018387+0.011017i,-0.024931+0.012732i,-0.018843-0.013216i
-0.031335-0.035714i,-0.016772-0.042449i,-0.024142-0.044502i,-0.037797-0.032205i,-0.027992-0.017475i,-0.057744-0.017429i,-0.061075-0.014311i,-0.050648-0.030982i,-0.034104-0.028835i,0.0080227+0.0097218i,-0.0033737+0.013273i,0.0019549+0.01684i,0.018252+0.014832i,-0.0006174+0.0063747i,0.0040757+0.0017634i,0.010388+0.012625i,0.034458+0.023858i,-0.00035426+0.002557i,-0.0058492-0.0020062i,0.0078797-0.0025945i,-0.00098816+0.000449i,-0.00099898+0.0021945i,-0.00010567-0.00013495i,-0.01815+0.012881i,-0.0030746-0.0040874i,0.0055203+0.0014154i,0.0031405-0.00048101i,0.00046553+0.0019943i,0.00078598-0.0010006i,-0.0010504-0.0031469i,-0.0018426-0.0051028i,-0.0051748-0.0023451i,-0.0033103-0.004569i,0.001485-0.0019557i,0.0015695-0.0017771i,0.010808+0.021814i,0.0017048-0.0035888i,0.0025095-0.00066311i,0.0084007-0.0015585i,-0.0069806-0.00092334i,-0.0022022+0.0030635i,0.0061331+0.0012689i,0.0044804-0.00043906i,-0.0052447+0.0077485i,0.0062536-0.010587i,0.0037699+0.024042i,0.019324-0.097084i,-0.0053109-0.077324i,-0.01221-0.0555i,-0.020871-0.045546i,0.033045-0.065679i,0.012847-0.081414i,0.035341-0.055842i,0.020353-0.068731i,0.0058573-0.0060315i,0.0068211+0.0054375i,0.0048199-0.027404i,-0.0079314+0.012031i,-0.00056854-0.0021291i,-0.0051433-0.001024i,-0.023598-0.027525i,-0.010027+0.029584i,0.0043052-0.015088i,-0.013849+0.0010916i,-0.0013902-0.0047734i,-0.0089425-0.01416i,-0.0076056+0.0089284i,0.0083449+0.0056685i,0.010874+0.027412i,0.0058083+0.0013759i,-0.0043108+0.0017205i,-0.0043326+0.0001001i,-0.016206+0.0026084i,-0.00075346-0.0029597i,-0.031551+0.014003i,-0.005113-0.0071854i,-0.0097205+0.0027873i,-0.0079935+0.0011998i,0.0057211-0.0029837i,-0.0074138+0.0028775i,0.0011638-0.00088218i,0.0053248+0.0043084i,0.0036847+0.00030844i,-0.014163-0.0017845i,0.0035827+0.0043864i,-0.015436+0.014291i,0.0063338-0.0037621i,-0.02767+0.0073571i,-0.041561+0.014402i,0.002246-0.096656i,-0.0059198-0.01522i,-0.059088-0.0066462i,-0.016151-0.0019616i,0.018079+0.0045606i,-0.018796+0.019224i,-0.026965-0.017312i
-0.036451-0.029233i,-0.019227-0.042006i,-0.030589-0.043285i,-0.043905-0.025382i,-0.02883-0.019339i,-0.061412-0.0048924i,-0.06362-0.0011154i,-0.05641-0.021839i,-0.037323-0.022751i,0.0082643+0.0069195i,-0.0007451+0.015546i,0.0088451+0.01345i,0.02066+0.0047483i,0.0010048+0.0077009i,0.0042609+0.00058089i,0.011381+0.0069533i,0.03798+0.011779i,0.0025946+0.0024301i,-0.0047914+0.001551i,0.0057162-0.0048944i,-0.0013436+0.0018406i,4.6812e-05+0.0033614i,-0.00020268+0.00015143i,-0.0064976+0.016777i,-0.0028938-0.0025695i,0.0058313-0.0028589i,0.0027233-0.0016947i,0.0021346+0.0018819i,-6.2758e-05-0.0013188i,-0.0021214-0.002863i,-0.00289-0.0050796i,-0.0054835-0.00036653i,-0.0047281-0.0030502i,0.00066759-0.0029351i,0.0026369-0.0042892i,0.016045+0.014475i,0.000643-0.0037434i,0.002028-0.0017053i,0.007616-0.0067218i,-0.0068275+0.00013135i,-0.0004658+0.0042784i,0.0058227-0.00060658i,0.0046502-0.0013774i,-0.0028285+0.010493i,0.0068213-0.018495i,0.020193+0.019698i,0.0021966-0.099101i,-0.023185-0.072675i,-0.0078038-0.061563i,-0.019569-0.044001i,0.021555-0.080825i,-0.0080716-0.096398i,0.040687-0.062518i,0.0070068-0.069566i,0.005524-0.0023044i,0.0052196+0.0010039i,-0.0034877-0.0281i,0.002588+0.010662i,-0.0071494-0.0042837i,-0.0041312-0.0031314i,-0.039032-0.015843i,-0.00072453+0.028058i,-0.0029445-0.014903i,-0.011304+0.0048378i,-0.0040787-0.004247i,-0.015833-0.0096515i,-0.0027892+0.013919i,0.011821+0.00015723i,0.021238+0.015413i,0.0051812-0.00071964i,-0.0036664+0.0010563i,-0.0045511+0.001816i,-0.012328+0.011487i,-0.0036242-0.0022434i,-0.025239+0.023661i,-0.0062239-0.0031176i,-0.0073829+0.0072965i,-0.0077001+0.00739i,0.00038543-0.0049306i,-0.0055873+0.0048765i,0.00031167-0.001738i,0.0029705+0.003053i,0.0034439-0.0014579i,-0.0088812+0.0060521i,0.0030364+0.0018751i,-0.0088636+0.016701i,0.0025214-0.0068203i,-0.021703+0.014881i,-0.034265+0.026331i,-0.010415-0.094609i,-0.012731-0.013702i,-0.057584+0.0080571i,-0.020322-0.0091253i,0.016567-0.0028116i,-0.0085246+0.01941i,-0.032271-0.012104i
-0.039449-0.022912i,-0.024953-0.044292i,-0.038382-0.042005i,-0.045527-0.017302i,-0.032803-0.02167i,-0.060848+0.0090612i,-0.06064+0.017638i,-0.060801-0.0087901i,-0.041247-0.014263i,0.0080383+0.0050031i,0.0053091+0.015819i,0.011548+0.00785i,0.01868-0.0040664i,0.0038624+0.0090251i,0.0035087-0.0012743i,0.010364+0.001305i,0.039862-0.004319i,0.0037486+0.00016176i,-0.003631+0.0041867i,0.0027364-0.0059511i,0.00031146+0.0032916i,0.0019628+0.0036595i,-0.00043325+0.00080393i,0.0033158+0.019716i,-0.0031415-0.0020381i,0.0032996-0.0053823i,0.0022817-0.0021344i,0.0024737-0.00016445i,-0.00036911-0.00055999i,-0.0036095-0.002295i,-0.0036932-0.004199i,-0.0048617+0.0012736i,-0.0055402-0.0010043i,-0.00058331-0.0032872i,-0.00057223-0.0056803i,0.015705+0.0077105i,-0.00072612-0.0039601i,0.0011973-0.0025048i,0.0032943-0.0094937i,-0.004704+0.0029562i,0.001326+0.003999i,0.0043871-0.0023005i,0.0039775-0.0030249i,0.0010165+0.010139i,0.0063451-0.024758i,0.033319+0.0085046i,-0.014398-0.096157i,-0.032651-0.063017i,-0.013459-0.067454i,-0.021799-0.043843i,0.0039948-0.096097i,-0.035252-0.096053i,0.037884-0.081806i,-0.0027043-0.067474i,0.0062149+0.00053092i,0.0018492-0.0036791i,-0.014636-0.02374i,0.0037164+0.002891i,-0.0095558-0.00092359i,-0.0084908-0.0055825i,-0.044592+0.0038931i,0.010155+0.022101i,-0.0087176-0.012527i,-0.007401+0.0057031i,-0.0054917-0.0017624i,-0.019949-0.001375i,0.0050598+0.012123i,0.012041-0.0056833i,0.023628+0.00396i,0.0053399-0.0029294i,-0.0045598+0.00088423i,-0.0040622+0.0041999i,-0.0064933+0.01742i,-0.0052885+0.00152i,-0.018577+0.030582i,-0.0063093-0.00059927i,-0.002084+0.0096148i,-0.0020376+0.011747i,-0.0041479-0.0026077i,-0.0025837+0.0040773i,7.9793e-05-0.0015328i,0.0021938+0.0028044i,0.0013704-0.0033752i,-0.0032548+0.004823i,-0.00048203-0.0006055i,-0.0047913+0.018857i,-0.0017099-0.0060771i,-0.013803+0.019499i,-0.023479+0.031029i,-0.021762-0.093079i,-0.010693-0.0081915i,-0.051873+0.024105i,-0.028176-0.0058476i,0.013462-0.0086731i,-6.233e-05+0.014921i,-0.032623-0.0047852i
-0.041029-0.016091i,-0.035075-0.042633i,-0.049595-0.038776i,-0.046028-0.011064i,-0.041142-0.022055i,-0.056881+0.021754i,-0.04609+0.029329i,-0.058021+0.0046006i,-0.038295-0.0059655i,0.0080698+0.0032295i,0.010923+0.01103i,0.012551+0.0037578i,0.013366-0.01026i,0.0086858+0.0076627i,0.0020624-0.0025407i,0.0068017-0.00145i,0.027944-0.021477i,0.003181-0.0010897i,-1.5006e-05+0.0078645i,0.00031442-0.0054715i,0.0019853+0.003794i,0.0028889+0.0022343i,-0.00036703+0.001651i,0.017461+0.012911i,-0.0039211-0.00026954i,0.00095222-0.0060788i,0.0010451-0.0028849i,0.0024066-0.00021399i,-0.00012665-0.00021025i,-0.0047169+0.00010109i,-0.0046822-0.0029429i,-0.0037098+0.0028493i,-0.0047886+0.0010205i,-0.0021125-0.0028226i,-0.0025857-0.0041718i,0.015738+0.0048755i,-0.0016772-0.0037023i,-0.00030245-0.0028563i,-0.00027709-0.0087235i,-0.0027594+0.00066405i,0.0022621+0.0031725i,0.0021747-0.0018919i,0.0028263-0.0038258i,0.0029574+0.0083496i,0.0017533-0.035605i,0.0425-0.0087168i,-0.025063-0.08837i,-0.037516-0.0542i,-0.020656-0.071973i,-0.024515-0.042466i,-0.024308-0.10456i,-0.057886-0.085302i,0.018426-0.096836i,-0.014391-0.061545i,0.0092296+0.002956i,-0.0029241-0.0052635i,-0.021407-0.014312i,0.00035814+0.00015753i,-0.010801+0.00062529i,-0.015359-0.0019204i,-0.039463+0.020884i,0.0137+0.011758i,-0.013559-0.0075763i,-0.0054233+0.0056284i,-0.0061456+0.0015755i,-0.018967+0.0087943i,0.0055675+0.0070369i,0.0095894-0.011108i,0.023447-0.0069461i,0.0033268-0.0063726i,-0.0065151+0.0033348i,-0.0016238+0.0066158i,0.0021954+0.018927i,-0.0039976+0.0059872i,-0.010922+0.037629i,-0.0070402+0.00061631i,0.0018707+0.0066979i,0.0044294+0.011109i,-0.0061301+0.00081954i,-0.0038769+0.0016772i,-0.0010956-0.0014698i,0.0010593+0.0049893i,-0.0024787-0.0037378i,-0.0031592+0.0022243i,-0.0033034+0.0019035i,0.0026331+0.020863i,-0.0048029-0.0042177i,-0.004982+0.020532i,-0.016028+0.033217i,-0.034896-0.088475i,-0.0052489-0.011662i,-0.040393+0.040037i,-0.030529+0.00403i,0.0084139-0.013395i,0.0011099+0.0072827i,-0.031173-0.0013609i
-0.040882-0.010709i,-0.041762-0.038574i,-0.061009-0.028461i,-0.046965-0.004902i,-0.052229-0.016335i,-0.048608+0.03238i,-0.033289+0.03208i,-0.05224+0.014616i,-0.03611-0.0022357i,0.0074096+0.0020651i,0.011376+0.0062557i,0.012461-0.0018799i,0.0065568-0.013535i,0.012176+0.0029964i,0.00020169-0.0029249i,0.0038946-0.0015948i,0.01172-0.025617i,0.0040238-0.0020945i,0.0049365+0.0067099i,-0.0015438-0.0040601i,0.0040136+0.0017683i,0.0028791+0.0012926i,0.00097381+0.0023049i,0.021217-0.0007412i,-0.0023832+0.0021112i,-0.001719-0.0056727i,-0.00091931-0.0009366i,0.0028538-0.0019879i,-0.00011872-0.00061704i,-0.0029106+0.0030602i,-0.0046656-0.0019237i,-0.0026641+0.0034069i,-0.004602+0.0030049i,-0.0028437-0.001018i,-0.0023228-0.0029038i,0.017042+0.0003729i,-0.0031506-0.0031057i,-0.0023039-0.0028373i,-0.0035408-0.0084373i,-0.0047991-0.00075996i,0.0035517+0.0022681i,0.0013867-0.0003752i,0.00076048-0.0047556i,0.0040581+0.0069634i,-0.0099607-0.040788i,0.034266-0.033441i,-0.028318-0.081473i,-0.041385-0.046927i,-0.030733-0.072001i,-0.026666-0.043856i,-0.053883-0.095724i,-0.07719-0.068191i,-0.0011913-0.10052i,-0.016238-0.047431i,0.017744+0.0061335i,-0.0066667-0.0026378i,-0.020734-0.0022628i,-0.00089232-0.00015815i,-0.014709+0.0044842i,-0.013769+0.0044869i,-0.029655+0.035499i,0.011507+0.0049463i,-0.012561+0.0003807i,-0.0069752+0.0052294i,-0.0030811+0.0048419i,-0.012139+0.015454i,0.006554+0.0075561i,0.0043287-0.018483i,0.013148-0.021146i,-0.0030533-0.009127i,-0.0066189+0.0075483i,0.00046364+0.006225i,0.0098132+0.0162i,0.00038538+0.0077552i,0.0048868+0.045682i,-0.0080003+0.0033116i,0.001879+0.0052685i,0.008667+0.0063123i,-0.004448+0.006736i,-0.0058162+0.0044295i,-0.0033248-0.00085761i,0.0048824+0.0062719i,-0.0034115+0.0020934i,-0.0055658+0.0025063i,-0.0009515+0.0070178i,0.0095126+0.017109i,-0.0065617-0.0023511i,0.00061861+0.016975i,-0.006225+0.035535i,-0.041255-0.079019i,-0.011889-0.023284i,-0.016054+0.045689i,-0.02616+0.011222i,0.0057538-0.020022i,0.00090378+0.0011982i,-0.03007+0.0051365i
-0.040059-0.0055483i,-0.052726-0.035381i,-0.068415-0.01451i,-0.045308+0.0027167i,-0.059832-0.0034471i,-0.039179+0.038942i,-0.023938+0.031747i,-0.045589+0.021403i,-0.037123+0.0019088i,0.008155-0.00013424i,0.013447+0.0034917i,0.008662-0.0069348i,-0.0010504-0.012137i,0.012427-0.0038613i,-0.0012812-0.0025318i,0.0022329-0.00041757i,-0.00034138-0.021265i,0.0027682-0.00463i,0.0061177+0.0025232i,-0.0024141-0.0015513i,0.0037981-0.00037132i,0.0041301+0.0011837i,0.0025641+0.0016414i,0.016032-0.010861i,0.00056875+0.0010298i,-0.0027254-0.003549i,-0.00020858-0.0014348i,0.0019904-0.0034967i,1.6466e-05-0.00045045i,-0.00043858+0.0037698i,-0.0052252-0.0010112i,-0.00094409+0.0038519i,-0.0025284+0.0048812i,-0.0024502+5.4452e-05i,-0.0032085-0.0035732i,0.015482-0.0052851i,-0.0037122-0.0012979i,-0.0032101-0.0012099i,-0.0073188-0.0049295i,-0.0078725+0.0018861i,0.0036885+0.00065053i,0.0027887-0.00085248i,-0.0011381-0.0042753i,0.0051257+0.0032785i,-0.022456-0.039219i,0.015254-0.040389i,-0.035551-0.083553i,-0.039801-0.039451i,-0.039135-0.069112i,-0.035922-0.046016i,-0.073388-0.080231i,-0.083657-0.042306i,-0.025905-0.10128i,-0.0098237-0.044026i,0.025243-0.0087215i,-0.0077663+0.0016447i,-0.015063+0.00030124i,-0.004784+0.00049105i,-0.012402+0.012983i,-0.011392+0.0072303i,-0.0091168+0.042332i,0.011195+0.0014421i,-0.011328+0.0020976i,-0.0041353+0.0069102i,-0.0013313+0.0043113i,-0.0047427+0.018579i,0.01078+0.0045303i,-0.0080057-0.019636i,-0.004986-0.021202i,-0.0060072-0.0021132i,-0.0029778+0.011273i,0.0032196+0.0048161i,0.015983+0.0078124i,0.0040552+0.0048365i,0.025517+0.039199i,-0.0042149+0.0067192i,0.0023314+0.0035381i,0.0092166+0.00086681i,0.0010439+0.0083432i,-0.0066687+0.0074691i,-0.0041684+0.003254i,0.0087345+0.0057989i,-0.001693+0.0048369i,-0.0064256+0.0052337i,0.0031695+0.0070609i,0.012402+0.011558i,-0.006252+0.00050972i,0.0057199+0.012596i,0.0046437+0.033295i,-0.048007-0.075736i,-0.027498-0.021694i,0.0014631+0.036315i,-0.023459+0.015525i,-0.0039051-0.026812i,-0.0033445-0.0031762i,-0.022377+0.0085679i
-0.039539-0.0013375i,-0.062861-0.023198i,-0.071562+0.0017255i,-0.041974+0.0074933i,-0.059678+0.011504i,-0.030873+0.043285i,-0.017076+0.03036i,-0.039156+0.025838i,-0.035826+0.009548i,0.0079018-0.0028679i,0.0139-0.0042856i,0.0028687-0.0072823i,-0.0047288-0.0076337i,0.0080145-0.0083585i,-0.0026716-0.0019471i,0.0030238-0.00020244i,-0.0065873-0.014206i,-0.0002169-0.0049299i,0.004731-2.0863e-05i,-0.0018958+0.00017351i,0.0021918-0.0010541i,0.0044731-0.0002634i,0.0029002+0.00041638i,0.0085089-0.015312i,-0.00023518-0.00086661i,-0.0025857-0.0025332i,-0.00042758-0.0016809i,0.0003073-0.0035253i,0.0010043-0.00034567i,0.00096568+0.0028814i,-0.0057542+0.00028114i,0.00069905+0.0033707i,-0.00020771+0.0053238i,-0.0022616+0.00039628i,-0.0048223-0.00057692i,0.011907-0.009582i,-0.0032483-0.00019795i,-0.0025593+0.00041579i,-0.0067262-0.0016161i,-0.0068681+0.0060782i,0.00345-0.00025735i,0.003267-0.0017299i,-0.002499-0.0032441i,0.0029283+0.0001002i,-0.031659-0.031582i,0.0062628-0.031057i,-0.047289-0.083878i,-0.037374-0.038065i,-0.047737-0.065091i,-0.046276-0.040721i,-0.089235-0.062957i,-0.077443-0.022583i,-0.053628-0.087657i,-0.0075133-0.049039i,0.022417-0.02129i,-0.0059944+0.0042201i,-0.013194+0.0040424i,-0.0075005+0.005309i,-0.0046913+0.018541i,-0.0076763+0.010978i,0.010816+0.035498i,0.0092863-0.0043081i,-0.01198+0.005024i,-0.0032179+0.0056647i,0.00088416+0.0048984i,0.0032766+0.015848i,0.011358-0.0030215i,-0.017455-0.010304i,-0.014917-0.010891i,-0.00334+0.0022607i,0.003405+0.011517i,0.0039172+0.0024798i,0.017738+0.00020012i,0.0062533+0.0036474i,0.038039+0.024157i,-0.0013629+0.0055975i,0.0008021+0.0037652i,0.0069006-0.0042162i,0.0055438+0.0054073i,-0.0049183+0.013737i,-0.0012478+0.0073401i,0.012822+0.00080958i,0.0028794+0.0050228i,-0.0055615+0.0086228i,0.0057551+0.0042236i,0.013203+0.0071006i,-0.0059235+0.0020187i,0.0071902+0.0075137i,0.011659+0.02733i,-0.056369-0.069278i,-0.034591-0.0085187i,0.010992+0.024015i,-0.011291+0.022288i,-0.016492-0.026791i,-0.011034-0.0023278i,-0.020691+0.0041306i
-0.039241+0.0036166i,-0.064957-0.0077385i,-0.06835+0.019051i,-0.040172+0.011575i,-0.054068+0.023395i,-0.021961+0.046893i,-0.011634+0.027987i,-0.034114+0.02898i,-0.030136+0.015535i,0.0062795-0.0056559i,0.0076591-0.0097594i,0.000436-0.0049504i,-0.0051958-0.0040159i,0.0033257-0.010082i,-0.0039122-0.00037783i,0.002705-0.0016053i,-0.006645-0.0078834i,-0.0017846-0.0033538i,0.003281-0.00037716i,-0.00066395+0.0010414i,0.0021877+4.9651e-05i,0.0042674-0.0014954i,0.0030559-0.00055589i,0.0017772-0.015209i,-0.0011225-0.0012312i,-0.0030793-0.0029041i,-0.00086442-0.0015664i,-0.00079696-0.003242i,0.00083216-0.0014885i,0.0020782+0.0023039i,-0.0056301+0.0017033i,0.0016945+0.0024941i,0.0015395+0.003977i,-0.002274+0.0017196i,-0.0035945+0.0004612i,0.0065749-0.012424i,-0.0022634+0.00051895i,-0.0017505+0.0011369i,-0.007596+0.0008563i,-0.0040823+0.0085144i,0.0032561-0.0010849i,0.0020795-0.0026762i,-0.0030282-0.0020462i,-0.00064921+0.00043487i,-0.036984-0.022417i,0.014381-0.025048i,-0.063117-0.080077i,-0.038829-0.0391i,-0.054175-0.059328i,-0.052458-0.032062i,-0.10032-0.040024i,-0.072331-0.012877i,-0.062123-0.061485i,-0.011133-0.053126i,0.013976-0.031894i,-0.0048309+0.0052803i,-0.0092385+0.0037261i,-0.0034946+0.011264i,0.0038576+0.01751i,0.00089356+0.010136i,0.018796+0.021322i,0.0052041-0.0068108i,-0.010445+0.0096157i,-0.003298+0.0054901i,0.001876+0.0029924i,0.0072301+0.011759i,0.0050569-0.0052942i,-0.019552+0.00053476i,-0.015986-0.0010951i,0.00032813+0.0024106i,0.006587+0.0096887i,0.002824+0.0012819i,0.014292-0.010641i,0.0068794-0.0010182i,0.042314+0.0063822i,-0.00097083+0.0062174i,0.002599+0.0035207i,0.0018911-0.0065221i,0.0058402+0.0023512i,0.001731+0.017144i,0.0047128+0.0055334i,0.010022-0.0051307i,0.0047857+0.0015936i,-0.0012998+0.012943i,0.0048781+0.0031422i,0.012423+0.0034925i,-0.0069947+0.0038777i,0.0044114+0.0047434i,0.014971+0.022113i,-0.062733-0.061521i,-0.032358+0.0046095i,0.011998+0.012307i,-0.00019479+0.015513i,-0.028302-0.020665i,-0.012902+0.0055761i,-0.023621+0.0061854i
-0.038306+0.0091083i,-0.062159+0.0036639i,-0.059207+0.033757i,-0.038739+0.016247i,-0.046518+0.03217i,-0.012652+0.048667i,-0.0083794+0.025663i,-0.02957+0.032961i,-0.024957+0.018389i,0.0031941-0.0069695i,0.00077419-0.0091812i,-0.00030988-0.003847i,-0.0042072-0.0023475i,-0.00081093-0.0098244i,-0.0037391+0.0017351i,0.00081409-0.0026394i,-0.0057713-0.0061171i,-0.0014212-0.0016705i,0.003293-0.00097461i,0.00069591+0.0011363i,0.0036224-0.00057555i,0.0036125-0.0020973i,0.0028817-0.0014363i,-0.0030799-0.013314i,-0.0016265-0.00086615i,-0.0044204-0.0017844i,-0.0012836-0.0014683i,-0.0018098-0.0030658i,0.00020896-0.0018385i,0.0030781+0.0009162i,-0.0049336+0.0033485i,0.0021958+0.0013144i,0.0024359+0.0027725i,-0.0012436+0.0026022i,-0.0037886+0.0014449i,0.0014192-0.010968i,-0.0021061+0.00040096i,-0.00067842+0.0013352i,-0.0055049+0.0047568i,-9.1582e-05+0.0097426i,0.0028281-0.0018802i,0.0019826-0.0024469i,-0.0030891-0.0011619i,-0.00089194+0.0035536i,-0.036817-0.01303i,0.027676-0.035186i,-0.079708-0.068029i,-0.043683-0.038737i,-0.058579-0.054062i,-0.056892-0.023518i,-0.10092-0.016824i,-0.067979-0.0022568i,-0.058394-0.045138i,-0.015998-0.057235i,0.0014667-0.036887i,-0.0023532+0.0065415i,-0.0097296+0.0013738i,0.0031442+0.011552i,0.0090419+0.012448i,0.0048883+0.0030644i,0.017512+0.0089937i,0.00036702-0.0074116i,-0.0067496+0.012724i,-0.0038338+0.0065397i,0.0014387+0.0016642i,0.0087369+0.0070191i,0.0028711-0.0032214i,-0.01577+0.010123i,-0.012025+0.0064674i,0.0015456+0.0015717i,0.010554+0.006771i,0.0021587+0.00082771i,0.0047797-0.014643i,0.0039588-0.003925i,0.03803-0.0093055i,0.0011788+0.0069337i,0.0017693+0.0021192i,-0.0019655-0.0048933i,0.0057953+0.00079504i,0.010036+0.016926i,0.0053774+0.0012i,0.0071106-0.0072357i,0.0037742-0.00063272i,0.005779+0.012919i,0.0056487+0.0018978i,0.012988-0.00077104i,-0.0046994+0.0083455i,0.0044999+0.0037598i,0.018262+0.01745i,-0.068677-0.05455i,-0.026011+0.011161i,0.011463+0.0056117i,0.0012594+0.0069662i,-0.035785-0.0097419i,-0.0085953+0.0080247i,-0.022687+0.0095583i
-0.035713+0.014532i,-0.057354+0.012375i,-0.046063+0.043177i,-0.035253+0.021631i,-0.037072+0.037728i,-0.0035743+0.048644i,-0.0057698+0.024466i,-0.023677+0.03677i,-0.02013+0.020731i,-1.9933e-05-0.0072881i,-0.0030161-0.0063861i,-0.00014655-0.0034974i,-0.0042408-0.0014047i,-0.0043835-0.0080243i,-0.0030404+0.0031468i,-0.0012056-0.0023348i,-0.0071486-0.0060553i,-0.0012851-0.0013772i,0.0027102-0.0015814i,0.0016077+0.00046702i,0.0037523-0.0021312i,0.0035239-0.0027316i,0.0022767-0.0022341i,-0.0069305-0.010965i,-0.0019276-0.00052404i,-0.0046089+7.8498e-05i,-0.0019426-0.00096778i,-0.0026529-0.0022955i,-0.00043217-0.0019288i,0.0023546-0.001204i,-0.0036579+0.0051767i,0.0018868+0.0005234i,0.0030334+0.0015576i,0.00030585+0.0023978i,-0.0031847+0.0029992i,-0.00064131-0.0081827i,-0.0018673+0.00071239i,0.00027769+0.0007928i,-0.0017745+0.0050864i,0.0045553+0.0087451i,0.0020661-0.0023749i,0.0017365-0.0028271i,-0.0033149-0.00052892i,0.00090468+0.0033539i,-0.033758-0.008457i,0.027461-0.058865i,-0.090249-0.049832i,-0.047736-0.036809i,-0.06363-0.052857i,-0.058633-0.014013i,-0.098258+0.00098903i,-0.062134+0.0053525i,-0.054892-0.034153i,-0.024122-0.058838i,-0.012327-0.037186i,-0.00020227+0.0057017i,-0.014859+0.0017769i,0.0075428+0.0074553i,0.010992+0.0069598i,0.0036741-0.0026802i,0.012778+0.0030095i,-0.0040907-0.0073443i,-0.0020765+0.013967i,-0.0026118+0.0081259i,0.00082417+0.0013957i,0.0068072+0.0034696i,0.0024467-0.0019022i,-0.0084442+0.014632i,-0.0062167+0.010773i,0.0035767-0.00028697i,0.013117+0.00072399i,0.0015186+0.0011842i,-0.0030179-0.012534i,0.0011658-0.0040751i,0.029373-0.020096i,0.0040536+0.0063458i,0.0010973+0.0031356i,-0.0048498-0.0020892i,0.0051943-0.0022382i,0.017649+0.011871i,0.0038718-0.0018423i,0.003437-0.0092192i,0.0023705-0.0022608i,0.010937+0.0086452i,0.0054936+0.0013613i,0.00951-0.0058487i,-5.2794e-05+0.010189i,0.0048558+0.0017795i,0.022081+0.012617i,-0.074909-0.045768i,-0.019414+0.016384i,0.010062+0.000133i,-0.0010663+0.0032693i,-0.037664+0.001784i,-0.006737+0.0072626i,-0.019968+0.01232i
