-0.023964-0.038712i,-0.010457-0.049961i,-0.017363-0.045582i,-0.030489-0.035289i,-0.029867-0.01695i,-0.050647-0.028649i,-0.058132-0.026511i,-0.044047-0.038252i,-0.024043-0.029293i,0.0078995+0.012853i,-0.005784+0.015749i,-0.0049461+0.014712i,0.0094018+0.020952i,0.00032363+0.0045972i,0.0035405+0.0034895i,0.0063588+0.018043i,0.024693+0.034046i,-0.0027869-0.0011156i,-0.0048936-0.0062901i,0.0066367+0.0028419i,-0.0002172-0.00086076i,-0.0012737+0.0016044i,0.00020486-0.00043853i,-0.029081-0.0025958i,-0.0014578-0.0057288i,0.0018809+0.0045774i,0.0032028-0.00039225i,-0.00023971+0.00076645i,0.00059591-0.00032936i,-0.00084252-0.0027118i,-0.0018885-0.0058331i,-0.0043552-0.0048093i,-0.0023872-0.0043012i,0.0024709-0.00042296i,0.0021828-0.0028564i,-0.0028299+0.025713i,0.001293-0.003463i,0.0028101+0.00088622i,0.0057975+0.0011967i,-0.011215-0.0018866i,-0.0039222+1.6434e-05i,0.0057005+0.00040457i,0.0063851+0.00054648i,-0.0035438+0.004851i,0.0021346-0.0095513i,-0.011651+0.017751i,0.035488-0.090124i,0.0125-0.07013i,-0.015465-0.059759i,-0.015024-0.056701i,0.039388-0.046336i,0.016708-0.062739i,0.034613-0.056011i,0.030881-0.060115i,0.015302-0.013265i,0.0044803+0.01736i,0.017579-0.026331i,-0.011769+0.0059675i,-0.00082882+0.0053253i,-0.0054047-0.0010397i,-0.0019038-0.028766i,-0.023538+0.031827i,0.010183-0.011269i,-0.012909-0.002944i,-0.00036033-0.0050201i,-0.0012263-0.016346i,-0.0079235+0.0044895i,0.0053661+0.0061025i,-0.008499+0.029639i,0.0052747+0.0057303i,-0.0052829-0.00071039i,-0.0031499-0.00026497i,-0.011532-0.0085353i,-0.00082483-0.0041978i,-0.033615+0.027974i,0.00029263-0.0098952i,-0.0089966-0.002303i,-0.0064712-0.0030117i,0.0063881+0.0032009i,-0.0074439+0.001592i,-8.8321e-06+0.0004513i,0.0062975+0.011715i,0.0036153+0.0012069i,-0.0092746-0.01008i,0.0032766+0.0081045i,-0.022664+0.0045032i,0.0080164-0.00011648i,-0.028907-0.003767i,-0.042036+0.0043115i,0.021135-0.098272i,-0.0016874-0.012387i,-0.052837-0.022214i,-0.02281+0.00063067i,0.018116+0.010954i,-0.024509+0.012968i,-0.019632-0.012028i
-0.031426-0.034594i,-0.017649-0.043342i,-0.024596-0.043746i,-0.037251-0.032263i,-0.028176-0.016987i,-0.057574-0.017067i,-0.060233-0.014895i,-0.049825-0.030206i,-0.027989-0.027955i,0.0089852+0.0088466i,-0.0038915+0.013374i,0.0020078+0.016512i,0.017002+0.014648i,-0.00037528+0.0059549i,0.0041571+0.0021381i,0.010074+0.012599i,0.029485+0.021146i,-0.0012845+0.0024722i,-0.006539-0.0018374i,0.0059234-0.0019562i,-0.0011386+0.00047481i,-0.0015737+0.0010144i,-0.0001698-0.0001331i,-0.017517+0.011587i,-0.0034742-0.0039551i,0.0048514+0.00097596i,0.00269-0.00041652i,0.00068134+0.0021344i,0.00093141-0.00076501i,-0.0019212-0.0029102i,-0.0021063-0.0044775i,-0.0056279-0.0027187i,-0.0034386-0.0042167i,0.0022156-0.0016718i,0.0013393-0.0019056i,0.0063798+0.02447i,0.00067289-0.004049i,0.002461-0.00032018i,0.0079043-0.0011969i,-0.0078878+0.00018962i,-0.0036161+0.0028771i,0.004938+3.6852e-05i,0.0057707-0.00080195i,-0.0053505+0.0066476i,0.0058642-0.012308i,0.0038193+0.022666i,0.018525-0.096339i,-0.0050388-0.076718i,-0.012279-0.055439i,-0.019486-0.046372i,0.033896-0.064906i,0.012578-0.081117i,0.035321-0.055686i,0.019486-0.069009i,0.005479-0.0059503i,0.0071456+0.0061038i,0.006-0.027103i,-0.0072033+0.010865i,-0.00028221-0.0030757i,-0.005321-0.0011318i,-0.023132-0.027737i,-0.0097434+0.029839i,0.0039536-0.01468i,-0.013709+0.00066744i,-0.0015549-0.0044815i,-0.0087399-0.014408i,-0.0080833+0.008758i,0.0084076+0.005647i,0.0092505+0.027655i,0.0065797+0.0012206i,-0.0044866+0.0018146i,-0.0043667+0.00012054i,-0.016509+0.0017764i,-0.0010561-0.0026831i,-0.040791+0.0027593i,-0.0048641-0.0070119i,-0.0095522+0.0028811i,-0.0078838+0.00081125i,0.0055686-0.0030424i,-0.0071629+0.0031197i,0.00099376-0.00073278i,0.0059992+0.0043825i,0.003297+0.00046071i,-0.013619-0.0011379i,0.0037366+0.0043196i,-0.017223+0.013367i,0.0059783-0.0038934i,-0.02755+0.0074679i,-0.040015+0.017591i,0.003612-0.1005i,-0.0060379-0.015704i,-0.058754-0.0076565i,-0.016051-0.0023155i,0.018094+0.0048409i,-0.018604+0.018985i,-0.027734-0.016051i
-0.035601-0.028237i,-0.021077-0.042617i,-0.030676-0.042136i,-0.043397-0.025592i,-0.028728-0.018868i,-0.060904-0.0045331i,-0.062903-0.001713i,-0.055323-0.021232i,-0.034082-0.023276i,0.0089252+0.0054863i,-0.001302+0.01562i,0.0086557+0.013073i,0.019798+0.0052734i,0.0012764+0.0070039i,0.0045225+0.00093965i,0.011186+0.0070986i,0.032677+0.013286i,0.0017874+0.0023722i,-0.0052896+0.0019682i,0.0046374-0.0036422i,-0.0014294+0.0018093i,0.00090395+0.0023658i,-0.0001249+0.00015644i,-0.0070143+0.015709i,-0.0030135-0.0022648i,0.0054446-0.002747i,0.0021852-0.0014854i,0.0024674+0.0018495i,0.00023944-0.001288i,-0.0027364-0.0022652i,-0.0028274-0.0042248i,-0.0058527-0.0004451i,-0.0046934-0.0028972i,0.0011475-0.0028581i,0.0026346-0.0041127i,0.014052+0.018287i,-0.00049239-0.0037473i,0.0021468-0.0012567i,0.0078747-0.0060066i,-0.0075654+0.0014932i,-0.001697+0.0046446i,0.0050068-0.0013491i,0.0057692-0.0022407i,-0.0037328+0.0092664i,0.006448-0.019656i,0.019765+0.018197i,0.0016301-0.098776i,-0.022629-0.072361i,-0.0074467-0.061202i,-0.018553-0.044793i,0.02266-0.080171i,-0.0079124-0.095959i,0.040214-0.062656i,0.0062048-0.069059i,0.0052772-0.0024969i,0.0057962+0.0011586i,-0.0020024-0.027472i,0.0030072+0.010319i,-0.0078326-0.0047595i,-0.004237-0.00315i,-0.038577-0.015854i,-0.0008995+0.028266i,-0.0030561-0.014803i,-0.011322+0.0049934i,-0.0040076-0.0039478i,-0.015988-0.010229i,-0.002744+0.01399i,0.011971+0.00027244i,0.020412+0.015217i,0.005924-0.00085168i,-0.0037018+0.0011645i,-0.0046362+0.0018367i,-0.012437+0.010942i,-0.0043213-0.0022528i,-0.021752+0.020257i,-0.0062419-0.0031998i,-0.0069595+0.0073178i,-0.0077012+0.0074191i,0.00032321-0.0053795i,-0.0055393+0.0049365i,0.00044691-0.0017219i,0.0028141+0.003018i,0.0034552-0.0010678i,-0.0079095+0.00576i,0.003083+0.0016739i,-0.0094775+0.016518i,0.0022588-0.0065545i,-0.021604+0.015167i,-0.029551+0.026465i,-0.0092116-0.097508i,-0.012393-0.013414i,-0.058011+0.007531i,-0.020282-0.0094157i,0.016867-0.0028052i,-0.0084965+0.019601i,-0.032936-0.010987i
-0.03818-0.022171i,-0.027057-0.044017i,-0.038056-0.040826i,-0.045318-0.017774i,-0.03233-0.021495i,-0.060289+0.0092426i,-0.059818+0.017328i,-0.059687-0.0085649i,-0.039164-0.015464i,0.0081568+0.0033499i,0.004825+0.015927i,0.011348+0.0075339i,0.018683-0.0032628i,0.0039672+0.0081362i,0.0038142-0.0010018i,0.010156+0.0013243i,0.036873+0.00054325i,0.0028866+0.00032805i,-0.0040815+0.0047623i,0.0023469-0.0048197i,0.00013289+0.0035145i,0.0021414+0.0036728i,-0.00040122+0.00067272i,0.0022351+0.018831i,-0.0030964-0.0020489i,0.0029285-0.0057146i,0.0017862-0.0020621i,0.002527-0.0001544i,-0.0002433-0.00070331i,-0.0040485-0.0016023i,-0.0032094-0.0035292i,-0.0052084+0.0017587i,-0.0053327-0.00068814i,-0.00014196-0.0034369i,-0.00056725-0.005541i,0.014987+0.010417i,-0.0016216-0.0036929i,0.0015543-0.0021126i,0.003647-0.008766i,-0.0046978+0.004062i,0.00017984+0.0049263i,0.0036987-0.002473i,0.0045823-0.00461i,-0.00036825+0.0097123i,0.0061976-0.025958i,0.033263+0.0073488i,-0.015385-0.095758i,-0.03187-0.062659i,-0.012777-0.067613i,-0.020914-0.044462i,0.0048448-0.095562i,-0.034299-0.096396i,0.037198-0.081686i,-0.0031591-0.067081i,0.0058349-0.00012338i,0.0022668-0.0037403i,-0.012149-0.022148i,0.0040383+0.0027294i,-0.0098724-0.001118i,-0.0087635-0.0056993i,-0.044651+0.0040473i,0.010127+0.022237i,-0.0090091-0.012251i,-0.0073551+0.0059478i,-0.0054656-0.0017368i,-0.020404-0.0016407i,0.0049032+0.012226i,0.01243-0.0058785i,0.026231-0.009086i,0.0057397-0.0030154i,-0.0042688+0.00094677i,-0.0042805+0.0042367i,-0.0060281+0.017212i,-0.0057821+0.0018695i,-0.011278+0.020468i,-0.0061783-0.00056293i,-0.0019821+0.0097657i,-0.0025034+0.012184i,-0.0046125-0.0026638i,-0.0024946+0.0041521i,2.3455e-05-0.0014107i,0.002007+0.002789i,0.0015715-0.0028069i,-0.0030286+0.0055398i,-0.00012114-0.00076816i,-0.0047703+0.018683i,-0.0021668-0.0054735i,-0.013581+0.019368i,-0.022493+0.028753i,-0.021474-0.095831i,-0.010275-0.0082425i,-0.051681+0.023698i,-0.028148-0.0065047i,0.013505-0.008753i,-2.2265e-05+0.015107i,-0.033481-0.0038693i
-0.039586-0.015829i,-0.03691-0.041762i,-0.048502-0.037279i,-0.046072-0.011455i,-0.040539-0.022029i,-0.056336+0.0218i,-0.045322+0.02886i,-0.05706+0.0045088i,-0.037426-0.007159i,0.0078469+0.0015078i,0.010415+0.011154i,0.012219+0.0036115i,0.013682-0.0096283i,0.0083139+0.0067257i,0.0024235-0.0023826i,0.0066084-0.0012189i,0.027442-0.016954i,0.0024965-0.00090462i,7.5262e-05+0.0086222i,0.00023968-0.0046996i,0.0018114+0.004038i,0.0030936+0.002267i,-0.00033331+0.0016106i,0.013539+0.014529i,-0.0040573-0.00036654i,0.00076379-0.0061358i,0.00075379-0.0024952i,0.0021852-6.4051e-05i,-0.00017503-0.00042258i,-0.0048308+0.00091341i,-0.0041199-0.002683i,-0.0041004+0.0034565i,-0.0043392+0.00084778i,-0.0019992-0.0030781i,-0.0027196-0.003842i,0.016223+0.007562i,-0.0022735-0.0032814i,6.9869e-05-0.0027259i,0.00012891-0.0078809i,-0.0029808+0.0017167i,0.0014565+0.0051765i,0.0014011-0.0018051i,0.0029604-0.0056701i,0.001248+0.0081306i,0.0010133-0.036459i,0.042174-0.010419i,-0.025462-0.087792i,-0.036662-0.053982i,-0.019866-0.072173i,-0.023485-0.043174i,-0.023437-0.10406i,-0.056767-0.086089i,0.01749-0.096455i,-0.014761-0.061285i,0.0090233+0.0021445i,-0.0028932-0.0055133i,-0.011736+0.0037643i,0.0003961-7.7244e-05i,-0.011085+0.00055409i,-0.015794-0.0021036i,-0.039197+0.021413i,0.013027+0.012016i,-0.013987-0.0075741i,-0.0055616+0.0060129i,-0.0060384+0.0014631i,-0.019078+0.0087425i,0.0056247+0.0072141i,0.010174-0.011079i,0.027614-0.0079744i,0.0036653-0.0064035i,-0.006155+0.0032608i,-0.0018579+0.0065832i,0.00205+0.018467i,-0.0043121+0.0064805i,-0.0051157+0.031022i,-0.0066285+0.00085146i,0.0017821+0.0069424i,0.0042016+0.011284i,-0.006392+0.0012723i,-0.0037408+0.0015043i,-0.001411-0.0017008i,0.00083937+0.004752i,-0.0021929-0.0035898i,-0.0026384+0.0030258i,-0.0028361+0.0017294i,0.0030896+0.021109i,-0.0048704-0.0034521i,-0.004866+0.020288i,-0.017029+0.03243i,-0.035573-0.090287i,-0.0049101-0.012024i,-0.040526+0.039668i,-0.030899+0.0030718i,0.0081602-0.014011i,0.00096916+0.0071694i,-0.031992-0.00030049i
-0.039211-0.010665i,-0.043543-0.037536i,-0.059648-0.027348i,-0.046963-0.0051386i,-0.051564-0.016639i,-0.04803+0.03213i,-0.032776+0.031636i,-0.051292+0.014407i,-0.035529-0.0029948i,0.0067301+0.00039246i,0.010972+0.0065625i,0.012084-0.0021039i,0.0072081-0.013222i,0.011398+0.0022656i,0.00052901-0.0029933i,0.003687-0.0013924i,0.013177-0.021247i,0.003517-0.0019461i,0.0053318+0.0074685i,-0.0016146-0.0033457i,0.0036974+0.0022025i,0.0030649+0.001171i,0.0010383+0.0023597i,0.021986+0.002405i,-0.0026499+0.0020205i,-0.001161-0.0054672i,-0.00090584-0.00095297i,0.0032954-0.00067452i,-0.00024136-0.00063129i,-0.0027843+0.0037208i,-0.0042639-0.0019384i,-0.0030224+0.0041968i,-0.0041291+0.0025683i,-0.0030956-0.0011726i,-0.0024504-0.0025119i,0.018826+0.0024777i,-0.0033656-0.0026428i,-0.0019773-0.0028709i,-0.0037562-0.0073599i,-0.0048514+0.00042795i,0.00769+0.00211i,0.00075431+0.00014151i,-0.00012179-0.0062856i,0.0026085+0.0077219i,-0.010698-0.041862i,0.033112-0.034526i,-0.028778-0.081138i,-0.040703-0.046835i,-0.029639-0.072257i,-0.026043-0.044524i,-0.0529-0.095282i,-0.076306-0.06913i,-0.0020725-0.099907i,-0.01659-0.046789i,0.017724+0.0044942i,-0.0065939-0.0030715i,-0.025438-0.0065143i,-0.0011501-0.00020934i,-0.015205+0.004676i,-0.01421+0.00451i,-0.029685+0.036054i,0.011023+0.0052079i,-0.012805+0.00021242i,-0.0071906+0.0057107i,-0.0030578+0.0048678i,-0.011901+0.015183i,0.0069025+0.007953i,0.0049001-0.018648i,0.01386-0.021126i,-0.0031452-0.0090872i,-0.0063726+0.0074443i,0.00016559+0.0061779i,0.0096888+0.016392i,0.00057078+0.0082768i,0.0070961+0.043956i,-0.007599+0.0031745i,0.0018114+0.0054502i,0.0083967+0.0064074i,-0.0041877+0.0075148i,-0.0055586+0.0039232i,-0.0036788-0.00089652i,0.0041056+0.0058292i,-0.0035151+0.0022502i,-0.0052052+0.0033596i,-0.00043924+0.0066406i,0.010245+0.017249i,-0.0064691-0.0018i,0.00084469+0.017457i,-0.0064263+0.036125i,-0.042053-0.080879i,-0.011611-0.023187i,-0.015964+0.045556i,-0.027485+0.010899i,0.0052299-0.022774i,0.00057024+0.0013421i,-0.029651+0.0062204i
-0.038756-0.0060525i,-0.054358-0.033842i,-0.066707-0.013887i,-0.045132+0.0027749i,-0.059346-0.0038873i,-0.038624+0.038601i,-0.023401+0.03128i,-0.044538+0.020714i,-0.03668+0.0014001i,0.0069721-0.0015323i,0.013273+0.0038014i,0.0081735-0.0068542i,-0.00037695-0.012283i,0.011625-0.0037331i,-0.0011767-0.002836i,0.0020872-0.00023695i,0.0031111-0.019019i,0.0021741-0.0045869i,0.0069554+0.0031219i,-0.0021331-0.0010996i,0.0040261-4.3341e-06i,0.0040767+0.0010321i,0.002631+0.0016781i,0.01762-0.0092559i,0.00047857+0.001219i,-0.002788-0.0030092i,-8.996e-05-0.0013954i,0.0044099-0.0029686i,-8.7256e-05-0.00031858i,-0.00026696+0.004146i,-0.0048284-0.0011639i,-0.00094432+0.0045791i,-0.0025202+0.0042212i,-0.0026436+9.1646e-05i,-0.0033516-0.0030898i,0.018156-0.0048446i,-0.003615-0.00099193i,-0.0027683-0.0013476i,-0.0092756-0.0026344i,-0.007293+0.0031706i,0.0045101+0.00069599i,0.0026474-0.00021206i,-0.002709-0.0051627i,0.0046781+0.0039982i,-0.023708-0.040231i,0.014017-0.040639i,-0.036087-0.082852i,-0.03935-0.03965i,-0.037712-0.06981i,-0.035377-0.046884i,-0.072498-0.080001i,-0.082817-0.043119i,-0.027342-0.10056i,-0.009701-0.043287i,0.024449-0.01105i,-0.0079949+0.0010094i,-0.016017-0.00052825i,-0.0050916+0.00037946i,-0.012766+0.013688i,-0.011728+0.007262i,-0.0086888+0.042544i,0.010857+0.0014783i,-0.011982+0.0019163i,-0.0040937+0.0076037i,-0.0013769+0.0042836i,-0.0052942+0.018658i,0.011229+0.0046598i,-0.0076071-0.019611i,-0.0042678-0.02171i,-0.0063362-0.002002i,-0.0024859+0.01108i,0.0030916+0.0050368i,0.016327+0.0079037i,0.0040909+0.0050948i,0.023527+0.041347i,-0.0039464+0.0059419i,0.002445+0.0034021i,0.0089649+0.001138i,0.0013043+0.0086837i,-0.0066124+0.0069967i,-0.0044058+0.003281i,0.0080021+0.0058633i,-0.0013818+0.0046862i,-0.0064252+0.005817i,0.0035137+0.0065631i,0.013666+0.011311i,-0.0059377+0.00068297i,0.0062619+0.013234i,0.0049624+0.032781i,-0.049788-0.078226i,-0.027087-0.021442i,0.0017044+0.036255i,-0.024738+0.015843i,-0.0035816-0.024135i,-0.0036017-0.0030745i,-0.021419+0.008836i
-0.038518-0.0019845i,-0.063677-0.021372i,-0.070151+0.0015211i,-0.041782+0.0072723i,-0.059314+0.011197i,-0.030543+0.042741i,-0.016515+0.029888i,-0.038805+0.024937i,-0.035099+0.0092916i,0.0061317-0.0033742i,0.013543-0.0039825i,0.0025949-0.0073254i,-0.0042889-0.0078077i,0.0074299-0.007812i,-0.0028189-0.002228i,0.0029627-0.00020583i,-0.0041407-0.014569i,-0.001011-0.0043263i,0.0055197+0.00069493i,-0.0013928+0.00026299i,0.0025098-0.00093216i,0.0043119-0.00039504i,0.0029921+0.00037894i,0.010053-0.014713i,-0.00010882-0.00088715i,-0.0022013-0.0020438i,-0.00036949-0.0017047i,-0.00017667-0.0036842i,0.00089341-2.8295e-05i,0.0010988+0.003137i,-0.0055776-5.46e-05i,0.00086497+0.0039916i,-0.00046208+0.0048648i,-0.0024904+0.00020085i,-0.0048068-0.00026943i,0.013701-0.010626i,-0.003136-1.1137e-05i,-0.0021648+8.9097e-05i,-0.0068729-0.004649i,-0.0052859+0.0068207i,0.0041428-0.00017669i,0.0034772-0.0010002i,-0.0043459-0.0038474i,0.0028844+0.00070395i,-0.033267-0.032492i,0.0057576-0.031404i,-0.047767-0.082669i,-0.037018-0.038037i,-0.047102-0.065961i,-0.045514-0.041447i,-0.088593-0.063255i,-0.07647-0.023427i,-0.054186-0.086173i,-0.007317-0.048514i,0.020715-0.023385i,-0.006296+0.0040014i,-0.014114+0.0040205i,-0.0082341+0.005322i,-0.0046751+0.018845i,-0.0081015+0.011152i,0.011015+0.036152i,0.0089457-0.0037824i,-0.012794+0.0048516i,-0.0026258+0.0058386i,0.00083448+0.0049109i,0.0029767+0.016177i,0.011711-0.0031033i,-0.016846-0.010487i,-0.013823-0.011129i,-0.0035119+0.0022895i,0.0040422+0.011298i,0.0039859+0.0025917i,0.017791+0.00072923i,0.006789+0.0040854i,0.03854+0.024555i,-0.0014565+0.0053148i,0.00083176+0.0035116i,0.0069983-0.0041918i,0.0055342+0.0056509i,-0.0050155+0.013629i,-0.0015633+0.0072707i,0.012511+0.0008885i,0.0030424+0.0048862i,-0.0049639+0.0088035i,0.006038+0.0037758i,0.014052+0.0059583i,-0.0059+0.0019885i,0.0082585+0.0076391i,0.011968+0.02671i,-0.059954-0.071383i,-0.034933-0.0087486i,0.011139+0.023521i,-0.011582+0.02296i,-0.01604-0.02507i,-0.011199-0.0025966i,-0.019873+0.0038326i
-0.038391+0.0025694i,-0.065268-0.0061063i,-0.067557+0.018941i,-0.039911+0.011684i,-0.053721+0.023248i,-0.021726+0.046266i,-0.01116+0.027499i,-0.034048+0.028361i,-0.029253+0.015068i,0.0044241-0.0052715i,0.0073851-0.0090303i,0.00021139-0.0049177i,-0.0049378-0.0043066i,0.0032021-0.009546i,-0.0041468-0.0004931i,0.0025584-0.0015607i,-0.0054146-0.0086133i,-0.0021921-0.0026513i,0.0036962+0.0011092i,-0.00043983+0.0008597i,0.0024912-9.1361e-05i,0.0039625-0.0015026i,0.0031278-0.00059139i,0.0032456-0.015254i,-0.001422-0.0011458i,-0.0025724-0.0024144i,-0.00069197-0.0016148i,-0.0012411-0.0033647i,0.00092807-0.0012397i,0.0022232+0.0025045i,-0.0057626+0.0012084i,0.00221+0.0027313i,0.0012414+0.003546i,-0.0026772+0.0015533i,-0.0035832+0.000567i,0.0074377-0.013759i,-0.0022355+0.0005865i,-0.0016134+0.00070823i,-0.0077022-0.0012828i,-0.002416+0.0080719i,0.004201-0.0014949i,0.0025938-0.0019509i,-0.0024655-0.00081106i,-0.0011099+0.00020997i,-0.039067-0.022759i,0.013227-0.025417i,-0.063199-0.078725i,-0.038124-0.039324i,-0.053681-0.05979i,-0.052054-0.033006i,-0.10016-0.040353i,-0.07157-0.013609i,-0.062825-0.060134i,-0.010962-0.052295i,0.011366-0.03175i,-0.0047992+0.0050877i,-0.0097311+0.0038874i,-0.0039319+0.011316i,0.0036156+0.017808i,0.00073771+0.010254i,0.020009+0.022389i,0.0050993-0.0061498i,-0.011713+0.0095289i,-0.0025796+0.0053442i,0.0019391+0.0030302i,0.0067906+0.011905i,0.0052739-0.0054831i,-0.01918+0.00049857i,-0.016107-0.0013956i,0.00022499+0.0024034i,0.00707+0.0098728i,0.0027702+0.0013056i,0.014146-0.010326i,0.0073772-0.00088003i,0.04288+0.005523i,-0.0010974+0.0058723i,0.0029057+0.003189i,0.001912-0.0065349i,0.0063559+0.0020354i,0.0014409+0.017813i,0.004546+0.0052355i,0.0099164-0.0051272i,0.0052105+0.0013618i,-0.00094277+0.014321i,0.0049734+0.0030473i,0.012515+0.0027786i,-0.0070081+0.0037666i,0.0054941+0.0044502i,0.015984+0.021704i,-0.065973-0.061545i,-0.033267+0.0050409i,0.01156+0.011888i,-0.00013878+0.016044i,-0.027742-0.018904i,-0.013701+0.0056859i,-0.023028+0.0061676i
-0.037877+0.0079674i,-0.062104+0.0051857i,-0.058966+0.033377i,-0.038297+0.016091i,-0.046143+0.031776i,-0.012411+0.04795i,-0.0080485+0.025215i,-0.029513+0.032392i,-0.023946+0.017683i,0.001491-0.0061077i,0.001132-0.0086121i,-0.0005095-0.003814i,-0.0041483-0.0026419i,-0.0011363-0.0095638i,-0.0038613+0.0015515i,0.00071458-0.0026258i,-0.0046843-0.0063985i,-0.0017671-0.00083354i,0.0029485+0.00010369i,0.00092672+0.0010426i,0.0037725-0.0007372i,0.0033453-0.0020052i,0.0029225-0.0015094i,-0.0018062-0.013716i,-0.0015671-0.0005355i,-0.003838-0.0013398i,-0.0010519-0.0017488i,-0.0024491-0.0030584i,0.00036154-0.001695i,0.0032288+0.0010219i,-0.0052921+0.0030195i,0.0024891+0.0013336i,0.0021769+0.0025067i,-0.0016072+0.0024952i,-0.003616+0.0015026i,0.0010255-0.012211i,-0.0023992+0.00032641i,-0.00066415+0.00099649i,-0.0076722+0.0037072i,0.0010419+0.0088359i,0.0030807-0.0024832i,0.0029731-0.00143i,-0.0037188+0.00017784i,-0.0021219+0.0035054i,-0.039012-0.013048i,0.02621-0.035272i,-0.078949-0.066744i,-0.04338-0.039004i,-0.057707-0.054493i,-0.056799-0.024297i,-0.10071-0.017507i,-0.067259-0.0027614i,-0.058708-0.044042i,-0.015765-0.056475i,-0.00016058-0.03553i,-0.0024459+0.0065946i,-0.010006+0.001123i,0.0027754+0.011719i,0.0090665+0.012773i,0.0047603+0.0031971i,0.01836+0.009409i,0.00088773-0.0070248i,-0.0073611+0.013587i,-0.002916+0.0060633i,0.0014699+0.0016741i,0.0080725+0.0073113i,0.0028362-0.0034136i,-0.015664+0.0097923i,-0.012868+0.0065464i,0.0013425+0.0012337i,0.011535+0.0074527i,0.0020097+0.00095906i,0.0049974-0.014218i,0.0042611-0.0040236i,0.036714-0.011455i,0.0009684+0.0066856i,0.0019919+0.0018024i,-0.0019212-0.0050166i,0.0056872+0.00050588i,0.0099701+0.0172i,0.0050443+0.00098595i,0.0071698-0.0070107i,0.004108-0.00091006i,0.0077146+0.016673i,0.0055289+0.0016827i,0.012741-0.0012145i,-0.0052395+0.0083317i,0.0054565+0.0033802i,0.019036+0.017016i,-0.070645-0.054665i,-0.027096+0.012134i,0.010612+0.0056346i,0.0013545+0.0067955i,-0.034943-0.0090674i,-0.0091707+0.0080881i,-0.021649+0.0091561i
-0.035698+0.013287i,-0.056958+0.013698i,-0.045472+0.043117i,-0.03501+0.021147i,-0.036782+0.037336i,-0.0037377+0.047927i,-0.0053069+0.024022i,-0.02364+0.036139i,-0.019493+0.019469i,-0.00137-0.0059603i,-0.0025007-0.0062657i,-0.00040078-0.0033137i,-0.0042012-0.0015535i,-0.0047335-0.0074678i,-0.0030544+0.0029283i,-0.0012191-0.0023366i,-0.0058864-0.0066951i,-0.0012836-0.00050483i,0.0023883-0.00094362i,0.00181+0.0002059i,0.0039665-0.002347i,0.003353-0.0025755i,0.0023435-0.0023517i,-0.0061195-0.011578i,-0.0016837-0.00029121i,-0.0038099+0.00045558i,-0.0018347-0.001255i,-0.0033019-0.0019232i,-0.00031163-0.0018563i,0.0026086-0.0010587i,-0.0041703+0.004927i,0.0022049+0.00050138i,0.0027743+0.0011338i,5.1071e-06+0.0024927i,-0.0027761+0.0029596i,-0.0010892-0.0085092i,-0.0029001+0.00072298i,0.00015784+0.00047485i,-0.0033041+0.0063562i,0.0048219+0.0076397i,0.00215-0.0028674i,0.0038023-0.0022952i,-0.0035847+0.0013752i,-0.00032533+0.0034105i,-0.035992-0.0074595i,0.025704-0.058337i,-0.088939-0.049036i,-0.04746-0.036999i,-0.062538-0.053566i,-0.058623-0.014543i,-0.098227+0.00014551i,-0.061459+0.004838i,-0.054854-0.033619i,-0.02416-0.058225i,-0.013398-0.036018i,-0.00020415+0.0058914i,-0.015672+0.0011347i,0.0075423+0.0075945i,0.011161+0.0073108i,0.0035136-0.002599i,0.013042+0.0034606i,-0.003135-0.0072622i,-0.0016037+0.014836i,-0.0019294+0.0069297i,0.00090629+0.0014712i,0.0063997+0.0041231i,0.0023355-0.0019479i,-0.0084482+0.014669i,-0.0067282+0.010526i,0.0033016-0.00044188i,0.014082+4.6757e-05i,0.0014948+0.0014781i,-0.0026773-0.012595i,0.0010973-0.0044244i,0.027503-0.019367i,0.0042944+0.0061104i,0.0014364+0.0029749i,-0.0050367-0.0020612i,0.0051048-0.0022279i,0.017137+0.01192i,0.0038376-0.0019024i,0.0037419-0.0088897i,0.0025044-0.0022784i,0.011931+0.009637i,0.0051511+0.0012868i,0.0091167-0.0061649i,-0.00059451+0.009992i,0.0056437+0.00094002i,0.022684+0.012174i,-0.077229-0.046335i,-0.02087+0.017744i,0.0097255+0.00034948i,-0.0013259+0.0030352i,-0.038019+0.0015071i,-0.0070477+0.0072111i,-0.019343+0.012113i
