-0.024385-0.040867i,-0.0098712-0.048595i,-0.016628-0.045964i,-0.030639-0.035767i,-0.029677-0.016669i,-0.050404-0.028403i,-0.058189-0.026479i,-0.044372-0.038926i,-0.028769-0.036819i,0.0066785+0.013571i,-0.0049689+0.015306i,-0.0055022+0.014663i,0.0095745+0.021865i,0.00031688+0.0045002i,0.0034544+0.0032913i,0.0062712+0.017929i,0.027001+0.039548i,-0.0022165-0.00063315i,-0.0040769-0.0063755i,0.0083581+0.0017089i,-7.4058e-05-0.00081391i,-0.00083072+0.0014838i,0.00027107-0.00048785i,-0.030797-0.0024941i,-0.0012608-0.0057812i,0.0018697+0.0048255i,0.0038147-0.00037339i,-0.00033206+0.0006342i,0.00049886-0.00069592i,-0.00024688-0.0025471i,-0.0018289-0.0060667i,-0.0041027-0.0042752i,-0.0021811-0.0051705i,0.0021492-0.00089783i,0.0024047-0.0029764i,0.0021444+0.026061i,0.0022823-0.0030442i,0.0029084+0.00016025i,0.0061628+0.001042i,-0.010341-0.0031658i,-0.0023817+0.00098223i,0.0070788+0.0016363i,0.0046762+0.00091017i,-0.0041422+0.0062502i,0.00081003-0.0081869i,-0.012026+0.017541i,0.036725-0.091016i,0.012512-0.069927i,-0.015462-0.059887i,-0.016534-0.055696i,0.039764-0.046327i,0.017527-0.062426i,0.034156-0.056115i,0.030281-0.06098i,0.015746-0.013083i,0.0043835+0.016605i,0.016805-0.026058i,-0.011406+0.0056241i,-0.00053811+0.0052923i,-0.005252-0.0010478i,-0.0024992-0.029288i,-0.023865+0.031956i,0.010563-0.011062i,-0.012938-0.0027428i,-0.00027971-0.0049682i,-0.0011405-0.01634i,-0.0076251+0.0046318i,0.0052728+0.0064719i,-0.008518+0.031507i,0.0046545+0.005828i,-0.0050234-0.00055973i,-0.0030221-0.000442i,-0.01229-0.0074407i,-0.00062847-0.0042857i,-0.030136+0.0062929i,9.791e-06-0.0098797i,-0.0093279-0.0020534i,-0.0065577-0.0026726i,0.0068881+0.0030659i,-0.007549+0.0013798i,-5.605e-05+0.00060374i,0.0058558+0.010994i,0.0042357+0.001017i,-0.009616-0.010213i,0.0029528+0.0083809i,-0.021073+0.0066186i,0.0082772+0.00093739i,-0.029807-0.0042639i,-0.042855+0.0022974i,0.020019-0.09679i,-0.0016176-0.012244i,-0.052908-0.021574i,-0.023013+0.00079522i,0.018419+0.011145i,-0.024618+0.012914i,-0.018953-0.013346i
-0.03281-0.037007i,-0.016351-0.042011i,-0.023918-0.044259i,-0.037579-0.032171i,-0.027829-0.016822i,-0.057273-0.017088i,-0.060475-0.014857i,-0.05014-0.030783i,-0.033496-0.029144i,0.0077708+0.01017i,-0.0032185+0.012664i,0.0015297+0.016774i,0.018102+0.014951i,-0.00059235+0.0058934i,0.0039972+0.001935i,0.0098401+0.012413i,0.033583+0.024636i,-0.00034254+0.0025928i,-0.0060264-0.0023512i,0.0081494-0.0026247i,-0.00091951+0.00063831i,-0.00091703+0.0021515i,-0.00010393-0.00024515i,-0.018557+0.012573i,-0.0030939-0.0039631i,0.0056316+0.0014683i,0.0027753-0.00051923i,0.00054489+0.002168i,0.0006362-0.0010727i,-0.0011801-0.0031321i,-0.0021339-0.004862i,-0.0048029-0.0025553i,-0.0035656-0.0044409i,0.0014012-0.0018688i,0.0015326-0.0020337i,0.010184+0.021808i,0.0017363-0.0038528i,0.0022507-0.00093692i,0.0082311-0.0017555i,-0.0073473-0.00078721i,-0.001584+0.0027257i,0.006193+0.00092488i,0.0045356+0.00026853i,-0.0052142+0.0081732i,0.0049678-0.010979i,0.0028598+0.023162i,0.01928-0.097695i,-0.0051777-0.076517i,-0.012099-0.055344i,-0.020474-0.045376i,0.034154-0.065305i,0.013609-0.081242i,0.03529-0.055591i,0.018409-0.069744i,0.0061176-0.005823i,0.0068312+0.0054008i,0.0054239-0.027066i,-0.0080649+0.011681i,-0.00057137-0.0027106i,-0.005174-0.0012768i,-0.023619-0.027602i,-0.010145+0.030022i,0.0042248-0.014645i,-0.013605+0.00081848i,-0.0015428-0.004482i,-0.0088905-0.01451i,-0.007751+0.0087458i,0.0084742+0.0060048i,0.010578+0.028229i,0.0058728+0.0013268i,-0.0042054+0.0018917i,-0.0043172+2.2705e-05i,-0.01634+0.0025251i,-0.00072114-0.0029755i,-0.032231+0.013853i,-0.005251-0.0068925i,-0.0095962+0.0027784i,-0.0081438+0.0010797i,0.0055963-0.0031038i,-0.007486+0.0030235i,0.0011654-0.00055525i,0.005346+0.0042709i,0.0037876-8.9368e-05i,-0.014199-0.001408i,0.0033186+0.0046063i,-0.015013+0.014791i,0.0066559-0.0031679i,-0.028754+0.0072708i,-0.042105+0.015228i,0.0026578-0.097205i,-0.0059977-0.015181i,-0.058739-0.0063448i,-0.016518-0.0021954i,0.018267+0.0046974i,-0.018893+0.019242i,-0.027295-0.017135i
-0.038369-0.030257i,-0.018932-0.042113i,-0.030246-0.042834i,-0.043527-0.025472i,-0.028438-0.018631i,-0.060758-0.0048253i,-0.063304-0.0015206i,-0.055834-0.021554i,-0.037028-0.023104i,0.0081381+0.0073026i,-0.00097549+0.014913i,0.0085689+0.013617i,0.02046+0.0049079i,0.00091135+0.0071694i,0.0043479+0.00085063i,0.010821+0.0069952i,0.03803+0.012994i,0.0028054+0.0022278i,-0.0048052+0.0013928i,0.0057861-0.0050018i,-0.0012056+0.0018515i,0.00024806+0.00343i,-0.00021031+6.02e-05i,-0.007116+0.016866i,-0.0028612-0.0023734i,0.0059628-0.0029505i,0.0024216-0.0014449i,0.002414+0.0018638i,-0.00021485-0.0013156i,-0.0021855-0.0027559i,-0.0029056-0.0045399i,-0.00527-0.00066088i,-0.0049959-0.0029368i,0.00064825-0.0026769i,0.0025689-0.0044076i,0.015572+0.014658i,0.00050666-0.0040139i,0.0017425-0.0018087i,0.0074525-0.0071208i,-0.0070205+0.00050271i,-7.3662e-05+0.0035375i,0.0057191-0.00098713i,0.0049852-0.0005817i,-0.0027501+0.010478i,0.0057494-0.018253i,0.01888+0.019321i,0.0016356-0.099687i,-0.022974-0.071895i,-0.0075329-0.06128i,-0.019215-0.043803i,0.022855-0.080516i,-0.0073779-0.096455i,0.04063-0.062354i,0.0049145-0.069566i,0.0057399-0.0019702i,0.0053521+0.00096763i,-0.0027052-0.0285i,0.0024667+0.010216i,-0.0073495-0.004894i,-0.0043724-0.0033531i,-0.038629-0.016004i,-0.00093468+0.028906i,-0.0027351-0.014503i,-0.01151+0.004587i,-0.0042243-0.004178i,-0.016098-0.0098803i,-0.0025833+0.013758i,0.012127+0.00031474i,0.02119+0.016425i,0.0052022-0.00066359i,-0.0037828+0.0012012i,-0.0045975+0.0017204i,-0.012308+0.011673i,-0.0039977-0.002522i,-0.025896+0.023783i,-0.0065286-0.0029288i,-0.0072047+0.0072407i,-0.0080054+0.007425i,0.00033049-0.005215i,-0.0057036+0.0049614i,0.00041989-0.0015244i,0.0027407+0.0029193i,0.0035665-0.001838i,-0.0090252+0.0059515i,0.0026392+0.0021049i,-0.008311+0.017042i,0.0032096-0.0059176i,-0.022685+0.015414i,-0.034384+0.027233i,-0.0099359-0.095555i,-0.012719-0.013705i,-0.057009+0.0080943i,-0.0211-0.0088674i,0.016453-0.0030027i,-0.0087406+0.019714i,-0.03243-0.011597i
-0.041619-0.023037i,-0.025152-0.044209i,-0.038133-0.041739i,-0.045077-0.017589i,-0.032134-0.021197i,-0.060312+0.0089588i,-0.060103+0.017577i,-0.060132-0.0087169i,-0.041017-0.014696i,0.008269+0.0052329i,0.0049097+0.015243i,0.011477+0.0080851i,0.018651-0.00379i,0.003555+0.0086641i,0.0036304-0.0010486i,0.0097652+0.0013638i,0.040128-0.0038321i,0.0038359-1.8404e-05i,-0.0038107+0.0039551i,0.0026563-0.005871i,0.00036965+0.0034391i,0.0021825+0.0036188i,-0.00050693+0.00060817i,0.0031179+0.020164i,-0.0030136-0.00198i,0.0033034-0.0056898i,0.0021648-0.0019145i,0.0026449-8.5789e-06i,-0.00046907-0.00049061i,-0.0037702-0.0022657i,-0.0034395-0.0037162i,-0.0049283+0.0009827i,-0.0058524-0.00086478i,-0.00058759-0.0031141i,-0.00063384-0.0057917i,0.015434+0.008027i,-0.00098567-0.0042068i,0.00092885-0.0023979i,0.0029775-0.0093901i,-0.0045582+0.0032543i,0.001408+0.0031988i,0.0040831-0.0027245i,0.0046863-0.0024156i,0.0013918+0.010318i,0.005453-0.024455i,0.032584+0.0087149i,-0.015233-0.096533i,-0.032241-0.062002i,-0.013152-0.067531i,-0.021449-0.0435i,0.005323-0.096352i,-0.034764-0.096558i,0.038311-0.082i,-0.0044227-0.067019i,0.0066272+0.00059333i,0.0018913-0.0036161i,-0.014043-0.024527i,0.0034935+0.0024429i,-0.0098077-0.0014858i,-0.0088615-0.005892i,-0.044367+0.0036979i,0.010464+0.022679i,-0.0085444-0.012327i,-0.0077516+0.005677i,-0.0056355-0.0018023i,-0.02008-0.001461i,0.0050488+0.011874i,0.012687-0.0057108i,0.023991+0.0047198i,0.0051768-0.0026527i,-0.0045119+0.0010489i,-0.0039788+0.0041227i,-0.0063336+0.017699i,-0.0056602+0.0016547i,-0.019077+0.031175i,-0.0066089-0.00021409i,-0.00199+0.009754i,-0.0020104+0.011773i,-0.0045036-0.0026869i,-0.0025483+0.0044325i,6.6742e-05-0.0011451i,0.0018668+0.0028887i,0.0013059-0.003476i,-0.0032239+0.0051874i,-0.00058108-0.00027018i,-0.0042195+0.018927i,-0.0012193-0.0054143i,-0.014393+0.020103i,-0.023726+0.031825i,-0.021632-0.094222i,-0.011018-0.0085757i,-0.051174+0.023753i,-0.028858-0.0056704i,0.013244-0.008756i,-0.00014069+0.014958i,-0.032631-0.0042422i
-0.043053-0.015322i,-0.035175-0.042527i,-0.048967-0.038214i,-0.045461-0.01144i,-0.040425-0.021846i,-0.056283+0.021556i,-0.045608+0.029107i,-0.057504+0.0045977i,-0.038263-0.0063809i,0.0083895+0.0033762i,0.010119+0.010593i,0.012593+0.0040621i,0.013399-0.00997i,0.0082902+0.0076272i,0.002111-0.0024097i,0.0061951-0.0011847i,0.028195-0.021014i,0.00334-0.001452i,-0.00044393+0.0075837i,0.00022867-0.0051723i,0.0022758+0.0039356i,0.0030134+0.0021275i,-0.0005159+0.0015377i,0.017505+0.013312i,-0.0038772-0.00010492i,0.0008449-0.0064181i,0.00088842-0.002687i,0.0027664+3.2141e-05i,-0.00025683-0.00018995i,-0.0047985+0.00024063i,-0.0043613-0.0025505i,-0.0039036+0.0026407i,-0.0050465+0.0012289i,-0.0022335-0.0025918i,-0.0028047-0.0040896i,0.015505+0.0052966i,-0.002066-0.0038394i,-0.00057277-0.0026682i,-0.0003166-0.008618i,-0.0023936+0.00087417i,0.0020265+0.0024126i,0.001673-0.0021177i,0.0038124-0.0038411i,0.0033984+0.0082304i,0.00091071-0.034868i,0.041833-0.0086493i,-0.025655-0.088439i,-0.036853-0.053155i,-0.020272-0.071829i,-0.02389-0.042328i,-0.023143-0.10489i,-0.057795-0.085923i,0.01864-0.097402i,-0.015716-0.060905i,0.0097257+0.0029954i,-0.0031131-0.0051663i,-0.02105-0.015223i,7.9474e-05-0.00016475i,-0.011314+2.3511e-05i,-0.016143-0.002366i,-0.039591+0.020665i,0.013753+0.01215i,-0.013872-0.0078058i,-0.0059117+0.0054963i,-0.0062617+0.0015193i,-0.0191+0.0086754i,0.0055749+0.0068234i,0.010383-0.011383i,0.024034-0.0068002i,0.0035306-0.0058519i,-0.0066099+0.0032003i,-0.0014275+0.0064485i,0.0021624+0.018975i,-0.004077+0.0061622i,-0.01087+0.038177i,-0.00711+0.0010685i,0.0019189+0.0067641i,0.0042673+0.010959i,-0.0062039+0.0010303i,-0.0034164+0.0016872i,-0.00092639-0.0013152i,0.00098327+0.0048777i,-0.0027833-0.0037481i,-0.0028147+0.0023295i,-0.0034798+0.0023675i,0.0030827+0.020833i,-0.0040092-0.0037171i,-0.005436+0.021118i,-0.016013+0.034121i,-0.035319-0.089639i,-0.0055311-0.011949i,-0.040206+0.039614i,-0.031005+0.0045296i,0.0076621-0.013589i,0.00074751+0.0072345i,-0.031238-0.0006267i
-0.042396-0.0091174i,-0.041883-0.038532i,-0.06039-0.028023i,-0.046282-0.0051842i,-0.051453-0.016412i,-0.048073+0.032035i,-0.032828+0.031914i,-0.051748+0.014626i,-0.035984-0.0025369i,0.0079123+0.0021397i,0.010498+0.006326i,0.012703-0.0017707i,0.0065811-0.013366i,0.011803+0.0031759i,0.0002073-0.0028312i,0.0033659-0.001121i,0.012216-0.02523i,0.0040506-0.0025855i,0.004373+0.0067528i,-0.0016392-0.003735i,0.0041525+0.0019391i,0.0030583+0.0011527i,0.00086711+0.0023556i,0.021188-0.00043752i,-0.0022103+0.0022096i,-0.0019986-0.0059297i,-0.00090572-0.00089979i,0.0033421-0.0018044i,-0.00019387-0.00040419i,-0.0030414+0.0030997i,-0.0042697-0.0017083i,-0.002978+0.0033475i,-0.004675+0.0030397i,-0.0028643-0.0007332i,-0.0025703-0.0027797i,0.016862+0.00097257i,-0.0036394-0.0030785i,-0.0024396-0.0025555i,-0.0037948-0.008622i,-0.0043336-0.00084043i,0.002998+0.0016788i,0.00097289-0.00042778i,0.0015097-0.0050385i,0.0045401+0.0068659i,-0.010631-0.040047i,0.033257-0.032918i,-0.02895-0.081408i,-0.040668-0.046134i,-0.030334-0.071922i,-0.025968-0.043821i,-0.052953-0.095934i,-0.077415-0.068469i,-0.0011133-0.10128i,-0.01713-0.046314i,0.018276+0.005793i,-0.0068581-0.0025293i,-0.020685-0.0027341i,-0.0011713-0.00047074i,-0.015215+0.0041761i,-0.014596+0.0045848i,-0.02986+0.035602i,0.011788+0.0051857i,-0.012923+0.00029411i,-0.0075024+0.0053374i,-0.003238+0.0050233i,-0.012443+0.015455i,0.0066922+0.0077495i,0.0048139-0.019105i,0.013602-0.021126i,-0.0025463-0.008761i,-0.0069193+0.0075459i,0.00025277+0.0061655i,0.0095828+0.016084i,0.00039853+0.0078377i,0.0050777+0.046087i,-0.007911+0.0035383i,0.0018006+0.0053981i,0.0083904+0.0061222i,-0.004229+0.0067523i,-0.0053966+0.0041288i,-0.0031611-0.0007583i,0.0046229+0.0059616i,-0.0037009+0.0020361i,-0.0052623+0.0024988i,-0.00074535+0.0072653i,0.0096153+0.016945i,-0.0058842-0.0023334i,0.00052948+0.018066i,-0.0056898+0.036507i,-0.041633-0.080582i,-0.012197-0.023193i,-0.015916+0.045355i,-0.026345+0.011814i,0.005168-0.019694i,0.00055404+0.0012705i,-0.029893+0.0061585i
-0.041012-0.0035973i,-0.053042-0.035314i,-0.067619-0.014046i,-0.044659+0.0024037i,-0.059235-0.0036689i,-0.038656+0.038473i,-0.02333+0.031578i,-0.045011+0.021349i,-0.037038+0.001726i,0.008717-0.00029998i,0.012854+0.0038486i,0.0088008-0.0067423i,-0.0011563-0.01204i,0.012328-0.0036451i,-0.0012943-0.0024708i,0.002002+5.7741e-05i,0.00028642-0.021326i,0.0024972-0.0051479i,0.0058644+0.002851i,-0.0025092-0.0013214i,0.0041114-0.00025593i,0.0040687+0.0011153i,0.0024874+0.0017929i,0.016207-0.010379i,0.00082182+0.0011289i,-0.0030592-0.0037024i,1.7593e-05-0.0013548i,0.0023216-0.0035235i,9.0354e-05-0.0002764i,-0.00064698+0.0037785i,-0.004713-0.00097491i,-0.0013543+0.0038712i,-0.0025995+0.0047913i,-0.0023106+0.00033253i,-0.0035644-0.0032978i,0.015548-0.0046842i,-0.003953-0.0012166i,-0.0031671-0.0010242i,-0.0075648-0.0048135i,-0.0075033+0.0014975i,0.0030298+0.00053598i,0.0023712-0.00085563i,-0.00079968-0.0048145i,0.005657+0.0030788i,-0.023115-0.038237i,0.014922-0.039303i,-0.036095-0.083063i,-0.039194-0.038853i,-0.038462-0.069223i,-0.035338-0.046244i,-0.07243-0.080369i,-0.083699-0.042208i,-0.026612-0.10203i,-0.010227-0.042814i,0.025916-0.0092273i,-0.0079797+0.0017181i,-0.015138-0.00025282i,-0.0049838+0.00012978i,-0.01258+0.012839i,-0.011897+0.0075862i,-0.0092826+0.042314i,0.011457+0.0014737i,-0.011868+0.0017826i,-0.0044331+0.007415i,-0.0014187+0.0044301i,-0.0050518+0.019036i,0.010927+0.0044844i,-0.0081881-0.02003i,-0.0044303-0.021555i,-0.0057362-0.0019021i,-0.0029566+0.01133i,0.0032554+0.0050744i,0.015654+0.0077773i,0.0037962+0.0049463i,0.02595+0.0398i,-0.0039075+0.0067266i,0.0024122+0.0035111i,0.0090355+0.0011062i,0.0010107+0.008449i,-0.0062192+0.0070534i,-0.0040662+0.0032028i,0.008391+0.0056271i,-0.001759+0.004789i,-0.0064699+0.0051315i,0.003379+0.0072469i,0.012429+0.011565i,-0.0057276+0.0005272i,0.006387+0.013781i,0.0052769+0.033653i,-0.049071-0.077713i,-0.027603-0.02222i,0.0016757+0.036188i,-0.022804+0.01586i,-0.0043104-0.026363i,-0.0033035-0.0030493i,-0.021854+0.0090667i
-0.039709+0.00090619i,-0.06315-0.023016i,-0.07079+0.0017525i,-0.041407+0.0071181i,-0.059174+0.011328i,-0.030377+0.042744i,-0.016329+0.030044i,-0.038667+0.025642i,-0.035579+0.0093035i,0.0083441-0.0031025i,0.013467-0.0040022i,0.002886-0.0074414i,-0.0047958-0.0072938i,0.0080063-0.0081505i,-0.0026357-0.0019101i,0.0028868+6.9465e-05i,-0.0062777-0.014637i,-0.00052205-0.0050208i,0.0044272+0.00036451i,-0.0018397+0.00042974i,0.0024926-0.00099373i,0.0043163-0.00048731i,0.0029787+0.00062659i,0.0087937-0.015024i,6.1274e-05-0.00091167i,-0.003033-0.0026409i,-0.00021155-0.001779i,0.00054429-0.0033559i,0.0011902-0.00016454i,0.00069218+0.0029705i,-0.0053058+5.8812e-05i,0.00024583+0.0036892i,-0.00018559+0.0052335i,-0.0022055+0.00046179i,-0.0050213-0.00026202i,0.012092-0.0091167i,-0.0034708-3.037e-05i,-0.0025738+0.00062539i,-0.0070078-0.0012601i,-0.0067485+0.0056308i,0.0028997-0.00012387i,0.002807-0.0016512i,-0.0025423-0.0040487i,0.0036083+5.7472e-05i,-0.031948-0.030726i,0.0070632-0.030593i,-0.047517-0.08313i,-0.036569-0.037325i,-0.047036-0.065417i,-0.045584-0.041214i,-0.088331-0.063681i,-0.077015-0.02253i,-0.054688-0.087877i,-0.0076801-0.048171i,0.022789-0.022161i,-0.0063388+0.004333i,-0.013556+0.0040044i,-0.0078798+0.0053486i,-0.0047514+0.018481i,-0.007915+0.011386i,0.010182+0.035805i,0.0094984-0.004294i,-0.012795+0.0048399i,-0.0030886+0.0060214i,0.0011092+0.0051097i,0.0035243+0.016203i,0.011542-0.0029345i,-0.017597-0.010381i,-0.014923-0.011396i,-0.0029837+0.0022253i,0.0036461+0.011432i,0.0042061+0.0025973i,0.017897+0.00020846i,0.0064021+0.0041297i,0.038787+0.024641i,-0.00088462+0.0053638i,0.00074463+0.0038456i,0.0070448-0.0042283i,0.0056845+0.0056245i,-0.0045254+0.013545i,-0.0011341+0.0073738i,0.012476+0.00053601i,0.0027063+0.0052077i,-0.0054778+0.0087457i,0.0058458+0.0042301i,0.013229+0.0068888i,-0.0057022+0.0016184i,0.0082378+0.0079513i,0.012503+0.027384i,-0.058133-0.07133i,-0.034927-0.0087289i,0.010896+0.023579i,-0.010309+0.022066i,-0.016434-0.026001i,-0.010681-0.0026829i,-0.019902+0.0043182i
-0.038542+0.0056483i,-0.06536-0.0078013i,-0.067499+0.019115i,-0.03991+0.011366i,-0.053573+0.023212i,-0.021428+0.046304i,-0.010983+0.027522i,-0.033671+0.028915i,-0.030119+0.01532i,0.0065605-0.0059596i,0.0071928-0.0091962i,0.00031531-0.0049473i,-0.005157-0.0037006i,0.0033536-0.009797i,-0.0038369-0.00041907i,0.0026118-0.0013648i,-0.006589-0.0081507i,-0.0020709-0.0035035i,0.0033323-2.9086e-05i,-0.00050226+0.0011452i,0.0024299-6.6742e-05i,0.0041363-0.0016091i,0.0031937-0.00033119i,0.0021554-0.015064i,-0.00097625-0.0011686i,-0.0034715-0.0027221i,-0.00060061-0.0017124i,-0.00059237-0.003229i,0.0011372-0.0014907i,0.0018438+0.0025362i,-0.0054023+0.0012707i,0.0014705+0.0029342i,0.0016503+0.0038137i,-0.0021466+0.0017431i,-0.0037184+0.00062859i,0.0068537-0.012051i,-0.0023122+0.00074431i,-0.0017006+0.0013523i,-0.0076269+0.00098885i,-0.0043031+0.0079977i,0.002756-0.00077479i,0.0016155-0.0026444i,-0.0034598-0.0024494i,-0.00031218-8.4731e-05i,-0.036887-0.021545i,0.015008-0.025099i,-0.063031-0.079419i,-0.037787-0.038839i,-0.053543-0.059459i,-0.051982-0.032856i,-0.099825-0.040722i,-0.071719-0.012934i,-0.063466-0.060912i,-0.011423-0.05242i,0.013843-0.032618i,-0.0046571+0.00523i,-0.0092557+0.0037924i,-0.0035918+0.011221i,0.0036072+0.017707i,0.0009429+0.01031i,0.018322+0.022265i,0.0051306-0.0064022i,-0.010948+0.009255i,-0.0030486+0.0058013i,0.002177+0.003028i,0.0072504+0.011805i,0.0050812-0.005448i,-0.019814+0.00064102i,-0.016059-0.0014254i,0.00083702+0.0018827i,0.0067341+0.0096142i,0.0029282+0.0011997i,0.014107-0.011048i,0.0071794-0.00049264i,0.043253+0.0063601i,-0.00049284+0.0056763i,0.0028359+0.0033586i,0.0018342-0.00665i,0.0062635+0.0022493i,0.0021888+0.016862i,0.0050396+0.0052272i,0.0099338-0.0051799i,0.0048763+0.0015792i,-0.0014808+0.012872i,0.0051345+0.0032215i,0.012201+0.0034697i,-0.0069355+0.0034132i,0.0053369+0.0051523i,0.01642+0.021959i,-0.065097-0.063214i,-0.032273+0.0047946i,0.011957+0.012082i,0.00034575+0.01489i,-0.028023-0.019895i,-0.013145+0.0057058i,-0.023367+0.0060629i
-0.037252+0.010792i,-0.062692+0.0037576i,-0.058652+0.033467i,-0.03854+0.016083i,-0.045923+0.031968i,-0.012132+0.048013i,-0.0077746+0.025155i,-0.028919+0.032726i,-0.025033+0.018259i,0.0033976-0.0074308i,0.00070303-0.0085259i,-0.00045128-0.0038572i,-0.0040867-0.0021086i,-0.00078271-0.0095784i,-0.0037089+0.001678i,0.00092022-0.0024558i,-0.0058137-0.0061454i,-0.0020754-0.001586i,0.003412-0.00058243i,0.00086583+0.0011084i,0.0036805-0.00064428i,0.0035113-0.0021907i,0.0031305-0.001265i,-0.0027082-0.013276i,-0.0013224-0.00086083i,-0.004776-0.001383i,-0.0010535-0.0017424i,-0.0017477-0.003162i,0.00045931-0.0019859i,0.0028305+0.0011942i,-0.0049795+0.0028293i,0.0022259+0.0017062i,0.0024618+0.0025769i,-0.00099664+0.0025322i,-0.0038731+0.0016089i,0.0016306-0.010704i,-0.0020306+0.00047389i,-0.0005074+0.001515i,-0.0058512+0.0050122i,-0.00038121+0.0094265i,0.0024033-0.0013182i,0.0016283-0.0023145i,-0.0035856-0.0012632i,-0.0007623+0.0031323i,-0.036669-0.012411i,0.028172-0.035785i,-0.079543-0.067551i,-0.042762-0.038701i,-0.057795-0.054357i,-0.056718-0.024284i,-0.10063-0.017619i,-0.067271-0.0024352i,-0.058966-0.044245i,-0.016375-0.056262i,0.0010788-0.037465i,-0.0022396+0.0062735i,-0.0097697+0.0011171i,0.0029495+0.011505i,0.0090806+0.012686i,0.0049224+0.0031076i,0.017572+0.01003i,0.00063762-0.0070222i,-0.0073626+0.012583i,-0.0034566+0.0067691i,0.0016363+0.0015311i,0.0086534+0.0069852i,0.0027259-0.0031954i,-0.015989+0.010422i,-0.012274+0.0063689i,0.0016693+0.00074479i,0.010875+0.0068561i,0.0021436+0.00092372i,0.0044175-0.014831i,0.0042622-0.0036121i,0.038704-0.0096197i,0.001596+0.0060742i,0.0017967+0.0019984i,-0.0020111-0.004911i,0.0057773+0.00043689i,0.010235+0.016294i,0.0053252+0.00089988i,0.0069659-0.0072053i,0.0038617-0.00061884i,0.0055195+0.013132i,0.0055781+0.0014815i,0.012784-0.00051939i,-0.0051117+0.0081673i,0.0056074+0.0040586i,0.019404+0.016998i,-0.07107-0.055885i,-0.02543+0.011249i,0.011489+0.0054895i,0.0011251+0.0062007i,-0.035283-0.0095769i,-0.008611+0.0080067i,-0.022444+0.0094464i
-0.03435+0.015769i,-0.057886+0.012697i,-0.045532+0.042881i,-0.035139+0.021317i,-0.03647+0.037405i,-0.0031574+0.047921i,-0.0052633+0.023847i,-0.023087+0.036252i,-0.020412+0.020738i,-2.0657e-05-0.0079379i,-0.0027822-0.0059004i,-0.00029844-0.0033362i,-0.0039639-0.0011306i,-0.0043488-0.007679i,-0.0029848+0.0030521i,-0.0010304-0.0023434i,-0.0071824-0.0059995i,-0.0017562-0.00087665i,0.0030106-0.0013771i,0.0017475+0.00030367i,0.0038047-0.002198i,0.0033923-0.0026861i,0.0026126-0.0022025i,-0.0065177-0.011004i,-0.0017927-0.00055238i,-0.0047594+0.00067298i,-0.0018221-0.001231i,-0.002677-0.0023045i,-0.00027222-0.0021555i,0.0022583-0.00080086i,-0.0038551+0.0046487i,0.0020648+0.00082546i,0.0030523+0.0013964i,0.00052451+0.0022796i,-0.0031092+0.0032404i,-0.00045582-0.0080393i,-0.0017929+0.00075326i,0.00045398+0.00084471i,-0.0017816+0.0055084i,0.0042041+0.008601i,0.001974-0.0017171i,0.0016171-0.0027434i,-0.0037073-0.00037237i,0.00096995+0.0027294i,-0.033729-0.0074247i,0.027152-0.059322i,-0.090012-0.049299i,-0.046809-0.036891i,-0.062821-0.053346i,-0.058542-0.01478i,-0.097987+0.00011244i,-0.061531+0.0048268i,-0.055024-0.033605i,-0.024236-0.05811i,-0.013042-0.037518i,-0.00013992+0.0055067i,-0.015305+0.0015355i,0.0073851+0.0076381i,0.01109+0.0070218i,0.0036175-0.002726i,0.013114+0.0037589i,-0.0035576-0.007059i,-0.0022686+0.013851i,-0.0019887+0.0079753i,0.0010042+0.0012814i,0.0068074+0.0035493i,0.002515-0.0018302i,-0.0083367+0.014999i,-0.0062471+0.01051i,0.0030944-0.00092403i,0.013455+0.00058413i,0.0017096+0.0013547i,-0.0033105-0.012367i,0.0013843-0.0040531i,0.029611-0.020649i,0.004102+0.0054944i,0.0012923+0.0031217i,-0.0047543-0.0018913i,0.0048931-0.0023912i,0.017499+0.011251i,0.0038588-0.0021105i,0.0034064-0.0089883i,0.0024509-0.0021456i,0.010537+0.0089539i,0.0053169+0.0010814i,0.0093991-0.0056501i,-0.00055795+0.0097673i,0.0059159+0.00165i,0.022856+0.012023i,-0.077628-0.046526i,-0.019103+0.016209i,0.010384-0.00024199i,-0.0013143+0.0031182i,-0.037363+0.0018426i,-0.0067726+0.0071993i,-0.019926+0.012437i
