-0.023643-0.037965i,-0.011271-0.050655i,-0.018194-0.044881i,-0.031079-0.035854i,-0.029999-0.016375i,-0.0506-0.027973i,-0.058376-0.025982i,-0.044738-0.037959i,-0.027143-0.031575i,0.0085544+0.011564i,-0.0065382+0.015545i,-0.0044563+0.014521i,0.010643+0.020741i,0.00045364+0.0044129i,0.0035306+0.0034821i,0.0065462+0.01811i,0.026945+0.041115i,-0.00266-0.0015892i,-0.0051198-0.0057617i,0.0067669+0.0045326i,-0.00028818-0.00073291i,-0.0011387+0.0018561i,0.00010808-0.0003062i,-0.029269-0.0021614i,-0.0021075-0.0059058i,0.001349+0.0049186i,0.003373-0.00077098i,-0.00030913+0.0004949i,0.00060355-0.00040222i,-0.00085705-0.0027323i,-0.0018123-0.0058223i,-0.0045878-0.004573i,-0.002038-0.0047743i,0.0025071-0.00034221i,0.0020162-0.0029039i,-0.00098064+0.028549i,0.001436-0.0031505i,0.002858+0.00086937i,0.0055151+0.00082717i,-0.010303-0.0026931i,-0.0037804-2.3965e-05i,0.0050785-0.00054014i,0.0053427+0.0001398i,-0.0039089+0.0059223i,0.0021982-0.0096369i,-0.011876+0.017571i,0.034952-0.091045i,0.012456-0.070737i,-0.015747-0.059873i,-0.016799-0.055718i,0.038871-0.046717i,0.016489-0.062985i,0.034088-0.056071i,0.031231-0.060145i,0.01569-0.013735i,0.0041574+0.016754i,0.015816-0.026513i,-0.011692+0.0057429i,-0.00040403+0.0054704i,-0.0054293-0.0010717i,-0.0022691-0.02862i,-0.023991+0.031075i,0.010443-0.011259i,-0.01328-0.0023937i,-0.0001564-0.0050834i,-0.001588-0.015652i,-0.0082188+0.0046272i,0.0051347+0.0061529i,-0.0085313+0.031947i,0.0051575+0.0061387i,-0.0049422-0.00088246i,-0.0032699-0.00021285i,-0.012722-0.0067744i,-0.00058367-0.0043866i,-0.038912+0.0089405i,-0.00020445-0.0098232i,-0.0095934-0.0017163i,-0.0064972-0.0029417i,0.0069699+0.0027704i,-0.0077526+0.0010267i,3.2653e-05+0.00043868i,0.0064635+0.010215i,0.0038339+0.001682i,-0.0091786-0.0091121i,0.0031517+0.008003i,-0.02086+0.006934i,0.0085465+0.00055646i,-0.029342-0.0029618i,-0.043153+0.0025703i,0.018195-0.097413i,-0.0019318-0.012224i,-0.053558-0.022138i,-0.023236+0.0010297i,0.017911+0.010475i,-0.025573+0.012857i,-0.018382-0.012786i
-0.031483-0.034562i,-0.018195-0.043349i,-0.025103-0.043052i,-0.038192-0.032171i,-0.028188-0.016475i,-0.057302-0.016805i,-0.060406-0.014289i,-0.050195-0.029888i,-0.030951-0.027688i,0.0082521+0.0077039i,-0.0041226+0.014058i,0.0023062+0.016221i,0.017932+0.013908i,-0.00018003+0.0057671i,0.0041236+0.0021439i,0.010267+0.012454i,0.033493+0.025516i,-0.0015809+0.0018506i,-0.006377-0.001431i,0.0064224-0.0021301i,-0.0010601+0.0006096i,-0.00096398+0.0021686i,-0.00022369-7.9812e-05i,-0.017416+0.01137i,-0.0040315-0.0038979i,0.0054302+0.0017087i,0.0027498-0.00057767i,0.00054497+0.0017977i,0.00096257-0.00075391i,-0.0020677-0.0030156i,-0.002073-0.0044728i,-0.0053914-0.0029406i,-0.0035967-0.0039825i,0.0022539-0.001474i,0.0012183-0.0018531i,0.008554+0.024889i,0.00095345-0.0037776i,0.002397-0.00023731i,0.0078479-0.0014483i,-0.007761-0.00040628i,-0.0034235+0.0027002i,0.0052548-0.0018104i,0.0051045-0.00070268i,-0.0052538+0.0079935i,0.0058298-0.01246i,0.0034628+0.022959i,0.017797-0.096955i,-0.0055831-0.077207i,-0.012416-0.055549i,-0.020736-0.045326i,0.033345-0.065437i,0.012057-0.081374i,0.035044-0.055492i,0.019155-0.06916i,0.0061621-0.0059961i,0.0069598+0.005646i,0.0046491-0.027323i,-0.0079842+0.012329i,-0.00044621-0.0025407i,-0.0054227-0.0012149i,-0.023213-0.027129i,-0.010229+0.029447i,0.0044932-0.015164i,-0.013477+0.00090277i,-0.0016228-0.0046768i,-0.0091978-0.013852i,-0.008183+0.0087936i,0.0081885+0.0057154i,0.0097577+0.029198i,0.0059546+0.0016513i,-0.0042317+0.0020835i,-0.0045319+0.00018019i,-0.016926+0.003454i,-0.00068802-0.0028657i,-0.029824+0.011733i,-0.0047075-0.0067135i,-0.0093445+0.0032335i,-0.0080335+0.00090606i,0.0055382-0.0032032i,-0.0074569+0.0029869i,0.0012347-0.00074107i,0.0053886+0.0040081i,0.0035221+0.00075294i,-0.013022-0.00088405i,0.0036972+0.0042332i,-0.015524+0.014029i,0.0066379-0.0034548i,-0.027814+0.0085294i,-0.042913+0.015544i,0.0018427-0.09804i,-0.0062641-0.015211i,-0.059112-0.006733i,-0.016413-0.0022531i,0.017974+0.0047118i,-0.01929+0.019954i,-0.026605-0.017768i
-0.03644-0.028433i,-0.021338-0.042605i,-0.030867-0.041698i,-0.044132-0.024808i,-0.028773-0.018292i,-0.060614-0.0043418i,-0.063094-0.0010683i,-0.055794-0.020888i,-0.035265-0.022782i,0.0081477+0.0055516i,-0.00077043+0.016241i,0.0091027+0.012687i,0.019832+0.0046043i,0.0012441+0.0069303i,0.0045485+0.00089213i,0.011226+0.0067846i,0.037901+0.01416i,0.0012348+0.0022927i,-0.0048685+0.0021799i,0.0050884-0.0043455i,-0.0013655+0.0018508i,0.00015812+0.0041902i,-0.00021833+0.00016844i,-0.0073346+0.015317i,-0.0035344-0.0021902i,0.005733-0.0029597i,0.0023337-0.0016006i,0.0021433+0.0018236i,0.00021291-0.0012601i,-0.0029653-0.0022787i,-0.0026309-0.0042105i,-0.0062112-0.00076004i,-0.0044359-0.0026927i,0.0012576-0.0028824i,0.0024456-0.004124i,0.015449+0.017875i,-9.678e-05-0.0036692i,0.002115-0.0011778i,0.0080529-0.0056363i,-0.0074835+0.0011977i,-0.0017363+0.0044388i,0.0057182-0.0027155i,0.0052965-0.0021776i,-0.0027513+0.010196i,0.0060832-0.020151i,0.019522+0.018606i,0.00061535-0.098891i,-0.023259-0.072318i,-0.0079816-0.061497i,-0.019549-0.043811i,0.022017-0.080692i,-0.0084393-0.095862i,0.040258-0.062758i,0.0059398-0.069248i,0.0056594-0.0022437i,0.0054479+0.0010891i,-0.0036427-0.028414i,0.0028007+0.010352i,-0.0077785-0.0048535i,-0.0042758-0.003283i,-0.037842-0.015588i,-0.0012749+0.027879i,-0.0027774-0.014811i,-0.01133+0.0045166i,-0.0040996-0.0039452i,-0.016297-0.0095327i,-0.0027748+0.014055i,0.011734+0.00023123i,0.018357+0.0197i,0.0054666-0.00021052i,-0.0032396+0.0017853i,-0.0047839+0.001933i,-0.01252+0.011828i,-0.0038902-0.0024247i,-0.022945+0.023667i,-0.0059645-0.0031096i,-0.0071268+0.007224i,-0.0078419+0.0075488i,0.00026882-0.0052349i,-0.0058788+0.005402i,0.00055036-0.001613i,0.003179+0.0028303i,0.0036448-0.0010481i,-0.0085829+0.0056982i,0.0030146+0.0014361i,-0.0092703+0.0161i,0.0028497-0.006695i,-0.021762+0.016275i,-0.034385+0.028694i,-0.011466-0.097231i,-0.012912-0.013269i,-0.056908+0.0075881i,-0.021074-0.009103i,0.016418-0.0028555i,-0.0087843+0.020335i,-0.031733-0.012456i
-0.03909-0.021843i,-0.027545-0.044474i,-0.038365-0.040574i,-0.045538-0.01693i,-0.032419-0.02076i,-0.059937+0.0095086i,-0.059747+0.017706i,-0.059984-0.0079985i,-0.040063-0.015173i,0.0079096+0.0034132i,0.0053255+0.016298i,0.01159+0.0070569i,0.01831-0.0037192i,0.0039249+0.0078882i,0.0039741-0.0010785i,0.010099+0.00099396i,0.040257-0.0027049i,0.0025629+0.0007915i,-0.0036542+0.0045059i,0.0024298-0.0050873i,0.00024895+0.0035262i,0.0023212+0.0047218i,-0.00042551+0.0006304i,0.0022463+0.01907i,-0.0035106-0.0017903i,0.0028562-0.0051501i,0.0019717-0.0024324i,0.0024683-0.00020964i,-0.00020581-0.00072464i,-0.0041701-0.0014393i,-0.0031475-0.0035585i,-0.0052378+0.00145i,-0.0054418-0.0010045i,-2.2616e-05-0.0033739i,-0.0007456-0.005583i,0.015635+0.010164i,-0.0012893-0.0035706i,0.0015391-0.0020223i,0.0048152-0.0088922i,-0.0048587+0.0035103i,0.0002941+0.0048823i,0.0035266-0.0036389i,0.0041498-0.0042796i,0.00080117+0.01002i,0.0051806-0.026305i,0.032987+0.0076929i,-0.015776-0.095649i,-0.032521-0.062349i,-0.013632-0.067937i,-0.021863-0.043485i,0.004298-0.095831i,-0.035353-0.095867i,0.037565-0.082104i,-0.003486-0.066946i,0.0066337+0.00058392i,0.0019548-0.0034588i,-0.015472-0.022736i,0.0037021+0.0027559i,-0.0098638-0.0012095i,-0.0085953-0.0056639i,-0.043095+0.0039451i,0.0096663+0.022459i,-0.0085482-0.01244i,-0.0074139+0.0055445i,-0.0054815-0.0016555i,-0.020418-0.0011292i,0.0049327+0.012281i,0.012174-0.0057623i,0.011623-0.0071771i,0.005579-0.0025939i,-0.0039717+0.001634i,-0.0042441+0.0041096i,-0.0068069+0.018007i,-0.0053976+0.0018894i,-0.015498+0.033302i,-0.006226-0.00051432i,-0.0021147+0.0097199i,-0.0015898+0.012107i,-0.0044495-0.0028462i,-0.0024248+0.0044631i,0.00020393-0.0013417i,0.0026392+0.0024805i,0.0015729-0.0032576i,-0.0034596+0.0050506i,-0.00038421-0.00093976i,-0.005426+0.01764i,-0.0018936-0.0060928i,-0.013367+0.020675i,-0.021704+0.031998i,-0.023076-0.096292i,-0.010956-0.0081338i,-0.050902+0.023284i,-0.028956-0.0063426i,0.012966-0.0084894i,-9.8425e-05+0.015526i,-0.031447-0.0049364i
-0.040312-0.015336i,-0.037697-0.042003i,-0.048608-0.037262i,-0.045878-0.010602i,-0.040689-0.021376i,-0.055724+0.022024i,-0.045306+0.029179i,-0.057057+0.0050232i,-0.038328-0.0064988i,0.0074026+0.0017149i,0.011118+0.011777i,0.012352+0.0031222i,0.013195-0.0097116i,0.0083379+0.0063106i,0.0025069-0.002507i,0.0064722-0.0016425i,0.027751-0.019933i,0.0025904-0.00043474i,-1.815e-05+0.0082574i,0.00038095-0.0045325i,0.0020886+0.0039667i,0.0031524+0.0025149i,-0.00034506+0.00149i,0.014224+0.013231i,-0.0042115+0.0002289i,0.00098308-0.006262i,0.00039749-0.0026075i,0.0029081-0.00021555i,-0.00012698-0.0003871i,-0.0047569+0.0010164i,-0.0040685-0.0024682i,-0.0040068+0.0031564i,-0.0048974+0.00093437i,-0.0018721-0.0028758i,-0.0027093-0.0040907i,0.016586+0.0063774i,-0.001911-0.003336i,0.0001782-0.0026737i,0.0012342-0.0084805i,-0.0029556+0.0012872i,0.0015082+0.0050312i,0.0011382-0.0020391i,0.0028419-0.0054597i,0.0024687+0.0081025i,9.6112e-05-0.036396i,0.042044-0.010115i,-0.026011-0.088036i,-0.037334-0.053529i,-0.020898-0.072148i,-0.024377-0.042191i,-0.023772-0.10416i,-0.058099-0.085536i,0.017915-0.097076i,-0.014399-0.061042i,0.0092265+0.0030254i,-0.0029151-0.0051874i,-0.024185+0.010692i,0.00037346-1.9856e-05i,-0.010657+0.00023092i,-0.015691-0.0020458i,-0.038425+0.020516i,0.01317+0.011992i,-0.013594-0.0075059i,-0.0056269+0.0056459i,-0.0061276+0.001603i,-0.019068+0.0089267i,0.0056715+0.0071577i,0.0096213-0.011119i,0.023247-0.011606i,0.0034935-0.0060963i,-0.0063336+0.0043504i,-0.0018009+0.0060889i,0.0023874+0.019396i,-0.0039234+0.006338i,-0.0057854+0.037514i,-0.0071868+0.00089408i,0.0018282+0.0065592i,0.0042637+0.010756i,-0.0064305+0.00066179i,-0.0037272+0.0016568i,-0.0011463-0.0017347i,0.001307+0.0049986i,-0.0024681-0.0032205i,-0.0031694+0.0026364i,-0.0033684+0.0015351i,0.0025111+0.019178i,-0.0051525-0.0042649i,-0.0042728+0.020888i,-0.014459+0.032837i,-0.037621-0.091125i,-0.0054888-0.012019i,-0.039636+0.039073i,-0.031806+0.0040351i,0.0080356-0.012501i,0.0012365+0.0076561i,-0.030407-0.0012908i
-0.039993-0.010204i,-0.043623-0.037235i,-0.059935-0.027205i,-0.04661-0.004482i,-0.051596-0.0159i,-0.047574+0.032424i,-0.032687+0.031909i,-0.051419+0.014899i,-0.036178-0.0019842i,0.0062392+0.00089883i,0.011945+0.0065936i,0.012326-0.0022472i,0.0065853-0.013089i,0.011287+0.0019582i,0.00038664-0.0031666i,0.0035592-0.0014983i,0.012565-0.023276i,0.0036488-0.0013809i,0.0053765+0.0068059i,-0.0011984-0.0033822i,0.0040847+0.0022193i,0.0029751+0.0011818i,0.0010311+0.0022687i,0.021+0.0020686i,-0.0022419+0.0026099i,-0.0009612-0.007126i,-0.00085069-0.00062366i,0.0031209-0.0021116i,-0.0001145-0.00056729i,-0.0026725+0.003845i,-0.0039691-0.001651i,-0.0030401+0.004023i,-0.0045004+0.0027789i,-0.0030471-0.0011501i,-0.0023324-0.0026101i,0.018101+0.0015521i,-0.0030271-0.0027807i,-0.0018762-0.0027365i,-0.0017066-0.0080141i,-0.0047289+0.0002041i,0.0059035+0.0013559i,0.00092772+0.00026055i,3.7756e-05-0.0064762i,0.00371+0.0066597i,-0.011373-0.041395i,0.033414-0.034682i,-0.02884-0.08132i,-0.041517-0.046333i,-0.031036-0.071924i,-0.026531-0.04372i,-0.053309-0.095369i,-0.077439-0.068206i,-0.0016831-0.10004i,-0.016087-0.047314i,0.017593+0.0065879i,-0.0068417-0.0024414i,-0.022968-0.0042087i,-0.0011482-0.0003802i,-0.014566+0.0039774i,-0.014037+0.0045988i,-0.027806+0.035551i,0.011215+0.0054852i,-0.012671+0.00062269i,-0.0071768+0.0052889i,-0.0030861+0.0049799i,-0.012768+0.015245i,0.0069621+0.0077357i,0.0044046-0.018343i,0.014968-0.02221i,-0.0028001-0.0089083i,-0.0063081+0.0091762i,-6.2743e-05+0.0057323i,0.0099058+0.016015i,0.00078726+0.0081646i,0.0048732+0.045092i,-0.0082151+0.0035637i,0.0019243+0.0049998i,0.0085193+0.0059329i,-0.0048562+0.0066417i,-0.0059016+0.0046546i,-0.0033799-0.00079432i,0.0041976+0.0062288i,-0.0033858+0.0022526i,-0.0053611+0.0030525i,-0.00051199+0.0066464i,0.0092645+0.016148i,-0.0070502-0.0025829i,0.0014793+0.017456i,-0.0053044+0.03524i,-0.044053-0.080274i,-0.012253-0.022968i,-0.015334+0.044714i,-0.027087+0.011818i,0.00095374-0.015917i,0.00027611+0.0017218i,-0.030149+0.0051223i
-0.039289-0.0055177i,-0.05441-0.03357i,-0.066905-0.013182i,-0.044868+0.0031602i,-0.05922-0.0030711i,-0.038207+0.038884i,-0.023389+0.03158i,-0.044713+0.021631i,-0.036811+0.0023457i,0.0068595-0.00087323i,0.014171+0.0029451i,0.0083681-0.0070323i,-0.00097006-0.012011i,0.011421-0.0040853i,-0.001343-0.0026479i,0.0021176-0.00025997i,0.0010847-0.019357i,0.0026501-0.003764i,0.006465+0.0025065i,-0.0021175-0.0012319i,0.0040599-0.00014829i,0.0040482+0.0010395i,0.0025908+0.0015871i,0.01728-0.0091197i,0.0010104+0.0012819i,-0.0034146-0.0033099i,-1.8954e-05-0.0012179i,0.00092016-0.0037928i,3.7523e-06-0.00031584i,-8.1044e-05+0.004163i,-0.0044557-0.0010354i,-0.00089333+0.004577i,-0.002124+0.004307i,-0.0027985-9.4743e-05i,-0.0032223-0.0032346i,0.017068-0.0050707i,-0.0033768-0.0012709i,-0.0027554-0.0013661i,-0.0051944-0.0019429i,-0.007127+0.0028758i,0.0046383+0.0010211i,0.0025094-0.00032498i,-0.002717-0.0062437i,0.0044284+0.0028377i,-0.024263-0.039765i,0.0144-0.041497i,-0.036331-0.083079i,-0.040033-0.03889i,-0.038872-0.069078i,-0.035742-0.046174i,-0.073168-0.079402i,-0.083513-0.042461i,-0.026434-0.10082i,-0.0093805-0.044001i,0.025917-0.0081375i,-0.0078669+0.0019843i,-0.01492-0.00049111i,-0.0050305+0.00032253i,-0.012274+0.012506i,-0.011563+0.0073559i,-0.0071338+0.042171i,0.01102+0.001559i,-0.011475+0.0027777i,-0.0044406+0.0070022i,-0.0012463+0.00445i,-0.0051633+0.018514i,0.010867+0.0045545i,-0.0082073-0.019409i,-0.003643-0.022233i,-0.0060487-0.0019241i,-0.0022851+0.01226i,0.002864+0.0047098i,0.015745+0.0079438i,0.0042921+0.0050096i,0.027435+0.037501i,-0.0048407+0.006742i,0.002346+0.0029903i,0.0090351+0.00071903i,0.00059778+0.008671i,-0.0069154+0.007714i,-0.0042962+0.0028098i,0.0082242+0.0056808i,-0.0014872+0.0046779i,-0.0066864+0.0056147i,0.0035477+0.0065485i,0.011923+0.011316i,-0.0068972+0.00033233i,0.0065904+0.012782i,0.0056699+0.03287i,-0.050402-0.076033i,-0.027753-0.021348i,0.0015929+0.035649i,-0.022861+0.016391i,-0.0023073-0.028891i,-0.0033614-0.0026397i,-0.022088+0.0084216i
-0.038849-0.0015694i,-0.063854-0.020779i,-0.069753+0.002605i,-0.041708+0.0075587i,-0.05903+0.011896i,-0.029886+0.04302i,-0.016421+0.03025i,-0.038441+0.025941i,-0.03532+0.0099522i,0.0064962-0.0032702i,0.014008-0.0050056i,0.0024256-0.0073598i,-0.0045206-0.0077446i,0.0073069-0.0081439i,-0.0027223-0.0019995i,0.0029719-0.00010873i,-0.0045979-0.013354i,0.00010707-0.0040835i,0.0047473+6.843e-05i,-0.0016645+0.00026462i,0.0023729-0.001027i,0.004356-0.00046096i,0.0029734+0.00032901i,0.0098773-0.014584i,0.00013486-0.00080343i,-0.0025088-0.0023966i,-0.00050277-0.0015944i,0.00054414-0.002923i,0.00097734-0.00015776i,0.0012736+0.0030986i,-0.0052893-0.00010574i,0.0010144+0.0040081i,-0.00050528+0.0048733i,-0.0026199+0.00037965i,-0.0046143-0.00023353i,0.013352-0.010345i,-0.0030063-0.00041119i,-0.0022236+0.00013938i,-0.009677+0.00039047i,-0.0057796+0.0064982i,0.0042512-0.00018211i,0.0032522-0.0011287i,-0.0054878-0.0052699i,0.0021552+9.5989e-05i,-0.033618-0.031571i,0.0056773-0.032121i,-0.047385-0.082924i,-0.037693-0.037315i,-0.047422-0.065446i,-0.046064-0.040781i,-0.08913-0.061935i,-0.07746-0.023289i,-0.054107-0.086477i,-0.0070371-0.049203i,0.023782-0.021203i,-0.005823+0.0047244i,-0.013042+0.0037917i,-0.0081161+0.0053275i,-0.0044007+0.018223i,-0.0078455+0.011191i,0.012036+0.035091i,0.0092235-0.0041466i,-0.011278+0.0058101i,-0.0032995+0.0055762i,0.00085214+0.0048727i,0.0030949+0.01558i,0.011574-0.0027598i,-0.017664-0.010115i,-0.014154-0.011605i,-0.0033043+0.0021338i,0.0040538+0.011479i,0.0039646+0.0023918i,0.017849+0.00062821i,0.0068323+0.0037998i,0.039601+0.023355i,-0.0019232+0.0056797i,0.0010067+0.0032114i,0.0070678-0.0045024i,0.0054765+0.0056943i,-0.004408+0.013968i,-0.0017732+0.0070593i,0.01215+0.00041046i,0.00276+0.0047781i,-0.0054946+0.010002i,0.0060355+0.0039583i,0.012603+0.0068986i,-0.0070047+0.0023231i,0.0083296+0.0071655i,0.012408+0.026914i,-0.059089-0.068939i,-0.035164-0.0082513i,0.010886+0.023291i,-0.010584+0.022506i,-0.01629-0.026319i,-0.010901-0.002435i,-0.02005+0.0036862i
-0.038833+0.0029527i,-0.065342-0.0050481i,-0.066258+0.019003i,-0.040115+0.012482i,-0.053253+0.023704i,-0.020899+0.046384i,-0.011011+0.027777i,-0.033707+0.029248i,-0.029653+0.015894i,0.0046416-0.0055042i,0.0077653-0.010428i,8.1965e-05-0.0046167i,-0.005227-0.00433i,0.0029737-0.0094026i,-0.00399-0.00024613i,0.0026013-0.0014009i,-0.0049341-0.0082208i,-0.0013727-0.0029856i,0.0035981+5.7948e-05i,-0.00051767+0.0011108i,0.0022267-7.6521e-05i,0.0042889-0.0015471i,0.0030773-0.00063325i,0.0030354-0.014935i,-0.00093709-0.0010305i,-0.0032098-0.0025382i,-0.00070859-0.0013864i,-0.00079822-0.0030715i,0.00099533-0.0013003i,0.0023283+0.0022694i,-0.0055045+0.0012932i,0.0020935+0.0027033i,0.0013896+0.0039156i,-0.0025805+0.0017089i,-0.0034593+0.00054371i,0.0071273-0.014271i,-0.002119+0.00023108i,-0.0016575+0.00081598i,-0.0093875+0.00076546i,-0.0030442+0.0088752i,0.0038496-0.0011562i,0.0022726-0.0021295i,-0.0021682-0.00068172i,-0.0015018+0.00015731i,-0.038493-0.021604i,0.013116-0.026187i,-0.062696-0.080156i,-0.038711-0.038155i,-0.054229-0.059619i,-0.05226-0.032317i,-0.10032-0.039451i,-0.072115-0.013216i,-0.063441-0.06078i,-0.01051-0.053028i,0.016256-0.033727i,-0.0038377+0.0052257i,-0.0090118+0.0036612i,-0.0039646+0.011314i,0.0042314+0.01733i,0.00077606+0.01008i,0.018962+0.021187i,0.0052188-0.0064022i,-0.0092806+0.0091706i,-0.0035998+0.0055505i,0.0018374+0.0029351i,0.00721+0.011107i,0.005329-0.0053016i,-0.019809+0.00067914i,-0.015787-0.0017167i,0.0003032+0.0024031i,0.0071335+0.0098947i,0.0027781+0.0011063i,0.014028-0.010344i,0.0073204-0.00098211i,0.043562+0.0058769i,-0.0015364+0.0057227i,0.0031325+0.0029988i,0.001976-0.0069024i,0.0060106+0.0019193i,0.0017167+0.017599i,0.004591+0.005342i,0.0094494-0.0049083i,0.005001+0.0012697i,-0.0011689+0.014017i,0.0048855+0.0029511i,0.012585+0.0035202i,-0.0078544+0.0044172i,0.0056528+0.0041699i,0.015987+0.021628i,-0.064947-0.061574i,-0.032275+0.004988i,0.011791+0.012286i,0.0004098+0.015203i,-0.027825-0.019393i,-0.013441+0.0056157i,-0.023105+0.0058085i
-0.038256+0.0083916i,-0.061635+0.0065168i,-0.058326+0.033011i,-0.038128+0.017136i,-0.045713+0.03231i,-0.011738+0.047754i,-0.0077836+0.025383i,-0.029162+0.033437i,-0.024365+0.018418i,0.001547-0.0063312i,0.0002065-0.010202i,-0.00049548-0.0035148i,-0.00428-0.0026497i,-0.0010941-0.0090561i,-0.003805+0.0020276i,0.00088851-0.0024057i,-0.0042576-0.0063991i,-0.0014277-0.0012109i,0.0033959-0.00061038i,0.00091283+0.0010565i,0.0036256-0.00065652i,0.0036159-0.0021347i,0.0028788-0.0014821i,-0.0021544-0.013358i,-0.0012153-0.00060719i,-0.0042914-0.0010416i,-0.00102-0.0015714i,-0.001941-0.0029917i,0.0003268-0.0017871i,0.0031144+0.00084077i,-0.0050623+0.0031495i,0.0025246+0.0012824i,0.0024198+0.0025829i,-0.0015725+0.002469i,-0.0036597+0.001674i,0.0013603-0.011443i,-0.0021764-6.8697e-05i,-0.00065933+0.0011461i,-0.0075806+0.0050084i,0.0010268+0.0095462i,0.003184-0.0020654i,0.0025658-0.0016262i,-0.0036444+0.00037938i,-0.0020713+0.0035928i,-0.038119-0.012582i,0.025677-0.035832i,-0.080475-0.068771i,-0.043017-0.037825i,-0.058786-0.054049i,-0.056837-0.023686i,-0.1012-0.016553i,-0.067138-0.0022398i,-0.059489-0.044031i,-0.015435-0.057306i,0.0022393-0.039596i,-0.0016709+0.0059305i,-0.0098636+0.0012283i,0.0027309+0.011716i,0.0092108+0.012231i,0.0048145+0.003145i,0.017156+0.0093301i,0.00095039-0.0073001i,-0.0065633+0.011768i,-0.0038133+0.0066992i,0.0014229+0.0016245i,0.0080901+0.0060505i,0.0030315-0.0032897i,-0.015894+0.010073i,-0.012144+0.0059567i,0.0016005+0.0013042i,0.011379+0.0064577i,0.0020197+0.00090918i,0.0045022-0.013989i,0.0045355-0.003948i,0.037817-0.010152i,0.00022794+0.0065907i,0.0022024+0.0016413i,-0.0019386-0.0049677i,0.0056332+0.00051866i,0.010639+0.017371i,0.005234+0.0010801i,0.0064987-0.0072767i,0.0038799-0.00085355i,0.0057359+0.014189i,0.0053634+0.001664i,0.013101-0.0010294i,-0.0053009+0.0093321i,0.0055089+0.0032689i,0.018673+0.016611i,-0.071642-0.055561i,-0.024708+0.011571i,0.011147+0.005828i,0.0014806+0.0062691i,-0.03403-0.0083728i,-0.0092101+0.0081234i,-0.022264+0.0091974i
-0.036052+0.013702i,-0.05636+0.014786i,-0.045831+0.042832i,-0.034454+0.022105i,-0.03622+0.037775i,-0.0027058+0.047716i,-0.0051613+0.024126i,-0.022986+0.037087i,-0.019713+0.020278i,-0.0013802-0.0063752i,-0.0035986-0.0062634i,-0.00036119-0.0032726i,-0.0042384-0.0014853i,-0.0045246-0.0072967i,-0.0030297+0.0034091i,-0.001065-0.0022193i,-0.0053013-0.0068299i,-0.00098021-0.0007658i,0.0027419-0.001627i,0.0016915+0.00024707i,0.0038206-0.0023894i,0.0035039-0.0025956i,0.0022989-0.0023134i,-0.0062485-0.011321i,-0.0015864-0.00046462i,-0.00425+0.00055036i,-0.0018526-0.0011361i,-0.0027699-0.0020392i,-0.00045171-0.0018936i,0.002487-0.0010961i,-0.0042923+0.0049116i,0.0021262+0.00024553i,0.0027429+0.0013875i,6.7608e-05+0.0024496i,-0.0028603+0.0031548i,-0.00032168-0.0081712i,-0.0022542-8.1443e-05i,0.00019261+0.00054896i,-0.0024288+0.0058613i,0.0051754+0.0078076i,0.0025206-0.0026018i,0.0030744-0.0029075i,-0.0031178+0.0015064i,-0.00021169+0.0035974i,-0.035234-0.0074296i,0.025149-0.058865i,-0.092001-0.049694i,-0.046683-0.036397i,-0.063475-0.052719i,-0.058602-0.013976i,-0.098326+0.0012677i,-0.061358+0.0050958i,-0.055413-0.033197i,-0.023607-0.059636i,-0.014884-0.039132i,-0.00012571+0.0052222i,-0.015486+0.0022366i,0.0073418+0.0077439i,0.010909+0.0071166i,0.0035838-0.0027787i,0.012563+0.0031226i,-0.0033987-0.0072632i,-0.0019866+0.01319i,-0.0021507+0.0079176i,0.00087133+0.0014171i,0.0060966+0.0029711i,0.0025665-0.0018218i,-0.0084588+0.014465i,-0.0067726+0.010544i,0.0035882-0.00049163i,0.013465-4.2853e-05i,0.0015757+0.0014589i,-0.0031902-0.01146i,0.001434-0.004524i,0.028589-0.021403i,0.0033858+0.0065247i,0.0015097+0.0027993i,-0.0050075-0.0019443i,0.0050705-0.0021934i,0.018126+0.011512i,0.003801-0.0018593i,0.0025012-0.0086807i,0.0027321-0.0023972i,0.010215+0.0088896i,0.0049541+0.0011319i,0.0099645-0.0061576i,-9.3968e-05+0.010581i,0.0055641+0.0010278i,0.022034+0.012131i,-0.078551-0.046273i,-0.017952+0.016345i,0.010299+0.00074325i,-0.0011767+0.0026401i,-0.036143+0.0017759i,-0.0070471+0.0073153i,-0.019934+0.012286i
