-0.023194-0.018548i,-0.032691-0.033382i,-0.022525-0.019641i,-0.032411-0.020531i,-0.023896+0.0042438i,-0.028795-0.017615i,-0.05776-0.044608i,-0.041017-0.042973i,-0.028985-0.0193i,0.0050501+0.0048675i,-0.0040824+0.0065057i,-0.010969+0.011134i,0.0040635+0.0069989i,-0.0039289-0.002608i,0.0028773+0.0016056i,0.0030712+0.027052i,0.023755+0.022766i,-0.00016166+5.1724e-06i,-0.0033127-0.002691i,0.0076058+0.0039584i,0.0020069+0.00056533i,-0.00027927+0.0027743i,-0.00047201+0.0003817i,-0.030287-0.0007142i,-0.0037735-0.0048291i,-0.00019616+0.0024499i,0.0044615-0.0015936i,0.00082345-0.00010856i,-0.00062218-0.00057395i,-0.0012059-0.0018213i,-0.0022795-0.00050773i,-0.0039062-0.0039279i,-0.0023948-0.0057864i,0.00039916-0.0013386i,0.00047218-0.0029637i,-0.0020027+0.026113i,0.0017499-0.0032433i,0.0021501-0.0038322i,0.0040488-0.0023082i,-0.0069257-0.00048639i,0.0004761+0.0013057i,0.0043506-0.0098009i,-0.0020787+0.0004357i,-0.0031071+0.0011244i,-0.0097861-0.0032096i,-0.018841+0.021574i,-0.0081858-0.086664i,-0.001956-0.061275i,-0.021438-0.053979i,-0.01134-0.045874i,0.053741-0.027343i,0.023889-0.067085i,0.041398-0.053924i,0.019056-0.039807i,0.026259-0.020056i,0.012211+0.011953i,0.025186-0.028559i,-0.011475-0.00019999i,-0.0014989-0.001246i,-0.008045-0.0017021i,-0.0044986-0.029105i,-0.021586+0.026337i,0.007696-0.0094368i,-0.010629-0.0033455i,-0.0027048-0.0017918i,-0.00058624-0.01464i,-0.0085305+0.0053769i,0.0059246+0.011023i,-0.0096127+0.029625i,0.0065637+0.0076279i,-0.0034025-0.0017932i,-0.0023735-0.0013817i,-0.012218-0.0054875i,0.00075023-0.0046193i,-0.032133+0.0037902i,0.0033902-0.0088362i,-0.0070944-0.0021108i,-0.0052672-0.003072i,0.0068886+0.0015026i,-0.010241+0.00017182i,0.0025818-0.00026399i,0.0063263+0.0077098i,0.0057493+0.0010258i,-0.0078435-0.0095792i,0.0028627+0.0079861i,-0.018718+0.0073191i,0.0032604+0.0059124i,-0.021231-0.0087023i,-0.026871-0.0051024i,0.0090786-0.060884i,0.019041-0.014389i,-0.051838-0.028265i,-0.02203+0.0035331i,0.018842+0.010421i,-0.02713+0.011506i,-0.01265-0.0071872i
-0.027088-0.014395i,-0.036665-0.023323i,-0.024318-0.017095i,-0.036196-0.016161i,-0.019452+0.004902i,-0.033002-0.010924i,-0.061878-0.031815i,-0.046605-0.035573i,-0.027995-0.012804i,0.0036513+0.004111i,-0.0045026+0.0058023i,-0.0045487+0.015099i,0.0066514+0.0030563i,-0.0069008+0.00089595i,0.0031438+0.0002547i,0.0087101+0.021779i,0.028813+0.012904i,0.0009847+0.0010505i,-0.0036701+0.0004643i,0.0077146+7.555e-05i,0.0014036+0.00089271i,-0.00021766+0.0028806i,-0.00040203+0.00072289i,-0.017011+0.013028i,-0.0054918-0.002601i,0.0017887+0.0012604i,0.002553-0.00046363i,0.0012871+0.00068509i,0.00012661-0.00053113i,-0.0021421-0.0014402i,-0.0013257+0.00026623i,-0.0044934-0.0025673i,-0.0042093-0.0043608i,-0.00028283-0.0015201i,-1.7057e-05-0.0015381i,0.0045512+0.023411i,0.0011452-0.0038531i,-0.00014671-0.0039743i,0.0041802-0.0041429i,-0.003863+2.8488e-05i,0.00099683+0.0016213i,0.0095573-0.002363i,-0.0016296+0.0020688i,-0.0050664+0.0031245i,-0.0077712-0.0026945i,-0.0044035+0.02785i,-0.024514-0.08427i,-0.018713-0.064958i,-0.018183-0.045937i,-0.013463-0.033946i,0.053881-0.050738i,0.019431-0.087249i,0.041757-0.056419i,0.011909-0.045926i,0.014005-0.015488i,0.012553+0.00064571i,0.012643-0.032186i,-0.009777+0.0063222i,-0.002947-0.0077929i,-0.0085935-0.00026358i,-0.025563-0.027431i,-0.0097325+0.024132i,0.0021737-0.012254i,-0.012958+0.00017307i,-0.0022119-0.0013297i,-0.0073124-0.013887i,-0.0085985+0.0092188i,0.011138+0.0099085i,0.0065974+0.027654i,0.0080067+0.0021444i,-0.0033568+0.00073584i,-0.0041452-0.0010376i,-0.016662+0.0039168i,0.000415-0.0036492i,-0.036232+0.012008i,-0.0018434-0.0076832i,-0.007032+0.0017891i,-0.0067391-6.2922e-05i,0.0051782-0.0041771i,-0.0088242+0.0035277i,0.0026447-0.0021872i,0.0050811+0.0029838i,0.0045873-0.0011486i,-0.012275-0.0016735i,0.003661+0.0047837i,-0.01379+0.014848i,0.0042056+0.0030541i,-0.021545+0.00032894i,-0.028693+0.0027823i,-0.0007025-0.059749i,0.012909-0.022181i,-0.057045-0.013615i,-0.014439-0.0012749i,0.019369+0.0029066i,-0.021127+0.018202i,-0.019807-0.01235i
-0.028547-0.0090693i,-0.037641-0.019354i,-0.026578-0.016111i,-0.038743-0.0093561i,-0.016512+0.0038366i,-0.035262-0.0037255i,-0.067197-0.018267i,-0.053224-0.027411i,-0.028065-0.0115i,0.0035884+0.0037856i,-0.0037643+0.0083422i,0.002422+0.013288i,0.0060196-0.0011157i,-0.0065091+0.0046127i,0.002834-0.00075708i,0.011905+0.016434i,0.032269+0.0035685i,0.0024764+0.00072215i,-0.0019383+0.0023253i,0.0061615-0.0027733i,0.00081597+0.0012316i,0.00081329+0.0035525i,-0.00010188+0.0009023i,-0.0059077+0.016443i,-0.0051043-0.00033752i,0.0022954-0.00063452i,0.0029113-0.00095237i,0.0018095+0.0002597i,-0.00064203-0.00093165i,-0.002559-0.000523i,-0.00080471+0.00027995i,-0.0052823-0.00086907i,-0.0048768-0.0023333i,-0.0008481-0.0017642i,0.00099197-0.0026355i,0.011169+0.018907i,4.727e-05-0.0036717i,-0.0015275-0.0033304i,0.0021165-0.006495i,-0.0035019-0.00013709i,0.0016725+0.0016003i,0.007537-0.0049544i,3.4695e-05+0.0028751i,-0.0040714+0.0054736i,-0.0066111-0.0049811i,0.010241+0.026205i,-0.039238-0.077814i,-0.034695-0.057409i,-0.011162-0.047817i,-0.0076071-0.033539i,0.046154-0.071349i,-0.0018061-0.1045i,0.044497-0.065504i,0.0034603-0.045165i,0.010333-0.013894i,0.0097305-0.0044297i,0.0026253-0.03478i,0.001407+0.0058407i,-0.011001-0.0081374i,-0.0069365-0.00096737i,-0.040839-0.014362i,-0.0024157+0.023358i,-0.0039252-0.011282i,-0.011196+0.003977i,-0.0041925-0.0014896i,-0.015012-0.010257i,-0.0035385+0.014802i,0.017047+0.0027802i,0.017417+0.01769i,0.0078645-0.00046353i,-0.0028942+0.00090406i,-0.0050911+0.00085455i,-0.011924+0.013278i,-0.0028544-0.0032613i,-0.031125+0.023632i,-0.0034113-0.0048783i,-0.0051712+0.0052683i,-0.0077209+0.0059192i,-0.00063916-0.0063458i,-0.0067338+0.0059156i,0.00073674-0.0032931i,0.0030337+0.0017343i,0.003227-0.002893i,-0.0075523+0.0052303i,0.0028798+0.0022815i,-0.0077173+0.01777i,0.0028376+0.0002662i,-0.017801+0.0066712i,-0.025462+0.01111i,-0.0066092-0.057103i,0.0041452-0.023327i,-0.056652+0.0001145i,-0.019865-0.0089652i,0.016788-0.005686i,-0.010801+0.018775i,-0.024295-0.0092061i
-0.028211-0.0039893i,-0.041274-0.016401i,-0.030709-0.015401i,-0.03764-0.002511i,-0.015778+0.0015338i,-0.034991+0.0044645i,-0.0678+0.0024951i,-0.058403-0.014459i,-0.031685-0.0069191i,0.0039864+0.0032191i,-0.0004057+0.0098089i,0.0051508+0.0088165i,0.0038195-0.0041345i,-0.0041617+0.0085641i,0.0019529-0.0019204i,0.013383+0.0094715i,0.03251-0.0079844i,0.0030638-0.0010133i,-0.0009799+0.0035906i,0.0042641-0.0036898i,0.0016572+0.002323i,0.0027203+0.003849i,-4.2339e-05+0.00094247i,0.0021054+0.018296i,-0.0040043+0.0010384i,0.0013018-0.0019101i,0.0033768-0.0013842i,0.0016409-0.00082507i,-0.00081056+3.8093e-05i,-0.0028036+0.00031358i,-0.00042417+0.00025515i,-0.005084+0.00078921i,-0.0051017-0.00080222i,-0.0016169-0.0015174i,-0.00041752-0.0040332i,0.014263+0.01251i,-0.00093309-0.0035223i,-0.0022916-0.0025343i,-0.00096156-0.0068861i,-0.0028635+0.0013413i,0.0022358+0.00088681i,0.0042373-0.0064393i,0.0014999+0.002375i,-0.001819+0.0057083i,-0.0061991-0.0064031i,0.023376+0.019548i,-0.051177-0.067875i,-0.043062-0.045068i,-0.013172-0.052248i,-0.0071283-0.03602i,0.02997-0.092922i,-0.030045-0.10639i,0.039023-0.084024i,-0.0021191-0.043857i,0.007135-0.012285i,0.0055286-0.0090816i,-0.0080906-0.032145i,0.0020419-0.0031391i,-0.013381-0.002536i,-0.0099401-0.0033621i,-0.046553+0.006306i,0.0081149+0.019261i,-0.0080599-0.0088995i,-0.0088689+0.0057733i,-0.005252+0.0011599i,-0.019647-0.0021774i,0.0049641+0.012315i,0.018381-0.0062282i,0.033553+0.0070363i,0.0079919-0.0035223i,-0.0032647+0.00057234i,-0.0049965+0.0035547i,-0.006508+0.018827i,-0.0051493+0.00076939i,-0.026172+0.031695i,-0.0042056-0.003519i,-0.0011872+0.0067994i,-0.0022235+0.010869i,-0.0063663-0.0036523i,-0.0029378+0.0059929i,-0.00064032-0.0027215i,0.0021223+0.0018731i,0.00030811-0.0041959i,-0.0026248+0.0043053i,-0.00054103+0.00019055i,-0.0024357+0.017551i,0.00067507+0.00028192i,-0.012204+0.010474i,-0.019908+0.01464i,-0.011203-0.056275i,0.0031559-0.019867i,-0.052162+0.015305i,-0.028566-0.0059218i,0.012774-0.011056i,-0.0023594+0.014221i,-0.024676-0.0036896i
-0.026708+0.00055403i,-0.04613-0.0099694i,-0.037827-0.011769i,-0.036375+0.0026879i,-0.018244-0.00027904i,-0.032514+0.012067i,-0.053171+0.017496i,-0.055421-0.0015856i,-0.030158+0.00025193i,0.0042306+0.0024898i,0.0029207+0.0077996i,0.006009+0.0063276i,0.00021799-0.0054625i,0.0010575+0.0097149i,0.0005314-0.0027109i,0.010784+0.0058067i,0.021484-0.021127i,0.0021102-0.0026579i,0.0020384+0.0060345i,0.0026017-0.0043142i,0.0031379+0.0026694i,0.0036332+0.0020197i,6.0091e-05+0.0014343i,0.019186+0.015791i,-0.0030847+0.0025172i,0.000499-0.0023526i,0.0015831-0.0029558i,0.0016561-0.00049418i,-0.0002781+0.00028734i,-0.0026925+0.0017355i,-0.00034453+0.00032348i,-0.0039882+0.0026036i,-0.0045029+0.0012145i,-0.0020925-0.00086767i,-0.0022091-0.0028095i,0.015937+0.0091756i,-0.0015961-0.0031698i,-0.0033688-0.0017229i,-0.0033745-0.0053608i,-0.0013272-0.00037597i,0.0021237-2.9202e-05i,0.0014723-0.0054034i,0.0022162+0.0015697i,-0.0013518+0.005475i,-0.007353-0.010347i,0.033979+0.0061478i,-0.056846-0.054251i,-0.045538-0.032997i,-0.01604-0.05657i,-0.0078021-0.037534i,0.00082554-0.10736i,-0.054807-0.097569i,0.018626-0.096629i,-0.010507-0.039039i,0.0064731-0.0094828i,0.00016816-0.011085i,-0.019088-0.023653i,-0.0028869-0.0064593i,-0.013867-0.00014364i,-0.016219+0.00036463i,-0.041876+0.0253i,0.011626+0.0092847i,-0.011665-0.0045958i,-0.0068834+0.0074968i,-0.0053543+0.0041909i,-0.018629+0.0084565i,0.0049793+0.0068568i,0.015404-0.014093i,0.023848-0.0041062i,0.0059434-0.0073186i,-0.0052698+0.0024293i,-0.0022926+0.0062624i,0.0028175+0.019591i,-0.0045786+0.0048173i,-0.018113+0.040594i,-0.0063689-0.0033306i,0.0012564+0.0041397i,0.0043531+0.010241i,-0.0079657+0.0014879i,-0.0023038+0.0034208i,-0.0017722-0.0026724i,0.0018565+0.0035464i,-0.0032255-0.0035291i,-0.0022493+0.0012004i,-0.0038259+0.0035633i,0.0058758+0.021743i,-0.0009573+0.00074594i,-0.0051025+0.011215i,-0.016566+0.01786i,-0.01923-0.053538i,0.0068741-0.025304i,-0.042742+0.030935i,-0.032209+0.0059886i,0.0070878-0.01502i,-0.0011735+0.007186i,-0.02332-0.0013027i
-0.024113+0.0038444i,-0.047206-0.0030881i,-0.043427-0.0022921i,-0.035256+0.0077223i,-0.023204+0.0015293i,-0.026843+0.018108i,-0.039104+0.020965i,-0.049915+0.0069524i,-0.027656+0.0036242i,0.0038944+0.0018023i,0.0036232+0.0060607i,0.0067533+0.0023557i,-0.0035544-0.0047944i,0.0059122+0.0068573i,-0.0011421-0.0027677i,0.009779+0.0047678i,0.0053111-0.023962i,0.0014732-0.0030522i,0.0060297+0.0044001i,0.0010387-0.0040497i,0.0047504+0.00053362i,0.0033273+0.00076839i,0.0011501+0.0017768i,0.021396-0.0021639i,-0.00093641+0.0036742i,-0.00034966-0.0026276i,-0.00046811-0.000578i,0.0020292-0.0029584i,9.828e-05-0.00033778i,-0.0010439+0.0030082i,3.858e-05+0.00023584i,-0.0027471+0.0032494i,-0.004257+0.0033287i,-0.0019192+0.00037625i,-0.0013934-0.0014041i,0.018322+0.0040592i,-0.0027362-0.0024631i,-0.00449-0.00050725i,-0.0052199-0.0038125i,-0.0032152-0.0019537i,0.0022008-0.00047042i,0.00014315-0.0039598i,0.0020218+0.00065336i,-0.0004613+0.0058924i,-0.011878-0.011662i,0.030583-0.013702i,-0.055042-0.043225i,-0.046561-0.023101i,-0.022138-0.057279i,-0.0080646-0.042407i,-0.031427-0.10314i,-0.076051-0.080991i,0.0006303-0.098051i,-0.009566-0.025008i,0.012075-0.0051183i,-0.0046001-0.0095467i,-0.020148-0.010943i,-0.0058816-0.0067183i,-0.01726+0.0041442i,-0.013145+0.0069078i,-0.030014+0.040264i,0.01009+0.0030288i,-0.0098027+0.0033466i,-0.006699+0.0081827i,-0.0015123+0.0073924i,-0.012128+0.015578i,0.0059417+0.0078886i,0.0095844-0.024689i,0.015177-0.018324i,-0.00084909-0.011652i,-0.0059168+0.0064185i,-0.00014916+0.0060415i,0.010528+0.015722i,-0.00095578+0.007138i,-0.0012011+0.052704i,-0.0096505-0.0012158i,0.0010586+0.0036326i,0.0076399+0.0054547i,-0.0058564+0.0074549i,-0.0025787+0.004673i,-0.0041682-0.001385i,0.0049072+0.0038202i,-0.0036612+0.0019745i,-0.0049349+0.00082756i,-0.00015814+0.0092665i,0.010336+0.013952i,-0.0017176+0.00067682i,-0.0018215+0.0068382i,-0.010256+0.02157i,-0.020595-0.044628i,-0.0018234-0.039225i,-0.020612+0.037377i,-0.026421+0.014543i,0.0055168-0.021706i,-0.0022761+0.0013557i,-0.021693+0.0041583i
-0.02139+0.0059426i,-0.051029+0.0030915i,-0.045678+0.0091597i,-0.031317+0.013975i,-0.026156+0.0082519i,-0.020967+0.020965i,-0.029633+0.019676i,-0.044548+0.01189i,-0.027813+0.0070705i,0.0045405+0.00033246i,0.0057574+0.0050624i,0.0035357-0.0014812i,-0.0066355-0.0014429i,0.0076517+0.00092777i,-0.0023537-0.0021731i,0.0094223+0.0039408i,-0.0061585-0.017304i,0.00039813-0.0036816i,0.0066313+0.00018378i,-0.00016283-0.0030484i,0.0042633-0.0017561i,0.0042942+0.00052794i,0.0021617+0.0010816i,0.015003-0.011306i,0.001974+0.002286i,-0.0006257-0.0013898i,0.0006462-0.0017556i,-0.00013839-0.0040443i,-2.8117e-05-0.00028838i,0.00058451+0.0025297i,0.00010183-8.9019e-05i,-0.0011023+0.0037195i,-0.0011874+0.0046365i,-0.0012124+0.00068875i,-0.0023835+0.00075765i,0.018883-0.001993i,-0.0030466-0.00087585i,-0.0040352+0.0010947i,-0.0063484-0.00039589i,-0.0063347+0.00010047i,0.0016663-0.00088679i,-0.0001573-0.0046306i,0.0018161+0.00014024i,0.00040859+0.0046759i,-0.016589-0.0096862i,0.018305-0.019485i,-0.056909-0.039548i,-0.040532-0.013004i,-0.027327-0.057374i,-0.016563-0.050518i,-0.053851-0.090555i,-0.084526-0.055911i,-0.020036-0.099122i,0.00034075-0.022052i,0.017648-0.018411i,-0.0069729-0.0058915i,-0.01614-0.0087402i,-0.012661-0.0053183i,-0.014794+0.012553i,-0.010057+0.0085272i,-0.0091492+0.046455i,0.0098271+0.00011809i,-0.0073331+0.0036085i,-0.0017915+0.0088287i,0.00087322+0.0058096i,-0.0046027+0.01903i,0.0099575+0.0052294i,-0.0065709-0.028372i,-0.0013124-0.020024i,-0.0048058-0.0048896i,-0.0024491+0.0094516i,0.0028639+0.0046736i,0.01624+0.0073097i,0.002843+0.0052451i,0.025775+0.048138i,-0.0074003+0.003583i,0.0013849+0.0025865i,0.0073405+0.00075355i,0.00038313+0.010142i,-0.0048159+0.0051743i,-0.004964+0.0025969i,0.0071218+0.0026203i,-0.0019275+0.0045155i,-0.0067826+0.0030517i,0.0045293+0.0087159i,0.012175+0.010567i,-0.001267+0.0020927i,0.00059029+0.0033814i,-0.0031258+0.021614i,-0.020418-0.042991i,-0.021496-0.039813i,-0.0050978+0.029841i,-0.020599+0.019837i,-0.0051561-0.028244i,-0.0058766-0.0014124i,-0.012975+0.0053449i
-0.019359+0.0073758i,-0.052479+0.01517i,-0.043614+0.021833i,-0.02669+0.01684i,-0.023561+0.015722i,-0.016298+0.022544i,-0.024049+0.016545i,-0.04038+0.015124i,-0.025405+0.013857i,0.0040665-0.0011297i,0.0065168+0.00046339i,-0.0013176-0.00010442i,-0.0063804+0.0028996i,0.0043332-0.0021286i,-0.0032991-0.0014377i,0.011028+0.001743i,-0.011095-0.0072872i,-0.0013084-0.0033339i,0.0044152-0.0021368i,-0.00068296-0.0022615i,0.0021078-0.0023061i,0.0040267-0.0013739i,0.0023024+4.2623e-05i,0.0073871-0.0152i,0.001566+0.00036249i,-0.00068156-0.0013764i,1.7131e-05-0.0026394i,-0.00013688-0.0024484i,0.00098414+1.0697e-06i,0.0011054+0.0016278i,-8.9651e-05-0.0004693i,0.00045199+0.0035239i,-0.00046427+0.0040019i,-0.0010295+0.0006579i,-0.0032542+0.0014781i,0.016124-0.0081204i,-0.0023979+1.7046e-05i,-0.0024939+0.0025682i,-0.0044962+0.0014371i,-0.0067755+0.003362i,0.0012417-0.00086426i,-0.0013116-0.0040688i,0.0015028-0.00024691i,-7.7965e-05+0.0037894i,-0.019913-0.004724i,0.014763-0.014453i,-0.060945-0.03552i,-0.032769-0.010436i,-0.034334-0.056006i,-0.029702-0.049322i,-0.073247-0.076653i,-0.080754-0.036556i,-0.045889-0.088618i,0.0052751-0.02821i,0.012046-0.029309i,-0.0065611-0.0037847i,-0.016466-0.0055155i,-0.018252+0.0027901i,-0.0076278+0.0177i,-0.0062659+0.011815i,0.011022+0.038177i,0.0012552+0.021417i,-0.0073875+0.0048067i,-0.0006738+0.0061402i,0.0038592+0.0057267i,0.0041543+0.016019i,0.010709-0.0019918i,-0.020921-0.018666i,-0.011209-0.011669i,-0.0037722-0.0012358i,0.002952+0.0094369i,0.0036101+0.0023294i,0.017695-0.00065589i,0.0049271+0.0043256i,0.042478+0.03237i,-0.0053063+0.0040612i,0.00076627+0.0027204i,0.0051105-0.0033293i,0.0060693+0.0068494i,-0.0047921+0.01133i,-0.0019271+0.00691i,0.0091772-0.0013108i,0.0028041+0.0044148i,-0.006864+0.0064856i,0.0077462+0.0053174i,0.01302+0.0063265i,-0.00091522+0.0016569i,0.00014215-3.7287e-05i,0.0017116+0.018643i,-0.021195-0.041779i,-0.032537-0.02654i,0.0033466+0.019172i,-0.0067171+0.024118i,-0.01665-0.02802i,-0.01243-0.00081025i,-0.011872-0.0015007i
-0.017813+0.0089555i,-0.047351+0.027403i,-0.035615+0.03382i,-0.023263+0.019397i,-0.018231+0.020233i,-0.011456+0.023834i,-0.021827+0.012808i,-0.038208+0.01839i,-0.018082+0.01868i,0.0027621-0.0023i,0.0035018-0.002531i,-0.0014464+0.0039061i,-0.0041789+0.0056579i,0.0016014-0.0030365i,-0.0041003-0.00022393i,0.010866-0.0019339i,-0.0064305-0.0021936i,-0.0022039-0.0021283i,0.0023721-0.0022843i,-0.00075788-0.0017058i,0.0018426-0.0013993i,0.0029741-0.0021431i,0.0020693-0.00045213i,0.001088-0.014461i,0.00091192-0.00027719i,-0.0012095-0.0014917i,-0.0009024-0.0025536i,-0.00077067-0.0025995i,0.00081647-0.0010769i,0.0014452+0.0010984i,-0.00036627-0.00084874i,0.0019353+0.0028837i,0.0015235+0.0030027i,-0.0010098+0.0013566i,-0.0020048+0.0014257i,0.010661-0.012587i,-0.0017158+0.00029508i,-0.00085167+0.0029084i,-0.0044924+0.0025113i,-0.0044077+0.0065817i,0.0010927-0.00071545i,-0.0026142-0.0032382i,0.0014928-0.00069517i,-0.0015288+0.0044482i,-0.020563+0.0015689i,0.022084-0.0126i,-0.067408-0.029244i,-0.028037-0.011714i,-0.040441-0.052767i,-0.038997-0.042793i,-0.088348-0.054698i,-0.078112-0.026502i,-0.054938-0.064489i,0.0049792-0.032731i,0.0018047-0.036466i,-0.0070453-0.0028835i,-0.015412-0.0055483i,-0.014391+0.013231i,-0.00044304+0.01773i,0.002469+0.010629i,0.018737+0.024313i,0.0011273-0.007791i,-0.0068294+0.0075609i,-0.0008256+0.0058197i,0.0054554+0.0015377i,0.0082837+0.01101i,0.0043366-0.0040121i,-0.026234-0.0042665i,-0.01353-0.003073i,-0.001328-0.00052794i,0.0056796+0.0075862i,0.0022183+0.0010595i,0.014064-0.01113i,0.0057062+2.352e-05i,0.050441+0.011831i,-0.0055228+0.0060665i,0.0021889+0.0019976i,0.00081845-0.0049706i,0.0069874+0.0026617i,0.00074211+0.015234i,0.0043712+0.0047056i,0.0063021-0.0051993i,0.004883+0.00060659i,-0.0036439+0.01108i,0.006659+0.0030288i,0.013872+0.0012021i,-0.0024664+0.001598i,-0.0040955-0.0011228i,0.0044742+0.016572i,-0.0225-0.042737i,-0.033091-0.013155i,0.0039175+0.0089862i,0.003941+0.015738i,-0.029206-0.022817i,-0.014875+0.0073043i,-0.016308-0.0011561i
-0.016431+0.010749i,-0.039199+0.035089i,-0.023694+0.041134i,-0.019859+0.022011i,-0.012513+0.023031i,-0.0067147+0.024311i,-0.022724+0.010713i,-0.035534+0.023375i,-0.011857+0.019351i,0.0009956-0.0025846i,0.00018399-0.0019144i,0.00075055+0.0053781i,-0.0010614+0.0066397i,-0.00070069-0.0026849i,-0.0041031+0.0013525i,0.0081824-0.0055886i,-0.0053712-0.0019811i,-0.0021466-0.00055987i,0.0016513-0.0024591i,-0.00083855-0.0012506i,0.0023042-0.0021059i,0.0021284-0.0020222i,0.001935-0.00084483i,-0.0031967-0.012546i,0.00071817-0.00045325i,-0.0018605-0.00074244i,-0.0018341-0.0020766i,-0.0020656-0.0022602i,0.00030465-0.00136i,0.0017464+0.00035725i,-0.00093646-0.00088124i,0.0027344+0.0014168i,0.0022811+0.0015187i,-0.00051922+0.0015592i,-0.0018655+0.0016163i,0.0038773-0.012248i,-0.0017965-0.00012327i,0.00083413+0.0025555i,-0.0024717+0.0047462i,-0.0012391+0.0077766i,0.0011799-0.00063815i,-0.0024163-0.0018275i,0.0012473-0.0013771i,-0.00062809+0.0069534i,-0.016817+0.0069409i,0.032188-0.022743i,-0.075013-0.018413i,-0.027497-0.013364i,-0.045199-0.048736i,-0.046102-0.035755i,-0.090632-0.031206i,-0.076183-0.015609i,-0.050651-0.050524i,0.0038312-0.038949i,-0.011384-0.038395i,-0.0070281-0.0012963i,-0.019062-0.0061296i,-0.0058259+0.01732i,0.0050974+0.014594i,0.0065462+0.0029435i,0.018227+0.012429i,-0.0032179-0.0075404i,-0.0045271+0.010179i,-0.00039049+0.0063492i,0.003816-0.0014008i,0.0089443+0.0058951i,0.002805-0.00098024i,-0.023006+0.0095413i,-0.010837+0.0044313i,-0.0010968-0.00043553i,0.0081456+0.0052757i,0.00092404+0.00098444i,0.0047252-0.014893i,0.0030897-0.0025233i,0.046304-0.0088727i,-0.0029419+0.0082611i,0.0011515+0.0010405i,-0.0025052-0.0031828i,0.0063752+0.00062869i,0.00847+0.015123i,0.0043084+0.00061036i,0.0035584-0.0062921i,0.0029164-0.0017968i,0.0025787+0.014044i,0.0062646+0.0014258i,0.012107-0.002854i,-0.0013099+0.005303i,-0.0059582+0.00061012i,0.0071181+0.014778i,-0.027726-0.045381i,-0.031054-0.0059749i,0.0025665+0.0034735i,0.0052972+0.0061936i,-0.037394-0.012185i,-0.0099146+0.010484i,-0.016159+0.0014699i
-0.014219+0.012597i,-0.02996+0.040154i,-0.01057+0.043462i,-0.014919+0.024633i,-0.0056767+0.023428i,-0.0021908+0.023969i,-0.024361+0.011486i,-0.031258+0.028293i,-0.0062538+0.019225i,-0.00022404-0.0020217i,-0.0011276+5.5602e-06i,0.0035683+0.0049656i,0.0011763+0.0062361i,-0.0028339-0.00078118i,-0.0037411+0.0025585i,0.0042418-0.0074194i,-0.0070382-0.0011813i,-0.001836-8.5332e-05i,0.00022605-0.0023419i,-0.0010043-0.00098961i,0.0016204-0.0029901i,0.0021374-0.0020834i,0.0016706-0.0012818i,-0.0066244-0.010708i,0.00037236-0.00062827i,-0.0016943+9.2885e-05i,-0.0025344-0.0012554i,-0.0025913-0.0010803i,-0.00022727-0.0013775i,0.0014031-0.00052836i,-0.0014196-0.00045206i,0.0022602+0.00040366i,0.0024079+9.0548e-05i,0.00029849+0.001162i,-0.0012964+0.0021078i,0.00069193-0.0093804i,-0.0018159+0.00032009i,0.0017574+0.0011554i,0.00022275+0.0044176i,0.0023095+0.0071014i,0.0013903-0.00083542i,-0.0018806-0.0011332i,0.00031264-0.0021203i,0.0016497+0.0064507i,-0.012019+0.008634i,0.031856-0.042131i,-0.0783-0.0022425i,-0.026398-0.014534i,-0.049074-0.048606i,-0.051203-0.026697i,-0.088849-0.014088i,-0.073521-0.0071611i,-0.048935-0.04277i,-0.001684-0.043993i,-0.025352-0.03604i,-0.0070718-0.00051828i,-0.026761-0.003009i,0.001682+0.015412i,0.008204+0.0098988i,0.0051309-0.0035299i,0.014256+0.0063441i,-0.0073555-0.0069143i,-0.00098814+0.011185i,0.0014027+0.0066042i,0.0015679-0.0019724i,0.0067735+0.0020746i,0.0033824+0.0002869i,-0.014612+0.016947i,-0.0053916+0.008401i,0.00052553-0.00084625i,0.010827+0.00041095i,0.00011932+0.0022787i,-0.0029549-0.012678i,0.00055895-0.0028461i,0.035609-0.02287i,0.00075893+0.01022i,0.00069643+0.0017018i,-0.0043469-0.00010841i,0.0054082-0.0023964i,0.014894+0.010753i,0.002735-0.0018158i,0.00052944-0.0068776i,0.0007659-0.0027671i,0.0091361+0.0083684i,0.0058268+0.00088564i,0.0091535-0.0067216i,0.0023742+0.0062648i,-0.0060366+0.0021074i,0.011112+0.012082i,-0.036693-0.043345i,-0.028185-0.00070057i,0.0010769-0.00030081i,0.0017774+0.001382i,-0.040612-0.00046274i,-0.0070232+0.0097269i,-0.01498+0.0028318i
