-0.022907-0.019097i,-0.032211-0.033566i,-0.022444-0.019551i,-0.032556-0.020224i,-0.024049+0.0042747i,-0.028634-0.017618i,-0.057808-0.044151i,-0.040253-0.041261i,-0.032607-0.019067i,0.0055716+0.0054801i,-0.003506+0.005985i,-0.010667+0.010979i,0.0031636+0.0069739i,-0.0041858-0.0022521i,0.0028589+0.0017883i,0.004277+0.028i,0.025562+0.019529i,-0.00016446+0.00010357i,-0.0030973-0.0027431i,0.0078594+0.0043261i,0.0019586+0.0004822i,-0.00043202+0.0023308i,-0.00050692+0.00043263i,-0.030334-0.00040976i,-0.0037627-0.004788i,6.0593e-05+0.0024141i,0.0044121-0.00067967i,0.00080031-0.00018198i,-0.0004945-0.00057571i,-0.0012683-0.0017745i,-0.0022388-0.00030591i,-0.0038632-0.004602i,-0.0033693-0.0048102i,0.00052014-0.0011384i,0.00051452-0.002763i,-0.0054207+0.026304i,0.0020866-0.0031014i,0.002199-0.0037538i,0.0041719-0.0023958i,-0.0085317-0.0021514i,0.00067465+0.0011298i,0.012994-0.004053i,-0.0026363+0.00028503i,-0.0030995+0.0013119i,-0.009299-0.0031324i,-0.019503+0.022039i,-0.0076533-0.086047i,-0.0022167-0.060921i,-0.021399-0.053685i,-0.010891-0.045876i,0.054712-0.026178i,0.024304-0.067606i,0.040547-0.053315i,0.019143-0.038649i,0.025872-0.019846i,0.012244+0.012045i,0.026308-0.02995i,-0.0099089+7.2169e-05i,-0.00085323-0.0012883i,-0.0076404-0.0020491i,-0.0050933-0.028772i,-0.021416+0.026643i,0.0078-0.0092309i,-0.010137-0.0038242i,-0.0025481-0.0018279i,-0.00066466-0.014937i,-0.008123+0.0050217i,0.0051175+0.010688i,-0.010973+0.032819i,0.0064748+0.0076147i,-0.0038942-0.0016374i,-0.0022755-0.0015929i,-0.012424-0.0062639i,0.00045896-0.0040188i,-0.033772+0.0023748i,0.0032842-0.0084415i,-0.0076092-0.0023004i,-0.0050902-0.0027936i,0.0068136+0.0015877i,-0.010101+0.00037434i,0.0024868-0.00046242i,0.0066615+0.0077769i,0.0053541+0.0011398i,-0.0080499-0.010337i,0.0025629+0.0076477i,-0.01937+0.0095359i,0.0028553+0.005663i,-0.021178-0.0086007i,-0.02701-0.0052434i,0.01037-0.062671i,0.018469-0.014759i,-0.051675-0.028466i,-0.023361+0.0026027i,0.018807+0.010163i,-0.027067+0.012139i,-0.01255-0.0077042i
-0.027022-0.014745i,-0.035995-0.023599i,-0.024527-0.016842i,-0.03608-0.015982i,-0.019554+0.0049255i,-0.032897-0.010903i,-0.061014-0.031327i,-0.045219-0.034675i,-0.031098-0.010637i,0.0040314+0.0037683i,-0.0046108+0.005254i,-0.0044126+0.014814i,0.0064657+0.0030476i,-0.0069414+0.00094125i,0.0031114+0.0002955i,0.010382+0.021891i,0.028654+0.0086391i,0.0012664+0.0010162i,-0.0032892+0.00010144i,0.0077476-0.00054568i,0.0011604+0.0010617i,-0.00027802+0.0026649i,-0.00035749+0.0008083i,-0.016424+0.012643i,-0.0051561-0.0028072i,0.0020468+0.001138i,0.0022474-0.0005303i,0.0011021+0.00059184i,0.00022724-0.00060145i,-0.0021612-0.0014293i,-0.0011483+0.00037353i,-0.0048478-0.0032635i,-0.0042694-0.0035304i,8.3366e-05-0.0015401i,1.5658e-05-0.0014022i,0.0034629+0.025662i,0.0013287-0.0038281i,-0.00024283-0.0040043i,0.0041514-0.0042066i,-0.0049719-0.00037651i,0.00086942+0.0014449i,0.0087172-0.0026329i,-0.0023257+0.0023123i,-0.0049642+0.0033965i,-0.0071448-0.0028265i,-0.0048436+0.028465i,-0.023774-0.083966i,-0.019127-0.065062i,-0.018236-0.04533i,-0.013405-0.034488i,0.05534-0.050038i,0.019519-0.087709i,0.041559-0.055953i,0.012589-0.04473i,0.013426-0.015363i,0.012731+0.00081946i,0.012856-0.033522i,-0.0098054+0.0058815i,-0.0027366-0.0082451i,-0.0083026-0.00073367i,-0.02712-0.026692i,-0.0092581+0.024369i,0.0023044-0.012376i,-0.011824-0.00027018i,-0.002264-0.0012608i,-0.0072728-0.014145i,-0.008391+0.0090589i,0.010491+0.0098164i,0.011072+0.029019i,0.0081346+0.0029322i,-0.0036685+0.0010031i,-0.0044957-0.0011582i,-0.015911+0.0041866i,0.00065218-0.0033653i,-0.036541+0.0061804i,-0.001854-0.0073255i,-0.0072671+0.0019074i,-0.0068869+0.0002782i,0.0050218-0.0039912i,-0.0090895+0.0038171i,0.0020036-0.0020595i,0.0052392+0.0027876i,0.004265-0.00086368i,-0.012578-0.0014562i,0.0030034+0.0049628i,-0.011033+0.014778i,0.0038034+0.0029904i,-0.021121-0.00012047i,-0.028464+0.0026047i,1.8666e-05-0.061168i,0.012944-0.022397i,-0.056167-0.013426i,-0.015691-0.0011779i,0.019478+0.0028505i,-0.020785+0.018192i,-0.019541-0.01249i
-0.028535-0.0090551i,-0.036867-0.019352i,-0.026394-0.015825i,-0.039101-0.0093853i,-0.016518+0.0037395i,-0.035197-0.0037015i,-0.06599-0.01857i,-0.051255-0.027288i,-0.029244-0.0081561i,0.0034632+0.0033218i,-0.004184+0.0082371i,0.0025485+0.013194i,0.0058453-0.0011928i,-0.0066947+0.0046516i,0.0027077-0.00076234i,0.01324+0.015463i,0.03072+0.0001408i,0.0027836+0.00020345i,-0.0019319+0.00178i,0.0059842-0.0028184i,0.00087295+0.0014226i,0.00086514+0.0034013i,3.0851e-05+0.00092074i,-0.0059691+0.015928i,-0.0048867-0.00076054i,0.0025165-0.00093259i,0.0022404-0.00055645i,0.001984+0.00060324i,-0.00050959-0.0010167i,-0.0025512-0.0005445i,-0.00075313+0.0001802i,-0.0053696-0.00098469i,-0.0050067-0.0023891i,-0.00067429-0.0017666i,0.00083003-0.0024423i,0.011291+0.021206i,5.1222e-05-0.0037972i,-0.0014434-0.0032353i,0.0019469-0.0065038i,-0.0046484-3.1397e-05i,0.0015341+0.0015465i,0.0070834-0.0051396i,-0.0003587+0.0034146i,-0.0039445+0.0054526i,-0.0061617-0.0053338i,0.0097821+0.027037i,-0.038721-0.077639i,-0.035269-0.057572i,-0.011074-0.047115i,-0.0075742-0.034189i,0.047436-0.07167i,-0.0018399-0.10491i,0.044107-0.065097i,0.0049576-0.044133i,0.010457-0.013448i,0.0099072-0.0045885i,0.0041715-0.035389i,0.0016102+0.0059006i,-0.01126-0.0083503i,-0.0067926-0.0013514i,-0.042878-0.012999i,-0.0017545+0.022775i,-0.0038377-0.011582i,-0.010685+0.0039085i,-0.0039281-0.0013346i,-0.015305-0.01057i,-0.0037688+0.014541i,0.016434+0.0029922i,0.017988+0.018697i,0.0089222+0.00026113i,-0.0028609+0.00097314i,-0.0052464+0.00078708i,-0.010061+0.012346i,-0.0025222-0.0033767i,-0.030321+0.016435i,-0.0032855-0.0044584i,-0.0050645+0.0052843i,-0.0078637+0.006207i,-0.00066394-0.0059794i,-0.0065377+0.0059431i,0.00057389-0.0030657i,0.0032069+0.0014103i,0.0032296-0.0023562i,-0.0076725+0.0057668i,0.0030117+0.0022309i,-0.0059023+0.017382i,0.0025024+0.00015667i,-0.018256+0.005958i,-0.024767+0.010589i,-0.0065532-0.058508i,0.0041722-0.02358i,-0.056328+0.00061304i,-0.020424-0.007922i,0.017145-0.0058114i,-0.010469+0.01893i,-0.023642-0.0088097i
-0.027972-0.0039408i,-0.040467-0.016907i,-0.030804-0.015264i,-0.037923-0.0020609i,-0.015838+0.0012608i,-0.034874+0.004411i,-0.067199+0.0016966i,-0.056726-0.015562i,-0.031355-0.0040424i,0.0038638+0.0029646i,-0.00064704+0.0097912i,0.0056141+0.0087501i,0.0036906-0.0041132i,-0.0042004+0.0084117i,0.0019263-0.0019511i,0.013777+0.0082073i,0.029-0.011274i,0.002839-0.0013565i,-0.0011748+0.003375i,0.0044219-0.0038819i,0.0017407+0.0023411i,0.0025302+0.0033991i,0.00010923+0.00090745i,0.0026473+0.017819i,-0.0040788+0.00073461i,0.0014038-0.0021857i,0.0030654-0.00094061i,0.0017956-0.00036064i,-0.0008542-0.00010415i,-0.0028392+0.00020215i,-0.00049385+0.00021518i,-0.0046598+0.00069295i,-0.0053306-0.00044382i,-0.0013109-0.0017125i,-0.00053054-0.0036562i,0.014511+0.013666i,-0.0010218-0.0037638i,-0.0022019-0.0024717i,-0.0012409-0.0067782i,-0.0034623+0.0020212i,0.0022533+0.00090334i,0.004245-0.0067392i,0.0012683+0.0029666i,-0.0019732+0.0057332i,-0.0061023-0.0069196i,0.023388+0.020467i,-0.05036-0.067505i,-0.043055-0.045054i,-0.013114-0.051512i,-0.0071249-0.036652i,0.031184-0.093973i,-0.030184-0.10711i,0.038697-0.082984i,-0.00036461-0.044259i,0.00766-0.012088i,0.0054527-0.0092076i,-0.0072474-0.03017i,0.0025617-0.0032643i,-0.013231-0.0028389i,-0.010122-0.003737i,-0.04772+0.0085721i,0.0081185+0.018463i,-0.0081914-0.0093704i,-0.0078649+0.0055573i,-0.0051295+0.00094219i,-0.020402-0.0022737i,0.0043597+0.01265i,0.017831-0.0055761i,0.028425+0.00069079i,0.0088567-0.0038265i,-0.0032978+0.00048754i,-0.0053963+0.0034532i,-0.0053381+0.017349i,-0.0050564+0.00010347i,-0.024635+0.025881i,-0.0040146-0.0033042i,-0.0011936+0.0066467i,-0.002367+0.011013i,-0.0054873-0.0032648i,-0.0031956+0.0060928i,-0.00066053-0.0024146i,0.0022396+0.0016569i,0.00069065-0.0042231i,-0.0021806+0.0044863i,-0.0004675-2.2422e-05i,0.020492+0.042581i,0.00016722+0.00020867i,-0.013359+0.010278i,-0.019543+0.014388i,-0.011352-0.057196i,0.0035216-0.019995i,-0.051773+0.015789i,-0.027434-0.0051934i,0.013459-0.011786i,-0.0019541+0.013819i,-0.02379-0.0033283i
-0.026471+0.00068083i,-0.045973-0.010625i,-0.037982-0.011053i,-0.036002+0.0030351i,-0.018504-0.00049146i,-0.032351+0.011942i,-0.053142+0.016542i,-0.054516-0.0029935i,-0.029051+0.0020766i,0.0041944+0.0021475i,0.0026278+0.0079409i,0.0065289+0.0059505i,0.00031243-0.0054906i,0.0015181+0.009447i,0.00060876-0.0027393i,0.010654+0.0047345i,0.017095-0.02021i,0.0019459-0.0026015i,0.0019807+0.0059199i,0.0024842-0.0042473i,0.0032539+0.0028801i,0.0034861+0.0018757i,0.00018128+0.0013339i,0.015579+0.015698i,-0.0034326+0.0024014i,0.00043509-0.0024366i,0.0017532-0.0029562i,0.0011977-1.7456e-05i,-0.00027333+0.00025769i,-0.0027801+0.0016982i,-0.00039745+0.00028706i,-0.0039403+0.0026339i,-0.0041186+0.0010199i,-0.0021173-0.0011569i,-0.0021482-0.0024673i,0.016256+0.010389i,-0.0019736-0.0033788i,-0.003185-0.0016881i,-0.0036118-0.0050217i,-0.0015957+0.00025488i,0.0020251+1.679e-05i,0.00147-0.0055453i,0.0023873+0.0021367i,-0.001459+0.0052445i,-0.007433-0.010618i,0.034411+0.0066861i,-0.056343-0.054726i,-0.044991-0.033309i,-0.016158-0.055556i,-0.0081182-0.038057i,0.0013188-0.10919i,-0.055-0.097805i,0.020286-0.095816i,-0.01002-0.039845i,0.0067266-0.00967i,-4.853e-05-0.011014i,-0.01764-0.023655i,-0.0026759-0.0064768i,-0.014695-0.00058348i,-0.016545+9.0071e-05i,-0.041371+0.024806i,0.011775+0.008583i,-0.012082-0.0048323i,-0.006462+0.0071052i,-0.0053638+0.0041131i,-0.019046+0.0086182i,0.004851+0.0073355i,0.015787-0.013451i,0.025295-0.0050909i,0.0055994-0.007451i,-0.0056278+0.0023586i,-0.0026607+0.0060549i,0.0028403+0.019319i,-0.0047651+0.00423i,-0.016762+0.039005i,-0.005712-0.0034063i,0.0014413+0.0043724i,0.0040441+0.010226i,-0.0079827+2.6693e-05i,-0.0021582+0.0034136i,-0.0019279-0.0025387i,0.0016646+0.0033643i,-0.0032691-0.0028554i,-0.0021137+0.00092969i,-0.0038032+0.0032567i,0.0023682+0.015556i,-0.001341+0.00076598i,-0.0059101+0.01188i,-0.016552+0.017425i,-0.019058-0.054293i,0.0079579-0.025478i,-0.042751+0.031209i,-0.030997+0.0052668i,0.0068123-0.015976i,-0.0012915+0.0064635i,-0.022441-0.00074396i
-0.023812+0.0039917i,-0.047166-0.0032599i,-0.043238-0.0015901i,-0.034905+0.0080288i,-0.023439+0.0014875i,-0.026799+0.017919i,-0.039381+0.01982i,-0.049788+0.0052602i,-0.026393+0.0048673i,0.0036325+0.0012117i,0.0033356+0.0067017i,0.0067881+0.0018606i,-0.0033966-0.004904i,0.006245+0.0065767i,-0.00099558-0.0028065i,0.0090587+0.0037456i,0.0033537-0.020326i,0.0014203-0.0030139i,0.0058121+0.0040266i,0.00081148-0.0039078i,0.0046936+0.00074287i,0.0033809+0.00074716i,0.0012356+0.0016723i,0.022504-0.001268i,-0.0012735+0.0036109i,-0.00049831-0.0021004i,-0.00044957-0.00090574i,0.0024655-0.0022217i,6.1049e-05-0.00036029i,-0.0010744+0.0030155i,3.1673e-05+0.00023192i,-0.0028895+0.0037054i,-0.0039186+0.0025526i,-0.002238+0.00021033i,-0.0012535-0.00081868i,0.019492+0.0046295i,-0.0031215-0.0025958i,-0.0043508-0.00070899i,-0.0053936-0.0034475i,-0.0035036-0.0012425i,0.002045-0.00038356i,0.00025171-0.0039568i,0.0025036+0.00091513i,-0.00079279+0.0055584i,-0.012103-0.011789i,0.030898-0.01381i,-0.055002-0.043418i,-0.046591-0.023791i,-0.021872-0.056557i,-0.0086097-0.042513i,-0.031722-0.1045i,-0.076151-0.081422i,0.0042408-0.098978i,-0.0095693-0.025915i,0.012245-0.0049685i,-0.0048034-0.0092668i,-0.020037-0.011494i,-0.0060152-0.0067611i,-0.018062+0.0041814i,-0.013613+0.0066901i,-0.031881+0.038789i,0.0099229+0.00252i,-0.010493+0.0025675i,-0.0062955+0.0085027i,-0.0018535+0.0076442i,-0.0117+0.015327i,0.0059371+0.0084689i,0.010155-0.024664i,0.015545-0.019005i,-0.00089401-0.011028i,-0.0060604+0.0065407i,-0.00069352+0.0061817i,0.010837+0.016414i,-0.0013725+0.0066858i,-0.00069315+0.051925i,-0.0090697-0.0021669i,0.0012134+0.0035018i,0.0076072+0.0052704i,-0.0066909+0.0073343i,-0.0028354+0.0046136i,-0.0045387-0.0015658i,0.0044889+0.0040451i,-0.0042333+0.002037i,-0.0052181+0.00058976i,-0.00031585+0.0088847i,0.0092887+0.01668i,-0.0018909+0.00091788i,-0.0018974+0.0074412i,-0.01022+0.021213i,-0.020718-0.045442i,-0.0012207-0.039841i,-0.02029+0.037596i,-0.02527+0.013831i,0.003763-0.022111i,-0.0023898+0.0007753i,-0.021113+0.0038272i
-0.021201+0.0060065i,-0.050801+0.0031156i,-0.045532+0.0093795i,-0.031115+0.014091i,-0.026202+0.0082828i,-0.020926+0.020663i,-0.030647+0.018569i,-0.0452+0.010879i,-0.026209+0.0078459i,0.0040282+0.00013589i,0.0062363+0.0057115i,0.0035995-0.0016162i,-0.0065708-0.0016749i,0.0076867+0.00072685i,-0.0023044-0.0022737i,0.0081921+0.0034819i,-0.0044474-0.014415i,4.0521e-05-0.0036523i,0.0062079+6.8221e-05i,-0.000243-0.0029149i,0.0044547-0.0015745i,0.0043874+0.00032935i,0.0021948+0.00098415i,0.016293-0.011446i,0.0016433+0.0029074i,-0.00080506-0.0012448i,0.00055072-0.0019691i,0.0015152-0.0041097i,3.1566e-05-0.00022116i,0.00051364+0.0025142i,0.00011621-9.3155e-05i,-0.00085016+0.0041014i,-0.0018441+0.0039081i,-0.0014153+0.0008518i,-0.00301+0.00042736i,0.019104-0.0027186i,-0.0032432-0.00080981i,-0.0038412+0.0010155i,-0.0063062-0.00017274i,-0.0063027+0.00125i,0.0017812-0.0007013i,-8.8777e-05-0.0044322i,0.0022197+3.6019e-05i,0.00019576+0.0044045i,-0.01689-0.0096611i,0.018631-0.019658i,-0.056831-0.039606i,-0.04073-0.01337i,-0.026894-0.057225i,-0.016767-0.049586i,-0.054674-0.091684i,-0.084585-0.056748i,-0.019757-0.10304i,1.9237e-05-0.022918i,0.018008-0.018937i,-0.0067252-0.0055872i,-0.016163-0.0092134i,-0.013152-0.0050266i,-0.014651+0.012792i,-0.010587+0.0085178i,-0.010006+0.04471i,0.0097434-0.00035738i,-0.0077955+0.0036627i,-0.0015651+0.00888i,0.00087606+0.0061563i,-0.0048303+0.019127i,0.010094+0.0054795i,-0.0061221-0.028858i,-0.0013771-0.020486i,-0.0049478-0.0045702i,-0.0026423+0.0093538i,0.0026912+0.0048661i,0.016876+0.0079512i,0.002445+0.0052444i,0.024559+0.049056i,-0.0077396+0.0031249i,0.0012234+0.0025269i,0.0077078+0.00052943i,-8.1729e-05+0.010494i,-0.0048596+0.0050748i,-0.0051942+0.0023292i,0.0072365+0.0030208i,-0.0020444+0.0047814i,-0.0068707+0.0027446i,0.0042947+0.0084684i,0.014213+0.0090304i,-0.0014573+0.0021332i,0.00042377+0.0040184i,-0.0032475+0.021148i,-0.020257-0.043721i,-0.021346-0.040643i,-0.0045949+0.029662i,-0.019778+0.018258i,-0.0048333-0.026537i,-0.006515-0.0018289i,-0.012483+0.0049759i
-0.019131+0.0072618i,-0.052298+0.014829i,-0.044033+0.022333i,-0.026174+0.017014i,-0.023552+0.015766i,-0.016447+0.022366i,-0.025439+0.016284i,-0.041041+0.014585i,-0.023924+0.014223i,0.0037648-0.0010466i,0.0071784+0.0008195i,-0.0012223-0.00043347i,-0.0065249+0.0027663i,0.0042531-0.0021325i,-0.0032834-0.0014514i,0.0098953+0.0022555i,-0.0077801-0.0067208i,-0.0016735-0.0030133i,0.00412-0.001764i,-0.00078354-0.0021916i,0.0022415-0.0024462i,0.0040868-0.0013814i,0.0022404-4.2588e-05i,0.0080479-0.015885i,0.0019223+0.00071413i,-0.00068235-0.0011067i,-0.00017937-0.0025679i,-0.0005278-0.0026902i,0.00092351-7.8273e-06i,0.0010009+0.0015851i,-4.6207e-05-0.00037049i,0.00054398+0.003498i,-0.00018305+0.0044922i,-0.0010764+0.00055431i,-0.0035859+0.0017399i,0.016297-0.0087456i,-0.0024299+0.0001283i,-0.0024351+0.0024268i,-0.0044076+0.0014915i,-0.0052825+0.0041039i,0.0014382-0.00081258i,-0.0012399-0.0037256i,0.0018438-0.00043892i,-0.00024198+0.0036737i,-0.020059-0.0043983i,0.014958-0.015026i,-0.061142-0.035623i,-0.032712-0.010694i,-0.034107-0.055835i,-0.029272-0.048619i,-0.074666-0.076865i,-0.080907-0.037167i,-0.046829-0.090807i,0.004332-0.028885i,0.012156-0.030091i,-0.0062758-0.0037628i,-0.016652-0.0056857i,-0.018339+0.0031052i,-0.007572+0.017698i,-0.0068059+0.011552i,0.01022+0.037055i,0.026946-0.0030281i,-0.0079124+0.004456i,-0.00069068+0.0063569i,0.0037321+0.0058652i,0.0043817+0.016245i,0.010908-0.0015334i,-0.021064-0.018965i,-0.011686-0.011838i,-0.0036492-0.00086837i,0.0025511+0.0092191i,0.0037508+0.0025815i,0.017465+0.00015496i,0.0050569+0.004275i,0.041956+0.032216i,-0.0055161+0.0030574i,0.00094613+0.0027868i,0.0054596-0.0035084i,0.0059515+0.0069839i,-0.0047772+0.01113i,-0.0020218+0.0068035i,0.0098601-0.0010777i,0.0026056+0.0046726i,-0.0074621+0.0061519i,0.0075375+0.0054955i,0.014929+0.0043948i,-0.00083369+0.0018121i,0.00022106+0.00019978i,0.0012358+0.018284i,-0.020516-0.042738i,-0.034107-0.028204i,0.0039661+0.018229i,-0.0074053+0.020631i,-0.016538-0.027997i,-0.01317-0.00056821i,-0.01189-0.0022838i
-0.017821+0.0087265i,-0.047419+0.027028i,-0.035334+0.034782i,-0.022906+0.019256i,-0.018193+0.020317i,-0.011511+0.02384i,-0.02291+0.013311i,-0.038733+0.018023i,-0.016791+0.018844i,0.0026158-0.0022741i,0.0037157-0.0026238i,-0.0014408+0.003607i,-0.0039955+0.0057284i,0.0016015-0.0030224i,-0.0040726-0.00030229i,0.010558-0.001325i,-0.0048149-0.0027043i,-0.0023358-0.0017539i,0.0025067-0.0020255i,-0.0010035-0.0014939i,0.001929-0.0014513i,0.0030275-0.0021907i,0.0019574-0.00045502i,0.0011167-0.01521i,0.00092562-0.00028658i,-0.0010567-0.0014013i,-0.00091914-0.0024633i,-0.0011735-0.0025288i,0.00083187-0.0010877i,0.0013608+0.001225i,-0.00019826-0.00077331i,0.0015416+0.0027912i,0.0018168+0.0030731i,-0.0012327+0.0012574i,-0.0017137+0.0013652i,0.010682-0.01299i,-0.001632+0.00037363i,-0.00080062+0.0029665i,-0.0046571+0.0029219i,-0.0037539+0.0051184i,0.0012472-0.00079004i,-0.002445-0.0027556i,0.0018376-0.0010713i,-0.0014213+0.0046326i,-0.020381+0.0021042i,0.021864-0.012842i,-0.068031-0.028839i,-0.02788-0.01216i,-0.039882-0.052603i,-0.03851-0.042267i,-0.089374-0.053837i,-0.078444-0.027095i,-0.056596-0.066054i,0.0036296-0.032154i,0.0015734-0.037319i,-0.0067919-0.0028318i,-0.015569-0.005903i,-0.014991+0.013618i,1.5151e-05+0.017615i,0.0015403+0.010832i,0.01905+0.023138i,0.0001515-0.0078589i,-0.0076252+0.0075525i,-0.00074947+0.0057323i,0.0055048+0.0018536i,0.0090908+0.011605i,0.0046027-0.0034179i,-0.02619-0.0038907i,-0.013261-0.0039723i,-0.0014137-0.00065124i,0.0048616+0.0081372i,0.0024204+0.00098651i,0.014511-0.0095953i,0.0059224-0.00049058i,0.049304+0.009318i,-0.0064183+0.0054929i,0.0023892+0.0019507i,0.0010254-0.0054244i,0.0070351+0.0024417i,0.0012463+0.0151i,0.0038544+0.0048287i,0.0067634-0.0047865i,0.0050079+0.00092897i,-0.0052475+0.010873i,0.0070508+0.0027334i,0.013564+0.00090072i,-0.0022232+0.0015389i,-0.0038471-0.0009667i,0.0039966+0.016657i,-0.022496-0.043456i,-0.034868-0.012804i,0.0039628+0.0082831i,0.0012281+0.014305i,-0.029242-0.022699i,-0.015051+0.0081545i,-0.016362-0.0015829i
-0.01654+0.010569i,-0.039204+0.035144i,-0.023308+0.041529i,-0.0197+0.021723i,-0.012362+0.023169i,-0.0067168+0.024306i,-0.023201+0.011662i,-0.036286+0.023271i,-0.010585+0.018919i,0.00082853-0.0026128i,0.00029815-0.0017575i,0.00072807+0.0052501i,-0.00083141+0.0066596i,-0.00081186-0.0026794i,-0.0041955+0.0012504i,0.0081825-0.0050981i,-0.0041539-0.0028517i,-0.0022107-0.00051899i,0.0018579-0.0024803i,-0.00089784-0.0011147i,0.0025274-0.0021829i,0.0020875-0.001946i,0.0018659-0.00081266i,-0.003455-0.013033i,0.00074336-0.00047241i,-0.0016867-0.00068634i,-0.0016247-0.0019554i,-0.0020831-0.0022499i,0.00023865-0.0013262i,0.0018189+0.00047393i,-0.00073445-0.00090716i,0.0026434+0.0013253i,0.0022741+0.0018086i,-0.000408+0.0016185i,-0.0017021+0.0017425i,0.0036461-0.01279i,-0.0015343+7.2961e-06i,0.00085707+0.0026601i,-0.0019371+0.0044408i,-0.0019066+0.0073164i,0.0013008-0.0006934i,-0.002044-0.0015818i,0.001241-0.0017698i,-0.00034732+0.0072423i,-0.016437+0.0074227i,0.032256-0.022369i,-0.074532-0.017998i,-0.027725-0.013747i,-0.044236-0.0489i,-0.045577-0.035638i,-0.091099-0.030147i,-0.076716-0.015516i,-0.053553-0.050685i,0.0034533-0.037645i,-0.01153-0.038831i,-0.006919-0.0012948i,-0.019321-0.0067402i,-0.006011+0.017609i,0.0059637+0.014293i,0.0056839+0.0038054i,0.018199+0.011782i,-0.0038519-0.0072332i,-0.0047262+0.010688i,-0.0004241+0.0061851i,0.003918-0.0013749i,0.0097972+0.0059786i,0.0031339-0.00085218i,-0.022714+0.0097327i,-0.011323+0.0043758i,-0.0018273-0.00056475i,0.0093951+0.0052082i,0.00098176+0.00083704i,0.006224-0.014649i,0.0030292-0.0030498i,0.043888-0.010518i,-0.0040014+0.0091176i,0.0014555+0.00079161i,-0.0025013-0.0033576i,0.0063084+0.00057569i,0.0085184+0.015377i,0.0043187+0.001137i,0.0042078-0.0059991i,0.0032267-0.0018527i,-0.0002974+0.012763i,0.0064042+0.00089476i,0.012934-0.003431i,-0.0015402+0.0050109i,-0.0056811+0.00074977i,0.0069123+0.014919i,-0.027502-0.046037i,-0.031358-0.0034709i,0.002329+0.0034097i,0.0028509+0.006331i,-0.038457-0.013065i,-0.0094325+0.010885i,-0.016056+0.00062804i
-0.014382+0.012447i,-0.029774+0.040162i,-0.0099208+0.043588i,-0.015095+0.024236i,-0.0054714+0.023519i,-0.002267+0.023992i,-0.024248+0.012373i,-0.03191+0.028426i,-0.0054968+0.0183i,-0.00036686-0.0022013i,-0.0009644-6.8287e-05i,0.0035824+0.004829i,0.0011842+0.0061232i,-0.002923-0.00079743i,-0.0038858+0.0026024i,0.0047472-0.0067516i,-0.0060538-0.0025662i,-0.0019035+0.00013599i,0.00043088-0.0026059i,-0.00093948-0.0008565i,0.0020341-0.0031989i,0.0020873-0.0019594i,0.001615-0.0012668i,-0.0070549-0.010773i,0.00032135-0.00065533i,-0.0015893-5.0375e-06i,-0.0023483-0.0010173i,-0.0027071-0.0010239i,-0.00018871-0.001229i,0.001481-0.00047347i,-0.0012375-0.00051935i,0.0024325+0.00011373i,0.002342+0.00060276i,0.0005423+0.0011082i,-0.0011157+0.0021637i,0.0006166-0.0094158i,-0.0016001+0.00039057i,0.0016853+0.0013417i,0.00070023+0.0041647i,0.0020404+0.0071745i,0.0015648-0.00077476i,-0.0016968-0.0011394i,8.219e-05-0.0023079i,0.0019333+0.0068663i,-0.011599+0.0088938i,0.032339-0.041225i,-0.077734-0.0024693i,-0.026298-0.014418i,-0.048478-0.048907i,-0.050528-0.026775i,-0.08872-0.013147i,-0.073604-0.0064094i,-0.051445-0.040739i,-0.0016862-0.042932i,-0.025597-0.035455i,-0.007115-0.00066741i,-0.027257-0.0033332i,0.0019838+0.015524i,0.0093396+0.0092631i,0.0048451-0.0019607i,0.014078+0.0062889i,-0.0073614-0.0060589i,-0.00046523+0.011284i,0.0011462+0.0069011i,0.0013657-0.0021295i,0.0073121+0.0019558i,0.0038796+0.00018881i,-0.014554+0.017005i,-0.0052899+0.0081278i,0.00021522-0.00053984i,0.010521+6.8553e-05i,0.00020021+0.00213i,-0.0023238-0.013225i,0.00039325-0.0030642i,0.034106-0.022009i,0.0015399+0.01047i,0.00083731+0.001611i,-0.0043896-0.0003033i,0.0057979-0.0023814i,0.015177+0.011199i,0.0031874-0.0011887i,0.000296-0.0065315i,0.0010888-0.0030357i,0.023011+0.0062673i,0.0062782+0.00092066i,0.0089331-0.0072644i,0.0018619+0.0063156i,-0.0057489+0.0020293i,0.010929+0.012142i,-0.036875-0.043941i,-0.025693+0.0081977i,0.00096303-0.00072337i,0.00049352+0.0024756i,-0.042193-0.00061414i,-0.0065273+0.0095618i,-0.015048+0.002545i
