-0.02294-0.018495i,-0.032616-0.032953i,-0.022311-0.019375i,-0.032835-0.020696i,-0.02369+0.0042154i,-0.028761-0.017449i,-0.058237-0.044174i,-0.040788-0.040877i,-0.030608-0.020082i,0.0049159+0.0048424i,-0.0039918+0.0064697i,-0.010937+0.011063i,0.0040787+0.0068198i,-0.0038916-0.0027266i,0.0027117+0.0017181i,0.0044995+0.028771i,0.021313+0.027311i,-0.00020663+0.00016856i,-0.0033223-0.0027048i,0.0073715+0.0041696i,0.0020185+0.00051922i,-0.00059841+0.0024626i,-0.00053556+0.00048178i,-0.030618-0.00079325i,-0.0036589-0.0050343i,-0.00025624+0.0026352i,0.0043837-0.002024i,0.00058586-0.00028433i,-0.00042378-0.00056054i,-0.0012454-0.0017464i,-0.0022686-0.00059428i,-0.0038116-0.003591i,-0.0028553-0.0052884i,0.00041099-0.0012023i,0.00044681-0.0028785i,-0.0034781+0.02552i,0.0019416-0.0031608i,0.0023371-0.0037986i,0.0040865-0.0024867i,-0.008471-0.0014704i,0.00057586+0.0011268i,0.0062774-0.0083908i,-0.0025463-5.1995e-05i,-0.0032633+0.00099446i,-0.0093902-0.0033842i,-0.019058+0.022036i,-0.0079455-0.086324i,-0.0024462-0.06114i,-0.021435-0.053343i,-0.010952-0.045707i,0.05428-0.025572i,0.024766-0.066689i,0.040761-0.053312i,0.019197-0.039938i,0.025819-0.020482i,0.012043+0.01183i,0.025904-0.029967i,-0.0096636-0.0035487i,-0.0010209-0.0008876i,-0.0071202-0.001663i,-0.0057096-0.029189i,-0.02213+0.027266i,0.0072894-0.0095236i,-0.0097983-0.0028419i,-0.0026011-0.0020267i,-0.00074085-0.014586i,-0.0082851+0.004971i,0.0048925+0.010287i,-0.011725+0.031057i,0.0064972+0.007905i,-0.003628-0.0017334i,-0.0025266-0.0015907i,-0.012797-0.0058648i,0.00026529-0.0039203i,-0.036644+0.0042175i,0.0029232-0.0087516i,-0.0073371-0.0016017i,-0.0049269-0.0031108i,0.0070212+0.0017875i,-0.010578+0.00053642i,0.0022813-7.798e-05i,0.0061827+0.0077029i,0.005846+0.0009589i,-0.0076323-0.0097558i,0.0026812+0.008003i,-0.020331+0.0069695i,0.0029865+0.0056709i,-0.021653-0.008795i,-0.026795-0.0050788i,0.0096158-0.059524i,0.018449-0.014852i,-0.051612-0.029711i,-0.024102+0.0006044i,0.018539+0.010533i,-0.027028+0.013i,-0.012795-0.007705i
-0.026655-0.014507i,-0.036296-0.022872i,-0.024252-0.016991i,-0.036547-0.016332i,-0.019251+0.0048869i,-0.032938-0.010756i,-0.06135-0.031249i,-0.044928-0.034202i,-0.02969-0.013024i,0.0035109+0.003907i,-0.0048629+0.0057229i,-0.0046039+0.015025i,0.00662+0.003065i,-0.0068141+0.00072724i,0.0030497+0.00020847i,0.010693+0.022332i,0.026747+0.013372i,0.0010044+0.0011523i,-0.0037306+0.00032587i,0.0086132-0.00025059i,0.0012893+0.00094653i,-0.00028904+0.0023758i,-0.00045295+0.00095093i,-0.017613+0.012925i,-0.0052947-0.0028644i,0.0021185+0.0015393i,0.0022423-0.0010413i,0.0007267+0.00059514i,0.00030262-0.00075041i,-0.0021234-0.0013429i,-0.0012834+0.00024515i,-0.004366-0.0026043i,-0.0037351-0.0040135i,-0.00013929-0.001406i,-3.0022e-05-0.0015539i,0.0030762+0.024059i,0.0011785-0.0038394i,-0.00014888-0.003883i,0.0041783-0.0042789i,-0.0046375-3.2601e-05i,0.00073304+0.0014049i,0.0090401-0.0026047i,-0.0024981+0.0020532i,-0.0052711+0.00303i,-0.00723-0.0028451i,-0.0045604+0.028374i,-0.024379-0.084141i,-0.019312-0.064712i,-0.017604-0.045441i,-0.013123-0.034151i,0.055165-0.049283i,0.020224-0.087454i,0.041841-0.055707i,0.012255-0.045687i,0.013899-0.015725i,0.012441+0.00072778i,0.01267-0.033073i,-0.0097833+0.0056371i,-0.0026993-0.0080308i,-0.0081597-0.00065603i,-0.026713-0.026883i,-0.0094796+0.025537i,0.0016415-0.012047i,-0.011469+0.00027419i,-0.0024027-0.0014548i,-0.0075711-0.013761i,-0.0085183+0.0087303i,0.010184+0.0096853i,0.0070171+0.030586i,0.0078877+0.0025835i,-0.0035065+0.0010575i,-0.0045356-0.0010715i,-0.015633+0.0039045i,0.0005891-0.0032218i,-0.036017+0.012274i,-0.0019716-0.0072413i,-0.0066177+0.0020874i,-0.006857-2.7467e-05i,0.0052973-0.0039414i,-0.009873+0.0041065i,0.0024649-0.002016i,0.0049848+0.002525i,0.0045848-0.0012165i,-0.012183-0.0016655i,0.0031847+0.0050391i,-0.014404+0.013845i,0.0041774+0.0028303i,-0.021115+0.00023587i,-0.028303+0.0030563i,-0.00058547-0.058885i,0.012431-0.022169i,-0.058684-0.015089i,-0.01685-0.0014549i,0.019186+0.0028296i,-0.020732+0.01918i,-0.019735-0.012872i
-0.028131-0.0092854i,-0.037129-0.019057i,-0.026424-0.016094i,-0.039399-0.0094781i,-0.016355+0.0037942i,-0.035151-0.0035771i,-0.06626-0.018268i,-0.050649-0.027082i,-0.030575-0.011619i,0.0033733+0.0036827i,-0.0041966+0.0086175i,0.0024266+0.013276i,0.0059201-0.0011225i,-0.0064585+0.0047075i,0.0027383-0.00071396i,0.01379+0.01564i,0.026691+0.0050247i,0.0024995+0.0006345i,-0.0020542+0.0020149i,0.0060048-0.0033955i,0.00085257+0.0013619i,0.0006833+0.0031622i,6.3763e-05+0.0011251i,-0.0060268+0.016629i,-0.0050152-0.00056389i,0.0027057-0.0007876i,0.0025358-0.0011521i,0.0017687+0.00063086i,-0.00054741-0.0010291i,-0.0024785-0.00051589i,-0.00073598+0.00018915i,-0.0052295-0.0009685i,-0.0047446-0.0024098i,-0.00078983-0.0015929i,0.0010424-0.0033293i,0.010607+0.0201i,0.00019846-0.0036025i,-0.0014604-0.0030609i,0.0020365-0.0065497i,-0.0042921+2.2415e-05i,0.0013636+0.0016186i,0.0071951-0.0052146i,-0.00056454+0.0034575i,-0.0039711+0.0055661i,-0.0060448-0.0052151i,0.010331+0.026726i,-0.039056-0.077565i,-0.035342-0.057182i,-0.010589-0.04781i,-0.0073877-0.034103i,0.047734-0.070564i,-0.0013224-0.10516i,0.044753-0.064755i,0.0039795-0.044845i,0.010155-0.014322i,0.0098281-0.0040951i,0.0034246-0.035686i,0.0013847+0.0056191i,-0.010775-0.0082442i,-0.0067051-0.0014673i,-0.042471-0.014172i,-0.0021242+0.023955i,-0.0039467-0.010491i,-0.010334+0.0039906i,-0.0042518-0.001381i,-0.014838-0.010225i,-0.0034468+0.014464i,0.01627+0.00314i,0.018349+0.022106i,0.0082059+0.00011878i,-0.0028498+0.00095795i,-0.0051152+0.00085449i,-0.01181+0.01252i,-0.00263-0.0029046i,-0.031263+0.022031i,-0.003268-0.0045015i,-0.0050561+0.0053162i,-0.007939+0.0059724i,-0.0008197-0.0060396i,-0.006926+0.0070043i,0.00059481-0.0032907i,0.003033+0.0014391i,0.0031373-0.0026746i,-0.0078404+0.0052829i,0.0026938+0.0024693i,-0.0084998+0.015916i,0.0027881-0.0001379i,-0.017801+0.0062761i,-0.024527+0.010709i,-0.006546-0.056647i,0.0041067-0.02327i,-0.057628+9.4886e-05i,-0.021072-0.0072399i,0.016994-0.0055802i,-0.010244+0.019745i,-0.0237-0.0090813i
-0.028172-0.0043407i,-0.040536-0.016417i,-0.031-0.015194i,-0.03814-0.0027374i,-0.015634+0.0014447i,-0.034812+0.00448i,-0.066992+0.0019552i,-0.055798-0.015836i,-0.034755-0.0053489i,0.0039323+0.0032675i,-0.00035474+0.01012i,0.0051678+0.0088956i,0.0038585-0.0040675i,-0.0041443+0.0082964i,0.0019308-0.001929i,0.014094+0.0080498i,0.02462-0.0045975i,0.0032446-0.0010506i,-0.0010995+0.0033589i,0.0040318-0.0038165i,0.0018145+0.002415i,0.00228+0.0029773i,0.00014969+0.0011024i,0.0026718+0.018395i,-0.003907+0.0010132i,0.001455-0.0020841i,0.0030327-0.0016926i,0.0019471-0.00056228i,-0.00074443-0.00014807i,-0.0028168+0.00019042i,-0.00046218+0.00014174i,-0.0050835+0.00071754i,-0.0049063-0.00058272i,-0.0013954-0.0015441i,-0.0016785-0.0035718i,0.013988+0.013147i,-0.00070598-0.0036337i,-0.0022321-0.0023978i,-0.0012459-0.0066776i,-0.0036858+0.0019514i,0.0021313+0.00092249i,0.0037473-0.006372i,0.0011537+0.0032723i,-0.0017181+0.0059013i,-0.0057665-0.0068446i,0.02337+0.019742i,-0.050846-0.067178i,-0.042926-0.04481i,-0.013198-0.052289i,-0.0070412-0.036835i,0.031585-0.093017i,-0.030474-0.1072i,0.039887-0.083635i,-0.0011144-0.043702i,0.0072117-0.012647i,0.0057012-0.0089623i,-0.0076623-0.032674i,0.0022785-0.0032781i,-0.013273-0.003176i,-0.0098862-0.0041089i,-0.04763+0.00701i,0.0086747+0.019857i,-0.0077952-0.0085854i,-0.0083305+0.005572i,-0.0050811+0.0010672i,-0.020158-0.0026414i,0.0047003+0.012099i,0.017904-0.0053176i,0.040717-0.0039032i,0.0082059-0.0031278i,-0.0033484+0.00072003i,-0.0051231+0.0032597i,-0.0047082+0.01902i,-0.0046014+0.00016998i,-0.027572+0.031914i,-0.0039857-0.0033453i,-0.0012703+0.0067518i,-0.0020583+0.010821i,-0.0064267-0.0029154i,-0.002672+0.0062011i,-0.00095071-0.0024113i,0.0022187+0.0017945i,0.00058282-0.0040729i,-0.0022785+0.0045614i,-0.00046625+0.00036982i,-0.056095+0.049117i,0.00019327+6.1937e-06i,-0.012779+0.010153i,-0.019543+0.013997i,-0.011571-0.056233i,0.0034504-0.019845i,-0.053012+0.014741i,-0.028147-0.0036813i,0.013048-0.012006i,-0.0018352+0.014036i,-0.024036-0.0035517i
-0.026716+0.00041024i,-0.045704-0.0099852i,-0.038088-0.011336i,-0.036544+0.0025202i,-0.018299-0.0003956i,-0.032199+0.011895i,-0.052772+0.016568i,-0.053967-0.0040073i,-0.030904+0.002321i,0.0042942+0.0025421i,0.0029886+0.0078648i,0.0060751+0.0063614i,0.00021232-0.0054752i,0.00083099+0.0096397i,0.00055368-0.002693i,0.010815+0.0044429i,0.017616-0.01447i,0.0023116-0.0026524i,0.0020974+0.0059939i,0.0023744-0.0041575i,0.003283+0.0029956i,0.0031117+0.0015425i,0.00026546+0.0015241i,0.016342+0.01587i,-0.0032018+0.0027306i,0.00051136-0.0024985i,0.0012305-0.0028427i,0.0017372-0.00034145i,-0.00032152+0.00019992i,-0.0028267+0.0016365i,-0.00038405+0.00026208i,-0.0041013+0.0025588i,-0.0040201+0.0014276i,-0.0019322-0.0011171i,-0.0024572-0.0026989i,0.015653+0.0095232i,-0.0016657-0.0033493i,-0.0032726-0.001606i,-0.0035136-0.0050508i,-0.0016868+0.00047107i,0.0020619+6.5932e-05i,0.0012166-0.0051264i,0.0024195+0.0024182i,-0.0011916+0.0054709i,-0.0073925-0.010735i,0.033947+0.0063642i,-0.056146-0.054169i,-0.045515-0.03286i,-0.016246-0.056449i,-0.008198-0.038168i,0.0021032-0.10853i,-0.055098-0.097823i,0.02013-0.097387i,-0.0097822-0.038863i,0.0069204-0.0096674i,4.9671e-05-0.010969i,-0.01862-0.02427i,-0.0029167-0.0066275i,-0.014534-0.00067278i,-0.016527-0.00048941i,-0.04192+0.025481i,0.012443+0.0092287i,-0.011679-0.0042539i,-0.0067911+0.0070661i,-0.0053322+0.0040618i,-0.019428+0.0087724i,0.0047163+0.0070177i,0.015494-0.01312i,0.026054-0.0065954i,0.0058484-0.007081i,-0.0055578+0.002391i,-0.0024842+0.0059022i,0.0045418+0.01954i,-0.0046315+0.0037768i,-0.015494+0.045666i,-0.0056523-0.0031545i,0.0013267+0.0044497i,0.0040262+0.009826i,-0.0075766+0.0016058i,-0.0022366+0.0032287i,-0.0016072-0.0023623i,0.0017768+0.0036274i,-0.0030561-0.0022932i,-0.0020862+0.00088675i,-0.0036308+0.0034041i,0.0076068+0.013732i,-0.0013061+0.0008313i,-0.0058838+0.011493i,-0.016605+0.017123i,-0.019374-0.053285i,0.0074675-0.025592i,-0.043284+0.030651i,-0.031083+0.0074054i,0.0073669-0.016087i,-0.00081692+0.0065545i,-0.021888-0.00085515i
-0.024076+0.0037755i,-0.046661-0.002948i,-0.04352-0.0018129i,-0.035426+0.0077984i,-0.023255+0.0015053i,-0.026637+0.017857i,-0.039132+0.019539i,-0.050092+0.0042303i,-0.02782+0.0054012i,0.0039168+0.0017489i,0.0034951+0.0062118i,0.0068085+0.0023972i,-0.0036212-0.0048363i,0.0055195+0.0069305i,-0.0010087-0.0027592i,0.0089461+0.0033691i,0.0062063-0.016889i,0.0015504-0.0030557i,0.0060838+0.0042441i,0.00095066-0.0039055i,0.0047923+0.00082712i,0.0031044+0.00047042i,0.0013172+0.0017887i,0.022617-0.0010991i,-0.00091099+0.0039056i,-0.00055514-0.0026068i,-0.00034297-0.00056654i,0.0024597-0.0034557i,2.8421e-05-0.00030802i,-0.0010917+0.0029801i,2.4583e-05+0.00020562i,-0.0029398+0.0031484i,-0.0039971+0.0031163i,-0.0020198-6.4986e-06i,-0.0016175-0.0016402i,0.018437+0.0045998i,-0.002849-0.0025537i,-0.0043986-0.00058857i,-0.0051424-0.0036082i,-0.0032043-0.00093495i,0.002191-0.00038505i,0.00041708-0.0036943i,0.0026584+0.0011398i,-0.00034052+0.0057322i,-0.012248-0.011792i,0.030582-0.013319i,-0.054861-0.043312i,-0.046563-0.0229i,-0.022888-0.057408i,-0.0084535-0.042645i,-0.031184-0.10504i,-0.076115-0.081248i,0.00082151-0.099817i,-0.0087674-0.025211i,0.012384-0.0050569i,-0.0047048-0.0092481i,-0.020447-0.011272i,-0.0063065-0.0066749i,-0.018035+0.0039653i,-0.013736+0.0063387i,-0.029785+0.039177i,0.010096+0.0025762i,-0.0096468+0.0035098i,-0.0066173+0.0080937i,-0.0018607+0.0077113i,-0.011973+0.015944i,0.00585+0.0081866i,0.010109-0.024157i,0.015925-0.019393i,-0.00082473-0.011167i,-0.0064256+0.0063369i,-0.00031833+0.0059515i,0.011573+0.015582i,-0.0016179+0.0062684i,-0.00038104+0.056537i,-0.0085417-0.0020345i,0.0011197+0.0034086i,0.007426+0.0051113i,-0.0056794+0.0071159i,-0.0028738+0.0043677i,-0.0039264-0.0015756i,0.0047055+0.0042224i,-0.0039054+0.0018677i,-0.0053672+0.00029769i,-0.00025908+0.0090036i,0.010651+0.0099477i,-0.0019223+0.00050617i,-0.0018711+0.0073434i,-0.010254+0.021354i,-0.020997-0.045266i,-0.0013364-0.039723i,-0.020904+0.03694i,-0.024136+0.016418i,0.0024942-0.020284i,-0.0023361+0.0006158i,-0.020512+0.0034643i
-0.021472+0.0059433i,-0.050347+0.0029797i,-0.045583+0.0098788i,-0.031299+0.014056i,-0.026091+0.0082787i,-0.020741+0.020595i,-0.030581+0.018129i,-0.046184+0.010167i,-0.02731+0.0085995i,0.0045062+0.00042427i,0.0060973+0.0051161i,0.0037414-0.0013695i,-0.0067109-0.001542i,0.0073911+0.0011769i,-0.0022493-0.0021844i,0.007922+0.0032951i,-0.0016642-0.013247i,0.00035985-0.0034833i,0.0068073-6.9237e-05i,-0.00022287-0.0029534i,0.0044479-0.00151i,0.0041857+0.00026337i,0.0022686+0.0010331i,0.016142-0.011717i,0.0021267+0.0022073i,-0.00066616-0.0013464i,0.00066989-0.0018767i,-0.0009831-0.0025784i,0.00010362-0.00010559i,0.00055721+0.0024717i,7.2399e-05-6.1033e-05i,-0.0012734+0.0038245i,-0.0018217+0.004472i,-0.00128+0.0006688i,-0.0025305+0.0010321i,0.018989-0.0023604i,-0.0030253-0.00085642i,-0.0039258+0.00090595i,-0.0062219-0.0004453i,-0.0057073+0.00051064i,0.0018139-0.00088894i,0.00035647-0.0043891i,0.0024887+4.4921e-05i,0.00051306+0.0044709i,-0.016858-0.009481i,0.018444-0.019227i,-0.056464-0.039346i,-0.040309-0.012886i,-0.027989-0.056842i,-0.016739-0.050297i,-0.05466-0.09231i,-0.084099-0.056642i,-0.021504-0.099278i,0.0008223-0.022775i,0.018287-0.01845i,-0.0069106-0.0056097i,-0.01663-0.0089169i,-0.01298-0.0049335i,-0.015159+0.013113i,-0.010363+0.0080688i,-0.0085085+0.044922i,0.0097881-0.00068989i,-0.0073201+0.0038806i,-0.0017644+0.0087483i,0.00097618+0.0061538i,-0.0044794+0.019378i,0.0098874+0.0054586i,-0.0062763-0.028239i,-0.0010456-0.021083i,-0.0048819-0.0049048i,-0.0029369+0.0096385i,0.0028924+0.0046186i,0.017201+0.0066843i,0.0019152+0.0052161i,0.024725+0.049237i,-0.00757+0.0025794i,0.0010498+0.0023001i,0.0073195+0.00055556i,-0.00028589+0.0098686i,-0.0051516+0.00534i,-0.0049795+0.002168i,0.0075407+0.0025788i,-0.002074+0.0046504i,-0.0076141+0.0030402i,0.0043189+0.0085415i,0.013459+0.0056752i,-0.0018947+0.0021509i,0.00023897+0.0037082i,-0.0033077+0.021518i,-0.021206-0.043054i,-0.021375-0.04042i,-0.0045902+0.029489i,-0.017532+0.019055i,-0.0038983-0.028154i,-0.0061685-0.001803i,-0.012676+0.0044029i
-0.019434+0.0073792i,-0.051824+0.015006i,-0.043424+0.022605i,-0.026285+0.016986i,-0.02348+0.015731i,-0.016211+0.022012i,-0.025677+0.015794i,-0.042375+0.014403i,-0.024493+0.014972i,0.0041363-0.0010954i,0.008602+0.0022551i,-0.00096638-8.5858e-05i,-0.0065442+0.0026549i,0.0041612-0.0021357i,-0.0031878-0.0014647i,0.0093732+0.0020352i,-0.0049107-0.0084487i,-0.0012765-0.0029953i,0.004513-0.0023314i,-0.00067809-0.0020974i,0.002233-0.0022567i,0.004003-0.0014833i,0.0022443-6.6702e-05i,0.0080076-0.01603i,0.0015295+0.0002428i,-0.00072691-0.0011948i,7.1963e-05-0.0027366i,0.00022822-0.002715i,0.001048-0.00016115i,0.0010055+0.0015187i,-5.6062e-05-0.00039924i,0.00043419+0.0034638i,0.00015748+0.0041626i,-0.0010813+0.00050874i,-0.0033339+0.0016082i,0.015817-0.0088034i,-0.0023858-6.313e-05i,-0.0026236+0.0023036i,-0.0044526+0.0010959i,-0.0059883+0.0033731i,0.0013949-0.00094975i,-0.0007157-0.0040533i,0.001841-0.00073471i,-0.00023661+0.0036079i,-0.019964-0.0043529i,0.014919-0.01421i,-0.060872-0.035411i,-0.03223-0.010488i,-0.034236-0.055828i,-0.02994-0.048796i,-0.074709-0.077547i,-0.080744-0.037435i,-0.045892-0.087999i,0.0055322-0.028907i,0.012344-0.029438i,-0.0066566-0.003851i,-0.016904-0.0053684i,-0.018368+0.0030182i,-0.0076419+0.018175i,-0.006803+0.011126i,0.01156+0.03752i,-0.0042763+0.017143i,-0.0079917+0.0047343i,-0.00083144+0.0060263i,0.0039748+0.0056403i,0.0039347+0.016669i,0.010418-0.0014583i,-0.02092-0.019131i,-0.0117-0.012324i,-0.0039775-0.0011315i,0.0024348+0.009242i,0.0036338+0.0024382i,0.018046-0.00096518i,0.004482+0.0042006i,0.041754+0.032736i,-0.0060234+0.0025484i,0.00067527+0.0025099i,0.0053137-0.0034527i,0.0057748+0.0068697i,-0.0043673+0.011773i,-0.0023552+0.0068181i,0.009351-0.0014566i,0.0024026+0.0043871i,-0.0072554+0.0075925i,0.0075361+0.0053977i,0.012657+0.0014238i,-0.0011786+0.0020273i,-7.3428e-05+0.00010823i,0.0015872+0.018683i,-0.021467-0.041574i,-0.032936-0.027405i,0.0043486+0.018099i,-0.0064781+0.021528i,-0.017166-0.028825i,-0.012915-0.00041637i,-0.011788-0.0023853i
-0.017789+0.0088461i,-0.046756+0.027165i,-0.034859+0.034119i,-0.022728+0.01956i,-0.018096+0.020203i,-0.011655+0.023385i,-0.023492+0.013113i,-0.039882+0.01852i,-0.016962+0.019233i,0.0026794-0.0023476i,0.0039652-0.0022663i,-0.0010668+0.0037581i,-0.0043703+0.0054366i,0.0015378-0.0029806i,-0.0040105-0.00033473i,0.010072-0.00099843i,-0.0041595-0.0047567i,-0.0020013-0.0018527i,0.002388-0.002577i,-0.00070768-0.0014645i,0.001863-0.0013967i,0.0030888-0.0022191i,0.0019598-0.00050836i,0.0012992-0.015207i,0.0008381-0.00022271i,-0.0012205-0.0012613i,-0.00066303-0.0025819i,-0.00087576-0.0026815i,0.00084148-0.0011809i,0.0013403+0.0011851i,-0.00029454-0.00081385i,0.0017497+0.0028266i,0.0013232+0.0028536i,-0.0010947+0.0013137i,-0.0017837+0.0013105i,0.0097452-0.012743i,-0.0017428+0.00026468i,-0.00098879+0.0029336i,-0.0041501+0.001672i,-0.0042276+0.0062255i,0.0011306-0.00081486i,-0.0021723-0.0033785i,0.0015204-0.0011111i,-0.0016851+0.0045704i,-0.020243+0.0022308i,0.022469-0.012439i,-0.067574-0.029313i,-0.027556-0.012369i,-0.040325-0.052823i,-0.038872-0.042073i,-0.089731-0.054692i,-0.07819-0.027044i,-0.054537-0.064152i,0.0048286-0.033326i,0.0022701-0.038386i,-0.0071985-0.0025373i,-0.015543-0.0053504i,-0.014562+0.013694i,0.00017278+0.018059i,0.001201+0.010553i,0.018555+0.022595i,0.0013226-0.0079439i,-0.0073927+0.0082704i,-0.00091766+0.0058145i,0.0055108+0.001567i,0.0079604+0.011778i,0.0043346-0.0034153i,-0.026746-0.0045221i,-0.014389-0.0037207i,-0.0015357-0.00064056i,0.0045136+0.0081601i,0.0022497+0.00097709i,0.013396-0.011254i,0.0056483-3.6309e-05i,0.049058+0.011356i,-0.0060427+0.0051105i,0.0020801+0.0020262i,0.00077017-0.0052122i,0.0065358+0.0026811i,0.0013747+0.015523i,0.004056+0.0050364i,0.0069114-0.0052116i,0.0045456+0.00098267i,-0.00047381+0.011611i,0.0066288+0.0028039i,0.011235+0.0010997i,-0.0026906+0.0018001i,-0.0041002-0.00097113i,0.0044614+0.01666i,-0.022121-0.042328i,-0.033673-0.012726i,0.004382+0.0080291i,0.0022272+0.013449i,-0.029086-0.022795i,-0.014866+0.0082094i,-0.017051-0.001908i
-0.016409+0.010617i,-0.038778+0.034857i,-0.02336+0.04116i,-0.019224+0.021869i,-0.012329+0.023006i,-0.0069819+0.024145i,-0.023768+0.011689i,-0.036885+0.024184i,-0.010955+0.0192i,0.00092049-0.0025042i,0.00031214-0.0019516i,0.00092432+0.0051701i,-0.0010809+0.0063965i,-0.00078092-0.0027112i,-0.0041937+0.0012703i,0.0079641-0.0046291i,-0.0039419-0.0041471i,-0.0019991-0.00065962i,0.0013972-0.0027289i,-0.00072327-0.0011677i,0.0022728-0.0019797i,0.0021459-0.0020905i,0.0018224-0.00083937i,-0.0031788-0.013323i,0.0007333-0.00038535i,-0.001795-0.00055364i,-0.0014413-0.0021329i,-0.002159-0.0021381i,0.00030855-0.001391i,0.0017771+0.00051316i,-0.00092915-0.00088109i,0.0025155+0.0015202i,0.0020733+0.0015675i,-0.00045359+0.0018368i,-0.0018045+0.0014599i,0.0038474-0.011843i,-0.0016604-5.9642e-05i,0.0007628+0.0026155i,-0.0024686+0.0036402i,-0.0013323+0.0078513i,0.0010368-0.0007987i,-0.0020969-0.0021581i,0.0010723-0.0017215i,-0.00037061+0.0070585i,-0.016076+0.0071252i,0.032674-0.022786i,-0.075548-0.018278i,-0.027641-0.01392i,-0.044586-0.048724i,-0.045723-0.035387i,-0.091842-0.030395i,-0.07647-0.016108i,-0.051172-0.050461i,0.0039216-0.039345i,-0.011771-0.040429i,-0.0068583-0.00096643i,-0.018979-0.0058552i,-0.0055892+0.017869i,0.0059811+0.014611i,0.0052426+0.0036491i,0.01801+0.012192i,-0.00387-0.0072672i,-0.0047598+0.010705i,-0.00046619+0.0059479i,0.0039447-0.001447i,0.0090398+0.0057723i,0.0032082-0.00054453i,-0.023282+0.0095741i,-0.011515+0.0050082i,-0.0014115-0.00040552i,0.0086093+0.0058968i,0.00097951+0.0010808i,0.0038816-0.015026i,0.0032297-0.0026706i,0.047197-0.010426i,-0.0040062+0.0078738i,0.0013443+0.00094694i,-0.0024818-0.0029642i,0.0061256+0.0010853i,0.0090998+0.015469i,0.004158+0.00085701i,0.0042794-0.0060756i,0.0030197-0.0014158i,0.0066716+0.0096928i,0.0060832+0.0011539i,0.012068-0.0026049i,-0.001766+0.0055184i,-0.005821+0.00058142i,0.0073278+0.014676i,-0.026805-0.04519i,-0.029571-0.0050198i,0.0027372+0.0030458i,0.002103+0.005335i,-0.037302-0.012555i,-0.0091802+0.011025i,-0.016702+0.0010365i
-0.014187+0.012382i,-0.029499+0.039826i,-0.010339+0.043641i,-0.014509+0.024068i,-0.0055089+0.023349i,-0.0023783+0.02396i,-0.024657+0.012654i,-0.031917+0.02941i,-0.005978+0.018777i,-0.00042738-0.0020482i,-0.0011371-0.00013806i,0.0035708+0.0047017i,0.0011953+0.0062708i,-0.0028801-0.00079253i,-0.0038007+0.0026163i,0.0047524-0.0064102i,-0.0053589-0.0040897i,-0.0019102-0.00017798i,0.00011225-0.0023667i,-0.00099669-0.00089304i,0.0018281-0.00285i,0.0020479-0.0020978i,0.0015946-0.0012721i,-0.0069175-0.011149i,0.00038078-0.00059219i,-0.001701+0.00013295i,-0.00221-0.0013709i,-0.0024165-0.00072422i,-0.00015807-0.0014272i,0.0014766-0.00041552i,-0.0014022-0.00042331i,0.0022296+0.00044353i,0.0022302+0.00028948i,0.0005826+0.0014402i,-0.0012958+0.0019357i,0.00014152-0.0089229i,-0.001684+0.00027548i,0.0015753+0.0012128i,0.00012432+0.0037667i,0.0018395+0.0076119i,0.0010525-0.00092001i,-0.0021041-0.0015469i,-0.00017636-0.0021723i,0.0018069+0.006687i,-0.011319+0.0085093i,0.03219-0.042573i,-0.078068-0.0018577i,-0.026671-0.014638i,-0.048004-0.048806i,-0.050696-0.026467i,-0.089148-0.012619i,-0.07382-0.0069438i,-0.050459-0.041785i,-0.0017271-0.044659i,-0.026463-0.038268i,-0.00674-0.00048558i,-0.026325-0.0025586i,0.0022806+0.015355i,0.0090892+0.010089i,0.0042377-0.0019392i,0.013936+0.006709i,-0.0075788-0.0059987i,-0.00076865+0.011757i,0.00081397+0.0061343i,0.0015395-0.0024214i,0.0067354+0.0025653i,0.0040457+0.00029745i,-0.014389+0.016804i,-0.0057854+0.00921i,0.00055477-0.00081097i,0.011083+0.00026827i,0.00026625+0.0021877i,-0.0032457-0.011485i,0.00057134-0.0030495i,0.038494-0.025185i,0.0003329+0.010333i,0.00071269+0.0016016i,-0.0041154+6.2536e-05i,0.006059-0.0017176i,0.015856+0.010889i,0.0027338-0.0014702i,0.00095203-0.0069832i,0.0011802-0.0026116i,0.0013112+0.0076972i,0.0056908+0.0010494i,0.0083508-0.006366i,0.0022335+0.0068156i,-0.0059518+0.0020936i,0.011045+0.011817i,-0.03576-0.042952i,-0.019753+0.0041855i,0.0010285-0.00083928i,-0.0005229+0.0023021i,-0.040475-0.0014491i,-0.0061987+0.0097599i,-0.015661+0.0032517i
