-0.022987-0.019309i,-0.031456-0.034484i,-0.022871-0.020056i,-0.032114-0.020528i,-0.024128+0.0040181i,-0.029028-0.018104i,-0.055538-0.048156i,-0.040193-0.044373i,-0.030837-0.016346i,0.0054547+0.0054682i,-0.003606+0.0060383i,-0.01052+0.011596i,0.0036468+0.007236i,-0.0037901-0.0025263i,0.0029136+0.0018874i,0.0022249+0.028684i,0.020308+0.021044i,-0.00013133+0.00021101i,-0.0031554-0.0027654i,0.0075658+0.0038137i,0.0019716+0.00042542i,-0.00033106+0.0022453i,-0.00061689+0.000252i,-0.029751-0.0022014i,-0.0033564-0.0048516i,-9.9238e-05+0.0025657i,0.0051441-0.0015299i,0.00071129+5.688e-05i,-0.0006158-0.00042235i,-0.0011908-0.0018508i,-0.0023726-0.0003849i,-0.0036376-0.0042179i,-0.0025005-0.0041919i,0.00066681-0.0015627i,0.00048543-0.0027636i,-0.005074+0.025392i,0.0017511-0.0032827i,0.0023761-0.0038398i,0.004332-0.0025004i,-0.0069295-0.001151i,0.00043441+0.00144i,0.0038585-0.0053567i,-0.0021044+0.00033638i,-0.0031657+0.0010818i,-0.0087176-0.0036891i,-0.018083+0.021692i,-0.0079525-0.086773i,-0.0025306-0.06133i,-0.020734-0.054194i,-0.011427-0.045782i,0.053605-0.026997i,0.024101-0.067486i,0.039857-0.054026i,0.019427-0.040116i,0.02565-0.020028i,0.012209+0.012091i,0.024805-0.028373i,-0.011287-0.00073469i,-0.0014065-0.00070324i,-0.0088543-0.0014781i,-0.0044194-0.029629i,-0.021596+0.026387i,0.0077333-0.00942i,-0.010864-0.0031501i,-0.0026027-0.0018925i,-0.00090282-0.014356i,-0.0088324+0.0049589i,0.0063111+0.01068i,-0.011672+0.029808i,0.0065091+0.0076602i,-0.003528-0.0013523i,-0.0022061-0.0015271i,-0.012325-0.0053129i,0.00069002-0.0044669i,-0.03354+0.0044781i,0.0034203-0.0088304i,-0.0073344-0.0021899i,-0.0050048-0.0031674i,0.006636+0.0018926i,-0.01075+0.00052308i,0.0023711-0.00019364i,0.006051+0.0073263i,0.0056074+0.0013634i,-0.0075173-0.0094582i,0.0029608+0.0077329i,-0.020284+0.0092153i,0.0030919+0.0056279i,-0.02125-0.0092165i,-0.026876-0.0052302i,0.01095-0.060697i,0.01931-0.015098i,-0.049917-0.028235i,-0.021941+0.0017084i,0.019044+0.010276i,-0.027159+0.011762i,-0.012278-0.0077528i
-0.027112-0.014921i,-0.036567-0.024957i,-0.024861-0.017418i,-0.035724-0.016426i,-0.019654+0.0048381i,-0.033155-0.011516i,-0.061786-0.036103i,-0.046309-0.037011i,-0.028406-0.010107i,0.0042219+0.0038667i,-0.0045124+0.0052189i,-0.0040021+0.015189i,0.0065038+0.0032178i,-0.0067634+0.00097237i,0.0033127+0.00037358i,0.0091526+0.02357i,0.025188+0.01079i,0.0012264+0.00104i,-0.0034044+0.00039937i,0.0071495-0.00065459i,0.0013257+0.00097384i,-0.00040091+0.0024207i,-0.00052615+0.00075516i,-0.018006+0.010805i,-0.0049575-0.0027782i,0.0023375+0.0010495i,0.002405-0.0007594i,0.0013482+0.0001018i,0.00039437-0.00024612i,-0.0022046-0.0015512i,-0.0013258+0.00032854i,-0.0042545-0.0029799i,-0.0037808-0.0032663i,0.00027023-0.0020205i,-7.4492e-06-0.001355i,0.0035054+0.0248i,0.0010897-0.0037901i,-7.2934e-05-0.0041144i,0.0044655-0.0040863i,-0.0043224-0.00067115i,0.0011187+0.0017231i,0.0083313-0.0027515i,-0.0018837+0.0017753i,-0.0051346+0.0032402i,-0.006956-0.0033273i,-0.0039724+0.028064i,-0.024125-0.084418i,-0.019246-0.065123i,-0.017655-0.046015i,-0.013518-0.034057i,0.053549-0.050342i,0.019759-0.087349i,0.040891-0.056026i,0.012165-0.04597i,0.013499-0.01543i,0.012704+0.00080955i,0.011768-0.031323i,-0.010205+0.0065936i,-0.0024358-0.0073794i,-0.0088976+5.9487e-05i,-0.026428-0.027547i,-0.0092461+0.024476i,0.0024706-0.012728i,-0.01299+0.00033565i,-0.0021266-0.0012648i,-0.0076041-0.014192i,-0.0088415+0.0088011i,0.011564+0.0096473i,0.0082621+0.027411i,0.008119+0.0023933i,-0.0034095+0.0011337i,-0.0041872-0.001422i,-0.014672+0.0036009i,0.00084673-0.0035894i,-0.037059+0.010682i,-0.0016373-0.0075548i,-0.0074779+0.0020743i,-0.0065279-6.7272e-05i,0.0051752-0.0039649i,-0.0091481+0.0036282i,0.0024975-0.0021464i,0.0049551+0.0023626i,0.0049154-0.00070124i,-0.01203-0.0014i,0.0031908+0.0047518i,-0.015401+0.017114i,0.0041257+0.0025821i,-0.021402+3.2338e-06i,-0.028226+0.002387i,-0.00047185-0.059786i,0.013053-0.023051i,-0.055908-0.014624i,-0.015238-0.002814i,0.019701+0.00275i,-0.021462+0.018403i,-0.02003-0.012547i
-0.028282-0.0093486i,-0.038161-0.020514i,-0.027109-0.016427i,-0.038547-0.0098745i,-0.016889+0.0037902i,-0.035596-0.0043718i,-0.069656-0.021212i,-0.053392-0.0287i,-0.027025-0.010391i,0.0039431+0.0033027i,-0.0040867+0.0081187i,0.0029836+0.01322i,0.0059962-0.0010053i,-0.0062413+0.0046239i,0.0030553-0.00070608i,0.013263+0.017279i,0.029333+0.0029304i,0.0025305+0.00033833i,-0.001876+0.002302i,0.0054925-0.0024355i,0.0007996+0.0014042i,0.00050604+0.0031625i,-0.00018118+0.0010272i,-0.008124+0.015698i,-0.005005-0.00053784i,0.0022669-0.00090686i,0.0024457-0.00089279i,0.0028404+5.4375e-05i,-0.00035444-0.0007118i,-0.0026038-0.00070713i,-0.00079367+0.0002255i,-0.0053772-0.0012412i,-0.0050746-0.0020322i,-0.00090662-0.0020908i,0.0012004-0.0027146i,0.011022+0.019819i,0.00020378-0.0036867i,-0.0014622-0.0033165i,0.0025162-0.006956i,-0.0043191-0.0002924i,0.001837+0.0015612i,0.0074137-0.0050249i,-0.00034635+0.0027445i,-0.004037+0.005354i,-0.0060242-0.0054092i,0.0107+0.026411i,-0.038791-0.078136i,-0.035259-0.058006i,-0.010405-0.047569i,-0.0077498-0.0337i,0.045984-0.070703i,-0.001838-0.10437i,0.04367-0.065231i,0.0034193-0.044741i,0.010459-0.013751i,0.0098575-0.0043079i,0.0031708-0.03382i,0.0013511+0.0061467i,-0.010369-0.0073024i,-0.0071906-0.00048964i,-0.041089-0.014668i,-0.0015648+0.02315i,-0.003656-0.011757i,-0.011189+0.0041333i,-0.0041463-0.0014791i,-0.015904-0.010459i,-0.003504+0.014447i,0.017452+0.0028779i,0.017921+0.016366i,0.0075928-0.00064132i,-0.0027696+0.0012315i,-0.0053017+0.00053362i,-0.010876+0.013181i,-0.002379-0.0034807i,-0.031875+0.020019i,-0.0031536-0.004854i,-0.0055139+0.005645i,-0.0075526+0.0059756i,-0.0008963-0.006099i,-0.0067013+0.0061258i,0.00043359-0.0033141i,0.0030215+0.0014966i,0.0035043-0.0022221i,-0.0072623+0.0056681i,0.0026007+0.0025228i,-0.010033+0.020567i,0.0024745-5.7016e-05i,-0.017892+0.0060685i,-0.025097+0.010499i,-0.0068433-0.056649i,0.0042051-0.023528i,-0.055977-0.00093075i,-0.021171-0.010038i,0.017072-0.0054446i,-0.011081+0.018969i,-0.024393-0.0086263i
-0.028096-0.0044869i,-0.041595-0.017781i,-0.031341-0.015349i,-0.037802-0.0030032i,-0.015993+0.0016057i,-0.035525+0.0037237i,-0.069834+0.0025965i,-0.058274-0.015225i,-0.030292-0.0074891i,0.0041674+0.0027151i,-0.00062142+0.0097327i,0.0056765+0.0086883i,0.0038483-0.0041152i,-0.0041365+0.0084927i,0.0020864-0.00195i,0.014061+0.0091366i,0.026662-0.011789i,0.0027831-0.001191i,-0.0009366+0.0036433i,0.0043193-0.0035427i,0.0020231+0.0022893i,0.0022105+0.0038632i,-3.586e-05+0.00098158i,0.0013819+0.020143i,-0.0043257+0.00080383i,0.0013118-0.0021263i,0.0029437-0.0015275i,0.0029244-0.0012698i,-0.00051445+8.3791e-05i,-0.0029387+0.00022745i,-0.00043345+0.00017784i,-0.0050757+0.00056581i,-0.0053775-0.00020481i,-0.0015135-0.0016917i,-0.00062479-0.0045286i,0.013672+0.014261i,-0.0009026-0.0036052i,-0.0023964-0.0026209i,-0.0011643-0.0073113i,-0.0029098+0.0016422i,0.0024037+0.00089959i,0.0043241-0.0067696i,0.00060718+0.0026495i,-0.001971+0.0056593i,-0.0050801-0.0071855i,0.023842+0.019507i,-0.051043-0.067792i,-0.043573-0.045522i,-0.012385-0.052527i,-0.0070698-0.03608i,0.030136-0.092236i,-0.029858-0.10606i,0.038286-0.084399i,-0.001607-0.043454i,0.0072985-0.012316i,0.0055976-0.008932i,-0.0078011-0.029425i,0.0023349-0.0030051i,-0.01273-0.0021514i,-0.0097569-0.0031414i,-0.046869+0.0056853i,0.0088491+0.018744i,-0.008184-0.0092986i,-0.0085459+0.0059504i,-0.0051269+0.00098085i,-0.020031-0.0017099i,0.0046637+0.012337i,0.018732-0.0060427i,0.033936+0.012078i,0.0077811-0.0030421i,-0.0031686+0.00074663i,-0.0052301+0.0034564i,-0.0053393+0.019255i,-0.0047841+0.00051677i,-0.025876+0.026793i,-0.0040278-0.0036274i,-0.0015841+0.0069799i,-0.0023199+0.011233i,-0.0061147-0.003016i,-0.002751+0.0066481i,-0.00078051-0.0025235i,0.0023365+0.0018445i,0.0011263-0.0038556i,-0.0020011+0.0045858i,-0.00041666+0.00040896i,-0.0084357+0.058553i,0.00019842+3.2054e-05i,-0.012457+0.010032i,-0.019948+0.014222i,-0.011628-0.055768i,0.0031927-0.02003i,-0.052096+0.013595i,-0.030301-0.0062619i,0.01354-0.010605i,-0.0023103+0.014046i,-0.024242-0.0031981i
-0.026952+0.00037988i,-0.04684-0.011802i,-0.038504-0.011183i,-0.036587+0.0025139i,-0.01837-0.00030097i,-0.033156+0.011701i,-0.054245+0.017433i,-0.0551-0.0029023i,-0.030814+0.00010354i,0.0044315+0.0020217i,0.0025586+0.0078082i,0.0064681+0.0057952i,0.00022895-0.0055108i,0.00094787+0.0097498i,0.00067111-0.0027322i,0.011347+0.0057031i,0.015385-0.020281i,0.0019232-0.0026501i,0.0019346+0.006317i,0.0025007-0.0040818i,0.0032692+0.0025541i,0.0037422+0.0020049i,4.3758e-05+0.0015741i,0.017544+0.01829i,-0.0036937+0.0023818i,0.00041301-0.0025969i,0.0014227-0.0026203i,0.0020658+0.00036826i,-6.1895e-05+0.00029059i,-0.0027188+0.0015767i,-0.00032104+0.00027779i,-0.0042091+0.0022267i,-0.004392+0.0013993i,-0.002065-0.00099768i,-0.0024169-0.0031428i,0.016567+0.01139i,-0.0016585-0.0031592i,-0.0034832-0.001644i,-0.0036911-0.005215i,-0.0016703-0.00019772i,0.0023172+1.1073e-06i,0.0014722-0.0058024i,0.0018226+0.0022335i,-0.001475+0.0055663i,-0.0067086-0.011671i,0.034401+0.0058439i,-0.056847-0.054749i,-0.045351-0.033131i,-0.015897-0.056693i,-0.0075715-0.03795i,0.0014347-0.10708i,-0.054493-0.09754i,0.01769-0.096775i,-0.010284-0.039233i,0.0064209-0.009524i,0.00013322-0.010996i,-0.017176-0.022759i,-0.0028633-0.0065271i,-0.013579-0.0003198i,-0.015919+0.00036575i,-0.041568+0.023509i,0.012119+0.0091502i,-0.012378-0.0047974i,-0.0069022+0.0073365i,-0.0050557+0.0040856i,-0.018387+0.0081779i,0.0050454+0.0071412i,0.015841-0.013585i,0.024493-0.0054673i,0.0057475-0.0072709i,-0.0053269+0.0023683i,-0.0022894+0.0059663i,0.003282+0.019593i,-0.0040425+0.0045805i,-0.012129+0.037937i,-0.0058413-0.0034333i,0.00088804+0.0046036i,0.0042633+0.010519i,-0.0076133+0.0011886i,-0.0016744+0.0035898i,-0.002163-0.0025895i,0.0019482+0.0033771i,-0.0028627-0.004864i,-0.0015704+0.0011623i,-0.0037583+0.003691i,0.0050103+0.01698i,-0.0011983+0.00068597i,-0.0054175+0.011024i,-0.017019+0.017548i,-0.019145-0.052911i,0.0071653-0.025744i,-0.043767+0.029865i,-0.033969+0.0063804i,0.008412-0.01498i,-0.0014101+0.0068314i,-0.022627-0.00059416i
-0.024226+0.0038904i,-0.048307-0.0043063i,-0.043541-0.0019607i,-0.035349+0.0079416i,-0.023401+0.0014077i,-0.027431+0.017992i,-0.039674+0.020959i,-0.050022+0.00517i,-0.027862+0.0039119i,0.0039047+0.0010294i,0.0031886+0.006306i,0.0070391+0.0017072i,-0.0035744-0.0048415i,0.0055763+0.0069655i,-0.0010247-0.0028895i,0.010224+0.0043586i,0.003174-0.019392i,0.001266-0.0030406i,0.006015+0.0045381i,0.0009194-0.0037961i,0.0048394+0.00055438i,0.0031919+0.00073697i,0.0012399+0.0018598i,0.023447-0.00043776i,-0.0015637+0.0035705i,-0.0017156-0.00349i,-0.00027555-0.00051423i,0.0017109-0.0027833i,0.00017326-0.00041608i,-0.0011157+0.002965i,7.4752e-05+0.00017506i,-0.0030472+0.0031403i,-0.0043379+0.0032815i,-0.0018029+0.00018083i,-0.00056733-0.0020321i,0.020062+0.0057666i,-0.0026855-0.0025266i,-0.0045541-0.00058697i,-0.0055561-0.0032895i,-0.0037675-0.00142i,0.0024625-0.0004037i,-2.1243e-06-0.0042323i,0.0019726+0.0014788i,-0.00059671+0.0059502i,-0.012021-0.013098i,0.030207-0.013956i,-0.055504-0.043673i,-0.046454-0.023575i,-0.022154-0.057386i,-0.0079598-0.042703i,-0.030575-0.10322i,-0.075713-0.080786i,0.00010566-0.098256i,-0.0095495-0.024953i,0.012203-0.00499i,-0.0047386-0.009324i,-0.019568-0.01153i,-0.0059715-0.0067886i,-0.017275+0.0038209i,-0.013007+0.0069143i,-0.030188+0.038827i,0.010757+0.0032029i,-0.010208+0.0032061i,-0.0069661+0.0080373i,-0.0014386+0.0072111i,-0.012083+0.014773i,0.0060984+0.0079305i,0.010036-0.024285i,0.014564-0.018828i,-0.00088533-0.011397i,-0.0060321+0.0065172i,-0.00051376+0.0058948i,0.010264+0.015662i,-0.00058783+0.006679i,0.002919+0.049729i,-0.0095219-0.0015584i,0.00096712+0.0037171i,0.0077247+0.0056419i,-0.0058579+0.0071533i,-0.0017541+0.0043358i,-0.0044047-0.0013815i,0.0048674+0.0034945i,-0.0040739+0.0018084i,-0.0048276+0.0006248i,-0.00021942+0.0091048i,0.008752+0.016072i,-0.0016592+0.00060551i,-0.0017346+0.0070409i,-0.01042+0.022137i,-0.020948-0.045004i,-0.0018353-0.03951i,-0.021537+0.036632i,-0.026668+0.01623i,0.0073309-0.022452i,-0.0021467+0.0015243i,-0.020966+0.0045138i
-0.021476+0.0058287i,-0.052142+0.0026199i,-0.045934+0.0090526i,-0.031432+0.014016i,-0.026433+0.0083105i,-0.021431+0.02093i,-0.029839+0.019224i,-0.045473+0.0099285i,-0.027567+0.0077994i,0.0040903-7.5178e-06i,0.0056474+0.0050024i,0.0037501-0.0018365i,-0.0067491-0.001714i,0.0073393+0.0010545i,-0.0023135-0.0022045i,0.0095298+0.0037732i,-0.004185-0.013819i,6.6512e-05-0.0036515i,0.0065418+0.00040318i,-0.0001359-0.002845i,0.0046493-0.0016898i,0.0040088+0.00051982i,0.0022665+0.001087i,0.016779-0.011181i,0.0014077+0.0027044i,-0.00087762-0.0010733i,0.00071022-0.001708i,0.00020975-0.0042428i,-0.00016088-0.00029918i,0.00049884+0.0025008i,0.00011179-0.000155i,-0.0013618+0.0037792i,-0.0020083+0.004874i,-0.0013029+0.00061954i,-0.0025371-2.4121e-05i,0.020622-0.001396i,-0.0029212-0.00094606i,-0.0041745+0.0010802i,-0.0064685-0.00028191i,-0.0064606+0.0011111i,0.0018332-0.00077195i,-0.00023776-0.0048807i,0.0023655+0.00084561i,0.00032422+0.0046467i,-0.017405-0.010974i,0.018077-0.019888i,-0.057507-0.039803i,-0.041023-0.013502i,-0.027312-0.05761i,-0.016518-0.050613i,-0.053004-0.090979i,-0.084074-0.056548i,-0.020934-0.099037i,0.00060829-0.02229i,0.017668-0.018741i,-0.0070518-0.0055816i,-0.01642-0.0094383i,-0.012464-0.0055698i,-0.015005+0.012722i,-0.010005+0.0087312i,-0.0090671+0.044465i,0.010151-0.00013241i,-0.0076684+0.0037719i,-0.0022495+0.0093359i,0.00065664+0.0056845i,-0.0042429+0.01941i,0.0096599+0.0053753i,-0.0064903-0.028209i,-0.00063714-0.020879i,-0.005108-0.0047974i,-0.0024202+0.0095492i,0.0028138+0.0048668i,0.015815+0.0076387i,0.0023634+0.0049493i,0.024895+0.047226i,-0.0073517+0.0036102i,0.0011715+0.0023618i,0.0078144+0.00077625i,4.4306e-05+0.0098847i,-0.0039822+0.004628i,-0.0050605+0.0027081i,0.0075137+0.0023945i,-0.0020669+0.0043738i,-0.006586+0.002687i,0.0047758+0.0083305i,0.011446+0.012031i,-0.0013079+0.0020501i,0.00067008+0.0036165i,-0.0031614+0.021868i,-0.02161-0.04312i,-0.021436-0.040045i,-0.0055505+0.02952i,-0.020998+0.020932i,-0.0059963-0.027414i,-0.0054706-0.001839i,-0.01212+0.005486i
-0.01964+0.0071879i,-0.053488+0.014593i,-0.044343+0.02197i,-0.026696+0.016947i,-0.023845+0.015873i,-0.016663+0.022499i,-0.024262+0.015729i,-0.041965+0.013591i,-0.024723+0.014428i,0.0036207-0.0011092i,0.0092229-0.00039816i,-0.0012006-0.00023533i,-0.00707+0.0026635i,0.0038612-0.0019351i,-0.0032783-0.0015076i,0.011316+0.001753i,-0.0072091-0.0076646i,-0.0014235-0.0030014i,0.0045391-0.0020391i,-0.0008208-0.0021144i,0.0025404-0.0024387i,0.0039378-0.0013313i,0.0023216-6.4778e-06i,0.0088103-0.015705i,0.0015156+0.00067601i,-0.00079164-0.001196i,0.00022749-0.0025045i,0.00033647-0.0024516i,0.00098447-4.7907e-05i,0.0010536+0.0016514i,-4.8819e-05-0.00047995i,0.00042304+0.0035655i,0.00044822+0.0047512i,-0.0011575+0.00050316i,-0.0032068+0.0013517i,0.017479-0.0081831i,-0.0023851-6.0562e-05i,-0.0028043+0.0025739i,-0.0046316+0.0016241i,-0.005982+0.0045203i,0.0014315-0.00063598i,-0.0015138-0.0043143i,0.002289+5.9274e-06i,-0.00026161+0.0039244i,-0.020987-0.0052982i,0.014558-0.014786i,-0.062225-0.035591i,-0.032956-0.010238i,-0.034548-0.056665i,-0.029648-0.049505i,-0.072596-0.077741i,-0.080429-0.037486i,-0.047012-0.088232i,0.0060994-0.029006i,0.011055-0.029313i,-0.0064989-0.0035576i,-0.016884-0.0056519i,-0.018442+0.0029543i,-0.0079156+0.017431i,-0.0058615+0.011945i,0.010627+0.038807i,0.0062358+0.010784i,-0.0077091+0.0048111i,-0.0010378+0.0064865i,0.0038451+0.0057327i,0.0054959+0.016077i,0.01048-0.0015098i,-0.02111-0.018774i,-0.011285-0.012856i,-0.0038385-0.0014148i,0.0028307+0.009379i,0.0036781+0.0022988i,0.01787+4.3586e-06i,0.0049714+0.0046495i,0.041543+0.033081i,-0.0051827+0.0038492i,0.00054153+0.0025786i,0.0053321-0.0033244i,0.006163+0.0073473i,-0.0044487+0.010341i,-0.0018024+0.0068419i,0.0094394-0.0012837i,0.0025718+0.004463i,-0.0059804+0.0064897i,0.0075878+0.0051041i,0.012472+0.0086708i,-0.00064533+0.0016973i,0.00040892-0.00011925i,0.0015163+0.018631i,-0.021822-0.040448i,-0.033271-0.027324i,0.0033102+0.019102i,-0.0046333+0.024342i,-0.016367-0.027676i,-0.012555-0.0014887i,-0.010945-0.0021196i
-0.01813+0.0087972i,-0.048757+0.026818i,-0.036365+0.034505i,-0.023357+0.019442i,-0.018501+0.020485i,-0.011788+0.02392i,-0.022383+0.011724i,-0.039809+0.01758i,-0.017323+0.018831i,0.0025039-0.0022563i,0.004207-0.0028873i,-0.0014313+0.0037315i,-0.0048748+0.0055959i,0.0011853-0.0028466i,-0.0040717-0.00037742i,0.011157-0.0018985i,-0.0057838-0.0031225i,-0.0022122-0.0019435i,0.0025768-0.00237i,-0.0008622-0.0014566i,0.0020831-0.0014571i,0.0028582-0.0022499i,0.0020765-0.00045334i,0.0021107-0.015313i,0.00088758-0.00024894i,-0.0011776-0.0014434i,-0.00082028-0.0024697i,-0.00066305-0.0025677i,0.00071934-0.0012356i,0.0013867+0.0012087i,-0.00029352-0.00082856i,0.001888+0.0028035i,0.0016404+0.003061i,-0.0012095+0.0012299i,-0.0017759+0.0013921i,0.010532-0.013473i,-0.0016607+0.00033891i,-0.0010142+0.0030379i,-0.0048758+0.0029495i,-0.0042422+0.0058059i,0.0012142-0.00064493i,-0.0028571-0.0031123i,0.0022653-0.00078001i,-0.0017186+0.0045883i,-0.021395+0.0016043i,0.021674-0.013179i,-0.069599-0.027973i,-0.028049-0.011922i,-0.0405-0.053061i,-0.03898-0.04296i,-0.088073-0.055688i,-0.077765-0.027406i,-0.056122-0.062628i,0.0051292-0.034007i,0.0014795-0.03471i,-0.0071401-0.0027246i,-0.015461-0.0057109i,-0.014348+0.013267i,-0.0005951+0.017607i,0.002488+0.010601i,0.019103+0.02463i,0.0016978-0.007987i,-0.0068668+0.0077775i,-0.0010135+0.0062439i,0.0052909+0.0018097i,0.0096526+0.010598i,0.0043772-0.0036339i,-0.026433-0.0043602i,-0.014302-0.003111i,-0.0017069-0.0005909i,0.004791+0.0084481i,0.0023019+0.00093635i,0.013703-0.010886i,0.006038-0.00015981i,0.047908+0.013706i,-0.0056892+0.0061802i,0.0020031+0.0018873i,0.0007565-0.0049202i,0.0075107+0.0027828i,0.0011359+0.014623i,0.0043438+0.0046859i,0.006339-0.0057199i,0.0048255+0.0010714i,-0.0013945+0.0080728i,0.0065546+0.0031315i,0.015732+0.0036477i,-0.0017614+0.0016141i,-0.0042169-0.00088436i,0.0044354+0.016644i,-0.022241-0.042024i,-0.033527-0.013656i,0.0043476+0.0089464i,0.0048191+0.014868i,-0.028741-0.022417i,-0.015795+0.0072781i,-0.016169-0.0021972i
-0.016583+0.010578i,-0.040843+0.035222i,-0.023999+0.041752i,-0.020043+0.021909i,-0.01274+0.02338i,-0.0071342+0.024346i,-0.023547+0.0098865i,-0.037157+0.023157i,-0.010963+0.019081i,0.00058227-0.0026222i,0.00029593-0.0019746i,0.00065998+0.0054604i,-0.001284+0.0059466i,-0.0010735-0.0025951i,-0.0042188+0.0011448i,0.0083144-0.0056022i,-0.0043173-0.0022966i,-0.0022432-0.00054646i,0.0017265-0.0028096i,-0.00088232-0.0011895i,0.0025331-0.0020387i,0.0019872-0.0020788i,0.0019256-0.00085329i,-0.0026829-0.013571i,0.00078027-0.00042596i,-0.0018073-0.00053491i,-0.0016514-0.0020675i,-0.0020149-0.0023561i,0.00015245-0.0013934i,0.0017851+0.0005405i,-0.00081388-0.00087333i,0.0026429+0.0015094i,0.0023309+0.001614i,-0.00074269+0.0014849i,-0.0018073+0.0016648i,0.0033038-0.011545i,-0.0016892-6.662e-05i,0.00066554+0.0026517i,-0.0018492+0.0047575i,-0.0019824+0.0073501i,0.0013377-0.00059878i,-0.0024133-0.0015519i,0.0017238-0.0019319i,-0.00083127+0.0070087i,-0.017311+0.007219i,0.031544-0.023206i,-0.075029-0.015713i,-0.028093-0.013841i,-0.044933-0.049297i,-0.046219-0.035731i,-0.090854-0.032136i,-0.075925-0.016617i,-0.050073-0.048708i,0.00299-0.039982i,-0.010107-0.037116i,-0.0072103-0.0011297i,-0.019017-0.0065035i,-0.0061711+0.01762i,0.0052731+0.014582i,0.0062743+0.0027148i,0.018626+0.012793i,-0.002999-0.008298i,-0.0044977+0.010036i,-0.00065287+0.0068842i,0.0036582-0.0011988i,0.0095391+0.0045798i,0.0027397-0.00075062i,-0.022623+0.009532i,-0.012017+0.0045865i,-0.0015184-0.00016168i,0.0096239+0.0063032i,0.00097425+0.0010073i,0.0044592-0.014026i,0.0032523-0.0027617i,0.044943-0.0076253i,-0.0023715+0.0097007i,0.0011579+0.00096967i,-0.0023671-0.0029982i,0.0064737+0.00062159i,0.0083004+0.01428i,0.004401+0.00062914i,0.0042941-0.006448i,0.0026316-0.0018245i,0.0014038+0.0071049i,0.0063642+0.00113i,0.013124-0.0023157i,-0.0011128+0.0052959i,-0.0054574+0.0011905i,0.0070866+0.014866i,-0.026669-0.045415i,-0.02992-0.0046791i,0.0027648+0.0033069i,0.004873+0.0050302i,-0.037115-0.011964i,-0.010062+0.011032i,-0.016191+0.0010568i
-0.014448+0.012402i,-0.03146+0.040395i,-0.010771+0.044227i,-0.015198+0.02454i,-0.0058248+0.023789i,-0.0028353+0.024064i,-0.02545+0.010988i,-0.032484+0.028512i,-0.0055927+0.018497i,-0.00093285-0.0022187i,-0.0010211-0.00012872i,0.0035211+0.0050516i,0.001491+0.0056579i,-0.003048-0.00092717i,-0.0039109+0.0025752i,0.0044741-0.006865i,-0.0052195-0.0022915i,-0.0020228+0.00011413i,0.00037125-0.0026422i,-0.0010648-0.00090824i,0.0019351-0.0029214i,0.0020161-0.0021212i,0.0016618-0.0012412i,-0.0065133-0.011535i,0.000446-0.00064712i,-0.0014759+0.00010794i,-0.0025044-0.001234i,-0.0026285-0.0010607i,-0.0003133-0.0013162i,0.001476-0.00037272i,-0.0012928-0.00043145i,0.002284+0.00039308i,0.0022775+7.3363e-05i,-2.2233e-05+0.0013961i,-0.0011648+0.0022849i,0.00090219-0.0089984i,-0.0017705+0.00037186i,0.0015885+0.0013794i,0.0008171+0.0040102i,0.001435+0.0079162i,0.0015575-0.00097597i,-0.0016613-0.0010366i,0.00018513-0.0027261i,0.00146+0.006764i,-0.012103+0.0087665i,0.030887-0.042174i,-0.076877-0.00093856i,-0.027119-0.014698i,-0.049039-0.049229i,-0.051142-0.026704i,-0.08934-0.014653i,-0.07392-0.0079385i,-0.048188-0.042204i,-0.0027042-0.044451i,-0.02431-0.03644i,-0.0071423-0.00047511i,-0.027158-0.0031774i,0.0016867+0.015898i,0.0083221+0.010385i,0.0042958-0.0035489i,0.014811+0.0062313i,-0.0079129-0.0071468i,-0.0007262+0.011394i,0.00087649+0.0076884i,0.0013771-0.0018368i,0.006859+0.0019757i,0.0033431+0.00074438i,-0.01416+0.016629i,-0.0059733+0.0089961i,0.00024479-0.00027483i,0.011308+1.3582e-06i,0.00030176+0.0022527i,-0.0024189-0.011644i,0.00060358-0.0028429i,0.032123-0.021246i,0.001314+0.009987i,0.00062798+0.0016713i,-0.0042909-4.5438e-05i,0.0054248-0.0019632i,0.014563+0.01032i,0.00298-0.0015903i,0.0015797-0.00712i,0.00061223-0.0022993i,0.052015+0.029958i,0.0057897+0.00080565i,0.0090766-0.007325i,0.0022941+0.0061815i,-0.0052638+0.0021705i,0.011162+0.01207i,-0.035732-0.043716i,-0.025523-0.0014118i,0.00092103-0.00052828i,0.0009539+0.0011939i,-0.04043-0.00096845i,-0.0066924+0.0099397i,-0.015152+0.0033427i
