-0.026657-0.042843i,-0.021358-0.021019i,-0.011758-0.037778i,-0.029723-0.021884i,-0.024159-0.0018663i,-0.013202-0.0040403i,-0.05266-0.054047i,-0.046947-0.017153i,-0.038346-0.015463i,0.0099155+0.01394i,-0.0090462+0.0062264i,-0.019906+0.019348i,0.0022482+0.012163i,-0.0041743-0.0025459i,0.00097206+0.00085064i,-0.00035747+0.028441i,0.026276+0.026773i,0.0028606-0.001785i,-0.0020907-0.0065135i,0.0081971+0.0026719i,0.002728+0.00092641i,0.00023676+0.0034794i,-0.00038808+2.5167e-05i,-0.035302-0.010122i,0.00045919-0.0078209i,0.001528+0.0023971i,0.0059318+0.0010757i,0.0023489+0.00035352i,0.0013213-0.00066201i,-9.1356e-05-0.0025592i,0.0018288-0.0022795i,-0.002666-0.0055374i,-0.00021622-0.0047242i,0.0032557-0.00072769i,0.0052326-0.0027116i,0.0027124+0.029549i,0.0042411-0.0032953i,0.0032764-0.0015036i,0.0086044-0.00082036i,-0.0049891-0.0022531i,-0.00036+0.0011653i,0.010264+0.0010936i,0.0044619-0.0016394i,-0.003231+0.0094596i,-0.016992-0.0070848i,-0.017531+0.016551i,0.00074086-0.062142i,-0.0039245-0.027138i,-0.025422-0.034161i,-0.010113-0.026867i,0.053577-0.022797i,0.017514-0.043406i,0.025547-0.047697i,0.0098257-0.053435i,0.027782-0.019668i,0.0087143+0.0063719i,0.0273-0.03314i,-0.0082757-0.0065268i,0.0031552-0.0042185i,-0.0047705-0.007117i,-0.0010203-0.03378i,-0.02071+0.029277i,0.0091265-0.011973i,-0.0093407-0.0038584i,-0.0039784-0.0018598i,0.00063276-0.013277i,-0.011197+0.00393i,0.0024363+0.010806i,-0.0061505+0.027106i,0.0046493+0.0025217i,-0.0054462-0.0019012i,-0.002001-0.002202i,-0.012922-0.0077609i,1.6076e-05-0.0044791i,-0.036121-0.0013323i,0.0014564-0.010916i,-0.0085589-0.00015446i,-0.0072601-0.0027543i,0.0054608+0.0012893i,-0.007983-0.00097205i,0.0021097-0.00011024i,0.0040931+0.007237i,0.00461+0.00057485i,-0.0072951-0.013869i,0.002819+0.009575i,-0.015241+0.004439i,0.0070478+0.00056559i,-0.022722-0.001094i,-0.018094+0.0045655i,-0.003221-0.0645i,0.0081321-0.012683i,-0.047152-0.025593i,-0.019981-0.0008822i,0.016774+0.013046i,-0.02409+0.014231i,-0.0193-0.0063086i
-0.034392-0.040128i,-0.022182-0.01226i,-0.01726-0.039233i,-0.032041-0.019078i,-0.022167-0.00098765i,-0.014549-0.0016518i,-0.061346-0.043821i,-0.048052-0.0094982i,-0.038415-0.0068231i,0.010423+0.010171i,-0.010611+0.0058893i,-0.0095784+0.026569i,0.0066206+0.0090714i,-0.0079723+0.00032265i,0.00091604+0.00036317i,0.0061717+0.024234i,0.02857+0.016087i,0.0034905-0.0003847i,-0.0044712-0.0025289i,0.007361-0.00061305i,0.001194+0.00039466i,0.00042007+0.0037183i,-0.00048815+0.00040417i,-0.023981+0.009243i,-0.001871-0.0065092i,0.0035927+0.00059026i,0.0047905+0.0015756i,0.0029126+0.00065486i,0.001912-0.001398i,-0.0011243-0.0025145i,0.0015615-0.0033761i,-0.0030084-0.00443i,-0.0012883-0.0047638i,0.0026092-0.0019786i,0.0052436-0.0029834i,0.012062+0.024894i,0.0036838-0.0047958i,0.0020782-0.0021485i,0.0098107-0.0039824i,-0.0032999-0.0015706i,0.00037125+0.0021818i,0.0092482-0.00058102i,0.0034849-0.0017415i,-0.0031169+0.010217i,-0.014732-0.007422i,-0.0045899+0.019538i,-0.010881-0.061841i,-0.015102-0.030616i,-0.020054-0.02349i,-0.0069931-0.016232i,0.050305-0.047157i,0.017139-0.06174i,0.027593-0.047948i,-6.0303e-07-0.058013i,0.01475-0.016206i,0.0075388-0.0018838i,0.012605-0.03696i,-0.0074623-8.2968e-05i,-0.0004365-0.012875i,-0.0064275-0.0061557i,-0.023189-0.030437i,-0.007223+0.026967i,0.002807-0.014906i,-0.010786+0.00030632i,-0.0031144-0.00015696i,-0.0055422-0.013087i,-0.011879+0.0091563i,0.0080033+0.010892i,0.011097+0.023357i,0.004677-0.0014359i,-0.0052958+0.001441i,-0.0047145-0.0023334i,-0.016714+0.0015565i,-0.00035968-0.0033388i,-0.041286+0.0065497i,-0.0046799-0.0087283i,-0.0077733+0.0032608i,-0.0086738+0.0012643i,0.0039277-0.0042324i,-0.0072607+0.0012634i,0.0028759-0.0030396i,0.0026201+0.0028687i,0.003536-0.00082472i,-0.014257-0.0059205i,0.0046444+0.0060084i,-0.011102+0.010076i,0.0063118-0.0025674i,-0.021058+0.007065i,-0.017233+0.0094367i,-0.014278-0.061286i,0.0034651-0.01798i,-0.053464-0.011069i,-0.014216-0.0059264i,0.017246+0.0073883i,-0.017725+0.020095i,-0.026991-0.0093797i
-0.040426-0.035181i,-0.019409-0.011569i,-0.024457-0.040905i,-0.034393-0.013544i,-0.021434-0.001071i,-0.015392+0.0008741i,-0.071498-0.029348i,-0.049907-0.00091487i,-0.038167-4.8282e-06i,0.010499+0.0072312i,-0.011016+0.011326i,0.001456+0.02471i,0.0078666+0.0045705i,-0.0086912+0.0045018i,0.00071143+0.00019087i,0.010283+0.018374i,0.031758+0.0072102i,0.0053675-0.00098546i,-0.0034289+0.00031981i,0.0058401-0.0022735i,-0.000198+0.0011648i,0.0017842+0.0045514i,-0.00045419+0.00072601i,-0.01295+0.017155i,-0.0029783-0.005177i,0.0036043-0.0019564i,0.0046677+3.1077e-05i,0.0040473-0.00050462i,0.00073953-0.0019835i,-0.0017863-0.0015923i,0.00029589-0.0041943i,-0.0041953-0.0032125i,-0.0026446-0.0043546i,0.0017871-0.0033997i,0.0054484-0.006772i,0.018266+0.01702i,0.0019608-0.0056229i,0.0011213-0.0024946i,0.0083066-0.0092109i,-0.0034304-0.00060292i,0.0015851+0.0024589i,0.0079921-0.0036565i,0.0033819-0.0021843i,-0.00045159+0.011875i,-0.015159-0.0098364i,0.0061522+0.016653i,-0.021685-0.058959i,-0.024782-0.02277i,-0.0084095-0.02214i,-0.00016565-0.019289i,0.041048-0.06714i,-0.00059761-0.077196i,0.032448-0.055074i,-0.011184-0.055717i,0.010571-0.014621i,0.0048494-0.0050111i,0.0010655-0.038177i,0.0024468-0.00037608i,-0.008829-0.012726i,-0.0062438-0.0078901i,-0.03875-0.017591i,0.00078572+0.024291i,-0.0038714-0.014811i,-0.0084047+0.0032444i,-0.0045635+0.00048257i,-0.011944-0.011188i,-0.0055723+0.015347i,0.014951+0.0044524i,0.020759+0.011459i,0.003652-0.0032541i,-0.0042959+0.0017733i,-0.0065251-0.00041713i,-0.013195+0.011157i,-0.0041324-0.0029403i,-0.038677+0.020884i,-0.0066255-0.0044136i,-0.0057481+0.0068526i,-0.0085406+0.0075827i,-0.0017398-0.0053964i,-0.0071312+0.0025197i,0.00098422-0.0046613i,0.00053717+0.00258i,0.0028515-0.0026137i,-0.0097087+0.0024957i,0.0044178+0.0025132i,-0.0069519+0.011792i,0.0036377-0.0065326i,-0.016573+0.01266i,-0.012612+0.013485i,-0.020271-0.056584i,-0.0034513-0.017897i,-0.052558+0.0027244i,-0.020967-0.011932i,0.016797+0.00052358i,-0.0074466+0.019522i,-0.029854-0.003888i
-0.045063-0.029359i,-0.020536-0.013542i,-0.034101-0.041531i,-0.032214-0.0084481i,-0.022103-0.0012391i,-0.015048+0.0042644i,-0.073262-0.00592i,-0.04886+0.010992i,-0.036716+0.0089911i,0.010691+0.0055815i,-0.0057294+0.015479i,0.0069134+0.019358i,0.0070539+0.00085094i,-0.0069302+0.0093935i,0.00024297+4.3257e-06i,0.0106+0.011278i,0.031855-0.0075989i,0.0048733-0.003629i,-0.0031437+0.0026324i,0.00415-0.0031162i,0.00081014+0.0028173i,0.0041398+0.0042551i,-0.00033091+0.0011683i,0.00071619+0.025343i,-0.0038919-0.0040703i,0.0019573-0.0033951i,0.0048478-0.0011514i,0.0033266-0.0023143i,0.00038644-0.0014915i,-0.0023843-0.00065447i,-0.0013079-0.0042022i,-0.0044992-0.001932i,-0.004138-0.0032436i,0.00038661-0.004194i,0.0010066-0.0086609i,0.018616+0.009562i,-9.8893e-06-0.0060247i,0.00025076-0.0027246i,0.0035651-0.011745i,-0.0016561+0.00060406i,0.0027475+0.001621i,0.0047313-0.0050469i,0.0024853-0.002695i,0.0034185+0.010786i,-0.014745-0.011424i,0.01578+0.010095i,-0.030814-0.052377i,-0.025808-0.011403i,-0.0048143-0.025996i,0.0012878-0.021263i,0.021811-0.088275i,-0.023704-0.077734i,0.028198-0.073838i,-0.01867-0.052121i,0.0070694-0.012598i,0.0010977-0.0076213i,-0.012028-0.035124i,0.0014454-0.0093792i,-0.012091-0.0082502i,-0.011801-0.011185i,-0.043672+0.0032339i,0.011224+0.019122i,-0.0098434-0.012633i,-0.0062116+0.0040062i,-0.0044536+0.0030629i,-0.016952-0.0053795i,0.0028911+0.013288i,0.016871-0.003606i,0.02219-0.00029659i,0.0025305-0.0051875i,-0.0049307+0.0020575i,-0.0070353+0.0028416i,-0.007675+0.017786i,-0.0059299+0.00086958i,-0.032349+0.033043i,-0.0071891-0.0021381i,-0.001235+0.0077963i,-0.0021351+0.01244i,-0.0059228-0.0021108i,-0.0050262+0.0038278i,-0.00054939-0.0048874i,-9.2341e-06+0.003417i,0.00059751-0.0041281i,-0.0052992+0.0017789i,0.0008807-0.00058488i,-0.003794+0.013867i,-0.0012785-0.0066187i,-0.010008+0.016234i,-0.007923+0.013099i,-0.025189-0.054157i,-0.0027955-0.014868i,-0.048277+0.017776i,-0.029378-0.0081254i,0.015107-0.0055156i,0.00071039+0.014727i,-0.028248+0.002217i
-0.049075-0.022443i,-0.025101-0.011857i,-0.047325-0.037903i,-0.030194-0.0063262i,-0.024459-0.0005983i,-0.013553+0.0075617i,-0.061061+0.0095681i,-0.041661+0.020485i,-0.029413+0.015423i,0.011609+0.0038474i,-9.9513e-05+0.014201i,0.010528+0.015891i,0.0045849-0.0011548i,-0.0016352+0.011873i,-0.00021523-0.00010856i,0.0081286+0.0092058i,0.01944-0.019613i,0.0029932-0.0045519i,-0.0004897+0.0064779i,0.0028855-0.0035987i,0.0026245+0.004464i,0.0051139+0.0021621i,-7.8084e-05+0.0017938i,0.020173+0.017437i,-0.0049105-0.0019284i,0.0004625-0.0034644i,0.0033166-0.0030215i,0.002624-0.0025043i,0.00016486-0.0012368i,-0.0022+0.00066616i,-0.0027505-0.0034512i,-0.0046495-0.00043584i,-0.0043239-0.0018365i,-0.001725-0.0039246i,-0.0015421-0.0076545i,0.019335+0.0051503i,-0.0020364-0.0055296i,-0.0011055-0.0025073i,-0.0011896-0.01076i,-0.0010084-0.0013173i,0.0029218+0.00037182i,0.002325-0.0039625i,0.0021439-0.0029086i,0.0046142+0.0085445i,-0.019287-0.016222i,0.022418-0.002006i,-0.034641-0.043589i,-0.021486-0.0023089i,-0.0027662-0.031304i,0.0032065-0.022546i,-0.0099451-0.098551i,-0.042451-0.069158i,0.0075863-0.08642i,-0.028884-0.045452i,0.0063717-0.0095444i,-0.0029835-0.007767i,-0.023094-0.026153i,-0.0051645-0.012211i,-0.01439-0.0061879i,-0.021434-0.0064153i,-0.0381+0.019907i,0.014976+0.0084759i,-0.015559-0.0071174i,-0.0050461+0.004811i,-0.0036209+0.0055927i,-0.017757+0.0039662i,0.0042695+0.0085106i,0.015631-0.010703i,0.02087-0.010445i,0.0004859-0.0069933i,-0.0065126+0.005046i,-0.0044121+0.0058184i,0.00079468+0.019637i,-0.0053053+0.0047309i,-0.024062+0.043666i,-0.0086377-0.00059763i,0.00078354+0.0050628i,0.00479+0.011516i,-0.0076167+0.0015649i,-0.0039872+0.0015318i,-0.0028966-0.0055346i,0.00050292+0.0051979i,-0.0035648-0.0040666i,-0.0057576-0.00055994i,-0.0017921+0.0012689i,0.0020773+0.015158i,-0.0048511-0.004878i,-0.002246+0.0164i,-0.0058552+0.013283i,-0.032909-0.049796i,0.0010218-0.020203i,-0.037376+0.034322i,-0.032987+0.0025502i,0.01088-0.011348i,0.0021313+0.0069205i,-0.026183+0.0044814i
-0.051282-0.016042i,-0.026181-0.0094148i,-0.059057-0.02591i,-0.030261-0.0052457i,-0.028187+0.0026713i,-0.010067+0.0096964i,-0.049549+0.015735i,-0.033371+0.025399i,-0.023323+0.017336i,0.01115+0.0013453i,0.0022159+0.01286i,0.013904+0.0093621i,0.0021261-0.0018337i,0.0042426+0.010171i,-0.00069523+8.8559e-05i,0.0081411+0.0090308i,0.0056315-0.020177i,0.0027738-0.0045996i,0.0040465+0.0061777i,0.0014162-0.0035283i,0.0056541+0.0021968i,0.0049317+0.00044859i,0.0010537+0.0021978i,0.025822+0.0011074i,-0.0035664+0.00037741i,-0.00077276-0.0031804i,0.00057532-0.0013212i,0.0022306-0.0036284i,-0.00010328-0.0014786i,-0.0006425+0.0018164i,-0.0034603-0.002296i,-0.0041698+0.00045771i,-0.0051262+0.00026428i,-0.0024278-0.0021856i,-0.0027018-0.0063842i,0.020029-0.00081799i,-0.0038634-0.0043462i,-0.0027928-0.0020833i,-0.0049019-0.009543i,-0.0032213-0.0023007i,0.0031613-0.00039304i,0.0012285-0.0024667i,0.0012643-0.0033774i,0.0057759+0.0070598i,-0.027727-0.015698i,0.014072-0.018097i,-0.032598-0.036863i,-0.016339+0.0033276i,-0.0039953-0.034743i,0.0065984-0.028439i,-0.041666-0.088324i,-0.058506-0.054429i,-0.012206-0.086273i,-0.03019-0.029147i,0.011657-0.0046632i,-0.0055639-0.0057788i,-0.02617-0.011342i,-0.010701-0.012408i,-0.019601-0.001849i,-0.020077+0.0033703i,-0.027364+0.034412i,0.013161+0.00052745i,-0.014087+0.0023547i,-0.0051145+0.0051392i,0.00051238+0.0080934i,-0.012267+0.011071i,0.005612+0.0096546i,0.011005-0.022651i,0.0089294-0.023479i,-0.0047232-0.0095791i,-0.0059224+0.0090673i,-0.0030853+0.0060649i,0.0086872+0.017644i,-0.0019292+0.0078478i,-0.0066078+0.058805i,-0.0097927+0.0012152i,0.00049466+0.0048492i,0.008902+0.0066812i,-0.0060554+0.0085886i,-0.0057567+0.0024904i,-0.0073821-0.0039532i,0.0036118+0.0056195i,-0.0052745+0.0020715i,-0.0084852-4.6663e-05i,-0.00022994+0.0053556i,0.0064196+0.011982i,-0.0066578-0.0037173i,0.0021925+0.011784i,-0.0015238+0.014916i,-0.036029-0.039185i,-0.0073571-0.032702i,-0.01347+0.038759i,-0.028574+0.010594i,0.0084236-0.019508i,0.0012991+0.00036513i,-0.023594+0.0094915i
-0.052843-0.00929i,-0.031738-0.0088431i,-0.066341-0.010845i,-0.030241-0.0020554i,-0.030011+0.0094274i,-0.0069012+0.0098262i,-0.041148+0.017799i,-0.026153+0.027468i,-0.020689+0.018727i,0.011493-0.0019281i,0.0069508+0.012079i,0.010767+0.002162i,-0.00046105-0.00046917i,0.0074519+0.0048465i,-0.00091302+0.0004783i,0.0087265+0.0087196i,-0.0032636-0.014867i,0.0012972-0.0061699i,0.005665+0.0025556i,0.00053665-0.0027309i,0.0057831-0.00065247i,0.0053513-0.00031503i,0.0022403+0.0017502i,0.019917-0.011635i,-0.0013087+0.00018926i,-0.0014425-0.0022599i,0.0017766-0.0026929i,0.00093549-0.0044299i,-0.00052689-0.00075474i,0.00061761+0.0012458i,-0.0037915-0.0011675i,-0.0035536+0.0018874i,-0.0037845+0.0022343i,-0.0022959-0.0015553i,-0.0051043-0.0057297i,0.017413-0.007309i,-0.0044354-0.0021391i,-0.0031983-0.00043759i,-0.0077565-0.0057946i,-0.0056607+0.00018098i,0.0025022-0.0015115i,0.002096-0.003371i,0.00053863-0.0035582i,0.0065252+0.0041725i,-0.034671-0.0097981i,0.00073201-0.017343i,-0.034544-0.036978i,-0.0045065+0.0075395i,-0.005536-0.03717i,-0.0006542-0.038717i,-0.059816-0.070976i,-0.061463-0.032682i,-0.034807-0.081651i,-0.023004-0.022926i,0.018805-0.017342i,-0.0063543-0.0034396i,-0.020811-0.0044165i,-0.020327-0.0091487i,-0.017165+0.0083284i,-0.016979+0.0073472i,-0.0073438+0.038768i,0.010907-0.0037219i,-0.012139+0.0044345i,-0.0018884+0.0047746i,0.0028214+0.0051303i,-0.0055983+0.014966i,0.011021+0.0068588i,-0.0053256-0.026863i,-0.0094205-0.021796i,-0.0085462-0.0027992i,-0.0017484+0.011435i,0.00053599+0.0064062i,0.0155+0.0098081i,0.0015954+0.0075282i,0.022133+0.057639i,-0.00695+0.0054379i,0.00088203+0.0047569i,0.0096281+0.00098999i,0.00022992+0.011385i,-0.0087196+0.0037612i,-0.0095982+0.0024887i,0.0068784+0.0048897i,-0.0030483+0.0056288i,-0.010949+0.0033162i,0.0024476+0.0054107i,0.0082654+0.0082387i,-0.0075646-0.00082815i,0.0054665+0.0076865i,0.002823+0.012299i,-0.036153-0.035103i,-0.026595-0.031687i,0.003086+0.028326i,-0.024496+0.015614i,-0.0014113-0.026477i,-0.0029483-0.0040868i,-0.016003+0.010099i
-0.053979-0.0022989i,-0.036533-0.00012029i,-0.067624+0.0065405i,-0.02806-7.8011e-05i,-0.026788+0.016802i,-0.0050778+0.009286i,-0.035089+0.018504i,-0.020045+0.028107i,-0.016451+0.022289i,0.010227-0.0053565i,0.010688+0.0057127i,0.0054799+0.0017291i,-0.00068575+0.002226i,0.0054683+0.0014094i,-0.00092772+0.0006929i,0.011316+0.0070949i,-0.0069004-0.0081548i,-0.0016555-0.0057687i,0.0041743+0.00065208i,0.000216-0.0024218i,0.0037354-0.0019213i,0.0048905-0.002184i,0.0028454+0.00073555i,0.010916-0.01777i,-0.001609-0.00083697i,-0.001494-0.0016367i,0.0011557-0.0040509i,-0.00065868-0.0037361i,0.00066912-0.0004544i,0.00069049+0.00033019i,-0.0041324-0.00017726i,-0.002171+0.0027248i,-0.0022789+0.0034653i,-0.0028019-0.0011492i,-0.0065923-0.0021067i,0.012936-0.011612i,-0.0037379-0.00077934i,-0.0022264+0.00098698i,-0.0074242-0.0029363i,-0.0046603+0.0031387i,0.001532-0.0018886i,0.00184-0.0038952i,-0.00083104-0.003679i,0.0050982+0.0014554i,-0.037884-0.00027832i,-0.0012757-0.0080981i,-0.039629-0.035447i,0.0060822+0.0027118i,-0.0089436-0.041386i,-0.0099429-0.037268i,-0.075137-0.053601i,-0.053672-0.018193i,-0.057407-0.064172i,-0.01847-0.023871i,0.014073-0.029226i,-0.0063593-0.0021034i,-0.0168-0.00071826i,-0.027534+0.0018211i,-0.012474+0.012387i,-0.011998+0.012308i,0.010632+0.031184i,0.0073849-0.0087064i,-0.011842+0.0078267i,-0.0018646+0.0021273i,0.0046414+0.0041076i,0.0023246+0.013275i,0.01142-0.00086104i,-0.019618-0.017337i,-0.01919-0.0094813i,-0.0057575+0.0022916i,0.004109+0.011187i,0.0029513+0.0050751i,0.017988+0.0018129i,0.006409+0.0069493i,0.044832+0.041448i,-0.0044999+0.0051306i,0.0015859+0.0056316i,0.0069888-0.0040415i,0.0065588+0.007991i,-0.010419+0.011728i,-0.0067132+0.0091065i,0.0094235+0.000697i,0.0025904+0.0062395i,-0.011396+0.0088542i,0.0040313+0.0033341i,0.0090843+0.0053522i,-0.0081445+0.0012336i,0.0056483+0.0030509i,0.0041124+0.0096349i,-0.036765-0.02936i,-0.036747-0.014577i,0.0092476+0.014042i,-0.011855+0.020264i,-0.013498-0.02828i,-0.010837-0.004171i,-0.015736+0.0050633i
-0.054328+0.0054231i,-0.034442+0.0099695i,-0.061082+0.023623i,-0.02851+0.00075653i,-0.021619+0.020809i,-0.0035674+0.0089063i,-0.030889+0.017663i,-0.015629+0.027713i,-0.0097927+0.024475i,0.0072468-0.0087076i,0.0072628+0.00025194i,0.0051656+0.0040591i,0.001188+0.0039012i,0.003438-0.0004897i,-0.00097723+0.0011412i,0.012935+0.0034728i,-0.0058507-0.002677i,-0.0029048-0.0038403i,0.003691+0.00046198i,-0.00027094-0.002157i,0.0037052-0.00098306i,0.003383-0.0033432i,0.0029813-0.00021478i,0.0030908-0.017461i,-0.0024169-0.00089743i,-0.001706-0.0016322i,-0.00062469-0.0046117i,-0.0016516-0.0031768i,0.00050126-0.0012325i,0.0007482+8.0492e-05i,-0.0039831+0.00091337i,-0.00056941+0.0029405i,-0.00074735+0.0031754i,-0.0027214+0.00030677i,-0.005452-0.00070825i,0.0070679-0.013896i,-0.0029339-0.00016869i,-0.0010641+0.0015059i,-0.0087417-0.00061802i,-0.0027538+0.0044867i,0.00098782-0.0017586i,0.00010716-0.0045323i,-0.0018648-0.002891i,0.0025138+0.001356i,-0.037159+0.0094892i,0.0075886-0.0032584i,-0.046606-0.031505i,0.012352-0.0057343i,-0.014869-0.041034i,-0.015606-0.035283i,-0.08274-0.02917i,-0.048066-0.012642i,-0.060378-0.036425i,-0.018163-0.02495i,0.0031099-0.037818i,-0.0070162-0.0017903i,-0.014521-0.0026001i,-0.022554+0.01622i,-0.0070253+0.014884i,-0.0023307+0.011486i,0.015796+0.016861i,0.0022377-0.010197i,-0.0088042+0.011625i,-0.0033152+0.0028003i,0.0053596+0.00045052i,0.0058067+0.0086163i,0.0060915-0.0037458i,-0.024519-0.0035933i,-0.019483+0.0019975i,-0.0020271+0.0029528i,0.0069701+0.0087951i,0.0028576+0.0034605i,0.014669-0.009589i,0.0074078+0.0010389i,0.055504+0.017226i,-0.0053292+0.0071485i,0.003895+0.0044864i,0.0019507-0.0055388i,0.0074685+0.0035383i,-0.004224+0.018613i,0.0007983+0.0092359i,0.0075644-0.0031932i,0.0054351+0.0021981i,-0.0067674+0.016282i,0.0030987+0.003363i,0.0089202+0.0028498i,-0.0093197+0.0041859i,0.001194+2.7668e-05i,0.0046419+0.0081339i,-0.035251-0.025482i,-0.032052+3.8977e-05i,0.0066395+0.003191i,-0.0021599+0.013062i,-0.026497-0.023564i,-0.014323+0.0050938i,-0.019342+0.0073271i
-0.053146+0.013458i,-0.02894+0.015239i,-0.04952+0.035514i,-0.030619+0.0036583i,-0.016208+0.023476i,-0.0022751+0.008701i,-0.029739+0.017103i,-0.012349+0.028267i,-0.0035251+0.023547i,0.0031577-0.010289i,0.0033919+0.00049511i,0.0065472+0.0037543i,0.0038133+0.0032105i,0.0014229-0.00084077i,-0.00058202+0.0016304i,0.011528-0.0010305i,-0.0038174-0.0014526i,-0.0024769-0.0021854i,0.0038973-0.00037463i,-0.00045688-0.0015993i,0.0043733-0.0023177i,0.0019227-0.003113i,0.0028606-0.0011434i,-0.0021978-0.015542i,-0.0025904+8.7212e-05i,-0.0020594-0.00095687i,-0.002366-0.0040457i,-0.0025846-0.0024432i,8.3003e-05-0.0014935i,0.000672-0.00051554i,-0.0035623+0.0021443i,0.00088281+0.0023189i,0.00045917+0.0027832i,-0.0018755+0.00091268i,-0.005719+0.001005i,0.0015413-0.012445i,-0.0027856-0.00049132i,-5.7578e-05+0.0012537i,-0.0066947+0.0036623i,-0.00074541+0.005109i,0.00065491-0.0017692i,-0.00034564-0.0037278i,-0.0025267-0.0020661i,0.0027037+0.0037663i,-0.03147+0.017791i,0.019283-0.011899i,-0.053488-0.022952i,0.013215-0.014858i,-0.016377-0.04052i,-0.02178-0.032764i,-0.078558-0.0078014i,-0.044088-0.0066039i,-0.050559-0.021398i,-0.018583-0.027315i,-0.011136-0.040248i,-0.0072942-9.5988e-05i,-0.017681-0.0041859i,-0.012215+0.022072i,-0.001391+0.013568i,0.0020087+0.0039339i,0.012322+0.0062277i,-0.0026742-0.0090479i,-0.0039942+0.013725i,-0.0033973+0.0046724i,0.0031475-0.0027376i,0.0058396+0.0044069i,0.0041149-0.0017393i,-0.021437+0.0092505i,-0.01397+0.01072i,-0.0011895+0.0032257i,0.010312+0.0057858i,0.0027117+0.0029891i,0.0051551-0.014494i,0.0046292-0.0021273i,0.053162-0.005354i,-0.0022074+0.010267i,0.0038089+0.0028927i,-0.0014746-0.003958i,0.0073179+0.0017862i,0.0054422+0.020821i,0.0030406+0.006062i,0.0056848-0.0048559i,0.0045381-0.00036713i,0.0024528+0.018199i,0.0037799+0.0029331i,0.0093886-0.00056322i,-0.0065848+0.010317i,-0.0005902+0.0014228i,0.0051568+0.007452i,-0.034758-0.024866i,-0.024868+0.005867i,0.0031686-0.0012304i,-0.0023313+0.004569i,-0.036274-0.013483i,-0.0091267+0.0087153i,-0.017696+0.010448i
-0.050461+0.021184i,-0.023002+0.018069i,-0.035933+0.041889i,-0.030462+0.0091063i,-0.010062+0.024074i,-0.0010308+0.0083737i,-0.029283+0.018835i,-0.0081475+0.029391i,0.0014882+0.021576i,-0.0011382-0.010039i,0.0024093+0.001924i,0.0081164+0.0023035i,0.0047993+0.0016536i,-0.00051027+0.00029629i,-0.00026328+0.0017892i,0.0085717-0.0034937i,-0.004052-0.0019935i,-0.00239-0.001853i,0.0037077-0.0012253i,-0.00044885-0.0011947i,0.003555-0.0037292i,0.0017189-0.002607i,0.0023673-0.0019901i,-0.006437-0.013681i,-0.0022932+0.0012827i,-0.0019693-0.00033982i,-0.0036576-0.0026852i,-0.0029371-0.0011208i,-0.00023629-0.0015553i,-4.3593e-05-0.00087628i,-0.0026105+0.0032494i,0.00098959+0.0014329i,0.0014489+0.0018774i,-0.0010571+0.00093504i,-0.0047407+0.0024347i,-0.00094893-0.0095088i,-0.0029675-1.3073e-05i,0.00068085+0.00038663i,-0.0033742+0.0040435i,0.0018207+0.0047271i,0.00033606-0.0017251i,-0.00036152-0.0033969i,-0.0030121-0.0013399i,0.0045137+0.0029359i,-0.02446+0.021325i,0.018735-0.028871i,-0.056672-0.011258i,0.013443-0.022875i,-0.018733-0.04556i,-0.026508-0.027764i,-0.071762+0.0067096i,-0.040078-0.0030665i,-0.043037-0.013571i,-0.02222-0.027878i,-0.026052-0.037196i,-0.0072575+0.0012716i,-0.025144-0.0019302i,-0.0025448+0.022148i,0.0020046+0.01021i,7.232e-05-0.0021315i,0.0067531+0.0023599i,-0.0068986-0.0081256i,0.0011603+0.012776i,-0.0016011+0.0058538i,0.00035141-0.0029173i,0.0032146+0.0016032i,0.0044851-0.00095878i,-0.013134+0.015843i,-0.0064315+0.015152i,0.0014165+0.0035217i,0.012247+0.000201i,0.0030934+0.0033485i,-0.0030659-0.012831i,0.0022309-0.0030797i,0.043329-0.0225i,0.0027331+0.011657i,0.0039666+0.0027457i,-0.0039179-0.0017052i,0.0073007-0.0025416i,0.014537+0.017789i,0.0032461+0.0036695i,0.0032656-0.0064453i,0.0034332-0.0019512i,0.0096899+0.015134i,0.0043623+0.003325i,0.006629-0.0041963i,-0.00040499+0.011959i,-9.9145e-05+0.0015575i,0.0074605+0.0066872i,-0.03828-0.023144i,-0.01941+0.010113i,0.00082796-0.0037959i,-0.0062852+0.0023421i,-0.039819-0.00080399i,-0.006604+0.0078953i,-0.014962+0.013001i
