-0.024411-0.0030276i,-0.024579+0.0016625i,-0.018311-0.0096021i,-0.032341-0.012071i,-0.029898+0.0039034i,-0.038305-0.00015419i,-0.061789-0.023367i,-0.03311-0.01707i,-0.032528-0.003197i,0.0060446+0.00371i,-0.0035349+0.0061837i,-0.0062156+0.015884i,0.0060622+0.0099934i,-0.00071242+0.0041164i,0.0055134+0.0038047i,0.0046103+0.023597i,0.02315+0.02101i,0.00073447-0.00071659i,0.00069722-0.0054779i,0.0060437-0.00098449i,0.0044819+0.00011027i,0.0024844+0.0014081i,0.00083084-0.00067669i,-0.029425-0.0010339i,-0.0052377-0.0055725i,-0.0010646+0.0028159i,0.0023358-0.002286i,-0.0012241-1.2596e-05i,-0.0014485+0.0010715i,-0.0022539-0.0031276i,-0.0045154-0.0011974i,-0.0074029-0.005023i,-0.0048498-0.0020858i,-0.00071036-2.9631e-05i,0.0014363-0.0038801i,0.0022357+0.018355i,0.00025163-0.0028576i,2.9721e-05-0.0027593i,0.0042327-0.0023603i,-0.0028448-0.0005247i,0.00067061+5.8895e-05i,0.0067152-0.0026805i,0.0042456-0.0023566i,-0.0003411+0.0022338i,-0.014073+0.015933i,-0.028278+0.060102i,-0.0018694-0.039023i,-0.014343-0.019078i,-0.037925-0.017482i,-0.027662-0.013896i,0.040602-0.0058332i,0.0083661-0.030829i,0.012441-0.039871i,-0.011181-0.03082i,0.024097-0.019752i,0.01438+0.0082063i,0.027687-0.033246i,-0.0025345-0.0045123i,0.0059273-0.008162i,-0.0021362-0.0071371i,0.0027071-0.034721i,-0.013451+0.029574i,0.0085053-0.011079i,-0.010274-0.0049153i,-0.0028868-0.0017471i,0.000575-0.014574i,-0.008403+0.0054514i,0.0033053+0.007042i,-0.0019492+0.029063i,0.0021586-0.00019731i,-0.0076266-0.0050305i,-0.0028792-0.0066005i,-0.01496-0.009869i,-0.0027442-0.0062557i,-0.033898+0.013484i,-0.0041626-0.0096065i,-0.012996-0.0024721i,-0.0084993-0.006761i,0.0015-0.0019289i,-0.013507+0.0017201i,-0.0011327-0.00020705i,0.0064041+0.0072113i,0.0046959-0.0055289i,-0.012742-0.013736i,0.008074+0.0089388i,-0.016752+0.0063404i,0.0057173+6.5048e-05i,-0.020578-0.0026525i,-0.018199-0.0038752i,-0.016586-0.03422i,0.019288-0.007741i,-0.03863-0.023912i,-0.008554+0.0023999i,0.017286+0.015712i,-0.022827+0.017246i,-0.0041366-0.0039718i
-0.025831+0.00017934i,-0.022792+0.0077709i,-0.019873-0.0079824i,-0.034295-0.0078673i,-0.027654+0.0044853i,-0.038976+0.0077706i,-0.062941-0.01247i,-0.033865-0.011388i,-0.029912+0.0043221i,0.0050747+0.0019528i,-0.0039767+0.0053708i,0.00084494+0.017236i,0.0096368+0.0064792i,-0.0026648+0.0057645i,0.0057519+0.001891i,0.0080531+0.018852i,0.023147+0.010056i,0.0018767-0.00018231i,-0.00091781-0.0038923i,0.004569-0.0030089i,0.0039179-0.0012711i,0.0021203+0.0007106i,0.00080361-0.00072096i,-0.015823+0.010134i,-0.0063395-0.0025975i,0.0019342+0.0012162i,0.00080989-0.0013156i,-0.00040701+0.00066438i,0.00055574+0.0010037i,-0.003443-0.0020267i,-0.0034245+0.0003881i,-0.0075809-0.0025535i,-0.0038193-0.00050076i,-0.00037861-0.00016604i,0.0012272-0.0029963i,0.0069013+0.015427i,-0.00016613-0.0029533i,-0.0012055-0.0024848i,0.0044222-0.0042309i,-0.00092737-0.0010515i,0.0011385+0.0002895i,0.0051941-0.0033266i,0.0024409-0.0028732i,-0.0023151+0.0023906i,-0.0090104+0.016627i,-0.0060828+0.064454i,-0.0096114-0.038792i,-0.025181-0.021039i,-0.028496-0.0063689i,-0.021158-0.0023254i,0.03996-0.028782i,0.0094208-0.046021i,0.01554-0.038794i,-0.017399-0.030768i,0.014171-0.014942i,0.012609-0.0030618i,0.016313-0.030154i,-0.00052132-0.0012376i,0.00089335-0.016001i,-0.0040028-0.0079538i,-0.021327-0.032952i,-0.001314+0.025011i,0.0028838-0.013617i,-0.013704+0.0012691i,-0.0012377-0.00052164i,-0.0057059-0.014623i,-0.0076243+0.0097689i,0.0090963+0.0068907i,0.015491+0.022849i,0.0008823-0.0025092i,-0.0079029-0.00038909i,-0.0074187-0.006458i,-0.019569+0.0014199i,-0.0024088-0.0045872i,-0.036816+0.014289i,-0.0080177-0.0049909i,-0.013133+0.0024085i,-0.012897-0.00065919i,-0.0014789-0.0056383i,-0.010854+0.0056966i,0.00039254-0.0018882i,0.0044101+0.00061249i,0.0010111-0.0065889i,-0.018157-0.0016843i,0.0091882+0.0038025i,-0.011897+0.012908i,0.005271-0.0024506i,-0.017912+0.004999i,-0.020608+0.00094828i,-0.022326-0.030963i,0.016229-0.015658i,-0.045152-0.0080896i,-0.001848-0.0045874i,0.018759+0.0093496i,-0.0148+0.022443i,-0.01235-0.0095052i
-0.025643+0.0047767i,-0.019634+0.0099721i,-0.021871-0.0061518i,-0.035738-0.0016631i,-0.026722+0.0048709i,-0.038026+0.016021i,-0.0656+3.8791e-05i,-0.035724-0.0061998i,-0.027236+0.0084697i,0.0040421+0.001017i,-0.0035725+0.0082245i,0.0065091+0.013909i,0.010199+0.0017687i,-0.0019951+0.00837i,0.0054839+0.00050516i,0.01034+0.014561i,0.022876+0.0038113i,0.0028999-0.0013351i,-0.0014309-0.0025896i,0.0030653-0.0037477i,0.0021764-0.0021059i,0.0023872+0.00089705i,0.00065889-0.0010492i,-0.0058367+0.013058i,-0.0058925+0.00044048i,0.0017936-0.0014187i,0.00053512-0.00096717i,0.00049389+0.00063246i,0.00065318+0.000291i,-0.0037142-0.00063155i,-0.0028268+0.0011873i,-0.0078438+0.00023646i,-0.004302+0.00097614i,-0.00035901-0.00053769i,0.0011608-0.0053374i,0.010945+0.010939i,-0.00064986-0.0024776i,-0.0021061-0.001706i,0.0024475-0.0067838i,-0.0012401-0.0017993i,0.0014211-0.00017093i,0.0035429-0.0048027i,0.0018071-0.0029701i,-0.0024519+0.003529i,-0.005342+0.014693i,0.013958+0.062282i,-0.018436-0.036295i,-0.033987-0.010873i,-0.015014-0.0052335i,-0.013227-0.0049328i,0.031763-0.04799i,-0.004482-0.059497i,0.021092-0.044859i,-0.023003-0.024194i,0.010968-0.014425i,0.0089145-0.0068648i,0.0031466-0.038624i,0.0073789-0.0056932i,-0.0084915-0.015446i,-0.0053344-0.010112i,-0.037913-0.020411i,0.0051764+0.021529i,-0.0040701-0.014509i,-0.0088042+0.0035759i,-0.0026338-0.00093727i,-0.013137-0.012023i,-0.00048834+0.013647i,0.013932+0.00015052i,0.024189+0.0089385i,7.8796e-05-0.0030707i,-0.0075091+5.0059e-05i,-0.010178-0.0027185i,-0.015619+0.011015i,-0.007103-0.003492i,-0.032671+0.028046i,-0.0077258-0.00040315i,-0.01111+0.0085481i,-0.013896+0.0078509i,-0.0071258-0.0042482i,-0.0094275+0.0091087i,0.001187-0.0029024i,0.00011654-0.00013698i,-0.0022967-0.0063379i,-0.011264+0.0059553i,0.0077931-0.0016582i,-0.0072664+0.013669i,0.0017576-0.0067078i,-0.013744+0.0086691i,-0.018354+0.0065062i,-0.025172-0.025491i,0.009106-0.017919i,-0.04344+0.0033184i,-0.0079983-0.01368i,0.018332+0.0023487i,-0.0038353+0.020685i,-0.014838-0.0057195i
-0.023969+0.0095176i,-0.01853+0.010865i,-0.024068-0.0035291i,-0.033743+0.0047701i,-0.027108+0.0048998i,-0.033191+0.024701i,-0.062927+0.017681i,-0.036792+0.0017865i,-0.025398+0.014182i,0.0036338+0.0006276i,-0.00017928+0.0097434i,0.0085806+0.009727i,0.0086836-0.0019721i,0.0011555+0.01088i,0.0047916-0.00090898i,0.010721+0.0086217i,0.022443-0.005857i,0.0021431-0.003193i,-0.0023658-0.00056786i,0.0014923-0.0042523i,0.0018407-0.0015087i,0.0030897+0.0001854i,0.00018328-0.001229i,0.0032313+0.016484i,-0.0047122+0.0022309i,0.00047123-0.0022217i,0.0012777-0.00090996i,0.00065451-7.5956e-06i,0.0011829+0.00023056i,-0.0041266+0.00062295i,-0.0016766+0.002211i,-0.0065899+0.0030119i,-0.0031877+0.0023157i,-0.00042496-0.00056019i,-0.0025077-0.0054395i,0.011405+0.0062021i,-0.0010651-0.00238i,-0.0024549-0.00077981i,-0.0012203-0.0069948i,-0.001537-0.0012384i,0.0011307-0.00072117i,0.0007921-0.005288i,0.00087316-0.0030931i,-0.0016689+0.0033506i,-0.0019224+0.012962i,0.032631+0.053723i,-0.026159-0.029325i,-0.033649+0.0026044i,-0.0095043-0.0090579i,-0.010556-0.0062274i,0.013837-0.066548i,-0.024352-0.059633i,0.016657-0.061797i,-0.023538-0.018824i,0.0075761-0.013533i,0.0039219-0.010491i,-0.010728-0.035673i,0.0033775-0.015052i,-0.012927-0.010152i,-0.0115-0.012039i,-0.044704+0.00028407i,0.014162+0.015528i,-0.010699-0.011736i,-0.0061709+0.0047043i,-0.0029548+0.00061058i,-0.018028-0.0051314i,0.0068847+0.0093938i,0.014169-0.0076326i,0.022305-0.0045864i,-0.00097695-0.0030579i,-0.0088497+0.00081858i,-0.0116+0.0020424i,-0.010351+0.018475i,-0.0084226+0.0021082i,-0.02148+0.039401i,-0.0069041+0.0014146i,-0.0049026+0.012224i,-0.0076651+0.014626i,-0.010504+0.0014382i,-0.0043028+0.010491i,-0.0032562-0.0020238i,-0.0020654+0.0018506i,-0.005585-0.004771i,-0.0062223+0.0055487i,0.0017404-0.0056732i,-0.0042428+0.016519i,-0.002808-0.0057332i,-0.0086072+0.011457i,-0.015542+0.007236i,-0.026446-0.022141i,0.0085886-0.016249i,-0.038844+0.016004i,-0.017924-0.012975i,0.017563-0.0034527i,0.0039695+0.015268i,-0.013348-0.0021498i
-0.020696+0.013996i,-0.017484+0.013856i,-0.026584+0.00082437i,-0.030846+0.0091547i,-0.0296+0.0061228i,-0.026086+0.031101i,-0.050307+0.029151i,-0.032752+0.0092636i,-0.018576+0.018953i,0.0031846+0.00030422i,0.0030466+0.0080544i,0.0098745+0.0066202i,0.0061254-0.0039889i,0.0061886+0.010641i,0.0038017-0.0018921i,0.0083676+0.006906i,0.013339-0.013091i,0.00083839-0.0040076i,-0.00070494+0.0029146i,-0.00011667-0.0042637i,0.0022781-0.0010591i,0.0026632-0.0013667i,-0.00058836-0.00089685i,0.016112+0.0080418i,-0.0032784+0.0037823i,-0.00040337-0.0019229i,0.00021037-0.0013422i,0.00098284-0.0001097i,0.0016284-0.00052236i,-0.0034325+0.0025664i,-7.2001e-05+0.0022778i,-0.0040292+0.0048391i,-0.0013819+0.003203i,-0.00075361-0.00064633i,-0.0037769-0.0035835i,0.012+0.0037799i,-0.001637-0.0018551i,-0.0026068+0.00012275i,-0.0036399-0.0049733i,-0.0014587-0.002358i,0.00062466-0.0011482i,-0.00099567-0.0036488i,0.00027489-0.0023554i,-0.0026423+0.0038875i,-0.00066153+0.0093735i,0.047341+0.037497i,-0.026466-0.017619i,-0.026446+0.013944i,-0.0064051-0.013624i,-0.0079512-0.0067686i,-0.015225-0.074181i,-0.039356-0.05064i,-0.0033508-0.070464i,-0.028144-0.011339i,0.0071452-0.010781i,-0.0014113-0.011469i,-0.021363-0.027922i,-0.0047585-0.017149i,-0.015645-0.0068099i,-0.020252-0.0069594i,-0.039096+0.017917i,0.016645+0.0052652i,-0.015733-0.0057594i,-0.0047781+0.0049757i,-0.0029632+0.0023544i,-0.018151+0.0041061i,0.0059835+0.0036053i,0.011487-0.012835i,0.017707-0.014135i,-0.0021686-0.0026141i,-0.011404+0.005297i,-0.0092713+0.0068305i,-0.001976+0.021101i,-0.0066234+0.0065018i,-0.013454+0.045293i,-0.0072532+0.0028229i,-0.00083971+0.010114i,-0.0002295+0.015432i,-0.010727+0.0073312i,-0.0017452+0.0074925i,-0.0047726-0.000904i,-0.0021253+0.0052922i,-0.0093202-0.0016532i,-0.0054501+0.0046471i,-0.0036457-0.0030651i,0.0027717+0.017304i,-0.0062151-0.003664i,-0.0016631+0.011665i,-0.016184+0.0092818i,-0.030509-0.016422i,0.014343-0.022103i,-0.028024+0.031544i,-0.023367-0.0034641i,0.014093-0.010215i,0.0062237+0.007168i,-0.011961-0.0023254i
-0.0162+0.017017i,-0.014359+0.016097i,-0.02701+0.0077964i,-0.028479+0.012481i,-0.033279+0.011063i,-0.016775+0.034437i,-0.038323+0.033961i,-0.027741+0.013275i,-0.012468+0.019776i,0.0024389+0.00026509i,0.0039104+0.0066934i,0.010355+0.0022418i,0.0034339-0.0052185i,0.010406+0.0077559i,0.0028071-0.0023536i,0.0081329+0.0069539i,0.0040392-0.012247i,0.00012395-0.0039218i,0.0023392+0.0024823i,-0.0016464-0.003412i,0.0028364-0.00297i,0.0015155-0.0018703i,-0.00054635-0.00024775i,0.016907-0.0040732i,-0.00039575+0.0046213i,-0.00071573-0.0016163i,-3.7289e-05+0.001138i,0.00091979-0.0011418i,0.0012849-0.0017688i,-0.00082358+0.0039348i,0.0014235+0.0012934i,-0.0019667+0.0048547i,0.00020223+0.0033724i,-0.00090906-3.0664e-05i,-0.0035534-0.0021334i,0.013106+0.0005398i,-0.002109-0.00085964i,-0.0028071+0.000861i,-0.0048016-0.0035898i,-0.0033937-0.0027418i,0.00028308-0.0010906i,-0.001456-0.0021113i,-0.00025728-0.0018959i,-0.0018208+0.005078i,-0.0018665+0.0079159i,0.045569+0.014928i,-0.017302-0.010968i,-0.018049+0.021114i,-0.005223-0.016347i,-0.0049478-0.010561i,-0.042995-0.061689i,-0.051808-0.036787i,-0.020648-0.066363i,-0.022039+0.0034735i,0.012397-0.0092112i,-0.0054357-0.0092041i,-0.025516-0.014143i,-0.011641-0.017i,-0.01997-0.0013154i,-0.019257+0.0024689i,-0.029558+0.03245i,0.013621-0.0019883i,-0.014422+0.003063i,-0.0057997+0.0050734i,-3.9597e-05+0.0041473i,-0.013706+0.010205i,0.0055181+0.0041621i,0.0067223-0.023517i,0.0044465-0.025845i,-0.0047684-0.0029783i,-0.010218+0.01147i,-0.0077393+0.0091334i,0.0068397+0.019949i,-0.0023515+0.0089841i,0.0055151+0.056455i,-0.0070021+0.0042572i,4.2425e-05+0.0099265i,0.0054633+0.012467i,-0.0050637+0.01528i,-0.0014072+0.0078325i,-0.0064368+0.0012784i,0.0014484+0.0076008i,-0.0095907+0.0068286i,-0.0060885+0.0056703i,-0.0031083+0.0029538i,0.0077836+0.013589i,-0.007975-0.0020461i,0.0015502+0.0063975i,-0.012225+0.014414i,-0.027996-0.0045085i,0.007728-0.038531i,-0.0033621+0.034335i,-0.019268+0.0045974i,0.01341-0.019111i,0.0066719-0.00082411i,-0.011311+0.0015108i
-0.01085+0.018389i,-0.012701+0.016823i,-0.025185+0.014164i,-0.025502+0.016489i,-0.033598+0.019469i,-0.0083066+0.034263i,-0.028435+0.035127i,-0.023525+0.015536i,-0.009288+0.01935i,0.0030064+0.0001387i,0.0067564+0.0057636i,0.007566-0.00095971i,0.000303-0.0045143i,0.013004+0.0019035i,0.0021087-0.0027275i,0.0090894+0.0069165i,-0.00050704-0.0084072i,-0.0016462-0.0042303i,0.0027445+0.00035999i,-0.0022225-0.0019627i,0.0015119-0.0044081i,0.0016444-0.0018376i,-0.00043222+9.7362e-06i,0.011123-0.011173i,0.0027303+0.0030111i,-0.0010497-0.00073174i,0.0016584-0.00070211i,0.00023973-0.0015421i,0.00028675-0.0016701i,0.0011916+0.0029591i,0.0016032-0.00023765i,0.00017535+0.0048173i,0.0020149+0.0023018i,-0.00064634+0.00044188i,-0.0044447-0.0018379i,0.012604-0.0043816i,-0.0015304+9.6168e-05i,-0.0022021+0.0019089i,-0.005498-0.0011262i,-0.0054131-0.00077333i,-0.00035517-0.0010901i,-0.0010485-0.0022378i,-0.00027485-0.0014236i,-0.00056056+0.0041849i,-0.0021831+0.0085918i,0.038042+0.012472i,-0.013825-0.014254i,-0.0020281+0.024657i,-0.0048883-0.019089i,-0.010146-0.016174i,-0.055964-0.043106i,-0.051029-0.017371i,-0.039242-0.058528i,-0.0086414+0.0069346i,0.016008-0.021557i,-0.0068162-0.0065772i,-0.021017-0.0078553i,-0.022761-0.012072i,-0.01694+0.0090184i,-0.01629+0.0068025i,-0.0091318+0.038159i,0.011044-0.0057199i,-0.012659+0.0046035i,-0.0018773+0.0052268i,-0.00045324+0.0013342i,-0.0076842+0.014731i,0.0084493+0.0016197i,-0.01054-0.025815i,-0.013078-0.021161i,-0.0052908+0.003377i,-0.0045248+0.015454i,-0.0025655+0.011389i,0.01408+0.012483i,0.0011132+0.0087148i,0.032184+0.048911i,-0.0040179+0.0070803i,0.002699+0.0099353i,0.0094265+0.007793i,0.0044707+0.016021i,-0.0031763+0.0080036i,-0.0066387+0.0074015i,0.0063605+0.0078198i,-0.0048134+0.01161i,-0.0066688+0.0079166i,-0.00090239+0.0037608i,0.0092094+0.0092025i,-0.0089917+0.0015673i,0.0020517+0.0022299i,-0.0066363+0.014527i,-0.020497+0.00019116i,-0.013341-0.042526i,0.013292+0.019091i,-0.016482+0.0085937i,0.0054305-0.028083i,0.0013839-0.0064662i,-0.0034995+0.00032401i
-0.006082+0.018051i,-0.010538+0.019943i,-0.021141+0.020028i,-0.020511+0.019337i,-0.028496+0.027712i,-0.001987+0.032517i,-0.020831+0.034465i,-0.019405+0.016787i,-0.0052815+0.021027i,0.0032474-0.00058278i,0.0085143+0.00086861i,0.0044641-0.0008197i,-0.00085177-0.0023243i,0.010629-0.0027811i,0.0012272-0.003187i,0.011708+0.0049186i,-0.0023291-0.0049491i,-0.0033795-0.0026539i,0.0015334-0.00060375i,-0.0023104-0.00096469i,-0.00079638-0.0044443i,0.0011239-0.0025954i,-0.00049242+0.0003789i,0.0043483-0.013953i,0.0027429+0.00018814i,-0.00062263-0.0003839i,0.00089922-0.002382i,-0.00046365-0.0013402i,0.00094467-0.0015824i,0.0015155+0.0017504i,0.00082423-0.0014072i,0.0020153+0.0036061i,0.0024854+0.00087773i,-0.00024088+0.00047708i,-0.004167+0.0014326i,0.008779-0.0084874i,-0.00082898-1.9155e-05i,-0.00091138+0.0024916i,-0.0040138+0.00027375i,-0.0055807+0.0014777i,-0.00082452-0.00040084i,-0.0014501-0.0021608i,-0.00042405-0.0011713i,-0.0010195+0.0033229i,-0.0013452+0.010859i,0.044113+0.016553i,-0.015045-0.017773i,0.011881+0.019108i,-0.0064326-0.023501i,-0.015054-0.011838i,-0.064845-0.025771i,-0.041453-0.0058352i,-0.045128-0.048048i,0.00021971+0.00084806i,0.010475-0.031512i,-0.0070822-0.0055373i,-0.018734-0.0040902i,-0.02925+0.0015826i,-0.011231+0.011732i,-0.010925+0.010848i,0.0094888+0.030046i,0.0064051-0.0016342i,-0.011404+0.009805i,-0.0021531+0.001656i,-0.00057708+0.0027563i,0.0010262+0.012912i,0.006519-0.0045759i,-0.02385-0.01406i,-0.020585-0.0095794i,0.00034061+0.0071958i,0.0038191+0.01621i,0.0021754+0.010736i,0.017348+0.0051298i,0.0063405+0.0080693i,0.048325+0.028178i,-0.0013979+0.0066073i,0.005186+0.0095657i,0.0094433+0.001659i,0.011026+0.010048i,-0.0021091+0.013492i,-0.001191+0.012982i,0.010598+0.0030809i,0.0036433+0.011552i,-0.005635+0.012287i,0.00033791+0.0036604i,0.0093331+0.0065991i,-0.0083609+0.0053623i,-0.0002349-0.00011299i,-0.0042536+0.013491i,-0.011657+0.0017374i,-0.027367-0.028676i,0.015873+0.0015839i,-0.0043944+0.011413i,-0.0070084-0.030748i,-0.0078681-0.0074177i,-0.0056383-0.007314i
-0.0024448+0.016705i,-0.0057804+0.022578i,-0.014922+0.02439i,-0.016513+0.020497i,-0.021456+0.032627i,0.0035889+0.030337i,-0.015205+0.03273i,-0.016667+0.017234i,0.0011046+0.021553i,0.0029973-0.0015516i,0.0054599-0.0027983i,0.004365+0.00067895i,-0.00027786-0.00090487i,0.0076272-0.0048931i,0.00019949-0.0029381i,0.011926+0.0010485i,-0.00079152-0.0016897i,-0.0036093-0.00074412i,0.00082838-0.00039158i,-0.0023933+2.5848e-05i,-0.0017841-0.0030184i,0.00010138-0.0024814i,-7.3213e-05+0.00099246i,-0.0010585-0.012445i,0.0015352-0.0010972i,-0.00049051-0.0010187i,-0.00065443-0.0028109i,-0.0011005-0.0011621i,0.00032237-0.0024993i,0.0018872+0.0011529i,-0.00036563-0.0022728i,0.0031012+0.0019099i,0.0021501-0.00049188i,0.00023263+0.00039854i,-0.0021151+0.0014855i,0.0043735-0.0091664i,-0.00061053-0.00043246i,0.00018091+0.0025632i,-0.0039163+0.0010688i,-0.0052779+0.0035081i,-0.00057482+0.000255i,-0.0024198-0.0017088i,-0.0003306-0.0010308i,-0.0024098+0.0042356i,0.0011796+0.013043i,0.061531+0.010523i,-0.020461-0.018011i,0.021692+0.0086876i,-0.010285-0.023439i,-0.015882-0.0079251i,-0.06686-0.0034632i,-0.034814-0.0027437i,-0.054378-0.012102i,0.0030162-0.0047221i,-0.00077562-0.038932i,-0.0084649-0.0052705i,-0.017886-0.0036962i,-0.022679+0.015305i,-0.0060015+0.012947i,-0.0022791+0.0092182i,0.014695+0.015541i,0.002003-0.012292i,-0.0079555+0.012582i,-0.0047673+0.0021192i,0.00055269+0.001464i,0.0044341+0.0076826i,4.2292e-06-0.0042018i,-0.026727+0.0017195i,-0.021624+0.0030696i,0.0055064+0.0042984i,0.0082024+0.014062i,0.0041591+0.0088516i,0.014888-0.0060694i,0.0080372+0.0020493i,0.051883+0.004262i,-0.0011874+0.0082578i,0.0087076+0.0059751i,0.0066845-0.001373i,0.012081+0.0043631i,0.0041461+0.017251i,0.0075384+0.0096426i,0.0095001-0.0018398i,0.0083532+0.0058596i,0.00032115+0.016361i,0.00092312+0.005493i,0.0097273+0.0042843i,-0.007849+0.0083139i,-0.0049173+0.00055671i,-0.0029398+0.014202i,-0.0040458-0.0026325i,-0.026334-0.015817i,0.0088006-0.009622i,0.003339+0.0032017i,-0.020954-0.027153i,-0.012328+0.0013181i,-0.011861-0.00614i
-0.00024321+0.015339i,-0.0003148+0.022678i,-0.0079411+0.025975i,-0.013275+0.021626i,-0.013603+0.035684i,0.0081993+0.027596i,-0.011681+0.031488i,-0.014636+0.018413i,0.0067566+0.018608i,0.0024317-0.0023123i,0.0023974-0.00255i,0.00512+0.0001401i,0.00089432-0.00097816i,0.0050846-0.0059413i,-0.00025169-0.0025286i,0.011316-0.0030146i,0.00095092-0.0023016i,-0.0031571+0.0014344i,0.00065806-0.00064594i,-0.001681+0.0012997i,-0.0021426-0.002304i,-0.000903-0.0017409i,0.00063438+0.0011957i,-0.0044909-0.010374i,0.00050074-0.0014252i,-0.0012937-0.00082811i,-0.0018488-0.0021742i,-0.0016492-0.00057506i,-0.00091718-0.0026067i,0.0020454-1.3657e-05i,-0.001902-0.0018927i,0.0029836-0.00020072i,0.0017098-0.0012829i,0.00033697-8.1096e-05i,-0.0017187+0.0017179i,0.0010559-0.008448i,-0.0014365-0.00077217i,0.0011595+0.0020826i,-0.0029585+0.0029557i,-0.0029281+0.0056164i,-0.00043308+0.00059891i,-0.00247-0.00041188i,-0.00049918-0.0012239i,-0.0013724+0.0070627i,0.0062961+0.013847i,0.075964-0.013819i,-0.026456-0.013842i,0.023739-0.0040851i,-0.0098302-0.024191i,-0.016546-0.0047186i,-0.057996+0.014067i,-0.029901+0.0016691i,-0.039211+0.0014078i,0.0037067-0.011351i,-0.01493-0.039768i,-0.0098275-0.0033112i,-0.020047-0.0030577i,-0.012726+0.019936i,-0.0014088+0.011071i,0.00051631+0.001919i,0.010633+0.0046717i,-0.003383-0.011004i,-0.0030133+0.014101i,-0.0050664+0.0043347i,-0.00058795-0.0003575i,0.0035795+0.0068804i,-0.0012922+0.00044438i,-0.020876+0.013966i,-0.014734+0.012148i,0.0050559+0.00078395i,0.01416+0.010332i,0.0059386+0.0073749i,0.0065779-0.010489i,0.005482-0.0013444i,0.045696-0.014264i,0.0025153+0.0091757i,0.00847+0.0026384i,0.0045543-0.0023258i,0.012117+0.000737i,0.013451+0.016118i,0.0087969+0.0035895i,0.0076854-0.0043224i,0.0078197+0.0015688i,0.008065+0.015937i,0.0037769+0.0048851i,0.010756+0.00024181i,-0.0032118+0.013422i,-0.0047823+0.0042837i,0.0001721+0.015718i,-0.0034089-0.010632i,-0.023254-0.011105i,0.0024073-0.014447i,0.001724-0.0060288i,-0.031883-0.017625i,-0.0081506+0.0047575i,-0.012169-0.0030844i
0.0019482+0.014292i,0.0049256+0.020805i,-0.0012692+0.025668i,-0.0094083+0.023156i,-0.0050034+0.035503i,0.012035+0.024473i,-0.0083641+0.031161i,-0.011884+0.020166i,0.010531+0.01473i,0.0016628-0.0029319i,0.0013696-0.0014903i,0.0055358-0.0016477i,0.00098415-0.0014946i,0.0025296-0.005642i,-0.00084738-0.0024443i,0.008449-0.0055024i,0.00049919-0.0041898i,-0.0019802+0.0027873i,0.00015033-0.00040126i,-0.00054229+0.0019389i,-0.0026978-0.0013656i,-0.00082652-0.00074296i,0.0013409+0.00099791i,-0.0074762-0.0082097i,-0.00041437-0.0010993i,-0.001651-5.7973e-05i,-0.0027358-0.0011502i,-0.0016099+0.00028898i,-0.0019767-0.001871i,0.00099599-0.00099593i,-0.0028381-0.00083582i,0.0016465-0.0012027i,0.00049597-0.0020542i,0.00029304-0.00044625i,-0.0013525+0.0017933i,-0.001064-0.0057864i,-0.00204-0.00010656i,0.0019637+0.0011137i,-0.0011507+0.0030118i,-0.00032584+0.0058142i,-0.00010667+0.00092396i,-0.0019046+0.00047499i,-0.00087625-0.0014206i,0.0012567+0.0068958i,0.011492+0.011213i,0.07014-0.045102i,-0.029058-0.0062426i,0.024074-0.014935i,-0.011245-0.02974i,-0.015741-0.0013463i,-0.047892+0.024366i,-0.024586+0.0027907i,-0.028858+0.0047988i,0.00021634-0.015297i,-0.028664-0.035085i,-0.011479-0.0012218i,-0.026222-0.0001638i,-0.0045806+0.01969i,0.00072964+0.0069756i,-0.0024219-0.0032228i,0.0045004+0.001533i,-0.0083836-0.010124i,0.0019713+0.013637i,-0.0026824+0.0069131i,-0.0026126+0.00063055i,0.0008629+0.0044282i,0.00050777+0.0028314i,-0.011767+0.019672i,-0.0065018+0.01592i,0.0055712-0.00079453i,0.017146+0.0026881i,0.007516+0.0053391i,0.00038028-0.0097629i,0.0029095-0.0019853i,0.03365-0.028304i,0.0061798+0.0082986i,0.008058+0.00059799i,0.001986-0.0025611i,0.010719-0.0050034i,0.020018+0.0096659i,0.0073645-0.00078192i,0.0055098-0.0065752i,0.0063059-0.0011601i,0.013768+0.010867i,0.0047031+0.004407i,0.0073125-0.0042486i,0.0041856+0.013411i,-0.0025501+0.005127i,0.0059751+0.015139i,-0.0079795-0.014348i,-0.020747-0.0055562i,-0.0022123-0.015633i,-0.0045087-0.0090296i,-0.037419-0.0059195i,-0.0062598+0.0045898i,-0.011959-0.001344i
