-0.025771-0.004609i,-0.022168-0.0075208i,-0.013141-0.014044i,-0.035757-0.0087551i,-0.027272+0.0010251i,-0.036757-0.0034968i,-0.068348-0.036444i,-0.033366-0.014773i,-0.022841+0.0031134i,0.0064463+0.0064724i,-0.0056202+0.0076747i,-0.0083148+0.018275i,0.0061316+0.0084753i,-0.0011324+0.0031504i,0.0043715+0.0036916i,0.0056259+0.025174i,0.023351+0.019975i,0.0013724-0.0006095i,0.00094193-0.0046257i,0.0090825+5.1441e-05i,0.0055456-0.00031275i,0.002306+0.0012061i,0.0014599-0.00072673i,-0.024037+0.000173i,-0.0049155-0.0041343i,-0.0005425+0.0032657i,0.0045843-0.0045687i,-0.0017966-0.00052038i,-0.00034041+0.0010495i,-0.0020383-0.001412i,-0.0038334-0.00038781i,-0.0073677-0.0082958i,-0.0051964-0.0072437i,-0.00053176+0.00025022i,-0.00022632-0.0022055i,0.0005692+0.021741i,0.0027239-0.0039939i,0.00074148-0.00435i,0.0031601-0.0020638i,-0.003101-0.0028966i,0.00087897+9.0566e-05i,0.0081491-0.0022833i,0.002803-0.0023099i,0.00013531+0.0025018i,-0.013817+0.015899i,-0.026508+0.053164i,-0.0062175-0.037557i,-0.014971-0.018851i,-0.040593-0.01594i,-0.027499-0.012593i,0.034985-0.011685i,0.0057991-0.029489i,0.012204-0.038184i,-0.0084745-0.029985i,0.025148-0.023532i,0.013352+0.0067161i,0.027975-0.036369i,-0.0019527-0.0039647i,0.0062812-0.0094208i,-0.00070522-0.0059672i,-0.00077762-0.03504i,-0.013143+0.029053i,0.0085642-0.011975i,-0.0088366-0.0041921i,-0.0023056-0.0022238i,7.704e-05-0.015223i,-0.0075348+0.0056979i,0.0040049+0.0067947i,-0.00044732+0.028659i,0.0017819+0.00066372i,-0.0071229-0.0043289i,-0.0040114-0.0063867i,-0.014426-0.0095663i,-0.002547-0.0055939i,-0.033884+0.006593i,-0.0051326-0.0083284i,-0.013072-0.00068686i,-0.010226-0.0056181i,0.0016852-0.0012551i,-0.013914+0.0019304i,-0.0016632-0.00039349i,0.0054158+0.0055703i,0.0034643-0.0051961i,-0.014606-0.013722i,0.0071712+0.0083577i,-0.016082+0.0051268i,0.0052823+0.00027255i,-0.018879-0.0027708i,-0.015981-0.0044882i,-0.015723-0.034984i,0.019353-0.011102i,-0.039737-0.024008i,-0.0094491+0.0059655i,0.017738+0.014321i,-0.022356+0.017132i,-0.0045238-0.003361i
-0.027317-0.0011065i,-0.020311+0.0016592i,-0.014037-0.014605i,-0.037187-0.0039742i,-0.026432+0.0018025i,-0.038471+0.0041569i,-0.072056-0.024167i,-0.034157-0.010315i,-0.020197+0.0075207i,0.0053947+0.0041532i,-0.0055121+0.0065531i,0.00030745+0.020726i,0.0090557+0.0048817i,-0.0034375+0.0052934i,0.0044863+0.0020107i,0.009675+0.019457i,0.023716+0.010402i,0.0021666-0.00022282i,-0.00052421-0.0029334i,0.0072725-0.003455i,0.0044692-0.0018369i,0.0019697+0.00061887i,0.0013566-0.0011333i,-0.011878+0.0096681i,-0.0057502-0.0017192i,0.0026326+0.0016692i,0.0016097-0.0022952i,-0.00094707+0.00083087i,0.0011172+0.00025496i,-0.0023216-0.00060542i,-0.0027242+0.00086647i,-0.0082619-0.0056547i,-0.0068428-0.0047151i,-0.00015142+0.00013267i,0.00011288-0.0015304i,0.0068836+0.018938i,0.0018784-0.0049899i,-0.0013043-0.0039525i,0.0032466-0.0034725i,-0.0020529-0.002857i,0.0013242+0.00022519i,0.0065525-0.0032332i,0.0015794-0.0020864i,-0.0014149+0.0028719i,-0.0093914+0.016698i,-0.0066951+0.059171i,-0.014526-0.036197i,-0.026034-0.020444i,-0.030777-0.0047571i,-0.020853-0.0017802i,0.031509-0.033112i,0.0067427-0.044707i,0.015015-0.03743i,-0.014696-0.030654i,0.013544-0.018726i,0.011634-0.0034905i,0.012546-0.03829i,0.00050478-0.0011368i,-0.0013222-0.017481i,-0.0022699-0.0069636i,-0.024017-0.031282i,-0.0011634+0.024466i,0.0028726-0.015501i,-0.010493+0.00069819i,-0.00085303-0.0011788i,-0.0074684-0.014336i,-0.0069923+0.0098752i,0.0091812+0.0057972i,0.016864+0.021381i,0.00090376-0.0014697i,-0.007226-0.00076463i,-0.0083844-0.005178i,-0.018946+0.0014122i,-0.0022303-0.0040378i,-0.036391+0.01488i,-0.0084673-0.0033947i,-0.011996+0.0041172i,-0.013125-0.00066254i,-0.001155-0.0053551i,-0.010682+0.0063148i,-0.0011488-0.0017219i,0.0029036+0.00028988i,-0.00024701-0.0057027i,-0.020353-0.0023092i,0.0087974+0.0034263i,-0.010972+0.010978i,0.0050987-0.0026929i,-0.017249+0.0039927i,-0.01782-0.00015107i,-0.02112-0.0316i,0.015741-0.01829i,-0.044745-0.0091602i,-0.0011252-0.0019314i,0.018046+0.0088952i,-0.014535+0.022824i,-0.010689-0.0079577i
-0.027039+0.003639i,-0.015132+0.0016631i,-0.016964-0.015511i,-0.037738+0.0028261i,-0.026347+0.0029197i,-0.038538+0.012193i,-0.077857-0.008233i,-0.036605-0.0050894i,-0.017923+0.010275i,0.0042913+0.0031527i,-0.0052913+0.0090695i,0.0072056+0.016529i,0.0091528+0.00057798i,-0.0031327+0.0079792i,0.0043423+0.001004i,0.011394+0.013849i,0.02423+0.0034193i,0.0031593-0.0011866i,-0.00036673-0.0020332i,0.0051883-0.0047922i,0.0024029-0.0026293i,0.0024967+0.00062035i,0.00088407-0.0018614i,-0.0035401+0.011287i,-0.0051093+0.00074259i,0.0031686-0.0013384i,0.0012172-0.0020265i,0.00049041+0.0010169i,0.00083799-0.00043357i,-0.0019511+0.00011495i,-0.0020043+0.0014995i,-0.009449-0.0022517i,-0.0078148-0.0020423i,9.017e-05-0.00028604i,0.00023502-0.0029276i,0.011747+0.013928i,0.00050379-0.0050893i,-0.0023772-0.0027068i,0.0016032-0.0053346i,-0.0028745-0.0024668i,0.0017669-0.0002437i,0.0048783-0.0050943i,0.0013073-0.0017496i,-0.0011215+0.0036398i,-0.0061048+0.015642i,0.012043+0.056822i,-0.022291-0.031847i,-0.03433-0.010015i,-0.016823-0.0032884i,-0.014021-0.0042058i,0.021479-0.049716i,-0.0077142-0.057456i,0.019827-0.043536i,-0.019991-0.024928i,0.0097451-0.017388i,0.0077518-0.0068119i,0.00082828-0.03956i,0.0075769-0.0051885i,-0.011428-0.015041i,-0.0034076-0.0090489i,-0.040189-0.017415i,0.0053866+0.020679i,-0.0048244-0.015474i,-0.0077033+0.0032908i,-0.0023813-0.0014544i,-0.013809-0.011157i,-0.00012002+0.013211i,0.013443-0.0009108i,0.024092+0.0062908i,0.00020491-0.0020102i,-0.0072813+0.00017537i,-0.01033-0.0020256i,-0.015558+0.011138i,-0.0067821-0.0028424i,-0.030475+0.02745i,-0.0079248+0.00065407i,-0.0097041+0.0092587i,-0.013651+0.0082444i,-0.0071878-0.0038809i,-0.0088889+0.0081378i,-0.0026215-0.0017229i,-0.00089122-9.9425e-05i,-0.0027755-0.0052073i,-0.013036+0.0072378i,0.0068244-0.0017519i,-0.00655+0.01201i,0.0017929-0.0066819i,-0.013851+0.0079797i,-0.016091+0.0043129i,-0.023892-0.027273i,0.0082301-0.020148i,-0.042346+0.0034048i,-0.0073925-0.011139i,0.018461+0.0028197i,-0.0033724+0.021184i,-0.013282-0.0056132i
-0.02565+0.008488i,-0.014683-0.0011864i,-0.020879-0.01554i,-0.035269+0.0092099i,-0.027058+0.0043612i,-0.034739+0.020969i,-0.075381+0.015866i,-0.03765+0.003633i,-0.015559+0.01425i,0.0040721+0.0031841i,-0.001965+0.011259i,0.0095528+0.011515i,0.0076221-0.0027256i,-0.00021085+0.01113i,0.0036644-2.5575e-05i,0.0104+0.0077642i,0.023483-0.0065126i,0.0026303-0.0030266i,-0.00097888-0.00053026i,0.002922-0.0052766i,0.0019258-0.001807i,0.0030953-0.0001274i,-5.0371e-05-0.0019886i,0.004392+0.013565i,-0.0037279+0.0022773i,0.0014851-0.0028477i,0.0016737-0.0018732i,0.00086575+0.0001238i,0.0010125-0.0004966i,-0.0020698+0.00051049i,-0.00085639+0.0021025i,-0.0089112+0.0013557i,-0.0078804+0.00094657i,0.00014173-0.00051562i,-0.0016958-0.0029383i,0.012689+0.0087501i,-0.0012472-0.0054183i,-0.0027669-0.0015074i,-0.00090693-0.0054783i,-0.0024933-0.0011169i,0.001722-0.0010921i,0.0019703-0.0057258i,0.00086011-0.0017667i,-0.00012185+0.0033571i,-0.0029943+0.014581i,0.028692+0.048418i,-0.028203-0.02402i,-0.03342+0.0036776i,-0.010967-0.0065596i,-0.012089-0.0044471i,0.0025143-0.064286i,-0.026907-0.056689i,0.014766-0.059763i,-0.021216-0.021399i,0.0058023-0.015506i,0.0032762-0.010628i,-0.012678-0.036025i,0.0035865-0.014339i,-0.014768-0.0091137i,-0.0094233-0.011399i,-0.04391+0.0047942i,0.013849+0.014508i,-0.011124-0.012919i,-0.0052807+0.0037711i,-0.0032096-0.00039013i,-0.018565-0.0049119i,0.00645+0.0091555i,0.013162-0.0082156i,0.02235-0.0064019i,-0.00040556-0.0022907i,-0.0082309+0.0017528i,-0.011549+0.0030428i,-0.009822+0.018124i,-0.0080485+0.0021091i,-0.021001+0.036209i,-0.0070675+0.0027787i,-0.0039908+0.011817i,-0.0067149+0.014635i,-0.010303+0.0017692i,-0.0041751+0.0094906i,-0.0032493-0.00044632i,-0.002972+0.0018428i,-0.0059745-0.0039546i,-0.0069328+0.0068906i,0.0012383-0.0051441i,-0.0037745+0.014309i,-0.0033462-0.0060687i,-0.0092881+0.010675i,-0.013977+0.0051739i,-0.025914-0.024161i,0.0087079-0.018035i,-0.037623+0.016894i,-0.015824-0.010745i,0.018131-0.0040066i,0.004623+0.015359i,-0.012334-0.0022366i
-0.022712+0.013513i,-0.017881-0.00065449i,-0.027393-0.013134i,-0.03215+0.014117i,-0.028819+0.0066374i,-0.02858+0.027812i,-0.058494+0.030437i,-0.033125+0.011487i,-0.0097715+0.016496i,0.0042119+0.003072i,0.0020854+0.010087i,0.011036+0.0081012i,0.0049848-0.0045858i,0.0051931+0.011237i,0.0030429-0.00065517i,0.0074351+0.0066971i,0.013693-0.01443i,0.0011087-0.0039351i,0.00074994+0.0022384i,0.0010877-0.0052619i,0.0019978-0.00096598i,0.0025713-0.0013605i,-0.0010041-0.0013791i,0.014711+0.0060935i,-0.0021065+0.0035531i,0.00035843-0.0027105i,0.00013354-0.0026564i,0.0011995+0.00020143i,0.0011272-0.0010954i,-0.0015787+0.0016406i,0.0005729+0.0020193i,-0.0069153+0.0049288i,-0.0058274+0.0035344i,-0.00036269-0.00077618i,-0.0019715-0.0017483i,0.014155+0.005871i,-0.0031761-0.0043142i,-0.0031583-0.0005463i,-0.0025932-0.0039391i,-0.0021891-0.0022411i,0.00080112-0.0017138i,4.0676e-05-0.0044099i,0.00084545-0.0014242i,-0.00056685+0.003383i,-0.0013927+0.012092i,0.041695+0.033936i,-0.027064-0.01322i,-0.026174+0.014605i,-0.0069569-0.011593i,-0.0096374-0.0035405i,-0.024771-0.067129i,-0.041727-0.047173i,-0.0050556-0.068513i,-0.027138-0.014161i,0.0047018-0.012194i,-0.0022761-0.01085i,-0.02392-0.027163i,-0.0041995-0.016228i,-0.017347-0.005334i,-0.018467-0.0067889i,-0.036599+0.020623i,0.015501+0.004038i,-0.01662-0.0067696i,-0.0041925+0.0044422i,-0.0036249+0.0016801i,-0.019032+0.0044729i,0.005223+0.0037869i,0.010263-0.01331i,0.017924-0.015797i,-0.0011397-0.0026403i,-0.0094734+0.005668i,-0.0087976+0.0074601i,-0.0014639+0.020601i,-0.0067541+0.0062558i,-0.011914+0.04235i,-0.006773+0.0047268i,-0.00020916+0.0098478i,0.00048369+0.015386i,-0.01037+0.0068449i,-0.0020994+0.0068514i,-0.0044273+2.3916e-05i,-0.0026667+0.005521i,-0.0098135-0.00081485i,-0.0060558+0.0053319i,-0.0036564-0.0025539i,0.0027466+0.015472i,-0.0068718-0.0036331i,-0.0031614+0.011237i,-0.014857+0.0075159i,-0.030975-0.018507i,0.013215-0.024887i,-0.02623+0.031717i,-0.020963-0.0032776i,0.01364-0.010594i,0.0068822+0.0073028i,-0.010782-0.0026507i
-0.018057+0.01686i,-0.017406+0.0012825i,-0.032554-0.0058975i,-0.028974+0.018402i,-0.030745+0.011847i,-0.019766+0.031867i,-0.043298+0.035384i,-0.027571+0.015825i,-0.0051706+0.016084i,0.0039336+0.0031916i,0.0034567+0.0086965i,0.011938+0.0030423i,0.0023644-0.0051784i,0.0096663+0.0079532i,0.0025145-0.00092095i,0.007252+0.0074478i,0.0040861-0.013636i,3.2883e-06-0.0038985i,0.0032996+0.0014246i,-0.00093616-0.0044818i,0.0026738-0.0025568i,0.0013189-0.0020337i,-0.0011139-0.00046709i,0.014964-0.0043096i,0.00035539+0.0038837i,-0.00053027-0.0026024i,-0.001225+0.001438i,0.0016121-0.00089881i,0.0004845-0.0020191i,5.434e-05+0.0022024i,0.0019262+0.00091892i,-0.0041023+0.0062637i,-0.0038955+0.0056802i,-0.00060597-0.00030384i,-0.0015413-0.0012096i,0.015865+0.0013175i,-0.0045371-0.002535i,-0.0036697+0.00034755i,-0.0035872-0.0029423i,-0.0040752-0.0028585i,0.00034069-0.0014672i,-0.00094098-0.0030934i,0.00059377-0.0013575i,9.149e-05+0.0040636i,-0.001509+0.011051i,0.039296+0.014727i,-0.018035-0.0071834i,-0.017897+0.02194i,-0.0054047-0.0143i,-0.0062836-0.0064098i,-0.04887-0.05183i,-0.053066-0.032608i,-0.022913-0.063832i,-0.021539+0.0020522i,0.0096167-0.0084009i,-0.0057004-0.0086738i,-0.026742-0.011892i,-0.010565-0.016247i,-0.020781+0.0011877i,-0.017832+0.0023673i,-0.025458+0.03445i,0.012082-0.0023365i,-0.014636+0.0022036i,-0.0052499+0.0049812i,-0.00062446+0.0036018i,-0.013716+0.011704i,0.0052945+0.0049103i,0.0044266-0.023007i,0.0033607-0.025847i,-0.0044709-0.0037015i,-0.0079509+0.010795i,-0.0069989+0.010038i,0.0068797+0.019606i,-0.002779+0.0088506i,0.0056046+0.051867i,-0.0057049+0.006023i,0.0010575+0.00941i,0.0062833+0.012411i,-0.006266+0.014388i,-0.0014885+0.0079763i,-0.0067225+0.0020624i,0.0013825+0.0073975i,-0.0093451+0.0079935i,-0.0068527+0.0062186i,-0.0029318+0.0031681i,0.0068584+0.012245i,-0.0090222-0.0019525i,-0.00027135+0.0070771i,-0.011472+0.012551i,-0.028988-0.00584i,0.0045845-0.040352i,-0.0012038+0.033259i,-0.018325+0.0026846i,0.012426-0.01836i,0.0066776-0.0009696i,-0.010306+0.00030452i
-0.012749+0.018735i,-0.020478+0.0003342i,-0.03515+0.002865i,-0.024603+0.022746i,-0.029618+0.018874i,-0.011795+0.032308i,-0.031457+0.035782i,-0.022625+0.018083i,-0.0025138+0.015146i,0.0054656+0.002567i,0.0069017+0.008159i,0.0080288-0.001454i,-0.00031901-0.0042456i,0.011893+0.0017849i,0.0021358-0.001216i,0.0085227+0.007731i,-0.0010906-0.0092671i,-0.0015934-0.0039823i,0.0036007-0.0011227i,-0.0018919-0.0030135i,0.0015503-0.0039755i,0.0013531-0.0016672i,-0.00090707+1.0257e-05i,0.0096904-0.010469i,0.0028793+0.0021827i,-0.0009192-0.0018343i,0.001886-0.00076594i,0.0010897-0.0019536i,-0.00044253-0.0015089i,0.0011124+0.0012347i,0.0019848-0.00068032i,-0.00090289+0.0068932i,0.0001109+0.0059011i,-0.0004678-0.00010198i,-0.002038-0.0010963i,0.014525-0.0043537i,-0.0039152-0.00023584i,-0.0030694+0.0019578i,-0.0041381-0.00094449i,-0.0064984-0.00075614i,-0.00041416-0.0014228i,-0.00074438-0.0033029i,0.00057312-0.0013569i,0.000865+0.0028253i,-0.00096441+0.011455i,0.032784+0.011292i,-0.014313-0.010519i,-0.0012376+0.025313i,-0.0042831-0.016166i,-0.010885-0.01126i,-0.058471-0.032128i,-0.051081-0.013348i,-0.040523-0.054664i,-0.0081905+0.0054342i,0.013764-0.020176i,-0.006807-0.0058175i,-0.022056-0.0065144i,-0.021004-0.011469i,-0.014706+0.011074i,-0.015081+0.0067484i,-0.0051884+0.037484i,0.009415-0.0057817i,-0.012968+0.0050505i,-0.0022427+0.0043003i,-0.0012707+0.00093833i,-0.0066219+0.015491i,0.008439+0.0019388i,-0.011873-0.023432i,-0.01515-0.020707i,-0.0051098+0.0021635i,-0.0030424+0.013502i,-0.001373+0.01125i,0.01403+0.012201i,0.00097245+0.0086178i,0.029655+0.044906i,-0.0023583+0.007401i,0.0031769+0.0091811i,0.010026+0.0077448i,0.0029008+0.016522i,-0.0029031+0.0082186i,-0.0059416+0.0080047i,0.0059787+0.0072009i,-0.0038464+0.01244i,-0.0075122+0.0090306i,-0.0010361+0.0043857i,0.0084684+0.0081036i,-0.0096039+0.0020575i,0.0012419+0.0032802i,-0.0065506+0.012664i,-0.021829-0.00079737i,-0.017951-0.042731i,0.014346+0.01733i,-0.016124+0.0070613i,0.0041996-0.026818i,0.0010343-0.0064473i,-0.0049607-0.0010648i
-0.0078798+0.01906i,-0.023493+0.0069542i,-0.033679+0.012304i,-0.018452+0.025395i,-0.024929+0.025146i,-0.0057128+0.031391i,-0.022642+0.034109i,-0.018036+0.019224i,0.00073519+0.015198i,0.0064501+0.0010074i,0.0096237+0.0032734i,0.0043617-0.00072553i,-0.0011929-0.0021569i,0.0093667-0.0021174i,0.001677-0.0016265i,0.011143+0.0060569i,-0.0024168-0.0050531i,-0.0033662-0.0028201i,0.001456-0.0020435i,-0.0023042-0.0021393i,-0.00077589-0.0040934i,0.00081224-0.0020658i,-0.0008589+0.0004967i,0.0034931-0.013074i,0.0025955-0.00024274i,-0.00084793-0.0015146i,0.0013907-0.003048i,-2.0635e-05-0.0021218i,-8.9072e-05-0.0013383i,0.00085582+0.0003332i,0.0010808-0.0019144i,0.0020087+0.005646i,0.0025907+0.0043082i,-0.00031401-9.367e-05i,-0.0019235+0.00033687i,0.011135-0.0083386i,-0.0028683+0.0003428i,-0.001406+0.0028078i,-0.0030658-1.1018e-05i,-0.0064769+0.0020809i,-0.001076-0.00070315i,-0.0014936-0.0029252i,0.00022008-0.001501i,0.00016694+0.0020055i,0.00053898+0.012771i,0.03752+0.014177i,-0.015426-0.013702i,0.012553+0.018535i,-0.0045819-0.021726i,-0.014077-0.0071359i,-0.064028-0.014197i,-0.041281-0.0017092i,-0.056197-0.035015i,3.8111e-05+0.00039078i,0.007941-0.029621i,-0.006815-0.0047101i,-0.019052-0.0019392i,-0.026668+0.00085472i,-0.0082988+0.012286i,-0.01022+0.010604i,0.012056+0.028561i,0.0057765-0.0095487i,-0.011619+0.0091902i,-0.0029523+0.0019916i,-0.0012514+0.0021715i,0.0012579+0.013303i,0.0061756-0.0040905i,-0.022923-0.011841i,-0.022346-0.0059122i,2.2676e-05+0.0054329i,0.0033761+0.013373i,0.0029535+0.010329i,0.017365+0.0050086i,0.0063254+0.007414i,0.045037+0.026554i,-6.3743e-05+0.0065194i,0.0055316+0.0087179i,0.010117+0.0015985i,0.01096+0.010579i,-0.0018733+0.01425i,-0.00059185+0.012573i,0.0098658+0.0025902i,0.0041019+0.011877i,-0.0059341+0.013036i,0.00049007+0.0046548i,0.0090451+0.0057342i,-0.0090297+0.0057664i,-0.0002099+0.00084651i,-0.0041669+0.011967i,-0.013093+0.0013213i,-0.030717-0.026669i,0.01544-4.1246e-05i,-0.0042828+0.0099274i,-0.0082073-0.030809i,-0.0075907-0.0064551i,-0.006995-0.007375i
-0.0037063+0.018039i,-0.020052+0.01444i,-0.028519+0.02102i,-0.013233+0.026453i,-0.018841+0.02868i,-0.00029539+0.029813i,-0.016231+0.030724i,-0.014798+0.019475i,0.0048734+0.014211i,0.0063602-0.0012199i,0.0070736-0.0012148i,0.0044773+0.00085236i,-0.00066602-0.00081647i,0.0067982-0.0042994i,0.001108-0.0015865i,0.013034+0.0025555i,-0.0009493-0.0023656i,-0.0038634-0.00090423i,0.00032725-0.0014235i,-0.0028914-0.0010422i,-0.001876-0.0025037i,-6.6348e-05-0.0020171i,-0.00033861+0.0010889i,-0.0017306-0.011674i,0.0014847-0.0013582i,-0.0011891-0.0020131i,-0.00067977-0.0039218i,-0.00099103-0.0019111i,-0.00064197-0.0017753i,0.00082807+0.00015347i,-0.00025726-0.0026251i,0.0039288+0.0037088i,0.0034258+0.0016387i,-0.00016067-5.6027e-05i,-0.0013065-3.1586e-06i,0.0065482-0.010572i,-0.0019686+0.00060629i,6.1625e-05+0.0027345i,-0.0033115+0.0003692i,-0.0053249+0.0042473i,-0.0010293+7.4768e-05i,-0.0025894-0.0020954i,2.8953e-05-0.0013669i,-0.0012761+0.0028252i,0.0033613+0.014019i,0.050864+0.0092993i,-0.019785-0.014013i,0.021424+0.0077909i,-0.0090324-0.022546i,-0.013834-0.0042513i,-0.061951+0.00606i,-0.033868+0.0021372i,-0.051926-0.0082947i,0.0037808-0.0038843i,-0.0021771-0.035923i,-0.0080766-0.0040517i,-0.017605-0.0027347i,-0.020568+0.013527i,-0.0039461+0.011872i,-0.0018426+0.009799i,0.015856+0.013721i,0.0016692-0.010764i,-0.007576+0.012504i,-0.0045213+0.0030008i,-0.00032213+0.0017415i,0.0036425+0.0085345i,0.00019145-0.0036251i,-0.024586+0.0026452i,-0.020441+0.0058262i,0.0039534+0.0033062i,0.0070358+0.01133i,0.0048088+0.0079261i,0.0151-0.0052397i,0.0076963+0.0013675i,0.04891+0.0046666i,0.00078618+0.0073422i,0.0090483+0.0054329i,0.0073733-0.0018543i,0.012031+0.0045925i,0.0056979+0.017462i,0.0076496+0.0095322i,0.0084421-0.001696i,0.0088513+0.0063272i,5.6617e-05+0.017362i,0.0012646+0.0060317i,0.0089042+0.0036537i,-0.0084285+0.0093442i,-0.0042939+0.0015618i,-0.0025277+0.012559i,-0.0052147-0.0025397i,-0.030084-0.013341i,0.0083993-0.010792i,0.0018773+0.0022853i,-0.022308-0.026982i,-0.010791+0.0018336i,-0.012889-0.0055317i
-0.0008267+0.016777i,-0.013955+0.01745i,-0.020285+0.026558i,-0.0087827+0.026871i,-0.012523+0.030762i,0.0042485+0.027692i,-0.013318+0.027419i,-0.012327+0.02008i,0.008127+0.011368i,0.0054418-0.0030761i,0.0035974-0.0016461i,0.0053932+0.00058828i,0.00045489-0.00068158i,0.0041909-0.0053702i,0.0010449-0.0014453i,0.011993-0.0019187i,0.00030315-0.0029123i,-0.0033483+0.00097519i,-0.00012452-0.0011718i,-0.0026049+0.00065527i,-0.0018047-0.0018617i,-0.00087426-0.0011173i,0.00045236+0.0012014i,-0.0050452-0.0092283i,0.00048615-0.0016941i,-0.0021975-0.0015549i,-0.0024798-0.0030639i,-0.0016045-0.0013178i,-0.0015265-0.001503i,0.00070099-0.00040255i,-0.0018793-0.0022877i,0.0048551+0.00061418i,0.0032658-5.9077e-05i,-1.8722e-05-0.00028682i,-0.0016061+0.00015788i,0.0015802-0.0097264i,-0.0019953-2.2016e-05i,0.0010888+0.0021012i,-0.0027664+0.0019103i,-0.00355+0.0061907i,-0.00063349+0.00057693i,-0.0025401-0.0007937i,-0.00013655-0.0015221i,-0.00030464+0.0053759i,0.0076222+0.013825i,0.063007-0.010161i,-0.025271-0.0099951i,0.023547-0.0042878i,-0.0087988-0.022819i,-0.014011-0.002299i,-0.051722+0.020107i,-0.027053+0.0057856i,-0.037161+0.0031083i,0.005489-0.011062i,-0.015428-0.036853i,-0.0089353-0.0022408i,-0.020109-0.0021734i,-0.011006+0.017223i,-0.00017805+0.010026i,0.0016951+0.003172i,0.011177+0.0037018i,-0.0033122-0.010367i,-0.0027657+0.013778i,-0.00477+0.0051268i,-0.0011758+0.00040128i,0.0032382+0.0055668i,-0.000786+0.00050643i,-0.018636+0.013504i,-0.013195+0.013741i,0.0040296+0.0011068i,0.011418+0.0083779i,0.0063912+0.0064153i,0.0078324-0.01022i,0.0051282-0.0018079i,0.043045-0.012974i,0.0038401+0.0073194i,0.0085634+0.0016278i,0.0050621-0.0025755i,0.012212+0.0013688i,0.0139+0.015189i,0.009546+0.0035646i,0.0072909-0.0040309i,0.008467+0.0016753i,0.0090836+0.015837i,0.0039526+0.0051473i,0.0096004+0.00058583i,-0.0025989+0.014524i,-0.0038867+0.0048304i,0.00023811+0.013664i,-0.0041598-0.010865i,-0.025774-0.0065701i,0.0019628-0.013265i,0.00043978-0.0052184i,-0.032993-0.017928i,-0.0068408+0.0039772i,-0.01309-0.0026584i
0.0018138+0.015622i,-0.0077521+0.017737i,-0.011121+0.028496i,-0.0037823+0.027187i,-0.0059105+0.030704i,0.0078725+0.025283i,-0.011534+0.026285i,-0.0094382+0.021332i,0.010103+0.0081011i,0.0039466-0.0046123i,0.0022883-0.00081064i,0.0063735-0.00076607i,0.00067901-0.001208i,0.0017102-0.0048047i,0.00068536-0.001798i,0.0093732-0.004748i,-0.00050995-0.0043975i,-0.0022928+0.0019695i,-0.00045147-0.00068927i,-0.001468+0.0017384i,-0.00223-0.0011714i,-0.00035143+1.9679e-06i,0.0010847+0.00087647i,-0.0075884-0.0068589i,-0.00049608-0.0014147i,-0.0027202-0.00052513i,-0.0036993-0.0018885i,-0.0018879-0.00042223i,-0.0020514-0.00055304i,-1.2596e-05-0.00070098i,-0.0029608-0.0010337i,0.0035181-0.0017364i,0.0025024-0.0018428i,-5.0329e-06-0.00055999i,-0.0018172+0.00042797i,-0.00095936-0.0067619i,-0.0022551+0.00044789i,0.0017978+0.00099486i,-0.0014706+0.0024825i,-0.0005322+0.0072032i,-0.0002244+0.00082605i,-0.0019669+0.00019739i,-0.00062571-0.0018109i,0.0019362+0.0048806i,0.011824+0.011272i,0.058253-0.035854i,-0.02766-0.0024602i,0.02374-0.015174i,-0.010704-0.028709i,-0.013146+0.00014725i,-0.041804+0.027952i,-0.020966+0.0056102i,-0.026479+0.0069489i,0.0021545-0.015881i,-0.029256-0.032747i,-0.0096609-0.00046797i,-0.025896+0.0009378i,-0.0038349+0.016195i,0.0015762+0.0065614i,4.6408e-05-0.0021288i,0.0048212+0.00058014i,-0.0083426-0.0095646i,0.0012711+0.013046i,-0.002787+0.006728i,-0.0028226+0.0016133i,0.0011679+0.0042985i,0.00087061+0.0024775i,-0.009918+0.018072i,-0.0043435+0.016928i,0.0051841-0.00081264i,0.013961+0.0020814i,0.0078394+0.0046567i,0.001412-0.0098324i,0.0027239-0.0024128i,0.032225-0.025122i,0.0065935+0.0059624i,0.0079147-0.00020105i,0.0024855-0.002809i,0.011849-0.0049004i,0.019777+0.008588i,0.0081436-0.00064869i,0.0047414-0.0063929i,0.0072481-0.0017226i,0.015053+0.010576i,0.0051403+0.004896i,0.0068911-0.0028291i,0.005287+0.01396i,-0.0016179+0.0051631i,0.0054227+0.013027i,-0.0094235-0.014373i,-0.022015-0.0013779i,-0.0024811-0.014759i,-0.0047595-0.0071995i,-0.038819-0.0056392i,-0.0058783+0.0034332i,-0.01254-0.00050502i
