-0.025004-0.0047228i,-0.021137-0.0080097i,-0.013158-0.013957i,-0.036558-0.0088545i,-0.027132+0.0014413i,-0.03635-0.0030515i,-0.067556-0.035519i,-0.034173-0.014455i,-0.023279+0.002653i,0.0068386+0.0057794i,-0.005167+0.0072319i,-0.0076639+0.017431i,0.005492+0.0078332i,-0.0010472+0.0037291i,0.0041063+0.0043136i,0.0052742+0.02543i,0.021126+0.019053i,0.0012671-0.00066428i,0.00033122-0.0052942i,0.0088511+0.00035279i,0.0048986-0.0019733i,0.0027164+0.0019995i,0.0010585-0.00038802i,-0.022473+0.00078691i,-0.0061759-0.0030054i,-0.0013942+0.0032219i,0.0032819-0.0036205i,-0.001642+0.00010774i,-0.00065461+0.00098928i,-0.0025655-0.0017188i,-0.0041523-0.00057028i,-0.0070674-0.0084922i,-0.0058388-0.0052878i,-0.00062878-8.6204e-05i,-0.00062508-0.0022081i,-0.00083172+0.0205i,0.0027552-0.0041031i,0.0010272-0.0044589i,0.0025288-0.0021118i,-0.002304-0.0028653i,0.0010107-0.00015338i,0.0074417+8.2939e-05i,0.0040115-0.0020626i,0.00024384+0.0023252i,-0.014232+0.015355i,-0.026983+0.052793i,-0.0065665-0.036912i,-0.015107-0.019031i,-0.040593-0.01635i,-0.027414-0.0127i,0.035096-0.0105i,0.0057986-0.029737i,0.012813-0.037885i,-0.0084683-0.0296i,0.025682-0.023331i,0.013146+0.0073108i,0.031959-0.037488i,-0.0019907-0.0039682i,0.0061805-0.0089339i,-0.00042449-0.006132i,-7.0563e-05-0.034678i,-0.014486+0.029663i,0.0086539-0.01148i,-0.0083657-0.0044157i,-0.0025416-0.0020443i,0.00011624-0.014891i,-0.0082156+0.0062754i,0.0038366+0.0065364i,-0.00042595+0.027406i,0.0025099+0.00082481i,-0.0070751-0.0042443i,-0.004074-0.0060338i,-0.013324-0.010148i,-0.0026777-0.0058722i,-0.032945+0.016747i,-0.0054937-0.0090235i,-0.013075-0.00079558i,-0.0090177-0.006844i,0.0016525-0.0017237i,-0.013361+0.0014929i,-0.0013693-0.00078682i,0.0059465+0.0056133i,0.0037128-0.0052629i,-0.012854-0.014927i,0.0080144+0.0090064i,-0.014165+0.0055571i,0.0053143+0.0004462i,-0.019534-0.0020949i,-0.015836-0.0041972i,-0.015476-0.036127i,0.019803-0.0098002i,-0.040927-0.02437i,-0.010075+0.0060009i,0.017315+0.014672i,-0.022816+0.017621i,-0.0045385-0.0036867i
-0.02609-0.0015875i,-0.019985+0.00015612i,-0.014298-0.014283i,-0.037993-0.0035905i,-0.026058+0.0022188i,-0.037927+0.0040543i,-0.071256-0.023279i,-0.034594-0.009502i,-0.020937+0.00733i,0.0050393+0.0034526i,-0.0055663+0.0061058i,0.00050349+0.019753i,0.0083463+0.0051929i,-0.0027314+0.0056981i,0.0045713+0.0026776i,0.0095523+0.019738i,0.021237+0.0094375i,0.0019562+0.00011432i,-0.0012617-0.0032515i,0.0073182-0.0032937i,0.002796-0.0028458i,0.0027575+0.0011772i,0.0010783-0.00061229i,-0.011123+0.0088695i,-0.0079343-0.00034243i,0.0021812+0.0025039i,0.00051651-0.0017699i,-0.00085082+0.0018648i,0.00060936+0.00053369i,-0.0029233-0.00055466i,-0.0030016+0.0008326i,-0.0082367-0.0060992i,-0.0048787-0.0016932i,-0.00042585-8.3429e-05i,-0.0003792-0.0013676i,0.0048476+0.018423i,0.0015917-0.0050895i,-0.0012204-0.0039996i,0.0026631-0.0030639i,-0.0016447-0.0029208i,0.0014583+4.8692e-05i,0.0075807-0.002137i,0.0021069-0.0028057i,-0.0014972+0.0025697i,-0.0097127+0.016392i,-0.0075061+0.058455i,-0.014479-0.035323i,-0.025629-0.020364i,-0.030804-0.0053591i,-0.020834-0.001851i,0.032366-0.031994i,0.0072001-0.044838i,0.016312-0.037166i,-0.014149-0.030058i,0.014413-0.017812i,0.011909-0.0030649i,-0.0018678-0.056355i,0.00046678-0.00085328i,-0.0014321-0.017197i,-0.0020489-0.0070618i,-0.023431-0.031193i,-0.0014765+0.02477i,0.0027454-0.015438i,-0.010531-0.00015846i,-0.00099326-0.0009883i,-0.0072375-0.014079i,-0.0075569+0.010292i,0.0089525+0.0060866i,0.016417+0.021094i,0.0012767-0.0017129i,-0.0069507-0.00028187i,-0.0080547-0.005023i,-0.018568+0.00043479i,-0.0022434-0.0040947i,-0.030325+0.019203i,-0.0088444-0.0032892i,-0.012143+0.0038328i,-0.012547-0.0014078i,-0.001707-0.0058294i,-0.010588+0.0057756i,-0.00020825-0.0022582i,0.0032224+1.7572e-05i,-0.00018226-0.0060424i,-0.016611-0.00022576i,0.0087566+0.0031413i,-0.0097629+0.0098578i,0.0049448-0.002836i,-0.017203+0.0041732i,-0.018068+0.00061304i,-0.021228-0.032395i,0.015653-0.017511i,-0.044922-0.0091058i,-0.0013341-0.0019205i,0.018392+0.0094617i,-0.014+0.023237i,-0.011578-0.0085912i
-0.025733+0.0025138i,-0.015535+0.00018243i,-0.016759-0.014983i,-0.038451+0.0035512i,-0.025779+0.0032128i,-0.038096+0.012049i,-0.076453-0.0074293i,-0.03673-0.0043134i,-0.018456+0.010317i,0.0038866+0.0029388i,-0.0054942+0.0088898i,0.00721+0.015667i,0.0087997+0.0012043i,-0.0022361+0.008089i,0.0046676+0.0014664i,0.011279+0.014178i,0.021699+0.0028932i,0.0036568-0.0005821i,-0.0011203-0.0021598i,0.0053079-0.0046292i,0.0010953-0.0024505i,0.0034521+0.0011274i,0.00084328-0.0012481i,-0.0037328+0.010321i,-0.0069193+0.0019515i,0.0041143-0.00046577i,-0.00020692-0.0011729i,0.0010631+0.0016747i,0.00058194+7.4594e-05i,-0.0024434+0.00053963i,-0.0022073+0.001585i,-0.009743-0.0028032i,-0.0020975-0.0047717i,-0.00031831-0.00024469i,-0.00016544-0.0022219i,0.0094879+0.014379i,9.9434e-05-0.0049533i,-0.0024425-0.0027647i,0.001418-0.004733i,-0.0026949-0.0028388i,0.0017438-0.00042976i,0.005313-0.0049029i,0.0017762-0.002467i,-0.0011448+0.0031419i,-0.006386+0.015337i,0.010901+0.05648i,-0.022101-0.031626i,-0.03377-0.010339i,-0.017453-0.003549i,-0.013797-0.0042767i,0.022655-0.049283i,-0.0076425-0.057949i,0.021909-0.043529i,-0.019598-0.02459i,0.010795-0.017175i,0.0081362-0.0068051i,-0.0013642-0.03878i,0.0082229-0.0051122i,-0.011574-0.014823i,-0.003446-0.0094986i,-0.03878-0.018266i,0.0051203+0.020767i,-0.0045729-0.015688i,-0.008262+0.0022574i,-0.0025574-0.0013127i,-0.01359-0.01135i,-0.00024502+0.013429i,0.013865-0.00036768i,0.02387+0.0057024i,0.00029681-0.0023025i,-0.0066975+0.00028324i,-0.010446-0.0020695i,-0.015345+0.010487i,-0.0068102-0.0028479i,-0.022998+0.027684i,-0.0077632+0.00083522i,-0.010318+0.0094058i,-0.013462+0.0077849i,-0.0075011-0.0035443i,-0.009177+0.0079632i,-0.003992-0.0025792i,-0.00065126+4.4282e-06i,-0.0028338-0.0055828i,-0.011525+0.0071046i,0.0066357-0.0015902i,-0.0055126+0.011702i,0.0016838-0.0067158i,-0.01383+0.0082958i,-0.016165+0.0056394i,-0.024313-0.027932i,0.0082691-0.019301i,-0.04305+0.0036038i,-0.0068663-0.0115i,0.018935+0.0025496i,-0.0028818+0.020754i,-0.014031-0.0054883i
-0.025329+0.0067642i,-0.015499-0.0023173i,-0.020558-0.015488i,-0.035519+0.010487i,-0.026357+0.0042102i,-0.034331+0.02082i,-0.073762+0.01593i,-0.037765+0.0046655i,-0.01603+0.013946i,0.0036772+0.0028375i,-0.0020409+0.011104i,0.0092372+0.010928i,0.0076236-0.001966i,0.00068049+0.010318i,0.0041423+0.00022446i,0.010298+0.0080862i,0.020286-0.0053142i,0.0033436-0.0022655i,-0.0017924-0.00029446i,0.0025623-0.0056276i,0.0012619-0.0014636i,0.0044746+0.00012321i,0.00011279-0.0014692i,0.0035759+0.012332i,-0.0049469+0.0031681i,0.0016338-0.0031416i,-0.00012462-0.0017394i,0.00096752+0.000433i,0.00084748+6.2712e-05i,-0.0024106+0.0011485i,-0.0010827+0.0021914i,-0.009366+0.0010714i,-0.007555-0.0054972i,-0.0001889-0.00035268i,-0.0018105-0.0019052i,0.010781+0.0094912i,-0.001536-0.0049715i,-0.0028962-0.0016492i,-0.0012638-0.0048625i,-0.0027689-0.0014762i,0.0014278-0.0011924i,0.0022815-0.0051676i,0.0010842-0.0026582i,-0.00051366+0.0028786i,-0.0033282+0.014531i,0.027084+0.048772i,-0.028294-0.02405i,-0.033764+0.0027171i,-0.011156-0.0067603i,-0.011868-0.0049208i,0.0036617-0.064324i,-0.026823-0.05707i,0.01734-0.061363i,-0.020363-0.020849i,0.0067403-0.015718i,0.0035855-0.010643i,-0.014243-0.036066i,0.0041718-0.01455i,-0.014679-0.0090564i,-0.009582-0.011765i,-0.044019+0.003087i,0.013384+0.014815i,-0.01104-0.013671i,-0.0054709+0.0028086i,-0.0032365-0.00020997i,-0.018669-0.0051546i,0.0066833+0.0091576i,0.013626-0.0081775i,0.020185-0.0063986i,-0.00065543-0.0025079i,-0.0077816+0.0013173i,-0.01173+0.0031365i,-0.0098155+0.017491i,-0.0080194+0.0020537i,-0.014621+0.033362i,-0.0065984+0.002821i,-0.0043422+0.012213i,-0.0072204+0.014449i,-0.0099725+0.0025193i,-0.0044023+0.0094446i,-0.0040352-0.0011566i,-0.0026139+0.0018855i,-0.0062258-0.0041419i,-0.008277+0.0065102i,0.00099972-0.0054234i,-0.0029786+0.014443i,-0.0033355-0.0059878i,-0.0088171+0.011265i,-0.013823+0.0064627i,-0.026521-0.024519i,0.0083816-0.017895i,-0.037273+0.017156i,-0.015735-0.011672i,0.018658-0.003861i,0.0047323+0.014866i,-0.012556-0.0020166i
-0.023024+0.012403i,-0.018818-0.0013458i,-0.027334-0.013226i,-0.031377+0.01552i,-0.02851+0.0062626i,-0.027942+0.027515i,-0.057296+0.030189i,-0.032726+0.012593i,-0.010416+0.016654i,0.003818+0.0028029i,0.0017954+0.0097137i,0.010621+0.0076867i,0.0054073-0.0039329i,0.0052439+0.0096691i,0.0034796-0.00054654i,0.0073733+0.0071653i,0.012379-0.011132i,0.00052449-0.0034483i,0.0006264+0.0027061i,-0.00014065-0.0050013i,0.0016755-0.00069017i,0.0039766-0.0015857i,-0.00070872-0.001073i,0.012925+0.0066646i,-0.0030531+0.0049662i,0.0005902-0.0030202i,-0.00086079-0.0012428i,0.0015797+0.00037619i,0.0010975-0.00039052i,-0.0016591+0.0023046i,0.00028385+0.0021907i,-0.0071023+0.0046248i,-0.0074232+0.00063416i,-0.00056346-0.00056893i,-0.001836-0.00058946i,0.012406+0.0072835i,-0.0031221-0.0037795i,-0.0034867-0.00055008i,-0.0026682-0.0030023i,-0.0018447-0.0024626i,0.00050169-0.0017235i,0.00034427-0.0038758i,0.00056269-0.0020866i,-0.0013669+0.0030527i,-0.001877+0.012095i,0.040094+0.034868i,-0.027328-0.013307i,-0.026228+0.014848i,-0.0074197-0.011875i,-0.0096051-0.0041483i,-0.023384-0.067953i,-0.041392-0.047216i,-0.0038733-0.070417i,-0.026045-0.014644i,0.0060775-0.012117i,-0.0019015-0.011131i,-0.025474-0.026646i,-0.0041803-0.016639i,-0.017044-0.0053372i,-0.018903-0.0073281i,-0.037346+0.018714i,0.015626+0.0051191i,-0.017185-0.0078353i,-0.0044755+0.0038725i,-0.0035087+0.0016335i,-0.018337+0.0040946i,0.0058335+0.0036519i,0.010482-0.013136i,0.016685-0.016524i,-0.0014906-0.0026964i,-0.0097795+0.0051306i,-0.0087369+0.0078273i,-0.0018834+0.019706i,-0.0068884+0.006312i,-0.0077952+0.037516i,-0.0063986+0.0043341i,4.4534e-05+0.010075i,0.00052374+0.015204i,-0.0092862+0.0075951i,-0.0025113+0.0067573i,-0.0049444-6.2172e-05i,-0.0024705+0.0054874i,-0.009791-0.0010566i,-0.0077626+0.0051332i,-0.0041711-0.0029288i,0.0042657+0.015418i,-0.0064282-0.0038713i,-0.0027376+0.011478i,-0.014104+0.0091438i,-0.031754-0.018423i,0.012378-0.024388i,-0.026444+0.031032i,-0.022008-0.0033503i,0.015264-0.011092i,0.0064822+0.0064419i,-0.011036-0.0025581i
-0.01823+0.016223i,-0.018457+0.00077891i,-0.03252-0.005601i,-0.02772+0.019066i,-0.030787+0.011464i,-0.019469+0.031448i,-0.042229+0.034821i,-0.026889+0.016693i,-0.0059158+0.0165i,0.0037365+0.0029878i,0.0030555+0.0083118i,0.011437+0.0028694i,0.0029046-0.004914i,0.0082975+0.0069652i,0.0028945-0.0010406i,0.0073868+0.0080155i,0.004797-0.010651i,-0.00064768-0.0035096i,0.0035386+0.001445i,-0.00098588-0.0038395i,0.0021997-0.0022618i,0.0025066-0.003i,-0.00072685-0.00038963i,0.014231-0.0027864i,0.00062458+0.0053713i,0.00023284-0.0017291i,-0.00030273+0.0021525i,0.0019295-0.00079444i,0.00071515-0.001313i,0.00026348+0.0027894i,0.0016579+0.0012821i,-0.0043855+0.0058862i,-0.0059201+0.0032584i,-0.000811-0.00010987i,-0.0013628-0.00011694i,0.014925+0.0031615i,-0.004303-0.0021421i,-0.0039804+0.00054184i,-0.003261-0.0020608i,-0.0031299-0.0038677i,-4.6729e-06-0.0014084i,-0.00055949-0.0028583i,0.00021011-0.0017689i,-0.00076397+0.0040268i,-0.0019143+0.01125i,0.038174+0.016552i,-0.017958-0.0071823i,-0.016982+0.022119i,-0.0058196-0.014417i,-0.006449-0.0071203i,-0.048151-0.053369i,-0.052496-0.032586i,-0.021434-0.066831i,-0.021105+0.00081207i,0.011057-0.0085688i,-0.0057557-0.0091781i,-0.026988-0.011196i,-0.010811-0.016464i,-0.020882+0.0012158i,-0.018018+0.0018679i,-0.026316+0.032541i,0.012538-0.0016579i,-0.015179+0.0022276i,-0.0051192+0.0041067i,-0.0005641+0.0034418i,-0.013676+0.010354i,0.0056747+0.0043758i,0.0050615-0.02261i,0.00074388-0.028994i,-0.0051837-0.0037813i,-0.0087145+0.010838i,-0.0067025+0.0097318i,0.0063527+0.018569i,-0.0028155+0.0091555i,0.006033+0.048703i,-0.0054745+0.005864i,0.0011944+0.0096226i,0.0061764+0.012319i,-0.0049907+0.01429i,-0.0015406+0.0077363i,-0.0068189+0.0022067i,0.0014721+0.007438i,-0.0091033+0.0079251i,-0.0072277+0.0058907i,-0.003645+0.0029326i,0.0079376+0.010927i,-0.0091761-0.002333i,0.0004625+0.007488i,-0.010888+0.012889i,-0.02914-0.0051584i,0.0042503-0.040273i,-0.0024857+0.033147i,-0.018569+0.0026277i,0.014647-0.018866i,0.0062286-0.0010175i,-0.010395+0.0007124i
-0.013002+0.018411i,-0.021592+0.00030084i,-0.034785+0.0030404i,-0.023445+0.022968i,-0.029862+0.018757i,-0.01168+0.032018i,-0.030628+0.034823i,-0.021622+0.018876i,-0.0032114+0.015746i,0.0052549+0.0023746i,0.006374+0.0075665i,0.0077349-0.0013909i,0.00011449-0.0043577i,0.010474+0.002738i,0.0023457-0.0014414i,0.0088817+0.0082612i,0.00089626-0.0079705i,-0.001896-0.0032887i,0.0033185-0.001603i,-0.0013462-0.0027196i,0.001334-0.0032688i,0.0021499-0.0032568i,-0.0005984-9.0804e-05i,0.0094932-0.0093579i,0.004233+0.0026062i,-0.0011515-0.00097093i,0.0020393-0.00077711i,0.0012127-0.0021806i,-4.6811e-05-0.0010818i,0.0014145+0.0016154i,0.001903-0.00016766i,-0.0012024+0.0065708i,-0.0035184+0.003863i,-0.00055217+0.00019617i,-0.0018718+4.3587e-05i,0.013862-0.0022783i,-0.00369+6.6477e-05i,-0.0032259+0.0020751i,-0.0037543-0.00043389i,-0.0056483-0.0019647i,-0.00074975-0.0012927i,-0.00039576-0.0032421i,0.00012685-0.0015913i,0.00013435+0.003166i,-0.001196+0.011775i,0.032858+0.01275i,-0.014168-0.010898i,-0.00046479+0.024959i,-0.0045737-0.016195i,-0.011234-0.011757i,-0.058392-0.033914i,-0.050627-0.013265i,-0.041746-0.061365i,-0.0083827+0.0046442i,0.014494-0.02192i,-0.0069155-0.0061015i,-0.022131-0.0059354i,-0.02111-0.011711i,-0.014924+0.011233i,-0.015627+0.0063122i,-0.0061661+0.034814i,0.010285-0.0040417i,-0.013592+0.0047057i,-0.0025782+0.0045702i,-0.0012003+0.00059942i,-0.0070066+0.014364i,0.0087036+0.0014945i,-0.010875-0.023406i,-0.017304-0.023578i,-0.0053586+0.0024564i,-0.0038729+0.01348i,-0.0013059+0.010954i,0.013735+0.011367i,0.0010572+0.0087625i,0.031845+0.042878i,-0.0022941+0.0068403i,0.0032366+0.0093021i,0.009848+0.0076851i,0.0034405+0.015202i,-0.0029157+0.0081201i,-0.0066258+0.0081587i,0.0063599+0.0070715i,-0.0034125+0.011993i,-0.0073284+0.0088161i,-0.0011367+0.0044703i,0.0085833+0.006626i,-0.009881+0.0020485i,0.0018493+0.0033581i,-0.0057755+0.012443i,-0.021755-0.00041514i,-0.018471-0.041449i,0.013697+0.018302i,-0.018958+0.0063716i,0.0041591-0.027606i,0.0012661-0.0061425i,-0.0043524-0.00050911i
-0.0080131+0.018779i,-0.02468+0.0074845i,-0.033467+0.012753i,-0.017368+0.025248i,-0.025011+0.025158i,-0.0056744+0.031142i,-0.02219+0.03291i,-0.016848+0.019901i,0.00031407+0.016096i,0.006219+0.00057665i,0.0076831+0.002822i,0.0041556-0.00091209i,-0.00095844-0.0024158i,0.0091149-0.0012097i,0.0017622-0.0018507i,0.011659+0.0065385i,-0.0012501-0.0046512i,-0.0033963-0.002381i,0.00096951-0.0018092i,-0.001934-0.0023343i,-0.00063159-0.0031559i,0.0013779-0.0037184i,-0.00062233+0.00031209i,0.0035714-0.012279i,0.0030715-0.00079797i,-0.00087914-0.00086835i,0.001179-0.0036344i,-0.00011841-0.0019774i,0.00017905-0.00090739i,0.0012037+0.00060953i,0.0012449-0.001438i,0.0019105+0.0053048i,-0.0044802+0.0040379i,-0.00017106+0.00018451i,-0.0015189+0.0012292i,0.011368-0.0059945i,-0.002494+0.00063469i,-0.0018632+0.00282i,-0.0028317+0.00079481i,-0.0054008+0.00094948i,-0.0012327-0.0005837i,-0.0013335-0.0030433i,-0.00021115-0.0015436i,-0.00062557+0.0026296i,0.00031956+0.013209i,0.037577+0.015203i,-0.015614-0.014043i,0.012511+0.017993i,-0.0045414-0.021296i,-0.014284-0.0074067i,-0.064257-0.015554i,-0.04082-0.0018835i,-0.035655-0.036745i,0.00035222-2.3017e-05i,0.0061871-0.031544i,-0.0070934-0.0049164i,-0.0188-0.0021301i,-0.027696+0.0008326i,-0.0083606+0.012281i,-0.010586+0.010681i,0.0096545+0.026909i,0.024442-0.0092861i,-0.011203+0.0098467i,-0.0034027+0.001971i,-0.0012606+0.0020679i,0.00078526+0.01248i,0.0065519-0.0044605i,-0.022406-0.012699i,-0.026966-0.0062792i,-0.00035093+0.0053726i,0.0024314+0.013431i,0.003075+0.010246i,0.017749+0.0042817i,0.0062824+0.0075231i,0.045217+0.024625i,-0.00072094+0.0060326i,0.0059238+0.0087053i,0.0098717+0.0017481i,0.010812+0.010207i,-0.0014523+0.0147i,-0.00089493+0.013486i,0.0099183+0.0023648i,0.0041476+0.011431i,-0.0048711+0.013996i,0.00023631+0.0042637i,0.0088844+0.0048014i,-0.0088382+0.005838i,0.00017191+0.00048464i,-0.0037081+0.01116i,-0.012694+0.0016484i,-0.030398-0.024984i,0.015211+0.00044509i,-0.0040408+0.011157i,-0.0086754-0.030532i,-0.0073068-0.0065199i,-0.0063662-0.0080153i
-0.003909+0.017642i,-0.020981+0.015511i,-0.027791+0.021812i,-0.012321+0.025851i,-0.019034+0.028863i,-0.00025305+0.029623i,-0.016158+0.029548i,-0.013326+0.020046i,0.0047534+0.015258i,0.0057238-0.0015752i,0.0060052+0.00014492i,0.0032996+0.00016806i,-0.00062126-0.0011318i,0.006963-0.0035674i,0.0010832-0.0017981i,0.014333+0.0039147i,-0.00023969-0.0019581i,-0.0040228-1.918e-05i,0.00028181-0.00093568i,-0.002854-0.0011035i,-0.0012596-0.0020877i,0.00013191-0.0033072i,-0.0001853+0.00081306i,-0.0015331-0.011079i,0.0014251-0.0013101i,-0.0010223-0.0014304i,-0.0012998-0.0039491i,-0.00086488-0.0017744i,-9.8652e-05-0.0012789i,0.0012423+0.00030717i,1.1541e-05-0.0022278i,0.0036605+0.0031616i,-0.00088813-0.00089479i,0.0001354+0.00025525i,-0.0008894+0.00062012i,0.0082447-0.008481i,-0.0015874+0.00074095i,-0.00027491+0.0030225i,-0.0030001+0.0015803i,-0.004302+0.0031466i,-0.0011042+0.00016975i,-0.0025362-0.0022548i,-0.00039078-0.0014266i,-0.0018502+0.0036788i,0.0033353+0.014473i,0.051383+0.0098394i,-0.020488-0.014109i,0.020994+0.0080346i,-0.0085644-0.022061i,-0.014251-0.0043812i,-0.062771+0.0048773i,-0.033246+0.0019401i,-0.04515-0.01124i,0.0048517-0.0058235i,-0.0037784-0.036509i,-0.0082837-0.0038243i,-0.017798-0.0024918i,-0.020962+0.014058i,-0.004177+0.012323i,-0.002044+0.0098433i,0.014371+0.013309i,0.0010098-0.012626i,-0.007755+0.011853i,-0.0059737+0.003278i,-0.00030699+0.0014574i,0.0035311+0.0076733i,9.6643e-05-0.0041311i,-0.02449+0.0023076i,-0.02176+0.0077883i,0.0033247+0.0032735i,0.0060946+0.011894i,0.0050808+0.0077265i,0.014916-0.0060375i,0.0076618+0.001472i,0.049146+0.0032682i,-0.00023036+0.0074309i,0.0089822+0.0052456i,0.007315-0.001776i,0.011947+0.0047347i,0.0060207+0.017374i,0.0082178+0.010126i,0.0083908-0.0018235i,0.0089263+0.0060825i,0.0020748+0.019561i,0.00087987+0.0059593i,0.0089909+0.0030443i,-0.0077992+0.0090077i,-0.0042874+0.0010423i,-0.0022614+0.011662i,-0.0046966-0.0025477i,-0.029051-0.012245i,0.0074272-0.010407i,0.0019965+0.0027101i,-0.022208-0.02776i,-0.010692+0.0017876i,-0.013181-0.0058368i
-0.0015306+0.016155i,-0.014353+0.018657i,-0.019018+0.02703i,-0.0082219+0.025927i,-0.012461+0.030943i,0.0042949+0.027651i,-0.013559+0.026272i,-0.010581+0.020561i,0.008104+0.012372i,0.0046223-0.0031814i,0.0035877-0.00062817i,0.0047954+0.0023449i,0.00035392-0.00089157i,0.0048513-0.0048573i,0.00084052-0.0016421i,0.01453-0.0026371i,0.0012386-0.0020844i,-0.0029447+0.0024165i,-2.493e-05-0.00086685i,-0.002272+0.00065754i,-0.0013029-0.0015714i,-0.0010667-0.0017867i,0.00042755+0.00092281i,-0.0046147-0.0087395i,0.00055267-0.001428i,-0.0019467-0.0011187i,-0.002902-0.0028335i,-0.0014519-0.001235i,-0.00090392-0.001122i,0.00117-0.00035996i,-0.0014887-0.0019361i,0.0042615+0.00059949i,0.0023334-0.0023515i,0.00045362-0.00017699i,-0.0011883+0.00057249i,0.0035102-0.0093255i,-0.0017281+0.00015614i,0.00093112+0.0023592i,-0.0021117+0.0035132i,-0.0022502+0.0047126i,-0.00078989+0.00060234i,-0.002594-0.00095967i,-0.00070046-0.0014489i,-0.0007+0.0064216i,0.0080079+0.014009i,0.063823-0.00947i,-0.025675-0.0092935i,0.0238-0.00362i,-0.0080533-0.022735i,-0.014361-0.0020368i,-0.052774+0.019663i,-0.02673+0.005369i,-0.036657+0.0018793i,0.0044446-0.012164i,-0.017673-0.037463i,-0.0088309-0.0020824i,-0.020543-0.0017159i,-0.01086+0.017609i,-0.00052316+0.010879i,0.0014791+0.0031022i,0.010455+0.0030772i,-0.0040016-0.011412i,-0.0034443+0.013109i,-0.0033949+0.0063982i,-0.001397+0.00012836i,0.0051462+0.0052526i,-0.0010196+0.00037417i,-0.018362+0.013178i,-0.014613+0.015958i,0.0035027+0.001143i,0.010989+0.0087817i,0.0064827+0.0062415i,0.0078469-0.010717i,0.0049699-0.0017953i,0.043274-0.014991i,0.0032931+0.0080461i,0.0083756+0.0014994i,0.0048545-0.002519i,0.012368+0.0012704i,0.014259+0.014485i,0.0095201+0.0038379i,0.0070111-0.0041377i,0.0084665+0.0014153i,0.011701+0.01661i,0.003452+0.0050392i,0.0095184-0.00016892i,-0.0024253+0.014236i,-0.0044863+0.0040757i,0.00035365+0.012533i,-0.003786-0.011275i,-0.024687-0.0063471i,0.0023438-0.014003i,0.00037354-0.0051106i,-0.032035-0.018615i,-0.0069945+0.0042647i,-0.013514-0.0022523i
0.00068324+0.015415i,-0.0075157+0.018824i,-0.0098522+0.028465i,-0.0036246+0.026258i,-0.0056617+0.030802i,0.008127+0.025201i,-0.012061+0.025168i,-0.0073844+0.021519i,0.010358+0.0091088i,0.002797-0.0041487i,0.0025965-8.167e-05i,0.0067372+0.00025261i,0.00052878-0.0012866i,0.0023217-0.0048972i,0.0003979-0.0018177i,0.010701-0.0060642i,0.00096402-0.0039163i,-0.0016812+0.0041906i,-0.00023213-0.00033637i,-0.001233+0.0015595i,-0.0014432-0.0006116i,-0.00060702-0.00040343i,0.00094161+0.00072178i,-0.0070528-0.0063203i,-0.00016875-0.0010799i,-0.002363-9.8768e-05i,-0.0040428-0.0015362i,-0.0017619-0.0004281i,-0.0014774-0.00027857i,0.00035808-0.00086147i,-0.0024608-0.00082037i,0.0030928-0.0013499i,0.0019645-0.0028737i,0.00048226-0.0006176i,-0.0014655+0.0007884i,8.3905e-06-0.0067295i,-0.001874+0.00078826i,0.0015855+0.0013017i,-0.00025971+0.0043576i,0.00060823+0.0050516i,-0.0005384+0.00084409i,-0.0021586+0.00017615i,-0.0011648-0.0014726i,0.0019111+0.0062012i,0.01206+0.011011i,0.058459-0.036224i,-0.027628-0.0023749i,0.024405-0.014627i,-0.0092659-0.028803i,-0.013321+0.0005041i,-0.042319+0.027853i,-0.020753+0.0052668i,-0.026513+0.0066055i,0.0016361-0.016266i,-0.030841-0.031923i,-0.0096699-0.00046171i,-0.026342+0.0019545i,-0.0033564+0.016542i,0.00059771+0.005838i,-0.00013536-0.0024855i,0.0043676+0.00043241i,-0.0097377-0.010665i,-0.0001166+0.012582i,-0.0019447+0.0070285i,-0.0033987+0.001559i,0.0013859+0.0044431i,0.0010161+0.0024766i,-0.009714+0.017841i,-0.0048326+0.018784i,0.004585-0.0004618i,0.013934+0.0025312i,0.0076222+0.0044405i,0.0017231-0.01013i,0.0025503-0.0025337i,0.032977-0.028188i,0.0066257+0.0066494i,0.0074408-9.4688e-05i,0.0025712-0.002762i,0.011822-0.0047754i,0.019266+0.0074423i,0.0081023-0.00043256i,0.0044501-0.0062797i,0.0069493-0.0018901i,0.016229+0.010308i,0.0042589+0.0048237i,0.0066328-0.0036387i,0.0056936+0.013867i,-0.0024856+0.0045295i,0.0050505+0.012096i,-0.0093867-0.014884i,-0.020564-0.0014785i,-0.0024081-0.016007i,-0.005066-0.0073951i,-0.037402-0.0070507i,-0.0060346+0.00379i,-0.012431+9.4879e-05i
