-0.024526-0.0045912i,-0.020674-0.0078684i,-0.012589-0.013315i,-0.035245-0.0077977i,-0.026977+0.0018858i,-0.035439-0.0023532i,-0.065881-0.038102i,-0.032936-0.014667i,-0.021272+0.0029699i,0.0066173+0.0057361i,-0.0050752+0.0068202i,-0.00818+0.017987i,0.0049352+0.007458i,-0.0010171+0.0034754i,0.0039577+0.0041248i,0.0042335+0.026126i,0.019455+0.019326i,0.0011875-0.00069641i,0.00037395-0.0051654i,0.0088622+0.00017776i,0.0047342-0.0012918i,0.0022372+0.0020344i,0.0010425-0.00048079i,-0.023531-0.0018788i,-0.0059708-0.0035055i,-0.001049+0.0031142i,0.0034505-0.0036931i,-0.0021091-0.0001516i,-0.00049946+0.00095227i,-0.0024224-0.0015777i,-0.0038697-0.00034539i,-0.0066567-0.0089386i,-0.0049256-0.005397i,-0.00065409-2.3998e-05i,-0.00068242-0.0023392i,-0.001512+0.020536i,0.0026389-0.0040574i,0.0010198-0.0043777i,0.0025861-0.0021981i,-0.0024626-0.003644i,0.0010811-0.00027326i,0.0076231-0.00045957i,0.0038532-0.0032365i,-9.8975e-06+0.0021427i,-0.013449+0.015048i,-0.027263+0.053459i,-0.0052322-0.03723i,-0.014851-0.018578i,-0.039963-0.016722i,-0.027297-0.012684i,0.037225-0.011501i,0.0063695-0.029796i,0.013862-0.037525i,-0.007923-0.029742i,0.026039-0.022872i,0.013355+0.0071361i,0.028011-0.036961i,-0.0017445-0.0045221i,0.0057735-0.0091614i,-0.00084965-0.0059179i,0.00011904-0.036178i,-0.01465+0.028649i,0.0090292-0.011654i,-0.0082423-0.0055648i,-0.0027184-0.0020259i,-0.00047865-0.015317i,-0.0076996+0.0061174i,0.0040256+0.0063895i,-0.0014284+0.028582i,0.0024679+0.00081744i,-0.0070953-0.0045275i,-0.0039954-0.0063114i,-0.01478-0.0099904i,-0.0022598-0.0057054i,-0.03974+0.0074395i,-0.0047559-0.0087404i,-0.01288-0.00094154i,-0.010327-0.0062293i,0.001913-0.0017949i,-0.013583+0.002377i,-0.0015793-0.000699i,0.0055564+0.0062567i,0.0037206-0.0052547i,-0.011955-0.015286i,0.0075731+0.0088185i,-0.015921+0.006768i,0.0047405+0.0003406i,-0.019695-0.0031784i,-0.016255-0.0039608i,-0.015575-0.035333i,0.020206-0.0095537i,-0.039673-0.026232i,-0.010402+0.0046966i,0.017975+0.016078i,-0.021983+0.016657i,-0.0042698-0.0036363i
-0.025473-0.0010414i,-0.019597+0.00027987i,-0.013498-0.013697i,-0.036512-0.0029879i,-0.025859+0.0027353i,-0.036903+0.0048349i,-0.071714-0.02608i,-0.034128-0.01032i,-0.019139+0.0070223i,0.0049391+0.003409i,-0.0053235+0.0056783i,0.00043588+0.02012i,0.0079397+0.0050601i,-0.0031405+0.0054968i,0.0044428+0.0025187i,0.0092877+0.020627i,0.020684+0.011619i,0.0016395+0.00011331i,-0.0011525-0.0032829i,0.0069554-0.0031545i,0.0029007-0.0023347i,0.0021957+0.0013894i,0.0010439-0.00072779i,-0.01372+0.0070613i,-0.0076636-0.0010569i,0.0023855+0.002262i,0.0006415-0.0016532i,-0.0010905+0.0015006i,0.00070255+0.00048169i,-0.0028267-0.00041331i,-0.0028807+0.00085401i,-0.0080919-0.0063935i,-0.0045796-0.0030258i,-0.00048399-4.4928e-05i,-0.00053235-0.0013302i,0.004809+0.018645i,0.0016401-0.0051006i,-0.0012523-0.0040056i,0.0026765-0.003301i,-0.0020993-0.0032634i,0.0014807-9.0537e-05i,0.0069427-0.0025768i,0.0014258-0.0032282i,-0.0015072+0.0023561i,-0.0095522+0.015944i,-0.007232+0.058688i,-0.013408-0.036464i,-0.025586-0.020407i,-0.030285-0.0047645i,-0.020385-0.0020606i,0.033503-0.033811i,0.0078008-0.044914i,0.017121-0.036835i,-0.013306-0.030811i,0.015052-0.018516i,0.011421-0.0031711i,0.0034854-0.045879i,0.00032954-0.0012697i,-0.0017054-0.017128i,-0.0020517-0.006225i,-0.023869-0.03229i,-0.002062+0.024587i,0.0030753-0.014815i,-0.010898-0.0011424i,-0.00093373-0.00098844i,-0.0074083-0.014938i,-0.0075151+0.010246i,0.0085756+0.005562i,0.015961+0.021061i,0.001293-0.0015149i,-0.0070224-0.00078442i,-0.0085199-0.0053222i,-0.018699+0.00054389i,-0.0019085-0.0042952i,-0.03493+0.017295i,-0.0082434-0.0035231i,-0.011815+0.0038637i,-0.013178-0.00020649i,-0.00099862-0.0057259i,-0.010452+0.0062205i,-0.0006762-0.0023835i,0.0034309+0.00030013i,-0.00012184-0.0058378i,-0.016809-0.0036244i,0.0087535+0.0037003i,-0.010111+0.012002i,0.0054285-0.0026278i,-0.018167+0.0042885i,-0.017788+0.00045411i,-0.020747-0.032001i,0.016148-0.017056i,-0.05016-0.010499i,-0.0016603-0.0022004i,0.019451+0.0097171i,-0.014737+0.022211i,-0.011124-0.0085358i
-0.024345+0.0025636i,-0.015057+0.00030804i,-0.015936-0.01447i,-0.037122+0.0036352i,-0.025468+0.0037454i,-0.036819+0.012341i,-0.078656-0.0088786i,-0.03655-0.0047147i,-0.016967+0.0096603i,0.0037613+0.002859i,-0.0054163+0.0083295i,0.0071739+0.016146i,0.0086782+0.0011565i,-0.0024404+0.0080569i,0.0045962+0.0013787i,0.011585+0.014525i,0.023042+0.005597i,0.0031355-5.4144e-05i,-0.0013105-0.0021817i,0.0056057-0.0044688i,0.0012985-0.0020865i,0.0031145+0.001357i,0.00073788-0.0013272i,-0.006378+0.010597i,-0.0068886+0.001234i,0.0038148-0.0014474i,0.000377-0.0010768i,0.00078193+0.001312i,0.00063585-4.9791e-06i,-0.0023545+0.0005163i,-0.002174+0.0015174i,-0.0097209-0.0029634i,-0.0044259-0.0056001i,-0.0002496-0.00011422i,-0.00033893-0.002305i,0.010241+0.014655i,0.00030272-0.0052755i,-0.0024563-0.0026796i,0.0012058-0.0050556i,-0.0035935-0.0023924i,0.0016592-0.00034125i,0.0048758-0.0051074i,0.00093283-0.0025753i,-0.0012218+0.0033091i,-0.0061692+0.015155i,0.011115+0.056698i,-0.021483-0.032553i,-0.034089-0.0095717i,-0.015894-0.0033587i,-0.013678-0.0045088i,0.023006-0.050823i,-0.006671-0.058527i,0.022382-0.04275i,-0.019166-0.02565i,0.011061-0.017674i,0.0078842-0.0069251i,0.00045084-0.038792i,0.0079266-0.0052637i,-0.011534-0.015568i,-0.0028799-0.0089881i,-0.039491-0.01846i,0.0051566+0.020815i,-0.0038633-0.015357i,-0.0078271+0.0029987i,-0.0025092-0.0014079i,-0.014215-0.011678i,-0.00074657+0.013676i,0.013192-0.00061489i,0.022543+0.0055331i,0.00052321-0.0023128i,-0.0071054+0.00017673i,-0.010486-0.0019768i,-0.015918+0.010623i,-0.006487-0.0028954i,-0.027683+0.027175i,-0.0076713+0.0007826i,-0.010047+0.0089786i,-0.013093+0.0078066i,-0.0074961-0.004404i,-0.0088035+0.0081922i,-0.0027323-0.0032113i,-0.00078755-0.00025826i,-0.0026844-0.0052037i,-0.012155+0.004937i,0.0071309-0.0013626i,-0.0052598+0.013507i,0.0019462-0.0065991i,-0.014389+0.0085736i,-0.016189+0.0048527i,-0.023502-0.027608i,0.0086385-0.019257i,-0.044639+0.0025831i,-0.0077887-0.011455i,0.018973+0.003012i,-0.0031827+0.020974i,-0.013726-0.0056174i
-0.024198+0.0058238i,-0.015148-0.0020763i,-0.019527-0.01489i,-0.034163+0.010297i,-0.025987+0.0048107i,-0.033064+0.020654i,-0.074694+0.016557i,-0.037161+0.0044303i,-0.014206+0.013377i,0.0036348+0.0028419i,-0.0023531+0.010622i,0.0093765+0.011084i,0.0075167-0.0022163i,0.00079939+0.010325i,0.0040317+0.00026814i,0.010236+0.0081093i,0.023483-0.0052096i,0.0026561-0.0015138i,-0.0018821-0.00021835i,0.0027641-0.0053544i,0.0013122-0.0015143i,0.0040972+0.00054115i,3.5433e-05-0.0015188i,0.0026562+0.013801i,-0.0053385+0.0030117i,0.0012056-0.0033952i,0.00078814-0.0017215i,0.00095933+0.00037697i,0.00087016-8.4981e-05i,-0.0023273+0.00098858i,-0.0010818+0.0021217i,-0.0090525+0.000754i,-0.010349-0.00034562i,-1.2787e-05-0.00034651i,-0.0020729-0.0020687i,0.011585+0.0094671i,-0.0014371-0.0055009i,-0.002838-0.0016913i,-0.0014675-0.004894i,-0.0028952-0.00099731i,0.0016052-0.0010713i,0.0016952-0.00541i,0.0001538-0.0022651i,-0.00067347+0.0029377i,-0.002915+0.014158i,0.027857+0.048887i,-0.027597-0.024698i,-0.033504+0.0035193i,-0.010148-0.0068103i,-0.011515-0.0049974i,0.003856-0.065859i,-0.026196-0.057321i,0.01776-0.06002i,-0.020598-0.021872i,0.0069737-0.015733i,0.0032428-0.010746i,-0.012858-0.035821i,0.0040289-0.014718i,-0.015381-0.0092557i,-0.008794-0.012098i,-0.042763+0.0039133i,0.013656+0.014471i,-0.010462-0.012658i,-0.0052286+0.0033095i,-0.0030865-0.00017384i,-0.018636-0.0053351i,0.0066234+0.009264i,0.013381-0.0080852i,0.020641-0.0074969i,-0.00045498-0.0030445i,-0.0080302+0.0015754i,-0.011752+0.0027717i,-0.01018+0.018272i,-0.0077526+0.0019629i,-0.019849+0.033577i,-0.0066066+0.0028536i,-0.0041288+0.011879i,-0.0070117+0.014323i,-0.01067+0.001875i,-0.0040961+0.0097391i,-0.003727-0.0013263i,-0.0029133+0.0017353i,-0.0057551-0.0042498i,-0.0068087+0.0056969i,0.0014885-0.0051618i,-0.002581+0.015944i,-0.0031035-0.0057158i,-0.009629+0.011734i,-0.01409+0.0058083i,-0.025501-0.02448i,0.0084579-0.017941i,-0.038711+0.016352i,-0.016359-0.011049i,0.018385-0.0035223i,0.0051284+0.014982i,-0.012531-0.0025781i
-0.022177+0.011569i,-0.018555-0.0011039i,-0.025893-0.012885i,-0.030269+0.014954i,-0.027767+0.0068041i,-0.026981+0.027223i,-0.057515+0.030616i,-0.032406+0.012125i,-0.0089502+0.014901i,0.0039024+0.0027139i,0.0013051+0.0095757i,0.0105+0.0079453i,0.0051843-0.0041201i,0.0050686+0.0095958i,0.0034055-0.00057991i,0.0073318+0.0073619i,0.014215-0.013582i,0.0001821-0.0031412i,0.00040122+0.0029698i,0.00016834-0.0053352i,0.0014549-0.0006839i,0.0037521-0.0011124i,-0.00085158-0.0011041i,0.013155+0.0076993i,-0.0033059+0.0047265i,0.00013056-0.0029923i,-0.00023277-0.0016098i,0.0016252+0.00038921i,0.0010425-0.00053278i,-0.0016837+0.0021297i,0.00028958+0.0021189i,-0.0071068+0.0041149i,-0.0071624+0.0030559i,-0.00040652-0.00059366i,-0.0022092-0.00077841i,0.01335+0.0071676i,-0.003322-0.004204i,-0.0034333-0.00067283i,-0.0029615-0.0031587i,-0.0022631-0.0022168i,0.00060721-0.0016824i,-8.3172e-05-0.0042656i,0.00012615-0.0016189i,-0.0013685+0.0033474i,-0.0014924+0.011752i,0.041104+0.034615i,-0.026517-0.013877i,-0.026223+0.014814i,-0.0066508-0.012i,-0.009384-0.0046127i,-0.024263-0.069224i,-0.040789-0.048188i,-0.0017501-0.069465i,-0.026269-0.014731i,0.0059168-0.01252i,-0.0019922-0.010829i,-0.024735-0.027342i,-0.0043019-0.016702i,-0.017279-0.0052702i,-0.018453-0.0078035i,-0.036626+0.019495i,0.015211+0.0047542i,-0.0157-0.0067639i,-0.0043162+0.0042692i,-0.0032881+0.0017635i,-0.01889+0.0039496i,0.0056532+0.0037136i,0.010252-0.012997i,0.01858-0.018317i,-0.0013096-0.0032191i,-0.0096042+0.0052406i,-0.0089577+0.0075596i,-0.0017464+0.021047i,-0.0065895+0.0061875i,-0.013981+0.042857i,-0.0065335+0.0041987i,-0.00021788+0.0098194i,0.00046703+0.015511i,-0.010998+0.0077664i,-0.0017867+0.006276i,-0.0045866-0.00054553i,-0.0027139+0.0053316i,-0.0097391-0.0012901i,-0.0059256+0.0044164i,-0.003509-0.0028384i,0.0038585+0.017074i,-0.0061313-0.003383i,-0.0028866+0.012491i,-0.014285+0.00782i,-0.030194-0.018358i,0.012669-0.024558i,-0.027366+0.031033i,-0.021919-0.003192i,0.013934-0.0097443i,0.0069879+0.0067266i,-0.011199-0.0032037i
-0.017678+0.014949i,-0.01798+0.001279i,-0.03106-0.005854i,-0.026722+0.018618i,-0.029931+0.011743i,-0.018452+0.030925i,-0.042204+0.035472i,-0.02666+0.01638i,-0.0050708+0.014393i,0.0036407+0.0028648i,0.0026763+0.0085713i,0.011501+0.0031538i,0.0028451-0.0049719i,0.0085424+0.006987i,0.0027135-0.0010916i,0.0075238+0.0082291i,0.0047142-0.012961i,-0.00081025-0.0032076i,0.0034566+0.0018568i,-0.00098573-0.0040409i,0.0021796-0.002028i,0.0026398-0.0022739i,-0.00084102-0.00031657i,0.01462-0.0026509i,-3.7892e-05+0.0053268i,-0.00026328-0.0017173i,-0.00044717+0.0019024i,0.0022369-0.00084156i,0.00067297-0.0013458i,0.00015785+0.002672i,0.0016621+0.001172i,-0.0043577+0.0054964i,-0.0047006+0.0053725i,-0.0006314-0.00019368i,-0.0016687-0.0001558i,0.015473+0.0029031i,-0.0044209-0.0024102i,-0.0040112+0.00043836i,-0.0035762-0.0021618i,-0.0036997-0.0031589i,8.9569e-05-0.0013621i,-0.00096596-0.0029892i,-6.2987e-05-0.0012856i,-0.00060607+0.0044339i,-0.0014958+0.010726i,0.038964+0.015264i,-0.017558-0.0077402i,-0.017234+0.022129i,-0.0054513-0.014432i,-0.0062418-0.0074984i,-0.049371-0.054043i,-0.052464-0.033762i,-0.019835-0.065657i,-0.021132+0.0012174i,0.011215-0.0091631i,-0.0053774-0.0087126i,-0.026971-0.0118i,-0.01093-0.016615i,-0.021085+0.00078028i,-0.018035+0.0015768i,-0.025322+0.034174i,0.013074-0.0015104i,-0.014252+0.002495i,-0.0050883+0.0046902i,-0.00031914+0.0036087i,-0.013338+0.010797i,0.0055131+0.0046662i,0.0048558-0.02286i,0.0056229-0.029435i,-0.0049524-0.0041558i,-0.0087974+0.010547i,-0.0068617+0.0098847i,0.0073427+0.019891i,-0.0027913+0.0088834i,0.0054321+0.05221i,-0.0059743+0.0052342i,0.0010518+0.0093695i,0.0064662+0.012631i,-0.0056937+0.01503i,-0.0016041+0.0072213i,-0.006568+0.0015789i,0.0011699+0.0076485i,-0.0092642+0.0080378i,-0.0065419+0.0056083i,-0.0031298+0.0029673i,0.0088008+0.012199i,-0.0081161-0.0024887i,0.00068847+0.0075591i,-0.011242+0.012614i,-0.027605-0.0061732i,0.004815-0.040359i,-0.0021929+0.033511i,-0.018648+0.0028i,0.014169-0.017563i,0.0064058-0.0010472i,-0.010358-2.5251e-05i
-0.013387+0.017374i,-0.020923+0.00075608i,-0.033733+0.0026656i,-0.022325+0.02236i,-0.028986+0.018785i,-0.010856+0.031255i,-0.030171+0.035483i,-0.021403+0.0186i,-0.002938+0.013742i,0.0052081+0.0023828i,0.0060913+0.0078693i,0.0078755-0.0012568i,0.00013911-0.0043422i,0.010689+0.0022517i,0.0021649-0.0013602i,0.0089279+0.0081392i,-0.00033894-0.0090015i,-0.0023572-0.0029189i,0.0033256-0.0010218i,-0.0013741-0.0028505i,0.0015784-0.0031134i,0.0026591-0.0025001i,-0.00061999+2.2604e-05i,0.0098421-0.009252i,0.0036723+0.0034753i,-0.0011564-0.0008862i,0.0020281-0.00057147i,0.0016499-0.0022857i,-5.8632e-05-0.0010598i,0.0013491+0.0015413i,0.0018299-0.00033198i,-0.0014221+0.0064515i,-0.0016283+0.005349i,-0.0004794+8.1553e-05i,-0.002102-9.2497e-05i,0.014728-0.0026217i,-0.0038065-6.4819e-05i,-0.0031604+0.0020905i,-0.0041468-0.00041231i,-0.0062116-0.0014405i,-0.00071827-0.0012421i,-0.00073353-0.0032263i,4.7534e-05-0.0011623i,0.0001563+0.003386i,-0.00093033+0.011072i,0.032475+0.013073i,-0.013758-0.011025i,-0.00046209+0.025402i,-0.0040303-0.016634i,-0.011126-0.012087i,-0.059188-0.033807i,-0.050933-0.014272i,-0.037755-0.058729i,-0.0079837+0.0049319i,0.014248-0.021938i,-0.0066362-0.0060598i,-0.022594-0.0060406i,-0.021636-0.011774i,-0.015108+0.011249i,-0.01546+0.0057704i,-0.005398+0.036575i,0.010659-0.0043121i,-0.012377+0.0045128i,-0.0021959+0.0039995i,-0.0011763+0.00088327i,-0.0062906+0.014823i,0.0087014+0.0017305i,-0.011306-0.023786i,-0.014833-0.024081i,-0.0056031+0.0019689i,-0.0038298+0.01391i,-0.0010753+0.011299i,0.014297+0.012481i,0.00099921+0.0090953i,0.030024+0.045364i,-0.00301+0.0067869i,0.0032274+0.0090769i,0.01003+0.0074543i,0.0033473+0.01651i,-0.0035107+0.0077822i,-0.0061388+0.0078542i,0.0061797+0.0073524i,-0.0033681+0.012258i,-0.0069675+0.0079095i,-0.0008617+0.0043529i,0.009455+0.0073374i,-0.0095599+0.0017916i,0.0021509+0.0031856i,-0.0060928+0.012744i,-0.021014-0.00097886i,-0.018121-0.043805i,0.013613+0.018099i,-0.017062+0.0071004i,0.0046209-0.027215i,0.0010782-0.0060149i,-0.004708-0.0014655i
-0.0083863+0.018229i,-0.023849+0.0075652i,-0.032604+0.012094i,-0.01628+0.024641i,-0.024212+0.025027i,-0.0050296+0.030305i,-0.021399+0.03326i,-0.01675+0.019547i,0.00030768+0.014393i,0.0061787+0.0006692i,0.0083092+0.0034445i,0.0040685-0.00096443i,-0.00101-0.0024462i,0.008861-0.0013606i,0.0016359-0.0018076i,0.011463+0.0061575i,-0.0020778-0.0051346i,-0.0033438-0.0012213i,0.0013735-0.0015094i,-0.0020028-0.0023505i,-0.00039042-0.003491i,0.001599-0.0031144i,-0.00057588+0.00038102i,0.0037833-0.012063i,0.0034756-0.00044334i,-0.00089256-0.0009076i,0.0013234-0.0029736i,8.1251e-05-0.0022694i,0.00018742-0.00085648i,0.0012085+0.00058999i,0.0010987-0.0015231i,0.0016238+0.0056581i,-0.0018814+0.0059345i,-0.00016913+7.1118e-05i,-0.0018675+0.0011219i,0.011832-0.0076051i,-0.0025969+0.00062477i,-0.0015658+0.002788i,-0.0032036+0.0007822i,-0.0057085+0.0017625i,-0.0012093-0.00055569i,-0.0015544-0.0030186i,-0.00023912-0.0012597i,-0.00052121+0.0024923i,0.00018344+0.012378i,0.038157+0.016093i,-0.014894-0.014548i,0.013879+0.018432i,-0.0044284-0.021684i,-0.014174-0.0078886i,-0.06498-0.015947i,-0.040983-0.0025i,-0.020706-0.0097435i,0.00048114-0.00013427i,0.007285-0.031168i,-0.0070598-0.0048932i,-0.01944-0.001776i,-0.027665+0.00070515i,-0.0087484+0.012877i,-0.01086+0.010204i,0.010859+0.028021i,0.016558-0.0013618i,-0.011704+0.0088016i,-0.0029094+0.00157i,-0.00099509+0.0024461i,0.0014047+0.012549i,0.0068842-0.0043159i,-0.023114-0.012853i,-0.025449-0.0083822i,-0.00043615+0.0058116i,0.0026725+0.013829i,0.0031786+0.010079i,0.018237+0.0050577i,0.0067608+0.0078273i,0.045128+0.026954i,-0.001037+0.006157i,0.0055707+0.0085862i,0.0098872+0.0017879i,0.011139+0.010258i,-0.0027533+0.014268i,-0.000598+0.012989i,0.010258+0.0025295i,0.0040342+0.01143i,-0.0060283+0.011722i,0.00071426+0.0041164i,0.009248+0.0046205i,-0.008626+0.0053091i,0.00029811+0.00027053i,-0.0037408+0.01181i,-0.01221+0.00085325i,-0.030595-0.027541i,0.016182+5.5589e-05i,-0.0048875+0.0098822i,-0.0075443-0.030364i,-0.0079191-0.006289i,-0.0069077-0.0082371i
-0.0039462+0.017322i,-0.020109+0.01524i,-0.027023+0.020874i,-0.011437+0.025112i,-0.018317+0.028593i,0.00014686+0.028778i,-0.015171+0.029732i,-0.013277+0.019585i,0.0045462+0.01377i,0.005736-0.0015011i,0.0065261-0.00024326i,0.0035238+0.0004552i,-0.00074616-0.0010134i,0.0068228-0.0033469i,0.00092081-0.001754i,0.012816+0.002872i,-0.00099495-0.0021489i,-0.0029141+0.00072477i,0.00054642-0.00080917i,-0.0027312-0.0011325i,-0.0013544-0.0023008i,0.00031898-0.0028676i,-0.00013041+0.00082792i,-0.0010995-0.010839i,0.001335-0.0012344i,-0.00095243-0.0015457i,-0.00068786-0.0037187i,-0.00084854-0.0018254i,-0.00016932-0.0012322i,0.0012345+0.00032187i,-5.48e-05-0.0023631i,0.0035887+0.0037565i,0.00086234-0.0001318i,7.2311e-05+7.9528e-05i,-0.0010352+0.0005738i,0.00709-0.009506i,-0.0017655+0.00080954i,-0.00024627+0.0030346i,-0.0031938+0.0014821i,-0.0045312+0.0035262i,-0.0011365+0.00022083i,-0.0027684-0.0023316i,-0.00024742-0.0010761i,-0.0018526+0.0033755i,0.0027369+0.013738i,0.051959+0.010957i,-0.019916-0.015401i,0.022369+0.0069204i,-0.0086564-0.021825i,-0.014344-0.0049029i,-0.063068+0.0047617i,-0.033461+0.0011031i,-0.051388-0.0094957i,0.0050335-0.0054909i,-0.0032281-0.036906i,-0.0084744-0.0040078i,-0.017901-0.0020853i,-0.020834+0.014212i,-0.0035751+0.012885i,-0.0024352+0.0096523i,0.015338+0.013842i,0.0012356-0.012681i,-0.0078189+0.012478i,-0.0050923+0.0024545i,5.6382e-05+0.0014842i,0.0029084+0.0075932i,0.00030614-0.0041323i,-0.024983+0.0019371i,-0.022326+0.0061141i,0.004068+0.0035771i,0.0065456+0.011928i,0.0048584+0.0079296i,0.015812-0.0059031i,0.0077778+0.001593i,0.048597+0.0060953i,-0.00044733+0.0074385i,0.0083671+0.0053884i,0.0075795-0.0016441i,0.012018+0.003983i,0.0045767+0.017579i,0.0081643+0.0096735i,0.0089688-0.0016941i,0.0087155+0.0060917i,-0.0005236+0.016622i,0.00136+0.0056618i,0.0087477+0.0030792i,-0.0084393+0.0084628i,-0.0043529+0.00071897i,-0.0022146+0.012285i,-0.0046152-0.003258i,-0.027831-0.01347i,0.0084305-0.013298i,0.0014714+0.0020406i,-0.022376-0.027144i,-0.011111+0.0022555i,-0.013326-0.0059939i
-0.0013318+0.015872i,-0.013505+0.018104i,-0.018638+0.026023i,-0.0073854+0.02514i,-0.011805+0.030664i,0.0045345+0.026745i,-0.012375+0.026074i,-0.010679+0.020023i,0.0078686+0.011004i,0.0044785-0.002948i,0.0036815-0.00085053i,0.0051485+0.0019724i,0.00029767-0.00076499i,0.0048576-0.0049352i,0.00077579-0.00151i,0.013052-0.0011361i,0.00048824-0.0023871i,-0.0018925+0.0018217i,0.00031589-0.0009241i,-0.0023275+0.00054958i,-0.0010745-0.0016427i,-0.00083461-0.0015932i,0.00047961+0.00095357i,-0.0041148-0.0087197i,0.00065251-0.001222i,-0.0018497-0.0012761i,-0.0025779-0.0028274i,-0.001477-0.0013027i,-0.00094837-0.0010921i,0.0011797-0.00038748i,-0.0016799-0.0020461i,0.0044911+0.0010412i,0.0034445-0.0013063i,0.00027901-0.00029705i,-0.001292+0.00055659i,0.0024366-0.0092131i,-0.0018126+0.00020377i,0.0010525+0.0024484i,-0.0023478+0.0031643i,-0.0029427+0.004883i,-0.00083431+0.00069842i,-0.0027111-0.00079645i,-0.00042421-0.001346i,-0.00090448+0.0061666i,0.0071735+0.013709i,0.064763-0.008592i,-0.026052-0.010946i,0.023838-0.0051067i,-0.0078149-0.022493i,-0.014358-0.0026127i,-0.052833+0.01936i,-0.027137+0.0049286i,-0.037029+0.0025624i,0.0052503-0.01332i,-0.016789-0.037882i,-0.0091902-0.0021645i,-0.020339-0.0016075i,-0.010437+0.017854i,-0.00046969+0.010374i,0.0014444+0.0029193i,0.010591+0.0040204i,-0.0038795-0.01176i,-0.0031342+0.013311i,-0.0050071+0.0054267i,-0.001116+0.00015067i,0.0042689+0.0026906i,-0.00081837+0.00037145i,-0.019005+0.013077i,-0.014752+0.014111i,0.0040446+0.0012799i,0.011299+0.0090157i,0.0064404+0.0063492i,0.007451-0.010866i,0.0051752-0.00156i,0.045552-0.011181i,0.0028936+0.0081649i,0.0079293+0.0021556i,0.0049215-0.0028584i,0.011693+0.0011191i,0.013232+0.016149i,0.0093999+0.003679i,0.0079072-0.0040762i,0.0083908+0.0011656i,0.0090059+0.015571i,0.0035581+0.0049553i,0.0095311-0.00052492i,-0.0033131+0.014254i,-0.0046507+0.0040258i,6.268e-05+0.012944i,-0.0033552-0.011407i,-0.023145-0.0066424i,0.0024884-0.014548i,-0.00034135-0.0052101i,-0.032764-0.017676i,-0.0071535+0.0047625i,-0.013771-0.002643i
0.001001+0.014725i,-0.0071423+0.0181i,-0.0097611+0.02751i,-0.0029338+0.025328i,-0.0050829+0.030356i,0.0081609+0.024482i,-0.010776+0.0245i,-0.0076132+0.020848i,0.0098332+0.007928i,0.0031941-0.0037342i,0.0025297-0.00029482i,0.0070102-0.00017894i,0.00046256-0.0011635i,0.0020538-0.0046894i,0.00040989-0.0017015i,0.010425-0.0048112i,5.6337e-06-0.0037054i,-0.00021489+0.0019264i,-0.00012102-0.00059536i,-0.0012931+0.0014754i,-0.00058563-0.0009968i,-0.00045621-0.00025222i,0.0010206+0.00068456i,-0.0065463-0.0065906i,-1.27e-06-0.00091544i,-0.0023458-0.00027261i,-0.0036329-0.0013691i,-0.001763-0.000589i,-0.0015308-0.00022932i,0.00036174-0.00085761i,-0.0026686-0.00080485i,0.0033064-0.0010342i,0.0027964-0.0025768i,0.00029156-0.00069413i,-0.0014867+0.00065147i,-0.00041393-0.0064814i,-0.0020504+0.00067408i,0.0017712+0.0012826i,-0.00071996+0.0040295i,-5.1821e-05+0.0056097i,-0.00050118+0.0010158i,-0.0020393+0.00018811i,-0.0010155-0.0015965i,0.0017223+0.0058449i,0.011365+0.011122i,0.060672-0.034902i,-0.028652-0.00298i,0.023981-0.015417i,-0.0093858-0.028674i,-0.013505-0.00020316i,-0.042617+0.027571i,-0.020912+0.0049032i,-0.026939+0.0063423i,0.0015273-0.017829i,-0.030243-0.032713i,-0.010111-0.00041736i,-0.025728+0.0017365i,-0.0029927+0.016655i,0.0016131+0.0057383i,-0.00060177-0.0026733i,0.0046717+0.00098986i,-0.0099349-0.010684i,0.00079155+0.012745i,-0.002659+0.0069253i,-0.0026252+0.0015872i,0.0015169+0.0045266i,0.0011143+0.0023813i,-0.010106+0.017982i,-0.0053051+0.018375i,0.004922-0.00049492i,0.014515+0.0024461i,0.0076853+0.0045779i,0.0008008-0.010041i,0.0027727-0.0022688i,0.035255-0.02579i,0.0063792+0.0071914i,0.0072401+0.00085367i,0.002136-0.0030088i,0.011344-0.0045476i,0.019952+0.0095802i,0.0077845-0.00063954i,0.0054603-0.0070012i,0.0066844-0.0021266i,0.014853+0.010028i,0.0046366+0.0050724i,0.0062304-0.0039433i,0.0045583+0.014276i,-0.0024527+0.0045241i,0.0048092+0.012571i,-0.0086983-0.015285i,-0.020514-0.0014611i,-0.0024459-0.01592i,-0.0054569-0.0073834i,-0.038089-0.0051579i,-0.0058388+0.0043293i,-0.012819-0.00013183i
