-0.023715+0.00014944i,-0.024824-5.6657e-05i,-0.015076-0.012i,-0.034848-0.01487i,-0.030607+0.00029114i,-0.032818+0.0056595i,-0.055852-0.019625i,-0.033782-0.019401i,-0.028694+0.00071698i,0.0068271+0.0037304i,-0.0034884+0.0068064i,-0.0068636+0.016473i,0.0059748+0.011124i,0.0022438+0.0034393i,0.00467+0.0034746i,0.0050662+0.018364i,0.0214+0.021884i,0.0011091-0.00087882i,0.00027454-0.0056918i,0.0068403-0.00085752i,0.0043422-0.00042876i,0.0022701+0.0019803i,0.00065178-0.00021125i,-0.018516+0.0022779i,-0.0059574-0.0040318i,-0.0014082+0.0028584i,0.0011146-0.0019138i,-0.0012886-0.00055113i,-0.0010216+0.0013243i,-0.0024389-0.0021762i,-0.0042109-0.00018122i,-0.0052658-0.0025575i,-0.0023127-0.0026547i,-0.00021042-0.0003258i,0.0004866-0.003078i,0.0010596+0.012837i,0.0011481-0.0030541i,0.0009328-0.0033649i,0.0043754-0.0023743i,-0.0032292-0.0025224i,0.00055006-0.00027563i,0.0070678-0.00063579i,0.0053916-0.0029893i,0.00057336+0.0019375i,-0.014694+0.014546i,-0.028517+0.054276i,-0.0094274-0.036532i,-0.016849-0.018558i,-0.040672-0.017i,-0.028887-0.013062i,0.037344-0.013492i,0.0061625-0.031674i,0.013891-0.039041i,-0.010849-0.030146i,0.025272-0.022287i,0.014508+0.0065148i,0.026156-0.036947i,-0.0023215-0.0040995i,0.004367-0.0091135i,-0.00018726-0.0063765i,-0.00095811-0.034429i,-0.013689+0.028287i,0.008649-0.011943i,-0.0081182-0.0047346i,-0.0030758-0.0019846i,-0.00073717-0.015057i,-0.0081468+0.006694i,0.0034375+0.0081947i,-0.00016929+0.026835i,0.0027231+0.00011904i,-0.0074483-0.0048301i,-0.004125-0.0058146i,-0.014339-0.0097436i,-0.0028733-0.0061459i,-0.030954+0.0023159i,-0.003948-0.009229i,-0.013335-0.00070887i,-0.011493-0.0060651i,0.0013436-0.0018162i,-0.014103+0.0021728i,-0.001454-0.00038701i,0.0060465+0.0060196i,0.003712-0.0052259i,-0.013861-0.014627i,0.0082133+0.009007i,-0.01674+0.0057442i,0.0052274-0.00049951i,-0.01911-0.0028757i,-0.015957-0.0035125i,-0.017463-0.034276i,0.020034-0.0097965i,-0.05234-0.022469i,-0.0066415+0.0032194i,0.01824+0.015704i,-0.020911+0.017869i,-0.0035676-0.0039829i
-0.024326+0.003628i,-0.023162+0.0063363i,-0.016443-0.011666i,-0.037058-0.010672i,-0.029593+0.0016491i,-0.032207+0.011696i,-0.057282-0.010253i,-0.035083-0.013812i,-0.025578+0.0068557i,0.005253+0.0016424i,-0.0038201+0.0058282i,0.00070309+0.018365i,0.0093327+0.007127i,0.0010099+0.0039491i,0.0050348+0.0017194i,0.0077137+0.014426i,0.021724+0.012963i,0.0019271-5.6748e-05i,-0.0015658-0.0039651i,0.0051396-0.0032144i,0.0036536-0.0022918i,0.001622+0.001066i,0.00077-0.00033156i,-0.0085643+0.00786i,-0.00777-0.0012281i,0.0013144+0.0019064i,-5.0065e-05-0.0006866i,-0.00066208+0.00070572i,0.00074827+0.0010233i,-0.0032176-0.00094356i,-0.0030875+0.0011592i,-0.0049556-0.00099188i,-0.0046498-0.0040139i,1.0847e-05-0.0006441i,0.00044872-0.0021535i,0.0041579+0.010661i,0.00064836-0.0034634i,-0.00080469-0.0032809i,0.0044299-0.0044349i,-0.0011222-0.0022748i,0.00094952+8.492e-05i,0.0065112-0.0031036i,0.0019859-0.00383i,-0.0010886+0.0020496i,-0.010273+0.015309i,-0.0076008+0.059254i,-0.016942-0.034452i,-0.028129-0.019082i,-0.029993-0.0057469i,-0.021251-0.0015631i,0.033648-0.034849i,0.0068355-0.045973i,0.015709-0.038848i,-0.015957-0.030115i,0.015038-0.01796i,0.012117-0.0037765i,0.013365-0.040827i,0.00039986-0.0011045i,-0.0024711-0.015763i,-0.0021183-0.0075527i,-0.024862-0.03128i,-0.0015081+0.023938i,0.0025451-0.015129i,-0.012397-0.0021159i,-0.0013689-0.00084883i,-0.0076093-0.01393i,-0.007033+0.010227i,0.0098043+0.0074484i,0.0154+0.019287i,0.00095751-0.0022903i,-0.0072367-0.00056761i,-0.0084493-0.0050302i,-0.020202+0.0015083i,-0.002424-0.004361i,-0.041129+0.014391i,-0.0079609-0.004371i,-0.012441+0.0037937i,-0.013684+2.7429e-05i,-0.0015123-0.0060551i,-0.011776+0.0062945i,-0.00045032-0.0026305i,0.0034834+0.00010261i,-0.00016076-0.0059836i,-0.019803-0.0021953i,0.009228+0.0035189i,-0.0099505+0.01144i,0.0053151-0.0033201i,-0.017825+0.0051763i,-0.01734+0.00092835i,-0.02284-0.030621i,0.015493-0.017126i,-0.028338-0.005239i,-0.001701-0.005368i,0.019544+0.009588i,-0.013561+0.022512i,-0.011532-0.0088254i
-0.023276+0.0076525i,-0.020068+0.0082221i,-0.019072-0.011509i,-0.039026-0.0043479i,-0.02921+0.0031225i,-0.030391+0.017978i,-0.059976+0.0014587i,-0.038113-0.008029i,-0.022357+0.010018i,0.0040416+0.00092868i,-0.0032745+0.0083795i,0.0069421+0.014763i,0.010047+0.0026618i,0.0011557+0.0049666i,0.0049052+0.00047904i,0.0092797+0.010617i,0.023763+0.0066639i,0.0033386-0.00053043i,-0.0017941-0.0025713i,0.003593-0.0041091i,0.0016776-0.0022326i,0.0021646+0.001461i,0.00065742-0.00070282i,-0.0027238+0.0090575i,-0.007105+0.00088167i,0.0018848+0.00017793i,-0.00038529-0.00030479i,0.00059406+0.00073239i,0.00075143+0.00039129i,-0.0029886+0.00031384i,-0.0021879+0.0019127i,-0.0048325+0.00076323i,-0.0055189-0.00088856i,-0.00019664-0.0011237i,0.00061375-0.0037812i,0.0067941+0.0077459i,-0.00026466-0.0032116i,-0.0020598-0.0025206i,0.0022656-0.006774i,-0.0015998-0.0026146i,0.0012982-0.00024548i,0.0041722-0.0051243i,0.0010992-0.0033615i,-0.0011024+0.0027751i,-0.0071612+0.014026i,0.010665+0.056717i,-0.024104-0.030077i,-0.035091-0.0077649i,-0.016371-0.0046795i,-0.013301-0.0048321i,0.023139-0.051561i,-0.0077317-0.058984i,0.020522-0.045112i,-0.021559-0.024419i,0.011233-0.017405i,0.0081144-0.007696i,-0.0011281-0.038691i,0.0086022-0.0057447i,-0.011067-0.013705i,-0.0034151-0.0099525i,-0.041286-0.015971i,0.0047437+0.02045i,-0.0050191-0.015416i,-0.0097634+0.0025732i,-0.0026452-0.0012497i,-0.014699-0.010744i,-0.00036094+0.013462i,0.014722-0.0002693i,0.021686+0.0050279i,0.0001463-0.0028602i,-0.0068878+0.00029088i,-0.010617-0.0013807i,-0.016083+0.010808i,-0.0069805-0.0026168i,-0.031886+0.029966i,-0.007586-0.00011681i,-0.0094345+0.0094236i,-0.013533+0.0085377i,-0.0078162-0.0041924i,-0.010165+0.0088i,-0.0016219-0.0039646i,-0.00081135-0.00029523i,-0.0034074-0.00531i,-0.011584+0.0062369i,0.0077027-0.0015703i,-0.0053229+0.012331i,0.0018789-0.0070293i,-0.013701+0.0095262i,-0.015041+0.0048184i,-0.024839-0.025912i,0.0085051-0.019001i,-0.038319+0.00058195i,-0.0098441-0.012906i,0.01977+0.0016658i,-0.0036183+0.020366i,-0.013743-0.0056647i
-0.021301+0.011638i,-0.019121+0.009137i,-0.022652-0.010542i,-0.037423+0.0027679i,-0.029704+0.0044102i,-0.025867+0.023913i,-0.056818+0.017892i,-0.039469+0.0021653i,-0.0199+0.014751i,0.0035525+0.00080985i,0.00019047+0.0098577i,0.0092664+0.010131i,0.0088726-0.0014253i,0.0030794+0.0061945i,0.0040669-0.00081194i,0.0087511+0.0059428i,0.023814-0.0025201i,0.0029434-0.002428i,-0.0026591-0.00058363i,0.0016865-0.0045495i,0.0016487-0.0015509i,0.0037419+0.00077271i,0.00027969-0.00091548i,0.0023744+0.010246i,-0.0055549+0.002327i,0.00086349-0.00311i,0.00012079-0.00047423i,0.00066999+1.1319e-05i,0.0013176+0.00041299i,-0.0028514+0.0012049i,-0.00089504+0.0024395i,-0.0037083+0.0023766i,-0.0053213+0.0011342i,-0.0004194-0.0011552i,-0.0020682-0.0038634i,0.0070003+0.0045701i,-0.0011327-0.0031606i,-0.0025341-0.0014785i,-0.0010744-0.0070831i,-0.0018215-0.0015586i,0.0012156-0.0006502i,0.0011733-0.0055965i,-0.00015778-0.002852i,-0.00064778+0.0024245i,-0.0042012+0.012879i,0.02716+0.049107i,-0.029604-0.022358i,-0.032815+0.005351i,-0.011166-0.0084176i,-0.010897-0.0059924i,0.0039468-0.066364i,-0.028144-0.057776i,0.01537-0.062471i,-0.022813-0.019854i,0.0072338-0.016033i,0.002894-0.011051i,-0.012799-0.035212i,0.0042412-0.016118i,-0.014349-0.0082307i,-0.0093318-0.012617i,-0.042561+0.0053112i,0.013719+0.015095i,-0.011343-0.012537i,-0.0067433+0.0034287i,-0.0033133-7.2123e-05i,-0.018999-0.0035735i,0.0070359+0.0093352i,0.014909-0.0083532i,0.021219-0.0077328i,-0.00089952-0.0032083i,-0.0084359+0.0016563i,-0.01099+0.0037611i,-0.011556+0.018785i,-0.0080232+0.0026742i,-0.023681+0.037126i,-0.0069972+0.0018599i,-0.0036129+0.011624i,-0.007189+0.014277i,-0.010356+0.0022209i,-0.0050748+0.010513i,-0.0034209-0.0021338i,-0.0027592+0.0016626i,-0.0060435-0.0041411i,-0.0058338+0.0064033i,0.0017017-0.0050862i,-0.0022233+0.014123i,-0.0029216-0.0061475i,-0.0081166+0.012073i,-0.013479+0.0052469i,-0.026144-0.02288i,0.0079882-0.017669i,-0.035433+0.013836i,-0.020046-0.010679i,0.019014-0.0054639i,0.0042732+0.015018i,-0.012368-0.0021374i
-0.018147+0.015697i,-0.018486+0.012088i,-0.02775-0.0072923i,-0.034596+0.0076398i,-0.031687+0.0067416i,-0.020147+0.028431i,-0.045351+0.028038i,-0.034169+0.010881i,-0.013472+0.017368i,0.0033022+0.00069191i,0.0034617+0.0079728i,0.010484+0.0069569i,0.0063452-0.003515i,0.0059033+0.0053048i,0.0031654-0.0015338i,0.0068199+0.0047838i,0.016814-0.011419i,0.00069728-0.003651i,-0.0010358+0.0026799i,-0.00013085-0.0045248i,0.002041-0.0011833i,0.0037469-0.0011426i,-0.00035646-0.00068502i,0.011509+0.0052656i,-0.0039449+0.003995i,9.4698e-05-0.0025845i,-0.00015316-0.00033374i,0.0011993+0.00013105i,0.001731-0.00039625i,-0.0018349+0.0026002i,0.00053755+0.0022514i,-0.0018906+0.0032178i,-0.0034732+0.0032168i,-0.0010511-0.0013693i,-0.0030313-0.0021927i,0.0075063+0.0031527i,-0.0020843-0.0022734i,-0.0030659-0.00052751i,-0.0036568-0.0051104i,-0.0016248-0.0024298i,0.00073312-0.0011227i,-0.00066782-0.0039419i,-0.00019542-0.0018146i,-0.0012924+0.0028562i,-0.0030702+0.010463i,0.040814+0.034994i,-0.028334-0.011615i,-0.02492+0.015409i,-0.0079831-0.012986i,-0.0085762-0.0064737i,-0.02377-0.069903i,-0.042173-0.046798i,-0.0067434-0.071293i,-0.027708-0.012736i,0.0057231-0.012939i,-0.0024898-0.011327i,-0.023675-0.026696i,-0.0046154-0.018267i,-0.015937-0.0050266i,-0.018962-0.0081759i,-0.036174+0.020615i,0.015688+0.0055235i,-0.017255-0.0063031i,-0.0054152+0.0035137i,-0.003501+0.0020075i,-0.018502+0.0051541i,0.006114+0.0033331i,0.011563-0.014131i,0.019855-0.015499i,-0.0019737-0.0031272i,-0.010324+0.0061383i,-0.007907+0.0078234i,-0.002678+0.021536i,-0.0062922+0.0072323i,-0.014793+0.046602i,-0.0071688+0.0035165i,1.2609e-06+0.0096675i,0.00035201+0.015761i,-0.010686+0.0070444i,-0.0025213+0.007177i,-0.0045809-0.00092957i,-0.0027904+0.0048032i,-0.010423-0.0012114i,-0.0051096+0.0052126i,-0.0036112-0.0026958i,0.0034216+0.015609i,-0.0062761-0.0036235i,-0.0018226+0.011867i,-0.013693+0.0077433i,-0.030759-0.017238i,0.012137-0.023948i,-0.024789+0.027974i,-0.02361-0.00074893i,0.015416-0.012276i,0.006527+0.0065437i,-0.01137-0.0028105i
-0.013779+0.018156i,-0.015262+0.014612i,-0.031289+0.00019653i,-0.032347+0.011388i,-0.03436+0.012198i,-0.012841+0.030816i,-0.034725+0.032265i,-0.027845+0.015152i,-0.0090464+0.01677i,0.0028042+0.00083284i,0.0041293+0.0063949i,0.011189+0.0023632i,0.004045-0.0045478i,0.0078499+0.0029558i,0.0022711-0.0018442i,0.0064773+0.0050178i,0.0078728-0.012709i,-0.00053036-0.0039473i,0.0019509+0.0023935i,-0.0015344-0.0034696i,0.0020378-0.0028203i,0.0028707-0.0022092i,-0.00037001-0.00024104i,0.011455-0.0029687i,-0.00070633+0.0050034i,-0.00040098-0.0011955i,0.00063806+0.0012755i,0.0015469-0.0011184i,0.0012971-0.0015792i,0.00048068+0.0032266i,0.0017699+0.0012081i,-0.00065894+0.0029661i,-0.0018226+0.0043372i,-0.0015815-0.00055181i,-0.0027093-0.00089344i,0.0084853+0.00089637i,-0.0026885-0.0012156i,-0.003373+0.00039203i,-0.0049059-0.003373i,-0.0035266-0.0033038i,0.00033878-0.0009872i,-0.0012208-0.0022644i,-0.00047039-0.0013903i,-0.00083501+0.0038398i,-0.0034049+0.0098724i,0.038361+0.015283i,-0.019264-0.0060331i,-0.015868+0.021186i,-0.0069688-0.015773i,-0.0058594-0.010323i,-0.048722-0.05491i,-0.052947-0.031998i,-0.025243-0.067285i,-0.02197+0.0025546i,0.01045-0.0099061i,-0.0061738-0.0092563i,-0.026481-0.011856i,-0.012104-0.017928i,-0.019588+0.00075117i,-0.018763+0.0013297i,-0.023537+0.034736i,0.01395-0.001546i,-0.015421+0.0031517i,-0.0062828+0.0039811i,-0.00029962+0.0039289i,-0.013157+0.011626i,0.0057099+0.0039806i,0.0053584-0.024746i,0.0074915-0.024283i,-0.0056557-0.0036929i,-0.0090228+0.011905i,-0.006215+0.0098162i,0.0063559+0.020182i,-0.0019939+0.0096926i,0.0032535+0.057359i,-0.006841+0.0046961i,0.0012529+0.0094232i,0.0062454+0.012398i,-0.0062547+0.015834i,-0.0016194+0.0078269i,-0.0067739+0.0010825i,0.00059106+0.0071405i,-0.0094325+0.0082678i,-0.0062084+0.0061781i,-0.0029991+0.0029566i,0.0074309+0.012106i,-0.008371-0.0021239i,0.0011875+0.0067265i,-0.010091+0.011941i,-0.027879-0.0048004i,0.0037459-0.03906i,-0.0039885+0.029976i,-0.02056+0.0061845i,0.01665-0.020656i,0.0060612-0.0015538i,-0.011009+0.0011422i
-0.0088673+0.019281i,-0.014167+0.015278i,-0.032045+0.0084598i,-0.02942+0.016121i,-0.03371+0.020288i,-0.0061623+0.030827i,-0.025897+0.033878i,-0.022278+0.016969i,-0.0068133+0.01678i,0.0035526+0.00060304i,0.0068229+0.0055027i,0.0080577-0.0014923i,0.0011285-0.0041646i,0.0089716-0.00054461i,0.0016513-0.0019703i,0.007395+0.0051667i,0.0020613-0.0108i,-0.0025693-0.004007i,0.0027034+0.00021157i,-0.0019785-0.0021753i,0.00084954-0.00345i,0.0034703-0.0013898i,-0.0003321+3.8843e-05i,0.007632-0.0073668i,0.0030945+0.003484i,-0.0008524-0.00053255i,0.0016558-0.00078894i,0.00096805-0.0021766i,0.00029864-0.0013807i,0.0019485+0.0018359i,0.0019935-0.00032701i,0.00062782+0.0026436i,0.0011451+0.0042355i,-0.001292+0.00022045i,-0.0033831-0.00047251i,0.0079706-0.0017144i,-0.0022177+7.983e-05i,-0.0028216+0.0015721i,-0.0054258-0.0003792i,-0.0062909-0.0015808i,-0.0003189-0.00097394i,-0.0008762-0.0023805i,-0.00037513-0.0010104i,-2.6897e-05+0.0030231i,-0.0029524+0.010532i,0.031215+0.013389i,-0.015727-0.0086298i,-0.00093813+0.023337i,-0.0061856-0.017665i,-0.011878-0.015206i,-0.059093-0.035251i,-0.051143-0.012514i,-0.049926-0.054797i,-0.0091803+0.0058709i,0.012526-0.021649i,-0.0073461-0.0063327i,-0.021952-0.0060275i,-0.022791-0.012246i,-0.014828+0.010228i,-0.015913+0.0058499i,-0.00058237+0.037077i,0.013074-0.0056762i,-0.013192+0.0058983i,-0.0027641+0.0051193i,-0.0009963+0.0011471i,-0.0063957+0.014652i,0.0082494+0.0014703i,-0.012312-0.025482i,-0.0099616-0.020513i,-0.0057601+0.0026898i,-0.0041877+0.015416i,-0.00065923+0.011429i,0.014288+0.012377i,0.0015855+0.0092331i,0.030426+0.050068i,-0.003905+0.0069832i,0.0037923+0.0090656i,0.0097312+0.0075617i,0.0049322+0.017484i,-0.0030007+0.0076709i,-0.0069255+0.0074948i,0.0053286+0.0076154i,-0.0036272+0.012427i,-0.0069291+0.0090282i,-0.00094629+0.0038731i,0.0087299+0.0075092i,-0.0095185+0.0016302i,0.0017402+0.0021826i,-0.0057615+0.012i,-0.020527-0.00020469i,-0.017601-0.04144i,0.010886+0.019031i,-0.015438+0.0096936i,0.0080045-0.0298i,0.00062269-0.0065198i,-0.0040503-0.00033284i
-0.0042102+0.019107i,-0.012344+0.019089i,-0.029406+0.016972i,-0.024042+0.019991i,-0.028746+0.027933i,-0.00073943+0.02973i,-0.018639+0.033739i,-0.01751+0.017283i,-0.0029539+0.018053i,0.0039288-0.00036363i,0.0084436+0.00087277i,0.0045808-0.0013381i,-5.1702e-05-0.0022611i,0.0072305-0.0034037i,0.0010413-0.0022379i,0.0098487+0.0036606i,-0.0017039-0.0068932i,-0.0042453-0.0016986i,0.0012803-0.00068733i,-0.0022675-0.0014172i,-0.0010621-0.0033536i,0.0023386-0.0023202i,-0.00036603+0.00037644i,0.0029678-0.0094649i,0.0033146-0.00039568i,-0.0005025-0.00028068i,0.00094118-0.0022906i,-8.3783e-05-0.0020463i,0.0006799-0.0012159i,0.001795+0.00048626i,0.0011704-0.0015171i,0.0015057+0.001613i,0.002488+0.0025514i,-0.00077799+0.00047877i,-0.0031475+0.0017498i,0.0069398-0.0042684i,-0.001309+0.00025903i,-0.0015914+0.0026377i,-0.0036734+0.0012892i,-0.0061645+0.00046233i,-0.00084389-0.00030487i,-0.0013985-0.0023051i,-0.00041711-0.00088279i,-0.00062804+0.0024979i,-0.0017759+0.012341i,0.0368+0.017335i,-0.016248-0.011366i,0.011748+0.016986i,-0.0069978-0.022399i,-0.01587-0.0099999i,-0.064889-0.017062i,-0.040691-0.00089762i,-0.14143+0.10988i,-0.00043345+0.00050921i,0.0061982-0.029912i,-0.0074484-0.0050148i,-0.018914-0.0021364i,-0.030013+0.0010654i,-0.0089403+0.011588i,-0.010829+0.0097545i,0.014489+0.025105i,0.00030071-0.0001639i,-0.011694+0.010475i,-0.0029732+0.0023398i,-0.0012205+0.0027436i,0.0012945+0.012384i,0.0062224-0.0043183i,-0.024201-0.013094i,-0.02026-0.0086107i,-0.00024313+0.0065836i,0.0031653+0.015516i,0.0037439+0.009974i,0.017849+0.0050512i,0.0069141+0.0076069i,0.047663+0.030238i,-0.0015547+0.0066463i,0.0062611+0.0079603i,0.00909+0.0017295i,0.012348+0.010025i,-0.002636+0.013525i,-0.0012244+0.012525i,0.009371+0.0034362i,0.0041264+0.011468i,-0.0058684+0.012886i,-0.00011341+0.0036995i,0.0088335+0.005093i,-0.0088495+0.005116i,-0.00027827-4.5692e-05i,-0.0036419+0.011171i,-0.011911+0.0017315i,-0.029936-0.025789i,0.015495+0.0034193i,-0.004556+0.011714i,-0.0083984-0.033369i,-0.0074439-0.0064528i,-0.0067041-0.0066753i
-0.00042581+0.01769i,-0.0073807+0.022325i,-0.022958+0.024347i,-0.019632+0.021451i,-0.021938+0.032615i,0.0043406+0.028177i,-0.012524+0.032272i,-0.014868+0.016743i,0.0024872+0.017663i,0.0035947-0.0015672i,0.005765-0.0024817i,0.0036995+0.00028493i,0.00051441-0.00090063i,0.0048209-0.0049949i,0.0004476-0.0020687i,0.012204-0.0012232i,-0.0010795-0.0027471i,-0.0033004+0.00082874i,0.0006497-0.00037029i,-0.0026085-0.00033947i,-0.0018724-0.0020479i,0.00071912-0.0025126i,8.5583e-05+0.00088122i,-0.00090538-0.0084538i,0.0012055-0.0011217i,-0.00046569-0.00082532i,-0.0006106-0.0024784i,-0.0007684-0.0020379i,0.00016895-0.0020989i,0.0015593-0.00014267i,-1.0066e-05-0.0023286i,0.001891+0.0005115i,0.0024408+0.00058354i,-0.00014085+0.00074716i,-0.0015634+0.0015359i,0.0040521-0.0062853i,-0.00087543-1.3915e-05i,1.8119e-05+0.0027471i,-0.0035128+0.0021509i,-0.0045302+0.0020275i,-0.00065218+0.00038182i,-0.0023399-0.0016206i,-0.00026204-0.00076405i,-0.0017896+0.0034561i,0.0008207+0.014103i,0.051314+0.012621i,-0.020478-0.011533i,0.019761+0.0064718i,-0.010756-0.022467i,-0.016078-0.006347i,-0.063744+0.003541i,-0.033242+0.0024768i,-0.053857-0.022821i,0.0027897-0.0052691i,-0.0045828-0.035168i,-0.0087842-0.0045741i,-0.017849-0.0023605i,-0.023184+0.015814i,-0.0044575+0.012008i,-0.0029542+0.0082819i,0.015844+0.011442i,0.0031109-0.012026i,-0.0082068+0.013993i,-0.0051859+0.0027031i,0.00010284+0.002008i,0.003218+0.006801i,-0.00033121-0.0036852i,-0.026481+0.0019892i,-0.019908+0.0031523i,0.0048209+0.0043012i,0.0075704+0.013224i,0.0049342+0.0075905i,0.015771-0.0069898i,0.0077802+0.0016384i,0.052274+0.0077173i,-0.001073+0.0082925i,0.0088625+0.0044661i,0.0067971-0.00069648i,0.012816+0.0035547i,0.0045699+0.016822i,0.0074077+0.0091253i,0.0084609-0.00070671i,0.0084501+0.0059625i,-0.00025425+0.017271i,0.00012783+0.0054968i,0.0089114+0.0031966i,-0.0083919+0.0083873i,-0.0045107+0.00053939i,-0.0023026+0.011637i,-0.0041916-0.0020594i,-0.027425-0.012662i,0.010541-0.0056441i,0.0044002+0.0039496i,-0.023999-0.029445i,-0.01086+0.0015236i,-0.012224-0.0046146i
0.0021115+0.015967i,-0.0016333+0.022627i,-0.014721+0.028298i,-0.016321+0.022939i,-0.01432+0.035369i,0.008612+0.025734i,-0.0084874+0.030715i,-0.013112+0.017373i,0.0070293+0.015167i,0.0028677-0.0025139i,0.0028786-0.0025025i,0.005087+8.919e-05i,0.0016752-0.0011235i,0.0029432-0.0055031i,0.00018899-0.001867i,0.0077604-0.0045726i,0.00057961-0.0027965i,-0.0031737+0.0017861i,0.00040527-0.00052122i,-0.0020821+0.0010455i,-0.002072-0.0012103i,-0.00053135-0.0016042i,0.00073468+0.00092215i,-0.003479-0.0065447i,0.00070132-0.0011949i,-0.0011367-0.00063879i,-0.0015795-0.0018664i,-0.0016279-0.0016353i,-0.0010981-0.0020432i,0.0011643-0.00090438i,-0.0016852-0.0020693i,0.00143-0.00075838i,0.0016768-0.00053822i,0.00037461+0.00039522i,-0.0014286+0.001521i,0.00055901-0.0052545i,-0.0013773-0.00048526i,0.0010801+0.0020751i,-0.0017597+0.0040763i,-0.0029729+0.0042548i,-0.00038433+0.00068487i,-0.0022816-0.00039782i,-0.00038806-0.00099156i,-0.00078132+0.00587i,0.0054131+0.014332i,0.063955-0.0074741i,-0.025413-0.0074357i,0.020973-0.0048455i,-0.010379-0.023035i,-0.016111-0.0034485i,-0.053424+0.019146i,-0.026801+0.0054856i,-0.040592-0.0017422i,0.0030294-0.011673i,-0.017359-0.034648i,-0.0096747-0.0024932i,-0.020175-0.0014083i,-0.01225+0.020309i,-0.0010604+0.011504i,-6.085e-05+0.0013354i,0.010217+0.0023514i,-0.0033176-0.012697i,-0.0031449+0.015307i,-0.0042624+0.0085882i,-0.00088165+0.00037407i,0.0043327+0.0038824i,-0.0012655+0.00067198i,-0.020907+0.014563i,-0.014546+0.011807i,0.0049353+0.0013921i,0.01265+0.009551i,0.0062417+0.0060925i,0.0074622-0.011606i,0.0052252-0.0015397i,0.047966-0.011194i,0.0025433+0.0090016i,0.0083842+0.0014108i,0.0050957-0.0018131i,0.012211+0.00030475i,0.013818+0.015744i,0.0085154+0.003181i,0.0069162-0.0026047i,0.0081145+0.0014272i,0.007764+0.016378i,0.0031311+0.0051908i,0.0094593-0.00019487i,-0.0032038+0.013471i,-0.004048+0.0033337i,-0.00034438+0.012667i,-0.0028114-0.010097i,-0.023243-0.0071226i,0.00034035-0.010351i,0.0038103-0.0064035i,-0.036464-0.020312i,-0.0070995+0.0042319i,-0.011758-0.0021489i
0.0044177+0.014473i,0.0037825+0.020891i,-0.0060182+0.029235i,-0.012198+0.025i,-0.0063627+0.035454i,0.012022+0.023129i,-0.0046641+0.030055i,-0.010531+0.018765i,0.010305+0.012i,0.0018769-0.0033462i,0.0018036-0.001732i,0.005661-0.0014594i,0.001704-0.0018739i,0.00083299-0.0054768i,-0.00019983-0.001899i,0.0058381-0.0051869i,6.4317e-05-0.0042425i,-0.0014212+0.0036154i,4.7681e-05-0.00025571i,-0.00094489+0.0017635i,-0.0022208-0.00054523i,-0.00046755-0.00057858i,0.0013087+0.00072686i,-0.0051608-0.0043852i,1.2253e-05-0.00088417i,-0.0014136+1.4978e-05i,-0.0023772-0.00093287i,-0.0020156-0.00069002i,-0.0021047-0.0013173i,4.016e-06-0.0012857i,-0.0028189-0.00091248i,0.00035624-0.0011581i,0.00095361-0.0015736i,0.00068306-0.00024957i,-0.0013057+0.0014434i,-0.00068071-0.0034233i,-0.0018767+7.1062e-05i,0.0016328+0.0011591i,0.00077958+0.00419i,-0.00049748+0.0054578i,-0.00014668+0.00082125i,-0.0017374+0.00035042i,-0.00083737-0.0011878i,0.0014914+0.0055696i,0.0097476+0.011831i,0.060109-0.033198i,-0.027027-0.00030976i,0.020672-0.014923i,-0.01222-0.028488i,-0.01517-0.00041194i,-0.04269+0.027548i,-0.021139+0.0051303i,-0.029591+0.0045248i,0.00018658-0.015277i,-0.028737-0.029878i,-0.0106-0.00059664i,-0.0256+0.0021544i,-0.0036283+0.019091i,0.00087541+0.0064728i,-0.0029374-0.0038841i,0.0039436+0.00035198i,-0.0097753-0.011919i,0.0015766+0.014592i,-0.0017153+0.0073675i,-0.0024655+0.0014842i,0.0019203+0.0054704i,0.00068591+0.0025506i,-0.010967+0.020192i,-0.0060304+0.016918i,0.0056947-0.00041246i,0.015753+0.0023036i,0.0074657+0.0044035i,0.00042911-0.010174i,0.0028657-0.0021401i,0.037511-0.024921i,0.0062663+0.0085329i,0.0083221+0.00017009i,0.0025135-0.0022924i,0.011076-0.0054002i,0.020338+0.0089209i,0.0073108-0.00047237i,0.0052425-0.004536i,0.0066753-0.0017457i,0.01475+0.011049i,0.0039943+0.0051228i,0.0065102-0.0035033i,0.0041508+0.01306i,-0.0023788+0.0040152i,0.0043441+0.012357i,-0.0075909-0.013977i,-0.019911-0.001848i,-0.003406-0.012399i,-0.0033367-0.010838i,-0.043194-0.0049477i,-0.0057219+0.0039712i,-0.011181-0.0010466i
