-0.024336-0.0046285i,-0.021671-0.0090369i,-0.012753-0.013539i,-0.035826-0.0082503i,-0.027336+0.0015242i,-0.035916-0.0029346i,-0.065695-0.038761i,-0.033158-0.014627i,-0.022977+0.0030546i,0.0066115+0.0053689i,-0.005241+0.0074243i,-0.0079023+0.01826i,0.0055877+0.0073364i,-0.00088848+0.0035452i,0.0041117+0.0042273i,0.0042842+0.026465i,0.019348+0.018807i,0.0012472-0.00091648i,0.00052178-0.0051777i,0.0087348+0.00030069i,0.0052227-0.0020509i,0.0026086+0.0025305i,0.0010813-0.00051972i,-0.02321-0.0013378i,-0.0058083-0.0029909i,-0.0010988+0.0030479i,0.003184-0.0031578i,-0.0019731+0.00011567i,-0.00065804+0.00097096i,-0.0026178-0.0015962i,-0.0038768-0.00050779i,-0.0064479-0.0088128i,-0.0058595-0.0039735i,-0.00067721-5.6805e-05i,-0.00077944-0.0021382i,-0.00065258+0.020318i,0.002695-0.0038862i,0.0010679-0.0044976i,0.0024565-0.0020129i,-0.0021303-0.003419i,0.0010011-0.00024927i,0.0078049+0.0014458i,0.0042678-0.0022558i,0.00010215+0.0023325i,-0.014799+0.015544i,-0.028283+0.053401i,-0.0054792-0.03805i,-0.014145-0.01851i,-0.040141-0.017182i,-0.027181-0.012811i,0.037132-0.010915i,0.0059361-0.030548i,0.013673-0.037564i,-0.0086102-0.030602i,0.02616-0.022903i,0.013343+0.0075555i,0.03398-0.037735i,-0.0016389-0.0039283i,0.0061343-0.00867i,-0.0010421-0.0060449i,-1.0932e-05-0.035344i,-0.014984+0.028567i,0.0090188-0.011388i,-0.0082524-0.004636i,-0.0025005-0.0022088i,-4.7644e-05-0.015634i,-0.0076901+0.0057639i,0.0041266+0.0066605i,-0.00059825+0.027937i,0.0024962+0.00044223i,-0.0068743-0.0042961i,-0.0041506-0.0063892i,-0.013976-0.0097942i,-0.002179-0.005902i,-0.040878+0.014731i,-0.005197-0.0085529i,-0.012897-0.00082782i,-0.0075681-0.0063958i,0.0017602-0.0015591i,-0.013618+0.0016447i,-0.0014774-0.0004946i,0.0058064+0.006043i,0.0037478-0.005097i,-0.01199-0.01406i,0.0073845+0.0089023i,-0.014315+0.0047121i,0.0052009-0.00016578i,-0.019247-0.002985i,-0.016356-0.0041439i,-0.015162-0.036036i,0.019884-0.009839i,-0.040163-0.024682i,-0.0098615+0.0050023i,0.018616+0.015808i,-0.02235+0.016412i,-0.0040793-0.0043191i
-0.025393-0.0012577i,-0.020891-0.0010071i,-0.013857-0.01392i,-0.037103-0.0029972i,-0.026446+0.0022865i,-0.03751+0.0042288i,-0.071426-0.026967i,-0.03413-0.010164i,-0.020573+0.0074938i,0.0050566+0.0035015i,-0.0051366+0.0061568i,0.00075864+0.020494i,0.0080381+0.0046527i,-0.0030497+0.0054385i,0.0046064+0.0025808i,0.0093509+0.020968i,0.020783+0.011149i,0.0017594-9.1376e-05i,-0.0010734-0.0032393i,0.0071876-0.0031863i,0.0029278-0.0029583i,0.0026274+0.0016909i,0.0010515-0.00078151i,-0.013165+0.0073104i,-0.0074888-0.00060456i,0.0021823+0.0023201i,0.00033028-0.0014146i,-0.00099938+0.0018299i,0.00051016+0.00049713i,-0.0030744-0.00044098i,-0.0029302+0.00081442i,-0.0079082-0.0063514i,-0.0038814-0.0003912i,-0.00045147-0.0001248i,-0.00057402-0.0012454i,0.0048235+0.017741i,0.0017787-0.004824i,-0.0010759-0.0040447i,0.0026876-0.0030281i,-0.0012957-0.0036046i,0.0013555-3.9718e-05i,0.0090101-0.0027483i,0.0021251-0.0028488i,-0.0013451+0.0026015i,-0.01075+0.016667i,-0.0085276+0.059397i,-0.014007-0.036862i,-0.024918-0.020076i,-0.031261-0.0052955i,-0.020353-0.002146i,0.034296-0.033093i,0.0072449-0.04627i,0.017008-0.037658i,-0.013953-0.031096i,0.014791-0.018851i,0.011579-0.0029316i,0.0060038-0.05137i,0.00069714-0.00088533i,-0.0008727-0.017167i,-0.0021685-0.006329i,-0.022959-0.031919i,-0.0027853+0.02503i,0.0035304-0.015422i,-0.01081-0.0013281i,-0.00091309-0.00091033i,-0.0072104-0.015104i,-0.0073413+0.010085i,0.0088964+0.0060516i,0.015585+0.021538i,0.000925-0.0019109i,-0.0068478-0.0007494i,-0.008316-0.0052285i,-0.018205+0.00049217i,-0.0018312-0.0047458i,-0.032279+0.02283i,-0.0083792-0.0033661i,-0.012321+0.0036578i,-0.01213-0.00021117i,-0.0011881-0.0059229i,-0.010874+0.0063307i,-0.00033793-0.0021653i,0.0031371+0.00030747i,-0.00025376-0.0056993i,-0.015354-0.0056114i,0.0084162+0.0035044i,-0.010571+0.010504i,0.0049758-0.0029506i,-0.01709+0.0038652i,-0.017932+0.00034996i,-0.020817-0.032377i,0.016373-0.016996i,-0.044103-0.006811i,-0.0018341-0.0023515i,0.019451+0.0092652i,-0.015093+0.022657i,-0.011811-0.0089296i
-0.024739+0.0025547i,-0.01676-0.00050158i,-0.016449-0.014618i,-0.037663+0.0036898i,-0.026178+0.0034309i,-0.037627+0.012018i,-0.078325-0.0099976i,-0.036674-0.0047982i,-0.01819+0.01032i,0.0041139+0.0028935i,-0.0051405+0.0087439i,0.0077021+0.016223i,0.0085113+0.001009i,-0.0022994+0.0079612i,0.0046656+0.0014497i,0.011805+0.014772i,0.022251+0.0042588i,0.0032001-0.00067989i,-0.0010943-0.0022565i,0.0056202-0.0049229i,0.0012025-0.0022214i,0.0036576+0.0012796i,0.00076125-0.0013305i,-0.0061595+0.010346i,-0.0066831+0.0016929i,0.0045452-0.0017198i,0.00012015-0.00099496i,0.0010118+0.0016639i,0.00048252+0.00013173i,-0.0025542+0.00057819i,-0.0022333+0.0015846i,-0.0094325-0.0026737i,1.6489e-05-0.004191i,-0.00026416-0.00024478i,-0.0003807-0.0020681i,0.0091203+0.014285i,0.00027277-0.0049466i,-0.0022734-0.0028468i,0.0012689-0.0049711i,-0.0024258-0.003561i,0.0016194-0.00038826i,0.0052702-0.005782i,0.0017163-0.0024851i,-0.0010842+0.0033806i,-0.0072628+0.016012i,0.010671+0.057466i,-0.021822-0.033116i,-0.033167-0.010054i,-0.017081-0.0033088i,-0.013744-0.0047881i,0.024444-0.050843i,-0.0081288-0.059223i,0.022585-0.044023i,-0.019387-0.025778i,0.010579-0.018218i,0.0083112-0.0066495i,0.00026849-0.039199i,0.008154-0.0049615i,-0.011661-0.015249i,-0.0028486-0.0090035i,-0.039559-0.019391i,0.004389+0.021507i,-0.0037522-0.015964i,-0.0086152+0.0023692i,-0.0020987-0.00112i,-0.013884-0.011617i,0.00010492+0.013548i,0.013935-0.00027808i,0.023373+0.0070201i,5.1615e-05-0.0023088i,-0.0068506-0.00029803i,-0.01069-0.0023117i,-0.015028+0.010883i,-0.0068316-0.0033579i,-0.025194+0.030179i,-0.0076249+0.00069915i,-0.010312+0.0091288i,-0.012999+0.0082529i,-0.0071116-0.0038418i,-0.0090217+0.0090579i,-0.0029356-0.0026278i,-0.00089072-0.00032645i,-0.0027899-0.0053716i,-0.011535+0.0042763i,0.0068616-0.0014271i,-0.0057349+0.011834i,0.0020103-0.0073055i,-0.013643+0.0082126i,-0.016088+0.0046362i,-0.023546-0.027644i,0.0090274-0.019227i,-0.0423+0.0031359i,-0.0070458-0.011589i,0.018944+0.0025847i,-0.0036022+0.020973i,-0.015059-0.00543i
-0.024397+0.0067324i,-0.016647-0.0027271i,-0.02009-0.014955i,-0.034883+0.010585i,-0.026619+0.0046136i,-0.034061+0.020667i,-0.075247+0.015268i,-0.037425+0.0043739i,-0.015749+0.01422i,0.0038422+0.0027577i,-0.0017224+0.010906i,0.0098181+0.011158i,0.0075489-0.0020379i,0.0009775+0.010166i,0.0041478+0.00022377i,0.010364+0.0083831i,0.021305-0.0048417i,0.0029363-0.0020586i,-0.001895-0.00028019i,0.0028472-0.0061992i,0.0012859-0.0015826i,0.0045654+4.3546e-05i,9.4021e-05-0.0015195i,0.0029666+0.013713i,-0.0050832+0.0030017i,0.0011279-0.0034813i,2.7469e-05-0.0021061i,0.0010267+0.00046333i,0.00084129+9.3891e-05i,-0.0023647+0.0011964i,-0.0010964+0.0022444i,-0.0087777+0.0011007i,-0.0078877-0.0064238i,-0.00010797-0.00040578i,-0.0018452-0.0018261i,0.010932+0.010221i,-0.0014136-0.0052359i,-0.002751-0.001837i,-0.0013246-0.0048219i,-0.0022708-0.0018181i,0.0014627-0.0011374i,0.0019414-0.0057806i,0.00061476-0.0029117i,-0.0005384+0.0028502i,-0.0038585+0.015167i,0.027816+0.049735i,-0.027738-0.025686i,-0.033537+0.0027502i,-0.011114-0.0067037i,-0.011904-0.0050111i,0.005184-0.066203i,-0.027662-0.057499i,0.018054-0.061635i,-0.021158-0.022044i,0.0065335-0.016687i,0.0038083-0.010822i,-0.013304-0.035907i,0.0042006-0.014625i,-0.014888-0.0093315i,-0.0086649-0.011976i,-0.044211+0.002473i,0.013142+0.014994i,-0.010294-0.013358i,-0.0066264+0.002871i,-0.0026699-0.00022378i,-0.018466-0.0049453i,0.0069235+0.0092232i,0.013733-0.0079868i,0.021362-0.0059319i,-0.00077082-0.0027149i,-0.0079493+0.0010871i,-0.012181+0.0026142i,-0.009581+0.018679i,-0.0080511+0.0018858i,-0.018374+0.035189i,-0.0065762+0.0025086i,-0.0044506+0.012153i,-0.0067507+0.014528i,-0.009707+0.0016851i,-0.0040364+0.010387i,-0.0038344-0.0012101i,-0.0028539+0.0017461i,-0.0060632-0.0044064i,-0.0067973+0.0057997i,0.0011941-0.0055043i,-0.0022903+0.013626i,-0.0032154-0.0067766i,-0.0090018+0.010996i,-0.013894+0.0057201i,-0.025229-0.024711i,0.0089093-0.017537i,-0.037396+0.017082i,-0.015201-0.011381i,0.018657-0.0037122i,0.0041567+0.015321i,-0.013524-0.0018025i
-0.022372+0.011746i,-0.020005-0.0015614i,-0.026725-0.012787i,-0.030869+0.015756i,-0.028432+0.0065708i,-0.027916+0.027332i,-0.058359+0.029758i,-0.0326+0.012457i,-0.0099517+0.016436i,0.0039847+0.0026569i,0.0020697+0.0096391i,0.011176+0.0078007i,0.0052293-0.0039891i,0.0050807+0.0089834i,0.0035404-0.00067687i,0.0076079+0.0075977i,0.01343-0.0104i,0.0003201-0.0031712i,0.00042044+0.0029012i,-0.0009102-0.0055197i,0.001512-0.00085888i,0.0041605-0.0016196i,-0.00078033-0.0011596i,0.01277+0.0074394i,-0.0031828+0.0047707i,0.00053195-0.0030668i,-0.0009463-0.0014415i,0.0017152+0.00047195i,0.0010693-0.00043939i,-0.001582+0.0022599i,0.00035468+0.002191i,-0.006871+0.0041634i,-0.0076184+0.00028393i,-0.00051694-0.00066261i,-0.0019242-0.00067784i,0.012802+0.0074817i,-0.0033023-0.0040319i,-0.0034527-0.00073272i,-0.0026533-0.0030949i,-0.0014737-0.0025434i,0.00056827-0.0017759i,0.00011035-0.0044485i,1.5274e-05-0.0019846i,-0.0015603+0.0033151i,-0.0021306+0.012732i,0.041766+0.035551i,-0.027209-0.014873i,-0.025687+0.014564i,-0.0072668-0.011691i,-0.0094923-0.0043332i,-0.023122-0.069707i,-0.041779-0.047883i,-0.0020746-0.070942i,-0.027245-0.014777i,0.0054699-0.013357i,-0.0017672-0.010936i,-0.02414-0.026756i,-0.0041771-0.016406i,-0.0174-0.0057814i,-0.018151-0.0075178i,-0.037191+0.018922i,0.014532+0.0050621i,-0.016386-0.008169i,-0.005425+0.0036008i,-0.0031988+0.0016866i,-0.017815+0.0041486i,0.0059206+0.0039194i,0.010703-0.012927i,0.016859-0.016599i,-0.0016896-0.0028606i,-0.0095512+0.0050311i,-0.0092564+0.007521i,-0.0015804+0.020799i,-0.0068058+0.0061189i,-0.008381+0.042033i,-0.0066268+0.0040056i,-0.00021754+0.0098399i,0.00075082+0.015503i,-0.0098835+0.0064398i,-0.0019673+0.0068797i,-0.0047457-0.00028346i,-0.002486+0.0052085i,-0.0096782-0.0012245i,-0.0053473+0.0051178i,-0.0041542-0.0029754i,0.0039401+0.014525i,-0.0068855-0.0045469i,-0.0025909+0.01182i,-0.01411+0.0082349i,-0.030416-0.018789i,0.013216-0.024091i,-0.026824+0.031118i,-0.020243-0.0040321i,0.01492-0.010868i,0.0061166+0.0068252i,-0.011673-0.0028407i
-0.018252+0.014971i,-0.019618+0.0012298i,-0.031763-0.0054217i,-0.026899+0.019275i,-0.030752+0.011766i,-0.019479+0.031312i,-0.043158+0.034747i,-0.026651+0.016776i,-0.0056965+0.016017i,0.0037508+0.0029121i,0.0034736+0.0080998i,0.011993+0.0026162i,0.0028447-0.0048225i,0.007736+0.0066624i,0.0027757-0.0011552i,0.0077671+0.0085735i,0.006405-0.010054i,-0.00083633-0.0032073i,0.0034354+0.0017217i,-0.0014301-0.0040306i,0.0021172-0.0023149i,0.002974-0.0030427i,-0.00081335-0.00038915i,0.014023-0.0025764i,0.00012873+0.005294i,5.2476e-05-0.00155i,-0.00052205+0.0022346i,0.0021619-0.00087858i,0.0006321-0.0012462i,0.0002867+0.0027454i,0.0017278+0.0011858i,-0.0045532+0.0057434i,-0.0061851+0.001973i,-0.00078768-0.00015965i,-0.0014584-9.7758e-05i,0.01467+0.0033408i,-0.004402-0.0023186i,-0.0039321+0.00033155i,-0.0032991-0.0021423i,-0.0026672-0.0038431i,6.8807e-05-0.0013945i,-0.00086738-0.0032245i,-0.00022462-0.0016285i,-0.00074053+0.0044921i,-0.0018719+0.011892i,0.040163+0.01611i,-0.018152-0.0084549i,-0.016912+0.021066i,-0.0057347-0.013923i,-0.0062547-0.0075894i,-0.048258-0.054614i,-0.052988-0.033531i,-0.020323-0.067717i,-0.022208+0.00099269i,0.010763-0.0098482i,-0.0052006-0.0088435i,-0.026255-0.011448i,-0.01085-0.016525i,-0.021458+0.00066167i,-0.017581+0.0017736i,-0.026632+0.031888i,0.012591-0.00092116i,-0.014853+0.0025111i,-0.0061444+0.0037691i,-0.00035145+0.0036946i,-0.013532+0.01059i,0.0058601+0.0046938i,0.0054354-0.022571i,0.0026871-0.030383i,-0.0054503-0.0036314i,-0.0086606+0.010089i,-0.0068885+0.0097499i,0.0065292+0.019594i,-0.0030235+0.009043i,0.0060555+0.051838i,-0.0060263+0.0052161i,0.000692+0.0094034i,0.0063926+0.012697i,-0.0051807+0.014204i,-0.0012685+0.008007i,-0.006771+0.0017639i,0.0016282+0.0074014i,-0.0096101+0.0070122i,-0.0063974+0.0055343i,-0.0032789+0.0027479i,0.0077637+0.011541i,-0.009166-0.0023642i,0.00051411+0.0073459i,-0.010439+0.012268i,-0.028298-0.0062593i,0.0050054-0.040249i,-0.0023899+0.033194i,-0.018105+0.0018468i,0.013632-0.018568i,0.0063304-0.00059856i,-0.011185+0.00052392i
-0.013688+0.017735i,-0.022578+0.0011744i,-0.034051+0.0031567i,-0.022557+0.022699i,-0.02971+0.019127i,-0.011765+0.032023i,-0.03117+0.034871i,-0.021215+0.018885i,-0.0032232+0.015598i,0.0054143+0.0022739i,0.006418+0.0072222i,0.0080557-0.0018278i,0.00026799-0.0042029i,0.010106+0.0028682i,0.002236-0.0014563i,0.0092918+0.0087609i,0.0020361-0.0079035i,-0.0022817-0.0033646i,0.0034557-0.0014331i,-0.0017641-0.0029541i,0.0012542-0.0030818i,0.0031289-0.0031915i,-0.00064677+1.4689e-06i,0.0093884-0.0089914i,0.0036932+0.0032543i,-0.0014158-0.00074455i,0.002086-0.00074402i,0.0014737-0.0023333i,-1.567e-06-0.00096564i,0.0014502+0.0015822i,0.0018913-0.00026602i,-0.0012097+0.0067517i,-0.0046147+0.0030794i,-0.00051578+0.00025977i,-0.0018517+0.00012234i,0.014083-0.001425i,-0.0037661-7.864e-05i,-0.0032962+0.001965i,-0.0038397-0.000372i,-0.0052765-0.0022371i,-0.00071172-0.0013786i,-0.00071952-0.0033364i,-0.00024767-0.0013881i,3.9497e-05+0.0033953i,-0.0010213+0.01216i,0.033595+0.012077i,-0.014338-0.0119i,-0.0010989+0.024177i,-0.0039288-0.016003i,-0.011235-0.012317i,-0.058821-0.034867i,-0.051091-0.01394i,-0.039668-0.061397i,-0.009022+0.0051905i,0.013822-0.022768i,-0.0064776-0.0059311i,-0.021546-0.0058587i,-0.021331-0.011817i,-0.015722+0.011226i,-0.014934+0.0057974i,-0.006863+0.035735i,0.01142-0.0034784i,-0.01273+0.0053782i,-0.0035695+0.0051564i,-0.0011004+0.00076246i,-0.0063773+0.014717i,0.0089836+0.0015394i,-0.011-0.023682i,-0.016285-0.023758i,-0.0053682+0.0028282i,-0.0041768+0.013659i,-0.0016196+0.01119i,0.013777+0.012034i,0.00090612+0.0092594i,0.031004+0.043689i,-0.0031431+0.0065525i,0.003267+0.0092822i,0.010295+0.0078312i,0.0035636+0.015317i,-0.0024446+0.0085662i,-0.00686+0.0082509i,0.0061668+0.0072256i,-0.0040431+0.011955i,-0.0071336+0.0084822i,-0.0011357+0.0043428i,0.0090934+0.007095i,-0.0098292+0.0016504i,0.0019657+0.0030989i,-0.005711+0.012536i,-0.021542-0.0013427i,-0.017499-0.042869i,0.013596+0.018026i,-0.016516+0.0055385i,0.004142-0.027193i,0.0011063-0.0059331i,-0.0048284-0.0010196i
-0.0085049+0.018425i,-0.025421+0.0083883i,-0.032711+0.012661i,-0.016634+0.024933i,-0.024884+0.02553i,-0.0057156+0.031113i,-0.022485+0.033145i,-0.016444+0.019756i,0.00044424+0.016064i,0.0060968+0.00043192i,0.008029+0.0027194i,0.0041765-0.0012454i,-0.0008049-0.0024471i,0.0087105-0.00077727i,0.0016559-0.0018928i,0.012154+0.0073082i,-0.00025604-0.0048536i,-0.0041199-0.0022669i,0.001265-0.0018082i,-0.0023697-0.0024472i,-0.00046424-0.0031731i,0.0018522-0.0037274i,-0.0006362+0.00037421i,0.0035335-0.011947i,0.0030514-0.00018061i,-0.0010475-0.00088161i,0.00099346-0.0032954i,-8.1824e-05-0.0022971i,0.00019325-0.00083938i,0.0012548+0.00058936i,0.001172-0.00155i,0.0016905+0.0055652i,-0.0060477+0.0010438i,-8.5625e-05+0.00022639i,-0.0015505+0.0012382i,0.012403-0.0059309i,-0.0025199+0.00055456i,-0.0017549+0.002867i,-0.0029219+0.00092661i,-0.0057754+0.00032854i,-0.0012865-0.00063593i,-0.0014352-0.0031435i,-0.00063687-0.0013503i,-0.00065986+0.0027193i,0.00035256+0.013458i,0.038093+0.015287i,-0.015768-0.014754i,0.011785+0.018382i,-0.0040116-0.021196i,-0.014411-0.0077081i,-0.064979-0.016371i,-0.040669-0.0025505i,-0.048026-0.1284i,-0.00018989+0.00028716i,0.006872-0.030919i,-0.0069312-0.0047578i,-0.01818-0.0017478i,-0.0277+0.00088846i,-0.008866+0.012523i,-0.010539+0.010124i,0.010219+0.027807i,0.11213-0.0041517i,-0.010586+0.0086092i,-0.0036387+0.0017784i,-0.0013871+0.0020517i,0.0012489+0.012718i,0.0066025-0.0044651i,-0.022895-0.012383i,-0.026054-0.0067173i,-0.00010345+0.0058043i,0.0022203+0.013958i,0.0032414+0.010571i,0.016829+0.0046133i,0.0067902+0.0079372i,0.045182+0.026485i,-0.0013182+0.0061664i,0.0059831+0.0084796i,0.010193+0.0017706i,0.011052+0.0099471i,-0.0011553+0.014235i,-0.00082703+0.013509i,0.010063+0.0030245i,0.0040297+0.011303i,-0.0051268+0.013116i,0.00035131+0.0042188i,0.0090344+0.0047199i,-0.0091717+0.0052902i,5.6448e-05+0.00013661i,-0.0036533+0.011718i,-0.013123+0.00089862i,-0.029545-0.025962i,0.015512+4.8226e-05i,-0.0054126+0.010337i,-0.0086363-0.030316i,-0.0073448-0.006528i,-0.0068201-0.0080561i
-0.0042949+0.017242i,-0.021853+0.016558i,-0.027221+0.021304i,-0.011718+0.025434i,-0.018887+0.029296i,-0.00036525+0.029531i,-0.016066+0.029724i,-0.012987+0.019716i,0.004843+0.015062i,0.0056814-0.0016233i,0.0061237-0.00017829i,0.0035015-8.6307e-05i,-0.00054676-0.0011691i,0.0067389-0.0027576i,0.00096018-0.0018254i,0.015206+0.0040489i,0.00010596-0.0023382i,-0.0050496+0.00027112i,0.00046924-0.0010882i,-0.0032538-0.0010359i,-0.001194-0.0019355i,0.00033208-0.0034676i,-0.0002085+0.00083749i,-0.0013601-0.010557i,0.0017705-0.0012362i,-0.0010977-0.0014342i,-0.0009691-0.0037858i,-0.00096059-0.0017862i,-0.000181-0.0011993i,0.0012508+0.00028329i,-6.5977e-05-0.0023882i,0.0035627+0.0036559i,-0.00025422-0.00090125i,0.00018496+0.0002899i,-0.0010144+0.0006185i,0.0081938-0.0094406i,-0.0017134+0.00073438i,-0.00028384+0.0030249i,-0.0030713+0.0015932i,-0.0044654+0.0025482i,-0.0011967+0.00013746i,-0.0027434-0.0024791i,-0.00051636-0.00099277i,-0.0020068+0.0037857i,0.0033039+0.014779i,0.051656+0.010236i,-0.020495-0.015041i,0.020527+0.00805i,-0.008209-0.022234i,-0.014151-0.0048638i,-0.063342+0.0044926i,-0.033212+0.00090821i,-0.046997-0.0078734i,0.0041077-0.0055524i,-0.0030702-0.035572i,-0.0082217-0.0037741i,-0.017159-0.0027339i,-0.021055+0.014056i,-0.0042365+0.012602i,-0.002454+0.0096451i,0.014127+0.013739i,0.00022262-0.013269i,-0.0081526+0.012054i,-0.0055515+0.0031911i,-0.0005789+0.0017151i,0.0039453+0.0078652i,0.00036184-0.0039949i,-0.024787+0.0024601i,-0.022136+0.0068176i,0.0042377+0.0034893i,0.0058172+0.012304i,0.0052987+0.0079092i,0.014791-0.0058807i,0.0074519+0.0016977i,0.050479+0.0058661i,-0.00034649+0.0076964i,0.0089344+0.0048044i,0.0074841-0.0014527i,0.012258+0.004283i,0.0052293+0.017153i,0.0078283+0.0097256i,0.0090548-0.0016055i,0.0090144+0.0058511i,0.00016171+0.017319i,0.00073031+0.0059211i,0.0090641+0.0029195i,-0.0087291+0.0090837i,-0.0045891+0.00034529i,-0.0022152+0.011986i,-0.0053968-0.002656i,-0.027774-0.012104i,0.0070891-0.010651i,0.0010022+0.0029296i,-0.021609-0.026688i,-0.011067+0.0018741i,-0.013254-0.0058254i
-0.001782+0.01605i,-0.014928+0.019998i,-0.018653+0.02649i,-0.0076585+0.025389i,-0.012215+0.031535i,0.0042232+0.027461i,-0.013196+0.026152i,-0.010393+0.020025i,0.0081429+0.012322i,0.0048239-0.0031518i,0.0035314-0.0010113i,0.0043613+0.0016291i,0.00040904-0.00096768i,0.0051342-0.0041996i,0.00078975-0.0016i,0.014607-0.002315i,0.0013651-0.0025212i,-0.0038385+0.0025023i,4.3469e-05-0.0011213i,-0.0023704+0.00078669i,-0.001148-0.0013845i,-0.00097313-0.0018186i,0.00041972+0.0010113i,-0.0041646-0.0083884i,0.0008751-0.0014663i,-0.0020815-0.0011021i,-0.0027232-0.0029646i,-0.0015782-0.001261i,-0.0011065-0.00098896i,0.0011323-0.0003874i,-0.0017376-0.0020996i,0.0043884+0.00091039i,0.0022012-0.0022744i,0.00056758-0.00012395i,-0.0013271+0.00060737i,0.0033796-0.0095364i,-0.0016157+0.0002455i,0.0009553+0.0023604i,-0.00218+0.0033279i,-0.0022076+0.0042285i,-0.00090322+0.00055445i,-0.0027824-0.00095141i,-0.00058448-0.0011335i,-0.00057553+0.0068045i,0.0080709+0.014428i,0.064086-0.0094154i,-0.026182-0.010506i,0.023482-0.0032143i,-0.0076028-0.02274i,-0.014482-0.002842i,-0.053+0.019341i,-0.027015+0.0044513i,-0.03616+0.0020588i,0.0042242-0.012338i,-0.01595-0.035852i,-0.0091164-0.0021803i,-0.020447-0.0021541i,-0.011192+0.017803i,-0.00059612+0.011016i,0.0013514+0.0028876i,0.010188+0.0039911i,-0.0045321-0.011862i,-0.0032816+0.013879i,-0.0027662+0.0064318i,-0.001428+0.00044851i,0.0045672+0.0046381i,-0.00076931+0.00031709i,-0.01873+0.013735i,-0.015205+0.015587i,0.0044721+0.0010794i,0.010889+0.0096381i,0.0065104+0.0062484i,0.0075788-0.010576i,0.0050348-0.0013708i,0.046335-0.013457i,0.0031233+0.0082946i,0.00829+0.0013983i,0.0051165-0.0025296i,0.012347+0.00099037i,0.013949+0.01543i,0.0091312+0.0038246i,0.0074804-0.0042681i,0.0084942+0.0011771i,0.009024+0.015883i,0.0032615+0.0052498i,0.0095933-0.0005238i,-0.0025928+0.014715i,-0.0052484+0.0040026i,-9.1247e-05+0.01275i,-0.0036124-0.011059i,-0.023719-0.0067566i,0.0014315-0.015109i,-4.7577e-05-0.0042234i,-0.03195-0.01914i,-0.0073163+0.0044783i,-0.013508-0.0026362i
0.00052172+0.015195i,-0.0079836+0.020069i,-0.0098056+0.028i,-0.0033474+0.025635i,-0.0051947+0.031276i,0.0079817+0.025022i,-0.011761+0.024784i,-0.0073225+0.020854i,0.010356+0.009181i,0.0030696-0.0048189i,0.0023829-0.00026714i,0.0063963+0.00030614i,0.00058726-0.0013452i,0.0024721-0.0043758i,0.0003989-0.0017729i,0.011062-0.0058088i,0.0008227-0.0044576i,-0.0025467+0.0042604i,-0.0002892-0.00058354i,-0.0012386+0.0015941i,-0.0013018+0.00014743i,-0.00054925-0.00037297i,0.0010085+0.00075797i,-0.0063478-0.0062438i,6.6103e-05-0.0011856i,-0.0023873-6.1726e-05i,-0.0039674-0.0014931i,-0.0018481-0.00050034i,-0.001833-7.5288e-05i,0.00030146-0.00087822i,-0.0028109-0.00062241i,0.0032971-0.0010076i,0.0019114-0.0026457i,0.00065734-0.00085184i,-0.0014793+0.00065543i,0.00044805-0.0069511i,-0.0017194+0.00076793i,0.0016828+0.0013632i,-0.00054009+0.0040115i,0.00066228+0.0043982i,-0.00066825+0.00081116i,-0.0022108+0.0001237i,-0.00099089-0.0012526i,0.0021961+0.0061681i,0.012232+0.01129i,0.05911-0.035225i,-0.028707-0.00316i,0.024609-0.014582i,-0.0086213-0.029242i,-0.013662-0.00016222i,-0.042776+0.027569i,-0.021069+0.0044646i,-0.026615+0.0061911i,0.00096293-0.016349i,-0.027853-0.031629i,-0.010089-0.00047556i,-0.026319+0.0013775i,-0.0033303+0.016886i,0.00083246+0.0065811i,-0.00085913-0.002793i,0.0045118+0.0010019i,-0.010372-0.010612i,0.001169+0.013014i,-0.0019301+0.0066329i,-0.0029384+0.0018625i,0.0014085+0.0044699i,0.0010447+0.0023933i,-0.0099993+0.018393i,-0.0049994+0.018889i,0.0049592-0.00072744i,0.014317+0.0031987i,0.0077381+0.0045964i,0.0014192-0.010413i,0.0026976-0.00229i,0.034777-0.02767i,0.0068026+0.0070432i,0.0078736-7.272e-05i,0.0026168-0.0029749i,0.011774-0.0052061i,0.019476+0.0084233i,0.0077762-0.0004997i,0.0050015-0.0065718i,0.0072214-0.0020845i,0.014598+0.010947i,0.0043479+0.0052149i,0.0068569-0.0039186i,0.0052951+0.013545i,-0.0029574+0.0046623i,0.0048102+0.012629i,-0.0092723-0.015128i,-0.020691-0.0015779i,-0.0030262-0.01633i,-0.004863-0.0067097i,-0.038429-0.0071371i,-0.0061497+0.0042129i,-0.012717-0.00027986i
