-0.025961-0.0052844i,-0.021831-0.008055i,-0.012295-0.013434i,-0.035227-0.0076667i,-0.027439+0.0013289i,-0.03602-0.0032145i,-0.066618-0.039759i,-0.032584-0.015167i,-0.02291+0.0029224i,0.0062029+0.0066312i,-0.0048471+0.0076238i,-0.0083637+0.018193i,0.0060475+0.0081328i,-0.0010365+0.003192i,0.0043517+0.0036286i,0.0048449+0.026248i,0.022367+0.020422i,0.0014-0.0004278i,0.0012605-0.0046428i,0.008917-7.1889e-05i,0.0052576-0.00030413i,0.0025239+0.0013797i,0.0015892-0.00075963i,-0.024435-0.0012838i,-0.0045362-0.0041191i,-0.00012271+0.0030673i,0.0047012-0.004292i,-0.0016149-0.00044907i,-0.00029782+0.0011796i,-0.0019441-0.0013845i,-0.0035141-0.00026652i,-0.0068239-0.0089215i,-0.0048979-0.0073333i,-0.00055045+0.00032846i,-8.1091e-05-0.0020892i,0.0005071+0.022281i,0.0026909-0.004019i,0.000638-0.0043011i,0.0029283-0.0018885i,-0.0030911-0.0028892i,0.00090851-7.8976e-05i,0.0081612-0.0017791i,0.0029413-0.0021153i,-0.00016212+0.0026867i,-0.014082+0.015361i,-0.027455+0.053841i,-0.0050694-0.037982i,-0.014275-0.018599i,-0.039738-0.017223i,-0.027312-0.01282i,0.037022-0.011599i,0.0065191-0.030188i,0.013035-0.038268i,-0.0081517-0.030472i,0.026534-0.022995i,0.013492+0.0073996i,0.028467-0.035698i,-0.0015003-0.0043758i,0.0062649-0.0090839i,-0.00095062-0.0058945i,-6.4404e-05-0.035831i,-0.01354+0.028824i,0.0090166-0.011126i,-0.0086109-0.0048771i,-0.0024211-0.0020528i,0.00019925-0.01597i,-0.0076125+0.0059686i,0.004104+0.0066729i,-0.0020991+0.028921i,0.0023809+0.0005267i,-0.007223-0.0045075i,-0.0038852-0.0061545i,-0.014469-0.0097491i,-0.0019836-0.0057387i,-0.034564+0.0060999i,-0.0048178-0.0085973i,-0.012964-0.00092444i,-0.010404-0.0056122i,0.0016683-0.00097168i,-0.013993+0.0021651i,-0.0019335-0.00022916i,0.0053406+0.0061058i,0.0038863-0.0050756i,-0.01398-0.013873i,0.0072899+0.0080526i,-0.016362+0.0052622i,0.0046442-0.00017919i,-0.018965-0.0037191i,-0.016406-0.0043348i,-0.014862-0.036271i,0.020765-0.0097707i,-0.039068-0.024204i,-0.010374+0.0047372i,0.018096+0.015561i,-0.022771+0.016935i,-0.0041832-0.003894i
-0.027555-0.0018066i,-0.020223+0.00058835i,-0.013128-0.014087i,-0.03629-0.0031134i,-0.0265+0.0023773i,-0.037922+0.0040235i,-0.072554-0.027697i,-0.033742-0.010909i,-0.020563+0.0072299i,0.0052849+0.0043015i,-0.0049533+0.0061352i,0.00032835+0.02055i,0.0087421+0.004583i,-0.0035412+0.0049607i,0.0045404+0.0020383i,0.0097712+0.020398i,0.023471+0.011774i,0.0022465-6.8232e-05i,-0.00023345-0.0031398i,0.0069374-0.0033707i,0.0042047-0.0017888i,0.0021374+0.00074205i,0.0014264-0.0012682i,-0.013384+0.008358i,-0.0054772-0.0018691i,0.0028844+0.0013101i,0.00158-0.0019979i,-0.0006615+0.00090112i,0.0010804+0.00031771i,-0.0022376-0.00059253i,-0.002511+0.00080224i,-0.0081374-0.0060568i,-0.006532-0.0049451i,-0.00017913+0.00017577i,0.00020471-0.0013947i,0.0070445+0.019203i,0.0018842-0.0049011i,-0.0012399-0.0036705i,0.0032296-0.0031584i,-0.0021004-0.0028042i,0.0013271+0.00022928i,0.0066855-0.0031771i,0.0018623-0.0021235i,-0.0012008+0.0029041i,-0.01015+0.016382i,-0.0073225+0.059354i,-0.013373-0.037136i,-0.025271-0.020358i,-0.030404-0.0050431i,-0.020747-0.0022893i,0.033781-0.033612i,0.0078586-0.045646i,0.01612-0.037915i,-0.01354-0.031547i,0.015014-0.01849i,0.011567-0.0032407i,0.013094-0.038445i,0.00060925-0.0012781i,-0.00094681-0.017407i,-0.0021203-0.0063532i,-0.023482-0.032321i,-0.0017332+0.024671i,0.0034392-0.014718i,-0.010942-0.0002055i,-0.00083888-0.00098878i,-0.0069156-0.015325i,-0.007299+0.010155i,0.0090472+0.0059674i,0.015737+0.022729i,0.0010084-0.0014574i,-0.007002-0.00088383i,-0.007982-0.0053188i,-0.019033+0.00072793i,-0.0017724-0.0044834i,-0.03682+0.014499i,-0.0084443-0.003448i,-0.01225+0.0036725i,-0.013026-0.00014591i,-0.00097353-0.0053961i,-0.010978+0.006654i,-0.00088032-0.0021474i,0.0029887+0.00026564i,-4.844e-05-0.0054814i,-0.02012-0.0027757i,0.0082118+0.0032474i,-0.011339+0.011078i,0.0047502-0.0027955i,-0.017553+0.0034388i,-0.017629-0.00020468i,-0.020671-0.032656i,0.016859-0.01733i,-0.045103-0.0097027i,-0.0019384-0.0021456i,0.01931+0.0094239i,-0.014923+0.022872i,-0.011426-0.0087753i
-0.027416+0.0030988i,-0.015349+0.00047558i,-0.015868-0.015248i,-0.036985+0.003334i,-0.026309+0.0035671i,-0.038071+0.011879i,-0.079775-0.010277i,-0.036508-0.0056378i,-0.018458+0.010143i,0.0044306+0.0033907i,-0.0050851+0.0087095i,0.007456+0.01641i,0.0088082+0.00056753i,-0.0031554+0.0078902i,0.0044249+0.00099929i,0.011806+0.014141i,0.025266+0.0045395i,0.0032997-0.0010715i,-0.00050149-0.0024137i,0.0047715-0.0046071i,0.0022788-0.0023878i,0.0027298+0.00065077i,0.00082588-0.0019102i,-0.0054276+0.011127i,-0.005027+0.00065302i,0.0030788-0.0016748i,0.0013924-0.0015107i,0.00076392+0.00083696i,0.00088808-0.0003217i,-0.0018959-1.1723e-05i,-0.0018134+0.0013824i,-0.0095633-0.0024876i,-0.0074469-0.0022937i,2.9965e-05-0.00016472i,0.00039712-0.0028441i,0.011879+0.014146i,0.00059603-0.0052082i,-0.0022187-0.0024617i,0.0018273-0.0053532i,-0.0030136-0.0024749i,0.001679-4.0674e-05i,0.0047778-0.0051137i,0.0014545-0.0019972i,-0.0010618+0.0034628i,-0.0067506+0.015551i,0.011584+0.056981i,-0.021458-0.033429i,-0.033645-0.010093i,-0.016371-0.0034209i,-0.014209-0.0048108i,0.023591-0.051215i,-0.0068944-0.058974i,0.020928-0.043908i,-0.019276-0.026603i,0.011018-0.017538i,0.0079999-0.0069538i,0.0009395-0.039875i,0.0077678-0.0050486i,-0.011323-0.01573i,-0.0031087-0.0089877i,-0.040092-0.018835i,0.0049506+0.021403i,-0.0038262-0.015274i,-0.0083237+0.0031104i,-0.0020585-0.0012876i,-0.013874-0.012157i,0.00010705+0.013504i,0.013751-0.00069632i,0.024355+0.0079493i,0.00025719-0.0018857i,-0.0072942-0.00020959i,-0.010303-0.0027183i,-0.015407+0.011085i,-0.0066521-0.0030494i,-0.031147+0.027275i,-0.0077559+0.00075069i,-0.010273+0.0091787i,-0.013203+0.0082868i,-0.0070948-0.0039698i,-0.0085986+0.0088244i,-0.0026384-0.0025182i,-0.00098822-0.00013837i,-0.0025156-0.0052708i,-0.013362+0.0072374i,0.0066574-0.0015438i,-0.0067366+0.012363i,0.0018419-0.006824i,-0.013997+0.0077236i,-0.016298+0.0043158i,-0.023396-0.028028i,0.009384-0.020267i,-0.042674+0.0031893i,-0.0073003-0.011386i,0.018526+0.0022288i,-0.0040371+0.021435i,-0.01407-0.0055572i
-0.025976+0.008055i,-0.015506-0.0022308i,-0.019942-0.015619i,-0.0343+0.0098475i,-0.026837+0.0050376i,-0.034441+0.02068i,-0.076593+0.015451i,-0.03759+0.0035526i,-0.015955+0.014367i,0.0041347+0.0031642i,-0.0018828+0.010883i,0.0098873+0.011207i,0.0073952-0.0026179i,-0.00023021+0.011046i,0.003727+1.4653e-05i,0.010405+0.0076983i,0.024339-0.0067975i,0.002766-0.0029567i,-0.0014063-0.00082797i,0.0026484-0.005277i,0.0019824-0.0019497i,0.0033465-0.00028371i,-7.5669e-05-0.0019862i,0.0037454+0.014383i,-0.0037332+0.0021595i,0.0011604-0.003022i,0.001764-0.002017i,0.0010336-1.2879e-05i,0.001128-0.00049637i,-0.0020252+0.00048182i,-0.00075586+0.0019152i,-0.0088919+0.0012265i,-0.0077348+0.00076117i,0.00016661-0.00048398i,-0.0016189-0.002906i,0.012746+0.0090565i,-0.0012447-0.0056854i,-0.0026901-0.0015454i,-0.00088479-0.0054538i,-0.0025596-0.00096998i,0.0016259-0.00077829i,0.0018894-0.0054512i,0.00077082-0.0020193i,-0.00028898+0.003284i,-0.0036563+0.014612i,0.028282+0.049169i,-0.027874-0.025731i,-0.032763+0.0029184i,-0.010865-0.0069991i,-0.012226-0.0050881i,0.0039591-0.066339i,-0.02642-0.057846i,0.015828-0.060445i,-0.021433-0.022901i,0.0068671-0.015889i,0.0034354-0.01096i,-0.012854-0.03618i,0.0038385-0.01439i,-0.015219-0.0097539i,-0.0088858-0.011832i,-0.044268+0.0036928i,0.013615+0.014922i,-0.010143-0.013116i,-0.0058295+0.0035148i,-0.0028442-0.00058122i,-0.01841-0.0055336i,0.0069841+0.0091471i,0.013512-0.0082579i,0.0226-0.0054853i,-0.00053099-0.0025395i,-0.0082348+0.0013672i,-0.012011+0.0022637i,-0.0096526+0.018322i,-0.0079833+0.0019974i,-0.021577+0.036102i,-0.006772+0.0027943i,-0.0042145+0.012064i,-0.0067356+0.014501i,-0.010106+0.0015282i,-0.0039818+0.0096759i,-0.0035381-0.0012284i,-0.0027643+0.0019976i,-0.0059433-0.0041802i,-0.0071562+0.0068798i,0.00093221-0.0052684i,-0.00397+0.014709i,-0.0033601-0.0059063i,-0.0093921+0.010655i,-0.014132+0.005422i,-0.025151-0.025144i,0.008743-0.018919i,-0.037381+0.016846i,-0.015529-0.011006i,0.01756-0.0036248i,0.0042932+0.016279i,-0.012645-0.0024393i
-0.023255+0.013302i,-0.01893-0.0013057i,-0.026578-0.013345i,-0.030812+0.014606i,-0.028408+0.0074337i,-0.028252+0.027421i,-0.059562+0.030384i,-0.032994+0.0114i,-0.010035+0.016646i,0.0042394+0.0030593i,0.0019375+0.009778i,0.011063+0.007861i,0.0049071-0.0044063i,0.005031+0.010914i,0.0029816-0.00061451i,0.0074899+0.0069021i,0.014155-0.014871i,0.0012302-0.0039271i,0.00022378+0.0021327i,0.00068555-0.0053982i,0.0016971-0.0013434i,0.0026267-0.0016675i,-0.0010618-0.0014834i,0.014767+0.0067993i,-0.0022187+0.0032512i,-3.1128e-05-0.0027404i,0.00027648-0.0027515i,0.0013397+1.7091e-05i,0.0011753-0.0012277i,-0.0015691+0.0015302i,0.00052415+0.0017814i,-0.0068495+0.0046076i,-0.0057118+0.0032951i,-0.00031583-0.00081928i,-0.0020026-0.0016964i,0.014298+0.0062024i,-0.0033202-0.0044267i,-0.0032255-0.00044653i,-0.0025346-0.0038784i,-0.0020329-0.0021155i,0.00079482-0.0015007i,0.00011663-0.0042771i,0.00059917-0.0015664i,-0.00077536+0.0034063i,-0.001943+0.012295i,0.041787+0.034646i,-0.027199-0.01475i,-0.026088+0.013687i,-0.0071974-0.011446i,-0.0098018-0.0043688i,-0.024058-0.069705i,-0.041044-0.048285i,-0.0037927-0.069211i,-0.027623-0.01519i,0.0054589-0.012344i,-0.002192-0.011035i,-0.023898-0.027269i,-0.0043224-0.016301i,-0.017362-0.0055507i,-0.018489-0.0075273i,-0.037175+0.019773i,0.015085+0.0045758i,-0.015889-0.0073543i,-0.0049882+0.0042654i,-0.0035534+0.0012762i,-0.018965+0.0038385i,0.0057301+0.0036443i,0.010652-0.013301i,0.017807-0.015143i,-0.0017218-0.0026258i,-0.0098457+0.0053531i,-0.0092237+0.0071948i,-0.0014813+0.020599i,-0.0067687+0.0060804i,-0.012469+0.042475i,-0.0065912+0.0043105i,-4.9261e-05+0.0097425i,0.00065766+0.015506i,-0.010251+0.0063938i,-0.0020777+0.0066163i,-0.0044786-3.2175e-06i,-0.0024766+0.005372i,-0.0098686-0.0010293i,-0.0058183+0.005062i,-0.0043119-0.0026404i,0.002662+0.016028i,-0.0066426-0.0036122i,-0.003059+0.011496i,-0.014728+0.0079107i,-0.030414-0.019506i,0.012716-0.025096i,-0.026486+0.031398i,-0.020431-0.0039889i,0.013406-0.0098061i,0.0067888+0.0075875i,-0.011162-0.0032938i
-0.018522+0.017i,-0.018493+0.0010542i,-0.031723-0.006238i,-0.02729+0.018504i,-0.030173+0.012439i,-0.019641+0.031562i,-0.044135+0.035654i,-0.027402+0.015738i,-0.0053915+0.016244i,0.0040987+0.003206i,0.0031441+0.0084629i,0.011947+0.0027316i,0.0023616-0.0050391i,0.0094093+0.007972i,0.0023913-0.0008383i,0.0072454+0.0076049i,0.0044819-0.014075i,0.00011446-0.0039024i,0.0028117+0.0012977i,-0.0011606-0.0044857i,0.0024374-0.002588i,0.0014145-0.0020991i,-0.0012056-0.00054134i,0.015203-0.0040032i,1.6081e-05+0.0037404i,-0.00096326-0.0025185i,-0.0012992+0.0010177i,0.0016973-0.00096252i,0.0004086-0.002048i,-1.1111e-05+0.0021291i,0.0017735+0.00075241i,-0.0040137+0.0059227i,-0.0038586+0.0055456i,-0.00052918-0.00036086i,-0.0016183-0.0011007i,0.016023+0.0017308i,-0.00455-0.002597i,-0.0036052+0.00043905i,-0.0034155-0.0028385i,-0.0038178-0.0028452i,0.00036279-0.0012395i,-0.00077851-0.0030677i,0.00035865-0.0013479i,-0.00013895+0.0042039i,-0.0018816+0.011453i,0.039747+0.015234i,-0.018296-0.0085076i,-0.018023+0.021121i,-0.0055877-0.013949i,-0.006324-0.0073142i,-0.049192-0.054443i,-0.052327-0.033859i,-0.021998-0.065078i,-0.022609+0.00093391i,0.010205-0.008534i,-0.0056962-0.0087381i,-0.026915-0.012065i,-0.010822-0.015998i,-0.021282+0.00077875i,-0.017887+0.0018404i,-0.027008+0.033808i,0.012245-0.0016915i,-0.014607+0.0021951i,-0.0056464+0.0048423i,-0.00081041+0.0035768i,-0.013683+0.011347i,0.005608+0.0048222i,0.0050474-0.023213i,0.0042449-0.025644i,-0.0050691-0.0033357i,-0.0087265+0.010779i,-0.007075+0.009409i,0.006717+0.019491i,-0.0030446+0.0088965i,0.0047527+0.052506i,-0.0059557+0.0056612i,0.00080129+0.0094179i,0.0064696+0.01245i,-0.0062752+0.014024i,-0.0012229+0.0077246i,-0.0065209+0.0018652i,0.0013528+0.0074257i,-0.0096567+0.0078974i,-0.0068066+0.0056076i,-0.0034608+0.003412i,0.0069369+0.012752i,-0.0088215-0.0017087i,0.00011584+0.007338i,-0.011465+0.012316i,-0.028386-0.0072353i,0.0045334-0.041221i,-0.001868+0.033563i,-0.017982+0.002552i,0.012861-0.017699i,0.0066675-0.00059772i,-0.010856-0.00024853i
-0.013144+0.019167i,-0.02171+0.00076486i,-0.034433+0.0024197i,-0.022953+0.022481i,-0.028988+0.019261i,-0.01165+0.032154i,-0.031911+0.036197i,-0.02235+0.017998i,-0.0026585+0.015406i,0.0057749+0.0025825i,0.0065375+0.0080799i,0.00797-0.0015685i,-0.00021937-0.0041363i,0.012028+0.0022599i,0.0020576-0.0010374i,0.0084901+0.0078828i,-0.00074514-0.0099024i,-0.0014443-0.0040493i,0.0030174-0.0010595i,-0.0019829-0.0030909i,0.0015083-0.0040669i,0.0014131-0.0016598i,-0.001025+4.2808e-05i,0.0098315-0.010434i,0.0024564+0.002314i,-0.0013907-0.001641i,0.001752-0.0011046i,0.0011847-0.0020178i,-0.00034454-0.0015415i,0.0010193+0.0011848i,0.0017823-0.000757i,-0.00099488+0.0066281i,-2.3855e-05+0.0058227i,-0.00041378-0.00012618i,-0.0021416-0.0010027i,0.014814-0.0039724i,-0.0039567-0.00042488i,-0.0030054+0.0019094i,-0.0040633-0.00093402i,-0.0063027-0.00089163i,-0.00038284-0.0012583i,-0.00072982-0.0032979i,0.00033471-0.0011788i,0.00040756+0.0031136i,-0.0011533+0.011902i,0.032877+0.012277i,-0.014724-0.011618i,-0.0017844+0.024937i,-0.0040299-0.016066i,-0.010945-0.011936i,-0.059528-0.034245i,-0.050909-0.014519i,-0.040102-0.055924i,-0.0095305+0.0053015i,0.014128-0.020769i,-0.006727-0.0057431i,-0.02233-0.0057696i,-0.020942-0.011262i,-0.01545+0.011201i,-0.015225+0.0059836i,-0.0065152+0.037762i,0.010012-0.0055157i,-0.012875+0.0048905i,-0.0024877+0.0041484i,-0.0014459+0.00099262i,-0.0066467+0.015206i,0.0088663+0.0016727i,-0.011328-0.024186i,-0.014463-0.020887i,-0.0053189+0.0025124i,-0.0037363+0.014194i,-0.0018508+0.011133i,0.013809+0.012113i,0.00091686+0.0090192i,0.02895+0.046198i,-0.0026548+0.0072463i,0.0030501+0.0093552i,0.01018+0.0073715i,0.0029592+0.016504i,-0.0025754+0.0076934i,-0.0060588+0.0084212i,0.0059684+0.0074699i,-0.0039676+0.012356i,-0.0069569+0.0087605i,-0.00099472+0.0048451i,0.0084075+0.0082487i,-0.009303+0.0020215i,0.0013279+0.0033069i,-0.0068588+0.012859i,-0.021746-0.0019983i,-0.018022-0.043835i,0.014143+0.01807i,-0.015936+0.0060037i,0.0041869-0.026532i,0.0011005-0.0060819i,-0.0046786-0.001299i
-0.0080076+0.019604i,-0.024515+0.0078123i,-0.033282+0.01199i,-0.016812+0.024918i,-0.024273+0.025408i,-0.0054823+0.031187i,-0.022791+0.034395i,-0.017824+0.019207i,0.00076306+0.015489i,0.0067097+0.000865i,0.0094128+0.0031785i,0.004089-0.0008045i,-0.0011326-0.0021256i,0.0096848-0.0017872i,0.0016374-0.0014677i,0.011196+0.0063466i,-0.0024296-0.005661i,-0.0032187-0.0029293i,0.001416-0.0016857i,-0.002505-0.0022867i,-0.00081782-0.0041556i,0.00089748-0.0020751i,-0.00089846+0.00055139i,0.0034934-0.013129i,0.0023717-0.00010557i,-0.0010874-0.0011333i,0.0010459-0.0034496i,8.4597e-05-0.0020863i,-0.00011405-0.0014679i,0.00080409+0.00037126i,0.00089652-0.001949i,0.0019224+0.0056707i,0.0023334+0.0043243i,-0.00023531-0.00010569i,-0.0019925+0.00035102i,0.011547-0.0081602i,-0.0028987+0.00030382i,-0.0015008+0.002726i,-0.0030781+0.00026551i,-0.0062914+0.0020402i,-0.001007-0.00072675i,-0.0014818-0.0030594i,0.00014547-0.0011792i,-0.00012101+0.0026752i,0.00032243+0.013267i,0.037711+0.015603i,-0.015976-0.014669i,0.012148+0.018578i,-0.0040583-0.021386i,-0.013969-0.0077448i,-0.065098-0.015732i,-0.040696-0.0028582i,-0.055854-0.036409i,-0.00073593+0.0004491i,0.0080627-0.030085i,-0.0068897-0.0046625i,-0.018514-0.001221i,-0.026928+0.0011143i,-0.0087548+0.012572i,-0.010616+0.0103i,0.01124+0.029416i,0.0064389-0.0098521i,-0.012157+0.0087717i,-0.002709+0.0016717i,-0.001561+0.0023456i,0.0011186+0.013325i,0.0065964-0.0042972i,-0.023103-0.012791i,-0.022539-0.0062113i,2.813e-05+0.0059646i,0.0030496+0.014036i,0.0028491+0.010671i,0.017007+0.004916i,0.0066357+0.007529i,0.045361+0.027867i,-0.00040607+0.0065133i,0.0055482+0.0089308i,0.009906+0.0013441i,0.011083+0.010295i,-0.0026248+0.013629i,-0.00040478+0.013089i,0.010018+0.0030113i,0.0040953+0.012069i,-0.0052983+0.012218i,0.00076791+0.0046629i,0.0087472+0.0057149i,-0.0088131+0.0054037i,-0.00061155+0.00066636i,-0.0043592+0.012212i,-0.01358+0.00045277i,-0.031136-0.027046i,0.015534-8.7288e-06i,-0.0052556+0.0098506i,-0.0077139-0.030153i,-0.0076148-0.0064077i,-0.0067752-0.0080285i
-0.003667+0.018623i,-0.020605+0.015517i,-0.028046+0.0208i,-0.011889+0.025522i,-0.018305+0.02885i,-8.8925e-05+0.029561i,-0.016118+0.0308i,-0.014412+0.019343i,0.0049683+0.014476i,0.0065415-0.0013146i,0.0068496-0.0013071i,0.0041488+0.00097503i,-0.0005825-0.0007559i,0.0071401-0.0040454i,0.001125-0.0014509i,0.01315+0.0029519i,-0.0010751-0.002663i,-0.0037931-0.0010758i,0.00056352-0.0013075i,-0.0030728-0.00095596i,-0.0019072-0.0025508i,-0.0001053-0.0019182i,-0.00035249+0.0010959i,-0.0016241-0.011691i,0.0013536-0.0012244i,-0.0010748-0.0016884i,-0.00079881-0.0039121i,-0.0009341-0.0018384i,-0.00073142-0.0018138i,0.00078459+0.0001769i,-0.00038638-0.0026489i,0.0039926+0.0038763i,0.0033017+0.0018011i,-1.4676e-05-6.4963e-05i,-0.001249-4.98e-05i,0.0069571-0.010718i,-0.0020758+0.00058073i,-2.2189e-05+0.0027487i,-0.0032434+0.00060036i,-0.0050721+0.0040827i,-0.00098701+6.1117e-05i,-0.0026956-0.0022759i,0.00013871-0.0010833i,-0.0012118+0.0033859i,0.0031242+0.014538i,0.051587+0.010948i,-0.020662-0.014809i,0.021197+0.0081761i,-0.0080768-0.021805i,-0.013963-0.0050294i,-0.063025+0.0048034i,-0.033348+0.00072588i,-0.052076-0.009494i,0.0032834-0.0043295i,-0.0020175-0.036126i,-0.0082118-0.0037838i,-0.016689-0.0023795i,-0.020606+0.014207i,-0.0040893+0.01259i,-0.0023677+0.0096999i,0.015611+0.014579i,0.0021604-0.010565i,-0.0086529+0.013186i,-0.0042817+0.0024695i,-0.00058198+0.0020586i,0.0035647+0.00858i,0.00026681-0.0039412i,-0.024994+0.0019077i,-0.020523+0.0059607i,0.0044151+0.0035376i,0.0065609+0.011953i,0.0048527+0.0081885i,0.014808-0.0054941i,0.007399+0.0015121i,0.049524+0.0061219i,0.0002215+0.0075773i,0.0089638+0.0055204i,0.0071759-0.0017371i,0.012041+0.0044513i,0.0045716+0.01775i,0.0082617+0.009769i,0.0087367-0.0015801i,0.0091818+0.0064376i,0.00010633+0.016879i,0.0013834+0.0061699i,0.0088908+0.0038841i,-0.0082519+0.0090145i,-0.0048726+0.0013116i,-0.0029167+0.012657i,-0.0062512-0.0028031i,-0.028722-0.012771i,0.0080081-0.011638i,0.00094207+0.0025603i,-0.021488-0.027562i,-0.010839+0.0020419i,-0.013147-0.0057918i
-0.00059767+0.01731i,-0.014057+0.018389i,-0.019782+0.026443i,-0.0077121+0.025621i,-0.011986+0.030773i,0.00442+0.027452i,-0.012926+0.027081i,-0.011996+0.019863i,0.0082686+0.011584i,0.0058319-0.0031244i,0.0034798-0.0016871i,0.0053084+0.00075626i,0.00051472-0.00072039i,0.0045971-0.005073i,0.0011131-0.0013624i,0.012429-0.0016443i,0.00032975-0.0031053i,-0.0033223+0.00080143i,3.6247e-05-0.0013413i,-0.0026509+0.00084193i,-0.0017227-0.0017306i,-0.00071404-0.00091352i,0.00041736+0.0012203i,-0.0046281-0.0093621i,0.0004518-0.0014963i,-0.0020543-0.0013953i,-0.0027585-0.0033456i,-0.0015727-0.0012435i,-0.001605-0.0015026i,0.00068988-0.00043543i,-0.0019547-0.0022778i,0.0049621+0.00081963i,0.003342-6.5025e-05i,7.2807e-05-0.00038231i,-0.0016736-1.7441e-05i,0.0018623-0.0099784i,-0.0020623-0.00011408i,0.0010888+0.001994i,-0.0027376+0.0019813i,-0.0034786+0.0058788i,-0.00057205+0.00057631i,-0.0025114-0.00097246i,-3.4422e-05-0.0013165i,-3.5866e-05+0.0059931i,0.0074479+0.014479i,0.064951-0.0088495i,-0.026093-0.010253i,0.023573-0.0037926i,-0.0073446-0.022972i,-0.01423-0.0030206i,-0.052972+0.019407i,-0.027232+0.004461i,-0.03755+0.0022997i,0.0050455-0.011641i,-0.015045-0.037582i,-0.0089467-0.0019045i,-0.019701-0.0023475i,-0.010906+0.017972i,-0.00014324+0.010481i,0.0013828+0.0029612i,0.011189+0.0044679i,-0.0027522-0.01044i,-0.003155+0.014902i,-0.0045427+0.0046984i,-0.0010917+0.00094457i,0.0031579+0.0056014i,-0.00072255+0.00052529i,-0.019286+0.013213i,-0.013219+0.013921i,0.0045625+0.00098069i,0.011183+0.0090279i,0.006307+0.006566i,0.0076296-0.010476i,0.0050059-0.0013552i,0.04412-0.012099i,0.0035293+0.0080197i,0.0085863+0.0018104i,0.0048915-0.0026302i,0.012144+0.0012588i,0.013682+0.015939i,0.0097909+0.0034308i,0.0074428-0.0039774i,0.0087723+0.0014445i,0.0087376+0.015841i,0.0040206+0.0055729i,0.0098433+0.00024164i,-0.0027361+0.014212i,-0.0049561+0.0047284i,-0.00044479+0.013864i,-0.0044136-0.010479i,-0.024263-0.0071646i,0.0016298-0.01434i,-9.3134e-05-0.0043773i,-0.033129-0.01882i,-0.0072505+0.0042112i,-0.013403-0.0023579i
0.0021628+0.016061i,-0.0078387+0.018185i,-0.010556+0.028338i,-0.0033991+0.026003i,-0.0053547+0.030682i,0.0080873+0.024975i,-0.011165+0.025474i,-0.0091439+0.021055i,0.010194+0.0083046i,0.0043473-0.0048182i,0.0023101-0.00087383i,0.0064685-0.0006693i,0.00071161-0.0012602i,0.0020856-0.0045611i,0.00075834-0.0017145i,0.0097724-0.0046753i,-0.00056264-0.0046064i,-0.0023113+0.0017182i,-0.00046224-0.00078997i,-0.0013943+0.001862i,-0.0021711-0.0011096i,-0.00028416+5.8508e-05i,0.0010577+0.0009031i,-0.0070896-0.0071352i,-0.00033869-0.0011818i,-0.002558-0.0004123i,-0.0039662-0.001754i,-0.0018484-0.00044493i,-0.0021164-0.00059709i,-6.5597e-05-0.00077202i,-0.0029818-0.0010581i,0.0035189-0.0015255i,0.0026437-0.0017971i,3.7351e-05-0.00074115i,-0.0019296+0.00032926i,-0.00080737-0.0071451i,-0.002424+0.00026886i,0.0017571+0.00092487i,-0.0015188+0.0024653i,-0.0005714+0.0068999i,-0.00015278+0.00078126i,-0.0019711-8.6555e-05i,-0.00045738-0.0015879i,0.0025247+0.0053489i,0.011773+0.011941i,0.060809-0.036042i,-0.02814-0.0028625i,0.02417-0.014585i,-0.0093008-0.029806i,-0.013516-0.00066323i,-0.042805+0.027713i,-0.021266+0.0045004i,-0.026983+0.0066109i,0.0016637-0.016302i,-0.028991-0.03364i,-0.0096716-0.00036903i,-0.025781+0.00087488i,-0.0037644+0.01681i,0.0018257+0.0067945i,-0.00054715-0.0024541i,0.0051613+0.0012397i,-0.008279-0.0096543i,0.001425+0.013808i,-0.0024499+0.0065775i,-0.0023761+0.0018403i,0.0011405+0.0044008i,0.0013441+0.0026194i,-0.010355+0.018088i,-0.0045704+0.017168i,0.0050987-0.00071859i,0.014112+0.0025169i,0.007746+0.0048981i,0.00093884-0.010088i,0.0028883-0.0022257i,0.033204-0.024821i,0.0068604+0.006681i,0.0080986-3.664e-05i,0.0025377-0.0028856i,0.011739-0.005121i,0.019881+0.0091371i,0.0082442-0.0010147i,0.0049328-0.0064483i,0.0073925-0.0018574i,0.014594+0.010834i,0.0051713+0.0051646i,0.0071205-0.0033968i,0.0048109+0.013837i,-0.0026042+0.0051143i,0.0048866+0.013798i,-0.0094794-0.01426i,-0.021093-0.0018067i,-0.003095-0.015987i,-0.0048666-0.0068586i,-0.039184-0.0061668i,-0.0061716+0.0039831i,-0.012531-0.00013462i
