-0.024319-0.0036736i,-0.020912-0.0080107i,-0.012764-0.012847i,-0.03534-0.0074429i,-0.026839+0.0020739i,-0.035915-0.0027953i,-0.065987-0.03905i,-0.032863-0.014868i,-0.023702+0.0029541i,0.0069487+0.005281i,-0.0049422+0.0069871i,-0.0076315+0.018066i,0.006147+0.0078109i,-0.0010741+0.0033929i,0.0040961+0.0042604i,0.0043029+0.026317i,0.016396+0.01803i,0.0012291-0.00077534i,0.0006374-0.0051447i,0.0089794+0.00027925i,0.0049785-0.0014087i,0.0026013+0.0026983i,0.00098291-0.00048407i,-0.02293+0.00045615i,-0.0060597-0.0029359i,-0.0013272+0.0029167i,0.0030748-0.0035585i,-0.0019095+0.00013233i,-0.00068015+0.00093813i,-0.0025867-0.0014806i,-0.0038469-0.00025046i,-0.0065434-0.0086499i,-0.0074075-0.0027358i,-0.00060577-2.8638e-05i,-0.00051395-0.0024063i,-0.002208+0.019231i,0.0023305-0.0038i,0.0015076-0.0040877i,0.0023482-0.0021798i,-0.00054838-0.0035556i,0.00089027-0.00022672i,0.007072+0.0027174i,0.0045922-0.0020773i,-1.4254e-05+0.0023897i,-0.013519+0.015742i,-0.027503+0.05201i,-0.0057907-0.03769i,-0.014141-0.017922i,-0.039569-0.017276i,-0.027448-0.01335i,0.036992-0.011215i,0.0065593-0.030062i,0.013715-0.037488i,-0.0083804-0.030086i,0.026909-0.023161i,0.013041+0.0073584i,0.032-0.035541i,-0.0015837-0.0042188i,0.0065578-0.0088347i,-0.00098022-0.0058496i,0.00092829-0.036363i,-0.014383+0.030198i,0.0088867-0.011204i,-0.0069726-0.0044639i,-0.0026723-0.0021116i,0.00057736-0.015509i,-0.0079357+0.0059542i,0.0040132+0.0067592i,-0.0029631+0.028448i,0.0026758+0.00054463i,-0.0068921-0.0042284i,-0.0042294-0.0065325i,-0.013453-0.0089406i,-0.0022412-0.0061811i,-0.03576+0.017726i,-0.0048497-0.0085982i,-0.012975-0.00085932i,-0.0087658-0.0062988i,0.0016352-0.0017025i,-0.013346+0.0019818i,-0.001489-0.00055241i,0.0054485+0.0059553i,0.0039514-0.0050067i,-0.012217-0.016012i,0.0075245+0.0091147i,-0.015487+0.0041457i,0.0051021-7.4415e-05i,-0.019623-0.0028491i,-0.015659-0.0041637i,-0.016088-0.036159i,0.020435-0.010294i,-0.037522-0.025096i,-0.01072+0.0045095i,0.018548+0.016122i,-0.022796+0.016336i,-0.0038222-0.0041937i
-0.025475-0.0001118i,-0.020157-1.6286e-05i,-0.013637-0.013201i,-0.036593-0.0025487i,-0.025736+0.0028116i,-0.037436+0.0044059i,-0.071735-0.026848i,-0.034119-0.010245i,-0.021348+0.0073742i,0.0051787+0.0030451i,-0.0051498+0.0058279i,0.00073961+0.020319i,0.0082497+0.0044714i,-0.0031039+0.0054375i,0.0045618+0.0026947i,0.0092102+0.021001i,0.016779+0.012645i,0.0017569+0.00014928i,-0.0010668-0.0033923i,0.0073489-0.0030823i,0.003106-0.0026253i,0.0022553+0.0019346i,0.00095192-0.00083917i,-0.011626+0.0070594i,-0.0077917-0.00082014i,0.0016908+0.0025556i,0.00037566-0.0015822i,-0.001023+0.001901i,0.00049959+0.00050072i,-0.0029816-0.00032195i,-0.0027591+0.00098053i,-0.0077963-0.0060859i,-0.0046595+0.00222i,-0.00040319-8.3533e-05i,-0.0005599-0.0014705i,0.0035114+0.017756i,0.0014816-0.0043587i,-0.00081006-0.0041321i,0.0023943-0.0030456i,-0.00092151-0.0042431i,0.0012034+6.6688e-05i,0.0090509-0.0019384i,0.0020387-0.003163i,-0.0017564+0.0027696i,-0.0093216+0.016636i,-0.0082067+0.057453i,-0.014133-0.035738i,-0.02505-0.019725i,-0.030266-0.0051684i,-0.020816-0.0024199i,0.033842-0.033054i,0.008099-0.044949i,0.016757-0.037233i,-0.013589-0.030609i,0.015116-0.018552i,0.011518-0.0029925i,0.0032829-0.055387i,0.00030405-0.0011661i,-0.00089267-0.017443i,-0.0022772-0.0060119i,-0.023483-0.033481i,-0.0019159+0.026163i,0.0036518-0.014827i,-0.0094314-0.0030361i,-0.00083954-0.00083309i,-0.0070821-0.014916i,-0.0077539+0.010038i,0.0086289+0.00592i,0.014072+0.022514i,0.0011391-0.0016466i,-0.0067907-0.00095775i,-0.0084294-0.0052203i,-0.01809+0.00057206i,-0.0019309-0.0046503i,-0.028538+0.014046i,-0.0084883-0.0035021i,-0.012274+0.0036536i,-0.012339-0.00075768i,-0.0010572-0.0056643i,-0.010095+0.0061491i,-0.00015457-0.0024754i,0.0030945-3.1454e-06i,-0.00010007-0.0055412i,-0.016105-0.0048364i,0.0092052+0.0038392i,-0.010792+0.010271i,0.0048173-0.0028813i,-0.017671+0.0042732i,-0.017422+0.00021112i,-0.02187-0.032618i,0.016376-0.017527i,-0.045138-0.013299i,-0.0023201-0.0021455i,0.019649+0.010103i,-0.015308+0.022036i,-0.010775-0.0090633i
-0.023993+0.0037903i,-0.015848+0.00025454i,-0.016029-0.014052i,-0.037008+0.0040801i,-0.025497+0.0039736i,-0.037403+0.012102i,-0.078702-0.0097463i,-0.036686-0.0042755i,-0.01925+0.010335i,0.0040361+0.0026481i,-0.0052658+0.0084267i,0.0078048+0.016196i,0.0085391+0.00086792i,-0.0023345+0.008095i,0.0047019+0.0016039i,0.011483+0.014867i,0.01942+0.0091076i,0.0032526-4.785e-05i,-0.0011683-0.0023369i,0.0059932-0.0044575i,0.0012717-0.0022707i,0.0032471+0.0016065i,0.00062477-0.0013267i,-0.0058101+0.0096833i,-0.0073572+0.0013723i,0.0047589-0.0003926i,0.00020322-0.0010876i,0.0010102+0.0017094i,0.00047055+0.00010125i,-0.0025681+0.0006387i,-0.001974+0.0016117i,-0.0093433-0.0025899i,0.0037347-0.002241i,-0.00023476-0.00019559i,-0.0004798-0.0021917i,0.0080817+0.014392i,0.00021796-0.0044225i,-0.0020973-0.0028348i,0.0010214-0.0045693i,-0.0023166-0.004034i,0.001548-0.0002302i,0.0057972-0.0055556i,0.00131-0.0027928i,-0.0014504+0.0038705i,-0.0057132+0.015937i,0.01005+0.055665i,-0.021425-0.031997i,-0.033729-0.0096009i,-0.016061-0.0033933i,-0.01407-0.0048903i,0.024117-0.050558i,-0.0060309-0.058606i,0.021422-0.043439i,-0.019194-0.025336i,0.011045-0.018154i,0.0080525-0.0066362i,0.00040585-0.039473i,0.0076744-0.0049802i,-0.011034-0.015545i,-0.0030618-0.0087542i,-0.040711-0.019977i,0.0056565+0.02235i,-0.0038267-0.015382i,-0.0063128+0.0016531i,-0.0021317-0.0011955i,-0.013639-0.011546i,-0.00097147+0.013788i,0.013477-0.0001804i,0.022042+0.0085104i,0.00015184-0.0019971i,-0.0068128-4.0281e-05i,-0.010559-0.0023119i,-0.014884+0.01128i,-0.006695-0.0033383i,-0.024474+0.025503i,-0.0077693+0.00082114i,-0.010335+0.0090775i,-0.012541+0.0073579i,-0.0069918-0.0041534i,-0.008298+0.0085816i,-0.002697-0.0011353i,-0.00072336-0.00031805i,-0.002549-0.0049114i,-0.012034+0.003916i,0.0076523-0.0013999i,-0.0055991+0.010998i,0.0018745-0.0065904i,-0.01428+0.0083901i,-0.015699+0.0047844i,-0.024536-0.027854i,0.0091785-0.019655i,-0.043991+0.0017028i,-0.007512-0.011282i,0.019577+0.0027552i,-0.0038835+0.020924i,-0.013698-0.0061222i
-0.023037+0.0065401i,-0.015937-0.0020805i,-0.019822-0.014476i,-0.034191+0.010658i,-0.025894+0.0052388i,-0.033775+0.020532i,-0.075298+0.015662i,-0.037215+0.005021i,-0.016236+0.0146i,0.0039315+0.0025684i,-0.0019628+0.010741i,0.010096+0.010975i,0.0074382-0.0022473i,0.0010385+0.010394i,0.0042907+0.00046175i,0.010186+0.0085085i,0.020194-7.1513e-05i,0.0027416-0.0013709i,-0.0020857-0.00044006i,0.0033995-0.005806i,0.0013272-0.0017477i,0.0043084+0.00052722i,1.5588e-05-0.0014947i,0.0019698+0.012515i,-0.0057825+0.0029996i,0.0014248-0.0035461i,0.00051245-0.0021805i,0.00101+0.0004727i,0.00080067+0.00012553i,-0.0024043+0.0013404i,-0.00093538+0.0021663i,-0.0087696+0.0011651i,-0.0078444-0.0082873i,-3.8366e-05-0.00032174i,-0.0020789-0.0019053i,0.0096921+0.010427i,-0.0011565-0.0045306i,-0.0024413-0.0017255i,-0.0014292-0.0046457i,-0.0023322-0.0023259i,0.0015411-0.00082401i,0.0022463-0.0057548i,0.0004555-0.0030305i,-0.00061513+0.0034396i,-0.002374+0.015206i,0.026597+0.048237i,-0.027549-0.024795i,-0.032371+0.0036097i,-0.01049-0.00702i,-0.01188-0.0052626i,0.004844-0.066276i,-0.025457-0.057911i,0.016563-0.059562i,-0.020796-0.021574i,0.0067279-0.016278i,0.0036615-0.010632i,-0.01247-0.03627i,0.0036155-0.014374i,-0.014677-0.0095853i,-0.009031-0.011591i,-0.045582+0.0024875i,0.014523+0.015773i,-0.010033-0.012626i,-0.004625+0.0027256i,-0.0027693-0.00029414i,-0.018555-0.0047831i,0.0062779+0.0095009i,0.013942-0.0078381i,0.019077-0.0050339i,-0.00079434-0.0025422i,-0.0077662+0.001159i,-0.012053+0.0029992i,-0.0092017+0.018186i,-0.0081521+0.0020342i,-0.014385+0.031082i,-0.0066295+0.0028775i,-0.004573+0.012055i,-0.0068933+0.013584i,-0.010235+0.0018221i,-0.003692+0.009808i,-0.0038328-0.0011549i,-0.0024896+0.0016991i,-0.0054054-0.0037521i,-0.0066882+0.0049311i,0.0016873-0.0052308i,-0.0024183+0.012654i,-0.0030048-0.0059676i,-0.0091032+0.011499i,-0.013486+0.0051948i,-0.026288-0.024776i,0.0089149-0.018037i,-0.038032+0.016114i,-0.016-0.010957i,0.018465-0.0039092i,0.0043658+0.015225i,-0.012407-0.002873i
-0.021439+0.011296i,-0.01913-0.00092085i,-0.026072-0.012308i,-0.030353+0.015503i,-0.027478+0.0071339i,-0.027681+0.02721i,-0.058402+0.030125i,-0.03218+0.012926i,-0.010151+0.01684i,0.0040309+0.0023757i,0.0018513+0.0096766i,0.011316+0.0075458i,0.0050951-0.0041695i,0.0055787+0.0094988i,0.0036503-0.00057266i,0.0074341+0.0076623i,0.017236-0.006247i,-0.00012906-0.0027521i,0.00015494+0.0029545i,1.5267e-06-0.006272i,0.0014456-0.00096292i,0.0039363-0.0012623i,-0.00081257-0.0011635i,0.011124+0.0088607i,-0.0037524+0.0048886i,0.0007353-0.0029972i,-0.00094269-0.0013714i,0.0016359+0.0004939i,0.0010496-0.00041222i,-0.0016066+0.0023898i,0.00040715+0.0020286i,-0.0068647+0.0043428i,-0.0072811-0.00031282i,-0.00032913-0.00062225i,-0.0022119-0.00046482i,0.011882+0.0081537i,-0.0028394-0.0034784i,-0.0028623-0.00099414i,-0.0029937-0.0031034i,-0.0012328-0.0029611i,0.00097351-0.0015159i,0.00018821-0.004506i,-0.00013501-0.0021847i,-0.0012829+0.0038247i,-0.00046987+0.012683i,0.039611+0.034466i,-0.027003-0.013893i,-0.024929+0.014372i,-0.0063184-0.01198i,-0.0094515-0.0046896i,-0.023237-0.070035i,-0.040213-0.048688i,-0.0028693-0.068508i,-0.026815-0.014214i,0.0057498-0.012967i,-0.001906-0.010862i,-0.023613-0.027814i,-0.00447-0.016381i,-0.017011-0.0056399i,-0.018427-0.0071459i,-0.039568+0.018938i,0.016356+0.0055952i,-0.014926-0.0069794i,-0.0039839+0.003976i,-0.0032882+0.0014365i,-0.018755+0.0052186i,0.0054369+0.0039696i,0.011037-0.013236i,0.013425-0.015583i,-0.00201-0.0025019i,-0.009372+0.0050263i,-0.0089935+0.0078628i,-0.001062+0.020392i,-0.006923+0.006389i,-0.0078825+0.035683i,-0.006427+0.0044671i,-0.00028406+0.0099813i,0.00069044+0.014797i,-0.010051+0.007764i,-0.0016376+0.0063871i,-0.0050421-2.321e-05i,-0.0022791+0.0049859i,-0.0088671-0.00061203i,-0.0058175+0.0036729i,-0.0036029-0.0029506i,0.003275+0.013496i,-0.0063099-0.0039866i,-0.0023181+0.012093i,-0.014264+0.0073849i,-0.0313-0.018845i,0.013055-0.02441i,-0.027634+0.030349i,-0.020573-0.0035558i,0.014125-0.01055i,0.0063466+0.0068952i,-0.011047-0.0034938i
-0.017644+0.014262i,-0.018612+0.0015503i,-0.031111-0.0054126i,-0.026473+0.019078i,-0.029635+0.012046i,-0.019307+0.031029i,-0.042921+0.034918i,-0.026028+0.017143i,-0.0054877+0.016543i,0.0036659+0.0024951i,0.0032614+0.0083018i,0.012147+0.002287i,0.0026533-0.0049534i,0.0088149+0.006536i,0.0028884-0.001135i,0.0075973+0.0084005i,0.011534-0.0091333i,-0.001049-0.0031167i,0.0032664+0.002064i,-0.0012717-0.004157i,0.0021035-0.0024803i,0.0027963-0.0022828i,-0.00089909-0.00036094i,0.014593-0.00055532i,-0.00023141+0.0056534i,-2.0121e-05-0.0012542i,-0.00041916+0.0025275i,0.0021682-0.00083054i,0.0005754-0.0011936i,0.00028094+0.0028556i,0.0016224+0.0010388i,-0.0042026+0.005663i,-0.0060412+0.00076655i,-0.00060276-0.00024698i,-0.0017334+0.00024654i,0.014157+0.0043865i,-0.0039607-0.001993i,-0.0035305-0.00026445i,-0.003676-0.0021143i,-0.0018218-0.0048538i,0.00043113-0.0014001i,-0.00097515-0.003331i,-0.00035534-0.0016013i,-0.00017847+0.005089i,-4.787e-05+0.01118i,0.037351+0.016417i,-0.018029-0.0077796i,-0.016792+0.021284i,-0.0048297-0.014823i,-0.0059901-0.0076156i,-0.048168-0.055281i,-0.051491-0.034388i,-0.020907-0.064974i,-0.021314+0.0016024i,0.01033-0.0094196i,-0.0051927-0.0089621i,-0.026774-0.012683i,-0.011053-0.016176i,-0.021087+0.00054439i,-0.017813+0.0021764i,-0.029864+0.034438i,0.014143-0.0018179i,-0.013749+0.0017106i,-0.0048839+0.0044588i,-0.00054281+0.0036133i,-0.01306+0.012347i,0.0053663+0.004736i,0.0059024-0.023266i,-0.00032219-0.028372i,-0.0055353-0.0033154i,-0.0083372+0.0099449i,-0.0065945+0.0099988i,0.0072378+0.019243i,-0.0028716+0.0093946i,0.0055113+0.045713i,-0.0059221+0.0053245i,0.0010859+0.0095591i,0.0066475+0.012143i,-0.0049349+0.014667i,-0.0010651+0.0070469i,-0.0069373+0.002209i,0.0013323+0.0071054i,-0.0076669+0.0073192i,-0.0066606+0.0052634i,-0.0030472+0.0029975i,0.0064811+0.010156i,-0.0086809-0.0025352i,0.00092311+0.0072406i,-0.011665+0.012963i,-0.028752-0.0062317i,0.0053465-0.040146i,-0.0028287+0.033233i,-0.018375+0.0030461i,0.014523-0.019551i,0.006187-0.00051987i,-0.010574-0.00021743i
-0.013772+0.017158i,-0.0213+0.0013573i,-0.033471+0.0029781i,-0.021958+0.022693i,-0.028646+0.019037i,-0.011637+0.031594i,-0.031073+0.034882i,-0.020483+0.018964i,-0.0026139+0.01589i,0.0051066+0.0019575i,0.0065568+0.0074031i,0.0083396-0.0021832i,9.848e-05-0.004268i,0.010803+0.0016187i,0.0022985-0.0014744i,0.0091426+0.0087524i,0.0049234-0.0097934i,-0.0024867-0.0030644i,0.0036988-0.00084896i,-0.0015927-0.0028712i,0.0012445-0.0033917i,0.0029997-0.0021735i,-0.000694+7.3048e-05i,0.010785-0.0078946i,0.0036114+0.0038408i,-0.0014787-0.00040743i,0.0022851-0.00042267i,0.001512-0.0024652i,-9.2436e-06-0.00090706i,0.0014109+0.0016301i,0.0016851-0.00038282i,-0.0013432+0.0064157i,-0.0058116+0.0016124i,-0.00050536+0.00012685i,-0.0021151+0.00041375i,0.013826-0.00047835i,-0.0033794-0.00013227i,-0.0031597+0.0012559i,-0.0040738-0.00025147i,-0.0048534-0.0042927i,-0.0006805-0.0017034i,-0.00049572-0.0034368i,-0.00039106-0.0013552i,0.0007919+0.0035544i,0.00054223+0.010818i,0.032045+0.013676i,-0.014128-0.011084i,-0.00069781+0.024548i,-0.0038269-0.016968i,-0.010703-0.012547i,-0.058466-0.035798i,-0.050426-0.015125i,-0.041031-0.054456i,-0.0087325+0.0050028i,0.01411-0.022327i,-0.0066994-0.0062539i,-0.022053-0.0064736i,-0.021065-0.011693i,-0.015478+0.011044i,-0.015266+0.0059742i,-0.0084294+0.038805i,0.012827-0.0066426i,-0.01227+0.004098i,-0.0027436+0.0035904i,-0.0013527+0.00085313i,-0.0058202+0.015723i,0.008571+0.0017793i,-0.01021-0.024824i,-0.018706-0.020792i,-0.0056863+0.0026798i,-0.0039835+0.013233i,-0.0011467+0.011182i,0.014156+0.01202i,0.001059+0.0092634i,0.028531+0.041356i,-0.0027435+0.0068203i,0.0035208+0.0093823i,0.010348+0.0072267i,0.0031069+0.015273i,-0.002734+0.0070812i,-0.0064694+0.0086641i,0.0060219+0.0069373i,-0.0030652+0.010704i,-0.0068808+0.0072214i,-0.00068377+0.0045978i,0.0077817+0.0063319i,-0.0095533+0.0013312i,0.0020948+0.0029067i,-0.0059802+0.012693i,-0.021746-0.00092884i,-0.017214-0.043067i,0.013601+0.018333i,-0.015944+0.0062147i,0.0068151-0.028084i,0.00096686-0.0058762i,-0.004713-0.0014818i
-0.0087207+0.01824i,-0.024044+0.0081113i,-0.032323+0.012106i,-0.016004+0.024833i,-0.023969+0.025212i,-0.0057109+0.030692i,-0.022426+0.033093i,-0.015656+0.019462i,0.0011102+0.016064i,0.0058871+0.00024127i,0.0085223+0.0025319i,0.0044317-0.0018236i,-0.0010411-0.0024171i,0.0087833-0.0019327i,0.0016741-0.0019494i,0.011989+0.0077027i,0.0009486-0.0073648i,-0.0042576-0.0014175i,0.0016891-0.0015923i,-0.0023034-0.0023086i,-0.00055391-0.0034669i,0.0021445-0.0028431i,-0.00062009+0.00045981i,0.0051368-0.011507i,0.0038106-0.0002825i,-0.0010676-0.00083493i,0.0012189-0.0033896i,1.369e-05-0.002342i,0.0001504-0.00078389i,0.0012631+0.00060405i,0.00094144-0.0014316i,0.0015266+0.0055002i,-0.0087424-0.00096714i,-0.00014244+0.00017382i,-0.0016874+0.0015717i,0.012606-0.004501i,-0.002272+0.00049997i,-0.0021204+0.0021356i,-0.0027249+0.0012204i,-0.0059732-0.0018142i,-0.0013799-0.00085116i,-0.0013073-0.0032518i,-0.00070282-0.00091355i,-2.7888e-05+0.0027987i,0.0015199+0.01146i,0.037523+0.016511i,-0.015227-0.014305i,0.012395+0.018021i,-0.004059-0.021808i,-0.014021-0.008196i,-0.064804-0.01819i,-0.040416-0.0033654i,-0.038212+0.046844i,-0.00034389+0.00036471i,0.0069768-0.031556i,-0.0070883-0.0052005i,-0.018793-0.0017779i,-0.027297+0.00020815i,-0.0089069+0.012349i,-0.010839+0.010282i,0.010388+0.03055i,0.029877-0.031975i,-0.011923+0.0072582i,-0.0034392+0.0016233i,-0.0013761+0.0021391i,0.0015852+0.013498i,0.0066258-0.0044852i,-0.022462-0.013825i,-0.025503-0.00311i,-0.00025341+0.0060467i,0.0020496+0.013051i,0.0034332+0.010517i,0.017324+0.0042477i,0.0066983+0.0079411i,0.043806+0.0248i,-0.00081015+0.0060998i,0.0061653+0.0083289i,0.010051+0.0014647i,0.010502+0.010083i,-0.0020225+0.0123i,-0.00064238+0.013618i,0.0098074+0.0027218i,0.0037053+0.011089i,-0.0053916+0.011432i,0.00066308+0.0043708i,0.0078536+0.004538i,-0.0090695+0.0048302i,0.00019911+0.00011751i,-0.0036335+0.011675i,-0.012706+0.00079708i,-0.030696-0.026498i,0.015692-0.00027699i,-0.0052301+0.010127i,-0.0066826-0.031236i,-0.0074931-0.0063311i,-0.0066274-0.0080707i
-0.0043952+0.017295i,-0.020275+0.015885i,-0.026971+0.020803i,-0.011213+0.025362i,-0.018174+0.028843i,-0.00045327+0.029271i,-0.01605+0.029573i,-0.012344+0.019241i,0.0053925+0.014708i,0.0052392-0.0019239i,0.0058873-0.00081781i,0.0041817-0.00071981i,-0.00067793-0.0010606i,0.0062848-0.0038334i,0.00093459-0.0019175i,0.015228+0.004631i,8.3678e-05-0.0042373i,-0.0039991+0.0015158i,0.0010057-0.0010943i,-0.0031469-0.0010471i,-0.0015978-0.0021661i,0.00085836-0.0028253i,-0.00010646+0.00090675i,-0.00016054-0.010818i,0.0016269-0.0013029i,-0.0011383-0.00165i,-0.00090925-0.0039142i,-0.00094357-0.0020377i,-0.00019516-0.00113i,0.0012448+0.00026255i,-0.00018557-0.0021485i,0.0034794+0.003513i,-0.002323-0.0051348i,6.8434e-05+0.00030511i,-0.00094759+0.00083453i,0.009743-0.0085067i,-0.0015045+0.00057679i,-0.0010504+0.0028068i,-0.0022649+0.0023456i,-0.0052502+0.00018348i,-0.0013138+3.1064e-06i,-0.0026124-0.0027446i,-0.00033064-0.00067986i,-0.0012291+0.004117i,0.0037592+0.012249i,0.051711+0.011218i,-0.020176-0.014617i,0.021445+0.0075466i,-0.0079796-0.022357i,-0.014168-0.0054667i,-0.063848+0.002792i,-0.033126+0.00014876i,-0.054447-0.0149i,0.0041354-0.0042638i,-0.0029808-0.0375i,-0.0087708-0.0042283i,-0.016995-0.0029667i,-0.021124+0.013439i,-0.0044298+0.012454i,-0.0026023+0.0096043i,0.015314+0.015769i,0.00081271-0.010942i,-0.0090107+0.011911i,-0.0061272+0.0022476i,-0.00028294+0.0017504i,0.0039196+0.0086813i,0.00018107-0.0042523i,-0.024732+0.00097057i,-0.020053+0.0078685i,0.0043457+0.0034909i,0.0053605+0.011832i,0.0054133+0.0077616i,0.01409-0.0063387i,0.0076374+0.0015935i,0.048153+0.0038535i,-0.00021554+0.0073995i,0.0089597+0.004444i,0.0075823-0.0014678i,0.011564+0.0039222i,0.0040147+0.015918i,0.008276+0.0098788i,0.0084449-0.001914i,0.0087645+0.0061893i,0.0009857+0.015439i,0.0012259+0.0061615i,0.0083105+0.0032673i,-0.0091473+0.0080891i,-0.0043032+0.00046413i,-0.0022115+0.012113i,-0.0051581-0.0031114i,-0.028724-0.012057i,0.006426-0.012932i,0.00087492+0.0026058i,-0.020474-0.026876i,-0.01147+0.0021033i,-0.012971-0.0059578i
-0.0017365+0.015977i,-0.013798+0.018909i,-0.018703+0.026043i,-0.007184+0.025438i,-0.011676+0.030995i,0.0040884+0.027297i,-0.013129+0.026089i,-0.0098729+0.019454i,0.0085602+0.011708i,0.0036275-0.0033223i,0.0032094-0.0011631i,0.0037481-5.6304e-05i,0.00023202-0.00091394i,0.0041224-0.0047205i,0.00076212-0.0016796i,0.01485-0.0024122i,0.0015434-0.0040072i,-0.0024642+0.003028i,0.00050732-0.0013277i,-0.0025288+0.0010649i,-0.0017095-0.0014628i,-0.00047088-0.001694i,0.00054354+0.0009583i,-0.0033797-0.008859i,0.00088017-0.0014014i,-0.002161-0.0013445i,-0.0028898-0.003233i,-0.0015878-0.0014717i,-0.00097522-0.00091486i,0.0011353-0.00046615i,-0.0016553-0.0017593i,0.0042811+0.00079561i,0.0020807-0.0048954i,0.0005598-6.3287e-05i,-0.0012383+0.00069591i,0.0039106-0.0098837i,-0.0014353+0.00013653i,0.00035144+0.002732i,-0.0010913+0.0034941i,-0.0036848+0.002215i,-0.0010928+0.00042449i,-0.0027089-0.0012825i,-0.00037343-0.0009526i,0.00082407+0.0067671i,0.0071865+0.011769i,0.064587-0.0086694i,-0.025963-0.010022i,0.023358-0.0043146i,-0.0076634-0.02329i,-0.01454-0.0032945i,-0.054172+0.017973i,-0.02713+0.0037431i,-0.038978+0.00048287i,0.0055933-0.013061i,-0.016643-0.038645i,-0.0095248-0.0020593i,-0.020299-0.0027342i,-0.011649+0.01728i,-0.00095233+0.010169i,0.0011361+0.0026895i,0.011075+0.0050337i,-0.0037596-0.011086i,-0.004213+0.014421i,-0.0055838+0.0079697i,-0.0011509+0.0004867i,0.0018318+0.0055232i,-0.001122+0.00014141i,-0.019138+0.012293i,-0.012889+0.015144i,0.0043186+0.00095397i,0.0099293+0.0093184i,0.0067056+0.0059231i,0.0065339-0.010967i,0.004966-0.0014712i,0.043295-0.014i,0.0030922+0.007926i,0.0083641+0.0012647i,0.0050702-0.0025937i,0.011484+0.00087656i,0.012301+0.014789i,0.0094854+0.0032447i,0.0068818-0.0040534i,0.0082798+0.0010349i,0.0096226+0.014174i,0.0035286+0.0054688i,0.0093757-0.00036083i,-0.0042708+0.013978i,-0.0045729+0.0037135i,1.4082e-06+0.01306i,-0.0034904-0.011436i,-0.024037-0.0063077i,0.002594-0.015478i,-0.00037357-0.0044671i,-0.031291-0.018073i,-0.0076308+0.0047938i,-0.013453-0.0027649i
0.00055298+0.015197i,-0.0073078+0.019019i,-0.0096998+0.027727i,-0.0028775+0.025761i,-0.0048987+0.030816i,0.0077564+0.024959i,-0.011624+0.024631i,-0.0070329+0.020262i,0.010516+0.0083565i,0.0018968-0.0033876i,0.0022809-0.00042521i,0.0049018-0.00060036i,0.00035796-0.0012755i,0.0017248-0.0042645i,0.00037592-0.0018225i,0.010774-0.0056502i,0.000594-0.0062157i,-0.00070852+0.0043321i,-6.2361e-05-0.00086913i,-0.0011889+0.0018727i,-0.0022442+0.00032537i,-0.00036296-0.00041982i,0.001073+0.00066527i,-0.0058544-0.0070686i,0.00012155-0.001079i,-0.0025158-0.00015986i,-0.0045047-0.0016949i,-0.0018432-0.00062131i,-0.0016072+0.00011886i,0.00028507-0.00093173i,-0.0025206-0.00049814i,0.0030336-0.001219i,0.0011036-0.0036712i,0.00074625-0.00074354i,-0.0014673+0.00082028i,0.00044148-0.0071253i,-0.0014925+0.00064358i,0.0014189+0.0019301i,0.00092247+0.0043621i,-0.0012841+0.0032499i,-0.00093161+0.0008875i,-0.0024336-0.00016906i,-0.00078025-0.001104i,0.0034671+0.0054712i,0.010416+0.0096585i,0.060288-0.035709i,-0.027963-0.002426i,0.023861-0.014806i,-0.0096025-0.029799i,-0.013956-0.00070206i,-0.044425+0.026844i,-0.021221+0.0039789i,-0.027988+0.0053635i,0.0017182-0.017801i,-0.030578-0.033271i,-0.010235-9.5053e-05i,-0.027087+0.00080864i,-0.0048799+0.016674i,0.0017406+0.0064034i,-0.00091431-0.0027179i,0.0048966+0.0015173i,-0.0091686-0.0098751i,0.00067994+0.013806i,-0.0025074+0.0081309i,-0.0028857+0.0016004i,0.0010141+0.0036581i,0.00070918+0.0024027i,-0.010679+0.017325i,-0.0040754+0.017565i,0.0049494-0.00047218i,0.013195+0.0034206i,0.0078561+0.0042928i,-0.00065614-0.0099376i,0.0025798-0.002248i,0.031534-0.027067i,0.0064436+0.0067983i,0.0072195-0.00083764i,0.0023959-0.0029052i,0.011142-0.0050547i,0.018354+0.0086711i,0.0078823-0.0011591i,0.0045402-0.0065138i,0.0066287-0.0019057i,0.014773+0.0092937i,0.0050225+0.0052088i,0.0064555-0.0036043i,0.0034707+0.013931i,-0.0027398+0.0043367i,0.0048715+0.012766i,-0.0088542-0.015372i,-0.020697-0.00099744i,-0.0027318-0.01713i,-0.0051272-0.007171i,-0.037613-0.0074599i,-0.0059853+0.0043581i,-0.012622-0.00034538i
