-0.025679-0.0043851i,-0.022055-0.0070995i,-0.012249-0.012662i,-0.035097-0.0071312i,-0.027151+0.0016592i,-0.036036-0.0032361i,-0.066619-0.040512i,-0.032946-0.015646i,-0.022425+0.0032204i,0.0064336+0.0063028i,-0.0051215+0.007371i,-0.0079472+0.018054i,0.006112+0.0080112i,-0.0011489+0.003204i,0.0042191+0.0037989i,0.0037128+0.025903i,0.021697+0.019944i,0.0013296-0.00060289i,0.00076831-0.0046904i,0.0088393-9.2072e-06i,0.0052892-0.000448i,0.0023202+0.0015695i,0.0014113-0.00082778i,-0.024515-0.0018675i,-0.0047872-0.0041695i,-0.00051182+0.0028499i,0.0045367-0.0040735i,-0.0018219-0.00039609i,-0.00043385+0.0011735i,-0.0020911-0.0013845i,-0.0036945-0.00017158i,-0.0072491-0.0086829i,-0.0052262-0.0071259i,-0.00052683+0.00031136i,-0.00036054-0.0022496i,7.5708e-05+0.021896i,0.0022983-0.0040985i,0.00058253-0.0042285i,0.0028455-0.0020848i,-0.0029728-0.0029336i,0.00074124-5.6293e-06i,0.0080064-0.0021458i,0.0030346-0.0019666i,-4.8846e-05+0.0027698i,-0.014367+0.015371i,-0.02666+0.052873i,-0.0060409-0.037571i,-0.014174-0.018291i,-0.039697-0.016832i,-0.027785-0.012782i,0.036428-0.011725i,0.0059709-0.030496i,0.012973-0.038387i,-0.0083062-0.030511i,0.025941-0.023298i,0.013117+0.0072246i,0.028233-0.03569i,-0.0016642-0.0042751i,0.0058942-0.0087563i,-0.0013814-0.0060159i,0.00032098-0.035929i,-0.014415+0.02843i,0.0088301-0.011295i,-0.0084761-0.0045552i,-0.0024163-0.0022239i,0.00025594-0.01568i,-0.0081282+0.005903i,0.004537+0.006867i,-0.0017673+0.02849i,0.0023777+0.00037578i,-0.0071144-0.0044421i,-0.0039088-0.0062847i,-0.014747-0.0094349i,-0.0018843-0.0064949i,-0.034768+0.0055861i,-0.0048603-0.0087201i,-0.013044-0.0010774i,-0.01035-0.0057751i,0.0016096-0.0015029i,-0.013557+0.0020956i,-0.0015256-0.00020644i,0.0054731+0.0060031i,0.003736-0.0051179i,-0.013885-0.013679i,0.0072567+0.0087105i,-0.016178+0.0052419i,0.0049075+0.00033332i,-0.019209-0.0031212i,-0.015856-0.00436i,-0.015433-0.035603i,0.020741-0.010255i,-0.038523-0.023841i,-0.0091105+0.0043677i,0.018108+0.014667i,-0.022236+0.017117i,-0.0035074-0.0037601i
-0.027126-0.00087229i,-0.020198+0.0015472i,-0.013039-0.013308i,-0.036101-0.0023539i,-0.026186+0.0026536i,-0.037919+0.0040877i,-0.073052-0.028432i,-0.034488-0.011083i,-0.020012+0.0073729i,0.0052928+0.0040725i,-0.0050195+0.0062556i,0.00052322+0.020195i,0.0087809+0.0045652i,-0.0035581+0.0051267i,0.0044707+0.0022074i,0.0087621+0.020782i,0.022849+0.011868i,0.0021245-0.00026556i,-0.00063766-0.0030175i,0.006984-0.0033592i,0.004073-0.001749i,0.002002+0.00091543i,0.0012138-0.0012179i,-0.013661+0.008103i,-0.0057265-0.001726i,0.0025437+0.0013819i,0.0015317-0.0020257i,-0.00076456+0.00091257i,0.0010787+0.00049039i,-0.0024372-0.00053381i,-0.0026493+0.00099134i,-0.0084004-0.0058258i,-0.006703-0.0045103i,-0.00013121+0.00012615i,-7.7625e-05-0.0013202i,0.0067472+0.01902i,0.0015206-0.0048196i,-0.0013146-0.0037339i,0.0030706-0.0033078i,-0.0019927-0.0028583i,0.001239+0.00026883i,0.0065099-0.0032531i,0.0021132-0.0020007i,-0.0012366+0.0029885i,-0.010502+0.016613i,-0.006719+0.058258i,-0.01433-0.036135i,-0.024807-0.019927i,-0.030497-0.0049504i,-0.0209-0.0021922i,0.032615-0.033342i,0.0074308-0.045645i,0.015617-0.037532i,-0.013746-0.031574i,0.014544-0.018526i,0.011303-0.0028715i,0.012802-0.038575i,0.00036664-0.0012833i,-0.0010771-0.017024i,-0.0024861-0.0060351i,-0.02366-0.032902i,-0.0021936+0.024455i,0.0033132-0.014928i,-0.010517+0.00013542i,-0.00076823-0.0010437i,-0.0067969-0.014734i,-0.0073937+0.010218i,0.00931+0.0059109i,0.015628+0.022047i,0.00080972-0.0014717i,-0.00708-0.00071268i,-0.0081984-0.0055667i,-0.018792+0.00037392i,-0.0021544-0.0048484i,-0.037414+0.014281i,-0.0082882-0.003568i,-0.012263+0.0037342i,-0.013089-0.00023766i,-0.0010037-0.0053435i,-0.010423+0.0064463i,-0.00055401-0.0022852i,0.0030526+0.00056562i,0.00014014-0.0055268i,-0.019709-0.0024826i,0.0084702+0.0034573i,-0.011303+0.010942i,0.0049866-0.0023867i,-0.017848+0.0039323i,-0.017736-0.00015456i,-0.020824-0.032054i,0.016252-0.017432i,-0.044345-0.010027i,-0.0009285-0.0030006i,0.018773+0.0089894i,-0.01487+0.022286i,-0.010422-0.009361i
-0.026838+0.0039755i,-0.015187+0.0016095i,-0.015575-0.014268i,-0.036552+0.004104i,-0.02594+0.0038501i,-0.037968+0.012015i,-0.080789-0.010346i,-0.037425-0.0052435i,-0.017934+0.010187i,0.004435+0.0032134i,-0.0050064+0.0087093i,0.0073965+0.016077i,0.0088019+0.00046414i,-0.003198+0.0080937i,0.0044438+0.001134i,0.011432+0.014847i,0.025042+0.0046487i,0.0031164-0.0011902i,-0.00057875-0.0021337i,0.0048352-0.0045541i,0.0022484-0.0022236i,0.0024916+0.00087292i,0.00070239-0.0016981i,-0.005905+0.011245i,-0.0051843+0.00067693i,0.0028825-0.0012816i,0.00079305-0.0013997i,0.00057639+0.00090035i,0.00098072-0.00019329i,-0.0020567+0.00025102i,-0.0018596+0.001592i,-0.0098328-0.002177i,-0.0073785-0.0019836i,1.428e-05-0.0002444i,0.0002078-0.0026561i,0.01156+0.013834i,0.00052079-0.0050893i,-0.0023625-0.0024734i,0.0016466-0.0052327i,-0.0028913-0.0024538i,0.0015707-9.8878e-05i,0.0046476-0.0050276i,0.0017431-0.0020562i,-0.0010433+0.0038041i,-0.0070776+0.016189i,0.011628+0.055899i,-0.022016-0.032292i,-0.032922-0.0099624i,-0.016645-0.0031843i,-0.014221-0.0046548i,0.022849-0.050214i,-0.0071871-0.058779i,0.020712-0.043257i,-0.019714-0.026609i,0.010363-0.017452i,0.0079072-0.0068391i,0.00080494-0.039451i,0.0079731-0.0052579i,-0.010958-0.014941i,-0.0032379-0.0085527i,-0.040132-0.019038i,0.0043693+0.020949i,-0.0038748-0.015504i,-0.0078796+0.0029831i,-0.0022248-0.0015501i,-0.013716-0.011777i,-0.00053365+0.013657i,0.013707-0.00065612i,0.023824+0.0073421i,0.00017924-0.0018094i,-0.0069754+0.00014048i,-0.010533-0.0024678i,-0.015658+0.010505i,-0.0066591-0.0034709i,-0.031355+0.027024i,-0.00759+0.00044782i,-0.0099593+0.009204i,-0.013246+0.0084031i,-0.0067932-0.0042616i,-0.008991+0.0086305i,-0.0025605-0.00276i,-0.00078545+0.0002104i,-0.0023633-0.0053591i,-0.012485+0.0069978i,0.0067581-0.0014209i,-0.0066583+0.012295i,0.0023157-0.0064871i,-0.014325+0.0084995i,-0.015689+0.0044772i,-0.023317-0.027373i,0.0091095-0.019306i,-0.042347+0.0029179i,-0.0066692-0.012626i,0.018752+0.0024283i,-0.0042101+0.02135i,-0.013881-0.006602i
-0.025175+0.0088203i,-0.014704-0.0011901i,-0.019477-0.014551i,-0.033783+0.010429i,-0.026385+0.0052154i,-0.03428+0.020571i,-0.077163+0.016109i,-0.03809+0.0044701i,-0.015434+0.014339i,0.004207+0.0029686i,-0.0017583+0.010929i,0.009652+0.011017i,0.0073418-0.0026894i,-0.00015113+0.011029i,0.0038419+0.00010518i,0.010288+0.0083823i,0.024353-0.0070175i,0.0025914-0.0029821i,-0.0013669-0.00060257i,0.0027618-0.0051095i,0.0018966-0.0018774i,0.0033859+7.7488e-05i,-7.8861e-05-0.0018433i,0.0036905+0.015065i,-0.0039657+0.0022496i,0.0012338-0.0026878i,0.001593-0.0015568i,0.00076619+0.00012874i,0.0011941-0.00043542i,-0.0020154+0.00075354i,-0.00080821+0.0021342i,-0.009165+0.0013331i,-0.0076188+0.00090699i,-2.6464e-05-0.00053267i,-0.0017989-0.0027053i,0.012275+0.0090996i,-0.0012851-0.0054132i,-0.0026808-0.001457i,-0.00097921-0.0054073i,-0.0024289-0.0011469i,0.0015395-0.00088432i,0.0017572-0.0051607i,0.00084215-0.0021698i,-0.00015279+0.003362i,-0.0034581+0.015384i,0.028288+0.048171i,-0.028137-0.02454i,-0.032228+0.0031763i,-0.010799-0.0065886i,-0.012064-0.005021i,0.0041259-0.065303i,-0.026563-0.057613i,0.016205-0.059938i,-0.021974-0.022337i,0.0062577-0.015638i,0.0032798-0.010363i,-0.01264-0.036086i,0.0036519-0.014412i,-0.014535-0.0091373i,-0.0092798-0.011176i,-0.044724+0.0030149i,0.012771+0.015178i,-0.01029-0.013079i,-0.0056237+0.003478i,-0.0029388-0.00042708i,-0.018421-0.0051343i,0.0065963+0.0093677i,0.013741-0.0081622i,0.022278-0.0055144i,-0.00087481-0.0020857i,-0.0080924+0.0015957i,-0.011842+0.0026354i,-0.0099112+0.017922i,-0.0082052+0.0018002i,-0.021932+0.036122i,-0.0068121+0.0025448i,-0.0040519+0.011736i,-0.0065635+0.014591i,-0.010182+0.0012579i,-0.0044252+0.010096i,-0.0036705-0.0012048i,-0.0024843+0.0022151i,-0.0056742-0.0041355i,-0.0067628+0.0065931i,0.00090522-0.0048663i,-0.0037339+0.014394i,-0.0029416-0.0060903i,-0.009222+0.011308i,-0.013666+0.0051205i,-0.024978-0.024608i,0.0087644-0.018074i,-0.037068+0.0161i,-0.01591-0.012215i,0.01796-0.0040725i,0.0043696+0.016047i,-0.012843-0.0031019i
-0.022274+0.013957i,-0.017879-0.00039544i,-0.025667-0.01233i,-0.030236+0.014957i,-0.027969+0.0074737i,-0.028245+0.027411i,-0.059661+0.030874i,-0.032949+0.012486i,-0.0098015+0.016545i,0.0042818+0.0027336i,0.0020435+0.0097472i,0.011014+0.0078694i,0.0048474-0.00443i,0.004882+0.01107i,0.0031376-0.00060241i,0.0075499+0.0074817i,0.014035-0.014796i,0.0010219-0.0038784i,0.00037314+0.0023197i,0.00094795-0.0052456i,0.001776-0.00097366i,0.0027679-0.0015227i,-0.0010163-0.0013134i,0.014591+0.0070132i,-0.0023923+0.0035551i,0.0002043-0.002438i,0.0002363-0.0022095i,0.0012015+0.00020117i,0.0011677-0.00095291i,-0.0015225+0.0017619i,0.0005693+0.0020447i,-0.0070807+0.004887i,-0.0055364+0.0034405i,-0.00049204-0.00068126i,-0.0021606-0.0013712i,0.013843+0.0063963i,-0.0030444-0.0041431i,-0.0031106-0.00043882i,-0.00262-0.0038343i,-0.0021413-0.0022875i,0.00067385-0.0014753i,1.681e-05-0.0040508i,0.0005259-0.0016688i,-0.00064443+0.0035471i,-0.001621+0.013027i,0.041324+0.033815i,-0.027288-0.01381i,-0.025506+0.013979i,-0.0070135-0.011432i,-0.0094362-0.0044938i,-0.023423-0.068993i,-0.040944-0.04787i,-0.0038838-0.069199i,-0.027661-0.014714i,0.0052909-0.012365i,-0.001796-0.01088i,-0.02382-0.027047i,-0.0044091-0.016253i,-0.016717-0.0051333i,-0.018314-0.006391i,-0.038232+0.019933i,0.01491+0.0053463i,-0.015824-0.0069334i,-0.0045217+0.0042988i,-0.0033854+0.0015506i,-0.018793+0.0041176i,0.0058638+0.0037753i,0.010889-0.01331i,0.018043-0.015067i,-0.0015469-0.0021283i,-0.0094852+0.0056279i,-0.0088049+0.007391i,-0.0016379+0.020549i,-0.0067183+0.0065333i,-0.012777+0.043057i,-0.0065864+0.0043361i,-0.00015968+0.0095403i,0.00079976+0.01562i,-0.010455+0.0066882i,-0.0019367+0.0073293i,-0.0046187-0.00027623i,-0.0021591+0.00562i,-0.0096774-0.00091376i,-0.0060605+0.0049921i,-0.00402-0.0021154i,0.002679+0.015583i,-0.0063828-0.0038635i,-0.0027326+0.011611i,-0.014466+0.0075812i,-0.030012-0.018961i,0.013104-0.024941i,-0.026365+0.030884i,-0.021112-0.0040713i,0.013617-0.009991i,0.0068327+0.0075574i,-0.01141-0.0036075i
-0.017461+0.017309i,-0.017125+0.0016786i,-0.030772-0.0056343i,-0.026816+0.018793i,-0.029675+0.01247i,-0.019615+0.031489i,-0.044029+0.036099i,-0.026902+0.016621i,-0.0050801+0.016198i,0.0040538+0.0028665i,0.0034107+0.0083476i,0.01199+0.0026811i,0.0023261-0.0050834i,0.0095433+0.0080456i,0.0025262-0.00096909i,0.0076692+0.0080856i,0.0045061-0.014032i,-6.7104e-05-0.0037945i,0.0030767+0.0015593i,-0.00091375-0.0045201i,0.0026435-0.0023841i,0.0014617-0.0019903i,-0.0010624-0.0004202i,0.015247-0.0037338i,8.6139e-05+0.0039735i,-0.00065717-0.0023128i,-0.0012721+0.0012804i,0.0016335-0.00090308i,0.00062713-0.0019038i,0.00013294+0.0022909i,0.0018966+0.00091358i,-0.0038805+0.0061186i,-0.0034851+0.0055893i,-0.00054698-0.00018518i,-0.0015773-0.00082942i,0.015655+0.0019921i,-0.0042112-0.0023116i,-0.003534+0.00050461i,-0.0034819-0.0025793i,-0.0041275-0.0029298i,0.00030355-0.0012791i,-0.00082364-0.002957i,0.00020009-0.0014046i,7.414e-05+0.0042736i,-0.0012862+0.012022i,0.039181+0.01485i,-0.018212-0.0075913i,-0.017441+0.020915i,-0.0052803-0.013949i,-0.0058322-0.0075996i,-0.048473-0.054405i,-0.052044-0.03338i,-0.021629-0.064797i,-0.02225+0.001675i,0.010105-0.0085577i,-0.0053689-0.0089017i,-0.026593-0.011943i,-0.010863-0.016032i,-0.020581+0.00086702i,-0.017184+0.0024929i,-0.027341+0.034383i,0.012602-0.0010442i,-0.014055+0.0021925i,-0.0053582+0.0045245i,-0.00047415+0.0034936i,-0.013515+0.011407i,0.0059112+0.0043236i,0.0052803-0.02311i,0.0041664-0.025309i,-0.0049005-0.0031558i,-0.0082743+0.010714i,-0.0067169+0.0094874i,0.0069225+0.019435i,-0.0024556+0.0095725i,0.0047973+0.053i,-0.0056564+0.0056108i,0.00093093+0.0092698i,0.0068054+0.012589i,-0.0060679+0.014463i,-0.0010585+0.0078447i,-0.0065429+0.0018651i,0.0015338+0.0073082i,-0.0089018+0.0078115i,-0.0066782+0.0058421i,-0.0031778+0.003476i,0.0069078+0.012015i,-0.0087268-0.0022846i,0.00045825+0.0071672i,-0.011173+0.012152i,-0.028026-0.0066695i,0.0045033-0.040445i,-0.0020128+0.033077i,-0.018724+0.0027366i,0.012943-0.018241i,0.0064172-0.00037738i,-0.01146-0.00049592i
-0.011987+0.019106i,-0.020223+0.0011771i,-0.033143+0.0027621i,-0.022454+0.022583i,-0.028534+0.019314i,-0.01167+0.031944i,-0.031433+0.036402i,-0.021553+0.018519i,-0.0024794+0.015226i,0.005545+0.00215i,0.0064977+0.0077079i,0.0081526-0.0017035i,-0.0002528-0.0042396i,0.012031+0.0021989i,0.0021207-0.0012374i,0.0090115+0.0081431i,-0.00078395-0.0099796i,-0.0016368-0.0039205i,0.0033784-0.00094636i,-0.0017636-0.0031795i,0.0017321-0.0040856i,0.0015272-0.0016439i,-0.00083196+8.5754e-05i,0.0096393-0.010291i,0.0026208+0.0024119i,-0.0010158-0.0015492i,0.0018577-0.0007263i,0.0010563-0.0019391i,-0.00026912-0.0015459i,0.0011952+0.0013013i,0.0019088-0.00067437i,-0.00088349+0.0066988i,0.00035932+0.0056462i,-0.00038702-9.9632e-06i,-0.0020426-0.00085023i,0.014541-0.0036594i,-0.0036248-0.00034968i,-0.0029545+0.0020225i,-0.0039487-0.00082103i,-0.0065855-0.00075454i,-0.00048077-0.0012891i,-0.0008043-0.0032752i,0.00014099-0.0012292i,0.00077313+0.0030832i,-0.00039567+0.011998i,0.032338+0.011637i,-0.014607-0.010908i,-0.0014758+0.024679i,-0.0040328-0.016246i,-0.010633-0.01253i,-0.058245-0.034648i,-0.050221-0.014151i,-0.039788-0.056293i,-0.0087843+0.005706i,0.014049-0.020582i,-0.0065839-0.0060134i,-0.021966-0.0057878i,-0.020986-0.011455i,-0.015284+0.010801i,-0.014691+0.0063047i,-0.0062024+0.038689i,0.010383-0.0049859i,-0.012432+0.0048827i,-0.0023918+0.0040575i,-0.0013886+0.0008001i,-0.0066116+0.015053i,0.0086611+0.0012884i,-0.010818-0.024229i,-0.013981-0.020795i,-0.0050761+0.0025547i,-0.0034411+0.013809i,-0.0014204+0.011123i,0.014028+0.012141i,0.0015657+0.0090229i,0.029648+0.046633i,-0.0023756+0.0068525i,0.0030947+0.0092i,0.010541+0.007388i,0.0033456+0.01625i,-0.002654+0.0075442i,-0.006018+0.0084851i,0.0060001+0.0073785i,-0.0037158+0.012072i,-0.0069136+0.0081428i,-0.00068011+0.0049936i,0.0082881+0.0078766i,-0.0096275+0.0015935i,0.0016039+0.00308i,-0.0062238+0.012416i,-0.021468-0.0016637i,-0.017941-0.043297i,0.013828+0.018054i,-0.016435+0.0068102i,0.0039626-0.026903i,0.0011569-0.0056519i,-0.0053858-0.0013432i
-0.0069461+0.019085i,-0.022939+0.0076891i,-0.03207+0.011838i,-0.016509+0.024809i,-0.02375+0.025292i,-0.0056005+0.030957i,-0.022044+0.034044i,-0.016973+0.019234i,0.00079368+0.015292i,0.0062723+0.00046854i,0.0092345+0.0030066i,0.004359-0.00099449i,-0.0012124-0.0022272i,0.0097044-0.0019898i,0.0016499-0.0016621i,0.01189+0.0062981i,-0.0026455-0.0057044i,-0.003376-0.0027389i,0.0015233-0.0019045i,-0.0024176-0.0023573i,-0.00069079-0.0043744i,0.0010319-0.002174i,-0.00071587+0.00049668i,0.0034064-0.012873i,0.0025576+3.6224e-05i,-0.00083294-0.0013689i,0.0015024-0.0032628i,8.2513e-05-0.0020505i,1.3891e-05-0.0013805i,0.00097838+0.00040278i,0.0010272-0.0018715i,0.002001+0.0056189i,0.002605+0.0042186i,-0.00016492-9.3786e-05i,-0.0019489+0.00044892i,0.011478-0.0077997i,-0.0027631+0.00033058i,-0.0013484+0.0027605i,-0.0030349+0.0002021i,-0.0064734+0.0021947i,-0.0010195-0.00065036i,-0.0015419-0.0030588i,-6.4705e-05-0.0011915i,0.00027819+0.0021057i,0.00094967+0.01305i,0.037133+0.0147i,-0.015755-0.013853i,0.011854+0.018407i,-0.0041061-0.021702i,-0.014011-0.0082994i,-0.064251-0.017288i,-0.039888-0.003122i,-0.056165-0.036588i,0.00033568+0.00075402i,0.0084743-0.02989i,-0.006735-0.0046444i,-0.01843-0.0016734i,-0.027151+0.00084084i,-0.009297+0.012164i,-0.0099717+0.010493i,0.011971+0.029793i,0.0071754-0.0097837i,-0.011443+0.0087584i,-0.0027907+0.001667i,-0.0014179+0.0023598i,0.0012872+0.013018i,0.006513-0.0048101i,-0.02266-0.013045i,-0.022008-0.0066958i,0.00019866+0.0056584i,0.0031284+0.013701i,0.00314+0.010341i,0.017241+0.0049215i,0.0067279+0.0075305i,0.045939+0.028031i,-0.00031436+0.0062381i,0.0055484+0.0086387i,0.010052+0.00097513i,0.010527+0.010182i,-0.0021199+0.013319i,-0.00034524+0.013155i,0.0098422+0.0028587i,0.0044413+0.011825i,-0.0058741+0.011952i,0.00098613+0.0046936i,0.008348+0.0054525i,-0.0092364+0.005113i,-0.00028847+0.00042459i,-0.0040684+0.011814i,-0.012709+0.00048931i,-0.031144-0.027059i,0.01541-9.6228e-05i,-0.0053994+0.010739i,-0.0084137-0.030954i,-0.0070046-0.0065607i,-0.0068522-0.0076525i
-0.002956+0.017857i,-0.019685+0.015314i,-0.026915+0.020383i,-0.011681+0.025402i,-0.017915+0.028614i,-0.00033789+0.029405i,-0.01569+0.029966i,-0.013791+0.019078i,0.0049595+0.01437i,0.0060594-0.0016509i,0.0066952-0.0014949i,0.0043562+0.00067172i,-0.00069608-0.0008441i,0.0069089-0.0043196i,0.0010186-0.0016629i,0.013621+0.0024717i,-0.001529-0.002593i,-0.0039076-0.00086985i,0.00053864-0.0015751i,-0.0030481-0.001142i,-0.0017954-0.0027291i,-0.00010685-0.0021831i,-0.00021233+0.00097482i,-0.0015435-0.011476i,0.0015497-0.0011736i,-0.0010943-0.0018549i,-0.00048515-0.0040629i,-0.00080517-0.0019612i,-0.00058618-0.0018147i,0.00089992+0.0001453i,-0.00027482-0.002661i,0.0041343+0.0037156i,0.003428+0.0016676i,0.00013717-5.3059e-05i,-0.0011147+7.1706e-05i,0.0070392-0.010501i,-0.0019239+0.00051153i,4.8143e-05+0.0027183i,-0.0032011+0.00065204i,-0.0052418+0.0043287i,-0.00099982+0.00011247i,-0.0029099-0.002419i,5.9306e-06-0.0010979i,-0.0010089+0.0027893i,0.003537+0.014152i,0.050722+0.010156i,-0.020181-0.014083i,0.020712+0.0081782i,-0.0083073-0.022269i,-0.014241-0.0052558i,-0.063182+0.0031009i,-0.032955+0.00024046i,-0.052042-0.0098546i,0.0041815-0.004748i,-0.0018556-0.036327i,-0.0080286-0.0041081i,-0.01684-0.0027856i,-0.020846+0.013643i,-0.0045524+0.012458i,-0.0017467+0.0090387i,0.016325+0.014686i,0.0025205-0.011427i,-0.0080571+0.012656i,-0.004431+0.0025964i,-0.00046253+0.0017306i,0.0037944+0.0081712i,4.3752e-05-0.0042622i,-0.024912+0.0014295i,-0.020416+0.0050585i,0.0044577+0.0028363i,0.0067814+0.011675i,0.0048961+0.0079971i,0.014712-0.0055876i,0.0076734+0.0013696i,0.049989+0.005641i,0.00037345+0.0072879i,0.0087637+0.0053951i,0.0068394-0.0017639i,0.011935+0.0044313i,0.0050458+0.017067i,0.0083332+0.0096886i,0.0084714-0.0015907i,0.0092656+0.0058149i,-0.0001633+0.016573i,0.0015447+0.0060712i,0.0086948+0.0037753i,-0.0086432+0.0086742i,-0.0045878+0.00075046i,-0.0025488+0.012252i,-0.0052576-0.0032883i,-0.028945-0.012494i,0.0078167-0.011188i,0.0017706+0.0035014i,-0.022426-0.027547i,-0.010909+0.0013677i,-0.012801-0.0057199i
-0.00027801+0.016351i,-0.013271+0.018177i,-0.018973+0.025572i,-0.007546+0.025692i,-0.011616+0.03065i,0.0041145+0.027373i,-0.013075+0.026249i,-0.011609+0.019538i,0.0082612+0.011462i,0.0051824-0.0033757i,0.0033154-0.0018433i,0.00522+0.00033037i,0.00035798-0.00081046i,0.0042357-0.0052743i,0.00093425-0.0015412i,0.012457-0.0022399i,-0.00012593-0.0029087i,-0.0033513+0.00093334i,-0.00014383-0.0015362i,-0.0027031+0.00070001i,-0.0018543-0.0020939i,-0.00086288-0.0010858i,0.00047398+0.0010926i,-0.0045405-0.0093595i,0.00070034-0.0015188i,-0.0021539-0.0014872i,-0.002456-0.0035309i,-0.0014956-0.0015026i,-0.0014438-0.0015657i,0.0007358-0.00041595i,-0.0019011-0.0023342i,0.0049208+0.00072318i,0.003369-0.00016094i,0.00021966-0.00045625i,-0.0014772+1.3846e-05i,0.002045-0.0098908i,-0.0020363-0.00014174i,0.0010744+0.0020627i,-0.0026187+0.0020914i,-0.0034901+0.0062065i,-0.00067256+0.00060923i,-0.0028925-0.00088807i,-9.3673e-05-0.0013412i,-0.00012857+0.0052037i,0.0077324+0.014031i,0.063536-0.0094714i,-0.025452-0.0098311i,0.023359-0.0034333i,-0.0078831-0.023087i,-0.01465-0.0030113i,-0.053705+0.017982i,-0.02691+0.0038719i,-0.037401+0.0021153i,0.0050328-0.012157i,-0.015547-0.037625i,-0.0090611-0.0022978i,-0.019902-0.0026314i,-0.011541+0.01758i,-0.00063283+0.010311i,0.0013808+0.0019936i,0.011731+0.0040663i,-0.0027271-0.011006i,-0.0031171+0.014202i,-0.0048431+0.0049156i,-0.001352+0.00064448i,0.0030276+0.0051922i,-0.0010143+0.0002075i,-0.019365+0.012716i,-0.013643+0.012932i,0.0042872+0.00031199i,0.011132+0.0086357i,0.0063537+0.0064028i,0.0072552-0.010327i,0.0049533-0.0017955i,0.044335-0.012638i,0.0035869+0.0076063i,0.008301+0.0018356i,0.0047983-0.0025332i,0.012141+0.00099349i,0.013548+0.01519i,0.009583+0.003311i,0.0069929-0.0040088i,0.0085794+0.0010057i,0.0088419+0.0155i,0.0040926+0.0053769i,0.0095032+0.0002514i,-0.0031929+0.014173i,-0.0047782+0.0044238i,-0.00015914+0.01329i,-0.0039062-0.011827i,-0.024275-0.0061605i,0.0014044-0.014318i,0.00087048-0.0043599i,-0.03362-0.018545i,-0.0073914+0.0042395i,-0.01303-0.0027912i
0.0021447+0.015148i,-0.0070296+0.018138i,-0.010083+0.027523i,-0.0028815+0.025916i,-0.0050563+0.030542i,0.007763+0.024994i,-0.011736+0.024785i,-0.0088878+0.020699i,0.010178+0.0082171i,0.0036594-0.0047786i,0.0019837-0.00095094i,0.0061252-0.00096246i,0.00048513-0.0012633i,0.0017564-0.0046032i,0.00056511-0.0017949i,0.0095587-0.0051053i,-0.00089734-0.0042783i,-0.0023587+0.0018563i,-0.00076706-0.00094138i,-0.0016059+0.0017652i,-0.0023769-0.0013775i,-0.00037828-0.00012002i,0.0010634+0.00075932i,-0.0069826-0.0071224i,-0.00021634-0.0012812i,-0.0026175-0.00041394i,-0.0039006-0.0019398i,-0.0018645-0.00062945i,-0.0019872-0.00070504i,-2.9182e-05-0.00077117i,-0.0029881-0.0011223i,0.0034202-0.0016058i,0.0026287-0.0020012i,2.0863e-05-0.0008459i,-0.0017925+0.00028062i,-0.00064844-0.0071274i,-0.0024018+0.00030364i,0.0018061+0.0010168i,-0.0013978+0.0024922i,-0.00047352+0.007121i,-0.00029063+0.00088374i,-0.0022952+0.00015901i,-0.0005022-0.0016788i,0.0019361+0.004736i,0.011859+0.011447i,0.05909-0.035565i,-0.027734-0.0024701i,0.023916-0.014273i,-0.0099612-0.029468i,-0.014051-0.0004114i,-0.043998+0.026554i,-0.02134+0.003832i,-0.026717+0.0061746i,0.0014993-0.016602i,-0.029176-0.033467i,-0.0099917-0.00038418i,-0.026214+0.00050804i,-0.0043838+0.017064i,0.0011473+0.0068857i,-0.00096163-0.0031684i,0.0053046+0.00076879i,-0.0083715-0.010169i,0.0014038+0.013296i,-0.0026323+0.0068923i,-0.0026283+0.0019171i,0.00080199+0.004096i,0.00083375+0.0022505i,-0.010688+0.01764i,-0.0051707+0.016467i,0.0048184-0.001344i,0.013812+0.0024083i,0.0077273+0.0048614i,0.00061473-0.0098411i,0.0024959-0.0026334i,0.033243-0.025288i,0.0065101+0.0064552i,0.0078558+0.00015634i,0.0023232-0.0027516i,0.011211-0.0051642i,0.019579+0.0088958i,0.0078636-0.0011142i,0.0047119-0.0062325i,0.0069774-0.0019577i,0.014434+0.010172i,0.0053539+0.0050359i,0.0067662-0.0030619i,0.0046583+0.013869i,-0.0029168+0.0049786i,0.0047807+0.01309i,-0.0091302-0.015455i,-0.020461-0.0010233i,-0.0030849-0.015544i,-0.0040923-0.0074289i,-0.039161-0.0055226i,-0.0061963+0.0038799i,-0.01244-0.00074909i
