-0.023373+0.00049596i,-0.02429+0.0010132i,-0.014611-0.011612i,-0.034316-0.014377i,-0.030316+0.00063113i,-0.032632+0.0054088i,-0.057085-0.018122i,-0.033226-0.017542i,-0.028739-0.00017444i,0.0064445+0.0041436i,-0.0031878+0.0070443i,-0.0066167+0.016307i,0.0058693+0.010895i,0.0020047+0.0032454i,0.0051278+0.0033015i,0.0054979+0.0173i,0.023644+0.021406i,0.0013754-0.00055924i,0.00066353-0.0051336i,0.0066952-0.0009125i,0.0041362+0.00027126i,0.0022158+0.0013601i,0.00091634-0.00021775i,-0.018013+0.0024779i,-0.0049381-0.0045088i,-0.00054259+0.0026976i,0.0013946-0.0022516i,-0.0010217-0.00061802i,-0.00078016+0.0014242i,-0.0017158-0.0020135i,-0.0039668-0.00014273i,-0.0052908-0.0019735i,-0.0052382-0.0043754i,-0.00011132-4.2634e-05i,0.0011664-0.0027843i,0.0023478+0.013155i,0.0015502-0.0030178i,0.00069065-0.0032165i,0.0046199-0.0021237i,-0.0029245-0.0014118i,0.00061261-1.8556e-05i,0.0071497-0.0025733i,0.0034314-0.0022228i,0.00066087+0.0024095i,-0.013818+0.015169i,-0.027836+0.054644i,-0.0097161-0.036216i,-0.016791-0.018088i,-0.041076-0.0162i,-0.028523-0.012751i,0.038338-0.01329i,0.0055794-0.03114i,0.011579-0.038433i,-0.0095063-0.030953i,0.024571-0.022818i,0.014359+0.0060801i,0.026372-0.036012i,-0.0027-0.0040557i,0.0050964-0.0090822i,-0.00022334-0.0067025i,-0.00071395-0.034043i,-0.013838+0.028895i,0.008825-0.012207i,-0.0088973-0.0044107i,-0.0028525-0.0021091i,-0.0009475-0.015265i,-0.0090009+0.0058422i,0.0032647+0.00811i,-0.0003498+0.026975i,0.0026949+0.00039622i,-0.0077144-0.0047213i,-0.0043236-0.0057791i,-0.015249-0.0093166i,-0.0025003-0.0060651i,-0.03575+0.0053983i,-0.0041317-0.0095515i,-0.013168-0.00097644i,-0.010548-0.0053701i,0.0013483-0.0019715i,-0.014274+0.001763i,-0.001606-0.00045313i,0.0058374+0.0057641i,0.0036553-0.0056804i,-0.014577-0.013475i,0.0078537+0.0087127i,-0.015699+0.0057099i,0.0052747-0.00075956i,-0.019554-0.0027074i,-0.015849-0.0041826i,-0.015852-0.034762i,0.020537-0.011414i,-0.037943-0.023534i,-0.0081611+0.0022883i,0.018011+0.014856i,-0.022023+0.017492i,-0.0036421-0.0039618i
-0.02377+0.0037222i,-0.022137+0.0077096i,-0.015769-0.01138i,-0.036601-0.010047i,-0.029233+0.0020153i,-0.031849+0.011524i,-0.057634-0.008184i,-0.033901-0.011917i,-0.025817+0.0062284i,0.0053573+0.0022394i,-0.0033419+0.0058746i,0.00088353+0.018065i,0.009732+0.0071541i,0.00086231+0.0037666i,0.0051116+0.0013581i,0.0079333+0.013122i,0.024041+0.01113i,0.0025725-0.00019527i,-0.00094941-0.0035992i,0.0051339-0.0032239i,0.0038209-0.00092334i,0.0018502+0.00058287i,0.0010667-0.00045337i,-0.0080773+0.0084957i,-0.0057602-0.0018697i,0.0018747+0.0012697i,0.00037335-0.0012932i,-0.0003793+0.00040482i,0.0011397+0.00096118i,-0.0024055-0.0011297i,-0.0027535+0.0010584i,-0.0046588-0.000527i,-0.0057226-0.001927i,0.00021675-0.00048581i,0.0012924-0.0022944i,0.0058953+0.010474i,0.00088082-0.0035304i,-0.00078687-0.0029852i,0.0048404-0.0045927i,-0.0010889-0.0016642i,0.00091783+0.00028626i,0.0056735-0.003231i,0.0022821-0.0025167i,-0.00052218+0.002351i,-0.0090659+0.015614i,-0.0072545+0.059886i,-0.017242-0.034018i,-0.027588-0.018416i,-0.030385-0.0051487i,-0.020742-0.0015544i,0.033953-0.035471i,0.0056817-0.045935i,0.014125-0.037379i,-0.015491-0.032185i,0.014467-0.017954i,0.012242-0.0040279i,0.011131-0.037924i,-0.00013962-0.0011372i,-0.0015089-0.016706i,-0.0021201-0.0079481i,-0.023768-0.02984i,-0.0016848+0.025021i,0.0027835-0.015076i,-0.010837+0.00010922i,-0.0013894-0.00099167i,-0.0078359-0.014195i,-0.0078337+0.010322i,0.0097721+0.0075741i,0.015611+0.019423i,0.0012052-0.0020085i,-0.0076154-0.00055472i,-0.0085359-0.0048272i,-0.019073+0.0020623i,-0.0026075-0.0047286i,-0.038656+0.014314i,-0.0080277-0.0049318i,-0.01239+0.003934i,-0.013027-0.00012889i,-0.0014409-0.0063463i,-0.011519+0.0055865i,-0.00031868-0.0022018i,0.0035725+0.00032667i,-0.00048222-0.006187i,-0.020514-0.0012841i,0.0089487+0.0031227i,-0.010476+0.010622i,0.0049973-0.0033161i,-0.017552+0.0049941i,-0.017885+0.00045244i,-0.021541-0.031343i,0.015296-0.018613i,-0.044266-0.0099201i,-0.001928-0.0050535i,0.019424+0.0088533i,-0.013926+0.022561i,-0.011538-0.0090396i
-0.022791+0.0078258i,-0.018558+0.0091779i,-0.01819-0.011371i,-0.038525-0.00371i,-0.028868+0.0035728i,-0.030031+0.017687i,-0.059364+0.0033117i,-0.035898-0.0067698i,-0.023018+0.0097693i,0.0043021+0.0013687i,-0.0028578+0.008286i,0.0069651+0.014447i,0.010405+0.0022321i,0.00093571+0.0046631i,0.0046788+0.00010568i,0.0089903+0.0093475i,0.024175+0.004317i,0.0036392-0.0015548i,-0.0012451-0.0025317i,0.0035031-0.0040313i,0.0024952-0.0018893i,0.0021191+0.00083025i,0.00085614-0.0010198i,-0.0016696+0.0089644i,-0.0050401+0.00052793i,0.0021424-0.00096081i,-8.7662e-05-0.0010976i,0.00062166+0.00040271i,0.0010785+0.00011031i,-0.0024076-0.00021608i,-0.0019815+0.001617i,-0.0042085+0.00088303i,-0.0052695+0.00023428i,1.2759e-05-0.0011732i,0.0012123-0.0044301i,0.0079897+0.0067704i,-0.00014425-0.003367i,-0.0018168-0.0021143i,0.0026818-0.0073472i,-0.0016999-0.0021033i,0.0011698-2.2249e-05i,0.0040026-0.0047796i,0.0016929-0.0026829i,-0.0006422+0.002762i,-0.0059923+0.013771i,0.011261+0.05722i,-0.024332-0.02962i,-0.035009-0.0075828i,-0.016469-0.0043913i,-0.013473-0.0048063i,0.022679-0.051692i,-0.0096429-0.057832i,0.019838-0.042745i,-0.022008-0.026329i,0.010871-0.017389i,0.0080672-0.0079776i,-0.0004095-0.038821i,0.0079265-0.0059436i,-0.011304-0.014841i,-0.0036411-0.010371i,-0.038147-0.015429i,0.004473+0.021433i,-0.0046633-0.015323i,-0.008324+0.0030377i,-0.0028548-0.0012746i,-0.014537-0.010607i,-0.00051914+0.013649i,0.014511-0.00014703i,0.021953+0.0058217i,0.00052927-0.0023836i,-0.0071737+0.00011758i,-0.010562-0.00097262i,-0.015073+0.011134i,-0.0070589-0.0026589i,-0.032752+0.02819i,-0.0076424-0.00040682i,-0.0096902+0.009234i,-0.013163+0.0082485i,-0.0082967-0.0046257i,-0.0096665+0.0085038i,-0.0025675-0.0029577i,-0.00052392-0.00026974i,-0.0034123-0.0054936i,-0.012669+0.0079843i,0.0077234-0.0019414i,-0.0066768+0.011684i,0.001634-0.0066315i,-0.013612+0.0088532i,-0.015443+0.0046727i,-0.024008-0.02664i,0.0081827-0.019885i,-0.042695+0.0029732i,-0.0090613-0.013028i,0.0189+0.0010522i,-0.0033626+0.020696i,-0.014231-0.0053973i
-0.020688+0.011804i,-0.017528+0.0095805i,-0.021933-0.010642i,-0.036834+0.0031635i,-0.029405+0.0049559i,-0.025674+0.023771i,-0.055798+0.018981i,-0.036951+0.001763i,-0.020926+0.014502i,0.0038073+0.0010849i,0.00045665+0.0095844i,0.0091852+0.0099082i,0.0089777-0.0016958i,0.0025347+0.0060873i,0.0037511-0.0011036i,0.0082378+0.0050947i,0.023696-0.004944i,0.002983-0.0037276i,-0.0021659-0.00094143i,0.0017503-0.0044784i,0.0019751-0.0016851i,0.0028742+0.00025347i,0.00028572-0.0012164i,0.0043701+0.0098944i,-0.0039618+0.0018103i,0.00080345-0.0020393i,0.00030578-0.00063622i,0.00066625-0.00031885i,0.0014929+6.9133e-06i,-0.0026602+0.00057141i,-0.00080258+0.0022102i,-0.0032213+0.0021136i,-0.0045995+0.0017061i,-0.00043812-0.0012844i,-0.0018766-0.0047194i,0.0075735+0.0035953i,-0.0010926-0.0034213i,-0.0021547-0.001184i,-0.0010411-0.0077722i,-0.0017661-0.0012857i,0.00098884-0.00046558i,0.0012378-0.0051711i,0.0006572-0.0026381i,-0.00020465+0.0022288i,-0.0035617+0.012456i,0.027768+0.049123i,-0.029665-0.022033i,-0.032919+0.0055267i,-0.011146-0.0084574i,-0.010991-0.0055913i,0.0036238-0.066456i,-0.02885-0.055697i,0.015875-0.059099i,-0.023672-0.021201i,0.0067363-0.016015i,0.0026697-0.011105i,-0.013397-0.035487i,0.0032758-0.016049i,-0.014623-0.008697i,-0.010032-0.012633i,-0.041117+0.0047443i,0.01359+0.015616i,-0.011439-0.012538i,-0.0057717+0.0036994i,-0.0035155+1.4477e-05i,-0.018432-0.0037136i,0.0070357+0.0095036i,0.014347-0.0075816i,0.01991-0.0056915i,-0.00032844-0.0026715i,-0.0086791+0.0013895i,-0.01096+0.0039234i,-0.0098386+0.018636i,-0.0079565+0.0024061i,-0.022625+0.03743i,-0.0068476+0.0017542i,-0.0038363+0.011467i,-0.0065423+0.014149i,-0.011199+0.0020127i,-0.0042961+0.010272i,-0.0037452-0.0015043i,-0.0023572+0.001809i,-0.0066201-0.0041622i,-0.0067373+0.0071337i,0.0020467-0.0056246i,-0.0037943+0.014068i,-0.0033487-0.005703i,-0.0087314+0.011505i,-0.013509+0.0050869i,-0.025824-0.023749i,0.0078518-0.018571i,-0.037134+0.016634i,-0.018905-0.011197i,0.017483-0.0052765i,0.0046282+0.015355i,-0.012987-0.0019652i
-0.01726+0.015648i,-0.016937+0.012235i,-0.027093-0.0073325i,-0.034045+0.0079825i,-0.03132+0.0073739i,-0.019891+0.028394i,-0.044257+0.02877i,-0.032511+0.0095805i,-0.014467+0.018209i,0.0034569+0.00083057i,0.0035161+0.0077838i,0.010318+0.0067926i,0.0063256-0.0038194i,0.0052613+0.0056389i,0.0027097-0.0017061i,0.0062666+0.0040712i,0.014676-0.013222i,0.0012082-0.0046484i,-0.00086393+0.0019i,4.5181e-05-0.0044253i,0.002047-0.0013185i,0.0024253-0.0012036i,-0.00046211-0.00097284i,0.011439+0.0039828i,-0.0026861+0.0032394i,-9.0352e-05-0.0017798i,-3.0511e-05-0.00070849i,0.00099279-0.00024349i,0.0017948-0.00078304i,-0.0019155+0.0019802i,0.00063038+0.0019968i,-0.0016409+0.0029779i,-0.0030949+0.0030805i,-0.0011024-0.0013181i,-0.0031445-0.003202i,0.0078465+0.0021793i,-0.0021408-0.0026129i,-0.0025324-0.0003927i,-0.0037943-0.0058116i,-0.0017623-0.0023882i,0.00053261-0.00086827i,-0.00040007-0.0036866i,0.00026329-0.0020115i,-0.0010517+0.0024176i,-0.0024656+0.010006i,0.041223+0.034406i,-0.028432-0.011242i,-0.025296+0.015779i,-0.0078527-0.012953i,-0.0085272-0.0058462i,-0.024462-0.06961i,-0.042463-0.045547i,-0.004073-0.068934i,-0.028696-0.013626i,0.0054609-0.012772i,-0.0027205-0.011169i,-0.024201-0.026627i,-0.0052111-0.017811i,-0.01623-0.0051949i,-0.019488-0.0074129i,-0.035094+0.019493i,0.015446+0.0061833i,-0.017073-0.0062671i,-0.0048358+0.0043155i,-0.0037616+0.0019984i,-0.018387+0.0052548i,0.0060047+0.003653i,0.011604-0.013072i,0.016763-0.014086i,-0.0014424-0.0026876i,-0.010464+0.0059198i,-0.0082417+0.0078939i,-0.0012435+0.020909i,-0.0065834+0.0068123i,-0.013121+0.043927i,-0.00694+0.0035191i,-0.00043134+0.0094354i,0.00073055+0.014718i,-0.010747+0.0078744i,-0.0017144+0.0073469i,-0.005007-0.00079066i,-0.0022428+0.0047979i,-0.010237-0.00064046i,-0.0062182+0.0054984i,-0.0032609-0.0031434i,0.0027216+0.014774i,-0.0066578-0.0033059i,-0.0021899+0.011671i,-0.014407+0.0073192i,-0.030652-0.018045i,0.011542-0.024708i,-0.025749+0.03115i,-0.023264-0.0011237i,0.013317-0.01101i,0.0070627+0.0069904i,-0.011738-0.0024681i
-0.012778+0.017863i,-0.013898+0.014434i,-0.030549+7.5749e-05i,-0.031982+0.011628i,-0.033718+0.012773i,-0.012552+0.030782i,-0.03349+0.03267i,-0.027041+0.013533i,-0.0088362+0.018297i,0.0029798+0.0008406i,0.0042752+0.0062205i,0.010924+0.0022832i,0.003813-0.0048296i,0.0077899+0.0036077i,0.0017941-0.001713i,0.005924+0.0043154i,0.0052514-0.013117i,2.9543e-05-0.004629i,0.0016212+0.0017563i,-0.0015791-0.0034774i,0.0022989-0.0028703i,0.0014095-0.001715i,-0.0005721-0.00041324i,0.010939-0.0037489i,-0.00016865+0.0038541i,-0.00076167-0.0016503i,0.00017696+0.0010995i,0.0012045-0.0013593i,0.0012724-0.0019808i,0.00012647+0.0027379i,0.0018522+0.00087415i,-0.00043612+0.0026834i,-0.0015651+0.0042035i,-0.0013907-0.00053559i,-0.0029165-0.0020056i,0.0083951-0.00013067i,-0.0028926-0.0014049i,-0.0029399+0.00035884i,-0.0053123-0.0039751i,-0.0039736-0.0028368i,0.00025569-0.00082323i,-0.00093704-0.0022926i,-0.00010564-0.0016533i,-0.00054906+0.0031737i,-0.0030492+0.0092767i,0.038932+0.015037i,-0.019143-0.005585i,-0.016593+0.022103i,-0.0065855-0.015561i,-0.0056328-0.0095914i,-0.049326-0.054183i,-0.053037-0.030912i,-0.022049-0.064966i,-0.023038+0.0020851i,0.010263-0.0091604i,-0.006513-0.0089947i,-0.026741-0.011756i,-0.012359-0.017432i,-0.020119+0.00065202i,-0.018792+0.0023052i,-0.024723+0.033632i,0.013537-0.0013447i,-0.015324+0.0026341i,-0.0059639+0.004874i,-0.00083173+0.0040283i,-0.013298+0.011814i,0.0056842+0.0043874i,0.0059345-0.024061i,0.0033299-0.024355i,-0.0051919-0.0036358i,-0.0089728+0.011693i,-0.0062936+0.010022i,0.0072261+0.019615i,-0.0022653+0.0096646i,0.0047238+0.054317i,-0.0065559+0.0050342i,0.00095164+0.0094873i,0.0060527+0.011536i,-0.0055187+0.015593i,-0.0010909+0.0077605i,-0.0070555+0.0014221i,0.00082448+0.0069262i,-0.0093443+0.0082474i,-0.0068912+0.0066132i,-0.0029806+0.0025684i,0.0062817+0.011169i,-0.0084095-0.001505i,0.00095223+0.0068577i,-0.010798+0.012216i,-0.028252-0.0051601i,0.0035762-0.039351i,-0.0020313+0.033029i,-0.018593+0.0066123i,0.012248-0.018942i,0.0068273-0.0011312i,-0.01113+0.0012262i
-0.0079511+0.018843i,-0.01289+0.014866i,-0.031249+0.008116i,-0.029207+0.016173i,-0.032901+0.020584i,-0.0057464+0.030731i,-0.024518+0.033692i,-0.02235+0.015392i,-0.0058614+0.017644i,0.0036496+0.00040748i,0.0068814+0.0055329i,0.00777-0.0015008i,0.00091705-0.0042352i,0.0089807-0.00038721i,0.0013866-0.0016458i,0.0066032+0.0044576i,-0.00010739-0.009286i,-0.0020728-0.0048249i,0.0022198-0.0001215i,-0.0021384-0.0020832i,0.00099293-0.0040546i,0.0015727-0.0013144i,-0.00057282-4.5719e-05i,0.006824-0.0077671i,0.0024552+0.0023307i,-0.0010791-0.00084605i,0.0013876-0.00065567i,0.00051193-0.002109i,0.00016273-0.0018375i,0.0014542+0.0015261i,0.0018601-0.0006094i,0.00064143+0.0023377i,0.0011814+0.0035546i,-0.0012501+0.00012178i,-0.0037223-0.001459i,0.0072628-0.0028612i,-0.0023391-8.5487e-05i,-0.0025274+0.0015593i,-0.0059458-0.00087229i,-0.0062011-0.00058033i,-0.00028105-0.00083052i,-0.000688-0.0025557i,-0.00013028-0.0013398i,-0.00018348+0.0025052i,-0.0027834+0.010071i,0.031837+0.012327i,-0.015462-0.0083337i,-0.00080251+0.024114i,-0.0060407-0.017493i,-0.01151-0.014657i,-0.058989-0.033609i,-0.050843-0.012011i,-0.04052-0.056748i,-0.0096393+0.0067314i,0.013225-0.020729i,-0.0076893-0.0058145i,-0.022034-0.006181i,-0.023211-0.01164i,-0.014929+0.010663i,-0.015748+0.0066519i,-0.0041947+0.036676i,0.011131-0.00609i,-0.013077+0.0048132i,-0.0027394+0.0048429i,-0.0012208+0.0015312i,-0.0062771+0.015567i,0.0083101+0.0017255i,-0.011688-0.02531i,-0.013652-0.019235i,-0.0056348+0.0028303i,-0.0037098+0.015066i,-0.00081822+0.011657i,0.014094+0.012338i,0.0017076+0.0092273i,0.030193+0.047724i,-0.0035454+0.0071248i,0.003671+0.0089818i,0.0092518+0.0069858i,0.0038683+0.016877i,-0.0024853+0.0079966i,-0.007049+0.007603i,0.0051562+0.0073498i,-0.0037518+0.012346i,-0.0070438+0.0091725i,-0.00073436+0.0038163i,0.0074019+0.0077087i,-0.0092056+0.0019804i,0.0016731+0.0024408i,-0.0061206+0.012017i,-0.020878-0.00010439i,-0.01768-0.041193i,0.013926+0.018336i,-0.013931+0.0095095i,0.0034601-0.027428i,0.0012365-0.0062923i,-0.0040618-0.00019516i
-0.0035063+0.018445i,-0.011158+0.018458i,-0.028768+0.016556i,-0.023847+0.01999i,-0.027866+0.027849i,-0.00031162+0.029437i,-0.017365+0.033121i,-0.018325+0.016344i,-0.0019753+0.018293i,0.004002-0.00059044i,0.0086334+0.00088077i,0.004381-0.0011436i,-0.0002055-0.0021567i,0.0071131-0.003196i,0.00099653-0.0018722i,0.0086031+0.0031878i,-0.0017826-0.0053536i,-0.0040691-0.0032464i,0.00086953-0.00090895i,-0.0022891-0.0012495i,-0.0013544-0.0038302i,0.0013543-0.0020544i,-0.00060489+0.0004403i,0.0023924-0.0093859i,0.0021443-7.7632e-05i,-0.00075741-0.0003741i,0.00078987-0.0020175i,-0.00029154-0.0019014i,0.00057951-0.0017598i,0.0012912+0.00038032i,0.0010086-0.0017308i,0.0013599+0.0014801i,0.0022159+0.0019812i,-0.00085312+0.000402i,-0.0034688+0.0010063i,0.0053156-0.0046464i,-0.001525+7.7608e-05i,-0.0013089+0.0022658i,-0.0045326+0.00054972i,-0.0059795+0.0021699i,-0.00064311-0.00027977i,-0.001165-0.0024265i,-0.00043787-0.0012101i,-0.00067189+0.0021691i,-0.0014726+0.011952i,0.036971+0.016202i,-0.01609-0.011098i,0.012327+0.017203i,-0.0066793-0.022363i,-0.015172-0.0095348i,-0.064123-0.015803i,-0.040163-0.0006702i,-0.05761-0.036753i,-9.7863e-05+0.0014056i,0.0075271-0.029511i,-0.0074807-0.0044681i,-0.019097-0.0019618i,-0.029468+0.0018012i,-0.008813+0.01189i,-0.010359+0.010739i,0.01221+0.02652i,0.0067854-0.010746i,-0.012796+0.0087398i,-0.0029972+0.0026333i,-0.0010405+0.0029115i,0.0018182+0.01279i,0.0064577-0.0042781i,-0.024134-0.012907i,-0.020461-0.0060937i,-0.00018109+0.0066889i,0.003521+0.015292i,0.0036682+0.010005i,0.01762+0.0052096i,0.0068675+0.007331i,0.046546+0.028554i,-0.0014572+0.0063562i,0.0062155+0.0082596i,0.0090796+0.0014179i,0.01154+0.010471i,-0.0023232+0.013598i,-0.0012692+0.012717i,0.0090028+0.003159i,0.0041073+0.011676i,-0.0051766+0.01293i,-2.8924e-05+0.0034618i,0.0079999+0.005557i,-0.0086861+0.0052301i,-0.00047059+8.2574e-05i,-0.0043862+0.011339i,-0.011742+0.001923i,-0.029731-0.025157i,0.01671+0.00050656i,-0.0026031+0.010145i,-0.0088745-0.030685i,-0.0070613-0.0065943i,-0.0058269-0.0070244i
0.00015913+0.01704i,-0.0064503+0.021475i,-0.022614+0.023889i,-0.019382+0.021508i,-0.021151+0.032264i,0.0046441+0.027706i,-0.011661+0.031551i,-0.015766+0.01649i,0.0032782+0.017747i,0.0036137-0.0018719i,0.0058576-0.0028214i,0.004148+0.00028669i,0.00041134-0.00077253i,0.0049158-0.004927i,0.0004581-0.0017987i,0.0094411+0.00016993i,-0.00068193-0.002712i,-0.0046507-0.00097849i,0.00022283-0.00047942i,-0.0025783-0.000344i,-0.0021369-0.0021405i,0.00016446-0.0022989i,-8.5878e-05+0.00098618i,-0.0013204-0.00834i,0.0011967-0.00084248i,-0.00057602-0.00078334i,-0.00059391-0.0023625i,-0.00092941-0.0019559i,-0.00017634-0.0025806i,0.0011893-4.6393e-05i,-0.00022851-0.0024622i,0.0017203+0.00048903i,0.0022396+0.00037885i,-0.00018891+0.00059671i,-0.0017969+0.00099799i,0.0029701-0.0054962i,-0.0011726-0.00012011i,-0.00015728+0.0024219i,-0.0045627+0.0016014i,-0.0046919+0.004189i,-0.00041296+0.00016768i,-0.0021215-0.0017797i,-0.00040542-0.00098804i,-0.0017453+0.0031228i,0.0013894+0.013471i,0.051714+0.011799i,-0.020068-0.01103i,0.020375+0.0062034i,-0.010976-0.022722i,-0.015251-0.0063424i,-0.062704+0.0048217i,-0.032371+0.0020533i,-0.053728-0.0098372i,0.0034525-0.0038988i,-0.00249-0.035646i,-0.0086207-0.0039699i,-0.017854-0.002019i,-0.022492+0.015982i,-0.0044505+0.012169i,-0.0018046+0.0087219i,0.014701+0.012501i,0.0014598-0.011779i,-0.0090814+0.013492i,-0.0047759+0.0037583i,-0.00018345+0.0021055i,0.0035947+0.0076082i,0.00014074-0.0036444i,-0.02629+0.0019801i,-0.019296+0.0052361i,0.0045428+0.0043246i,0.0079216+0.013047i,0.0050332+0.0075182i,0.01517-0.0059887i,0.0079261+0.0014374i,0.050673+0.0063481i,-0.00085588+0.0081681i,0.0092668+0.0048723i,0.00653-0.0012905i,0.01208+0.0043167i,0.0047499+0.017171i,0.0072066+0.0096052i,0.0079099-0.00091732i,0.0084362+0.0062225i,0.00076957+0.017147i,0.00025671+0.0056146i,0.0081753+0.0039632i,-0.0081726+0.0088163i,-0.0048256+0.00080793i,-0.0029534+0.012068i,-0.0035294-0.0026353i,-0.027295-0.0121i,0.0094434-0.011563i,0.0030581+0.0017848i,-0.022594-0.026762i,-0.010953+0.0013563i,-0.011691-0.0056721i
0.0026791+0.015355i,-0.00090421+0.021613i,-0.014402+0.027908i,-0.01611+0.022907i,-0.013714+0.034964i,0.0088403+0.025177i,-0.0079451+0.030082i,-0.013849+0.017629i,0.0075455+0.014777i,0.0028519-0.0028179i,0.00267-0.0028183i,0.0048786-6.3416e-06i,0.0016353-0.0009995i,0.0028574-0.005495i,0.00029599-0.0016318i,0.0080384-0.002804i,0.00044162-0.0030208i,-0.0041082+0.0011102i,0.0001771-0.00057733i,-0.0021463+0.0010497i,-0.0020526-0.0012697i,-0.00066015-0.0012604i,0.0005841+0.0010794i,-0.0038048-0.0065163i,0.00059202-0.001112i,-0.0011733-0.00064328i,-0.0016579-0.0018564i,-0.0017613-0.0014791i,-0.0013737-0.0024371i,0.00093343-0.0007745i,-0.0017649-0.002081i,0.0013708-0.0008015i,0.0020255-0.00074756i,0.00014809+0.00018373i,-0.0016905+0.001212i,0.00050882-0.0048533i,-0.0016755-0.00053919i,0.00090188+0.0019881i,-0.0029403+0.00364i,-0.0028746+0.0058217i,-0.00026846+0.00041551i,-0.0022782-0.00061577i,-0.00045965-0.0010291i,-0.00065801+0.0053328i,0.0058262+0.013508i,0.064425-0.0084582i,-0.024559-0.0068332i,0.021398-0.0055864i,-0.01062-0.023305i,-0.015369-0.0036757i,-0.052342+0.019531i,-0.026114+0.0051281i,-0.038794+0.0027533i,0.0047956-0.010936i,-0.015762-0.036072i,-0.0093013-0.0020898i,-0.019922-0.0012281i,-0.012278+0.020009i,-0.00089579+0.010175i,0.00077977+0.0013492i,0.010156+0.0037682i,-0.003708-0.011168i,-0.0031721+0.014891i,-0.0045436+0.0062897i,-0.00089949+0.00076403i,0.0029112+0.0053043i,-0.00074556+0.00081184i,-0.020392+0.014239i,-0.012994+0.013014i,0.0045634+0.0015647i,0.012865+0.0093605i,0.0064618+0.0060736i,0.0071055-0.010796i,0.0056439-0.0018277i,0.045528-0.011967i,0.0030689+0.0090685i,0.0089037+0.0014577i,0.0046694-0.001783i,0.012499+0.00077618i,0.013584+0.015939i,0.0087074+0.0039736i,0.0067866-0.0029894i,0.0080065+0.0021271i,0.0096551+0.016051i,0.0034414+0.0053649i,0.0093875+0.00083196i,-0.0032182+0.01396i,-0.004263+0.004263i,-0.00024765+0.01319i,-0.002825-0.011029i,-0.023486-0.0073295i,0.0019009-0.014647i,0.00061373-0.0066228i,-0.033153-0.017637i,-0.0075032+0.0043969i,-0.01194-0.0029733i
0.0048844+0.013752i,0.0043139+0.019792i,-0.0057315+0.028857i,-0.011864+0.024764i,-0.0058447+0.034981i,0.01218+0.022418i,-0.0043231+0.029456i,-0.011074+0.019388i,0.010275+0.011279i,0.0018751-0.0035719i,0.0013853-0.0019281i,0.0055477-0.0014195i,0.0017004-0.0017349i,0.00084191-0.0053372i,-3.6299e-05-0.0017874i,0.0059387-0.0044367i,-0.00030319-0.0046525i,-0.0029635+0.002231i,-0.00017729-0.00034993i,-0.00098893+0.0018071i,-0.0021429-0.00057237i,-0.00047528-0.0004706i,0.0012265+0.00088838i,-0.0054976-0.0045252i,-0.00016721-0.00091026i,-0.0014365-2.2902e-05i,-0.0024026-0.00078984i,-0.0020135-0.00049066i,-0.0023548-0.0016565i,-0.00010017-0.0011682i,-0.0027053-0.00092867i,0.00018872-0.0012579i,0.0012435-0.0018115i,0.00038107-0.00022714i,-0.0014675+0.001331i,-0.00069738-0.0031661i,-0.0021837+8.4957e-05i,0.0016712+0.0010966i,-0.0010161+0.0035947i,-4.5721e-05+0.0064078i,-3.3154e-05+0.00071724i,-0.0018066+0.0002487i,-0.00078963-0.0012217i,0.0015086+0.0050214i,0.010001+0.011002i,0.060163-0.034731i,-0.025979+0.00018532i,0.0206-0.015393i,-0.012868-0.029166i,-0.014422-0.00091005i,-0.042061+0.027531i,-0.020729+0.0046252i,-0.027517+0.0067915i,0.001348-0.01556i,-0.028838-0.032102i,-0.010092-0.00029056i,-0.025285+0.0020655i,-0.0040788+0.019134i,0.0010831+0.0070558i,-0.0019767-0.0035844i,0.0045972+0.0011211i,-0.008982-0.0094908i,0.0017543+0.014176i,-0.0019128+0.0076912i,-0.0022117+0.0014965i,0.0013609+0.0048333i,0.0012767+0.0029618i,-0.010716+0.019477i,-0.0047819+0.016453i,0.005547-0.00026043i,0.015727+0.0022872i,0.0078998+0.0040613i,0.00078961-0.0099629i,0.0030577-0.0028245i,0.034634-0.025176i,0.0067395+0.0079501i,0.0082928-0.00043582i,0.0026052-0.0018426i,0.011312-0.0055927i,0.020276+0.0095342i,0.0077301+0.00017369i,0.0050131-0.0053075i,0.0069177-0.0014154i,0.01526+0.010514i,0.0046264+0.0046663i,0.0070402-0.0028541i,0.0042475+0.013958i,-0.0021681+0.0050618i,0.0046887+0.012778i,-0.0081697-0.014886i,-0.020582-0.0023443i,-0.002697-0.015798i,-0.0057059-0.0086542i,-0.038559-0.0053368i,-0.0059014+0.0041395i,-0.01152-0.0015475i
