-0.026676-0.0049359i,-0.021-0.0094355i,-0.013195-0.015467i,-0.036592-0.011677i,-0.027927-0.00015339i,-0.037361-0.0034016i,-0.069104-0.037229i,-0.037845-0.018227i,-0.026164+0.0017168i,0.0078392+0.0067766i,-0.0055968+0.0074345i,-0.0080504+0.019166i,0.0046714+0.0084815i,-0.00061509+0.0040993i,0.0044482+0.0047518i,0.0039168+0.027691i,0.016951+0.0147i,0.0011391-0.00067743i,0.00062485-0.0056787i,0.0094347-0.00016688i,0.0053813-0.0021028i,0.0033892+0.0029386i,0.0011692-0.00038687i,-0.021311+0.0035716i,-0.0063307-0.0026005i,-0.0012485+0.0035334i,0.0032804-0.0024344i,-0.001551+0.00069592i,-0.00077911+0.00065677i,-0.0028394-0.0018532i,-0.0039932-0.00058419i,-0.006244-0.0090191i,-0.001136+0.00088716i,-0.00052415-0.00041839i,-0.00031485-0.0019875i,-0.0032388+0.01838i,0.0030486-0.0036674i,0.0019321-0.0050632i,0.0027658-0.0016585i,0.00099965-0.004392i,0.0010205-6.5363e-05i,0.0081361+0.0034243i,0.0058841-0.00079539i,3.7405e-05+0.0024426i,-0.014724+0.016221i,-0.024853+0.0524i,-0.0078872-0.03641i,-0.015907-0.017953i,-0.040194-0.016596i,-0.02895-0.011731i,0.030405-0.01373i,0.0040808-0.029728i,0.011233-0.040013i,-0.011453-0.029866i,0.026526-0.023585i,0.013539+0.0066905i,0.029157-0.036948i,-0.0012341-0.0038687i,0.0061263-0.0085015i,-0.0005332-0.0051839i,-0.00051533-0.0355i,-0.013344+0.030091i,0.008081-0.0117i,-0.0070376-0.0042665i,-0.0026254-0.0023248i,-0.00049521-0.015058i,-0.0084167+0.0062372i,0.004249+0.006271i,-0.0011343+0.026878i,0.0021189-0.00022514i,-0.0068714-0.0037608i,-0.0043737-0.0062i,-0.014104-0.0091988i,-0.003007-0.0059255i,-0.032681+0.021859i,-0.0057626-0.0080048i,-0.01311-2.8403e-05i,-0.0082775-0.0062418i,0.0012864-0.0017905i,-0.013186+0.0026416i,-0.0018364-0.00078598i,0.00497+0.0047557i,0.0030234-0.0052986i,-0.010313-0.017915i,0.0080662+0.0085096i,-0.01519+0.0021489i,0.0050675-0.00043579i,-0.020058-0.0014781i,-0.015364-0.0030481i,-0.018032-0.034886i,0.02022-0.011314i,-0.0398-0.022122i,-0.0090233+0.0056185i,0.018733+0.014584i,-0.020349+0.016957i,-0.0045769-0.0024358i
-0.028272-0.00036094i,-0.020422-0.0015697i,-0.014434-0.015877i,-0.038693-0.0067879i,-0.027146+0.00058947i,-0.038905+0.0040636i,-0.072257-0.024273i,-0.03866-0.01216i,-0.023797+0.0072245i,0.0061913+0.0037252i,-0.0060778+0.0062963i,0.00084441+0.02118i,0.0086034+0.0061786i,-0.0023746+0.006057i,0.0051345+0.0029967i,0.0087626+0.022207i,0.013703+0.0095269i,0.0017545+0.00019466i,-0.0014799-0.0036364i,0.0074108-0.0038342i,0.0032985-0.0031441i,0.0031856+0.0016103i,0.0012495-0.00072379i,-0.008292+0.0070162i,-0.0079521-0.0002428i,0.002721+0.0034i,0.00025291-0.001003i,-0.00083631+0.0022713i,0.00037221+0.00069316i,-0.0032521-0.0004946i,-0.0030353+0.00061677i,-0.0076734-0.0063271i,0.0054317-0.0023979i,-0.00037975-0.00045547i,-0.00013629-0.0011393i,0.0024076+0.017905i,0.0021212-0.0045115i,-0.00092988-0.0052868i,0.0028747-0.0027827i,-3.5325e-05-0.0047864i,0.0014326+0.00026699i,0.0091897-0.002116i,0.0036309-0.0035852i,-0.0019113+0.0024765i,-0.010144+0.01719i,-0.0050551+0.056789i,-0.015708-0.034998i,-0.026414-0.01958i,-0.030547-0.0047597i,-0.021785-0.00134i,0.025947-0.033138i,0.0043515-0.044285i,0.01359-0.039127i,-0.016774-0.029819i,0.015367-0.018417i,0.011463-0.0032706i,0.010925-0.049465i,0.00081256-0.00090285i,-0.001667-0.016245i,-0.0018599-0.0060199i,-0.024229-0.031386i,-0.0012537+0.025345i,0.0026409-0.01494i,-0.0085195-0.002003i,-0.00090931-0.001222i,-0.0078436-0.014062i,-0.0076378+0.010366i,0.0091288+0.0052766i,0.014698+0.019647i,0.00056685-0.0022459i,-0.0068456-0.00037829i,-0.0083365-0.0047935i,-0.017689+0.00046298i,-0.0026046-0.0041579i,-0.022521+0.019725i,-0.0090321-0.0026139i,-0.012066+0.0047871i,-0.012289-0.00055087i,-0.0016331-0.0054827i,-0.010361+0.0068685i,-0.00058608-0.0022423i,0.0026644-2.5187e-05i,-0.0007823-0.0058399i,-0.016345-0.0050339i,0.0095348+0.0032084i,-0.010262+0.009104i,0.0047614-0.0028733i,-0.017415+0.0058394i,-0.016526+0.0011411i,-0.023578-0.031225i,0.015327-0.018144i,-0.0412-0.010139i,-0.0012998-0.0018017i,0.019524+0.0085956i,-0.013018+0.021551i,-0.010922-0.0066501i
-0.025994+0.0046189i,-0.016345-0.0011182i,-0.017442-0.016682i,-0.040184+0.00024102i,-0.027232+0.0016711i,-0.0389+0.011949i,-0.077351-0.0085709i,-0.041051-0.0057771i,-0.021357+0.010996i,0.0045852+0.0028733i,-0.0060661+0.0092544i,0.0078377+0.016847i,0.0095051+0.0017573i,-0.001524+0.0081629i,0.0053337+0.0016223i,0.011158+0.016594i,0.015333+0.0090902i,0.0031985+0.00028352i,-0.001409-0.0021717i,0.0054458-0.0049839i,0.001394-0.0025656i,0.0040722+0.0015662i,0.00091164-0.0014342i,-0.0031199+0.0077888i,-0.006923+0.0019228i,0.0056895-0.00070036i,-0.00044436-0.00093207i,0.0015521+0.001458i,0.00055021+0.00028277i,-0.0027925+0.00049383i,-0.002353+0.0013552i,-0.0092307-0.0031851i,-0.0045053-0.0093684i,-0.000291-0.0007776i,0.00024354-0.0017873i,0.0077896+0.015066i,0.00070453-0.004556i,-0.0026401-0.0035816i,0.0017036-0.0045275i,-0.0017363-0.0050678i,0.001837-0.00010404i,0.006337-0.0053324i,0.0024941-0.003345i,-0.0019638+0.0039259i,-0.0067048+0.016046i,0.012279+0.053531i,-0.023046-0.030849i,-0.034679-0.0087592i,-0.016898-0.0036719i,-0.015026-0.0035671i,0.015489-0.04759i,-0.0096969-0.055842i,0.018085-0.045282i,-0.022025-0.024085i,0.011248-0.017712i,0.0078975-0.0068907i,-0.00075247-0.039744i,0.0080223-0.0053779i,-0.010837-0.013955i,-0.0032008-0.00861i,-0.039774-0.017824i,0.0055111+0.021727i,-0.0048969-0.015234i,-0.0072464+0.0019764i,-0.0023331-0.0017972i,-0.01381-0.010743i,-0.00047477+0.013523i,0.013315-0.0013036i,0.019918+0.0056604i,-0.00024325-0.0026972i,-0.0066746+0.00047065i,-0.010663-0.0014346i,-0.014548+0.010325i,-0.0072661-0.0025693i,-0.016047+0.028969i,-0.0080616+0.0016424i,-0.009621+0.010107i,-0.012551+0.0073127i,-0.0077377-0.0036221i,-0.0080329+0.0089444i,-0.004367-0.00046125i,-0.00076608-0.00019387i,-0.0034929-0.0050567i,-0.011896+0.0045258i,0.0075227-0.0024202i,-0.0051542+0.010646i,0.0016577-0.0064048i,-0.013478+0.0096283i,-0.014519+0.0050344i,-0.026594-0.026202i,0.0077974-0.020029i,-0.0424+0.0041984i,-0.0076679-0.011022i,0.019097+0.0014148i,-0.0024485+0.020058i,-0.012802-0.0041803i
-0.024012+0.0071907i,-0.016368-0.0036642i,-0.0219-0.016931i,-0.038282+0.0076012i,-0.02813+0.0028313i,-0.035092+0.020694i,-0.075246+0.014887i,-0.041998+0.0043953i,-0.019077+0.015757i,0.004318+0.0028215i,-0.0025228+0.011761i,0.010148+0.011413i,0.0083072-0.0019334i,0.0017419+0.010001i,0.0047389+0.00024529i,0.010891+0.01011i,0.018781+0.0040647i,0.0025754-0.0010537i,-0.0019899+3.8655e-05i,0.0029839-0.0062353i,0.0014212-0.0016075i,0.0055402+0.00020024i,0.00020731-0.0016491i,0.0015084+0.0081559i,-0.0054635+0.0035649i,0.001908-0.0048578i,-0.00010165-0.00188i,0.0011505-2.1178e-05i,0.00093807+0.00026294i,-0.0027574+0.0012807i,-0.0012821+0.0020653i,-0.0091499+0.0003258i,-0.011545-0.0063409i,-0.00024717-0.0007492i,-0.0009876-0.0018243i,0.0099331+0.010692i,-0.0005864-0.0047054i,-0.0030476-0.0022249i,-0.0005907-0.004686i,-0.0022931-0.0032492i,0.001772-0.00082307i,0.0028703-0.0059254i,0.0010909-0.0039233i,-0.00086482+0.0037604i,-0.0035597+0.015025i,0.027484+0.045658i,-0.028872-0.023139i,-0.03253+0.0047196i,-0.011374-0.0077996i,-0.012765-0.0037194i,-0.0026207-0.059899i,-0.028088-0.054197i,0.012054-0.060886i,-0.023161-0.02011i,0.0067962-0.015967i,0.0032977-0.010602i,-0.013149-0.035929i,0.0036326-0.014437i,-0.014271-0.0084296i,-0.0092391-0.010777i,-0.043693+0.0034427i,0.014566+0.015638i,-0.011414-0.011905i,-0.0052973+0.0026452i,-0.0032451-0.0006938i,-0.017912-0.0043623i,0.0066416+0.0091696i,0.013061-0.0083971i,0.016288-0.0072189i,-0.0010484-0.002914i,-0.0072182+0.0016402i,-0.011665+0.0036863i,-0.0091846+0.017659i,-0.0082001+0.002694i,-0.005744+0.031484i,-0.0067313+0.0038177i,-0.0035222+0.012614i,-0.0065924+0.013854i,-0.010188+0.0023352i,-0.0030704+0.0096472i,-0.0044107-6.7904e-05i,-0.0024246+0.0016489i,-0.0062207-0.0036451i,-0.0066991+0.0048937i,0.001299-0.0059814i,-0.001964+0.012581i,-0.0030924-0.0056754i,-0.0083575+0.012274i,-0.012087+0.0052535i,-0.028285-0.022318i,0.0071651-0.018339i,-0.036686+0.018004i,-0.016341-0.010338i,0.018009-0.0045898i,0.0051229+0.014437i,-0.011743-0.001237i
-0.022359+0.011536i,-0.020041-0.0026858i,-0.028804-0.014437i,-0.034932+0.013412i,-0.030493+0.004941i,-0.028914+0.0275i,-0.058576+0.029524i,-0.036337+0.013763i,-0.012268+0.01945i,0.0044391+0.0025501i,0.0016818+0.010528i,0.01145+0.0077105i,0.0057319-0.0041289i,0.0059795+0.0088838i,0.0038829-0.0008352i,0.0079966+0.0089654i,0.018583-0.0033029i,-6.5449e-05-0.0033075i,0.00053435+0.0033048i,6.909e-06-0.0056877i,0.0017514-0.00086548i,0.0051938-0.002117i,-0.00071733-0.0012278i,0.0086749+0.0090598i,-0.003156+0.0056564i,0.00055713-0.0038658i,-0.00094296-0.0013081i,0.0018592+2.537e-05i,0.0012688-0.00014754i,-0.0017834+0.0025867i,0.0001357+0.0021224i,-0.0070588+0.0037795i,-0.0099361+0.00060507i,-0.00076809-0.0010978i,-0.0011832-0.00074342i,0.011797+0.0090539i,-0.0022666-0.0039455i,-0.003727-0.0012354i,-0.0019875-0.0031963i,-0.00086827-0.0045174i,0.0011559-0.0015216i,0.00079226-0.0045264i,9.9444e-05-0.0028935i,-0.001755+0.004196i,-0.0021059+0.01249i,0.039231+0.031692i,-0.027775-0.012241i,-0.025786+0.015113i,-0.0078525-0.012424i,-0.010141-0.0029397i,-0.028036-0.061055i,-0.041942-0.04424i,-0.0076395-0.068316i,-0.028844-0.011987i,0.0054449-0.0125i,-0.0019113-0.010942i,-0.024147-0.027627i,-0.0041762-0.015748i,-0.016279-0.004907i,-0.017724-0.0062836i,-0.036706+0.019111i,0.016468+0.0050143i,-0.015573-0.0051154i,-0.0045358+0.0032052i,-0.0036304+0.0011494i,-0.017649+0.0046001i,0.0058638+0.003693i,0.0099714-0.013264i,0.010847-0.017827i,-0.0020757-0.0029524i,-0.0083872+0.0050349i,-0.0083825+0.008395i,-0.0010582+0.020481i,-0.0066779+0.006879i,-0.0036364+0.033807i,-0.0060736+0.0051559i,0.00045254+0.010447i,0.0008119+0.015095i,-0.0099573+0.0072437i,-0.0012708+0.0065966i,-0.0051508+0.0010854i,-0.0020013+0.0049252i,-0.0098515-0.00043438i,-0.0061504+0.0034564i,-0.0040051-0.0032598i,0.0036605+0.01336i,-0.0064689-0.0035102i,-0.0016665+0.01226i,-0.013059+0.0066112i,-0.03237-0.016218i,0.011231-0.024698i,-0.025473+0.031983i,-0.02142-0.0022872i,0.013792-0.011031i,0.0070092+0.0064313i,-0.010208-0.0016688i
-0.018392+0.014424i,-0.020153-2.8892e-05i,-0.034481-0.0070137i,-0.03133+0.017901i,-0.033309+0.010379i,-0.02043+0.031398i,-0.043479+0.034475i,-0.029269+0.018377i,-0.0061385+0.019294i,0.0041213+0.0026361i,0.0030712+0.0092532i,0.012073+0.0023355i,0.0031729-0.0051094i,0.0088976+0.0057633i,0.0029647-0.0013487i,0.008184+0.0099413i,0.013192-0.0084076i,-0.0011833-0.0037193i,0.0039052+0.0020049i,-0.0010755-0.0043454i,0.0022362-0.0025396i,0.0040034-0.0040828i,-0.00073322-0.00048946i,0.013825+0.00017989i,0.00070061+0.005918i,0.00047397-0.0014953i,-0.0001+0.0022037i,0.0022666-0.0014837i,0.00099903-0.00099212i,0.00037034+0.0029668i,0.0015223+0.0012796i,-0.004351+0.0051158i,-0.0088233+0.0027964i,-0.0014128-0.00044761i,-0.00096341-6.0528e-06i,0.014589+0.0054594i,-0.0034744-0.0028097i,-0.0045478-0.00013551i,-0.0028891-0.002236i,-0.0028857-0.0076025i,0.00085602-0.0013308i,-0.00050026-0.0036065i,-0.000353-0.0021843i,-0.00053851+0.0056645i,-0.0019404+0.011781i,0.035645+0.013848i,-0.01876-0.0063388i,-0.017219+0.02215i,-0.0064497-0.015373i,-0.0066588-0.0058304i,-0.04959-0.045621i,-0.052137-0.029791i,-0.026054-0.063232i,-0.021668+0.003663i,0.010333-0.0090665i,-0.0053149-0.0086613i,-0.027338-0.012631i,-0.010153-0.015387i,-0.020087+0.0010234i,-0.016592+0.0021611i,-0.0269+0.033031i,0.014028-0.0016226i,-0.013249+0.0022873i,-0.0048775+0.0036992i,-0.0010111+0.0029419i,-0.012546+0.011064i,0.0055264+0.0043596i,0.0043454-0.022349i,-0.0044183-0.028592i,-0.0052327-0.0034527i,-0.0073733+0.0097963i,-0.0061616+0.010541i,0.007406+0.019418i,-0.0023614+0.0093451i,0.0082394+0.042693i,-0.0049933+0.0061709i,0.001892+0.0098039i,0.007079+0.012171i,-0.005612+0.014797i,-0.00062066+0.0071727i,-0.006772+0.0034581i,0.0017625+0.0063857i,-0.0083846+0.0080352i,-0.0068402+0.00503i,-0.0033073+0.0029109i,0.0066775+0.010439i,-0.0085073-0.0015832i,0.0014321+0.0069364i,-0.01158+0.011361i,-0.029645-0.0039635i,0.0029394-0.039575i,-0.0012305+0.033701i,-0.01859+0.0037053i,0.01354-0.018519i,0.0065019-0.0014018i,-0.0092164+0.0011495i
-0.01471+0.016485i,-0.023192+0.00018489i,-0.037377+0.0024474i,-0.027051+0.022471i,-0.032882+0.018175i,-0.012805+0.031953i,-0.031787+0.034554i,-0.02316+0.020215i,-0.0025494+0.018039i,0.0055107+0.0018495i,0.0068136+0.0085138i,0.0080352-0.00201i,0.00026712-0.0044678i,0.010197+0.0012452i,0.0023062-0.0016317i,0.0099441+0.010564i,0.0061499-0.010608i,-0.0032777-0.0037442i,0.0039006-0.0012072i,-0.001476-0.0030386i,0.0013092-0.0035031i,0.0046203-0.0049237i,-0.00059997-0.00014771i,0.010408-0.007306i,0.0048291+0.0034863i,-0.0013077-0.00062499i,0.0021018-0.0012807i,0.0012371-0.0030954i,0.00032837-0.00086838i,0.0015681+0.0016641i,0.0017739-0.00015597i,-0.0014813+0.0057278i,-0.0060856+0.0050531i,-0.0010835+0.00041514i,-0.0013365+0.00033859i,0.014987+0.00072075i,-0.003261-0.0008454i,-0.0040189+0.0018311i,-0.0034666-0.00025987i,-0.0068981-0.006526i,-8.0037e-05-0.0020967i,-0.00031086-0.0036733i,-0.00059713-0.0019054i,0.00074247+0.0039843i,-0.00090529+0.012092i,0.029178+0.012585i,-0.015107-0.0092006i,-0.00098448+0.025345i,-0.005532-0.017282i,-0.011263-0.0099999i,-0.057211-0.02687i,-0.049846-0.01072i,-0.045783-0.053189i,-0.0082113+0.006338i,0.014182-0.021708i,-0.0062473-0.0059536i,-0.022765-0.0068221i,-0.019813-0.011337i,-0.014404+0.010506i,-0.014077+0.0058207i,-0.0065954+0.036771i,0.013391-0.0051177i,-0.010986+0.0040632i,-0.003846+0.0030307i,-0.0017575+0.00062279i,-0.0054277+0.014693i,0.008527+0.0014037i,-0.011295-0.02277i,-0.022336-0.018618i,-0.0052888+0.0026143i,-0.0030056+0.012295i,-0.00064446+0.011418i,0.014432+0.011809i,0.001424+0.0089851i,0.030385+0.037358i,-0.0017165+0.0072973i,0.0043081+0.0091666i,0.010435+0.0071883i,0.0040845+0.015822i,-0.0016768+0.0075357i,-0.0053512+0.0094834i,0.0061022+0.0063148i,-0.0034929+0.01155i,-0.0058606+0.0074416i,-0.0010203+0.0045133i,0.0078957+0.0065719i,-0.0089348+0.002089i,0.0022253+0.0022797i,-0.0059843+0.01203i,-0.02229+0.0010958i,-0.018583-0.041353i,0.014369+0.018241i,-0.0162+0.0092756i,0.0056382-0.025643i,0.0011269-0.0066003i,-0.0039531-0.00073444i
-0.01023+0.017894i,-0.026007+0.0071964i,-0.036136+0.012428i,-0.020765+0.025672i,-0.028323+0.025361i,-0.0069847+0.031231i,-0.023565+0.032457i,-0.018037+0.020846i,0.0014381+0.017561i,0.0062821+0.00018699i,0.0089141+0.003297i,0.0042227-0.0015366i,-0.00091994-0.002418i,0.0084026-0.001837i,0.0016891-0.0020538i,0.013727+0.0096509i,0.0012119-0.007557i,-0.0055007-0.0012061i,0.0015168-0.0017712i,-0.0021397-0.002543i,-0.0007952-0.0035844i,0.0036754-0.0052064i,-0.00063854+0.00033055i,0.0051087-0.010828i,0.0042628-0.0010939i,-0.001061-0.00093266i,0.000726-0.0038077i,-0.00069057-0.0023329i,0.0006098-0.00052418i,0.0013478+0.00068379i,0.0010881-0.0012408i,0.0011336+0.0049407i,-0.0064325+0.0058351i,-0.00052097+0.00050196i,-0.0010261+0.0014422i,0.014289-0.0034033i,-0.0021752-7.6832e-05i,-0.0025991+0.0028084i,-0.0025328+0.0011074i,-0.0076439-0.0042741i,-0.0013396-0.0015511i,-0.0011154-0.0033062i,-0.0011765-0.0011345i,-0.00017263+0.0028376i,0.0006937+0.013202i,0.035368+0.016157i,-0.015705-0.012136i,0.012831+0.01831i,-0.0063718-0.022609i,-0.013971-0.0060162i,-0.061283-0.010578i,-0.039592+0.00042459i,-0.11406-0.050883i,0.0001344+0.00066588i,0.007389-0.030368i,-0.0067931-0.0051863i,-0.019563-0.0023933i,-0.025784+0.0011005i,-0.0085233+0.011281i,-0.0093044+0.0097822i,0.010728+0.028475i,0.053195-0.036275i,-0.012296+0.0063i,-0.0033379+0.0010244i,-0.0017917+0.0021567i,0.0018551+0.01199i,0.0065211-0.004482i,-0.022347-0.01152i,-0.025171+0.000392i,-9.4092e-05+0.0059823i,0.0024239+0.012304i,0.0038346+0.010077i,0.017432+0.0044186i,0.0069129+0.0074045i,0.042555+0.019945i,0.00038379+0.0063419i,0.0069189+0.0076997i,0.010183+0.0013212i,0.01141+0.0094795i,-0.0003242+0.012195i,0.00073022+0.013546i,0.0094449+0.0017877i,0.0041243+0.011361i,-0.0034619+0.010954i,0.0005596+0.0044043i,0.0081127+0.0046317i,-0.0080017+0.0050307i,0.00016432+0.00011445i,-0.0036898+0.011036i,-0.01287+0.0028531i,-0.029925-0.024794i,0.015772-5.7861e-05i,-0.0034971+0.010061i,-0.0074993-0.027836i,-0.0073834-0.0068734i,-0.0064776-0.0069267i
-0.0059359+0.017552i,-0.022658+0.015411i,-0.0304+0.022206i,-0.015521+0.026972i,-0.022227+0.02986i,-0.0017353+0.030124i,-0.017892+0.029239i,-0.014433+0.020677i,0.0059593+0.015978i,0.0059158-0.0021333i,0.0064425-0.000163i,0.0035912-0.00072493i,-0.00050461-0.0009582i,0.0061505-0.0036168i,0.0009939-0.0019915i,0.022196+0.0071189i,0.00046284-0.0031881i,-0.0047835+0.0032482i,0.00082017-0.0010166i,-0.0031205-0.0010613i,-0.001621-0.002249i,0.0016333-0.0046086i,-0.00015972+0.00085663i,0.00026717-0.010299i,0.0013684-0.0018639i,-0.0013811-0.0017497i,-0.0015524-0.0041663i,-0.0013468-0.0017908i,0.00065985-0.0011451i,0.0014274+0.00032203i,7.6431e-05-0.0019923i,0.0029085+0.0032916i,-0.0036192+0.0034064i,5.3852e-05+0.00089067i,-0.00069037+0.00085067i,0.013199-0.0078338i,-0.0013372+9.7293e-05i,-0.00098545+0.0035195i,-0.0025701+0.002258i,-0.0078668-0.0029617i,-0.0015815-0.00046113i,-0.0023335-0.0027543i,-0.00055296-0.0008257i,-0.0017278+0.0042498i,0.0035571+0.014191i,0.049176+0.010682i,-0.019978-0.012515i,0.021276+0.0071027i,-0.010981-0.022188i,-0.013857-0.0031367i,-0.059198+0.0083874i,-0.032053+0.003419i,-0.050733-0.013439i,0.0029217-0.0045702i,-0.0021648-0.035501i,-0.0084258-0.0044034i,-0.018091-0.0029251i,-0.018868+0.012717i,-0.004295+0.011193i,-0.0013284+0.0083102i,0.014978+0.014098i,0.00047085-0.010434i,-0.0093355+0.011614i,-0.0056679+0.00098501i,-0.00074921+0.001802i,0.0033347+0.0076426i,-4.1655e-05-0.004068i,-0.023392+0.0027365i,-0.018893+0.0094004i,0.0043981+0.0035229i,0.0055089+0.011034i,0.005369+0.0076013i,0.015182-0.0061256i,0.007724+0.0014336i,0.044359+0.00047524i,0.001273+0.0070585i,0.0092285+0.0035001i,0.0077267-0.0019899i,0.011901+0.0037785i,0.0049681+0.014611i,0.0093794+0.0092605i,0.0079525-0.0020932i,0.00862+0.005736i,0.0020945+0.014422i,0.0012035+0.0059362i,0.0080459+0.0030569i,-0.0077725+0.0080309i,-0.0040893+0.00099287i,-0.0024714+0.011655i,-0.004936-0.0016409i,-0.027471-0.011008i,0.0077665-0.011922i,0.0021049+0.0024296i,-0.021007-0.024553i,-0.010659+0.0014054i,-0.011924-0.0049337i
-0.0033777+0.016537i,-0.015904+0.019019i,-0.021379+0.028155i,-0.010981+0.02758i,-0.015276+0.032721i,0.0029119+0.028488i,-0.015465+0.026468i,-0.011729+0.021101i,0.0093543+0.012711i,0.0038565-0.0042484i,0.0036498-0.00055019i,0.0036994+0.0016118i,0.00056268-0.00072267i,0.0041867-0.0044906i,0.0007996-0.0017616i,0.017467-0.0061424i,0.0026435-0.0033249i,-0.0015318+0.0048216i,0.00058797-0.0011667i,-0.0024027+0.00084047i,-0.0018011-0.0015808i,-0.00030959-0.0025118i,0.00061644+0.0009568i,-0.0027982-0.0087085i,0.00048181-0.0016982i,-0.0025042-0.0011616i,-0.0034134-0.0030822i,-0.0019341-0.0010479i,-0.00012843-0.0012681i,0.0012746-0.00053981i,-0.0013148-0.0016812i,0.0036222+0.00077087i,-0.0028522-0.0011021i,0.00084127+6.4187e-05i,-0.0010766+0.00087074i,0.0046615-0.012481i,-0.00118-0.00049296i,0.00053173+0.0030277i,-0.0009945+0.0039056i,-0.007758-0.00023903i,-0.001531+0.00018096i,-0.0026696-0.0013667i,-0.00067642-0.0011004i,0.00027539+0.0074222i,0.0078712+0.013468i,0.060933-0.0086497i,-0.025544-0.0084741i,0.022449-0.0049798i,-0.010495-0.022923i,-0.013704-0.001053i,-0.049465+0.021634i,-0.025511+0.0063331i,-0.037244+0.0023384i,0.0041712-0.010518i,-0.014359-0.037232i,-0.0091773-0.0022911i,-0.02092-0.0025656i,-0.010443+0.01549i,-0.0012601+0.0082222i,0.0011278+0.001724i,0.010505+0.003672i,-0.0043006-0.010421i,-0.004267+0.0137i,-0.0076924+0.0060709i,-0.0014992+0.00081437i,0.0023915+0.00555i,-0.0012405+0.00060689i,-0.017263+0.012697i,-0.011324+0.016008i,0.0042446+0.0010119i,0.0097613+0.0087317i,0.0068397+0.0058882i,0.0069533-0.011581i,0.0051771-0.0016985i,0.038827-0.014989i,0.0044563+0.0066562i,0.0080054+0.0001813i,0.0051778-0.0029504i,0.011929+0.00056198i,0.012575+0.013318i,0.010019+0.0027668i,0.0064748-0.0040056i,0.008455+0.00099902i,0.010062+0.012981i,0.0036589+0.0053275i,0.0086756-0.00011462i,-0.0027227+0.012992i,-0.0038+0.0039828i,6.0135e-05+0.012738i,-0.0040725-0.010069i,-0.023121-0.0057005i,0.0027012-0.01434i,0.00052708-0.0050098i,-0.030416-0.0166i,-0.0069513+0.0038387i,-0.012433-0.0020815i
-0.00079749+0.015952i,-0.0089624+0.019397i,-0.011486+0.030235i,-0.0060847+0.028377i,-0.0079541+0.03304i,0.006867+0.026486i,-0.013849+0.025845i,-0.008449+0.022137i,0.011532+0.0090585i,0.0012569-0.0039473i,0.002694-2.8655e-05i,0.005621+0.00049625i,0.00080443-0.00113i,0.0018679-0.004321i,0.00037122-0.0018971i,0.011639-0.0079443i,0.0018843-0.0061654i,0.0033591+0.005033i,0.00014269-0.0007413i,-0.0011366+0.001708i,-0.0024845+9.1364e-05i,-0.00046315-0.00074502i,0.0011948+0.00066358i,-0.0055112-0.006978i,-0.00036769-0.0012637i,-0.0027859-2.7429e-05i,-0.0047363-0.0012125i,-0.0020879-0.00015567i,-0.0006516-0.00016036i,0.00024623-0.001027i,-0.0019922-0.00058328i,0.0024113-0.00092741i,-0.001072-0.0019452i,0.00089352-0.00083755i,-0.0012947+0.0010352i,0.00018-0.008572i,-0.0012698-0.00015558i,0.0016229+0.002073i,0.0010453+0.0045577i,-0.0059442+0.0023094i,-0.0015651+0.00082075i,-0.0023368-0.00012978i,-0.0011263-0.001133i,0.0033547+0.0062807i,0.011421+0.010533i,0.056851-0.033494i,-0.027538-0.00094094i,0.022148-0.01511i,-0.012848-0.029051i,-0.012681+0.0012546i,-0.039912+0.029573i,-0.01985+0.0057967i,-0.026409+0.0065772i,0.00091849-0.015031i,-0.029673-0.034196i,-0.0098248-0.00049026i,-0.0274+0.00071801i,-0.0048463+0.014982i,0.0019526+0.0064378i,-0.0014622-0.0027134i,0.0043494+0.00045056i,-0.0097009-0.0087156i,-0.00026613+0.013133i,-0.0032597+0.0084606i,-0.0030028+0.0021158i,0.00056206+0.0042987i,0.00071035+0.0027156i,-0.0092512+0.016817i,-0.0021695+0.017638i,0.004936-0.00052237i,0.012793+0.003303i,0.0082146+0.0039006i,-0.000138-0.010806i,0.0027133-0.0023246i,0.027815-0.026649i,0.0068033+0.0051352i,0.0069779-0.0015574i,0.0025382-0.0031801i,0.011068-0.0052302i,0.018123+0.0073131i,0.0082854-0.0012532i,0.0041372-0.0058915i,0.0065338-0.0023608i,0.015356+0.00762i,0.0048595+0.0050904i,0.0057622-0.0033506i,0.0042482+0.012549i,-0.0019913+0.0043775i,0.0051992+0.012018i,-0.0093292-0.013352i,-0.019627-0.001209i,-0.0019682-0.015554i,-0.0045002-0.0069091i,-0.036246-0.0071183i,-0.0059411+0.0035264i,-0.011386-0.00011018i
