-0.027535-0.0052123i,-0.022597-0.0082476i,-0.012583-0.015278i,-0.036349-0.01107i,-0.02764-0.00034711i,-0.037642-0.0042503i,-0.069376-0.037983i,-0.035134-0.017097i,-0.026367+0.0025295i,0.0060769+0.0075354i,-0.0061528+0.0084944i,-0.0086327+0.01898i,0.0064059+0.0091793i,-0.0011276+0.003333i,0.0048293+0.0040567i,0.0052231+0.027256i,0.024343+0.021831i,0.0015066-5.9702e-06i,0.0013972-0.0044688i,0.0097146+1.1113e-05i,0.0054665-0.00044142i,0.0026847+0.0012178i,0.002082-0.00068306i,-0.025078+0.0006117i,-0.0040579-0.003974i,0.00021796+0.0032106i,0.005358-0.0041224i,-0.0014025-0.00084227i,0.00025028+0.0010154i,-0.0013522-0.0017875i,-0.0030631-0.00061837i,-0.0065316-0.00839i,-0.0049995-0.0079193i,-1.3633e-05+0.00010303i,0.00075347-0.0025553i,0.00099878+0.02225i,0.0031095-0.0036176i,0.0013379-0.0042443i,0.0038706-0.0017908i,-0.0032469-0.0020099i,0.00068474+0.00080289i,0.0080308-0.0014842i,0.0024795-0.0016131i,-0.0010544+0.0032076i,-0.015848+0.015645i,-0.025187+0.053371i,-0.0082907-0.036988i,-0.015477-0.018057i,-0.040208-0.015862i,-0.028301-0.011466i,0.031425-0.013789i,0.0044155-0.02938i,0.010437-0.039088i,-0.011267-0.0304i,0.024458-0.023481i,0.013655+0.0070314i,0.02745-0.035927i,-0.0012024-0.0040269i,0.005906-0.0087896i,-0.00035145-0.0052609i,-0.0018166-0.034443i,-0.013047+0.029325i,0.0083131-0.011643i,-0.0083699-0.0041356i,-0.0021595-0.0021278i,-0.0004015-0.015307i,-0.0076427+0.0059131i,0.0043411+0.0066603i,0.0002664+0.028553i,0.0022363+0.00042495i,-0.0070287-0.0039187i,-0.0042913-0.0059955i,-0.014751-0.0092663i,-0.0025665-0.0056386i,-0.032879+0.0078432i,-0.0055909-0.0075873i,-0.013026-0.0001984i,-0.010781-0.0053513i,0.0013612-0.0013398i,-0.013843+0.0025824i,-0.0022366+9.998e-05i,0.0052043+0.0059777i,0.0028286-0.0048928i,-0.014616-0.012958i,0.0069536+0.0082885i,-0.016323+0.006064i,0.0046705+0.00062795i,-0.019954-0.0025466i,-0.016425-0.0032447i,-0.018449-0.034565i,0.020166-0.011438i,-0.039818-0.022399i,-0.0090578+0.0059992i,0.018004+0.014324i,-0.020812+0.017718i,-0.0043882-0.0025022i
-0.02918-0.0013666i,-0.020976+0.00088143i,-0.013697-0.01596i,-0.038242-0.0061716i,-0.027021+0.00034595i,-0.039509+0.0033833i,-0.072881-0.025243i,-0.035789-0.011922i,-0.023482+0.0080499i,0.0051891+0.0054696i,-0.0059399+0.0073411i,0.0003056+0.021359i,0.0094865+0.0053708i,-0.0034026+0.0053329i,0.0051332+0.0022003i,0.0099451+0.021345i,0.02481+0.011611i,0.0026051+0.00030743i,-0.0002598-0.0030022i,0.0076719-0.0038242i,0.0044164-0.0019665i,0.0022681+0.00054495i,0.0019388-0.0013379i,-0.012064+0.010473i,-0.0050628-0.0018917i,0.0034637+0.0012974i,0.0021244-0.0023368i,-0.00054263+0.00050124i,0.0016642+8.6411e-05i,-0.0018632-0.001255i,-0.0021099+0.0001963i,-0.0077401-0.0060077i,-0.0067538-0.0048992i,0.00021992-0.00020308i,0.00088674-0.0022246i,0.0076613+0.019066i,0.0024698-0.0047727i,-0.00073218-0.0040098i,0.0041358-0.0036518i,-0.0015287-0.0018342i,0.0016036+0.0011726i,0.0067332-0.0022918i,0.0016529-0.0011782i,-0.0024046+0.0038672i,-0.011347+0.017146i,-0.0054049+0.057992i,-0.01624-0.035097i,-0.025982-0.019662i,-0.030376-0.0046197i,-0.021508-0.0013077i,0.026677-0.033778i,0.0051444-0.044519i,0.012976-0.037798i,-0.016968-0.030131i,0.013535-0.018046i,0.011731-0.0029582i,0.01226-0.038209i,0.00090035-0.0012319i,-0.0013868-0.016599i,-0.0018114-0.00599i,-0.024966-0.029674i,-0.001228+0.02448i,0.0027553-0.014784i,-0.010002+0.0004254i,-0.00054813-0.0012151i,-0.0072514-0.014367i,-0.0069946+0.010031i,0.0094236+0.0053686i,0.01698+0.020992i,0.00086171-0.0018636i,-0.0068146-0.00033258i,-0.008199-0.0047867i,-0.018488+0.0010566i,-0.0022071-0.0039567i,-0.035118+0.016283i,-0.008746-0.0024323i,-0.011964+0.0045572i,-0.013545+0.00031592i,-0.0012459-0.0051385i,-0.010778+0.0069406i,-0.0012924-0.001335i,0.002767+0.00065416i,-0.00072053-0.0053685i,-0.019934-0.0015977i,0.0081629+0.0033532i,-0.010911+0.011731i,0.0046166-0.0021472i,-0.018017+0.0051113i,-0.017836+0.0012i,-0.023918-0.03068i,0.015415-0.018146i,-0.045276-0.0082166i,-0.0011406-0.0016764i,0.018583+0.0085821i,-0.013162+0.022699i,-0.010817-0.00706i
-0.028832+0.0040267i,-0.015472+0.001031i,-0.016616-0.01706i,-0.039263+0.0007785i,-0.027257+0.0013877i,-0.039706+0.011654i,-0.078641-0.0093429i,-0.038207-0.0065944i,-0.020604+0.011358i,0.0045047+0.0045606i,-0.0056261+0.010028i,0.0074612+0.017247i,0.0096015+0.00086194i,-0.0029884+0.008087i,0.0049294+0.0010014i,0.012045+0.015343i,0.025546+0.0043088i,0.0038748-0.00070223i,-0.00010746-0.0021486i,0.0052186-0.0051296i,0.0024656-0.0026152i,0.0027327+0.00058918i,0.0012897-0.0021832i,-0.003055+0.011882i,-0.0045788+0.00036121i,0.0037483-0.0020442i,0.0012259-0.0018415i,0.00079751+0.00052364i,0.0012897-0.00078066i,-0.0018593-0.00065625i,-0.0017079+0.00056922i,-0.0093673-0.0028809i,-0.0072861-0.0020494i,0.00021837-0.00075197i,0.00068934-0.0038878i,0.012736+0.013766i,0.0011372-0.0052055i,-0.0020032-0.0028903i,0.0022608-0.0058085i,-0.0019887-0.0018496i,0.0024498+0.00063265i,0.0053081-0.0043032i,0.0018072-0.001028i,-0.0016873+0.0050691i,-0.0077361+0.016501i,0.012592+0.055212i,-0.023484-0.030795i,-0.033861-0.0092272i,-0.016846-0.0034197i,-0.015003-0.003561i,0.016011-0.048497i,-0.0093996-0.056348i,0.018053-0.043398i,-0.022291-0.024148i,0.0096795-0.016818i,0.0083078-0.0067373i,0.00068379-0.039246i,0.0077739-0.0056918i,-0.011224-0.014546i,-0.0029933-0.0085615i,-0.040088-0.01501i,0.0049831+0.020947i,-0.0042895-0.01492i,-0.0075214+0.0030611i,-0.0020909-0.0017387i,-0.013509-0.011474i,-8.4126e-05+0.013022i,0.013425-0.0014718i,0.02392+0.0060017i,0.00013609-0.0024479i,-0.0066676+0.00052762i,-0.010237-0.0015229i,-0.015088+0.011086i,-0.0067041-0.0025611i,-0.028257+0.028455i,-0.0078082+0.0017619i,-0.0093104+0.010041i,-0.01331+0.008945i,-0.0069331-0.0036296i,-0.0088059+0.0088007i,-0.0027861-0.0010884i,-0.0010377+0.00031798i,-0.0030771-0.0044901i,-0.01247+0.0075145i,0.0062354-0.0014782i,-0.0061764+0.012917i,0.0015248-0.0057375i,-0.014096+0.0089347i,-0.015905+0.0058247i,-0.026807-0.025542i,0.008105-0.019852i,-0.042557+0.0049601i,-0.0074423-0.01059i,0.018341+0.0014509i,-0.0024436+0.020889i,-0.013212-0.0043963i
-0.026957+0.0094287i,-0.014871-0.0023205i,-0.021113-0.017678i,-0.037178+0.0075486i,-0.028353+0.0026944i,-0.035903+0.020644i,-0.076843+0.014981i,-0.039661+0.0024384i,-0.017856+0.015713i,0.0046009+0.0042958i,-0.0019513+0.012293i,0.010073+0.011974i,0.0079662-0.0026108i,5.9843e-05+0.011046i,0.0041153-9.1847e-05i,0.01151+0.0086459i,0.025075-0.0060624i,0.0036222-0.0028601i,-0.001005-0.00064604i,0.0029369-0.0056916i,0.002052-0.0018616i,0.0034839-0.00022517i,0.0001738-0.002414i,0.005052+0.014066i,-0.0033928+0.0016549i,0.001554-0.0037581i,0.0017209-0.0019519i,0.0010194-0.0003814i,0.0013015-0.00099896i,-0.0022725-0.00021787i,-0.0010161+0.0011323i,-0.0090984+0.00066019i,-0.0074654+0.00049206i,4.6165e-05-0.0010984i,-0.0017442-0.0038223i,0.013613+0.0082251i,-0.00060601-0.0057894i,-0.0023937-0.0018599i,-0.00043139-0.0059393i,-0.0015259-0.00081276i,0.002645-0.00039837i,0.0026915-0.0049475i,0.0015463-0.0013447i,-0.00022633+0.004907i,-0.0045349+0.015884i,0.028851+0.047158i,-0.029037-0.023061i,-0.032531+0.0039919i,-0.011218-0.0074442i,-0.012811-0.0036985i,-0.0025049-0.061057i,-0.027929-0.05474i,0.013185-0.059041i,-0.023274-0.019918i,0.0060173-0.014698i,0.003593-0.0107i,-0.012543-0.035993i,0.0033249-0.014374i,-0.014648-0.0086206i,-0.0089503-0.01093i,-0.04278+0.006713i,0.013293+0.015182i,-0.01057-0.012563i,-0.005188+0.0036114i,-0.0029046-0.0007825i,-0.01794-0.0050217i,0.0068207+0.0086627i,0.013072-0.0086612i,0.021697-0.0063012i,-0.00054611-0.0027298i,-0.0074565+0.0017945i,-0.010951+0.0031048i,-0.0093324+0.018137i,-0.0079283+0.002519i,-0.018528+0.036037i,-0.0063286+0.0039354i,-0.0032862+0.012241i,-0.006501+0.015284i,-0.0097641+0.0020178i,-0.003893+0.0097716i,-0.003112+0.00024195i,-0.0026953+0.0025892i,-0.0056453-0.0030958i,-0.0065735+0.0068583i,0.00063674-0.0045887i,-0.003159+0.014979i,-0.0031218-0.0049481i,-0.0094397+0.011732i,-0.013252+0.0067233i,-0.028314-0.021483i,0.0075458-0.018273i,-0.03673+0.018024i,-0.015883-0.0098954i,0.017039-0.0043204i,0.0054351+0.015258i,-0.012086-0.0011273i
-0.023677+0.014778i,-0.018194-0.0019341i,-0.02846-0.015488i,-0.034203+0.012788i,-0.030668+0.0051657i,-0.029765+0.027708i,-0.059862+0.030235i,-0.035025+0.010815i,-0.011302+0.018456i,0.0051114+0.0039995i,0.0023993+0.010893i,0.011568+0.0083217i,0.0051958-0.0045823i,0.0052826+0.010973i,0.0032628-0.00081229i,0.008528+0.007254i,0.01516-0.014702i,0.0020261-0.0042526i,0.00070964+0.0022054i,0.001012-0.0057077i,0.0020649-0.0010644i,0.0027215-0.0018112i,-0.0010459-0.0018458i,0.015893+0.0063133i,-0.0020771+0.0027161i,-2.3555e-05-0.0034396i,0.00024314-0.0029177i,0.0012797-0.00025905i,0.0011812-0.0016688i,-0.0021354+0.0010246i,8.8772e-06+0.001178i,-0.0070455+0.0040559i,-0.0056758+0.0031193i,-0.00065705-0.0013346i,-0.0023406-0.0025215i,0.01489+0.0051853i,-0.0027016-0.0050425i,-0.0029502-0.00098037i,-0.0021052-0.004531i,-0.0011101-0.0025117i,0.001973-0.0015656i,0.0011976-0.0039483i,0.0016648-0.0011205i,-0.00027078+0.0048605i,-0.0024781+0.013582i,0.041471+0.032492i,-0.027728-0.012381i,-0.025243+0.014669i,-0.0078125-0.012375i,-0.010121-0.0028592i,-0.028435-0.062498i,-0.041745-0.044817i,-0.0065406-0.067239i,-0.028494-0.012178i,0.0055911-0.011418i,-0.0017624-0.010898i,-0.023588-0.027246i,-0.0042321-0.016027i,-0.016406-0.0047757i,-0.01761-0.0066307i,-0.034933+0.021975i,0.015228+0.0050043i,-0.015848-0.0063977i,-0.0040945+0.0039191i,-0.0033464+0.00085253i,-0.018045+0.0039238i,0.0058196+0.0032357i,0.010146-0.013663i,0.017347-0.015708i,-0.0013394-0.0029263i,-0.0088329+0.0055057i,-0.0080056+0.007435i,-0.00101+0.020611i,-0.0065194+0.0067738i,-0.0098738+0.041554i,-0.005703+0.0051226i,0.00051229+0.0099992i,0.0014278+0.016003i,-0.0096793+0.0069288i,-0.0017814+0.0068692i,-0.003855+0.00082216i,-0.0018211+0.0058504i,-0.0092994-0.00025661i,-0.0059488+0.0053501i,-0.0039664-0.0018757i,0.0036504+0.015931i,-0.0061151-0.0029735i,-0.0027775+0.012468i,-0.013836+0.0087949i,-0.032315-0.015233i,0.011565-0.024787i,-0.025444+0.032292i,-0.020585-0.0023229i,0.012877-0.010297i,0.0075089+0.0068882i,-0.010489-0.001601i
-0.018416+0.018233i,-0.018037-9.2058e-05i,-0.03446-0.0078739i,-0.031185+0.017234i,-0.033146+0.010695i,-0.021152+0.032006i,-0.044533+0.035478i,-0.029181+0.015244i,-0.0059958+0.018011i,0.005304+0.0037397i,0.0038201+0.0093213i,0.012378+0.0030467i,0.0024348-0.0052466i,0.0098061+0.0079854i,0.0024962-0.0011156i,0.0084815+0.0076163i,0.0051063-0.014258i,0.00070805-0.0045637i,0.0033972+0.001284i,-0.0010542-0.0048495i,0.0028987-0.002604i,0.0013494-0.0022347i,-0.0013314-0.00091274i,0.016174-0.0048398i,9.6187e-05+0.003226i,-0.0011038-0.0030641i,-0.0012558+0.00073762i,0.001644-0.0013567i,0.00029966-0.0025371i,-0.000664+0.001908i,0.0011068+0.00039679i,-0.0044077+0.0051115i,-0.0038287+0.0052807i,-0.00099333-0.00071911i,-0.0021769-0.0017254i,0.016315+0.00038248i,-0.0041461-0.0035306i,-0.0035648-0.00018725i,-0.0034034-0.0037875i,-0.0032973-0.0035793i,0.0015082-0.0017888i,0.00046332-0.0031921i,0.0015371-0.0013133i,0.00074363+0.0052578i,-0.0019256+0.0128i,0.038572+0.013623i,-0.018314-0.0065646i,-0.017137+0.021166i,-0.0066403-0.014996i,-0.0067359-0.0059034i,-0.050578-0.046596i,-0.052208-0.030508i,-0.023616-0.062031i,-0.021648+0.0038376i,0.010923-0.0081787i,-0.0050259-0.0088319i,-0.026467-0.012341i,-0.010605-0.015891i,-0.01994+0.001095i,-0.016661+0.001805i,-0.023694+0.034952i,0.012358-0.0014312i,-0.01361+0.0025877i,-0.0052143+0.0042412i,-0.00084318+0.0024906i,-0.012836+0.010472i,0.0056036+0.0040928i,0.004068-0.022992i,0.0031297-0.025492i,-0.0045489-0.0037794i,-0.0074858+0.010548i,-0.00618+0.0094881i,0.0073857+0.019272i,-0.0023107+0.0092591i,0.0074073+0.050217i,-0.0045678+0.0060176i,0.0017706+0.0093642i,0.0074385+0.012388i,-0.0053339+0.014288i,-0.0010608+0.0079426i,-0.0056323+0.0027112i,0.0020543+0.0071186i,-0.0081694+0.0081402i,-0.006138+0.0062755i,-0.0027175+0.0037499i,0.0078335+0.012088i,-0.0081536-0.0017155i,0.00083032+0.0078345i,-0.010297+0.013312i,-0.029314-0.0033954i,0.0029453-0.03947i,-0.0011351+0.033936i,-0.01772+0.0036574i,0.012043-0.018535i,0.0068179-0.0010809i,-0.0096246+0.0011083i
-0.012439+0.020103i,-0.021229-0.0009151i,-0.037541+0.00147i,-0.027055+0.021953i,-0.03244+0.018381i,-0.013186+0.032794i,-0.032472+0.03589i,-0.024151+0.017421i,-0.0029319+0.01685i,0.0069316+0.0024065i,0.0074636+0.0084924i,0.0083941-0.0015069i,-0.00036161-0.0042526i,0.01223+0.0020176i,0.0020292-0.0012869i,0.0095553+0.0074311i,-0.00048911-0.010124i,-0.0011646-0.0049326i,0.0036525-0.0013113i,-0.0019069-0.0031748i,0.0018933-0.0042455i,0.0014293-0.0018359i,-0.0013199-0.00026093i,0.010344-0.011588i,0.0025541+0.0017358i,-0.0016415-0.0020961i,0.0014248-0.0013257i,0.00092729-0.0023162i,-0.00076672-0.001972i,0.00036453+0.0012711i,0.0010454-0.00079427i,-0.0015208+0.0059474i,-2.0173e-06+0.0053664i,-0.00087462-0.00037295i,-0.0029548-0.0013394i,0.014488-0.0053207i,-0.0040082-0.0014523i,-0.0031676+0.0013253i,-0.004314-0.0016934i,-0.0062142-0.001676i,0.00051037-0.002243i,0.0004128-0.0040866i,0.0014476-0.0016585i,0.0017828+0.0036246i,-0.00069646+0.013009i,0.031654+0.011018i,-0.014679-0.0099959i,-0.0012683+0.02465i,-0.0056203-0.016811i,-0.011357-0.010147i,-0.058432-0.027074i,-0.050039-0.011397i,-0.040679-0.053087i,-0.0081455+0.0066704i,0.014244-0.020926i,-0.0061398-0.0063624i,-0.022153-0.0065829i,-0.020305-0.011256i,-0.014599+0.010564i,-0.014283+0.00543i,-0.0031917+0.036955i,0.010144-0.0050762i,-0.011626+0.0046031i,-0.0023597+0.0035845i,-0.0018702+0.00013758i,-0.0063311+0.014022i,0.0086346+0.0010824i,-0.012017-0.022912i,-0.01452-0.0202i,-0.0046592+0.0021141i,-0.0026199+0.013035i,-0.0011443+0.010553i,0.014261+0.011713i,0.0014164+0.0088929i,0.030729+0.042555i,-0.0012693+0.0071139i,0.0038989+0.0088268i,0.010959+0.0070537i,0.0038525+0.015988i,-0.0021279+0.0078361i,-0.0046896+0.0085109i,0.0065606+0.0067596i,-0.0028308+0.012143i,-0.0063542+0.0084928i,-0.00014481+0.0049517i,0.0090891+0.0077549i,-0.0088454+0.0021071i,0.0020756+0.0032383i,-0.0051194+0.013163i,-0.022066+0.0014491i,-0.018603-0.041614i,0.014604+0.018367i,-0.015028+0.0073495i,0.0030728-0.027166i,0.0017328-0.0061923i,-0.0043882-0.00053871i
-0.0070933+0.01983i,-0.024643+0.0056451i,-0.036694+0.011575i,-0.021085+0.025089i,-0.027779+0.025364i,-0.006997+0.032049i,-0.02376+0.033924i,-0.019695+0.018547i,0.00070096+0.016831i,0.0076536+0.00023968i,0.01022+0.0031329i,0.0043318-0.00096411i,-0.0012987-0.0020369i,0.0098479-0.0020976i,0.0016049-0.0016709i,0.012023+0.005505i,-0.0021473-0.0057997i,-0.0033087-0.003946i,0.0013099-0.002224i,-0.0023753-0.0023071i,-0.00078372-0.0045124i,0.00081848-0.0023489i,-0.0013213+0.00045633i,0.0035776-0.014323i,0.0021665-0.00070757i,-0.0015539-0.0014738i,0.00090225-0.003684i,-0.00026673-0.0022261i,-0.00052222-0.0016188i,0.00026197+0.0007381i,0.00021246-0.0016549i,0.0011494+0.0050309i,0.002073+0.0038504i,-0.00078485-0.00029678i,-0.002909+0.00045195i,0.010715-0.0091853i,-0.0032296-0.00061879i,-0.001722+0.0021414i,-0.0033479-0.00066405i,-0.0065375+0.0012287i,-0.00049473-0.0018233i,-0.00073712-0.0041695i,0.00098416-0.0019943i,0.0011208+0.0022891i,0.0010704+0.014022i,0.036785+0.013862i,-0.016009-0.013215i,0.012037+0.017822i,-0.0061483-0.022126i,-0.014256-0.0060045i,-0.062195-0.0099674i,-0.040022-0.00039214i,-0.055826-0.033463i,0.0004517+0.0012329i,0.0080157-0.030216i,-0.0067793-0.0052632i,-0.019069-0.0025045i,-0.025859+0.00090965i,-0.0084916+0.011879i,-0.009686+0.0093704i,0.013326+0.026985i,0.0067928-0.0093353i,-0.011234+0.0080732i,-0.0031179+0.0013014i,-0.0020203+0.0017264i,0.00090429+0.012116i,0.0064542-0.0047758i,-0.022675-0.011217i,-0.021392-0.0058939i,0.00023022+0.0052091i,0.0033983+0.012624i,0.0028432+0.0096172i,0.017239+0.0043855i,0.006859+0.0072922i,0.044513+0.023884i,0.0008339+0.0058439i,0.00603+0.0077706i,0.010277+0.00055804i,0.01142+0.0098274i,-0.0012684+0.013514i,0.0009776+0.012037i,0.010207+0.002107i,0.0050231+0.011034i,-0.0051622+0.01233i,0.0016665+0.0043532i,0.0092365+0.0052053i,-0.0081622+0.0050216i,0.00045471+0.0009483i,-0.0029094+0.011793i,-0.012895+0.0033437i,-0.030808-0.024991i,0.016103+0.00019609i,-0.003634+0.0096773i,-0.0091786-0.030085i,-0.006556-0.0065195i,-0.0066035-0.0066515i
-0.0030407+0.018242i,-0.021712+0.013805i,-0.031379+0.021413i,-0.015875+0.026698i,-0.02165+0.029638i,-0.0014752+0.030777i,-0.017637+0.030537i,-0.016691+0.018852i,0.0052302+0.015647i,0.0070856-0.0023426i,0.0073572-0.0017588i,0.0041577+0.00090304i,-0.00065465-0.00055551i,0.0070964-0.0044175i,0.0010337-0.0016258i,0.01359+0.0018102i,-0.00080107-0.003026i,-0.0042551-0.0020029i,0.00015455-0.001579i,-0.0031086-0.0011477i,-0.0019968-0.0027708i,-0.00032317-0.0022423i,-0.00070485+0.0012256i,-0.0021301-0.012849i,0.00081637-0.001612i,-0.0016276-0.0017369i,-0.0013645-0.0042883i,-0.0012631-0.001904i,-0.0011649-0.0018785i,0.00045799+0.00076948i,-0.00087677-0.0022041i,0.0030765+0.0034281i,0.0028749+0.0016124i,-0.00055875+1.9562e-05i,-0.002081+0.00037956i,0.0057408-0.011302i,-0.0026019-0.0003143i,-0.00056615+0.0021626i,-0.0039166-0.00029835i,-0.0057262+0.0034354i,-0.00085545-0.0011592i,-0.002519-0.0036897i,0.00065212-0.0021505i,-0.00042411+0.0026934i,0.004094+0.014938i,0.049915+0.0084531i,-0.020466-0.013172i,0.020328+0.0073006i,-0.010834-0.021848i,-0.014122-0.0031075i,-0.059399+0.0090552i,-0.032823+0.0029537i,-0.051018-0.0074894i,0.0041205-0.0036636i,-0.0022744-0.036222i,-0.0080753-0.0044513i,-0.017951-0.0029176i,-0.019382+0.012925i,-0.0038746+0.011703i,-0.0019476+0.0079959i,0.016349+0.012125i,0.0029392-0.010997i,-0.0077408+0.011905i,-0.0048056+0.0022335i,-0.001333+0.0015727i,0.0028406+0.0077371i,-0.00017028-0.004143i,-0.023881+0.0028113i,-0.019355+0.0054593i,0.0043515+0.0028211i,0.006686+0.010785i,0.0043458+0.0075964i,0.014802-0.0057399i,0.0077757+0.0013789i,0.047034+0.0031471i,0.0011616+0.0063751i,0.0088273+0.0042942i,0.0071217-0.0025793i,0.012119+0.0040001i,0.0057738+0.016737i,0.0084904+0.0082264i,0.0084785-0.0022997i,0.0089744+0.0052822i,0.00060472+0.016385i,0.0018757+0.0054052i,0.0091631+0.003294i,-0.0079316+0.008334i,-0.0035366+0.0012121i,-0.0017383+0.012177i,-0.0049812-0.00085445i,-0.028467-0.011257i,0.0085343-0.011268i,0.0021771+0.0022656i,-0.022714-0.026472i,-0.0098759+0.0012879i,-0.011942-0.0047445i
-0.00040032+0.016571i,-0.015544+0.017001i,-0.022629+0.027733i,-0.011218+0.027503i,-0.014853+0.032247i,0.0033494+0.028905i,-0.015011+0.027543i,-0.014508+0.019803i,0.0087616+0.012467i,0.0056455-0.0043697i,0.0033591-0.0022325i,0.0050766+0.00098092i,0.00055575-0.00040832i,0.0044097-0.0053383i,0.00095529-0.0014388i,0.012128-0.0027958i,0.00035449-0.0036402i,-0.0040976+0.00015374i,-0.00040961-0.0013148i,-0.0029431+0.00073678i,-0.0018663-0.0019705i,-0.0011004-0.0010397i,0.00016133+0.0014419i,-0.0057069-0.01012i,-0.00019784-0.0016067i,-0.0024727-0.0012717i,-0.0033005-0.0030359i,-0.002007-0.0011979i,-0.0021154-0.0013464i,0.00067027+0.00020693i,-0.0023066-0.0017217i,0.0038807+0.00086318i,0.0028446-0.00011623i,-0.00034808-0.00012308i,-0.002261+0.00063891i,0.00042039-0.010002i,-0.0030021-0.00069331i,0.00019222+0.0017617i,-0.00374+0.0015453i,-0.0042873+0.0056221i,-0.0010198-0.00055597i,-0.0032274-0.0022098i,0.00012474-0.0024956i,0.00034702+0.0050111i,0.0086062+0.014444i,0.061333-0.011103i,-0.02567-0.0089863i,0.022123-0.0042698i,-0.010409-0.022185i,-0.014111-0.00098517i,-0.049211+0.022199i,-0.026465+0.0062383i,-0.036365+0.0031675i,0.0051984-0.011099i,-0.015824-0.036877i,-0.0088512-0.002814i,-0.020618-0.0021026i,-0.010685+0.016195i,-0.00050321+0.0095674i,0.00070934+0.0016522i,0.0109+0.0025274i,-0.0024699-0.010877i,-0.0029227+0.013268i,-0.0052242+0.0046913i,-0.0021504+0.0010006i,0.0020555+0.0054049i,-0.0013087+0.00060896i,-0.018021+0.013241i,-0.012444+0.012721i,0.0041904+0.00046697i,0.010947+0.0078977i,0.0057349+0.0062798i,0.007235-0.010739i,0.0051808-0.0020314i,0.041013-0.013465i,0.0040701+0.0063977i,0.0079608+0.00074724i,0.004571-0.0032277i,0.012172+0.00065723i,0.013942+0.014641i,0.0093324+0.0025284i,0.0068497-0.0043949i,0.0083184+0.00088408i,0.0094329+0.01489i,0.0042056+0.0047619i,0.009575+5.8223e-05i,-0.0023638+0.013504i,-0.0032958+0.0040474i,0.00074031+0.013298i,-0.0039428-0.0090569i,-0.02392-0.0056494i,0.0019574-0.01413i,0.00084919-0.0050316i,-0.033315-0.017139i,-0.0065141+0.0033923i,-0.012174-0.001985i
0.0019352+0.015328i,-0.0092556+0.017384i,-0.012847+0.03018i,-0.0061364+0.028386i,-0.0077397+0.032501i,0.0073579+0.026601i,-0.01323+0.02681i,-0.011787+0.021512i,0.010881+0.0088369i,0.0035564-0.0057911i,0.0018901-0.0011056i,0.0062318-0.0003165i,0.00085958-0.00088133i,0.0019133-0.004847i,0.00062232-0.0016861i,0.008918-0.0053533i,-0.00075228-0.0051861i,-0.0032836+0.0015201i,-0.00086926-0.00049396i,-0.0016891+0.0020549i,-0.0023796-0.0013103i,-0.00061257+5.6319e-05i,0.0009166+0.0012119i,-0.0084206-0.0074914i,-0.0011046-0.0010873i,-0.0029527-0.0002541i,-0.0042722-0.0012547i,-0.0022376-0.00018318i,-0.0025667-0.0002616i,6.8965e-05-0.00026044i,-0.0031598-0.00039929i,0.0025682-0.00094845i,0.0020554-0.0014911i,-0.00029075-0.00033363i,-0.0022366+0.0010601i,-0.0021657-0.0066306i,-0.0034909+0.00023524i,0.00076943+0.001049i,-0.0024839+0.0025268i,-0.0013965+0.0069238i,-0.0010512-4.897e-05i,-0.0030935-0.0008407i,-0.00068035-0.0027547i,0.0024476+0.0043144i,0.012875+0.011345i,0.056059-0.036236i,-0.02771-0.001736i,0.022347-0.014488i,-0.012305-0.027704i,-0.013093+0.0014882i,-0.039427+0.029556i,-0.020703+0.0061001i,-0.026065+0.0067555i,0.0017026-0.015511i,-0.029675-0.032349i,-0.010044-0.0010801i,-0.02624+0.0015279i,-0.0042757+0.015531i,0.00094027+0.0066042i,-0.0015468-0.0028413i,0.0044328-4.5834e-05i,-0.0079157-0.0099796i,0.00075305+0.012242i,-0.0031156+0.0068149i,-0.0031464+0.0025667i,0.00011131+0.0048328i,0.00077907+0.0026444i,-0.0096561+0.017654i,-0.0043423+0.015824i,0.0047756-0.0011928i,0.013345+0.00182i,0.0072183+0.0047668i,0.00058947-0.010038i,0.002649-0.0027091i,0.030151-0.024979i,0.0064996+0.0050964i,0.007178-0.00080997i,0.0019964-0.0031636i,0.011202-0.0055332i,0.019703+0.0080132i,0.0076879-0.0015311i,0.0043312-0.0063035i,0.0067712-0.0023093i,0.014703+0.009213i,0.0052552+0.0041496i,0.0066868-0.0032779i,0.0051784+0.012768i,-0.0013607+0.004314i,0.0059376+0.012487i,-0.0091119-0.012364i,-0.020086-0.0009376i,-0.0025623-0.015365i,-0.0040621-0.0070446i,-0.038671-0.0047205i,-0.0058606+0.0029271i,-0.011364-0.00010886i
