-0.026269-0.0043753i,-0.022741-0.0076692i,-0.014785-0.015396i,-0.03674-0.0098963i,-0.027435+0.00058165i,-0.036594-0.002866i,-0.068821-0.036233i,-0.034826-0.015602i,-0.024174+0.0035342i,0.0070737+0.0065727i,-0.0056353+0.0081895i,-0.0081797+0.01886i,0.006529+0.0089655i,-0.00070708+0.0036177i,0.0045371+0.0040834i,0.0056452+0.025463i,0.024471+0.019978i,0.0014622-0.0004969i,0.00078568-0.0042937i,0.0090888+4.5175e-05i,0.0055261-0.00010571i,0.0024432+0.0015092i,0.0013719-0.0005952i,-0.024361+0.00056747i,-0.0049402-0.0039739i,-0.00038327+0.0034505i,0.0049806-0.0039105i,-0.0017294-0.00050491i,-0.00032358+0.0012217i,-0.0020933-0.0016473i,-0.0037873-0.00027881i,-0.0072718-0.0080214i,-0.0050432-0.0075479i,-0.00061728+0.00022815i,-0.00011328-0.002253i,0.00087273+0.021119i,0.0028842-0.0037173i,0.00090009-0.0045454i,0.0032717-0.0019051i,-0.0028455-0.002635i,0.00094637+0.00016416i,0.0083102-0.0021871i,0.0034038-0.0021083i,0.00036843+0.0028748i,-0.014585+0.016192i,-0.024207+0.05154i,-0.0097558-0.037022i,-0.01685-0.019075i,-0.041045-0.016077i,-0.028277-0.010971i,0.030299-0.012887i,0.0037552-0.029157i,0.010087-0.039043i,-0.011197-0.02955i,0.024853-0.024097i,0.01367+0.0064614i,0.026881-0.036597i,-0.0013743-0.0041088i,0.0053521-0.0088989i,-0.0005952-0.0055449i,-0.001688-0.03436i,-0.011152+0.029208i,0.007986-0.012102i,-0.0085024-0.0043864i,-0.0025584-0.0022905i,-0.00090583-0.015413i,-0.0075522+0.0061182i,0.0042224+0.0057753i,0.0010788+0.027875i,0.0017532+0.0001329i,-0.0072925-0.0038019i,-0.0045069-0.0061692i,-0.015185-0.0097058i,-0.0027893-0.005723i,-0.032712+0.0072639i,-0.0060344-0.0078794i,-0.013134-0.00039104i,-0.011079-0.0058476i,0.0012573-0.001629i,-0.013951+0.0021568i,-0.0017031-0.00082226i,0.0052498+0.0049808i,0.0030405-0.0057674i,-0.014476-0.013777i,0.0079257+0.0075958i,-0.015168+0.0056044i,0.0054093-0.00046619i,-0.01875-0.0014939i,-0.014959-0.0037862i,-0.017831-0.034551i,0.019894-0.011523i,-0.039741-0.022419i,-0.0087947+0.0063469i,0.018221+0.01424i,-0.020805+0.017956i,-0.004138-0.0024692i
-0.027805-0.00071972i,-0.020822+0.001226i,-0.016161-0.015581i,-0.038275-0.005065i,-0.026749+0.0012391i,-0.038222+0.0043553i,-0.072149-0.0239i,-0.035366-0.010705i,-0.021399+0.0082072i,0.0059966+0.0040995i,-0.0053819+0.0071079i,0.00069363+0.02108i,0.0095303+0.0051841i,-0.0028392+0.0053948i,0.0049019+0.0021905i,0.0097331+0.01949i,0.02444+0.0098235i,0.0022975-0.0001787i,-0.00043046-0.00258i,0.0071924-0.0034413i,0.0046189-0.0017353i,0.0021426+0.00085743i,0.0014077-0.00096903i,-0.011741+0.009689i,-0.0057073-0.001508i,0.0029545+0.0015644i,0.0025125-0.0021112i,-0.00084451+0.00086227i,0.0012017+0.00045289i,-0.0024943-0.00071184i,-0.0026577+0.00083116i,-0.0079866-0.0053741i,-0.0067858-0.0047998i,-0.0001374+0.00019524i,0.00021178-0.0015904i,0.0070577+0.018024i,0.0022747-0.0047964i,-0.0011258-0.0041109i,0.0035642-0.0035362i,-0.0014587-0.0027806i,0.0016182+0.00030743i,0.0068031-0.0033807i,0.0021824-0.0021755i,-0.00093643+0.0032184i,-0.010148+0.017106i,-0.0050649+0.056167i,-0.01761-0.034756i,-0.027663-0.020042i,-0.031245-0.0045341i,-0.021213-0.0008089i,0.025896-0.03262i,0.0043136-0.043908i,0.012701-0.038135i,-0.016464-0.029787i,0.013943-0.018967i,0.01163-0.0037095i,0.011815-0.038274i,0.00083241-0.0012773i,-0.0021401-0.016482i,-0.0020688-0.0063387i,-0.024544-0.029738i,4.1049e-05+0.024149i,0.0024763-0.015304i,-0.010037+0.00023704i,-0.00090408-0.0012691i,-0.0078512-0.014409i,-0.0067632+0.010128i,0.0090639+0.004763i,0.017372+0.019878i,7.9034e-05-0.0020515i,-0.0070504-0.00034751i,-0.0087803-0.0047439i,-0.018751+0.0011875i,-0.0025354-0.0041109i,-0.034887+0.015747i,-0.0092721-0.0027726i,-0.011904+0.004208i,-0.013694-0.00031646i,-0.0016327-0.0058494i,-0.011106+0.0064681i,-0.0010693-0.0021943i,0.0026254-1.5648e-05i,-0.00078813-0.0062507i,-0.020183-0.0023783i,0.0087538+0.002546i,-0.0099385+0.010761i,0.004832-0.0033912i,-0.016327+0.0053078i,-0.016547+0.00026387i,-0.023565-0.030599i,0.015259-0.018305i,-0.045106-0.0080469i,-0.00093751-0.0017485i,0.018746+0.0080737i,-0.012863+0.022746i,-0.010695-0.0070494i
-0.027352+0.0040221i,-0.015927+0.0011201i,-0.019128-0.016012i,-0.039152+0.0018067i,-0.026934+0.0022588i,-0.038349+0.0123i,-0.077747-0.0079939i,-0.03786-0.0054024i,-0.018905+0.010949i,0.0048112+0.0028942i,-0.0049554+0.0095076i,0.0076221+0.016794i,0.0096848+0.00066403i,-0.0024992+0.0079124i,0.0047157+0.0010312i,0.011276+0.014028i,0.024531+0.0027129i,0.0033862-0.0012565i,-0.00011772-0.0018351i,0.0050396-0.0047199i,0.002727-0.002639i,0.002711+0.00088437i,0.00098885-0.0017101i,-0.0032875+0.010861i,-0.0049501+0.00081733i,0.0033277-0.0014165i,0.0014285-0.0021236i,0.00061178+0.00094639i,0.0010337-0.00028417i,-0.0021013+1.5518e-05i,-0.0019283+0.001413i,-0.0091437-0.002033i,-0.0075981-0.0019079i,0.00010764-0.00034515i,0.00028656-0.0030772i,0.011691+0.013072i,0.00069157-0.0052978i,-0.0023958-0.0029629i,0.0018308-0.005719i,-0.0023635-0.0028371i,0.002103-0.00035475i,0.0049681-0.00541i,0.0018517-0.0020781i,-0.00047163+0.0038008i,-0.0067133+0.016003i,0.012566+0.053179i,-0.024766-0.030246i,-0.03554-0.0093557i,-0.017249-0.0035589i,-0.014898-0.003121i,0.015487-0.047228i,-0.010047-0.055665i,0.017322-0.043778i,-0.021717-0.024286i,0.0099396-0.017845i,0.0079288-0.0072396i,5.0939e-05-0.039157i,0.0076931-0.0055129i,-0.011569-0.014138i,-0.0035589-0.0088107i,-0.039583-0.015312i,0.0061325+0.020002i,-0.0049131-0.015393i,-0.0078672+0.0027006i,-0.0023771-0.0017587i,-0.014134-0.011384i,0.00012576+0.012914i,0.012905-0.0018444i,0.023538+0.0048971i,-0.00074536-0.0022512i,-0.0069596+0.00029632i,-0.010872-0.0013003i,-0.015292+0.011197i,-0.0073334-0.0025751i,-0.028478+0.027628i,-0.0081072+0.0012785i,-0.0095556+0.009478i,-0.013465+0.0084219i,-0.0078483-0.0040051i,-0.0091509+0.0086349i,-0.0027789-0.0021104i,-0.00106-0.00015032i,-0.0034728-0.0056511i,-0.013117+0.0071463i,0.0068074-0.0022921i,-0.0058431+0.011499i,0.0015562-0.0074422i,-0.012521+0.0086858i,-0.01506+0.0042983i,-0.026289-0.025566i,0.0081451-0.019837i,-0.042373+0.0047426i,-0.0074447-0.010739i,0.018384+0.0013875i,-0.0020663+0.020407i,-0.012774-0.0041328i
-0.025862+0.0087707i,-0.015747-0.0015439i,-0.023419-0.015961i,-0.036738+0.0084407i,-0.027887+0.0036097i,-0.034553+0.021057i,-0.075715+0.015787i,-0.039101+0.0036216i,-0.01656+0.014936i,0.0042934+0.002651i,-0.0015929+0.01159i,0.010102+0.01158i,0.0080586-0.0029192i,0.00040243+0.010714i,0.0040188-6.8444e-05i,0.010559+0.0079589i,0.023426-0.007133i,0.0028102-0.0033147i,-0.00090327-0.00050565i,0.0029021-0.0053125i,0.0021255-0.0019804i,0.0034964+1.9487e-05i,0.00012021-0.0019147i,0.0042594+0.013008i,-0.0036095+0.0021736i,0.0015896-0.0029501i,0.0012591-0.001959i,0.0010171+4.1696e-05i,0.0012636-0.00056167i,-0.0022366+0.00051434i,-0.00084731+0.0020007i,-0.0085239+0.0012975i,-0.0073442+0.00094511i,5.9155e-06-0.00061133i,-0.0017799-0.0030326i,0.012418+0.0079731i,-0.0012439-0.0055299i,-0.0029557-0.0017042i,-0.00088295-0.0058392i,-0.0023586-0.0016564i,0.0019027-0.0013168i,0.0019761-0.0058817i,0.0012669-0.002297i,0.00038007+0.0030328i,-0.0037002+0.015019i,0.027943+0.044889i,-0.030378-0.022231i,-0.034186+0.0042095i,-0.01175-0.0074964i,-0.012874-0.0032159i,-0.0024447-0.059555i,-0.028603-0.054057i,0.012056-0.059441i,-0.023161-0.020385i,0.0059621-0.016063i,0.0031509-0.010946i,-0.013232-0.035474i,0.0033379-0.014157i,-0.014723-0.0085014i,-0.0095331-0.010697i,-0.042409+0.0062981i,0.014236+0.01375i,-0.011237-0.012789i,-0.0056901+0.0031888i,-0.0032927-0.00056121i,-0.01863-0.0046772i,0.0068335+0.0085605i,0.012206-0.0089901i,0.021186-0.0074283i,-0.001334-0.0024978i,-0.0079148+0.0016096i,-0.011643+0.0036617i,-0.0095822+0.018276i,-0.008267+0.0025632i,-0.019278+0.035327i,-0.0070407+0.003249i,-0.0037695+0.011923i,-0.0068461+0.014683i,-0.01082+0.0018934i,-0.0043153+0.0098183i,-0.0036938-0.00081471i,-0.0030008+0.0019021i,-0.0066584-0.0041434i,-0.0072291+0.0066723i,0.00094663-0.0056534i,-0.0033826+0.013586i,-0.0038101-0.0065262i,-0.0081897+0.011041i,-0.013016+0.0049554i,-0.027937-0.021945i,0.0081358-0.018537i,-0.036762+0.017901i,-0.015816-0.0098357i,0.017517-0.0048402i,0.0053096+0.014686i,-0.01119-0.0014821i
-0.023081+0.013832i,-0.018917-0.00036549i,-0.030024-0.012976i,-0.033634+0.013474i,-0.030075+0.0060524i,-0.028357+0.027768i,-0.058924+0.030866i,-0.034422+0.011878i,-0.010683+0.017373i,0.0042439+0.0025242i,0.0025305+0.010163i,0.011473+0.007991i,0.0051951-0.0047997i,0.0054727+0.010687i,0.0033301-0.00086375i,0.0076373+0.0069074i,0.013361-0.015045i,0.0010566-0.0043273i,0.00075575+0.0023744i,0.00090693-0.0053646i,0.0020865-0.0011782i,0.0028659-0.0015426i,-0.00085909-0.0014559i,0.014481+0.0057634i,-0.0020592+0.0033185i,0.00037638-0.0027877i,3.5419e-06-0.0026115i,0.001413+5.9087e-05i,0.0013417-0.001212i,-0.0017204+0.0016424i,0.00051996+0.0018851i,-0.006674+0.004655i,-0.0056882+0.0033403i,-0.00053669-0.00072873i,-0.0021967-0.001856i,0.013723+0.0053235i,-0.0031943-0.004507i,-0.0033906-0.00050255i,-0.0025032-0.0042393i,-0.0021646-0.0028445i,0.00087719-0.0018689i,5.0404e-05-0.0045942i,0.00097949-0.0020501i,-0.00045754+0.0029234i,-0.0022418+0.012669i,0.039587+0.030614i,-0.029005-0.011334i,-0.02681+0.015273i,-0.0085515-0.012398i,-0.010184-0.0024269i,-0.027839-0.061074i,-0.042639-0.044302i,-0.0077143-0.067376i,-0.02825-0.012769i,0.0046719-0.012891i,-0.0022132-0.011013i,-0.024088-0.026484i,-0.0044098-0.015762i,-0.016816-0.0046046i,-0.018159-0.0061385i,-0.034817+0.021297i,0.015259+0.0031139i,-0.016803-0.006438i,-0.0047609+0.0038264i,-0.0036694+0.001376i,-0.018554+0.0042051i,0.0056542+0.003105i,0.0089761-0.013625i,0.016362-0.016351i,-0.0021609-0.0027151i,-0.0092396+0.005572i,-0.008784+0.00799i,-0.0013846+0.020975i,-0.0069027+0.0066867i,-0.010605+0.041051i,-0.0067421+0.005027i,4.9487e-05+0.010069i,0.00067046+0.015685i,-0.010705+0.0072843i,-0.0021572+0.0071691i,-0.0049637+0.00034217i,-0.0025669+0.0054053i,-0.010535-0.00087564i,-0.0066567+0.0053596i,-0.0042507-0.0029581i,0.0026813+0.014511i,-0.0073939-0.0041035i,-0.0021225+0.011414i,-0.013876+0.0073806i,-0.032453-0.015896i,0.011625-0.025007i,-0.025424+0.032201i,-0.020494-0.0024225i,0.012946-0.011096i,0.0073112+0.0064984i,-0.0098317-0.0023561i
-0.018363+0.017255i,-0.018667+0.0015682i,-0.035249-0.0050144i,-0.030724+0.017857i,-0.032352+0.011599i,-0.019812+0.031784i,-0.043577+0.036114i,-0.028665+0.016306i,-0.0060325+0.017149i,0.003943+0.0026704i,0.0037503+0.0086036i,0.012297+0.0027271i,0.0024058-0.005378i,0.0097505+0.0075581i,0.002574-0.0012173i,0.0075896+0.0076574i,0.0035561-0.013859i,-0.00020882-0.00428i,0.003399+0.0013842i,-0.00097007-0.0044479i,0.0026888-0.0026567i,0.0015591-0.0021149i,-0.0010101-0.00064093i,0.014734-0.0045067i,0.0003266+0.0036943i,-0.00058081-0.0027649i,-0.0010922+0.0012317i,0.0017401-0.0010833i,0.00065167-0.0022204i,-7.0091e-05+0.0022724i,0.0018115+0.00083687i,-0.0040889+0.0058757i,-0.003979+0.0057429i,-0.00066119-0.00025472i,-0.0017461-0.001255i,0.01526+0.00093722i,-0.0045419-0.0028585i,-0.0038084+0.00053623i,-0.0035643-0.0032673i,-0.0043662-0.0033606i,0.00039253-0.0016301i,-0.0010287-0.0032798i,0.00045532-0.0019037i,-1.4042e-05+0.003551i,-0.0021531+0.011905i,0.036495+0.012596i,-0.019693-0.0052842i,-0.018157+0.022366i,-0.0070896-0.014764i,-0.0068397-0.0053965i,-0.049675-0.045409i,-0.053022-0.029476i,-0.024933-0.062009i,-0.022051+0.0028035i,0.0094966-0.0091117i,-0.0057085-0.0086587i,-0.026523-0.011521i,-0.010714-0.01551i,-0.020234+0.0015219i,-0.017126+0.002508i,-0.023915+0.034446i,0.01173-0.0028299i,-0.014614+0.002915i,-0.0057101+0.0044232i,-0.00093368+0.003191i,-0.013476+0.011133i,0.0053559+0.0039974i,0.0028992-0.022509i,0.0019293-0.025694i,-0.0056084-0.0033696i,-0.007758+0.010714i,-0.0067218+0.010454i,0.0071908+0.019715i,-0.0027083+0.0093822i,0.0064842+0.049685i,-0.0054858+0.0066009i,0.0013772+0.0096949i,0.0066437+0.012678i,-0.0061299+0.014778i,-0.0012995+0.0083446i,-0.0068143+0.0027631i,0.0012603+0.0072783i,-0.0097334+0.0082444i,-0.0073749+0.0066437i,-0.0035143+0.0028092i,0.0062993+0.011224i,-0.0096401-0.0023344i,0.00061022+0.0064928i,-0.010693+0.012075i,-0.029511-0.0031909i,0.0029354-0.039514i,-0.00090556+0.03368i,-0.017836+0.0033354i,0.011711-0.018839i,0.0066098-0.0016413i,-0.0093485+0.00080952i
-0.012956+0.019194i,-0.02192+0.0012302i,-0.037542+0.0044566i,-0.02665+0.022661i,-0.031322+0.019123i,-0.011849+0.032391i,-0.031446+0.03653i,-0.023636+0.018619i,-0.0031839+0.016428i,0.0053222+0.002194i,0.0070634+0.007996i,0.008303-0.0017701i,-0.00034594-0.0044062i,0.011989+0.0018236i,0.0020781-0.0013408i,0.0089395+0.0078725i,-0.0016046-0.0092064i,-0.0018928-0.0043113i,0.0034292-0.0012433i,-0.0017956-0.0031009i,0.0016865-0.004119i,0.0015719-0.0017305i,-0.00091072-0.00016286i,0.0092087-0.010603i,0.0028232+0.0020152i,-0.0011927-0.001845i,0.0017367-0.0010544i,0.0011443-0.0020244i,-0.00034558-0.0017332i,0.001028+0.0013005i,0.0018571-0.00068565i,-0.0011573+0.00665i,0.00019749+0.0059061i,-0.00051805-0.00010439i,-0.0022763-0.001111i,0.013785-0.0044688i,-0.0042975-0.00056385i,-0.0030919+0.0020881i,-0.0043113-0.0011649i,-0.0070196-0.0010043i,-0.00051646-0.0016524i,-0.00096774-0.0034398i,0.0002723-0.0017518i,0.00049952+0.0023523i,-0.0013526+0.012416i,0.029862+0.010341i,-0.016084-0.0083087i,-0.0015924+0.025541i,-0.0058916-0.016692i,-0.011472-0.0095351i,-0.057237-0.026095i,-0.050478-0.010422i,-0.041819-0.052525i,-0.0093371+0.0058884i,0.012396-0.021054i,-0.0066028-0.0057065i,-0.021975-0.0061392i,-0.020404-0.010746i,-0.014333+0.011259i,-0.01453+0.0062959i,-0.0037279+0.036773i,0.0092151-0.0061017i,-0.012736+0.0054122i,-0.0028611+0.0038148i,-0.0019393+0.00080268i,-0.0064369+0.014993i,0.0081217+0.00116i,-0.012815-0.022055i,-0.015793-0.019517i,-0.0054915+0.0028749i,-0.0028185+0.01372i,-0.0010034+0.011567i,0.013959+0.012071i,0.0011979+0.0090686i,0.029476+0.042178i,-0.001665+0.0079155i,0.0035642+0.009394i,0.010418+0.007978i,0.003355+0.01683i,-0.0022996+0.0085415i,-0.0056498+0.0088682i,0.0058493+0.0071639i,-0.0040502+0.012799i,-0.007273+0.0097269i,-0.001344+0.0043378i,0.0073851+0.0076276i,-0.010424+0.0019589i,0.0014205+0.0024625i,-0.0060666+0.012184i,-0.021992+0.001419i,-0.018814-0.041132i,0.014427+0.017998i,-0.015178+0.0074141i,0.0029828-0.027038i,0.0011077-0.0064703i,-0.0039291-0.00070109i
-0.0081275+0.019592i,-0.02455+0.0083003i,-0.035798+0.014414i,-0.020398+0.025707i,-0.026444+0.025792i,-0.0057169+0.031538i,-0.022477+0.03456i,-0.018918+0.019884i,0.00033626+0.016724i,0.0062323+0.00069911i,0.0096715+0.0032052i,0.0044717-0.0011851i,-0.0013426-0.0022044i,0.0097088-0.0021352i,0.0016345-0.0017387i,0.011692+0.0060219i,-0.0028203-0.0047269i,-0.0037889-0.0029783i,0.0012913-0.0019888i,-0.0023842-0.0022843i,-0.00088095-0.0043008i,0.00099493-0.002277i,-0.00087988+0.00038894i,0.0030004-0.012901i,0.0025053-0.00036102i,-0.0010848-0.0014665i,0.0011568-0.0032482i,3.7841e-06-0.0020581i,-7.4915e-05-0.0016101i,0.00084829+0.000482i,0.00094474-0.0018469i,0.0016704+0.0055616i,0.0026234+0.0042438i,-0.00040319+7.7818e-06i,-0.0021387+0.00041867i,0.01037-0.0081124i,-0.0030669+0.00043785i,-0.0014036+0.0028888i,-0.0032302+9.3521e-05i,-0.0069329+0.002164i,-0.0012625-0.0008193i,-0.0017826-0.0030814i,-0.00016072-0.0017243i,-0.00038032+0.0016992i,0.00020574+0.013853i,0.034361+0.013193i,-0.016894-0.010728i,0.011792+0.018887i,-0.0066605-0.021612i,-0.013992-0.0052242i,-0.060822-0.0093481i,-0.040346+0.00039887i,-0.056539-0.032673i,-0.0013582+0.0012543i,0.0063571-0.02955i,-0.0066812-0.0046817i,-0.018995-0.0020395i,-0.02556+0.0013792i,-0.0079136+0.012259i,-0.0096526+0.010572i,0.012655+0.027301i,0.0057103-0.0097024i,-0.011806+0.0091405i,-0.0033313+0.0019976i,-0.0017602+0.0025653i,0.0011959+0.012976i,0.0059665-0.0044736i,-0.02305-0.010285i,-0.022126-0.0047767i,-0.00011589+0.0061644i,0.0037633+0.013289i,0.0034231+0.010537i,0.017151+0.0050729i,0.0067784+0.0076157i,0.043419+0.024156i,0.00049017+0.0066345i,0.0061718+0.0086403i,0.010307+0.0015512i,0.011245+0.010808i,-0.0012552+0.01444i,-5.675e-06+0.013031i,0.009405+0.0027532i,0.0041203+0.012174i,-0.0054476+0.013596i,0.00024274+0.0041965i,0.0080645+0.0055874i,-0.0096491+0.0061742i,-0.00042531+0.00028687i,-0.0036879+0.011431i,-0.013137+0.0029328i,-0.030797-0.024772i,0.015633+0.00036243i,-0.0035087+0.0096516i,-0.0095205-0.030142i,-0.0073865-0.0063198i,-0.0064729-0.0070255i
-0.0039182+0.018805i,-0.020942+0.016257i,-0.02976+0.023715i,-0.015136+0.027049i,-0.020269+0.029641i,-0.00022237+0.029959i,-0.016093+0.031137i,-0.015536+0.020201i,0.0048278+0.015875i,0.0060317-0.0013812i,0.0072276-0.0012994i,0.0043349+0.00051117i,-0.00072297-0.00063986i,0.0069274-0.0043185i,0.0010613-0.0016965i,0.013491+0.0023199i,-0.0010339-0.0019521i,-0.0042902-0.00077861i,0.00022298-0.0012633i,-0.0030278-0.0010447i,-0.0019659-0.0026168i,-0.00012457-0.0022046i,-0.00036918+0.00096316i,-0.0019332-0.011262i,0.0013585-0.0013597i,-0.0013287-0.0018498i,-0.00084182-0.00397i,-0.00091644-0.0018345i,-0.00076688-0.0019742i,0.00090321+0.00021031i,-0.00034386-0.002554i,0.0036451+0.0038889i,0.0033345+0.001711i,-2.2346e-05+0.00010859i,-0.0013441+0.00011695i,0.0059808-0.010141i,-0.0019301+0.00058901i,7.5226e-05+0.0028206i,-0.00343+0.00056674i,-0.0056146+0.0044685i,-0.0011566+7.3397e-05i,-0.0028994-0.0022491i,-0.00036017-0.0014792i,-0.0016628+0.0029097i,0.0032218+0.015184i,0.046961+0.0085166i,-0.020415-0.010733i,0.020567+0.0083157i,-0.010618-0.021417i,-0.013453-0.0025399i,-0.058111+0.0092907i,-0.032906+0.0040936i,-0.051498-0.0065349i,0.0027011-0.0030488i,-0.0036255-0.034962i,-0.0080152-0.004078i,-0.017583-0.0022577i,-0.019127+0.013052i,-0.0033275+0.012063i,-0.0013771+0.0092018i,0.015887+0.012646i,0.0017093-0.010757i,-0.0079654+0.013003i,-0.004703+0.0030933i,-0.00070642+0.0021054i,0.0035906+0.0083589i,-0.00054698-0.0038913i,-0.023879+0.0039587i,-0.019943+0.0067809i,0.0041242+0.0039923i,0.0071917+0.011243i,0.0053165+0.0081539i,0.014952-0.0052032i,0.0077765+0.0017403i,0.046485+0.003696i,0.001191+0.0073901i,0.0093593+0.005081i,0.007411-0.0016708i,0.01236+0.00482i,0.0062326+0.017465i,0.0081028+0.009548i,0.0080011-0.0012252i,0.0087722+0.0065542i,0.00070342+0.017619i,0.00070609+0.0058299i,0.0083063+0.0038108i,-0.0083886+0.0097636i,-0.0047036+0.0011554i,-0.0022233+0.011955i,-0.005834-0.0014882i,-0.028671-0.011113i,0.0084027-0.011031i,0.0019898+0.0019378i,-0.023063-0.025971i,-0.010436+0.0014981i,-0.011979-0.0047578i
-0.0007661+0.017633i,-0.014105+0.019255i,-0.020798+0.029353i,-0.01053+0.027813i,-0.013576+0.031974i,0.0043467+0.027881i,-0.013128+0.027783i,-0.012991+0.020928i,0.0084764+0.012997i,0.0051239-0.0030505i,0.0036563-0.0016522i,0.0051758+0.00039364i,0.00056667-0.00061987i,0.0043088-0.0053107i,0.00092567-0.0015312i,0.012397-0.0023506i,0.00046942-0.0025736i,-0.0035271+0.0012541i,-9.6138e-05-0.0011136i,-0.0026129+0.00077816i,-0.0018421-0.0019297i,-0.00093328-0.0011291i,0.00039037+0.0011259i,-0.0048311-0.0088473i,0.00042126-0.0015662i,-0.0022224-0.0014128i,-0.0025715-0.00299i,-0.0015675-0.001338i,-0.0017088-0.0015818i,0.00081691-0.00037309i,-0.0019153-0.0021503i,0.0047937+0.00089469i,0.0034747-7.1168e-05i,0.00020262-0.00029436i,-0.0016282+0.00032226i,0.0011834-0.009119i,-0.0020261-5.2618e-05i,0.001161+0.0021389i,-0.0028675+0.0021886i,-0.003758+0.0064435i,-0.00078971+0.00054538i,-0.0029845-0.00076043i,-0.00049074-0.0014942i,-0.00045528+0.0054915i,0.0078287+0.014972i,0.05816-0.0099579i,-0.02503-0.0068211i,0.022543-0.0038121i,-0.010334-0.021748i,-0.013271-0.00054282i,-0.047965+0.022108i,-0.025919+0.0072912i,-0.036763+0.0041415i,0.0041066-0.0099854i,-0.016576-0.035193i,-0.0088502-0.002209i,-0.020124-0.0016795i,-0.010095+0.016202i,0.00045545+0.0097907i,0.0015844+0.0024981i,0.010917+0.0033426i,-0.0034974-0.010508i,-0.002786+0.014092i,-0.0046883+0.0054867i,-0.0013749+0.0010896i,0.0029272+0.0056014i,-0.0013201+0.0009377i,-0.017505+0.014188i,-0.012589+0.014257i,0.0044262+0.0016169i,0.011424+0.0081039i,0.0068953+0.0064899i,0.0077533-0.010179i,0.0054878-0.0014294i,0.040575-0.01278i,0.0045517+0.0071985i,0.008694+0.0012903i,0.0052431-0.002496i,0.012798+0.0012552i,0.01428+0.014817i,0.0094307+0.0037415i,0.006788-0.0035327i,0.0085939+0.0021438i,0.0098437+0.01591i,0.003366+0.0054417i,0.0091757+0.00077317i,-0.0023581+0.014652i,-0.0040826+0.0044697i,0.00021306+0.01296i,-0.0052056-0.0091887i,-0.023708-0.0055993i,0.0019608-0.01391i,0.00034049-0.0051353i,-0.033466-0.016563i,-0.0070254+0.0036963i,-0.012079-0.0021425i
0.0021207+0.016423i,-0.0072164+0.019226i,-0.010985+0.031092i,-0.0052708+0.028523i,-0.0065848+0.03196i,0.0080927+0.025454i,-0.0113+0.026574i,-0.0099114+0.022301i,0.0108+0.0095611i,0.0036753-0.0044467i,0.0024633-0.00074832i,0.0062023-0.0009121i,0.00077443-0.0012122i,0.0019163-0.0048232i,0.00059167-0.0018482i,0.009529-0.0051995i,-0.00035835-0.0042926i,-0.0023411+0.0022571i,-0.0004445-0.00054777i,-0.0014804+0.0017434i,-0.0022726-0.0012937i,-0.00046963-6.2679e-05i,0.0010459+0.00085349i,-0.0072726-0.006566i,-0.00048139-0.0012539i,-0.0026266-0.0003898i,-0.0036979-0.0017138i,-0.0018424-0.00054151i,-0.0022773-0.0005557i,7.6982e-05-0.00074265i,-0.0029003-0.00089303i,0.0034594-0.0014487i,0.0027577-0.0019863i,0.00019482-0.0006653i,-0.0018119+0.00059659i,-0.0011036-0.0061446i,-0.0022758+0.00049102i,0.0018681+0.0010264i,-0.0014924+0.0027729i,-0.00055953+0.0074241i,-0.00038756+0.00090562i,-0.00225+0.00037963i,-0.00089783-0.0016909i,0.0018703+0.0049381i,0.012196+0.012197i,0.053224-0.033853i,-0.026664+0.00011703i,0.022533-0.014444i,-0.012048-0.027379i,-0.011983+0.0015606i,-0.038289+0.028964i,-0.019941+0.0067381i,-0.026285+0.0077169i,0.0010972-0.014453i,-0.029788-0.030664i,-0.009503-0.00046037i,-0.025679+0.0018607i,-0.0034182+0.015197i,0.0020669+0.0062578i,-0.00041246-0.0024132i,0.0048507+0.00059103i,-0.0087451-0.0096157i,0.0013147+0.013006i,-0.0023032+0.0072341i,-0.0025055+0.0022695i,0.0010763+0.0045505i,0.0010054+0.0028639i,-0.008778+0.018198i,-0.0039688+0.017137i,0.0054905-0.00035801i,0.013756+0.0020061i,0.0083833+0.0044439i,0.0011438-0.0097536i,0.0032086-0.0023396i,0.03016-0.024012i,0.007196+0.0054217i,0.0080806-0.00058316i,0.0027923-0.0028089i,0.012106-0.0052773i,0.019893+0.0082805i,0.0081644-0.00050943i,0.0045803-0.0056257i,0.0075665-0.0013548i,0.01533+0.010251i,0.0049539+0.0052215i,0.0067056-0.0024713i,0.0051951+0.014084i,-0.001688+0.0046651i,0.0052429+0.012261i,-0.010199-0.01202i,-0.02004-0.001117i,-0.0027418-0.015283i,-0.0045429-0.0066884i,-0.038741-0.0042423i,-0.00617+0.0033044i,-0.011519-0.00018739i
