-0.031841-0.040489i,-0.021917-0.020287i,-0.013511-0.035731i,-0.030416-0.020037i,-0.022542-5.5142e-05i,-0.014079-0.0057999i,-0.055983-0.058746i,-0.047865-0.017012i,-0.037497-0.01201i,0.012095+0.011329i,-0.0076487+0.0048211i,-0.019363+0.019017i,0.0022534+0.011653i,-0.0057006-0.0024711i,0.00026447+0.0014049i,-0.0012233+0.030832i,0.025444+0.024941i,0.0024272-0.0024959i,-0.0024075-0.006753i,0.0088097+0.0018646i,0.0025234+0.00093109i,-0.00064474+0.0034971i,-0.00035289+0.00035787i,-0.038147-0.011795i,-0.0003546-0.0081682i,0.0012955+0.0021867i,0.0061695+0.0012963i,0.002057+0.00064478i,0.0011147-0.00035807i,-0.00067803-0.002619i,0.0015502-0.0025781i,-0.0021125-0.005835i,-0.00093918-0.0050386i,0.002913-0.00062248i,0.0045374-0.0034737i,0.0018347+0.030493i,0.0039783-0.0038209i,0.0029214-0.001552i,0.0081493-0.001686i,-0.0063515-0.0036708i,-0.00023151+0.00090399i,0.0088211-0.00018394i,0.0045778-0.0029928i,-0.0017113+0.0086853i,-0.017758-0.0088437i,-0.018593+0.014529i,-0.003978-0.062877i,-0.0054854-0.026754i,-0.026836-0.032947i,-0.010885-0.026597i,0.054189-0.022151i,0.01703-0.043166i,0.022882-0.048007i,0.003786-0.053338i,0.026696-0.021291i,0.0082333+0.0061056i,0.023596-0.03369i,-0.0080246-0.0061327i,0.004056-0.005226i,-0.0039544-0.0071779i,-0.0018484-0.032198i,-0.018971+0.029525i,0.0083281-0.011559i,-0.0095677-0.0030943i,-0.0041613-0.0017678i,0.0010523-0.012829i,-0.010696+0.0043479i,0.00267+0.010204i,-0.0043377+0.025693i,0.0048832+0.0031787i,-0.0053647-0.001579i,-0.0020484-0.001996i,-0.012672-0.0073672i,-0.00064596-0.0041058i,-0.028485+0.0084913i,0.0010634-0.010787i,-0.0082739+0.00027866i,-0.0068544-0.002277i,0.0053498+0.0013813i,-0.0079507-0.00042608i,0.0021881-1.8249e-05i,0.0034819+0.0068452i,0.0042251+0.00043142i,-0.0093837-0.012958i,0.0024989+0.0095191i,-0.01325+0.0042771i,0.0073731-0.00032855i,-0.021519-0.00054659i,-0.017549+0.0072064i,-0.0095072-0.068179i,0.007164-0.012374i,-0.049419-0.022352i,-0.021662+0.0010717i,0.017291+0.011133i,-0.023558+0.014307i,-0.020976-0.0055725i
-0.039047-0.036388i,-0.023013-0.011439i,-0.018611-0.037095i,-0.032242-0.017167i,-0.02025+6.3639e-05i,-0.015898-0.0030253i,-0.065327-0.047375i,-0.048819-0.0094699i,-0.036846-0.0049525i,0.011649+0.0074493i,-0.0094929+0.004464i,-0.0090464+0.026232i,0.0064304+0.0085479i,-0.0093638+0.00062438i,0.00041538+0.0010185i,0.0057532+0.026262i,0.025835+0.013892i,0.0028549-0.0012001i,-0.0049388-0.0026864i,0.0089251-0.0022475i,0.00094904+0.00065127i,0.00018232+0.0036009i,-0.00035005+0.0007097i,-0.02617+0.0079317i,-0.0024815-0.0071922i,0.002974+0.00019244i,0.0049212+0.0019227i,0.0028293+0.0014005i,0.00149-0.00109i,-0.0016953-0.0022704i,0.0011989-0.0034988i,-0.0027973-0.0049772i,-0.0019785-0.0047758i,0.0023521-0.0017646i,0.004333-0.0033463i,0.011357+0.026509i,0.0032654-0.0053366i,0.0017356-0.0021736i,0.0087975-0.0050604i,-0.0046914-0.0019229i,0.0003026+0.0018476i,0.0080265-0.00055145i,0.0030892-0.0030611i,-0.0017808+0.009077i,-0.016437-0.0090407i,-0.0062748+0.017749i,-0.015419-0.061481i,-0.016135-0.028809i,-0.021415-0.023076i,-0.0078975-0.015864i,0.051519-0.047074i,0.016736-0.06189i,0.024592-0.048416i,-0.0065624-0.056213i,0.013999-0.016848i,0.0073363-0.0017198i,0.0097944-0.036509i,-0.0077481+0.00011785i,-0.00050737-0.014136i,-0.005832-0.0062269i,-0.023109-0.028621i,-0.0057894+0.026011i,0.0025196-0.014344i,-0.01091+0.0011181i,-0.0032831-1.8214e-05i,-0.0058711-0.012644i,-0.011515+0.0094228i,0.0079953+0.010671i,0.010787+0.020422i,0.0049274-0.0012963i,-0.0053905+0.0013054i,-0.0044238-0.0019817i,-0.016466+0.0015738i,-0.00075485-0.0028555i,-0.034759+0.015193i,-0.0048871-0.0082716i,-0.0071936+0.0035079i,-0.008397+0.0018778i,0.0038476-0.0038732i,-0.0067829+0.0015932i,0.0030407-0.0029905i,0.0024267+0.0030295i,0.0033423-0.00089402i,-0.014657-0.0056167i,0.0048971+0.0060478i,-0.0093067+0.0086035i,0.0057943-0.003595i,-0.020111+0.0076222i,-0.015508+0.012167i,-0.020709-0.065207i,0.002589-0.017232i,-0.054535-0.0072489i,-0.015542-0.0032975i,0.017384+0.0055683i,-0.016676+0.020111i,-0.028767-0.0075834i
-0.04428-0.030616i,-0.020426-0.010221i,-0.025464-0.038488i,-0.034201-0.011566i,-0.019492-0.00048962i,-0.017008-0.00016462i,-0.076297-0.031432i,-0.050619-0.00092915i,-0.036333-0.00010812i,0.011302+0.0047502i,-0.010028+0.0094474i,0.0019357+0.024122i,0.0074127+0.0041195i,-0.010044+0.0043427i,0.00043541+0.0009609i,0.010054+0.019954i,0.027761+0.006599i,0.0043317-0.0017394i,-0.0040053-8.1878e-05i,0.0044487-0.0030367i,-0.00076254+0.0016367i,0.0017096+0.0045919i,-0.00024784+0.0008424i,-0.014633+0.01658i,-0.0037547-0.0055292i,0.0030643-0.0019404i,0.0051132+8.0233e-05i,0.0046639+0.00041628i,0.00046941-0.001495i,-0.0020096-0.0012371i,-9.9248e-05-0.0040787i,-0.004531-0.0038572i,-0.003424-0.0040764i,0.0016325-0.0031221i,0.0040378-0.0068235i,0.018573+0.018462i,0.0017679-0.0061468i,0.0007263-0.0025094i,0.0069477-0.0099601i,-0.0046032-0.00062978i,0.0014547+0.0021261i,0.0068327-0.003628i,0.0027179-0.0030647i,0.00049518+0.010222i,-0.017839-0.010831i,0.0040532+0.015095i,-0.025462-0.057538i,-0.024693-0.020867i,-0.0099806-0.02158i,-0.0014245-0.019091i,0.041826-0.068042i,-0.0014753-0.077727i,0.028955-0.055562i,-0.017223-0.052095i,0.010289-0.015929i,0.004571-0.0045885i,-3.2394e-05-0.042458i,0.0020258-0.00053415i,-0.010081-0.012903i,-0.0052719-0.0083465i,-0.038456-0.016743i,0.0020068+0.023002i,-0.0039724-0.014485i,-0.0083551+0.002955i,-0.0047361+0.00070075i,-0.011734-0.010335i,-0.0051745+0.015628i,0.014574+0.0043921i,0.020025+0.0079882i,0.0039266-0.0033981i,-0.0043361+0.0014783i,-0.0060243-0.00026437i,-0.012186+0.011229i,-0.0044023-0.0023218i,-0.030844+0.026561i,-0.0065396-0.0036522i,-0.0055878+0.0068094i,-0.0083956+0.0078507i,-0.0018553-0.0047888i,-0.0062865+0.0025028i,0.0012692-0.0046618i,0.00053775+0.0024356i,0.002662-0.0024698i,-0.0090601+0.002502i,0.0045895+0.0023625i,-0.0053074+0.0098846i,0.0024439-0.0066345i,-0.015575+0.01278i,-0.010008+0.015321i,-0.026671-0.060569i,-0.0041251-0.01684i,-0.052288+0.0059463i,-0.021612-0.0086394i,0.01623-0.0013567i,-0.0061609+0.019455i,-0.031146-0.0019293i
-0.048483-0.023849i,-0.02138-0.011376i,-0.035032-0.038847i,-0.031495-0.0065591i,-0.020132-0.0011i,-0.016776+0.0036529i,-0.077971-0.005294i,-0.049518+0.011022i,-0.036104+0.0078507i,0.010726+0.0026642i,-0.0054047+0.013499i,0.0069051+0.01892i,0.0064839+0.00044925i,-0.01038+0.0093982i,9.2928e-05+0.00084692i,0.010493+0.01269i,0.028086-0.0063587i,0.0035999-0.0039888i,-0.0041213+0.0024021i,0.0035916-0.0033109i,0.00052014+0.0037564i,0.0040378+0.0042233i,-0.00016295+0.0012259i,-0.00062032+0.025299i,-0.0044784-0.0042101i,0.0013465-0.0034112i,0.0054706-0.0013016i,0.0038911-0.0021711i,0.0002112-0.0010192i,-0.0026621-0.00028516i,-0.001584-0.0039277i,-0.0051252-0.0021236i,-0.0043827-0.0027345i,0.00014399-0.0038453i,-0.00017263-0.0075493i,0.018928+0.010552i,-0.00050787-0.0066955i,-9.9398e-05-0.0027026i,0.0015829-0.011897i,-0.0026692+0.00091439i,0.0024982+0.0014028i,0.0034877-0.0049269i,0.0019381-0.0032681i,0.0034161+0.0089121i,-0.018181-0.011946i,0.012857+0.0088179i,-0.033858-0.050422i,-0.025312-0.010416i,-0.0062731-0.025288i,-0.00050188-0.021014i,0.022222-0.089487i,-0.024616-0.077856i,0.024233-0.073793i,-0.023353-0.047657i,0.0066454-0.01403i,0.001125-0.0071367i,-0.012818-0.035118i,0.00079611-0.0093508i,-0.012504-0.0080494i,-0.011309-0.011805i,-0.043256+0.0046396i,0.011435+0.017086i,-0.0096921-0.012353i,-0.0062789+0.0037003i,-0.0044824+0.0033954i,-0.016475-0.004633i,0.0032332+0.013272i,0.016352-0.003549i,0.020221-0.010355i,0.0027398-0.0056499i,-0.004977+0.0015517i,-0.0064044+0.0030405i,-0.0067659+0.017802i,-0.0055742+0.0014306i,-0.022516+0.035341i,-0.0065918-0.0010885i,-0.0012119+0.008083i,-0.0020005+0.012048i,-0.0059015-0.0018547i,-0.0041681+0.0036914i,-0.00035538-0.0048729i,-9.0851e-05+0.0033705i,5.7067e-05-0.0039313i,-0.0045804+0.0019162i,0.0011546-0.00057821i,-0.0015864+0.011719i,-0.0022476-0.0062355i,-0.0093771+0.01559i,-0.0050079+0.01444i,-0.032117-0.057837i,-0.0028172-0.013511i,-0.046864+0.020927i,-0.029067-0.005169i,0.014413-0.0070223i,0.0013812+0.014013i,-0.029361+0.0049775i
-0.05153-0.01601i,-0.025106-0.009341i,-0.048098-0.034752i,-0.029029-0.004616i,-0.02292-0.00093795i,-0.015087+0.0074903i,-0.063348+0.01169i,-0.042196+0.020636i,-0.030098+0.014841i,0.011101+0.00089324i,-0.00033275+0.012366i,0.010423+0.015767i,0.0040169-0.0013272i,-0.0063976+0.014044i,-6.4268e-05+0.00070728i,0.0078843+0.010797i,0.016784-0.017145i,0.0017808-0.004859i,-0.0011982+0.0064037i,0.0024757-0.0032901i,0.0025281+0.005759i,0.0053055+0.0022028i,0.00019186+0.0017955i,0.01693+0.01721i,-0.0049884-0.0022117i,-0.00012637-0.0032984i,0.0036074-0.0035088i,0.0029573-0.002347i,0.00015141-0.00083537i,-0.0023154+0.0013584i,-0.0028641-0.0028685i,-0.0049988-0.00046657i,-0.0043758-0.0011041i,-0.0020111-0.0034962i,-0.0024053-0.0061461i,0.019515+0.0064147i,-0.0027564-0.0058186i,-0.0013686-0.0025792i,-0.0030525-0.010355i,-0.0019177-0.0014705i,0.0026473+0.000205i,0.0014741-0.0036041i,0.0015967-0.0032446i,0.0044585+0.0070231i,-0.022857-0.015609i,0.018923-0.0024599i,-0.037267-0.041837i,-0.020798-0.0016858i,-0.0041713-0.030874i,0.0012986-0.021932i,-0.010473-0.099301i,-0.04352-0.069076i,0.0038135-0.085044i,-0.032246-0.040086i,0.0057618-0.010567i,-0.0027111-0.0074537i,-0.023903-0.024464i,-0.0059192-0.011682i,-0.014876-0.0061137i,-0.02129-0.0071308i,-0.037088+0.020368i,0.014203+0.0064048i,-0.015035-0.0066731i,-0.0050927+0.00469i,-0.003318+0.005683i,-0.017169+0.003818i,0.0043892+0.0085403i,0.014453-0.010317i,0.02437-0.0075266i,0.00059276-0.0075403i,-0.0067003+0.0045003i,-0.0038639+0.006055i,0.0012576+0.019415i,-0.0047747+0.0048785i,-0.01291+0.043489i,-0.0077026+0.00056726i,0.00098929+0.0052397i,0.0046306+0.010785i,-0.0076021+0.0019008i,-0.0035439+0.0015139i,-0.0029707-0.0055429i,0.00022291+0.0052188i,-0.0036754-0.003282i,-0.0048479+0.00059959i,-0.001582+0.0010476i,0.0034551+0.012599i,-0.0052198-0.0042799i,-0.0024035+0.015929i,-0.0030162+0.01426i,-0.039415-0.052045i,0.00095633-0.018963i,-0.034902+0.036404i,-0.031572+0.0051646i,0.0095426-0.01269i,0.0021398+0.0064112i,-0.02568+0.0066995i
-0.05251-0.0088227i,-0.025326-0.0068848i,-0.058588-0.022202i,-0.028849-0.0036734i,-0.026918+0.0023312i,-0.011176+0.0099701i,-0.049376+0.0174i,-0.033573+0.025655i,-0.024723+0.017874i,0.010242-0.0013404i,0.0015775+0.011333i,0.014268+0.0097431i,0.0015308-0.0018162i,0.0034082+0.015918i,-0.00042057+0.0007235i,0.007788+0.010853i,0.0044105-0.017577i,0.0014304-0.0047489i,0.0032094+0.0061038i,0.0012742-0.0032001i,0.0061734+0.0034738i,0.0051507+0.00026533i,0.0013611+0.0021172i,0.023845+0.0033114i,-0.0040983+5.2487e-05i,-0.0018597-0.0031843i,0.00080489-0.00148i,0.0027394-0.0035712i,-0.00013241-0.0011884i,-0.00052066+0.002345i,-0.0034419-0.0016716i,-0.004691+0.0005291i,-0.0047456+0.0010514i,-0.0024705-0.0017679i,-0.0033318-0.0046862i,0.020848+7.5407e-05i,-0.0043189-0.0044135i,-0.0031282-0.0021962i,-0.0064279-0.008081i,-0.0045104-0.0022033i,0.0031864-0.00045672i,0.00039823-0.002344i,0.00034795-0.0034635i,0.005256+0.0057751i,-0.030732-0.013618i,0.010586-0.017838i,-0.035426-0.034873i,-0.015727+0.0034092i,-0.0058135-0.033546i,0.0044909-0.027864i,-0.042967-0.088238i,-0.059449-0.054075i,-0.015792-0.083545i,-0.031622-0.024638i,0.012082-0.0055895i,-0.0050956-0.0055866i,-0.025554-0.0094868i,-0.011361-0.011824i,-0.020094-0.0011814i,-0.020392+0.0027492i,-0.026685+0.033157i,0.011449-0.00092785i,-0.013746+0.0023496i,-0.00499+0.005112i,0.0010127+0.0082602i,-0.012219+0.010936i,0.0058192+0.0096703i,0.0099249-0.021862i,0.0088051-0.023008i,-0.0052463-0.010075i,-0.0057653+0.0088391i,-0.0023627+0.0062687i,0.0089343+0.01723i,-0.0013095+0.007419i,0.0038647+0.05504i,-0.0083855+0.0020427i,0.00070252+0.005004i,0.008454+0.0059221i,-0.0060022+0.0088297i,-0.0053584+0.0030353i,-0.0075856-0.0037652i,0.0038502+0.0054164i,-0.0047475+0.0025856i,-0.007247+0.0014312i,0.00033115+0.005392i,0.0071548+0.0097629i,-0.0069907-0.0031573i,0.0021302+0.011589i,0.0012332+0.014304i,-0.041722-0.0395i,-0.0077658-0.031032i,-0.010739+0.039686i,-0.026725+0.011174i,0.011349-0.023084i,0.00075704+0.00020525i,-0.022378+0.011525i
-0.052663-0.0018755i,-0.030099-0.0063575i,-0.064464-0.0071089i,-0.028743-0.00071237i,-0.028751+0.0092656i,-0.0076595+0.010083i,-0.039558+0.01822i,-0.026196+0.027616i,-0.021657+0.020284i,0.0099454-0.0043041i,0.0059892+0.010255i,0.011554+0.0032301i,-0.00086684-0.00022342i,0.0094683+0.0078281i,-0.00059705+0.0010019i,0.0087842+0.0107i,-0.0026746-0.012417i,0.00014126-0.0061995i,0.0049736+0.0029505i,0.00035929-0.0025201i,0.0066304+0.00026742i,0.0055505-0.00046774i,0.0024927+0.0015492i,0.019748-0.0099471i,-0.002027+0.00037145i,-0.0017608-0.0017357i,0.0022589-0.0032127i,0.00050731-0.004788i,-0.00026988-0.00055161i,0.00073569+0.0015328i,-0.0037754-0.00083601i,-0.0038898+0.0024711i,-0.0030744+0.0024117i,-0.0023455-0.0012086i,-0.0050453-0.0039613i,0.018815-0.0074308i,-0.0045048-0.0020565i,-0.0035411-0.00034252i,-0.0081291-0.0031318i,-0.0069303+0.00085822i,0.0025558-0.0017814i,0.0011446-0.0030794i,-0.00036558-0.0033116i,0.0060931+0.0031823i,-0.036985-0.0071532i,-0.0026648-0.016499i,-0.03695-0.033563i,-0.0046311+0.0067478i,-0.007053-0.035282i,-0.0027554-0.037544i,-0.06153-0.069919i,-0.062281-0.031841i,-0.036441-0.077508i,-0.024428-0.019584i,0.01807-0.018866i,-0.0060612-0.0033985i,-0.019919-0.0030886i,-0.020953-0.008428i,-0.017105+0.0088371i,-0.017204+0.0068748i,-0.0069979+0.037564i,0.0093061-0.0044423i,-0.011958+0.0047585i,-0.0019439+0.0047251i,0.0031795+0.0048778i,-0.0052216+0.014568i,0.011228+0.0068748i,-0.0061459-0.025954i,-0.011203-0.021517i,-0.0088088-0.0024054i,-0.001326+0.0116i,0.00089468+0.0063438i,0.014987+0.009471i,0.001992+0.0069384i,0.030904+0.050232i,-0.0057793+0.0051823i,0.0011502+0.0046763i,0.0092549+0.00060732i,0.00081644+0.011209i,-0.0079863+0.0047364i,-0.0096736+0.0023934i,0.0068151+0.0045036i,-0.0022674+0.0059539i,-0.0096123+0.0048249i,0.0028506+0.0052912i,0.0082772+0.0066877i,-0.0070805+0.00014865i,0.0052795+0.0071292i,0.0048432+0.011412i,-0.042831-0.033886i,-0.026946-0.029002i,0.005521+0.028214i,-0.023287+0.015016i,-0.0039053-0.02491i,-0.003552-0.0035655i,-0.014477+0.011374i
-0.052159+0.0055941i,-0.034435+0.0017251i,-0.064378+0.0099207i,-0.026589+0.00096605i,-0.025513+0.016524i,-0.0057343+0.0093461i,-0.033073+0.017352i,-0.020049+0.028181i,-0.016262+0.024208i,0.0079838-0.0076626i,0.0082729+0.0046554i,0.0059103+0.0016461i,-0.0009561+0.0023806i,0.0068359+0.0023944i,-0.0005924+0.0011506i,0.012254+0.0085946i,-0.0059557-0.0066705i,-0.0032188-0.0055161i,0.0036766+0.0012227i,9.1797e-05-0.0020828i,0.0047355-0.0012885i,0.0051319-0.002325i,0.0029408+0.00050681i,0.011399-0.016777i,-0.0020949-0.00061806i,-0.0016713-0.0011121i,0.001499-0.0047285i,-0.00015643-0.0036379i,0.00082285-0.00057872i,0.00070954+0.00065928i,-0.004216+0.00013573i,-0.0019972+0.0035275i,-0.001676+0.0032145i,-0.0026956-0.00067929i,-0.0056932-0.00069834i,0.013523-0.012703i,-0.0037069-0.00072557i,-0.0023401+0.0011714i,-0.0059129-0.0010062i,-0.0054829+0.0042586i,0.0013445-0.0019799i,0.0011814-0.0034014i,-0.001583-0.0030127i,0.0048575+0.00064952i,-0.039644+0.0023864i,-0.0041542-0.0067501i,-0.044601-0.030024i,0.0051123+0.0020521i,-0.0096356-0.039134i,-0.01193-0.035695i,-0.075833-0.051551i,-0.054074-0.01644i,-0.056582-0.060668i,-0.020079-0.020445i,0.012055-0.030541i,-0.0060848-0.0022206i,-0.015802+4.4495e-05i,-0.027757+0.0030987i,-0.011926+0.012039i,-0.012765+0.012175i,0.010717+0.030515i,0.0052122-0.0087252i,-0.010459+0.0098687i,-0.0018822+0.0022201i,0.0049831+0.0038024i,0.0021661+0.012426i,0.011965-0.0010952i,-0.019673-0.015822i,-0.020575-0.0093237i,-0.0054736+0.0026924i,0.0041535+0.011351i,0.0032404+0.004936i,0.017047+0.00099908i,0.0065787+0.0061459i,0.049342+0.032157i,-0.0041345+0.0044727i,0.0018822+0.0054518i,0.0069215-0.0040785i,0.0067478+0.0070739i,-0.0082244+0.013364i,-0.006952+0.0093179i,0.0094811+0.00048058i,0.0030278+0.0057734i,-0.0087551+0.011519i,0.0041898+0.0029039i,0.0088351+0.0046547i,-0.0070124+0.0020383i,0.0055463+0.0025015i,0.0058116+0.0082938i,-0.040171-0.025044i,-0.035677-0.011042i,0.01132+0.013359i,-0.011672+0.018962i,-0.015256-0.025541i,-0.011474-0.003263i,-0.014103+0.0066306i
-0.050144+0.012512i,-0.032193+0.011368i,-0.057267+0.024887i,-0.027155+0.0018736i,-0.020417+0.020336i,-0.0041611+0.0088944i,-0.028984+0.015054i,-0.015603+0.027887i,-0.0086942+0.025801i,0.0042394-0.009908i,0.0058971+0.00084423i,0.0055985+0.003682i,0.00071927+0.0040834i,0.0041128-4.785e-05i,-0.00056974+0.0015942i,0.014354+0.0048857i,-0.004692-0.0019234i,-0.0042768-0.0028424i,0.0033485+0.0010526i,-0.00019194-0.001821i,0.0045366-0.0007602i,0.0035549-0.0034252i,0.0030008-0.00041622i,0.0036014-0.017518i,-0.0029159-0.00064096i,-0.0016879-0.0010452i,-0.00048975-0.0054611i,-0.0012962-0.0035051i,0.00045473-0.0014374i,0.00085976+0.00023731i,-0.0038607+0.0013219i,-0.00014306+0.0035827i,-0.0005115+0.0027859i,-0.0024585+0.00055776i,-0.0047212+0.00015608i,0.0068347-0.015256i,-0.0027836-0.00019969i,-0.00097459+0.0015447i,-0.0060568+0.00059536i,-0.0027906+0.0060999i,0.00077983-0.0016276i,-9.2804e-05-0.0037342i,-0.002321-0.0017717i,0.0024745+0.00036013i,-0.038834+0.012729i,0.0047844-0.00209i,-0.050326-0.026389i,0.010691-0.005841i,-0.01559-0.039001i,-0.016957-0.033497i,-0.082618-0.026699i,-0.048154-0.010855i,-0.058155-0.034256i,-0.019147-0.021277i,8.4341e-05-0.03618i,-0.0067566-0.0015453i,-0.013911-0.0021139i,-0.021664+0.016818i,-0.0069699+0.01402i,-0.0028758+0.01211i,0.015712+0.015576i,-0.0020609-0.0078956i,-0.0075686+0.012006i,-0.0034074+0.0027379i,0.0054183-5.9392e-05i,0.0054991+0.0075511i,0.0062405-0.0039798i,-0.023668-0.0018829i,-0.020844+0.0047751i,-0.0019094+0.0030158i,0.0071196+0.0094753i,0.0030923+0.0031376i,0.013106-0.0099582i,0.0070032+0.00032437i,0.05721+0.0082948i,-0.0051989+0.0066732i,0.0038871+0.0042838i,0.001766-0.0060423i,0.0077703+0.0030654i,-0.00093586+0.018541i,0.00099218+0.0092436i,0.0078166-0.0032196i,0.0050681+0.001784i,-0.00063187+0.018233i,0.0028707+0.0033286i,0.0088593+0.002537i,-0.0076117+0.004883i,0.0012611-0.00021659i,0.0058419+0.0066138i,-0.045648-0.032595i,-0.029563+0.0020297i,0.0077999+0.0023974i,-0.0025705+0.012649i,-0.027571-0.021682i,-0.012976+0.0062507i,-0.017055+0.009021i
-0.047482+0.019185i,-0.026819+0.01643i,-0.046407+0.035248i,-0.029086+0.0046953i,-0.014641+0.022818i,-0.0028959+0.0086445i,-0.028756+0.013029i,-0.012155+0.028472i,-0.0021738+0.024284i,-0.0003659-0.010175i,0.002683+0.0012382i,0.0067177+0.003103i,0.0027536+0.0041289i,0.0018742-0.00050834i,-8.4515e-05+0.0020066i,0.013679+9.0574e-05i,-0.0027955-0.00098644i,-0.003609-0.0009175i,0.0036838+0.00027769i,-0.000274-0.0013411i,0.0051031-0.0024049i,0.0020099-0.0030673i,0.0028266-0.001333i,-0.0015865-0.015401i,-0.0033607+0.00067826i,-0.0018081-0.00042751i,-0.0023784-0.0045745i,-0.0020744-0.0029002i,-7.4013e-05-0.001885i,0.00082818-0.00036452i,-0.0032151+0.00258i,0.001209+0.0025951i,0.00049171+0.0023607i,-0.0016758+0.0010902i,-0.0045517+0.0015127i,0.00088688-0.012408i,-0.0026795-0.00057357i,-1.912e-05+0.0013313i,-0.0041595+0.0029544i,0.000162+0.0062478i,0.0005855-0.0015636i,-0.00028274-0.002993i,-0.0021742-0.0014446i,0.0022603+0.0021705i,-0.032693+0.021554i,0.015799-0.010211i,-0.055403-0.017269i,0.0114-0.01403i,-0.017308-0.03811i,-0.02307-0.031168i,-0.077709-0.0051723i,-0.043513-0.0048779i,-0.049228-0.020628i,-0.019168-0.023544i,-0.014339-0.036873i,-0.0068066+1.3609e-05i,-0.01709-0.0035502i,-0.011054+0.021634i,-0.0014963+0.013115i,0.0020752+0.0042275i,0.011899+0.005392i,-0.00093114-0.0075333i,-0.0030666+0.013189i,-0.0032078+0.0044488i,0.002841-0.0030812i,0.0053006+0.0039599i,0.0041209-0.0021687i,-0.019516+0.010365i,-0.014157+0.013182i,-0.0014038+0.0034315i,0.010701+0.0063983i,0.0028608+0.0024713i,0.0038916-0.013793i,0.0043421-0.0026064i,0.050659-0.017362i,-0.0023541+0.0097488i,0.0038969+0.0027739i,-0.0015619-0.0041802i,0.0077933+0.0010293i,0.0083555+0.019197i,0.0029925+0.0061206i,0.0059192-0.0049916i,0.0041096-0.00039561i,0.0068713+0.013908i,0.0037044+0.0026457i,0.0090097-0.00071719i,-0.0043385+0.010267i,-5.5116e-05+0.0010643i,0.0058986+0.0056347i,-0.044-0.023482i,-0.021722+0.0069989i,0.0042906-0.0015067i,-0.0027991+0.0051335i,-0.037168-0.011174i,-0.007965+0.0085541i,-0.015876+0.01185i
-0.04384+0.025312i,-0.020969+0.019385i,-0.034+0.041542i,-0.02878+0.0095841i,-0.0085466+0.022935i,-0.001654+0.0082484i,-0.029797+0.014124i,-0.0078767+0.029613i,0.002706+0.021794i,-0.0036263-0.0083043i,0.0019518+0.0025492i,0.0080622+0.0014864i,0.0064639+0.0020373i,-0.00029701+0.0007657i,0.00027905+0.0020924i,0.010654-0.0031406i,-0.003193-0.0016654i,-0.0030493-0.00015331i,0.003488-0.00028321i,-0.00026647-0.0010109i,0.0043901-0.0040314i,0.001933-0.0024054i,0.002226-0.0021987i,-0.0059801-0.013464i,-0.0030139+0.0021002i,-0.0015886+0.00011919i,-0.0038502-0.0030897i,-0.0028018-0.0016683i,-0.0004206-0.0022129i,0.0001548-0.00075659i,-0.00174+0.0036873i,0.0012193+0.001576i,0.0012474+0.001573i,-0.00094505+0.0010058i,-0.0035482+0.0023959i,-0.0011203-0.008938i,-0.0031101-0.00057843i,0.00071706+0.00050596i,-0.0022744+0.0030736i,0.0028959+0.0052576i,0.00022314-0.001575i,-4.1229e-05-0.0025956i,-0.0026435-0.00089663i,0.0035714+0.001387i,-0.025251+0.02569i,0.01495-0.025548i,-0.056528-0.006036i,0.011425-0.021679i,-0.019161-0.042761i,-0.027685-0.025868i,-0.069888+0.0088085i,-0.039148-0.0017033i,-0.042491-0.012905i,-0.022259-0.024198i,-0.02757-0.031967i,-0.0069251+0.0012648i,-0.023942-0.0011203i,-0.001538+0.02158i,0.0014676+0.0094304i,0.00064819-0.00174i,0.0062136+0.0013271i,-0.0019079-0.0019473i,0.0017073+0.012332i,-0.0015605+0.0055715i,-0.00032295-0.0030219i,0.0030391+0.0011585i,0.0043357-0.001597i,-0.011086+0.015903i,-0.0038646+0.017985i,0.0012842+0.0037424i,0.012646+0.00018561i,0.0029716+0.0028565i,-0.00362-0.01258i,0.0019118-0.0033524i,0.03418-0.035628i,0.0021355+0.011415i,0.0039606+0.0026539i,-0.0040049-0.0016655i,0.0073493-0.0032634i,0.016344+0.014271i,0.0030057+0.0037508i,0.0034251-0.0061399i,0.0029574-0.0022428i,0.01243+0.0099539i,0.0038799+0.002809i,0.0062535-0.003949i,0.00157+0.010761i,0.00043016+0.00059058i,0.007473+0.0048374i,-0.046159-0.019855i,-0.015742+0.010324i,0.0019107-0.0044795i,-0.0059672+0.0037058i,-0.038685+0.00090715i,-0.0057092+0.0079015i,-0.012993+0.014256i
