-0.030346-0.03884i,-0.021858-0.018669i,-0.013174-0.035574i,-0.029861-0.019948i,-0.022196-4.8752e-05i,-0.013583-0.0055425i,-0.055311-0.05821i,-0.046763-0.017367i,-0.038061-0.014022i,0.010824+0.011564i,-0.0078413+0.0053532i,-0.019435+0.018788i,0.0026002+0.011439i,-0.0061396-0.0031671i,0.00020478+0.0012202i,-0.0014988+0.030412i,0.027806+0.027778i,0.0026295-0.002366i,-0.0023577-0.0066089i,0.0080396+0.0024139i,0.0029251+0.0012089i,0.00026048+0.0037093i,-0.0003028+0.00031572i,-0.03745-0.011059i,-8.9474e-05-0.0078222i,0.0014111+0.0022087i,0.0062007+0.0017942i,0.0020088+0.00046318i,0.0011115-0.0005496i,-0.00031106-0.0025591i,0.0016131-0.0026362i,-0.0024124-0.00586i,-0.00027794-0.004878i,0.0028507-0.00082601i,0.0046573-0.0028899i,0.0022002+0.029875i,0.003906-0.0034334i,0.0030068-0.0017523i,0.0082092-0.001406i,-0.0050585-0.0024343i,-0.00018048+0.0011295i,0.0093985+0.0001923i,0.0038402-0.0027064i,-0.0014392+0.008936i,-0.018069-0.0063008i,-0.018613+0.015285i,-0.0035581-0.060897i,-0.0051411-0.027142i,-0.02686-0.032852i,-0.011079-0.026931i,0.054974-0.020396i,0.01656-0.04311i,0.022729-0.049065i,0.0053826-0.054812i,0.026373-0.021236i,0.0082935+0.0059651i,0.024748-0.034335i,-0.0081183-0.0066428i,0.0039552-0.004806i,-0.0043781-0.0072662i,-0.002193-0.033463i,-0.018613+0.029754i,0.0081404-0.011883i,-0.0091616-0.0039825i,-0.0041012-0.001705i,0.00079447-0.012931i,-0.011153+0.0047882i,0.0024389+0.010244i,-0.0051628+0.027227i,0.0050881+0.0025524i,-0.0052622-0.0018801i,-0.002167-0.0019609i,-0.012587-0.0072968i,-0.00048627-0.0040273i,-0.035997+0.0011569i,0.00061293-0.010925i,-0.0083515+0.00020034i,-0.0066819-0.002335i,0.0052487+0.0011687i,-0.0082284-0.00067912i,0.0021547-0.00029771i,0.0036728+0.0070585i,0.0043603+0.00050292i,-0.0081016-0.013324i,0.0026791+0.0090408i,-0.015137+0.0047916i,0.0070713+0.0001254i,-0.022213+0.00038027i,-0.017339+0.0055547i,-0.0093041-0.065554i,0.0081498-0.012873i,-0.049537-0.022421i,-0.021059+0.0011773i,0.017449+0.011352i,-0.022838+0.014552i,-0.018762-0.0054537i
-0.037419-0.035454i,-0.022612-0.010041i,-0.018193-0.036725i,-0.031763-0.017315i,-0.02+0.00020525i,-0.015314-0.0030204i,-0.064647-0.047342i,-0.047996-0.0099301i,-0.038113-0.0056772i,0.010915+0.0078598i,-0.0093783+0.0049276i,-0.0092181+0.025989i,0.0066307+0.0082708i,-0.010747+0.00021768i,0.00024707+0.0008817i,0.0056948+0.026026i,0.029919+0.016162i,0.0030427-0.0012457i,-0.0047783-0.0027419i,0.0072705-0.00078046i,0.0014087+0.00078091i,0.00038717+0.0040008i,-0.0003118+0.00065734i,-0.025849+0.009431i,-0.0025154-0.0067501i,0.0032656+0.00050179i,0.0052374+0.002139i,0.0025247+0.0011289i,0.001631-0.0012862i,-0.0013656-0.0022884i,0.0011436-0.0036491i,-0.0030592-0.0047928i,-0.001555-0.0049392i,0.0023483-0.0019263i,0.0046759-0.0030677i,0.011729+0.025308i,0.0030852-0.0048877i,0.0018401-0.0023789i,0.0093833-0.0045728i,-0.0037136-0.0015715i,0.00049192+0.0020352i,0.0081387-0.0010513i,0.0025827-0.0026282i,-0.0013683+0.0097092i,-0.016424-0.0064407i,-0.0064079+0.018697i,-0.014743-0.059843i,-0.016065-0.029698i,-0.021179-0.022173i,-0.0081368-0.01603i,0.052345-0.045824i,0.016321-0.061367i,0.024143-0.049619i,-0.0047832-0.058641i,0.013801-0.016967i,0.0071733-0.0018657i,0.010117-0.036861i,-0.0077506-0.00019657i,-0.00047585-0.013709i,-0.0061231-0.006378i,-0.024387-0.029477i,-0.0056178+0.026393i,0.0022917-0.014612i,-0.010684+2.9972e-05i,-0.0033114+2.1488e-05i,-0.0055707-0.012911i,-0.011545+0.009787i,0.0080003+0.010626i,0.011905+0.02267i,0.0049366-0.001584i,-0.0051015+0.0009927i,-0.0045034-0.0020115i,-0.016181+0.0018493i,-0.00068724-0.002699i,-0.040682+0.0093505i,-0.0049954-0.0085292i,-0.0075558+0.0035416i,-0.0082069+0.0014215i,0.0035063-0.0040352i,-0.0071412+0.0015212i,0.0030683-0.0030878i,0.0025194+0.002869i,0.003241-0.00074165i,-0.014211-0.0051824i,0.0048646+0.0056709i,-0.010657+0.010115i,0.0059637-0.0028677i,-0.020011+0.0084422i,-0.016084+0.010321i,-0.020124-0.060681i,0.0032827-0.017752i,-0.054609-0.0071814i,-0.014974-0.0033259i,0.017298+0.0060179i,-0.016281+0.019927i,-0.026505-0.0076222i
-0.042939-0.029785i,-0.019801-0.0089417i,-0.024871-0.03803i,-0.033551-0.011859i,-0.019216-0.00038017i,-0.016562-0.00026815i,-0.075737-0.031507i,-0.049858-0.0014934i,-0.037739+0.0010212i,0.010399+0.0050784i,-0.0099757+0.0097898i,0.0016761+0.024101i,0.0075413+0.0038742i,-0.011424+0.0054853i,0.00022878+0.00082833i,0.0099049+0.019731i,0.032733+0.0066935i,0.0044335-0.0018908i,-0.0038266-4.2019e-05i,0.0058591-0.0024298i,-0.00028172+0.0016214i,0.001923+0.0049623i,-0.00022362+0.00077149i,-0.013617+0.017707i,-0.0037128-0.0053042i,0.0031348-0.0018619i,0.0052262+0.00020884i,0.0040258+0.00023221i,0.00052034-0.0017992i,-0.0017685-0.0012977i,-0.00032065-0.0042223i,-0.0043352-0.0037183i,-0.0029152-0.0043315i,0.0016639-0.0032119i,0.0047641-0.0066158i,0.018356+0.017621i,0.0014108-0.0057355i,0.00085464-0.0027433i,0.0076348-0.0095945i,-0.0037943-0.00047698i,0.0016918+0.0020782i,0.0066758-0.0036346i,0.0022732-0.0026132i,0.0013271+0.010713i,-0.016972-0.0084441i,0.004157+0.016191i,-0.025058-0.056205i,-0.02522-0.021606i,-0.0096768-0.020967i,-0.0014576-0.018998i,0.04255-0.067008i,-0.0013308-0.077216i,0.028333-0.056599i,-0.015756-0.055211i,0.0098024-0.015221i,0.0046045-0.0046525i,-0.0011071-0.037369i,0.0019859-0.0005431i,-0.0092318-0.013176i,-0.0058596-0.0083474i,-0.039486-0.015996i,0.0023394+0.023346i,-0.0044351-0.014629i,-0.0084709+0.0028337i,-0.0045067+0.00051926i,-0.012022-0.010607i,-0.0054757+0.015512i,0.014936+0.0039618i,0.021011+0.0099534i,0.0036774-0.0033049i,-0.0042414+0.0014489i,-0.0062633-0.00039997i,-0.012886+0.01119i,-0.0042616-0.0022351i,-0.036431+0.02362i,-0.0064425-0.0040075i,-0.0056117+0.0067922i,-0.0076855+0.0077551i,-0.0018583-0.0049988i,-0.0070636+0.0024686i,0.0011081-0.0048606i,0.00053469+0.0024767i,0.0024281-0.0025139i,-0.0095949+0.0026932i,0.0046446+0.0019678i,-0.0064486+0.011663i,0.0028714-0.0060835i,-0.014969+0.013433i,-0.011315+0.013897i,-0.025731-0.055162i,-0.0034071-0.017265i,-0.05253+0.0064831i,-0.021362-0.0087669i,0.01641-0.00075181i,-0.0063939+0.018871i,-0.02927-0.0016554i
-0.046908-0.023426i,-0.020551-0.010562i,-0.033871-0.038207i,-0.031202-0.0070443i,-0.019956-0.0010025i,-0.01632+0.0035865i,-0.077636-0.0053787i,-0.049116+0.010342i,-0.036281+0.0099221i,0.009916+0.0033023i,-0.0053145+0.013939i,0.0069395+0.018896i,0.006404+0.00034106i,-0.0091325+0.011359i,-0.00010158+0.00075543i,0.010208+0.012339i,0.032257-0.0086169i,0.0038754-0.0040699i,-0.0036953+0.0022411i,0.0040564-0.0032473i,0.00085103+0.0037197i,0.0043457+0.0045767i,-0.00015362+0.0011365i,-1.3659e-05+0.02619i,-0.0047445-0.0041002i,0.0016306-0.00311i,0.0054925-0.0011589i,0.0034775-0.0017398i,0.00016494-0.0012762i,-0.0024435-0.00040459i,-0.001912-0.003987i,-0.0047843-0.002036i,-0.0044031-0.0029264i,0.0003247-0.0039505i,0.00045307-0.0080153i,0.019055+0.010068i,-0.0007375-0.0061338i,5.7117e-05-0.0029124i,0.0023412-0.011434i,-0.0020406+0.00082815i,0.0027434+0.0012443i,0.0037344-0.0046456i,0.0016635-0.0027301i,0.0047639+0.0092589i,-0.016939-0.0098875i,0.012998+0.0096526i,-0.033646-0.049392i,-0.025529-0.010507i,-0.005898-0.024712i,-0.00024827-0.020926i,0.022571-0.088672i,-0.024601-0.078291i,0.023338-0.074419i,-0.022925-0.050957i,0.0062914-0.013149i,0.00099595-0.0074601i,-0.013833-0.033213i,0.0011564-0.009407i,-0.012438-0.0086218i,-0.011915-0.011698i,-0.043724+0.005079i,0.011913+0.017265i,-0.010192-0.012308i,-0.0063601+0.0038433i,-0.0043714+0.0030848i,-0.016987-0.0047053i,0.0027935+0.013487i,0.01643-0.0043267i,0.021631-0.0017408i,0.0024261-0.0050698i,-0.004927+0.0016338i,-0.0066653+0.0030121i,-0.0072718+0.017491i,-0.0056724+0.0014701i,-0.029119+0.034254i,-0.0065496-0.0019843i,-0.0011965+0.0078227i,-0.0015256+0.01209i,-0.0058109-0.0017357i,-0.0050196+0.0040381i,-0.00066996-0.0048923i,-9.6267e-06+0.0031955i,0.00010255-0.0040252i,-0.0052818+0.0021914i,0.0011146-0.00091247i,-0.0034319+0.013593i,-0.0020172-0.0058775i,-0.0085231+0.016249i,-0.0065347+0.013333i,-0.030251-0.052171i,-0.0023638-0.014465i,-0.046726+0.021208i,-0.028693-0.0049392i,0.014735-0.0065695i,0.0011531+0.01389i,-0.02686+0.0039768i
-0.049906-0.016079i,-0.024367-0.0090348i,-0.046257-0.034513i,-0.029014-0.005062i,-0.022488-0.0007383i,-0.014694+0.0072316i,-0.063212+0.011875i,-0.042003+0.019989i,-0.028873+0.01641i,0.010463+0.0016839i,-8.7708e-06+0.012865i,0.010526+0.015364i,0.0038874-0.0013949i,-0.0028019+0.014431i,-0.00029098+0.00066156i,0.0077248+0.01043i,0.018773-0.020747i,0.0019565-0.0048629i,-0.0011098+0.0060905i,0.0027168-0.0035281i,0.0027703+0.0056196i,0.0054327+0.0023747i,0.00011794+0.0016496i,0.020286+0.018264i,-0.0054344-0.0017408i,0.00029363-0.003143i,0.003936-0.0034033i,0.0026774-0.0019511i,0.00014504-0.0010116i,-0.0021251+0.0011161i,-0.0032198-0.003018i,-0.004815-8.4347e-05i,-0.0043945-0.0013499i,-0.0016773-0.0035283i,-0.001894-0.0066402i,0.019818+0.0052777i,-0.0027008-0.0055026i,-0.0013078-0.0027554i,-0.0018889-0.010171i,-0.0015782-0.0010773i,0.0027994+5.5874e-05i,0.0017061-0.0037332i,0.0016189-0.0027072i,0.0059209+0.0071254i,-0.02157-0.0137i,0.019192-0.0017176i,-0.037121-0.040425i,-0.021217-0.0017844i,-0.0037461-0.029899i,0.0013513-0.021872i,-0.010117-0.098945i,-0.043722-0.069692i,0.00256-0.085462i,-0.032814-0.0436i,0.0054765-0.0096789i,-0.0029659-0.0077183i,-0.023995-0.023749i,-0.0053895-0.0122i,-0.014802-0.0063561i,-0.022053-0.0069097i,-0.036847+0.02165i,0.014464+0.0065507i,-0.015488-0.0067444i,-0.0051402+0.0047437i,-0.0032057+0.0055179i,-0.01786+0.0044247i,0.0040202+0.008661i,0.015016-0.01107i,0.019598-0.011859i,0.00027187-0.0068895i,-0.0064748+0.0045035i,-0.0040205+0.0060971i,0.00098151+0.018845i,-0.0048766+0.0050364i,-0.020701+0.043722i,-0.0078471-0.00056506i,0.00085874+0.0052425i,0.004954+0.010893i,-0.007274+0.0018674i,-0.0039037+0.0019452i,-0.0030787-0.0051089i,0.00033962+0.0051496i,-0.003909-0.0037575i,-0.0057216+0.00017731i,-0.0018706+0.0010255i,0.0022808+0.014646i,-0.005034-0.0040493i,-0.0010903+0.016115i,-0.0047241+0.013246i,-0.037942-0.047243i,0.0011878-0.019779i,-0.034478+0.036596i,-0.030952+0.0048453i,0.010036-0.012077i,0.0019794+0.0061498i,-0.024738+0.0056498i
-0.051143-0.0092219i,-0.024765-0.0068006i,-0.0572-0.022964i,-0.029048-0.0042144i,-0.026377+0.0023329i,-0.010933+0.009638i,-0.049206+0.017861i,-0.03359+0.025001i,-0.022748+0.018292i,0.0098719-0.00047513i,0.0019381+0.01161i,0.014025+0.0090152i,0.001384-0.001773i,0.0041625+0.012594i,-0.00061845+0.00081822i,0.007543+0.010369i,0.0044756-0.020582i,0.001671-0.0047561i,0.0033284+0.0060641i,0.0012528-0.0034534i,0.0063215+0.0032697i,0.0051941+0.00059117i,0.0012252+0.0019662i,0.026353+0.0011443i,-0.0041886+0.00061428i,-0.00086075-0.0028143i,0.00073658-0.0018496i,0.0023154-0.0031649i,-4.6001e-05-0.0013099i,-0.00042891+0.0021097i,-0.0037216-0.0017176i,-0.0042749+0.0010044i,-0.0051308+0.00051484i,-0.0022081-0.0018999i,-0.003038-0.0053359i,0.020358-0.00091742i,-0.0043044-0.0042056i,-0.0029384-0.0023393i,-0.0052123-0.0089727i,-0.0037791-0.0016182i,0.0029268-0.00079375i,0.00071954-0.002628i,0.00078234-0.0030753i,0.0066697+0.0054294i,-0.029159-0.011975i,0.011055-0.016727i,-0.034985-0.033555i,-0.016066+0.0036385i,-0.0050183-0.033384i,0.0044623-0.027377i,-0.042459-0.088024i,-0.059919-0.054151i,-0.017123-0.083906i,-0.033522-0.02765i,0.010804-0.0047703i,-0.0054147-0.0058721i,-0.025845-0.0091743i,-0.010939-0.012184i,-0.01992-0.0015148i,-0.021066+0.0029123i,-0.025719+0.034885i,0.011826-0.00033346i,-0.013769+0.002677i,-0.005033+0.0051371i,0.0010091+0.0079841i,-0.012405+0.011393i,0.0056966+0.0096742i,0.010458-0.022886i,0.0072381-0.024007i,-0.0052949-0.0092355i,-0.0057096+0.0084761i,-0.0025021+0.0063641i,0.0086227+0.016912i,-0.0015893+0.0078095i,-0.00321+0.057912i,-0.0089543+0.0012631i,0.00066962+0.0048203i,0.0087053+0.0060672i,-0.0056415+0.0082346i,-0.0052727+0.0032619i,-0.007493-0.0032745i,0.0037741+0.005556i,-0.0050792+0.0022287i,-0.008272+0.00079789i,0.00014415+0.0054006i,0.0066398+0.011385i,-0.0070046-0.0028667i,0.0027977+0.011412i,-0.00027776+0.014223i,-0.039989-0.036175i,-0.0075926-0.032052i,-0.010556+0.039538i,-0.026173+0.011661i,0.0073306-0.019517i,0.00075505+9.39e-05i,-0.022276+0.010328i
-0.051553-0.0021824i,-0.0293-0.0062131i,-0.063676-0.0083124i,-0.028867-0.0010798i,-0.028147+0.008962i,-0.0074937+0.0098351i,-0.039107+0.018826i,-0.026358+0.026878i,-0.019835+0.019897i,0.0096028-0.0032774i,0.0061556+0.011051i,0.010636+0.0017415i,-0.00098294-0.00020053i,0.0082547+0.0066539i,-0.00071404+0.0011258i,0.008384+0.010375i,-0.0040868-0.014335i,0.00032718-0.0057879i,0.0052002+0.0028097i,0.0003681-0.0026174i,0.0067474+4.3168e-05i,0.0056658-0.00023611i,0.0022738+0.0014452i,0.020606-0.01212i,-0.0019108+0.00083431i,-0.0013903-0.0018697i,0.002005-0.0032862i,0.0012196-0.0042108i,-0.00028614-0.00057543i,0.00080885+0.0013681i,-0.0037848-0.00059165i,-0.0033934+0.0023155i,-0.0037002+0.0024526i,-0.0021967-0.0012369i,-0.005139-0.0046626i,0.017846-0.0072805i,-0.0046006-0.0019384i,-0.0034098-0.000513i,-0.0079343-0.0052974i,-0.0058132+0.00095346i,0.0022917-0.0017994i,0.0013388-0.0033262i,0.00014446-0.0031095i,0.0071093+0.0022917i,-0.034922-0.0056426i,-0.0014842-0.015505i,-0.036462-0.032983i,-0.0046658+0.0071131i,-0.0066243-0.035589i,-0.0024994-0.037251i,-0.060792-0.069783i,-0.062586-0.031984i,-0.03879-0.077744i,-0.026196-0.021668i,0.017261-0.017347i,-0.0061553-0.0034408i,-0.020201-0.0030785i,-0.020451-0.0089312i,-0.01696+0.008779i,-0.018001+0.007057i,-0.0057037+0.038434i,0.0097036-0.0040458i,-0.011736+0.0046683i,-0.0018555+0.0048144i,0.0033282+0.0046588i,-0.0054256+0.01528i,0.010977+0.0069064i,-0.0060752-0.027161i,-0.010871-0.021028i,-0.0087177-0.00204i,-0.001542+0.01116i,0.00089997+0.0063007i,0.015401+0.0091229i,0.0018761+0.0070567i,0.024876+0.054846i,-0.0064791+0.0051929i,0.0011802+0.0042807i,0.0093214+0.00082125i,0.00070527+0.010614i,-0.0079706+0.0046207i,-0.0097621+0.0028261i,0.007086+0.0046725i,-0.0025873+0.0056484i,-0.010204+0.0043052i,0.0026939+0.005438i,0.0083332+0.0077469i,-0.0073963+5.834e-06i,0.0057256+0.0069196i,0.0037523+0.01129i,-0.040287-0.0318i,-0.026808-0.030591i,0.0056703+0.02797i,-0.022474+0.015191i,-0.002333-0.026062i,-0.0038005-0.0037995i,-0.014581+0.01049i
-0.051319+0.004715i,-0.033346+0.0016269i,-0.064686+0.0083152i,-0.026669+0.00071078i,-0.024946+0.015992i,-0.0055573+0.0091584i,-0.032361+0.017795i,-0.020483+0.0274i,-0.014885+0.023436i,0.0082318-0.0061025i,0.0096463+0.0054253i,0.0054577+0.0013638i,-0.00099894+0.0025278i,0.0060365+0.0026352i,-0.00065823+0.0012932i,0.01157+0.0088973i,-0.0071011-0.0072857i,-0.0022361-0.0050856i,0.0039805+0.0011442i,4.8826e-05-0.0022266i,0.0046624-0.0015736i,0.0051375-0.0021558i,0.002724+0.00049288i,0.011148-0.018907i,-0.0020926+5.6654e-06i,-0.0012886-0.0012938i,0.0014805-0.0046529i,-0.00049924-0.0038674i,0.00084283-0.00031429i,0.00082431+0.00048684i,-0.0038916+0.00040842i,-0.0018638+0.0031874i,-0.0021937+0.0035895i,-0.0026997-0.00082857i,-0.0062986-0.001186i,0.013287-0.011828i,-0.0038173-0.00056137i,-0.0023384+0.0010245i,-0.0075567-0.0023361i,-0.0045439+0.0037159i,0.0013203-0.0020186i,0.0012838-0.0034674i,-0.00097773-0.0030908i,0.005303-9.624e-05i,-0.03696+0.0037409i,-0.0030112-0.0061104i,-0.04083-0.031134i,0.0055471+0.0022395i,-0.0096288-0.039526i,-0.011516-0.035561i,-0.075361-0.051265i,-0.054396-0.016748i,-0.059488-0.059209i,-0.022277-0.022471i,0.012105-0.028741i,-0.00624-0.0023356i,-0.01596+0.00020571i,-0.027457+0.0023578i,-0.011921+0.012236i,-0.013073+0.012742i,0.011763+0.03025i,0.0064404-0.008615i,-0.011156+0.007946i,-0.0016996+0.0024005i,0.0048853+0.0037411i,0.0026176+0.013107i,0.01182-0.00080929i,-0.020386-0.017091i,-0.01977-0.0080296i,-0.0053796+0.0031697i,0.0042881+0.010666i,0.0032148+0.0049895i,0.017675+0.0011825i,0.0066154+0.0060104i,0.045405+0.037586i,-0.0045095+0.0045797i,0.0015712+0.0053703i,0.0067762-0.0042243i,0.0064087+0.0070824i,-0.0087154+0.01253i,-0.0068017+0.0098086i,0.0093636+0.00053022i,0.002873+0.0059334i,-0.010144+0.0093693i,0.004274+0.0032518i,0.0091873+0.0048354i,-0.0075789+0.0020055i,0.0053754+0.0021094i,0.0046933+0.0083954i,-0.040869-0.02556i,-0.036332-0.013455i,0.011031+0.012793i,-0.011012+0.019008i,-0.01417-0.027021i,-0.011529-0.0033485i,-0.014256+0.0054704i
-0.050267+0.011941i,-0.0311+0.010897i,-0.058225+0.024464i,-0.026955+0.0015368i,-0.019993+0.019639i,-0.0039459+0.0086625i,-0.028076+0.015285i,-0.016174+0.027047i,-0.0077173+0.025043i,0.0053246-0.0085042i,0.0065957+0.00037007i,0.005198+0.0037099i,0.00096639+0.0041803i,0.0039851+0.0004389i,-0.0006285+0.0017071i,0.013782+0.0051138i,-0.0052595-0.0021308i,-0.0032693-0.0032521i,0.0037105+0.00093757i,-0.00031603-0.0018651i,0.0045614-0.00087326i,0.0035722-0.0031784i,0.0028496-0.00039456i,0.0025805-0.018611i,-0.0025324+0.00022769i,-0.0014159-0.0013199i,-0.00045138-0.0052712i,-0.001582-0.0033083i,0.00073156-0.0011837i,0.00097278+0.00012903i,-0.0035342+0.0013815i,-0.00026806+0.0032127i,-0.00059848+0.0031012i,-0.0026724+0.00060089i,-0.0051647-0.00019163i,0.0073236-0.014296i,-0.0028263+5.4128e-05i,-0.0011081+0.0014822i,-0.0083007+2.1367e-05i,-0.0026852+0.0048047i,0.00074807-0.0018143i,-1.716e-05-0.0039523i,-0.0017998-0.0025342i,0.0024741-0.00017744i,-0.035596+0.013237i,0.006157-0.0013359i,-0.0467-0.026889i,0.01123-0.0059737i,-0.015516-0.039205i,-0.0168-0.033435i,-0.082201-0.026676i,-0.0482-0.01067i,-0.060165-0.032434i,-0.021944-0.02313i,0.0013998-0.036367i,-0.006914-0.001663i,-0.013742-0.0022152i,-0.022178+0.016579i,-0.0065792+0.014602i,-0.0027767+0.012496i,0.016581+0.015561i,0.0017315-0.0094549i,-0.0080457+0.011441i,-0.0031172+0.0029533i,0.0055552-0.00015249i,0.005983+0.00829i,0.0060759-0.0036522i,-0.024715-0.0023891i,-0.018984+0.0033352i,-0.0014238+0.0036712i,0.0071951+0.008602i,0.0029788+0.0032464i,0.014174-0.0097683i,0.0071982+0.00025452i,0.054661+0.013944i,-0.0054326+0.0070883i,0.0039198+0.0042506i,0.0017831-0.0057991i,0.0073945+0.0033094i,-0.0021888+0.018699i,0.0011719+0.0096702i,0.0073598-0.0030408i,0.0051227+0.0018134i,-0.0054602+0.015623i,0.0032177+0.0034776i,0.0090114+0.0024153i,-0.0083595+0.0048419i,0.00058265+7.0918e-05i,0.004836+0.0070896i,-0.038873-0.020435i,-0.031525+0.00063648i,0.0076071+0.0020219i,-0.0030164+0.012431i,-0.026911-0.021589i,-0.013206+0.0060913i,-0.01703+0.0078182i
-0.048046+0.019156i,-0.025502+0.015944i,-0.046969+0.035716i,-0.028887+0.0040023i,-0.014732+0.022027i,-0.0026816+0.0084235i,-0.027686+0.012844i,-0.012955+0.027653i,-0.0014389+0.023451i,0.0013813-0.0095457i,0.0029095+0.00064821i,0.0064541+0.0035116i,0.0036031+0.0034693i,0.0020182-0.00011154i,-8.4337e-05+0.002129i,0.012856-4.3058e-06i,-0.0029353-0.0012197i,-0.002815-0.0016126i,0.0040721-6.7844e-05i,-0.00033116-0.0013636i,0.0055138-0.0024892i,0.0021543-0.0028752i,0.0026574-0.0012089i,-0.0026545-0.016218i,-0.0023786+0.0010849i,-0.0017592-0.00069379i,-0.0023184-0.0045024i,-0.0023129-0.0026211i,0.0002877-0.001461i,0.00086609-0.00050103i,-0.002975+0.0023758i,0.0011863+0.002253i,0.00049023+0.0025739i,-0.0018176+0.0011918i,-0.0052907+0.0013524i,0.001744-0.012512i,-0.0025973-0.00019338i,-0.00011717+0.0013i,-0.0063646+0.0039346i,-0.00060316+0.0053954i,0.00041109-0.0017732i,-0.00045969-0.0032432i,-0.0024297-0.0018641i,0.0022997+0.0021669i,-0.029332+0.021138i,0.017644-0.0097839i,-0.052754-0.018613i,0.011889-0.014558i,-0.01698-0.038484i,-0.022763-0.030981i,-0.077057-0.0053761i,-0.043503-0.0045885i,-0.050351-0.018621i,-0.022365-0.02453i,-0.01231-0.038134i,-0.0071102+0.00014174i,-0.016973-0.0037403i,-0.011678+0.022016i,-0.0010717+0.013473i,0.0023539+0.0046221i,0.012358+0.0051309i,-0.002633-0.0084295i,-0.0027407+0.013274i,-0.0030771+0.004679i,0.0029401-0.0031478i,0.0063103+0.0039863i,0.0041536-0.0017333i,-0.020705+0.010049i,-0.012841+0.011292i,-0.0005396+0.003536i,0.010495+0.0055969i,0.0027838+0.0026477i,0.004973-0.014187i,0.0044031-0.0028384i,0.051358-0.0079379i,-0.0023567+0.010348i,0.0037829+0.002675i,-0.0015738-0.0041255i,0.007621+0.0013159i,0.0069249+0.019932i,0.0034272+0.0058761i,0.005658-0.0047376i,0.0040897-0.00038328i,0.0033082+0.017072i,0.0040658+0.002843i,0.0092041-0.0008481i,-0.0053148+0.010274i,-0.00052372+0.0016305i,0.0052471+0.0063574i,-0.037478-0.019285i,-0.024168+0.0059092i,0.0040747-0.0020461i,-0.0033639+0.0053227i,-0.035898-0.011191i,-0.0082501+0.0086321i,-0.015824+0.010695i
-0.04453+0.025863i,-0.019692+0.018377i,-0.033873+0.041497i,-0.02865+0.0092334i,-0.0088594+0.022352i,-0.0013994+0.0080032i,-0.028819+0.013599i,-0.0088624+0.028886i,0.0034363+0.020989i,-0.0024973-0.0088038i,0.0021099+0.0020483i,0.0078385+0.0019929i,0.0046004+0.0018664i,-0.00017255+0.0011376i,0.00030785+0.0021111i,0.0099722-0.0030921i,-0.0035019-0.0020355i,-0.0026142-0.001128i,0.0038637-0.0010055i,-0.00028596-0.0009967i,0.0046147-0.0042435i,0.0019807-0.0023525i,0.0021782-0.0019705i,-0.0070211-0.014156i,-0.0016701+0.0019829i,-0.0016617-0.00019906i,-0.00373-0.0029048i,-0.0027496-0.0013613i,-7.9117e-05-0.0016485i,0.00017593-0.0008868i,-0.0019805+0.0032512i,0.0012599+0.0012887i,0.0014002+0.001752i,-0.0010303+0.0011362i,-0.0041812+0.0025297i,-0.000504-0.0093749i,-0.0027678+0.00021713i,0.00060409+0.00057527i,-0.0031899+0.0043855i,0.0020901+0.0048744i,6.7556e-05-0.0016141i,-0.00043129-0.0027301i,-0.0029859-0.0012023i,0.0037638+0.0013537i,-0.021923+0.024312i,0.017083-0.025562i,-0.05525-0.0075082i,0.011675-0.022208i,-0.019068-0.043177i,-0.027103-0.025989i,-0.069694+0.0085898i,-0.038703-0.0015494i,-0.04287-0.011028i,-0.025401-0.024444i,-0.026503-0.034614i,-0.0069741+0.001518i,-0.024099-0.0011573i,-0.0021797+0.021811i,0.0021395+0.010133i,0.00078984-0.001538i,0.0066725+0.0016458i,-0.0065349-0.0076434i,0.0020522+0.012075i,-0.0013518+0.005706i,-0.00013219-0.003022i,0.0036017+0.0010191i,0.0044476-0.001262i,-0.012186+0.016225i,-0.0052179+0.015139i,0.0019778+0.0032403i,0.012245+0.00019154i,0.0029245+0.0029346i,-0.00305-0.012545i,0.0020711-0.0035284i,0.041041-0.024327i,0.002681+0.011681i,0.0037934+0.002574i,-0.0041368-0.001642i,0.0073521-0.0028334i,0.015412+0.016166i,0.0034834+0.003418i,0.0031796-0.0063194i,0.0029142-0.0021063i,0.010212+0.013371i,0.0042491+0.0029775i,0.006348-0.0042004i,0.00073383+0.011267i,0.0001867+0.0011453i,0.0071252+0.005699i,-0.04025-0.017379i,-0.018967+0.0098423i,0.0017705-0.0046637i,-0.0063342+0.004037i,-0.0387+0.0015439i,-0.0059788+0.0077933i,-0.012889+0.013137i
