-0.03129-0.038866i,-0.021478-0.019137i,-0.013484-0.035589i,-0.029818-0.020031i,-0.022366+3.8275e-05i,-0.013679-0.0055783i,-0.054944-0.058035i,-0.046828-0.017464i,-0.038749-0.012066i,0.011371+0.010713i,-0.0079373+0.0045705i,-0.019471+0.018985i,0.0018494+0.010988i,-0.0064728-0.0024742i,0.00015095+0.0013987i,-0.0016878+0.030464i,0.025448+0.030312i,0.0024903-0.0022186i,-0.002562-0.0070416i,0.0072502+0.0024575i,0.0026767+0.00097925i,0.00038226+0.0045006i,-0.00031344+0.00025183i,-0.033337-0.011622i,-0.00057145-0.0082279i,0.0012852+0.0021049i,0.0077164+0.00094i,0.0016974+0.0009236i,0.0010981-0.00028476i,-0.00062824-0.0025742i,0.001525-0.0025086i,-0.0024452-0.0063062i,-0.00050886-0.0047746i,0.0029561-0.00057519i,0.0045836-0.0027977i,0.00070194+0.031142i,0.0038895-0.0035098i,0.0031199-0.0016495i,0.0075159-0.0014258i,-0.0068481-0.002329i,-0.00020722+0.0008487i,0.0093617-8.9229e-05i,0.0043791-0.0027863i,-0.0013775+0.0089135i,-0.017899-0.0073366i,-0.018441+0.015284i,-0.00349-0.061182i,-0.0049715-0.026908i,-0.027128-0.032234i,-0.010647-0.026823i,0.055205-0.020009i,0.016483-0.042804i,0.022942-0.047904i,0.0047831-0.05499i,0.026386-0.021711i,0.0081675+0.0059362i,0.025359-0.033249i,-0.0077147-0.0066233i,0.0039449-0.0050412i,-0.0044782-0.0073233i,-0.0015247-0.033247i,-0.017525+0.029815i,0.0090196-0.012017i,-0.0092774-0.0043663i,-0.0042789-0.0012961i,0.00084674-0.013163i,-0.010813+0.0041756i,0.0025723+0.010455i,-0.0037013+0.02587i,0.0048911+0.0026216i,-0.0057015-0.0017239i,-0.0021779-0.0022273i,-0.012866-0.0077065i,-0.00061022-0.0039081i,-0.036001+0.006757i,0.00083457-0.010861i,-0.0085652+0.00039765i,-0.0068676-0.0024963i,0.0049843+0.0012646i,-0.0079379-0.00027503i,0.0022017+0.00019862i,0.0039995+0.0071569i,0.0043158+0.00059177i,-0.0088546-0.012493i,0.002522+0.0096319i,-0.014848+0.0063119i,0.0065685+0.00066199i,-0.022418-2.7389e-05i,-0.017525+0.0063074i,-0.0096227-0.068005i,0.0080964-0.013519i,-0.0487-0.022746i,-0.021646+0.00068112i,0.018004+0.011183i,-0.023053+0.013855i,-0.01927-0.0051718i
-0.037812-0.034889i,-0.022596-0.010711i,-0.018207-0.036631i,-0.031976-0.017067i,-0.02005+0.00018533i,-0.015408-0.0030224i,-0.064521-0.046841i,-0.04801-0.010227i,-0.037705-0.0034966i,0.010952+0.0072076i,-0.0099201+0.0043588i,-0.0092761+0.026214i,0.006195+0.0083846i,-0.0091105+0.0011544i,0.00030134+0.0010641i,0.005495+0.026088i,0.029041+0.018172i,0.0026942-0.0011546i,-0.0051899-0.002866i,0.0061714-0.00064673i,0.0011328+0.0007711i,0.00056429+0.0044426i,-0.00031531+0.00062996i,-0.023297+0.0062325i,-0.0025088-0.0069382i,0.0032504+0.00052922i,0.0051681+0.001541i,0.0024569+0.0017472i,0.0016335-0.00098485i,-0.0015968-0.0022247i,0.0011073-0.0033923i,-0.0030323-0.0053779i,-0.0018494-0.0045989i,0.0025145-0.0017184i,0.004476-0.0027992i,0.011722+0.026726i,0.0030844-0.0048007i,0.0018484-0.002347i,0.0088279-0.0044498i,-0.0043528-0.001758i,0.00035789+0.0017858i,0.0086519-0.00061005i,0.0031069-0.0028129i,-0.0012901+0.0094329i,-0.016557-0.0076026i,-0.0063601+0.018495i,-0.013977-0.060325i,-0.015848-0.029075i,-0.021116-0.02197i,-0.0080319-0.016208i,0.052364-0.045534i,0.0166-0.061078i,0.024516-0.048298i,-0.0059411-0.058667i,0.013015-0.016743i,0.0073384-0.0019296i,0.011548-0.037343i,-0.0074437-0.00015191i,-9.3277e-05-0.013989i,-0.006224-0.0061572i,-0.022886-0.029224i,-0.004774+0.026398i,0.0030013-0.014876i,-0.01144+0.00026856i,-0.0031818-5.9668e-05i,-0.005698-0.012754i,-0.011344+0.0091742i,0.0081744+0.011034i,0.011207+0.020827i,0.0052386-0.0014107i,-0.0053628+0.0014357i,-0.0045379-0.0021282i,-0.01654+0.0014531i,-0.00081631-0.0026924i,-0.03883+0.012427i,-0.0053923-0.0085046i,-0.0074191+0.0032312i,-0.0084002+0.0013608i,0.0035126-0.0038515i,-0.0066993+0.0017745i,0.0034703-0.0027528i,0.0028713+0.0022691i,0.0035109-0.00028345i,-0.013597-0.0042274i,0.0048999+0.0062337i,-0.0092904+0.010387i,0.0059627-0.0023418i,-0.020109+0.0081829i,-0.01636+0.011056i,-0.020628-0.063089i,0.0029545-0.018322i,-0.055423-0.0087622i,-0.015385-0.003655i,0.017824+0.0051109i,-0.017264+0.019857i,-0.026257-0.0060918i
-0.042627-0.029498i,-0.020229-0.0093217i,-0.024788-0.038354i,-0.033993-0.011562i,-0.019084-0.00058006i,-0.016574-0.00030897i,-0.075518-0.030956i,-0.04992-0.0019469i,-0.036481+0.0022821i,0.010357+0.0045628i,-0.010648+0.0099826i,0.0018766+0.024545i,0.0073385+0.0039388i,-0.010295+0.0049544i,0.00039359+0.000927i,0.0096535+0.01993i,0.033347+0.007656i,0.0039202-0.0016084i,-0.0042318-6.5476e-05i,0.0047715-0.0020783i,-0.00032513+0.0017015i,0.0019639+0.0053138i,-0.00015515+0.00080721i,-0.012245+0.014928i,-0.0036977-0.0057261i,0.003153-0.0019952i,0.005403+3.9896e-06i,0.0039503+0.0011667i,0.00057446-0.0014818i,-0.0020866-0.0012932i,-0.00010831-0.003906i,-0.0048149-0.0042535i,-0.0033775-0.0040801i,0.0018454-0.0030465i,0.0046539-0.0066001i,0.017508+0.018811i,0.0012425-0.0056073i,0.00080507-0.0027117i,0.0072444-0.0090351i,-0.0043868-0.00068069i,0.001508+0.001932i,0.0073246-0.0040701i,0.0027423-0.0027892i,0.0011961+0.010545i,-0.017707-0.0092394i,0.003716+0.015991i,-0.024752-0.056276i,-0.025-0.021556i,-0.0096851-0.02087i,-0.0013591-0.018742i,0.043415-0.066803i,-0.001199-0.076759i,0.028927-0.055446i,-0.016789-0.054735i,0.0093952-0.015519i,0.0044845-0.0047875i,0.0026363-0.036143i,0.0020831-0.00079856i,-0.0093045-0.013462i,-0.0059102-0.0083217i,-0.037533-0.015579i,0.002555+0.023558i,-0.0042488-0.015096i,-0.008859+0.0027019i,-0.0047642+0.00061042i,-0.01193-0.010197i,-0.0053792+0.0154i,0.014709+0.0045332i,0.018699+0.0093066i,0.0041367-0.0036274i,-0.0043834+0.0015944i,-0.0060728-0.00047153i,-0.012798+0.011009i,-0.0043308-0.0022268i,-0.034943+0.026618i,-0.0066969-0.0039699i,-0.0056463+0.0066828i,-0.0079666+0.0081116i,-0.001451-0.0045841i,-0.0062671+0.002957i,0.0020799-0.0044894i,0.0010299+0.0022297i,0.003035-0.0019656i,-0.0090273+0.0036628i,0.0049659+0.0025078i,-0.0057064+0.011254i,0.0033738-0.0055329i,-0.015233+0.013073i,-0.011147+0.014962i,-0.02808-0.057469i,-0.0036192-0.017355i,-0.052684+0.0058807i,-0.021663-0.0096398i,0.016589-0.0012948i,-0.0065166+0.01912i,-0.028883-0.0015262i
-0.046727-0.023621i,-0.021147-0.01029i,-0.033902-0.038464i,-0.031379-0.00634i,-0.019823-0.0014065i,-0.016351+0.0034959i,-0.077307-0.0050121i,-0.049372+0.0098729i,-0.034998+0.010385i,0.010033+0.0028698i,-0.0055658+0.014042i,0.0069805+0.019091i,0.0064213+0.00050597i,-0.0084858+0.010407i,6.2099e-05+0.00081591i,0.010089+0.012566i,0.032901-0.0079545i,0.0035227-0.0037859i,-0.0041219+0.0025594i,0.0035187-0.002889i,0.00089527+0.0036679i,0.0043711+0.0047255i,-9.3667e-05+0.0011538i,0.00067385+0.021665i,-0.0048751-0.0046155i,0.001399-0.0032312i,0.0057757-0.0014525i,0.0043744-0.00059229i,0.00016237-0.001032i,-0.0026395-0.00037482i,-0.0014516-0.0038804i,-0.0051523-0.0024476i,-0.0047244-0.0025906i,0.00073416-0.0040854i,1.7108e-05-0.0078525i,0.018075+0.011498i,-0.00082442-0.0058283i,-2.7639e-05-0.0028322i,0.0025739-0.010984i,-0.0025575+0.00084707i,0.0025837+0.0011464i,0.0037024-0.0051153i,0.0018734-0.0031415i,0.0045057+0.0090424i,-0.017633-0.010452i,0.012732+0.0097669i,-0.033054-0.048984i,-0.02577-0.010259i,-0.0057169-0.024532i,-0.00025771-0.020706i,0.023343-0.088704i,-0.024352-0.077875i,0.023783-0.0735i,-0.024197-0.050715i,0.0057356-0.013764i,0.00096521-0.0072745i,-0.012206-0.0349i,0.0012298-0.0093932i,-0.012344-0.0086913i,-0.011877-0.011269i,-0.04142+0.0049999i,0.012074+0.017904i,-0.010216-0.012658i,-0.0065597+0.0035555i,-0.0044782+0.0031326i,-0.016975-0.0043263i,0.0029032+0.01312i,0.016918-0.0034231i,0.017338-0.0052467i,0.0028699-0.0056077i,-0.0051498+0.0015607i,-0.0065803+0.0031035i,-0.0074878+0.017345i,-0.0057746+0.0013587i,-0.0268+0.038448i,-0.0067859-0.0022168i,-0.0012303+0.0079381i,-0.0018343+0.012316i,-0.005551-0.0014903i,-0.0036792+0.0040276i,0.00012615-0.0051559i,0.00034018+0.0035002i,0.00080256-0.0039393i,-0.0044855+0.0026649i,0.0016457-0.00054927i,-0.0030453+0.014536i,-0.0013751-0.005335i,-0.0091373+0.01626i,-0.0060568+0.014258i,-0.032811-0.055145i,-0.0025677-0.014022i,-0.04672+0.02065i,-0.028903-0.0058493i,0.014411-0.0065238i,0.0013448+0.013969i,-0.027967+0.0047938i
-0.049909-0.015974i,-0.024593-0.0085725i,-0.046022-0.034853i,-0.028872-0.0044234i,-0.022403-0.0013716i,-0.014815+0.0071977i,-0.062973+0.011942i,-0.042501+0.019652i,-0.028347+0.016501i,0.010423+0.0011906i,-0.0003559+0.012981i,0.010398+0.015788i,0.003945-0.0013364i,-0.0034662+0.013161i,-0.00011068+0.00068237i,0.0077807+0.010587i,0.01745-0.019781i,0.0017871-0.004716i,-0.0013912+0.0065126i,0.0024096-0.0032146i,0.0025928+0.0057088i,0.0053907+0.0023669i,0.00016997+0.0017119i,0.015105+0.021108i,-0.0058681-0.0021334i,8.701e-05-0.0031407i,0.003809-0.0037372i,0.0037816-0.0012617i,8.315e-05-0.00085789i,-0.0022845+0.0011311i,-0.0027006-0.0030789i,-0.005353-0.00073442i,-0.0045549-0.00085534i,-0.0015483-0.003987i,-0.0019875-0.0063084i,0.019466+0.0069558i,-0.0027341-0.0050627i,-0.0012861-0.0025336i,-0.0016101-0.010107i,-0.0018622-0.0010899i,0.0026202+5.6083e-05i,0.0013812-0.0039848i,0.0017251-0.0033581i,0.005451+0.0070231i,-0.022161-0.013838i,0.018707-0.0015259i,-0.036568-0.040158i,-0.021253-0.0015984i,-0.0038467-0.029881i,0.0013464-0.021723i,-0.0087623-0.098663i,-0.043312-0.06934i,0.0039106-0.085565i,-0.033742-0.042301i,0.0048135-0.0099238i,-0.0030628-0.007575i,-0.02416-0.024831i,-0.0053492-0.012033i,-0.014879-0.0067338i,-0.021684-0.0068688i,-0.034879+0.022202i,0.014774+0.0069515i,-0.016027-0.0071527i,-0.0052074+0.0045058i,-0.0034043+0.005524i,-0.017735+0.0050121i,0.0038316+0.0086384i,0.01579-0.010788i,0.025388-0.010321i,0.00072678-0.0072835i,-0.0068353+0.0043619i,-0.0040213+0.0064392i,0.00057511+0.018746i,-0.0050412+0.0050321i,-0.018254+0.048161i,-0.0082847-0.00091007i,0.001072+0.0053175i,0.004825+0.010886i,-0.0069776+0.0016988i,-0.0032138+0.0014266i,-0.0025-0.0057089i,0.00063537+0.0056177i,-0.003481-0.0035556i,-0.0052879+0.000559i,-0.0013078+0.00073269i,0.002427+0.016042i,-0.004042-0.0034185i,-0.0018404+0.016601i,-0.004318+0.013788i,-0.040719-0.051677i,0.0013077-0.019305i,-0.0348+0.035612i,-0.031746+0.0042235i,0.0099357-0.012039i,0.0020898+0.0062i,-0.024741+0.0070201i
-0.051273-0.0089437i,-0.024646-0.0061308i,-0.056933-0.023485i,-0.028643-0.0037458i,-0.026603+0.0017269i,-0.010976+0.0095881i,-0.049058+0.01788i,-0.034098+0.024792i,-0.02256+0.018241i,0.0096889-0.00091785i,0.0017944+0.011871i,0.013621+0.0098141i,0.001462-0.0018384i,0.0028284+0.013424i,-0.00044841+0.00075601i,0.0078672+0.010598i,0.0043708-0.019128i,0.0013697-0.0045357i,0.002955+0.0067786i,0.0010012-0.0032931i,0.0063057+0.0035358i,0.0050696+0.00051025i,0.0013422+0.0020419i,0.026221+0.0039184i,-0.0044697+0.00045586i,-0.0011588-0.0032022i,0.00073688-0.0014682i,0.0036895-0.0032452i,-0.0001426-0.00113i,-0.00059703+0.0021281i,-0.0032921-0.001909i,-0.0048732+0.00057056i,-0.0051369+0.00091884i,-0.0023144-0.0021131i,-0.003085-0.0052485i,0.020773-4.7407e-05i,-0.004125-0.003666i,-0.0029802-0.0021477i,-0.0048684-0.0090552i,-0.0040962-0.0016475i,0.0028391-0.00043035i,0.0002368-0.0025793i,0.00055858-0.0036604i,0.0060723+0.0057448i,-0.029914-0.012007i,0.010611-0.016721i,-0.035059-0.033224i,-0.016018+0.0037265i,-0.0049973-0.033631i,0.0043686-0.026938i,-0.041471-0.088051i,-0.059617-0.054282i,-0.015994-0.08374i,-0.033452-0.026299i,0.0097904-0.004502i,-0.005443-0.0056512i,-0.026137-0.009528i,-0.010607-0.012025i,-0.019997-0.0018859i,-0.020824+0.0031857i,-0.024703+0.036777i,0.011647-0.00027736i,-0.014326+0.0019057i,-0.0050167+0.0052533i,0.00082909+0.0080103i,-0.012166+0.011542i,0.0057416+0.0096607i,0.010845-0.023334i,0.009315-0.02222i,-0.0048326-0.0097616i,-0.0059938+0.0086507i,-0.0024302+0.0065912i,0.0084763+0.017161i,-0.0015601+0.0074108i,-0.00068717+0.059708i,-0.0091169+0.0011162i,0.00063309+0.0050793i,0.0085293+0.0064453i,-0.005777+0.0077723i,-0.0051698+0.0027248i,-0.0070609-0.004072i,0.0036624+0.0062788i,-0.0046784+0.0025454i,-0.0079419+0.00086936i,0.00039709+0.0051549i,0.00683+0.011597i,-0.0058716-0.0025121i,0.0030244+0.012003i,0.00081625+0.014943i,-0.04244-0.041315i,-0.0075234-0.032015i,-0.010698+0.039202i,-0.026324+0.011585i,0.0027191-0.018827i,0.00095967+0.00030094i,-0.021654+0.011176i
-0.052024-0.00091417i,-0.028952-0.0059047i,-0.063362-0.0087262i,-0.028644-0.00091213i,-0.028613+0.0086821i,-0.0075541+0.0096963i,-0.038999+0.018659i,-0.026877+0.026869i,-0.019757+0.019988i,0.0092771-0.0038746i,0.0064203+0.011212i,0.0097416+0.0025992i,-0.0010474-0.00027686i,0.0088477+0.0069091i,-0.00060564+0.0010089i,0.0089395+0.010805i,-0.0031935-0.013163i,0.00027189-0.0053932i,0.0054167+0.003488i,0.00024253-0.0024652i,0.0067181+0.00039267i,0.0056241-0.00040559i,0.0024357+0.0014867i,0.021085-0.010721i,-0.0022621+0.0005783i,-0.0017594-0.001585i,0.0025185-0.0029349i,0.0031715-0.0064451i,-0.0002415-0.00042697i,0.00062641+0.001444i,-0.0035636-0.00095246i,-0.0040027+0.0023654i,-0.0033443+0.0024606i,-0.0023772-0.0015088i,-0.0050929-0.0044441i,0.017737-0.0069468i,-0.0041335-0.0017789i,-0.0034057-0.00027867i,-0.0080463-0.0047951i,-0.0062719+0.0012413i,0.0024503-0.0015951i,0.0010607-0.00339i,-0.0002877-0.003625i,0.0066553+0.0030517i,-0.035685-0.005463i,-0.0020574-0.015148i,-0.03912-0.033251i,-0.0044839+0.0069173i,-0.0067305-0.035365i,-0.0023717-0.036848i,-0.05989-0.070079i,-0.062471-0.032059i,-0.037581-0.077808i,-0.025719-0.020853i,0.017096-0.016788i,-0.0063649-0.0031962i,-0.020538-0.0032272i,-0.020288-0.0085671i,-0.01714+0.0083437i,-0.017831+0.0070943i,-0.0046216+0.038759i,0.0092428-0.0040219i,-0.012747+0.0039601i,-0.001595+0.0050536i,0.0029624+0.0050496i,-0.0051138+0.015264i,0.010875+0.0068496i,-0.0059032-0.027427i,-0.010014-0.021453i,-0.0088503-0.0025315i,-0.0016188+0.011303i,0.00094791+0.0063198i,0.015347+0.0095785i,0.0017803+0.0066393i,0.02644+0.055699i,-0.0064475+0.0049804i,0.0010321+0.004575i,0.0095191+0.00094461i,0.00048457+0.010641i,-0.0081336+0.0040716i,-0.0096577+0.0020255i,0.0072935+0.0050474i,-0.0023654+0.0056481i,-0.010352+0.0036946i,0.0027587+0.0050605i,0.0077505+0.0073428i,-0.0065722-0.00028846i,0.0060884+0.0075282i,0.0040679+0.011109i,-0.043886-0.035632i,-0.02651-0.030272i,0.0059799+0.02747i,-0.022502+0.015402i,-0.00075621-0.024794i,-0.0040685-0.0036581i,-0.014508+0.010558i
-0.051285+0.0064529i,-0.033019+0.0017127i,-0.064111+0.0083096i,-0.026574+0.00097077i,-0.025257+0.015774i,-0.0057282+0.0090527i,-0.032342+0.017696i,-0.020918+0.02764i,-0.014768+0.023622i,0.0078766-0.0067812i,0.0096051+0.0045369i,0.0056216+0.0018637i,-0.0010022+0.0024458i,0.0059466+0.0025505i,-0.00063538+0.0011838i,0.012222+0.0093217i,-0.0065728-0.0071154i,-0.0022643-0.0049334i,0.0044094+0.0015631i,8.7966e-05-0.0020066i,0.0048591-0.0012568i,0.0051102-0.0024202i,0.0028938+0.00045281i,0.012202-0.017204i,-0.0024963-7.4482e-05i,-0.0013641-0.0010161i,0.0016716-0.0045147i,-0.0011271-0.0031672i,0.00089032-0.00036273i,0.00072473+0.000584i,-0.0038678+0.00013952i,-0.0022005+0.0034769i,-0.0019246+0.0032452i,-0.0028419-0.00097563i,-0.0061957-0.00080027i,0.013644-0.011423i,-0.0031193-0.00063626i,-0.0021768+0.0012422i,-0.0075716-0.0030698i,-0.0047316+0.0039932i,0.0014178-0.001924i,0.00095637-0.003653i,-0.0015746-0.0034426i,0.0051251+0.00034336i,-0.03741+0.0039226i,-0.0030956-0.0057987i,-0.042658-0.035796i,0.0055594+0.0018212i,-0.0095467-0.039452i,-0.010906-0.035503i,-0.075128-0.051173i,-0.054208-0.01722i,-0.057566-0.058757i,-0.022128-0.022229i,0.011807-0.028532i,-0.0063247-0.0020543i,-0.016238+0.00020638i,-0.027126+0.002465i,-0.012087+0.011721i,-0.013449+0.012774i,0.011941+0.03013i,0.0054236-0.0080716i,-0.011577+0.0084384i,-0.0014646+0.0026109i,0.0048468+0.0039779i,0.002403+0.01279i,0.011913-0.00072043i,-0.020038-0.017359i,-0.020236-0.0096995i,-0.0053572+0.0029869i,0.0041368+0.010992i,0.0031609+0.0048993i,0.018116+0.0016661i,0.0062162+0.0055944i,0.046885+0.037303i,-0.0044921+0.0045851i,0.001319+0.0053672i,0.0069801-0.0043678i,0.0063612+0.0070816i,-0.0090954+0.012061i,-0.0072+0.0089169i,0.0094684+0.0006557i,0.0028308+0.0059365i,-0.010932+0.0092497i,0.0040941+0.0028464i,0.0082756+0.0049215i,-0.0077649+0.0015646i,0.0061056+0.0025264i,0.004944+0.0083787i,-0.045129-0.025718i,-0.036756-0.013453i,0.010918+0.012253i,-0.010993+0.019223i,-0.012423-0.026948i,-0.011384-0.0023241i,-0.01407+0.0061643i
-0.04966+0.01357i,-0.030696+0.010649i,-0.057774+0.024693i,-0.027+0.0013159i,-0.020368+0.019634i,-0.0041075+0.0086477i,-0.028133+0.015184i,-0.016456+0.027289i,-0.0075797+0.025059i,0.0046762-0.009635i,0.005768+0.00054977i,0.0054379+0.0040684i,0.00091836+0.0039315i,0.0039321+0.00047779i,-0.00064182+0.0016107i,0.014122+0.0057916i,-0.0051188-0.0020147i,-0.0035753-0.0032978i,0.0040445+0.0011021i,-0.0001619-0.001735i,0.004627-0.00070617i,0.003469-0.0032562i,0.0030336-0.0004528i,0.0037459-0.017151i,-0.0028907+0.00021151i,-0.001379-0.0012286i,-0.00024439-0.0049905i,-0.0020169-0.0028917i,0.00079105-0.0013627i,0.00084932+0.00029422i,-0.0037937+0.0012514i,-0.00050259+0.0034071i,-0.00062614+0.0029772i,-0.0028298+0.00062425i,-0.0049476+0.00018218i,0.0077374-0.014979i,-0.0021486-0.00010116i,-0.0010308+0.0015798i,-0.0091487-0.00038213i,-0.0029745+0.0049922i,0.00072662-0.001822i,-0.00037489-0.0039056i,-0.0026119-0.0026164i,0.0023722+0.00010409i,-0.036299+0.013595i,0.0060379-0.0014989i,-0.047053-0.027998i,0.011164-0.0065218i,-0.014968-0.039417i,-0.016008-0.033768i,-0.082189-0.026725i,-0.048282-0.011099i,-0.057699-0.034159i,-0.022552-0.022251i,0.00191-0.036192i,-0.006914-0.001098i,-0.01379-0.0020572i,-0.022141+0.016669i,-0.0072651+0.014223i,-0.0031516+0.012348i,0.016606+0.015622i,0.00045204-0.0059983i,-0.0075981+0.012084i,-0.0030961+0.0030487i,0.0054688+0.00010723i,0.0058744+0.008439i,0.0061155-0.0036241i,-0.024966-0.0031563i,-0.02028+0.0029017i,-0.0016769+0.0034702i,0.0076565+0.0089414i,0.0028407+0.0031495i,0.014674-0.0088844i,0.0068606-9.7754e-05i,0.055077+0.014471i,-0.0053526+0.0071272i,0.0038081+0.0043219i,0.0018271-0.0059797i,0.0072183+0.0032394i,-0.0028217+0.018432i,0.00058319+0.0091144i,0.0073628-0.0031311i,0.0050428+0.0020758i,-0.0062439+0.015776i,0.0027546+0.003079i,0.0085189+0.0027152i,-0.008846+0.0046806i,0.0013857+1.2924e-06i,0.005078+0.0067845i,-0.040747-0.02455i,-0.032836+0.0012277i,0.0070497+0.0019821i,-0.0026671+0.012802i,-0.025124-0.021771i,-0.012999+0.0067218i,-0.016187+0.0081503i
-0.046925+0.020332i,-0.025848+0.015504i,-0.046403+0.035694i,-0.029345+0.003862i,-0.01506+0.022265i,-0.0027557+0.0084096i,-0.027691+0.012889i,-0.013295+0.027969i,-0.0012934+0.023207i,-0.000433-0.010242i,0.0025925+0.001198i,0.0067126+0.0036839i,0.0029935+0.0029783i,0.0020393-0.0001864i,-0.00014809+0.0020322i,0.013471+0.0009471i,-0.0029472-0.001012i,-0.0033999-0.0012025i,0.0041772-3.159e-05i,-0.00022954-0.0013546i,0.0053571-0.0022451i,0.0021228-0.0029894i,0.0027763-0.0013342i,-0.0013029-0.015389i,-0.0026422+0.0010725i,-0.0017676-0.00062526i,-0.0021926-0.0044384i,-0.0025649-0.002155i,0.00031288-0.0016686i,0.00084826-0.0003082i,-0.0033732+0.0026151i,0.001127+0.0025626i,0.00040044+0.0024166i,-0.0018846+0.0013363i,-0.0050689+0.0015506i,0.001504-0.012893i,-0.0020024-0.00025775i,-0.00014349+0.00134i,-0.006946+0.0043451i,-0.00090049+0.0055537i,0.00029604-0.0019305i,-0.00037093-0.0029607i,-0.0026599-0.001421i,0.0024796+0.0022291i,-0.030204+0.021767i,0.017189-0.0097551i,-0.052981-0.0185i,0.01137-0.014864i,-0.01635-0.039097i,-0.022351-0.031342i,-0.077796-0.0054054i,-0.043455-0.0050657i,-0.049551-0.020318i,-0.02277-0.023189i,-0.011149-0.038591i,-0.0068308+0.00067474i,-0.016838-0.0035041i,-0.011532+0.022273i,-0.001474+0.012928i,0.0019589+0.0046916i,0.012954+0.0041604i,0.00063286-0.010211i,-0.0021428+0.013496i,-0.0033134+0.0045081i,0.002864-0.0029747i,0.0060445+0.0040557i,0.0041146-0.0016934i,-0.021515+0.0099346i,-0.014838+0.010208i,-0.0010483+0.0035348i,0.01089+0.0057441i,0.0027378+0.0025399i,0.0056001-0.013373i,0.0041354-0.0028684i,0.053455-0.006776i,-0.0022909+0.010281i,0.0039073+0.0025706i,-0.0016029-0.0041851i,0.0075974+0.0014249i,0.0063321+0.020088i,0.0027678+0.0058554i,0.0055637-0.0049786i,0.004034-0.00022065i,0.0031258+0.018305i,0.0035891+0.0025374i,0.0092403-0.00061172i,-0.0057702+0.0099291i,0.00027424+0.0012818i,0.0052016+0.0062135i,-0.041145-0.021008i,-0.026748+0.0066896i,0.0035634-0.0017406i,-0.002987+0.0051973i,-0.034576-0.011069i,-0.0080381+0.008922i,-0.014884+0.010307i
-0.043021+0.026735i,-0.020501+0.018235i,-0.033479+0.041436i,-0.029463+0.0092953i,-0.0090446+0.022729i,-0.0015116+0.0079445i,-0.028768+0.013635i,-0.0092885+0.029275i,0.003347+0.020733i,-0.0038869-0.0083321i,0.0020685+0.0025764i,0.0080946+0.0019886i,0.005285+0.0036768i,-0.00012489+0.00093783i,0.00022979+0.0020657i,0.010696-0.0025017i,-0.0034027-0.001851i,-0.0029583-0.00057282i,0.0037804-0.0010802i,-0.0001898-0.0010194i,0.004601-0.0038018i,0.0020363-0.0024978i,0.0022205-0.0020711i,-0.0058547-0.013716i,-0.0022021+0.0019385i,-0.0016784-2.1415e-05i,-0.0036666-0.0032364i,-0.0027591-0.0010079i,-0.00026062-0.0017926i,0.00025878-0.00070997i,-0.0022338+0.0038653i,0.0012912+0.0014786i,0.0011003+0.0017359i,-0.00093865+0.0011966i,-0.0039707+0.0028209i,-0.00056676-0.0089545i,-0.0021719+0.00058588i,0.00062633+0.00062988i,-0.00286+0.0049087i,0.001741+0.005052i,-0.00027739-0.0016969i,-0.00011129-0.0028052i,-0.0032811-0.00075908i,0.0039676+0.0013131i,-0.022369+0.025239i,0.016628-0.024915i,-0.055541-0.0073658i,0.011289-0.022037i,-0.018756-0.04372i,-0.027079-0.026162i,-0.070258+0.0089446i,-0.038792-0.0018431i,-0.04206-0.012575i,-0.025735-0.023232i,-0.026013-0.034244i,-0.006717+0.0015603i,-0.023889-0.0010057i,-0.0020316+0.021711i,0.0016266+0.0097755i,0.00078162-0.0015406i,0.0066395+0.00046131i,-0.0044448-0.011865i,0.0030983+0.012586i,-0.0019493+0.0052439i,-0.00023605-0.0030616i,0.0033025+0.001226i,0.004318-0.0010742i,-0.012899+0.016813i,-0.007004+0.016368i,0.0016538+0.00355i,0.012539+0.00023199i,0.0029353+0.0027726i,-0.0021007-0.012247i,0.0018614-0.0032965i,0.043477-0.025919i,0.0024215+0.011782i,0.0039806+0.0022157i,-0.0041313-0.0018988i,0.00747-0.0028006i,0.015085+0.016227i,0.0027784+0.0034851i,0.0032379-0.0066128i,0.0027904-0.0020447i,0.010662+0.01562i,0.0037349+0.0030023i,0.0061934-0.0044054i,-0.00020022+0.010901i,0.00054001+0.00083403i,0.0074199+0.0058265i,-0.044977-0.017489i,-0.020287+0.010035i,0.0012078-0.0044931i,-0.0062765+0.0036075i,-0.037767+0.0016634i,-0.0058288+0.0077069i,-0.012407+0.012231i
