-0.031387-0.038876i,-0.021509-0.018739i,-0.013186-0.035436i,-0.02989-0.019752i,-0.022283+6.3209e-05i,-0.01369-0.005603i,-0.055244-0.058448i,-0.046745-0.017159i,-0.037967-0.014491i,0.011287+0.012006i,-0.0073864+0.0048085i,-0.019715+0.019081i,0.0024374+0.011467i,-0.0059866-0.0031947i,0.00024367+0.0013165i,-0.001527+0.030147i,0.027721+0.027928i,0.0026359-0.0022548i,-0.0020496-0.0068446i,0.0078648+0.0025242i,0.0025138+0.00098987i,0.00028655+0.0038212i,-0.00035025+0.00029082i,-0.037406-0.011963i,0.00015449-0.0076155i,0.0015176+0.0021019i,0.0063243+0.001477i,0.0019356+0.00061616i,0.0012133-0.00043469i,-0.00014417-0.0026802i,0.0017073-0.0024683i,-0.0025583-0.0057755i,-0.00056179-0.0047294i,0.0030021-0.00063978i,0.0048006-0.0028122i,0.0027221+0.029899i,0.0040153-0.0035065i,0.0029244-0.0016008i,0.0083266-0.0013254i,-0.0048763-0.0022861i,-6.2148e-05+0.0010613i,0.0095245+7.2577e-05i,0.0046095-0.0024612i,-0.00134+0.008973i,-0.018478-0.0066327i,-0.018593+0.015441i,-0.0033415-0.06071i,-0.005218-0.026824i,-0.026551-0.03278i,-0.010872-0.026879i,0.054897-0.020477i,0.016769-0.042617i,0.02237-0.049099i,0.005478-0.054957i,0.02637-0.021084i,0.0082004+0.0060381i,0.024865-0.033916i,-0.0080356-0.0066972i,0.0039729-0.0047748i,-0.0044687-0.0071811i,-0.0020383-0.03338i,-0.018152+0.029906i,0.0085985-0.011823i,-0.0091438-0.0040509i,-0.0042595-0.0016044i,0.00073302-0.013049i,-0.011144+0.0044944i,0.002355+0.010148i,-0.0049664+0.027226i,0.0050803+0.0024667i,-0.0052563-0.0019191i,-0.0022484-0.0021147i,-0.012996-0.0075384i,-0.00058343-0.0041232i,-0.03612+0.0014248i,0.0011437-0.01079i,-0.0082523+0.00011431i,-0.0067639-0.002283i,0.005315+0.0011947i,-0.0080032-0.00019042i,0.002245-0.00012544i,0.003758+0.0070848i,0.0043227+0.00035751i,-0.008337-0.013286i,0.0029629+0.0091316i,-0.015179+0.0047516i,0.0068288+1.8298e-05i,-0.022451+0.00043865i,-0.017541+0.0060584i,-0.0091382-0.066814i,0.0083398-0.013064i,-0.049359-0.022806i,-0.021479+0.0012125i,0.017371+0.01154i,-0.022987+0.01479i,-0.019491-0.0052427i
-0.03841-0.035057i,-0.022306-0.010303i,-0.018067-0.036692i,-0.031562-0.017072i,-0.019959+0.00036772i,-0.015472-0.0030227i,-0.064728-0.04739i,-0.04787-0.0098037i,-0.038225-0.0062518i,0.01147+0.0081187i,-0.0093363+0.0043655i,-0.0092551+0.026394i,0.0065833+0.0084775i,-0.010537+0.00026327i,0.0003086+0.0008634i,0.0055809+0.025888i,0.02984+0.016335i,0.0031918-0.00109i,-0.0045974-0.0030899i,0.0070603-0.00075068i,0.0010103+0.0007075i,0.0004393+0.0041214i,-0.0002984+0.00065824i,-0.025822+0.0088775i,-0.0021346-0.0067802i,0.0032921+0.00037028i,0.0050384+0.0020013i,0.0025523+0.001286i,0.0017658-0.0011431i,-0.0012474-0.0023801i,0.0012777-0.0035411i,-0.0029369-0.004614i,-0.0016512-0.004688i,0.0025166-0.001817i,0.0047013-0.0029046i,0.012077+0.025075i,0.00323-0.0050372i,0.0017106-0.0022934i,0.0093281-0.0044452i,-0.0034526-0.001645i,0.00053311+0.0019259i,0.0080625-0.0012068i,0.0032175-0.0025966i,-0.0012091+0.0096619i,-0.016806-0.0067236i,-0.0062759+0.018616i,-0.014363-0.059741i,-0.016034-0.029392i,-0.021044-0.021997i,-0.007801-0.016155i,0.052265-0.045997i,0.01659-0.061167i,0.024067-0.049384i,-0.0046486-0.058854i,0.013581-0.016937i,0.0072647-0.0018146i,0.010426-0.036836i,-0.0077058-0.00032811i,-0.00047562-0.013736i,-0.0060594-0.0062292i,-0.024149-0.029389i,-0.0051638+0.026248i,0.0026759-0.014517i,-0.010702+5.1407e-05i,-0.0031926-1.5755e-05i,-0.0056208-0.013122i,-0.011846+0.0097606i,0.0078724+0.01062i,0.01202+0.022849i,0.0050447-0.0015205i,-0.0051124+0.0010033i,-0.004643-0.0019629i,-0.016502+0.0020083i,-0.00073817-0.0028102i,-0.040433+0.0095131i,-0.004923-0.008328i,-0.0074705+0.0033939i,-0.0080882+0.0014351i,0.0037016-0.0040742i,-0.0067592+0.001775i,0.0031577-0.0031897i,0.0025156+0.0028779i,0.003122-0.0008452i,-0.014308-0.005037i,0.0045941+0.0057761i,-0.010637+0.010289i,0.0056752-0.0027011i,-0.020063+0.0083424i,-0.015989+0.010833i,-0.020084-0.06199i,0.0031156-0.018167i,-0.054396-0.0078626i,-0.015479-0.0033238i,0.017894+0.0057349i,-0.016423+0.02011i,-0.026795-0.0069282i
-0.043714-0.029186i,-0.019725-0.009054i,-0.02479-0.038396i,-0.033506-0.011887i,-0.01919-0.00036032i,-0.016548-0.00031845i,-0.075711-0.031565i,-0.049751-0.0014006i,-0.038046+0.00045909i,0.010911+0.004939i,-0.010106+0.0095659i,0.0017181+0.024566i,0.0076471+0.003969i,-0.010973+0.0054112i,0.00032683+0.00084715i,0.0098615+0.01948i,0.032654+0.0069105i,0.0047646-0.0017686i,-0.0038646-0.00034159i,0.005622-0.0023601i,-0.00024873+0.0014846i,0.0019169+0.0051492i,-0.00014964+0.00079958i,-0.013819+0.017342i,-0.0033382-0.005323i,0.0031304-0.002047i,0.005294+0.00037161i,0.0040023+0.00024944i,0.00076974-0.0017921i,-0.0016743-0.0014282i,-0.00013723-0.004228i,-0.0041208-0.0036355i,-0.0031897-0.0042365i,0.0018175-0.0033394i,0.0047391-0.006633i,0.018472+0.017356i,0.0014422-0.0057554i,0.0007936-0.0025957i,0.0076047-0.0095801i,-0.0036556-0.00053323i,0.0016875+0.0019818i,0.0066181-0.00389i,0.0028474-0.0027242i,0.0014138+0.010771i,-0.017548-0.0084965i,0.0041801+0.015992i,-0.024678-0.056326i,-0.025018-0.021428i,-0.0093312-0.020673i,-0.0014081-0.019117i,0.042666-0.067059i,-0.0013506-0.076987i,0.028262-0.056391i,-0.015708-0.055287i,0.0094799-0.015306i,0.0046103-0.0048473i,-0.00081744-0.037269i,0.0021182-0.00062252i,-0.009144-0.013116i,-0.0057692-0.0082312i,-0.039487-0.016031i,0.0026187+0.023062i,-0.0038516-0.014608i,-0.0084983+0.0028456i,-0.0047056+0.00049732i,-0.01209-0.010833i,-0.0055121+0.015394i,0.014791+0.0040772i,0.021237+0.010294i,0.0040169-0.003611i,-0.0042893+0.0014306i,-0.0062406-0.0003049i,-0.012642+0.011104i,-0.0043341-0.0023061i,-0.036688+0.02323i,-0.0065325-0.0037003i,-0.005712+0.006805i,-0.0077502+0.0076019i,-0.0017782-0.0048489i,-0.00637+0.0026254i,0.0010785-0.0047268i,0.00045775+0.0025172i,0.0024888-0.002523i,-0.0096136+0.0028458i,0.0044192+0.0023633i,-0.006407+0.011606i,0.002986-0.0056427i,-0.015288+0.013333i,-0.011056+0.014371i,-0.025904-0.056849i,-0.0033554-0.017588i,-0.052511+0.0059762i,-0.021516-0.0091923i,0.016725-0.0012444i,-0.0063964+0.018993i,-0.029072-0.0015336i
-0.047446-0.022683i,-0.020425-0.010316i,-0.034377-0.038493i,-0.031097-0.0069279i,-0.019975-0.0010098i,-0.016328+0.0034713i,-0.077683-0.005572i,-0.048988+0.010307i,-0.036704+0.0094485i,0.01046+0.0030256i,-0.0053769+0.01352i,0.0070639+0.019191i,0.0065304+0.00044223i,-0.0089192+0.011232i,3.119e-05+0.00075129i,0.010099+0.012315i,0.032175-0.00851i,0.0041509-0.0040366i,-0.0038239+0.0020294i,0.0039127-0.0032837i,0.00093353+0.0033796i,0.0043426+0.0046995i,-9.2805e-05+0.0011205i,-0.00024582+0.026353i,-0.0042391-0.0042755i,0.0014566-0.0032107i,0.005728-0.0011108i,0.0034386-0.0017059i,0.00044322-0.0013533i,-0.0023655-0.00057054i,-0.0017308-0.0041194i,-0.0046511-0.002239i,-0.0045412-0.0029038i,0.00042015-0.0040533i,0.00035684-0.0081805i,0.019069+0.0097921i,-0.000551-0.0060684i,3.7908e-06-0.0027794i,0.0025052-0.011568i,-0.0019615+0.00082658i,0.002744+0.0011652i,0.0035163-0.0051219i,0.0019442-0.0030326i,0.0047949+0.0093084i,-0.017477-0.0098896i,0.013215+0.009668i,-0.033323-0.04955i,-0.025322-0.010232i,-0.005761-0.024745i,-0.00028878-0.020758i,0.022639-0.088658i,-0.024699-0.077818i,0.02326-0.074373i,-0.023147-0.051323i,0.0060258-0.013279i,0.0010168-0.0075532i,-0.013661-0.033546i,0.0014952-0.0095948i,-0.012314-0.008653i,-0.011658-0.011298i,-0.043545+0.0051629i,0.012117+0.017194i,-0.0097525-0.012584i,-0.0063756+0.0038706i,-0.004511+0.00293i,-0.017097-0.0049549i,0.0029284+0.013261i,0.016481-0.0041715i,0.021857-0.0016446i,0.0028148-0.0056357i,-0.0050676+0.0016284i,-0.0067988+0.0030753i,-0.007282+0.017363i,-0.0057916+0.0013884i,-0.029469+0.034389i,-0.0067052-0.0016492i,-0.0013352+0.0078684i,-0.0016626+0.012065i,-0.0057126-0.0015935i,-0.0040375+0.0039093i,-0.00046098-0.0052412i,-2.2974e-05+0.0033242i,0.00012323-0.0040435i,-0.004978+0.0022963i,0.0012595-0.00071466i,-0.0034661+0.013548i,-0.0018204-0.0056634i,-0.0088861+0.016305i,-0.0060954+0.013786i,-0.03076-0.053787i,-0.0025093-0.0146i,-0.046689+0.020783i,-0.02894-0.0052193i,0.0145-0.0066578i,0.00126+0.013855i,-0.027033+0.0042738i
-0.050226-0.015159i,-0.023968-0.008668i,-0.046469-0.03454i,-0.02882-0.0051617i,-0.022508-0.00077451i,-0.014769+0.0070917i,-0.06333+0.011863i,-0.042006+0.019969i,-0.029621+0.016024i,0.0108+0.001121i,-0.00040497+0.01258i,0.010625+0.01564i,0.0040899-0.0013467i,-0.0026481+0.014423i,-0.00015871+0.00060499i,0.0077903+0.010304i,0.018636-0.020827i,0.0022742-0.0048968i,-0.0014227+0.0059383i,0.0026533-0.0035572i,0.0027052+0.0052453i,0.0054094+0.0024781i,0.00014719+0.0016413i,0.020162+0.018775i,-0.0051921-0.0020974i,6.9336e-05-0.0031867i,0.0041271-0.0033487i,0.0027691-0.0019662i,0.00030798-0.0011174i,-0.0021618+0.00096376i,-0.0031202-0.0033023i,-0.0047119-0.00043534i,-0.0045101-0.0014023i,-0.0016574-0.0037053i,-0.0020106-0.0067316i,0.019631+0.0050977i,-0.0025692-0.0053755i,-0.0013377-0.0025975i,-0.0017426-0.010177i,-0.0015116-0.0012392i,0.0028008-1.8003e-05i,0.0013587-0.0039262i,0.0015727-0.0029759i,0.0059106+0.0073924i,-0.022148-0.013468i,0.019325-0.0017219i,-0.03691-0.040777i,-0.020868-0.0015969i,-0.003875-0.030013i,0.0014087-0.021804i,-0.0099419-0.098728i,-0.043278-0.069292i,0.0028748-0.085646i,-0.033133-0.043889i,0.00519-0.010084i,-0.0029198-0.0077098i,-0.023958-0.024181i,-0.0053819-0.012466i,-0.014747-0.0063512i,-0.021686-0.0067255i,-0.036941+0.021425i,0.014911+0.0062079i,-0.015501-0.0071828i,-0.0052308+0.0048183i,-0.0034862+0.0053221i,-0.017744+0.0043314i,0.0040721+0.0084883i,0.015133-0.010939i,0.019977-0.011789i,0.00051005-0.0074937i,-0.0066425+0.004483i,-0.0041648+0.0063037i,0.00091306+0.019032i,-0.005015+0.0049322i,-0.020652+0.043822i,-0.0079018-0.00030052i,0.00078887+0.0052763i,0.0049319+0.010983i,-0.0071412+0.0019371i,-0.0033779+0.0012862i,-0.0033223-0.0058024i,0.00024962+0.0052011i,-0.0039333-0.0036289i,-0.0052446+0.00025743i,-0.0017264+0.00061829i,0.0021699+0.014613i,-0.0045595-0.0037568i,-0.0014539+0.016447i,-0.0041854+0.013222i,-0.038699-0.048909i,0.0014825-0.01987i,-0.034497+0.036196i,-0.03117+0.0045383i,0.0095771-0.011915i,0.0020514+0.0063575i,-0.024446+0.0064633i
-0.051262-0.0083184i,-0.024322-0.0063416i,-0.057194-0.023322i,-0.028664-0.0042533i,-0.026439+0.0021719i,-0.010951+0.0095644i,-0.049256+0.017847i,-0.033621+0.025042i,-0.023666+0.01816i,0.010018-0.0009884i,0.0015589+0.01169i,0.014028+0.0091137i,0.0015501-0.0018501i,0.0042077+0.012707i,-0.00055245+0.00069793i,0.0076449+0.010202i,0.0044636-0.0205i,0.0018779-0.0048827i,0.0029492+0.0061097i,0.0012592-0.0034902i,0.006273+0.0031751i,0.0050855+0.00056538i,0.0012884+0.0019679i,0.026385+0.0014512i,-0.0041485+0.00016924i,-0.0010709-0.0027809i,0.00093268-0.0017008i,0.0025286-0.0031878i,7.5591e-05-0.0014766i,-0.00049686+0.0020483i,-0.0037583-0.0019652i,-0.004241+0.00060095i,-0.0052092+0.00045719i,-0.0023478-0.0019886i,-0.0031252-0.0055177i,0.020171-0.0010525i,-0.0042133-0.004086i,-0.0029597-0.0020646i,-0.0051893-0.0090391i,-0.0037669-0.001838i,0.0028931-0.00085964i,0.00049866-0.0024897i,0.00064729-0.0032333i,0.0066893+0.0057837i,-0.029697-0.01153i,0.01115-0.016794i,-0.034966-0.033905i,-0.015794+0.0036797i,-0.0052254-0.033407i,0.0044629-0.027335i,-0.042131-0.088039i,-0.059673-0.054003i,-0.016807-0.08428i,-0.033691-0.027628i,0.010385-0.0054029i,-0.0052387-0.0057047i,-0.026161-0.0096381i,-0.010804-0.012051i,-0.019752-0.0015074i,-0.020761+0.0031188i,-0.025827+0.034882i,0.012234-0.00091177i,-0.013905+0.0023235i,-0.0051226+0.0053771i,0.0007649+0.0078464i,-0.012218+0.011141i,0.0058562+0.0095484i,0.010603-0.022936i,0.0075645-0.024116i,-0.0051253-0.009465i,-0.0060258+0.0086363i,-0.0025619+0.0066822i,0.008536+0.016998i,-0.0016049+0.0074438i,-0.0032727+0.057581i,-0.0093564+0.0012725i,0.00049479+0.0049714i,0.0087178+0.0062815i,-0.0056082+0.0082573i,-0.0051085+0.002354i,-0.0078473-0.0038711i,0.0036774+0.0057273i,-0.0049902+0.0024542i,-0.0078133+0.00051626i,-5.9814e-05+0.0050261i,0.0065398+0.01137i,-0.0062181-0.002799i,0.0028697+0.011653i,0.00014917+0.014032i,-0.041299-0.037976i,-0.0075009-0.032474i,-0.010266+0.039416i,-0.026292+0.011542i,0.0072073-0.01932i,0.00092398+8.3554e-05i,-0.021431+0.010872i
-0.051522-0.0012379i,-0.028934-0.005676i,-0.064029-0.0086415i,-0.028584-0.0013026i,-0.028329+0.0087901i,-0.0075122+0.009727i,-0.03913+0.018748i,-0.026376+0.027038i,-0.02068+0.019967i,0.0097516-0.0039003i,0.0060564+0.011179i,0.010627+0.0018759i,-0.0009686-0.00030754i,0.008335+0.0065701i,-0.00067154+0.0010738i,0.0084523+0.010084i,-0.0040204-0.014301i,0.00035659-0.0061008i,0.0048802+0.0031248i,0.00039427-0.0026393i,0.0067983-1.6142e-05i,0.0055067-0.00028207i,0.0023292+0.0014523i,0.020683-0.011834i,-0.0020279+0.00058354i,-0.0016539-0.0017196i,0.0022363-0.0032221i,0.0013943-0.0043425i,-0.00024136-0.00080021i,0.00070863+0.0013542i,-0.0038999-0.00082303i,-0.0035369+0.0020437i,-0.0036881+0.0023693i,-0.0022983-0.0012968i,-0.0052554-0.0049154i,0.017562-0.0074047i,-0.0045248-0.0018248i,-0.003195-0.0003644i,-0.0079697-0.0053373i,-0.0060296+0.00083382i,0.0021907-0.0018517i,0.0013898-0.0033443i,2.6458e-05-0.0031892i,0.0072335+0.0027232i,-0.035424-0.0050767i,-0.0016938-0.015349i,-0.036737-0.033145i,-0.0044284+0.0072052i,-0.0067071-0.035505i,-0.0025944-0.037123i,-0.060546-0.069848i,-0.06238-0.031768i,-0.038522-0.078287i,-0.026455-0.021515i,0.016611-0.017874i,-0.0061512-0.0034159i,-0.020816-0.003117i,-0.020288-0.0088523i,-0.016707+0.0087447i,-0.017682+0.0071382i,-0.0058069+0.038361i,0.0097119-0.0044678i,-0.012173+0.0044453i,-0.0019146+0.0050255i,0.0028937+0.0048568i,-0.0053525+0.014939i,0.011343+0.0067321i,-0.0059342-0.027031i,-0.010684-0.021569i,-0.0088355-0.0025436i,-0.0017494+0.011295i,0.00096367+0.0063982i,0.015257+0.0092619i,0.0016757+0.0067347i,0.024435+0.054694i,-0.0066123+0.0050652i,0.0010451+0.0045413i,0.0093378+0.00087749i,0.00047299+0.010784i,-0.0080774+0.003997i,-0.010124+0.0025332i,0.006887+0.0049061i,-0.0024312+0.0058265i,-0.010109+0.0037819i,0.0026107+0.0050414i,0.0081821+0.0075814i,-0.0066083-0.00042404i,0.0057721+0.0072612i,0.0038472+0.010987i,-0.042133-0.033473i,-0.026718-0.030693i,0.0057396+0.027926i,-0.02242+0.015335i,-0.0025145-0.025396i,-0.0037032-0.003817i,-0.014045+0.010546i
-0.05104+0.0057555i,-0.032793+0.0021169i,-0.064971+0.0084275i,-0.026386+0.00072762i,-0.025173+0.015978i,-0.0056766+0.0090116i,-0.032503+0.017793i,-0.020285+0.027623i,-0.015694+0.023811i,0.008222-0.0067371i,0.0096864+0.00529i,0.0054735+0.0013159i,-0.0011005+0.0025637i,0.0056789+0.0025075i,-0.00063533+0.0012254i,0.01141+0.0087194i,-0.0070418-0.0072551i,-0.0023635-0.0055332i,0.0039068+0.0015399i,9.4384e-05-0.0022448i,0.0046901-0.001531i,0.0050581-0.002158i,0.0027613+0.00045893i,0.011354-0.018366i,-0.0021841-0.00036348i,-0.0014644-0.0010125i,0.0015186-0.0047195i,-0.00036642-0.0038686i,0.00077214-0.00045501i,0.00072161+0.00048939i,-0.0040668+0.00023195i,-0.0020566+0.0031666i,-0.0020488+0.0034669i,-0.0026548-0.00077682i,-0.0064764-0.001219i,0.012965-0.01176i,-0.0036544-0.00055791i,-0.0021393+0.00091831i,-0.0076179-0.0022685i,-0.0047237+0.0036504i,0.0012599-0.0020186i,0.0011438-0.0036032i,-0.0011941-0.0031823i,0.0055822+5.3915e-05i,-0.037163+0.0042319i,-0.0031605-0.0057186i,-0.041056-0.031137i,0.0058973+0.0022591i,-0.0093593-0.039472i,-0.011127-0.035442i,-0.075363-0.051329i,-0.053991-0.016654i,-0.059195-0.059921i,-0.022518-0.022365i,0.011299-0.028961i,-0.006239-0.002233i,-0.016444+0.00046579i,-0.027249+0.0025349i,-0.012024+0.011866i,-0.012994+0.012542i,0.011731+0.030362i,0.0063812-0.0087616i,-0.011975+0.008064i,-0.0014818+0.0025839i,0.0048015+0.0038834i,0.0024984+0.012971i,0.011937-0.0007862i,-0.02019-0.017115i,-0.019872-0.008384i,-0.0055777+0.0030951i,0.0041238+0.010827i,0.003117+0.0049228i,0.017465+0.0013915i,0.0063122+0.00589i,0.045401+0.037624i,-0.0045661+0.0044363i,0.0015618+0.0054802i,0.0067455-0.0040294i,0.0064631+0.0071181i,-0.0091877+0.012268i,-0.0070927+0.0092788i,0.0094666+0.00088357i,0.0029232+0.0059713i,-0.010388+0.0091291i,0.0040497+0.0030932i,0.0090611+0.0049546i,-0.0073764+0.0013297i,0.0058028+0.0020958i,0.0045445+0.0081487i,-0.043157-0.026597i,-0.036395-0.013482i,0.011271+0.012621i,-0.010515+0.019449i,-0.014161-0.025926i,-0.01125-0.0031058i,-0.01391+0.0057476i
-0.049722+0.012846i,-0.030537+0.011003i,-0.057949+0.024579i,-0.026953+0.0012204i,-0.020144+0.019706i,-0.0040989+0.0086149i,-0.028232+0.015341i,-0.015921+0.027241i,-0.0083161+0.025603i,0.0049907-0.0091509i,0.0063603+0.00055058i,0.0051477+0.0036052i,0.00087294+0.0042353i,0.0037585+0.0004051i,-0.00062359+0.0016419i,0.013621+0.005111i,-0.0051304-0.0021211i,-0.0035312-0.0035555i,0.0037977+0.001392i,-0.00027237-0.0018588i,0.0045025-0.00075058i,0.0035128-0.0032254i,0.0028531-0.00040711i,0.0030892-0.018232i,-0.002921-9.9595e-05i,-0.0013955-0.0011872i,-0.00038092-0.0051816i,-0.0015551-0.0033774i,0.00060121-0.0012642i,0.00091663+0.00023893i,-0.0037968+0.0013114i,-0.00034557+0.003436i,-0.00055463+0.0028985i,-0.002704+0.00048317i,-0.0053372-8.3238e-06i,0.0070974-0.014029i,-0.0027367+2.2115e-06i,-0.00097701+0.00134i,-0.0085437+0.00023795i,-0.0027525+0.0047541i,0.00067023-0.0018293i,-0.00035278-0.0040157i,-0.0019461-0.002556i,0.0027568-0.00022345i,-0.0358+0.013623i,0.0061464-0.00098547i,-0.046909-0.026808i,0.011513-0.0063107i,-0.015077-0.039018i,-0.016274-0.033857i,-0.082334-0.026738i,-0.047936-0.010835i,-0.059746-0.032971i,-0.022411-0.023008i,0.00047649-0.036112i,-0.0068847-0.0016107i,-0.013806-0.0015918i,-0.022153+0.016589i,-0.0069202+0.014469i,-0.0027951+0.012269i,0.01657+0.015609i,0.0017967-0.0096459i,-0.0087141+0.012146i,-0.0029098+0.0029899i,0.0054847+0.00010069i,0.0060214+0.0083598i,0.0062369-0.0036877i,-0.024866-0.0024528i,-0.01913+0.0030823i,-0.0017905+0.0035727i,0.0070729+0.0086905i,0.0030177+0.0032199i,0.01432-0.0095921i,0.0067489+0.00019266i,0.054413+0.013647i,-0.0056362+0.0070758i,0.0039093+0.0042687i,0.0017345-0.0057299i,0.0075218+0.0033803i,-0.0026476+0.018129i,0.00052886+0.0093696i,0.0074188-0.0028995i,0.0050985+0.0019744i,-0.0057417+0.015518i,0.0027753+0.0033232i,0.0089199+0.0025594i,-0.008483+0.0043069i,0.00087114-0.00011179i,0.0045186+0.0070044i,-0.041298-0.021171i,-0.031488+0.0002936i,0.0075473+0.0019952i,-0.0022098+0.012358i,-0.026238-0.021037i,-0.013095+0.0061491i,-0.016635+0.0080433i
-0.047295+0.019757i,-0.025448+0.015736i,-0.046877+0.035599i,-0.02924+0.0038717i,-0.014858+0.022093i,-0.0027608+0.0084555i,-0.027669+0.012999i,-0.012694+0.027784i,-0.0018365+0.024049i,0.00097109-0.0099808i,0.0029277+0.00098454i,0.0063954+0.0032867i,0.0034876+0.0035323i,0.0017472-0.0001267i,-9.6431e-05+0.0020676i,0.012819+8.7475e-05i,-0.0030397-0.0011924i,-0.0032128-0.0016871i,0.0042497+0.00030915i,-0.00041161-0.0013628i,0.0054119-0.0022908i,0.0020822-0.0028656i,0.0026761-0.0012085i,-0.0021658-0.016095i,-0.0026889+0.0010555i,-0.0016751-0.00067068i,-0.0022882-0.0045277i,-0.0024864-0.0027009i,0.00015855-0.0015155i,0.0008739-0.00036699i,-0.0032474+0.0024667i,0.0012532+0.0024821i,0.00059021+0.0024834i,-0.0019154+0.0011476i,-0.0053607+0.0014418i,0.0016916-0.01222i,-0.0026368-0.00038731i,-2.6825e-05+0.0010887i,-0.0066517+0.0040875i,-0.00062588+0.0052866i,0.00029839-0.0017768i,-0.00057419-0.0032295i,-0.0025935-0.0018894i,0.0025469+0.0017758i,-0.029646+0.021507i,0.017504-0.009362i,-0.052822-0.018459i,0.011641-0.014994i,-0.016391-0.038566i,-0.022496-0.031374i,-0.077332-0.0054906i,-0.043549-0.0047478i,-0.050174-0.019044i,-0.022833-0.024395i,-0.013004-0.037439i,-0.0070161+0.00019549i,-0.016783-0.0033518i,-0.011448+0.02213i,-0.0013435+0.01321i,0.0021799+0.0044589i,0.012521+0.0051767i,-0.00285-0.008643i,-0.0031591+0.013943i,-0.0029021+0.0045869i,0.0030113-0.0028287i,0.006146+0.0039929i,0.0040771-0.0016849i,-0.021005+0.010189i,-0.013263+0.01129i,-0.001097+0.0038262i,0.01047+0.0056977i,0.0028026+0.0025847i,0.0050013-0.014315i,0.0040853-0.0025431i,0.050804-0.0078654i,-0.0023716+0.010419i,0.0037568+0.0027052i,-0.0017494-0.0041409i,0.0075761+0.0014049i,0.0065226+0.019939i,0.0028025+0.0062279i,0.0056566-0.0045597i,0.004172-0.0004425i,0.0025507+0.016908i,0.0034477+0.0029912i,0.0092181-0.00063195i,-0.005717+0.0099496i,-0.00014606+0.001485i,0.0048636+0.006447i,-0.040145-0.019702i,-0.024386+0.0058477i,0.0039278-0.0019736i,-0.0028291+0.0050241i,-0.035295-0.011027i,-0.0079531+0.0087041i,-0.015448+0.010463i
-0.043726+0.026347i,-0.01981+0.018277i,-0.033827+0.041684i,-0.029332+0.0091151i,-0.0089893+0.022495i,-0.0015058+0.0080384i,-0.028622+0.013734i,-0.0086849+0.028943i,0.0031323+0.021683i,-0.0029786-0.0093174i,0.0022324+0.0022539i,0.0079442+0.001825i,0.0045387+0.0020167i,-0.00042862+0.0011296i,0.00029689+0.0021182i,0.0099689-0.0029924i,-0.0035502-0.0020895i,-0.0029725-0.0010273i,0.004103-0.00076993i,-0.0002906-0.00098082i,0.0044867-0.0041549i,0.002063-0.0022869i,0.0021676-0.0019898i,-0.0066572-0.014011i,-0.0018598+0.0020847i,-0.0016333-0.00019705i,-0.0037843-0.002984i,-0.0029449-0.0014936i,-0.00019574-0.0015968i,0.00018201-0.00077757i,-0.002162+0.0034103i,0.001327+0.0014486i,0.0015409+0.0016607i,-0.0010024+0.0010641i,-0.0043181+0.0026345i,-0.0005825-0.0090976i,-0.0028391+9.4531e-05i,0.00060138+0.00033646i,-0.0034015+0.0047259i,0.0019814+0.0047729i,-4.5896e-05-0.0015991i,-0.00058253-0.0028285i,-0.0031602-0.0011455i,0.004015+0.00084379i,-0.022084+0.024751i,0.017015-0.02487i,-0.055144-0.0072486i,0.01137-0.022427i,-0.018504-0.043586i,-0.027054-0.026195i,-0.069957+0.0088593i,-0.038722-0.0016625i,-0.042749-0.011397i,-0.02602-0.024341i,-0.026962-0.033876i,-0.0068274+0.0013621i,-0.02381-0.00099384i,-0.0020759+0.021613i,0.0018429+0.0098139i,0.00061789-0.0015706i,0.0066551+0.0016013i,-0.0069025-0.0077136i,0.0019071+0.012951i,-0.0012082+0.0056119i,3.5065e-06-0.0029311i,0.0033155+0.0011719i,0.0043738-0.00096177i,-0.012371+0.01667i,-0.0057016+0.015311i,0.001776+0.0039655i,0.012228+0.00014585i,0.00301+0.0029568i,-0.0030918-0.012412i,0.0019308-0.0030694i,0.040718-0.024039i,0.0027196+0.01177i,0.0038175+0.0026102i,-0.0043255-0.0015466i,0.0072549-0.0025663i,0.015144+0.016348i,0.0029798+0.0037495i,0.0032658-0.0062692i,0.0028964-0.0022461i,0.0094514+0.013694i,0.0040228+0.0033627i,0.0063963-0.0039361i,0.00050252+0.011276i,0.0003887+0.0011764i,0.0067768+0.0060336i,-0.043206-0.01705i,-0.018912+0.0098654i,0.001369-0.0045647i,-0.0062551+0.0036123i,-0.038365+0.0012353i,-0.0056505+0.0076575i,-0.012815+0.012765i
