-0.031305-0.038773i,-0.020909-0.020082i,-0.013365-0.035656i,-0.029644-0.019704i,-0.022152-0.00035298i,-0.013783-0.0056833i,-0.05469-0.058573i,-0.046778-0.017272i,-0.03711-0.010434i,0.012514+0.011518i,-0.0077305+0.0042801i,-0.019389+0.019157i,0.0018543+0.011432i,-0.0058862-0.0022036i,9.5065e-05+0.0014097i,-0.0018427+0.030405i,0.025417+0.025386i,0.0024113-0.0020063i,-0.0023786-0.0070741i,0.0073101+0.003957i,0.0027126+0.00068722i,6.5849e-05+0.0038069i,-0.00033214+0.00030149i,-0.036231-0.011424i,-8.4987e-05-0.0078701i,0.0014594+0.002065i,0.0071078+0.0012458i,0.0016678+0.00073304i,0.0011458-0.00052945i,-0.00043626-0.0025016i,0.0014532-0.0023542i,-0.0020398-0.0062509i,-0.00070685-0.0050229i,0.0028762-0.00064805i,0.0046906-0.0030469i,0.00097126+0.029774i,0.0042322-0.0036054i,0.002867-0.0017905i,0.0081365-0.0014188i,-0.0065124-0.0035087i,-0.00012828+0.00085111i,0.0091331-0.00077035i,0.0046224-0.0024727i,-0.0012757+0.0083828i,-0.017433-0.0076127i,-0.018741+0.014704i,-0.0025604-0.061588i,-0.0053566-0.026605i,-0.026523-0.032434i,-0.010668-0.027281i,0.054623-0.020035i,0.017034-0.042654i,0.023134-0.047404i,0.0046602-0.054004i,0.027368-0.021255i,0.0082171+0.0058795i,0.025547-0.034518i,-0.0079686-0.0067783i,0.004149-0.0048234i,-0.0046482-0.0069774i,-0.00103-0.033282i,-0.018129+0.028872i,0.0090527-0.01201i,-0.0091725-0.0040796i,-0.0040714-0.0014351i,0.00054597-0.01327i,-0.011357+0.0042949i,0.0025408+0.010308i,-0.0046337+0.025114i,0.0051097+0.0027833i,-0.0051706-0.0020528i,-0.0021186-0.002092i,-0.013378-0.0081318i,-0.00047642-0.0040849i,-0.02381+0.0057173i,0.0012023-0.011043i,-0.0084179-0.00012734i,-0.0069235-0.0021637i,0.0051701+0.0016835i,-0.0078309-0.00047324i,0.0027191+0.00031806i,0.0035663+0.0069649i,0.0046254+0.00046383i,-0.0071773-0.013137i,0.002638+0.0096023i,-0.0151+0.0046737i,0.0068655-2.1237e-05i,-0.021965-0.0013748i,-0.017401+0.0061463i,-0.011634-0.068547i,0.0079401-0.012944i,-0.048436-0.023205i,-0.020757+0.00016088i,0.017366+0.011731i,-0.022842+0.014519i,-0.018918-0.0051658i
-0.038849-0.034082i,-0.022284-0.011525i,-0.018451-0.036825i,-0.031292-0.017312i,-0.020042+1.9178e-05i,-0.01552-0.0029698i,-0.06415-0.047268i,-0.047909-0.0095805i,-0.035218-0.0031042i,0.011465+0.0071161i,-0.009897+0.0041226i,-0.0089571+0.026019i,0.0062954+0.008597i,-0.0094085+0.00089741i,0.00026633+0.0010807i,0.0052627+0.026257i,0.026086+0.015044i,0.0027637-0.0011283i,-0.0050616-0.0030755i,0.0079667+0.0012067i,0.0010502+0.00049029i,0.00023606+0.0043062i,-0.00031529+0.00064524i,-0.024279+0.0082128i,-0.0024466-0.0070399i,0.0031586+0.00027735i,0.0055438+0.0014664i,0.0023868+0.0015622i,0.0016708-0.0011294i,-0.0015135-0.0021535i,0.0010767-0.0033113i,-0.0029817-0.0052777i,-0.001714-0.0048699i,0.0024018-0.0018999i,0.004382-0.0028824i,0.010564+0.025927i,0.0034247-0.0051611i,0.0016797-0.0023255i,0.009149-0.0046161i,-0.0043194-0.0021986i,0.00044849+0.001786i,0.0077002-0.00133i,0.0034144-0.002725i,-0.0015375+0.008691i,-0.016089-0.0076854i,-0.0064551+0.018293i,-0.014084-0.060456i,-0.01651-0.029058i,-0.020783-0.021751i,-0.0076402-0.016552i,0.052263-0.044982i,0.01705-0.060602i,0.024466-0.048259i,-0.005305-0.057467i,0.013943-0.016583i,0.0075019-0.0018025i,0.010885-0.03729i,-0.0077772-7.3744e-05i,0.00037136-0.013517i,-0.0062974-0.006228i,-0.022933-0.029619i,-0.0052474+0.025889i,0.0031422-0.014744i,-0.010639+0.00025659i,-0.003352+9.5427e-06i,-0.005912-0.013072i,-0.011688+0.0093282i,0.0080829+0.010536i,0.012197+0.021064i,0.0052849-0.0015407i,-0.0050669+0.0011782i,-0.0045345-0.0024456i,-0.017297+0.0024307i,-0.00063517-0.0028245i,-0.036232+0.012753i,-0.0049169-0.0084487i,-0.0077905+0.0036235i,-0.0080975+0.0011687i,0.0035235-0.0037481i,-0.0068804+0.0014038i,0.003482-0.0028203i,0.0028805+0.002985i,0.0033189-0.00059717i,-0.012623-0.0047348i,0.0047416+0.0062571i,-0.010272+0.010366i,0.0055639-0.0026833i,-0.020696+0.0067186i,-0.015708+0.010502i,-0.021873-0.065014i,0.0031484-0.017804i,-0.053475-0.010713i,-0.015535-0.0036745i,0.01804+0.0057011i,-0.016912+0.019273i,-0.026654-0.0075804i
-0.042473-0.027771i,-0.019807-0.010037i,-0.025104-0.038357i,-0.03338-0.011968i,-0.019173-0.00058746i,-0.016634-0.00020846i,-0.075014-0.031554i,-0.049754-0.0011509i,-0.033783+0.0014278i,0.0106+0.0043152i,-0.01055+0.0093065i,0.0014576+0.023985i,0.0075828+0.0041792i,-0.010341+0.0047384i,0.00029882+0.0010075i,0.0096826+0.020226i,0.029473+0.0070374i,0.0039707-0.0016425i,-0.0042516-4.3228e-05i,0.0058974-0.0015603i,-0.00047976+0.0017119i,0.0016399+0.0049238i,-0.00023445+0.00084932i,-0.012688+0.017338i,-0.0037039-0.0058876i,0.0030257-0.0020941i,0.005022-0.00023804i,0.0038774+0.00067092i,0.00055429-0.0017106i,-0.0020231-0.0012225i,-0.00015842-0.0040133i,-0.0046559-0.0042222i,-0.0030204-0.0041948i,0.0015369-0.0031612i,0.0045334-0.0063512i,0.017462+0.017937i,0.0014095-0.0058951i,0.0008185-0.0025865i,0.0071981-0.0091364i,-0.0042997-0.00080947i,0.0015008+0.0019316i,0.0063392-0.0037327i,0.0029454-0.0028638i,0.00046681+0.010166i,-0.017236-0.0095463i,0.0038721+0.015643i,-0.024382-0.05684i,-0.024454-0.020632i,-0.0091468-0.020745i,-0.0012905-0.019381i,0.043159-0.066117i,-0.00054958-0.076804i,0.028777-0.055033i,-0.015679-0.053566i,0.009726-0.015662i,0.0045869-0.0047771i,-0.0040561-0.032501i,0.0024855-0.00041245i,-0.0082497-0.014103i,-0.0061019-0.0080277i,-0.038785-0.016449i,0.0023111+0.023237i,-0.0032911-0.014952i,-0.0080253+0.0034026i,-0.00495+0.00043827i,-0.011974-0.010944i,-0.0052135+0.015067i,0.014809+0.004181i,0.020437+0.0078012i,0.0041499-0.0035596i,-0.0043248+0.0015982i,-0.0062203-0.0007806i,-0.013869+0.010606i,-0.0042222-0.0022144i,-0.03291+0.025108i,-0.006772-0.0038364i,-0.0056681+0.0065276i,-0.007958+0.007726i,-0.0015323-0.0047921i,-0.0064372+0.0025621i,0.0017155-0.0046028i,0.00066876+0.0023731i,0.0027478-0.002397i,-0.0083188+0.0031241i,0.0045884+0.0024228i,-0.0055556+0.012246i,0.0028768-0.0055231i,-0.016055+0.012063i,-0.011418+0.0141i,-0.028495-0.062682i,-0.0037216-0.01731i,-0.053051+0.0048767i,-0.021499-0.0097666i,0.016557-0.00071566i,-0.0064686+0.019178i,-0.029759-0.0020374i
-0.045576-0.023139i,-0.020847-0.011185i,-0.033998-0.038924i,-0.030811-0.0068306i,-0.019873-0.0013095i,-0.016405+0.0035508i,-0.077148-0.0055475i,-0.048871+0.010747i,-0.032945+0.0082545i,0.010341+0.0027232i,-0.0061117+0.013495i,0.0065068+0.018686i,0.0065849+0.00052931i,-0.0093206+0.010017i,-2.4485e-05+0.00087766i,0.010314+0.012944i,0.029062-0.0068172i,0.0035828-0.0037826i,-0.0040419+0.0025191i,0.0042835-0.0030487i,0.00085278+0.0036039i,0.0040954+0.0045629i,-0.00015935+0.0012293i,0.0025246+0.022805i,-0.0046355-0.0046469i,0.0013154-0.0033712i,0.0053861-0.0012813i,0.003485-0.001239i,0.00015457-0.0011755i,-0.0026353-0.00023163i,-0.0014827-0.0037802i,-0.0051736-0.0026352i,-0.0045775-0.0028187i,0.00042617-0.0037569i,-2.8334e-05-0.0078315i,0.018371+0.010886i,-0.00061206-0.0060897i,-2.7625e-05-0.0028031i,0.0021129-0.011235i,-0.0025065+0.00055397i,0.0025521+0.0012887i,0.0033355-0.0049017i,0.0019265-0.0031714i,0.0038183+0.0088681i,-0.017196-0.010487i,0.012676+0.0093423i,-0.033036-0.049796i,-0.02511-0.0099909i,-0.005296-0.02459i,-8.089e-05-0.021033i,0.023452-0.087666i,-0.024124-0.077833i,0.023904-0.072751i,-0.022368-0.049776i,0.006145-0.01387i,0.0010984-0.0072157i,-0.013875-0.033068i,0.0016127-0.0095818i,-0.012178-0.0089502i,-0.011784-0.011442i,-0.042917+0.0052526i,0.011418+0.017455i,-0.0095374-0.013092i,-0.0060859+0.0042827i,-0.0046167+0.0029408i,-0.016812-0.0052207i,0.0031052+0.013268i,0.016851-0.0039163i,0.022798-0.010047i,0.0026569-0.0055647i,-0.0051562+0.0016892i,-0.0066546+0.0028951i,-0.0088693+0.01717i,-0.0054752+0.0014977i,-0.027639+0.036427i,-0.006859-0.0018468i,-0.0014166+0.0076752i,-0.0019076+0.012735i,-0.0062264-0.0019563i,-0.0037709+0.0039226i,-6.5882e-05-0.0050827i,-8.5716e-05+0.003137i,0.00026577-0.0039732i,-0.004369+0.002642i,0.0010586-0.00063326i,-0.0019109+0.01428i,-0.0014967-0.0054858i,-0.0098495+0.015494i,-0.0067204+0.013573i,-0.032103-0.061208i,-0.0026949-0.014183i,-0.0472+0.02001i,-0.029344-0.0063552i,0.014801-0.0062385i,0.0013868+0.014158i,-0.027619+0.0043483i
-0.04923-0.015995i,-0.024673-0.0094037i,-0.046995-0.035274i,-0.028205-0.0050641i,-0.022512-0.0011284i,-0.014823+0.0072301i,-0.062811+0.011559i,-0.041524+0.020393i,-0.027687+0.014168i,0.010705+0.00073248i,-0.00096874+0.012824i,0.009641+0.014934i,0.0041021-0.0013858i,-0.0055675+0.014857i,-0.00011797+0.00071303i,0.0078484+0.010933i,0.016998-0.017386i,0.0016872-0.0047434i,-0.001286+0.0063496i,0.0025995-0.003556i,0.002489+0.0056167i,0.0055202+0.002353i,0.00017891+0.0017527i,0.016266+0.018678i,-0.0055754-0.0024173i,-0.00016308-0.0032547i,0.004139-0.0033495i,0.0030582-0.0014121i,8.9901e-05-0.00092315i,-0.0022859+0.0012791i,-0.0028118-0.003056i,-0.0055111-0.00092753i,-0.004618-0.0011284i,-0.0016279-0.0034789i,-0.0021292-0.0063317i,0.019805+0.0062021i,-0.0025224-0.0054996i,-0.0013517-0.0025256i,-0.0022552-0.0098952i,-0.002003-0.0014325i,0.0027181+0.00016479i,0.0011568-0.0036618i,0.0016831-0.0032887i,0.0047314+0.0071093i,-0.021515-0.014057i,0.018499-0.0016157i,-0.037215-0.040427i,-0.020605-0.0016869i,-0.00313-0.030129i,0.0016067-0.022015i,-0.0089722-0.098475i,-0.042926-0.069254i,0.0038607-0.084073i,-0.032394-0.041781i,0.0052948-0.010492i,-0.002616-0.0075344i,-0.024189-0.024621i,-0.005324-0.012393i,-0.014351-0.0066595i,-0.021936-0.0066575i,-0.035906+0.020739i,0.014567+0.0069991i,-0.014724-0.007496i,-0.0049689+0.0051609i,-0.003458+0.0053551i,-0.017719+0.0037973i,0.0043727+0.0083684i,0.015509-0.011174i,0.02238-0.0097469i,0.00067914-0.0072636i,-0.0068131+0.0044286i,-0.0038326+0.0061097i,-0.00020998+0.019032i,-0.0047304+0.0050483i,-0.017741+0.045125i,-0.0083135-0.00061488i,0.00078529+0.0051004i,0.0049867+0.011707i,-0.008614+0.0028146i,-0.0031462+0.0013437i,-0.0029229-0.0054708i,0.00036753+0.0052514i,-0.0043133-0.003718i,-0.0048881+0.00041176i,-0.0016971+0.0011642i,0.00364+0.015339i,-0.0043895-0.0037331i,-0.0026411+0.016476i,-0.0048352+0.013373i,-0.038184-0.056154i,0.0012402-0.019472i,-0.034554+0.0357i,-0.032544+0.0032773i,0.010122-0.011123i,0.0024242+0.0065842i,-0.025143+0.0069099i
-0.050088-0.0093643i,-0.025007-0.0067504i,-0.058051-0.023121i,-0.028241-0.0043493i,-0.026614+0.0017751i,-0.010927+0.0096747i,-0.048684+0.01758i,-0.032821+0.025177i,-0.022451+0.016495i,0.0097037-0.001329i,0.0011259+0.012108i,0.012157+0.008474i,0.0015393-0.0018856i,0.0039033+0.014729i,-0.00047255+0.00074374i,0.0078268+0.010808i,0.0049253-0.017775i,0.0012039-0.0047688i,0.0029497+0.0064838i,0.0011755-0.0034022i,0.006164+0.0034567i,0.0053597+0.00037799i,0.0013157+0.0020272i,0.025427+0.003084i,-0.0046062+0.00020583i,-0.0014819-0.0030216i,0.00094203-0.0015669i,0.0029021-0.0030175i,-0.0001202-0.0011717i,-0.00058113+0.0022646i,-0.0033297-0.0020053i,-0.005004+0.00068369i,-0.0053512+0.0004765i,-0.0021642-0.0016624i,-0.0031256-0.0050827i,0.020709+5.4088e-05i,-0.004154-0.0042396i,-0.0029632-0.0020439i,-0.0055737-0.0081496i,-0.0041378-0.002021i,0.0032574-0.00061457i,0.0003607-0.0022364i,0.000481-0.0035143i,0.0053862+0.0059017i,-0.029073-0.012539i,0.010669-0.016381i,-0.03534-0.032752i,-0.015796+0.0033039i,-0.0046002-0.03371i,0.004641-0.027732i,-0.041113-0.087727i,-0.059129-0.053807i,-0.016461-0.083271i,-0.031616-0.025341i,0.011111-0.0051729i,-0.0051078-0.0057448i,-0.026747-0.0096921i,-0.010756-0.01236i,-0.019529-0.002023i,-0.020705+0.0031262i,-0.025723+0.033502i,0.011896-0.00010023i,-0.014019+0.0013473i,-0.0049244+0.0055652i,0.00070912+0.0077145i,-0.012324+0.010656i,0.0059974+0.009482i,0.01098-0.023148i,0.007351-0.024516i,-0.004988-0.0099139i,-0.0062932+0.0086768i,-0.0023346+0.0063215i,0.0081727+0.017336i,-0.0012967+0.0077164i,-0.00069891+0.053308i,-0.0092333+0.0015082i,0.00043106+0.0049801i,0.0088361+0.0065311i,-0.0058414+0.0092258i,-0.0050467+0.0026141i,-0.007778-0.0040948i,0.0036779+0.0056442i,-0.005102+0.0029368i,-0.007685+0.00092921i,-8.8593e-05+0.0053891i,0.0075838+0.011449i,-0.0062403-0.002469i,0.0021362+0.012076i,-0.00044828+0.014513i,-0.039326-0.043757i,-0.0074075-0.031973i,-0.01094+0.03899i,-0.027833+0.01136i,0.0064025-0.02121i,0.00083482+0.00048238i,-0.022137+0.011039i
-0.050589-0.0029573i,-0.029486-0.0061237i,-0.064253-0.0086165i,-0.028408-0.0012187i,-0.028671+0.0086203i,-0.0074081+0.0097365i,-0.038553+0.018146i,-0.025505+0.026913i,-0.019738+0.018419i,0.0093822-0.0039205i,0.0060528+0.011767i,0.010655-0.00024536i,-0.00090972-0.00033251i,0.0090694+0.0073575i,-0.00063936+0.0010237i,0.0088499+0.011031i,-0.0029423-0.012974i,-0.00038834-0.0057906i,0.0050138+0.0030878i,0.00053442-0.0026204i,0.0068671+0.00020324i,0.0055295-0.00048935i,0.0024128+0.0015182i,0.02029-0.010656i,-0.0022855+0.00055064i,-0.0018431-0.0016463i,0.0022306-0.0028156i,0.0018582-0.0044904i,-0.00033468-0.00049001i,0.00065205+0.001534i,-0.0035284-0.001008i,-0.0037986+0.0023578i,-0.0040556+0.0025716i,-0.0020508-0.00096064i,-0.0049636-0.0044918i,0.018879-0.0069301i,-0.0044101-0.0018704i,-0.0033794-0.00035385i,-0.0081776-0.0037133i,-0.0066906+0.00061493i,0.0022854-0.0018031i,0.0012004-0.0030711i,-0.00031414-0.0033519i,0.0062654+0.003295i,-0.035073-0.0065726i,-0.0018412-0.015483i,-0.038122-0.031396i,-0.0046197+0.0071392i,-0.0062837-0.035724i,-0.002519-0.037508i,-0.059529-0.070189i,-0.062006-0.031891i,-0.037035-0.076521i,-0.024413-0.019727i,0.017909-0.017792i,-0.00615-0.0034548i,-0.020746-0.0033198i,-0.020734-0.0090681i,-0.016753+0.0079358i,-0.017786+0.007162i,-0.0071382+0.038099i,0.0092627-0.0038092i,-0.011795+0.0034464i,-0.0017062+0.0050582i,0.0031255+0.0048885i,-0.0053338+0.014556i,0.011242+0.0065219i,-0.0058368-0.026931i,-0.01187-0.022688i,-0.0090429-0.0025861i,-0.0019672+0.011053i,0.0010229+0.0064923i,0.015324+0.0095234i,0.0021064+0.0068229i,0.02628+0.053178i,-0.0066233+0.004732i,0.0012826+0.0046605i,0.0090568+0.0010955i,0.00068191+0.011125i,-0.0077521+0.00423i,-0.0098158+0.0023484i,0.0068439+0.0050011i,-0.0020415+0.0059148i,-0.0097749+0.0036525i,0.0025727+0.0052021i,0.0087454+0.0075152i,-0.0063664+0.00011446i,0.0056838+0.0078531i,0.003478+0.01173i,-0.038023-0.037158i,-0.026612-0.029988i,0.005752+0.02843i,-0.02336+0.014929i,-0.0025221-0.025294i,-0.0035362-0.0037393i,-0.014472+0.011112i
-0.050994+0.004221i,-0.033545+0.0016915i,-0.065159+0.0083991i,-0.026274+0.00065635i,-0.025416+0.015788i,-0.0055709+0.0089573i,-0.032177+0.017238i,-0.01952+0.02731i,-0.014977+0.022251i,0.0080539-0.0069281i,0.0096323+0.0056803i,0.0058266+0.0015808i,-0.00096673+0.00251i,0.0061701+0.0023672i,-0.00063316+0.0011911i,0.012097+0.0095742i,-0.0062428-0.007002i,-0.0028573-0.0047416i,0.0038268+0.001441i,0.00032398-0.0022307i,0.0046372-0.0015761i,0.0050973-0.0021014i,0.0029235+0.00046954i,0.011107-0.017429i,-0.0025047-0.00039333i,-0.0015639-0.0010515i,0.0017139-0.0041669i,-0.00075412-0.004415i,0.00079769-0.00032247i,0.00074238+0.00062546i,-0.0038876+0.00010423i,-0.0020609+0.0033677i,-0.0023156+0.003842i,-0.0023853-0.00068612i,-0.0060343-0.0010073i,0.014092-0.011911i,-0.0034189-0.00075463i,-0.0023989+0.001099i,-0.0068146-0.0017306i,-0.0054173+0.0036225i,0.0013751-0.0019502i,0.0010137-0.0033079i,-0.0014226-0.003049i,0.0049765+0.00054889i,-0.037285+0.0027545i,-0.0034426-0.0059301i,-0.041942-0.036932i,0.0056774+0.0019957i,-0.0095218-0.039732i,-0.011276-0.035899i,-0.074536-0.051992i,-0.053702-0.016809i,-0.056819-0.059293i,-0.020224-0.020619i,0.012729-0.029897i,-0.0061268-0.0024247i,-0.016309+0.00022921i,-0.028101+0.0027563i,-0.011987+0.011519i,-0.013029+0.012449i,0.011267+0.030018i,0.0055972-0.0082244i,-0.012098+0.0072904i,-0.001552+0.0024517i,0.0051765+0.003868i,0.0027338+0.012699i,0.01176-0.00095938i,-0.019723-0.016978i,-0.020818-0.0094566i,-0.0054621+0.0027496i,0.0041538+0.011023i,0.0033845+0.0051508i,0.017893+0.001939i,0.0063556+0.005972i,0.046506+0.035742i,-0.0043568+0.0043337i,0.0015679+0.0055703i,0.0066647-0.0040105i,0.0061942+0.0073318i,-0.0094812+0.012419i,-0.0071639+0.0091281i,0.0093349+0.00082831i,0.0029627+0.0059097i,-0.010065+0.0089343i,0.004113+0.0031884i,0.0093907+0.0041452i,-0.0070016+0.0015951i,0.0057046+0.0030832i,0.0049335+0.0085025i,-0.032894-0.031307i,-0.036285-0.013446i,0.011393+0.012745i,-0.011674+0.019518i,-0.013374-0.025966i,-0.011793-0.0033023i,-0.014294+0.006241i
-0.049648+0.012313i,-0.031446+0.010862i,-0.057931+0.024759i,-0.026751+0.001053i,-0.020483+0.019649i,-0.0040148+0.0085245i,-0.027929+0.014726i,-0.015313+0.026779i,-0.0078676+0.023976i,0.0042043-0.0098061i,0.0065241+0.00095284i,0.0052227+0.0038505i,0.0008869+0.0044364i,0.0039032+2.2464e-05i,-0.00060056+0.0015943i,0.0141+0.0058703i,-0.0049097-0.0021843i,-0.0037452-0.0028258i,0.0036212+0.0013628i,-7.9335e-05-0.0018815i,0.0045876-0.00079282i,0.0035754-0.003277i,0.0030632-0.00045477i,0.0033056-0.017482i,-0.0031273+7.4327e-05i,-0.0016259-0.0011867i,-0.00010623-0.0049277i,-0.0016276-0.0036293i,0.00062023-0.0011955i,0.00086672+0.00029333i,-0.0036546+0.001017i,-0.00042703+0.0035704i,-0.00058883+0.0032164i,-0.0024897+0.00049735i,-0.0048175+0.00010958i,0.007564-0.015651i,-0.0024632-0.0002234i,-0.001091+0.0015753i,-0.0077155+0.00018697i,-0.0035895+0.005118i,0.00074879-0.0017435i,-0.00023125-0.0036632i,-0.0017878-0.0022518i,0.0024105+0.00015159i,-0.036477+0.012076i,0.0057433-0.0011472i,-0.046496-0.030517i,0.011224-0.0063045i,-0.015432-0.039071i,-0.016297-0.034018i,-0.081864-0.027767i,-0.047658-0.011005i,-0.05755-0.033737i,-0.01948-0.021534i,0.0011873-0.037459i,-0.0070944-0.0018181i,-0.013778-0.0020251i,-0.022677+0.01692i,-0.0068766+0.014149i,-0.0031924+0.012131i,0.016375+0.014778i,0.0004163-0.0045387i,-0.0083042+0.011274i,-0.0031163+0.0030636i,0.005692+0.00012426i,0.0058251+0.0080249i,0.0060846-0.0040523i,-0.024515-0.0031734i,-0.02188+0.0026978i,-0.001871+0.003083i,0.0072979+0.008999i,0.0031277+0.0032145i,0.014811-0.0089538i,0.0069682+0.000216i,0.056357+0.011532i,-0.0056398+0.006845i,0.003757+0.0042604i,0.0018683-0.00583i,0.0075885+0.0032205i,-0.0021192+0.018118i,0.00047444+0.009291i,0.0074189-0.0029392i,0.0051888+0.0020115i,-0.0040622+0.016427i,0.0029302+0.0033752i,0.0087596+0.0019446i,-0.0083348+0.004638i,0.0011065+0.00028262i,0.0050524+0.006768i,-0.051913-0.03025i,-0.031552+0.0019183i,0.007532+0.0021087i,-0.0024115+0.012893i,-0.026205-0.021855i,-0.013286+0.0063622i,-0.016946+0.0085819i
-0.046777+0.019178i,-0.026044+0.015808i,-0.046283+0.035346i,-0.029275+0.0035373i,-0.015079+0.022136i,-0.0027816+0.008335i,-0.027678+0.012332i,-0.012028+0.02726i,-0.001762+0.022343i,-0.00071325-0.0095083i,0.0030012+0.0013028i,0.0066122+0.0034744i,0.0040509+0.0039389i,0.0017928-0.00023506i,-0.0001642+0.0020066i,0.013079+0.00076807i,-0.0030504-0.0011081i,-0.0031447-0.0011102i,0.0041289+0.00041024i,-0.0002143-0.0013633i,0.0055727-0.0026401i,0.0019833-0.0029263i,0.0027926-0.0013412i,-0.0017338-0.015772i,-0.00295+0.0010963i,-0.0018119-0.00056136i,-0.0022044-0.004496i,-0.0024984-0.0027913i,0.00029851-0.0016608i,0.00083249-0.00029058i,-0.0032873+0.0023813i,0.0012991+0.0025977i,0.0007119+0.0026724i,-0.0016862+0.00095561i,-0.0047934+0.0014907i,0.0015183-0.012898i,-0.0024868-0.00053938i,-7.2521e-05+0.0013083i,-0.0056953+0.0037666i,-0.0011325+0.0059404i,0.00045028-0.0016718i,-0.00027551-0.0028923i,-0.0023644-0.0018582i,0.0023364+0.0022819i,-0.030792+0.020453i,0.01716-0.0093879i,-0.053739-0.021302i,0.011513-0.014725i,-0.016355-0.038519i,-0.022547-0.031647i,-0.07724-0.0067075i,-0.043126-0.0049296i,-0.048676-0.020618i,-0.019683-0.023166i,-0.012016-0.039192i,-0.0072077+0.00027978i,-0.017002-0.0037693i,-0.011833+0.022528i,-0.00095523+0.013558i,0.001678+0.0042144i,0.011984+0.0043404i,-0.0012927-0.010235i,-0.0033297+0.013499i,-0.002984+0.0047348i,0.0031181-0.0029947i,0.0063932+0.0040192i,0.0039249-0.0019201i,-0.021045+0.010036i,-0.015432+0.01354i,-0.0014636+0.0032694i,0.010791+0.0060746i,0.002749+0.0025749i,0.0050091-0.013902i,0.0043414-0.0026775i,0.053158-0.012108i,-0.0026215+0.010252i,0.0035464+0.0025397i,-0.0017098-0.0042945i,0.0076027+0.00097025i,0.006396+0.019252i,0.002731+0.006048i,0.0058557-0.004677i,0.0042363-0.00047399i,0.0050277+0.015992i,0.0035086+0.0027427i,0.0091085-0.0010811i,-0.0052923+0.010139i,-0.00028434+0.0016524i,0.0051735+0.0060486i,-0.043421-0.023435i,-0.025296+0.0086835i,0.0039178-0.0017104i,-0.0026427+0.0052002i,-0.035121-0.011326i,-0.0083403+0.0089924i,-0.015424+0.01073i
-0.042832+0.025578i,-0.020554+0.018453i,-0.033634+0.04076i,-0.029259+0.008836i,-0.0090932+0.022511i,-0.0015329+0.0079398i,-0.02889+0.01317i,-0.0079745+0.028366i,0.0027567+0.020064i,-0.0034118-0.0076655i,0.0022477+0.0026088i,0.0079325+0.0017523i,0.0043308+0.0012272i,-0.00025473+0.0010985i,0.00019193+0.00209i,0.010219-0.0026311i,-0.0034372-0.0018557i,-0.0027706-0.00049552i,0.0039501-0.00066311i,-0.00013893-0.0010216i,0.0043089-0.0042087i,0.0019593-0.0024297i,0.002249-0.0020769i,-0.0063495-0.014143i,-0.0022964+0.0021025i,-0.0016968-5.2369e-05i,-0.0036268-0.0031428i,-0.003014-0.001266i,-0.00018553-0.0021323i,0.00023255-0.00066855i,-0.0022414+0.003445i,0.0013646+0.001363i,0.0017994+0.0017252i,-0.0010032+0.0008156i,-0.0037629+0.0025682i,-0.00063027-0.0094005i,-0.0027702+0.00010593i,0.00061253+0.00057085i,-0.0026251+0.004287i,0.0017592+0.0055805i,2.7997e-05-0.0014796i,-0.00010772-0.0028349i,-0.0030008-0.0010893i,0.0037339+0.0015624i,-0.023299+0.024268i,0.016642-0.024881i,-0.056311-0.0087546i,0.011383-0.022016i,-0.018557-0.043649i,-0.027041-0.026373i,-0.070326+0.0078199i,-0.038544-0.0018635i,-0.041871-0.013004i,-0.022249-0.023758i,-0.027522-0.035118i,-0.006981+0.0013833i,-0.024115-0.00085927i,-0.0022535+0.022609i,0.00084232+0.010057i,0.00030462-0.0019302i,0.0065621+0.0011393i,-0.0050073-0.0092436i,0.0027038+0.012692i,-0.0015174+0.0055029i,-6.4753e-05-0.003164i,0.0033164+0.0011648i,0.0041371-0.0013439i,-0.012286+0.016501i,-0.0051156+0.016887i,0.0014193+0.0035472i,0.012745+0.00034031i,0.0029797+0.0029598i,-0.0034073-0.011971i,0.001985-0.0033952i,0.039192-0.028665i,0.0022641+0.011888i,0.0035372+0.0022672i,-0.0042695-0.0016268i,0.0074112-0.0031922i,0.014924+0.015818i,0.0029734+0.0036752i,0.0034567-0.0064176i,0.0026634-0.0022095i,0.0098197+0.013284i,0.003962+0.0031095i,0.0062951-0.0042924i,0.00059122+0.010917i,0.00031621+0.001384i,0.0070765+0.005563i,-0.045771-0.02054i,-0.019683+0.01171i,0.0017615-0.0045373i,-0.0059222+0.0033168i,-0.039249+0.00063218i,-0.0056998+0.0079678i,-0.013235+0.012834i
