-0.033205-0.037626i,-0.021481-0.020494i,-0.013147-0.035735i,-0.030292-0.019724i,-0.021933+0.00040253i,-0.013697-0.0057209i,-0.055958-0.058378i,-0.047535-0.017052i,-0.039921-0.015384i,0.012333+0.011475i,-0.0075811+0.0049034i,-0.018945+0.019116i,0.002431+0.011061i,-0.0057283-0.0019417i,0.00012064+0.0013817i,-0.0016783+0.030792i,0.027501+0.023625i,0.0022327-0.0023228i,-0.0023669-0.0070047i,0.0069768+0.0019733i,0.0027945+0.0010345i,0.0007353+0.0047402i,-0.00030812+0.00020912i,-0.034577-0.0099841i,0.00041385-0.0078173i,0.0016108+0.0023311i,0.0068417+0.0011695i,0.0018169+0.00053502i,0.0010912-0.00036995i,-0.00053594-0.0026001i,0.0012553-0.0025547i,-0.0013213-0.0063261i,-0.00099789-0.0051107i,0.0029329-0.00072778i,0.0043853-0.002799i,0.00034205+0.029545i,0.0041797-0.0036434i,0.0029293-0.0016824i,0.0076264-0.0017608i,-0.0074056-0.0027113i,-0.00025275+0.0007797i,0.008104+6.193e-05i,0.0046442-0.0024093i,-0.0013006+0.0081827i,-0.017503-0.0075143i,-0.018431+0.015924i,-0.0039225-0.061584i,-0.0051665-0.027262i,-0.027176-0.031994i,-0.011487-0.026429i,0.055105-0.020959i,0.016537-0.043199i,0.022922-0.048422i,0.0044733-0.054174i,0.026631-0.021743i,0.0082832+0.0056965i,0.025859-0.034009i,-0.007311-0.0067084i,0.0037397-0.0051479i,-0.0049016-0.0072795i,-0.0012316-0.033108i,-0.017829+0.029984i,0.0088513-0.011765i,-0.0094275-0.0044394i,-0.0043384-0.0010867i,0.00091148-0.013176i,-0.011467+0.0043685i,0.002559+0.010234i,-0.0049534+0.026374i,0.0052661+0.00275i,-0.0056692-0.0019028i,-0.0020906-0.0021095i,-0.012631-0.0083907i,-0.00062248-0.0039979i,-0.028321+0.011421i,0.00078489-0.010886i,-0.008566-0.00056727i,-0.0069772-0.0025548i,0.0048927+0.0012347i,-0.0082309-0.00016855i,0.0022481+0.00036489i,0.0039667+0.0071908i,0.0043976+0.00049234i,-0.0075724-0.011192i,0.0030309+0.0093941i,-0.015359+0.0049457i,0.0070412-8.8316e-05i,-0.021996-0.00075094i,-0.017469+0.0064236i,-0.0059221-0.065615i,0.0077374-0.013423i,-0.049939-0.022409i,-0.021475+0.0010804i,0.01703+0.010868i,-0.023163+0.015465i,-0.018767-0.0041131i
-0.039971-0.033225i,-0.022927-0.011607i,-0.018131-0.036843i,-0.032479-0.017044i,-0.019873+0.00032782i,-0.015368-0.0029625i,-0.065766-0.047169i,-0.048559-0.0094411i,-0.03999-0.0062097i,0.011537+0.0069807i,-0.0093436+0.0047583i,-0.0086067+0.025978i,0.0065481+0.0081433i,-0.0083749+0.0012477i,0.00021692+0.0010485i,0.0058486+0.026561i,0.027081+0.013764i,0.0025637-0.0012752i,-0.004913-0.0028148i,0.0058769-0.00017762i,0.0012952+0.00075409i,0.00042146+0.0047702i,-0.00029237+0.00059388i,-0.021734+0.0082147i,-0.0019764-0.0068628i,0.0034612+0.000471i,0.0049322+0.0014318i,0.0024904+0.0012597i,0.0017312-0.0010943i,-0.0016105-0.0022169i,0.00078275-0.0033509i,-0.0023152-0.0054527i,-0.0021323-0.0046679i,0.0024513-0.002027i,0.0043124-0.0029916i,0.0097898+0.02552i,0.0035387-0.0050912i,0.0017256-0.0024639i,0.0087879-0.0048511i,-0.0046496-0.0023486i,0.00037604+0.0017392i,0.007894-0.00044806i,0.0033548-0.0025761i,-0.0015235+0.0087141i,-0.016242-0.0080162i,-0.0059415+0.018864i,-0.015593-0.059765i,-0.016381-0.030144i,-0.021421-0.021917i,-0.0080628-0.015683i,0.052296-0.04587i,0.015964-0.06143i,0.024662-0.048917i,-0.0053695-0.058002i,0.013888-0.017123i,0.0072575-0.0019537i,0.011168-0.03539i,-0.0077873+0.0001141i,-0.00061168-0.012978i,-0.0066533-0.0064892i,-0.023411-0.02935i,-0.0047162+0.026845i,0.0026488-0.014317i,-0.010171-0.00062773i,-0.0035485+0.00025511i,-0.005534-0.013078i,-0.011429+0.0097314i,0.0076743+0.010368i,0.01259+0.022145i,0.005436-0.0012447i,-0.0055574+0.0011176i,-0.0044311-0.0023654i,-0.01675-0.00012503i,-0.00095137-0.0027049i,-0.038115+0.014768i,-0.0048977-0.0085949i,-0.0076836+0.0033769i,-0.0081658+0.00098094i,0.0037549-0.0040225i,-0.0066207+0.0020893i,0.0033769-0.0026732i,0.0030996+0.0032734i,0.0031828-0.00062626i,-0.012937-0.0015726i,0.0049702+0.0061636i,-0.010081+0.0099525i,0.0058352-0.0031278i,-0.020047+0.0069122i,-0.015764+0.01122i,-0.016575-0.060085i,0.0030531-0.018024i,-0.055395-0.0074048i,-0.0156-0.0037592i,0.017785+0.0049582i,-0.017019+0.019941i,-0.026062-0.0056438i
-0.044136-0.026653i,-0.020298-0.010337i,-0.025064-0.038349i,-0.034582-0.01116i,-0.018934-0.00052586i,-0.01658-0.00021643i,-0.076839-0.03103i,-0.050246-0.00078029i,-0.039195+0.001105i,0.010542+0.0043368i,-0.0099304+0.0097404i,0.0020628+0.0238i,0.0074566+0.0037872i,-0.0087926+0.0048353i,0.0002674+0.00098538i,0.0099333+0.020259i,0.028922+0.0059634i,0.0036944-0.0020699i,-0.0040399-4.3004e-05i,0.0052839-0.0016379i,-0.00032353+0.0016628i,0.0018202+0.005539i,-0.00018911+0.00076888i,-0.011377+0.014715i,-0.0032748-0.0056898i,0.0033401-0.002027i,0.0048225-0.00014567i,0.0039403+0.00015887i,0.00065223-0.001616i,-0.0020319-0.0012508i,-0.00043129-0.0037868i,-0.004039-0.0043402i,-0.0035365-0.0039572i,0.0015451-0.0032798i,0.0043685-0.0065022i,0.015898+0.018682i,0.0013633-0.0058894i,0.00078996-0.0027484i,0.0068366-0.0093446i,-0.0048872-0.00092551i,0.0014425+0.0018251i,0.0068499-0.0035106i,0.0028198-0.0028018i,0.00072514+0.0099561i,-0.017343-0.0099409i,0.0043905+0.016036i,-0.025644-0.056482i,-0.026-0.021646i,-0.0096046-0.020695i,-0.0015528-0.018885i,0.042613-0.067157i,-0.0019186-0.076946i,0.028962-0.055873i,-0.016618-0.054531i,0.0095231-0.015942i,0.0045087-0.0047369i,-0.0041982-0.035479i,0.0021563-0.00043768i,-0.0089123-0.013431i,-0.0061325-0.00787i,-0.038781-0.015695i,0.0027923+0.024132i,-0.0039082-0.014203i,-0.0089493+0.0030657i,-0.0047329+0.00065822i,-0.011861-0.010494i,-0.0054454+0.015159i,0.014627+0.0038505i,0.020018+0.0095628i,0.0043156-0.0031421i,-0.004557+0.0015709i,-0.0060412-0.0005734i,-0.012873+0.010264i,-0.0044144-0.0022131i,-0.033608+0.027081i,-0.0065087-0.0040859i,-0.0055147+0.0064828i,-0.0076672+0.007263i,-0.0015861-0.0049337i,-0.006606+0.0032208i,0.0015837-0.0046075i,0.00072532+0.0026384i,0.002541-0.0023422i,-0.0080154+0.0040899i,0.0049422+0.0024975i,-0.0061337+0.010977i,0.0026485-0.0062867i,-0.015901+0.012158i,-0.010646+0.014311i,-0.022477-0.05413i,-0.0038831-0.017454i,-0.053061+0.0066737i,-0.021641-0.0098605i,0.016165-0.0017838i,-0.0074846+0.019252i,-0.028393-0.00020244i
-0.0465-0.020506i,-0.021511-0.011717i,-0.034112-0.038149i,-0.031836-0.0059463i,-0.01951-0.0013708i,-0.016373+0.0036359i,-0.078288-0.0046788i,-0.049255+0.011283i,-0.037014+0.0099303i,0.010204+0.0027685i,-0.005526+0.013564i,0.0071977+0.018334i,0.0064004+0.00039573i,-0.0087322+0.0081413i,7.7842e-06+0.00083502i,0.010286+0.012764i,0.028535-0.0071598i,0.003103-0.0042956i,-0.0038236+0.0024091i,0.0037673-0.0027081i,0.00093312+0.0037069i,0.0044463+0.005093i,-0.0001526+0.001165i,0.00097617+0.020042i,-0.0044416-0.0044624i,0.0015302-0.0033356i,0.0053263-0.0014652i,0.0029873-0.0015914i,0.00037546-0.0011293i,-0.0026278-0.00020809i,-0.0018601-0.0037544i,-0.004787-0.0024393i,-0.0046267-0.0026222i,0.00032631-0.00397i,0.00024014-0.0077699i,0.017121+0.011699i,-0.00074566-0.006371i,-1.4476e-05-0.0027769i,0.0021307-0.010971i,-0.002648+0.00067794i,0.0023493+0.0012328i,0.0036132-0.0047759i,0.001902-0.0031089i,0.0038796+0.0087645i,-0.017723-0.011137i,0.013185+0.0094284i,-0.034712-0.049397i,-0.026572-0.0099736i,-0.0055996-0.024372i,-0.00048687-0.020654i,0.022469-0.088042i,-0.025016-0.078072i,0.024493-0.073859i,-0.023647-0.049938i,0.0060069-0.013711i,0.00086866-0.0073455i,-0.013474-0.032143i,0.0011211-0.009469i,-0.012442-0.0086048i,-0.011767-0.011099i,-0.043799+0.0045893i,0.012374+0.017566i,-0.009729-0.012698i,-0.0060036+0.0040307i,-0.0047256+0.0032863i,-0.016459-0.0048095i,0.0029784+0.013459i,0.016414-0.004418i,0.016415-0.0035747i,0.0028774-0.0052164i,-0.0053895+0.0016164i,-0.0064955+0.002925i,-0.007287+0.016212i,-0.0057517+0.0016425i,-0.023648+0.035243i,-0.0066756-0.0019013i,-0.0012731+0.0075147i,-0.0015429+0.012172i,-0.0060084-0.0021727i,-0.0040442+0.0044357i,-0.00016879-0.0052418i,-8.2763e-05+0.0032803i,0.00010981-0.0040874i,-0.0045176+0.0027947i,0.0015689-0.00063148i,-0.0039189+0.013749i,-0.0020535-0.005101i,-0.0095774+0.015771i,-0.0060801+0.013284i,-0.029471-0.050125i,-0.0030733-0.013879i,-0.046221+0.021132i,-0.029291-0.0062584i,0.014117-0.0068977i,0.0005405+0.01421i,-0.027107+0.0053974i
-0.048705-0.013882i,-0.025564-0.009806i,-0.046529-0.034231i,-0.029129-0.004131i,-0.022203-0.0011972i,-0.014785+0.0072574i,-0.06346+0.012559i,-0.041805+0.020866i,-0.030432+0.016383i,0.010372+0.00072301i,-0.00039836+0.012771i,0.01014+0.014746i,0.0039973-0.0013747i,-0.0052912+0.013122i,-0.00013851+0.00070418i,0.0079333+0.010847i,0.017719-0.017792i,0.0014691-0.0049664i,-0.0010865+0.0063114i,0.0024941-0.0031572i,0.002686+0.0056683i,0.0057506+0.0026834i,0.00016921+0.0017405i,0.012901+0.020236i,-0.0054036-0.0022733i,4.5085e-05-0.0032376i,0.0036215-0.0035133i,0.00252-0.0016811i,0.00026086-0.00090348i,-0.002193+0.0012733i,-0.0030276-0.0030116i,-0.0049643-0.00048959i,-0.0045481-0.001008i,-0.0017064-0.0036088i,-0.0019318-0.0062675i,0.018734+0.0070556i,-0.002702-0.0054626i,-0.0013826-0.0025926i,-0.0022254-0.0092425i,-0.0019926-0.0013003i,0.0026529+0.00027067i,0.0013698-0.0035483i,0.0016885-0.0030824i,0.0047989+0.0071962i,-0.022251-0.014426i,0.019171-0.0020082i,-0.038197-0.040805i,-0.021482-0.0010619i,-0.0036111-0.02976i,0.0013574-0.021637i,-0.0099191-0.098297i,-0.043842-0.069492i,0.0038363-0.08528i,-0.032989-0.042125i,0.0051781-0.010195i,-0.0029321-0.0074048i,-0.023768-0.023449i,-0.0054828-0.012001i,-0.014842-0.0063747i,-0.021703-0.0061351i,-0.036636+0.020598i,0.0148+0.007154i,-0.015518-0.0072873i,-0.0048181+0.0050239i,-0.0034497+0.0055312i,-0.017482+0.0047203i,0.0040105+0.0084378i,0.014663-0.010877i,0.032531-0.017276i,0.00059975-0.0067462i,-0.0068158+0.0043319i,-0.0039189+0.0060339i,0.00087613+0.018696i,-0.0048155+0.005143i,-0.014991+0.043146i,-0.0077452-0.00058681i,0.00077689+0.0051815i,0.0050731+0.010952i,-0.0086259+0.0024176i,-0.0030987+0.0016488i,-0.0030868-0.0057037i,9.0883e-05+0.0051584i,-0.0038092-0.003387i,-0.0055314+0.0010087i,-0.0012752+0.00063802i,0.002611+0.016114i,-0.0043021-0.0033445i,-0.001895+0.016579i,-0.0045098+0.013092i,-0.038963-0.045878i,0.0015339-0.019259i,-0.034478+0.03635i,-0.031942+0.0038577i,0.010319-0.011036i,0.0021151+0.0063139i,-0.023703+0.0083276i
-0.049433-0.0072571i,-0.025846-0.0068442i,-0.057763-0.022617i,-0.028831-0.0034422i,-0.026211+0.0019049i,-0.010959+0.0097122i,-0.049348+0.018203i,-0.033307+0.025801i,-0.024156+0.018592i,0.0095931-0.0011907i,0.0018343+0.011744i,0.01275+0.0089479i,0.0015057-0.0018644i,0.0030622+0.013703i,-0.00049522+0.00079171i,0.0078683+0.010734i,0.005607-0.017963i,0.0012878-0.0049908i,0.0035212+0.0060822i,0.0010676-0.0031502i,0.0063958+0.0034369i,0.0053489+0.00056805i,0.0013161+0.0020341i,0.023902+0.0046038i,-0.0041568+7.1413e-05i,-0.0010341-0.0029115i,0.00069489-0.001627i,0.0023851-0.0033156i,9.247e-06-0.0011271i,-0.00050186+0.0023161i,-0.0033418-0.0018895i,-0.0045956+0.00075263i,-0.0053263+0.00079359i,-0.0022414-0.0017628i,-0.0027976-0.0051572i,0.019848+0.00044804i,-0.0042548-0.0041247i,-0.0030046-0.0021479i,-0.005412-0.0070667i,-0.0043264-0.0019531i,0.0028103-3.2012e-05i,0.00037181-0.0024855i,0.00055174-0.0033881i,0.0054659+0.006096i,-0.030139-0.012739i,0.01064-0.017121i,-0.036531-0.034676i,-0.015873+0.004145i,-0.0051444-0.033163i,0.0044546-0.027481i,-0.042083-0.087381i,-0.060068-0.054075i,-0.015344-0.083752i,-0.032807-0.026605i,0.010509-0.0053035i,-0.0053513-0.0056961i,-0.02627-0.0088391i,-0.010757-0.012071i,-0.019587-0.0018238i,-0.020612+0.003695i,-0.02672+0.033342i,0.011903-0.00013506i,-0.014288+0.0020038i,-0.0047518+0.0054198i,0.00059678+0.0077744i,-0.011759+0.011311i,0.0058637+0.0094534i,0.010481-0.022665i,0.0086435-0.025786i,-0.0048897-0.0091783i,-0.0063246+0.0082582i,-0.0022996+0.0063386i,0.0086182+0.016901i,-0.0014061+0.0076705i,0.0036347+0.05566i,-0.0087409+0.0010594i,0.00051113+0.0050753i,0.009083+0.0059859i,-0.005603+0.0085984i,-0.0048104+0.0033642i,-0.0072578-0.0040516i,0.0035434+0.0055957i,-0.0050982+0.0024377i,-0.0076917+0.0012277i,1.2452e-05+0.0049547i,0.0073462+0.011625i,-0.0065123-0.0022724i,0.0029227+0.011871i,-0.00060495+0.014119i,-0.043593-0.035652i,-0.0077115-0.031842i,-0.010063+0.039037i,-0.027216+0.01158i,0.0060863-0.01302i,0.0010334+0.00014086i,-0.021206+0.011577i
-0.050138-0.00078862i,-0.030263-0.0061451i,-0.06478-0.0076532i,-0.028449-0.00044021i,-0.028407+0.0086398i,-0.0075258+0.0098244i,-0.039119+0.019139i,-0.025819+0.027393i,-0.021066+0.020543i,0.0093643-0.0040436i,0.0061401+0.010941i,0.0099002+0.00077008i,-0.00094962-0.00027835i,0.0084644+0.0073636i,-0.00059319+0.0010657i,0.0088929+0.010877i,-0.0022672-0.013574i,-0.00035467-0.005783i,0.0051802+0.0024025i,0.00032253-0.0024528i,0.0068222+0.00031129i,0.0056732-0.00034143i,0.0024113+0.0014778i,0.020566-0.0090522i,-0.0020943+8.3271e-05i,-0.0018291-0.0017458i,0.0020322-0.002997i,0.0012686-0.0045787i,-0.00029194-0.00046404i,0.00075559+0.0015774i,-0.0034348-0.00084985i,-0.0037861+0.0023956i,-0.0037666+0.0026581i,-0.0021873-0.0011117i,-0.0045405-0.0044722i,0.01794-0.0057477i,-0.0046572-0.0018787i,-0.0034302-0.00035071i,-0.006695-0.001905i,-0.0069888+0.0010397i,0.0023419-0.0014825i,0.0012097-0.0033153i,-0.00018307-0.0033265i,0.0061905+0.0033689i,-0.036164-0.0062765i,-0.0022861-0.015596i,-0.037641-0.036779i,-0.0040809+0.0071764i,-0.006931-0.03529i,-0.00301-0.037011i,-0.060449-0.06975i,-0.062501-0.032039i,-0.037568-0.078544i,-0.025842-0.020865i,0.016919-0.017236i,-0.0061998-0.0032839i,-0.020523-0.0026534i,-0.020748-0.0085204i,-0.017068+0.0077247i,-0.017256+0.0074996i,-0.0064464+0.037668i,0.0095966-0.0037172i,-0.012384+0.0041465i,-0.0018921+0.0049859i,0.0029683+0.0048254i,-0.0051535+0.015261i,0.010878+0.0064513i,-0.0057773-0.026489i,-0.0097795-0.023604i,-0.00865-0.0024115i,-0.0020781+0.010746i,0.0010839+0.0063334i,0.01564+0.0096173i,0.0019395+0.0066653i,0.030325+0.052966i,-0.0063108+0.0050584i,0.0011285+0.0045163i,0.0095888+0.00074112i,0.0010689+0.010626i,-0.0075357+0.0046413i,-0.0096247+0.0024279i,0.0065364+0.004854i,-0.0022873+0.0060771i,-0.0093101+0.0043562i,0.0027134+0.0047409i,0.0088553+0.007302i,-0.0064302+0.00048301i,0.0058338+0.007359i,0.0036736+0.011455i,-0.044977-0.031246i,-0.027482-0.030152i,0.0060457+0.027728i,-0.02311+0.015897i,-0.0040093-0.025906i,-0.0034153-0.0036664i,-0.013869+0.011229i
-0.049679+0.0063681i,-0.034541+0.0016195i,-0.064959+0.010133i,-0.02626+0.0010047i,-0.025182+0.016063i,-0.0056806+0.009166i,-0.032145+0.017875i,-0.019872+0.027788i,-0.015905+0.024266i,0.0079687-0.0070822i,0.0094925+0.0052301i,0.0054751+0.0013336i,-0.0010563+0.0022419i,0.0067911+0.0026753i,-0.00055178+0.0011911i,0.012151+0.0093865i,-0.0058368-0.0072891i,-0.0032759-0.0047663i,0.0037507+0.0010408i,-3.7886e-05-0.0019932i,0.0049355-0.0013409i,0.0052733-0.0020707i,0.0028776+0.00043534i,0.011919-0.016383i,-0.0024532-0.0006999i,-0.0015982-0.0012286i,0.0011658-0.0041246i,-0.00058183-0.0035894i,0.00065747-0.00042845i,0.00077256+0.00069194i,-0.003631+0.00010557i,-0.0021301+0.0035302i,-0.001918+0.0037348i,-0.0024711-0.00082507i,-0.0055771-0.00098157i,0.014791-0.011109i,-0.0034918-0.00062623i,-0.002392+0.0012118i,-0.0054759-0.0019107i,-0.0053982+0.0046889i,0.001401-0.0017539i,0.0012356-0.0033469i,-0.0014554-0.0031315i,0.0048174+0.00075778i,-0.038641+0.0033512i,-0.0033527-0.0060294i,-0.033438-0.033247i,0.006024+0.0015838i,-0.010535-0.039374i,-0.011644-0.035269i,-0.075379-0.050895i,-0.054047-0.017078i,-0.058922-0.060187i,-0.02148-0.021771i,0.01088-0.028556i,-0.0061779-0.0023904i,-0.016012+0.00039492i,-0.027554+0.0034203i,-0.012283+0.011748i,-0.012392+0.012369i,0.011143+0.029358i,0.0063594-0.0081745i,-0.012587+0.0068873i,-0.001553+0.002663i,0.0047598+0.0038112i,0.0027377+0.012742i,0.011681-0.00098925i,-0.020228-0.016891i,-0.019441-0.010332i,-0.0050202+0.0029859i,0.0040477+0.010717i,0.0031747+0.0049803i,0.017938+0.002154i,0.0065227+0.0056703i,0.047831+0.034333i,-0.0042437+0.004167i,0.0015571+0.0053312i,0.0071222-0.0041618i,0.006925+0.006698i,-0.0077384+0.012984i,-0.0067779+0.0091563i,0.00901+0.00082274i,0.0031303+0.0059302i,-0.0096417+0.0089504i,0.0039474+0.0026909i,0.0093238+0.004443i,-0.0069049+0.0024217i,0.005878+0.0025991i,0.0049992+0.0083593i,-0.048424-0.022151i,-0.035821-0.012832i,0.01159+0.012655i,-0.010329+0.020405i,-0.014016-0.025652i,-0.011451-0.0031047i,-0.013987+0.0060571i
-0.048348+0.013585i,-0.032332+0.010976i,-0.057503+0.026326i,-0.026881+0.001599i,-0.020367+0.020151i,-0.0040818+0.0086878i,-0.02814+0.015014i,-0.015561+0.027257i,-0.0085224+0.026102i,0.004456-0.010117i,0.0061812+0.00077729i,0.0052276+0.0035872i,0.00051813+0.0038575i,0.0043826+4.393e-05i,-0.00058828+0.0015738i,0.014423+0.0054635i,-0.0047772-0.0023926i,-0.0039877-0.0022182i,0.0037279+0.0011052i,-0.00021759-0.0016019i,0.0048885-0.00075778i,0.0036587-0.0032183i,0.0030016-0.00047505i,0.003663-0.016761i,-0.0032706-0.00014977i,-0.0016509-0.0012591i,-0.00062862-0.0046553i,-0.001592-0.0032406i,0.00037762-0.0012439i,0.00091951+0.00029517i,-0.0033968+0.0012719i,-0.00044759+0.0036496i,-0.00058984+0.0030759i,-0.0024627+0.00042922i,-0.0045311+4.7654e-05i,0.0090608-0.015034i,-0.002557-0.00014711i,-0.0011185+0.0015864i,-0.0066236-0.00048641i,-0.003231+0.0057697i,0.00072099-0.0016571i,0.00038629-0.0036325i,-0.0020717-0.0022161i,0.0022257+0.00031788i,-0.037517+0.013577i,0.0060073-0.0016957i,-0.043844-0.02648i,0.011315-0.0067215i,-0.016631-0.039291i,-0.016469-0.03318i,-0.082723-0.026393i,-0.047871-0.011413i,-0.060107-0.033045i,-0.021052-0.022986i,0.00092338-0.035081i,-0.0070253-0.0016803i,-0.013717-0.0019848i,-0.021574+0.017737i,-0.0072292+0.013661i,-0.0025752+0.011795i,0.016149+0.015197i,0.0025411-0.006276i,-0.0086305+0.012405i,-0.0030718+0.0028339i,0.0055567-6.7123e-05i,0.0061113+0.0080352i,0.0059881-0.0037037i,-0.024773-0.0026914i,-0.019912+0.0029223i,-0.0018015+0.0030382i,0.0073008+0.0088362i,0.0030399+0.0031259i,0.014569-0.0081426i,0.0071368-0.00020659i,0.055488+0.010553i,-0.0054134+0.0066628i,0.0039481+0.0039874i,0.0020991-0.0057378i,0.0078607+0.00252i,-0.001002+0.018264i,0.00082705+0.0089904i,0.0075746-0.0029661i,0.0051756+0.0018961i,-0.0025563+0.015683i,0.0027226+0.0031318i,0.0094522+0.0020198i,-0.0076358+0.004596i,0.00099627+0.00010279i,0.0052168+0.0067705i,-0.034442-0.020013i,-0.030881-0.00054011i,0.0078797+0.0020303i,-0.0016553+0.013239i,-0.025991-0.020606i,-0.013296+0.006311i,-0.016438+0.0085452i
-0.045877+0.020324i,-0.02687+0.016262i,-0.045597+0.036819i,-0.029116+0.0041986i,-0.014828+0.022612i,-0.0027601+0.0084389i,-0.028083+0.012775i,-0.012367+0.027816i,-0.0019554+0.024507i,-0.0010246-0.0096909i,0.0028529+0.0011513i,0.0066004+0.0031912i,0.0026587+0.0035739i,0.0019529-0.00030531i,-9.0075e-05+0.0019824i,0.013597-5.5338e-05i,-0.0030208-0.001191i,-0.0031653-0.00067357i,0.0041673-0.00024925i,-0.00023577-0.001237i,0.0055971-0.0026803i,0.0020302-0.0029276i,0.0028077-0.0013235i,-0.0014885-0.01491i,-0.0030793+0.00098993i,-0.0018281-0.00054986i,-0.0024836-0.0041438i,-0.0024566-0.0025434i,-0.00011798-0.0016881i,0.00084082-0.00029753i,-0.0029164+0.0026969i,0.00096438+0.0024936i,0.00051793+0.0025294i,-0.0017039+0.00095972i,-0.0044623+0.0015046i,0.0016653-0.012912i,-0.0024498-0.00064992i,-6.7345e-05+0.0013829i,-0.0054408+0.0023439i,-0.00079208+0.0064767i,0.00033981-0.0015554i,0.00038187-0.0029865i,-0.0024639-0.0018168i,0.0020941+0.0024303i,-0.031148+0.022071i,0.017013-0.010162i,-0.051313-0.018182i,0.011659-0.015441i,-0.01754-0.038236i,-0.022685-0.030876i,-0.07748-0.0048432i,-0.043401-0.0051699i,-0.05011-0.019238i,-0.02165-0.024933i,-0.011501-0.036111i,-0.0073766+0.00018605i,-0.016883-0.0034555i,-0.011121+0.022724i,-0.001312+0.012348i,0.0020166+0.0040011i,0.011892+0.0047986i,-0.0024058-0.011245i,-0.0027176+0.013885i,-0.0032942+0.0045451i,0.0029677-0.0030693i,0.0060626+0.0039047i,0.0040774-0.0017691i,-0.020479+0.0096999i,-0.014293+0.01034i,-0.0015145+0.0032873i,0.010537+0.0058235i,0.0026531+0.0025205i,0.0059972-0.013308i,0.0041821-0.0031515i,0.052917-0.011i,-0.0026608+0.010152i,0.0038036+0.0024316i,-0.0014018-0.0042361i,0.0077489+0.00047288i,0.0072842+0.018627i,0.0029537+0.0056963i,0.0055736-0.0045929i,0.0043064-0.00046374i,0.007113+0.014266i,0.0037603+0.0024396i,0.0094478-0.0014035i,-0.0050285+0.0096569i,-0.00024225+0.0013902i,0.0055504+0.0059666i,-0.038998-0.018733i,-0.0229+0.0042161i,0.0041217-0.0021882i,-0.0023601+0.0052053i,-0.034877-0.010014i,-0.0082609+0.0087816i,-0.014719+0.011026i
-0.04168+0.026783i,-0.021227+0.018799i,-0.032187+0.041861i,-0.029092+0.009544i,-0.008825+0.022826i,-0.0015361+0.0080195i,-0.029084+0.01376i,-0.0082064+0.028972i,0.0030072+0.022326i,-0.0035282-0.0076659i,0.0020345+0.0023517i,0.0078745+0.0014143i,0.0047046+0.0020901i,-0.0001009+0.0012778i,0.00027101+0.0019941i,0.010387-0.0031122i,-0.003425-0.0017927i,-0.002792-1.2309e-05i,0.0034192-0.0010427i,-0.00016657-0.00092177i,0.0044444-0.0042589i,0.0019785-0.0023493i,0.0022608-0.0020346i,-0.0063179-0.013234i,-0.0026443+0.0021541i,-0.0016354-7.6976e-05i,-0.0038842-0.0027201i,-0.0028053-0.0012685i,-0.00061303-0.0022073i,0.00024908-0.00071455i,-0.0019505+0.0038933i,0.0010908+0.0014896i,0.00136+0.0018064i,-0.00094365+0.00087653i,-0.0035987+0.0025192i,-0.00063152-0.0091643i,-0.0024527-8.7842e-05i,0.00065059+0.00062204i,-0.002806+0.0031034i,0.0021943+0.0059999i,-3.7777e-05-0.0015073i,0.00046671-0.0027005i,-0.0030446-0.0010769i,0.0034678+0.0016658i,-0.02338+0.025828i,0.016287-0.025771i,-0.05443-0.006884i,0.011032-0.022883i,-0.019496-0.043368i,-0.027215-0.025518i,-0.069803+0.0094118i,-0.039046-0.0021245i,-0.042868-0.011523i,-0.025183-0.024854i,-0.025348-0.033648i,-0.0071559+0.0016501i,-0.023868-0.0006722i,-0.0012293+0.022726i,0.0015172+0.01022i,0.00020623-0.0017851i,0.0066905+0.0012616i,-0.0086043-0.011453i,0.0023854+0.012606i,-0.001695+0.0054336i,-0.00024431-0.0032602i,0.003395+0.0011341i,0.0040925-0.0011899i,-0.012297+0.015766i,-0.005444+0.015964i,0.0013203+0.0034853i,0.012824+0.00025094i,0.0027356+0.0027801i,-0.002065-0.011925i,0.0018322-0.0037175i,0.038559-0.031299i,0.0024038+0.011823i,0.0039962+0.0022283i,-0.003989-0.0016372i,0.0075695-0.0032594i,0.015186+0.01478i,0.0026946+0.0036099i,0.0034052-0.0062786i,0.0027234-0.0022246i,0.012271+0.011868i,0.0040734+0.0026023i,0.0061384-0.0043433i,0.00089663+0.010778i,0.00021455+0.0010226i,0.0074252+0.0053663i,-0.042663-0.015997i,-0.018892+0.007534i,0.001106-0.0047303i,-0.0059215+0.0036783i,-0.036736+0.0017822i,-0.0060441+0.0079672i,-0.011686+0.012775i
