-0.031614-0.038072i,-0.021278-0.019754i,-0.012954-0.035962i,-0.029788-0.020319i,-0.021927-0.0002723i,-0.01365-0.0058063i,-0.05574-0.058239i,-0.047018-0.017283i,-0.038414-0.016193i,0.012189+0.010984i,-0.0079189+0.0049337i,-0.020132+0.019191i,0.0024336+0.011904i,-0.0061682-0.0028185i,0.00017071+0.0012836i,-0.0022606+0.03069i,0.023782+0.026693i,0.0024929-0.0021588i,-0.0026013-0.007027i,0.0091691+0.0029481i,0.0026014+0.00077626i,0.00019069+0.0033385i,-0.0003478+0.00022813i,-0.03799-0.0085378i,-0.00013211-0.0090098i,0.0011465+0.0021928i,0.006056+0.00066172i,0.0021784+0.00065719i,0.00094415-0.00037546i,-0.00049057-0.0026023i,0.0014562-0.0023505i,-0.0020371-0.006194i,-0.00075032-0.0048288i,0.0030056-0.00054647i,0.0040652-0.0032584i,0.00022987+0.029847i,0.0039573-0.0039201i,0.0029423-0.0014005i,0.0075571-0.001554i,-0.0060141-0.0029048i,-0.00020727+0.0008578i,0.0071349+0.001726i,0.0046029-0.0020411i,-0.0020422+0.0080778i,-0.018562-0.0075176i,-0.019199+0.015596i,-0.0030702-0.061363i,-0.0044909-0.026883i,-0.026147-0.032933i,-0.010947-0.026779i,0.055067-0.020241i,0.017382-0.042434i,0.023178-0.048475i,0.0062578-0.054716i,0.026586-0.021548i,0.008302+0.0061398i,0.024134-0.034177i,-0.0092787-0.0067809i,0.0033874-0.004451i,-0.0046373-0.0072085i,-0.0016424-0.033391i,-0.019745+0.029452i,0.0084723-0.011674i,-0.0090855-0.0033187i,-0.004187-0.0014699i,0.00135-0.012674i,-0.01133+0.0048408i,0.0025245+0.010224i,-0.005356+0.026544i,0.0048593+0.0028743i,-0.0047624-0.0017765i,-0.0022208-0.0021498i,-0.011956-0.0074666i,-0.00046734-0.0044894i,-0.030659+0.0044646i,0.0012724-0.010542i,-0.0083986+0.00010835i,-0.0069371-0.0022372i,0.0054446+0.0017895i,-0.0079929+1.7908e-05i,0.002154+0.00019537i,0.0041564+0.0073314i,0.0044+0.00040429i,-0.0091538-0.012451i,0.0031368+0.0095285i,-0.015015+0.0037222i,0.0066704-4.7172e-05i,-0.022698-0.00090947i,-0.017605+0.0058594i,-0.0084571-0.066946i,0.0084857-0.012585i,-0.049287-0.023473i,-0.020335-0.00038843i,0.01729+0.012123i,-0.023214+0.015012i,-0.019954-0.0058281i
-0.038335-0.033914i,-0.022517-0.011287i,-0.017823-0.037164i,-0.031707-0.017736i,-0.019379+2.1049e-05i,-0.015544-0.0031902i,-0.064933-0.04706i,-0.048328-0.009348i,-0.039382-0.0077652i,0.011282+0.0073034i,-0.0096248+0.0048311i,-0.0098738+0.026334i,0.0065153+0.0086451i,-0.0093552+0.00053936i,0.00029207+0.00099765i,0.0049587+0.02668i,0.025183+0.016635i,0.0027519-0.0010796i,-0.0052468-0.0030543i,0.010271-0.0015322i,0.00088666+0.00064013i,0.00084684+0.0038078i,-0.00038867+0.0005943i,-0.023751+0.010615i,-0.0024557-0.0075514i,0.0032811+0.00013485i,0.0044258+0.0016824i,0.0028209+0.0012641i,0.0015735-0.0010061i,-0.0015435-0.0023463i,0.0011033-0.0032697i,-0.0028814-0.0050842i,-0.0019292-0.0046899i,0.0025602-0.0017299i,0.0039176-0.0029831i,0.010297+0.026017i,0.0032278-0.0056187i,0.0018224-0.0020955i,0.0083665-0.0042624i,-0.0040163-0.0020638i,0.00033767+0.001838i,0.0083144+0.00079356i,0.0034645-0.0025673i,-0.002463+0.0086735i,-0.017201-0.0076303i,-0.0067046+0.018979i,-0.014396-0.060515i,-0.015404-0.029544i,-0.020451-0.022266i,-0.0077009-0.016023i,0.052396-0.045187i,0.017347-0.061601i,0.024611-0.04825i,-0.0044237-0.05863i,0.013885-0.017629i,0.0072768-0.0017832i,0.010536-0.0385i,-0.0079478-0.00023282i,-0.00060809-0.013258i,-0.0060839-0.0062364i,-0.023691-0.029824i,-0.0065247+0.02684i,0.0026107-0.014755i,-0.010475+0.00098418i,-0.0034165+0.00015319i,-0.0052319-0.012922i,-0.011723+0.0097707i,0.0077774+0.010731i,0.011073+0.022715i,0.0051016-0.001223i,-0.0047645+0.0010039i,-0.0047559-0.0023694i,-0.015274+0.0016102i,-0.00091436-0.0030768i,-0.03524+0.009723i,-0.0047753-0.0084995i,-0.0075924+0.0031399i,-0.0085212+0.0013946i,0.0040839-0.0038559i,-0.0068845+0.0021653i,0.0032351-0.0032596i,0.0025673+0.0031974i,0.0035898-0.00064372i,-0.014418-0.0058359i,0.005154+0.0058443i,-0.0098686+0.0090281i,0.0057337-0.002834i,-0.021099+0.007923i,-0.016267+0.010499i,-0.019423-0.064367i,0.0033925-0.017322i,-0.054789-0.0074156i,-0.014984-0.0045656i,0.017473+0.0062992i,-0.016119+0.019996i,-0.027545-0.008197i
-0.043001-0.028046i,-0.019991-0.0099083i,-0.024393-0.038785i,-0.033749-0.012197i,-0.018957-0.00062496i,-0.016639-0.0003792i,-0.0758-0.031091i,-0.049827-0.00076902i,-0.039783-0.0004062i,0.010792+0.0046744i,-0.0099645+0.0099022i,0.0013604+0.02437i,0.0075064+0.0041146i,-0.0090887+0.0038842i,0.00032309+0.00098937i,0.0096308+0.020542i,0.028645+0.0096415i,0.0039918-0.001755i,-0.0041944-2.5039e-05i,0.0048227-0.0034i,-0.00058873+0.0017167i,0.0020798+0.0047705i,-0.00025853+0.00085164i,-0.012476+0.016417i,-0.0036334-0.0057068i,0.0029205-0.0022467i,0.0047407+0.00017887i,0.0043173+0.00057228i,0.00050903-0.0016101i,-0.0019909-0.0013268i,-0.00015922-0.0037319i,-0.0044096-0.0040378i,-0.0033241-0.0040455i,0.0017304-0.0030691i,0.0040559-0.0063787i,0.017626+0.018431i,0.0016287-0.0062973i,0.00076313-0.0025354i,0.0068063-0.0087182i,-0.0041918-0.00079867i,0.0013054+0.0021247i,0.0074669-0.0031197i,0.0029673-0.0029335i,-0.00028189+0.010205i,-0.018117-0.0091314i,0.0038162+0.016576i,-0.024792-0.05718i,-0.024074-0.021874i,-0.0094304-0.020728i,-0.00080137-0.019208i,0.043296-0.066124i,-0.00073059-0.077319i,0.029471-0.055225i,-0.015827-0.054769i,0.0099537-0.016106i,0.004556-0.0048648i,-0.0001023-0.040212i,0.0022528-0.00061841i,-0.0094068-0.012397i,-0.0058251-0.0081753i,-0.038651-0.017461i,0.0019375+0.024279i,-0.0039648-0.014848i,-0.0079349+0.0028879i,-0.0050072+0.00077504i,-0.011888-0.010812i,-0.0054021+0.015743i,0.01443+0.0042989i,0.019238+0.010914i,0.004157-0.0035531i,-0.0039896+0.001311i,-0.0063578-0.00076748i,-0.012851+0.010636i,-0.0044285-0.0024412i,-0.032197+0.022989i,-0.0064048-0.004122i,-0.0055856+0.0066365i,-0.008362+0.0074965i,-0.0018219-0.0052142i,-0.006568+0.0027908i,0.001064-0.004757i,0.00076155+0.0025604i,0.0028085-0.002641i,-0.0090136+0.0019678i,0.0049714+0.0020365i,-0.0054774+0.010133i,0.0032144-0.0062343i,-0.016152+0.013774i,-0.01142+0.014186i,-0.026728-0.060312i,-0.0030876-0.016763i,-0.052376+0.0056985i,-0.021302-0.0097644i,0.016326-0.00070363i,-0.0065539+0.019259i,-0.030169-0.0026421i
-0.046245-0.021894i,-0.020862-0.011046i,-0.03406-0.039451i,-0.03114-0.0072217i,-0.01976-0.0012273i,-0.016355+0.0034346i,-0.077088-0.0048821i,-0.048798+0.011253i,-0.038577+0.0095785i,0.010298+0.0028151i,-0.0052973+0.013727i,0.0065134+0.018852i,0.0064609+0.00056918i,-0.010111+0.0076341i,4.1237e-06+0.00090717i,0.010335+0.013079i,0.030268-0.0049319i,0.0032463-0.0039045i,-0.0040545+0.0025304i,0.0036411-0.0034161i,0.00067271+0.0037905i,0.0043747+0.0048309i,-0.00012127+0.0011876i,0.00099501+0.022615i,-0.0044767-0.0044101i,0.0013115-0.0032899i,0.0053686-0.0012736i,0.0039511-0.0014212i,0.00020935-0.00108i,-0.0025548-0.00032172i,-0.0015757-0.0035486i,-0.0052378-0.0025526i,-0.0043665-0.002672i,0.00043768-0.0038624i,-8.6369e-05-0.0074019i,0.018153+0.010914i,-0.00071474-0.0065734i,3.694e-05-0.0027149i,0.0015469-0.010508i,-0.0024889+0.00066212i,0.0023419+0.0016286i,0.0042347-0.0047574i,0.002126-0.0032888i,0.0031906+0.0095224i,-0.018111-0.010296i,0.01305+0.010412i,-0.033667-0.050289i,-0.024746-0.011239i,-0.0056911-0.024589i,0.00034299-0.021209i,0.023782-0.087991i,-0.024232-0.07809i,0.025024-0.073485i,-0.0228-0.050327i,0.0062307-0.014029i,0.00093407-0.0075165i,-0.013649-0.035418i,0.0014294-0.0097596i,-0.012255-0.0077798i,-0.01154-0.011354i,-0.043595+0.0027781i,0.011801+0.018318i,-0.0095965-0.012873i,-0.0061368+0.0039487i,-0.004847+0.0033985i,-0.016944-0.0050084i,0.0031739+0.013344i,0.016464-0.0037977i,0.016344+0.00058308i,0.0029689-0.0054966i,-0.0047693+0.00164i,-0.0066371+0.0026648i,-0.0075274+0.017681i,-0.0058519+0.0014028i,-0.024701+0.030431i,-0.0068323-0.0019337i,-0.0013312+0.007571i,-0.0021178+0.012112i,-0.0061256-0.00166i,-0.0042611+0.0041524i,-0.00070278-0.0049571i,0.00018495+0.0033908i,-0.00015405-0.0039686i,-0.0044471+0.0016572i,0.0012947-0.0010753i,-0.002265+0.011279i,-0.0015084-0.0062812i,-0.0093531+0.017163i,-0.0065806+0.013537i,-0.030926-0.057728i,-0.0020285-0.013926i,-0.046841+0.02029i,-0.028868-0.0062267i,0.014516-0.006212i,0.0014407+0.014317i,-0.028284+0.0036784i
-0.049186-0.01482i,-0.024575-0.0092637i,-0.04731-0.035374i,-0.028883-0.005385i,-0.02245-0.0011946i,-0.014884+0.0070957i,-0.062604+0.012057i,-0.041274+0.020919i,-0.030485+0.017004i,0.010818+0.0011986i,-0.00021104+0.012565i,0.010369+0.015377i,0.0040075-0.0012328i,-0.0058211+0.013317i,-0.00015173+0.00076313i,0.0079823+0.011071i,0.019764-0.017378i,0.0013909-0.0047003i,-0.0011472+0.006647i,0.0025676-0.0033566i,0.002663+0.0056384i,0.0055298+0.0024768i,0.00014077+0.0017876i,0.014355+0.017862i,-0.0052624-0.002303i,0.00011609-0.0033713i,0.0036042-0.0035004i,0.0033133-0.0022466i,0.00018049-0.00085859i,-0.0021794+0.0011316i,-0.0028311-0.0026409i,-0.0054356-0.00042337i,-0.0044366-0.0012763i,-0.0015907-0.0035867i,-0.0019933-0.0060054i,0.018903+0.00665i,-0.0027042-0.0056477i,-0.00131-0.0026929i,-0.0028186-0.0085268i,-0.0022253-0.0013044i,0.0026009+0.00043325i,0.0021447-0.0038602i,0.0017169-0.0032249i,0.0045991+0.0075026i,-0.022486-0.013732i,0.019754-0.00083868i,-0.037167-0.041095i,-0.020714-0.0021315i,-0.0036458-0.029872i,0.0022591-0.022268i,-0.0086633-0.098722i,-0.042568-0.069625i,0.0035321-0.08476i,-0.032474-0.043239i,0.0051123-0.010424i,-0.0028614-0.0078731i,-0.024972-0.024567i,-0.0054426-0.012738i,-0.014281-0.00586i,-0.021456-0.0068084i,-0.038809+0.020424i,0.015013+0.0078273i,-0.015204-0.0078073i,-0.0048892+0.0047608i,-0.0036292+0.0058811i,-0.018167+0.0041679i,0.0042914+0.0082668i,0.01502-0.010796i,0.020034-0.018262i,0.00085069-0.0073838i,-0.0067114+0.0046672i,-0.0038778+0.0057237i,0.00085493+0.019665i,-0.0047178+0.0050952i,-0.01546+0.042059i,-0.0081055-0.00050298i,0.00073808+0.00506i,0.0047442+0.010931i,-0.0071853+0.0021667i,-0.0032814+0.0018331i,-0.0030315-0.0054052i,0.00047426+0.005126i,-0.0033618-0.0028176i,-0.0048809-4.5749e-05i,-0.0016769+0.00060143i,0.0026984+0.011969i,-0.0045744-0.00431i,-0.0015221+0.016886i,-0.004858+0.013613i,-0.037989-0.052416i,0.0017414-0.019482i,-0.035064+0.035997i,-0.03163+0.0041607i,0.0096523-0.011217i,0.0020011+0.0067645i,-0.025071+0.0061254i
-0.050243-0.0082223i,-0.024939-0.006842i,-0.058225-0.022983i,-0.028838-0.0047371i,-0.026624+0.0017491i,-0.01105+0.0096658i,-0.048463+0.017765i,-0.032438+0.025559i,-0.023965+0.018878i,0.0099853-0.0010185i,0.001715+0.011396i,0.014247+0.0088118i,0.0014539-0.0017238i,0.0036598+0.014617i,-0.00052588+0.00082612i,0.0078865+0.011011i,0.0058825-0.019286i,0.0012316-0.0047136i,0.0036183+0.0062988i,0.0013294-0.0033172i,0.0061184+0.0032854i,0.0052832+0.00059521i,0.0013474+0.0021212i,0.023336+0.003756i,-0.004266+0.00019376i,-0.0016703-0.0037271i,0.00058859-0.0014242i,0.0026721-0.0035576i,7.1052e-06-0.0011981i,-0.00051682+0.0021625i,-0.0032956-0.0016263i,-0.0048986+0.00064356i,-0.0050898+0.00070168i,-0.0022469-0.002079i,-0.0029147-0.0047665i,0.020452+0.00079355i,-0.0043462-0.0042711i,-0.0030611-0.0023584i,-0.0055045-0.0065056i,-0.0046717-0.0017889i,0.002794-0.00014575i,0.000797-0.0027578i,0.00065059-0.0034734i,0.0054769+0.0062797i,-0.030227-0.011838i,0.011991-0.016428i,-0.035138-0.034206i,-0.015565+0.0032229i,-0.005117-0.032807i,0.005348-0.027848i,-0.041227-0.08901i,-0.058601-0.054586i,-0.016042-0.082977i,-0.032824-0.026994i,0.01116-0.0054378i,-0.0053329-0.0060461i,-0.02642-0.0095863i,-0.010991-0.012734i,-0.019785-0.00149i,-0.020334+0.0026837i,-0.02734+0.03457i,0.0129+0.0001191i,-0.014212+0.0019614i,-0.0049327+0.005094i,0.00079323+0.0081744i,-0.012277+0.011064i,0.0058652+0.009221i,0.010279-0.022086i,0.0082236-0.025362i,-0.0045476-0.0099943i,-0.0057381+0.0088929i,-0.0025508+0.0061021i,0.0085773+0.017403i,-0.0011598+0.0077239i,0.0018467+0.055874i,-0.0092209+0.0011123i,0.00051717+0.0046995i,0.0085558+0.0064157i,-0.0048887+0.0085418i,-0.0049084+0.0029684i,-0.0073708-0.0037668i,0.0037727+0.0059849i,-0.0043983+0.0023176i,-0.0073241+0.00085377i,0.00029669+0.0052108i,0.0063629+0.0097004i,-0.006258-0.0029693i,0.0026263+0.01201i,-2.7107e-05+0.014573i,-0.039777-0.04083i,-0.0072438-0.032084i,-0.010942+0.039154i,-0.027497+0.011357i,0.0077841-0.02277i,0.00084657+0.00048268i,-0.021722+0.010936i
-0.050658-0.0011072i,-0.029714-0.0065277i,-0.064451-0.0078798i,-0.028761-0.0017165i,-0.028804+0.0086838i,-0.0075684+0.0096821i,-0.038621+0.018493i,-0.025017+0.027048i,-0.021055+0.020679i,0.0098535-0.004028i,0.0060658+0.010429i,0.01175+0.0032766i,-0.00096637-0.00019728i,0.0093438+0.0077589i,-0.00062764+0.0010966i,0.008877+0.010796i,-0.0031103-0.014671i,-0.00029894-0.006024i,0.0054941+0.003039i,0.00053226-0.002523i,0.0067444+5.6054e-05i,0.0057132-0.00021029i,0.0024686+0.0015734i,0.019606-0.0092281i,-0.0020017+0.00049599i,-0.0016281-0.0016651i,0.0021661-0.0029865i,0.0013592-0.0048402i,-0.000281-0.000539i,0.00077438+0.0014696i,-0.0035315-0.00059474i,-0.0041614+0.0023584i,-0.0034161+0.0023653i,-0.0022656-0.0013971i,-0.0046371-0.0040932i,0.018647-0.0061474i,-0.0045541-0.0019024i,-0.0035566-0.00059109i,-0.0066295-0.0022674i,-0.0068631+0.0012386i,0.002444-0.0015978i,0.0016617-0.0031631i,5.2136e-06-0.0031054i,0.0064887+0.0036077i,-0.036128-0.0047853i,-0.00091897-0.015463i,-0.037716-0.034656i,-0.0042972+0.0068919i,-0.006316-0.035027i,-0.0017157-0.037833i,-0.060028-0.071485i,-0.061218-0.032364i,-0.037311-0.076851i,-0.025355-0.021044i,0.017745-0.019161i,-0.0061937-0.0037436i,-0.020283-0.0032069i,-0.020599-0.0095442i,-0.017042+0.0088645i,-0.017479+0.0063529i,-0.0063672+0.039523i,0.010822-0.0038245i,-0.012182+0.0041231i,-0.0017965+0.0047007i,0.0031485+0.0050845i,-0.0056619+0.014775i,0.011008+0.006482i,-0.0053623-0.026542i,-0.011393-0.0224i,-0.0085116-0.0028895i,-0.0019147+0.011498i,0.00088231+0.0063404i,0.01493+0.0089981i,0.0021499+0.006779i,0.027293+0.051562i,-0.0063603+0.0048347i,0.0011092+0.0044527i,0.0094372+0.0009904i,0.0012208+0.010227i,-0.0074522+0.0044967i,-0.0097415+0.0023926i,0.0069305+0.0049586i,-0.0023412+0.0053294i,-0.0094448+0.0041433i,0.0027885+0.0049829i,0.0074679+0.0065106i,-0.006991-0.00037775i,0.0056744+0.0075228i,0.004184+0.011741i,-0.039118-0.036035i,-0.02647-0.030525i,0.0051581+0.027777i,-0.022855+0.015656i,-0.0021645-0.026437i,-0.0033502-0.0036606i,-0.014354+0.010967i
-0.049824+0.0057419i,-0.03406+0.0015021i,-0.064818+0.0092522i,-0.026737-4.7381e-05i,-0.025569+0.016105i,-0.0056982+0.0088922i,-0.031948+0.017334i,-0.019228+0.027219i,-0.015901+0.024535i,0.0081908-0.0073641i,0.0083304+0.004563i,0.0057495+0.0021084i,-0.0010414+0.0024327i,0.0073049+0.0027333i,-0.00053577+0.00117i,0.012008+0.0089171i,-0.0073318-0.0075611i,-0.0034682-0.0051595i,0.0041425+0.0013233i,0.00020762-0.0020733i,0.0048576-0.0016089i,0.0053299-0.0020455i,0.00291+0.00050143i,0.011225-0.016151i,-0.0020904-0.00053225i,-0.0014112-0.0011115i,0.0014879-0.0046556i,-0.00064531-0.0034696i,0.00083243-0.00030707i,0.00082367+0.00051263i,-0.003772+0.00017981i,-0.002323+0.0035242i,-0.0020537+0.0033079i,-0.0026188-0.00093009i,-0.0055964-0.00091203i,0.014275-0.011786i,-0.0036622-0.00073192i,-0.0024653+0.0010116i,-0.0050673-0.0015976i,-0.0053867+0.0043548i,0.0014206-0.0020194i,0.0016916-0.0032752i,-0.00090725-0.0030405i,0.0052125+0.00094139i,-0.038094+0.0049183i,-0.0025278-0.0059076i,-0.042436-0.033347i,0.0055583+0.0021555i,-0.0084513-0.039427i,-0.01122-0.03615i,-0.07515-0.053753i,-0.05288-0.017644i,-0.057279-0.059017i,-0.020422-0.022454i,0.012194-0.030799i,-0.0064014-0.0023391i,-0.015971+0.00021438i,-0.028052+0.0016615i,-0.012363+0.0123i,-0.012578+0.011737i,0.011129+0.031035i,0.0071083-0.0088996i,-0.01224+0.0078695i,-0.0017243+0.0021066i,0.0049534+0.00407i,0.0021151+0.012856i,0.011573-0.0011825i,-0.019482-0.01712i,-0.021279-0.0092718i,-0.0052966+0.0025378i,0.0040383+0.011356i,0.0030886+0.0049733i,0.017256+0.0011287i,0.0065343+0.0058911i,0.047155+0.033765i,-0.0043674+0.0042949i,0.0016474+0.0051847i,0.0068098-0.0038951i,0.0064517+0.0069872i,-0.0079007+0.01211i,-0.0066544+0.0091237i,0.0094544+0.0011587i,0.0028269+0.0055482i,-0.0090037+0.010075i,0.0040982+0.0030921i,0.0082759+0.0042919i,-0.0074209+0.0015795i,0.0057143+0.002481i,0.0050967+0.0086689i,-0.036545-0.031251i,-0.035956-0.012993i,0.010538+0.013045i,-0.01142+0.019815i,-0.015024-0.026695i,-0.011287-0.0035457i,-0.014252+0.0063273i
-0.04805+0.012304i,-0.032+0.010911i,-0.05762+0.024645i,-0.027434+0.00081295i,-0.020301+0.019882i,-0.0041773+0.0084181i,-0.028081+0.014515i,-0.015145+0.026522i,-0.0083249+0.026105i,0.0042078-0.0098236i,0.0056457+0.00083468i,0.0054403+0.0042218i,0.00064158+0.0039997i,0.0045543+0.00033532i,-0.00053891+0.0015395i,0.013978+0.0048555i,-0.0054065-0.0018213i,-0.0042287-0.0025835i,0.0038615+0.0010024i,-7.4524e-05-0.0018085i,0.004689-0.00095749i,0.0036713-0.0032618i,0.0029895-0.00041071i,0.0033204-0.0165i,-0.0028497-0.0005251i,-0.0015907-0.0011473i,-0.00040059-0.0055307i,-0.0013817-0.0033107i,0.00054727-0.0011368i,0.00094503+0.00023812i,-0.0036587+0.0010804i,-0.00024186+0.0036967i,-0.0007556+0.0028926i,-0.0024735+0.00035581i,-0.004643+1.8399e-06i,0.0071954-0.015036i,-0.002693-0.0002479i,-0.0011568+0.0014527i,-0.0060397-0.00055098i,-0.0027897+0.0056488i,0.00080088-0.0017543i,0.00052369-0.0039507i,-0.0016338-0.0029124i,0.0024121+0.0005442i,-0.036559+0.015041i,0.0066273-0.0012132i,-0.0487-0.028092i,0.011301-0.0057453i,-0.014128-0.039166i,-0.016477-0.0339i,-0.082813-0.028884i,-0.04728-0.011982i,-0.058503-0.032805i,-0.020486-0.024166i,-0.00070746-0.037916i,-0.0068685-0.0017212i,-0.013518-0.0019274i,-0.02311+0.015717i,-0.0070073+0.01471i,-0.0028719+0.011149i,0.016028+0.0158i,0.0040171-0.007521i,-0.0078398+0.011746i,-0.0032684+0.0024585i,0.005734+0.00011689i,0.0055586+0.0079758i,0.0059865-0.0037183i,-0.024191-0.002921i,-0.020985+0.0048484i,-0.0018831+0.0026076i,0.0065176+0.0093443i,0.0029828+0.0032582i,0.013758-0.010763i,0.0070306+0.00021739i,0.055753+0.0084456i,-0.0055553+0.0066303i,0.0037697+0.0041331i,0.0018592-0.0058534i,0.0077411+0.0030681i,-0.0018504+0.017349i,0.0011757+0.0089336i,0.0077309-0.0024128i,0.0050107+0.0016033i,-0.00099636+0.016339i,0.0028672+0.0032358i,0.0083261+0.0025119i,-0.0083153+0.0047651i,0.0010199+0.00016622i,0.0052409+0.0071608i,-0.050039-0.026449i,-0.030862+0.0014747i,0.0073452+0.0024609i,-0.001569+0.013229i,-0.027016-0.021359i,-0.013433+0.0056216i,-0.016974+0.0084878i
-0.045568+0.018672i,-0.026702+0.016013i,-0.047024+0.035253i,-0.029485+0.0035732i,-0.014856+0.022276i,-0.0029289+0.0082574i,-0.028195+0.012287i,-0.012188+0.02704i,-0.0018476+0.024531i,-0.00050819-0.0095932i,0.0025865+0.00119i,0.0067873+0.0037563i,0.0029823+0.003592i,0.0022883-8.6217e-05i,-0.00010102+0.0019581i,0.012824-7.193e-05i,-0.0032852-0.00073171i,-0.003429-0.00092687i,0.0038965-6.9005e-05i,-0.00022289-0.0014229i,0.0053788-0.0026067i,0.0021679-0.0030095i,0.0027657-0.0012925i,-0.0015785-0.014827i,-0.0031642+0.00063396i,-0.0018894-0.00046604i,-0.0023648-0.0047342i,-0.0022722-0.0029523i,9.7007e-06-0.0015808i,0.00085669-0.00032047i,-0.00318+0.0021543i,0.0013122+0.0026177i,0.00063502+0.0024757i,-0.0018045+0.00082308i,-0.004696+0.00131i,0.0011856-0.012161i,-0.0026442-0.00063817i,-0.00011184+0.0013574i,-0.0049676+0.0019149i,-0.00040485+0.0056921i,0.00047237-0.001723i,0.00020528-0.0033227i,-0.0028221-0.0021871i,0.001949+0.0028118i,-0.029836+0.023322i,0.017881-0.0097222i,-0.054505-0.018449i,0.012152-0.01396i,-0.015693-0.039129i,-0.022577-0.031505i,-0.078201-0.0067827i,-0.043326-0.0060268i,-0.048464-0.019248i,-0.021512-0.025586i,-0.015186-0.038143i,-0.0068598-3.1128e-06i,-0.016812-0.0037682i,-0.012573+0.021967i,-0.001527+0.013929i,0.0014743+0.0036922i,0.01227+0.0053698i,-0.003434-0.010944i,-0.0026856+0.013316i,-0.0034467+0.0041016i,0.0031235-0.0031407i,0.0053265+0.0034909i,0.0041298-0.0016514i,-0.020333+0.0095792i,-0.013407+0.013365i,-0.0014205+0.0032019i,0.010628+0.0063376i,0.0026319+0.0026109i,0.0043894-0.014553i,0.0041634-0.0028003i,0.048821-0.017519i,-0.0027488+0.010065i,0.003576+0.0026989i,-0.0017126-0.0039925i,0.0076539+0.00088628i,0.0069571+0.019047i,0.00305+0.0056029i,0.0058179-0.0043922i,0.004103-0.00061417i,0.0038757+0.013563i,0.0036644+0.0027243i,0.008776-0.00059692i,-0.0051879+0.0099164i,-0.00033605+0.0014758i,0.0054607+0.0063363i,-0.04338-0.02245i,-0.023746+0.0076232i,0.0039731-0.0019195i,-0.0020091+0.0045833i,-0.036234-0.011008i,-0.0084025+0.0085267i,-0.015907+0.010807i
-0.042029+0.024602i,-0.020869+0.018871i,-0.034511+0.041447i,-0.029325+0.0089853i,-0.0088892+0.022575i,-0.0016912+0.0078882i,-0.029296+0.013507i,-0.0083268+0.028351i,0.0033045+0.022409i,-0.0031614-0.0077355i,0.0019662+0.0025714i,0.0082308+0.0021482i,0.0050512+0.0029149i,-0.00010457+0.001122i,0.00026543+0.0020676i,0.010031-0.0031995i,-0.003604-0.001302i,-0.0030252-0.00021354i,0.0033674-0.00049007i,-0.0002826-0.0010693i,0.0046407-0.0041223i,0.0019217-0.0024394i,0.0022075-0.0020737i,-0.005882-0.013376i,-0.0027061+0.0018357i,-0.0017134+0.0001811i,-0.0036395-0.0033412i,-0.002898-0.0015495i,-0.00062471-0.0020312i,0.00019964-0.00069657i,-0.0016581+0.0030822i,0.0013055+0.0014944i,0.0015074+0.0016004i,-0.0011114+0.00092467i,-0.003715+0.002287i,-0.00081208-0.0088945i,-0.0029285+5.704e-05i,0.00068664+0.00060464i,-0.0030294+0.0024826i,0.0021791+0.0051158i,3.3495e-05-0.0017384i,0.0001749-0.0028877i,-0.0033267-0.0015098i,0.0034725+0.0021872i,-0.021741+0.026673i,0.017334-0.025415i,-0.055552-0.0067854i,0.012793-0.021692i,-0.017827-0.043961i,-0.027098-0.026288i,-0.070782+0.0079219i,-0.039191-0.0027741i,-0.041602-0.012041i,-0.024875-0.02564i,-0.028676-0.033288i,-0.0068391+0.0012445i,-0.024083-0.0013399i,-0.0025766+0.02196i,0.00091953+0.0094613i,-0.00041444-0.0020013i,0.0066058+0.0016422i,-0.007972-0.0095201i,0.0019548+0.012016i,-0.0016855+0.0053656i,-3.0814e-05-0.0031218i,0.002808+0.0013811i,0.0042905-0.00091759i,-0.011907+0.015776i,-0.00414+0.0162i,0.0013774+0.0034974i,0.012637+0.00036322i,0.0028467+0.0029504i,-0.0030415-0.012918i,0.0017543-0.0034029i,0.032136-0.032177i,0.0021396+0.012023i,0.0038172+0.0024843i,-0.0041066-0.0017349i,0.0069048-0.0031574i,0.014572+0.015175i,0.0030884+0.0034818i,0.0032864-0.0056487i,0.0028542-0.0022297i,0.010164+0.010317i,0.0039324+0.0027341i,0.0064407-0.003933i,0.00084457+0.011094i,7.051e-05+0.0013612i,0.0071188+0.0056414i,-0.045348-0.019112i,-0.017797+0.011109i,0.0012736-0.0046394i,-0.0059332+0.00273i,-0.038579+0.0016952i,-0.006057+0.0077172i,-0.013656+0.013164i
