-0.032293-0.038297i,-0.021422-0.01965i,-0.01269-0.035748i,-0.03012-0.019959i,-0.022087+8.8365e-05i,-0.013793-0.0058069i,-0.056416-0.058453i,-0.047695-0.017269i,-0.038014-0.014574i,0.012104+0.01195i,-0.0075136+0.0048253i,-0.019663+0.019414i,0.0022879+0.011074i,-0.0060379-0.0025139i,0.00013632+0.0012814i,-0.0019278+0.030313i,0.023925+0.024364i,0.0023783-0.0024093i,-0.0021387-0.0071559i,0.0076897+0.0034174i,0.0026607+0.00076191i,-0.00051737+0.0039753i,-0.00034386+0.00019315i,-0.037029-0.012672i,0.0004785-0.0078596i,0.0015116+0.0020913i,0.0062509+0.0012276i,0.0020655+0.00050857i,0.0010269-0.00062441i,-0.00043214-0.0025277i,0.0013526-0.0024981i,-0.0020914-0.0061752i,-0.0010032-0.0047378i,0.0029262-0.00059131i,0.0045422-0.0033764i,2.2111e-05+0.030126i,0.0039342-0.0037627i,0.0029731-0.0016958i,0.0080377-0.0016346i,-0.0061821-0.0029263i,-0.00014178+0.0008177i,0.0083335+0.00052542i,0.0047112-0.0023057i,-0.0012722+0.0080346i,-0.017992-0.0073854i,-0.018425+0.015925i,-0.0038371-0.061302i,-0.0050967-0.027203i,-0.026623-0.032064i,-0.011396-0.026481i,0.05509-0.020604i,0.016496-0.042692i,0.0226-0.048873i,0.0041492-0.054397i,0.026372-0.021451i,0.0083652+0.0060131i,0.02425-0.035465i,-0.0077239-0.0068913i,0.0037583-0.0048966i,-0.004963-0.0070447i,-0.0019796-0.032998i,-0.018113+0.028905i,0.0084338-0.011934i,-0.0085691-0.0041605i,-0.004146-0.0010478i,0.00071768-0.013269i,-0.011296+0.0047108i,0.002356+0.010027i,-0.0046723+0.027041i,0.0053666+0.0026656i,-0.0053172-0.0017632i,-0.001969-0.0020319i,-0.012494-0.0082169i,-0.0007143-0.0043743i,-0.030595+0.0028063i,0.0010458-0.010592i,-0.008523-0.00045364i,-0.0066554-0.0024669i,0.0051738+0.0014081i,-0.0082436+0.00032587i,0.0023422+9.1305e-05i,0.003735+0.0070813i,0.0043611+0.00043192i,-0.007508-0.012565i,0.002674+0.0092551i,-0.015571+0.0051303i,0.0065063-0.00026733i,-0.022352-9.9799e-05i,-0.017424+0.006521i,-0.0069014-0.067532i,0.0083882-0.012567i,-0.049792-0.023675i,-0.020714+0.00039237i,0.017517+0.011551i,-0.022155+0.014255i,-0.019254-0.0042315i
-0.039427-0.033737i,-0.022464-0.010787i,-0.017646-0.037165i,-0.032164-0.017541i,-0.019679+0.00022585i,-0.015552-0.0031025i,-0.065885-0.046967i,-0.04875-0.0095461i,-0.038097-0.0059121i,0.011568+0.0071883i,-0.0095266+0.0043812i,-0.0091972+0.026171i,0.0063482+0.0083936i,-0.0093765+0.00047195i,0.00029504+0.00097959i,0.0051875+0.026125i,0.025064+0.015233i,0.0028003-0.0012607i,-0.0048386-0.00336i,0.006541-0.00032934i,0.00092017+0.00087192i,-2.2361e-05+0.004268i,-0.00036857+0.00057628i,-0.026339+0.0074565i,-0.0019003-0.0068155i,0.003288+0.00032728i,0.0047359+0.0014877i,0.0026321+0.00122i,0.0016752-0.0012326i,-0.0015588-0.0022132i,0.00091784-0.003551i,-0.0027949-0.0049115i,-0.0020134-0.0046277i,0.0023022-0.0018118i,0.0043391-0.0030962i,0.010249+0.02605i,0.0033563-0.0053803i,0.0017485-0.0023181i,0.0086569-0.0045685i,-0.0041531-0.0019942i,0.00042613+0.0017834i,0.0078812-0.00077374i,0.0035649-0.0026441i,-0.0015193+0.0086281i,-0.016845-0.0076195i,-0.0059278+0.019043i,-0.014975-0.060388i,-0.016154-0.030223i,-0.021086-0.02165i,-0.007991-0.015805i,0.051859-0.045643i,0.016174-0.061282i,0.024314-0.049032i,-0.0057676-0.058085i,0.01381-0.017285i,0.0071939-0.0018861i,0.010301-0.037462i,-0.0073681-0.00042143i,-0.00045233-0.013766i,-0.0065064-0.0060844i,-0.024426-0.02955i,-0.0052155+0.026132i,0.0022716-0.01473i,-0.0098355-0.0003571i,-0.003146+0.00049923i,-0.0056849-0.013166i,-0.011588+0.0098827i,0.0078479+0.010105i,0.013328+0.022642i,0.0053145-0.0014986i,-0.0052312+0.0010836i,-0.0042792-0.0021957i,-0.016671+0.0015163i,-0.0010718-0.0029496i,-0.036293+0.011927i,-0.0046595-0.0081001i,-0.0076063+0.003208i,-0.0085687+0.0013708i,0.0036096-0.0039613i,-0.0069634+0.0023274i,0.0034511-0.0032253i,0.0029634+0.0028429i,0.0033683-0.00055687i,-0.01271-0.0044669i,0.004519+0.0057184i,-0.011408+0.011333i,0.0052788-0.0031289i,-0.020621+0.007607i,-0.015595+0.011055i,-0.017963-0.06229i,0.0031144-0.017494i,-0.056085-0.0074193i,-0.01505-0.0038211i,0.017651+0.0053715i,-0.016139+0.018994i,-0.027242-0.0059037i
-0.043176-0.026786i,-0.019694-0.0095451i,-0.024347-0.038819i,-0.034428-0.011681i,-0.018772-0.00055741i,-0.016529-0.00021144i,-0.076731-0.030973i,-0.050413-0.00073033i,-0.037781+0.00075071i,0.010647+0.004696i,-0.010329+0.0096129i,0.0015468+0.023996i,0.0075079+0.0039325i,-0.0099908+0.0041539i,0.00028374+0.00093871i,0.0095617+0.020198i,0.028973+0.008371i,0.0038977-0.0021119i,-0.0040866-0.00045949i,0.0053597-0.0018168i,-0.0004298+0.0019656i,0.0014884+0.0050875i,-0.00025475+0.00082979i,-0.013977+0.015732i,-0.0030331-0.0055539i,0.0032362-0.0022398i,0.0046785+6.0811e-05i,0.0040482+0.00014847i,0.0006173-0.001642i,-0.002006-0.0011883i,-0.00037311-0.0039345i,-0.0043302-0.0041591i,-0.0035222-0.0041412i,0.0014665-0.0030195i,0.004409-0.0064945i,0.01701+0.018495i,0.0012468-0.0062113i,0.00092218-0.0025841i,0.0068597-0.0093264i,-0.0045084-0.00073923i,0.0014193+0.0018171i,0.0063637-0.0036165i,0.0029744-0.0030215i,0.0002901+0.01009i,-0.017907-0.0091762i,0.0046384+0.016174i,-0.025322-0.056672i,-0.02587-0.022254i,-0.0094784-0.020306i,-0.001314-0.018922i,0.042867-0.066624i,-0.0015442-0.076674i,0.028857-0.056262i,-0.016908-0.054197i,0.0097996-0.015392i,0.0044416-0.0050402i,0.00019477-0.034839i,0.0024205-0.00076686i,-0.0090337-0.012924i,-0.0059543-0.0080563i,-0.039476-0.016088i,0.0025176+0.023643i,-0.0042461-0.014648i,-0.0083689+0.0028906i,-0.0043985+0.00089142i,-0.012304-0.010988i,-0.0055501+0.015237i,0.014452+0.0036937i,0.022553+0.0088577i,0.0039029-0.0033025i,-0.0043393+0.0014232i,-0.0063659-0.00054849i,-0.012508+0.009975i,-0.0046365-0.0023731i,-0.030032+0.027205i,-0.0065693-0.0040654i,-0.0052297+0.0065463i,-0.0082974+0.0078559i,-0.0017754-0.0051728i,-0.0064251+0.0032758i,0.0016384-0.0051896i,0.00078089+0.0025388i,0.0028202-0.002479i,-0.0083661+0.002697i,0.0044956+0.0022113i,-0.0064187+0.013005i,0.0025115-0.006105i,-0.015998+0.012786i,-0.010738+0.014676i,-0.024085-0.056628i,-0.0035739-0.016964i,-0.052907+0.0068954i,-0.021485-0.0095711i,0.016633-0.0012716i,-0.0058281+0.018323i,-0.030088-0.00044719i
-0.045695-0.021276i,-0.020599-0.010989i,-0.033962-0.039066i,-0.031733-0.0065012i,-0.01958-0.0014113i,-0.016206+0.0035756i,-0.077968-0.004429i,-0.049186+0.011251i,-0.036247+0.0096077i,0.01034+0.0029797i,-0.0056337+0.013648i,0.0069197+0.018801i,0.0064191+0.00040822i,-0.0097853+0.0085127i,-1.0117e-06+0.00090147i,0.010157+0.012942i,0.029225-0.0043829i,0.0031797-0.0042795i,-0.0039627+0.0022359i,0.0036819-0.002735i,0.00065731+0.0039679i,0.0041877+0.0049697i,-0.00013898+0.0011686i,0.00020563+0.022112i,-0.0041201-0.0046854i,0.0013553-0.0034736i,0.0050434-0.001467i,0.0032458-0.0017076i,0.00020614-0.0012327i,-0.0024717-0.00028414i,-0.0015793-0.0036916i,-0.0049283-0.0025405i,-0.0049291-0.0026726i,0.00040225-0.0037098i,-9.4744e-05-0.0076322i,0.01812+0.010859i,-0.00094443-0.0063886i,0.00015734-0.0028194i,0.0013552-0.010981i,-0.0027427+0.00058137i,0.002412+0.0013009i,0.0033615-0.0047871i,0.0019171-0.0033781i,0.0034532+0.0091692i,-0.018073-0.010413i,0.013609+0.0098455i,-0.033808-0.049905i,-0.025826-0.010141i,-0.0057377-0.024534i,-8.0728e-05-0.021047i,0.022926-0.088489i,-0.024537-0.07765i,0.023824-0.074237i,-0.023648-0.049801i,0.0060971-0.012888i,0.00067507-0.00754i,-0.013256-0.03353i,0.0013301-0.009702i,-0.01207-0.0083983i,-0.011798-0.01111i,-0.044174+0.0048186i,0.012179+0.017343i,-0.010266-0.012609i,-0.006174+0.0038659i,-0.0042888+0.0033579i,-0.017331-0.0048153i,0.0031105+0.013431i,0.016329-0.004202i,0.023513-0.0054104i,0.0026286-0.0054708i,-0.0048735+0.0015956i,-0.0068408+0.0030387i,-0.0071602+0.016434i,-0.0060049+0.0015731i,-0.021906+0.03508i,-0.0066784-0.0016246i,-0.0011521+0.007463i,-0.0018805+0.012708i,-0.0060187-0.0023922i,-0.0039636+0.00472i,-0.00014753-0.0056837i,-1.2355e-05+0.0033384i,0.0002437-0.0041429i,-0.0042734+0.0024476i,0.0012717-0.000857i,-0.0034849+0.014631i,-0.0021271-0.0055922i,-0.0096859+0.015938i,-0.0059332+0.013846i,-0.029338-0.052787i,-0.0025557-0.013955i,-0.046706+0.021639i,-0.028891-0.0055273i,0.014819-0.0067115i,0.0018117+0.013469i,-0.027578+0.0060784i
-0.049139-0.014491i,-0.024537-0.009444i,-0.046588-0.035295i,-0.029267-0.0044323i,-0.022198-0.0011926i,-0.014726+0.007252i,-0.062804+0.012624i,-0.041437+0.020831i,-0.029407+0.016195i,0.010617+0.0007768i,-0.00078424+0.012668i,0.010367+0.01488i,0.0040247-0.001378i,-0.0061373+0.014535i,-0.00016103+0.00073057i,0.0079276+0.010872i,0.019628-0.016956i,0.0015337-0.0049559i,-0.0012664+0.0062569i,0.0025607-0.0033549i,0.0026683+0.0057466i,0.0057012+0.002618i,0.00018865+0.0017422i,0.015432+0.018358i,-0.0051765-0.0025943i,3.3155e-05-0.0032937i,0.0033712-0.0034786i,0.0026284-0.0018683i,5.127e-05-0.00092327i,-0.0021454+0.0010957i,-0.0028961-0.0028822i,-0.0050754-0.00036056i,-0.0046429-0.0011679i,-0.0015439-0.003448i,-0.0021938-0.0060811i,0.019274+0.005828i,-0.0028275-0.0055963i,-0.0012966-0.0025787i,-0.0028331-0.0095535i,-0.0024319-0.0011707i,0.002642+0.0003322i,0.0012827-0.0035289i,0.0014864-0.0033782i,0.0044978+0.0075207i,-0.022201-0.013755i,0.019675-0.0016757i,-0.037438-0.041098i,-0.021062-0.0017265i,-0.0038765-0.029704i,0.0017713-0.022375i,-0.0095406-0.098794i,-0.043197-0.06914i,0.0031449-0.085116i,-0.033324-0.041881i,0.005316-0.0099748i,-0.0030423-0.0077013i,-0.0231-0.02375i,-0.0054077-0.01267i,-0.014361-0.0058536i,-0.021424-0.0062569i,-0.03812+0.021318i,0.014603+0.0066275i,-0.015469-0.0071475i,-0.0049629+0.0049189i,-0.0033182+0.0056994i,-0.017881+0.0045851i,0.0042876+0.0082407i,0.015241-0.01112i,0.022242-0.013852i,0.00026538-0.0071509i,-0.0066187+0.0044092i,-0.0041011+0.006042i,0.001243+0.018432i,-0.0047835+0.0053865i,-0.015282+0.044564i,-0.0076054-0.00039627i,0.0010219+0.0050575i,0.0050262+0.011666i,-0.0085275+0.0027165i,-0.002963+0.0020053i,-0.0033612-0.0058485i,0.00039452+0.0050767i,-0.0040488-0.0034623i,-0.0048797+0.0006666i,-0.0013055+0.00065187i,0.0029242+0.015886i,-0.004702-0.0036185i,-0.002047+0.016416i,-0.0041252+0.013338i,-0.037711-0.048267i,0.0014616-0.019559i,-0.034674+0.036906i,-0.031606+0.0044687i,0.010492-0.011958i,0.0025876+0.0061453i,-0.024094+0.0080208i
-0.04993-0.0073623i,-0.025004-0.006786i,-0.058171-0.023565i,-0.028851-0.0038384i,-0.026379+0.0017341i,-0.01083+0.0096761i,-0.048609+0.018057i,-0.032657+0.025416i,-0.023362+0.018119i,0.0094638-0.0015087i,0.001231+0.011912i,0.012873+0.0081007i,0.0015279-0.001847i,0.004146+0.015107i,-0.00052011+0.00082468i,0.0079651+0.010759i,0.0071318-0.019215i,0.0012282-0.0048949i,0.003226+0.0062043i,0.0011355-0.0033196i,0.0059589+0.0034211i,0.0054452+0.00057534i,0.0013584+0.0020417i,0.02412+0.0025038i,-0.0042262-0.00015974i,-0.00085328-0.0030285i,0.00040145-0.0017644i,0.0023373-0.0030585i,-0.0001275-0.001204i,-0.00046441+0.0021481i,-0.0034415-0.0017371i,-0.0045662+0.00080117i,-0.0053438+0.00074974i,-0.0022285-0.0018847i,-0.0032731-0.0048122i,0.020439+0.00022569i,-0.0042376-0.004199i,-0.0029391-0.0021357i,-0.0060892-0.0077384i,-0.0047559-0.0016283i,0.0027782-0.00029582i,0.00040162-0.0026218i,0.00032078-0.0034761i,0.005378+0.0066978i,-0.029862-0.012i,0.01109-0.016805i,-0.035823-0.034013i,-0.015886+0.0036016i,-0.0050044-0.033618i,0.0044881-0.027864i,-0.041708-0.088425i,-0.058944-0.053881i,-0.015743-0.083903i,-0.033461-0.025616i,0.010575-0.0050952i,-0.0054874-0.005714i,-0.025873-0.010066i,-0.011116-0.012588i,-0.019622-0.0015034i,-0.02034+0.0031578i,-0.027558+0.034752i,0.012073-0.00037957i,-0.014116+0.0018204i,-0.004836+0.0054043i,0.00086952+0.0079746i,-0.012011+0.011481i,0.0058423+0.0091612i,0.010625-0.022445i,0.0078091-0.0239i,-0.0054148-0.0093273i,-0.006007+0.0082779i,-0.0024913+0.0064386i,0.0090847+0.016961i,-0.001063+0.0081243i,0.0019622+0.057664i,-0.00901+0.001263i,0.00068202+0.0049576i,0.0086601+0.0064068i,-0.0049684+0.0098826i,-0.0044267+0.0030048i,-0.0076942-0.0038034i,0.0032797+0.0057702i,-0.0046995+0.0029309i,-0.0076204+0.0010235i,0.00028107+0.0049661i,0.007516+0.011942i,-0.0060098-0.0022161i,0.0026233+0.011675i,-0.00025814+0.014788i,-0.041661-0.03813i,-0.0076355-0.032417i,-0.010334+0.039706i,-0.027339+0.012489i,0.010897-0.016975i,0.0013034+0.00040608i,-0.021048+0.011625i
-0.050139-0.0010595i,-0.029616-0.0063994i,-0.064789-0.00819i,-0.028658-0.00084579i,-0.028664+0.0086404i,-0.007356+0.0097295i,-0.038516+0.018449i,-0.025405+0.02697i,-0.020628+0.01992i,0.009221-0.0040864i,0.0056762+0.011381i,0.010147+0.00012744i,-0.00096234-0.00042396i,0.0093747+0.0072257i,-0.00064353+0.0010996i,0.0091486+0.010718i,-0.0018617-0.014847i,-0.00053449-0.0058921i,0.0052153+0.0030144i,0.00036585-0.0024956i,0.0068579+0.00029263i,0.0058117-0.00024014i,0.0024265+0.001478i,0.019713-0.010631i,-0.0021517+0.00021811i,-0.0015947-0.0018765i,0.0015642-0.0030534i,0.0014458-0.0037026i,-0.00049537-0.00046848i,0.00078518+0.0014481i,-0.0036301-0.00070258i,-0.0037686+0.0023567i,-0.0035702+0.0026738i,-0.0021356-0.0013602i,-0.0050265-0.0040168i,0.018164-0.0064732i,-0.0046198-0.0018771i,-0.0032938-0.00041324i,-0.0079325-0.0027825i,-0.0066662+0.0013699i,0.0023232-0.0017108i,0.0012406-0.0033421i,-0.00038636-0.0032431i,0.0064051+0.0037063i,-0.035863-0.0055264i,-0.0016874-0.015316i,-0.037525-0.033834i,-0.0042747+0.0073141i,-0.006563-0.035514i,-0.0027516-0.037566i,-0.059916-0.070798i,-0.061553-0.031847i,-0.037342-0.078402i,-0.02555-0.01975i,0.017072-0.017485i,-0.0062043-0.0034016i,-0.020523-0.0032538i,-0.020738-0.0093747i,-0.016686+0.0085949i,-0.017433+0.0068716i,-0.0077401+0.039326i,0.0096088-0.0047004i,-0.011742+0.0035732i,-0.0016628+0.0050501i,0.003076+0.0049875i,-0.00525+0.015048i,0.010893+0.0063112i,-0.0058493-0.026069i,-0.01042-0.022265i,-0.0087937-0.0022875i,-0.0016444+0.011274i,0.00085261+0.0065092i,0.016419+0.0088749i,0.0020969+0.0068262i,0.029514+0.053727i,-0.0071134+0.0049155i,0.0014399+0.0044521i,0.0094702+0.0011717i,0.0018614+0.010204i,-0.0070736+0.0043206i,-0.0095395+0.0025245i,0.0066589+0.0052162i,-0.0017902+0.0058431i,-0.0094726+0.0040225i,0.0028162+0.0048932i,0.0094947+0.0075876i,-0.0059943+0.00023794i,0.0060404+0.0075575i,0.0040309+0.011658i,-0.043623-0.033448i,-0.026752-0.03101i,0.005915+0.027517i,-0.023707+0.017373i,-0.0030466-0.025133i,-0.0031963-0.0035685i,-0.013678+0.011099i
-0.05045+0.0055762i,-0.033791+0.0014175i,-0.065798+0.0090096i,-0.026373+0.00081743i,-0.025396+0.016076i,-0.0055251+0.0089864i,-0.032045+0.017167i,-0.019488+0.027173i,-0.015944+0.023848i,0.0079901-0.0070416i,0.0093082+0.0056453i,0.0054449+0.0011801i,-0.001207+0.0024201i,0.0069041+0.0024642i,-0.00057362+0.0011834i,0.012431+0.0088083i,-0.0064193-0.0082453i,-0.0032788-0.0045868i,0.004114+0.0013486i,5.3258e-05-0.0020488i,0.0049718-0.0013663i,0.0052371-0.0021366i,0.0029426+0.00048563i,0.011466-0.017234i,-0.0024491-0.00069536i,-0.0013942-0.0011242i,0.0011267-0.0045425i,-0.00051451-0.0039817i,0.00077255-0.00046187i,0.000773+0.0005776i,-0.0038196+0.00018175i,-0.0021053+0.0036005i,-0.0018425+0.0036261i,-0.0025584-0.00086911i,-0.0061727-0.00072714i,0.014265-0.011734i,-0.0035692-0.00058671i,-0.0023652+0.00099848i,-0.0060789-0.0012931i,-0.0047784+0.0043601i,0.0013492-0.0019778i,0.0012531-0.003412i,-0.001527-0.0028783i,0.0051774+0.00099861i,-0.037717+0.0039341i,-0.0030037-0.0058055i,-0.038753-0.029709i,0.0060355+0.0020732i,-0.0097542-0.039532i,-0.011511-0.035721i,-0.075501-0.052818i,-0.053128-0.017183i,-0.058594-0.060019i,-0.020624-0.021203i,0.011545-0.029i,-0.0061539-0.0024065i,-0.01618+0.00045229i,-0.028263+0.0025502i,-0.012096+0.011831i,-0.012746+0.011784i,0.010626+0.031636i,0.0056488-0.0091804i,-0.013165+0.0068167i,-0.0013701+0.0026089i,0.0047023+0.0040068i,0.0026535+0.013098i,0.011444-0.0011273i,-0.019693-0.01629i,-0.020485-0.010095i,-0.0055455+0.0028307i,0.0040513+0.010966i,0.0032567+0.0051141i,0.018306+0.001204i,0.0063977+0.0059437i,0.049197+0.033975i,-0.0043999+0.0046912i,0.0018776+0.005274i,0.0069029-0.0038582i,0.0068219+0.0066024i,-0.0080492+0.011737i,-0.006914+0.008837i,0.009027+0.0014048i,0.0033804+0.0055488i,-0.0090329+0.0089309i,0.0041994+0.0029558i,0.0096254+0.0041883i,-0.0065584+0.00157i,0.0061813+0.0021945i,0.0051164+0.0085714i,-0.04563-0.024819i,-0.036976-0.013787i,0.010924+0.012413i,-0.010163+0.021573i,-0.014082-0.026568i,-0.011295-0.0027042i,-0.013709+0.006359i
-0.049315+0.012926i,-0.03158+0.010636i,-0.058291+0.025716i,-0.026933+0.0012744i,-0.02028+0.019804i,-0.00405+0.008515i,-0.028351+0.014524i,-0.015572+0.026678i,-0.0083627+0.025598i,0.0043781-0.010059i,0.0062526+0.00080914i,0.0052933+0.0035538i,0.00067365+0.0039692i,0.0043638+0.00040713i,-0.0005579+0.0015361i,0.01448+0.0048536i,-0.0056552-0.0026648i,-0.0038179-0.0025342i,0.0038135+0.0010629i,-0.0002768-0.0018069i,0.0048942-0.00076064i,0.0035652-0.0031956i,0.0030582-0.00044393i,0.0037472-0.017484i,-0.0034614-8.9841e-05i,-0.0013463-0.0011402i,-0.00068016-0.0051613i,-0.0013887-0.0035011i,0.00041206-0.0012422i,0.00091799+0.00029514i,-0.0036646+0.00099465i,-0.00015603+0.003753i,-0.00046426+0.0030508i,-0.0026946+0.0004141i,-0.0049504+0.00034303i,0.0076597-0.015083i,-0.0026061-0.00023649i,-0.0010961+0.0015042i,-0.0067733-0.00024621i,-0.0027169+0.0053688i,0.00072393-0.001866i,4.1494e-05-0.0036944i,-0.0019854-0.0020209i,0.0024422+0.00054827i,-0.036679+0.013692i,0.0062341-0.0013032i,-0.04509-0.026052i,0.011801-0.0066503i,-0.015256-0.038579i,-0.016713-0.033685i,-0.082843-0.027576i,-0.047483-0.011794i,-0.058991-0.033688i,-0.020564-0.022523i,0.00023508-0.036214i,-0.0069177-0.0019505i,-0.01389-0.0016511i,-0.022555+0.016675i,-0.0070346+0.014322i,-0.002799+0.011096i,0.01644+0.016589i,-0.0022584-0.0099234i,-0.0092879+0.012619i,-0.0029006+0.0028194i,0.005497+6.0169e-05i,0.0057841+0.0084075i,0.0057595-0.0039497i,-0.024425-0.0023824i,-0.020691+0.0037415i,-0.0020397+0.0030943i,0.0070057+0.0090393i,0.0030494+0.0033694i,0.015543-0.010163i,0.0068397-9.4668e-05i,0.057054+0.0096609i,-0.0056839+0.0067229i,0.0040751+0.0038615i,0.0018666-0.0056005i,0.0079975+0.00254i,-0.0014337+0.017108i,0.00069+0.0088836i,0.0071265-0.0024171i,0.0055085+0.0014796i,-0.0027523+0.015104i,0.0030965+0.0030321i,0.009091+0.0020829i,-0.0078739+0.0044122i,0.0012775-0.00015314i,0.0053152+0.0070084i,-0.039306-0.022774i,-0.031879+0.0012694i,0.0076124+0.0020911i,-0.0010463+0.013645i,-0.025766-0.021392i,-0.013112+0.0066944i,-0.015862+0.0084097i
-0.046215+0.019821i,-0.026287+0.015778i,-0.046548+0.036425i,-0.029151+0.0037744i,-0.014966+0.022304i,-0.0027523+0.008305i,-0.028421+0.012434i,-0.012521+0.027264i,-0.0020468+0.024045i,-0.0011943-0.0090611i,0.0028753+0.0012782i,0.0065316+0.0032789i,0.0027872+0.0034049i,0.0023357-0.00015903i,-0.0001035+0.0019202i,0.013329-0.00044354i,-0.0036627-0.0013161i,-0.0032789-0.0010279i,0.0042301+0.00013845i,-0.00040071-0.0013023i,0.005413-0.0023413i,0.002121-0.0029336i,0.0028654-0.0013378i,-0.0015468-0.01509i,-0.0031671+0.0012344i,-0.0016582-0.00058882i,-0.0025641-0.004545i,-0.0024094-0.0028396i,-5.4982e-05-0.0017774i,0.00082144-0.00024785i,-0.0031933+0.0022308i,0.0014333+0.0025638i,0.00073473+0.0024898i,-0.0019322+0.00099833i,-0.0047757+0.0015794i,0.0012339-0.012416i,-0.0025562-0.00065881i,-1.8363e-05+0.001323i,-0.0055251+0.0030624i,-0.00058814+0.0057117i,0.00025966-0.0018076i,9.1803e-05-0.0029319i,-0.0023243-0.0015988i,0.0022318+0.0026707i,-0.030547+0.022332i,0.017296-0.0097583i,-0.05171-0.018932i,0.011736-0.015466i,-0.016193-0.038365i,-0.022848-0.031155i,-0.077808-0.0061382i,-0.04373-0.0057066i,-0.049636-0.019373i,-0.020873-0.02425i,-0.01275-0.03745i,-0.0072184+0.00021024i,-0.01687-0.0034241i,-0.012064+0.022433i,-0.0010093+0.013315i,0.001403+0.0035284i,0.012433+0.0052143i,-0.00029399-0.0065997i,-0.0031797+0.014567i,-0.0029266+0.0044647i,0.0030173-0.0030514i,0.0060434+0.0041634i,0.0036766-0.0018562i,-0.020514+0.010077i,-0.013624+0.012219i,-0.0016051+0.0033596i,0.010785+0.0062778i,0.0027086+0.0027652i,0.0059341-0.015934i,0.0037614-0.0028131i,0.051805-0.012612i,-0.0028286+0.0099619i,0.0036826+0.002554i,-0.0016185-0.0042453i,0.0075161+0.00036687i,0.0069964+0.018058i,0.0030663+0.0057035i,0.0053907-0.0041631i,0.0042643-0.00098715i,0.0049415+0.013679i,0.0038663+0.002471i,0.0090558-0.0008968i,-0.0047024+0.009477i,-0.00017361+0.0014123i,0.0054882+0.0060456i,-0.040775-0.019959i,-0.02438+0.0052753i,0.0039644-0.0026164i,-0.0017847+0.0048645i,-0.033565-0.011926i,-0.0081341+0.0095305i,-0.01492+0.010828i
-0.042426+0.025739i,-0.020477+0.01827i,-0.033056+0.041794i,-0.029295+0.0090807i,-0.0089058+0.022584i,-0.0015186+0.0079159i,-0.029497+0.013665i,-0.0086014+0.028567i,0.0028925+0.021844i,-0.0027907-0.0076423i,0.0020388+0.0025629i,0.0080247+0.0016982i,0.0049059+0.0022965i,-7.7991e-05+0.0011158i,0.00025788+0.0020043i,0.010083-0.0033432i,-0.0040514-0.0017824i,-0.0028296-0.00044859i,0.0041841-0.00099184i,-0.00027867-0.00096759i,0.0046605-0.0038192i,0.0020138-0.0024539i,0.0022502-0.0020962i,-0.0058745-0.013578i,-0.0024779+0.0024429i,-0.0015617-9.04e-05i,-0.0038667-0.0030261i,-0.002914-0.0014797i,-0.00034027-0.0023226i,0.00018692-0.00066644i,-0.002092+0.0030998i,0.0013233+0.0014651i,0.0015298+0.0014775i,-0.0011092+0.0010232i,-0.0037072+0.0026132i,-0.00085883-0.0092061i,-0.002633-0.00015937i,0.00071391+0.00059253i,-0.0030836+0.0036146i,0.0019495+0.0051595i,-0.00010556-0.0017651i,0.00019514-0.0025695i,-0.0028627-0.0010541i,0.0035829+0.0016515i,-0.022733+0.025967i,0.016791-0.025375i,-0.055046-0.0076406i,0.011211-0.022754i,-0.018445-0.043411i,-0.027268-0.026013i,-0.070804+0.0085132i,-0.039463-0.0025231i,-0.042034-0.011846i,-0.024026-0.024624i,-0.027537-0.034735i,-0.0070182+0.001492i,-0.024132-0.0011558i,-0.0022815+0.022176i,0.0006209+0.010866i,-0.00048407-0.001972i,0.0065273+0.0014874i,-0.0048586-0.0055082i,0.0021163+0.013587i,-0.0013341+0.0054149i,-2.9773e-05-0.0032804i,0.0031131+0.0012598i,0.0039161-0.0010628i,-0.0122+0.016396i,-0.0054839+0.016098i,0.0010703+0.0035709i,0.012751+0.00034741i,0.0029823+0.003089i,-0.0027306-0.013984i,0.0013717-0.0034875i,0.040448-0.030181i,0.0023919+0.011763i,0.0037638+0.0023962i,-0.0043641-0.0018649i,0.0069378-0.0033015i,0.014803+0.014488i,0.0031103+0.0033549i,0.0028385-0.0060435i,0.0027772-0.0024634i,0.010734+0.010858i,0.0042882+0.0026097i,0.0062363-0.0042042i,0.00040097+0.010024i,0.00020793+0.00098019i,0.0072431+0.0055279i,-0.044546-0.016568i,-0.02021+0.0085232i,0.00073717-0.0046404i,-0.0058832+0.0028746i,-0.036995-0.00074468i,-0.0056006+0.0085867i,-0.012706+0.013092i
