-0.030128-0.042764i,-0.021441-0.021982i,-0.012525-0.038395i,-0.029958-0.021641i,-0.023679-0.0014145i,-0.013885-0.0042118i,-0.053238-0.054797i,-0.047822-0.015604i,-0.033864-0.013464i,0.013794+0.01201i,-0.0085677+0.0052669i,-0.019015+0.018755i,0.0019426+0.011739i,-0.004674-0.0012764i,0.00081692+0.0010406i,-0.00074693+0.029847i,0.02166+0.022494i,0.0023722-0.0020989i,-0.0030573-0.0074593i,0.008004+0.0039993i,0.0025233+0.00025347i,-0.00021087+0.0037728i,-0.00040344+0.00015243i,-0.033335-0.0082727i,0.00048553-0.0092342i,0.0013603+0.0022356i,0.0074667+0.0006748i,0.0021978+0.00029884i,0.0012136-0.00052582i,-0.0004167-0.0027351i,0.0014553-0.0024321i,-0.0027792-0.0062188i,-0.00091131-0.004749i,0.0030254-0.00041895i,0.0044101-0.0035257i,0.0025087+0.030469i,0.0045574-0.0040413i,0.0028699-0.001397i,0.0082733-0.0013537i,-0.0093907-0.0009204i,-0.00055357+0.00074792i,0.0065278+0.0016572i,0.0048356-0.0020328i,-0.003607+0.0078032i,-0.016477-0.011093i,-0.018416+0.013056i,-0.0014353-0.063034i,-0.0049571-0.027305i,-0.025253-0.032649i,-0.010528-0.026976i,0.051527-0.024919i,0.016051-0.044181i,0.023968-0.047226i,0.0080903-0.05073i,0.027403-0.021496i,0.0084453+0.0061886i,0.026604-0.035184i,-0.008211-0.0060428i,0.0029081-0.0045203i,-0.0043708-0.0069157i,-0.0017141-0.032704i,-0.020563+0.027415i,0.008586-0.012001i,-0.00872-0.0038475i,-0.0042178-0.0018997i,-0.00013056-0.012601i,-0.010967+0.0040514i,0.002309+0.010374i,-0.0050325+0.026137i,0.0050191+0.0027802i,-0.0055557-0.0020948i,-0.0019526-0.0021368i,-0.012755-0.0076571i,-0.00049903-0.004254i,-0.014231+0.011049i,0.0010939-0.011011i,-0.0086917+0.00054319i,-0.0067819-0.002601i,0.005244+0.0011028i,-0.0081199-0.00097147i,0.002347+1.3677e-05i,0.004617+0.0082479i,0.0040318+0.00063936i,-0.006378-0.011896i,0.0031411+0.009908i,-0.012378+0.0034642i,0.0069983+8.5007e-05i,-0.023005-0.0034876i,-0.016937+0.0068329i,-0.0053241-0.067857i,0.0074139-0.012155i,-0.049591-0.024499i,-0.020541-0.00090314i,0.016466+0.012272i,-0.023603+0.015401i,-0.02054-0.0063727i
-0.037651-0.038056i,-0.022906-0.013229i,-0.018321-0.039981i,-0.032174-0.018989i,-0.021669-0.00067648i,-0.015283-0.0015794i,-0.06163-0.044354i,-0.048629-0.0076247i,-0.032951-0.0066492i,0.012017+0.0079878i,-0.01035+0.0053398i,-0.0088737+0.025626i,0.0063861+0.008862i,-0.0061732+0.002389i,0.00084788+0.00057979i,0.0062254+0.025743i,0.022168+0.013043i,0.0024147-0.00089718i,-0.005757-0.0031259i,0.0086151+0.00028869i,0.0010311+0.00025828i,0.00010478+0.0032444i,-0.00047513+0.00062886i,-0.021587+0.0082963i,-0.0019409-0.007655i,0.0033406+0.00050285i,0.0052264+0.00098595i,0.002766+0.00084227i,0.0016036-0.0013648i,-0.0015404-0.0024227i,0.00092478-0.0033365i,-0.0034468-0.0049859i,-0.0018131-0.0045554i,0.0025589-0.0017411i,0.0041135-0.0031943i,0.012278+0.025466i,0.0038458-0.0058704i,0.0018333-0.002104i,0.0085787-0.0044097i,-0.0048437-0.0015346i,-4.4247e-05+0.0019848i,0.0085512+0.0020828i,0.0037013-0.0023839i,-0.0038081+0.0086041i,-0.015458-0.01162i,-0.0066152+0.016215i,-0.013331-0.062386i,-0.015969-0.029772i,-0.020144-0.022889i,-0.0070661-0.01644i,0.047306-0.048529i,0.015202-0.062021i,0.025623-0.047409i,-0.0014832-0.054499i,0.014896-0.017256i,0.0073941-0.0016527i,0.013136-0.038594i,-0.0071412+0.00029992i,-0.0011062-0.012587i,-0.0061225-0.0060286i,-0.022949-0.029118i,-0.007339+0.025576i,0.0023867-0.014553i,-0.010776+0.00045886i,-0.0033174-0.00038531i,-0.0060538-0.012136i,-0.011829+0.009254i,0.0077211+0.010768i,0.011011+0.021853i,0.0048892-0.001591i,-0.0051571+0.0012621i,-0.0047557-0.0024128i,-0.017015+0.0013451i,-0.00072834-0.002833i,-0.028075+0.01584i,-0.0051245-0.008572i,-0.0075772+0.0037703i,-0.0082833+0.0013332i,0.003846-0.0041598i,-0.0069761+0.0015569i,0.003009-0.0032627i,0.0025111+0.0032294i,0.0034299-0.0005762i,-0.011495-0.0045165i,0.0049715+0.0060286i,-0.0094212+0.0077134i,0.0059362-0.0029127i,-0.022293+0.0054066i,-0.014875+0.011091i,-0.01671-0.065101i,0.0026384-0.017245i,-0.055526-0.0086435i,-0.015136-0.0051084i,0.016552+0.007114i,-0.016683+0.021361i,-0.02844-0.008875i
-0.041416-0.032513i,-0.020614-0.011895i,-0.025842-0.04177i,-0.034586-0.013327i,-0.020947-0.00084279i,-0.016057+0.0012145i,-0.071825-0.030042i,-0.049918+0.0011281i,-0.033438-0.0028602i,0.011711+0.0056388i,-0.010569+0.010932i,0.0014434+0.023323i,0.0077853+0.0044941i,-0.0041122+0.0037829i,0.00070163+0.00043842i,0.010697+0.019513i,0.024558+0.0076745i,0.0033678-0.0013277i,-0.0045742+0.00018988i,0.0044869-0.0031673i,-0.00040708+0.0012921i,0.0010864+0.0044365i,-0.00031003+0.00092132i,-0.011191+0.01507i,-0.003238-0.0062043i,0.0032446-0.0019487i,0.0047091-0.00033451i,0.0040131-0.00023702i,0.00041148-0.0015309i,-0.0021328-0.0013491i,-0.00026843-0.0038497i,-0.0048508-0.0038366i,-0.003143-0.0041458i,0.0017771-0.0032307i,0.0041084-0.0064317i,0.018638+0.017408i,0.0021376-0.006729i,0.00088557-0.0024199i,0.0067876-0.0092757i,-0.004596-0.00018562i,0.00090205+0.0025292i,0.0086257-0.002955i,0.0034624-0.0027588i,-0.0018424+0.01038i,-0.017239-0.013875i,0.0033131+0.013979i,-0.024369-0.058808i,-0.024866-0.021365i,-0.0091389-0.021608i,-0.00056597-0.01982i,0.037671-0.068002i,-0.002864-0.077077i,0.030136-0.05381i,-0.011644-0.051668i,0.011088-0.016072i,0.0047053-0.0046776i,-0.0031581-0.036534i,0.0025005-0.00044206i,-0.0093927-0.012124i,-0.005888-0.0076191i,-0.037835-0.016914i,0.00063444+0.023047i,-0.0039356-0.014535i,-0.0080535+0.0032092i,-0.0048272+0.00029666i,-0.011704-0.0099749i,-0.0053297+0.015486i,0.014322+0.004635i,0.018504+0.011782i,0.0037481-0.0034934i,-0.0041593+0.0016319i,-0.0065133-0.0003881i,-0.012943+0.010688i,-0.0042348-0.0022543i,-0.024277+0.026859i,-0.0067609-0.0036981i,-0.0055497+0.0070053i,-0.0084565+0.0081373i,-0.0021638-0.0051726i,-0.0067773+0.0027336i,0.0010326-0.0047005i,0.00041159+0.0028309i,0.0028219-0.0027597i,-0.007565+0.0022365i,0.0046999+0.0022704i,-0.0060055+0.0097558i,0.0028803-0.0060837i,-0.018251+0.011598i,-0.010181+0.01408i,-0.023351-0.061028i,-0.0036778-0.016378i,-0.053287+0.0052525i,-0.021621-0.01086i,0.016194+0.00024996i,-0.005908+0.020146i,-0.03209-0.0017448i
-0.04528-0.028112i,-0.021995-0.013124i,-0.035726-0.042102i,-0.032264-0.0080144i,-0.021671-0.001236i,-0.015573+0.0047134i,-0.073425-0.006384i,-0.048159+0.013004i,-0.033828+0.0032897i,0.01168+0.0034074i,-0.0056079+0.014795i,0.0062744+0.017943i,0.0070183+0.00074134i,-0.0037016-0.0026079i,0.00031675+0.0002631i,0.011013+0.012057i,0.026555-0.0031155i,0.0027689-0.0040728i,-0.0041414+0.0027885i,0.0033508-0.0033642i,0.00060345+0.0030123i,0.0037663+0.004463i,-0.00016788+0.0013713i,0.0029464+0.018109i,-0.0043287-0.0049377i,0.0017248-0.0031444i,0.0050805-0.0018594i,0.0035178-0.0020759i,0.00032927-0.0010897i,-0.0026931-0.00033654i,-0.0015389-0.0036542i,-0.0054794-0.0022279i,-0.0042528-0.0028335i,0.00044295-0.0040298i,-0.00010885-0.0073462i,0.018732+0.010128i,-0.00040475-0.0070789i,0.0002274-0.002623i,0.0012759-0.011067i,-0.0024217+0.00091783i,0.0023008+0.002157i,0.0049381-0.0045758i,0.002327-0.0033247i,0.0014746+0.01023i,-0.018207-0.015146i,0.01219+0.0079493i,-0.033272-0.051261i,-0.02532-0.010832i,-0.0058295-0.025178i,0.00071956-0.021812i,0.017708-0.088034i,-0.025895-0.076651i,0.026117-0.071546i,-0.018027-0.047842i,0.0078345-0.013948i,0.0010417-0.0070977i,-0.014143-0.03483i,0.0011181-0.009512i,-0.012106-0.0070858i,-0.011248-0.01132i,-0.042441+0.0032515i,0.010842+0.017748i,-0.0098887-0.011962i,-0.0063311+0.0037256i,-0.0046029+0.0031432i,-0.015956-0.004388i,0.0032136+0.013021i,0.016142-0.0028614i,0.0086557+0.0028685i,0.002669-0.005535i,-0.0047443+0.001927i,-0.0066507+0.0029443i,-0.0077914+0.01687i,-0.0056261+0.0017404i,-0.015857+0.03212i,-0.006986-0.0014015i,-0.001041+0.0079228i,-0.0013153+0.013222i,-0.0062951-0.0016569i,-0.0045722+0.0040124i,-0.0006517-0.0051929i,-0.00024546+0.0033285i,-0.00056141-0.0044826i,-0.0040214+0.0015097i,0.0010896-0.00078543i,-0.002178+0.011602i,-0.0013317-0.0059225i,-0.012294+0.016229i,-0.005668+0.013193i,-0.028795-0.059029i,-0.0027192-0.013381i,-0.047929+0.020061i,-0.029834-0.0071269i,0.014367-0.0056368i,0.0023461+0.014303i,-0.029492+0.0054218i
-0.049651-0.021475i,-0.026282-0.010844i,-0.049178-0.038122i,-0.030069-0.0058437i,-0.024219-0.0006896i,-0.013881+0.0081183i,-0.060922+0.0088247i,-0.040444+0.022044i,-0.030593+0.010768i,0.01196+0.0014393i,-0.00025098+0.013428i,0.009065+0.014807i,0.0045387-0.0012518i,-0.048429+0.039042i,-4.5177e-05+8.8398e-05i,0.0084551+0.0098413i,0.01753-0.013454i,0.0013399-0.0051425i,-0.00078766+0.0069537i,0.0022798-0.0034171i,0.0023566+0.0046003i,0.0050747+0.0021366i,0.00015189+0.0020473i,0.010069+0.019718i,-0.0054715-0.0027586i,0.00042849-0.0033704i,0.0027748-0.0035199i,0.0030494-0.0028812i,0.00020264-0.00094252i,-0.0023279+0.0010792i,-0.0027941-0.0028596i,-0.0053798-0.00015418i,-0.0041984-0.0014985i,-0.0016394-0.0036871i,-0.0019856-0.0060749i,0.019541+0.0057857i,-0.0024922-0.0062013i,-0.0011021-0.002547i,-0.0029983-0.009033i,-0.0018905-0.0012962i,0.0028559+0.0010423i,0.0023688-0.0036706i,0.0019303-0.0034148i,0.0030631+0.0088192i,-0.023464-0.019095i,0.018231-0.003309i,-0.037722-0.042687i,-0.020872-0.0023633i,-0.0040555-0.030014i,0.0023433-0.023389i,-0.013632-0.097192i,-0.044037-0.06735i,0.0063714-0.083354i,-0.026471-0.041175i,0.0068724-0.010486i,-0.0026976-0.0072526i,-0.024442-0.024704i,-0.0056925-0.011953i,-0.013836-0.0051797i,-0.020951-0.0066899i,-0.037138+0.019418i,0.01415+0.0076489i,-0.014588-0.0068364i,-0.0050938+0.0047207i,-0.0034709+0.0056761i,-0.016464+0.0043352i,0.0043125+0.0082558i,0.015113-0.0099399i,0.023909-0.023405i,0.00054483-0.0074447i,-0.0066862+0.0046882i,-0.0038554+0.0057557i,0.0005529+0.019062i,-0.0046185+0.0053676i,-0.0074637+0.039507i,-0.0083761-6.158e-05i,0.001097+0.005237i,0.0053752+0.011683i,-0.0074876+0.0035897i,-0.0035318+0.0015784i,-0.0030075-0.0055063i,0.00045303+0.0052262i,-0.0039475-0.0026881i,-0.0046908-0.00031963i,-0.0015637+0.00087271i,0.0038945+0.012039i,-0.0045678-0.0042855i,-0.0037186+0.017682i,-0.0043398+0.013077i,-0.037775-0.054059i,0.0011466-0.019135i,-0.035926+0.036042i,-0.033835+0.0034076i,0.01002-0.010662i,0.0029871+0.0065271i,-0.02591+0.0073754i
-0.051407-0.015203i,-0.026721-0.0080979i,-0.060938-0.024723i,-0.029968-0.004811i,-0.028096+0.0025178i,-0.010102+0.010257i,-0.04936+0.014456i,-0.031943+0.026524i,-0.025477+0.014674i,0.010956-0.00074652i,0.0019546+0.012081i,0.012099+0.0088367i,0.0020917-0.0019208i,0.0096103+0.01659i,-0.00051971+0.00016231i,0.0083629+0.0097916i,0.0067913-0.015661i,0.0012817-0.0051002i,0.004123+0.00649i,0.001098-0.003337i,0.0053045+0.0027593i,0.0049346+0.00034862i,0.0014019+0.0023859i,0.023401+0.0055975i,-0.0043731-0.00018124i,-0.001284-0.0038846i,0.00057418-0.0012477i,0.002407-0.0039645i,-0.00017833-0.0012178i,-0.00060288+0.0022385i,-0.0031725-0.0016971i,-0.0046243+0.00061629i,-0.0047813+0.00055836i,-0.002352-0.0021655i,-0.0026584-0.0047317i,0.020585-0.00024412i,-0.0042489-0.0046452i,-0.002728-0.0020904i,-0.0056923-0.006752i,-0.0046339-0.002122i,0.0037711+0.00091015i,0.00078404-0.0024368i,0.00085653-0.0037331i,0.0043825+0.0079597i,-0.032627-0.017702i,0.010167-0.018155i,-0.036415-0.035504i,-0.015908+0.0027716i,-0.0054681-0.033036i,0.0052584-0.02919i,-0.044797-0.086185i,-0.05951-0.052342i,-0.012365-0.082109i,-0.026404-0.02672i,0.012913-0.0053308i,-0.0049673-0.0054415i,-0.026131-0.0094492i,-0.010915-0.011818i,-0.018923-0.00086612i,-0.019598+0.0029174i,-0.028058+0.033181i,0.012364+0.00036611i,-0.013483+0.0019231i,-0.0050666+0.005077i,0.00074729+0.0082131i,-0.011157+0.010566i,0.0058508+0.0094312i,0.010435-0.021365i,0.0084212-0.028559i,-0.005251-0.0099426i,-0.0060819+0.0093057i,-0.0026526+0.0059161i,0.0087227+0.016869i,-0.00087924+0.0080064i,0.0063948+0.047916i,-0.0092106+0.0018932i,0.00090028+0.004829i,0.0091904+0.0067755i,-0.0038656+0.0093032i,-0.0055399+0.002792i,-0.0076047-0.003961i,0.0037961+0.0060452i,-0.0041753+0.0023427i,-0.0071063+0.0004416i,0.00012654+0.005009i,0.0060887+0.0085584i,-0.0062753-0.0029099i,0.0019258+0.012749i,-3.9608e-05+0.014769i,-0.041295-0.042351i,-0.0074029-0.031667i,-0.01155+0.039135i,-0.029137+0.011928i,0.012136-0.018681i,0.0011824+9.4294e-05i,-0.022735+0.011693i
-0.053312-0.0084016i,-0.031965-0.0076739i,-0.067089-0.0087778i,-0.029775-0.0014719i,-0.029944+0.009615i,-0.0067514+0.010169i,-0.041281+0.016169i,-0.024647+0.028094i,-0.022932+0.017153i,0.011098-0.0039065i,0.0064427+0.010511i,0.010216-0.00085022i,-0.00046208-0.00060545i,0.011241+0.0053257i,-0.00075776+0.00048663i,0.0093286+0.0097105i,-0.00074019-0.012674i,-8.2821e-05-0.0063829i,0.00598+0.0025546i,0.00034232-0.0026098i,0.0057541+1.2163e-05i,0.0054047-0.00039906i,0.0026749+0.001808i,0.019453-0.0084526i,-0.0020421-0.00011891i,-0.001864-0.00209i,0.0016986-0.0026833i,0.00069083-0.0051293i,-0.00055772-0.00042544i,0.0007566+0.0015251i,-0.0033404-0.00087733i,-0.0040079+0.002346i,-0.0034059+0.0020796i,-0.0022818-0.0014919i,-0.0042741-0.0042071i,0.018386-0.0070303i,-0.0045817-0.0021865i,-0.0031994-0.00039055i,-0.0045997-0.0016364i,-0.0076136+0.0012757i,0.0029813-0.0015705i,0.0016987-0.003034i,-0.00016356-0.0035463i,0.0058191+0.0053394i,-0.040019-0.010493i,-0.0028389-0.016904i,-0.041536-0.035656i,-0.0049602+0.006117i,-0.0067294-0.034994i,-0.0025369-0.038832i,-0.062167-0.068334i,-0.061762-0.03069i,-0.032269-0.077124i,-0.019609-0.021678i,0.01975-0.019408i,-0.0057516-0.0032693i,-0.020475-0.0030873i,-0.020297-0.0081741i,-0.015892+0.0085938i,-0.016687+0.0066948i,-0.0081084+0.038896i,0.010059-0.0039131i,-0.012147+0.0037379i,-0.0017942+0.0046526i,0.0030352+0.0050423i,-0.0047541+0.014149i,0.011128+0.0065336i,-0.0051227-0.024942i,-0.012416-0.025041i,-0.0088831-0.0027697i,-0.0020953+0.011633i,0.00093444+0.0062193i,0.015146+0.0090197i,0.0023444+0.0072475i,0.031926+0.045296i,-0.0060366+0.0057608i,0.0012957+0.004495i,0.009749+0.0012516i,0.0020607+0.0099503i,-0.0086517+0.0043996i,-0.0095475+0.0024955i,0.0068342+0.0050437i,-0.0021771+0.0051985i,-0.0085898+0.0035883i,0.0028787+0.0047728i,0.0070221+0.0057852i,-0.0065648-0.00060357i,0.0056718+0.0084774i,0.0043784+0.011944i,-0.041916-0.037404i,-0.02693-0.02982i,0.0037017+0.028168i,-0.024481+0.016807i,-0.00058448-0.02563i,-0.0033518-0.0036891i,-0.015386+0.011984i
-0.054077-0.00052828i,-0.036742+0.00079505i,-0.066883+0.0085762i,-0.027502+0.00010616i,-0.026513+0.016946i,-0.0049241+0.0094508i,-0.035625+0.016817i,-0.018521+0.028411i,-0.018474+0.021747i,0.0095003-0.0080038i,0.0078537+0.0043316i,0.0064999+0.002967i,-0.00065648+0.0019181i,0.0072709+0.00063786i,-0.00080273+0.00067403i,0.012213+0.0078544i,-0.0051423-0.0073103i,-0.0032191-0.0060057i,0.0041954+0.00048331i,6.3273e-06-0.0021773i,0.0039433-0.0013282i,0.004965-0.0022944i,0.0032226+0.00067951i,0.011532-0.015276i,-0.0024371-0.0012244i,-0.0016102-0.0013498i,0.001037-0.0041263i,-0.00048246-0.00332i,0.00070797-0.00081781i,0.00088907+0.00051514i,-0.0036811-3.7818e-05i,-0.0022155+0.0034621i,-0.0020617+0.0032679i,-0.0026135-0.0010177i,-0.0053626-0.0014212i,0.013739-0.012566i,-0.0037386-0.0011166i,-0.0021887+0.00097152i,-0.0036801-0.0023011i,-0.0055961+0.0048869i,0.0018139-0.0021124i,0.0015708-0.0031126i,-0.0012646-0.0033498i,0.00493+0.002369i,-0.043323+7.0487e-05i,-0.0049221-0.0075008i,-0.04413-0.042787i,0.0044456+0.0014763i,-0.009356-0.03893i,-0.011681-0.036963i,-0.076565-0.049965i,-0.053462-0.016454i,-0.052734-0.062514i,-0.014769-0.022762i,0.013352-0.031963i,-0.0058789-0.0020289i,-0.016219+0.00018849i,-0.026881+0.0028357i,-0.011407+0.012285i,-0.011804+0.011551i,0.01041+0.031293i,0.005989-0.0080631i,-0.011712+0.0096121i,-0.0019972+0.0019311i,0.004997+0.0038824i,0.0024192+0.012298i,0.011519-0.0010798i,-0.018253-0.015698i,-0.023507-0.010628i,-0.0060075+0.0024689i,0.0034464+0.011385i,0.0033194+0.0047002i,0.017587+0.0012491i,0.0068953+0.006471i,0.049695+0.027717i,-0.0040109+0.0046981i,0.0021038+0.0051389i,0.007327-0.003737i,0.0068448+0.0067495i,-0.0085339+0.013159i,-0.0067478+0.0093177i,0.0092178+0.0009789i,0.0030652+0.0053197i,-0.0075579+0.0088331i,0.0040601+0.0025562i,0.0075181+0.0039363i,-0.0071988+0.00090869i,0.0061061+0.0035876i,0.0056129+0.0089408i,-0.039918-0.02986i,-0.035753-0.012326i,0.0098149+0.014359i,-0.01202+0.02158i,-0.013693-0.028075i,-0.01125-0.0030468i,-0.014839+0.0067633i
-0.052937+0.0074751i,-0.0347+0.010981i,-0.060099+0.024739i,-0.027856+0.00072478i,-0.021226+0.021231i,-0.003489+0.0089245i,-0.031868+0.015966i,-0.014214+0.027791i,-0.011328+0.024371i,0.004788-0.011313i,0.0056737+0.0011538i,0.0062373+0.0046582i,0.00063394+0.00321i,0.0039822-0.0013103i,-0.0008988+0.0011135i,0.013889+0.004081i,-0.0046315-0.0022184i,-0.0050601-0.0028376i,0.0035405+0.00038633i,-0.00020532-0.0017883i,0.0038862-0.0006547i,0.003431-0.003366i,0.0033775-0.00043785i,0.0042256-0.015736i,-0.0034455-0.0010476i,-0.0017134-0.0014275i,-0.0008035-0.0046725i,-0.0014154-0.0030477i,9.5717e-05-0.0016042i,0.00090677+0.00018049i,-0.0036705+0.0010282i,7.2957e-05+0.0035543i,-0.00067791+0.0029696i,-0.002436+9.7064e-05i,-0.0044634-0.00040217i,0.0057694-0.015569i,-0.0028682-0.00071297i,-0.0011023+0.0015413i,-0.0052141-0.0018337i,-0.0030678+0.0063478i,0.0010655-0.0018733i,0.00037686-0.0036941i,-0.0014505-0.0029835i,0.0025467+0.0013867i,-0.042617+0.011202i,0.003648-0.0023559i,-0.048449-0.03427i,0.0098457-0.0061893i,-0.014822-0.038572i,-0.017377-0.03471i,-0.082612-0.025637i,-0.047681-0.011144i,-0.056231-0.038153i,-0.013912-0.025035i,0.0007923-0.038957i,-0.0065245-0.0014482i,-0.013924-0.0019682i,-0.021549+0.016353i,-0.0061085+0.014549i,-0.0025386+0.010685i,0.0157+0.016639i,9.2759e-05-0.0062565i,-0.0072758+0.012134i,-0.003687+0.0025127i,0.005546-0.00028075i,0.0051598+0.0079157i,0.0059575-0.0036341i,-0.02259-0.0028492i,-0.022144+0.0068764i,-0.002609+0.0030873i,0.0065619+0.0093615i,0.0030458+0.0030923i,0.013852-0.0098028i,0.0073886+0.00063807i,0.057797+0.0021677i,-0.0049216+0.0067451i,0.0040888+0.0037019i,0.0021963-0.0056877i,0.0075907+0.0030934i,-0.001229+0.017654i,0.00077904+0.0093002i,0.0073817-0.0029659i,0.0051589+0.0014697i,0.0013535+0.012903i,0.0030366+0.0028526i,0.0076247+0.0026991i,-0.0084007+0.0038686i,0.0020497+0.00043874i,0.0058292+0.0069353i,-0.050484-0.037405i,-0.030393+0.0028547i,0.0069623+0.0037658i,-0.0015881+0.014162i,-0.026948-0.022443i,-0.013239+0.006158i,-0.01777+0.0087998i
-0.050537+0.014786i,-0.029203+0.016382i,-0.048444+0.035965i,-0.030135+0.0033976i,-0.015493+0.023812i,-0.0023359+0.0086698i,-0.031266+0.015521i,-0.010793+0.028274i,-0.0047462+0.02341i,-0.0013745-0.010721i,0.0026775+0.0012832i,0.0074724+0.0036929i,0.0019973+0.0030442i,0.0015406-0.0013854i,-0.00054352+0.0016246i,0.012108-0.00031028i,-0.0030708-0.0010014i,-0.0038141-0.00048362i,0.0034662-0.00052298i,-0.00027252-0.0013975i,0.0045523-0.0019783i,0.0019561-0.0031239i,0.0030558-0.0015105i,-0.00092776-0.014815i,-0.0036336+0.00030159i,-0.0020558-0.00070715i,-0.0023249-0.0040036i,-0.0024229-0.0025373i,-0.00038109-0.0022824i,0.00073304-0.00040827i,-0.0030511+0.002687i,0.0012942+0.0024162i,0.00042907+0.0025505i,-0.0017839+0.00062387i,-0.0046392+0.00089858i,-0.00013472-0.011602i,-0.0028707-0.0013345i,-1.6041e-05+0.0012902i,-0.0048818+0.00026852i,-0.00022696+0.00692i,0.00079626-0.0017682i,0.00035075-0.0029788i,-0.0029173-0.0025473i,0.0017534+0.0032285i,-0.036481+0.020762i,0.014815-0.0099884i,-0.056014-0.023887i,0.010338-0.014047i,-0.016269-0.038529i,-0.023409-0.031572i,-0.077991-0.0045282i,-0.043579-0.0052174i,-0.049024-0.024213i,-0.014639-0.028475i,-0.014256-0.039893i,-0.006573+1.5014e-05i,-0.017045-0.0036048i,-0.011082+0.021901i,-0.0013361+0.01294i,0.0015298+0.0033638i,0.012163+0.0057866i,0.0036914-0.0081752i,-0.0025784+0.013204i,-0.0039329+0.0042565i,0.0028321-0.0032546i,0.0050345+0.0041567i,0.0041972-0.0014817i,-0.019498+0.0093256i,-0.013023+0.01481i,-0.0014291+0.0037749i,0.010719+0.0063657i,0.0027959+0.0025791i,0.0043006-0.013965i,0.0045546-0.0023298i,0.047694-0.023565i,-0.001954+0.0096426i,0.0039743+0.0022974i,-0.0014437-0.0040005i,0.0075622+0.0011731i,0.0073064+0.018429i,0.002776+0.0061188i,0.0055857-0.0047679i,0.004099-0.00070404i,0.0071786+0.010207i,0.0036382+0.0025159i,0.0083409-0.00045471i,-0.0055803+0.0091663i,0.00048266+0.0011153i,0.0060586+0.005848i,-0.046462-0.025173i,-0.023908+0.0111i,0.003667-0.00034584i,-0.0017761+0.0054837i,-0.036663-0.011865i,-0.0083565+0.0088308i,-0.016784+0.011448i
-0.047067+0.02121i,-0.023336+0.019459i,-0.035865+0.041358i,-0.0301+0.0089189i,-0.00933+0.0241i,-0.0011741+0.0083939i,-0.03111+0.017634i,-0.0063428+0.029135i,0.00013019+0.021413i,-0.0036961-0.0078798i,0.0018427+0.0027838i,0.0087908+0.0019342i,0.0060894-0.0030836i,-0.00048431+0.00011683i,-0.00022209+0.001804i,0.0095619-0.0027659i,-0.003019-0.0013071i,-0.002926+0.00019603i,0.0029656-0.00081895i,-0.00026498-0.0011541i,0.0039396-0.003601i,0.0017596-0.0025393i,0.0024034-0.0023174i,-0.0055657-0.01332i,-0.0035043+0.0018661i,-0.0018422-5.785e-05i,-0.0036825-0.0028247i,-0.0028698-0.0012846i,-0.00084854-0.0030031i,0.00010896-0.00076835i,-0.0015157+0.0036745i,0.0012217+0.0015463i,0.001164+0.0016793i,-0.0011325+0.00081805i,-0.0038871+0.0018784i,-0.0015552-0.0082561i,-0.0028513-0.0011662i,0.00068309+0.00043087i,-0.0032566+0.0014722i,0.0026169+0.0059618i,0.00034333-0.0018633i,0.00046528-0.003073i,-0.0035607-0.0016762i,0.0030386+0.0028824i,-0.028682+0.02533i,0.014138-0.025239i,-0.058937-0.010138i,0.010951-0.020958i,-0.018739-0.043314i,-0.027778-0.026154i,-0.070454+0.0095457i,-0.039298-0.0016691i,-0.042801-0.016199i,-0.018995-0.029918i,-0.02837-0.034416i,-0.0065806+0.0011406i,-0.024347-0.0010974i,-0.0015541+0.021319i,0.0016711+0.0087835i,-0.0003616-0.0022403i,0.0064909+0.0016574i,-0.00054969-0.010006i,0.0017463+0.011915i,-0.0022908+0.0055147i,-0.00013906-0.0032249i,0.0026014+0.0016325i,0.0044029-0.00081771i,-0.011287+0.014987i,-0.0028841+0.017599i,0.0015326+0.0039562i,0.012798-1.5623e-05i,0.003047+0.0029753i,-0.0034679-0.01187i,0.0021276-0.0031349i,0.026479-0.038196i,0.0027707+0.010954i,0.0041811+0.0021015i,-0.0038004-0.001792i,0.0069585-0.0032005i,0.015203+0.014669i,0.0030068+0.0039259i,0.0033071-0.0060537i,0.0029032-0.0021968i,0.012859+0.0073838i,0.0041068+0.0027729i,0.0061749-0.0035861i,0.00011411+0.010532i,0.00049999+0.0006886i,0.0077209+0.0050362i,-0.048702-0.021221i,-0.019114+0.0155i,0.001547-0.0029171i,-0.0055621+0.0033746i,-0.039137+0.00133i,-0.0060595+0.0078654i,-0.014222+0.014296i
