-0.028472-0.043385i,-0.021992-0.021502i,-0.013302-0.037745i,-0.029775-0.022089i,-0.022797-0.0016386i,-0.014653-0.0064064i,-0.055157-0.060802i,-0.048157-0.01874i,-0.03883-0.015963i,0.010847+0.012876i,-0.0082894+0.005431i,-0.020328+0.019466i,0.002385+0.012244i,-0.0058693-0.0034401i,0.00043568+0.0012496i,-0.0021386+0.031333i,0.027114+0.028166i,0.0028133-0.0024735i,-0.0021282-0.0072231i,0.008054+0.0027186i,0.002703+0.0011662i,5.2142e-06+0.003868i,-0.00037842+0.00010036i,-0.038267-0.012504i,0.00035155-0.0083887i,0.001529+0.0023058i,0.0062761+0.0017077i,0.0022372+0.00044573i,0.0011094-0.00074262i,-0.00039916-0.0027871i,0.0015285-0.0027237i,-0.0028069-0.0062283i,-0.00072098-0.0047281i,0.0031625-0.00093131i,0.0047678-0.0029334i,0.0019127+0.031612i,0.00413-0.0039248i,0.0030071-0.0016219i,0.0087243-0.0010188i,-0.0050492-0.0026181i,-0.00028446+0.00090443i,0.0096152-5.2642e-05i,0.0047344-0.0024862i,-0.0021578+0.00909i,-0.016939-0.0077547i,-0.01768+0.015464i,-0.0017098-0.062928i,-0.0047893-0.026885i,-0.0253-0.03307i,-0.010651-0.027226i,0.054999-0.020601i,0.017431-0.043246i,0.023075-0.049195i,0.0071186-0.055463i,0.026957-0.020247i,0.0084751+0.0061468i,0.025639-0.033499i,-0.0078641-0.006403i,0.0033527-0.0044982i,-0.004786-0.0070158i,-0.0019074-0.033872i,-0.019138+0.029344i,0.0086106-0.011774i,-0.0093029-0.0040412i,-0.0041363-0.0017398i,0.0008198-0.012885i,-0.011075+0.0042486i,0.0024686+0.010028i,-0.0055014+0.026889i,0.0047431+0.0020465i,-0.0054964-0.0018076i,-0.0020537-0.0023381i,-0.012791-0.0073781i,-0.00060178-0.0043085i,-0.036586+0.00026565i,0.0012341-0.010626i,-0.0086185-1.4762e-05i,-0.0067969-0.0024211i,0.004964+0.0012033i,-0.0083244-0.00059035i,0.0019583-6.9643e-05i,0.004108+0.0075872i,0.0042029+0.00034091i,-0.0082073-0.013326i,0.0030592+0.0095501i,-0.015523+0.0049897i,0.0064937-0.0001753i,-0.022676+1.2644e-05i,-0.017768+0.0057735i,-0.0088116-0.065437i,0.0082287-0.012507i,-0.049365-0.023656i,-0.021039+0.00036622i,0.017724+0.011929i,-0.023301+0.01432i,-0.019594-0.0059027i
-0.036369-0.040328i,-0.02321-0.012661i,-0.018589-0.038919i,-0.032028-0.019378i,-0.020688-0.0013827i,-0.016584-0.0036122i,-0.065128-0.049611i,-0.049509-0.010907i,-0.039291-0.007417i,0.011142+0.0089812i,-0.010315+0.0049401i,-0.0097761+0.026892i,0.0068411+0.0089892i,-0.010518-2.7265e-05i,0.00045771+0.00088034i,0.0055049+0.027099i,0.029731+0.017051i,0.0033339-0.0011182i,-0.0048494-0.0032816i,0.0073184-0.00049864i,0.00094949+0.00085513i,0.0001919+0.0040997i,-0.00047419+0.0005544i,-0.026705+0.0089569i,-0.0022248-0.007223i,0.0033968+0.00049761i,0.0049803+0.0022725i,0.0027723+0.00094542i,0.0016895-0.0013703i,-0.0015813-0.0023209i,0.0011007-0.0038048i,-0.0032082-0.0048485i,-0.0016426-0.0046172i,0.0024406-0.0020891i,0.0045987-0.0029439i,0.011912+0.026918i,0.0033606-0.0053768i,0.0018943-0.0022768i,0.009765-0.0044279i,-0.0034838-0.0020207i,0.00046116+0.0019549i,0.0083215-0.0014585i,0.0032082-0.0027336i,-0.0017968+0.010047i,-0.015283-0.0079047i,-0.0051729+0.018099i,-0.013311-0.062353i,-0.015472-0.02974i,-0.020058-0.022777i,-0.0074668-0.016735i,0.052355-0.045644i,0.017219-0.061907i,0.024762-0.049237i,-0.0034909-0.059816i,0.014143-0.016483i,0.0073618-0.0017406i,0.011277-0.036803i,-0.0074798-0.0001418i,-0.00055661-0.013109i,-0.0062707-0.0061612i,-0.023768-0.029931i,-0.0061772+0.026689i,0.0023871-0.014453i,-0.010807+0.00015088i,-0.0030703+5.5489e-05i,-0.0052532-0.012904i,-0.011713+0.0095018i,0.0080063+0.010675i,0.01145+0.022919i,0.0046063-0.0017394i,-0.0051846+0.0013295i,-0.0047311-0.0024585i,-0.016408+0.0019013i,-0.0008787-0.0029457i,-0.041154+0.0086331i,-0.0048128-0.0084516i,-0.007827+0.0035665i,-0.0079411+0.0013613i,0.003401-0.0040503i,-0.0073301+0.001376i,0.0025742-0.0028535i,0.0028381+0.0030829i,0.0032616-0.00056804i,-0.01462-0.0049434i,0.0047798+0.00594i,-0.010978+0.010673i,0.0056499-0.0028453i,-0.020516+0.0077941i,-0.016198+0.010701i,-0.019966-0.060789i,0.00325-0.017851i,-0.054943-0.0085855i,-0.015446-0.0042529i,0.017893+0.0060812i,-0.017172+0.019819i,-0.027251-0.0080536i
-0.042664-0.034865i,-0.020773-0.011326i,-0.025797-0.040517i,-0.034392-0.013968i,-0.020161-0.0019879i,-0.017784-0.00054565i,-0.076669-0.033621i,-0.051682-0.00199i,-0.039438-0.00041306i,0.010895+0.0059988i,-0.011121+0.010608i,0.0015615+0.025051i,0.0078591+0.0042865i,-0.011355+0.0053621i,0.00036497+0.00081839i,0.01022+0.020944i,0.033212+0.0074754i,0.0048294-0.001645i,-0.004045-0.00031355i,0.0059126-0.0022263i,-0.00062134+0.0018292i,0.0017206+0.0050076i,-0.00034511+0.00083274i,-0.014884+0.017743i,-0.00361-0.005768i,0.0033003-0.0019916i,0.0050857+0.00072089i,0.0040894-0.00012226i,0.00056681-0.0018755i,-0.0020276-0.0013004i,-0.0003503-0.004452i,-0.0047078-0.003693i,-0.0029242-0.0042126i,0.0016398-0.003437i,0.004999-0.0066014i,0.018865+0.018849i,0.00145-0.0061218i,0.0010432-0.0025515i,0.0077207-0.010065i,-0.0037824-0.00093044i,0.0015608+0.0022224i,0.0069443-0.0040493i,0.0028006-0.0028946i,0.00095019+0.011481i,-0.016044-0.010055i,0.0051227+0.015282i,-0.024143-0.059051i,-0.024578-0.021955i,-0.0087638-0.021366i,-0.00098442-0.019865i,0.043393-0.066403i,-0.00080046-0.077483i,0.029187-0.056192i,-0.015221-0.056606i,0.010068-0.014796i,0.0046831-0.004939i,-0.00010529-0.037659i,0.0021887-0.00036999i,-0.0091473-0.012876i,-0.0061827-0.008043i,-0.038981-0.016919i,0.0013011+0.023949i,-0.0040569-0.014414i,-0.0085132+0.0030681i,-0.0044393+0.00055892i,-0.011597-0.01106i,-0.0052112+0.015535i,0.014848+0.0040435i,0.021004+0.011071i,0.0033485-0.0036289i,-0.0043859+0.0017337i,-0.0066098-0.00058675i,-0.012536+0.010816i,-0.0044499-0.0023209i,-0.03782+0.022691i,-0.0067555-0.0038287i,-0.0057374+0.0071322i,-0.008077+0.007655i,-0.0018075-0.0048669i,-0.0073933+0.0027365i,0.00066877-0.0043007i,0.0008718+0.002641i,0.0025922-0.0022989i,-0.0096847+0.0032546i,0.0045847+0.0024387i,-0.006678+0.012217i,0.0025586-0.0060731i,-0.015839+0.013071i,-0.01123+0.014413i,-0.025735-0.055166i,-0.0036098-0.017607i,-0.053351+0.0056903i,-0.021813-0.0098325i,0.016556-0.0012784i,-0.0070686+0.01904i,-0.02978-0.0025227i
-0.047425-0.028479i,-0.021795-0.012577i,-0.035515-0.040387i,-0.032549-0.008734i,-0.021244-0.0026982i,-0.017624+0.0034268i,-0.078868-0.0072334i,-0.05065+0.010476i,-0.038303+0.0090602i,0.010748+0.0043582i,-0.005826+0.014858i,0.0072284+0.019671i,0.0068758+0.00065474i,-0.0091963+0.011374i,8.9766e-07+0.00076969i,0.010995+0.013412i,0.033103-0.0081923i,0.0040706-0.004003i,-0.003977+0.002416i,0.0041654-0.0032276i,0.000549+0.0038031i,0.0042844+0.0047593i,-0.000217+0.0012179i,-0.00052063+0.02692i,-0.0047536-0.0044121i,0.0016476-0.003297i,0.0056402-0.00087554i,0.00345-0.0018738i,0.00036068-0.0012758i,-0.0027259-0.00033243i,-0.0019545-0.0041893i,-0.004973-0.0021701i,-0.0044194-0.0029463i,0.00036171-0.0040357i,0.00041974-0.0082819i,0.019642+0.010834i,-0.000647-0.0062956i,0.00020897-0.0029307i,0.0023404-0.012i,-0.0020713+0.00040731i,0.0027758+0.0014706i,0.0039356-0.0051043i,0.0019443-0.0033013i,0.0045116+0.010128i,-0.015882-0.011363i,0.014321+0.0087627i,-0.033109-0.052284i,-0.02526-0.011033i,-0.0053564-0.02529i,0.00031342-0.021619i,0.02403-0.088415i,-0.024055-0.078025i,0.024339-0.074264i,-0.022707-0.052164i,0.0067505-0.012702i,0.00095551-0.0074087i,-0.012938-0.034191i,0.001262-0.0092938i,-0.012536-0.0082973i,-0.011778-0.01131i,-0.04354+0.0041899i,0.011349+0.018596i,-0.0099474-0.012279i,-0.0063876+0.0038707i,-0.0043766+0.0031726i,-0.016559-0.0052426i,0.0032949+0.013152i,0.016624-0.0039362i,0.021981-0.00062967i,0.0019388-0.0054745i,-0.0049477+0.0020865i,-0.0070625+0.0028428i,-0.007235+0.017058i,-0.0057619+0.0016825i,-0.030819+0.034365i,-0.0071256-0.0014812i,-0.001194+0.0080309i,-0.0017581+0.012392i,-0.0055131-0.001641i,-0.0051208+0.0041071i,-0.00094631-0.004765i,0.0002889+0.0034189i,0.00037589-0.0037441i,-0.0051356+0.0024998i,0.00094845-0.00057152i,-0.0034843+0.014115i,-0.0019039-0.0056308i,-0.0093046+0.016351i,-0.0063284+0.013846i,-0.030439-0.051617i,-0.0031896-0.014473i,-0.048165+0.020542i,-0.029595-0.0054356i,0.014118-0.0069701i,0.00081031+0.014166i,-0.028139+0.0034031i
-0.051339-0.020904i,-0.02589-0.010672i,-0.047803-0.036238i,-0.030432-0.0064662i,-0.024225-0.0022571i,-0.016061+0.0074444i,-0.064354+0.010087i,-0.043293+0.020305i,-0.031004+0.015964i,0.011377+0.0024463i,-0.00042517+0.013673i,0.010801+0.016127i,0.0043384-0.0012561i,-0.0029478+0.014686i,-0.00024349+0.00066962i,0.0085031+0.010799i,0.019715-0.020394i,0.0022348-0.0046076i,-0.0012329+0.006606i,0.0028478-0.0036565i,0.002657+0.0058065i,0.0054504+0.0024984i,4.6959e-05+0.0018569i,0.020819+0.019115i,-0.0058523-0.0019517i,0.00024204-0.0033468i,0.0039801-0.0030807i,0.002812-0.0020541i,0.00020926-0.0010625i,-0.0023104+0.0013356i,-0.0033147-0.0032681i,-0.0050065-0.00034093i,-0.004248-0.0015023i,-0.0016961-0.0037508i,-0.0019888-0.0069923i,0.02061+0.0060115i,-0.0026614-0.0055514i,-0.0012724-0.0027464i,-0.0018183-0.010552i,-0.0017393-0.0013393i,0.0029772+0.00027078i,0.0015926-0.0039688i,0.001421-0.0031838i,0.0055797+0.0081513i,-0.020587-0.015548i,0.020407-0.0033195i,-0.037097-0.043576i,-0.021025-0.0023638i,-0.0035408-0.030361i,0.0022158-0.02299i,-0.0080837-0.099517i,-0.042937-0.069421i,0.0037759-0.085862i,-0.03262-0.044483i,0.0060559-0.0098458i,-0.0029185-0.0074533i,-0.023567-0.024883i,-0.0054053-0.012069i,-0.01464-0.0061587i,-0.021273-0.0066157i,-0.037186+0.020907i,0.014637+0.0078841i,-0.015561-0.0066346i,-0.005265+0.0048858i,-0.003438+0.0055677i,-0.017268+0.0039509i,0.0043884+0.0084369i,0.015294-0.010867i,0.020316-0.010538i,-0.00019206-0.0068092i,-0.006538+0.0049863i,-0.004447+0.005948i,0.00090093+0.018954i,-0.0046893+0.0052988i,-0.022049+0.044528i,-0.0084811-0.0001788i,0.00086763+0.0053702i,0.0051984+0.011318i,-0.0069805+0.0017632i,-0.0040878+0.0018222i,-0.0034179-0.0050258i,0.00070309+0.0051178i,-0.0036654-0.0034959i,-0.0056463+0.00033452i,-0.0016892+0.0011898i,0.0024499+0.015308i,-0.0049971-0.003681i,-0.0015502+0.016552i,-0.0042541+0.013626i,-0.037563-0.04617i,0.00079979-0.019677i,-0.036321+0.036708i,-0.031878+0.0049013i,0.009383-0.012223i,0.0020511+0.0067704i,-0.026132+0.0057741i
-0.053269-0.013951i,-0.026628-0.0080266i,-0.059005-0.024712i,-0.030294-0.0054414i,-0.028579+0.0010601i,-0.012103+0.010067i,-0.050761+0.015995i,-0.034766+0.025335i,-0.02474+0.018405i,0.010598+4.4067e-05i,0.0018296+0.01267i,0.014318+0.0094228i,0.0017366-0.0018163i,0.0041633+0.012972i,-0.00055449+0.00079829i,0.0084021+0.010746i,0.0054626-0.020697i,0.0020277-0.004587i,0.003413+0.0066397i,0.0013938-0.0035927i,0.0064397+0.0035726i,0.0052655+0.00062884i,0.0012387+0.0022141i,0.027248+0.0017229i,-0.0045478+0.00069405i,-0.00093235-0.0030279i,0.00089537-0.0016166i,0.0025527-0.0032586i,-4.5272e-06-0.0012981i,-0.00041028+0.0023721i,-0.003878-0.0019101i,-0.0044202+0.00070468i,-0.0050218+0.00038367i,-0.0023621-0.0021047i,-0.0028949-0.0055362i,0.021461-0.00026904i,-0.0043806-0.0041988i,-0.0030237-0.0022601i,-0.0055514-0.0094896i,-0.0039742-0.0020074i,0.0032692-0.00058301i,0.00050937-0.00238i,0.00051914-0.0033166i,0.0066055+0.006759i,-0.028834-0.014495i,0.011812-0.018691i,-0.03533-0.036665i,-0.016007+0.0028889i,-0.0049068-0.033602i,0.0053738-0.028629i,-0.040379-0.089834i,-0.059213-0.05444i,-0.015589-0.084906i,-0.033307-0.028239i,0.011348-0.0051496i,-0.0053582-0.0055896i,-0.025994-0.010283i,-0.010748-0.012109i,-0.019788-0.0017808i,-0.019989+0.0030687i,-0.026233+0.034813i,0.012528+0.00069709i,-0.014012+0.0026771i,-0.0050884+0.0053836i,0.00049112+0.0080444i,-0.011818+0.01088i,0.005939+0.0095614i,0.010748-0.02278i,0.0083712-0.023193i,-0.005408-0.0089015i,-0.0059551+0.0093405i,-0.0029089+0.0063735i,0.0085909+0.016997i,-0.00099025+0.0078061i,-0.0043323+0.058783i,-0.0098453+0.0015995i,0.00065039+0.0050317i,0.0092034+0.0063605i,-0.0051391+0.0083968i,-0.0056848+0.0030443i,-0.0076242-0.0034255i,0.003809+0.0055289i,-0.0047801+0.0026395i,-0.0081037+0.0010262i,-4.6962e-05+0.0053184i,0.0068055+0.011859i,-0.0063355-0.0025283i,0.003084+0.011604i,0.00011945+0.014654i,-0.039806-0.035157i,-0.0080582-0.032307i,-0.011983+0.0401i,-0.026908+0.011977i,0.0066979-0.019906i,0.0011982+0.00038189i,-0.02337+0.010624i
-0.05448-0.0066716i,-0.031673-0.0072545i,-0.06615-0.009763i,-0.030326-0.0023196i,-0.030807+0.0081953i,-0.0084704+0.010249i,-0.041123+0.01691i,-0.02745+0.027412i,-0.021711+0.020237i,0.010517-0.0030308i,0.0068282+0.012038i,0.01094+0.0021945i,-0.00092072-0.0001846i,0.0084572+0.0068277i,-0.00062193+0.0010829i,0.0092663+0.01054i,-0.0034995-0.015021i,0.0005058-0.0059211i,0.0054255+0.0034207i,0.0004588-0.0028046i,0.006985+0.00011322i,0.005747-0.00011852i,0.0024343+0.0017005i,0.021155-0.012067i,-0.0020893+0.00093349i,-0.0014723-0.0020417i,0.0022893-0.0031364i,0.0013748-0.0043365i,-0.0003811-0.00052728i,0.00098323+0.0015622i,-0.0039899-0.00066241i,-0.0037819+0.0021829i,-0.0036314+0.0022967i,-0.0024003-0.0014405i,-0.00511-0.0049251i,0.018866-0.0072629i,-0.0047517-0.0018042i,-0.0035297-0.00045444i,-0.0084388-0.0055076i,-0.006229+0.00081027i,0.0025427-0.0017942i,0.0014025-0.0031072i,-0.00013643-0.003237i,0.007345+0.0034908i,-0.035225-0.0082672i,-0.0015123-0.017139i,-0.037465-0.035994i,-0.0049875+0.0067533i,-0.0065313-0.035468i,-0.0018824-0.038454i,-0.059122-0.07267i,-0.06196-0.032169i,-0.037633-0.07942i,-0.02572-0.021982i,0.017831-0.017791i,-0.006127-0.0033129i,-0.020711-0.0034765i,-0.020103-0.0089267i,-0.017144+0.0082828i,-0.016896+0.0069588i,-0.0061653+0.038683i,0.010712-0.0035825i,-0.011942+0.0048429i,-0.0019656+0.0049222i,0.002722+0.0050073i,-0.0053131+0.014701i,0.01121+0.0065728i,-0.0057984-0.027027i,-0.0096739-0.021032i,-0.0091093-0.0020236i,-0.001603+0.011877i,0.00083286+0.0065137i,0.015303+0.0092251i,0.0022049+0.007034i,0.024188+0.056508i,-0.0069022+0.0059581i,0.0010511+0.0047291i,0.0095565+0.00082044i,0.00095109+0.010634i,-0.0082667+0.0045869i,-0.0095691+0.0029923i,0.0069549+0.0047145i,-0.0024544+0.0055981i,-0.0098638+0.0040354i,0.0025795+0.0052003i,0.0084867+0.0079474i,-0.0067987-4.6654e-05i,0.0062465+0.0073334i,0.0040713+0.011542i,-0.039393-0.030595i,-0.027326-0.030852i,0.0042735+0.029045i,-0.023077+0.015927i,-0.0031857-0.026047i,-0.0031054-0.0037586i,-0.015918+0.011237i
-0.055028+0.00061948i,-0.035985+0.0011523i,-0.067116+0.0076989i,-0.028041-0.00021583i,-0.027625+0.015853i,-0.0064728+0.0096282i,-0.034949+0.016186i,-0.021237+0.028054i,-0.016811+0.024044i,0.0089804-0.0061901i,0.01071+0.0054983i,0.0056195+0.001646i,-0.0010108+0.0027672i,0.0062317+0.0025015i,-0.00057646+0.001182i,0.012379+0.0087687i,-0.0070858-0.0079454i,-0.0022248-0.0053769i,0.0042946+0.0015739i,6.2719e-05-0.0023817i,0.0049374-0.0016051i,0.0053528-0.0020305i,0.0029824+0.00067467i,0.011385-0.018943i,-0.0019968+4.8067e-05i,-0.0013115-0.0014551i,0.0015664-0.0047201i,-0.00034361-0.0037917i,0.0009333-0.00019806i,0.001068+0.00056019i,-0.0041005+0.00037535i,-0.0020916+0.0032689i,-0.0021651+0.0034457i,-0.0027608-0.00088036i,-0.0065347-0.0013517i,0.014347-0.012239i,-0.0038319-0.00042117i,-0.0024986+0.0010545i,-0.0077454-0.0022536i,-0.0048646+0.0038119i,0.0015835-0.0021807i,0.0011833-0.0034685i,-0.0013059-0.003057i,0.0057872+0.00056733i,-0.038007+0.0011173i,-0.0029915-0.0076119i,-0.042309-0.033929i,0.005126+0.0019926i,-0.0093155-0.039501i,-0.010659-0.036907i,-0.075062-0.055315i,-0.0534-0.017762i,-0.059066-0.06084i,-0.02101-0.023009i,0.012627-0.029251i,-0.0061031-0.0020598i,-0.016251+0.00028131i,-0.027185+0.0019174i,-0.012653+0.012156i,-0.012088+0.012023i,0.011705+0.030758i,0.0073322-0.008454i,-0.011279+0.0082267i,-0.0016004+0.0023937i,0.0046188+0.0039864i,0.0024201+0.012997i,0.011643-0.0010375i,-0.020251-0.017226i,-0.01909-0.0087405i,-0.0054851+0.0037505i,0.0044628+0.011291i,0.0032177+0.0050585i,0.017484+0.0015314i,0.0066818+0.0061712i,0.046111+0.039451i,-0.0041971+0.0054098i,0.0017728+0.0055497i,0.0070197-0.0041036i,0.0064107+0.0072464i,-0.0094054+0.012436i,-0.0065094+0.0094785i,0.0093935+0.00054622i,0.0030805+0.0058296i,-0.010176+0.0087839i,0.0041111+0.0031372i,0.0091402+0.0050475i,-0.0071166+0.0015583i,0.0062119+0.0023786i,0.0051347+0.0087668i,-0.039009-0.024189i,-0.036851-0.0135i,0.01002+0.014061i,-0.011088+0.020332i,-0.014891-0.027023i,-0.011139-0.0034293i,-0.015426+0.0066645i
-0.054678+0.0083452i,-0.033742+0.010769i,-0.060199+0.024167i,-0.028391+0.00039259i,-0.022482+0.020055i,-0.0048571+0.0091939i,-0.031273+0.014131i,-0.017024+0.027672i,-0.0094276+0.025892i,0.0059357-0.0091538i,0.0070514+0.00019493i,0.0051727+0.0039158i,0.0010632+0.0045044i,0.0039649+0.00039308i,-0.00056221+0.0015216i,0.014345+0.0044824i,-0.0057331-0.0023768i,-0.0032845-0.003304i,0.0041864+0.001092i,-0.00030766-0.001974i,0.0049485-0.00096744i,0.0037881-0.0032545i,0.0031274-0.00032743i,0.0029128-0.018363i,-0.0025726+2.7361e-05i,-0.001419-0.0015989i,-0.00045993-0.005297i,-0.0014556-0.003404i,0.00081627-0.0011665i,0.0011393+0.0001941i,-0.0037648+0.0013198i,-0.00024768+0.0034487i,-0.00070144+0.0030806i,-0.002703+0.0003252i,-0.0051487-2.3358e-05i,0.0078626-0.014938i,-0.0028838+5.0322e-05i,-0.0012567+0.0016468i,-0.0086567+2.9719e-05i,-0.0027847+0.0051304i,0.00088614-0.0021299i,-0.00037277-0.0038609i,-0.0019152-0.002305i,0.0030411+0.00024779i,-0.037222+0.010884i,0.0060013-0.0031112i,-0.048973-0.029417i,0.010875-0.0063201i,-0.015008-0.039063i,-0.016213-0.035122i,-0.083372-0.030472i,-0.047808-0.012835i,-0.059945-0.03449i,-0.02098-0.024374i,0.0016446-0.037104i,-0.0067258-0.0017253i,-0.013666-0.0020352i,-0.022091+0.015831i,-0.0072481+0.014678i,-0.0023509+0.011308i,0.016595+0.016052i,0.0025628-0.010029i,-0.008078+0.011944i,-0.0029935+0.002767i,0.0053971+0.00024671i,0.0058243+0.0082635i,0.0060299-0.0037767i,-0.025109-0.0032675i,-0.019146+0.002574i,-0.00099795+0.0037715i,0.0072592+0.0087181i,0.0030437+0.0034236i,0.01442-0.0094195i,0.0069965+0.00063754i,0.055615+0.015163i,-0.0050769+0.0073038i,0.0039732+0.0043i,0.0020478-0.0056199i,0.0071804+0.003341i,-0.0026553+0.018953i,0.0012542+0.0094723i,0.0075815-0.0032994i,0.0051448+0.0016638i,-0.0056838+0.0153i,0.0032363+0.0032691i,0.0092181+0.0026853i,-0.0083708+0.0041515i,0.0013031+7.9715e-05i,0.0054173+0.0070325i,-0.036426-0.020084i,-0.032038+0.00068205i,0.0068848+0.0033549i,-0.0015276+0.013034i,-0.027139-0.021762i,-0.013351+0.0058097i,-0.017822+0.0090176i
-0.053073+0.016115i,-0.02824+0.015888i,-0.049093+0.0356i,-0.030821+0.0031208i,-0.01703+0.022791i,-0.0035348+0.0090257i,-0.031328+0.012689i,-0.013819+0.028512i,-0.0029127+0.02453i,0.0018095-0.01033i,0.0033002+0.00056333i,0.0066447+0.0036214i,0.0038071+0.0037543i,0.0018395-0.00015329i,-0.00011731+0.0018921i,0.012925-0.00049305i,-0.0036752-0.0013511i,-0.0027779-0.0017101i,0.0045355-0.00016238i,-0.00037308-0.0014124i,0.0056247-0.002555i,0.0024107-0.003014i,0.0029206-0.0013006i,-0.0024356-0.016283i,-0.0022262+0.00097255i,-0.0018552-0.001033i,-0.0024139-0.0046441i,-0.0025213-0.0027106i,0.00036991-0.0015199i,0.00098058-0.00057733i,-0.0032397+0.0024252i,0.0013112+0.0025357i,0.00046957+0.0027194i,-0.0019367+0.00099045i,-0.0052617+0.0013812i,0.0018852-0.013418i,-0.0027958-0.00040255i,-0.00013946+0.0014125i,-0.006724+0.0038325i,-0.0005523+0.005679i,0.00037316-0.0020876i,-0.00048391-0.0029596i,-0.0024138-0.0017571i,0.0029659+0.0024221i,-0.031271+0.019152i,0.017259-0.011719i,-0.055338-0.020437i,0.011201-0.014849i,-0.016306-0.038664i,-0.022598-0.032511i,-0.079547-0.0084896i,-0.043973-0.0067715i,-0.050789-0.020479i,-0.021967-0.026118i,-0.01234-0.038749i,-0.0069586-6.2948e-05i,-0.016777-0.0036121i,-0.012046+0.021616i,-0.0016571+0.013427i,0.0016638+0.0035552i,0.01251+0.0054044i,-0.0021308-0.0091178i,-0.0030369+0.013552i,-0.0031041+0.0044075i,0.0031309-0.0027317i,0.0056819+0.0040795i,0.0040263-0.0016633i,-0.021713+0.0096915i,-0.013431+0.010954i,1.0456e-05+0.00359i,0.010526+0.0055667i,0.0028686+0.0028782i,0.0049216-0.014295i,0.0042661-0.0021731i,0.052571-0.007084i,-0.0018598+0.01041i,0.0038239+0.0027484i,-0.0015759-0.0041888i,0.0071673+0.0012999i,0.007297+0.020361i,0.0034702+0.0059253i,0.0056192-0.004901i,0.0042968-0.00068612i,0.0030798+0.016808i,0.0039864+0.0027493i,0.0093857-0.00098624i,-0.0056849+0.0097871i,5.892e-05+0.0012562i,0.0057857+0.0061122i,-0.034807-0.019965i,-0.025157+0.0064246i,0.0036313-0.0008954i,-0.0021733+0.0049939i,-0.036349-0.011465i,-0.0084479+0.008654i,-0.016095+0.011668i
-0.050193+0.023695i,-0.02229+0.018621i,-0.035748+0.042173i,-0.031125+0.0087796i,-0.010957+0.023465i,-0.0021931+0.0087388i,-0.032306+0.014302i,-0.0095852+0.029913i,0.0021596+0.022216i,-0.0023005-0.0096041i,0.0023663+0.0018502i,0.0082425+0.002005i,0.0049524+0.0021239i,-0.0003789+0.0010937i,0.00019472+0.0019553i,0.0099491-0.0033642i,-0.0040351-0.0019869i,-0.0026273-0.0012372i,0.0041561-0.0013204i,-0.00025977-0.001069i,0.0046064-0.0044403i,0.0022674-0.0025409i,0.0023584-0.0021401i,-0.0068434-0.014528i,-0.001625+0.0018371i,-0.001879-0.00043814i,-0.0038347-0.0030819i,-0.0029753-0.0013622i,-2.0332e-05-0.0016752i,0.00023253-0.0010667i,-0.0022731+0.003386i,0.001264+0.0014349i,0.0014802+0.001855i,-0.001103+0.0010835i,-0.0043225+0.002428i,-0.00083021-0.010254i,-0.0029653+0.00014082i,0.00066572+0.00054i,-0.0034811+0.0045086i,0.0021258+0.0051254i,-8.8569e-05-0.0019179i,-0.00036477-0.0027542i,-0.0030252-0.0011681i,0.0042909+0.0015017i,-0.024031+0.022622i,0.016289-0.027982i,-0.057937-0.0085723i,0.011016-0.022059i,-0.018547-0.043696i,-0.027343-0.027274i,-0.0728+0.0065556i,-0.039854-0.0033594i,-0.043345-0.012893i,-0.025607-0.025862i,-0.026863-0.035095i,-0.0068671+0.0012199i,-0.024018-0.0014274i,-0.0025524+0.021687i,0.00162+0.010067i,-0.00039082-0.0022074i,0.0067311+0.001639i,-0.0062592-0.00853i,0.0020076+0.012527i,-0.001508+0.005442i,0.00045617-0.0030424i,0.0029702+0.0013714i,0.0041988-0.00083519i,-0.013256+0.016331i,-0.0059273+0.01499i,0.0027156+0.0034866i,0.012358-0.00024358i,0.0031046+0.0032458i,-0.0030998-0.012457i,0.0019898-0.0029917i,0.042444-0.023903i,0.0032188+0.011623i,0.0039045+0.0025668i,-0.0042527-0.001688i,0.0067405-0.0028007i,0.016173+0.016316i,0.0035248+0.0033251i,0.0032294-0.0063985i,0.0029611-0.0022113i,0.010012+0.013375i,0.004451+0.0029309i,0.0063644-0.0044426i,0.00015056+0.011085i,0.00033931+0.00086034i,0.0079216+0.0052147i,-0.037607-0.018544i,-0.019696+0.011092i,0.0011244-0.0033836i,-0.0058661+0.0032369i,-0.039156+0.0011718i,-0.0059374+0.0077489i,-0.013199+0.013848i
