-0.030151-0.041426i,-0.021145-0.021884i,-0.012876-0.037125i,-0.029513-0.021146i,-0.023293-0.0013589i,-0.014251-0.0058502i,-0.054032-0.060524i,-0.047892-0.017936i,-0.034808-0.016492i,0.012718+0.012231i,-0.0086456+0.0051069i,-0.02005+0.018965i,0.0021261+0.012659i,-0.0057065-0.0024618i,0.00038908+0.0014217i,-0.0025276+0.031489i,0.024093+0.022201i,0.0026737-0.0022078i,-0.0025245-0.0074539i,0.0081533+0.002893i,0.0025725+0.00079623i,-0.0004777+0.003474i,-0.00038796+0.00028246i,-0.039052-0.0069581i,0.00044689-0.0089823i,0.0014308+0.0023559i,0.0067567+0.00052016i,0.0018789+0.00063834i,0.001055-0.00061134i,-0.00045329-0.0029157i,0.0014326-0.0023987i,-0.0022725-0.0064691i,-0.00092325-0.0048268i,0.0031544-0.00040371i,0.0038383-0.0031751i,-0.00039867+0.0308i,0.0049358-0.003784i,0.0031963-0.001626i,0.007507-0.0020212i,-0.0077704-0.0028345i,-0.00032623+0.00082339i,0.0065057+0.0010377i,0.0045615-0.001963i,-0.0027333+0.0079285i,-0.017515-0.0094906i,-0.019172+0.014334i,-0.0011701-0.062508i,-0.0043365-0.02737i,-0.025504-0.033616i,-0.010277-0.027577i,0.055914-0.020325i,0.017755-0.043316i,0.023898-0.048421i,0.0074985-0.053388i,0.027576-0.022207i,0.0083471+0.006617i,0.027311-0.033072i,-0.0082053-0.0068557i,0.0035234-0.0046172i,-0.004153-0.0070899i,-0.0013362-0.033486i,-0.020781+0.028371i,0.0090164-0.011882i,-0.0097325-0.003982i,-0.0040755-0.001869i,0.0011179-0.012973i,-0.010965+0.0041277i,0.0022993+0.010533i,-0.0062336+0.025964i,0.0048916+0.0026716i,-0.0056105-0.0021139i,-0.0020576-0.0023763i,-0.01278-0.0082754i,-0.00033864-0.0041055i,-0.025695+0.00013847i,0.0011205-0.010539i,-0.0085946+0.0001606i,-0.0070689-0.0027818i,0.0053883+0.00133i,-0.0080265-0.00047942i,0.0024006+6.5993e-05i,0.004333+0.0075641i,0.0041734+0.00073951i,-0.0069536-0.012177i,0.0027684+0.010288i,-0.013488+0.0035556i,0.0068524+0.00010161i,-0.024051-0.0023069i,-0.017735+0.0061328i,-0.0073592-0.069165i,0.0075051-0.012479i,-0.048834-0.024488i,-0.021239-7.429e-05i,0.017194+0.011867i,-0.02419+0.015089i,-0.019729-0.0067834i
-0.037275-0.037167i,-0.022809-0.013271i,-0.01811-0.038502i,-0.031182-0.018797i,-0.021118-0.0009581i,-0.016004-0.0031339i,-0.06372-0.049697i,-0.049056-0.010082i,-0.03573-0.0091558i,0.011997+0.0079865i,-0.010468+0.0050188i,-0.0096148+0.026424i,0.0066285+0.0092336i,-0.0089525+0.00164i,0.00046139+0.0010264i,0.0051559+0.027372i,0.02201+0.014017i,0.0028196-0.0011292i,-0.0054256-0.0032452i,0.0074606-0.00037231i,0.00092352+0.00067971i,-0.00012493+0.00359i,-0.000347+0.0006828i,-0.021981+0.012602i,-0.0018038-0.0076969i,0.0034128+0.0003365i,0.00488+0.0015591i,0.002597+0.001287i,0.0015051-0.0013827i,-0.0015936-0.0025668i,0.0011146-0.0033221i,-0.0029991-0.0054351i,-0.0019618-0.0046094i,0.0027236-0.0015561i,0.0038109-0.0030108i,0.0097999+0.027554i,0.0043533-0.0056062i,0.0018684-0.0022604i,0.008301-0.0050839i,-0.0051184-0.002107i,0.00010172+0.0018628i,0.0079827+0.0017373i,0.0033992-0.0022243i,-0.0032464+0.008772i,-0.016158-0.0098692i,-0.0069876+0.018i,-0.01292-0.06201i,-0.015254-0.030237i,-0.020382-0.023249i,-0.0075006-0.016701i,0.053342-0.045841i,0.017819-0.062038i,0.025731-0.048926i,-0.0027398-0.057629i,0.014651-0.017894i,0.0076047-0.0015268i,0.013104-0.036561i,-0.0078272-0.00041756i,-0.00045861-0.013472i,-0.0060041-0.0062097i,-0.022966-0.03018i,-0.0075881+0.026273i,0.0030594-0.014663i,-0.010916+0.00016285i,-0.0032901-0.00012288i,-0.0053282-0.012889i,-0.011978+0.0094769i,0.0079969+0.011282i,0.010376+0.023023i,0.0048242-0.0013126i,-0.005362+0.0012122i,-0.004484-0.0022602i,-0.016914+0.00068566i,-0.0005762-0.002957i,-0.033888+0.0090159i,-0.0047144-0.0079554i,-0.0075486+0.0035067i,-0.0083632+0.0013511i,0.003911-0.0043804i,-0.0071346+0.0017152i,0.0034145-0.0031895i,0.0026514+0.0031417i,0.0034798-0.000697i,-0.012353-0.0047928i,0.0050171+0.0064813i,-0.0093851+0.008195i,0.0060331-0.0029286i,-0.022454+0.0062752i,-0.015876+0.010986i,-0.018897-0.066707i,0.0027608-0.017198i,-0.054843-0.008718i,-0.015068-0.0042282i,0.017342+0.0065376i,-0.017268+0.021179i,-0.027375-0.0088519i
-0.041911-0.031712i,-0.020567-0.01198i,-0.025086-0.040254i,-0.033356-0.013793i,-0.02039-0.0015348i,-0.017127-0.00021617i,-0.075191-0.034253i,-0.050739-0.0016637i,-0.037004-0.0032831i,0.011495+0.0051524i,-0.011144+0.010427i,0.0016407+0.024262i,0.0078266+0.0045667i,-0.0093072+0.0046494i,0.00045622+0.00089408i,0.0099042+0.02117i,0.025612+0.0099158i,0.0039959-0.001655i,-0.0044603-0.00013231i,0.0055727-0.0022603i,-0.00053004+0.0016283i,0.001027+0.0039079i,-0.00020974+0.000844i,-0.0090303+0.017369i,-0.0032826-0.0061062i,0.0032192-0.0020809i,0.0051667+0.00014185i,0.0040258+0.00027708i,0.00050317-0.0018002i,-0.0021474-0.0015466i,-7.2443e-05-0.0039857i,-0.0049428-0.0040892i,-0.0034723-0.0039852i,0.002-0.0030934i,0.0037713-0.0061024i,0.017451+0.019918i,0.0022507-0.0068106i,0.0009637-0.0026172i,0.0060473-0.0097386i,-0.0049484-0.00068765i,0.0012989+0.0022928i,0.0081046-0.002696i,0.0030919-0.0024359i,-0.0011819+0.010512i,-0.017427-0.012062i,0.0036245+0.015537i,-0.023762-0.058894i,-0.0242-0.02236i,-0.0090276-0.021599i,-0.00077593-0.019673i,0.043948-0.06696i,-0.00059911-0.078274i,0.03017-0.055765i,-0.013506-0.054414i,0.010647-0.016393i,0.0048135-0.0046033i,-0.0031464-0.039084i,0.0022577-0.00050766i,-0.0098964-0.013345i,-0.0052417-0.0085108i,-0.038915-0.018513i,0.00098235+0.023779i,-0.0037917-0.014776i,-0.0085135+0.0026418i,-0.0048476+0.00046463i,-0.011443-0.010815i,-0.005822+0.015444i,0.015178+0.0049541i,0.019341+0.012454i,0.003874-0.0034023i,-0.0044923+0.001706i,-0.0060694-0.00062396i,-0.013325+0.0106i,-0.0042381-0.0025705i,-0.029034+0.021859i,-0.006444-0.0036052i,-0.0056398+0.0067481i,-0.0084388+0.0077465i,-0.0019629-0.0052408i,-0.006908+0.0029376i,0.0010818-0.0045968i,0.00070925+0.002658i,0.0028643-0.0025413i,-0.0081274+0.0023191i,0.0050171+0.0026665i,-0.0055612+0.0098658i,0.0031173-0.0062257i,-0.018101+0.012449i,-0.010629+0.014322i,-0.025345-0.06309i,-0.0036717-0.016806i,-0.052839+0.0051776i,-0.021088-0.010134i,0.01641-0.00025338i,-0.0065485+0.020114i,-0.030641-0.0028174i
-0.046372-0.026389i,-0.021497-0.013141i,-0.034393-0.04056i,-0.03147-0.0089206i,-0.021266-0.002141i,-0.016998+0.003692i,-0.077928-0.0083536i,-0.050153+0.01029i,-0.037817+0.0053166i,0.01129+0.0032529i,-0.0060449+0.01471i,0.0067566+0.018654i,0.0069421+0.00078704i,-0.010366+0.009354i,0.00011664+0.00070263i,0.01054+0.013377i,0.026914-0.0032298i,0.0032774-0.0040264i,-0.0043042+0.0026454i,0.0038729-0.0030129i,0.00052747+0.0034221i,0.0032283+0.0044519i,-0.00013696+0.0012464i,0.0093713+0.018751i,-0.0042991-0.0048247i,0.0015407-0.003208i,0.0056523-0.0012272i,0.0037932-0.0017713i,0.00016154-0.0012185i,-0.0028713-0.00060028i,-0.0013821-0.0039312i,-0.0056184-0.0024622i,-0.0047924-0.0026607i,0.00066182-0.0039088i,-0.00016662-0.0071156i,0.018568+0.012181i,-0.00045976-0.0071979i,0.00019848-0.0028847i,0.0010527-0.010733i,-0.0028142+0.00082576i,0.0024562+0.0016606i,0.0047548-0.0043998i,0.0024316-0.0028519i,0.0021381+0.010001i,-0.017949-0.013259i,0.012611+0.0094423i,-0.033091-0.051834i,-0.025009-0.011562i,-0.0053715-0.025321i,0.00043527-0.021536i,0.02405-0.089048i,-0.023922-0.078596i,0.025453-0.074171i,-0.020222-0.050492i,0.0070542-0.013809i,0.0012527-0.0074429i,-0.013691-0.035144i,0.0014292-0.00985i,-0.012573-0.0083257i,-0.010931-0.012489i,-0.043833+0.0029358i,0.011197+0.018238i,-0.0096902-0.012616i,-0.0064641+0.0036917i,-0.0046954+0.003162i,-0.016427-0.0051646i,0.0025548+0.013361i,0.017338-0.0028831i,0.013809+0.0058123i,0.002699-0.0055461i,-0.0051215+0.001842i,-0.0067682+0.0026856i,-0.0080823+0.01728i,-0.0055744+0.001366i,-0.020766+0.030605i,-0.0067296-0.0013145i,-0.0014485+0.0079319i,-0.0019859+0.012387i,-0.0062252-0.0015855i,-0.0046079+0.0038832i,-0.00043467-0.0050022i,-6.5977e-05+0.0035903i,-0.000229-0.0037463i,-0.0045635+0.0018181i,0.0014893-0.00063693i,-0.0021899+0.011569i,-0.0013646-0.0059567i,-0.011675+0.016728i,-0.0059332+0.013589i,-0.029782-0.061331i,-0.0025294-0.013769i,-0.047785+0.020019i,-0.028941-0.0062873i,0.014549-0.0059615i,0.0013317+0.014426i,-0.028844+0.0039626i
-0.049991-0.01933i,-0.025634-0.011363i,-0.047265-0.036756i,-0.029573-0.0069489i,-0.02403-0.0018842i,-0.015301+0.0075713i,-0.064006+0.0091011i,-0.042845+0.020253i,-0.031972+0.013566i,0.011679+0.0012214i,-0.000599+0.013425i,0.010331+0.015301i,0.0043707-0.0012497i,-0.0057746+0.015404i,-0.0001641+0.00057463i,0.0079983+0.011316i,0.019094-0.013112i,0.0015956-0.004921i,-0.0011467+0.0069288i,0.0026132-0.0032955i,0.0024332+0.0055893i,0.005017+0.0026123i,0.00020467+0.0018935i,0.0035811+0.012357i,-0.0053619-0.0026404i,0.00024981-0.0031888i,0.0036506-0.0034301i,0.0032027-0.0024127i,0.00015551-0.00095485i,-0.0024798+0.0011897i,-0.0025886-0.003311i,-0.0056954+4.297e-05i,-0.0044895-0.001409i,-0.0016179-0.0036363i,-0.0018326-0.0058345i,0.020206+0.0076391i,-0.0027128-0.0062796i,-0.001251-0.0027739i,-0.0029097-0.0086792i,-0.0021024-0.0013389i,0.0027522+0.00081256i,0.0022852-0.0036364i,0.0021912-0.0030688i,0.0035069+0.0086824i,-0.022842-0.017195i,0.019358-0.0017987i,-0.037038-0.042841i,-0.021069-0.0026983i,-0.0032498-0.030556i,0.0021976-0.022654i,-0.0086811-0.1i,-0.042858-0.07003i,0.0045399-0.085924i,-0.029646-0.04367i,0.0060449-0.010368i,-0.002726-0.0077757i,-0.024948-0.025026i,-0.0052698-0.012801i,-0.014521-0.0062618i,-0.021154-0.0079206i,-0.038332+0.019129i,0.014921+0.0075913i,-0.015423-0.0073475i,-0.0050982+0.0046725i,-0.0037511+0.0056587i,-0.017218+0.0036406i,0.0037876+0.0087047i,0.016006-0.009948i,0.021766-0.024014i,0.00059504-0.0073897i,-0.006966+0.0049464i,-0.0041395+0.0058203i,0.00048415+0.019335i,-0.0047652+0.0049362i,-0.013156+0.038661i,-0.0078143+0.00017168i,0.00087423+0.0054102i,0.0045865+0.01134i,-0.0069709+0.0026277i,-0.0037734+0.0014632i,-0.0028784-0.0055896i,0.00019392+0.0054423i,-0.0034258-0.0025966i,-0.0048954+4.5126e-05i,-0.0014795+0.00089061i,0.0033989+0.012409i,-0.0044165-0.0042707i,-0.0031203+0.017803i,-0.004307+0.013368i,-0.036862-0.055095i,0.0013583-0.019433i,-0.036012+0.035601i,-0.031502+0.0040971i,0.010567-0.011106i,0.0026086+0.0065135i,-0.02546+0.0062651i
-0.051976-0.012681i,-0.026243-0.0086984i,-0.058389-0.024791i,-0.029831-0.0059597i,-0.028311+0.0012649i,-0.011343+0.0099568i,-0.050689+0.015448i,-0.0344+0.025253i,-0.02602+0.016962i,0.010771-0.0011858i,0.0016085+0.012209i,0.014031+0.0085231i,0.0017939-0.0018865i,0.0045501+0.015953i,-0.00050197+0.00060305i,0.0080141+0.011442i,0.0078103-0.015516i,0.0012344-0.0047988i,0.0036162+0.0067992i,0.0013143-0.0033332i,0.0060784+0.0035603i,0.0050695+0.00054436i,0.0014064+0.0022085i,0.019734+0.0071749i,-0.0044538-0.00025533i,-0.0011646-0.0027899i,0.00086665-0.0014817i,0.0026627-0.00377i,-0.00010301-0.0012405i,-0.0006144+0.0023796i,-0.003187-0.0022272i,-0.0050115+0.0010376i,-0.0053461+0.00052864i,-0.0023842-0.0019482i,-0.0025032-0.0046957i,0.021869+0.001141i,-0.0045391-0.004619i,-0.0031307-0.0022601i,-0.0055668-0.0062206i,-0.0045991-0.002194i,0.0032849+0.00047519i,0.00087762-0.0025767i,0.0011571-0.0035335i,0.0044241+0.0077446i,-0.031507-0.015705i,0.011726-0.017477i,-0.035457-0.035501i,-0.016256+0.0027877i,-0.0044344-0.033823i,0.0057162-0.028288i,-0.041509-0.089507i,-0.059512-0.054853i,-0.014909-0.08482i,-0.030276-0.028284i,0.011943-0.0054368i,-0.0051401-0.005964i,-0.026612-0.009735i,-0.010925-0.012933i,-0.019882-0.0019078i,-0.020089+0.0022345i,-0.028604+0.033031i,0.012572+0.00033007i,-0.014019+0.0019611i,-0.0051418+0.0051436i,0.00046058+0.0083442i,-0.012159+0.010547i,0.005488+0.0098809i,0.011602-0.021776i,0.0089211-0.029181i,-0.005175-0.009951i,-0.0062427+0.0093244i,-0.002653+0.0062225i,0.0080537+0.017369i,-0.0013269+0.0075758i,0.001677+0.050452i,-0.0086425+0.0014441i,0.00051072+0.0049453i,0.0086183+0.0066589i,-0.0049224+0.0085926i,-0.0056071+0.002588i,-0.0074735-0.0040156i,0.0035792+0.0058656i,-0.0043023+0.0022005i,-0.0075518+0.00079237i,0.00023725+0.0051535i,0.0065775+0.0092319i,-0.0063413-0.0028662i,0.0023871+0.012599i,-0.0003675+0.014853i,-0.038924-0.042206i,-0.0073861-0.031769i,-0.012006+0.039302i,-0.026866+0.010894i,0.0092121-0.020121i,0.0012949+0.00019569i,-0.023003+0.010813i
-0.053301-0.0055147i,-0.03132-0.0083573i,-0.065289-0.0096164i,-0.029956-0.0026453i,-0.03048+0.0082964i,-0.0078362+0.010062i,-0.041146+0.016582i,-0.027194+0.027408i,-0.022866+0.019329i,0.010686-0.0042479i,0.0061867+0.010951i,0.01404+0.0010496i,-0.00079943-0.00034531i,0.010737+0.0074886i,-0.00068199+0.00088285i,0.0090714+0.011461i,-0.00022055-0.013016i,-0.0002336-0.0062382i,0.0057313+0.0031461i,0.0003965-0.0026221i,0.0067738+0.0002776i,0.0056617-0.00030262i,0.0025475+0.0016369i,0.019039-0.007157i,-0.0022241+0.00010261i,-0.0014724-0.001891i,0.0021701-0.0030646i,0.0011889-0.0053688i,-0.00036166-0.00054279i,0.00081246+0.0015881i,-0.0034568-0.0013083i,-0.0040776+0.0028314i,-0.0037007+0.0025248i,-0.0023274-0.0014108i,-0.0040321-0.00423i,0.020067-0.006249i,-0.0049309-0.0021369i,-0.0034557-0.00039604i,-0.0047888-0.00068238i,-0.0072241+0.00069436i,0.0029839-0.0013959i,0.0017639-0.0031261i,0.00036498-0.0035153i,0.006149+0.0050063i,-0.038595-0.0085888i,-0.0014968-0.016752i,-0.040119-0.034603i,-0.0050059+0.0066292i,-0.0057975-0.035766i,-0.0013982-0.038458i,-0.060087-0.071528i,-0.062361-0.032718i,-0.036539-0.078386i,-0.023338-0.022475i,0.018617-0.019403i,-0.0062026-0.0035774i,-0.020654-0.0034421i,-0.020837-0.009738i,-0.017067+0.0083995i,-0.016976+0.0063276i,-0.0094538+0.038331i,0.010394-0.0036396i,-0.012572+0.0044063i,-0.0020772+0.004887i,0.0030379+0.0050502i,-0.0054363+0.014449i,0.010944+0.0068635i,-0.0050357-0.026253i,-0.012106-0.025508i,-0.0089815-0.0030359i,-0.0022538+0.011911i,0.000823+0.0060939i,0.014785+0.0096604i,0.0019293+0.0071465i,0.028624+0.047907i,-0.0064309+0.0047048i,0.0010267+0.0045565i,0.0095715+0.0010463i,0.00089686+0.01041i,-0.0082494+0.0045686i,-0.0099541+0.0020662i,0.0067109+0.0048395i,-0.0024875+0.0053016i,-0.0091648+0.0040877i,0.0027609+0.0049812i,0.0077116+0.0058642i,-0.0067713-0.00020368i,0.0059776+0.0084284i,0.0040492+0.012115i,-0.038027-0.0362i,-0.02682-0.030433i,0.0040056+0.028312i,-0.023472+0.014853i,-0.0024269-0.026646i,-0.0032298-0.0037187i,-0.015654+0.010933i
-0.053254+0.0019409i,-0.03621+0.00010426i,-0.065848+0.0080993i,-0.027897-0.00073095i,-0.027394+0.015799i,-0.0058948+0.0094024i,-0.034861+0.016139i,-0.020867+0.028283i,-0.017822+0.023501i,0.0089028-0.0078075i,0.0086617+0.0045902i,0.0068104+0.0022967i,-0.0010146+0.0023901i,0.0073738+0.0021231i,-0.00070934+0.0010618i,0.012385+0.010004i,-0.0045606-0.0074057i,-0.0039009-0.0055096i,0.0042607+0.0012544i,8.5777e-05-0.0021734i,0.0047934-0.0014102i,0.0052201-0.0021302i,0.0030882+0.00057446i,0.011815-0.01517i,-0.0023207-0.0010088i,-0.0014241-0.0013082i,0.0014758-0.0047611i,-0.00070172-0.0033393i,0.00082287-0.0005407i,0.0009238+0.00064697i,-0.0038482-0.00026434i,-0.0020639+0.0036527i,-0.0020556+0.0034962i,-0.0026869-0.0010609i,-0.0052403-0.0016495i,0.015624-0.012137i,-0.0039107-0.00084309i,-0.0023387+0.0010871i,-0.0024859-0.0027458i,-0.0062649+0.0039128i,0.0017596-0.0021192i,0.0016476-0.00314i,-0.00069884-0.0034928i,0.0051074+0.0019659i,-0.041603+0.0020386i,-0.0035293-0.007138i,-0.047268-0.041176i,0.0050275+0.0020153i,-0.0083742-0.040206i,-0.010702-0.036833i,-0.075184-0.053265i,-0.053862-0.017549i,-0.056773-0.061066i,-0.018965-0.023693i,0.012289-0.031276i,-0.0062816-0.0023537i,-0.01643-3.2131e-05i,-0.028324+0.0015747i,-0.012266+0.0122i,-0.012851+0.01163i,0.009343+0.031504i,0.0067239-0.0077814i,-0.011829+0.0093399i,-0.0018724+0.0022027i,0.0050717+0.0039598i,0.0021465+0.01268i,0.011699-0.00079259i,-0.019315-0.016553i,-0.023922-0.011122i,-0.0058165+0.002583i,0.0036261+0.011641i,0.0030023+0.0049291i,0.017468+0.0014747i,0.0066913+0.0063409i,0.047563+0.030683i,-0.0048244+0.0043343i,0.00153+0.0053209i,0.0070471-0.0040146i,0.0065332+0.0071365i,-0.0078698+0.012419i,-0.0075467+0.0089738i,0.0094425+0.00072985i,0.0025812+0.0054851i,-0.008341+0.0095256i,0.0039903+0.0027811i,0.0081487+0.0038893i,-0.0072372+0.0015883i,0.0066572+0.0031755i,0.0051419+0.0090616i,-0.032791-0.029646i,-0.036035-0.012942i,0.0098797+0.013594i,-0.012061+0.019854i,-0.014426-0.027924i,-0.0112-0.0030832i,-0.01495+0.005942i
-0.051727+0.0093131i,-0.034411+0.010094i,-0.059389+0.02403i,-0.028315+1.1608e-05i,-0.022236+0.020041i,-0.0043783+0.0089108i,-0.030838+0.014256i,-0.016322+0.027869i,-0.0102+0.025868i,0.004728-0.010839i,0.0058476+0.001028i,0.0063202+0.0043688i,0.00070219+0.0041032i,0.0044184+2.4242e-05i,-0.00072677+0.0014829i,0.015+0.0063721i,-0.00425-0.0026203i,-0.0047857-0.0024038i,0.0038735+0.00090496i,-0.00020881-0.0018497i,0.0048121-0.0007184i,0.0037325-0.0033188i,0.0031976-0.00047109i,0.004407-0.016271i,-0.0034417-0.0011013i,-0.0015465-0.0012499i,-0.0005122-0.0053466i,-0.0015728-0.0029679i,0.00050366-0.0014554i,0.0010293+0.00029995i,-0.0037382+0.00082059i,4.3492e-06+0.0037324i,-0.00060141+0.003122i,-0.002636+0.00021338i,-0.0045057-0.00072581i,0.0086427-0.016115i,-0.0028751-0.00021378i,-0.0011461+0.0016024i,-0.0047661-0.002909i,-0.0041332+0.0059086i,0.00098226-0.001833i,0.00040857-0.003706i,-0.0013042-0.0036275i,0.0023292+0.0012961i,-0.040529+0.013248i,0.005587-0.0022202i,-0.05054-0.034224i,0.010575-0.0058764i,-0.01424-0.040018i,-0.016142-0.034911i,-0.082319-0.028588i,-0.047853-0.012051i,-0.058276-0.035155i,-0.018858-0.025277i,0.00062802-0.03818i,-0.0070172-0.0015522i,-0.013783-0.0022358i,-0.02311+0.016655i,-0.0072424+0.014741i,-0.0031087+0.01165i,0.014879+0.017178i,0.0034817-0.0070442i,-0.007806+0.012251i,-0.0034916+0.0024265i,0.0058168-0.00012816i,0.0055394+0.0082516i,0.0059821-0.0037694i,-0.023813-0.0028945i,-0.023406+0.0068479i,-0.0020667+0.0029068i,0.0067758+0.0098021i,0.0029922+0.0032962i,0.01419-0.0095601i,0.007162+0.00045871i,0.055503+0.0035164i,-0.0058469+0.0064367i,0.0038254+0.0039796i,0.0020409-0.0057845i,0.0076314+0.0032632i,-0.0018412+0.017062i,0.00038315+0.0090725i,0.0077798-0.0031712i,0.0047616+0.0016596i,0.00038771+0.014185i,0.0027911+0.0030665i,0.0083502+0.0024147i,-0.0083666+0.0043471i,0.0016601+0.00034878i,0.0054544+0.0073369i,-0.052303-0.038217i,-0.030737+0.0016717i,0.006767+0.0029776i,-0.0024494+0.013222i,-0.02654-0.022437i,-0.013412+0.006248i,-0.017678+0.0079938i
-0.049642+0.016005i,-0.029055+0.015703i,-0.048739+0.035317i,-0.030606+0.0028533i,-0.016684+0.022831i,-0.0031249+0.0087123i,-0.030563+0.0127i,-0.012847+0.028398i,-0.0033656+0.024691i,-0.0012355-0.010818i,0.0026415+0.0011625i,0.0074414+0.0038002i,0.0029776+0.0041883i,0.0020542-0.00045482i,-0.00025934+0.0019252i,0.014392+0.00059952i,-0.0026388-0.0014434i,-0.0037555-0.00053448i,0.0037973-0.00022419i,-0.00030057-0.0014172i,0.0056877-0.0024614i,0.0022393-0.003008i,0.0029555-0.0014076i,-0.0010634-0.01517i,-0.0037609+0.00028137i,-0.0018604-0.0006283i,-0.0024037-0.0046273i,-0.0025368-0.0024666i,-0.00012205-0.0018083i,0.0009466-0.00041493i,-0.0033778+0.0021383i,0.0013832+0.002466i,0.00059677+0.0028511i,-0.0018017+0.00083916i,-0.004904+0.00049108i,0.0011316-0.013556i,-0.0025703-0.00077381i,-0.00014352+0.001432i,-0.0048446-0.00048785i,-0.0013537+0.006733i,0.00078819-0.0019132i,0.00020266-0.0030437i,-0.0031261-0.0028585i,0.0017227+0.0034532i,-0.034003+0.022582i,0.01691-0.01031i,-0.056885-0.022859i,0.011572-0.013919i,-0.015848-0.039721i,-0.022471-0.032304i,-0.077823-0.0070997i,-0.043485-0.0059519i,-0.049836-0.021805i,-0.020175-0.027596i,-0.013929-0.039039i,-0.0070314+0.00011928i,-0.017042-0.0039779i,-0.012231+0.022618i,-0.0024535+0.013804i,0.001727+0.0039397i,0.011712+0.0059431i,-0.0014405-0.01044i,-0.0030959+0.013458i,-0.0036885+0.0042563i,0.0031977-0.0032816i,0.0054668+0.0040796i,0.0040034-0.0017756i,-0.020084+0.0095395i,-0.014474+0.015073i,-0.001342+0.0033514i,0.010688+0.0066329i,0.0028825+0.0026471i,0.0049007-0.013964i,0.0044631-0.0025063i,0.045567-0.021556i,-0.003193+0.0098264i,0.0037709+0.0024884i,-0.0015031-0.0041703i,0.0077084+0.0013242i,0.0069772+0.018213i,0.0025116+0.0058922i,0.0059607-0.0048058i,0.0039428-0.00052339i,0.0064986+0.010983i,0.0037093+0.0026808i,0.0087727-0.00078525i,-0.005406+0.0098994i,0.00051612+0.0018457i,0.0057142+0.0063265i,-0.0459-0.025905i,-0.023585+0.0077712i,0.003587-0.0010242i,-0.0025697+0.0051869i,-0.036345-0.012028i,-0.0083728+0.0088063i,-0.016732+0.01053i
-0.046212+0.022081i,-0.023159+0.018931i,-0.035894+0.041809i,-0.030427+0.0084047i,-0.010472+0.023505i,-0.0018584+0.008408i,-0.031399+0.0139i,-0.0085978+0.029434i,0.0019289+0.022438i,-0.0036271-0.0078461i,0.0017891+0.0027272i,0.0088003+0.0021719i,0.0067076+0.0022228i,-0.00019616+0.00096064i,6.684e-05+0.0020044i,0.011126-0.0031904i,-0.0028648-0.002075i,-0.003009+1.8561e-05i,0.0032114-0.00072701i,-0.00029112-0.001101i,0.0046769-0.0043659i,0.0021088-0.0024261i,0.0023651-0.0022113i,-0.0058497-0.013814i,-0.0034927+0.0019294i,-0.0017169+2.9362e-06i,-0.0040539-0.0032443i,-0.0028759-0.0011788i,-0.00065478-0.0023033i,0.00025417-0.00087634i,-0.0024444+0.0029512i,0.0013405+0.0013857i,0.0016926+0.0020289i,-0.00095163+0.00081618i,-0.0042173+0.0015703i,-0.0011047-0.0095761i,-0.0026038-0.00039171i,0.0006725+0.0006108i,-0.0034921+0.0010235i,0.0016704+0.0064978i,0.00020031-0.0020543i,0.00019643-0.0028835i,-0.0037698-0.0020001i,0.0033208+0.0030674i,-0.025754+0.026783i,0.016337-0.025921i,-0.058806-0.0099585i,0.01228-0.021491i,-0.018058-0.044551i,-0.027167-0.027206i,-0.070513+0.0071089i,-0.038861-0.0026013i,-0.043406-0.013831i,-0.024123-0.027917i,-0.027236-0.034596i,-0.0070884+0.0013067i,-0.024492-0.0015182i,-0.0021747+0.022625i,0.0010882+0.0086109i,-3.4678e-05-0.0022673i,0.0064173+0.0016884i,-0.0074694-0.010159i,0.0015869+0.012224i,-0.002185+0.0055365i,3.8194e-06-0.0033551i,0.003008+0.0012918i,0.0042605-0.0011779i,-0.011859+0.01532i,-0.0044129+0.017824i,0.0014161+0.0036564i,0.01288+0.00039194i,0.0030041+0.0030573i,-0.002923-0.012425i,0.0021417-0.0033003i,0.025097-0.033634i,0.0017395+0.011959i,0.0039333+0.0024074i,-0.0041272-0.0019018i,0.0074181-0.002842i,0.01468+0.014573i,0.0026813+0.0036934i,0.0035414-0.0064161i,0.0028154-0.0022664i,0.013024+0.0082569i,0.0041177+0.0028352i,0.0062683-0.0040263i,0.00061096+0.010956i,0.00056294+0.0014107i,0.0076448+0.0054775i,-0.047794-0.021645i,-0.018273+0.011484i,0.0013079-0.0037237i,-0.0061692+0.0037349i,-0.039229+0.00074992i,-0.0062831+0.0077618i,-0.014197+0.013275i
