-0.027868-0.044861i,-0.021996-0.020617i,-0.012193-0.037476i,-0.029707-0.021432i,-0.022573-0.0011571i,-0.014272-0.0060507i,-0.054965-0.06055i,-0.047371-0.018669i,-0.038452-0.015604i,0.0091355+0.012948i,-0.0084098+0.0059234i,-0.020384+0.019258i,0.0023329+0.012111i,-0.005984-0.0034636i,0.00047173+0.0012512i,-0.0016757+0.031252i,0.027374+0.029016i,0.0022253-0.0012772i,-0.0019018-0.0066556i,0.0081645+0.0028214i,0.0027464+0.00113i,0.00036407+0.0037502i,-0.00038185+0.00019315i,-0.037594-0.011915i,-0.00037696-0.0073287i,0.0014086+0.002501i,0.0065812+0.001483i,0.0020795+0.00049849i,0.0010921-0.0006571i,-0.00059724-0.002653i,0.0012383-0.0024343i,-0.0025883-0.0057094i,-0.00044958-0.0050653i,0.0030565-0.00083148i,0.0047512-0.0025786i,0.0013815+0.032189i,0.0044262-0.003314i,0.0034832-0.0017449i,0.00869-0.0010584i,-0.0058106-0.0018718i,-0.00016944+0.0012376i,0.0092391+0.00072859i,0.0038309-0.0023913i,-0.0027127+0.0079792i,-0.016105-0.0086758i,-0.019248+0.014915i,-0.00010303-0.062161i,-0.0042433-0.027481i,-0.025442-0.03353i,-0.010515-0.027078i,0.056515-0.020334i,0.01823-0.043356i,0.023501-0.048384i,0.0066105-0.056075i,0.026686-0.019986i,0.0090476+0.0064997i,0.026625-0.033373i,-0.0080174-0.0069598i,0.0036733-0.0045408i,-0.0043071-0.006957i,-0.0016737-0.033643i,-0.019455+0.029614i,0.0085693-0.011128i,-0.0092224-0.0040913i,-0.0042326-0.0017892i,0.0011441-0.013292i,-0.011115+0.0040989i,0.0024426+0.010085i,-0.0056648+0.02731i,0.0044242+0.0024058i,-0.0054325-0.0018426i,-0.0019529-0.0026228i,-0.012724-0.0077603i,-0.00029659-0.0042161i,-0.036309+0.00074236i,0.0014242-0.010453i,-0.0081658+1.4732e-05i,-0.0068731-0.0026033i,0.0053793+0.0013837i,-0.0087773-0.00014535i,0.0016438+0.00010726i,0.0039809+0.007521i,0.0044772+0.00074683i,-0.008498-0.012759i,0.0018814+0.0097109i,-0.01611+0.0053413i,0.0062849+0.00029635i,-0.02306-0.0012434i,-0.019392+0.0044188i,-0.0052449-0.065571i,0.0084241-0.012189i,-0.048981-0.024124i,-0.021409+0.00023442i,0.017918+0.011969i,-0.02367+0.014272i,-0.019503-0.0058071i
-0.036286-0.041704i,-0.022819-0.011543i,-0.017432-0.039162i,-0.031594-0.018934i,-0.020424-0.00097007i,-0.016077-0.0033978i,-0.064987-0.049389i,-0.048635-0.011213i,-0.038976-0.0069959i,0.009581+0.0096475i,-0.010073+0.0053621i,-0.009902+0.026846i,0.0067725+0.0088778i,-0.010707+2.7988e-05i,0.00051626+0.00080008i,0.0058519+0.026729i,0.030257+0.017414i,0.0032168+0.00013276i,-0.0046303-0.0029098i,0.0074926-0.00053987i,0.00099098+0.00082349i,0.00034643+0.0039578i,-0.00035443+0.00055111i,-0.026202+0.0091436i,-0.0024603-0.0061476i,0.003471+0.00080555i,0.0052262+0.0018126i,0.0026777+0.0010452i,0.0016484-0.0013215i,-0.0016444-0.0021858i,0.00097542-0.0032476i,-0.0029504-0.004548i,-0.0015738-0.0049586i,0.0025279-0.0019596i,0.0047126-0.002694i,0.011753+0.02763i,0.0038273-0.0049506i,0.0022511-0.002536i,0.0097809-0.0043129i,-0.0039391-0.00089544i,0.00058815+0.0022767i,0.0082623-0.00054599i,0.0026113-0.00189i,-0.0029824+0.0092891i,-0.014657-0.0092458i,-0.0070023+0.018797i,-0.011529-0.062072i,-0.015316-0.030631i,-0.020116-0.02284i,-0.0076643-0.016562i,0.053776-0.046054i,0.018331-0.06208i,0.02533-0.048921i,-0.004119-0.060371i,0.01386-0.016004i,0.0079834-0.0020078i,0.011975-0.036861i,-0.0077597-0.00065795i,-0.00040307-0.013427i,-0.0060476-0.0062524i,-0.023773-0.02998i,-0.0064181+0.026543i,0.0027164-0.013911i,-0.010757+2.1561e-06i,-0.0032299-8.8883e-05i,-0.0055067-0.013377i,-0.011929+0.009449i,0.0080765+0.010755i,0.011699+0.023581i,0.0043543-0.0011092i,-0.0052049+0.0013565i,-0.0043362-0.0025508i,-0.016398+0.0017493i,-0.00044108-0.0030679i,-0.040739+0.0086883i,-0.0047856-0.0081965i,-0.0073136+0.0033044i,-0.0081804+0.00132i,0.0036941-0.0040694i,-0.0078213+0.0020859i,0.0028162-0.0024715i,0.0029266+0.0030384i,0.003549-0.00054126i,-0.014608-0.0041491i,0.0041347+0.0064975i,-0.011162+0.011074i,0.0054108-0.0023453i,-0.021309+0.0065885i,-0.018195+0.0099076i,-0.016206-0.061871i,0.0034297-0.017465i,-0.054593-0.0090376i,-0.015225-0.0040239i,0.01816+0.0062255i,-0.017281+0.019934i,-0.026933-0.0079427i
-0.043072-0.036223i,-0.019814-0.010386i,-0.024737-0.041332i,-0.033889-0.013703i,-0.019748-0.0016816i,-0.017306-0.00055585i,-0.076303-0.033418i,-0.05091-0.0027525i,-0.038798-5.405e-05i,0.009567+0.0070317i,-0.010844+0.010734i,0.0014927+0.025078i,0.0078044+0.0041543i,-0.011411+0.0052904i,0.00037485+0.00073148i,0.010169+0.020407i,0.03349+0.0077528i,0.0051675-0.00052894i,-0.0037677-8.3324e-05i,0.0060222-0.0024195i,-0.0005801+0.0016853i,0.0018281+0.0049144i,-0.00021763+0.00060938i,-0.013853+0.017551i,-0.0036113-0.0047385i,0.0035323-0.0017749i,0.0053687+0.00018532i,0.0040475-1.909e-05i,0.00061946-0.0018816i,-0.0019723-0.0013002i,-0.00020425-0.0038168i,-0.0043189-0.0033827i,-0.0031627-0.0044476i,0.0016251-0.0035489i,0.0049157-0.0063081i,0.019046+0.01949i,0.0019851-0.0058961i,0.0012519-0.0030299i,0.0078795-0.0097272i,-0.0035524+0.00024911i,0.0020017+0.0024373i,0.0072586-0.003339i,0.0027365-0.0018817i,-0.00034712+0.010926i,-0.015853-0.011796i,0.0039043+0.016449i,-0.022421-0.059287i,-0.024769-0.0228i,-0.0087554-0.021326i,-0.0010578-0.01946i,0.044354-0.067227i,0.00013305-0.078273i,0.029692-0.05597i,-0.015627-0.05682i,0.0098217-0.014135i,0.0050255-0.0052856i,0.0004751-0.03781i,0.0022696-0.00072757i,-0.0091271-0.013198i,-0.0057112-0.0086246i,-0.03937-0.017213i,0.001735+0.023993i,-0.0038943-0.013969i,-0.0085382+0.0027714i,-0.0046088+0.0003621i,-0.011927-0.011418i,-0.0057643+0.015175i,0.015136+0.0041386i,0.021227+0.011489i,0.0034466-0.0030319i,-0.0043893+0.0017143i,-0.0060881-0.00095074i,-0.012663+0.010881i,-0.0042229-0.0027045i,-0.037324+0.022475i,-0.0066498-0.0036807i,-0.0055347+0.006608i,-0.0081397+0.0076175i,-0.0015709-0.0050104i,-0.0073614+0.0034991i,0.0010014-0.0039264i,0.00088733+0.0023886i,0.0030718-0.0023521i,-0.0092217+0.003968i,0.0043216+0.0031211i,-0.0066333+0.012389i,0.0028624-0.0054846i,-0.01685+0.012183i,-0.013127+0.014462i,-0.021988-0.057013i,-0.0034198-0.017336i,-0.052967+0.0050823i,-0.021415-0.01007i,0.016959-0.0010356i,-0.0072004+0.019123i,-0.029461-0.0022959i
-0.048408-0.029831i,-0.02053-0.012053i,-0.034492-0.041478i,-0.031875-0.0085143i,-0.02079-0.0024215i,-0.017254+0.0033953i,-0.078761-0.0072773i,-0.050489+0.0094949i,-0.037676+0.0090485i,0.0098153+0.0055861i,-0.0057092+0.014978i,0.0070406+0.019483i,0.0066694+0.00050756i,-0.0094306+0.011188i,-6.4624e-06+0.0006657i,0.010708+0.012855i,0.033699-0.0078809i,0.0048635-0.0030472i,-0.0035824+0.0024827i,0.0041986-0.0034256i,0.00048688+0.0034832i,0.0043454+0.0046295i,-0.00026124+0.0010089i,-4.6817e-05+0.026241i,-0.0043649-0.003421i,0.0019463-0.0031692i,0.0056339-0.0010647i,0.0034308-0.0018584i,0.00021456-0.0014148i,-0.0025261-0.00041954i,-0.0014811-0.0036043i,-0.0046789-0.0021509i,-0.0047651-0.0031976i,0.00013109-0.0042489i,0.00051128-0.0080573i,0.020132+0.011482i,-8.2005e-05-0.0063425i,0.00023331-0.0033442i,0.0028516-0.011745i,-0.0013225+0.0013748i,0.0032025+0.0014964i,0.0044357-0.0047317i,0.0020657-0.0023471i,0.0029721+0.0098613i,-0.016504-0.013451i,0.013254+0.010316i,-0.031763-0.052739i,-0.025483-0.011451i,-0.0052415-0.025099i,0.00030105-0.021324i,0.024404-0.089537i,-0.023265-0.078833i,0.024707-0.074306i,-0.022918-0.052588i,0.0066016-0.01214i,0.0011057-0.0081154i,-0.012877-0.034474i,0.001388-0.0098969i,-0.012517-0.0086294i,-0.011367-0.012251i,-0.043941+0.0040202i,0.011922+0.018084i,-0.0093328-0.01204i,-0.0063663+0.0038044i,-0.0045356+0.0029502i,-0.017051-0.0054688i,0.0025855+0.013223i,0.016855-0.0038887i,0.022468-0.00034524i,0.002447-0.0048378i,-0.0051207+0.0020208i,-0.0069412+0.0023867i,-0.007437+0.017262i,-0.0056441+0.0012491i,-0.030189+0.033845i,-0.0069202-0.0014766i,-0.0012588+0.0077354i,-0.0019539+0.012272i,-0.0056633-0.0018188i,-0.0047602+0.0045121i,-0.00060041-0.0041705i,0.00014611+0.0032848i,0.00058876-0.0039302i,-0.0044887+0.0032367i,0.0010658+9.0797e-05i,-0.0035742+0.014198i,-0.0015477-0.005141i,-0.010415+0.015792i,-0.0078572+0.014343i,-0.026589-0.054449i,-0.0025834-0.014244i,-0.047722+0.020104i,-0.02924-0.0059284i,0.014434-0.0066365i,0.00071693+0.014325i,-0.02775+0.0034296i
-0.05293-0.022114i,-0.024488-0.010741i,-0.047169-0.03749i,-0.029757-0.006318i,-0.023708-0.0021319i,-0.01568+0.0073099i,-0.064304+0.010329i,-0.043446+0.019509i,-0.030368+0.015948i,0.011008+0.003872i,-0.00030368+0.01369i,0.010624+0.015896i,0.0041349-0.0013366i,-0.0029443+0.014585i,-0.00029609+0.00058419i,0.0081693+0.010687i,0.020175-0.020648i,0.0033098-0.0042578i,-0.00076256+0.0064681i,0.0027943-0.003795i,0.0025258+0.0055984i,0.0053889+0.0024309i,3.7313e-05+0.0016829i,0.020878+0.018943i,-0.0048439-0.0011535i,0.00058347-0.0033067i,0.0039009-0.0033193i,0.0028335-0.0020567i,0.00012945-0.001164i,-0.0020705+0.0011028i,-0.0025963-0.0029226i,-0.0047803-0.00024433i,-0.004672-0.001493i,-0.0019117-0.0037914i,-0.0017957-0.0068003i,0.02158+0.0064238i,-0.0022204-0.0058053i,-0.0013509-0.0031271i,-0.0017038-0.010656i,-0.000465-0.00082645i,0.0033212+0.00027312i,0.0022938-0.0037513i,0.0021129-0.0024382i,0.0040932+0.0082191i,-0.021613-0.017457i,0.019979-0.0011454i,-0.035826-0.043931i,-0.021295-0.0024403i,-0.0032454-0.030402i,0.0021582-0.022489i,-0.0086011-0.10033i,-0.04245-0.070339i,0.004105-0.08589i,-0.033335-0.044889i,0.0058581-0.0091173i,-0.0031696-0.0082096i,-0.023756-0.025282i,-0.0053934-0.012786i,-0.014781-0.0062401i,-0.021321-0.0076315i,-0.037521+0.020832i,0.015116+0.0075171i,-0.014875-0.0067853i,-0.0051016+0.0048141i,-0.0036776+0.0052753i,-0.017955+0.0039764i,0.0037173+0.0085614i,0.015467-0.010775i,0.020759-0.01052i,0.0005359-0.0063953i,-0.0068491+0.005061i,-0.0044266+0.0058297i,0.00077582+0.019129i,-0.0048371+0.0048918i,-0.021549+0.043717i,-0.0081891-0.00013854i,0.00098258+0.0050792i,0.0048333+0.011219i,-0.0071349+0.0015953i,-0.0036788+0.0019907i,-0.0029133-0.0045746i,0.00043668+0.005209i,-0.0035159-0.0036301i,-0.0047308+0.00078791i,-0.0015794+0.0017411i,0.002554+0.015384i,-0.0043313-0.0033732i,-0.0027745+0.016606i,-0.0054732+0.014458i,-0.034254-0.050174i,0.0013319-0.019685i,-0.036004+0.035936i,-0.03133+0.0043233i,0.0096898-0.012045i,0.002042+0.0066534i,-0.025224+0.0058119i
-0.055602-0.01451i,-0.025182-0.008376i,-0.05859-0.026006i,-0.029725-0.0053577i,-0.028047+0.0011603i,-0.011784+0.0097888i,-0.050591+0.016593i,-0.035146+0.024838i,-0.024343+0.018221i,0.010729+0.0015318i,0.001815+0.012507i,0.014072+0.0092894i,0.0015776-0.0018899i,0.004115+0.012869i,-0.00066894+0.00071192i,0.008073+0.010546i,0.0055978-0.02086i,0.0028809-0.0047129i,0.0037354+0.0063471i,0.0012541-0.0036798i,0.006304+0.0034487i,0.0051787+0.00061463i,0.0011835+0.0020251i,0.027356+0.0016801i,-0.0032361+0.00081568i,-0.00059613-0.0031117i,0.0007677-0.0015796i,0.0026586-0.0033135i,-9.8474e-05-0.0013738i,-0.00031143+0.0021306i,-0.0030723-0.001854i,-0.0042449+0.00059755i,-0.0053938+0.00055907i,-0.002571-0.0020521i,-0.0028992-0.0056887i,0.022504-0.00046499i,-0.0042185-0.0045597i,-0.0032024-0.0025499i,-0.0055988-0.0096381i,-0.0026159-0.002117i,0.003439-0.00071873i,0.0013305-0.0024148i,0.0012982-0.0028943i,0.0050636+0.0071378i,-0.030183-0.01592i,0.012243-0.016787i,-0.034147-0.037204i,-0.016266+0.0031689i,-0.0044146-0.033878i,0.0055304-0.027958i,-0.041281-0.089814i,-0.059271-0.055121i,-0.015395-0.085301i,-0.033755-0.028239i,0.0112-0.0042746i,-0.0056953-0.0061148i,-0.026493-0.010633i,-0.010992-0.012593i,-0.02005-0.0017789i,-0.020342+0.0023709i,-0.026566+0.034466i,0.012804+0.0002903i,-0.013254+0.002519i,-0.0051677+0.0051632i,0.00033913+0.0080427i,-0.012361+0.011183i,0.0053166+0.0098313i,0.011104-0.022846i,0.0086556-0.022908i,-0.0047907-0.0087203i,-0.0061386+0.0092538i,-0.0028453+0.0063775i,0.0085211+0.017389i,-0.0014456+0.007396i,-0.0040482+0.057771i,-0.0094923+0.001543i,0.00035189+0.0046283i,0.0088305+0.0064261i,-0.0057698+0.0080662i,-0.0051626+0.00306i,-0.0068944-0.0030466i,0.0036692+0.0056758i,-0.0049015+0.0022378i,-0.0074933+0.0010336i,0.00024808+0.006127i,0.0070292+0.011859i,-0.0057901-0.0021282i,0.0021865+0.011825i,-0.00086144+0.015839i,-0.036963-0.039749i,-0.0074776-0.032333i,-0.011861+0.039538i,-0.026809+0.011006i,0.0070299-0.019582i,0.0013545+0.00032486i,-0.0226+0.010399i
-0.05718-0.0064057i,-0.030279-0.0081786i,-0.0659-0.01091i,-0.029808-0.0021118i,-0.030177+0.0082543i,-0.0082456+0.010008i,-0.040811+0.017547i,-0.027946+0.027139i,-0.021275+0.020101i,0.011324-0.0015864i,0.0065942+0.011962i,0.010745+0.0019675i,-0.0010328-0.00026425i,0.0084579+0.0068246i,-0.00077635+0.0011046i,0.0089241+0.010468i,-0.0035613-0.015185i,0.0011418-0.0062287i,0.0057926+0.0029967i,0.0002761-0.0028432i,0.0069503-2.9253e-05i,0.0057945-0.00014176i,0.0022843+0.0015356i,0.021542-0.012168i,-0.00083491+0.00059459i,-0.0012958-0.0022261i,0.0021405-0.0030278i,0.001441-0.004446i,-0.0003743-0.00065734i,0.0009729+0.001303i,-0.0032058-0.00096627i,-0.0035629+0.0020004i,-0.0038322+0.0025763i,-0.0024332-0.0014355i,-0.0051686-0.0052004i,0.019746-0.0077499i,-0.004834-0.002179i,-0.0036723-0.00062738i,-0.0084928-0.005729i,-0.0051799+8.9222e-05i,0.0026885-0.0018268i,0.0022888-0.0033216i,0.00066982-0.0031996i,0.0060595+0.0042067i,-0.036953-0.0090615i,-0.000575-0.015704i,-0.036259-0.036599i,-0.0047791+0.0072367i,-0.0059018-0.035908i,-0.0013542-0.037825i,-0.059893-0.071986i,-0.062302-0.03271i,-0.0374-0.079587i,-0.026173-0.021787i,0.018461-0.017031i,-0.0065717-0.003488i,-0.021245-0.0037602i,-0.020479-0.0093215i,-0.017147+0.0084446i,-0.017249+0.0066384i,-0.006549+0.038276i,0.010911-0.0035571i,-0.011167+0.0045271i,-0.0019489+0.0050331i,0.0027168+0.0051245i,-0.0053412+0.015089i,0.010817+0.0068862i,-0.0057003-0.027398i,-0.0095004-0.020698i,-0.0081151-0.002151i,-0.0019125+0.011865i,0.00059712+0.0063478i,0.015407+0.0097317i,0.0017341+0.0068588i,0.024022+0.055669i,-0.0064841+0.0056186i,0.00070611+0.0045199i,0.0095656+0.00088308i,0.00030248+0.010616i,-0.0076209+0.0044549i,-0.0089919+0.0030672i,0.0068393+0.0049506i,-0.0027208+0.0055288i,-0.0094697+0.0039386i,0.0030096+0.0059822i,0.0087916+0.0078064i,-0.0060344+0.00026527i,0.0056897+0.0077286i,0.0035568+0.012899i,-0.037757-0.036243i,-0.026801-0.03153i,0.0045582+0.028442i,-0.023508+0.014895i,-0.0027475-0.025975i,-0.0032526-0.0038569i,-0.015215+0.010601i
-0.057839+0.0017683i,-0.034883-8.4109e-05i,-0.067191+0.0069183i,-0.02759-1.9468e-05i,-0.027056+0.015817i,-0.0062671+0.0094296i,-0.034483+0.016785i,-0.02168+0.028054i,-0.016187+0.023902i,0.010321-0.0048936i,0.010621+0.0054816i,0.005348+0.00137i,-0.0011785+0.0027175i,0.0062286+0.0026436i,-0.00067941+0.001248i,0.012041+0.0087981i,-0.0071286-0.0080787i,-0.0016818-0.0057798i,0.0046893+0.00099797i,-9.5517e-05-0.0023354i,0.004818-0.0016592i,0.0053184-0.0020954i,0.0028027+0.00060647i,0.011848-0.019582i,-0.00076935-0.0007539i,-0.0012746-0.0016518i,0.001466-0.004631i,-0.00032943-0.0039651i,0.00073131-0.00037724i,0.00098713+0.00037871i,-0.0035148-0.0002339i,-0.0020154+0.0029182i,-0.002168+0.0036732i,-0.0027704-0.00095001i,-0.0064472-0.0017233i,0.014952-0.01295i,-0.0040394-0.00063942i,-0.0025953+0.00095159i,-0.00784-0.0026734i,-0.0044233+0.0029682i,0.0016368-0.0021542i,0.0020862-0.0037674i,-0.00063873-0.0032966i,0.0046458+0.0016998i,-0.039681+0.00096909i,-0.002025-0.0063186i,-0.041204-0.034682i,0.0059095+0.0025241i,-0.0085294-0.040173i,-0.010122-0.036409i,-0.07533-0.054004i,-0.053814-0.017565i,-0.058703-0.06111i,-0.021745-0.022947i,0.013729-0.028873i,-0.0065123-0.0022216i,-0.016915+0.00012757i,-0.027748+0.0018756i,-0.012441+0.012214i,-0.012838+0.012045i,0.011261+0.030653i,0.0073255-0.0082252i,-0.010772+0.0075309i,-0.0016666+0.0025546i,0.004702+0.0041594i,0.0024722+0.013256i,0.0116-0.00075217i,-0.020423-0.01755i,-0.018564-0.0081521i,-0.004909+0.0030555i,0.0040656+0.011374i,0.0029177+0.0051902i,0.017677+0.0016932i,0.0064806+0.0061028i,0.045846+0.038941i,-0.0039569+0.0048785i,0.0012313+0.00566i,0.0069855-0.004046i,0.0062073+0.0072485i,-0.0087144+0.011949i,-0.0059786+0.0093156i,0.0094978+0.00077325i,0.0026555+0.0058598i,-0.0096534+0.0087326i,0.0047057+0.0036716i,0.0094555+0.0048721i,-0.0065249+0.0017361i,0.0058914+0.0027503i,0.0049453+0.0098399i,-0.039024-0.030678i,-0.036721-0.014424i,0.01017+0.013368i,-0.01155+0.019681i,-0.014595-0.027184i,-0.011358-0.0033215i,-0.014823+0.0057605i
-0.057176+0.010479i,-0.032816+0.0094477i,-0.060744+0.023801i,-0.027951+0.00048941i,-0.021942+0.019949i,-0.0046277+0.0090197i,-0.030496+0.014636i,-0.017178+0.027786i,-0.0087899+0.025726i,0.0077257-0.0081893i,0.0069943-2.6187e-05i,0.0049919+0.0039093i,0.00096387+0.0045621i,0.0040529+0.0006049i,-0.00063435+0.0015892i,0.014252+0.0048119i,-0.0057121-0.0025256i,-0.0028121-0.0040343i,0.0042851+0.00052421i,-0.00049482-0.0018464i,0.0048553-0.00083938i,0.0037506-0.0032543i,0.0029924-0.00032999i,0.0027394-0.01942i,-0.0015988-0.0012292i,-0.0014637-0.0018003i,-0.00046444-0.0051252i,-0.0014457-0.0033773i,0.00061477-0.0011779i,0.0010322+3.5559e-05i,-0.003538+0.00058209i,-0.00036778+0.0031264i,-0.00051892+0.0032442i,-0.0027133+0.00050058i,-0.0053173-0.0006506i,0.0081387-0.015838i,-0.0031555+6.1511e-05i,-0.0013144+0.001569i,-0.0089088-0.00033753i,-0.0028127+0.0043338i,0.0009613-0.0020346i,0.00023657-0.0042977i,-0.0015344-0.002724i,0.0023035+0.0016914i,-0.03877+0.011478i,0.007738-0.0019406i,-0.047781-0.030198i,0.011852-0.0061066i,-0.014229-0.039852i,-0.015529-0.034686i,-0.08273-0.028962i,-0.047836-0.012254i,-0.059691-0.034262i,-0.021783-0.023867i,0.0028036-0.036964i,-0.0071967-0.0015435i,-0.013974-0.0018718i,-0.02254+0.016314i,-0.0072016+0.01472i,-0.0029449+0.012074i,0.016308+0.016054i,0.0027433-0.0094837i,-0.0081327+0.011432i,-0.0030929+0.00277i,0.0056153+0.00030367i,0.0060581+0.0086201i,0.005904-0.003715i,-0.025097-0.0032551i,-0.018262+0.0028767i,-0.00073859+0.002907i,0.0071064+0.0090552i,0.0030167+0.003612i,0.014719-0.0094002i,0.0069034+0.00036925i,0.055513+0.014891i,-0.004876+0.0066476i,0.0037494+0.0043183i,0.0020298-0.0055995i,0.0074114+0.00341i,-0.0022987+0.018166i,0.0020243+0.0087025i,0.0075972-0.0031363i,0.0050557+0.0017586i,-0.0053235+0.014995i,0.003861+0.0034398i,0.0093954+0.0024726i,-0.0079111+0.0040215i,0.0011313+0.00048805i,0.0054186+0.0082458i,-0.03841-0.026357i,-0.032171-6.025e-05i,0.0068879+0.0027446i,-0.0022754+0.012782i,-0.026874-0.022372i,-0.013377+0.0061077i,-0.01736+0.0081399i
-0.055073+0.019068i,-0.027631+0.014495i,-0.049499+0.03555i,-0.030427+0.0030661i,-0.016523+0.022669i,-0.003238+0.0088493i,-0.030208+0.012861i,-0.013801+0.028521i,-0.0022609+0.024275i,0.0038995-0.0098806i,0.0030361+0.00031105i,0.0064507+0.003809i,0.0037607+0.0038658i,0.0020454+7.9532e-05i,-0.00013292+0.0020102i,0.013049-0.00027239i,-0.0034981-0.001473i,-0.0027314-0.0025638i,0.0043569-0.00062927i,-0.00052794-0.001223i,0.0056848-0.0025539i,0.0022874-0.0029583i,0.0028308-0.0012146i,-0.0030071-0.017014i,-0.0018697-0.00065564i,-0.0020151-0.001218i,-0.0023207-0.0044875i,-0.0024894-0.002694i,0.00022162-0.0014609i,0.00086022-0.00068726i,-0.003337+0.0016861i,0.0010317+0.002227i,0.00056831+0.0027415i,-0.0018419+0.0012108i,-0.0056489+0.00073769i,0.0017633-0.014074i,-0.0029229-0.00031691i,-0.00027783+0.0014094i,-0.0068863+0.0037093i,-0.00082428+0.0050961i,0.00054773-0.0019911i,-0.00014374-0.0036122i,-0.0023283-0.0020695i,0.0024796+0.0039707i,-0.032768+0.020254i,0.019401-0.010865i,-0.054328-0.021506i,0.012302-0.014966i,-0.015545-0.039585i,-0.021897-0.032294i,-0.078158-0.0075264i,-0.043624-0.0061971i,-0.050396-0.020284i,-0.02264-0.025594i,-0.011285-0.039048i,-0.0072182+0.00024562i,-0.016957-0.0036765i,-0.012036+0.022179i,-0.0016222+0.013483i,0.0017318+0.0042185i,0.012443+0.0053513i,-0.0018756-0.0088607i,-0.0031141+0.013278i,-0.0032419+0.004506i,0.0032858-0.0027418i,0.0062741+0.0040522i,0.0039113-0.0015971i,-0.021531+0.0096825i,-0.012589+0.01082i,-8.746e-05+0.0026118i,0.010601+0.0059896i,0.0029359+0.0028889i,0.0053167-0.014458i,0.0042027-0.0024198i,0.052442-0.0074648i,-0.001907+0.00966i,0.0035885+0.0028179i,-0.0014669-0.0041872i,0.0074423+0.0013704i,0.0071684+0.01966i,0.0039523+0.0048147i,0.0057181-0.0048601i,0.0041324-0.00050053i,0.0030445+0.01647i,0.0046322+0.002728i,0.0094884-0.001024i,-0.0054+0.0095201i,0.00033146+0.001897i,0.0061079+0.0072955i,-0.038699-0.025506i,-0.025196+0.0058339i,0.0035249-0.0013751i,-0.002619+0.0049642i,-0.036298-0.012202i,-0.0083294+0.0088429i,-0.016103+0.010643i
-0.051435+0.027433i,-0.022032+0.016963i,-0.036004+0.042074i,-0.030599+0.0086273i,-0.010376+0.023247i,-0.0019062+0.0085237i,-0.03112+0.013997i,-0.009565+0.029794i,0.0028287+0.02177i,5.4804e-05-0.010004i,0.0019414+0.0019274i,0.0081878+0.0023912i,0.0049272+0.0022637i,-0.00025931+0.00127i,0.00023104+0.0020566i,0.010062-0.003216i,-0.0038091-0.0022333i,-0.0028525-0.0019555i,0.0038689-0.0015955i,-0.00031139-0.00082125i,0.0046352-0.0044931i,0.0021745-0.0024362i,0.0023295-0.0020282i,-0.007427-0.01491i,-0.00198+0.0002296i,-0.0021243-0.00054678i,-0.0039041-0.0030094i,-0.0029817-0.001353i,-0.00015066-0.0015998i,9.6926e-05-0.001165i,-0.0026154+0.0027441i,0.00093634+0.0012593i,0.0015547+0.001938i,-0.00089911+0.0011325i,-0.0047864+0.0019395i,-0.001129-0.010735i,-0.0030522+0.00017965i,0.0005093+0.00063781i,-0.0035803+0.0043999i,0.0018359+0.0047343i,0.0001255-0.0018974i,-0.0002869-0.0033817i,-0.0029662-0.0013699i,0.0043992+0.0031584i,-0.025275+0.024176i,0.018595-0.027663i,-0.057098-0.0096639i,0.012301-0.022525i,-0.01771-0.044851i,-0.026675-0.027403i,-0.070996+0.0068271i,-0.039026-0.0029004i,-0.043267-0.012404i,-0.026018-0.025635i,-0.025829-0.03598i,-0.0071197+0.0014806i,-0.024246-0.0015292i,-0.0024985+0.021963i,0.0017779+0.010158i,-5.7658e-05-0.0019848i,0.0066608+0.001622i,-0.0061204-0.008004i,0.0015656+0.012153i,-0.0014931+0.0055762i,0.00045373-0.0030347i,0.0034488+0.0010759i,0.0042259-0.00096763i,-0.013192+0.016252i,-0.0052611+0.014415i,0.0023046+0.0025571i,0.012563+0.00020969i,0.0031641+0.0032749i,-0.0029423-0.01282i,0.0020144-0.0031392i,0.042142-0.024204i,0.0027049+0.01091i,0.0038739+0.0027535i,-0.004132-0.0018815i,0.0072759-0.0025709i,0.015658+0.015791i,0.003427+0.0021005i,0.003259-0.0063935i,0.0029945-0.0023088i,0.0099363+0.013304i,0.0048325+0.0026507i,0.0065792-0.0044384i,0.00040948+0.010838i,0.00054342+0.0015635i,0.0082752+0.0061025i,-0.04281-0.022883i,-0.019534+0.010198i,0.0010916-0.0038639i,-0.0061987+0.0036918i,-0.039494+0.00031264i,-0.0061551+0.0077802i,-0.013343+0.013109i
