-0.031334-0.040787i,-0.021214-0.021511i,-0.012959-0.037i,-0.029876-0.02078i,-0.022476-0.0012629i,-0.014624-0.0066102i,-0.056037-0.061628i,-0.047742-0.018541i,-0.03829-0.012547i,0.012446+0.01251i,-0.0075764+0.0047615i,-0.020303+0.019624i,0.0015221+0.011795i,-0.0058412-0.0023682i,0.00016706+0.0015849i,-0.0025899+0.031766i,0.025912+0.027647i,0.0023592-0.0021418i,-0.0023293-0.0075759i,0.0091164+0.0028608i,0.0025064+0.00096539i,-0.00015833+0.0030904i,-0.00035707+0.00027362i,-0.035572-0.011545i,0.00058135-0.0083711i,0.0015882+0.0021881i,0.0075319+0.00092022i,0.0021909+0.00079145i,0.0010766-0.00029662i,-0.00057383-0.0028613i,0.0014475-0.0024024i,-0.0024272-0.0068276i,-0.00084009-0.0050457i,0.0029683-0.00055614i,0.0047235-0.00321i,-6.2617e-05+0.031843i,0.0047023-0.0039469i,0.0031468-0.0016781i,0.0082694-0.0014716i,-0.0079012-0.0030106i,-0.00020902+0.00073629i,0.0093406+8.8788e-05i,0.0048754-0.0025629i,-0.001791+0.0090542i,-0.017722-0.0080375i,-0.018359+0.015798i,-0.00090052-0.063047i,-0.0046675-0.027106i,-0.026287-0.032747i,-0.010304-0.027171i,0.056716-0.018861i,0.018256-0.042886i,0.023529-0.047557i,0.0055952-0.054303i,0.027301-0.019677i,0.0086405+0.0062234i,0.02604-0.033961i,-0.0075201-0.0062093i,0.0043013-0.0051931i,-0.0043875-0.0068261i,-0.0014764-0.033835i,-0.018139+0.028681i,0.0090747-0.011734i,-0.0092961-0.0046338i,-0.0042384-0.0016737i,0.0013756-0.013023i,-0.011263+0.0045121i,0.0026605+0.01038i,-0.0056123+0.026626i,0.004907+0.0023666i,-0.0051975-0.002586i,-0.0020494-0.0022583i,-0.014143-0.0086858i,-0.00034968-0.0040774i,-0.034755-7.3628e-05i,0.0015826-0.010922i,-0.0088823-9.4595e-05i,-0.0069728-0.0021881i,0.0051662+0.0016386i,-0.0078236-0.0001412i,0.0025562+4.542e-05i,0.0040471+0.0077435i,0.0042022+0.00080805i,-0.0071276-0.012417i,0.002327+0.0093508i,-0.016533+0.0055139i,0.0067898-0.00037942i,-0.022443-0.0003312i,-0.018223+0.0069289i,-0.008587-0.068288i,0.0079078-0.012531i,-0.047757-0.024295i,-0.02129+0.00054739i,0.017418+0.011546i,-0.024039+0.014681i,-0.019843-0.0061265i
-0.038803-0.036027i,-0.022748-0.012812i,-0.018208-0.038183i,-0.031903-0.018312i,-0.020251-0.0011094i,-0.01655-0.0038318i,-0.065804-0.050225i,-0.049031-0.010901i,-0.037517-0.0042737i,0.011974+0.0079591i,-0.0095689+0.0043656i,-0.0095421+0.026972i,0.006497+0.0088354i,-0.0093285+0.00082945i,0.00030244+0.0011962i,0.0052515+0.027498i,0.027842+0.017763i,0.0026565-0.00093616i,-0.005209-0.0034991i,0.0062883-0.0020023i,0.00083887+0.00082616i,-0.00012729+0.0037088i,-0.00029511+0.00068248i,-0.023889+0.0062691i,-0.002014-0.0072242i,0.003679+0.00026229i,0.0055448+0.0017772i,0.0026366+0.00157i,0.0017174-0.00097844i,-0.0016521-0.0023979i,0.001121-0.0034034i,-0.0030367-0.0054066i,-0.0020915-0.0047886i,0.0025558-0.0016437i,0.0045725-0.0031631i,0.010714+0.028104i,0.0039576-0.0055421i,0.0018933-0.0024376i,0.0090871-0.0044463i,-0.00498-0.0020425i,0.00030324+0.0017638i,0.0084398-0.001199i,0.0035163-0.0027433i,-0.0017347+0.0098019i,-0.016303-0.0085604i,-0.0057494+0.019156i,-0.01271-0.062447i,-0.015503-0.030172i,-0.020784-0.022344i,-0.0075231-0.016518i,0.05445-0.044672i,0.018578-0.061392i,0.02538-0.048213i,-0.0047034-0.058341i,0.014348-0.015658i,0.0076186-0.0019336i,0.011588-0.037043i,-0.0075034-0.00027639i,0.00054517-0.014731i,-0.0062064-0.0059207i,-0.023236-0.029829i,-0.0053095+0.025827i,0.0028217-0.014923i,-0.010507-0.00051339i,-0.0033506-2.0404e-05i,-0.004952-0.013169i,-0.011989+0.0097251i,0.0080445+0.010972i,0.011173+0.022223i,0.0051016-0.0014673i,-0.0053885+0.0014317i,-0.004405-0.0023498i,-0.018564+0.001066i,-0.00063102-0.0028237i,-0.040023+0.0089604i,-0.0046871-0.0086214i,-0.007972+0.0036463i,-0.00833+0.0019068i,0.0036435-0.0037501i,-0.0070611+0.0019767i,0.0037027-0.0024392i,0.0029688+0.0032004i,0.0032981-0.00045131i,-0.012908-0.0031484i,0.0045445+0.0060542i,-0.01105+0.01169i,0.0055142-0.0031217i,-0.020392+0.0069451i,-0.01644+0.011982i,-0.019849-0.06366i,0.0033158-0.017415i,-0.053673-0.010117i,-0.015726-0.0040317i,0.017418+0.0059434i,-0.017676+0.020129i,-0.027042-0.0074378i
-0.043172-0.029904i,-0.020195-0.011325i,-0.025004-0.04002i,-0.034125-0.012799i,-0.019663-0.0019288i,-0.017811-0.00082728i,-0.077104-0.03399i,-0.051203-0.0022465i,-0.036554+0.0016861i,0.011293+0.0048529i,-0.01042+0.009527i,0.0015511+0.025372i,0.0076363+0.0041844i,-0.0095804+0.0043921i,0.00030136+0.0011476i,0.0099422+0.021121i,0.032564+0.0094147i,0.0036639-0.0013263i,-0.004463-0.0003241i,0.0055917-0.0016877i,-0.00051328+0.0017754i,0.0015115+0.0051416i,-0.00014346+0.00079664i,-0.013256+0.014901i,-0.0035905-0.0058115i,0.0033253-0.002487i,0.0053904+0.00017673i,0.0041821+0.00084236i,0.00080099-0.0016374i,-0.0021502-0.0014377i,-0.00020494-0.0039533i,-0.0045916-0.004247i,-0.0033077-0.0040333i,0.0019504-0.0032163i,0.0047429-0.0067298i,0.01837+0.020054i,0.0019233-0.0059931i,0.00092414-0.0027787i,0.007671-0.0089828i,-0.0048241-0.00060909i,0.0013598+0.002141i,0.0071168-0.0042806i,0.0030937-0.0029106i,0.00075019+0.011253i,-0.017466-0.010679i,0.004808+0.016037i,-0.023387-0.059092i,-0.024919-0.022438i,-0.0093911-0.021112i,-0.0010385-0.019256i,0.045744-0.066295i,0.00098493-0.07786i,0.029646-0.055168i,-0.015833-0.055044i,0.0098488-0.014526i,0.0047661-0.0049063i,-0.0016797-0.037661i,0.0021692-0.0005497i,-0.0083664-0.014803i,-0.005842-0.0082308i,-0.038291-0.016888i,0.002618+0.023148i,-0.003404-0.014964i,-0.0083199+0.0027852i,-0.0047169+0.00057454i,-0.011439-0.01117i,-0.0061011+0.015288i,0.015038+0.0042872i,0.018837+0.010084i,0.0039257-0.0038747i,-0.0044714+0.0017167i,-0.0062108-0.00072286i,-0.013178+0.0097348i,-0.0043902-0.0024405i,-0.034171+0.023352i,-0.0065994-0.0039844i,-0.0058832+0.007011i,-0.008256+0.008497i,-0.0014753-0.0048368i,-0.0066122+0.0031039i,0.0021811-0.0045471i,0.00075804+0.0025268i,0.0030001-0.0023593i,-0.0079001+0.0039217i,0.0047414+0.0023869i,-0.006956+0.013216i,0.0025265-0.006039i,-0.016148+0.012233i,-0.010963+0.015629i,-0.026945-0.059411i,-0.0035681-0.017136i,-0.051779+0.004561i,-0.021932-0.0098816i,0.016272-0.0010418i,-0.0078175+0.019428i,-0.029485-0.0022053i
-0.046658-0.024338i,-0.021217-0.012677i,-0.034452-0.040644i,-0.031774-0.0075654i,-0.020593-0.0027229i,-0.017678+0.0031551i,-0.079739-0.0072218i,-0.05037+0.010122i,-0.035093+0.0095085i,0.011108+0.0029831i,-0.0056628+0.013592i,0.0071649+0.019558i,0.0066288+0.00049161i,-0.010474+0.0090284i,4.0039e-06+0.00099501i,0.010781+0.013485i,0.034035-0.0067861i,0.0031565-0.0034412i,-0.0043527+0.0023266i,0.0038194-0.0031141i,0.00056927+0.003745i,0.0043004+0.0041953i,-0.00016891+0.0011915i,0.00067885+0.020767i,-0.0047316-0.0046284i,0.0015448-0.0034579i,0.0059015-0.0014794i,0.004182-0.00087921i,0.00033425-0.0011838i,-0.0028666-0.00040818i,-0.0015419-0.0038455i,-0.0051411-0.0025634i,-0.0046032-0.002966i,0.00048439-0.0040998i,0.00016316-0.0084256i,0.019221+0.012182i,-5.5281e-05-0.006124i,9.1517e-05-0.0030534i,0.0028515-0.011313i,-0.0026137+0.00069587i,0.002555+0.001537i,0.0038262-0.0053335i,0.0021012-0.0032865i,0.0040109+0.0098183i,-0.017813-0.011843i,0.013639+0.0094475i,-0.032639-0.052487i,-0.025227-0.010936i,-0.0057189-0.025062i,0.00032187-0.021004i,0.026233-0.089001i,-0.022229-0.079156i,0.024936-0.073084i,-0.022913-0.051103i,0.0065545-0.01296i,0.001025-0.0076276i,-0.013336-0.033603i,0.001317-0.0097519i,-0.012342-0.0098171i,-0.011439-0.011996i,-0.042544+0.0045236i,0.011937+0.017161i,-0.0091-0.01292i,-0.0061004+0.0041196i,-0.0047338+0.0031358i,-0.016431-0.0053635i,0.0025294+0.013722i,0.016666-0.0032763i,0.014262-0.0051117i,0.0025703-0.005638i,-0.0051169+0.0018817i,-0.006839+0.0027222i,-0.0080382+0.016129i,-0.005759+0.0013332i,-0.026857+0.032032i,-0.0066344-0.0016098i,-0.0014755+0.0081314i,-0.002493+0.012799i,-0.0055904-0.0019697i,-0.0043418+0.0042954i,0.00023027-0.0055316i,4.3089e-05+0.003492i,0.00041854-0.0040465i,-0.0044608+0.0027346i,0.0012797-0.00092775i,-0.0041509+0.01577i,-0.0019255-0.0055113i,-0.009747+0.015726i,-0.0059162+0.014624i,-0.031916-0.057278i,-0.0025008-0.013876i,-0.047214+0.019179i,-0.02933-0.0060172i,0.013909-0.0064487i,0.00044355+0.014595i,-0.027864+0.00401i
-0.05036-0.017295i,-0.02541-0.010942i,-0.047344-0.037107i,-0.029471-0.005412i,-0.023729-0.0026932i,-0.016092+0.0072217i,-0.064675+0.010646i,-0.042995+0.020125i,-0.029192+0.015221i,0.011515+0.00090464i,-0.00053613+0.012717i,0.010459+0.015654i,0.0040812-0.0013318i,-0.0068042+0.014639i,-0.00013129+0.00082913i,0.0083+0.011528i,0.018725-0.019091i,0.0016068-0.0045653i,-0.0016906+0.0062741i,0.0026376-0.0035332i,0.0025647+0.0058911i,0.0053067+0.0024048i,0.00019556+0.0017943i,0.01329+0.020808i,-0.0058554-0.0023575i,4.0452e-05-0.0034914i,0.0037149-0.0035639i,0.0037308-0.0018579i,0.00024957-0.00095313i,-0.0024061+0.0012373i,-0.0027368-0.0034067i,-0.0052487-0.00023984i,-0.0045035-0.001303i,-0.0017402-0.0036491i,-0.0020543-0.0069165i,0.020874+0.0073055i,-0.0023953-0.0055716i,-0.0012224-0.0028552i,-0.0019462-0.0097876i,-0.0020058-0.0012413i,0.002878+0.00046046i,0.001406-0.0038333i,0.0017803-0.0034559i,0.0051682+0.0079946i,-0.022526-0.015176i,0.019984-0.0023234i,-0.036833-0.043281i,-0.021024-0.0023994i,-0.0033716-0.03054i,0.0020951-0.022152i,-0.0066446-0.10044i,-0.0421-0.070983i,0.0053532-0.084786i,-0.032595-0.043209i,0.0056249-0.0099438i,-0.0029414-0.0077173i,-0.023156-0.024946i,-0.0056681-0.012849i,-0.014434-0.0072921i,-0.021569-0.0073966i,-0.036196+0.020573i,0.014653+0.0066851i,-0.014992-0.0075126i,-0.0048066+0.0052458i,-0.0036895+0.0055478i,-0.017294+0.0043599i,0.003999+0.0088214i,0.015701-0.0099578i,0.029109-0.013154i,0.00056373-0.00744i,-0.0068179+0.0045653i,-0.0042807+0.005988i,0.00037275+0.019295i,-0.0049505+0.0048698i,-0.018697+0.042373i,-0.0078613-0.00077645i,0.00088709+0.0056303i,0.0043994+0.012069i,-0.0075374+0.0018896i,-0.0033044+0.0019048i,-0.0029533-0.0059617i,0.00013193+0.0058368i,-0.0039656-0.0038128i,-0.005213+0.00079005i,-0.0013395+0.00071669i,0.0028706+0.016448i,-0.0047179-0.0039024i,-0.0022561+0.016352i,-0.0040914+0.014286i,-0.039347-0.053047i,0.0014439-0.019343i,-0.036068+0.035867i,-0.032279+0.0041192i,0.0094061-0.011929i,0.0020699+0.0066704i,-0.024976+0.0065765i
-0.051892-0.010675i,-0.026022-0.0079577i,-0.0589-0.025462i,-0.0294-0.0046674i,-0.028408+0.00063807i,-0.01214+0.0098615i,-0.050553+0.016669i,-0.034459+0.025434i,-0.02397+0.017943i,0.010557-0.0014346i,0.0016154+0.011929i,0.013032+0.0090311i,0.0015245-0.001968i,0.003382+0.015847i,-0.00049005+0.00084487i,0.0085509+0.011448i,0.0066585-0.018032i,0.0012085-0.0046043i,0.0028768+0.0065811i,0.0011247-0.003327i,0.0064559+0.0038795i,0.0052927+0.00054918i,0.0014062+0.0020561i,0.025401+0.0055666i,-0.0047842+8.3449e-05i,-0.0011728-0.0033013i,0.00068542-0.001533i,0.0030451-0.0034036i,-4.8403e-05-0.001244i,-0.00062017+0.0023696i,-0.0032758-0.0021681i,-0.0046604+0.0011068i,-0.0051447+0.00061396i,-0.0023759-0.0020551i,-0.0029871-0.0056934i,0.021917+0.00059054i,-0.0043936-0.0041939i,-0.0029645-0.0023455i,-0.005025-0.0081316i,-0.0044572-0.001862i,0.003231-0.00023902i,0.00047856-0.0023084i,0.00044873-0.0037986i,0.0060242+0.0066604i,-0.030098-0.013476i,0.011834-0.017975i,-0.035323-0.03619i,-0.015991+0.003157i,-0.0047008-0.034269i,0.0054536-0.027727i,-0.039618-0.090533i,-0.058683-0.055709i,-0.014039-0.084554i,-0.032453-0.026951i,0.010767-0.0048664i,-0.0054161-0.0057749i,-0.026161-0.010233i,-0.010978-0.012932i,-0.019637-0.0025576i,-0.020604+0.0025963i,-0.025633+0.035539i,0.011751+1.7236e-05i,-0.013626+0.0015079i,-0.0048626+0.005811i,0.00030032+0.0082025i,-0.011957+0.010728i,0.005672+0.0098915i,0.011338-0.022723i,0.0094209-0.023377i,-0.0050538-0.0097981i,-0.0067915+0.0086205i,-0.0026485+0.0064304i,0.0091071+0.018292i,-0.0014963+0.0073715i,-0.0010932+0.056182i,-0.0095126+0.0013015i,0.00045858+0.0050354i,0.0087507+0.0070358i,-0.0054564+0.0085156i,-0.0050068+0.0028023i,-0.0077592-0.004377i,0.0032532+0.0064076i,-0.0048898+0.0027217i,-0.0082397+0.00099835i,8.6842e-05+0.0049485i,0.0071671+0.012744i,-0.0064787-0.0024146i,0.0027217+0.011918i,0.00037719+0.015618i,-0.041327-0.041615i,-0.007038-0.032116i,-0.011372+0.039804i,-0.027572+0.010889i,0.0070925-0.018146i,0.0011388+0.00019518i,-0.021908+0.011034i
-0.053278-0.0037883i,-0.030806-0.0073248i,-0.066179-0.010277i,-0.029489-0.0016346i,-0.030793+0.0078279i,-0.0084945+0.010123i,-0.040451+0.017283i,-0.027157+0.027369i,-0.020991+0.019939i,0.010351-0.0043076i,0.0062552+0.011281i,0.010867+0.0010735i,-0.0011329-0.00034908i,0.0091787+0.0081026i,-0.00062544+0.0011579i,0.0095681+0.011457i,-0.0017374-0.013927i,-0.00030889-0.0055578i,0.0049383+0.003267i,0.00038461-0.0025726i,0.0071197+0.00052612i,0.0057959-0.00038265i,0.0025167+0.0014736i,0.021831-0.0095639i,-0.0024381+0.00042752i,-0.0018697-0.0017122i,0.0022641-0.0032507i,0.0023883-0.0054776i,-0.00033518-0.00052916i,0.00079349+0.0015719i,-0.0034565-0.0010394i,-0.0038618+0.0026309i,-0.0033733+0.0024147i,-0.002296-0.0016094i,-0.005067-0.0050512i,0.019647-0.0064806i,-0.0046102-0.0017345i,-0.0034144-0.0004294i,-0.0060498-0.0050089i,-0.0066916+0.0012868i,0.0026007-0.0016519i,0.0014487-0.0028922i,-0.00051843-0.003622i,0.0068817+0.0035995i,-0.036391-0.0068885i,-0.0012448-0.017052i,-0.0382-0.035887i,-0.0045588+0.0069779i,-0.0060326-0.035973i,-0.0016346-0.037822i,-0.058728-0.073113i,-0.061979-0.033406i,-0.035311-0.079554i,-0.025312-0.021173i,0.017965-0.017484i,-0.0061719-0.0033716i,-0.020817-0.003505i,-0.021013-0.0096748i,-0.017167+0.0078146i,-0.017276+0.0067524i,-0.0057848+0.03947i,0.0094859-0.0036859i,-0.011537+0.0037198i,-0.0016945+0.0054319i,0.0028036+0.005164i,-0.0053304+0.014595i,0.010959+0.0069465i,-0.0057551-0.027143i,-0.010211-0.021856i,-0.0088825-0.0028411i,-0.0022515+0.01136i,0.00083931+0.0063487i,0.015796+0.010117i,0.0017609+0.006869i,0.026288+0.05525i,-0.0068149+0.0050263i,0.00097515+0.0047477i,0.0097257+0.0010311i,0.00057177+0.010777i,-0.0077434+0.0043084i,-0.010119+0.0019915i,0.0066128+0.0053444i,-0.0024433+0.0057381i,-0.010438+0.0041727i,0.0024772+0.0050165i,0.00922+0.0084384i,-0.0066804-1.9436e-05i,0.0061339+0.0077213i,0.0044666+0.012067i,-0.041771-0.036448i,-0.026487-0.030851i,0.00502+0.02869i,-0.023452+0.015408i,-0.0010392-0.024127i,-0.0035173-0.0038313i,-0.014732+0.010754i
-0.053528+0.0038714i,-0.035429+0.00070982i,-0.06713+0.0074942i,-0.02733+0.00034846i,-0.027567+0.015713i,-0.0065265+0.0094942i,-0.034198+0.016325i,-0.020879+0.028009i,-0.016143+0.02365i,0.0088737-0.0074731i,0.0095384+0.0051543i,0.0059939+0.0016527i,-0.001314+0.0026603i,0.0067561+0.0031234i,-0.00054993+0.001257i,0.012805+0.0098911i,-0.0061985-0.0075298i,-0.002714-0.0046821i,0.0038441+0.0016312i,3.1049e-06-0.0022478i,0.0051728-0.0013729i,0.0052488-0.0021632i,0.0029892+0.00046697i,0.012674-0.017744i,-0.0025959-0.00053335i,-0.0015557-0.0010289i,0.0015113-0.004933i,-0.0011497-0.0034053i,0.00075526-0.00048814i,0.0008571+0.00062079i,-0.0037779-6.0286e-05i,-0.0020466+0.0035314i,-0.0019735+0.0033487i,-0.0027933-0.0011987i,-0.0061597-0.001493i,0.01508-0.012026i,-0.0035612-0.00048245i,-0.0023979+0.0010813i,-0.0071466-0.0030095i,-0.0051057+0.0042341i,0.001599-0.0021773i,0.0012598-0.003029i,-0.0016266-0.0034207i,0.0054715+0.00061522i,-0.038819+0.0029017i,-0.0029135-0.0074685i,-0.04007-0.036795i,0.005697+0.0020283i,-0.0089885-0.039754i,-0.010278-0.036351i,-0.074775-0.054993i,-0.05403-0.018247i,-0.057661-0.06179i,-0.020882-0.022085i,0.012799-0.029043i,-0.0062112-0.0023496i,-0.016487+0.00012515i,-0.028087+0.001778i,-0.012877+0.01145i,-0.013019+0.012033i,0.012716+0.031242i,0.00572-0.0076732i,-0.013182+0.0071879i,-0.0015132+0.00264i,0.0048335+0.0040511i,0.0026227+0.012549i,0.011747-0.00048781i,-0.020523-0.016986i,-0.019315-0.0096135i,-0.0056203+0.0028339i,0.0041255+0.011251i,0.0031538+0.0050485i,0.01773+0.0023873i,0.0065714+0.0060259i,0.046614+0.037639i,-0.0046957+0.0044617i,0.001614+0.005523i,0.0071796-0.0038687i,0.0065131+0.0071353i,-0.0093454+0.012758i,-0.0077232+0.0089256i,0.0092314+0.00098769i,0.002959+0.0059815i,-0.01119+0.0091508i,0.0040832+0.0029139i,0.0095826+0.0051464i,-0.0072206+0.0015078i,0.0063426+0.0026815i,0.0052445+0.0088178i,-0.042782-0.028968i,-0.036344-0.013726i,0.010425+0.013559i,-0.011402+0.01955i,-0.013543-0.027126i,-0.011526-0.0032253i,-0.014511+0.0058861i
-0.052342+0.011893i,-0.033608+0.010449i,-0.059569+0.024648i,-0.027855+0.00075812i,-0.022485+0.019915i,-0.0048752+0.0090981i,-0.030201+0.013861i,-0.016611+0.027479i,-0.0087354+0.025516i,0.0050551-0.010792i,0.0060746+0.00061989i,0.0057477+0.00406i,0.00064033+0.0046726i,0.0042422+0.0005641i,-0.00056432+0.0016534i,0.015428+0.0059013i,-0.0048708-0.0021727i,-0.0036138-0.0027583i,0.0037319+0.00146i,-0.00037346-0.0018409i,0.0051061-0.00073118i,0.0036582-0.0033186i,0.0031366-0.00049507i,0.0038359-0.018183i,-0.0034971-2.8732e-06i,-0.001602-0.0012068i,-0.00048091-0.0053035i,-0.0017273-0.0030644i,0.00052375-0.0012102i,0.0010563+0.00034447i,-0.0036705+0.0010536i,-0.0003255+0.0037103i,-0.00052128+0.0031014i,-0.0027397+0.00025751i,-0.004989-0.00024573i,0.0080759-0.015519i,-0.0026663-0.00010619i,-0.0011348+0.0016525i,-0.0080714-0.00062776i,-0.0030533+0.0055656i,0.0009098-0.0019929i,-8.5775e-05-0.0034296i,-0.0022427-0.0027442i,0.002916+0.00031356i,-0.037705+0.013055i,0.0064015-0.0027623i,-0.04646-0.031017i,0.011355-0.006426i,-0.014729-0.039262i,-0.015741-0.034855i,-0.082564-0.030094i,-0.048321-0.012605i,-0.059209-0.034896i,-0.020419-0.022876i,0.0022142-0.037205i,-0.007178-0.0015483i,-0.013724-0.0020048i,-0.022962+0.016789i,-0.0074338+0.014235i,-0.003192+0.012034i,0.017074+0.01575i,-4.493e-05-0.0052523i,-0.0086934+0.012844i,-0.0031958+0.0027868i,0.005643+0.00021734i,0.0061519+0.008174i,0.0062058-0.0037486i,-0.02496-0.0029593i,-0.020769+0.0026338i,-0.0018661+0.0029344i,0.0068845+0.0091555i,0.0030744+0.0033019i,0.015074-0.0083585i,0.0070898+0.00025474i,0.057514+0.014354i,-0.0061719+0.0066106i,0.0039742+0.0041032i,0.002391-0.0054644i,0.0076963+0.0031396i,-0.0020573+0.01854i,0.00019583+0.0092218i,0.007712-0.0027946i,0.0053197+0.0017003i,-0.0066891+0.017588i,0.0027743+0.0031355i,0.0093587+0.0026301i,-0.0084058+0.0041659i,0.0015044+0.00012294i,0.0055936+0.0071902i,-0.043067-0.02571i,-0.031235+0.0010396i,0.0071477+0.0030608i,-0.0019244+0.012745i,-0.025957-0.022247i,-0.013643+0.0064575i,-0.017051+0.0080831i
-0.049677+0.019307i,-0.028264+0.015883i,-0.047679+0.035584i,-0.030356+0.0034215i,-0.016949+0.022784i,-0.003488+0.0088612i,-0.030278+0.011845i,-0.013336+0.02819i,-0.0022203+0.024146i,-0.00091437-0.010656i,0.0026809+0.0010948i,0.0072085+0.0034099i,0.0032066+0.0043896i,0.0019728+1.2644e-05i,-8.5503e-05+0.0020971i,0.013989+8.3792e-05i,-0.0028643-0.001287i,-0.0033586-0.00099358i,0.0043199+0.0004432i,-0.00035492-0.001327i,0.0058335-0.0024231i,0.0022602-0.0030573i,0.0028798-0.0014193i,-0.0020691-0.016436i,-0.0030984+0.0012061i,-0.0019478-0.00060755i,-0.0022909-0.0047843i,-0.0025475-0.0024997i,4.0398e-05-0.0015495i,0.0010241-0.00041189i,-0.0033708+0.0024632i,0.0012367+0.0025739i,0.00054792+0.0027575i,-0.0018361+0.00086404i,-0.0051168+0.001403i,0.0011223-0.012701i,-0.0026181-0.00046088i,-0.00014936+0.0014231i,-0.0063099+0.0028762i,-0.00090471+0.0062115i,0.00050166-0.0020182i,-0.00016159-0.0026716i,-0.00302-0.0019262i,0.0027894+0.0024363i,-0.031381+0.021448i,0.017577-0.011157i,-0.054078-0.022421i,0.011531-0.015044i,-0.016113-0.038704i,-0.022306-0.032396i,-0.078578-0.0085578i,-0.043754-0.0061587i,-0.049891-0.021295i,-0.02128-0.024787i,-0.011761-0.039332i,-0.0071628+0.00039537i,-0.016993-0.0038285i,-0.01197+0.022787i,-0.0016067+0.013231i,0.0018185+0.0041167i,0.012679+0.0051775i,0.0010634-0.0092461i,-0.0031136+0.014213i,-0.0033065+0.0045678i,0.0032312-0.0029615i,0.0062529+0.0036345i,0.0039703-0.0017975i,-0.021596+0.0096017i,-0.014873+0.012118i,-0.001498+0.003183i,0.010815+0.0067675i,0.0028665+0.0025822i,0.0054689-0.013747i,0.0044426-0.0025616i,0.055317-0.010684i,-0.003214+0.010693i,0.0037646+0.0023245i,-0.001023-0.0042931i,0.0075454+0.00099975i,0.0068239+0.019548i,0.0023998+0.0060412i,0.0060131-0.0050182i,0.0043313-0.00062189i,0.0050851+0.018616i,0.0036667+0.0028644i,0.0093671-0.00087729i,-0.0055102+0.0098708i,0.00031635+0.0015629i,0.0060889+0.0062343i,-0.042171-0.022239i,-0.025316+0.0066607i,0.0040132-0.0012358i,-0.0022751+0.0048104i,-0.036319-0.01327i,-0.0083503+0.0090285i,-0.015824+0.010321i
-0.04575+0.026332i,-0.022587+0.018528i,-0.034459+0.041473i,-0.030439+0.0090216i,-0.010627+0.023341i,-0.0021791+0.0084833i,-0.031549+0.012942i,-0.0090889+0.029272i,0.0027517+0.021538i,-0.0036202-0.0081629i,0.0019318+0.0024306i,0.0085511+0.0017034i,0.0057622+0.002296i,-0.00021209+0.0012875i,0.00028678+0.0021591i,0.010451-0.0029509i,-0.003339-0.0022081i,-0.0029934-0.00038189i,0.0038883-0.00082814i,-0.0002352-0.0010576i,0.0049574-0.0041799i,0.002149-0.0025464i,0.0022967-0.0021868i,-0.0067892-0.014674i,-0.0025354+0.0021689i,-0.0018144-5.8667e-05i,-0.0038811-0.0033908i,-0.0029254-0.0012877i,-0.00046769-0.0017263i,0.00036566-0.00088331i,-0.0024509+0.0037289i,0.0011982+0.0012818i,0.0014598+0.001954i,-0.0010128+0.00093232i,-0.0040922+0.0024945i,-0.00093316-0.0091852i,-0.0028912+0.00021828i,0.00061672+0.00063331i,-0.0033629+0.00398i,0.0020096+0.0060792i,-3.3043e-07-0.0018792i,-1.8297e-05-0.0024679i,-0.0036131-0.0012413i,0.0041891+0.0015411i,-0.023772+0.02498i,0.016729-0.026973i,-0.057879-0.0096652i,0.011575-0.022163i,-0.018216-0.04365i,-0.027027-0.027272i,-0.071554+0.0064218i,-0.039146-0.0029905i,-0.043297-0.013257i,-0.024554-0.024774i,-0.027135-0.036373i,-0.007059+0.0015984i,-0.024438-0.0011825i,-0.0020615+0.022859i,0.000627+0.010815i,0.00020896-0.0019986i,0.0067479+0.0014059i,-0.005369-0.0093737i,0.0024243+0.013053i,-0.0016061+0.0055645i,0.0001914-0.0032683i,0.0033168+0.00085104i,0.004194-0.0011514i,-0.013305+0.016276i,-0.0062182+0.016853i,0.0012782+0.003639i,0.013522+0.00065238i,0.0030055+0.0029868i,-0.0028445-0.012019i,0.0021833-0.0032236i,0.045352-0.030696i,0.0022034+0.012428i,0.0039244+0.0023742i,-0.0039448-0.0019799i,0.0074262-0.0030692i,0.014846+0.016264i,0.0025598+0.0036741i,0.0038485-0.0063767i,0.0029437-0.002495i,0.01119+0.015571i,0.0041468+0.0031662i,0.0063655-0.0042848i,0.00046389+0.010959i,0.00050779+0.0013292i,0.007951+0.005461i,-0.045357-0.019262i,-0.020891+0.010884i,0.0011555-0.0039702i,-0.0059683+0.0034801i,-0.039148+0.00084499i,-0.0061235+0.0079495i,-0.013563+0.012669i
