-0.0011641-0.042754i,-0.00015442-0.047317i,-0.0083866-0.048383i,-0.031028-0.023357i,-0.022944+0.010683i,-0.037061-0.033595i,-0.064841-0.057868i,-0.019354-0.071666i,-0.024217-0.044697i,-0.0011071+0.016436i,-0.010534+0.012593i,-0.014367+0.013828i,0.0039081+0.013587i,-0.0027858-0.0018114i,0.0019361+0.0061564i,0.00044258+0.033614i,0.019485+0.05707i,0.001117-0.00067644i,-0.0033847-0.0096451i,0.0075912+0.0040057i,0.0013754+0.0014022i,-0.00058997+0.0033061i,-0.00020764-0.00039096i,-0.038529-0.009553i,-0.0027207-0.0074484i,-0.0011022+0.0045774i,0.005454-0.00034605i,-8.6425e-05+0.00034225i,0.00058683-0.00080881i,5.4282e-05-0.0022769i,-0.0017692-0.0056358i,-0.0032416-0.0063267i,-0.0011358-0.0069111i,0.0032416-0.00022554i,0.0028687-0.0016533i,-0.0016588+0.038731i,0.0063022-0.0041313i,0.0030113-0.00077866i,0.0049168-0.00077482i,-0.013306-0.0058274i,-0.00086473+8.7964e-05i,0.0096586-0.0010241i,0.0039311+0.0013228i,-0.0042043+0.0018495i,-0.00027819+0.0093367i,-0.0042091+0.01647i,0.024862-0.083454i,-0.00040523-0.055475i,-0.023788-0.043663i,-0.020186-0.03764i,0.062331-0.017554i,0.030419-0.058672i,0.038927-0.045032i,0.034101-0.053308i,0.019193-0.015529i,0.0075789+0.012142i,0.022988-0.034687i,-0.008485-0.0052306i,0.0029756-0.0010745i,-0.002915-0.004886i,0.004076-0.031911i,-0.024981+0.03139i,0.0084447-0.010477i,-0.012493-0.0023022i,-0.0044633-0.0016452i,0.00033811-0.014533i,-0.010687+0.0050951i,0.0034219+0.0065996i,-0.013635+0.03047i,0.0057509+0.0068074i,-0.0059501-0.0014939i,-0.0012345-0.0024709i,-0.01211-0.0079503i,0.00010417-0.0034637i,-0.036205+0.0070017i,0.0014877-0.012387i,-0.0092103-0.0026828i,-0.0068452-0.0030662i,0.0064711+0.0019672i,-0.008825+0.0025489i,0.00026921+0.0018124i,0.0059306+0.0099423i,0.0046887+0.00080521i,-0.0094124-0.01018i,0.0020248+0.0085471i,-0.020152+0.005423i,0.0064632+0.0030648i,-0.028358-0.0082358i,-0.036233-0.0011267i,0.02627-0.080093i,0.013785-0.0092636i,-0.043288-0.028287i,-0.025133-0.0061322i,0.017889+0.011858i,-0.02703+0.011121i,-0.012545-0.0095752i
-0.0096211-0.043801i,-0.0073375-0.042731i,-0.016605-0.049689i,-0.033694-0.017712i,-0.014324+0.0095852i,-0.045637-0.025429i,-0.070197-0.042328i,-0.029255-0.068821i,-0.030269-0.036553i,0.00087696+0.015471i,-0.0089283+0.01171i,-0.0058534+0.020134i,0.010638+0.009146i,-0.0069072+0.0016511i,0.0033199+0.0051069i,0.0077898+0.028003i,0.033105+0.040376i,0.002245+0.0017756i,-0.0079831-0.0045096i,0.0080785+0.00042637i,0.0006557+0.0022667i,-0.00053761+0.0038116i,-0.00048852+0.00065787i,-0.025918+0.013142i,-0.0050465-0.0047497i,0.0029101+0.0031542i,0.0038216-0.00069317i,7.5509e-05+0.0022187i,0.0014944-0.0013155i,-0.0010228-0.0025785i,-0.0020012-0.0040787i,-0.0041149-0.0050452i,-0.0029063-0.0060324i,0.0026438-0.0019088i,0.0022848-0.0012189i,0.010534+0.035149i,0.0050729-0.0064589i,0.0021115-0.0018541i,0.0064836-0.0025117i,-0.0089975-0.0018792i,-0.0007491+0.0015126i,0.0076548-0.0029098i,0.0024903+0.0016703i,-0.0064043+0.003219i,0.0089427+0.0086587i,0.0098341+0.020293i,0.0095876-0.087932i,-0.017054-0.059582i,-0.018847-0.036537i,-0.017748-0.025856i,0.064917-0.046423i,0.029477-0.079059i,0.041218-0.04614i,0.024946-0.064287i,0.0083766-0.010033i,0.0084822+0.0018638i,0.0089105-0.037012i,-0.007297+0.00076525i,0.001641-0.010654i,-0.0035499-0.0061524i,-0.01862-0.035348i,-0.0099457+0.029849i,0.0026395-0.013435i,-0.013204+0.0025971i,-0.0037644+0.00041764i,-0.0070726-0.014384i,-0.010459+0.0099518i,0.0071649+0.0075209i,0.0056615+0.030603i,0.0068929+0.0015509i,-0.0051933+0.0016848i,-0.0040697-0.0028955i,-0.016665+0.0014253i,0.00038825-0.0025781i,-0.038361+0.014735i,-0.0055129-0.0097584i,-0.0099088+0.0014423i,-0.0085208+0.00079622i,0.0046208-0.003872i,-0.0071835+0.0048802i,0.001847+0.0004012i,0.0055594+0.0038652i,0.0032485-0.00054055i,-0.014195-0.0021996i,0.0034726+0.005619i,-0.015187+0.01331i,0.00623-0.0011697i,-0.029163+0.0025387i,-0.036182+0.0096952i,0.011816-0.082256i,0.010199-0.016424i,-0.049853-0.014838i,-0.019494-0.0061807i,0.01866+0.0058876i,-0.021386+0.018367i,-0.018567-0.01514i
-0.016504-0.041226i,-0.010034-0.043236i,-0.025456-0.050405i,-0.035356-0.010729i,-0.0090367+0.0050624i,-0.051592-0.015298i,-0.077502-0.026816i,-0.041826-0.065039i,-0.034409-0.031184i,0.0035515+0.014543i,-0.0082631+0.015369i,0.0037733+0.018109i,0.012767+0.0014151i,-0.0066076+0.0054905i,0.0042054+0.0043542i,0.012607+0.021685i,0.041278+0.026772i,0.0053082+0.0013817i,-0.0071941+0.00077167i,0.0073169-0.0020868i,0.00060293+0.0026719i,0.0010919+0.0056352i,0.00017356+0.0012877i,-0.01128+0.020361i,-0.0046431-0.0018885i,0.0043021+3.7563e-05i,0.00301-0.0017947i,0.0025835+0.0027746i,0.00024095-0.0020077i,-0.0015206-0.0021328i,-0.0023382-0.0037793i,-0.0058292-0.0036009i,-0.0046289-0.004718i,0.001662-0.0033768i,0.0036356-0.0038636i,0.021353+0.026942i,0.0022281-0.0071825i,0.0013215-0.0024263i,0.0058151-0.0067306i,-0.008571-0.001282i,-3.1683e-05+0.0022946i,0.005749-0.0052384i,0.0037448+0.0027093i,-0.0055871+0.0065379i,0.015561-0.00016224i,0.024026+0.016029i,-0.0056321-0.088691i,-0.03229-0.051548i,-0.0108-0.038883i,-0.012177-0.028144i,0.057733-0.072589i,0.010596-0.099274i,0.047832-0.053086i,0.011938-0.066697i,0.0070084-0.0072979i,0.005687-0.0026122i,-0.0031619-0.038051i,0.0024048-0.00027598i,-0.0083905-0.012526i,-0.0044337-0.0097995i,-0.037793-0.026378i,-0.00070019+0.028141i,-0.004009-0.01285i,-0.0096846+0.0060596i,-0.0046685+0.0019788i,-0.014415-0.011227i,-0.0042138+0.015154i,0.012856+0.0024666i,0.019028+0.020319i,0.0059173-0.0011611i,-0.0043775+0.0013247i,-0.0056096-0.0013171i,-0.013514+0.010877i,-0.0025943-0.0028027i,-0.031979+0.026336i,-0.0076672-0.004965i,-0.0088207+0.0063469i,-0.0093111+0.0073289i,-0.00082679-0.0050259i,-0.0059865+0.0060757i,0.0016234-0.00092349i,0.0030881+0.0025352i,0.0025112-0.001715i,-0.0093471+0.0060695i,0.0032121+0.0028322i,-0.0090654+0.016124i,0.003283-0.0045961i,-0.02497+0.011237i,-0.029883+0.019982i,0.0011882-0.082041i,0.0035431-0.017984i,-0.049551-0.001484i,-0.02318-0.011362i,0.017943-0.0016529i,-0.01085+0.019539i,-0.022499-0.011402i
-0.021359-0.037605i,-0.015027-0.046187i,-0.035746-0.049824i,-0.032182-0.0039362i,-0.0068233-0.0020842i,-0.053682-0.0028553i,-0.079801-0.0010166i,-0.055024-0.054772i,-0.040088-0.023448i,0.0067792+0.013221i,-0.0022622+0.018796i,0.0080214+0.012569i,0.010727-0.0056775i,-0.0051038+0.010047i,0.0044134+0.0024055i,0.014499+0.013394i,0.047426+0.008603i,0.0063781-0.0016943i,-0.0063664+0.0047562i,0.005294-0.0043609i,0.0023325+0.0039634i,0.0041503+0.0056228i,0.00056091+0.0014128i,0.0010016+0.025348i,-0.0035655-0.00044083i,0.0031331-0.002519i,0.002627-0.0021286i,0.0035544+0.00011219i,-0.00015725-0.0012123i,-0.0026693-0.0018511i,-0.0028665-0.0031428i,-0.006432-0.0015932i,-0.0060178-0.0024955i,5.4607e-06-0.0043084i,0.00022294-0.006191i,0.024968+0.015582i,-0.0005349-0.0076424i,0.00033576-0.0029555i,0.00215-0.0082275i,-0.0071546+0.0026471i,0.0010978+0.0021119i,0.0022712-0.0066104i,0.0052836+0.0014481i,-0.0023686+0.0071157i,0.0186-0.0076617i,0.035536+0.0060909i,-0.019751-0.084808i,-0.038301-0.039045i,-0.012674-0.044169i,-0.012402-0.029597i,0.039753-0.10092i,-0.017711-0.10417i,0.04755-0.073271i,0.0022654-0.066198i,0.0063952-0.0057083i,0.0014508-0.0064928i,-0.016358-0.032798i,0.0016157-0.0099632i,-0.012271-0.0079325i,-0.01115-0.013201i,-0.048353-0.0059577i,0.010923+0.022469i,-0.0088866-0.010233i,-0.0063025+0.0063585i,-0.0039908+0.0042581i,-0.019858-0.0042443i,0.0036958+0.013282i,0.014895-0.004072i,0.024604+0.0084192i,0.0053937-0.003288i,-0.0051976+0.0013843i,-0.0066543+0.0016654i,-0.0077777+0.017848i,-0.004542+0.00034297i,-0.025404+0.0346i,-0.0080644-0.0019785i,-0.0038578+0.0095413i,-0.0029608+0.012981i,-0.0051076-0.0024077i,-0.002757+0.0061443i,0.0017758-0.0016473i,0.002271+0.0026347i,0.00030225-0.0034144i,-0.0031989+0.0055156i,0.00010158-0.00010166i,-0.0048891+0.018385i,-0.0014192-0.0043888i,-0.017963+0.017319i,-0.021445+0.023991i,-0.0083465-0.08265i,0.0033747-0.01584i,-0.04556+0.012451i,-0.030349-0.0076118i,0.014523-0.0083332i,-0.0021834+0.015707i,-0.022348-0.0063789i
-0.02506-0.033376i,-0.024614-0.047122i,-0.04832-0.04653i,-0.02826-0.00081198i,-0.011336-0.0091209i,-0.052042+0.008887i,-0.062466+0.018023i,-0.060196-0.041325i,-0.038469-0.014145i,0.00933+0.011641i,0.0047212+0.016417i,0.009895+0.0089901i,0.0047369-0.010053i,0.0009307+0.012322i,0.0037762+0.00050844i,0.012409+0.0091092i,0.039902-0.013733i,0.0052338-0.0042524i,-0.0025869+0.010559i,0.0029435-0.0052453i,0.0045241+0.0040702i,0.0059186+0.0032689i,0.00081385+0.0018387i,0.020134+0.01999i,-0.0035789+0.0010879i,0.0017766-0.0033624i,0.0010547-0.002625i,0.0034441+2.2358e-05i,-0.00026477-0.00074896i,-0.0039929-3.9379e-06i,-0.003341-0.0022185i,-0.0060903+0.00063741i,-0.0055529+0.00035979i,-0.0023378-0.0039155i,-0.0020816-0.004813i,0.026176+0.0089202i,-0.0032005-0.0068703i,-0.00143-0.0031235i,-0.0013574-0.0074916i,-0.0033339+0.0006759i,0.0013479+0.0013351i,-0.00147-0.004847i,0.0061443-0.00025009i,-0.0015314+0.006005i,0.019243-0.020077i,0.043367-0.0098592i,-0.028398-0.077136i,-0.039053-0.028455i,-0.015811-0.048133i,-0.012302-0.029706i,0.0042444-0.12049i,-0.042945-0.096614i,0.030054-0.090921i,-0.009902-0.062116i,0.0071124-0.003622i,-0.0034817-0.0072722i,-0.025468-0.02235i,-0.0055579-0.013603i,-0.014827-0.0061655i,-0.021176-0.0083361i,-0.046112+0.013647i,0.015878+0.011407i,-0.013094-0.0053629i,-0.0047346+0.0065177i,-0.0029019+0.0066009i,-0.021235+0.0063972i,0.0046668+0.0082642i,0.014062-0.010673i,0.026247-0.0045953i,0.0039395-0.0072189i,-0.0074887+0.0042623i,-0.0048676+0.005392i,0.0010445+0.020141i,-0.0042015+0.0034493i,-0.017052+0.043943i,-0.0095147-0.00040621i,0.00054813+0.0074559i,0.0042526+0.011982i,-0.0069229+0.001129i,-0.0025505+0.0034133i,0.0005122-0.0032481i,0.0013169+0.0041359i,-0.0036796-0.0034066i,-0.0021425+0.0020011i,-0.0030449+0.0017702i,0.0021148+0.020349i,-0.0037074-0.0026033i,-0.0094893+0.020004i,-0.01549+0.026488i,-0.020774-0.08014i,0.0068215-0.021092i,-0.036613+0.026607i,-0.033026+0.002365i,0.0089031-0.012918i,-0.00018763+0.0086306i,-0.021392-0.005311i
-0.026629-0.030555i,-0.031536-0.045204i,-0.0615-0.036745i,-0.025943-0.00036165i,-0.021309-0.010717i,-0.046127+0.019223i,-0.045327+0.022039i,-0.061863-0.031247i,-0.036684-0.010354i,0.010938+0.0095672i,0.0073157+0.012933i,0.011671+0.0037789i,-0.0020697-0.010913i,0.0070455+0.0092511i,0.0023742-0.00038436i,0.011249+0.007308i,0.023332-0.023338i,0.0046769-0.0054995i,0.004296+0.01112i,0.00060311-0.0048408i,0.0069915+0.0012623i,0.0057535+0.00054229i,0.0022845+0.0023137i,0.027702+0.0034547i,-0.0012248+0.0028434i,0.00022647-0.0035629i,-0.00045848-0.00050658i,0.0045664-0.0015593i,-4.7868e-05-0.0010391i,-0.0027065+0.0030099i,-0.0027635-0.0015532i,-0.0056049+0.0020903i,-0.0053585+0.0022382i,-0.0039684-0.0015812i,-0.0024743-0.0034457i,0.028193+0.0006755i,-0.0056492-0.0052971i,-0.0032525-0.0026752i,-0.0038944-0.0068586i,-0.0060502-0.002088i,0.0021226+0.0012399i,-0.0028459-0.0020519i,0.0055946-0.0021331i,-0.00073835+0.0061997i,0.010867-0.030269i,0.035815-0.031298i,-0.030301-0.070951i,-0.038603-0.020219i,-0.021383-0.04895i,-0.011291-0.034159i,-0.035674-0.11566i,-0.064626-0.081749i,0.010407-0.096949i,-0.013251-0.048362i,0.013469+0.00056997i,-0.0071561-0.0049046i,-0.026336-0.0082389i,-0.011585-0.013252i,-0.02072-0.001668i,-0.020798+0.0012084i,-0.038593+0.030765i,0.014519+0.0032659i,-0.011057+0.002418i,-0.0057053+0.0065098i,0.0017599+0.008781i,-0.015159+0.01493i,0.0063562+0.0092954i,0.0098647-0.021831i,0.016624-0.021461i,-0.0032611-0.010777i,-0.0073028+0.0094673i,-0.0029545+0.0062976i,0.0089254+0.017505i,-0.0016509+0.0059275i,0.0010125+0.055644i,-0.011405+0.0025023i,0.00094082+0.006286i,0.0086209+0.0067379i,-0.0058151+0.0076401i,-0.0030722+0.00478i,-0.0032048-0.0035048i,0.0041702+0.0051492i,-0.0053252+0.0030463i,-0.0050073+0.0010841i,-0.0010095+0.0069965i,0.0088793+0.017088i,-0.0052486-0.0019216i,-0.0031881+0.017463i,-0.0066381+0.029462i,-0.026728-0.071984i,-8.9062e-06-0.034922i,-0.016386+0.032126i,-0.028151+0.0098788i,0.0071857-0.019021i,0.00023118+0.0026055i,-0.021658-0.0007901i
-0.028762-0.028614i,-0.042467-0.045099i,-0.071901-0.02219i,-0.025382+0.0019084i,-0.029948-0.003346i,-0.03871+0.025554i,-0.034599+0.019891i,-0.06322-0.023438i,-0.038959-0.0067482i,0.013925+0.0060045i,0.011381+0.011004i,0.0079876-0.0021213i,-0.0088665-0.0073697i,0.010161+0.0021691i,0.0014254-0.00070707i,0.010955+0.0065066i,0.0089629-0.022903i,0.0023612-0.0076512i,0.008725+0.0060989i,-0.0010505-0.0033347i,0.0065594-0.002197i,0.0061092+0.00024554i,0.0037326+0.0011196i,0.023096-0.010701i,0.0024496+0.0018034i,-0.00029495-0.0027436i,0.0007999-0.0015648i,0.004082-0.0043716i,-4.8511e-05-0.00047058i,-0.00031226+0.003345i,-0.0031504-0.0013363i,-0.0041699+0.0038907i,-0.0035005+0.0038714i,-0.0034667+0.0003251i,-0.0036298-0.0038802i,0.025308-0.0094695i,-0.0060355-0.002031i,-0.0040542-0.001006i,-0.0069399-0.0041071i,-0.011005+0.00084037i,0.0020238+0.00027219i,-0.0016023-0.0011016i,0.0046739-0.0039624i,0.00082366+0.0043089i,-0.00047086-0.033776i,0.019959-0.036481i,-0.036253-0.073039i,-0.031614-0.012733i,-0.025915-0.047883i,-0.020454-0.041055i,-0.062872-0.099458i,-0.073435-0.057653i,-0.013625-0.099438i,-0.0077727-0.043829i,0.02092-0.012635i,-0.0086299-0.00088091i,-0.021257-0.0027937i,-0.021449-0.0091878i,-0.019207+0.0095506i,-0.018704+0.0059428i,-0.019624+0.041592i,0.013188-0.0016304i,-0.0090368+0.0029943i,-0.0022264+0.0069698i,0.0041376+0.0051945i,-0.0071374+0.020032i,0.010879+0.0067017i,-0.0060541-0.026729i,-0.0025609-0.024496i,-0.0068432-0.0033935i,-0.0025493+0.013292i,0.0010408+0.0061689i,0.015585+0.0096706i,0.0014769+0.005239i,0.02697+0.050489i,-0.007354+0.0075436i,0.0022139+0.0049773i,0.0090218+0.0015712i,-6.7911e-05+0.010254i,-0.0044389+0.0054605i,-0.0052101+0.0011591i,0.0074399+0.0047413i,-0.0025186+0.0067437i,-0.0072917+0.0040548i,0.0028677+0.0070598i,0.012735+0.011539i,-0.0056791+0.0014424i,0.0028345+0.014159i,0.0023354+0.027071i,-0.032383-0.070789i,-0.019184-0.037799i,-0.0012237+0.023679i,-0.024453+0.012645i,-0.0018839-0.026202i,-0.0032274-0.0016658i,-0.015205+0.0016056i
-0.031759-0.026767i,-0.054743-0.036389i,-0.076442-0.0045295i,-0.021739+0.0043491i,-0.029822+0.0075247i,-0.032574+0.029859i,-0.029485+0.01688i,-0.064944-0.015514i,-0.039333+0.0016313i,0.014759+0.0013117i,0.015284+0.0039369i,0.0023498-0.0021352i,-0.011345-0.00053222i,0.0060729-0.0023204i,0.00021745-0.00093102i,0.013294+0.0040596i,0.0002168-0.017215i,-0.0018286-0.0074548i,0.0074311+0.0014861i,-0.0014902-0.0021729i,0.0037616-0.0038819i,0.006065-0.0020326i,0.0036424-0.00056368i,0.01385-0.018543i,0.0023419-0.0013336i,-0.0003147-0.002905i,0.00052245-0.0023074i,0.0015939-0.0050746i,0.001404-0.00014376i,0.00033866+0.0025291i,-0.0037777-0.0007801i,-0.002078+0.0047112i,-0.0017707+0.0047913i,-0.0027217+0.00073146i,-0.0053248-0.00070723i,0.018645-0.016602i,-0.0046707-0.00033883i,-0.0034002+0.00098093i,-0.0064513-0.0014654i,-0.010394+0.0070029i,0.0018123+2.6451e-05i,-0.0010852-0.00055932i,0.0023591-0.0051817i,3.2177e-05+0.0021815i,-0.010269-0.029402i,0.014896-0.029882i,-0.047207-0.073465i,-0.024712-0.013153i,-0.031542-0.047197i,-0.030686-0.036091i,-0.085989-0.081133i,-0.070127-0.038767i,-0.042251-0.088534i,-0.0050041-0.048173i,0.016833-0.024919i,-0.0073542+0.0019218i,-0.017014+0.0012829i,-0.02793+0.0027483i,-0.012344+0.014635i,-0.013958+0.012076i,0.0017788+0.039997i,0.010048-0.0077209i,-0.0094136+0.0049848i,-0.0010682+0.0050043i,0.0056962+0.0033884i,0.0027391+0.01768i,0.011907-0.000209i,-0.020809-0.017163i,-0.015768-0.014259i,-0.0035357+0.0010129i,0.004524+0.01302i,0.0029452+0.0046392i,0.018394+0.0021553i,0.0048983+0.0049311i,0.044781+0.033736i,-0.0037427+0.007236i,0.0020637+0.0048547i,0.0074928-0.0033111i,0.0056037+0.0070358i,-0.0042189+0.011952i,-0.0031586+0.0063252i,0.010594+0.00011504i,0.0030304+0.0071794i,-0.0064748+0.0077837i,0.0052916+0.0042702i,0.013633+0.0063174i,-0.0048596+0.0023979i,0.0049142+0.0091504i,0.0078927+0.022403i,-0.039741-0.067388i,-0.033044-0.024334i,0.0046666+0.010539i,-0.013787+0.018971i,-0.013949-0.027803i,-0.010634-0.0020562i,-0.01436-0.0040867i
-0.036095-0.02375i,-0.060679-0.023302i,-0.074132+0.013795i,-0.019694+0.0040585i,-0.025662+0.014751i,-0.026127+0.033841i,-0.026855+0.013889i,-0.066868-0.0076049i,-0.034352+0.0091578i,0.013485-0.0034021i,0.011547-0.0028598i,0.0013379+0.00054377i,-0.0099488+0.0053716i,0.0031835-0.0035455i,-0.0010142-9.7145e-05i,0.013887-0.0007699i,-0.0016864-0.011207i,-0.0043974-0.0051687i,0.0059893+0.00034614i,-0.0016777-0.00088851i,0.0024545-0.0027849i,0.0050418-0.0035571i,0.0032412-0.0012467i,0.005279-0.019611i,0.00063544-0.0034952i,-0.0012546-0.0038004i,-0.00031281-0.0026445i,-0.00037343-0.0048444i,0.0014979-0.0013473i,0.0013954+0.0023833i,-0.0038488-0.00027467i,4.8509e-06+0.0046073i,-3.3689e-05+0.0039289i,-0.002398+0.0020288i,-0.0038911+0.00032243i,0.0097871-0.020646i,-0.0033764+0.00013315i,-0.0019022+0.0020391i,-0.0075227+0.00020357i,-0.0068139+0.010777i,0.0019234-0.0001235i,-0.0013673-0.0003187i,0.00082955-0.0053551i,-0.0029425+0.0025509i,-0.015622-0.023031i,0.022049-0.027947i,-0.061779-0.069237i,-0.022156-0.016253i,-0.036978-0.042393i,-0.035407-0.03022i,-0.10267-0.053267i,-0.067348-0.030793i,-0.053353-0.061968i,-0.0080876-0.05155i,0.0067832-0.034075i,-0.0060372+0.0030328i,-0.013997-0.00034537i,-0.022362+0.01711i,-0.005667+0.016093i,-0.0039166+0.012452i,0.012811+0.02748i,0.0044713-0.01008i,-0.0081222+0.0081435i,-0.0014511+0.0047324i,0.005552-0.00050869i,0.0072278+0.013392i,0.0066401-0.0033386i,-0.026391-0.0024308i,-0.019125-0.003175i,-0.00026952+0.00096693i,0.0076697+0.010612i,0.0027851+0.0034041i,0.015548-0.0095802i,0.0063813+3.2394e-06i,0.053207+0.012402i,-0.0031933+0.0084918i,0.0044779+0.0038524i,0.0024573-0.0058354i,0.0063511+0.0036125i,0.0024676+0.015639i,0.0034446+0.0054972i,0.0081364-0.0048889i,0.0065618+0.0029327i,-0.003265+0.01265i,0.0043908+0.0033212i,0.012685+0.0022888i,-0.0057137+0.0036485i,0.0025719+0.0066726i,0.011025+0.018579i,-0.047012-0.062878i,-0.033695-0.008943i,0.0016632+0.0012127i,-0.004216+0.012496i,-0.025272-0.022318i,-0.014163+0.007249i,-0.019648-0.0027809i
-0.040227-0.018638i,-0.061388-0.012717i,-0.067193+0.029694i,-0.020641+0.0042541i,-0.019289+0.019853i,-0.018839+0.036877i,-0.027451+0.012207i,-0.068454+0.0022419i,-0.029514+0.012168i,0.010695-0.006913i,0.006479-0.0040571i,0.0017077+0.0012006i,-0.0051728+0.008711i,0.00020776-0.0040043i,-0.00074836+0.0013124i,0.010679-0.0054931i,-0.0018919-0.010242i,-0.0048645-0.0019347i,0.0061967-0.0013318i,-0.00082541+0.00035175i,0.0030836-0.0030444i,0.0033292-0.0040545i,0.0030356-0.0017327i,-0.0017078-0.018444i,-0.00088286-0.0033517i,-0.0031964-0.0029917i,-0.0013186-0.0029169i,-0.0021895-0.004372i,0.0011012-0.0021058i,0.0025174+0.0011827i,-0.0043994+0.00064301i,0.0014981+0.0035382i,0.0010391+0.0030925i,-0.0010795+0.0026551i,-0.0043599+0.0012996i,0.00084302-0.018293i,-0.0033889-0.00035098i,-0.00029236+0.0020384i,-0.0057192+0.00434i,-0.0020232+0.013433i,0.0019607-0.00041924i,-0.00024054+0.00068128i,-0.00078723-0.0049191i,-0.0027677+0.0065783i,-0.015453-0.016706i,0.031928-0.039216i,-0.076592-0.057904i,-0.023693-0.018039i,-0.038498-0.038876i,-0.040473-0.024383i,-0.10363-0.023461i,-0.066776-0.019947i,-0.049063-0.045272i,-0.011808-0.055479i,-0.0068701-0.036746i,-0.0040707+0.0043656i,-0.016279-0.0018912i,-0.011125+0.022986i,8.0168e-05+0.013945i,0.0016338+0.0050151i,0.014399+0.015026i,-0.00094443-0.010023i,-0.0050851+0.01055i,-0.0015387+0.0054713i,0.0028192-0.003177i,0.0097131+0.0085613i,0.0042065-0.0015926i,-0.02271+0.011461i,-0.016092+0.006839i,0.00062829+0.00037101i,0.01221+0.0074619i,0.0028344+0.002875i,0.0058078-0.014851i,0.0037523-0.00265i,0.050306-0.0086713i,-9.2378e-06+0.010456i,0.0038744+0.0017577i,-0.0010967-0.0040901i,0.0060443+0.0022318i,0.010401+0.014872i,0.0046835+0.0016802i,0.0057796-0.0065956i,0.0052884-0.00032468i,0.0035773+0.014199i,0.0051224+0.0020628i,0.01253-0.0019513i,-0.0039957+0.0086872i,0.0034458+0.0061083i,0.013887+0.014934i,-0.054743-0.058653i,-0.02849-0.00047795i,-0.0019152-0.0016823i,-0.0042258+0.0048212i,-0.033477-0.013527i,-0.0081416+0.010504i,-0.019472+0.0010404i
-0.042339-0.012303i,-0.060253-0.0035624i,-0.055732+0.041905i,-0.020842+0.0074287i,-0.011241+0.021349i,-0.01147+0.038i,-0.028269+0.0135i,-0.067477+0.013479i,-0.026201+0.014614i,0.0074999-0.009172i,0.003963-0.0029418i,0.003022+0.0010692i,-0.0012303+0.0091734i,-0.0026659-0.0018968i,-0.00035733+0.0014382i,0.0063983-0.0073819i,-0.0055495-0.011375i,-0.0041406-0.00024971i,0.0047604-0.0034381i,0.00017001+0.00051296i,0.0027038-0.0042904i,0.0027125-0.0033866i,0.002635-0.0025105i,-0.0076598-0.015916i,-0.0022029-0.0027962i,-0.0037697-0.0012307i,-0.0027937-0.0021041i,-0.0033809-0.0031787i,0.00039337-0.0026063i,0.0021591-0.00067822i,-0.0045977+0.0024228i,0.0018712+0.0026323i,0.0017495+0.0024337i,0.00061519+0.0022185i,-0.0034819+0.0024085i,-0.0034051-0.013532i,-0.0035619+0.00028071i,0.00061173+0.0010672i,-0.0023779+0.0048148i,0.0049459+0.013108i,0.001882-0.00073286i,0.00063375+0.00044867i,-0.0019531-0.004633i,0.00027897+0.0064369i,-0.012197-0.014938i,0.028861-0.060608i,-0.085994-0.040782i,-0.023782-0.018474i,-0.041025-0.040115i,-0.043468-0.016305i,-0.098357-0.0020197i,-0.063564-0.011026i,-0.045429-0.035147i,-0.019133-0.058007i,-0.020803-0.034526i,-0.0025376+0.0040199i,-0.022801+0.00029814i,-0.0011477+0.021514i,0.0034144+0.01001i,0.00068572-0.0014359i,0.011391+0.0083791i,-0.0059435-0.0095854i,-0.0014167+0.01145i,-0.00021173+0.0064942i,8.9612e-06-0.0031796i,0.0087164+0.003676i,0.0043187-0.00075966i,-0.01342+0.018497i,-0.0093477+0.013142i,0.0019905-0.00063838i,0.014879+4.9944e-05i,0.0026547+0.0031029i,-0.0024711-0.013001i,0.0012691-0.002844i,0.039648-0.024361i,0.0046463+0.01098i,0.002999+0.0021382i,-0.0035229-0.0016706i,0.0064397-0.0011818i,0.016435+0.0098228i,0.0036342-0.0011763i,0.0026825-0.0084556i,0.0038308-0.0023083i,0.0092987+0.011307i,0.0054107+0.0020306i,0.0084992-0.0064015i,0.0010556+0.0099946i,0.0043206+0.004285i,0.017218+0.010615i,-0.063644-0.050459i,-0.023681+0.0057069i,-0.0039832-0.0037031i,-0.0073471+0.0030322i,-0.037215-0.0024191i,-0.0053245+0.0089321i,-0.017642+0.0035991i
