-0.0075794-0.039351i,-0.011166-0.04466i,0.0027915-0.045838i,-0.027084-0.0282i,-0.020535+0.014292i,-0.032585-0.033194i,-0.06111-0.061759i,-0.022118-0.073095i,-0.038628-0.063052i,0.0017224+0.015146i,-0.0077386+0.01066i,-0.015659+0.013914i,0.0013857+0.016782i,-0.0038847-0.0030338i,0.00040784+0.0068748i,0.00064333+0.03963i,0.025951+0.059974i,0.00089216-0.00039512i,-0.0052029-0.0084574i,0.0079202+0.0051098i,0.0018026+0.00087112i,-0.00086268+0.0032881i,0.00018041-0.0013334i,-0.035848-0.0092012i,-0.0028537-0.0072232i,-0.00037003+0.0046357i,0.0046607+4.9016e-05i,0.00045553+0.00085801i,-0.00018432-0.0011456i,-0.00045996-0.0026804i,-0.0011632-0.0057165i,-0.0025168-0.0040807i,-0.00082554-0.0082943i,0.0032778-0.00094701i,0.0030501-0.0027788i,-0.0030323+0.034639i,0.0063068-0.0043577i,0.0037333-0.0022488i,0.0047619-0.00024884i,-0.026319-0.00079598i,-5.7765e-05+0.00019228i,0.0086758+0.00080449i,0.006296-0.00055398i,-0.0033466+0.0038071i,0.0021936+0.0019182i,-0.0030052+0.0088344i,0.015928-0.086921i,-0.0055007-0.048446i,-0.024186-0.040016i,-0.018752-0.042329i,0.064012-0.015222i,0.028879-0.060832i,0.038649-0.044243i,0.03044-0.056084i,0.019021-0.015453i,0.0082459+0.010178i,0.024821-0.032247i,-0.0064926-0.0060022i,0.0021292-0.0026602i,-0.0044087-0.0063334i,0.001275-0.032094i,-0.02481+0.030256i,0.0083089-0.010462i,-0.010966-0.0015571i,-0.005233-0.001308i,-0.00085898-0.014226i,-0.0096315+0.0039381i,0.0035734+0.0083785i,-0.010709+0.029841i,0.0055162+0.0078948i,-0.0054292-0.0019004i,-0.0021144-0.002125i,-0.011657-0.0067204i,0.00074414-0.0037731i,-0.032119+0.0035534i,0.0023691-0.012929i,-0.0089371-0.0023175i,-0.0063574-0.0029767i,0.0066366+0.0014819i,-0.0091586+0.0014697i,0.0013719+0.00099751i,0.0056123+0.0097617i,0.004592+0.00047381i,-0.0089235-0.0092861i,0.0025582+0.0088503i,-0.01812+0.006117i,0.0070358+0.0035866i,-0.028944-0.0085917i,-0.035431+0.0020591i,0.027345-0.080941i,0.012577-0.0093877i,-0.043865-0.028532i,-0.022044-0.0041109i,0.017623+0.012918i,-0.026617+0.011614i,-0.011466-0.0090215i
-0.015837-0.038391i,-0.0173-0.038328i,-0.0040256-0.04994i,-0.030028-0.025052i,-0.01049+0.011689i,-0.040691-0.025879i,-0.067777-0.047181i,-0.031911-0.06998i,-0.041501-0.044882i,0.0023814+0.013633i,-0.0066523+0.0088533i,-0.0078996+0.020567i,0.0097903+0.012463i,-0.0082012+0.0002914i,0.0014736+0.0063716i,0.009611+0.032777i,0.03527+0.03749i,0.0018342+0.0019833i,-0.0086142-0.0031829i,0.0098341+0.00030334i,0.0004191+0.0016167i,6.065e-05+0.0039839i,-0.00057612-8.2713e-05i,-0.024056+0.011541i,-0.0053413-0.0050026i,0.0033176+0.0028971i,0.0034367+0.00011839i,0.00017383+0.002476i,0.0011067-0.0010219i,-0.0017191-0.0027865i,-0.0012092-0.0043598i,-0.0029796-0.0034216i,-0.0027741-0.0071955i,0.0024196-0.0028684i,0.0019264-0.0020884i,0.0082321+0.031578i,0.0052366-0.0067267i,0.0019854-0.0032563i,0.006364-0.0016565i,-0.0095927+0.00029425i,7.2279e-05+0.0016422i,0.0090659-0.0025664i,0.0045671-0.00042365i,-0.0049192+0.0049858i,0.0096231+0.00045695i,0.008683+0.011692i,0.00047083-0.089804i,-0.019926-0.050866i,-0.018236-0.033135i,-0.019281-0.028487i,0.068286-0.043723i,0.027364-0.080946i,0.041302-0.045172i,0.020831-0.065093i,0.0089064-0.0093953i,0.0083251+0.00044667i,0.01217-0.035176i,-0.0069162+0.0005376i,8.3376e-05-0.010838i,-0.0055261-0.0071084i,-0.021791-0.033422i,-0.010147+0.029163i,0.0023736-0.01325i,-0.01186+0.002135i,-0.0044015+0.00042971i,-0.007229-0.013202i,-0.010581+0.0082779i,0.0077517+0.0090562i,0.0071222+0.028851i,0.007066+0.0019709i,-0.0045448+0.001297i,-0.0044419-0.001923i,-0.015124+0.0016683i,0.00038718-0.0029289i,-0.033594+0.009931i,-0.0044939-0.010804i,-0.0094076+0.0022055i,-0.0080568+0.00035255i,0.0042995-0.0039013i,-0.0081177+0.0045145i,0.0029819-0.00045264i,0.0047454+0.0035412i,0.0033137-0.00084239i,-0.013225-0.0019968i,0.0041204+0.0056081i,-0.012775+0.011981i,0.00683-0.00092853i,-0.0297+0.0022304i,-0.034444+0.012503i,0.013864-0.081958i,0.0088911-0.016106i,-0.051486-0.014243i,-0.016004-0.0058718i,0.018568+0.0061547i,-0.021532+0.019123i,-0.017446-0.014304i
-0.02149-0.034363i,-0.019566-0.037464i,-0.012266-0.053659i,-0.034146-0.019826i,-0.0039383+0.0048222i,-0.046193-0.016977i,-0.077386-0.032435i,-0.046187-0.065801i,-0.045699-0.036797i,0.0044242+0.013128i,-0.0063468+0.012354i,0.0022822+0.019591i,0.012861+0.0045634i,-0.0086423+0.0046113i,0.0030053+0.0060775i,0.015237+0.025218i,0.038369+0.027278i,0.0048723+0.0019872i,-0.0076969+0.0020466i,0.0075467-0.002519i,-2.3345e-06+0.0025049i,0.0012463+0.0064087i,-0.000203+0.00076082i,-0.010578+0.018018i,-0.0051721-0.0021992i,0.0045673+7.9869e-05i,0.0031661-0.001207i,0.0025211+0.0027044i,-9.1726e-05-0.0021931i,-0.0022938-0.0021686i,-0.0017869-0.004249i,-0.0042348-0.0021636i,-0.0046374-0.0059385i,0.0010048-0.0043749i,0.0037956-0.0047721i,0.018869+0.024004i,0.0026835-0.0075491i,0.00082041-0.0036337i,0.006422-0.005889i,-0.0091276+0.00086947i,0.0010239+0.0021621i,0.0065843-0.0051926i,0.0057989-0.00023189i,-0.0035504+0.0072403i,0.014142-0.007855i,0.020643+0.0071376i,-0.014588-0.089037i,-0.032622-0.041982i,-0.010286-0.036711i,-0.011843-0.027572i,0.06201-0.070676i,0.0080199-0.10061i,0.047522-0.052639i,0.0083529-0.067039i,0.0083344-0.007384i,0.0052169-0.0033409i,0.0014716-0.038492i,0.0025917-0.00024187i,-0.0097024-0.01294i,-0.0057075-0.0094601i,-0.040572-0.022961i,-0.0014107+0.026967i,-0.0040679-0.01259i,-0.0092255+0.005004i,-0.0056905+0.0013667i,-0.01413-0.010299i,-0.0056634+0.014695i,0.014149+0.0041652i,0.019019+0.018783i,0.0064018-0.00039959i,-0.0037923+0.00070686i,-0.0053401-0.00013328i,-0.012046+0.011249i,-0.0024087-0.0030068i,-0.029268+0.020973i,-0.0068594-0.0060206i,-0.0077104+0.0070452i,-0.0081669+0.0072686i,-0.00093356-0.0049284i,-0.0055878+0.0064082i,0.0020043-0.0021122i,0.0026417+0.0024463i,0.0027853-0.0021385i,-0.0091901+0.005739i,0.0038234+0.002624i,-0.0075822+0.013886i,0.003715-0.0042187i,-0.025631+0.010684i,-0.028274+0.022305i,0.0038973-0.079959i,0.002346-0.017351i,-0.049663-0.0012676i,-0.020992-0.0124i,0.017178-0.0017842i,-0.0105+0.020904i,-0.021243-0.011412i
-0.025268-0.030069i,-0.024411-0.038612i,-0.022545-0.056992i,-0.030916-0.011605i,-0.0024373-0.004695i,-0.04821-0.0062557i,-0.082284-0.0062195i,-0.061121-0.051893i,-0.051598-0.02552i,0.0066919+0.012104i,-0.0013838+0.01523i,0.006883+0.014316i,0.012143-0.0032849i,-0.0068586+0.010074i,0.0033982+0.0043165i,0.017632+0.015236i,0.043623+0.0089759i,0.006534-0.00084777i,-0.0062024+0.0060035i,0.0057669-0.0047021i,0.0016548+0.0039355i,0.0041157+0.0067286i,-0.00028861+0.0012451i,0.00016807+0.023411i,-0.0041144-0.00093826i,0.0034784-0.0022943i,0.0028874-0.002015i,0.003422+0.00013477i,-0.00097574-0.00080179i,-0.0036121-0.0016688i,-0.0025341-0.0036513i,-0.0046442-0.0010657i,-0.0061807-0.0034098i,-0.00095347-0.0049511i,-0.00052639-0.0071696i,0.022318+0.013566i,-0.00024051-0.0080825i,-0.00024694-0.0038286i,0.0030009-0.0082739i,-0.0068153+0.0052652i,0.0018971+0.0017097i,0.0027012-0.0067918i,0.006253-0.001997i,-0.00043997+0.0071766i,0.016372-0.014681i,0.029703-0.0023774i,-0.02833-0.083788i,-0.035904-0.030999i,-0.011723-0.041738i,-0.01027-0.029977i,0.045219-0.099741i,-0.020375-0.10503i,0.047138-0.073171i,-0.0014192-0.065887i,0.007761-0.0057803i,0.0006972-0.0061505i,-0.014218-0.035823i,0.002246-0.0093479i,-0.014283-0.0076611i,-0.011843-0.012382i,-0.048847-0.0020312i,0.0098123+0.022304i,-0.0090644-0.010202i,-0.0064965+0.0057144i,-0.0049182+0.0043894i,-0.019285-0.0032988i,0.0031275+0.013666i,0.017047-0.0029838i,0.019427+0.0069217i,0.0071963-0.0026905i,-0.004708+0.00078376i,-0.0055476+0.0028514i,-0.0081785+0.016672i,-0.0043569+0.00036469i,-0.027358+0.033303i,-0.0073299-0.0031768i,-0.0026063+0.0097348i,-0.0024722+0.012025i,-0.0053659-0.0022826i,-0.0020361+0.0055209i,0.0011386-0.0022767i,0.0017599+0.0024665i,7.5607e-05-0.004186i,-0.0030207+0.0049561i,0.00055807-0.00035694i,-0.0034404+0.016073i,-0.00031582-0.0039571i,-0.01881+0.017121i,-0.018725+0.026278i,-0.0055012-0.080988i,0.0029583-0.014912i,-0.04556+0.012452i,-0.029374-0.009853i,0.014088-0.0075849i,-0.0015019+0.015929i,-0.021667-0.0058421i
-0.027613-0.025219i,-0.032581-0.037041i,-0.037422-0.0578i,-0.028654-0.0096758i,-0.0086139-0.013447i,-0.047321+0.0039804i,-0.066502+0.015028i,-0.06319-0.035202i,-0.047292-0.014314i,0.0093027+0.010254i,0.0042671+0.013171i,0.009021+0.010833i,0.0067221-0.0088492i,-0.00086188+0.012226i,0.0030005+0.002683i,0.014938+0.010525i,0.037443-0.009222i,0.0056653-0.0041614i,-0.0017257+0.011044i,0.0031767-0.0053133i,0.003165+0.0042266i,0.0063799+0.0040285i,-1.2006e-05+0.0024678i,0.018895+0.019098i,-0.0041154+0.00065176i,0.0022393-0.0036836i,0.0015856-0.0027702i,0.0024988+0.00084508i,-0.00015104+0.00016046i,-0.0045363+0.00057624i,-0.0033599-0.002609i,-0.0043779+0.00041658i,-0.0062927-0.00056041i,-0.0037059-0.0042928i,-0.0030309-0.00554i,0.023769+0.0076791i,-0.0027976-0.0074036i,-0.0021789-0.0038725i,-0.00053114-0.0080152i,-0.0022684+0.0019945i,0.0019666+0.00090451i,-0.00098514-0.005141i,0.0062658-0.0031348i,0.00058043+0.0058562i,0.01562-0.027125i,0.035499-0.017299i,-0.036714-0.07555i,-0.035502-0.021218i,-0.014462-0.045463i,-0.010933-0.030884i,0.011103-0.12058i,-0.046236-0.097475i,0.029019-0.090351i,-0.012834-0.060704i,0.008265-0.0033725i,-0.0038148-0.0064207i,-0.024469-0.024876i,-0.0044659-0.013431i,-0.015994-0.0049786i,-0.021533-0.0077104i,-0.04527+0.017077i,0.014193+0.011168i,-0.012608-0.005157i,-0.0045242+0.0060928i,-0.0032906+0.0069922i,-0.02004+0.007019i,0.0044893+0.0087258i,0.0162-0.010536i,0.025182-0.0051537i,0.0056274-0.0074711i,-0.0068958+0.0032534i,-0.0035606+0.0063299i,8.5146e-05+0.019037i,-0.0043764+0.0042242i,-0.01551+0.045392i,-0.0095128-0.0018442i,0.0013843+0.0072341i,0.0040264+0.011273i,-0.0062036+0.0012324i,-0.0030135+0.0025967i,-0.0002437-0.002873i,0.001288+0.0043943i,-0.0045649-0.0032781i,-0.0022916+0.0015451i,-0.0031141+0.0020716i,0.0048092+0.017639i,-0.0029338-0.0030294i,-0.0097044+0.019726i,-0.011924+0.027889i,-0.018383-0.07923i,0.0067773-0.020756i,-0.037075+0.026177i,-0.032949+0.00046644i,0.008708-0.011927i,0.00072315+0.008514i,-0.020772-0.0051994i
-0.028226-0.021952i,-0.037575-0.033313i,-0.055362-0.051043i,-0.028599-0.0091976i,-0.020824-0.01512i,-0.042709+0.013059i,-0.04933+0.020928i,-0.061182-0.024397i,-0.044264-0.010195i,0.010295+0.0084464i,0.0065608+0.010137i,0.011063+0.0058692i,-0.00033366-0.010922i,0.0050846+0.010771i,0.0022813+0.0019134i,0.013816+0.0083091i,0.023642-0.020062i,0.0050824-0.0056725i,0.00502+0.01057i,0.0008948-0.0046556i,0.0056646+0.0024159i,0.0064858+0.001373i,0.0022192+0.0031967i,0.024592+0.0033794i,-0.001809+0.0029564i,-3.5255e-05-0.0045892i,4.4442e-05-0.00074417i,0.0064238-0.001471i,0.00022525-0.00087073i,-0.0026909+0.0035958i,-0.0030171-0.0016643i,-0.004394+0.0012007i,-0.0064226+0.0018745i,-0.0053082-0.00096444i,-0.0035527-0.0033812i,0.025877-8.8815e-05i,-0.0052461-0.0058014i,-0.0044489-0.0033303i,-0.0032267-0.0076604i,-0.0048716-0.0015829i,0.0026024+0.0006423i,-0.0024655-0.0024313i,0.0046331-0.0050275i,0.0010054+0.0053805i,0.0064449-0.036139i,0.025466-0.037003i,-0.038851-0.068599i,-0.033945-0.014162i,-0.019739-0.045719i,-0.010474-0.034952i,-0.028651-0.11804i,-0.068493-0.081582i,0.0096525-0.09529i,-0.015845-0.047334i,0.015047+0.001341i,-0.0068432-0.0037836i,-0.02557-0.010486i,-0.010856-0.013418i,-0.020645-0.00060428i,-0.020922+0.0016282i,-0.035545+0.034477i,0.012582+0.0039115i,-0.010539+0.0028437i,-0.0048926+0.0058864i,0.0015269+0.0093673i,-0.014026+0.015166i,0.0058122+0.0095163i,0.011952-0.022295i,0.016221-0.021341i,-0.0018168-0.011865i,-0.006902+0.0078744i,-0.0014076+0.0070898i,0.00792+0.016596i,-0.0014302+0.0067828i,-0.00098232+0.057926i,-0.011596+0.001627i,0.0015139+0.0064569i,0.0078928+0.0062829i,-0.0056143+0.0069092i,-0.0039321+0.0045472i,-0.0038582-0.002524i,0.0047355+0.0053683i,-0.0044494+0.0028768i,-0.0052043+0.0010276i,-0.00067285+0.0075227i,0.0094054+0.014076i,-0.0047704-0.0021143i,-0.0035986+0.016888i,-0.003307+0.027498i,-0.024283-0.071414i,-0.0017431-0.034508i,-0.0169+0.031232i,-0.029875+0.0082229i,0.0065197-0.018665i,0.00046954+0.002184i,-0.021761-0.00063928i
-0.028912-0.019389i,-0.046378-0.031183i,-0.070098-0.036882i,-0.027874-0.0048579i,-0.030611-0.0065077i,-0.036668+0.018732i,-0.037938+0.019806i,-0.059363-0.017788i,-0.047132-0.0058831i,0.013754+0.0049681i,0.0095188+0.0089605i,0.008662-0.000431i,-0.0084039-0.0077968i,0.0088295+0.0045155i,0.0020963+0.0013395i,0.013645+0.0072162i,0.0099178-0.020995i,0.0028916-0.0079614i,0.0085178+0.0059386i,-0.00046451-0.002949i,0.0060862-0.00095836i,0.0075478+0.00054616i,0.0043481+0.0017388i,0.022098-0.0097635i,0.0019388+0.0015611i,-7.514e-05-0.002945i,0.0014263-0.002144i,0.0050216-0.0050807i,-9.8277e-05-0.00062205i,3.7479e-05+0.0038437i,-0.0033299-0.0013797i,-0.0034819+0.0026617i,-0.0044061+0.0040257i,-0.0039974+0.0014162i,-0.0043498-0.0034464i,0.023584-0.0088568i,-0.0061764-0.0024743i,-0.0053397-0.0010094i,-0.0062546-0.0042664i,-0.010299+0.001036i,0.0024658-0.00017831i,-0.0013302-0.0017165i,0.0027536-0.0059127i,0.0021735+0.0034971i,-0.0057153-0.039081i,0.0085366-0.040232i,-0.045345-0.068285i,-0.026434-0.0083119i,-0.023276-0.044676i,-0.018652-0.042022i,-0.057124-0.10384i,-0.076965-0.056615i,-0.013821-0.097147i,-0.010059-0.043467i,0.022677-0.012711i,-0.0078485-2.1151e-05i,-0.021539-0.0059375i,-0.019977-0.0096934i,-0.019291+0.0090078i,-0.018443+0.0061269i,-0.01481+0.043383i,0.011245-0.00033793i,-0.0081958+0.0027854i,-0.0012717+0.0058494i,0.0043757+0.0058955i,-0.0064531+0.019292i,0.010705+0.007516i,-0.0042708-0.028021i,-0.0033473-0.023139i,-0.0058677-0.0047199i,-0.0026003+0.011805i,0.0022147+0.006066i,0.014516+0.0092084i,0.0024326+0.0052886i,0.023044+0.052857i,-0.0081066+0.0072205i,0.0026837+0.0048459i,0.0083818+0.0018194i,0.00024939+0.00973i,-0.0057167+0.0060262i,-0.0058517+0.0018351i,0.0079173+0.0048392i,-0.0021606+0.0059521i,-0.0072969+0.0038824i,0.0033166+0.007366i,0.011341+0.0094327i,-0.0054346+0.00093488i,0.0018803+0.014276i,0.0046228+0.02548i,-0.029944-0.069645i,-0.020381-0.035238i,-0.0027645+0.02276i,-0.026139+0.013521i,0.00017521-0.027323i,-0.0028971-0.0016135i,-0.015122+0.0015406i
-0.030706-0.017192i,-0.055323-0.021509i,-0.078454-0.018517i,-0.025763-0.0034198i,-0.030824+0.0050312i,-0.032133+0.022643i,-0.031779+0.017079i,-0.058985-0.012546i,-0.047264+0.0045012i,0.01457-0.00014387i,0.013207+0.0023052i,0.0028493-0.0010677i,-0.011176-0.00082104i,0.0067099-0.00034279i,0.0012451+0.00071161i,0.016297+0.0041037i,0.00078367-0.016564i,-0.0014407-0.0083289i,0.0077324+0.0013628i,-0.00053781-0.0019063i,0.0034454-0.0029138i,0.007104-0.0023381i,0.004291-0.00040373i,0.013934-0.01775i,0.0012443-0.0012293i,-0.00040756-0.0034097i,0.00093658-0.0032329i,0.00057941-0.0055488i,0.0015149+0.00037973i,0.0010325+0.0027494i,-0.0040287-0.0011301i,-0.0018599+0.0030901i,-0.00258+0.0049967i,-0.0027943+0.0014495i,-0.0059127+7.518e-05i,0.017765-0.015636i,-0.0049103-0.00039778i,-0.0042768+0.0015921i,-0.0057516-0.00099055i,-0.010436+0.0076961i,0.002069-0.00049579i,-0.0010415-0.0015362i,0.0013901-0.0058535i,0.0012337+0.0014764i,-0.016269-0.034461i,0.0018882-0.031613i,-0.055185-0.066261i,-0.019383-0.010272i,-0.0275-0.043741i,-0.030595-0.039364i,-0.080738-0.086916i,-0.072825-0.036988i,-0.040469-0.085976i,-0.0080572-0.047121i,0.01896-0.025925i,-0.0059089+0.0024952i,-0.02028-1.0509e-05i,-0.026377+0.00093074i,-0.011918+0.016242i,-0.014818+0.0122i,0.0067284+0.039226i,0.0090404-0.0057347i,-0.0083443+0.0050136i,-0.0012894+0.0037447i,0.0065883+0.004386i,0.0019051+0.017074i,0.01278-0.00036929i,-0.019864-0.018988i,-0.015384-0.012869i,-0.0044363-0.00053674i,0.0037402+0.011903i,0.0036815+0.0039472i,0.017546+0.001215i,0.0049823+0.0047644i,0.042675+0.03817i,-0.004233+0.0066625i,0.0023088+0.0047338i,0.0067005-0.0031769i,0.0059472+0.0068049i,-0.0049114+0.01212i,-0.0034646+0.0072721i,0.010559+0.00037639i,0.0027035+0.0061407i,-0.006162+0.0080762i,0.0056536+0.0044092i,0.011739+0.0055089i,-0.004924+0.0021242i,0.0046447+0.0099718i,0.009765+0.020019i,-0.036452-0.066788i,-0.032317-0.021785i,0.0036773+0.011456i,-0.015187+0.018901i,-0.013509-0.028111i,-0.0099456-0.0016725i,-0.015282-0.0035326i
-0.033023-0.013492i,-0.058326-0.008723i,-0.079038+0.0022533i,-0.02577-0.0027077i,-0.025913+0.012527i,-0.026876+0.026703i,-0.028593+0.013602i,-0.060869-0.0074352i,-0.040647+0.01363i,0.01308-0.0049816i,0.0078744-0.0021788i,0.0017205+0.0019125i,-0.010191+0.0050536i,0.0039856-0.0027877i,0.00038635+0.00114i,0.016605-0.0015626i,-0.0019001-0.010161i,-0.0044551-0.00623i,0.0060749+0.0001846i,-0.0004918-0.0010533i,0.0024123-0.001576i,0.0053799-0.0040295i,0.0040247-0.0011693i,0.0050809-0.018524i,-0.00029154-0.0024166i,-0.0015685-0.0041112i,-0.00012338-0.0036357i,-0.0011404-0.0056794i,0.0016719-0.0014589i,0.0021446+0.0023555i,-0.0043543-0.00050946i,-0.000492+0.0032245i,-0.00058764+0.0042818i,-0.0027392+0.0028797i,-0.0036985+0.0012615i,0.0087289-0.020389i,-0.0033807+0.00038338i,-0.0025106+0.002995i,-0.0064223+0.00079024i,-0.0046999+0.012395i,0.0020962-0.00072286i,-0.0015601-0.0012455i,-0.0013355-0.0049501i,-0.0016738+0.0017645i,-0.022663-0.027293i,0.0075727-0.026812i,-0.067055-0.061184i,-0.017465-0.014246i,-0.031294-0.041333i,-0.037204-0.031619i,-0.09988-0.060289i,-0.069718-0.028186i,-0.05035-0.059954i,-0.010592-0.049841i,0.0075238-0.037375i,-0.0045042+0.0026011i,-0.016597+0.0013389i,-0.022358+0.01438i,-0.0039376+0.016181i,-0.0036984+0.013782i,0.016019+0.024719i,0.0046866-0.0086198i,-0.0065875+0.0070486i,-0.0021342+0.0037751i,0.0066691-0.00064079i,0.0067085+0.013136i,0.0070149-0.0037575i,-0.026261-0.0042944i,-0.017387-0.0026829i,-0.0017218+0.00059143i,0.0071536+0.0097291i,0.0028059+0.002641i,0.014893-0.0093042i,0.0063189+7.9543e-05i,0.052513+0.016575i,-0.0040487+0.0081407i,0.0042647+0.0036455i,0.002178-0.0056269i,0.0066132+0.0029439i,0.0014955+0.016035i,0.0037376+0.0061301i,0.0079571-0.0039568i,0.0058254+0.0024796i,-0.0027593+0.011329i,0.0046438+0.0034449i,0.011485+0.0021921i,-0.0060303+0.0034166i,0.0028027+0.0069214i,0.012163+0.015745i,-0.042862-0.063853i,-0.032488-0.0043101i,0.002127+0.0018235i,-0.0042913+0.013695i,-0.025449-0.022385i,-0.01337+0.0066733i,-0.020156-0.002044i
-0.034832-0.0087945i,-0.056804+0.0018973i,-0.073132+0.01895i,-0.027737-0.00096049i,-0.019275+0.017111i,-0.020757+0.029592i,-0.029146+0.011462i,-0.06343+0.0013232i,-0.03374+0.017429i,0.0092868-0.008246i,0.0048234-0.0032204i,0.0027674+0.002535i,-0.0057439+0.0089701i,0.00050391-0.0035766i,0.00076643+0.002312i,0.012888-0.0071076i,-0.0014412-0.0091892i,-0.0053862-0.0022723i,0.0048161-0.0023125i,0.00032361-0.00026644i,0.0034725-0.0016593i,0.0035794-0.0041621i,0.0039265-0.0019709i,-0.0014246-0.017225i,-0.0012809-0.0019987i,-0.0033842-0.0029542i,-0.0015651-0.0038021i,-0.0026645-0.0049626i,0.00084319-0.0023897i,0.0030696+0.00098505i,-0.004895+0.00059416i,0.00072498+0.002603i,0.00074789+0.0036046i,-0.00073816+0.0035197i,-0.0038545+0.001955i,-0.00058324-0.016547i,-0.0032648-0.00015284i,-0.00031176+0.0031387i,-0.005221+0.0041134i,0.00045282+0.013019i,0.0021063-0.00060878i,-0.00090354+0.00016152i,-0.0018742-0.0047574i,-0.0014577+0.0049899i,-0.023016-0.019636i,0.016524-0.034709i,-0.081946-0.049595i,-0.018677-0.016737i,-0.033626-0.039229i,-0.04163-0.024604i,-0.10313-0.030298i,-0.067976-0.016552i,-0.045053-0.044412i,-0.013094-0.053936i,-0.0074401-0.041007i,-0.0029248+0.0030386i,-0.017474+0.00013284i,-0.01291+0.020851i,0.00042077+0.012874i,0.0033022+0.0057642i,0.015845+0.013269i,-0.00045596-0.0088253i,-0.004745+0.0091909i,-0.0027838+0.0046505i,0.003618-0.0034787i,0.0087993+0.00785i,0.0047472-0.0021833i,-0.023462+0.0099996i,-0.014589+0.0059799i,-0.00066944+0.0011857i,0.011024+0.0068519i,0.0026186+0.0022239i,0.0057793-0.013917i,0.0037763-0.002956i,0.052232-0.0054369i,-0.00052622+0.010371i,0.0034268+0.001904i,-0.0014439-0.0039186i,0.006172+0.0017303i,0.0092187+0.016199i,0.0044293+0.0017381i,0.0053713-0.0056283i,0.004826-0.00044132i,5.833e-05+0.012304i,0.0051128+0.002203i,0.011204-0.0015234i,-0.0039177+0.008131i,0.003298+0.0063358i,0.014545+0.012229i,-0.051327-0.060392i,-0.031205-0.0030991i,-0.00055131-0.0020451i,-0.0032985+0.0058446i,-0.033982-0.012074i,-0.0085084+0.009876i,-0.019482+0.0016148i
-0.03482-0.0037049i,-0.053093+0.010246i,-0.06378+0.033139i,-0.028008+0.0033193i,-0.011437+0.017828i,-0.014922+0.030824i,-0.030578+0.012962i,-0.062886+0.011672i,-0.028471+0.019517i,0.0053959-0.010103i,0.0025582-0.0025597i,0.0046347+0.0017108i,-0.001231+0.0099106i,-0.0024938-0.002104i,0.0013962+0.0022917i,0.0071608-0.0092099i,-0.0042293-0.011786i,-0.004786-0.00027955i,0.0046413-0.0026091i,0.001107-0.00053297i,0.0036951-0.0031661i,0.0029688-0.0036445i,0.003522-0.0030712i,-0.0070488-0.014824i,-0.0021629-0.0018433i,-0.0039952-0.0012716i,-0.003089-0.0029408i,-0.0039375-0.0033467i,0.00022888-0.0027753i,0.0025613-0.0010948i,-0.004943+0.0026009i,0.0011265+0.0022211i,0.0019138+0.0026498i,0.0012108+0.0024154i,-0.0030912+0.0031396i,-0.0031974-0.011822i,-0.0034654+0.00018485i,0.0012401+0.0017162i,-0.0020014+0.0049003i,0.0065839+0.012015i,0.0012662-0.00024849i,-1.2726e-05+0.00049738i,-0.0031998-0.0046388i,0.0012539+0.004773i,-0.02053-0.016912i,0.014477-0.051765i,-0.089917-0.030396i,-0.019051-0.018452i,-0.035976-0.040879i,-0.043995-0.01618i,-0.09903-0.0087581i,-0.063303-0.0079369i,-0.041407-0.035676i,-0.020431-0.056771i,-0.025387-0.036345i,-0.0021826+0.0022875i,-0.023093+0.0024208i,-0.002909+0.020406i,0.0017422+0.0078518i,0.0028296-0.0018042i,0.011904+0.0070418i,-0.0052539-0.0087053i,-0.0015281+0.0098588i,-0.002014+0.005718i,0.00080297-0.003676i,0.0075547+0.0032622i,0.0044404-0.0013072i,-0.01467+0.017728i,-0.0078685+0.012406i,0.0016331-3.2549e-05i,0.013503+0.00069118i,0.0022729+0.0025171i,-0.0020928-0.01203i,0.00097306-0.0033742i,0.041887-0.026281i,0.0040846+0.010318i,0.0026137+0.0020064i,-0.0037477-0.0014823i,0.0064194-0.0015519i,0.016919+0.011451i,0.0031434-0.0014006i,0.0023569-0.0069615i,0.0031863-0.0023745i,0.0057016+0.0076194i,0.0052858+0.0019457i,0.0077499-0.0054761i,0.0008858+0.0092234i,0.0043744+0.0044488i,0.01719+0.0076832i,-0.060388-0.053192i,-0.024929+0.0073368i,-0.0029647-0.0049446i,-0.0058701+0.0031614i,-0.036595-0.00041322i,-0.0060256+0.0088063i,-0.017314+0.004119i
