-0.0072125-0.039881i,-0.011314-0.044041i,0.0028593-0.046173i,-0.026978-0.027708i,-0.020793+0.014141i,-0.032644-0.03332i,-0.061464-0.061817i,-0.022037-0.072902i,-0.033987-0.052412i,0.0012202+0.01548i,-0.0069832+0.010769i,-0.015634+0.014186i,0.0014927+0.016856i,-0.003863-0.0032277i,0.00040698+0.0065932i,0.00085679+0.039743i,0.019613+0.060674i,0.00078991-0.00024557i,-0.0046135-0.0085577i,0.0087759+0.0051819i,0.0017031+0.0010283i,-0.00089025+0.0033927i,0.00010135-0.001224i,-0.036834-0.0092834i,-0.0023928-0.0072291i,-2.0893e-05+0.0045344i,0.0050315+1.9812e-05i,0.00028758+0.0010508i,-0.00045514-0.00079883i,-8.0349e-05-0.0029248i,-0.0012334-0.0058982i,-0.0023889-0.0042438i,-0.00061566-0.0079927i,0.0031561-0.0012871i,0.0031577-0.0026045i,-0.0015925+0.03438i,0.0061778-0.0043271i,0.0036448-0.0023475i,0.0049642+0.00019525i,-0.013748-0.0041833i,1.6562e-06+0.00036461i,0.010154-0.00053942i,0.0061319-0.0013709i,-0.0036699+0.0038118i,0.0025482+0.0023042i,-0.0031186+0.0091852i,0.016456-0.086887i,-0.0060052-0.048324i,-0.023968-0.040078i,-0.018859-0.042027i,0.064641-0.014958i,0.028752-0.061253i,0.038872-0.044237i,0.030273-0.055777i,0.019955-0.015548i,0.0084113+0.01005i,0.025289-0.032225i,-0.0072586-0.005119i,0.0024857-0.0022214i,-0.0046422-0.0061304i,0.0015521-0.032129i,-0.024557+0.030881i,0.0085036-0.010275i,-0.011089-0.0016607i,-0.0051783-0.0012657i,-0.00087485-0.01422i,-0.0099426+0.0041954i,0.0033413+0.007962i,-0.011741+0.031457i,0.0053245+0.0077021i,-0.0054112-0.0016097i,-0.0020603-0.0022813i,-0.011763-0.0076718i,0.00049655-0.0036643i,-0.035293+0.0047957i,0.0023423-0.012537i,-0.0091306-0.0022368i,-0.006327-0.0029256i,0.0065174+0.0017917i,-0.0093374+0.0018233i,0.0012201+0.00095538i,0.0052943+0.0094416i,0.0046118+0.0003394i,-0.0093123-0.0098174i,0.0024834+0.0084899i,-0.019196+0.0062333i,0.0068017+0.0031557i,-0.028652-0.0087138i,-0.034719+0.0023175i,0.026266-0.07759i,0.012603-0.0093723i,-0.042386-0.02786i,-0.022996-0.0039894i,0.017683+0.012829i,-0.026678+0.011484i,-0.011299-0.0090063i
-0.015462-0.038889i,-0.017423-0.037757i,-0.0038878-0.050453i,-0.029442-0.024222i,-0.010774+0.011771i,-0.040737-0.025982i,-0.068723-0.046973i,-0.031005-0.069984i,-0.040102-0.041171i,0.0025634+0.014293i,-0.0062864+0.0083996i,-0.0077572+0.020662i,0.0099372+0.012742i,-0.0084804+9.2371e-05i,0.0013819+0.0059883i,0.0098785+0.032732i,0.03464+0.043865i,0.0020903+0.0021531i,-0.0081696-0.0036169i,0.0095027+0.0007122i,0.00047153+0.001874i,-0.0009044+0.0039749i,-0.00050198+7.1204e-05i,-0.025318+0.012181i,-0.0047175-0.0049144i,0.0034952+0.0027222i,0.0036021-0.00014379i,0.00028018+0.0027172i,0.0010069-0.00089962i,-0.0015102-0.002968i,-0.0014893-0.0045945i,-0.0027215-0.0033664i,-0.0026968-0.0073382i,0.0020939-0.0029993i,0.0020737-0.0019119i,0.0096158+0.030828i,0.0050995-0.0064573i,0.0019921-0.0032943i,0.0067758-0.0013928i,-0.0087837-4.4096e-05i,0.00018514+0.0017511i,0.0080511-0.0024459i,0.0040706-0.00064147i,-0.0049538+0.0053246i,0.010208+0.00060179i,0.0086426+0.012029i,0.0010305-0.089953i,-0.020189-0.050582i,-0.018227-0.03313i,-0.019261-0.028431i,0.068411-0.043588i,0.02743-0.081686i,0.041643-0.045377i,0.020658-0.064833i,0.0093717-0.0098121i,0.0083317+0.0003705i,0.01146-0.035305i,-0.0068601+0.00047716i,0.0004071-0.010832i,-0.0056251-0.0070701i,-0.021765-0.033352i,-0.010087+0.029444i,0.0025018-0.012772i,-0.012033+0.0018654i,-0.0043745+0.00060382i,-0.0071668-0.013311i,-0.010503+0.0085222i,0.0073778+0.008944i,0.0077308+0.02992i,0.0073737+0.0023225i,-0.0044754+0.0012461i,-0.004316-0.0019302i,-0.015987+0.0016221i,0.00029031-0.0027914i,-0.038605+0.01195i,-0.0043653-0.010508i,-0.0096993+0.0023302i,-0.0079935+0.00032648i,0.0043891-0.0037644i,-0.0080637+0.0047694i,0.0025516-0.00036217i,0.0048558+0.0036841i,0.0031691-0.00079532i,-0.013511-0.001484i,0.0038439+0.0055898i,-0.013581+0.01333i,0.0064576-0.00091751i,-0.029244+0.0021104i,-0.033453+0.012134i,0.012239-0.080204i,0.0088292-0.015911i,-0.049559-0.014694i,-0.016701-0.0057717i,0.019036+0.0061604i,-0.021184+0.018546i,-0.017611-0.014391i
-0.021475-0.034796i,-0.019505-0.036844i,-0.012133-0.054614i,-0.032337-0.019186i,-0.0040412+0.0050358i,-0.046263-0.01721i,-0.078024-0.03172i,-0.045444-0.066604i,-0.043761-0.034066i,0.0047591+0.01311i,-0.0063262+0.011937i,0.0021249+0.019671i,0.013244+0.0045695i,-0.0089213+0.004677i,0.0026903+0.0057704i,0.015646+0.025082i,0.04349+0.029586i,0.0054437+0.001907i,-0.0074211+0.0015772i,0.0084427-0.0021767i,9.5209e-05+0.0024176i,0.00046148+0.0060926i,-0.00010234+0.00079436i,-0.011008+0.019345i,-0.0046016-0.0025158i,0.004683-0.00020852i,0.003187-0.0012435i,0.0029555+0.00327i,-0.00033017-0.0019585i,-0.0019202-0.0023656i,-0.0022371-0.0044595i,-0.003848-0.0025074i,-0.0049892-0.0057822i,0.00080354-0.0041908i,0.0039873-0.0045562i,0.019457+0.022947i,0.0024654-0.0074585i,0.00089211-0.0036227i,0.0064901-0.0061168i,-0.0081136+0.00084689i,0.0010819+0.0022677i,0.0063444-0.004856i,0.0052042-1.6992e-05i,-0.0034671+0.0074752i,0.014856-0.0082018i,0.020418+0.0075896i,-0.014162-0.08934i,-0.032845-0.042349i,-0.010311-0.036185i,-0.011913-0.027499i,0.062214-0.070682i,0.008133-0.10131i,0.047703-0.053137i,0.0085151-0.066769i,0.0082339-0.0074776i,0.0054895-0.0035019i,0.00062042-0.037956i,0.0026246-0.00016164i,-0.0096378-0.013111i,-0.0057329-0.0093648i,-0.040574-0.022252i,-0.0015265+0.027503i,-0.0036119-0.012166i,-0.009552+0.0050856i,-0.0054912+0.001431i,-0.014311-0.010589i,-0.0054579+0.014779i,0.013761+0.0040484i,0.020402+0.018971i,0.0068388-0.00045629i,-0.0038164+0.0008649i,-0.005046-0.00054834i,-0.012699+0.010614i,-0.002615-0.0027583i,-0.03328+0.023597i,-0.0068641-0.0058305i,-0.0078476+0.0071041i,-0.0083185+0.0070195i,-0.00089841-0.0049214i,-0.0054864+0.0065751i,0.0018354-0.0018539i,0.0027431+0.0024068i,0.002632-0.0019545i,-0.0092131+0.0061126i,0.0035797+0.0028121i,-0.0078171+0.015486i,0.0034558-0.0039847i,-0.025201+0.010513i,-0.027347+0.021207i,0.0019896-0.079623i,0.002259-0.017402i,-0.049234-0.0020299i,-0.021173-0.012339i,0.017736-0.0022849i,-0.010635+0.019936i,-0.02131-0.011327i
-0.025197-0.030303i,-0.024208-0.03805i,-0.023106-0.057604i,-0.031114-0.012976i,-0.0024883-0.0045109i,-0.048375-0.0062937i,-0.082509-0.0054259i,-0.060799-0.053128i,-0.049467-0.024279i,0.0070941+0.011833i,-0.00186+0.01471i,0.007125+0.014367i,0.01223-0.0033177i,-0.0071518+0.010207i,0.0032616+0.004255i,0.017637+0.014997i,0.050806+0.0095314i,0.0068673-0.0014293i,-0.0063465+0.0053266i,0.0059957-0.0046238i,0.0016677+0.0039751i,0.0041748+0.0067656i,-0.00024186+0.001216i,0.00033973+0.023996i,-0.0037202-0.0013713i,0.0035609-0.0026581i,0.0029536-0.0017921i,0.0042819+0.00015637i,-0.00087285-0.00052457i,-0.0034603-0.0020287i,-0.0030585-0.0037341i,-0.0042588-0.0012927i,-0.0066808-0.0032709i,-0.0011876-0.0047201i,0.00029233-0.0069629i,0.021827+0.012892i,-0.00042032-0.0078631i,-0.00027731-0.0039592i,0.0026181-0.008317i,-0.0059231+0.0046035i,0.0021324+0.0018329i,0.002981-0.0065995i,0.0052031-0.0017176i,-0.00062867+0.0075849i,0.016781-0.015357i,0.029599-0.001988i,-0.028183-0.084185i,-0.036521-0.031i,-0.011188-0.041436i,-0.010321-0.02981i,0.045109-0.099872i,-0.020601-0.10566i,0.046924-0.073164i,-0.0010947-0.066368i,0.0072822-0.0058847i,0.00080788-0.0066855i,-0.01342-0.034341i,0.0023375-0.0096729i,-0.014219-0.0079311i,-0.011963-0.012308i,-0.048879-0.00086396i,0.0097334+0.022606i,-0.0082604-0.0099057i,-0.0065984+0.0060697i,-0.0049437+0.0041736i,-0.019916-0.0031379i,0.0030482+0.013589i,0.016442-0.00294i,0.024785+0.0070916i,0.0071699-0.0030594i,-0.0046895+0.00081268i,-0.0057342+0.0025705i,-0.0076784+0.016652i,-0.0043329+0.00029621i,-0.027656+0.032383i,-0.0075167-0.0028917i,-0.0028711+0.009705i,-0.0025905+0.011954i,-0.0052006-0.0024348i,-0.0018767+0.0056185i,0.0010922-0.002429i,0.0016781+0.0026256i,0.00020717-0.0037319i,-0.0028723+0.0054025i,0.00047703-0.00025531i,-0.00426+0.01769i,-0.00052591-0.0036701i,-0.018486+0.016761i,-0.018794+0.024721i,-0.0066546-0.080319i,0.0026713-0.014851i,-0.045829+0.012073i,-0.029274-0.0096i,0.014008-0.0078613i,-0.0017731+0.015838i,-0.021785-0.0062365i
-0.027696-0.025497i,-0.032094-0.03638i,-0.03765-0.057942i,-0.029101-0.0099678i,-0.0085055-0.013302i,-0.047512+0.00409i,-0.066248+0.015531i,-0.063406-0.03639i,-0.045708-0.013821i,0.0094877+0.010017i,0.0039562+0.012869i,0.0092305+0.010602i,0.0067356-0.008876i,-0.00084023+0.012969i,0.0027781+0.0026934i,0.01474+0.010105i,0.042053-0.015487i,0.0056621-0.0043808i,-0.0020505+0.010576i,0.003447-0.0053666i,0.0032564+0.004357i,0.0063093+0.0038259i,5.1711e-05+0.0024008i,0.018552+0.019084i,-0.0039766+9.7114e-06i,0.002152-0.0038342i,0.0018408-0.0028007i,0.003759-0.00023243i,3.9008e-05+9.3223e-05i,-0.00469+0.0002964i,-0.0037679-0.0025636i,-0.0041016+0.00010211i,-0.0065867-0.00024063i,-0.0037239-0.0040583i,-0.0025709-0.0056803i,0.022844+0.0072942i,-0.0030237-0.0073232i,-0.002352-0.0037663i,-0.00068823-0.0080234i,-0.0020181+0.0017641i,0.002314+0.00089806i,-0.00073077-0.0051842i,0.0053937-0.0021169i,0.00044923+0.0063221i,0.015736-0.027869i,0.035363-0.017128i,-0.036805-0.075829i,-0.035623-0.021338i,-0.014442-0.045115i,-0.010833-0.030915i,0.010183-0.12072i,-0.046183-0.097984i,0.029485-0.090293i,-0.013432-0.061283i,0.0080983-0.0037769i,-0.0040092-0.0066979i,-0.023452-0.024339i,-0.0047384-0.013658i,-0.016174-0.0051136i,-0.021293-0.0079499i,-0.045132+0.018087i,0.01414+0.011253i,-0.012467-0.0051794i,-0.004567+0.0061251i,-0.003488+0.0069113i,-0.020175+0.0074837i,0.004471+0.0087141i,0.015718-0.010428i,0.025998-0.0059329i,0.0055143-0.007424i,-0.0068227+0.0032576i,-0.003647+0.0062193i,0.00073086+0.018905i,-0.0044816+0.0040606i,-0.020456+0.042834i,-0.0090169-0.0015305i,0.0011345+0.0075026i,0.0041+0.011291i,-0.0068203+0.0009594i,-0.0026676+0.0026321i,-0.0007639-0.0030401i,0.00091533+0.004256i,-0.0038504-0.003688i,-0.0021329+0.0020519i,-0.003111+0.0018996i,0.0028899+0.01916i,-0.0031513-0.0024445i,-0.0099382+0.019632i,-0.012436+0.026117i,-0.017964-0.078344i,0.006643-0.020798i,-0.037192+0.025936i,-0.032905+0.0001785i,0.0089777-0.012558i,0.00061026+0.0081514i,-0.020864-0.0050426i
-0.028429-0.022059i,-0.037098-0.033051i,-0.054446-0.051389i,-0.029303-0.0088983i,-0.020555-0.015175i,-0.042527+0.01314i,-0.049139+0.021201i,-0.062077-0.025534i,-0.042938-0.010299i,0.010518+0.0080012i,0.0057526+0.010251i,0.011244+0.005327i,-0.00032988-0.011019i,0.0056736+0.010408i,0.0021888+0.0021897i,0.013185+0.0080007i,0.023563-0.025665i,0.0050155-0.0060388i,0.0044133+0.010369i,0.00096963-0.0048474i,0.0056538+0.0024314i,0.0063698+0.0013075i,0.0022453+0.0031174i,0.026177+0.0034567i,-0.0020937+0.002441i,0.00050951-0.0040576i,-0.00010396-0.00087401i,0.0049219-0.0018875i,0.00035095-0.0010692i,-0.0028802+0.0034489i,-0.003398-0.001653i,-0.0040923+0.001111i,-0.0067994+0.0020563i,-0.0050414-0.00095059i,-0.0032685-0.0034562i,0.024566-0.0003686i,-0.0055603-0.0056811i,-0.004562-0.0032367i,-0.0035146-0.0079244i,-0.0042204-0.0015189i,0.0030088+0.00040026i,-0.0021093-0.0025031i,0.0044094-0.0038757i,0.0010591+0.0058183i,0.0059612-0.036678i,0.025413-0.036733i,-0.039282-0.068739i,-0.034097-0.014435i,-0.019495-0.045315i,-0.010424-0.03481i,-0.029762-0.118i,-0.068304-0.082038i,0.010246-0.095731i,-0.016493-0.047482i,0.014237+0.00061426i,-0.0070058-0.0040412i,-0.02514-0.010655i,-0.010888-0.013357i,-0.020921-0.00036449i,-0.020853+0.0013383i,-0.036261+0.034754i,0.012503+0.0036614i,-0.010203+0.0023642i,-0.0050434+0.0062318i,0.0012915+0.0091746i,-0.01375+0.015193i,0.0058971+0.0096758i,0.011682-0.022187i,0.01552-0.021358i,-0.001516-0.011695i,-0.0070115+0.0079255i,-0.0014567+0.0070357i,0.0083628+0.01643i,-0.0015203+0.006635i,-0.0029458+0.056076i,-0.011349+0.0013851i,0.001474+0.006625i,0.0079849+0.006333i,-0.0056256+0.007146i,-0.0037601+0.0044611i,-0.004305-0.0024168i,0.0042406+0.005234i,-0.0051217+0.0028703i,-0.0048227+0.0014685i,-0.000925+0.0075632i,0.0091623+0.015482i,-0.0047792-0.0016063i,-0.0036907+0.017206i,-0.0040797+0.027608i,-0.023718-0.070971i,-0.0014338-0.034828i,-0.017023+0.031476i,-0.029581+0.008202i,0.0070776-0.019341i,0.00048079+0.0020896i,-0.02161-0.00047936i
-0.029221-0.019585i,-0.046041-0.030784i,-0.069133-0.037728i,-0.028326-0.0043468i,-0.030397-0.0068538i,-0.036513+0.018755i,-0.03761+0.019866i,-0.061003-0.018457i,-0.04596-0.006634i,0.013371+0.0042039i,0.0091734+0.009545i,0.0085759-0.00077771i,-0.0084436-0.0079753i,0.0091282+0.0038554i,0.0020647+0.0015618i,0.012845+0.0071586i,0.0075185-0.024478i,0.0025681-0.008191i,0.0079154+0.0056261i,-0.00045257-0.0031657i,0.0061872-0.00093761i,0.0074913+0.0005586i,0.0041629+0.0017022i,0.022476-0.010313i,0.0014166+0.0014858i,-0.0002417-0.0031663i,0.0012236-0.0020017i,0.004883-0.0047841i,-0.00014882-0.00070961i,-0.00015238+0.0037601i,-0.0037017-0.0011858i,-0.0032454+0.0023716i,-0.0046793+0.0045877i,-0.0037333+0.0012648i,-0.0040155-0.0037562i,0.021669-0.008871i,-0.0064667-0.0024561i,-0.0055096-0.00092986i,-0.0072645-0.005178i,-0.0095573+0.0010339i,0.0026962-0.00063787i,-0.00094712-0.0018423i,0.003091-0.0050954i,0.0021218+0.0036531i,-0.0064629-0.03895i,0.0082979-0.039987i,-0.046044-0.068474i,-0.026386-0.008566i,-0.02313-0.044252i,-0.018661-0.041988i,-0.057913-0.1037i,-0.077067-0.056634i,-0.013222-0.097846i,-0.010689-0.043461i,0.021623-0.013276i,-0.0080328-0.00022084i,-0.02146-0.0062368i,-0.019905-0.0097447i,-0.019052+0.0093498i,-0.018574+0.0059975i,-0.016235+0.043789i,0.011185-0.00073136i,-0.0082292+0.0025782i,-0.0012388+0.0059394i,0.0040768+0.0058835i,-0.0064792+0.019418i,0.010821+0.0074363i,-0.0041375-0.028125i,-0.0035003-0.023262i,-0.0058391-0.0050633i,-0.0029675+0.01193i,0.0023104+0.0059716i,0.015044+0.0086987i,0.0021823+0.0052603i,0.023919+0.053372i,-0.0082161+0.0068839i,0.002746+0.0049793i,0.0084176+0.0015608i,0.00010973+0.009691i,-0.0055768+0.0060729i,-0.00597+0.0019465i,0.007377+0.0046943i,-0.002432+0.0060931i,-0.0067583+0.0042244i,0.0032215+0.0074036i,0.011728+0.01021i,-0.0050639+0.0012517i,0.001781+0.014402i,0.0042773+0.024985i,-0.028679-0.069866i,-0.020398-0.036401i,-0.002468+0.022901i,-0.026158+0.012796i,-0.0023268-0.026242i,-0.0028325-0.0019506i,-0.014803+0.0018431i
-0.031091-0.017356i,-0.054825-0.021022i,-0.078015-0.019417i,-0.025917-0.003096i,-0.03092+0.0048678i,-0.031912+0.022612i,-0.031678+0.016941i,-0.060575-0.012481i,-0.046524+0.0033018i,0.013695-0.00027434i,0.012776+0.0031337i,0.0028956-0.0013058i,-0.01171-0.00083865i,0.0060561-0.00082227i,0.001297+0.00089624i,0.015499+0.0043323i,-0.00174-0.017808i,-0.0017925-0.0082856i,0.0069672+0.0016918i,-0.00076274-0.0020488i,0.0035215-0.0026537i,0.0073225-0.0026157i,0.004104-0.00024223i,0.013865-0.018329i,0.0010793-0.001003i,-0.00042494-0.0032777i,0.00077515-0.0031106i,0.0017794-0.0058014i,0.0016834-2.7772e-05i,0.00074093+0.002612i,-0.0041852-0.0007195i,-0.0018853+0.0030148i,-0.0025223+0.0056049i,-0.0025296+0.0011513i,-0.0061072-0.00046382i,0.015797-0.014791i,-0.0052634-0.00028775i,-0.0044532+0.0017538i,-0.0066917-0.001734i,-0.0088192+0.0067492i,0.0022842-0.00091461i,-0.00076635-0.0017141i,0.00089654-0.0053096i,0.00099346+0.0018059i,-0.016764-0.034098i,0.0017512-0.031229i,-0.056235-0.066276i,-0.019271-0.010472i,-0.027451-0.043506i,-0.03007-0.039212i,-0.081848-0.086659i,-0.073087-0.036787i,-0.040179-0.087201i,-0.0085846-0.046945i,0.017204-0.025561i,-0.0061824+0.0023639i,-0.020524-1.409e-05i,-0.026574+0.00098471i,-0.01173+0.01631i,-0.014795+0.01217i,0.0049629+0.039831i,0.0087468-0.0062772i,-0.0084968+0.0045205i,-0.0010982+0.0039756i,0.0063773+0.0045249i,0.0022056+0.017165i,0.012646-0.00021945i,-0.019943-0.019426i,-0.015449-0.013162i,-0.0045539-0.00042581i,0.0039666+0.011936i,0.0036129+0.0040084i,0.017302+0.0014523i,0.0050591+0.0046969i,0.043606+0.03733i,-0.0043518+0.0068132i,0.002099+0.0047569i,0.0066876-0.003262i,0.0058484+0.0067323i,-0.00451+0.012263i,-0.0037001+0.0074376i,0.010138+0.00014654i,0.0026136+0.0064904i,-0.0059995+0.0075316i,0.0057267+0.0043564i,0.012296+0.0055845i,-0.0045174+0.0019943i,0.0045056+0.010011i,0.0093354+0.019818i,-0.035696-0.067433i,-0.032499-0.023389i,0.0041301+0.01129i,-0.014754+0.019248i,-0.013997-0.026679i,-0.010228-0.0020919i,-0.014763-0.0039211i
-0.033542-0.013648i,-0.057546-0.0084759i,-0.079104+0.00099941i,-0.025849-0.0023308i,-0.025985+0.012565i,-0.026665+0.026396i,-0.028611+0.013614i,-0.062263-0.0072272i,-0.040088+0.012364i,0.012141-0.0045823i,0.0096342-0.0025927i,0.0014794+0.0016014i,-0.010517+0.0054273i,0.0033947-0.0027748i,0.00032353+0.0013141i,0.016154-0.0011849i,-0.0031226-0.010016i,-0.0047169-0.005742i,0.0058344+0.00048972i,-0.00056078-0.0011505i,0.002397-0.0014245i,0.0053638-0.0043237i,0.003884-0.001048i,0.0052658-0.01959i,-0.0004359-0.0019892i,-0.0013648-0.0040921i,-0.0002883-0.0034269i,-0.00037557-0.0054458i,0.001635-0.0020189i,0.0019035+0.0023608i,-0.0042669-0.00020256i,-0.00057309+0.0031617i,-0.00016609+0.0046224i,-0.0024742+0.0024536i,-0.0042359+0.00092153i,0.0082056-0.018011i,-0.0036511+0.00057621i,-0.0024835+0.0030928i,-0.0081199-6.3189e-05i,-0.0050989+0.0098605i,0.0022355-0.0012391i,-0.0014744-0.0013526i,-0.00010753-0.0047514i,-0.0015519+0.0021389i,-0.023199-0.026966i,0.0076791-0.026497i,-0.069019-0.060134i,-0.017108-0.014704i,-0.031311-0.040751i,-0.036808-0.031806i,-0.10033-0.059575i,-0.07004-0.02782i,-0.050802-0.06141i,-0.01106-0.049448i,0.0071763-0.034726i,-0.0047781+0.002752i,-0.01668+0.0013577i,-0.022345+0.014475i,-0.003577+0.016286i,-0.0036938+0.013782i,0.014843+0.026551i,0.0037621-0.0088529i,-0.0072735+0.0074272i,-0.0017649+0.0036985i,0.0067289-0.00040499i,0.0071455+0.013215i,0.0068418-0.0035202i,-0.026344-0.0050182i,-0.017833-0.002599i,-0.0016026+0.00060727i,0.0067951+0.010033i,0.0028968+0.0025825i,0.014641-0.0093757i,0.0063595+0.00014816i,0.053459+0.015475i,-0.0039819+0.0083794i,0.0042711+0.0037365i,0.002275-0.005496i,0.006682+0.0028244i,0.0014221+0.01574i,0.0036454+0.0062884i,0.0076152-0.0042494i,0.0057243+0.0027887i,-0.0030534+0.011773i,0.0046374+0.0033907i,0.011422+0.0020511i,-0.0059281+0.0032246i,0.002546+0.0071494i,0.011759+0.015495i,-0.042424-0.063999i,-0.033136-0.0088638i,0.0023499+0.0014813i,-0.0042165+0.013335i,-0.025052-0.021836i,-0.013666+0.0067443i,-0.019907-0.002303i
-0.03535-0.0088446i,-0.056103+0.0015797i,-0.074136+0.01945i,-0.027327-0.00099765i,-0.019313+0.017157i,-0.020795+0.029358i,-0.029128+0.011525i,-0.064844+0.0018049i,-0.033323+0.015942i,0.0087909-0.007716i,0.0051498-0.003727i,0.0024883+0.0023975i,-0.0058492+0.0092229i,0.0005141-0.0035842i,0.00081705+0.0023839i,0.012314-0.0068598i,-0.0018679-0.008596i,-0.0051885-0.0021099i,0.0059402-0.0011094i,0.0002148-0.00032629i,0.003611-0.001419i,0.0034723-0.0040986i,0.0038591-0.0018339i,-0.0019806-0.018349i,-0.0012529-0.0014932i,-0.0032357-0.0031758i,-0.0015255-0.003471i,-0.0023389-0.0051709i,0.00075218-0.0026066i,0.0030066+0.00097491i,-0.0047675+0.00066461i,0.00068031+0.0025736i,0.0012278+0.0035551i,-0.00096769+0.003277i,-0.0042386+0.0018636i,0.00051304-0.015856i,-0.0033775+0.00022862i,-0.00037729+0.00307i,-0.0071728+0.0045417i,-0.0010042+0.011763i,0.0021238-0.0015383i,-0.00081834-2.8062e-05i,-0.001154-0.0051042i,-0.0011772+0.0054293i,-0.023705-0.019111i,0.016691-0.034485i,-0.081679-0.047468i,-0.018993-0.017328i,-0.033094-0.038996i,-0.041398-0.024803i,-0.1028-0.030102i,-0.068283-0.016216i,-0.04626-0.045238i,-0.013369-0.053412i,-0.0065698-0.038022i,-0.0031505+0.0032324i,-0.017448+0.0002491i,-0.012621+0.020679i,0.0013997+0.012883i,0.003+0.0059736i,0.015433+0.014156i,-0.0011819-0.0087984i,-0.0047059+0.0096749i,-0.002473+0.0046643i,0.0038014-0.0033172i,0.0094295+0.007792i,0.0045376-0.0019164i,-0.023724+0.0094288i,-0.014483+0.0064826i,-0.00083019+0.00091768i,0.01117+0.007343i,0.0025866+0.0021274i,0.005546-0.014134i,0.003761-0.0029176i,0.051477-0.0064433i,-0.00097653+0.010354i,0.0034479+0.0017562i,-0.0012398-0.0041192i,0.0061205+0.0014684i,0.0097081+0.015926i,0.0045839+0.0018479i,0.0053055-0.0055671i,0.0047584-0.00025536i,0.0033145+0.013198i,0.0051758+0.0023021i,0.01117-0.0015368i,-0.0040955+0.0078652i,0.0031808+0.0065772i,0.013799+0.012238i,-0.050286-0.060281i,-0.029013-0.00058643i,-0.0005205-0.0022134i,-0.003556+0.005803i,-0.033293-0.01275i,-0.0083614+0.010197i,-0.019347+0.001412i
-0.035323-0.0037132i,-0.052522+0.0098181i,-0.063416+0.034255i,-0.02785+0.0029155i,-0.011524+0.01793i,-0.015088+0.030666i,-0.030537+0.013032i,-0.064197+0.012846i,-0.028368+0.017996i,0.0052108-0.0093423i,0.0025373-0.0029877i,0.0042568+0.0018491i,-0.0015892+0.010182i,-0.0027026-0.0019875i,0.0013296+0.0022978i,0.0069624-0.0088907i,-0.0044288-0.010688i,-0.0045936-0.00027017i,0.0049864-0.0026414i,0.0010681-0.00058836i,0.0038293-0.0029586i,0.003054-0.0037309i,0.0034567-0.0029126i,-0.0080387-0.015414i,-0.0019663-0.0013062i,-0.004047-0.0014908i,-0.0029229-0.0027175i,-0.0038502-0.0036205i,0.00021861-0.0028469i,0.0025443-0.0011513i,-0.0048313+0.0026294i,0.0011221+0.0021406i,0.0020367+0.0026241i,0.0012157+0.0024719i,-0.0032927+0.0029971i,-0.0028598-0.011428i,-0.0034529+0.00063053i,0.0011282+0.0017386i,-0.0032161+0.0057731i,0.0048606+0.011563i,0.0018811-0.0019813i,-0.00012648+0.00021077i,-0.0027875-0.0050742i,0.0015585+0.0051556i,-0.021045-0.016348i,0.014757-0.0514i,-0.088563-0.029774i,-0.019608-0.018533i,-0.035825-0.041229i,-0.043649-0.016585i,-0.098938-0.0086041i,-0.063692-0.0076525i,-0.042429-0.035693i,-0.02035-0.056431i,-0.021287-0.036307i,-0.002141+0.0025834i,-0.023041+0.0022691i,-0.0031772+0.019889i,0.0037946+0.0087206i,0.0025998-0.0011431i,0.011933+0.007562i,-0.0058952-0.0084577i,-0.0011166+0.010557i,-0.0017547+0.005799i,0.00096166-0.0034898i,0.0077604+0.0030271i,0.0043471-0.0011789i,-0.014828+0.017303i,-0.008079+0.012035i,0.0011302+3.8062e-05i,0.014005+0.00075465i,0.0022205+0.0024334i,-0.0022957-0.012349i,0.00091962-0.0032804i,0.041402-0.022942i,0.0038856+0.011039i,0.0026421+0.0018714i,-0.003654-0.0015751i,0.0062783-0.0016267i,0.016975+0.011167i,0.0032167-0.0016678i,0.0023971-0.0072479i,0.003106-0.0021624i,0.0088037+0.010532i,0.0055324+0.001934i,0.0075233-0.0055824i,0.00041826+0.0091518i,0.0043381+0.0045194i,0.016598+0.0079965i,-0.059401-0.05328i,-0.023842+0.0067502i,-0.0031549-0.004817i,-0.0063422+0.0032792i,-0.036858-0.0015717i,-0.0057012+0.0089191i,-0.017011+0.0038146i
