-0.0075366-0.039516i,-0.012423-0.043551i,0.0023184-0.045754i,-0.026329-0.028234i,-0.020674+0.013982i,-0.032576-0.032842i,-0.060611-0.061709i,-0.021837-0.072335i,-0.034138-0.051768i,0.0012889+0.014648i,-0.007223+0.010809i,-0.015009+0.014087i,0.0017775+0.016692i,-0.0034507-0.0034566i,0.00047258+0.0065797i,0.00028775+0.039008i,0.019502+0.06017i,0.00068291-0.00075138i,-0.0051039-0.0084629i,0.0087059+0.0049954i,0.0016803+0.001138i,-0.0010582+0.0034465i,0.00013515-0.001296i,-0.036404-0.0096696i,-0.0024621-0.0075919i,-0.00022426+0.0044562i,0.0047496-1.8119e-05i,0.00018122+0.00088613i,-7.2537e-05-0.0010155i,-8.4775e-05-0.0027526i,-0.001311-0.0060745i,-0.0023642-0.004161i,-0.00055924-0.0078274i,0.0032071-0.0013779i,0.0030261-0.0023611i,-0.0015542+0.033554i,0.0060292-0.0040795i,0.0038001-0.0023642i,0.0049081+0.00019433i,-0.013745-0.0048045i,-0.00026913+0.0004565i,0.0099216-0.00098237i,0.0056469-0.0006016i,-0.0037286+0.0035941i,0.0035248+0.0023999i,-0.003129+0.008388i,0.015216-0.087215i,-0.0064051-0.048061i,-0.023964-0.038968i,-0.019079-0.042032i,0.062968-0.014844i,0.028004-0.060721i,0.038864-0.045136i,0.029902-0.056529i,0.019587-0.015674i,0.00834+0.0095764i,0.024965-0.031289i,-0.0072898-0.0050337i,0.0024353-0.0023448i,-0.0045253-0.0066663i,0.0013272-0.032397i,-0.024687+0.030707i,0.0077639-0.010225i,-0.010909-0.0016142i,-0.0052379-0.0012933i,-0.0011285-0.013819i,-0.0096842+0.0040208i,0.0034029+0.0080544i,-0.011313+0.031115i,0.0053329+0.0076567i,-0.0055164-0.0013535i,-0.0019969-0.0024478i,-0.01122-0.0075839i,0.00053396-0.0035118i,-0.035123+0.0048518i,0.0022438-0.012869i,-0.009098-0.0021302i,-0.006375-0.0028517i,0.0061885+0.0015384i,-0.0096035+0.0014446i,0.0011653+0.00078415i,0.005659+0.0090947i,0.0045333+0.00057966i,-0.0086411-0.0090493i,0.0026943+0.00887i,-0.01906+0.0066881i,0.0065906+0.0032575i,-0.02883-0.0086284i,-0.034097+0.0026209i,0.025908-0.077473i,0.012656-0.01076i,-0.042595-0.027446i,-0.023269-0.0039461i,0.017985+0.012695i,-0.026446+0.011859i,-0.011878-0.0082239i
-0.01536-0.038577i,-0.018667-0.036996i,-0.0046868-0.049876i,-0.029544-0.024957i,-0.010801+0.011764i,-0.040457-0.025634i,-0.068222-0.047499i,-0.031049-0.069704i,-0.039979-0.040887i,0.0026987+0.013165i,-0.0062645+0.0091329i,-0.0071224+0.020269i,0.010159+0.012391i,-0.0081103-0.00044784i,0.0014992+0.0059493i,0.0096785+0.032448i,0.034222+0.043625i,0.0018107+0.0016668i,-0.0084178-0.0033015i,0.0092151+0.0006208i,0.00030756+0.001869i,-0.0010274+0.0038749i,-0.00050207-0.00024704i,-0.02519+0.011592i,-0.0049744-0.0052582i,0.0031464+0.0026982i,0.0035137-0.00033701i,0.00055266+0.0028291i,0.0011624-0.0011544i,-0.0013621-0.0027198i,-0.0016369-0.0048569i,-0.002745-0.0035491i,-0.0026479-0.0072001i,0.0021016-0.0030573i,0.0021751-0.0017824i,0.0092934+0.03032i,0.0050719-0.0061632i,0.0020921-0.0033716i,0.0070113-0.0011428i,-0.009025-0.00068005i,4.9221e-05+0.0018981i,0.0080865-0.0026245i,0.0043417-0.00019571i,-0.0049121+0.005103i,0.010962+0.0005456i,0.0085238+0.011249i,-0.00058804-0.089867i,-0.020365-0.050081i,-0.017688-0.032252i,-0.019992-0.028546i,0.067004-0.043153i,0.026956-0.08111i,0.041399-0.046112i,0.020222-0.065586i,0.0089044-0.0097829i,0.0077794+9.293e-06i,0.011488-0.034615i,-0.0066822+0.00050354i,0.00077913-0.011009i,-0.0059537-0.0071351i,-0.022202-0.033609i,-0.0097501+0.029405i,0.0019404-0.012906i,-0.01165+0.0017107i,-0.0044644+0.00051868i,-0.0073803-0.012822i,-0.010422+0.0085371i,0.0073272+0.009038i,0.0081503+0.030001i,0.0070325+0.0021907i,-0.0045352+0.0016878i,-0.0043434-0.0021831i,-0.015694+0.0012325i,0.00018962-0.0027719i,-0.038224+0.011859i,-0.004452-0.010546i,-0.0094618+0.0020031i,-0.0082056+0.00047608i,0.0041265-0.0038151i,-0.0081488+0.0046886i,0.002451-0.00092239i,0.004898+0.0033143i,0.0033962-0.00073249i,-0.012494-0.0012486i,0.0040965+0.0056425i,-0.013282+0.013513i,0.006469-0.00099653i,-0.029207+0.0022488i,-0.032861+0.012248i,0.011918-0.079717i,0.0084134-0.016974i,-0.049512-0.014259i,-0.01678-0.0060045i,0.018965+0.0058777i,-0.020218+0.018648i,-0.017561-0.013778i
-0.020876-0.034648i,-0.020554-0.03559i,-0.013528-0.053697i,-0.032691-0.019384i,-0.0042533+0.0051637i,-0.045848-0.016837i,-0.077845-0.032103i,-0.045532-0.06639i,-0.044018-0.033953i,0.0044945+0.012034i,-0.0056273+0.012574i,0.0027395+0.019166i,0.013291+0.0043668i,-0.0089134+0.0040313i,0.0028633+0.0057591i,0.015473+0.024569i,0.043346+0.029363i,0.0049513+0.0017591i,-0.0075573+0.0018001i,0.0082521-0.0022642i,0.00020545+0.0027881i,0.00044516+0.0059242i,-0.00013652+0.00046785i,-0.011557+0.019021i,-0.0049617-0.0024845i,0.0043995-4.6119e-05i,0.0030368-0.0012321i,0.0033854+0.003169i,-0.00023279-0.0021531i,-0.002006-0.0022739i,-0.002531-0.0045622i,-0.0036281-0.0025105i,-0.0048966-0.0059333i,0.00097075-0.0043104i,0.0038084-0.0042888i,0.018613+0.022838i,0.002312-0.0073164i,0.00089879-0.0037379i,0.0067719-0.0061154i,-0.0087948+0.00024156i,0.001147+0.002383i,0.0063858-0.0049109i,0.0051832+0.00029702i,-0.0033379+0.0074528i,0.015634-0.0077973i,0.020022+0.0064008i,-0.015822-0.088778i,-0.032687-0.041916i,-0.0097544-0.03554i,-0.012467-0.027504i,0.060902-0.069749i,0.0078973-0.10114i,0.047355-0.053369i,0.0077392-0.067184i,0.0074948-0.0073656i,0.0046895-0.0032792i,0.00095994-0.037209i,0.0026009+7.7492e-05i,-0.0091646-0.013505i,-0.0061631-0.0092002i,-0.04087-0.022392i,-0.00095292+0.026916i,-0.0043916-0.011822i,-0.0090618+0.0048736i,-0.005683+0.0014107i,-0.0143-0.010238i,-0.0056073+0.014943i,0.013635+0.0043572i,0.020789+0.018669i,0.0069842+8.4518e-07i,-0.0040201+0.0014082i,-0.0053492-0.00042612i,-0.01258+0.010234i,-0.0026925-0.0029294i,-0.032905+0.023368i,-0.0071202-0.0059346i,-0.0078102+0.0068611i,-0.0084098+0.0069794i,-0.00086184-0.0049147i,-0.0060317+0.0062202i,0.0016069-0.0024647i,0.0028589+0.0019586i,0.0028943-0.0018887i,-0.0082554+0.0053075i,0.0040518+0.0024711i,-0.0077331+0.01567i,0.0034695-0.0044616i,-0.025074+0.010916i,-0.026556+0.021351i,0.0020755-0.078866i,0.0017706-0.017942i,-0.049208-0.0015019i,-0.021366-0.012226i,0.017751-0.0022755i,-0.0099989+0.019922i,-0.021588-0.011173i
-0.024623-0.030232i,-0.025067-0.036461i,-0.023962-0.056297i,-0.0312-0.013004i,-0.0025993-0.0039952i,-0.047929-0.0059608i,-0.081929-0.005428i,-0.060871-0.052783i,-0.049471-0.023909i,0.0066597+0.011145i,-0.0008929+0.014946i,0.0075587+0.013623i,0.011919-0.0034765i,-0.0070518+0.0095693i,0.0032607+0.004117i,0.017416+0.01461i,0.050458+0.0090145i,0.0064646-0.0013256i,-0.0061486+0.0054604i,0.0057849-0.0047517i,0.0016367+0.0040386i,0.0039378+0.0066378i,-0.00011256+0.00096865i,-0.00027545+0.024259i,-0.0041431-0.0011739i,0.0034727-0.0023117i,0.0030054-0.0016231i,0.0043763-9.0096e-05i,-0.0008127-0.00066305i,-0.0033581-0.0018769i,-0.0033493-0.003685i,-0.0040723-0.0013681i,-0.0063078-0.0036791i,-0.0011634-0.0047782i,0.00012166-0.0066614i,0.021005+0.012996i,-0.00047056-0.0077503i,-0.00036009-0.0039444i,0.0027471-0.0087738i,-0.0063577+0.0042963i,0.0023285+0.0017822i,0.0030824-0.0064014i,0.0053947-0.0015137i,-0.00051351+0.0073963i,0.017597-0.015178i,0.028985-0.0030003i,-0.029744-0.08353i,-0.036309-0.030563i,-0.010932-0.040671i,-0.010947-0.02968i,0.044678-0.098914i,-0.020918-0.10588i,0.046464-0.073288i,-0.001876-0.066463i,0.0066201-0.0055873i,0.00060237-0.0061106i,-0.012821-0.034075i,0.0026345-0.0091368i,-0.013878-0.0082542i,-0.012563-0.012213i,-0.049249-0.0010955i,0.0098146+0.021966i,-0.0088869-0.0092214i,-0.0061613+0.005832i,-0.0049876+0.0041165i,-0.019608-0.0031794i,0.0032743+0.013877i,0.016708-0.002525i,0.024854+0.0071118i,0.0076551-0.0026662i,-0.004672+0.0013768i,-0.0056669+0.0026076i,-0.0073053+0.016785i,-0.0046359+8.3146e-05i,-0.027515+0.032307i,-0.0077101-0.0032807i,-0.0025827+0.0094864i,-0.0025632+0.011933i,-0.0049086-0.0024824i,-0.0023072+0.0054591i,0.0010498-0.0024951i,0.0017956+0.0021409i,0.0006347-0.0037003i,-0.0028102+0.0044491i,0.00074019-0.00072763i,-0.0037527+0.017738i,-0.00068035-0.0040843i,-0.018277+0.01737i,-0.017915+0.024529i,-0.0062976-0.079778i,0.0025257-0.015384i,-0.045528+0.012073i,-0.029273-0.0094497i,0.014431-0.0083445i,-0.001387+0.015817i,-0.021868-0.0063389i
-0.02694-0.025863i,-0.032631-0.03454i,-0.038528-0.056618i,-0.028877-0.0099553i,-0.0083579-0.012411i,-0.047089+0.0044611i,-0.065847+0.015685i,-0.063416-0.036068i,-0.045853-0.013902i,0.008939+0.009458i,0.0044741+0.01285i,0.0093631+0.0098577i,0.0064796-0.0087764i,-0.00096712+0.012258i,0.0029523+0.0025924i,0.014394+0.010116i,0.041406-0.015723i,0.0054114-0.004409i,-0.0017648+0.010562i,0.0031512-0.0052752i,0.0029943+0.0044619i,0.0062351+0.0038572i,3.0047e-05+0.002191i,0.018323+0.019443i,-0.0043482+0.00054614i,0.0023026-0.0034364i,0.001892-0.0027158i,0.0040097-0.00021153i,-3.2698e-05+0.00012444i,-0.004532+0.00028147i,-0.0040908-0.0024464i,-0.0040457+6.2962e-05i,-0.0061834-0.00077447i,-0.0036579-0.0038886i,-0.0026612-0.005449i,0.022128+0.0076848i,-0.0028898-0.0071723i,-0.0023569-0.0036827i,-0.00070496-0.0079401i,-0.0022375+0.0014728i,0.0025454+0.00087217i,-0.00030635-0.0049584i,0.0053347-0.0023377i,0.00047774+0.0060659i,0.016177-0.027907i,0.03453-0.017667i,-0.038372-0.074842i,-0.035397-0.021077i,-0.014161-0.044576i,-0.011041-0.030479i,0.010483-0.1197i,-0.046423-0.09823i,0.028854-0.090463i,-0.013846-0.061542i,0.007184-0.003297i,-0.0039119-0.0062979i,-0.022765-0.024469i,-0.00425-0.013143i,-0.016169-0.0053401i,-0.022085-0.0073674i,-0.045686+0.01812i,0.014396+0.010735i,-0.012512-0.0045046i,-0.0041777+0.0060744i,-0.0036244+0.0069247i,-0.019901+0.0073122i,0.0047739+0.0086536i,0.016067-0.010193i,0.026415-0.0059868i,0.0059128-0.0073564i,-0.0068138+0.0038494i,-0.0035586+0.0060909i,0.0010924+0.018938i,-0.0045715+0.0037183i,-0.020062+0.042627i,-0.0094196-0.0015281i,0.0010847+0.0071614i,0.0039736+0.011273i,-0.0065279+0.00098137i,-0.0028081+0.0026439i,-0.00077058-0.0033679i,0.0011042+0.004041i,-0.0034734-0.0036624i,-0.0023409+0.0016473i,-0.0027527+0.0015444i,0.0031887+0.01898i,-0.0030262-0.0028257i,-0.0094776+0.019921i,-0.012157+0.025955i,-0.01823-0.077878i,0.0066557-0.020974i,-0.037239+0.025973i,-0.032936+0.00053316i,0.0092408-0.012884i,0.00058357+0.0082218i,-0.020977-0.0056763i
-0.027644-0.02252i,-0.037249-0.031109i,-0.054988-0.049931i,-0.029045-0.0089524i,-0.020033-0.014068i,-0.042046+0.013533i,-0.048805+0.021471i,-0.062032-0.025189i,-0.043301-0.010227i,0.010117+0.007656i,0.0064946+0.0098858i,0.011217+0.0048661i,-0.00059248-0.010849i,0.0051979+0.010165i,0.0023047+0.0019907i,0.013071+0.008101i,0.02294-0.02558i,0.004762-0.0058186i,0.0047838+0.010397i,0.00086231-0.0046676i,0.0056111+0.0025233i,0.0062712+0.0013229i,0.00215+0.0029991i,0.026125+0.0042527i,-0.0024081+0.0029384i,0.00066367-0.0038398i,1.7616e-06-0.0010512i,0.0052115-0.0019027i,0.00028274-0.00090079i,-0.0028546+0.0034578i,-0.003538-0.001253i,-0.0040195+0.0011597i,-0.006535+0.0017656i,-0.0049813-0.00082219i,-0.0030796-0.0036385i,0.024044+0.00048308i,-0.005417-0.005602i,-0.0044519-0.0030381i,-0.0034995-0.0079065i,-0.0044986-0.0016261i,0.0032398+0.00032412i,-0.0017618-0.0022784i,0.0042687-0.0040851i,0.0010851+0.0057334i,0.0065405-0.03695i,0.024665-0.036887i,-0.0407-0.067651i,-0.033997-0.014153i,-0.019195-0.044962i,-0.01037-0.034391i,-0.028933-0.11716i,-0.068502-0.082268i,0.0095482-0.095679i,-0.016624-0.047749i,0.013632+0.00084137i,-0.0067836-0.0037279i,-0.024773-0.011014i,-0.010127-0.013048i,-0.020568-0.00044454i,-0.02134+0.0020847i,-0.036459+0.035018i,0.012951+0.0032845i,-0.010054+0.0024632i,-0.0048398+0.0062382i,0.0012684+0.0092264i,-0.013425+0.014835i,0.0060775+0.0095915i,0.011798-0.021904i,0.015504-0.021447i,-0.001434-0.011349i,-0.0070749+0.0083531i,-0.0016439+0.0070952i,0.0087195+0.016353i,-0.0018177+0.0063768i,-0.0023643+0.055855i,-0.011536+0.0017545i,0.0016843+0.006256i,0.0080672+0.0061522i,-0.0054081+0.0068797i,-0.0036821+0.0044493i,-0.0040658-0.0028567i,0.004186+0.0048779i,-0.0048979+0.0028186i,-0.0048967+0.0014457i,-0.00061157+0.0068416i,0.0092564+0.015104i,-0.0048265-0.0017675i,-0.0035472+0.017316i,-0.0040742+0.027419i,-0.024002-0.070493i,-0.0015836-0.034769i,-0.016953+0.031387i,-0.029509+0.0086211i,0.0072335-0.019475i,0.00017805+0.0020931i,-0.021443-0.0010717i
-0.028571-0.020194i,-0.045573-0.028875i,-0.068981-0.036125i,-0.028345-0.0042388i,-0.029451-0.0061515i,-0.035989+0.019057i,-0.03728+0.020232i,-0.060655-0.017993i,-0.046261-0.0060919i,0.012778+0.0043425i,0.009514+0.0086771i,0.0086052-0.0011192i,-0.0086408-0.0077116i,0.0087464+0.0041184i,0.0021047+0.0015139i,0.012638+0.0070809i,0.0071409-0.024274i,0.0025352-0.0080309i,0.0083688+0.0053945i,-0.00046332-0.0029907i,0.0062392-0.0010178i,0.007432+0.00099078i,0.0040769+0.00172i,0.022724-0.0093729i,0.0014537+0.0020496i,9.2381e-05-0.0030984i,0.0012706-0.0019655i,0.0047195-0.0048652i,-2.9856e-05-0.00075631i,-0.00010898+0.0035636i,-0.003665-0.0008678i,-0.0031711+0.0024713i,-0.004492+0.0041585i,-0.0036687+0.0013459i,-0.0039853-0.003777i,0.021336-0.0079157i,-0.0063273-0.0024641i,-0.0052698-0.00091092i,-0.007457-0.0054119i,-0.0094825+0.00090292i,0.0029578-0.00080038i,-0.00046545-0.0017417i,0.0026593-0.0054382i,0.0021437+0.0037694i,-0.0060383-0.039696i,0.0078844-0.040081i,-0.04727-0.067347i,-0.026416-0.0083528i,-0.023173-0.043846i,-0.018089-0.041528i,-0.057228-0.10319i,-0.077687-0.056984i,-0.013788-0.097736i,-0.010714-0.043807i,0.021078-0.013182i,-0.0078806-3.8263e-05i,-0.021138-0.0064404i,-0.019085-0.0095303i,-0.019337+0.0093691i,-0.018857+0.0064937i,-0.01641+0.044324i,0.011259-0.00086904i,-0.0082426+0.0027389i,-0.0010982+0.0063601i,0.0041343+0.0059656i,-0.0063599+0.018932i,0.010862+0.0073681i,-0.0039371-0.027843i,-0.0033129-0.023525i,-0.0051866-0.0044706i,-0.0029827+0.012137i,0.0021921+0.006191i,0.015124+0.0086162i,0.0021739+0.0053082i,0.024303+0.053218i,-0.0081291+0.0070595i,0.0028256+0.0048902i,0.008587+0.0013535i,0.00040314+0.0093584i,-0.0055326+0.0059084i,-0.005711+0.002028i,0.0074369+0.0043419i,-0.0022405+0.0060007i,-0.0063564+0.0038113i,0.003339+0.0070493i,0.011724+0.0098358i,-0.0052443+0.0013551i,0.0019253+0.014595i,0.0042611+0.024869i,-0.028931-0.06931i,-0.020747-0.036103i,-0.0020929+0.022901i,-0.026311+0.013263i,-0.0022548-0.02656i,-0.0036538-0.0016328i,-0.015054+0.0011248i
-0.030755-0.018203i,-0.054154-0.019522i,-0.07718-0.018194i,-0.02586-0.0031331i,-0.029866+0.0052687i,-0.031277+0.022909i,-0.03123+0.017434i,-0.060292-0.011943i,-0.046476+0.0040767i,0.013065-3.583e-05i,0.012334+0.0024715i,0.0028886-0.0017129i,-0.011677-0.00066174i,0.0059311-0.0004971i,0.0012827+0.00078772i,0.015392+0.0044286i,-0.0020505-0.017562i,-0.0017541-0.0081323i,0.0075635+0.0012852i,-0.00066685-0.0018797i,0.003458-0.0029831i,0.0070716-0.0020326i,0.0040099-0.00025271i,0.014361-0.017326i,0.0011877-0.00075202i,-0.00015651-0.0034423i,0.00093692-0.0030046i,0.0015305-0.0057649i,0.001627+5.3569e-05i,0.00093186+0.0024734i,-0.003903-0.00044718i,-0.0018457+0.0029952i,-0.0022873+0.0052565i,-0.0024615+0.0013078i,-0.0057711-0.00078938i,0.015824-0.01394i,-0.0049912-0.00020223i,-0.0043048+0.001676i,-0.006959-0.0019396i,-0.008667+0.0066211i,0.0022591-0.0010875i,-0.00038155-0.0015428i,0.00040489-0.005638i,0.00084411+0.0018041i,-0.016713-0.03522i,0.0014205-0.031091i,-0.057313-0.065097i,-0.019487-0.010221i,-0.027659-0.042913i,-0.029891-0.038744i,-0.081028-0.08662i,-0.073557-0.036966i,-0.040905-0.086964i,-0.0086934-0.04742i,0.016889-0.025422i,-0.0060893+0.0022276i,-0.02028-0.00049195i,-0.02594+0.00059299i,-0.012198+0.016418i,-0.015235+0.012699i,0.0048249+0.040459i,0.009083-0.0060432i,-0.0083421+0.0044644i,-0.0010453+0.0043389i,0.0065789+0.004571i,0.0026316+0.017169i,0.012931-0.00053118i,-0.019578-0.019141i,-0.015197-0.013095i,-0.0040608-0.00048303i,0.0037962+0.011876i,0.0035456+0.0040044i,0.017139+0.0013441i,0.004805+0.0049497i,0.043976+0.03721i,-0.0041418+0.0067652i,0.0025934+0.0046781i,0.0067037-0.0034359i,0.0055915+0.0062945i,-0.00457+0.011976i,-0.0032988+0.0075478i,0.010151+0.00010667i,0.0027278+0.0062129i,-0.0059989+0.0071733i,0.0058928+0.0044454i,0.012388+0.0052714i,-0.0047218+0.0023226i,0.0044705+0.0099622i,0.0094828+0.019514i,-0.035753-0.067216i,-0.032637-0.023252i,0.0043065+0.011201i,-0.014831+0.019469i,-0.013853-0.026996i,-0.010557-0.0017195i,-0.014279-0.004062i
-0.033309-0.014742i,-0.056615-0.0071993i,-0.078329+0.0019049i,-0.026191-0.0021946i,-0.025168+0.012562i,-0.025892+0.026476i,-0.028128+0.014268i,-0.062022-0.0064375i,-0.039967+0.013093i,0.01154-0.0043622i,0.0092007-0.0027809i,0.0014221+0.0013873i,-0.010186+0.0054706i,0.0031491-0.0024516i,0.00017412+0.0012037i,0.016196-0.00116i,-0.0032377-0.0099515i,-0.0046421-0.0055724i,0.0060479-0.00011948i,-0.00042014-0.00092549i,0.0024394-0.0015553i,0.0051921-0.0038851i,0.0037045-0.0010554i,0.0060265-0.019029i,-0.00013308-0.0019872i,-0.0012866-0.0044514i,-0.00019305-0.0033881i,-0.00038104-0.0053972i,0.0015709-0.0018151i,0.0018448+0.0020469i,-0.0039664+1.3398e-05i,-0.00044931+0.0031437i,-0.00014763+0.0044327i,-0.002142+0.0025591i,-0.0039247+0.0004842i,0.0084846-0.01733i,-0.0034958+0.00044562i,-0.0024379+0.0029083i,-0.00794-9.4707e-05i,-0.0051962+0.0097938i,0.0021004-0.0010914i,-0.0011057-0.0012903i,-0.00054843-0.0046849i,-0.0016992+0.0021795i,-0.023412-0.027986i,0.0071488-0.026615i,-0.069722-0.058596i,-0.01761-0.014177i,-0.031453-0.040086i,-0.03636-0.03125i,-0.10048-0.059794i,-0.070367-0.027719i,-0.051283-0.061043i,-0.011159-0.050076i,0.0069065-0.034682i,-0.0046454+0.002639i,-0.016773+0.00089282i,-0.022217+0.01411i,-0.0038273+0.016662i,-0.003754+0.014395i,0.014936+0.027139i,0.0042698-0.008679i,-0.0070166+0.0071407i,-0.001824+0.004061i,0.0068061-0.00026858i,0.0073716+0.013193i,0.0071391-0.0036977i,-0.026166-0.0048716i,-0.017557-0.002619i,-0.0016297+0.00070318i,0.0063933+0.0097702i,0.0026162+0.0026645i,0.014287-0.009394i,0.0063332+0.00050803i,0.054038+0.014915i,-0.0037426+0.0085101i,0.0045347+0.003558i,0.0022231-0.0056114i,0.0060416+0.0028481i,0.0014002+0.015732i,0.0038598+0.0059103i,0.0075824-0.0042683i,0.0057846+0.0024505i,-0.0030131+0.011595i,0.0049155+0.0034906i,0.011278+0.0019865i,-0.0058967+0.0034693i,0.0025087+0.0072109i,0.011651+0.015302i,-0.042914-0.063849i,-0.033492-0.0089979i,0.0025733+0.0015014i,-0.0046982+0.013611i,-0.025346-0.021654i,-0.014004+0.0069023i,-0.019456-0.0024881i
-0.035247-0.0099233i,-0.055119+0.0024953i,-0.073066+0.020054i,-0.027778-0.00047769i,-0.018744+0.017081i,-0.020119+0.029267i,-0.028686+0.012009i,-0.06441+0.0024386i,-0.032927+0.016608i,0.0082983-0.007034i,0.0049662-0.0038244i,0.0024936+0.0023733i,-0.0056383+0.0089645i,0.00033839-0.0030593i,0.00065317+0.0023892i,0.012563-0.0068604i,-0.0019854-0.0085832i,-0.0050093-0.0016752i,0.0057557-0.0015305i,0.00043855-0.00031646i,0.0036966-0.0016986i,0.0032194-0.0039474i,0.0037365-0.0017385i,-0.0011169-0.018072i,-0.0010265-0.0016922i,-0.0034001-0.0033969i,-0.0013042-0.0032135i,-0.0022475-0.0050978i,0.00082299-0.0024475i,0.0028006+0.0007052i,-0.0045079+0.00084213i,0.00062654+0.0026906i,0.0010646+0.0035462i,-0.00060315+0.0030023i,-0.0040423+0.001431i,0.0010151-0.015498i,-0.0032529-4.8642e-05i,-0.00041717+0.0029123i,-0.0068621+0.0041151i,-0.001085+0.011906i,0.0021286-0.0013554i,-0.00060026-3.1854e-05i,-0.0014203-0.0048511i,-0.0012841+0.0054838i,-0.024243-0.020104i,0.016119-0.034437i,-0.081808-0.045857i,-0.019294-0.01649i,-0.033188-0.037875i,-0.041189-0.02442i,-0.10341-0.030115i,-0.068551-0.016041i,-0.046551-0.045121i,-0.014225-0.054115i,-0.0065763-0.037898i,-0.0031623+0.0031164i,-0.017626+6.204e-06i,-0.012467+0.020317i,0.00158+0.013055i,0.0031719+0.006323i,0.015494+0.014379i,-0.0011496-0.0086164i,-0.0045223+0.0093723i,-0.0023238+0.0049558i,0.0038924-0.0033543i,0.0096944+0.0076278i,0.0046851-0.0019367i,-0.023284+0.0096339i,-0.014563+0.0063615i,-0.00065829+0.00084381i,0.010687+0.0070984i,0.0025127+0.0022773i,0.005543-0.013942i,0.0037046-0.0025629i,0.051757-0.0070174i,-0.00042358+0.010176i,0.0037796+0.0016063i,-0.001201-0.0040261i,0.0056511+0.0015399i,0.0094752+0.016001i,0.0047969+0.0014514i,0.0052754-0.0055156i,0.0047512-0.0002742i,0.0033995+0.012593i,0.0051975+0.002414i,0.01107-0.0015784i,-0.0041794+0.0080318i,0.0032109+0.0065888i,0.013801+0.012001i,-0.050687-0.060556i,-0.029421-0.00023184i,-0.00062727-0.0023335i,-0.0039779+0.00576i,-0.033673-0.012485i,-0.0084892+0.0097633i,-0.018761+0.0013926i
-0.035624-0.004835i,-0.051707+0.010621i,-0.062408+0.034514i,-0.027829+0.0038183i,-0.011022+0.017732i,-0.014425+0.030503i,-0.029851+0.013336i,-0.063761+0.013302i,-0.027853+0.018487i,0.0050112-0.0084895i,0.0023549-0.0029017i,0.0042237+0.001776i,-0.0014752+0.010001i,-0.0027037-0.0017303i,0.0011793+0.002455i,0.0073044-0.0088015i,-0.0044863-0.010531i,-0.004154-2.2612e-05i,0.004638-0.0029855i,0.0010337-0.00062042i,0.0038914-0.0030473i,0.0029463-0.0035394i,0.0033925-0.0027126i,-0.0070558-0.015584i,-0.0017429-0.0014821i,-0.0040626-0.0016334i,-0.0027972-0.0024724i,-0.0038138-0.003543i,0.0002341-0.0028313i,0.002429-0.001424i,-0.0045195+0.0026399i,0.00097098+0.0021908i,0.0019774+0.0026213i,0.0012723+0.0022146i,-0.0032242+0.0026664i,-0.0024298-0.011486i,-0.003264+0.00043821i,0.00095287+0.0014752i,-0.0030347+0.0054515i,0.0047758+0.01173i,0.0019308-0.0018945i,0.00037171-7.0489e-06i,-0.0030234-0.0049818i,0.0015167+0.0053005i,-0.022031-0.017005i,0.013998-0.051384i,-0.088326-0.028433i,-0.019672-0.017834i,-0.035722-0.039964i,-0.043544-0.016051i,-0.099717-0.0085077i,-0.063947-0.0071596i,-0.042942-0.035935i,-0.021104-0.056546i,-0.021583-0.036062i,-0.0024391+0.0025482i,-0.023318+0.0023416i,-0.0033925+0.019673i,0.0038989+0.0087015i,0.0028408-0.00079808i,0.011842+0.0077015i,-0.0057388-0.0081616i,-0.0011543+0.010111i,-0.001466+0.005822i,0.0010807-0.0035765i,0.0079973+0.0029469i,0.0044121-0.0011866i,-0.014276+0.017209i,-0.0080271+0.012051i,0.0015406-0.00034528i,0.013621+0.0007369i,0.0023643+0.0025029i,-0.002056-0.012179i,0.0011188-0.0030115i,0.041477-0.023591i,0.0041596+0.010598i,0.0028659+0.0018332i,-0.00359-0.001493i,0.0058094-0.001502i,0.016929+0.011188i,0.0032479-0.0014871i,0.0025209-0.006984i,0.0033149-0.0021867i,0.0085183+0.009785i,0.0054033+0.0023846i,0.0074345-0.0054549i,0.00049409+0.0093723i,0.0040625+0.0047036i,0.016745+0.007816i,-0.059969-0.053533i,-0.023576+0.0070828i,-0.0032951-0.0046156i,-0.0065268+0.0033945i,-0.037186-0.0014516i,-0.005998+0.0084344i,-0.016395+0.0038031i
