-0.0073636-0.038582i,-0.011977-0.044224i,0.0014361-0.045723i,-0.026771-0.027162i,-0.02071+0.014095i,-0.032576-0.032483i,-0.059521-0.062324i,-0.021196-0.072932i,-0.033463-0.050638i,0.0023774+0.01668i,-0.0066481+0.01052i,-0.014993+0.01442i,0.0017581+0.016596i,-0.0036836-0.0035872i,0.000425+0.006602i,0.00075692+0.039285i,0.019643+0.059712i,0.00116-0.00010631i,-0.0045302-0.0080781i,0.0091415+0.005058i,0.0015567+0.0010473i,-0.0011995+0.0035971i,0.00028788-0.0016656i,-0.036141-0.0099629i,-0.0025169-0.0076762i,2.4773e-05+0.0044414i,0.0054483+0.00038732i,0.00027411+0.0010431i,-0.00020715-0.00091277i,0.00014349-0.0022336i,-0.0012907-0.0058127i,-0.0022321-0.003527i,-0.00074848-0.0076522i,0.0032356-0.0010597i,0.002856-0.0024531i,-0.0019506+0.034172i,0.0064289-0.0041478i,0.0035243-0.0025435i,0.0052494-0.00015758i,-0.013485-0.0053424i,0.00014828+0.00012244i,0.011102-0.00062108i,0.0054953-0.0016994i,-0.0031161+0.0049719i,0.0026471+0.0015084i,-0.0029775+0.0084571i,0.015609-0.086915i,-0.0061453-0.048062i,-0.02501-0.039294i,-0.01925-0.042044i,0.063578-0.015804i,0.027866-0.060876i,0.038764-0.044634i,0.030533-0.056083i,0.019331-0.015819i,0.0082897+0.0096975i,0.024839-0.032151i,-0.0073463-0.0051312i,0.0028257-0.0027724i,-0.0049061-0.0066425i,0.0015662-0.032009i,-0.024213+0.031007i,0.0082255-0.010148i,-0.010755-0.0015646i,-0.0053837-0.001454i,-0.00080834-0.013893i,-0.0099726+0.0040393i,0.0036192+0.0083239i,-0.011516+0.03078i,0.0058334+0.0081525i,-0.005021-0.0015807i,-0.0022467-0.0020347i,-0.011169-0.00726i,0.00048591-0.0033885i,-0.035236+0.0050126i,0.0025488-0.012719i,-0.0089078-0.0023952i,-0.0063261-0.0030377i,0.0060742+0.0011814i,-0.0091343+0.0017246i,0.0012318+0.0008412i,0.0056193+0.0092453i,0.0044805+0.00041822i,-0.0097444-0.0095895i,0.0026985+0.008734i,-0.019421+0.0066293i,0.0067589+0.0033902i,-0.028553-0.0088167i,-0.035105+0.0022784i,0.025414-0.077629i,0.012489-0.010145i,-0.042331-0.027814i,-0.022743-0.0036843i,0.01792+0.012607i,-0.027285+0.012115i,-0.011603-0.0083398i
-0.015407-0.037977i,-0.018271-0.037745i,-0.0052803-0.049748i,-0.029293-0.024023i,-0.010736+0.011744i,-0.040294-0.025382i,-0.068169-0.048335i,-0.031176-0.070726i,-0.038978-0.040095i,0.0041831+0.014379i,-0.0060868+0.0082974i,-0.0070111+0.020595i,0.010218+0.012499i,-0.0083349-0.00058021i,0.0013329+0.0058731i,0.010276+0.032528i,0.034018+0.044151i,0.0027568+0.0019201i,-0.0076839-0.0033736i,0.0095514+0.00056625i,0.00046136+0.0017291i,-0.0010947+0.0047032i,-0.00053977-0.00045783i,-0.025284+0.010949i,-0.0051408-0.0050264i,0.0032208+0.0026824i,0.0039667-0.00045896i,0.0007158+0.0027347i,0.0011712-0.0011825i,-0.00097574-0.0026852i,-0.0013495-0.0047397i,-0.0023854-0.0032322i,-0.002892-0.0069878i,0.0024529-0.0028975i,0.0019108-0.0014949i,0.0097843+0.031341i,0.0053444-0.0067203i,0.0021565-0.0033054i,0.0071894-0.0019229i,-0.00918-0.0010893i,0.00023944+0.0016269i,0.0087276-0.0026671i,0.003682-0.0010376i,-0.0040202+0.0056297i,0.0097674+0.00015455i,0.0082443+0.01141i,-5.2057e-05-0.089788i,-0.020234-0.050118i,-0.018279-0.032477i,-0.020031-0.028635i,0.067113-0.043571i,0.026509-0.081077i,0.041465-0.045891i,0.021184-0.06629i,0.008866-0.0099762i,0.0079789-6.8562e-05i,0.011705-0.035314i,-0.0067408+0.00044775i,0.0006712-0.011177i,-0.0056982-0.0067712i,-0.02196-0.033109i,-0.0094711+0.029338i,0.0022426-0.013369i,-0.011516+0.0018045i,-0.0048598+0.00085659i,-0.0074753-0.01275i,-0.010452+0.009032i,0.0074438+0.0089913i,0.0075289+0.029504i,0.008115+0.0029079i,-0.0040413+0.0012031i,-0.0042299-0.0021269i,-0.015727+0.0016526i,0.00042361-0.0029405i,-0.037942+0.01241i,-0.0041602-0.010475i,-0.0097276+0.0018823i,-0.008254-2.0139e-05i,0.0042787-0.0038304i,-0.0081649+0.0045899i,0.0022212-0.00055428i,0.0048034+0.0034251i,0.0029271-0.00038329i,-0.013785-0.0010609i,0.004175+0.0054946i,-0.013878+0.013393i,0.0063629-0.00080203i,-0.029225+0.0017819i,-0.033987+0.01227i,0.011246-0.079342i,0.0088033-0.016557i,-0.049292-0.014562i,-0.016482-0.0061751i,0.018859+0.0059586i,-0.020794+0.018862i,-0.01709-0.013347i
-0.021338-0.033818i,-0.020894-0.036217i,-0.013915-0.05319i,-0.032234-0.018943i,-0.0041019+0.0051727i,-0.046035-0.016647i,-0.079049-0.03268i,-0.046387-0.066873i,-0.04287-0.033599i,0.0056948+0.012778i,-0.0061849+0.011732i,0.0028088+0.019346i,0.01318+0.0043958i,-0.0091155+0.0039377i,0.0026327+0.0054867i,0.016056+0.024406i,0.044388+0.030314i,0.005765+0.0011182i,-0.0070554+0.0014917i,0.0083077-0.0023272i,0.00019908+0.0025359i,0.0005861+0.0064545i,-0.00020943+0.00038829i,-0.011946+0.018533i,-0.0051611-0.0025083i,0.0044033-0.00029756i,0.0029142-0.0016508i,0.0030664+0.002802i,-0.00016599-0.0022399i,-0.0015808-0.0023324i,-0.0023293-0.0044807i,-0.0033747-0.0026438i,-0.0046296-0.0058874i,0.0009192-0.004357i,0.0039772-0.0040397i,0.019809+0.022926i,0.0024036-0.0079347i,0.0010558-0.003894i,0.0065446-0.0064825i,-0.0090605+4.4438e-05i,0.001322+0.0019843i,0.0072129-0.0047992i,0.0045864-0.00043869i,-0.0026957+0.007829i,0.014-0.0079784i,0.019712+0.0068263i,-0.015478-0.08905i,-0.032719-0.041808i,-0.010258-0.036204i,-0.012709-0.027279i,0.061169-0.070448i,0.0072542-0.10072i,0.04743-0.053426i,0.0076589-0.067953i,0.0074313-0.0074951i,0.0049955-0.0035509i,0.00060874-0.037734i,0.0023811-0.00010134i,-0.0091637-0.01316i,-0.0056865-0.0091508i,-0.040462-0.021856i,-0.0016647+0.027346i,-0.0041176-0.012271i,-0.0090664+0.0051521i,-0.0057154+0.0017263i,-0.01405-0.010121i,-0.005429+0.015041i,0.013858+0.0039425i,0.020026+0.01887i,0.0077196+0.00017145i,-0.0039319+0.0006729i,-0.0054868-0.00071885i,-0.012371+0.010635i,-0.0026525-0.0031539i,-0.032253+0.023308i,-0.0064763-0.0059598i,-0.0078809+0.0070754i,-0.0083167+0.0071341i,-0.0007676-0.0051198i,-0.0060693+0.0064593i,0.0014261-0.0019404i,0.0027591+0.0022825i,0.0028305-0.001798i,-0.0091203+0.0064511i,0.0038376+0.0024483i,-0.0081351+0.015742i,0.0035422-0.0041845i,-0.025036+0.010827i,-0.027201+0.021655i,0.0015836-0.078287i,0.0014906-0.017658i,-0.04898-0.0023068i,-0.021085-0.012412i,0.017423-0.0023464i,-0.010368+0.019877i,-0.020691-0.010811i
-0.024886-0.029237i,-0.025597-0.036594i,-0.024289-0.055579i,-0.031168-0.0131i,-0.0026483-0.0041584i,-0.048111-0.0056042i,-0.083405-0.0047502i,-0.062-0.0523i,-0.04881-0.023565i,0.0080896+0.011317i,-0.0015785+0.014769i,0.007888+0.013829i,0.011929-0.0034817i,-0.0068999+0.0093852i,0.0031209+0.0039529i,0.017156+0.014167i,0.052556+0.0091884i,0.007041-0.0023547i,-0.0058052+0.0051025i,0.0058413-0.0046443i,0.0017876+0.004027i,0.0037347+0.0072768i,-0.00013129+0.00095411i,-0.00039256+0.024074i,-0.0044641-0.00089619i,0.0033371-0.0025456i,0.0024987-0.001375i,0.0036971-0.00023808i,-0.00064647-0.00086794i,-0.0032409-0.002157i,-0.0033057-0.003671i,-0.0040363-0.0015366i,-0.0064676-0.0041302i,-0.0013131-0.0048639i,3.4476e-06-0.0067437i,0.021437+0.01241i,-0.00048949-0.0083061i,-0.00020405-0.0040414i,0.0024639-0.0087193i,-0.0064733+0.00462i,0.0023434+0.00142i,0.0039025-0.0070735i,0.0044622-0.0017421i,0.00052937+0.0074551i,0.016315-0.014399i,0.028541-0.0025118i,-0.02972-0.083719i,-0.03629-0.030446i,-0.011637-0.041349i,-0.010713-0.029631i,0.044328-0.099103i,-0.021312-0.1054i,0.046846-0.073273i,-0.0019637-0.066419i,0.0063127-0.0056682i,0.00065978-0.0064194i,-0.013449-0.033972i,0.002568-0.009187i,-0.013772-0.0078412i,-0.012139-0.012151i,-0.048791-0.0014463i,0.0094692+0.022529i,-0.0084489-0.0097775i,-0.006135+0.0059307i,-0.0048498+0.0044963i,-0.019868-0.0032672i,0.0032811+0.01378i,0.016477-0.0028503i,0.024753+0.007203i,0.0081831-0.0026121i,-0.0047981+0.0010302i,-0.0062504+0.0025394i,-0.0071262+0.016591i,-0.0047489+0.00011227i,-0.027374+0.031847i,-0.0070554-0.0031851i,-0.0026447+0.0095693i,-0.0021165+0.011723i,-0.0052615-0.0026901i,-0.0024333+0.0054354i,0.00079173-0.0019616i,0.0018338+0.0022503i,0.00044015-0.0041105i,-0.0028304+0.0053543i,0.00068522-0.00050866i,-0.0040999+0.017734i,-0.00075596-0.0041212i,-0.017917+0.017216i,-0.018143+0.024756i,-0.0063611-0.079166i,0.0024587-0.014362i,-0.045513+0.011584i,-0.02923-0.010251i,0.014307-0.0084048i,-0.0013579+0.016041i,-0.021513-0.0062029i
-0.026782-0.024712i,-0.033139-0.03458i,-0.03801-0.056088i,-0.029606-0.010349i,-0.0085562-0.012441i,-0.047025+0.0047044i,-0.066806+0.016132i,-0.064094-0.03553i,-0.044983-0.013535i,0.010243+0.0089328i,0.0041181+0.013141i,0.0098836+0.0097627i,0.0064004-0.009051i,-0.0011059+0.012032i,0.0026946+0.0024921i,0.014112+0.009936i,0.04262-0.016048i,0.0054145-0.0052913i,-0.0017443+0.010004i,0.0033371-0.0052357i,0.0032097+0.0045359i,0.0064131+0.0044941i,-3.8063e-05+0.0021119i,0.018076+0.019011i,-0.004565+0.00085436i,0.002065-0.0035525i,0.0016493-0.0020326i,0.0029979-0.00036952i,0.00010723-6.6659e-05i,-0.0044283+1.6155e-05i,-0.0041511-0.0022151i,-0.0041084-1.1235e-05i,-0.0067307-0.0012327i,-0.0039189-0.0038675i,-0.0027864-0.0053549i,0.02233+0.006997i,-0.0029281-0.0075706i,-0.0022869-0.0039221i,-0.00055051-0.008096i,-0.002479+0.0015674i,0.0023863+0.00054174i,-9.4178e-05-0.0059763i,0.0046798-0.0020374i,0.0016279+0.0056899i,0.014852-0.026855i,0.033895-0.017389i,-0.038317-0.074805i,-0.035399-0.020661i,-0.014653-0.044687i,-0.011097-0.030476i,0.0098172-0.11988i,-0.046755-0.097804i,0.0293-0.090366i,-0.014387-0.061274i,0.0070843-0.0031053i,-0.0037303-0.0065191i,-0.023159-0.024188i,-0.0041325-0.013322i,-0.016101-0.0050082i,-0.021696-0.0071794i,-0.045652+0.01776i,0.014252+0.011389i,-0.012332-0.0052561i,-0.0043042+0.0059244i,-0.0032178+0.0069603i,-0.020371+0.0075493i,0.0044801+0.0090372i,0.015776-0.010439i,0.025793-0.0059881i,0.0060191-0.0074885i,-0.0069112+0.0035014i,-0.0038055+0.0061212i,0.0012036+0.018655i,-0.004422+0.0042013i,-0.019998+0.042685i,-0.0089407-0.0016524i,0.0010053+0.0071875i,0.0041192+0.010627i,-0.0068309+0.0012325i,-0.0027172+0.0026762i,-0.00094934-0.0029933i,0.001077+0.0039783i,-0.0042474-0.0040581i,-0.002146+0.0019614i,-0.0027003+0.0019949i,0.0031317+0.018892i,-0.0034969-0.002779i,-0.0091632+0.019579i,-0.01203+0.026317i,-0.017848-0.07753i,0.0072758-0.020626i,-0.037216+0.025491i,-0.033225+0.00011805i,0.0094397-0.012887i,0.0006752+0.0080582i,-0.020727-0.0050092i
-0.02732-0.021783i,-0.037921-0.030903i,-0.054545-0.050022i,-0.030196-0.0089784i,-0.020202-0.014105i,-0.042074+0.013708i,-0.049547+0.022009i,-0.062421-0.024405i,-0.042295-0.01007i,0.010788+0.0065102i,0.0059722+0.010326i,0.011191+0.0043987i,-0.00068337-0.011098i,0.0049535+0.010015i,0.0020278+0.0019441i,0.012691+0.0080351i,0.023626-0.026092i,0.0040901-0.0063175i,0.0043962+0.0095299i,0.00088627-0.0046408i,0.0058283+0.002546i,0.006494+0.0016138i,0.0021127+0.0029863i,0.025756+0.003885i,-0.0024782+0.0031438i,0.00045217-0.0038359i,0.0001288-0.00055022i,0.0041708-0.0019709i,0.0004355-0.0012965i,-0.0029067+0.0031325i,-0.0036726-0.0012075i,-0.0040529+0.0010907i,-0.0069629+0.0015771i,-0.0052403-0.00083369i,-0.0030917-0.0037302i,0.024038-0.00016955i,-0.0056283-0.0058067i,-0.0044916-0.0033574i,-0.0034845-0.0077715i,-0.0046686-0.0014465i,0.0029393+0.00012144i,-0.0022911-0.0031486i,0.0037876-0.0037461i,0.0017253+0.0046899i,0.005638-0.035618i,0.023893-0.036196i,-0.040565-0.067436i,-0.033806-0.013888i,-0.019451-0.045071i,-0.010567-0.034371i,-0.029733-0.11658i,-0.068784-0.081902i,0.010308-0.095556i,-0.017098-0.047265i,0.01369+0.0013407i,-0.0068061-0.0040643i,-0.024706-0.010991i,-0.0104-0.013179i,-0.020883+7.0054e-05i,-0.020841+0.0017477i,-0.036157+0.034603i,0.012341+0.0039802i,-0.010204+0.0021993i,-0.0050393+0.0062104i,0.0016578+0.0094791i,-0.013719+0.015412i,0.0060956+0.009787i,0.01134-0.021914i,0.015411-0.021336i,-0.001739-0.011542i,-0.00707+0.0081779i,-0.0016152+0.006662i,0.008625+0.016317i,-0.001549+0.0063473i,-0.0024309+0.055976i,-0.011252+0.0018116i,0.0015287+0.0064183i,0.007938+0.0059818i,-0.005389+0.0072057i,-0.0037357+0.0043893i,-0.0043414-0.0025711i,0.0041463+0.0049583i,-0.0054489+0.0029709i,-0.0050766+0.0014868i,-0.00058641+0.0073258i,0.0091392+0.014776i,-0.0052522-0.0015435i,-0.0034732+0.017017i,-0.0031009+0.027398i,-0.023603-0.070353i,-0.0012679-0.034703i,-0.01706+0.030811i,-0.029967+0.0080062i,0.007548-0.019472i,0.000492+0.0021108i,-0.020802-0.00067478i
-0.028251-0.019645i,-0.04606-0.02814i,-0.068542-0.036496i,-0.029086-0.0037407i,-0.029606-0.0060589i,-0.035867+0.019255i,-0.037737+0.020916i,-0.060555-0.017305i,-0.045562-0.006511i,0.012673+0.002933i,0.0092846+0.0096443i,0.0081776-0.0015326i,-0.0087087-0.0079604i,0.0084924+0.0041195i,0.0020419+0.0014474i,0.012219+0.0073953i,0.0073861-0.024716i,0.0014169-0.0078951i,0.0075145+0.0052969i,-0.0006165-0.0031391i,0.006306-0.00099966i,0.0075118+0.00051971i,0.0040697+0.0016075i,0.021988-0.0096448i,0.0015528+0.002041i,-0.00015344-0.0030482i,0.0016506-0.0016862i,0.0039136-0.0044829i,-0.0002435-0.00095155i,-0.00026561+0.0035062i,-0.0038017-0.00069423i,-0.0033884+0.0025134i,-0.0049283+0.0039785i,-0.0040784+0.001387i,-0.0042654-0.0044438i,0.020793-0.0084853i,-0.0063947-0.0024524i,-0.005435-0.00098704i,-0.006946-0.0047255i,-0.0092318+0.00093863i,0.0026141-0.00082532i,-0.0012508-0.0023221i,0.0024542-0.0048i,0.002177+0.0027172i,-0.0064263-0.038228i,0.0073174-0.039089i,-0.046657-0.067126i,-0.026261-0.0081928i,-0.023254-0.044371i,-0.018451-0.041284i,-0.057331-0.10271i,-0.077441-0.056655i,-0.013269-0.097451i,-0.0112-0.042365i,0.02143-0.012659i,-0.0075524+6.2757e-05i,-0.021561-0.0064749i,-0.019608-0.0097281i,-0.018934+0.0097569i,-0.01928+0.0059187i,-0.016177+0.043885i,0.011297-0.00018984i,-0.0081026+0.0028812i,-0.0010836+0.0065999i,0.0042984+0.0057116i,-0.0061909+0.019279i,0.010609+0.0073988i,-0.0041589-0.02752i,-0.0028986-0.023347i,-0.0059738-0.0044707i,-0.0028603+0.011734i,0.0018902+0.0058611i,0.015061+0.0086433i,0.0019085+0.0052571i,0.024255+0.053057i,-0.0076551+0.0067848i,0.0029424+0.005016i,0.0084866+0.0015275i,0.00028844+0.0093464i,-0.0054769+0.0061679i,-0.0057398+0.0018426i,0.0074367+0.0044518i,-0.0025069+0.0059873i,-0.006738+0.004058i,0.0039386+0.0073686i,0.011412+0.0095596i,-0.0054134+0.001512i,0.0019268+0.014362i,0.0052164+0.023987i,-0.028641-0.069707i,-0.020158-0.035824i,-0.0028087+0.022798i,-0.026517+0.013094i,-0.002011-0.026747i,-0.0031952-0.001785i,-0.014879+0.0005691i
-0.03042-0.017799i,-0.053932-0.01878i,-0.077153-0.018909i,-0.026383-0.0026688i,-0.030073+0.0054554i,-0.031021+0.023082i,-0.031146+0.018237i,-0.060016-0.011739i,-0.046177+0.003476i,0.012644-0.0010762i,0.012866+0.0033067i,0.0025146-0.0019497i,-0.011742-0.00078147i,0.0057724-0.00032262i,0.001245+0.00075978i,0.015146+0.0049389i,-0.0021045-0.017482i,-0.0025619-0.0072998i,0.0069753+0.0016256i,-0.0010122-0.0017727i,0.00338-0.0028698i,0.0071153-0.0023151i,0.003862-0.00025133i,0.013575-0.017487i,0.0011509-0.00089497i,-0.00028614-0.0031243i,0.001038-0.0030482i,0.0013205-0.0052803i,0.0014059+3.8624e-05i,0.00076898+0.0023815i,-0.0040711-0.00024227i,-0.0019636+0.0032793i,-0.0027972+0.0055905i,-0.002685+0.0015201i,-0.0062994-0.00088669i,0.01527-0.0139i,-0.0051522-0.00032641i,-0.0043644+0.0017602i,-0.0058592-0.0020684i,-0.0087615+0.0063622i,0.0019258-0.00082306i,-0.001231-0.0017401i,0.00035244-0.0051267i,0.00064254+0.00085631i,-0.016564-0.033325i,0.0014827-0.0296i,-0.05649-0.064933i,-0.019122-0.010272i,-0.027947-0.043279i,-0.029837-0.038588i,-0.081249-0.085885i,-0.073172-0.036818i,-0.040558-0.086441i,-0.008039-0.045733i,0.017149-0.025171i,-0.0056869+0.002173i,-0.02037-0.0003271i,-0.026131+0.00079494i,-0.01178+0.016327i,-0.015288+0.012859i,0.005015+0.040099i,0.0092949-0.0061273i,-0.0081131+0.0042144i,-0.0010301+0.0039316i,0.0065465+0.004328i,0.0025236+0.017298i,0.012596-5.9592e-05i,-0.020009-0.018654i,-0.015121-0.013482i,-0.0042711-0.00035353i,0.0037718+0.011905i,0.0033166+0.0041474i,0.017232+0.0013585i,0.004694+0.0049903i,0.043591+0.037341i,-0.0041554+0.0064454i,0.002649+0.0043531i,0.0067306-0.0035759i,0.0054705+0.0063021i,-0.0042727+0.012034i,-0.0029561+0.0070551i,0.010167+9.5217e-05i,0.0026461+0.0062897i,-0.0061004+0.0072151i,0.0061963+0.0040043i,0.011809+0.004986i,-0.0046678+0.0022591i,0.004162+0.0093624i,0.0095434+0.0182i,-0.036074-0.067691i,-0.031825-0.023335i,0.0040727+0.011562i,-0.015291+0.019653i,-0.013414-0.026882i,-0.010445-0.0017287i,-0.014247-0.0042801i
-0.032987-0.014299i,-0.056009-0.0068477i,-0.078634+0.001384i,-0.02644-0.0014712i,-0.024979+0.012842i,-0.025786+0.0267i,-0.027603+0.014797i,-0.061709-0.0064224i,-0.039579+0.012408i,0.010819-0.0050885i,0.0095641-0.0027457i,0.0010858+0.0010929i,-0.010398+0.0053664i,0.0031178-0.0022363i,0.00014383+0.0011725i,0.016382-0.00053687i,-0.0034931-0.010125i,-0.0048742-0.0046502i,0.0057788+0.00043848i,-0.00058416-0.00085818i,0.0023225-0.001498i,0.005283-0.0040519i,0.0037712-0.00098802i,0.0051036-0.018674i,-0.00046421-0.0020184i,-0.0013272-0.0041211i,-0.00010526-0.0036494i,-0.0003595-0.0054299i,0.00137-0.001687i,0.0017715+0.0020709i,-0.0041711+0.00025985i,-0.00050403+0.0033763i,-0.0001329+0.004841i,-0.0020946+0.0029695i,-0.004194+0.00071659i,0.008316-0.01711i,-0.0036394+0.00054165i,-0.0023525+0.0030724i,-0.0072636-0.0010049i,-0.0054746+0.0098117i,0.0020295-0.00065059i,-0.0018924-0.001069i,-0.00067858-0.0042474i,-0.0023459+0.0014486i,-0.022551-0.026307i,0.0079665-0.025289i,-0.068742-0.058775i,-0.017374-0.014363i,-0.031399-0.040266i,-0.036554-0.03118i,-0.099932-0.059061i,-0.069796-0.027586i,-0.051089-0.06059i,-0.010195-0.049149i,0.0074366-0.034543i,-0.0044525+0.0026324i,-0.016687+0.00069415i,-0.022265+0.01392i,-0.0038072+0.016364i,-0.0033613+0.014035i,0.014907+0.027408i,0.0043566-0.0087802i,-0.0072943+0.0067116i,-0.0020005+0.0039584i,0.0064008-0.00039207i,0.0074814+0.013432i,0.0068259-0.0033092i,-0.025872-0.0046147i,-0.017771-0.0025232i,-0.0019621+0.00048937i,0.0068737+0.0097048i,0.0026694+0.0026114i,0.014244-0.0094229i,0.0064798+0.00041807i,0.054006+0.01544i,-0.0040198+0.0081327i,0.0045327+0.0033576i,0.0020784-0.0056164i,0.0063241+0.0029417i,0.0017152+0.015808i,0.0035925+0.0055195i,0.007528-0.0039779i,0.0057403+0.0026587i,-0.0033404+0.011705i,0.0046252+0.0033264i,0.010628+0.0018794i,-0.0059103+0.0033608i,0.0014476+0.0067597i,0.011191+0.014269i,-0.043623-0.063883i,-0.033371-0.0093834i,0.0027532+0.0020917i,-0.0044077+0.014606i,-0.025188-0.021958i,-0.014063+0.0066849i,-0.019079-0.0029657i
-0.03487-0.009411i,-0.054321+0.002645i,-0.073751+0.019863i,-0.027357+0.00018175i,-0.018537+0.017298i,-0.019927+0.029477i,-0.028087+0.012211i,-0.064058+0.0024286i,-0.032892+0.015955i,0.0073776-0.0074502i,0.0050719-0.0039212i,0.0019406+0.0020845i,-0.0057128+0.0091522i,0.00035591-0.0028583i,0.00051612+0.002321i,0.012844-0.0066098i,-0.0023692-0.008939i,-0.004838-0.0014053i,0.0057585-0.0011305i,0.00029762-0.00033698i,0.0034923-0.0014845i,0.003226-0.003946i,0.0036836-0.001832i,-0.0015496-0.017361i,-0.001314-0.0016335i,-0.0033293-0.0032054i,-0.0015935-0.0036431i,-0.0022291-0.0053098i,0.00065254-0.0023217i,0.0026185+0.00068229i,-0.0045528+0.0011316i,0.00077896+0.0027638i,0.0014591+0.0037718i,-0.00035146+0.0030553i,-0.0042423+0.0015503i,0.00098483-0.015407i,-0.0035078+0.00013198i,-0.00027122+0.0029687i,-0.0068508+0.0033877i,-0.001265+0.012093i,0.0020943-0.0010122i,-0.00095703+0.00047744i,-0.0011855-0.0043919i,-0.0021226+0.0051307i,-0.022599-0.018952i,0.017159-0.033321i,-0.081117-0.04623i,-0.019107-0.016676i,-0.032992-0.038191i,-0.041109-0.024277i,-0.10255-0.029531i,-0.067875-0.016036i,-0.046207-0.044587i,-0.012716-0.053217i,-0.0060433-0.03817i,-0.0028995+0.0030964i,-0.017619-0.00011265i,-0.012525+0.020084i,0.0013443+0.012772i,0.003536+0.0058631i,0.015705+0.01454i,-0.00082828-0.0089188i,-0.005227+0.009238i,-0.0024871+0.0048728i,0.0035442-0.0031678i,0.0098961+0.0078202i,0.0048666-0.001951i,-0.023235+0.0093115i,-0.014354+0.0066764i,-0.0011256+0.0008533i,0.011001+0.0070729i,0.0023798+0.0023155i,0.0053293-0.013669i,0.0037629-0.002765i,0.051859-0.0069135i,-0.00087543+0.010347i,0.0036801+0.001544i,-0.0015432-0.0037872i,0.0058764+0.0013289i,0.0098131+0.016191i,0.0043573+0.0015717i,0.0053823-0.0053979i,0.0047651-0.00021762i,0.0031335+0.013323i,0.0051358+0.0028772i,0.010504-0.0014814i,-0.0042116+0.0080035i,0.0023137+0.0066207i,0.012892+0.011123i,-0.051442-0.060018i,-0.029252-0.00073325i,-0.00024477-0.0019395i,-0.0031062+0.0058815i,-0.033862-0.012675i,-0.0087836+0.0099884i,-0.018468+0.00088723i
-0.034939-0.0042809i,-0.050704+0.010565i,-0.062754+0.034678i,-0.027308+0.003901i,-0.010661+0.017862i,-0.014106+0.030631i,-0.029563+0.013332i,-0.06319+0.013064i,-0.027913+0.018154i,0.0044082-0.008447i,0.0025131-0.0031339i,0.0038842+0.0019039i,-0.0014471+0.010049i,-0.002562-0.0013324i,0.001023+0.0023817i,0.0076307-0.008923i,-0.005098-0.010794i,-0.0038029-0.0002724i,0.0048056-0.0024082i,0.00095562-0.00068024i,0.0037343-0.0028781i,0.0030216-0.0033782i,0.0031878-0.0028154i,-0.0071532-0.015044i,-0.0020269-0.0014899i,-0.0039958-0.001536i,-0.0033114-0.0026906i,-0.0039694-0.0037556i,2.5713e-06-0.0024305i,0.0020618-0.001209i,-0.0045908+0.0028309i,0.0011844+0.002083i,0.0023223+0.0024414i,0.001311+0.0021298i,-0.0034679+0.0030354i,-0.0025849-0.011337i,-0.003499+0.0005539i,0.0010617+0.0016252i,-0.0030199+0.0046944i,0.0047104+0.011934i,0.0019988-0.0014745i,0.0003387+0.00058902i,-0.0024281-0.0045963i,0.00084991+0.005269i,-0.020357-0.016499i,0.015022-0.05044i,-0.087676-0.028978i,-0.019665-0.017613i,-0.035832-0.040403i,-0.043378-0.016031i,-0.098869-0.00836i,-0.06345-0.0073874i,-0.04251-0.035416i,-0.019655-0.056819i,-0.021122-0.036439i,-0.0020347+0.0023228i,-0.023146+0.0023426i,-0.0033896+0.019618i,0.0035574+0.0086397i,0.0029365-0.0013249i,0.01212+0.0079524i,-0.0055466-0.008442i,-0.0016677+0.010276i,-0.0017593+0.0059033i,0.00075951-0.0033224i,0.0080934+0.0029473i,0.0043065-0.0016045i,-0.014369+0.016818i,-0.0080261+0.012308i,0.0013249-0.00011709i,0.01366+0.00069189i,0.0021453+0.0026639i,-0.0020323-0.012229i,0.0010227-0.0033927i,0.041423-0.023803i,0.0040075+0.010763i,0.0027715+0.0018891i,-0.0036936-0.0012919i,0.0061358-0.0015286i,0.017341+0.011099i,0.0031394-0.0010156i,0.0025399-0.0071444i,0.0031922-0.0018691i,0.0090322+0.010519i,0.0058567+0.0026595i,0.0069852-0.0049445i,0.00044773+0.0092314i,0.0038401+0.0049055i,0.015412+0.0073085i,-0.060611-0.052846i,-0.023676+0.0061458i,-0.0026562-0.0045111i,-0.0058546+0.0033965i,-0.037159-0.0013497i,-0.0061677+0.0089937i,-0.016351+0.0034417i
