-0.0081395-0.039584i,-0.012212-0.043483i,0.0015284-0.045945i,-0.026818-0.027954i,-0.02044+0.014432i,-0.03225-0.032463i,-0.059585-0.062487i,-0.022229-0.072787i,-0.038412-0.065299i,0.0020157+0.015584i,-0.0075303+0.010205i,-0.014967+0.013494i,0.0012819+0.017268i,-0.0038638-0.0033525i,0.00041176+0.0067406i,-0.00019671+0.039312i,0.025793+0.056087i,0.0010189-0.00031664i,-0.0058105-0.0085135i,0.0072261+0.0044663i,0.0016288+0.0010095i,-0.0015487+0.0037274i,3.7964e-05-0.001331i,-0.035593-0.0094475i,-0.0027617-0.0082269i,-0.00030973+0.0043617i,0.0048754-0.0017258i,0.00025885+0.00076798i,-8.141e-05-0.0010337i,-3.2895e-05-0.0027617i,-0.0011168-0.0055491i,-0.0023137-0.0039579i,-0.0010091-0.0077879i,0.0032471-0.00081269i,0.0030659-0.003i,-0.0042007+0.032968i,0.0063591-0.004708i,0.0038321-0.0021577i,0.0048935-0.00029177i,-0.068719-0.028302i,-1.8334e-05+0.00013327i,0.0048615-0.0016866i,0.0060058+1.5039e-05i,-0.0034774+0.0036113i,0.0029515+0.0019877i,-0.0038723+0.0087411i,0.016256-0.090169i,-0.00634-0.047498i,-0.023686-0.037002i,-0.019245-0.041758i,0.064006-0.015641i,0.028073-0.06113i,0.038593-0.044604i,0.030166-0.05666i,0.020745-0.016335i,0.0083247+0.0091533i,0.025822-0.034113i,-0.0070099-0.0047513i,0.002418-0.0025229i,-0.0045635-0.0060305i,0.0011928-0.032503i,-0.024649+0.03042i,0.0077978-0.010315i,-0.010819-0.0011784i,-0.005551-0.001417i,-0.0010273-0.013199i,-0.010189+0.0041531i,0.0034738+0.0083518i,-0.0098368+0.030434i,0.0055365+0.0072466i,-0.005273-0.0016107i,-0.0021949-0.0021985i,-0.010773-0.0073996i,0.00096892-0.003723i,-0.040875+0.0043894i,0.0024721-0.012597i,-0.0098694-0.0022936i,-0.0063608-0.0030677i,0.0064525+0.0016261i,-0.0089526+0.0013006i,0.0010134+0.00068741i,0.0057014+0.0094963i,0.0044785+0.00041193i,-0.00891-0.0092498i,0.0025088+0.0088599i,-0.019386+0.0082318i,0.0062944+0.0035787i,-0.028858-0.0090333i,-0.033558+0.0024254i,0.024538-0.080662i,0.012587-0.010289i,-0.043587-0.027902i,-0.02187-0.004734i,0.018005+0.012348i,-0.027359+0.011623i,-0.011334-0.0085411i
-0.016108-0.037946i,-0.018442-0.037284i,-0.0053968-0.049265i,-0.029484-0.024974i,-0.010445+0.011923i,-0.040395-0.025176i,-0.068134-0.048732i,-0.032194-0.070156i,-0.041749-0.044461i,0.0033806+0.013557i,-0.0068697+0.0088001i,-0.0075611+0.019499i,0.0098441+0.012885i,-0.0081279-7.5033e-05i,0.0014123+0.006183i,0.0092386+0.032974i,0.035597+0.035797i,0.0019308+0.0018125i,-0.0091211-0.002987i,0.0085357+0.0011635i,0.00043168+0.0018866i,-0.0021518+0.0035278i,-0.00068183-1.6908e-05i,-0.02515+0.010177i,-0.0053378-0.0060353i,0.003102+0.0024239i,0.0033887+0.00021961i,0.00049159+0.0028611i,0.0010467-0.0012032i,-0.00147-0.0029208i,-0.001436-0.004507i,-0.0026699-0.0032099i,-0.0023631-0.0072323i,0.0023357-0.0031469i,0.0020332-0.0024457i,0.0072676+0.031576i,0.0051665-0.0068392i,0.0020001-0.0031808i,0.0069174-0.0019606i,-0.012123-8.2085e-05i,3.8071e-05+0.0015549i,0.0077188-0.0014952i,0.0047257+0.00024327i,-0.0045423+0.0047952i,0.010144+0.00056964i,0.0081626+0.011513i,2.1625e-06-0.09294i,-0.020266-0.04911i,-0.017808-0.030797i,-0.019625-0.028199i,0.067442-0.044036i,0.026509-0.081456i,0.041586-0.045655i,0.020249-0.065414i,0.0095148-0.0098931i,0.0077576+7.1553e-05i,0.012421-0.037391i,-0.0063166+0.00083774i,0.00038297-0.010965i,-0.0057434-0.0065027i,-0.022692-0.033348i,-0.0099852+0.02965i,0.0018217-0.012746i,-0.011721+0.0019993i,-0.0046802+0.00046589i,-0.0068751-0.012i,-0.010682+0.0085849i,0.0073811+0.0091197i,0.0083807+0.028005i,0.0070308+0.0018549i,-0.0045776+0.0013495i,-0.0045654-0.0021581i,-0.014228+0.00072525i,0.00085415-0.0032213i,-0.040319+0.011195i,-0.0042015-0.010614i,-0.0097922+0.0024565i,-0.0082198+0.00055214i,0.0044571-0.0040739i,-0.0079533+0.0043697i,0.0023773-0.00081445i,0.0054688+0.0031652i,0.0032343-0.00074897i,-0.012724-0.0015218i,0.0041935+0.0055099i,-0.011825+0.014422i,0.0065796-0.00059235i,-0.029558+0.0020048i,-0.032486+0.010834i,0.011826-0.082523i,0.0081854-0.016431i,-0.050178-0.013596i,-0.016732-0.0066227i,0.018618+0.0059098i,-0.021753+0.018686i,-0.017107-0.014257i
-0.02135-0.03378i,-0.020339-0.03588i,-0.01326-0.05264i,-0.032874-0.019295i,-0.003787+0.0052496i,-0.045788-0.016448i,-0.079214-0.033003i,-0.047004-0.066019i,-0.045539-0.036766i,0.0046246+0.012415i,-0.0063106+0.01247i,0.0022846+0.018634i,0.01305+0.0049277i,-0.0087765+0.0043028i,0.0028224+0.0061013i,0.015371+0.025095i,0.040524+0.026599i,0.0047926+0.0018922i,-0.0077591+0.002224i,0.0070064-0.0017107i,0.00026939+0.0025367i,0.001083+0.004679i,-0.00044304+0.00063572i,-0.0129+0.018634i,-0.0051079-0.0030287i,0.0041931-3.7533e-05i,0.0031654-0.00095405i,0.0032691+0.003169i,-0.00019176-0.0021929i,-0.0020594-0.0024493i,-0.0020584-0.0043198i,-0.0038298-0.002375i,-0.0046715-0.0058864i,0.00063473-0.0041109i,0.0035669-0.0051061i,0.017719+0.02376i,0.0028533-0.007784i,0.0010154-0.0034606i,0.0064125-0.0067397i,-0.010324+0.0013453i,0.00077558+0.0021375i,0.0061608-0.0047297i,0.0058032-5.3953e-05i,-0.0032475+0.0068914i,0.014726-0.0073491i,0.019537+0.0068345i,-0.015581-0.092355i,-0.032163-0.04043i,-0.010266-0.03404i,-0.012172-0.027239i,0.061082-0.07063i,0.0075966-0.10052i,0.047328-0.053077i,0.007815-0.067199i,0.0082802-0.0074408i,0.004782-0.00338i,0.0006934-0.038491i,0.0024818-3.5067e-05i,-0.00976-0.013578i,-0.0054903-0.008713i,-0.040996-0.021417i,-0.00090992+0.027214i,-0.0043375-0.01184i,-0.0095561+0.0051054i,-0.0059029+0.0013843i,-0.013491-0.0092541i,-0.0056737+0.014895i,0.013554+0.0045672i,0.020078+0.017448i,0.0063799-0.00050157i,-0.0039511+0.00093788i,-0.0055467-0.0005822i,-0.010677+0.0099991i,-0.0020868-0.0030627i,-0.037144+0.022411i,-0.0067569-0.0060362i,-0.0079023+0.0070433i,-0.0083481+0.0068841i,-0.00080922-0.0052746i,-0.0057205+0.0062725i,0.0013591-0.0020823i,0.0032475+0.0021655i,0.0028288-0.0020425i,-0.0085203+0.0053718i,0.0038027+0.0023187i,-0.0062664+0.01628i,0.0033034-0.0041037i,-0.02567+0.010748i,-0.026392+0.019731i,0.0023819-0.081353i,0.0018337-0.01723i,-0.049423-0.0010894i,-0.021321-0.012741i,0.017665-0.0017517i,-0.01046+0.020262i,-0.021091-0.011128i
-0.024814-0.029648i,-0.024881-0.037058i,-0.022846-0.055789i,-0.032285-0.013261i,-0.0021828-0.0041266i,-0.047744-0.005857i,-0.083149-0.0047648i,-0.062554-0.051454i,-0.051876-0.024847i,0.0069523+0.011728i,-0.001353+0.015045i,0.0068729+0.013346i,0.012091-0.0031413i,-0.0068368+0.0098512i,0.0033235+0.0044343i,0.017253+0.01531i,0.046166+0.008445i,0.0063992-0.0010204i,-0.006282+0.0060021i,0.0051694-0.0039817i,0.0018351+0.003977i,0.0034998+0.0048312i,-0.00050657+0.0011224i,-0.0014116+0.025098i,-0.004008-0.001607i,0.0033035-0.0024112i,0.0026876-0.0016854i,0.0040986+0.00031612i,-0.00086937-0.00087434i,-0.0035786-0.0019545i,-0.0028498-0.0036876i,-0.0044255-0.0011643i,-0.0061505-0.0031356i,-0.0009345-0.0049197i,-0.00045738-0.0067274i,0.020337+0.013762i,-0.00027604-0.0084528i,-7.8329e-05-0.0038789i,0.0023871-0.0094029i,-0.0070137+0.0059552i,0.0017662+0.0017072i,0.0025902-0.0066988i,0.0057797-0.0020002i,-0.00043169+0.0069327i,0.017283-0.013988i,0.028451-0.0023399i,-0.030658-0.086789i,-0.03542-0.029308i,-0.011169-0.038917i,-0.010767-0.029626i,0.043938-0.099352i,-0.021406-0.10463i,0.046801-0.07293i,-0.0018558-0.066445i,0.0070844-0.0058377i,0.00059264-0.0061282i,-0.013631-0.035931i,0.0022879-0.008905i,-0.013943-0.0079024i,-0.0117-0.012204i,-0.049046-0.00070665i,0.0099143+0.022135i,-0.0086638-0.0090586i,-0.0063265+0.0063666i,-0.0052779+0.0042356i,-0.018387-0.0025387i,0.0031186+0.013757i,0.016453-0.0025265i,0.025308+0.00094354i,0.0067884-0.0030018i,-0.0048575+0.00079528i,-0.0059953+0.0025324i,-0.0064798+0.016181i,-0.0041912+0.00016601i,-0.034543+0.027476i,-0.0073181-0.0030094i,-0.0025453+0.0096125i,-0.0026324+0.01176i,-0.0051753-0.0027209i,-0.0019988+0.0052808i,0.00072825-0.0025326i,0.0022095+0.0028654i,0.00018112-0.0044691i,-0.0029017+0.0045343i,0.00059131-0.00050588i,-0.0027309+0.018959i,-0.00070354-0.0035717i,-0.01849+0.017249i,-0.018339+0.023028i,-0.0066191-0.080475i,0.0026354-0.014602i,-0.045503+0.012174i,-0.029291-0.010342i,0.014238-0.007683i,-0.0013758+0.016055i,-0.021508-0.0057029i
-0.027262-0.024812i,-0.032695-0.035086i,-0.038043-0.056262i,-0.028889-0.0099344i,-0.0081886-0.012718i,-0.046914+0.0045702i,-0.066444+0.015638i,-0.06423-0.034321i,-0.046969-0.013498i,0.0093184+0.0099289i,0.004373+0.013082i,0.0086959+0.0099302i,0.006729-0.0084427i,-0.00039051+0.012669i,0.0030369+0.0027048i,0.014623+0.010939i,0.038699-0.013951i,0.0056393-0.0040786i,-0.0015473+0.010911i,0.0030001-0.0047717i,0.0035128+0.0044836i,0.0055469+0.0036035i,-0.00022592+0.0024862i,0.017172+0.022007i,-0.0042771+0.00028309i,0.0020868-0.0037741i,0.0013726-0.0023209i,-0.0018049+0.0017354i,-0.00012173+7.4966e-05i,-0.0047151+0.00041694i,-0.0037616-0.0024163i,-0.0043596+0.00022505i,-0.0060942-0.00027053i,-0.0035758-0.004468i,-0.0028844-0.0049029i,0.0219+0.0084343i,-0.0029167-0.0075361i,-0.0021102-0.0037159i,-0.0011064-0.0087881i,-0.0024016+0.0022917i,0.0018102+0.0010097i,-0.00092507-0.0051254i,0.0056974-0.0026622i,0.00052781+0.0058816i,0.016717-0.026671i,0.034217-0.017047i,-0.039303-0.077364i,-0.034592-0.020281i,-0.014282-0.042145i,-0.011235-0.030727i,0.0095255-0.12006i,-0.046733-0.096662i,0.029229-0.090135i,-0.014235-0.061359i,0.0079475-0.00369i,-0.0035968-0.0062015i,-0.024671-0.025958i,-0.0044484-0.012806i,-0.015906-0.0050192i,-0.021395-0.0075816i,-0.045443+0.017191i,0.014637+0.011329i,-0.011959-0.0039938i,-0.0045206+0.0063301i,-0.0037365+0.0070207i,-0.018731+0.0072813i,0.0044635+0.0086251i,0.01565-0.010104i,0.025286-0.0049374i,0.0052083-0.0073344i,-0.0069706+0.0032857i,-0.0038054+0.0060824i,0.0009707+0.018459i,-0.0043591+0.0041781i,-0.026066+0.042603i,-0.0090599-0.0016022i,0.0014512+0.0072812i,0.0042908+0.011825i,-0.0068063+0.0013679i,-0.0025821+0.0025457i,-0.00093019-0.0030294i,0.0012536+0.0047377i,-0.004982-0.0031299i,-0.0023683+0.0012304i,-0.0029738+0.0016861i,0.0032254+0.01933i,-0.0031842-0.0025431i,-0.0098011+0.019987i,-0.012761+0.024793i,-0.017885-0.078493i,0.0065075-0.020865i,-0.03754+0.025834i,-0.033521-0.00033387i,0.0091034-0.012383i,0.00086274+0.0083918i,-0.020431-0.0049563i
-0.027902-0.021214i,-0.037375-0.031531i,-0.05436-0.04997i,-0.028983-0.0089038i,-0.020263-0.014415i,-0.041908+0.013635i,-0.049347+0.021704i,-0.061785-0.023321i,-0.044182-0.0099414i,0.010207+0.0078454i,0.0065136+0.010278i,0.010554+0.0051086i,-0.00020028-0.010729i,0.0049292+0.0099351i,0.0023806+0.0020024i,0.013748+0.0087597i,0.021848-0.024041i,0.0047162-0.0056951i,0.0051496+0.010178i,0.00080681-0.0044918i,0.0059698+0.0025053i,0.006128+0.00097957i,0.0020343+0.0032672i,0.02797+0.0035986i,-0.0020856+0.0030293i,0.00048572-0.0044192i,-1.1354e-05-0.00073928i,0.0062639-0.0027697i,0.00032825-0.00076133i,-0.0029894+0.0035586i,-0.0032843-0.0015258i,-0.0041373+0.0011327i,-0.0064747+0.0021473i,-0.0053315-0.0015655i,-0.0033837-0.0029114i,0.024561+0.0013477i,-0.0054822-0.0057351i,-0.0043052-0.003103i,-0.0029461-0.0086006i,-0.0051811-0.0011472i,0.002359+0.00076651i,-0.0022104-0.0024119i,0.0044964-0.0044205i,0.0011411+0.0053986i,0.007625-0.036638i,0.024631-0.036381i,-0.041824-0.06999i,-0.033226-0.013599i,-0.01898-0.042795i,-0.010807-0.034544i,-0.030287-0.11703i,-0.068832-0.081153i,0.0099452-0.095423i,-0.016728-0.046834i,0.01468+0.00068192i,-0.0063803-0.0037715i,-0.026569-0.011289i,-0.010035-0.012406i,-0.020591-0.00033191i,-0.020733+0.0014049i,-0.036898+0.033684i,0.012907+0.0038043i,-0.0092358+0.0026433i,-0.005+0.0063023i,0.0012412+0.009505i,-0.012783+0.01422i,0.0058817+0.0094374i,0.011456-0.021884i,0.014897-0.020394i,-0.0018485-0.011342i,-0.0072846+0.0076795i,-0.001711+0.0069566i,0.0080334+0.015606i,-0.0013122+0.0068578i,-0.0071071+0.054286i,-0.01102+0.0013618i,0.0016868+0.0065026i,0.0085891+0.0067734i,-0.0046168+0.0072711i,-0.0040543+0.004242i,-0.0042967-0.0023263i,0.0040116+0.0055271i,-0.0046688+0.0035234i,-0.0047543+0.0009073i,-0.00084129+0.0071632i,0.010743+0.016463i,-0.0047579-0.00179i,-0.0030798+0.01776i,-0.0047593+0.026852i,-0.024939-0.071226i,-0.0019651-0.034202i,-0.017146+0.031586i,-0.030416+0.0087858i,0.010195-0.02029i,0.00054235+0.0019791i,-0.020983-0.00023384i
-0.028601-0.018956i,-0.045655-0.029223i,-0.068618-0.036257i,-0.028077-0.004279i,-0.029728-0.0059503i,-0.03579+0.019151i,-0.037599+0.020527i,-0.059741-0.016667i,-0.047489-0.0055669i,0.012825+0.0045669i,0.010043+0.0087575i,0.0082149-0.00059384i,-0.0081935-0.0080478i,0.0091441+0.0042823i,0.0021204+0.001361i,0.01348+0.0079435i,0.0073344-0.022827i,0.0021035-0.0074552i,0.0084389+0.0050317i,-0.00046896-0.0028705i,0.0062673-0.00077345i,0.0075665+0.00038445i,0.0040845+0.0018868i,0.022674-0.010161i,0.0019735+0.0019i,-0.00019639-0.0030951i,0.0012339-0.0018143i,0.006151-0.0067499i,-3.6765e-05-0.00057143i,-0.00023492+0.0039513i,-0.0034737-0.0011715i,-0.0033818+0.0024696i,-0.004495+0.0041284i,-0.0040365+0.0012856i,-0.0041214-0.002719i,0.022702-0.0079598i,-0.006313-0.0024172i,-0.0050533-0.00081552i,-0.0058173-0.0051028i,-0.010935+0.0018819i,0.00232-0.00010085i,-0.00097588-0.0018965i,0.0028641-0.0054872i,0.0021136+0.0035173i,-0.0047707-0.03994i,0.0075248-0.039312i,-0.048745-0.07008i,-0.025545-0.0077414i,-0.022466-0.041793i,-0.018725-0.041522i,-0.058311-0.10276i,-0.077423-0.055719i,-0.014377-0.097361i,-0.010688-0.043056i,0.022171-0.013146i,-0.0073223-0.00022076i,-0.022826-0.0064507i,-0.018255-0.0091775i,-0.019009+0.0095555i,-0.018563+0.0057398i,-0.016362+0.043385i,0.01158-0.00063514i,-0.007373+0.0026197i,-0.0012343+0.0061532i,0.0043122+0.005836i,-0.0060368+0.01833i,0.010539+0.0072691i,-0.0045199-0.027317i,-0.0039786-0.022929i,-0.0056786-0.004554i,-0.0029209+0.01214i,0.0021217+0.0059199i,0.013756+0.0078515i,0.0024338+0.0056619i,0.023424+0.051836i,-0.0081492+0.0071735i,0.0026736+0.0048975i,0.0089184+0.001508i,0.0008759+0.0089749i,-0.0057422+0.0058964i,-0.0062362+0.0021734i,0.0075194+0.0048405i,-0.0014543+0.0060229i,-0.006651+0.0028572i,0.0030802+0.007145i,0.012559+0.0095107i,-0.0052233+0.00086404i,0.0022587+0.014522i,0.004104+0.024785i,-0.030373-0.069591i,-0.020123-0.035935i,-0.0026339+0.023145i,-0.025129+0.014486i,-0.0014406-0.024822i,-0.0031861-0.0018819i,-0.014867+0.0017162i
-0.030595-0.016779i,-0.054157-0.01996i,-0.077852-0.018168i,-0.025655-0.0031589i,-0.029768+0.0053561i,-0.030843+0.022893i,-0.031211+0.017728i,-0.059224-0.011494i,-0.047407+0.0051039i,0.014008+0.0003883i,0.013794+0.00099772i,0.0027456-0.0010222i,-0.010982-0.0014456i,0.0062626-0.00079672i,0.0013073+0.00065928i,0.016727+0.0051045i,-0.0019677-0.016786i,-0.0015643-0.007342i,0.0071177+0.00098372i,-0.00065585-0.0017985i,0.0037671-0.0025545i,0.0069662-0.0025156i,0.0041188-0.00018026i,0.013869-0.017624i,0.0012135-0.0012939i,-0.00027756-0.0033249i,0.00088922-0.0030029i,0.00037794-0.0052448i,0.0013881+0.00022406i,0.00084071+0.0029446i,-0.00389-0.00081615i,-0.0019302+0.003166i,-0.0027244+0.0054661i,-0.0026343+0.0011198i,-0.0053102+0.00021764i,0.017093-0.014475i,-0.005154-0.00037632i,-0.0041585+0.0015554i,-0.0051972-0.00056871i,-0.0096965+0.0070939i,0.0022054-0.0003773i,-0.00083984-0.0017207i,0.001816-0.0054542i,0.0011922+0.0014148i,-0.016182-0.035361i,0.0015012-0.0303i,-0.059856-0.066615i,-0.0189-0.0099458i,-0.026187-0.040451i,-0.030534-0.038714i,-0.08193-0.085863i,-0.073332-0.035993i,-0.040931-0.086234i,-0.0085502-0.04686i,0.018283-0.025782i,-0.0055929+0.0020178i,-0.021228+0.00020602i,-0.024754+0.00055089i,-0.011685+0.016449i,-0.014913+0.012202i,0.0049712+0.038702i,0.0092003-0.0058912i,-0.0077566+0.0042648i,-0.0013848+0.0041067i,0.0066041+0.0040584i,0.0021698+0.015961i,0.012572-0.00040019i,-0.019279-0.018902i,-0.015634-0.013i,-0.0045614-0.0003763i,0.0038462+0.011773i,0.003586+0.0040271i,0.016032+0.00066425i,0.0050886+0.0050316i,0.04476+0.036549i,-0.0039167+0.0071309i,0.002326+0.0046582i,0.0067374-0.0030966i,0.0058571+0.0060871i,-0.0050097+0.011824i,-0.0036673+0.0072904i,0.010389+0.00069093i,0.0032387+0.0057912i,-0.0062305+0.0062584i,0.0056099+0.0043353i,0.013041+0.004057i,-0.0047247+0.0014419i,0.0050386+0.010013i,0.0094153+0.019739i,-0.038077-0.06669i,-0.033685-0.024098i,0.0039776+0.011261i,-0.014088+0.019381i,-0.013757-0.02705i,-0.010585-0.001957i,-0.014724-0.0037266i
-0.033016-0.013024i,-0.056915-0.0075096i,-0.07834+0.0031305i,-0.025913-0.0024434i,-0.02503+0.012652i,-0.025464+0.026401i,-0.027927+0.014304i,-0.0604-0.0064643i,-0.040294+0.014202i,0.012989-0.0046552i,0.0077536-0.0024082i,0.0018056+0.001961i,-0.0095235+0.004693i,0.0038913-0.0029171i,0.00034309+0.0010552i,0.017722-0.0013743i,-0.0035112-0.0094105i,-0.004124-0.0054313i,0.0059763-0.00038228i,-0.00043175-0.00091288i,0.0027445-0.0014836i,0.0051474-0.0039111i,0.0039107-0.00097745i,0.0055202-0.018812i,-0.00046011-0.0022215i,-0.0015623-0.0042488i,-0.00019881-0.0032316i,-0.00094908-0.0050199i,0.0013474-0.0013879i,0.001944+0.0025136i,-0.0040197-0.00052532i,-0.00043281+0.0032412i,-0.00019762+0.0045715i,-0.002747+0.0024101i,-0.0035025+0.0012681i,0.0091161-0.018588i,-0.0034061+0.00026759i,-0.0023991+0.0028627i,-0.0068204+0.0013796i,-0.0062986+0.011243i,0.0022446-0.00048878i,-0.0014496-0.0012578i,-0.0014663-0.0054571i,-0.0015145+0.0016555i,-0.022911-0.027907i,0.0074073-0.025767i,-0.070171-0.059879i,-0.017334-0.013739i,-0.029597-0.037846i,-0.036946-0.031279i,-0.099798-0.058789i,-0.069854-0.027176i,-0.051359-0.060536i,-0.01075-0.04982i,0.0089251-0.036339i,-0.0044119+0.002333i,-0.017223+0.0012948i,-0.021335+0.013617i,-0.0039132+0.016434i,-0.0034226+0.0136i,0.01534+0.025587i,0.0051931-0.0083329i,-0.0065683+0.0073611i,-0.0021177+0.0038082i,0.0068383-0.00084996i,0.0064609+0.012367i,0.0068548-0.0039023i,-0.025537-0.0045822i,-0.017963-0.0027165i,-0.0018496+0.00094877i,0.0068177+0.0099852i,0.0028682+0.0026536i,0.013785-0.0097389i,0.0063961+0.00028928i,0.053295+0.014018i,-0.0037374+0.0083623i,0.0041811+0.003408i,0.0025555-0.0054518i,0.0063142+0.0025244i,0.00073946+0.015363i,0.0034515+0.0064i,0.0077359-0.0037615i,0.0061778+0.0020746i,-0.0034341+0.0084137i,0.0044408+0.0032523i,0.011319+0.00093181i,-0.0064056+0.0025548i,0.0032799+0.0069831i,0.011854+0.015622i,-0.044377-0.062299i,-0.03949-0.0098324i,0.0023206+0.0016614i,-0.0036365+0.01392i,-0.026238-0.022005i,-0.013868+0.0069377i,-0.019827-0.0018916i
-0.034585-0.0083729i,-0.055346+0.0025305i,-0.072124+0.019662i,-0.027477-0.0005312i,-0.018607+0.016967i,-0.019891+0.029073i,-0.028321+0.012016i,-0.062613+0.0017886i,-0.033255+0.017488i,0.0089221-0.0082241i,0.0044835-0.0031854i,0.0028987+0.0024739i,-0.0051215+0.007734i,0.00055167-0.0037828i,0.00079094+0.002304i,0.013735-0.0078119i,-0.0026217-0.0077347i,-0.0052054-0.0018892i,0.0041948-0.0019168i,0.00042103-0.00034468i,0.0037748-0.0016167i,0.0033324-0.0037864i,0.0037411-0.0018045i,-0.0011456-0.017668i,-0.0014713-0.0018174i,-0.0033306-0.0029899i,-0.0013892-0.0034607i,-0.0024605-0.0046866i,0.000636-0.0020391i,0.0030482+0.0011187i,-0.0045212+0.0004483i,0.0008311+0.0025942i,0.0014153+0.0036951i,-0.00096606+0.0033661i,-0.0036656+0.0018566i,0.00069502-0.01565i,-0.0031642-0.00035637i,-0.0003164+0.0028564i,-0.0051987+0.0043512i,-0.00094757+0.014492i,0.0026699+0.00015777i,-0.00068514+4.6137e-05i,-0.0017886-0.0049851i,-0.0014302+0.004704i,-0.023474-0.019931i,0.016396-0.033565i,-0.083527-0.048677i,-0.01861-0.015669i,-0.031108-0.035929i,-0.041504-0.024162i,-0.10241-0.029547i,-0.06832-0.015592i,-0.046381-0.044542i,-0.013594-0.053864i,-0.0042016-0.04112i,-0.0029199+0.0028215i,-0.018434+0.00016633i,-0.011735+0.019653i,0.00079507+0.013127i,0.0033128+0.0054885i,0.015315+0.012492i,-9.0354e-05-0.0094251i,-0.0041812+0.0091448i,-0.0026281+0.004676i,0.0038164-0.0037935i,0.00864+0.0070306i,0.004732-0.0022034i,-0.022999+0.0094706i,-0.015748+0.0067773i,-0.00071883+0.0011019i,0.011145+0.0072235i,0.0026727+0.0021618i,0.0049558-0.014316i,0.0038834-0.0027842i,0.050546-0.0062492i,-0.00049285+0.010258i,0.0032498+0.0013941i,-0.0014936-0.0040998i,0.0057039+0.0013493i,0.0089119+0.015815i,0.0045782+0.0018757i,0.0055268-0.0051937i,0.0049498-0.00065985i,0.0021251+0.0096467i,0.0049528+0.0022653i,0.011178-0.0020905i,-0.0049141+0.0076201i,0.0039076+0.0061054i,0.01408+0.01254i,-0.051867-0.059208i,-0.02796-0.0043763i,-0.00049569-0.0022326i,-0.0027364+0.0060051i,-0.035293-0.011816i,-0.0084149+0.010005i,-0.019144+0.0016623i
-0.034448-0.0034366i,-0.051772+0.010818i,-0.062091+0.0339i,-0.027479+0.0034774i,-0.010825+0.017439i,-0.014354+0.030341i,-0.029646+0.013219i,-0.062154+0.012098i,-0.028119+0.019712i,0.0048427-0.009696i,0.0022332-0.0025758i,0.0045099+0.0016534i,-0.00092831+0.0091166i,-0.0025593-0.00219i,0.001311+0.0023057i,0.0075666-0.0097317i,-0.005092-0.0094558i,-0.0043637+0.00014213i,0.0042754-0.0021263i,0.0010561-0.0006456i,0.0038142-0.0031147i,0.0028974-0.0032906i,0.0034308-0.0027233i,-0.0068799-0.015327i,-0.0022069-0.001484i,-0.0039241-0.001394i,-0.0031271-0.0025604i,-0.003752-0.0031739i,-8.8906e-05-0.0024954i,0.0026125-0.0010642i,-0.0047167+0.0021168i,0.0012879+0.0020214i,0.0022602+0.0027918i,0.0011851+0.0024996i,-0.0026533+0.003029i,-0.0027917-0.01165i,-0.0033183-1.4663e-05i,0.0011098+0.0014802i,-0.0022249+0.0047767i,0.0068245+0.013591i,-0.00235-0.00065373i,0.00012666+0.00024632i,-0.0034431-0.0051903i,0.00093132+0.0044838i,-0.021001-0.016724i,0.014421-0.050517i,-0.092048-0.031089i,-0.018723-0.016756i,-0.033395-0.037634i,-0.043655-0.01585i,-0.098472-0.0079377i,-0.063703-0.0067512i,-0.042261-0.035432i,-0.020487-0.056982i,-0.022346-0.040481i,-0.0022129+0.0022922i,-0.024519+0.0028495i,-0.0028836+0.018735i,0.0025744+0.0076708i,0.0029121-0.0017575i,0.011826+0.0069405i,-0.005466-0.0094583i,-0.00098012+0.0097753i,-0.0017668+0.005599i,0.0007881-0.0038862i,0.0070817+0.0026841i,0.0043927-0.0013688i,-0.014175+0.017215i,-0.0090866+0.013205i,0.0015467-8.352e-05i,0.013776+0.00052773i,0.0024808+0.0024765i,-0.0027608-0.012715i,0.0010729-0.0031577i,0.042083-0.020694i,0.0039617+0.010788i,0.0026887+0.0016804i,-0.0038815-0.0012916i,0.0057988-0.001674i,0.016495+0.011187i,0.0032399-0.001502i,0.0023691-0.0068818i,0.0031557-0.0024052i,0.0069211+0.007943i,0.0052625+0.0021074i,0.0076163-0.0062404i,-3.2078e-05+0.009328i,0.0045892+0.0040735i,0.017279+0.007963i,-0.061353-0.051231i,-0.024114+0.0059784i,-0.0028465-0.0046984i,-0.0053178+0.0033981i,-0.038767+0.0002327i,-0.006015+0.0088153i,-0.017019+0.0038355i
