-0.0065359-0.039577i,-0.012401-0.043204i,0.0019393-0.045851i,-0.027318-0.027457i,-0.020544+0.014361i,-0.032339-0.03252i,-0.05932-0.061969i,-0.021433-0.073177i,-0.034686-0.050748i,0.00091199+0.014599i,-0.0071156+0.010861i,-0.015072+0.013781i,0.0016364+0.016413i,-0.003878-0.003719i,0.0005084+0.0065126i,5.4917e-05+0.039078i,0.019307+0.059072i,0.00050088-0.0003152i,-0.0048549-0.0080804i,0.0086688+0.0049489i,0.0013775+0.00095737i,-0.00089221+0.0036983i,0.00014346-0.0013908i,-0.0362-0.0099771i,-0.0024834-0.0075029i,-0.00019978+0.004739i,0.0051894+2.1972e-05i,0.00040967+0.00059951i,-0.00021292-0.0012086i,0.00012699-0.0025912i,-0.0011035-0.0059366i,-0.0023963-0.0038993i,-0.00053329-0.0076439i,0.0031936-0.0014454i,0.0031424-0.0023715i,-0.0016063+0.034404i,0.0060843-0.0041398i,0.003717-0.0023349i,0.0051062+0.00023683i,-0.013814-0.0050117i,-0.00010076+0.00068298i,0.0096435-0.00042578i,0.0059493-0.0011821i,-0.0039698+0.0035219i,0.0036138+0.0025949i,-0.0038239+0.0091191i,0.015315-0.086891i,-0.0065866-0.047483i,-0.024222-0.038468i,-0.019456-0.041492i,0.064225-0.015816i,0.028308-0.060974i,0.03883-0.044565i,0.029819-0.056522i,0.019199-0.015523i,0.0084824+0.0098766i,0.024669-0.032625i,-0.0074763-0.0048802i,0.002412-0.0024418i,-0.0046446-0.0060349i,0.0015413-0.032318i,-0.024554+0.031106i,0.0077326-0.0097023i,-0.011282-0.0015517i,-0.0052391-0.0011178i,-0.00095898-0.013479i,-0.010297+0.0040716i,0.0035135+0.0082319i,-0.010953+0.031364i,0.0057116+0.0078062i,-0.0052658-0.0014928i,-0.002056-0.0020269i,-0.011367-0.0074945i,0.00099319-0.0037266i,-0.035242+0.004549i,0.0024072-0.012308i,-0.0089123-0.0023122i,-0.0066667-0.003267i,0.0063931+0.0014358i,-0.0097357+0.0014684i,0.0011253+0.00084916i,0.0054642+0.0090637i,0.0047689+0.00033978i,-0.0084941-0.0090628i,0.0026706+0.0085891i,-0.019224+0.0064429i,0.0070869+0.0031543i,-0.028888-0.0087327i,-0.034001+0.0022222i,0.025816-0.077643i,0.012575-0.010131i,-0.042528-0.027522i,-0.022843-0.0040326i,0.017889+0.01275i,-0.026978+0.012041i,-0.011017-0.0087675i
-0.014668-0.038835i,-0.018323-0.036633i,-0.0049254-0.049742i,-0.029886-0.02398i,-0.01051+0.011879i,-0.040325-0.025348i,-0.068012-0.048434i,-0.03123-0.070866i,-0.040343-0.039949i,0.002377+0.013311i,-0.0061542+0.0088147i,-0.0073723+0.020134i,0.0097059+0.012456i,-0.0085147-0.00045374i,0.0014209+0.0058622i,0.0094009+0.032427i,0.03352+0.043625i,0.0017492+0.0022284i,-0.0078488-0.0028676i,0.0092566+0.00062226i,0.00034126+0.0019758i,-0.0011434+0.0042513i,-0.00056528-0.00014463i,-0.025193+0.010997i,-0.0050512-0.0050653i,0.0033848+0.0030023i,0.0036402-0.00016443i,0.0002375+0.0027546i,0.00098553-0.0012943i,-0.0012666-0.0028934i,-0.0016625-0.00491i,-0.0029077-0.0032363i,-0.0024944-0.0070294i,0.0020926-0.0031628i,0.002162-0.0019794i,0.0097692+0.030784i,0.0052551-0.0062708i,0.0020576-0.0032468i,0.0070246-0.0015675i,-0.0093227-0.0008111i,0.00020193+0.002015i,0.0078384-0.0022649i,0.0043073-0.00055036i,-0.0051845+0.0050195i,0.010975+0.00055924i,0.0084431+0.011891i,4.7554e-05-0.089437i,-0.020725-0.049425i,-0.017984-0.031714i,-0.019824-0.028045i,0.067444-0.044544i,0.026907-0.081189i,0.041557-0.04567i,0.02055-0.06554i,0.009273-0.0095396i,0.0078428+0.00037114i,0.010923-0.035557i,-0.0067893+0.00075956i,0.00019312-0.010868i,-0.005642-0.0065123i,-0.02208-0.03344i,-0.0097126+0.03007i,0.001951-0.012408i,-0.01193+0.0018553i,-0.0044847+0.00065174i,-0.0067951-0.012547i,-0.010632+0.0085145i,0.0072476+0.0089278i,0.00829+0.029653i,0.0074067+0.0022894i,-0.0042329+0.0012867i,-0.0045325-0.0020908i,-0.01597+0.0014168i,0.00086251-0.0029713i,-0.038593+0.011936i,-0.0041867-0.010329i,-0.00952+0.0021331i,-0.0082124+0.00043614i,0.0042213-0.0041979i,-0.0086121+0.0046127i,0.0025579-0.00068429i,0.0049287+0.0033974i,0.0031452-0.0011248i,-0.012867-0.0013636i,0.0041642+0.005302i,-0.013615+0.013214i,0.0064405-0.0014042i,-0.029335+0.0022359i,-0.033015+0.012027i,0.01144-0.079778i,0.0084243-0.016537i,-0.049528-0.014108i,-0.016286-0.0061927i,0.018747+0.0063404i,-0.021122+0.018843i,-0.01777-0.014552i
-0.020348-0.035047i,-0.020254-0.035324i,-0.012953-0.053382i,-0.032487-0.018695i,-0.0037726+0.0052474i,-0.045847-0.016605i,-0.078915-0.032631i,-0.04659-0.067236i,-0.044243-0.032935i,0.0042315+0.012208i,-0.0059192+0.01178i,0.0022891+0.019123i,0.013057+0.0044531i,-0.0091272+0.0041476i,0.0026791+0.0058242i,0.015431+0.024732i,0.043989+0.03017i,0.0052401+0.0022811i,-0.0069026+0.001623i,0.0082757-0.0022234i,0.00026455+0.0024045i,0.00035297+0.0061758i,-0.00021663+0.00050085i,-0.012058+0.018523i,-0.004743-0.0023386i,0.0046728+0.00013009i,0.0032818-0.0011566i,0.0031246+0.0033677i,-0.00037417-0.0021403i,-0.0018074-0.0025975i,-0.0025434-0.0043457i,-0.003897-0.0022604i,-0.0048735-0.0058112i,0.00073774-0.0041525i,0.003848-0.0043157i,0.018989+0.022853i,0.0026032-0.0072612i,0.0010373-0.0036068i,0.0070048-0.0061166i,-0.0092134+0.00034162i,0.0011835+0.0023908i,0.0062074-0.0045511i,0.0053581-0.00031576i,-0.0036403+0.0074315i,0.015571-0.0078603i,0.019934+0.0073048i,-0.015111-0.088558i,-0.032682-0.041185i,-0.010542-0.034885i,-0.012285-0.027117i,0.060869-0.07098i,0.0076432-0.1005i,0.047585-0.05301i,0.0079222-0.06722i,0.0078862-0.0072129i,0.0050177-0.003183i,-3.5326e-06-0.03797i,0.0025418-2.2887e-05i,-0.0095193-0.012987i,-0.0055084-0.0089913i,-0.040459-0.022254i,-0.0005829+0.027484i,-0.00425-0.011648i,-0.0094528+0.0050778i,-0.0058242+0.0015219i,-0.01349-0.0098578i,-0.0053762+0.01505i,0.013349+0.0041162i,0.02018+0.019121i,0.0069684-0.00024555i,-0.003798+0.0009223i,-0.0053278-0.00044109i,-0.012577+0.010448i,-0.002104-0.0027144i,-0.033145+0.023791i,-0.0067766-0.0057911i,-0.0076461+0.0070402i,-0.0085631+0.0068058i,-0.0007638-0.0050691i,-0.0062094+0.0065774i,0.0017264-0.0021077i,0.0027356+0.0021922i,0.0026384-0.0024363i,-0.00855+0.0055027i,0.0038036+0.0022637i,-0.0080697+0.015301i,0.0028523-0.0044481i,-0.025249+0.010952i,-0.026679+0.021158i,0.0014423-0.078978i,0.0017872-0.017353i,-0.049171-0.0015847i,-0.021096-0.01263i,0.017751-0.0018637i,-0.01052+0.020093i,-0.02135-0.011052i
-0.024285-0.030854i,-0.024565-0.036466i,-0.023397-0.056506i,-0.030933-0.012596i,-0.0022129-0.0042969i,-0.047645-0.0058492i,-0.082892-0.0046781i,-0.062155-0.052492i,-0.049655-0.022673i,0.0063589+0.011344i,-0.0014623+0.014579i,0.0069015+0.013665i,0.011876-0.0035074i,-0.0072272+0.0098338i,0.0032132+0.0043274i,0.017129+0.01458i,0.052037+0.0086518i,0.0069806-0.0011243i,-0.0060121+0.0052307i,0.0058625-0.0045065i,0.0017378+0.003758i,0.0039271+0.0068314i,-0.00023752+0.0008611i,-0.00028097+0.024474i,-0.0040774-0.0011734i,0.0036327-0.0022736i,0.0031049-0.0018047i,0.0041204+0.00019468i,-0.00088962-0.00074031i,-0.0033381-0.0022657i,-0.0031064-0.0035386i,-0.0042233-0.0011443i,-0.0065524-0.0033133i,-0.0011288-0.0048485i,0.00020985-0.0065987i,0.02133+0.013306i,-0.00038871-0.0075546i,-0.00011342-0.0040125i,0.0031055-0.0088385i,-0.0064755+0.0046323i,0.002331+0.001818i,0.0029425-0.0062374i,0.0053009-0.0019862i,-0.00061547+0.0073653i,0.017733-0.015148i,0.028701-0.0020861i,-0.028936-0.083327i,-0.036188-0.02994i,-0.011599-0.039436i,-0.010841-0.02971i,0.043531-0.099695i,-0.021208-0.10465i,0.046715-0.073158i,-0.0017509-0.06624i,0.0070495-0.0055741i,0.00073571-0.0060676i,-0.013865-0.034263i,0.0025115-0.0091758i,-0.014009-0.0078722i,-0.011665-0.012248i,-0.048547-0.0011908i,0.010067+0.022409i,-0.0085818-0.0090542i,-0.0063121+0.0060866i,-0.0050495+0.0044224i,-0.018878-0.0028917i,0.0033155+0.013658i,0.016041-0.0029491i,0.024356+0.0076179i,0.0074818-0.0030024i,-0.0045315+0.00087665i,-0.0060378+0.0024653i,-0.0075199+0.016392i,-0.0041274+0.00037979i,-0.027432+0.032255i,-0.0073061-0.0026608i,-0.0024089+0.0094339i,-0.0028117+0.011952i,-0.0049595-0.002522i,-0.0024377+0.005535i,0.0013017-0.0025325i,0.0017907+0.0025896i,7.4878e-05-0.004494i,-0.0028579+0.0049213i,0.00047601-0.00064445i,-0.0039844+0.017548i,-0.001013-0.0037196i,-0.018063+0.017365i,-0.018201+0.024428i,-0.0068706-0.079798i,0.0024229-0.014639i,-0.04564+0.01223i,-0.029261-0.0099321i,0.014166-0.0079018i,-0.0015959+0.015993i,-0.021388-0.0062953i
-0.026893-0.026215i,-0.032119-0.034725i,-0.03785-0.056656i,-0.029035-0.0095786i,-0.0081412-0.012787i,-0.046804+0.004371i,-0.066231+0.015938i,-0.064159-0.03577i,-0.045512-0.012641i,0.008603+0.0099046i,0.0041466+0.012755i,0.0089533+0.010147i,0.0063525-0.008791i,-0.0011461+0.012449i,0.0030748+0.0026671i,0.014213+0.010222i,0.042098-0.01625i,0.0060328-0.0041555i,-0.0016631+0.010159i,0.0033117-0.0052547i,0.00327+0.0044038i,0.0062974+0.0038654i,-0.00011396+0.0021602i,0.018317+0.019131i,-0.0042129+0.00055251i,0.0024178-0.0035449i,0.0018549-0.0029398i,0.0035025-9.9107e-05i,1.3149e-07-9.1091e-05i,-0.0045347-1.8729e-05i,-0.0037808-0.0022961i,-0.0040482+0.00017109i,-0.0064699-0.00030148i,-0.0037991-0.0041181i,-0.0025742-0.005373i,0.022519+0.0078139i,-0.0028104-0.0068501i,-0.002251-0.0038978i,-0.00051187-0.0080952i,-0.0024079+0.0016906i,0.0024963+0.0009014i,-0.00035233-0.0047781i,0.0053428-0.002643i,0.00043377+0.0062029i,0.015825-0.027907i,0.034598-0.016685i,-0.03757-0.074779i,-0.035162-0.020355i,-0.014511-0.043063i,-0.011302-0.030658i,0.0090779-0.12037i,-0.046675-0.096822i,0.028894-0.090042i,-0.013859-0.061244i,0.0078191-0.0032814i,-0.003671-0.0063135i,-0.023452-0.024269i,-0.0044228-0.013462i,-0.01613-0.0048687i,-0.021409-0.0076408i,-0.045197+0.017669i,0.014379+0.011367i,-0.011898-0.0044753i,-0.0043235+0.0062061i,-0.0035004+0.006988i,-0.01934+0.0074093i,0.0045612+0.0086742i,0.015166-0.010335i,0.025647-0.0053202i,0.0056837-0.007381i,-0.0067656+0.0032149i,-0.0038603+0.0060055i,0.00072577+0.018484i,-0.0043049+0.0042584i,-0.020036+0.042817i,-0.0089386-0.0010832i,0.0012557+0.007296i,0.0040327+0.011436i,-0.0067172+0.001269i,-0.0028081+0.0027245i,-0.00061224-0.0034413i,0.0011526+0.00432i,-0.0042335-0.0040703i,-0.0020656+0.0018784i,-0.0030325+0.0015725i,0.0029255+0.018859i,-0.0032878-0.0025607i,-0.0097121+0.019957i,-0.012325+0.025895i,-0.018679-0.078149i,0.0064603-0.020694i,-0.037334+0.02644i,-0.032955+6.8026e-05i,0.0090362-0.012843i,0.0006736+0.0082287i,-0.020735-0.0055876i
-0.027971-0.022949i,-0.036933-0.0313i,-0.054328-0.050033i,-0.02925-0.0086581i,-0.020017-0.014503i,-0.041855+0.01352i,-0.049112+0.02197i,-0.062417-0.024543i,-0.042649-0.0092135i,0.0099828+0.0079905i,0.0059448+0.0098926i,0.01096+0.0051575i,-0.00066916-0.010666i,0.0051712+0.010275i,0.00224+0.001994i,0.01302+0.0082681i,0.023385-0.025844i,0.0053186-0.005588i,0.0047384+0.009737i,0.00081851-0.004753i,0.0058906+0.002519i,0.0062445+0.0011458i,0.0021549+0.0029328i,0.025752+0.0038523i,-0.0022243+0.0027697i,0.00067689-0.0040446i,1.4918e-05-0.0010078i,0.0046048-0.0017408i,0.00025804-0.001096i,-0.0030049+0.0031234i,-0.0034012-0.0013552i,-0.003965+0.0010506i,-0.00662+0.0019078i,-0.0051532-0.00088166i,-0.0032649-0.0036013i,0.024349+0.00030294i,-0.0053122-0.0054437i,-0.0044083-0.0033845i,-0.0032382-0.0078206i,-0.0047392-0.0014365i,0.0032136+0.0002834i,-0.0017463-0.0023307i,0.0040741-0.0044377i,0.00096365+0.005791i,0.0061903-0.037043i,0.024962-0.036505i,-0.039969-0.0677i,-0.033626-0.013497i,-0.019433-0.043477i,-0.01082-0.034762i,-0.03073-0.1173i,-0.068575-0.080994i,0.009626-0.095649i,-0.016751-0.047356i,0.014222+0.00085405i,-0.0065365-0.0038579i,-0.02486-0.010855i,-0.010512-0.013264i,-0.020535-7.9291e-05i,-0.0209+0.0014479i,-0.036176+0.034504i,0.012704+0.0038577i,-0.0095556+0.0023305i,-0.0048048+0.0061912i,0.001294+0.0091819i,-0.013073+0.014568i,0.0058992+0.0096465i,0.01099-0.02185i,0.015038-0.020777i,-0.0016231-0.011299i,-0.0068651+0.0077634i,-0.0019498+0.0066749i,0.0083476+0.016189i,-0.0013108+0.0067494i,-0.00242+0.056075i,-0.011167+0.0014981i,0.001531+0.0064189i,0.0080169+0.0064834i,-0.0053508+0.007461i,-0.0037057+0.0045356i,-0.0040864-0.0027228i,0.0042962+0.0051617i,-0.0052676+0.0025086i,-0.0046481+0.0017384i,-0.00095666+0.0070783i,0.0092748+0.015191i,-0.0053459-0.0016919i,-0.0034225+0.017522i,-0.0041417+0.027649i,-0.024538-0.070026i,-0.0018347-0.034003i,-0.016819+0.032008i,-0.029514+0.0082519i,0.0073121-0.019604i,0.00035269+0.0021998i,-0.021677-0.00027346i
-0.02889-0.020568i,-0.045458-0.029222i,-0.068602-0.036399i,-0.028275-0.003964i,-0.029489-0.0064071i,-0.035677+0.019073i,-0.037247+0.020773i,-0.060691-0.017424i,-0.045684-0.0054435i,0.012603+0.004474i,0.0089647+0.0089853i,0.0084626-0.00092522i,-0.0084383-0.0076949i,0.0088955+0.0039761i,0.002156+0.0015121i,0.012816+0.0073902i,0.0077075-0.024422i,0.0029333-0.0078546i,0.0075805+0.0046898i,-0.00054779-0.0030009i,0.0061119-0.0010531i,0.0075712+0.00069764i,0.0039953+0.0016091i,0.022159-0.0096039i,0.0012687+0.0016932i,-0.00019359-0.0032924i,0.0013187-0.0020362i,0.0045573-0.0047828i,-0.00015765-0.00088588i,-0.00032426+0.0035748i,-0.0035159-0.00085688i,-0.0030588+0.0023735i,-0.0046068+0.0043418i,-0.0037821+0.0011529i,-0.0042799-0.0035945i,0.021713-0.0081929i,-0.00628-0.0022837i,-0.0054091-0.0010979i,-0.0069961-0.0049595i,-0.0099241+0.0011925i,0.0028847-0.00077049i,-0.00065597-0.0018345i,0.0024111-0.0055753i,0.0019392+0.003801i,-0.0064392-0.039594i,0.0076209-0.03959i,-0.046613-0.067518i,-0.025837-0.0078242i,-0.023008-0.042295i,-0.018993-0.041911i,-0.05849-0.10257i,-0.077469-0.055862i,-0.013953-0.097706i,-0.011324-0.04305i,0.021383-0.013196i,-0.0074641-0.00028801i,-0.021238-0.0065038i,-0.01948-0.0097628i,-0.018796+0.0096608i,-0.018762+0.0058789i,-0.015989+0.043791i,0.01147-0.00059501i,-0.0075908+0.0023206i,-0.0012475+0.0059203i,0.0041271+0.0056651i,-0.00615+0.01856i,0.010816+0.0074065i,-0.0046216-0.027579i,-0.0036741-0.022367i,-0.0053282-0.0048009i,-0.0030827+0.011742i,0.0020775+0.0058951i,0.014781+0.0085219i,0.0023116+0.0053421i,0.024478+0.053134i,-0.0080107+0.0069019i,0.0027915+0.0050168i,0.0083558+0.0016252i,0.0006463+0.0098371i,-0.0052231+0.0060347i,-0.0060851+0.002158i,0.0074494+0.0045828i,-0.0023974+0.0059565i,-0.0060357+0.0041679i,0.0032519+0.0072425i,0.011586+0.010092i,-0.0052913+0.0015437i,0.0018863+0.014502i,0.0045432+0.024958i,-0.029142-0.068965i,-0.020488-0.035433i,-0.0025214+0.023342i,-0.026427+0.013181i,-0.0021143-0.027017i,-0.0028881-0.0017853i,-0.014498+0.0022753i
-0.031161-0.018301i,-0.053973-0.019718i,-0.077224-0.018413i,-0.02594-0.0028701i,-0.030003+0.005009i,-0.030875+0.022786i,-0.030878+0.017832i,-0.060013-0.011616i,-0.045729+0.0044921i,0.013051+0.00014363i,0.012363+0.0033415i,0.0028298-0.0015275i,-0.01159-0.00073449i,0.0059553-0.00062047i,0.0013237+0.00070777i,0.015686+0.0045972i,-0.0019398-0.017819i,-0.0014072-0.0080077i,0.0064152+0.0012453i,-0.00072522-0.0018546i,0.003361-0.002663i,0.0075176-0.0023926i,0.0038704-0.00021737i,0.013658-0.017375i,0.00081465-0.0009393i,-0.00059433-0.0033827i,0.00094898-0.003048i,0.001464-0.0057947i,0.0014191-0.00017298i,0.00057704+0.0025994i,-0.003849-0.00053799i,-0.0017809+0.0028607i,-0.0023586+0.0054702i,-0.0026985+0.0011531i,-0.0059654-0.00044667i,0.016297-0.014379i,-0.0051413-0.0002696i,-0.0044097+0.001517i,-0.0067041-0.001939i,-0.0090582+0.0069189i,0.0023053-0.00089272i,-0.00047499-0.001855i,0.00011293-0.0054214i,0.00082099+0.0018791i,-0.017317-0.034497i,0.0011125-0.030713i,-0.05668-0.065327i,-0.019154-0.0097883i,-0.02693-0.041225i,-0.030628-0.038605i,-0.081928-0.085663i,-0.073348-0.036306i,-0.041343-0.08683i,-0.0090436-0.046466i,0.017267-0.025659i,-0.005785+0.0019525i,-0.020223-0.00021255i,-0.02602+0.0008262i,-0.011533+0.016389i,-0.015056+0.012311i,0.0053825+0.039972i,0.0090046-0.0060671i,-0.008049+0.0038103i,-0.0013874+0.004015i,0.0064307+0.0041268i,0.002393+0.016476i,0.012446-0.00033866i,-0.019874-0.018842i,-0.015115-0.012866i,-0.0043045-0.00061859i,0.0037871+0.011862i,0.0034305+0.003908i,0.01698+0.0014807i,0.0050732+0.0046698i,0.043768+0.036807i,-0.0042035+0.0067957i,0.0024431+0.0046361i,0.0065564-0.0031053i,0.005817+0.006557i,-0.0042804+0.012049i,-0.0034256+0.0075631i,0.010233+0.00034159i,0.0024566+0.0064313i,-0.005248+0.0074515i,0.0057727+0.0043563i,0.012424+0.0056769i,-0.0043328+0.0023089i,0.0045164+0.00999i,0.0095739+0.019289i,-0.035945-0.066852i,-0.032209-0.022751i,0.0043217+0.011745i,-0.014867+0.019741i,-0.014262-0.027172i,-0.010442-0.0020696i,-0.014302-0.0036531i
-0.033744-0.014502i,-0.056523-0.0073044i,-0.078307+0.0019654i,-0.026001-0.0019398i,-0.025256+0.012573i,-0.02571+0.026395i,-0.027493+0.014411i,-0.061342-0.0065504i,-0.038912+0.013363i,0.011656-0.0041196i,0.0094595-0.0025399i,0.0015669+0.0016777i,-0.010284+0.0055079i,0.003289-0.0026164i,0.00032836+0.001156i,0.016501-0.0011627i,-0.0034801-0.0098914i,-0.004488-0.0054025i,0.005211+0.00030069i,-0.00053972-0.0010491i,0.0023466-0.0014252i,0.0055844-0.004358i,0.0036917-0.00091574i,0.0053192-0.018473i,-0.00061119-0.0018672i,-0.0015954-0.0040112i,-0.00031276-0.0033692i,-0.00050067-0.0053765i,0.0012175-0.001702i,0.0016292+0.0022115i,-0.0040134-2.2584e-05i,-0.00058625+0.0029987i,-0.00023502+0.0043707i,-0.0023955+0.002798i,-0.0041295+0.00063048i,0.0087403-0.017893i,-0.0034772+0.00047816i,-0.0026075+0.0027947i,-0.0081057-6.3782e-05i,-0.0055308+0.010308i,0.0023417-0.0010066i,-0.0011899-0.0016497i,-0.00085917-0.0044704i,-0.0017687+0.0024172i,-0.023673-0.027013i,0.0070812-0.025783i,-0.069459-0.059159i,-0.0171-0.013675i,-0.030525-0.03864i,-0.036806-0.031119i,-0.099816-0.058711i,-0.069841-0.027273i,-0.051584-0.060911i,-0.011152-0.049296i,0.0068322-0.035084i,-0.0046948+0.002311i,-0.01649+0.0009487i,-0.02201+0.013822i,-0.0035179+0.016637i,-0.0036596+0.013843i,0.015034+0.026607i,0.004218-0.0087347i,-0.0074601+0.0069314i,-0.0020477+0.003956i,0.0065679-0.00066794i,0.0072164+0.012589i,0.0068227-0.0036392i,-0.026067-0.0045655i,-0.017271-0.0026288i,-0.0015308+0.00056479i,0.0067163+0.0099205i,0.0028198+0.0026013i,0.014432-0.0090346i,0.0064903-3.9279e-06i,0.053548+0.015112i,-0.0038498+0.0080507i,0.0042381+0.0036288i,0.0021712-0.00523i,0.0063748+0.0029711i,0.0017078+0.015594i,0.0037795+0.0061705i,0.0077243-0.0040926i,0.005775+0.0027938i,-0.0023086+0.011343i,0.0046391+0.0033371i,0.011344+0.0019711i,-0.0055774+0.0032843i,0.0024975+0.0071947i,0.011933+0.015245i,-0.04312-0.063455i,-0.03258-0.0085434i,0.0028512+0.0018955i,-0.0040073+0.014017i,-0.025655-0.021763i,-0.014076+0.007141i,-0.019717-0.0018777i
-0.03558-0.0097227i,-0.054889+0.0024975i,-0.07305+0.019891i,-0.02707-0.00057927i,-0.018676+0.01707i,-0.01995+0.029211i,-0.027986+0.012004i,-0.063893+0.0019528i,-0.031937+0.016504i,0.0084084-0.0069804i,0.0048243-0.0038905i,0.0025377+0.0023276i,-0.0056998+0.009099i,0.00045828-0.0032064i,0.00081109+0.0024271i,0.012655-0.0070272i,-0.0022643-0.0083767i,-0.0049369-0.0016814i,0.0053272-0.0010026i,0.000303-0.000366i,0.0033946-0.0016477i,0.0035166-0.0040405i,0.0036494-0.001723i,-0.0013969-0.017358i,-0.0013338-0.0013981i,-0.0033677-0.0030284i,-0.0014708-0.0033406i,-0.0022352-0.0051631i,0.00058616-0.0022953i,0.0025965+0.00085936i,-0.0044567+0.00089643i,0.00057128+0.002525i,0.0012887+0.0034547i,-0.00053637+0.0033831i,-0.0044617+0.001608i,0.0010472-0.016074i,-0.0031318-7.3001e-06i,-0.00049935+0.0028453i,-0.0070132+0.0042879i,-0.0012302+0.012357i,0.0023831-0.0014761i,-0.00072984-0.0004222i,-0.0016308-0.0044618i,-0.0013062+0.0058138i,-0.024077-0.019189i,0.016288-0.033692i,-0.081744-0.046321i,-0.018566-0.016126i,-0.032076-0.036476i,-0.041137-0.024126i,-0.10256-0.029338i,-0.067927-0.01596i,-0.046957-0.044759i,-0.014002-0.053621i,-0.0067871-0.03835i,-0.0033495+0.0027696i,-0.017421+4.6261e-05i,-0.012286+0.02007i,0.0016074+0.013028i,0.0032061+0.0057927i,0.015642+0.014037i,-0.0011074-0.008697i,-0.0050702+0.0090298i,-0.0025376+0.0048975i,0.0037055-0.0034249i,0.0094867+0.007189i,0.0045502-0.0020732i,-0.023349+0.0095359i,-0.014312+0.0063073i,-0.00056231+0.00082936i,0.011045+0.007365i,0.0026106+0.0020767i,0.0056576-0.013632i,0.0039253-0.0031466i,0.051282-0.0070182i,-0.00081908+0.0099677i,0.0033918+0.0016258i,-0.0013588-0.0036509i,0.0060225+0.0012612i,0.0098646+0.015879i,0.0045265+0.0017615i,0.0054553-0.0054975i,0.0048739-0.00018954i,0.0035113+0.012592i,0.0054421+0.0025528i,0.011135-0.0015803i,-0.0039633+0.007875i,0.0033626+0.0067227i,0.013921+0.011651i,-0.050816-0.059529i,-0.028526-0.00048839i,-0.00016716-0.0022477i,-0.0028621+0.0061159i,-0.033684-0.012012i,-0.0085537+0.010581i,-0.018807+0.0019474i
-0.035679-0.004546i,-0.051224+0.010558i,-0.062418+0.034399i,-0.027191+0.0032465i,-0.010891+0.017613i,-0.014242+0.030374i,-0.029431+0.013148i,-0.063374+0.012608i,-0.026973+0.018346i,0.0052134-0.0084503i,0.0020448-0.0029449i,0.0042228+0.0018145i,-0.0014801+0.0099831i,-0.0024337-0.0017134i,0.001307+0.0024115i,0.0073194-0.0088855i,-0.0047381-0.010515i,-0.0042385-0.00015176i,0.0044882-0.0024998i,0.00099-0.00056274i,0.0035878-0.0030971i,0.0031781-0.0033878i,0.0032324-0.002741i,-0.0070249-0.014989i,-0.0018187-0.0011638i,-0.0040442-0.0013537i,-0.0029795-0.0025408i,-0.0038887-0.0035899i,-2.2658e-05-0.0026811i,0.0021746-0.0011598i,-0.0045013+0.0027597i,0.00096205+0.0021413i,0.0021433+0.0024569i,0.0014738+0.0023149i,-0.0034004+0.0029085i,-0.0026393-0.011818i,-0.003331+0.00039994i,0.0010127+0.0015931i,-0.0031002+0.0054143i,0.0049495+0.01214i,0.0021325-0.002046i,0.00011665-0.00026922i,-0.003068-0.0042591i,0.001578+0.0056223i,-0.021757-0.016038i,0.01388-0.050724i,-0.088379-0.028774i,-0.018999-0.01744i,-0.034521-0.038406i,-0.043201-0.015904i,-0.098582-0.0079231i,-0.063431-0.0072725i,-0.042948-0.035259i,-0.021086-0.056398i,-0.021681-0.036283i,-0.0025569+0.002462i,-0.022958+0.0023085i,-0.0030094+0.019352i,0.0037953+0.0087152i,0.0026331-0.0014038i,0.011914+0.0075319i,-0.0057469-0.0082729i,-0.0015482+0.010194i,-0.0017499+0.0059853i,0.00082167-0.0035079i,0.007603+0.0028212i,0.0042229-0.0014092i,-0.014506+0.017111i,-0.0079361+0.012024i,0.0012518-0.00010229i,0.013922+0.00087238i,0.0023728+0.0023211i,-0.002076-0.011958i,0.0010285-0.0035586i,0.041153-0.023481i,0.0037582+0.010725i,0.0025798+0.0018948i,-0.0036395-0.0011273i,0.0059578-0.002005i,0.017314+0.011112i,0.0031759-0.0013505i,0.0026038-0.0072541i,0.0031439-0.0022058i,0.0086164+0.009809i,0.0057884+0.0024675i,0.0075314-0.0056053i,0.00085241+0.0092307i,0.0046821+0.0047621i,0.016514+0.0075521i,-0.059762-0.052625i,-0.023612+0.0064879i,-0.0028652-0.0049474i,-0.0054427+0.0032923i,-0.037135-0.00092375i,-0.0059906+0.0093897i,-0.016385+0.0040258i
