-0.0078371-0.039657i,-0.013148-0.043304i,0.0010453-0.045969i,-0.027296-0.027163i,-0.020416+0.014105i,-0.033389-0.03101i,-0.06075-0.059467i,-0.023026-0.071604i,-0.033915-0.050464i,0.0015946+0.014938i,-0.0067409+0.010722i,-0.014564+0.013657i,0.0018699+0.016066i,-0.0037126-0.0034232i,0.00079746+0.0063668i,0.00088996+0.037077i,0.020277+0.057929i,0.00080636-0.00020406i,-0.004767-0.0082303i,0.0081962+0.0045796i,0.0016821+0.0010041i,-0.0010588+0.0036133i,-7.5055e-05-0.0012066i,-0.036274-0.0091691i,-0.0024518-0.0070734i,-6.5179e-06+0.004498i,0.0049536+0.00023422i,0.00029048+0.0008507i,-0.00012331-0.0010893i,1.0084e-05-0.00271i,-0.0012362-0.0057096i,-0.0023888-0.0038635i,-0.00080496-0.0079668i,0.0031157-0.0013356i,0.0032494-0.0025241i,-0.0010416+0.034002i,0.0058701-0.0046132i,0.0034068-0.0021994i,0.0049482-0.00012108i,-0.0134-0.0040639i,-0.00014131+0.00036064i,0.0096136-0.00073169i,0.0061915-0.00044736i,-0.0033819+0.0037386i,0.0030147+0.0018539i,-0.0029874+0.0072833i,0.01312-0.088117i,-0.007599-0.047953i,-0.024726-0.039216i,-0.020905-0.041784i,0.06176-0.019381i,0.025721-0.06237i,0.038123-0.046641i,0.028629-0.057378i,0.018995-0.015817i,0.0087716+0.009549i,0.023829-0.031687i,-0.0074616-0.0047179i,0.0024379-0.0028309i,-0.0049539-0.0058781i,0.00034253-0.031994i,-0.024042+0.031525i,0.0078288-0.010399i,-0.011139-0.0013303i,-0.0053056-0.001153i,-0.0014848-0.013573i,-0.010231+0.0045554i,0.0038727+0.0080918i,-0.0098944+0.030972i,0.0055548+0.007394i,-0.0052455-0.0012643i,-0.0019726-0.0019256i,-0.011423-0.0073771i,0.00061482-0.0036256i,-0.034983+0.0049943i,0.0021709-0.012394i,-0.0090515-0.001878i,-0.0063471-0.0027687i,0.0063831+0.0013165i,-0.0095868+0.0018749i,0.0012596+0.00092214i,0.0053461+0.0091339i,0.0044333+0.00027577i,-0.009021-0.0093209i,0.0031631+0.0085553i,-0.019+0.0068727i,0.006432+0.0028531i,-0.029381-0.0080725i,-0.034015+0.0035182i,0.024628-0.078137i,0.012286-0.010421i,-0.043608-0.026499i,-0.023362-0.0029742i,0.018317+0.012502i,-0.026583+0.013078i,-0.011822-0.0085455i
-0.015927-0.038445i,-0.019117-0.03689i,-0.0059374-0.049449i,-0.029896-0.023702i,-0.010866+0.011889i,-0.040823-0.02351i,-0.068423-0.04575i,-0.033021-0.068964i,-0.039618-0.039987i,0.0030453+0.013546i,-0.006011+0.0085305i,-0.0070833+0.019584i,0.0098832+0.01201i,-0.0082023-0.00037416i,0.0015661+0.0056997i,0.0098092+0.03059i,0.033954+0.042106i,0.0020979+0.0021279i,-0.0080373-0.0031026i,0.0086543+0.00057014i,0.00066486+0.0018594i,-0.0010847+0.0042418i,-0.00059818-5.0189e-05i,-0.024935+0.011502i,-0.0049863-0.0048672i,0.0033229+0.0025769i,0.0034817+0.00021202i,0.00055872+0.0029643i,0.00098988-0.001204i,-0.0014055-0.0029257i,-0.0016262-0.0046432i,-0.0026732-0.0031021i,-0.0028301-0.0072503i,0.0020765-0.0031644i,0.0020091-0.0019101i,0.0103+0.030141i,0.0048067-0.0066577i,0.0018167-0.0028641i,0.0066875-0.0011609i,-0.0086071-0.00016002i,0.00010529+0.0017313i,0.0076427-0.0026787i,0.0047803-6.0427e-05i,-0.0045994+0.0052707i,0.010294+0.00019154i,0.0088262+0.0095937i,-0.002266-0.090441i,-0.02162-0.049658i,-0.018855-0.032507i,-0.021064-0.028121i,0.063811-0.047309i,0.023659-0.082317i,0.040736-0.047784i,0.019029-0.066239i,0.0090811-0.0098991i,0.0078915+0.00018438i,0.01042-0.034421i,-0.0066637+0.00083101i,0.00023612-0.011001i,-0.0059803-0.0060961i,-0.023304-0.032221i,-0.0087347+0.029861i,0.0019876-0.012558i,-0.011933+0.0018508i,-0.0044638+0.00060774i,-0.0073377-0.012309i,-0.010582+0.0090819i,0.0076201+0.0086852i,0.0085238+0.029059i,0.0070399+0.001905i,-0.0041686+0.0016499i,-0.0041893-0.0020148i,-0.015753+0.0018079i,0.00044973-0.0031006i,-0.037912+0.012222i,-0.0044067-0.010173i,-0.0094928+0.0024084i,-0.0079002+0.00056663i,0.0037856-0.0042502i,-0.0082788+0.0048645i,0.0026026-0.00076828i,0.0046761+0.0036057i,0.0030942-0.0008676i,-0.012815-0.0013543i,0.0041345+0.0054038i,-0.013345+0.013386i,0.0062255-0.00093004i,-0.029452+0.0027819i,-0.032333+0.013187i,0.010602-0.080119i,0.0076811-0.016305i,-0.050442-0.013115i,-0.017113-0.0055706i,0.019277+0.0056264i,-0.020199+0.019856i,-0.018704-0.01376i
-0.02158-0.03426i,-0.021271-0.035574i,-0.014162-0.052696i,-0.032454-0.018725i,-0.0044533+0.00562i,-0.045707-0.014668i,-0.078422-0.030017i,-0.047839-0.064566i,-0.043535-0.033083i,0.0050346+0.012386i,-0.0061111+0.011688i,0.0024069+0.018487i,0.013088+0.0040217i,-0.0088911+0.0041191i,0.0029788+0.0054218i,0.015375+0.022881i,0.043602+0.028731i,0.0052761+0.0018895i,-0.0070796+0.0016006i,0.0076366-0.0020513i,0.00025773+0.0023449i,0.00060294+0.0061639i,-0.000429+0.00044478i,-0.011487+0.019011i,-0.0047433-0.0022563i,0.0043773-0.00020484i,0.0031143-0.0011426i,0.0031963+0.0031645i,-0.00033179-0.00204i,-0.0020371-0.002408i,-0.0023259-0.0043302i,-0.0036754-0.0023063i,-0.0048874-0.0058171i,0.00040502-0.0043459i,0.0040417-0.0042392i,0.019512+0.02203i,0.0021779-0.007568i,0.00091489-0.0031613i,0.0065708-0.0057627i,-0.0081572+0.00083155i,0.00091805+0.0021081i,0.0059378-0.0048787i,0.0057588-0.00034457i,-0.0030903+0.0074171i,0.014806-0.007919i,0.019769+0.0044172i,-0.017385-0.08916i,-0.033543-0.041289i,-0.011592-0.035891i,-0.013594-0.027087i,0.056308-0.07301i,0.0037728-0.10137i,0.0464-0.055851i,0.0066053-0.067654i,0.0079402-0.0075854i,0.005038-0.0032325i,-0.00027071-0.036669i,0.0024765+6.3667e-05i,-0.0095619-0.012826i,-0.0061083-0.0085043i,-0.040968-0.020352i,-0.00044752+0.027101i,-0.0040012-0.01168i,-0.0094438+0.0049968i,-0.0055514+0.0013788i,-0.014087-0.0094103i,-0.005071+0.015142i,0.013663+0.0037194i,0.020493+0.017961i,0.0065256-0.00050678i,-0.0037137+0.0011489i,-0.0052015-0.00030498i,-0.011972+0.010769i,-0.0025302-0.002708i,-0.032524+0.023856i,-0.0069753-0.0057091i,-0.0074667+0.0070338i,-0.0081792+0.0071699i,-0.0014178-0.0050801i,-0.0061797+0.0066087i,0.0017151-0.002261i,0.0025603+0.0023528i,0.0024675-0.0020179i,-0.0084977+0.0060397i,0.0036776+0.0024688i,-0.0077218+0.01561i,0.0032317-0.0041999i,-0.025103+0.011298i,-0.025854+0.021666i,0.00048069-0.07972i,0.001145-0.017459i,-0.049937-0.00064528i,-0.021708-0.011717i,0.01767-0.0026482i,-0.0095546+0.020626i,-0.022227-0.010475i
-0.025262-0.029793i,-0.025816-0.036313i,-0.024743-0.055271i,-0.03144-0.012574i,-0.0028574-0.0034013i,-0.047325-0.0040084i,-0.081415-0.0026321i,-0.06235-0.049933i,-0.049069-0.022983i,0.0072296+0.01114i,-0.0016056+0.014537i,0.0070052+0.013146i,0.011712-0.0037685i,-0.0070423+0.0096414i,0.0033463+0.003878i,0.016691+0.01341i,0.050867+0.0076008i,0.0068931-0.0012472i,-0.0061025+0.0053828i,0.0053942-0.0041315i,0.0017467+0.0039279i,0.0039115+0.0066177i,-0.00024967+0.001075i,0.00037049+0.024441i,-0.0039264-0.0011876i,0.0033142-0.002527i,0.0028099-0.0016347i,0.0041223+6.3442e-05i,-0.00085422-0.00082155i,-0.0034205-0.0019824i,-0.003212-0.0036479i,-0.0041079-0.0011073i,-0.0064928-0.0034545i,-0.001342-0.00474i,0.00035403-0.0068174i,0.021233+0.012427i,-0.0006879-0.0078847i,-0.00023224-0.003524i,0.0026499-0.0083188i,-0.005382+0.0047119i,0.0018859+0.0016015i,0.0026121-0.0065183i,0.0053304-0.0022095i,-9.6952e-05+0.0073053i,0.017303-0.015065i,0.027951-0.0048738i,-0.031392-0.083803i,-0.037109-0.029933i,-0.012545-0.040647i,-0.012097-0.029472i,0.038649-0.10031i,-0.02505-0.10455i,0.044549-0.075562i,-0.002908-0.066893i,0.0071036-0.0061951i,0.00071146-0.0062632i,-0.013657-0.03282i,0.0022701-0.0090917i,-0.013873-0.0074154i,-0.012114-0.011395i,-0.048395+0.00049941i,0.010352+0.021838i,-0.0084904-0.0093915i,-0.0064394+0.0060422i,-0.0048768+0.0040472i,-0.019234-0.0024145i,0.0036281+0.013747i,0.016119-0.0034195i,0.024161+0.0067414i,0.0069674-0.0031329i,-0.0044993+0.0012067i,-0.0054373+0.0026533i,-0.0068486+0.016422i,-0.0043682+0.00050828i,-0.02683+0.032125i,-0.0074777-0.0027101i,-0.002525+0.0094063i,-0.0022122+0.012064i,-0.0054699-0.0023681i,-0.0022825+0.0058788i,0.00093538-0.002614i,0.001723+0.0026335i,0.0001809-0.0039678i,-0.0024928+0.0052083i,0.00042517-0.00044489i,-0.0037734+0.0176i,-0.00096384-0.0039653i,-0.017772+0.017283i,-0.017191+0.024789i,-0.0082014-0.08001i,0.0015118-0.014626i,-0.045911+0.01317i,-0.029582-0.008785i,0.014238-0.008323i,-0.00063122+0.016022i,-0.022659-0.0057471i
-0.027725-0.024941i,-0.033353-0.034277i,-0.03877-0.054992i,-0.029319-0.0096195i,-0.0086435-0.011663i,-0.046181+0.0061493i,-0.064707+0.01716i,-0.064098-0.033477i,-0.045428-0.013016i,0.0094744+0.0090952i,0.0039432+0.012733i,0.0090858+0.0096156i,0.006159-0.0089375i,-0.00077483+0.012352i,0.0030165+0.0023061i,0.01413+0.009351i,0.040922-0.016927i,0.0057674-0.0043818i,-0.0018475+0.010449i,0.0030514-0.0048161i,0.0032081+0.0044004i,0.0062166+0.0038985i,2.4931e-05+0.0021895i,0.018505+0.018856i,-0.0041621+0.0001761i,0.0019878-0.0036215i,0.0016981-0.0026539i,0.003575-0.00029064i,-0.00018321-3.7482e-05i,-0.0045591+0.00023656i,-0.0040106-0.002384i,-0.0039416+0.00023383i,-0.0063038-0.00040997i,-0.0038848-0.0041458i,-0.0025928-0.0055044i,0.022135+0.0071421i,-0.0031275-0.0070472i,-0.0021789-0.003321i,-0.00089035-0.0078277i,-0.0017131+0.0013759i,0.0019725+0.00084152i,-0.00064967-0.0050306i,0.0053344-0.0025807i,0.00069135+0.0062077i,0.015697-0.027953i,0.033096-0.019604i,-0.040107-0.074836i,-0.036122-0.020344i,-0.015913-0.044384i,-0.012465-0.030349i,0.0038499-0.1192i,-0.050085-0.096017i,0.026378-0.091923i,-0.015073-0.06146i,0.0077421-0.003879i,-0.0038721-0.0062441i,-0.023019-0.023167i,-0.004883-0.013117i,-0.015676-0.0044208i,-0.021415-0.0066482i,-0.044543+0.019186i,0.014691+0.010765i,-0.012376-0.0045123i,-0.0044277+0.0060882i,-0.0034471+0.006694i,-0.019354+0.0080117i,0.0048629+0.0087149i,0.015044-0.010873i,0.025302-0.0061228i,0.0051877-0.0074095i,-0.0065628+0.0035131i,-0.0033098+0.0060866i,0.0013022+0.018593i,-0.00423+0.0045035i,-0.019158+0.042506i,-0.0090485-0.0012482i,0.0013197+0.0071854i,0.0042441+0.011174i,-0.0069638+0.0013477i,-0.002625+0.0030094i,-0.00075073-0.0033866i,0.0011535+0.0041357i,-0.0039918-0.0036214i,-0.0020693+0.0018751i,-0.0031196+0.0017285i,0.0032049+0.018733i,-0.0035083-0.0024717i,-0.0091761+0.01986i,-0.011368+0.025714i,-0.019708-0.078i,0.0055965-0.020231i,-0.037082+0.02681i,-0.03301+0.0013259i,0.008995-0.01291i,0.00095712+0.0081134i,-0.021816-0.0044392i
-0.028447-0.021566i,-0.038226-0.030589i,-0.054933-0.048016i,-0.029348-0.008596i,-0.020156-0.013174i,-0.04091+0.014897i,-0.047952+0.022483i,-0.062266-0.022428i,-0.04291-0.0093672i,0.010215+0.0071378i,0.0057937+0.010143i,0.010813+0.0046108i,-0.00067874-0.010755i,0.0053873+0.0098202i,0.0022975+0.0015805i,0.013105+0.0072834i,0.022284-0.026161i,0.0049621-0.0059224i,0.0046425+0.010214i,0.00076415-0.0044058i,0.0058728+0.0025701i,0.0062414+0.0011231i,0.0021268+0.002871i,0.025556+0.0034924i,-0.0022364+0.0023092i,0.00035834-0.0038513i,-2.1017e-05-0.00091355i,0.004694-0.0018377i,0.00013668-0.0009545i,-0.002872+0.0032666i,-0.0036182-0.0014042i,-0.0038829+0.0010996i,-0.0063608+0.0018759i,-0.0051581-0.00096881i,-0.0032817-0.003614i,0.023685-0.00022746i,-0.0054485-0.0054011i,-0.0041843-0.0027679i,-0.003569-0.0076184i,-0.0042965-0.0018423i,0.0027098+0.0003934i,-0.0020052-0.0023781i,0.0040547-0.0042453i,0.001071+0.0057494i,0.0061854-0.036664i,0.022843-0.038642i,-0.04243-0.067566i,-0.034471-0.013565i,-0.02131-0.044507i,-0.012268-0.034258i,-0.035113-0.11476i,-0.071467-0.079439i,0.0068795-0.09642i,-0.017469-0.047744i,0.01409+0.00025669i,-0.0066307-0.0036884i,-0.024492-0.010031i,-0.010726-0.012563i,-0.020074+0.00047485i,-0.020454+0.0021807i,-0.0348+0.0357i,0.012884+0.0034433i,-0.0097725+0.0026528i,-0.0051234+0.0061338i,0.0015513+0.0087724i,-0.012705+0.015225i,0.006237+0.0097273i,0.010395-0.022348i,0.014263-0.020886i,-0.0020323-0.011147i,-0.0066057+0.008014i,-0.0013111+0.0066765i,0.0087006+0.015983i,-0.0011987+0.0068602i,-0.0014142+0.055189i,-0.011176+0.0017726i,0.0016984+0.0062195i,0.0079149+0.0062072i,-0.0052443+0.007484i,-0.003486+0.0046513i,-0.0042394-0.0026481i,0.0044064+0.0049453i,-0.0048244+0.0029531i,-0.004656+0.0015769i,-0.00085756+0.0073075i,0.0093873+0.014899i,-0.0049707-0.0014198i,-0.0028977+0.017211i,-0.0033014+0.027038i,-0.025168-0.070577i,-0.0027287-0.033929i,-0.016567+0.031861i,-0.029271+0.0093814i,0.00706-0.019546i,0.00068522+0.0017474i,-0.021867+0.00063004i
-0.029112-0.019153i,-0.046399-0.027992i,-0.06873-0.034356i,-0.028673-0.0038254i,-0.02916-0.005164i,-0.034729+0.020077i,-0.036597+0.021261i,-0.060491-0.015263i,-0.045906-0.0052913i,0.01249+0.0035823i,0.0090595+0.0093009i,0.0082206-0.0011608i,-0.0083759-0.0075723i,0.0087743+0.0036674i,0.0019996+0.0010784i,0.012637+0.0061272i,0.0066719-0.024396i,0.0024745-0.0080387i,0.0078568+0.005338i,-0.00046138-0.0027647i,0.0061341-0.00097551i,0.0072526+0.00053295i,0.0039601+0.0015576i,0.021897-0.009972i,0.0013748+0.0015894i,-0.00032621-0.0029504i,0.0011626-0.0019158i,0.0044952-0.0048114i,-0.00029994-0.0006709i,-0.00019532+0.0035958i,-0.0038334-0.00087167i,-0.0032039+0.0023275i,-0.0044648+0.0042162i,-0.0039115+0.0013167i,-0.0042278-0.0036072i,0.020923-0.0083499i,-0.0062493-0.0022339i,-0.0048389-0.00066607i,-0.0074324-0.005076i,-0.0096384+0.00099587i,0.0025045-0.00064956i,-0.00082921-0.0019575i,0.0025508-0.005417i,0.0020843+0.0036167i,-0.006432-0.039381i,0.0054046-0.041099i,-0.049327-0.066732i,-0.026973-0.0079353i,-0.024911-0.042807i,-0.020406-0.04064i,-0.061907-0.099464i,-0.079825-0.053798i,-0.016641-0.097914i,-0.011594-0.043514i,0.02089-0.013437i,-0.0074058-0.00011022i,-0.020556-0.0057293i,-0.019388-0.0089057i,-0.018171+0.010035i,-0.018107+0.0063824i,-0.014151+0.044297i,0.011145-0.00094932i,-0.0080541+0.0025907i,-0.0013199+0.0062817i,0.0041212+0.005273i,-0.0056046+0.018876i,0.010994+0.0071293i,-0.0052897-0.027367i,-0.0037614-0.022308i,-0.0055543-0.004443i,-0.0026857+0.011706i,0.0022921+0.0059165i,0.014872+0.008285i,0.0025826+0.0057284i,0.024643+0.051917i,-0.0078213+0.0070606i,0.0030272+0.0046973i,0.008258+0.0015704i,0.0008533+0.0096086i,-0.0054209+0.0062517i,-0.0058517+0.0022447i,0.007442+0.004142i,-0.0019805+0.005957i,-0.0064466+0.0041392i,0.0032858+0.0071905i,0.01171+0.0097951i,-0.0051439+0.0012262i,0.0023467+0.014348i,0.0049246+0.02428i,-0.030314-0.069382i,-0.021131-0.035142i,-0.0021415+0.023143i,-0.025705+0.014334i,-0.0027088-0.026425i,-0.0031582-0.0021177i,-0.014575+0.0026263i
-0.031061-0.017069i,-0.054436-0.018308i,-0.076611-0.01643i,-0.026102-0.0022724i,-0.029195+0.0059009i,-0.029962+0.023689i,-0.030418+0.01858i,-0.059489-0.0095794i,-0.046037+0.0046879i,0.012809-0.00059045i,0.012638+0.0031637i,0.0026204-0.0015855i,-0.011478-0.00072678i,0.0058524-0.00078426i,0.0011211+0.0005164i,0.014993+0.0033845i,-0.0026394-0.017547i,-0.0016544-0.0079623i,0.0069086+0.0017976i,-0.00052643-0.0017665i,0.0034043-0.002595i,0.0068544-0.0024216i,0.0039319-0.00022211i,0.013354-0.017676i,0.00097889-0.0011184i,-0.00043639-0.0030537i,0.00075255-0.0028805i,0.0016997-0.0056678i,0.0013944+0.00012933i,0.00077042+0.0025883i,-0.0041326-0.00040418i,-0.0018582+0.0030372i,-0.002399+0.0054255i,-0.0022633+0.0014378i,-0.0061571-0.0005114i,0.015514-0.014052i,-0.0049239-0.0001778i,-0.00388+0.0015222i,-0.0068378-0.0018368i,-0.0088387+0.0068119i,0.0020864-0.00081043i,-0.00070945-0.0017429i,0.00042039-0.0053113i,0.0010247+0.0017593i,-0.017465-0.034402i,-0.001278-0.031653i,-0.059161-0.063857i,-0.020312-0.0095877i,-0.028841-0.04175i,-0.031711-0.037343i,-0.084526-0.08161i,-0.075177-0.033741i,-0.043779-0.085929i,-0.0095113-0.047312i,0.016492-0.025438i,-0.0056804+0.0022136i,-0.019517+0.00010562i,-0.025342+0.0014327i,-0.010935+0.016379i,-0.014054+0.012658i,0.0069088+0.039294i,0.0087355-0.0059611i,-0.0084569+0.0044345i,-0.0011984+0.0041827i,0.0063048+0.0039771i,0.0028456+0.016546i,0.01247-0.00040243i,-0.020203-0.018345i,-0.015305-0.012413i,-0.0043071-0.00043231i,0.0042088+0.011467i,0.0037185+0.0037516i,0.016839+0.0012214i,0.0053225+0.0046006i,0.043818+0.035713i,-0.0037929+0.0068135i,0.0023862+0.0043362i,0.0064694-0.0032197i,0.0060831+0.0061246i,-0.0041373+0.012385i,-0.0030678+0.0074167i,0.010201-0.000154i,0.0030928+0.0059886i,-0.0057027+0.0076439i,0.0057559+0.0041543i,0.012351+0.0052069i,-0.0047719+0.001959i,0.0049179+0.0099046i,0.0096092+0.018908i,-0.037195-0.066619i,-0.032455-0.02184i,0.0042731+0.011261i,-0.013997+0.02068i,-0.014307-0.026287i,-0.010519-0.0019832i,-0.014547-0.0030707i
-0.033404-0.013509i,-0.056554-0.0060497i,-0.077126+0.0033179i,-0.025856-0.0017179i,-0.024325+0.013026i,-0.024592+0.027183i,-0.027189+0.01519i,-0.060687-0.0045923i,-0.039562+0.013538i,0.011234-0.0047794i,0.0094089-0.0028886i,0.0013522+0.0012971i,-0.01014+0.0055087i,0.0032371-0.00252i,0.00013134+0.0010329i,0.01536-0.0020494i,-0.003849-0.0096821i,-0.0047411-0.0056339i,0.005827+0.00041244i,-0.0003574-0.00102i,0.0024586-0.0013547i,0.0051507-0.0040924i,0.0037553-0.0010394i,0.0052212-0.018852i,-0.00026425-0.0020417i,-0.0013614-0.0038575i,-0.00031194-0.0032069i,-0.00050738-0.0054506i,0.0014996-0.0014619i,0.0017255+0.002174i,-0.004169+9.1395e-05i,-0.00049091+0.0030719i,-0.00015352+0.0044649i,-0.0020523+0.0026166i,-0.004182+0.00092737i,0.0082058-0.017326i,-0.0033795+0.00051787i,-0.0022004+0.0026565i,-0.0081198-0.00018735i,-0.0052265+0.010079i,0.002052-0.00096263i,-0.0013463-0.0013889i,-0.00039626-0.0044787i,-0.0016819+0.0021881i,-0.023907-0.026933i,0.0046303-0.026626i,-0.071425-0.057097i,-0.018378-0.013528i,-0.032544-0.038702i,-0.038074-0.029737i,-0.10139-0.054479i,-0.07152-0.024572i,-0.053266-0.059934i,-0.011986-0.050012i,0.0060605-0.03442i,-0.004412+0.0026533i,-0.016064+0.0012144i,-0.021248+0.014048i,-0.0031795+0.016286i,-0.0027922+0.013572i,0.016363+0.025934i,0.0041516-0.0082282i,-0.0072746+0.0075749i,-0.0018684+0.00395i,0.0064145-0.00070647i,0.0074999+0.01265i,0.0065421-0.0038748i,-0.026103-0.0041634i,-0.017309-0.0025759i,-0.0015797+0.00081353i,0.0069693+0.0094383i,0.0028522+0.0024931i,0.014035-0.0092963i,0.0064792+9.3838e-05i,0.053354+0.013935i,-0.0035431+0.0084806i,0.0042942+0.0032576i,0.001939-0.0053908i,0.0063934+0.0026396i,0.001833+0.015605i,0.003968+0.0059494i,0.0074781-0.0045085i,0.0058754+0.0023251i,-0.0027747+0.011552i,0.0045809+0.00342i,0.01127+0.001739i,-0.0058174+0.0034893i,0.002762+0.0073812i,0.011664+0.014858i,-0.044151-0.062995i,-0.032658-0.0076163i,0.0024576+0.0017935i,-0.0033665+0.014495i,-0.025695-0.021037i,-0.013535+0.0068557i,-0.01938-0.0010423i
-0.035152-0.0089292i,-0.054837+0.0036869i,-0.072093+0.020984i,-0.027442-0.00011574i,-0.017788+0.01728i,-0.018662+0.029705i,-0.027562+0.01303i,-0.062971+0.0038776i,-0.032788+0.017101i,0.0078414-0.0073847i,0.0049047-0.0039849i,0.0020824+0.0019946i,-0.0054416+0.0090996i,0.00028585-0.0032625i,0.00055676+0.0020901i,0.011375-0.0073383i,-0.0025946-0.0081517i,-0.0052864-0.0017854i,0.0057753-0.0011096i,0.00038651-0.00039015i,0.0036761-0.0015579i,0.0032108-0.0040988i,0.0036464-0.0018476i,-0.0015332-0.017728i,-0.0011504-0.0016405i,-0.0031683-0.0029461i,-0.0014668-0.003263i,-0.0023381-0.0050026i,0.00083238-0.002185i,0.0026723+0.00090447i,-0.0045359+0.00091442i,0.00069613+0.0025701i,0.0011377+0.0034289i,-0.00045537+0.0032409i,-0.0042701+0.0017372i,0.00087445-0.015249i,-0.003284+0.00015594i,-0.00027562+0.0025843i,-0.0072418+0.0043492i,-0.0010164+0.011978i,0.0020114-0.001341i,-0.00074192-8.4697e-05i,-0.0011371-0.0047464i,-0.0012822+0.0053081i,-0.024165-0.019086i,0.013283-0.034215i,-0.083213-0.044142i,-0.020015-0.015767i,-0.034195-0.036361i,-0.042435-0.022467i,-0.10281-0.02534i,-0.069282-0.013074i,-0.04813-0.043979i,-0.015094-0.053958i,-0.0073399-0.037191i,-0.0028478+0.0030249i,-0.016971+0.00023647i,-0.011455+0.019936i,0.0015983+0.012608i,0.0035977+0.0053258i,0.016565+0.013145i,-0.0010171-0.0083707i,-0.0046336+0.0095933i,-0.0023859+0.0048129i,0.0036539-0.0034804i,0.0095251+0.0070633i,0.0042951-0.0020753i,-0.023067+0.009987i,-0.014155+0.0065278i,-0.00046949+0.0009762i,0.011066+0.0067508i,0.0026019+0.0020642i,0.0049986-0.013746i,0.003825-0.0029107i,0.050617-0.0076621i,-0.0001493+0.010276i,0.0033399+0.0013037i,-0.0014248-0.0036466i,0.0059609+0.0011938i,0.0096802+0.015658i,0.0045701+0.0016055i,0.005039-0.0057058i,0.0047725-0.00049181i,0.0034085+0.012944i,0.0052219+0.0023848i,0.010871-0.0018103i,-0.003705+0.0078604i,0.0037165+0.0066854i,0.013817+0.01153i,-0.051752-0.059029i,-0.02831+0.00062026i,-0.00049491-0.0019881i,-0.0024161+0.0063974i,-0.033688-0.011363i,-0.0081029+0.0098442i,-0.018476+0.0022261i
-0.035179-0.0039035i,-0.050943+0.011821i,-0.061301+0.035281i,-0.027727+0.0039168i,-0.0099899+0.017782i,-0.013029+0.030728i,-0.028693+0.014306i,-0.062134+0.01443i,-0.027538+0.019321i,0.0045931-0.0087457i,0.0022916-0.0032071i,0.0037191+0.0015325i,-0.0013312+0.0099025i,-0.0026743-0.0015697i,0.0010563+0.0022302i,0.0061068-0.0089613i,-0.0048917-0.0099311i,-0.0045749+5.916e-06i,0.0048608-0.0025834i,0.0010715-0.00057442i,0.0036017-0.0032256i,0.0028839-0.0035479i,0.0032143-0.0027845i,-0.0072941-0.015088i,-0.0019253-0.0012076i,-0.0038545-0.0014314i,-0.0030099-0.0025161i,-0.0037776-0.003443i,0.00018908-0.0025329i,0.0021834-0.0011306i,-0.0044578+0.0027121i,0.0010915+0.0020875i,0.0019032+0.0026435i,0.0015645+0.0022602i,-0.0033135+0.0028846i,-0.0025193-0.011091i,-0.0032528+0.00060066i,0.0010214+0.0013716i,-0.003209+0.0057804i,0.0050071+0.01147i,0.0018202-0.0017698i,3.4561e-05+4.1566e-05i,-0.0028705-0.0048746i,0.0013966+0.0050037i,-0.021904-0.016114i,0.010896-0.050348i,-0.089609-0.026586i,-0.020529-0.016727i,-0.036584-0.038276i,-0.04425-0.013958i,-0.098426-0.0044553i,-0.06443-0.0045418i,-0.043859-0.035018i,-0.022302-0.056503i,-0.021592-0.034931i,-0.0020985+0.0023931i,-0.022489+0.0025335i,-0.0026284+0.018899i,0.0036816+0.0084653i,0.0025511-0.0017908i,0.012548+0.0068024i,-0.0055123-0.0079763i,-0.00098851+0.010418i,-0.0015312+0.0059717i,0.00067346-0.0034648i,0.0074603+0.0026692i,0.0039854-0.0014093i,-0.014014+0.017306i,-0.0076949+0.011742i,0.0015681-0.00032537i,0.013666+0.0004066i,0.0023788+0.0023368i,-0.0025936-0.011855i,0.0011099-0.0031318i,0.040323-0.023569i,0.0043757+0.010593i,0.0026078+0.0016635i,-0.003592-0.0011288i,0.0056595-0.0019471i,0.016813+0.010964i,0.0032035-0.0015601i,0.0021083-0.0070382i,0.0030291-0.0022974i,0.0088601+0.010201i,0.0053918+0.0021598i,0.0072552-0.0056529i,0.00061085+0.0088938i,0.0047569+0.00452i,0.016398+0.0072322i,-0.060666-0.051698i,-0.022983+0.0075244i,-0.002927-0.0044156i,-0.0052223+0.0034675i,-0.036862-0.00057813i,-0.0056935+0.0086543i,-0.016174+0.0044436i
